<doc id="wr_1760-02-27" attrs="word" year="1760" month="02" day="27" corpus="2">
<head id="h2_d427e2506">
Venedig	w1_d427e2510
einer	w5_d427e6139
einzigen	w7_d427e6142
Provinz	w9_d427e6145
angeworben	w11_d427e6148
worden.	w1_d427e6153
</p>
<p id="p8_d427e6156">
Auf	w1_d427e6160
die	w3_d427e6163
nämliche	w5_d427e6166
Weise	w7_d427e6169
und	w9_d427e6172
Geschwin	w11_d427e6175
digkeit	w1_d427e6180
sollen	w3_d427e6183
noch	w5_d427e6186
andere	w7_d427e6189
neue	w9_d427e6192
Corps	w11_d427e6195
in	w13_d427e6199
dem	w1_d427e6204
Königreiche	w3_d427e6207
Jrrland	w5_d427e6210
errichtet	w7_d427e6213
werden.	w9_d427e6216
</p>
<head id="h2_d427e6222">
Cleve	w1_d427e6226
27.	w3_d427e6229
Jaquarii.	w5_d427e6232
</head>
<p id="p4_d427e6235">
Ungefähr	w1_d427e6239
um	w3_d427e6242
4.	w5_d427e6245
Uhr	w7_d427e6248
Nachmittags	w9_d427e6251
hat	w11_d427e6254
sich	w1_d427e6259
das	w3_d427e6262
Treib=eis	w5_d427e6265
aus	w7_d427e6268
dem	w9_d427e6271
Rhein	w11_d427e6274
eine	w13_d427e6278
Meile	w15_d427e6281
von	w1_d427e6286
dieser	w3_d427e6289
Städt	w5_d427e6292
so	w7_d427e6295
stark	w9_d427e6298
gehäuffet,	w11_d427e6301
daß	w13_d427e6305
ein	w1_d427e6311
Damm	w3_d427e6314
dadurch	w5_d427e6317
niedergerissen,	w7_d427e6320
und	w9_d427e6323
in	w11_d427e6326
nerhalb	w1_d427e6331
einer	w3_d427e6334
Stunde	w5_d427e6337
zum	w7_d427e6340
wenigsten	w9_d427e6343
der	w11_d427e6346
ganze	w1_d427e6351
gegen	w3_d427e6354
Abend	w5_d427e6357
liegende	w7_d427e6360
Theil	w9_d427e6363
dieser	w11_d427e6366
Landschaft	w1_d427e6371
von	w3_d427e6374
Ealcar	w5_d427e6377
an	w7_d427e6380
bis	w9_d427e6383
Nimwegen	w11_d427e6386
unter	w1_d427e6392
Wasser	w3_d427e6395
gesetzt	w5_d427e6398
worden.	w7_d427e6401
Die	w9_d427e6404
plötzli	w11_d427e6407
che	w1_d427e6412
und	w3_d427e6415
starke	w5_d427e6418
Wasser=flut	w7_d427e6421
hat	w9_d427e6424
auf	w11_d427e6427
denen	w13_d427e6431
Land=strassen	w1_d427e6436
und	w3_d427e6439
Feldern	w5_d427e6442
viele	w7_d427e6445
Menschen	w9_d427e6448
ersäuft.	w1_d427e6453
Es	w3_d427e6456
ist	w5_d427e6459
unbegreiflich,	w7_d427e6462
wie	w9_d427e6465
dieses	w11_d427e6468
traurige	w1_d427e6474
Schicksal	w3_d427e6477
die	w5_d427e6480
unglückseelige	w7_d427e6483
Unter	w9_d427e6486
thanen	w1_d427e6491
in	w3_d427e6494
die	w5_d427e6497
jämmerlichste	w7_d427e6500
Armut	w9_d427e6503
gestür	w11_d427e6506
zet,	w1_d427e6511
indem	w3_d427e6514
sie	w5_d427e6517
sich	w7_d427e6520
in	w9_d427e6523
einem	w11_d427e6526
Augenblick	w13_d427e6530
aller	w15_d427e6533
ihrer	w1_d427e6538
fruchtbaren	w3_d427e6541
Felder,	w5_d427e6544
davon	w7_d427e6547
ihr	w9_d427e6550
Fleiß	w11_d427e6553
sie	w1_d427e6559
in	w3_d427e6562
dem	w5_d427e6565
Schweiß	w7_d427e6568
ihres	w9_d427e6571
Angesichts	w11_d427e6574
nährte,	w13_d427e6578
durch	w1_d427e6583
die	w3_d427e6586
Ueberschwemmung	w5_d427e6589
beraubt	w7_d427e6592
sehen	w9_d427e6595
müssen;	w1_d427e6600
ihre	w3_d427e6603
in	w5_d427e6606
der	w7_d427e6609
Folge	w9_d427e6612
von	w11_d427e6615
3.	w13_d427e6619
Jahren	w15_d427e6622
denen	w1_d427e6627
Drangsalen	w3_d427e6630
des	w5_d427e6633
Kriegs	w7_d427e6636
unterworfene	w9_d427e6639
Länder,	w1_d427e6645
ihre	w3_d427e6648
durch	w5_d427e6651
leidige	w7_d427e6654
Vieh=seuche	w9_d427e6657
ge	w11_d427e6660
leerte	w1_d427e6665
Ställe,	w3_d427e6668
ihr	w5_d427e6671
erschöpftes	w7_d427e6674
Vermögen,	w9_d427e6677
dieses	w1_d427e6682
grosse	w3_d427e6685
Unglücks=mas	w5_d427e6688
muste	w7_d427e6691
noch	w9_d427e6694
auf	w11_d427e6697
einmal	w1_d427e6702
durch	w3_d427e6705
das	w5_d427e6708
allerletzte	w7_d427e6711
voll	w9_d427e6714
gemacht	w11_d427e6717
werden.	w1_d427e6723
Jnzwischen	w3_d427e6726
kan	w5_d427e6729
man	w7_d427e6732
die	w9_d427e6735
Vorsor	w11_d427e6738
</p>
<p id="p8_d427e6743">
ge	w1_d427e6747
der	w3_d427e6750
Regierung,	w5_d427e6753
mit	w7_d427e6756
welcher	w9_d427e6759
sie	w11_d427e6762
die	w13_d427e6766
Weh	w15_d427e6769
mut	w1_d427e6774
dieser	w3_d427e6777
bejammernswürdigen	w5_d427e6780
Leuten,	w7_d427e6783
so	w9_d427e6786
viel	w1_d427e6791
thunlich,	w3_d427e6794
zu	w5_d427e6797
erleichtern	w7_d427e6800
sich	w9_d427e6803
beeifert,	w11_d427e6806
nicht	w1_d427e6812
genug	w3_d427e6815
anrühmen.	w5_d427e6818
</p>
<head id="h2_d427e6824">
Londen	w1_d427e6828
5.	w3_d427e6831
Februarii.	w5_d427e6834
</head>
<p id="p4_d427e6837">
Am	w1_d427e6841
ersten	w3_d427e6844
dieses	w5_d427e6847
hat	w7_d427e6850
der	w9_d427e6853
König	w11_d427e6856
in	w13_d427e6860
seinem	w15_d427e6863
Conseil	w1_d427e6868
eine	w3_d427e6871
neue	w5_d427e6874
Proclamation	w7_d427e6877
ergehen,	w9_d427e6880
und	w11_d427e6883
darinnen	w1_d427e6888
denen	w3_d427e6891
Matrosen	w5_d427e6894
und	w7_d427e6897
anderen,	w9_d427e6900
so	w11_d427e6903
sich	w1_d427e6909
bis	w3_d427e6912
auf	w5_d427e6915
den	w7_d427e6918
24.	w9_d427e6921
des	w11_d427e6924
künftigen	w13_d427e6928
Mo	w15_d427e6931
nats	w1_d427e6936
zum	w3_d427e6939
Königlichen	w5_d427e6942
Dienst	w7_d427e6945
auf	w9_d427e6948
der	w11_d427e6951
Flotte	w13_d427e6955
freywillig	w1_d427e6960
engagiren	w3_d427e6963
werden,	w5_d427e6966
die	w7_d427e6969
vorhin	w9_d427e6972
ausgeworfene	w1_d427e6977
Gratificationes	w3_d427e6980
und	w5_d427e6983
Beloh	w7_d427e6986
nungen,	w1_d427e6992
noch	w3_d427e6995
ferner	w5_d427e6998
anbieten	w7_d427e7001
lassen.	w9_d427e7004
Am	w11_d427e7007
2.	w1_d427e7012
ist	w3_d427e7015
ein	w5_d427e7018
Currier	w7_d427e7021
von	w9_d427e7024
der	w11_d427e7027
Alliirten	w13_d427e7031
Armee	w15_d427e7034
mit	w1_d427e7039
Depeschen	w3_d427e7042
von	w5_d427e7045
dem	w7_d427e7048
Prinz	w9_d427e7051
Ferdinand	w11_d427e7054
von	w1_d427e7059
Braunschweig,	w3_d427e7062
in	w5_d427e7065
Betref	w7_d427e7068
der	w9_d427e7071
Repar	w11_d427e7074
tition	w1_d427e7080
seiner	w3_d427e7083
Trupen	w5_d427e7086
in	w7_d427e7089
die	w9_d427e7092
Winterquar	w11_d427e7095
tiere	w1_d427e7100
auf	w3_d427e7103
solche	w5_d427e7106
Art,	w7_d427e7109
daß	w9_d427e7112
sie	w11_d427e7115
Hessen	w13_d427e7119
und	w15_d427e7122
die	w17_d427e7125
Hanöverische	w1_d427e7130
Gränzen	w3_d427e7133
bedecken,	w5_d427e7136
und	w7_d427e7139
das	w9_d427e7142
ihnen	w1_d427e7147
Benöhtigte	w3_d427e7150
leicht	w5_d427e7153
erhalten	w7_d427e7156
können,	w9_d427e7159
bey	w1_d427e7165
Hof	w3_d427e7168
eingeloffen.	w5_d427e7171
An	w7_d427e7174
eben	w9_d427e7177
diesem	w11_d427e7180
Tag	w13_d427e7184
hat	w1_d427e7189
auch	w3_d427e7192
der	w5_d427e7195
Königl.	w7_d427e7198
Preußische	w9_d427e7201
ausseror	w11_d427e7204
dentliche	w1_d427e7209
Envoye,	w3_d427e7212
Baron	w5_d427e7215
von	w7_d427e7218
Kniphausen,	w9_d427e7221
einen	w1_d427e7226
Currier	w3_d427e7229
von	w5_d427e7232
dem	w7_d427e7235
König	w9_d427e7238
seinen	w11_d427e7241
Herrn,	w13_d427e7245
mit	w1_d427e7251
wichtigen	w3_d427e7254
Depeschen	w5_d427e7257
empfangen,	w7_d427e7260
welche	w9_d427e7263
er	w1_d427e7268
denen	w3_d427e7271
Königlichen	w5_d427e7274
Ministern	w7_d427e7277
communi	w9_d427e7280
ciret	w1_d427e7285
hat.	w3_d427e7288
Die	w5_d427e7291
zu	w7_d427e7294
einer	w9_d427e7297
wichtigen	w11_d427e7300
Unter	w13_d427e7304
nehmung	w1_d427e7309
bestimmte	w3_d427e7312
grosse	w5_d427e7315
Flotte,	w7_d427e7318
soll	w9_d427e7321
auf	w11_d427e7324
den	w1_d427e7330
1.	w3_d427e7333
künftigen	w5_d427e7336
Monats	w7_d427e7339
zu	w9_d427e7342
Spithead	w11_d427e7345
be	w13_d427e7349
reit	w1_d427e7354
seyn,	w3_d427e7357
unter	w5_d427e7360
Seegel	w7_d427e7363
zu	w9_d427e7366
gehen,	w11_d427e7369
und	w13_d427e7373
un	w15_d427e7376
gefähr	w1_d427e7381
18000.	w3_d427e7384
Mann	w5_d427e7387
regulirter	w7_d427e7390
Trupen	w9_d427e7393
am	w1_d427e7398
Bord	w3_d427e7401
haben.	w5_d427e7404
Auch	w7_d427e7407
werden	w9_d427e7410
alle	w11_d427e7413
un	w13_d427e7417
sere	w1_d427e7423
übrige	w3_d427e7426
Flotten	w5_d427e7429
und	w7_d427e7432
Escadren	w9_d427e7435
in	w11_d427e7438
eben	w13_d427e7442
gedachtem	w1_d427e7447
Monat	w3_d427e7450
zum	w5_d427e7453
Auslauffen	w7_d427e7456
in	w9_d427e7459
Be	w11_d427e7462
reitschaft	w1_d427e7467
stehen.	w3_d427e7470
</p>
<p id="p6_d427e7473">
Der	w1_d427e7477
Groß=britannische	w3_d427e7480
Monarch	w5_d427e7483
hat	w7_d427e7486
in	w1_d427e7491
Dero	w3_d427e7494
Staats=rahte	w5_d427e7497
die	w7_d427e7500
besondere	w9_d427e7503
Belohgungen,	w1_d427e7508
welche	w3_d427e7511
für	w5_d427e7514
die	w7_d427e7517
freywillig	w9_d427e7520
auf	w1_d427e7526
der	w3_d427e7529
Königlichen	w5_d427e7532
Flotte	w7_d427e7535
in	w9_d427e7538
Diensten	w11_d427e7541
ge	w13_d427e7545
bende	w1_d427e7550
Matrosen	w3_d427e7553
und	w5_d427e7556
Soldaten	w7_d427e7559
bestimmet	w9_d427e7562
sind,	w1_d427e7567
durch	w3_d427e7570
einen	w5_d427e7573
neuen	w7_d427e7576
Schluß	w9_d427e7579
bis	w11_d427e7582
auf	w13_d427e7586
den	w1_d427e7591
nächsten	w3_d427e7594
24.	w5_d427e7597
Martii	w7_d427e7600
verlängert.	w9_d427e7603
Den	w11_d427e7606
</p>
<p id="p8_d427e7609">
4.	w1_d427e7613
haben	w3_d427e7616
sich	w5_d427e7619
der	w7_d427e7622
Prinz	w9_d427e7625
von	w11_d427e7628
Wallis,	w13_d427e7632
nebst	w15_d427e7635
noch	w1_d427e7640
9.	w3_d427e7643
von	w5_d427e7646
denen	w7_d427e7649
vornehmsten	w9_d427e7652
Engländi	w11_d427e7655
schen	w1_d427e7660
Herzogen	w3_d427e7663
und	w5_d427e7666
Grafen,	w7_d427e7669
in	w9_d427e7672
dem	w11_d427e7675
Cabi	w13_d427e7679
net	w1_d427e7685
des	w3_d427e7688
Königes	w5_d427e7691
versammlet.	w7_d427e7694
Seine	w9_d427e7697
Ma	w11_d427e7700
jestät	w1_d427e7705
hielten	w3_d427e7708
ein	w5_d427e7711
Ordens=capitel	w7_d427e7714
von	w9_d427e7717
dem	w11_d427e7720
Hosen=bande,	w1_d427e7725
und	w3_d427e7728
ernannten	w5_d427e7731
den	w7_d427e7734
Marquis	w9_d427e7737
von	w1_d427e7742
Rockingham,	w3_d427e7745
und	w5_d427e7748
den	w7_d427e7751
Graf	w9_d427e7754
Richard	w11_d427e7757
Temple,	w1_d427e7763
zu	w3_d427e7766
Ordens=rittern,	w5_d427e7769
worauf	w7_d427e7772
selbige	w9_d427e7775
mit	w1_d427e7780
dem	w3_d427e7783
gewöhnlichen	w5_d427e7786
Gepränge	w7_d427e7789
mit	w9_d427e7792
denen	w11_d427e7795
Ordens=kleinodien	w1_d427e7800
bekleidet	w3_d427e7803
worden.	w5_d427e7806
</p>
<p id="p10_d427e7809">
Der	w1_d427e7813
Herr	w3_d427e7816
Wroughton	w5_d427e7819
ist	w7_d427e7822
als	w9_d427e7825
neuer	w11_d427e7828
Con	w13_d427e7832
sul	w1_d427e7837
von	w3_d427e7840
England	w5_d427e7843
mit	w7_d427e7846
weitläuftigen	w9_d427e7849
Ver	w11_d427e7852
haltungs=befehlen	w1_d427e7857
nach	w3_d427e7860
Petersburg	w5_d427e7863
abgerei	w7_d427e7866
set.	w1_d427e7872
Mit	w3_d427e7875
der	w5_d427e7878
Escadre,	w7_d427e7881
welche	w9_d427e7884
nach	w11_d427e7887
dem	w13_d427e7891
Parlaments=schluß	w1_d427e7896
den	w3_d427e7899
nächsten	w5_d427e7902
Frühling	w7_d427e7905
in	w1_d427e7910
dem	w3_d427e7913
Baltischen	w5_d427e7916
Meer	w7_d427e7919
erscheinen	w9_d427e7922
soll	w11_d427e7925
hat	w1_d427e7930
es	w3_d427e7933
keine	w5_d427e7936
andere	w7_d427e7939
Absichten,	w9_d427e7942
als	w11_d427e7945
die	w13_d427e7949
Eng	w15_d427e7952
ländischen	w1_d427e7958
Kauffardey=schiffe,	w3_d427e7961
und	w5_d427e7964
die	w7_d427e7967
Preus	w9_d427e7970
sischen	w1_d427e7975
Küsten	w3_d427e7978
zu	w5_d427e7981
bedecken.	w7_d427e7984
</p>
<p id="p12_d427e7988">
Den	w1_d427e7992
nämlichen	w3_d427e7995
Tag	w5_d427e7998
sind	w7_d427e8001
die	w9_d427e8004
Admirals	w11_d427e8007
Boscawen	w1_d427e8012
und	w3_d427e8015
Geary,	w5_d427e8018
von	w7_d427e8021
der	w9_d427e8024
Rhede	w11_d427e8027
zu	w13_d427e8031
St.	w1_d427e8036
Helena	w3_d427e8039
abgesegelt;	w5_d427e8042
sie	w7_d427e8045
werden	w9_d427e8048
ihre	w11_d427e8051
Fahrt	w1_d427e8057
nach	w3_d427e8060
der	w5_d427e8063
Baye	w7_d427e8066
von	w9_d427e8069
Quiberon,	w11_d427e8072
gegen	w13_d427e8076
die	w1_d427e8081
Küste	w3_d427e8084
von	w5_d427e8087
Bretagne	w7_d427e8090
nehmen,	w9_d427e8093
allwo	w11_d427e8096
sich	w1_d427e8101
bereits	w3_d427e8104
20.	w5_d427e8107
Engländische	w7_d427e8110
Kriegs=schiffe	w9_d427e8113
befinden.	w1_d427e8118
Den	w3_d427e8121
26.	w5_d427e8124
des	w7_d427e8127
verwichenen	w9_d427e8130
Ja	w11_d427e8133
nuarii	w1_d427e8139
Abends,	w3_d427e8142
hat	w5_d427e8145
das	w7_d427e8148
Feuer	w9_d427e8151
zu	w11_d427e8154
Wolwich	w13_d427e8158
ein	w1_d427e8163
Vorraht=haus	w3_d427e8166
ergriffen;	w5_d427e8169
hier	w7_d427e8172
befande	w9_d427e8175
sich	w1_d427e8180
eine	w3_d427e8183
grosse	w5_d427e8186
Menge	w7_d427e8189
gefüllter	w9_d427e8192
Bomben,	w11_d427e8195
und	w1_d427e8200
da	w3_d427e8203
niemand	w5_d427e8206
zur	w7_d427e8209
Rettung	w9_d427e8212
beyspringen	w11_d427e8215
konnte,	w1_d427e8221
so	w3_d427e8224
ist	w5_d427e8227
das	w7_d427e8230
ganze	w9_d427e8233
Magazin	w11_d427e8236
in	w13_d427e8240
einen	w15_d427e8243
Aschen=haufen	w1_d427e8248
verwandelt	w3_d427e8251
worden.	w5_d427e8254
</p>
<p id="p14_d427e8257">
Vor	w1_d427e8261
einigen	w3_d427e8264
Tagen	w5_d427e8267
brache	w7_d427e8270
das	w9_d427e8273
Eis	w11_d427e8276
in	w13_d427e8280
der	w1_d427e8285
Temse	w3_d427e8288
los;	w5_d427e8291
und	w7_d427e8294
setzte	w9_d427e8297
alle	w11_d427e8300
darauf	w13_d427e8304
lie	w15_d427e8307
gende	w1_d427e8312
Schiffe	w3_d427e8315
in	w5_d427e8318
die	w7_d427e8321
gröste	w9_d427e8324
Gefahr;	w11_d427e8327
bey	w13_d427e8331
nahe	w1_d427e8337
100.	w3_d427e8340
Fahrzeuge	w5_d427e8343
wurden	w7_d427e8346
fortgerissen,	w9_d427e8349
und	w1_d427e8354
sehr	w3_d427e8357
viele	w5_d427e8360
haben	w7_d427e8363
vornemlich	w9_d427e8366
an	w11_d427e8369
ihren	w13_d427e8373
Stricken	w1_d427e8378
und	w3_d427e8381
Tauwerken	w5_d427e8384
Schaden	w7_d427e8387
gelitten	w9_d427e8390
Man	w1_d427e8395
sahe	w3_d427e8398
auf	w5_d427e8401
dem	w7_d427e8404
Eise	w9_d427e8407
verschiedene	w11_d427e8410
Lei	w13_d427e8414
chen	w1_d427e8420
schwimmen;	w3_d427e8423
kurtz,	w5_d427e8426
der	w7_d427e8429
Aublick	w9_d427e8432
war	w11_d427e8435
gräßlich	w1_d427e8440
und	w3_d427e8443
um	w5_d427e8446
so	w7_d427e8449
rührender,	w9_d427e8452
als	w11_d427e8455
mensch	w13_d427e8459
liche	w1_d427e8464
Hülfe	w3_d427e8467
hier	w5_d427e8470
nichts	w7_d427e8473
ausrichten	w9_d427e8476
konnte	w11_d427e8479
</p>
<p id="p20_d427e8492">
An	w1_d427e8496
dem	w3_d427e8499
Stephans=tage	w5_d427e8502
ist	w7_d427e8505
zu	w9_d427e8508
Haverfort	w11_d427e8511
ein	w1_d427e8516
heftiger	w3_d427e8519
See=sturm	w5_d427e8522
gewesen;	w7_d427e8525
er	w9_d427e8528
fieng	w11_d427e8531
mit	w1_d427e8536
einem	w3_d427e8539
erschrecklichen	w5_d427e8542
Donner=wetter	w7_d427e8545
an.	w1_d427e8551
Hierauf	w3_d427e8554
erfolgte	w5_d427e8557
eine	w7_d427e8560
Menge	w9_d427e8563
von	w11_d427e8566
dem	w13_d427e8570
allergrösten	w1_d427e8575
Hagel;	w3_d427e8578
fast	w5_d427e8581
alle	w7_d427e8584
Fensterschei	w9_d427e8587
ben	w1_d427e8592
sind	w3_d427e8595
gegen	w5_d427e8598
Westen	w7_d427e8601
dadurch	w9_d427e8604
zerschmet	w11_d427e8607
tert	w1_d427e8612
worden,	w3_d427e8615
ja	w5_d427e8618
man	w7_d427e8621
konnte	w9_d427e8624
nicht	w11_d427e8627
Glas	w13_d427e8631
genug	w1_d427e8637
finden,	w3_d427e8640
um	w5_d427e8643
die	w7_d427e8646
Häuser	w9_d427e8649
auszubessern.	w11_d427e8652
Jn	w1_d427e8657
Jrrland	w3_d427e8660
wird	w5_d427e8663
ein	w7_d427e8666
Artillerie=corps	w9_d427e8669
</p>
<p id="p22_d427e8672">
nach	w1_d427e8676
dem	w3_d427e8679
neuen	w5_d427e8682
Plan	w7_d427e8685
aufgerichtet,	w9_d427e8688
und	w11_d427e8691
hie	w13_d427e8695
von	w1_d427e8700
der	w3_d427e8703
Herr	w5_d427e8706
Graf	w7_d427e8709
von	w9_d427e8712
Kildarn	w11_d427e8715
zum	w13_d427e8719
Ober	w15_d427e8722
sten	w1_d427e8727
ernennet	w3_d427e8730
werden.	w5_d427e8733
</p>
<head id="h2_d427e8739">
Rom	w1_d427e8743
2.	w3_d427e8746
Febr.	w5_d427e8749
</head>
<p id="p4_d427e8752">
Aus	w1_d427e8756
allen	w3_d427e8759
Städten	w5_d427e8762
der	w7_d427e8765
Provinz	w9_d427e8768
della	w11_d427e8771
Marca,	w1_d427e8776
vornämlich	w3_d427e8779
aber	w5_d427e8782
aus	w7_d427e8785
Fabriano,	w9_d427e8788
wird	w1_d427e8793
gemeldet,	w3_d427e8796
daß	w5_d427e8799
man	w7_d427e8802
ein	w9_d427e8805
starkes	w11_d427e8808
Erd	w13_d427e8812
beben	w1_d427e8818
verspühret	w3_d427e8821
habe,	w5_d427e8824
welches	w7_d427e8827
ausser	w9_d427e8830
dem	w11_d427e8833
Schrecken	w1_d427e8838
weiters	w3_d427e8841
keinen	w5_d427e8844
sonderlichen	w7_d427e8847
Scha	w9_d427e8850
den	w1_d427e8855
gethan,	w3_d427e8858
jedoch	w5_d427e8861
aber	w7_d427e8864
zu	w9_d427e8867
Cascia	w11_d427e8870
etliche	w13_d427e8874
Häuser	w1_d427e8879
umgestürzet	w3_d427e8882
hat.	w5_d427e8885
Der	w7_d427e8888
Herr	w9_d427e8891
Car	w11_d427e8894
dinal=vicarius	w1_d427e8900
Erba	w3_d427e8903
hat	w5_d427e8906
von	w7_d427e8909
Sr.	w9_d427e8912
Päpstl.	w11_d427e8915
Heiligkeit,	w1_d427e8920
mittelst	w3_d427e8923
eines	w5_d427e8926
Breye,	w7_d427e8929
die	w9_d427e8932
be	w11_d427e8935
sondere	w1_d427e8940
Gewalt	w3_d427e8943
überkommen,	w5_d427e8946
nicht	w7_d427e8949
nur	w9_d427e8952
selbst	w1_d427e8957
die	w3_d427e8960
Benediction	w5_d427e8963
in	w7_d427e8966
Articulo	w9_d427e8969
mortis	w11_d427e8972
zu	w13_d427e8976
ertheilen,	w1_d427e8982
sondern	w3_d427e8985
auch	w5_d427e8988
andern	w7_d427e8991
vornehmen	w9_d427e8994
Geistlichen,	w1_d427e8999
Pfarrern,	w3_d427e9002
Beicht=vättern,	w5_d427e9005
Rectoribus	w1_d427e9010
derer	w3_d427e9013
Kirchen	w5_d427e9016
rc.	w7_d427e9019
die	w9_d427e9022
Befugnuß	w11_d427e9025
dazu	w1_d427e9030
zu	w3_d427e9033
geben;	w5_d427e9036
welcherwegen	w7_d427e9039
auch	w9_d427e9042
Se.	w11_d427e9045
Eminenz	w1_d427e9051
ein	w3_d427e9054
Edict	w5_d427e9057
haben	w7_d427e9060
zum	w9_d427e9063
Druck	w11_d427e9066
beför	w13_d427e9070
deren	w1_d427e9075
lassen.	w3_d427e9078
Der	w5_d427e9081
Herr	w7_d427e9084
Cardinal	w9_d427e9087
Bardi	w11_d427e9090
ist	w1_d427e9095
nach	w3_d427e9098
einem	w5_d427e9101
etlich	w7_d427e9104
tägigen	w9_d427e9107
Aufenthalt	w11_d427e9110
zu	w13_d427e9114
Frascati	w1_d427e9119
hieher	w3_d427e9122
nach	w5_d427e9125
Rom	w7_d427e9128
zuruck	w9_d427e9131
gekommen.	w11_d427e9134
Am	w1_d427e9140
Dienstag	w3_d427e9143
Vormittags	w5_d427e9146
wurde	w7_d427e9149
bey	w9_d427e9152
dem	w11_d427e9155
Staats=secretario,	w1_d427e9160
mit	w3_d427e9163
denen	w5_d427e9166
Herren	w7_d427e9169
Car	w9_d427e9172
dinälen	w1_d427e9177
Lanti,	w3_d427e9180
Ferroni,	w5_d427e9183
Perelli,	w7_d427e9186
Conti	w9_d427e9189
und	w1_d427e9194
Rezzonico,	w3_d427e9197
denen	w5_d427e9200
Herren	w7_d427e9203
Schatz=mei	w9_d427e9206
stern	w1_d427e9212
Rubini,	w3_d427e9215
Delci	w5_d427e9218
und	w7_d427e9221
Vicentini,	w9_d427e9224
we	w11_d427e9227
gen	w1_d427e9232
eines	w3_d427e9235
Entschlusses	w5_d427e9238
in	w7_d427e9241
verschiedenen	w9_d427e9244
Ma	w11_d427e9247
terien,	w1_d427e9252
eine	w3_d427e9255
Oeconomische	w5_d427e9258
Congregation	w7_d427e9261
gehalten.	w1_d427e9266
Selbigen	w3_d427e9269
Vormittags	w5_d427e9272
haben	w7_d427e9275
die	w9_d427e9278
Herren	w1_d427e9284
Costanzi	w3_d427e9287
und	w5_d427e9290
Marcolini	w7_d427e9293
bey	w9_d427e9296
Sr.	w11_d427e9299
Heiligkeit	w1_d427e9304
Audienz	w3_d427e9307
gehabt.	w5_d427e9310
Der	w7_d427e9313
Herr	w9_d427e9316
Gon	w11_d427e9319
</p>
<p id="p6_d427e9322">
verneule	w1_d427e9326
zu	w3_d427e9329
Rom	w5_d427e9332
hat	w7_d427e9335
ein	w9_d427e9338
Edict	w11_d427e9341
auschlagen	w13_d427e9345
lassen,	w1_d427e9350
wodurch	w3_d427e9353
alle	w5_d427e9356
Vagabunden	w7_d427e9359
und	w9_d427e9362
an	w11_d427e9365
dere	w1_d427e9370
zumal	w3_d427e9373
fremde	w5_d427e9376
Müßiggänger,	w7_d427e9379
bey	w9_d427e9382
Straf	w1_d427e9388
der	w3_d427e9391
Einsperrung	w5_d427e9394
und	w7_d427e9397
Züchtigung	w9_d427e9400
ge	w11_d427e9403
warnet	w1_d427e9408
werden,	w3_d427e9411
nach	w5_d427e9414
Verlauf	w7_d427e9417
8.	w9_d427e9420
Tagen,	w11_d427e9423
sich	w1_d427e9428
nicht	w3_d427e9431
mehr	w5_d427e9434
betretten	w7_d427e9437
zu	w9_d427e9440
lassen.	w11_d427e9443
Am	w1_d427e9448
Mittwoch	w1_d427e9454
Vormittags	w3_d427e9457
ist	w5_d427e9460
wegen	w7_d427e9463
der	w9_d427e9466
Jnne	w11_d427e9469
stitur	w1_d427e9474
des	w3_d427e9477
Königreichs	w5_d427e9480
Neapolis,	w7_d427e9483
unter	w9_d427e9486
denen	w1_d427e9491
Herren	w3_d427e9494
Cardinälen	w5_d427e9497
Delci,	w7_d427e9500
Alex	w9_d427e9503
ander	w1_d427e9508
Albani,	w3_d427e9511
Paßionei,	w5_d427e9514
dem	w7_d427e9517
Herrn	w9_d427e9520
Schatz=meister	w1_d427e9526
Rubini,	w3_d427e9529
und	w5_d427e9532
Antonelli	w7_d427e9535
eine	w9_d427e9538
Congregation	w1_d427e9543
zur	w3_d427e9546
Untersuchung	w5_d427e9549
der	w7_d427e9552
Procura	w9_d427e9555
des	w1_d427e9560
Herrn	w3_d427e9563
Cardinals	w5_d427e9566
Orsini	w7_d427e9569
gehalten	w9_d427e9572
wor	w11_d427e9575
den,	w1_d427e9580
worauf	w3_d427e9583
eine	w5_d427e9586
allgemeine	w7_d427e9589
Congregation	w9_d427e9592
des	w1_d427e9598
ganzen	w3_d427e9601
Heil.	w5_d427e9604
Collegii	w7_d427e9607
angesaget	w9_d427e9610
worden	w11_d427e9613
ist,	w1_d427e9618
um	w3_d427e9621
von	w5_d427e9624
Sr.	w7_d427e9627
Heiligkeit	w9_d427e9630
darüber	w11_d427e9633
ihre	w13_d427e9637
Vota	w1_d427e9642
abzulegen,	w3_d427e9645
und	w5_d427e9648
alles,	w7_d427e9651
gedachte	w9_d427e9654
Jn	w11_d427e9657
vestitur	w1_d427e9662
Betreffende,	w3_d427e9665
fest	w5_d427e9668
zu	w7_d427e9671
setzen.	w9_d427e9674
Der	w11_d427e9677
Herr	w1_d427e9683
Cardinal	w3_d427e9686
Gualtieri	w5_d427e9689
hat	w7_d427e9692
nach	w9_d427e9695
gehal	w11_d427e9698
tenen	w1_d427e9703
solennen	w3_d427e9706
Einzug	w5_d427e9709
am	w7_d427e9712
Donnerstag	w9_d427e9715
Vor	w11_d427e9718
mittags	w1_d427e9723
sich	w3_d427e9726
nebst	w5_d427e9729
noch	w7_d427e9732
12.	w9_d427e9735
anderen	w11_d427e9738
Herren	w13_d427e9742
