<doc id="wr_1762-08-25" attrs="word" year="1762" month="08" day="25" corpus="2">
<head id="h2_d685e2142">
Lisabon	w1_d685e2146
Stadt.	w5_d685e5815
</head>
<list id="l4_d685e5818">
Der	w1_d685e5822
Wol=ehrw.	w3_d685e5825
P.	w5_d685e5828
Livinus,	w7_d685e5831
Vienensis,	w9_d685e5834
Ord.	w11_d685e5837
St.	w13_d685e5841
Franc.	w1_d685e5846
Capucin.,	w3_d685e5849
im	w5_d685e5852
Klost.	w7_d685e5855
am	w9_d685e5858
neuen	w11_d685e5861
Markt,	w13_d685e5865
alt	w1_d685e5870
27.	w3_d685e5873
J.	w5_d685e5876
Der	w1_d685e5882
Wol=edle	w3_d685e5885
Hr.	w5_d685e5888
Leop.	w7_d685e5891
von	w9_d685e5894
Hein,	w11_d685e5897
K.	w13_d685e5901
K.	w15_d685e5904
N.	w17_d685e5907
Ok.	w19_d685e5910
Reg=cancellist,	w1_d685e5915
im	w3_d685e5918
Gaminger=hof,	w5_d685e5921
alt	w7_d685e5924
56.	w9_d685e5927
J.	w11_d685e5930
Dem	w1_d685e5935
Joh.	w3_d685e5938
Georg	w5_d685e5941
Fischer,	w7_d685e5944
Burgerl.	w9_d685e5947
Schneid.,	w11_d685e5950
s.	w13_d685e5954
W.	w15_d685e5957
Magdal.,	w1_d685e5962
im	w3_d685e5965
Dewielis.	w5_d685e5968
H.	w7_d685e5971
im	w9_d685e5974
Winter=gäs.,	w11_d685e5977
alt	w13_d685e5981
84.	w1_d685e5987
J.	w3_d685e5990
Georg	w1_d685e5995
Hofinger,	w3_d685e5998
gew.	w5_d685e6001
Burgerl.	w7_d685e6004
Handschuhmach.,	w9_d685e6007
in	w1_d685e6012
s.	w3_d685e6015
H.	w5_d685e6018
am	w7_d685e6021
Jesuiter=plätzel,	w9_d685e6024
alt	w11_d685e6027
68.	w13_d685e6031
J.	w15_d685e6034
Dem	w1_d685e6039
Leop.	w3_d685e6042
Pausinger,	w5_d685e6045
Burgerl.	w7_d685e6048
Schuhmach.,	w9_d685e6051
s.	w11_d685e6054
W.	w13_d685e6058
Anna,	w1_d685e6064
bey	w3_d685e6067
dem	w5_d685e6070
Küß	w7_d685e6073
den=pfen.	w9_d685e6076
am	w11_d685e6079
rot.	w13_d685e6083
Thurn,	w15_d685e6086
alt	w1_d685e6091
34.	w3_d685e6094
J.	w5_d685e6097
Dem	w1_d685e6102
Hrn.	w3_d685e6105
Franz	w5_d685e6108
Faller,	w7_d685e6111
Hof=ziegel=deckmeist.,	w9_d685e6114
s.	w11_d685e6117
K.	w1_d685e6122
Eva,	w3_d685e6125
im	w5_d685e6128
Freysinger=hof,	w7_d685e6131
alt	w9_d685e6134
6.	w11_d685e6137
v.	w13_d685e6141
J.	w15_d685e6144
</list>
<head id="h2_d685e6151">
Vor	w1_d685e6155
der	w3_d685e6158
Stadt.	w5_d685e6161
</head>
<list id="l4_d685e6164">
Der	w1_d685e6168
Wol=ehrw.	w3_d685e6171
P.	w5_d685e6174
Felix	w7_d685e6177
à	w9_d685e6180
S.	w11_d685e6183
Urbano,	w13_d685e6187
Ord.	w15_d685e6190
Car	w17_d685e6193
mel.,	w1_d685e6198
im	w3_d685e6201
Klost.	w5_d685e6204
in	w7_d685e6207
der	w9_d685e6210
Leopoldst.,	w11_d685e6213
alt	w13_d685e6217
58.	w15_d685e6220
J.	w17_d685e6223
Dem	w1_d685e6228
Mart.	w3_d685e6231
Toninger,	w5_d685e6234
Burgerl.	w7_d685e6237
Schuhmach.,	w9_d685e6240
s.	w11_d685e6243
K.	w13_d685e6247
Elisab.,	w1_d685e6253
im	w3_d685e6256
Tischleris.	w5_d685e6259
H.	w7_d685e6262
auf	w9_d685e6265
der	w11_d685e6268
Wied.,	w13_d685e6272
6.	w15_d685e6275
J.	w17_d685e6278
Steph.	w1_d685e6283
Attenberger,	w3_d685e6286
Burgerl.	w5_d685e6289
Glas.,	w7_d685e6292
im	w9_d685e6295
Drexle	w11_d685e6298
ris.	w1_d685e6303
H.	w3_d685e6306
auf	w5_d685e6309
der	w7_d685e6312
Landstr.,	w9_d685e6315
alt	w11_d685e6318
65.	w13_d685e6322
J.	w15_d685e6325
Joh.	w1_d685e6330
Freudenschuß,	w3_d685e6333
in	w5_d685e6336
St.	w7_d685e6339
Joh.	w9_d685e6342
Nep.	w11_d685e6345
Spit.,	w13_d685e6349
75.	w15_d685e6352
J.	w17_d685e6355
Susan.	w1_d685e6361
Krotzin,	w3_d685e6364
ledig,	w5_d685e6367
bey	w7_d685e6370
der	w9_d685e6373
bl.	w11_d685e6376
Ent.	w13_d685e6380
zu	w15_d685e6383
Mätz	w17_d685e6386
leinstorf,	w1_d685e6391
alt	w3_d685e6394
30.	w5_d685e6397
J.	w7_d685e6400
Joh.	w1_d685e6405
Schlegel,	w3_d685e6408
grün.	w5_d685e6411
Kräutl.,	w7_d685e6414
beym	w9_d685e6417
schwarz.	w11_d685e6420
Thor	w13_d685e6424
am	w1_d685e6429
Thury,	w3_d685e6432
alt	w5_d685e6435
48.	w7_d685e6438
J.	w9_d685e6441
Dem	w1_d685e6447
Thom.	w3_d685e6450
Muck,	w5_d685e6453
Lehen=kutsch.,	w7_d685e6456
s.	w9_d685e6459
K	w11_d685e6462
Francisca,	w13_d685e6466
beym	w1_d685e6471
grün.	w3_d685e6474
Rös.	w5_d685e6477
im	w7_d685e6480
Liechtenth.,	w9_d685e6483
alt	w11_d685e6486
6.	w13_d685e6490
v.	w15_d685e6493
J.	w17_d685e6496
Dem	w1_d685e6501
Joh.	w3_d685e6504
Georg	w5_d685e6507
Danhofer,	w7_d685e6510
Schneid.,	w9_d685e6513
s.	w11_d685e6516
K.	w13_d685e6520
Ja	w15_d685e6523
cob,	w1_d685e6528
beym	w3_d685e6531
bl.	w5_d685e6534
Stern	w7_d685e6537
im	w9_d685e6540
Liechtenth.,	w11_d685e6543
alt	w13_d685e6547
1.	w15_d685e6550
J.	w17_d685e6553
</list>
<head id="h2_d685e6560">
Summa	w1_d685e6564
14.	w3_d685e6567
Pers.,	w5_d685e6570
darunter	w7_d685e6573
4.	w9_d685e6576
Kinder.	w11_d685e6579
Den	w1_d685e6584
20.	w3_d685e6587
Aug.	w5_d685e6590
Jn	w1_d685e6595
der	w3_d685e6598
Stadt.	w5_d685e6601
</head>
<list id="l4_d685e6604">
Dem	w1_d685e6608
Jos.	w3_d685e6611
Ludwig,	w5_d685e6614
Burgerl.	w7_d685e6617
Buchbind.,	w9_d685e6620
s.	w11_d685e6623
K.	w13_d685e6627
Franz,	w15_d685e6630
im	w1_d685e6635
Vorreiteris.	w3_d685e6638
H.	w5_d685e6641
am	w7_d685e6644
Franciscaner=platz,	w9_d685e6647
3.	w11_d685e6650
J.	w13_d685e6654
Dem	w1_d685e6659
Math.	w3_d685e6662
Kreineder,	w5_d685e6665
Hausmeist.,	w7_d685e6668
s.	w9_d685e6671
K.	w11_d685e6674
Barb.,	w13_d685e6678
im	w1_d685e6684
Neuberger=hof,	w3_d685e6687
alt	w5_d685e6690
2.	w7_d685e6693
J.	w9_d685e6696
</list>
<head id="h2_d685e6703">
Vor	w1_d685e6707
der	w3_d685e6710
Stadt.	w5_d685e6713
</head>
<list id="l4_d685e6716">
Dem	w1_d685e6720
Hrn.	w3_d685e6723
Joh.	w5_d685e6726
Mart.	w7_d685e6729
Rumfeld,	w9_d685e6732
verschied.	w11_d685e6735
Herr	w13_d685e6739
schaft.	w1_d685e6744
Jnspect,	w3_d685e6747
s.	w5_d685e6750
Fr.	w7_d685e6753
Maria	w9_d685e6756
Anna,	w11_d685e6759
im	w13_d685e6763
Knittel	w15_d685e6766
mayris	w1_d685e6771
H.	w3_d685e6774
in	w5_d685e6777
der	w7_d685e6780
Leopoldst.,	w9_d685e6783
alt	w11_d685e6786
60.	w13_d685e6790
J.	w15_d685e6793
Dem	w1_d685e6799
Hrn	w3_d685e6802
Franz	w5_d685e6805
Ulman,	w7_d685e6808
Regens=chori,	w9_d685e6811
s.	w11_d685e6814
T.	w13_d685e6818
The	w15_d685e6821
res.,	w1_d685e6826
im	w3_d685e6829
Broglis.	w5_d685e6832
H	w7_d685e6835
in	w9_d685e6838
der	w11_d685e6841
Leopoldst.,	w13_d685e6845
alt	w15_d685e6848
7.	w17_d685e6851
J.	w19_d685e6854
Dem	w1_d685e6859
Ant.	w3_d685e6862
Hechtl,	w5_d685e6865
Silber=schleif.,	w7_d685e6868
s.	w9_d685e6871
K.	w11_d685e6874
Theres.,	w13_d685e6878
im	w15_d685e6881
Schellenbergis.	w1_d685e6886
Gart.	w3_d685e6889
ausser	w5_d685e6892
Maria=hülf,	w7_d685e6895
4.	w9_d685e6898
J.	w11_d685e6901
Caben	w1_d685e6907
</list>
<list id="l8_d685e6913">
Cathar.	w1_d685e6917
Uberrackerin,	w3_d685e6920
ledig,	w5_d685e6923
im	w7_d685e6926
Tischleris.	w9_d685e6929
H.	w11_d685e6932
in	w13_d685e6936
der	w1_d685e6941
Leopoldst.,	w3_d685e6944
alt	w5_d685e6947
50.	w7_d685e6950
J.	w9_d685e6953
Elisab.	w1_d685e6958
Moserin,	w3_d685e6961
Witwe,	w5_d685e6964
beym	w7_d685e6967
gr.	w9_d685e6970
Jäg.	w11_d685e6973
ober	w13_d685e6977
dem	w15_d685e6980
Neustift,	w1_d685e6986
alt	w3_d685e6989
66.	w5_d685e6992
J.	w7_d685e6995
Susan.	w1_d685e7000
Englin,	w3_d685e7003
in	w5_d685e7006
St.	w7_d685e7009
Joh.	w9_d685e7012
Nep.	w11_d685e7015
Spit,	w13_d685e7019
75.	w15_d685e7022
J.	w17_d685e7025
Dem	w1_d685e7030
Paul	w3_d685e7033
Nidermayr,	w5_d685e7036
Schuhmach.,	w7_d685e7039
s.	w9_d685e7042
K.	w11_d685e7045
Victo	w13_d685e7049
ria,	w1_d685e7054
beym	w3_d685e7057
kl.	w5_d685e7060
Wall=fisch	w7_d685e7063
im	w9_d685e7066
Lerchenf.	w11_d685e7069
6.	w13_d685e7073
v.	w15_d685e7076
J.	w17_d685e7079
</list>
<head id="h2_d685e7086">
Summa	w1_d685e7090
9.	w3_d685e7093
Person.,	w5_d685e7096
darunter	w7_d685e7099
5.	w9_d685e7102
Kind.	w11_d685e7105
Den	w1_d685e7110
21.	w3_d685e7113
Aug.	w5_d685e7116
Jn	w1_d685e7121
der	w3_d685e7124
Stadt.	w5_d685e7127
</head>
<list id="l4_d685e7130">
Dem	w1_d685e7134
Hrn.	w3_d685e7137
Corrantin	w5_d685e7140
Hue,	w7_d685e7143
K	w9_d685e7146
Koch,	w11_d685e7149
s.	w13_d685e7153
Fr.	w15_d685e7156
Cath.	w17_d685e7159
im	w1_d685e7164
Neu=bad	w3_d685e7167
in	w5_d685e7170
ber	w7_d685e7173
Nagler=gas.,	w9_d685e7176
alt	w11_d685e7179
31.	w13_d685e7183
J.	w15_d685e7186
Dem	w1_d685e7191
Hrn.	w3_d685e7194
Joh.	w5_d685e7197
Conrado	w7_d685e7200
Caspar,	w9_d685e7203
Niederlagsbuch	w11_d685e7206
halt.,	w1_d685e7212
s.	w3_d685e7215
Fr.	w5_d685e7218
Sabina,	w7_d685e7221
in	w9_d685e7224
der	w11_d685e7227
kl.	w13_d685e7231
Lands	w15_d685e7234
kron,	w17_d685e7237
alt	w19_d685e7240
69.	w1_d685e7245
J.	w3_d685e7248
</list>
<head id="h2_d685e7256">
Vor	w1_d685e7260
der	w3_d685e7263
Stadt.	w5_d685e7266
</head>
<list id="l4_d685e7269">
Dem	w1_d685e7273
Joh.	w3_d685e7276
Werle,	w5_d685e7279
Burgerl.	w7_d685e7282
Sail.,	w9_d685e7285
s.	w11_d685e7288
K.	w13_d685e7292
Jos.,	w15_d685e7295
im	w17_d685e7298
Segelmülneris.	w1_d685e7303
H	w3_d685e7306
zu	w5_d685e7309
Erdberg,	w7_d685e7312
alt	w9_d685e7315
6.	w11_d685e7318
J.	w13_d685e7322
Franz	w1_d685e7327
Hausmann,	w3_d685e7330
Wais,	w5_d685e7333
bey	w7_d685e7336
der	w9_d685e7339
gold.	w11_d685e7342
Weintr.	w13_d685e7346
auf	w1_d685e7352
der	w3_d685e7355
Landstr.,	w5_d685e7358
alt	w7_d685e7361
2.	w9_d685e7364
J.	w11_d685e7367
Dem	w1_d685e7372
Joh.	w3_d685e7375
Marelli,	w5_d685e7378
gew.	w7_d685e7381
K.	w9_d685e7384
Büchsenmeist.,	w11_d685e7387
s.	w13_d685e7391
K.	w15_d685e7394
Pet.,	w1_d685e7399
beym	w3_d685e7402
H.	w5_d685e7405
Geist	w7_d685e7408
im	w9_d685e7411
Lerchenf,	w11_d685e7414
alt	w13_d685e7418
4.	w15_d685e7421
J.	w17_d685e7424
Theres.	w1_d685e7429
Hanslin,	w3_d685e7432
in	w5_d685e7435
St.	w7_d685e7438
Joh.	w9_d685e7441
Nep.	w11_d685e7444
Spit,	w13_d685e7448
86.	w15_d685e7451
J.	w17_d685e7454
Dem	w1_d685e7460
Fried.	w3_d685e7463
Peserle,	w5_d685e7466
Lack.,	w7_d685e7469
s.	w9_d685e7472
W.	w11_d685e7475
Barb.,	w13_d685e7479
bey	w15_d685e7482
der	w17_d685e7485
Stadt	w1_d685e7490
Belgrad	w3_d685e7493
in	w5_d685e7496
der	w7_d685e7499
Josephst,	w9_d685e7502
alt	w11_d685e7505
62.	w13_d685e7509
J.	w15_d685e7512
Dem	w1_d685e7517
Ant	w3_d685e7520
Lutz,	w5_d685e7523
Maurer=ges.,	w7_d685e7526
s.	w9_d685e7529
K.	w11_d685e7532
Anna,	w13_d685e7536
beym	w15_d685e7539
stein.	w1_d685e7544
Kopf	w3_d685e7547
oberm	w5_d685e7550
Neustift,	w7_d685e7553
alt	w9_d685e7556
4.	w11_d685e7559
J.	w13_d685e7563
Dem	w1_d685e7569
Paul	w3_d685e7572
Reich,	w5_d685e7575
Taglöhn.,	w7_d685e7578
s.	w9_d685e7581
K.	w11_d685e7584
Cathar.,	w13_d685e7588
bey	w15_d685e7591
der	w1_d685e7596
schön	w3_d685e7599
Schäf.	w5_d685e7602
am	w7_d685e7605
Himmel	w9_d685e7608
pfort=gr	w11_d685e7611
6.	w13_d685e7615
v.	w15_d685e7618
J.	w17_d685e7621
Dem	w1_d685e7626
Joh.	w3_d685e7629
Georg	w5_d685e7632
Kollinger,	w7_d685e7635
Wäschern,	w9_d685e7638
s.	w11_d685e7641
K.	w13_d685e7645
Jos.,	w15_d685e7648
im	w1_d685e7653
Hof=satleris.	w3_d685e7656
H.	w5_d685e7659
zu	w7_d685e7662
Gumpendorf,	w9_d685e7665
alt	w11_d685e7668
2.	w13_d685e7672
J.	w15_d685e7675
Dem	w1_d685e7681
Jacob	w3_d685e7684
Flotschard,	w5_d685e7687
Taglöhn.,	w7_d685e7690
s.	w9_d685e7693
K.	w11_d685e7696
Cathar.,	w13_d685e7700
im	w1_d685e7705
Ziegleris.	w3_d685e7708
H.	w5_d685e7711
zu	w7_d685e7714
Nicolstorf,	w9_d685e7717
alt	w11_d685e7720
2.	w13_d685e7724
J.	w15_d685e7727
</list>
<head id="h2_d685e7734">
Summa	w1_d685e7738
11.	w3_d685e7741
Pers.,	w5_d685e7744
darunter	w7_d685e7747
7.	w9_d685e7750
Kind.	w11_d685e7753
Den	w1_d685e7758
22.	w3_d685e7761
Aug.	w5_d685e7764
Jn	w7_d685e7767
der	w9_d685e7770
Stadt.	w11_d685e7773
Niemand.	w1_d685e7778
Vor	w1_d685e7784
der	w3_d685e7787
Stadt.	w5_d685e7790
</head>
<list id="l4_d685e7793">
Hr.	w1_d685e7797
Mich.	w3_d685e7800
Heyserer,	w5_d685e7803
K.	w7_d685e7806
K.	w9_d685e7809
Bier=schreib.	w11_d685e7812
im	w13_d685e7816
Bräu	w15_d685e7819
H.	w1_d685e7824
in	w3_d685e7827
der	w5_d685e7830
Leopoldst.,	w7_d685e7833
alt	w9_d685e7836
63.	w11_d685e7839
J.	w13_d685e7843
Dem	w1_d685e7848
Joh.	w3_d685e7851
Hansen,	w5_d685e7854
Burgerl	w7_d685e7857
Drat=zieh.,	w9_d685e7860
s.	w11_d685e7863
W.	w13_d685e7867
The	w15_d685e7870
res.,	w1_d685e7876
baym	w3_d685e7879
gold.	w5_d685e7882
Löw.	w7_d685e7885
am	w9_d685e7888
Neustift,	w11_d685e7891
alt	w13_d685e7895
36.	w15_d685e7898
J.	w17_d685e7901
Dem	w1_d685e7906
Joh.	w3_d685e7909
Wild,	w5_d685e7912
Burgerl.	w7_d685e7915
Dür=kräutl.,	w9_d685e7918
s.	w11_d685e7921
W.	w13_d685e7925
Magdal.,	w1_d685e7930
im	w3_d685e7933
Druckeris.	w5_d685e7936
H.	w7_d685e7939
bey	w9_d685e7942
St.	w11_d685e7945
Ulrich,	w13_d685e7949
62.	w15_d685e7952
J.	w17_d685e7955
Elisab.	w1_d685e7960
Franzin,	w3_d685e7963
ledig,	w5_d685e7966
im	w7_d685e7969
Luprestis.	w9_d685e7972
H.	w11_d685e7975
auf	w13_d685e7979
der	w15_d685e7982
Wied.,	w1_d685e7988
alt	w3_d685e7991
24.	w5_d685e7994
J.	w7_d685e7997
Joh.	w1_d685e8002
Berger,	w3_d685e8005
Maurer,	w5_d685e8008
bey	w7_d685e8011
der	w9_d685e8014
gold	w11_d685e8017
Sonn	w13_d685e8021
bey	w15_d685e8024
Maria	w1_d685e8029
hülf,	w3_d685e8032
alt	w5_d685e8035
55.	w7_d685e8038
J.	w9_d685e8041
Eva	w1_d685e8046
Summerin,	w3_d685e8049
Wittwe,	w5_d685e8052
im	w7_d685e8055
Hegelmüllerisch.	w9_d685e8058
H.	w11_d685e8061
zu	w1_d685e8067
Erdberg,	w3_d685e8070
alt	w5_d685e8073
64.	w7_d685e8076
J.	w9_d685e8079
Dem	w1_d685e8084
Carl	w3_d685e8087
Wuner,	w5_d685e8090
Taglöhn.,	w7_d685e8093
s.	w9_d685e8096
K.	w11_d685e8099
Cathar.	w13_d685e8103
beym	w15_d685e8106
gut.	w1_d685e8111
Hirt.	w3_d685e8114
im	w5_d685e8117
Liechtenth.,	w7_d685e8120
alt	w9_d685e8123
11.	w11_d685e8126
J.	w13_d685e8130
</list>
<head id="h2_d685e8137">
Summa	w1_d685e8141
7.	w3_d685e8144
Pers.,	w5_d685e8147
darunter	w7_d685e8150
1.	w9_d685e8153
Kind.	w11_d685e8156
</head>
<p id="p4_d685e8159">
NB.	w1_d685e8163
in	w3_d685e8166
dem	w5_d685e8169
vorletzten	w7_d685e8172
Diario	w9_d685e8175
Num.	w11_d685e8178
67.	w13_d685e8182
den	w15_d685e8185
17.	w1_d685e8190
Aug.	w3_d685e8193
ist	w5_d685e8196
statt	w7_d685e8199
den	w9_d685e8202
Hrn.	w11_d685e8205
Franz	w13_d685e8209
Hitner,	w15_d685e8212
der	w17_d685e8215
Zu	w19_d685e8218
name	w1_d685e8223
Hilmer	w3_d685e8226
zu	w5_d685e8229
lesen.	w7_d685e8232
</p>
<p id="p6_d685e8235">
Da	w1_d685e8239
die	w3_d685e8242
K.	w5_d685e8245
K.	w7_d685e8248
privil.	w9_d685e8251
Wollen=zeugefabric	w11_d685e8254
zu	w13_d685e8258
Linz	w15_d685e8261
sich	w1_d685e8266
ihres	w3_d685e8269
wolhergebrachten,	w5_d685e8272
und	w7_d685e8275
noch	w9_d685e8278
fürdaurenden	w11_d685e8281
Privilegii	w1_d685e8286
privativi	w3_d685e8289
in	w5_d685e8292
soweit	w7_d685e8295
freywillig	w9_d685e8298
begeben,	w11_d685e8301
daß	w1_d685e8307
mit	w3_d685e8310
alleinigem	w5_d685e8313
Vorbehalt	w7_d685e8316
der	w9_d685e8319
von	w11_d685e8322
selber	w13_d685e8326
er	w15_d685e8329
richteten,	w1_d685e8334
und	w3_d685e8337
in	w5_d685e8340
ihrem	w7_d685e8343
würklichen	w9_d685e8346
Verlag	w11_d685e8349
stehenden	w13_d685e8353
Woll=spinnereyen	w1_d685e8358
in	w3_d685e8361
dem	w5_d685e8364
Erzherzogtum	w7_d685e8367
Oester	w9_d685e8370
reich	w1_d685e8375
ob	w3_d685e8378
und	w5_d685e8381
unter	w7_d685e8384
der	w9_d685e8387
Enns,	w11_d685e8390
dann	w13_d685e8394
jener	w15_d685e8397
Weber	w17_d685e8400
schaften,	w1_d685e8406
so	w3_d685e8409
in	w5_d685e8412
dem	w7_d685e8415
erstern	w9_d685e8418
Land,	w11_d685e8421
für	w13_d685e8425
sie	w15_d685e8428
allein	w17_d685e8431
ar	w19_d685e8434
beiten,	w1_d685e8439
und	w3_d685e8442
von	w5_d685e8445
ihr	w7_d685e8448
beständig	w9_d685e8451
verlegt	w11_d685e8454
werden,	w13_d685e8458
aus	w15_d685e8461
ser	w1_d685e8466
dem	w3_d685e8469
sowol	w5_d685e8472
in	w7_d685e8475
Nieder	w9_d685e8478
als	w11_d685e8481
Jnner=österreich	w13_d685e8485
jedermann	w1_d685e8490
künftighin	w3_d685e8493
freystehen	w5_d685e8496
solle,	w7_d685e8499
Wollspinne	w9_d685e8502
reyen	w1_d685e8508
zu	w3_d685e8511
errichten	w5_d685e8514
oder	w7_d685e8517
zu	w9_d685e8520
verlegen,	w11_d685e8523
auch	w13_d685e8527
die	w15_d685e8530
Ge	w17_d685e8533
spunsten	w1_d685e8538
zu	w3_d685e8541
erkauffen,	w5_d685e8544
und	w7_d685e8547
die	w9_d685e8550
Wollenzeugfabri	w11_d685e8553
catur	w1_d685e8558
in	w3_d685e8561
allen	w5_d685e8564
Gattungen	w7_d685e8567
nach	w9_d685e8570
eigenem	w11_d685e8573
Belieben	w13_d685e8577
zu	w1_d685e8582
betreiben;	w3_d685e8585
unter	w5_d685e8588
der	w7_d685e8591
noch	w9_d685e8594
weiteren	w11_d685e8597
Erklärung,	w13_d685e8601
von	w1_d685e8607
jenen	w3_d685e8610
Spinnereyen,	w5_d685e8613
so	w7_d685e8616
den	w9_d685e8619
Verschleiß	w11_d685e8622
selbst	w13_d685e8626
zu	w15_d685e8629
bewurken	w1_d685e8634
nicht	w3_d685e8637
vermögen,	w5_d685e8640
die	w7_d685e8643
ächten	w9_d685e8646
Gespunsten	w11_d685e8649
abzunehmen,	w1_d685e8654
ansonsten	w3_d685e8657
aber	w5_d685e8660
sowol	w7_d685e8663
zu	w9_d685e8666
deren	w11_d685e8669
Her	w13_d685e8673
stellung,	w1_d685e8678
als	w3_d685e8681
zu	w5_d685e8684
Einleitung	w7_d685e8687
der	w9_d685e8690
Fabricir	w11_d685e8693
und	w13_d685e8697
Appe	w15_d685e8700
tirung	w1_d685e8706
alle	w3_d685e8709
dienliche	w5_d685e8712
Anhand=lassung,	w7_d685e8715
auch	w9_d685e8718
allfäl	w11_d685e8721
ligen	w1_d685e8726
Beystand,	w3_d685e8729
jenen	w5_d685e8732
Unternehmern	w7_d685e8735
und	w9_d685e8738
Liebha	w11_d685e8741
bern,	w1_d685e8746
so	w3_d685e8749
sich	w5_d685e8752
diesfalls	w7_d685e8755
an	w9_d685e8758
sie	w11_d685e8761
wenden	w13_d685e8765
wollen,	w15_d685e8768
zu	w17_d685e8771
leisten;	w1_d685e8776
Als	w3_d685e8779
wird	w5_d685e8782
solches	w7_d685e8785
zu	w9_d685e8788
jedermanns	w11_d685e8791
Wissen	w13_d685e8795
schaft	w1_d685e8801
nebst	w3_d685e8804
deme	w5_d685e8807
bekannt	w7_d685e8810
gemacht,	w9_d685e8813
daß	w11_d685e8816
es	w13_d685e8820
nicht	w15_d685e8823
nur	w1_d685e8828
bey	w3_d685e8831
dem	w5_d685e8834
erlassenen	w7_d685e8837
Einfuhr	w9_d685e8840
verbot	w11_d685e8843
fremder	w13_d685e8847
Wollen=zeug=waaren,	w1_d685e8852
in	w3_d685e8855
die	w5_d685e8858
gesammte	w7_d685e8861
Kaiserl.	w9_d685e8864
Königl.	w1_d685e8869
Teutsche	w3_d685e8872
Erb=lande	w5_d685e8875
sein	w7_d685e8878
unabänderliches	w9_d685e8881
Verbleiben	w1_d685e8887
haben,	w3_d685e8890
sondern	w5_d685e8893
auch	w7_d685e8896
die	w9_d685e8899
bishero	w11_d685e8902
in	w13_d685e8906
Nieder	w1_d685e8911
und	w3_d685e8914
Jnner	w5_d685e8917
osterreich	w7_d685e8920
einzuführen	w9_d685e8923
verbote	w11_d685e8926
ne	w1_d685e8931
Erbländische	w3_d685e8934
derley	w5_d685e8937
Waaren=capi	w7_d685e8940
unter	w9_d685e8943
gehö	w11_d685e8946
rigen	w1_d685e8951
Certificaten	w3_d685e8954
über	w5_d685e8957
deren	w7_d685e8960
Jnnländischen	w9_d685e8963
Er	w11_d685e8966
zeugung	w1_d685e8972
mit	w3_d685e8975
der	w5_d685e8978
gewönlichen	w7_d685e8981
Mant=gebühre	w9_d685e8984
dahin	w11_d685e8987
wiederum	w1_d685e8992
eingelassen	w3_d685e8995
werden	w5_d685e8998
sollen.	w7_d685e9001
</p>
<p id="p8_d685e9006">
Von	w1_d685e9010
der	w3_d685e9013
N.	w5_d685e9016
Oe.	w7_d685e9019
Regierung	w9_d685e9022
wegen,	w11_d685e9025
wird	w13_d685e9029
mit	w15_d685e9032
gegenwärtig=offenem	w1_d685e9037
Edict	w3_d685e9040
jedermänniglich	w5_d685e9043
sowol	w7_d685e9046
An	w1_d685e9051
als	w3_d685e9054
Abwesenden,	w5_d685e9057
deme	w7_d685e9060
daran	w9_d685e9063
gelegen,	w11_d685e9066
kund	w13_d685e9070
und	w15_d685e9073
zu	w1_d685e9079
wissen	w3_d685e9082
gemacht:	w5_d685e9085
Es	w7_d685e9088
habe	w9_d685e9091
Regierung	w11_d685e9094
nach	w13_d685e9098
er	w15_d685e9101
folgt=tödtlichen	w1_d685e9106
Hintritt	w3_d685e9109
des	w5_d685e9112
weil.	w7_d685e9115
Leopold	w9_d685e9118
Kletzel,	w11_d685e9121
gewest=K.	w1_d685e9126
K.	w3_d685e9129
Ober=proviant=commissarii	w5_d685e9132
zu	w7_d685e9135
Er	w9_d685e9138
findung	w1_d685e9143
desselben	w3_d685e9146
etwann	w5_d685e9149
vorhandenen	w7_d685e9152
æris	w9_d685e9155
alieni,	w11_d685e9158
folgends	w1_d685e9164
auch	w3_d685e9167
zu	w5_d685e9170
sicherer	w7_d685e9173
Abhandlung	w9_d685e9176
solcher	w11_d685e9179
Ver	w13_d685e9183
lassenschaft	w1_d685e9188
für	w3_d685e9191
nöhtig	w5_d685e9194
befunden,	w7_d685e9197
die	w9_d685e9200
sammentli	w11_d685e9203
che	w1_d685e9208
sowol	w3_d685e9211
in	w5_d685e9214
als	w7_d685e9217
ausser	w9_d685e9220
Land	w11_d685e9223
befindliche	w13_d685e9227
Kletzlische	w15_d685e9230
Glaubigere	w1_d685e9235
zu	w3_d685e9238
Anmeld	w5_d685e9241
und	w7_d685e9244
Liquidirung	w9_d685e9247
ihrer	w11_d685e9250
an	w13_d685e9254
wiederholte	w1_d685e9260
Kletzlische	w3_d685e9263
Verlassenschaft	w5_d685e9266
zu	w7_d685e9269
stellen	w9_d685e9272
ha	w11_d685e9275
bender	w1_d685e9280
Sprüch	w3_d685e9283
und	w5_d685e9286
Foaderungen	w7_d685e9289
Gerichtl.	w9_d685e9292
vorzu	w11_d685e9295
laden	w1_d685e9300
und	w3_d685e9303
einzuberuffen,	w5_d685e9306
zu	w7_d685e9309
welchem	w9_d685e9312
Ende	w11_d685e9315
denen	w13_d685e9319
selben	w1_d685e9324
der	w3_d685e9327
6.	w5_d685e9330
Tag	w7_d685e9333
des	w9_d685e9336
künftigen	w11_d685e9339
Monats	w13_d685e9343
Novemb.	w15_d685e9346
Nachmittag	w1_d685e9352
um	w3_d685e9355
4.	w5_d685e9358
Uhr	w7_d685e9361
