<doc id="wr_1758-06-21" attrs="word" year="1758" month="06" day="21" corpus="2">
<head id="h2_d254e3304">
Cöln	w1_d254e3308
Kopf	w9_d254e6919
des	w11_d254e6922
Com	w13_d254e6926
mandanten	w1_d254e6931
von	w3_d254e6934
Damascus	w5_d254e6937
verlanget	w7_d254e6940
habe,	w9_d254e6943
um	w1_d254e6948
selbigen	w3_d254e6951
dem	w5_d254e6954
Volke	w7_d254e6957
offentlich	w9_d254e6960
zur	w11_d254e6963
Schau	w13_d254e6967
zu	w1_d254e6973
stellen.	w3_d254e6976
</p>
<head id="h2_d254e6982">
Regenspurg	w1_d254e6986
14.	w3_d254e6989
Junii.	w5_d254e6992
</head>
<p id="p4_d254e6995">
Seit	w1_d254e6999
den	w3_d254e7002
10.	w5_d254e7005
dieses	w7_d254e7008
sind	w9_d254e7011
zu	w11_d254e7014
Stadt	w13_d254e7018
am	w15_d254e7021
Hof	w17_d254e7024
verschiedene	w1_d254e7029
Corps	w3_d254e7032
Chur=fürstl.	w5_d254e7035
Bayrischen	w7_d254e7038
Trupen	w1_d254e7043
angelangt,	w3_d254e7046
welche	w5_d254e7049
dem	w7_d254e7052
Vernehmen	w9_d254e7055
nach,	w1_d254e7061
von	w3_d254e7064
da	w5_d254e7067
gegen	w7_d254e7070
Amberg,	w9_d254e7073
und	w11_d254e7076
in	w13_d254e7080
die	w15_d254e7083
Obere	w17_d254e7086
Pfalz	w1_d254e7091
abmarschieren	w3_d254e7094
werden,	w5_d254e7097
um	w7_d254e7100
diese	w9_d254e7103
Ge	w11_d254e7106
genden	w1_d254e7111
wider	w3_d254e7114
alle	w5_d254e7117
feindliche	w7_d254e7120
Vorfälle	w9_d254e7123
zu	w11_d254e7126
be	w13_d254e7130
decken.	w1_d254e7135
Man	w1_d254e7141
erwartet	w3_d254e7144
noch	w5_d254e7147
mehrere	w7_d254e7150
dieser	w9_d254e7153
Trupen,	w1_d254e7158
welche	w3_d254e7161
gleichfalls	w5_d254e7164
dahin	w7_d254e7167
abgehen	w9_d254e7170
sollen.	w1_d254e7175
</p>
<head id="h2_d254e7181">
Petersburg	w1_d254e7185
1.	w3_d254e7188
Junii.	w5_d254e7191
</head>
<p id="p4_d254e7194">
Vermitt	w1_d254e7198
ist	w3_d254e7201
einer	w5_d254e7204
aus	w7_d254e7207
dem	w9_d254e7210
dirigirenden	w11_d254e7213
Senate	w1_d254e7218
den	w3_d254e7221
11.	w5_d254e7224
May	w7_d254e7227
publicirten	w9_d254e7230
Ukase	w11_d254e7233
ist	w13_d254e7237
bekannt	w1_d254e7242
gemacht	w3_d254e7245
worden,	w5_d254e7248
daß	w7_d254e7251
der	w9_d254e7254
von	w11_d254e7257
Sr.	w13_d254e7261
Majestät	w1_d254e7267
dem	w3_d254e7270
Könige	w5_d254e7273
von	w7_d254e7276
Frankreich,	w9_d254e7279
alhier	w11_d254e7282
bestellte	w1_d254e7287
und	w3_d254e7290
bevollmächtigte	w5_d254e7293
Consul	w7_d254e7296
der	w9_d254e7299
Französischen	w1_d254e7304
Nation,	w3_d254e7307
Hr.	w5_d254e7310
Jean	w7_d254e7313
Baptiste	w9_d254e7316
de	w11_d254e7319
Curie	w1_d254e7324
Saint=Sauveur,	w3_d254e7327
Ritter	w5_d254e7330
vom	w7_d254e7333
heiligen	w9_d254e7336
Michael=orden,	w1_d254e7342
als	w3_d254e7345
ein	w5_d254e7348
von	w7_d254e7351
Sr.	w9_d254e7354
Majestät	w11_d254e7357
verordneter	w1_d254e7362
Consul	w3_d254e7365
angesehen,	w5_d254e7368
um	w7_d254e7371
demselben	w9_d254e7374
in	w1_d254e7379
allen	w3_d254e7382
rechtmäßigen	w5_d254e7385
Bedürfnissen,	w7_d254e7388
zufolge	w9_d254e7391
Jhrer	w1_d254e7396
Kaiserl.	w3_d254e7399
Majestät	w5_d254e7402
allerhöchsten	w7_d254e7405
Be	w9_d254e7408
fehlen,	w1_d254e7414
aller	w3_d254e7417
Beystand	w5_d254e7420
und	w7_d254e7423
alle	w9_d254e7426
Gerechtigkeit	w11_d254e7429
widerfahren	w1_d254e7434
soll.	w3_d254e7437
Jhre	w5_d254e7440
Kaiserl.	w7_d254e7443
Majestät	w9_d254e7446
erweisen	w1_d254e7451
Sr.	w3_d254e7454
Königl.	w5_d254e7457
Hoheit,	w7_d254e7460
dem	w9_d254e7463
Prinzen	w11_d254e7466
Carl	w1_d254e7471
von	w3_d254e7474
Sachsen,	w5_d254e7477
eine	w7_d254e7480
ganz	w9_d254e7483
besondere	w11_d254e7486
Ach	w13_d254e7490
</p>
<p id="p6_d254e7493">
tung,	w1_d254e7497
und	w3_d254e7500
machen	w5_d254e7503
ihm	w7_d254e7506
zum	w9_d254e7509
öftern	w11_d254e7512
reiche	w13_d254e7516
Präjente.	w1_d254e7521
</p>
<head id="h2_d254e7528">
Stockholm	w1_d254e7532
6.	w3_d254e7535
Junii.	w5_d254e7538
</head>
<p id="p4_d254e7541">
Nach	w1_d254e7545
Briefen	w3_d254e7548
von	w5_d254e7551
Stralsund,	w7_d254e7554
hat	w9_d254e7557
der	w11_d254e7560
Ca	w13_d254e7564
pitain=leutenant	w1_d254e7569
Ameen,	w3_d254e7572
welcher	w5_d254e7575
mit	w7_d254e7578
der	w9_d254e7581
ihm	w11_d254e7584
anvertrauten	w1_d254e7589
Kriegs=fregatte	w3_d254e7592
Postillion	w5_d254e7595
längst	w7_d254e7598
der	w1_d254e7604
Preußisch=pommerischen	w3_d254e7607
Küste	w5_d254e7610
gekreutzet,	w7_d254e7613
am	w1_d254e7618
9ten	w3_d254e7621
vorigen	w5_d254e7624
Monats	w7_d254e7627
eine	w9_d254e7630
Engländische	w11_d254e7633
Brigantine,	w1_d254e7638
die	w3_d254e7641
von	w5_d254e7644
Neweastle	w7_d254e7647
nach	w9_d254e7650
Greifs	w11_d254e7653
wald	w1_d254e7658
gieng,	w3_d254e7661
und	w5_d254e7664
40	w7_d254e7667
Centner	w9_d254e7670
Bley=hagel,	w11_d254e7673
nebst	w1_d254e7679
1904.	w3_d254e7682
Pfund	w5_d254e7685
Bley	w7_d254e7688
ein	w9_d254e7691
hatte,	w11_d254e7694
zu	w13_d254e7698
Wit	w15_d254e7701
tow	w1_d254e7706
aufgebracht.	w3_d254e7709
</p>
<head id="h2_d254e7715">
Wesel	w1_d254e7719
4	w3_d254e7722
Junii.	w5_d254e7725
</head>
<p id="p4_d254e7728">
Ganz	w1_d254e7732
kürzlich	w3_d254e7735
ergieng	w5_d254e7738
Befehl	w7_d254e7741
von	w9_d254e7744
dem	w11_d254e7747
Grafen	w1_d254e7752
von	w3_d254e7755
Clermont,	w5_d254e7758
40000.	w7_d254e7761
Pfähle	w9_d254e7764
zum	w11_d254e7767
Anbinden	w1_d254e7772
der	w3_d254e7775
Pferde,	w5_d254e7778
in	w7_d254e7781
unseren	w9_d254e7784
Waldungen	w11_d254e7787
zu	w1_d254e7793
fällen.	w3_d254e7796
Die	w5_d254e7799
Französische	w7_d254e7802
Officiers	w9_d254e7805
ver	w11_d254e7808
kauffen,	w1_d254e7813
vermög	w3_d254e7816
erhaltener	w5_d254e7819
Ordre,	w7_d254e7822
alle	w9_d254e7825
ihre	w11_d254e7828
Wägen	w1_d254e7833
und	w3_d254e7836
Kärren,	w5_d254e7839
und	w7_d254e7842
müssen	w9_d254e7845
sich	w11_d254e7848
Pack	w13_d254e7852
pferde	w1_d254e7857
für	w3_d254e7860
ihre	w5_d254e7863
Bagage	w7_d254e7866
anschaffen.	w9_d254e7869
Die	w11_d254e7872
sämtliche	w1_d254e7878
Französische	w3_d254e7881
Trupen	w5_d254e7884
seynd	w7_d254e7887
aus	w9_d254e7890
de	w11_d254e7893
nen	w1_d254e7898
Cantonirungen	w3_d254e7901
ins	w5_d254e7904
Feld	w7_d254e7907
gerückt,	w9_d254e7910
da	w11_d254e7913
sie	w13_d254e7917
die	w1_d254e7922
Nachricht	w3_d254e7925
bekommen,	w5_d254e7928
daß	w7_d254e7931
ein	w9_d254e7934
Corps	w11_d254e7937
von	w13_d254e7941
18000.	w1_d254e7946
Hanoveranern,	w3_d254e7949
unter	w5_d254e7952
dem	w7_d254e7955
Prinzen	w9_d254e7958
Georg	w1_d254e7964
von	w3_d254e7967
Holstein,	w5_d254e7970
zu	w7_d254e7973
Emmerich	w9_d254e7976
eingeruckt,	w11_d254e7979
und	w1_d254e7984
Mine	w3_d254e7987
macht,	w5_d254e7990
über	w7_d254e7993
den	w9_d254e7996
Rhein	w11_d254e7999
zu	w13_d254e8003
gehen;	w15_d254e8006
ein	w1_d254e8011
anderes	w3_d254e8014
aber,	w5_d254e8017
unter	w7_d254e8020
dem	w9_d254e8023
General	w11_d254e8026
Wau	w13_d254e8030
genheim,	w1_d254e8035
Kaiserswehrt	w3_d254e8038
besetzt	w5_d254e8041
habe.	w7_d254e8044
</p>
<head id="h2_d254e8050">
Geldern	w1_d254e8054
5.	w3_d254e8057
Junii.	w5_d254e8060
</head>
<p id="p4_d254e8063">
Nachdeme	w1_d254e8067
die	w3_d254e8070
Preußische	w5_d254e8073
Hussaren	w7_d254e8076
vor	w9_d254e8079
gestern	w1_d254e8084
zu	w3_d254e8087
Goch	w5_d254e8090
einiges	w7_d254e8093
sich	w9_d254e8096
verspatetes	w11_d254e8099
Ge	w13_d254e8103
päck	w1_d254e8108
aufgehoben	w3_d254e8111
hatten,	w5_d254e8114
so	w7_d254e8117
wollten	w9_d254e8120
sie	w11_d254e8123
gestern	w13_d254e8127
das	w1_d254e8133
Cavallerie=regiment	w3_d254e8136
von	w5_d254e8139
Dampierre,	w7_d254e8142
so	w9_d254e8145
nach	w1_d254e8150
Rheinberg	w3_d254e8153
abgienge,	w5_d254e8156
angreffen,	w7_d254e8159
da	w9_d254e8162
aber	w11_d254e8165
das	w1_d254e8170
vorbey	w3_d254e8173
gehende	w5_d254e8176
Jnfanterie=regiment	w7_d254e8179
von	w9_d254e8182
Chartes	w1_d254e8187
zu	w3_d254e8190
dessen	w5_d254e8193
Unterstützung	w7_d254e8196
sich	w9_d254e8199
näherte,	w11_d254e8202
so	w1_d254e8208
ergriffen	w3_d254e8211
die	w5_d254e8214
Preussen	w7_d254e8217
die	w9_d254e8220
Flucht,	w11_d254e8223
und	w13_d254e8227
wurde	w1_d254e8232
zugleich	w3_d254e8235
durch	w5_d254e8238
den	w7_d254e8241
Marsch	w9_d254e8244
letztgedach	w11_d254e8247
ten	w1_d254e8252
Regiments	w3_d254e8255
eine	w5_d254e8258
Convoy	w7_d254e8261
von	w9_d254e8264
83	w11_d254e8267
Artil	w13_d254e8271
lerie	w1_d254e8276
wägen	w3_d254e8279
glücklich	w5_d254e8282
bedeckt,	w7_d254e8285
und	w9_d254e8288
geschützt.	w11_d254e8291
Man	w1_d254e8297
hat	w3_d254e8300
aus	w5_d254e8303
Cleve	w7_d254e8306
das	w9_d254e8309
Französische	w11_d254e8312
Laza	w13_d254e8316
zareth	w1_d254e8321
noch	w3_d254e8324
gerettet.	w5_d254e8327
</p>
<head id="h2_d254e8333">
Lippstadt	w1_d254e8337
5.	w3_d254e8340
Junii.	w5_d254e8343
</head>
<p id="p4_d254e8346">
So	w1_d254e8350
eben	w3_d254e8353
lauft	w5_d254e8356
die	w7_d254e8359
Nachricht	w9_d254e8362
ein,	w11_d254e8365
daß	w13_d254e8369
am	w15_d254e8372
2.	w1_d254e8377
dieses	w3_d254e8380
das	w5_d254e8383
bey	w7_d254e8386
Emmerich	w9_d254e8389
versammelt	w11_d254e8392
geweste	w1_d254e8397
Corps	w3_d254e8400
der	w5_d254e8403
Armee	w7_d254e8406
bey	w9_d254e8409
Lobith	w11_d254e8412
auf	w13_d254e8416
Schiffen	w1_d254e8422
den	w3_d254e8425
Rhein	w5_d254e8428
paßirt	w7_d254e8431
seye.	w9_d254e8434
Des	w11_d254e8437
Erb	w13_d254e8441
prinzens	w1_d254e8446
von	w3_d254e8449
Braunschweig	w5_d254e8452
Durchl.	w7_d254e8455
wären	w9_d254e8458
im	w1_d254e8463
2ten	w3_d254e8466
Schif,	w5_d254e8469
und	w7_d254e8472
der	w9_d254e8475
Prinz	w11_d254e8478
Ferdinand	w13_d254e8482
des	w15_d254e8485
</p>
<p id="p10_d254e8498">
Nachmittags	w1_d254e8502
übergefahren.	w3_d254e8505
Cleve	w5_d254e8508
ist	w7_d254e8511
in	w9_d254e8514
der	w11_d254e8517
Nacht	w1_d254e8522
vom	w3_d254e8525
2.	w5_d254e8528
auf	w7_d254e8531
den	w9_d254e8534
3.	w11_d254e8537
dieses	w13_d254e8541
übergegangen.	w15_d254e8544
</p>
<head id="h2_d254e8550">
Dresden	w1_d254e8554
12.	w3_d254e8557
Junii.	w5_d254e8560
</head>
<p id="p4_d254e8563">
Die	w1_d254e8567
Strasse	w3_d254e8570
bey	w5_d254e8573
Altenberg	w7_d254e8576
ist	w9_d254e8579
stark	w11_d254e8582
mit	w13_d254e8586
Oesterreichischen	w1_d254e8591
Hussaren	w3_d254e8594
besetzt,	w5_d254e8597
und	w7_d254e8600
in	w9_d254e8603
Zittau	w1_d254e8608
ligen	w3_d254e8611
400.	w5_d254e8614
Croaten	w7_d254e8617
in	w9_d254e8620
Garnison.	w11_d254e8623
Alhier	w1_d254e8629
lebt	w3_d254e8632
man	w5_d254e8635
noch	w7_d254e8638
täglich	w9_d254e8641
in	w11_d254e8644
Forcht,	w13_d254e8648
ei	w15_d254e8651
ne	w1_d254e8656
Belagerung	w3_d254e8659
auszustehen,	w5_d254e8662
ob	w7_d254e8665
gleich	w9_d254e8668
die	w11_d254e8671
Veranstaltungen	w1_d254e8676
in	w3_d254e8679
denen	w5_d254e8682
Festungs=werkern	w7_d254e8685
für	w1_d254e8690
einen	w3_d254e8693
Anfall	w5_d254e8696
gesichert	w7_d254e8699
zu	w9_d254e8702
seyn	w11_d254e8705
scheinen.	w13_d254e8709
Das	w1_d254e8715
Pirnaische	w3_d254e8718
und	w5_d254e8721
das	w7_d254e8724
vor	w9_d254e8727
einigen	w11_d254e8730
Jahren	w13_d254e8734
neu=erbaute	w1_d254e8739
See=thor	w3_d254e8742
ist,	w5_d254e8745
wie	w7_d254e8748
zu	w9_d254e8751
Neu=stadt	w11_d254e8754
das	w1_d254e8759
schwarze	w3_d254e8762
Thor,	w5_d254e8765
zugemauret	w7_d254e8768
worden.	w9_d254e8771
Aus	w11_d254e8774
hiesiger	w1_d254e8779
Münze	w3_d254e8782
hat	w5_d254e8785
der	w7_d254e8788
Jude	w9_d254e8791
Ephraim	w11_d254e8794
alles	w13_d254e8798
vorrätige	w1_d254e8804
Silber	w3_d254e8807
weggeschaffet,	w5_d254e8810
auch	w7_d254e8813
mei	w9_d254e8816
stens	w1_d254e8821
die	w3_d254e8824
Arbeiter	w5_d254e8827
abgedankt.	w7_d254e8830
Die	w9_d254e8833
Armee	w11_d254e8836
des	w1_d254e8841
Prinzens	w3_d254e8844
Heinrich,	w5_d254e8847
so	w7_d254e8850
bey	w9_d254e8853
Chemnitz	w11_d254e8856
ste	w13_d254e8860
het,	w1_d254e8865
soll	w3_d254e8868
eher	w5_d254e8871
nichts	w7_d254e8874
unternehmen,	w9_d254e8877
als	w11_d254e8880
bis	w13_d254e8884
von	w1_d254e8890
dem	w3_d254e8893
Könige	w5_d254e8896
Ordre	w7_d254e8899
eingeloffen.	w9_d254e8902
Der	w11_d254e8905
General	w1_d254e8910
Graf	w3_d254e8913
von	w5_d254e8916
Schmettau	w7_d254e8919
ist	w9_d254e8922
von	w11_d254e8925
hier	w13_d254e8929
abgereiset,	w1_d254e8934
an	w3_d254e8937
dessen	w5_d254e8940
Stelle	w7_d254e8943
ein	w9_d254e8946
anderer	w11_d254e8949
er	w13_d254e8953
wartet	w1_d254e8958
wird.	w3_d254e8961
</p>
<head id="h2_d254e8967">
Hamburg	w1_d254e8971
11.	w3_d254e8974
Junii.	w5_d254e8977
</head>
<p id="p4_d254e8980">
Nach	w1_d254e8984
dem	w3_d254e8987
Jnnhalte	w5_d254e8990
eines	w7_d254e8993
Schreibens	w9_d254e8996
aus	w11_d254e8999
Stralsund	w1_d254e9004
vom	w3_d254e9007
29.	w5_d254e9010
May,	w7_d254e9013
stehen	w9_d254e9016
die	w11_d254e9019
Affairen	w13_d254e9023
in	w1_d254e9028
dasigen	w3_d254e9031
Gegenden	w5_d254e9034
noch	w7_d254e9037
auf	w9_d254e9040
den	w11_d254e9043
alten	w13_d254e9047
Fuß	w15_d254e9050
Die	w1_d254e9056
Schwedische	w3_d254e9059
Armee,	w5_d254e9062
welche	w7_d254e9065
an	w9_d254e9068
nichts	w11_d254e9071
Mangel	w1_d254e9076
leidet,	w3_d254e9079
campiret	w5_d254e9082
jetzo	w7_d254e9085
in	w9_d254e9088
den	w11_d254e9091
Gegen	w13_d254e9095
den	w1_d254e9100
dieser	w3_d254e9103
Festung.	w5_d254e9106
Verschiedene	w7_d254e9109
Regimenter,	w9_d254e9112
und	w1_d254e9117
vornämlich	w3_d254e9120
die	w5_d254e9123
Cavallerie,	w7_d254e9126
befindet	w9_d254e9129
sich	w11_d254e9132
auf	w1_d254e9138
der	w3_d254e9141
Jnsul	w5_d254e9144
Rügen,	w7_d254e9147
alwo	w9_d254e9150
man	w11_d254e9153
noch	w13_d254e9157
dem	w15_d254e9160
Succurse	w1_d254e9165
aus	w3_d254e9168
Schweden	w5_d254e9171
entgegen	w7_d254e9174
siehet.	w9_d254e9177
Preußischer	w1_d254e9182
Seits	w3_d254e9185
fähret	w5_d254e9188
man	w7_d254e9191
fort	w9_d254e9194
auf	w11_d254e9197
die	w13_d254e9201
Bewegungen	w1_d254e9206
der	w3_d254e9209
Schwedischen	w5_d254e9212
Trupen	w7_d254e9215
sehr	w9_d254e9218
aufmerksam	w1_d254e9224
zu	w3_d254e9227
seyn.	w5_d254e9230
Von	w7_d254e9233
Stralsund	w9_d254e9236
aus	w11_d254e9239
wird	w1_d254e9244
öfters	w3_d254e9247
auf	w5_d254e9250
die	w7_d254e9253
Preußischen	w9_d254e9256
Vor=posten	w11_d254e9259
canoniret,	w1_d254e9264
und	w3_d254e9267
ein	w5_d254e9270
gleiches	w7_d254e9273
geschiehet	w9_d254e9276
auch	w11_d254e9279
zu	w13_d254e9283
Wasser	w1_d254e9288
auf	w3_d254e9291
die	w5_d254e9294
Preußische	w7_d254e9297
Batterien.	w9_d254e9300
Das	w11_d254e9303
Haupt=quartier	w1_d254e9309
der	w3_d254e9312
Preussen	w5_d254e9315
ist	w7_d254e9318
jetzo	w9_d254e9321
zu	w11_d254e9324
Fal	w13_d254e9328
kenhagen,	w1_d254e9333
in	w3_d254e9336
welcher	w5_d254e9339
Gegend	w7_d254e9342
sich	w9_d254e9345
auch	w11_d254e9348
das	w13_d254e9352
Lager	w1_d254e9357
dieser	w3_d254e9360
Trupen	w5_d254e9363
befindet.	w7_d254e9366
Den	w9_d254e9369
25.	w11_d254e9372
kam	w13_d254e9376
zu	w1_d254e9381
gedachten	w3_d254e9384
Falkenhagen	w5_d254e9387
Feuer	w7_d254e9390
aus,	w9_d254e9393
welches	w11_d254e9396
sehr	w1_d254e9402
überhand	w3_d254e9405
nahm,	w5_d254e9408
so	w7_d254e9411
daß	w9_d254e9414
es	w11_d254e9417
den	w13_d254e9421
schönen	w15_d254e9424
Hofe	w1_d254e9429
und	w3_d254e9432
Garten,	w5_d254e9435
alle	w7_d254e9438
Hof=gebäude,	w9_d254e9441
und	w11_d254e9444
die	w13_d254e9448
Wasser=mühle	w1_d254e9453
einäscherte.	w3_d254e9456
</p>
<head id="h2_d254e9463">
Warschau	w1_d254e9467
10.	w3_d254e9470
Junii.	w5_d254e9473
</head>
<p id="p4_d254e9476">
Von	w1_d254e9480
der	w3_d254e9483
Rußisch=Kaiserl.	w5_d254e9486
Armee	w7_d254e9489
ist	w9_d254e9492
die	w11_d254e9495
</p>
<p id="p6_d254e9498">
juverläßige	w1_d254e9502
Nachricht	w3_d254e9505
eingeloffen,	w5_d254e9508
daß	w7_d254e9511
sie	w9_d254e9514
nach	w11_d254e9517
Zurück=lassung	w1_d254e9522
eines	w3_d254e9525
ansehnlichen	w5_d254e9528
Corps	w7_d254e9531
Jn	w9_d254e9534
fanterie	w1_d254e9539
und	w3_d254e9542
Cavallerie	w5_d254e9545
in	w7_d254e9548
den	w9_d254e9551
Preußischen	w11_d254e9554
Landen	w1_d254e9560
würklich	w3_d254e9563
aufgebrochen	w5_d254e9566
seye,	w7_d254e9569
und	w9_d254e9572
in	w11_d254e9575
3.	w13_d254e9579
Divisionen	w1_d254e9584
ihren	w3_d254e9587
Marsch	w5_d254e9590
gegen	w7_d254e9593
die	w9_d254e9596
Oder	w11_d254e9599
fort	w13_d254e9603
e,	w1_d254e9608
und	w3_d254e9611
zwar	w5_d254e9614
die	w7_d254e9617
erste	w9_d254e9620
Division	w11_d254e9623
unter	w13_d254e9627
Com	w15_d254e9630
setze	w1_d254e9635
mando	w1_d254e9641
des	w3_d254e9644
Herrn	w5_d254e9647
Geurral=leutenants	w7_d254e9650
von	w9_d254e9653
Solticow,	w1_d254e9658
die	w3_d254e9661
anderte	w5_d254e9664
unter	w7_d254e9667
Commando	w9_d254e9670
des	w11_d254e9673
Herrn	w1_d254e9678
General=majors	w3_d254e9681
von	w5_d254e9684
Mantruffel,	w7_d254e9687
und	w9_d254e9690
die	w1_d254e9695
3te	w3_d254e9698
unter	w5_d254e9701
Anführung	w7_d254e9704
des	w9_d254e9707
Herrn	w11_d254e9710
General	w13_d254e9714
leutenant	w1_d254e9720
Grafens	w3_d254e9723
Numanzow;	w5_d254e9726
wie	w7_d254e9729
dann	w9_d254e9732
auch	w1_d254e9737
das	w3_d254e9740
bey	w5_d254e9743
Rowodwor	w7_d254e9746
eingetroffene	w9_d254e9749
Corps	w11_d254e9752
de	w1_d254e9757
Reserve	w3_d254e9760
von	w5_d254e9763
30000.	w7_d254e9766
Mann	w9_d254e9769
seinen	w11_d254e9772
Marsch	w13_d254e9776
ohne	w1_d254e9781
Auffenthalt	w3_d254e9784
fortsetzet.	w5_d254e9787
</p>
<head id="h2_d254e9793">
Kurz=gefaßte	w1_d254e9797
Nachrichten.	w3_d254e9800
</head>
<head id="h2_d254e9806">
Es	w1_d254e9810
geben	w3_d254e9813
die	w5_d254e9816
frischeste	w7_d254e9819
Briefe.	w9_d254e9822
</head>
<p id="p4_d254e9825">
Von	w1_d254e9829
Rom:	w3_d254e9832
das	w5_d254e9835
Se.	w7_d254e9838
Eminenz	w9_d254e9841
der	w11_d254e9844
Car	w13_d254e9848
dinal	w1_d254e9853
Malvezzi	w3_d254e9856
den	w5_d254e9859
31.	w7_d254e9862
May,	w9_d254e9865
und	w11_d254e9868
der	w13_d254e9872
Cardinal	w15_d254e9875
Passionei	w1_d254e9880
den	w3_d254e9883
1.	w5_d254e9886
Junii	w7_d254e9889
in	w9_d254e9892
das	w11_d254e9895
Conclave	w13_d254e9899
ge	w15_d254e9902
gangen,	w1_d254e9908
eben	w3_d254e9911
selbigen	w5_d254e9914
Tags	w7_d254e9917
aber	w9_d254e9920
die	w11_d254e9923
Cardi	w13_d254e9927
nalen	w1_d254e9932
Crescenzi,	w3_d254e9935
Sersale,	w5_d254e9938
und	w7_d254e9941
Banchieri	w9_d254e9944
in	w11_d254e9947
Rom	w1_d254e9952
angekommen	w3_d254e9955
wären;	w5_d254e9958
der	w7_d254e9961
Cardinal	w9_d254e9964
Rez	w11_d254e9967
zonico	w1_d254e9972
habe	w3_d254e9975
nach	w5_d254e9978
einer	w7_d254e9981
langen	w9_d254e9984
Unterredung	w11_d254e9987
mit	w1_d254e9993
dem	w3_d254e9996
Venetianischen	w5_d254e9999
Bottschafter	w7_d254e10002
den	w9_d254e10005
2.	w11_d254e10008
Junii	w1_d254e10013
gleichfals	w3_d254e10016
das	w5_d254e10019
Conclaye	w7_d254e10022
bezogen;	w9_d254e10025
am	w11_d254e10028
nebst	w1_d254e10033
wäre	w3_d254e10036
richtig,	w5_d254e10039
daß	w7_d254e10042
auch	w9_d254e10045
der	w11_d254e10048
Cardinal	w13_d254e10052
Delfino	w1_d254e10057
Patriarch	w3_d254e10060
von	w5_d254e10063
Aquilea	w7_d254e10066
ehestens	w9_d254e10069
in	w11_d254e10072
Rom	w1_d254e10078
anlangen	w3_d254e10081
würde	w5_d254e10084
der	w7_d254e10087
Cardinal	w9_d254e10090
Serbel	w11_d254e10093
loni	w1_d254e10098
seye	w3_d254e10101
ebenmässig	w5_d254e10104
gleichfals	w7_d254e10107
den	w9_d254e10110
2.,	w11_d254e10113
der	w13_d254e10117
Cardinal	w1_d254e10122
de	w3_d254e10125
Luines	w5_d254e10128
aber	w7_d254e10131
den	w9_d254e10134
3.	w11_d254e10137
Junii	w13_d254e10141
aldaselbst	w15_d254e10144
eingetroffen.	w1_d254e10149
</p>
<p id="p6_d254e10152">
Von	w1_d254e10156
Londen:	w3_d254e10159
daß,	w5_d254e10162
nachdeme	w7_d254e10165
die	w9_d254e10168
grosse	w11_d254e10171
Engländische	w1_d254e10176
sogenannte	w3_d254e10179
geheime	w5_d254e10182
Expeditions	w7_d254e10185
flotte	w1_d254e10190
unter	w3_d254e10193
dem	w5_d254e10196
Commando	w7_d254e10199
des	w9_d254e10202
Admirals	w11_d254e10205
Anson,	w1_d254e10211
bestehend	w3_d254e10214
aus	w5_d254e10217
18.	w7_d254e10220
Schiffen	w9_d254e10223
von	w11_d254e10226
der	w13_d254e10230
Linie,	w1_d254e10235
13.	w3_d254e10238
Fregatten,	w5_d254e10241
3.	w7_d254e10244
Schalupen,	w9_d254e10247
4.	w11_d254e10250
Bran	w13_d254e10254
ders,	w1_d254e10259
2.	w3_d254e10262
Bombardier=gallioten,	w5_d254e10265
dann	w7_d254e10268
verschie	w9_d254e10271
denen	w1_d254e10276
Allegen,	w3_d254e10279
und	w5_d254e10282
Covvetten,	w7_d254e10285
wie	w9_d254e10288
auch	w11_d254e10291
40.	w13_d254e10295
Transport=schiffen,	w1_d254e10301
mit	w3_d254e10304
16000.	w5_d254e10307
Mann	w7_d254e10310
Land	w9_d254e10313
und	w1_d254e10318
8000.	w3_d254e10321
Mann	w5_d254e10324
See=trupen,	w7_d254e10327
den	w9_d254e10330
1.	w11_d254e10333
dieses	w13_d254e10337
lauffenden	w1_d254e10342
Monats	w3_d254e10345
Junii	w5_d254e10348
zu	w7_d254e10351
Mittags	w9_d254e10354
all	w11_d254e10357
würklich	w1_d254e10362
von	w3_d254e10365
St.	w5_d254e10368
Helena	w7_d254e10371
ausgeloffen,	w9_d254e10374
und	w11_d254e10377
zufolge	w1_d254e10383
dem	w3_d254e10386
damaligen	w5_d254e10389
Wind,	w7_d254e10392
West=wärts	w9_d254e10395
geseeglet,	w1_d254e10400
der	w3_d254e10403
Chef	w5_d254e10406
d	w7_d254e10409
Escadre	w9_d254e10412
Scheernes	w11_d254e10415
so	w13_d254e10419
</p>
<p id="p12_d254e10433">
gleich	w1_d254e10437
beorderet	w3_d254e10440
worden	w5_d254e10443
wäre,	w7_d254e10446
mit	w9_d254e10449
denen	w11_d254e10452
3	w13_d254e10456
neu=gebauten	w1_d254e10461
Schiffen	w3_d254e10464
Lenox	w5_d254e10467
von	w7_d254e10470
74.	w9_d254e10473
Stü	w11_d254e10476
cken,	w1_d254e10481
Schewsbury	w3_d254e10484
und	w5_d254e10487
Rippon	w7_d254e10490
jedes	w9_d254e10493
von	w11_d254e10496
60.	w13_d254e10500
Stücken	w1_d254e10506
dieser	w3_d254e10509
Flotte	w5_d254e10512
nachzufolgen,	w7_d254e10515
und	w9_d254e10518
solle	w11_d254e10521
auch	w1_d254e10526
auf	w3_d254e10529
der	w5_d254e10532
Jnsul	w7_d254e10535
Wight	w9_d254e10538
