<doc id="wr_1759-03-17" attrs="word" year="1759" month="03" day="17" corpus="2">
<head id="h2_d331e3204">
Stettin	w4_d331e3207
beobachtet	w155_d331e6947
hat,	w157_d331e6950
daß	w159_d331e6954
die	w161_d331e6957
Proviant	w163_d331e6960
lieferung	w166_d331e6964
aus	w168_d331e6968
Pohlen	w170_d331e6972
vielen	w172_d331e6975
Unordnungen	w174_d331e6978
und	w177_d331e6982
Beschwerlichkeiten	w179_d331e6986
unterworfen	w181_d331e6990
gewe	w183_d331e6993
sen,	w186_d331e6997
so	w188_d331e7001
wird	w190_d331e7004
man	w192_d331e7008
sie	w194_d331e7011
künftighin	w196_d331e7014
aus	w198_d331e7017
un	w200_d331e7020
seren	w203_d331e7025
Ländern	w205_d331e7029
mit	w207_d331e7032
dem	w209_d331e7035
Nöhtigen	w211_d331e7038
in	w213_d331e7041
Uber	w215_d331e7045
fluß	w218_d331e7049
versehen.	w220_d331e7053
An	w222_d331e7056
Mehl	w224_d331e7059
allein	w226_d331e7063
werden	w228_d331e7066
mit	w231_d331e7070
erstem	w233_d331e7074
offenen	w235_d331e7077
Wasser	w237_d331e7081
7000000.	w239_d331e7084
Ku	w241_d331e7087
len	w244_d331e7091
nach	w246_d331e7095
Königsberg	w248_d331e7099
transportiret	w250_d331e7102
werden,	w252_d331e7105
woraus	w255_d331e7109
dann	w257_d331e7113
von	w259_d331e7117
dem	w261_d331e7120
übrigen	w263_d331e7123
leicht	w265_d331e7126
ein	w267_d331e7129
Schluß	w270_d331e7134
zu	w272_d331e7138
machen	w274_d331e7141
seyn	w276_d331e7144
wird.	w278_d331e7147
Die	w280_d331e7150
im	w282_d331e7154
Felde	w285_d331e7158
stehende	w287_d331e7162
regulaire	w289_d331e7165
Armee	w291_d331e7168
wird	w293_d331e7172
gleich	w295_d331e7175
falls	w298_d331e7179
neu	w300_d331e7183
montirt.	w302_d331e7186
90000.	w304_d331e7190
Uniform,	w306_d331e7193
die	w308_d331e7196
theils	w311_d331e7200
hier,	w313_d331e7204
theils	w315_d331e7208
in	w317_d331e7211
Riga	w319_d331e7214
verfertiget	w321_d331e7217
wor	w323_d331e7220
den,	w326_d331e7225
und	w328_d331e7229
an	w330_d331e7232
welchen	w332_d331e7235
hier	w334_d331e7238
allein	w336_d331e7241
1700.	w338_d331e7245
Schneider	w341_d331e7249
arbeiten,	w343_d331e7253
müssen	w345_d331e7256
mit	w347_d331e7259
Ausgang	w349_d331e7263
dieses	w352_d331e7267
Monats	w354_d331e7271
fertig	w356_d331e7274
seyn.	w358_d331e7277
Der	w360_d331e7281
Kaiserl.	w362_d331e7284
Herr	w365_d331e7288
General	w367_d331e7292
Tillier	w369_d331e7295
kam	w371_d331e7299
gestern	w373_d331e7302
hier	w375_d331e7305
an,	w377_d331e7308
um	w380_d331e7312
den	w382_d331e7317
Operations=plan	w384_d331e7320
der	w386_d331e7323
bevorstehen	w388_d331e7326
den	w391_d331e7330
Campagne	w393_d331e7335
mit	w395_d331e7338
dem	w397_d331e7341
hiesigen	w399_d331e7344
Hofe	w401_d331e7347
zu	w403_d331e7350
verabreden.	w406_d331e7355
Seit	w408_d331e7359
dem	w410_d331e7362
ist	w412_d331e7365
er	w414_d331e7368
mit	w416_d331e7372
dem	w418_d331e7375
Mi	w420_d331e7378
nisterio	w423_d331e7382
in	w425_d331e7386
Conferenz,	w427_d331e7390
und	w429_d331e7393
man	w431_d331e7396
erwartet	w433_d331e7399
bloß	w436_d331e7403
die	w438_d331e7408
Ankunft	w440_d331e7411
des	w442_d331e7414
Generals	w444_d331e7417
en	w446_d331e7420
Chef	w448_d331e7423
Grafen	w451_d331e7428
von	w453_d331e7432
Fermor,	w455_d331e7435
um	w457_d331e7438
diese	w459_d331e7441
Sache	w461_d331e7445
in	w463_d331e7448
völlige	w466_d331e7452
Ordnung	w468_d331e7456
zu	w470_d331e7459
bringen.	w472_d331e7463
Der	w474_d331e7466
Prinz	w476_d331e7469
Schatofsky	w479_d331e7473
ist	w481_d331e7477
von	w483_d331e7481
Jhrer	w485_d331e7484
Majestät	w487_d331e7487
der	w489_d331e7490
Kai	w491_d331e7493
serin	w494_d331e7498
zu	w496_d331e7502
ihrem	w498_d331e7505
ausserordentlichen	w500_d331e7508
Gesandten	w502_d331e7511
bey	w505_d331e7516
der	w507_d331e7520
Ottomanischen	w509_d331e7523
Pforte	w511_d331e7526
ernannt	w513_d331e7529
wor	w515_d331e7532
den.	w518_d331e7537
Er	w520_d331e7541
wird	w522_d331e7544
nächstens	w524_d331e7547
seine	w526_d331e7550
Reise	w528_d331e7554
dahin	w530_d331e7557
antretten,	w533_d331e7561
um	w535_d331e7565
dem	w537_d331e7568
Türkischen	w539_d331e7572
Kaiser	w541_d331e7575
zur	w543_d331e7578
Besteigung	w546_d331e7582
des	w548_d331e7586
Throns	w550_d331e7590
im	w552_d331e7593
Namen	w554_d331e7596
seiner	w556_d331e7599
Souveraine	w559_d331e7603
Glück	w561_d331e7608
zu	w563_d331e7611
wünschen.	w565_d331e7614
Der	w567_d331e7617
Win	w569_d331e7620
ter	w572_d331e7625
</p>
<p id="p10_d331e7631">
ter	w4_d331e7634
ist	w6_d331e7638
so	w8_d331e7641
gelind	w10_d331e7644
als	w12_d331e7647
angenehm,	w14_d331e7651
der	w16_d331e7654
Frost,	w18_d331e7657
der	w21_d331e7661
so	w23_d331e7665
grimmig	w25_d331e7669
anfieng,	w27_d331e7672
hält	w29_d331e7675
selten	w31_d331e7678
24.	w33_d331e7681
Stunden	w36_d331e7686
an,	w38_d331e7690
wir	w40_d331e7693
haben	w42_d331e7696
Thau,	w44_d331e7699
Schnee,	w46_d331e7702
und	w49_d331e7707
Regen,	w51_d331e7711
der	w53_d331e7714
in	w55_d331e7717
diesen	w57_d331e7720
Gegenden	w59_d331e7724
im	w61_d331e7727
Winter	w64_d331e7731
sonsten	w66_d331e7735
sehr	w68_d331e7738
selten	w70_d331e7742
zu	w72_d331e7745
fallen	w74_d331e7748
pflegt,	w76_d331e7751
und	w79_d331e7755
ist	w81_d331e7760
es	w83_d331e7763
zu	w85_d331e7766
beförchten,	w87_d331e7769
daß	w89_d331e7772
der	w91_d331e7775
Früh	w93_d331e7779
ling	w96_d331e7783
viele	w98_d331e7787
Krankheiten	w100_d331e7790
nach	w102_d331e7793
sich	w104_d331e7797
ziehen	w106_d331e7800
werde.	w108_d331e7803
</p>
<head id="h2_d331e7809">
Kurz=gefaßte	w4_d331e7812
Nachrichten.	w6_d331e7816
Es	w9_d331e7820
geben	w11_d331e7824
die	w13_d331e7828
frischeste	w15_d331e7831
Briefe	w17_d331e7834
</head>
<p id="p4_d331e7837">
Von	w4_d331e7840
Münster:	w6_d331e7844
daß	w8_d331e7847
den	w10_d331e7850
27.	w12_d331e7853
Febr.	w14_d331e7857
würklich	w16_d331e7860
einige	w19_d331e7864
Regimenter	w21_d331e7868
von	w23_d331e7871
der	w25_d331e7875
Haupt=armee	w27_d331e7878
über	w30_d331e7882
Wahrendorf	w32_d331e7886
nach	w34_d331e7889
Rheda	w36_d331e7893
und	w38_d331e7896
Pader	w40_d331e7899
born	w43_d331e7903
aufgebrochen,	w45_d331e7907
und	w47_d331e7911
diesen	w49_d331e7914
die	w51_d331e7917
Armee	w53_d331e7920
selbst,	w56_d331e7924
an	w58_d331e7929
welche	w60_d331e7932
bereits	w62_d331e7935
die	w64_d331e7938
anderte	w66_d331e7941
Ordre	w68_d331e7944
zum	w70_d331e7948
Marsch	w73_d331e7952
ergangen,	w75_d331e7956
in	w77_d331e7959
kurzen	w79_d331e7962
folgen	w81_d331e7966
werde.	w83_d331e7969
Wegen	w86_d331e7973
der	w88_d331e7977
beständig	w90_d331e7980
nassen	w92_d331e7984
und	w94_d331e7987
neblichten	w96_d331e7990
Witterung	w99_d331e7994
wird	w101_d331e7998
auch	w103_d331e8002
zu	w105_d331e8005
besserer	w107_d331e8008
Fortbrin	w109_d331e8011
gung	w112_d331e8015
der	w114_d331e8020
schweren	w116_d331e8023
Artillerie	w118_d331e8026
unaufhörlich	w120_d331e8029
gearbeitet,	w123_d331e8033
und	w125_d331e8038
mit	w127_d331e8041
Anfang	w129_d331e8044
des	w131_d331e8047
Martii	w133_d331e8050
müs	w135_d331e8053
sen	w138_d331e8058
mehr	w140_d331e8062
als	w142_d331e8065
1000.	w144_d331e8068
Pferde	w146_d331e8071
aus	w148_d331e8075
dem	w150_d331e8078
Mün	w152_d331e8081
ster	w155_d331e8085
und	w157_d331e8089
Osnabrückischen,	w159_d331e8093
auf	w161_d331e8096
der	w163_d331e8099
sogenann	w165_d331e8102
ten	w168_d331e8106
Moritzer=heide	w170_d331e8111
erscheinen,	w172_d331e8114
um	w174_d331e8117
zu	w176_d331e8120
Vor	w178_d331e8123
spann	w181_d331e8128
bey	w183_d331e8132
denen	w185_d331e8135
Canonen	w187_d331e8138
und	w189_d331e8141
Munitions	w191_d331e8144
Wägen	w194_d331e8149
gebraucht	w196_d331e8153
zu	w198_d331e8156
werden.	w200_d331e8159
</p>
<p id="p6_d331e8162">
Von	w4_d331e8165
Fulda:	w6_d331e8169
Daß	w8_d331e8172
aldaselbst	w10_d331e8175
den	w12_d331e8178
6.	w14_d331e8182
Martii	w17_d331e8186
um	w19_d331e8190
halb	w21_d331e8193
8.	w23_d331e8196
Uhr	w25_d331e8200
Abends	w27_d331e8203
3.	w29_d331e8206
Esca	w31_d331e8209
drons,	w34_d331e8213
theils	w36_d331e8218
Preußisch,	w38_d331e8221
theils	w40_d331e8224
Heßische	w42_d331e8227
Trupen	w45_d331e8231
ganz	w47_d331e8236
unverhoft	w49_d331e8239
eingetroffen,	w51_d331e8242
und	w53_d331e8245
obschon	w56_d331e8249
solche	w58_d331e8254
nicht	w60_d331e8257
länger	w62_d331e8260
als	w64_d331e8263
gegen	w66_d331e8266
12.	w68_d331e8269
Uhr	w71_d331e8274
Mitternachts	w73_d331e8278
alda	w75_d331e8281
sich	w77_d331e8284
aufgehalten,	w79_d331e8287
dannoch	w82_d331e8292
nicht	w84_d331e8296
allein	w86_d331e8299
12000.	w88_d331e8302
Jl.	w90_d331e8305
alsogleich	w92_d331e8309
sich	w95_d331e8313
auszahlen	w97_d331e8317
lassen,	w99_d331e8320
sondern	w101_d331e8323
auch	w103_d331e8327
einen	w105_d331e8330
Revers	w108_d331e8334
per	w110_d331e8338
100000.	w112_d331e8341
fl.	w114_d331e8345
von	w116_d331e8348
dem	w118_d331e8351
Fürsten	w120_d331e8354
erpresset,	w123_d331e8358
anbey	w125_d331e8363
4.	w127_d331e8366
Häuser	w129_d331e8369
deren	w131_d331e8372
wolha	w133_d331e8375
bigsten	w136_d331e8380
Bürgern	w138_d331e8384
ausgeplündert,	w140_d331e8387
nicht	w142_d331e8390
min	w144_d331e8393
der	w147_d331e8398
die	w149_d331e8402
Bagage	w151_d331e8405
von	w153_d331e8408
dem	w155_d331e8411
Fuldischen	w157_d331e8414
Contin	w159_d331e8418
gent	w162_d331e8422
theils	w164_d331e8426
weggenommen,	w166_d331e8429
theils	w168_d331e8432
ruinniret,	w170_d331e8436
auch	w173_d331e8440
12.	w175_d331e8444
Commandirte,	w177_d331e8447
so	w179_d331e8450
sich	w181_d331e8454
dabey	w183_d331e8457
be	w185_d331e8460
funden,	w188_d331e8464
nebst,	w190_d331e8468
20.	w192_d331e8472
Fuldischen	w194_d331e8475
Recruten	w196_d331e8478
mit	w199_d331e8482
sich	w201_d331e8486
fortgeschleppet	w203_d331e8490
haben.	w205_d331e8493
Den	w207_d331e8496
7.	w209_d331e8499
Martii	w212_d331e8503
gegen	w214_d331e8508
9.	w216_d331e8511
Uhr	w218_d331e8514
Vormittags	w220_d331e8517
wären	w222_d331e8520
abermals	w225_d331e8525
2.	w227_d331e8529
solche	w229_d331e8532
feindliche	w231_d331e8535
vermischte	w233_d331e8538
Es	w235_d331e8541
</p>
<p id="p8_d331e8544">
cadronen	w4_d331e8547
Hussaren	w6_d331e8551
alda	w8_d331e8554
eingekücket,	w10_d331e8557
und	w12_d331e8560
fast	w14_d331e8564
zu	w17_d331e8568
gleicher	w19_d331e8572
Zeit	w21_d331e8575
hätte	w23_d331e8578
auch	w25_d331e8582
zu	w27_d331e8585
Wayers	w29_d331e8588
un	w31_d331e8591
weit	w34_d331e8595
Fulda	w36_d331e8600
ein	w38_d331e8603
Commando	w40_d331e8606
schwarzer	w42_d331e8609
Preus	w44_d331e8612
sischer	w47_d331e8617
Hussaren	w49_d331e8621
sich	w51_d331e8624
eingefunden.	w53_d331e8627
</p>
<p id="p10_d331e8630">
Von	w4_d331e8633
Bamberg:	w6_d331e8637
Daß	w8_d331e8640
nunmehro	w10_d331e8643
das	w12_d331e8646
Haupt=quartier	w15_d331e8651
der	w17_d331e8655
Kaiserl.	w19_d331e8658
und	w21_d331e8661
combinir	w23_d331e8664
ten	w26_d331e8669
Reichs=armee	w28_d331e8673
alda	w30_d331e8676
sich	w32_d331e8679
befinde.	w34_d331e8682
</p>
<p id="p12_d331e8686">
Von	w4_d331e8689
Glaßhütten	w6_d331e8693
im	w8_d331e8696
Thüringer=Wald:	w10_d331e8699
Daß	w13_d331e8704
den	w15_d331e8708
4.	w17_d331e8711
Martii	w19_d331e8714
um	w21_d331e8717
11.	w23_d331e8720
Uhr	w25_d331e8724
Vormit	w27_d331e8727
tags	w30_d331e8731
das	w32_d331e8735
von	w34_d331e8738
der	w36_d331e8742
Kaiserl.	w38_d331e8745
und	w40_d331e8748
combinir	w42_d331e8751
ten	w45_d331e8755
Reichs=armee	w47_d331e8760
aldaselbst	w49_d331e8763
gestandene	w51_d331e8766
Com	w53_d331e8769
mando	w56_d331e8773
von	w58_d331e8778
einer	w60_d331e8781
feindlichen	w62_d331e8784
Frey=bataillon,	w64_d331e8787
dann	w67_d331e8791
dem	w69_d331e8796
Jäger=corp,	w71_d331e8799
und	w73_d331e8802
einem	w75_d331e8805
Detasche	w77_d331e8808
ment	w80_d331e8813
Hussaren	w82_d331e8817
in	w84_d331e8820
dem	w86_d331e8823
Verhack	w88_d331e8826
angegriffen,	w90_d331e8829
nach	w93_d331e8834
einem	w95_d331e8838
über	w97_d331e8841
eine	w99_d331e8844
Stund	w101_d331e8847
lang	w103_d331e8851
gedaurthef	w105_d331e8854
tigen	w108_d331e8858
Feuer	w110_d331e8862
aber	w112_d331e8865
wiederumen	w114_d331e8869
zuruck	w116_d331e8872
zu	w118_d331e8875
wei	w120_d331e8878
chen	w123_d331e8882
gezwungen	w125_d331e8887
worden	w127_d331e8890
seye,	w129_d331e8893
wobey	w131_d331e8896
jedoch	w133_d331e8899
diesseits	w136_d331e8904
sowol	w138_d331e8908
an	w140_d331e8911
TodtBleßirt	w142_d331e8914
als	w144_d331e8917
Vermisten	w146_d331e8920
59.	w149_d331e8925
Mann	w151_d331e8929
gezehlet	w153_d331e8932
worden,	w155_d331e8935
und	w157_d331e8938
ein	w159_d331e8942
Feld=stuck	w161_d331e8945
wegen	w164_d331e8949
impracticablen	w166_d331e8953
Weegs	w168_d331e8956
in	w170_d331e8960
dem	w172_d331e8963
tief	w174_d331e8966
fen	w177_d331e8970
Schnee	w179_d331e8974
verlassen	w181_d331e8978
werden	w183_d331e8981
müssen.	w185_d331e8984
Feind	w187_d331e8987
licher	w190_d331e8991
Seits	w192_d331e8996
wäre	w194_d331e8999
der	w196_d331e9002
Verlust	w198_d331e9005
weit	w200_d331e9008
grösser	w202_d331e9011
gewesen,	w205_d331e9016
und	w207_d331e9020
seye	w209_d331e9023
demselben	w211_d331e9026
nach	w213_d331e9029
dem	w215_d331e9033
Ge	w217_d331e9036
fecht	w220_d331e9040
bis	w222_d331e9044
halben	w224_d331e9047
Weeg	w226_d331e9051
nacher	w228_d331e9054
Jllmenau	w230_d331e9057
nachgesetzet	w233_d331e9061
worden.	w235_d331e9065
Der	w237_d331e9069
Herr	w239_d331e9072
Obrist	w241_d331e9075
wachtmeister	w244_d331e9079
Graf	w246_d331e9083
von	w248_d331e9087
Herberstein,	w250_d331e9090
und	w252_d331e9093
Haupt=mann	w255_d331e9097
Wormser	w257_d331e9101
vom	w259_d331e9105
Thürheimischen	w261_d331e9108
Regiment	w264_d331e9112
wären	w266_d331e9116
von	w268_d331e9119
dieser	w270_d331e9123
Affaire	w272_d331e9126
beyde	w274_d331e9129
gefährlich	w277_d331e9133
bleßiret.	w279_d331e9137
Der	w281_d331e9141
Herr	w283_d331e9144
General	w285_d331e9147
Feld=wacht=meister	w288_d331e9151
Graf	w290_d331e9155
von	w292_d331e9159
Guasco	w294_d331e9162
seye	w296_d331e9165
mit	w299_d331e9169
dem	w301_d331e9173
Thürheimischen	w303_d331e9177
Bataillon,	w305_d331e9180
dann	w307_d331e9183
dem	w310_d331e9187
Weimarischen	w312_d331e9191
und	w314_d331e9195
Gothaischen	w316_d331e9198
Con	w318_d331e9201
tingent	w321_d331e9205
gleich	w323_d331e9209
auf	w325_d331e9213
die	w327_d331e9216
erhaltene	w329_d331e9219
Nachricht	w331_d331e9222
von	w334_d331e9226
dem	w336_d331e9231
diesfälligen	w338_d331e9234
Angrif	w340_d331e9237
gegen	w342_d331e9240
Glas	w344_d331e9243
hütten	w347_d331e9248
vorgerücket,	w349_d331e9252
und	w351_d331e9255
habe	w353_d331e9258
mit	w355_d331e9261
seinen	w357_d331e9264
bey	w360_d331e9269
sich	w362_d331e9273
gehabten	w364_d331e9276
Canonen	w366_d331e9279
mit	w368_d331e9282
so	w370_d331e9286
guter	w372_d331e9289
Würkung	w375_d331e9293
auf	w377_d331e9297
den	w379_d331e9300
Feind	w381_d331e9304
spielen	w383_d331e9307
lassen,	w385_d331e9310
daß	w388_d331e9314
eben	w390_d331e9318
hierdurch	w392_d331e9322
dessen	w394_d331e9325
Retirade	w396_d331e9328
am	w398_d331e9331
mei	w400_d331e9334
sten	w403_d331e9339
bewürket	w405_d331e9343
worden;	w407_d331e9346
und	w409_d331e9349
wird	w411_d331e9352
insonder	w413_d331e9355
heit	w416_d331e9360
die	w418_d331e9364
dabey	w420_d331e9367
erwiesene	w422_d331e9370
Tapferkeit	w424_d331e9373
des	w426_d331e9377
erst	w428_d331e9380
ermeldeten	w431_d331e9384
Herrn	w433_d331e9388
Grafens	w435_d331e9391
von	w437_d331e9395
Herberstein	w439_d331e9398
angerühmet.	w442_d331e9402
Das	w444_d331e9406
Chur=pfälzische	w446_d331e9409
Dra	w448_d331e9413
</p>
<p id="p18_d331e9426">
goner=regimenk	w4_d331e9429
habe	w6_d331e9433
die	w8_d331e9436
Cantonirungs	w10_d331e9439
quartiere	w13_d331e9444
zu	w15_d331e9448
Reinhild	w17_d331e9451
und	w19_d331e9454
Trapstadt	w21_d331e9457
bezogen,	w23_d331e9460
und	w26_d331e9465
der	w28_d331e9469
Herr	w30_d331e9472
General	w32_d331e9475
Graf	w34_d331e9478
von	w36_d331e9482
Guasco	w38_d331e9485
habe	w41_d331e9489
Eisfeld,	w43_d331e9493
Frauenwald,	w45_d331e9496
Pratendorf,	w47_d331e9500
Heida,	w50_d331e9504
Goersdorf,	w52_d331e9508
Katzberg,	w54_d331e9511
Tuchfeld,	w56_d331e9514
und	w59_d331e9519
Kroch,	w61_d331e9523
theils	w63_d331e9526
mit	w65_d331e9529
Hussaren,	w67_d331e9532
theils	w69_d331e9536
anderen	w72_d331e9540
Trupen	w74_d331e9544
besetzen	w76_d331e9547
lassen.	w78_d331e9550
</p>
<p id="p20_d331e9553">
Von	w4_d331e9556
Eisenach:	w6_d331e9560
daß	w8_d331e9563
auch	w10_d331e9566
alda	w12_d331e9569
das	w14_d331e9573
Chur	w16_d331e9576
Cölnische	w19_d331e9580
Bataillon	w21_d331e9584
von	w23_d331e9587
einem	w25_d331e9591
Preußischen	w27_d331e9594
Corpo	w30_d331e9598
angegriffen	w32_d331e9602
worden	w34_d331e9605
seye,	w36_d331e9609
nach	w38_d331e9612
einer	w40_d331e9615
tapferen	w43_d331e9619
Gegenwehr	w45_d331e9623
aber	w47_d331e9627
seine	w49_d331e9630
Retraite	w51_d331e9633
in	w53_d331e9636
bester	w56_d331e9640
Ordnung	w58_d331e9645
behauptet	w60_d331e9648
habe.	w62_d331e9651
</p>
<p id="p22_d331e9654">
Von	w4_d331e9657
Erfurt:	w6_d331e9661
daß	w8_d331e9664
die	w10_d331e9667
Preussen	w12_d331e9670
nach	w14_d331e9674
einer	w17_d331e9678
aldaselbst	w19_d331e9682
eingetribenen	w21_d331e9685
namhaften	w23_d331e9688
Contribution	w26_d331e9693
aus	w28_d331e9697
dieser	w30_d331e9700
Stadt	w32_d331e9703
anwiederum	w34_d331e9706
abgezogen	w37_d331e9711
seyen,	w39_d331e9715
und	w41_d331e9718
solche	w43_d331e9721
völlig	w45_d331e9724
verlas	w47_d331e9728
sen	w50_d331e9732
hätten,	w52_d331e9736
dargegen	w54_d331e9739
der	w56_d331e9742
Hr.	w58_d331e9746
Generalfeld	w60_d331e9749
wacht=meister	w63_d331e9753
Graf	w65_d331e9757
von	w67_d331e9760
Guasco	w69_d331e9764
neuerdingen	w71_d331e9767
auf	w74_d331e9771
Arnstadt	w76_d331e9775
und	w78_d331e9778
Jllmenau	w80_d331e9782
vorgerucket	w82_d331e9785
wäre.	w84_d331e9788
</p>
<p id="p24_d331e9792">
Von	w4_d331e9795
Lisabon:	w6_d331e9799
daß	w8_d331e9802
der	w10_d331e9805
Königl.	w12_d331e9808
Portu	w14_d331e9812
gesische	w17_d331e9816
Hof	w19_d331e9820
noch	w21_d331e9823
immer	w23_d331e9826
zu	w25_d331e9830
Salva	w27_d331e9833
Terra	w29_d331e9836
sich	w32_d331e9840
befinde,	w34_d331e9844
allwo	w36_d331e9848
der	w38_d331e9851
König	w40_d331e9854
sich	w42_d331e9857
mit	w44_d331e9860
der	w46_d331e9863
Jagd	w49_d331e9868
unterhalte,	w51_d331e9872
und	w53_d331e9875
daß	w55_d331e9878
an	w57_d331e9881
den	w59_d331e9885
Director	w61_d331e9888
des	w64_d331e9892
Justitz=weesens	w66_d331e9896
die	w68_d331e9899
Königl.	w70_d331e9903
Ordre	w72_d331e9906
er	w74_d331e9909
lassen	w77_d331e9913
worden	w79_d331e9917
seye,	w81_d331e9921
wordurch	w83_d331e9924
alle	w85_d331e9927
denen	w87_d331e9930
Jesuiten	w90_d331e9934
zugehörige	w92_d331e9939
Güter	w94_d331e9942
in	w96_d331e9945
ganz	w98_d331e9948
Portu	w100_d331e9951
gal	w103_d331e9956
sequestriret	w105_d331e9960
werden	w107_d331e9963
sollen.	w109_d331e9966
</p>
<head id="h2_d331e9972">
Wien	w4_d331e9975
den	w6_d331e9979
17.	w8_d331e9982
Martii	w10_d331e9985
1759.	w12_d331e9988
</head>
<p id="p4_d331e9991">
Feyde	w4_d331e9994
Kaiserl.	w6_d331e9998
Königl.	w8_d331e10001
Majestäten	w10_d331e10004
nebst	w12_d331e10007
ihren	w15_d331e10012
Königl.	w17_d331e10016
Hoheiten	w19_d331e10019
denen	w21_d331e10022
Durchl.	w23_d331e10025
Herrschaften	w26_d331e10030
pflegen	w28_d331e10034
täglich	w30_d331e10037
denen	w32_d331e10040
derma	w34_d331e10043
ligen	w37_d331e10048
Fastens=andachten	w39_d331e10052
auferbäulichst	w41_d331e10055
bey	w43_d331e10058
zuwohnen.	w46_d331e10062
</p>
<p id="p6_d331e10066">
Vorgestrigen	w4_d331e10069
Donnerstags,	w6_d331e10073
als	w8_d331e10076
den	w10_d331e10079
15.	w12_d331e10082
dieses,	w15_d331e10087
haben	w17_d331e10091
Se.	w19_d331e10094
Majestät	w21_d331e10097
der	w23_d331e10100
Kaiser	w25_d331e10104
in	w27_d331e10107
Begleitung	w30_d331e10111
einiger	w32_d331e10115
Herrn	w34_d331e10118
Cavalieren	w36_d331e10122
jen	w38_d331e10125
seits	w41_d331e10129
deren	w43_d331e10133
alhiesigen	w45_d331e10136
Donau=brücken	w47_d331e10140
in	w49_d331e10143
der	w51_d331e10146
Gegend	w54_d331e10150
von	w56_d331e10154
Aspern	w58_d331e10158
mit	w60_d331e10161
Schnepfen=schiessen	w62_d331e10164
sich	w65_d331e10168
belustiget.	w67_d331e10172
</p>
<p id="p8_d331e10175">
Gestern	w4_d331e10178
ware	w6_d331e10182
über	w8_d331e10185
dermalige	w10_d331e10188
Kriegsan	w12_d331e10191
gelegenheiten	w15_d331e10196
grosse	w17_d331e10200
Conferenz	w19_d331e10203
in	w21_d331e10206
Beywoh	w23_d331e10209
nung	w26_d331e10214
beyder	w28_d331e10218
Kaiserl.	w30_d331e10221
Majestäten.	w32_d331e10224
</p>
<p id="p10_d331e10227">
Der	w4_d331e10230
Herr	w6_d331e10234
General=major	w8_d331e10237
Fürst	w10_d331e10240
von	w12_d331e10243
Lobkowitz	w15_d331e10248
ist	w17_d331e10252
gleichfalls	w19_d331e10255
dieser	w21_d331e10258
Tägen	w23_d331e10261
zu	w25_d331e10265
der	w27_d331e10268
Reichs=armee	w30_d331e10272
abgegangen.	w32_d331e10276
</p>
<p id="p12_d331e10280">
Die	w4_d331e10283
Herren	w6_d331e10287
General=majors	w8_d331e10290
von	w10_d331e10293
Cam	w12_d331e10296
pitelli	w15_d331e10301
und	w17_d331e10305
Blonquet	w19_d331e10308
sind	w21_d331e10311
von	w23_d331e10314
ihrer	w25_d331e10318
Kai	w27_d331e10321
serl.	w30_d331e10325
Königl.	w32_d331e10329
Majestät,	w34_d331e10332
zu	w36_d331e10336
Feldmarschall	w38_d331e10339
leutenants	w41_d331e10343
allergnädigst	w43_d331e10347
ernannt	w45_d331e10350
worden.	w47_d331e10354
</p>
<p id="p14_d331e10357">
Ubrigens	w4_d331e10360
hat	w6_d331e10364
der	w8_d331e10367
Feld=marschall	w10_d331e10370
Fürst	w12_d331e10373
von	w14_d331e10377
Lichtenstein	w17_d331e10381
das	w19_d331e10385
bis	w21_d331e10388
anhero	w23_d331e10391
aufgehabte	w25_d331e10395
Ge	w27_d331e10398
neral=commando	w30_d331e10402
im	w32_d331e10406
Königreich	w34_d331e10409
Hungarn	w36_d331e10413
dem	w39_d331e10417
Prinzen	w41_d331e10421
von	w43_d331e10424
Zwey=brücken	w45_d331e10427
mit	w47_d331e10431
Ge	w49_d331e10434
nemhaltung	w52_d331e10438
des	w54_d331e10442
alhiesig	w56_d331e10445
allerhöchsten	w58_d331e10449
Hofes	w60_d331e10452
abgetretten.	w63_d331e10456
</p>
<p id="p16_d331e10460">
Die	w4_d331e10463
Physicalische	w6_d331e10467
Abhandlungen,	w8_d331e10470
oder	w10_d331e10473
so	w13_d331e10478
genannte	w15_d331e10482
Collegia	w17_d331e10485
Experimentalia	w19_d331e10488
Phy-	w21_d331e10491
sica	w24_d331e10496
werden	w26_d331e10500
in	w28_d331e10503
dem	w30_d331e10506
Physico-Mathematico	w32_d331e10509
Musæo	w35_d331e10514
Collegii	w37_d331e10518
Academici	w39_d331e10521
Soc.	w41_d331e10524
JEsu	w43_d331e10527
nach	w45_d331e10530
der	w47_d331e10534
Oster=wochen	w50_d331e10538
wieder	w52_d331e10542
ihren	w54_d331e10545
gewöhnlichen	w56_d331e10548
An	w58_d331e10552
fang	w61_d331e10556
nehmen.	w63_d331e10560
Betreffend	w65_d331e10563
die	w67_d331e10566
hierzu	w69_d331e10570
er	w71_d331e10573
forderliche	w74_d331e10577
Billets,	w76_d331e10581
und	w78_d331e10584
die	w80_d331e10588
Zeit	w82_d331e10591
dieser	w84_d331e10594
Ver	w86_d331e10597
sammlungen,	w89_d331e10601
so	w91_d331e10606
verbleibet	w93_d331e10609
alles	w95_d331e10612
bey	w97_d331e10615
dem	w99_d331e10618
schon	w101_d331e10621
bekannten	w104_d331e10626
Gebrauch,	w106_d331e10630
und	w108_d331e10633
der	w110_d331e10636
Anno	w112_d331e10639
