<doc id="edoc_wd_1762-11-03" attrs="word" year="1762" month="11" day="03" corpus="1">
<head id="hl1">
Constantinopel	w40
Conflans	w1918
zu	w1919
zwingen	w1920
<g/>
,
Berleburg	w1922
zu	w1923
verlassen	w1924
<g/>
,
weilen	w1926
derselbe	w1927
wegen	w1928
dieser	w1929
Stellung	w1930
nicht	w1931
nur	w1932
den	w1933
rechten	w1934
Flügel	w1935
der	w1936
alliirten	w1937
Armee	w1938
ziemlich	w1939
eingeschlossen	w1940
hielte	w1941
<g/>
,
sondern	w1943
auch	w1944
die	w1945
Herbeytreibung	w1946
der	w1947
ihnen	w1948
so	w1949
nohtwendigen	w1950
Fourage	w1951
in	w1952
dasigen	w1953
Gegen=den	w1954
<g/>
=
verhinderte	w1956
<g/>
.
</p>
<p id="p27">
Dieses	w1958
feindliche	w1959
Corps	w1960
war	w1961
den	w1962
3ten	w1963
Abends	w1964
von	w1965
Schwarzenbach	w1966
<g/>
,
6	w1968
<g/>
.
Stunden	w1970
von	w1971
Berleburg	w1972
aufgebrochen	w1973
<g/>
,
und	w1975
hatte	w1976
die	w1977
ganze	w1978
Nacht	w1979
durchmarschiret	w1980
<g/>
.
</p>
<p id="p28">
Der	w1982
Verlust	w1983
bestund	w1984
alliirter	w1985
Seits	w1986
in	w1987
20	w1988
<g/>
.
Mann	w1990
Todte	w1991
und	w1992
40	w1993
<g/>
.
Verwundete	w1995
<g/>
,
Französischer	w1997
Seits	w1998
hatte	w1999
man	w2000
nur	w2001
11	w2002
<g/>
.
Todte	w2004
und	w2005
23	w2006
<g/>
.
Bleßirte	w2008
<g/>
.
</p>
<p id="p29">
Den	w2010
8	w2011
<g/>
.
um	w2013
3	w2014
<g/>
.
Uhr	w2016
Nachmittag	w2017
sabe	w2018
man	w2019
wiederum	w2020
auf	w2021
dem	w2022
Weeg	w2023
von	w2024
Hatzseld	w2025
<g/>
,
auf	w2027
Berleburg	w2028
eine	w2029
Colonne	w2030
vorrucken	w2031
<g/>
,
welche	w2033
aus	w2034
5	w2035
<g/>
.
Bataillons	w2037
und	w2038
ungefehr	w2039
1000	w2040
<g/>
.
Pfer=den	w2042
<g/>
=
bestunde	w2044
<g/>
:
Hr	w2046
<g/>
.
General	w2048
von	w2049
Conflans	w2050
entschloß	w2051
sich	w2052
auf	w2053
der	w2054
Stelle	w2055
<g/>
,
sich	w2057
zurück	w2058
zu	w2059
zie=hen	w2060
<g/>
=
<g/>
,
und	w2063
die	w2064
nämliche	w2065
Stellung	w2066
auf	w2067
das	w2068
er=stemal	w2069
<g/>
=
zu	w2071
nehmen	w2072
<g/>
;
der	w2074
Feind	w2075
aber	w2076
<g/>
,
welcher	w2078
selbige	w2079
schon	w2080
kennete	w2081
<g/>
,
prositirte	w2083
von	w2084
seiner	w2085
ausserordentlichen	w2086
Ueberlegenheit	w2087
<g/>
,
um	w2089
den	w2090
Nachtrab	w2091
des	w2092
Regiments	w2093
von	w2094
Conflans	w2095
<g/>
,
so	w2097
die	w2098
2	w2099
<g/>
.
Grenadier	w2101
<g/>
=
compagnien	w2103
machten	w2104
<g/>
,
in	w2106
die	w2107
Enge	w2108
zu	w2109
treiben	w2110
<g/>
,
und	w2112
griffen	w2113
selbige	w2114
zu	w2115
zweymalen	w2116
mit	w2117
5	w2118
<g/>
.
Escadrons	w2120
<g/>
,
sowol	w2122
El=liottischen	w2123
<g/>
=
Dragonern	w2125
als	w2126
Lucknerischen	w2127
Hus=saren	w2128
<g/>
=
an	w2130
<g/>
,
welche	w2132
aber	w2133
zu	w2134
beedenmalen	w2135
zurück	w2136
getrieben	w2137
wurden	w2138
<g/>
;
nachdeme	w2140
dieselben	w2141
auf	w2142
20	w2143
<g/>
.
Schritte	w2145
weit	w2146
von	w2147
denen	w2148
2	w2149
<g/>
.
Grenadier=compagnien	w2151
<g/>
=
ein	w2153
wol	w2154
regulirtes	w2155
Feuer	w2156
ausge=halten	w2157
<g/>
=
<g/>
,
so	w2160
konnten	w2161
sie	w2162
doch	w2163
nicht	w2164
dahin	w2165
gelan=gen	w2166
<g/>
=
<g/>
,
die	w2169
geringste	w2170
Unordnung	w2171
unter	w2172
gedachte	w2173
2	w2174
<g/>
.
Compagnien	w2176
zu	w2177
bringen	w2178
<g/>
;
das	w2180
Regiment	w2181
von	w2182
Conflans	w2183
gewann	w2184
unterdessen	w2185
die	w2186
Anhö=hen	w2187
<g/>
=
<g/>
,
und	w2190
das	w2191
Canoniren	w2192
gienge	w2193
wiederum	w2194
an	w2195
<g/>
,
</p>
<p id="p30">
glelch	w2198
es	w2199
den	w2200
4	w2201
<g/>
.
geschehen	w2203
<g/>
,
aber	w2205
weit	w2206
leb=hafter	w2207
<g/>
=
<g/>
;
der	w2210
Feind	w2211
hatte	w2212
8	w2213
<g/>
.
Canonen	w2215
<g/>
,
wor=von	w2217
<g/>
=
2	w2219
<g/>
.
4	w2221
pfündige	w2222
Kugeln	w2223
schossen	w2224
<g/>
,
und	w2226
das	w2227
Regiment	w2228
von	w2229
Conflans	w2230
hatte	w2231
6	w2232
<g/>
.
kleine	w2234
Stücke	w2235
auf	w2236
der	w2237
Batterie	w2238
<g/>
,
es	w2240
dauerte	w2241
bis	w2242
in	w2243
die	w2244
Nacht	w2245
<g/>
.
Eine	w2247
Stunde	w2248
in	w2249
der	w2250
Nacht	w2251
<g/>
,
als	w2253
der	w2254
Marquis	w2255
ven	w2256
Conflans	w2257
sahe	w2258
<g/>
,
daß	w2260
die	w2261
Feinde	w2262
Feuer	w2263
angezündet	w2264
<g/>
,
und	w2266
sich	w2267
resolvi=ret	w2268
<g/>
=
<g/>
,
hinter	w2271
die	w2272
Stadt	w2273
Berleburg	w2274
Posto	w2275
zu	w2276
fassen	w2277
<g/>
,
so	w2279
zog	w2280
er	w2281
sich	w2282
zurück	w2283
<g/>
,
nach	w2285
Wenges=hausen	w2286
<g/>
=
<g/>
,
2	w2289
<g/>
.
kleine	w2291
Stunden	w2292
von	w2293
BerleburgBerleburgDen	w2294
<g/>
=
</p>
<p id="p31">
Den	w2296
9	w2297
<g/>
.
um	w2299
11	w2300
<g/>
.
Uhr	w2302
Morgens	w2303
vernahm	w2304
er	w2305
<g/>
,
daß	w2307
die	w2308
Alliirte	w2309
ein	w2310
starkes	w2311
Comman=do	w2312
<g/>
=
nach	w2314
Schmalenberg	w2315
geschickt	w2316
<g/>
,
und	w2318
ein	w2319
anderes	w2320
auf	w2321
Laspe	w2322
<g/>
,
worüber	w2324
sich	w2325
derselbe	w2326
wiederum	w2327
zurück	w2328
nach	w2329
Oberhunde	w2330
zog	w2331
<g/>
,
in	w2333
der	w2334
Absicht	w2335
<g/>
,
nähere	w2337
Nachrichten	w2338
zu	w2339
erwar=ten	w2340
<g/>
=
von	w2342
der	w2343
Stärke	w2344
des	w2345
Commando	w2346
<g/>
,
so	w2348
Schmalenberg	w2349
besetzt	w2350
hielte	w2351
<g/>
;
in	w2353
der	w2354
Nacht	w2355
vom	w2356
9	w2357
bis	w2358
10	w2359
<g/>
.
vernahm	w2361
er	w2362
<g/>
,
daß	w2364
es	w2365
in	w2366
150	w2367
<g/>
.
Mann	w2369
zu	w2370
Fuß	w2371
und	w2372
200	w2373
<g/>
.
zu	w2375
Pferd	w2376
bestunde	w2377
<g/>
.
</p>
<p id="p32">
Den	w2379
10	w2380
<g/>
.
bey	w2382
anbrechendem	w2383
Tag	w2384
mar=schirte	w2385
<g/>
=
derselbe	w2387
auf	w2388
Schmalenberg	w2389
<g/>
,
und	w2391
machte	w2392
unterwegs	w2393
eine	w2394
Patronille	w2395
von	w2396
15	w2397
<g/>
.
Dragonern	w2399
nebst	w2400
einem	w2401
Officier	w2402
<g/>
,
so	w2404
von	w2405
daraus	w2406
geschickt	w2407
wurden	w2408
<g/>
,
zu	w2410
Gefangenen	w2411
<g/>
.
Die	w2413
Lage	w2414
von	w2415
Schmalenberg	w2416
<g/>
,
allwo	w2418
man	w2419
nicht	w2420
leicht	w2421
von	w2422
keiner	w2423
Seite	w2424
herankommen	w2425
kan	w2426
<g/>
,
insonderheit	w2428
auf	w2429
derjenigen	w2430
von	w2431
Ober=hund	w2432
<g/>
=
<g/>
,
ohne	w2435
eine	w2436
halbe	w2437
Stunde	w2438
weit	w2439
von	w2440
denen	w2441
Feld	w2442
<g/>
=
wachten	w2444
gesehen	w2445
zu	w2446
werden	w2447
<g/>
,
er=regte	w2449
<g/>
=
fast	w2451
dem	w2452
Herrn	w2453
Marquis	w2454
von	w2455
Con=flans	w2456
<g/>
=
die	w2458
Vermuthung	w2459
<g/>
,
daß	w2461
er	w2462
in	w2463
seinem	w2464
Vordaben	w2465
nicht	w2466
leichte	w2467
reußiren	w2468
würde	w2469
<g/>
.
Jn=dessen	w2471
<g/>
=
lockte	w2473
er	w2474
die	w2475
Feld	w2476
<g/>
=
wachten	w2478
an	w2479
auf	w2480
einer	w2481
Seiten	w2482
<g/>
,
und	w2484
arbeitete	w2485
auf	w2486
einer	w2487
an=dern	w2488
<g/>
=
<g/>
,
indem	w2491
sich	w2492
derselbe	w2493
alle	w2494
Berge	w2495
mit	w2496
so	w2497
vieler	w2498
Geschwindigkeit	w2499
als	w2500
Glück	w2501
zu	w2502
Nu=tzen	w2503
<g/>
=
machte	w2505
<g/>
.
Er	w2507
postirte	w2508
rechter	w2509
Hand	w2510
der	w2511
Stadt	w2512
2	w2513
<g/>
.
Escadrons	w2515
Husaren	w2516
<g/>
,
linker	w2518
Hand	w2519
2	w2520
<g/>
.
Escadrons	w2522
Dragoner	w2523
<g/>
,
wie	w2525
auch	w2526
eine	w2527
Gre=nadier	w2528
<g/>
=
<g/>
=
compagnie	w2531
und	w2532
2	w2533
<g/>
.
Jäger	w2535
<g/>
=
compacompagnien	w2537
<g/>
=
</p>
<p id="p33">
gnien	w2539
<g/>
,
welche	w2541
gerade	w2542
auf	w2543
die	w2544
Stakt	w2545
zu	w2546
marschirten	w2547
<g/>
,
der	w2549
Ueberrest	w2550
von	w2551
der	w2552
Jnfen	w2553
terie	w2554
von	w2555
Conflans	w2556
<g/>
,
bedackte	w2558
den	w2559
Weg	w2560
ven	w2561
Berleburg	w2562
auf	w2563
Schmalenberg	w2564
<g/>
,
der	w2566
Feind	w2567
nahm	w2568
hierauf	w2569
die	w2570
Partis	w2571
<g/>
,
sich	w2573
zurück	w2574
zu	w2575
zie=hen	w2576
<g/>
=
<g/>
,
allein	w2579
zu	w2580
spat	w2581
<g/>
;
die	w2583
französische	w2584
Ca=vallerie	w2585
<g/>
=
stiesse	w2587
auf	w2588
die	w2589
ihrige	w2590
<g/>
,
und	w2592
die	w2593
Jn=fanterie	w2594
<g/>
=
ebenfalls	w2596
auf	w2597
die	w2598
Alliirte	w2599
<g/>
,
derge=stalten	w2601
<g/>
=
<g/>
,
daß	w2604
derselbe	w2605
sich	w2606
gezwungen	w2607
sahe	w2608
<g/>
,
auf	w2610
einen	w2611
Haufen	w2612
das	w2613
Gewehr	w2614
zu	w2615
strecken	w2616
<g/>
,
und	w2618
die	w2619
Franzosen	w2620
von	w2621
dem	w2622
ganzen	w2623
Com=mando	w2624
<g/>
=
102	w2626
<g/>
.
Mann	w2628
zu	w2629
Fuß	w2630
<g/>
,
und	w2632
140	w2633
<g/>
.
zu	w2635
Pferde	w2636
zu	w2637
Kriegs	w2638
<g/>
=
gefangenen	w2640
machten	w2641
<g/>
,
über	w2643
das	w2644
14	w2645
<g/>
.
Officiers	w2647
<g/>
,
worunter	w2649
1	w2650
<g/>
.
Obrist=leutenant	w2652
<g/>
=
<g/>
,
3	w2655
<g/>
.
Capitains	w2657
<g/>
,
und	w2659
die	w2660
übrige	w2661
Leutenants	w2662
oder	w2663
Cornets	w2664
waren	w2665
<g/>
.
Der	w2667
Marquis	w2668
von	w2669
Conflans	w2670
zoge	w2671
sich	w2672
den	w2673
näm=lichen	w2674
<g/>
=
Abend	w2676
wiederum	w2677
zurück	w2678
auf	w2679
Salhau=sen	w2680
<g/>
=
<g/>
,
allwo	w2683
ein	w2684
Commando	w2685
von	w2686
150	w2687
<g/>
.
Mann	w2689
von	w2690
seiner	w2691
Jnfanterie	w2692
und	w2693
100	w2694
<g/>
.
Husaren	w2696
<g/>
,
welche	w2698
den	w2699
8ten	w2700
Morgens	w2701
von	w2702
Berleburg	w2703
abgiengen	w2704
<g/>
,
um	w2706
hinter	w2707
die	w2708
seindliche	w2709
Armee	w2710
sich	w2711
zu	w2712
begeben	w2713
<g/>
,
wiederum	w2715
glücklich	w2716
zu	w2717
ihm	w2718
stiesse	w2719
<g/>
,
und	w2721
25	w2722
<g/>
.
Gefangene	w2724
nebst	w2725
einem	w2726
Engländischen	w2727
Quartier	w2728
<g/>
=
meister	w2730
herbey	w2731
brachten	w2732
<g/>
;
man	w2734
vernahm	w2735
durch	w2736
die	w2737
Kriegs=gefangene	w2738
<g/>
=
von	w2740
Schmalenberg	w2741
<g/>
,
daß	w2743
der	w2744
Tag	w2745
vom	w2746
8ten	w2747
<g/>
,
selbigen	w2749
25	w2750
<g/>
.
Todte	w2752
und	w2753
60	w2754
Bles=firte	w2755
<g/>
=
gekostet	w2757
hat	w2758
<g/>
,
viele	w2760
Officiers	w2761
wurden	w2762
bleßirt	w2763
<g/>
,
worunter	w2765
der	w2766
Major	w2767
von	w2768
Elliot	w2769
begriffen	w2770
<g/>
,
und	w2772
2	w2773
<g/>
.
getödtet	w2775
<g/>
,
wie	w2777
auch	w2778
viele	w2779
Pferde	w2780
<g/>
;
das	w2782
Conflansische	w2783
Corps	w2784
verlohre	w2785
nichts	w2786
anders	w2787
<g/>
,
als	w2789
50	w2790
<g/>
.
Mann	w2792
sowol	w2793
Todt	w2794
als	w2795
Bießirte	w2796
und	w2797
Gefangene	w2798
<g/>
,
nebst	w2800
einem	w2801
Officier	w2802
<g/>
.
</p>
<head id="hl5">
Aus	w2804
Westphalen	w2805
17	w2806
<g/>
.
Getob	w2808
<g/>
.
</head>
<p id="p34">
Von	w2810
Münster	w2811
aus	w2812
vernihmt	w2813
man	w2814
unterm	w2815
14	w2816
<g/>
.
dieses	w2818
<g/>
:
Jn	w2820
voriger	w2821
Nacht	w2822
keme	w2823
alles	w2824
dahier	w2825
zu	w2826
Allarm	w2827
<g/>
;
man	w2829
brachte	w2830
durch	w2831
Ex=presse	w2832
<g/>
=
in	w2834
Erfahrung	w2835
<g/>
,
daß	w2837
ein	w2838
Detaschement	w2839
Französischer	w2840
Trupen	w2841
sich	w2842
dem	w2843
Schloß	w2844
Teck=lenburg	w2845
<g/>
=
genähert	w2847
<g/>
,
und	w2849
dasselbe	w2850
durch	w2851
8	w2852
<g/>
.
CaCanonen	w2854
<g/>
=
</p>
<p id="p35">
nonen	w2858
und	w2859
2	w2860
<g/>
.
Mörsern	w2862
zur	w2863
Uebergabe	w2864
ge=nöhtiget	w2865
<g/>
=
hätte	w2867
<g/>
;
sie	w2869
haben	w2870
darinnen	w2871
alle	w2872
Equi=page	w2873
<g/>
=
vom	w2875
Scheitherischen	w2876
Corps	w2877
erbeutet	w2878
<g/>
,
und	w2880
die	w2881
Garnison	w2882
<g/>
,
welche	w2884
aus	w2885
25	w2886
<g/>
.
Scheithe=rischen	w2888
<g/>
=
und	w2890
so	w2891
viel	w2892
Trimbachern	w2893
bestanden	w2894
<g/>
,
zu	w2896
Kriegs	w2897
<g/>
=
gefangenen	w2899
gemacht	w2900
<g/>
.
Die	w2902
Bü=ckeburger	w2903
<g/>
=
und	w2905
Trimbacher	w2906
<g/>
,
so	w2908
zu	w2909
Münster	w2910
in	w2911
Garnison	w2912
sind	w2913
<g/>
,
wurden	w2915
in	w2916
der	w2917
Nacht	w2918
zum	w2919
Marsch	w2920
commandiret	w2921
<g/>
,
um	w2923
6	w2924
<g/>
.
Uhr	w2926
des	w2927
Mor=gens	w2928
<g/>
=
waren	w2930
erstere	w2931
schon	w2932
auf	w2933
dem	w2934
Dom=hof	w2935
<g/>
=
rangiret	w2937
<g/>
,
die	w2939
Trimbacher	w2940
hingegen	w2941
waren	w2942
um	w2943
10	w2944
<g/>
.
Uhr	w2946
auf	w2947
dem	w2948
Ort	w2949
ihrer	w2950
Bestimmung	w2951
noch	w2952
nicht	w2953
versammelt	w2954
<g/>
,
daher	w2956
jene	w2957
dieser	w2958
war=ten	w2959
<g/>
=
musten	w2961
Man	w2962
sagt	w2963
<g/>
,
daß	w2965
die	w2966
Franzosen	w2967
zur	w2968
Bedeckung	w2969
ihres	w2970
Rückzugs	w2971
3000	w2972
<g/>
.
Mann	w2974
stark	w2975
seren	w2976
<g/>
,
die	w2978
ihnen	w2979
schon	w2980
die	w2981
gemachte	w2982
Beu=te	w2983
<g/>
=
versichern	w2985
werden	w2986
<g/>
.
</p>
<p id="p36">
Obwol	w2988
man	w2989
sich	w2990
die	w2991
gröste	w2992
Hofnung	w2993
mach=te	w2994
<g/>
=
<g/>
,
den	w2997
Waffen	w2998
<g/>
=
stillstand	w3000
zwischen	w3001
den	w3002
krie=genden	w3003
<g/>
=
Mächten	w3005
publicirt	w3006
zu	w3007
hören	w3008
<g/>
,
so	w3010
hat	w3011
der	w3012
Commandant	w3013
mit	w3014
mehrerem	w3015
Eifer	w3016
an	w3017
den	w3018
Festungs	w3019
<g/>
=
werkern	w3021
zu	w3022
arbeiten	w3023
anfangen	w3024
lassen	w3025
<g/>
.
Ein	w3027
gleiches	w3028
g	w3029
<g/>
=
schiehet	w3031
zu	w3032
Lippstadt	w3033
und	w3034
Hamen	w3035
<g/>
;
diese	w3037
Nachrichten	w3038
wollen	w3039
da=bey	w3040
<g/>
=
versichern	w3042
<g/>
,
daß	w3044
es	w3045
bey	w3046
den	w3047
Armeen	w3048
un=ter	w3049
<g/>
=
scharfer	w3051
Strafe	w3052
verboten	w3053
seye	w3054
<g/>
,
nicht	w3056
mehr	w3057
vom	w3058
Frieden	w3059
zu	w3060
reden	w3061
<g/>
.
</p>
<p id="p37">
Der	w3063
Marquis	w3064
von	w3065
Conflans	w3066
<g/>
,
welcher	w3068
mit	w3069
seinem	w3070
Corps	w3071
aus	w3072
der	w3073
Grafschaft	w3074
Berleburg	w3075
völlig	w3076
abmarschiret	w3077
<g/>
,
hat	w3079
am	w3080
11	w3081
<g/>
.
dieses	w3083
bey	w3084
Schmalenberg	w3085
im	w3086
Chur	w3087
<g/>
=
cöllnischen	w3089
Sauerland	w3090
ein	w3091
starkes	w3092
Detaschement	w3093
Ha=növerischer	w3094
<g/>
=
Trupen	w3096
angegriffen	w3097
<g/>
,
und	w3099
davon	w3100
<g/>
,
ohne	w3102
die	w3103
Niedergesäbelte	w3104
<g/>
,
300	w3106
<g/>
.
Mann	w3108
zu	w3109
Kriegs	w3110
<g/>
=
gefangenen	w3112
gemacht	w3113
<g/>
,
am	w3115
12	w3116
<g/>
.
dieses	w3118
ist	w3119
derselbe	w3120
zu	w3121
Bielstein	w3122
eingetroffen	w3123
<g/>
,
wohin	w3125
die	w3126
nöhtige	w3127
Lebens	w3128
<g/>
=
mitteln	w3130
müssen	w3131
geliefert	w3132
werden	w3133
<g/>
.
Man	w3135
mutmasset	w3136
<g/>
,
es	w3138
werde	w3139
von	w3140
Bielstein	w3141
auf	w3142
Attendorn	w3143
marschiret	w3144
<g/>
,
so	w3146
viel	w3147
ist	w3148
wenigstens	w3149
gewiß	w3150
<g/>
,
daß	w3152
man	w3153
allda	w3154
ange=langen	w3155
<g/>
=
<g/>
,
für	w3158
ankommende	w3159
Trupen	w3160
zu	w3161
liefern	w3162
<g/>
,
und	w3164
das	w3165
dasige	w3166
Raht	w3167
<g/>
=
haus	w3169
zum	w3170
Magazins=haus	w3171
<g/>
=
eingerichtet	w3173
habe	w3174
<g/>
.
Die	w3176
Hanooerische	w3177
</p>
<p id="p38">
Trupen	w3178
haben	w3179
die	w3180
Roer	w3181
bey	w3182
Meschede	w3183
und	w3184
weiter	w3185
herunter	w3186
bis	w3187
Frinohl	w3188
<g/>
,
Dinschede	w3190
und	w3191
Rumbeck	w3192
stark	w3193
befetzet	w3194
<g/>
,
aus	w3196
den	w3197
vorherge=henden	w3198
<g/>
=
Bewegungen	w3200
will	w3201
man	w3202
schliessen	w3203
<g/>
,
daß	w3205
es	w3206
in	w3207
wenig	w3208
Tagen	w3209
in	w3210
diesen	w3211
Gegenden	w3212
blu=tige	w3213
<g/>
=
Köpfe	w3215
absetzen	w3216
solle	w3217
<g/>
.
</p>
<head id="hl6">
Wien	w3219
den	w3220
3	w3221
<g/>
.
Novemb	w3223
<g/>
.
1762	w3225
<g/>
.
</head>
<p id="p39">
Sonntags	w3227
den	w3228
31	w3229
<g/>
.
Octob	w3231
<g/>
.
Nachmittags	w3233
um	w3234
3	w3235
<g/>
.
Uhr	w3237
seynd	w3238
beede	w3239
Kaiserl	w3240
<g/>
.
Kö=nigl	w3242
<g/>
=
<g/>
.
Majestäten	w3245
mit	w3246
ihren	w3247
Königl	w3248
<g/>
.
Hohei=ten	w3250
<g/>
=
denen	w3252
Durchl	w3253
<g/>
.
Erzherzogen	w3255
Joseph	w3256
und	w3257
Leopold	w3258
in	w3259
öffentlichem	w3260
Staat	w3261
zu	w3262
St	w3263
<g/>
.
Pe=ter	w3265
<g/>
=
gefahren	w3267
<g/>
,
und	w3269
haben	w3270
allda	w3271
der	w3272
von	w3273
Sr	w3274
<g/>
.
Eminenz	w3276
dem	w3277
Hrn	w3278
<g/>
.
Cardinal	w3280
und	w3281
Erzbischofen	w3282
gehaltenen	w3283
Vesper	w3284
<g/>
,
und	w3286
hierauf	w3287
zu	w3288
der	w3289
jährlichen	w3290
Danksagung	w3291
für	w3292
die	w3293
A	w3294
<g/>
.
1679	w3296
<g/>
.
abgewendete	w3298
Pest	w3299
geführten	w3300
Proceßion	w3301
zu	w3302
der	w3303
allerheiligsten	w3304
Dreyfaltigkeits	w3305
<g/>
=
saule	w3307
auf	w3308
dem	w3309
Graben	w3310
<g/>
,
allda	w3312
der	w3313
Litaney	w3314
<g/>
,
der	w3316
Pre=dig	w3317
<g/>
=
<g/>
,
und	w3320
dem	w3321
Englischen	w3322
Rosenkranz	w3323
<g/>
,
folg=lich	w3325
<g/>
=
in	w3327
bemeldter	w3328
Kirche	w3329
dem	w3330
letzten	w3331
See=gen	w3332
<g/>
=
beygewohnet	w3334
<g/>
.
</p>
<p id="p40">
Montag	w3336
den	w3337
1	w3338
<g/>
.
Novemb	w3340
<g/>
.
als	w3342
am	w3343
Aller=heiligen	w3344
<g/>
=
<g/>
=
fest	w3347
<g/>
,
haben	w3349
Vormittags	w3350
Se	w3351
<g/>
.
Ma=jestät	w3353
<g/>
=
der	w3355
Kaiser	w3356
mit	w3357
Jhren	w3358
Königl	w3359
<g/>
.
Hohei=ten	w3361
<g/>
=
denen	w3363
Durchl	w3364
<g/>
.
Erzherzogen	w3366
Joseph	w3367
und	w3368
Leopold	w3369
<g/>
,
dem	w3371
feyerlichen	w3372
Toison	w3373
<g/>
=
amt	w3375
in	w3376
der	w3377
grossen	w3378
Hof	w3379
<g/>
=
kapelle	w3381
beygewohnet	w3382
<g/>
.
Es	w3384
seynd	w3385
auch	w3386
diesen	w3387
Vormittag	w3388
die	w3389
Herren	w3390
Bot=schafter	w3391
<g/>
=
und	w3393
der	w3394
hohe	w3395
Adel	w3396
in	w3397
Gala	w3398
bey	w3399
Hof	w3400
erschienen	w3401
<g/>
,
und	w3403
haben	w3404
bey	w3405
Jhrer	w3406
Kön	w3407
<g/>
.
Ho=heit	w3409
<g/>
=
der	w3411
Durchl	w3412
<g/>
.
Erzherzogin	w3414
Antonia	w3415
we=gen	w3416
<g/>
=
Dero	w3418
eingefallenen	w3419
Geburts	w3420
<g/>
=
tag	w3422
<g/>
,
ihre	w3424
Glückwünschungen	w3425
abgelegt	w3426
<g/>
;
dann	w3428
Abends	w3429
um	w3430
6	w3431
<g/>
.
Uhr	w3433
haben	w3434
beede	w3435
Kaiserl	w3436
<g/>
.
Majestä=ten	w3438
<g/>
=
mit	w3440
Jhren	w3441
Königl	w3442
<g/>
.
Hoheiten	w3444
denen	w3445
äl=teren	w3446
<g/>
=
Durchl	w3448
<g/>
.
Herrschaften	w3450
der	w3451
Vigil	w3452
<g/>
,
und	w3454
</p>
<p id="p41">
Gestern	w3455
<g/>
,
als	w3457
am	w3458
Aller	w3459
Seelen	w3460
<g/>
=
tag	w3462
<g/>
,
Vor=mittags	w3464
<g/>
=
dem	w3466
GOttes	w3467
<g/>
=
dienst	w3469
für	w3470
die	w3471
Ver=storbene	w3472
<g/>
=
bey	w3474
denen	w3475
P	w3476
<g/>
.
P	w3478
<g/>
.
Augustinern	w3480
bey=gewohnet	w3481
<g/>
=
<g/>
.
</p>
<head id="hl7">
Lista	w3486
deren	w3487
Verstorbenen	w3488
zu	w3489
Wien	w3490
in	w3491
<g/>
=
und	w3493
vor	w3494
der	w3495
Stadt	w3496
<g/>
.
</head>
<head id="hl8">
Den	w3498
29	w3499
<g/>
.
Octob	w3501
<g/>
.
</head>
<head id="hl9">
Jn	w3503
der	w3504
Stadt	w3505
<g/>
.
</head>
<list id="">
Joh	w3507
<g/>
.
Thaller	w3509
<g/>
,
gew	w3511
<g/>
.
Burgel	w3513
<g/>
,
Häring	w3515
<g/>
.
<g/>
,
in	w3518
s	w3519
<g/>
.
H	w3521
<g/>
.
im	w3523
tief	w3524
<g/>
.
Grab	w3526
<g/>
.
<g/>
,
alt	w3529
80	w3530
<g/>
.
J	w3532
<g/>
.
Dem	w3534
Franz	w3535
Fechter	w3536
<g/>
,
Sesseltrag	w3538
<g/>
.
<g/>
=
rotmeist	w3541
<g/>
.
<g/>
,
s	w3544
<g/>
.
K	w3546
<g/>
.
Francisca	w3548
<g/>
,
im	w3550
Felbermayris	w3551
<g/>
.
H	w3553
<g/>
.
in	w3555
der	w3556
Singer=stras	w3557
<g/>
=
<g/>
.
<g/>
,
alt	w3561
6	w3562
<g/>
.
v	w3564
<g/>
.
J	w3566
<g/>
.
Dem	w3568
Hrn	w3569
Valent	w3570
<g/>
.
Henkl	w3572
<g/>
,
Hoch	w3574
<g/>
=
fürstl	w3576
<g/>
.
Erz	w3578
<g/>
=
bi=schöfl	w3580
<g/>
=
<g/>
.
Grund	w3583
<g/>
=
buchs	w3585
<g/>
=
gegenhandl	w3587
<g/>
.
<g/>
,
s	w3590
<g/>
.
S	w3592
<g/>
.
Franz	w3594
Mich	w3595
<g/>
.
<g/>
,
beym	w3598
rot	w3599
Kreutz	w3600
in	w3601
der	w3602
Schulerstr	w3603
<g/>
.
<g/>
,
3	w3606
<g/>
.
J	w3608
<g/>
.
</list>
<head id="hl10">
Vor	w3610
der	w3611
Stadt	w3612
<g/>
.
</head>
<list id="">
Dem	w3614
Jacob	w3615
Kaiser	w3616
<g/>
,
Juvalid	w3618
<g/>
.
<g/>
,
s	w3621
<g/>
.
K	w3623
<g/>
.
Anna	w3625
<g/>
,
beyn	w3627
3	w3628
<g/>
.
Lauf	w3630
<g/>
.
am	w3632
Neubau	w3633
<g/>
,
alt	w3635
5	w3636
<g/>
.
J	w3638
<g/>
.
Joh	w3640
<g/>
.
Einzinger	w3642
<g/>
,
Holzescheib	w3644
<g/>
.
<g/>
,
im	w3647
Lipsis	w3648
<g/>
.
H	w3650
<g/>
.
in	w3652
der	w3653
Rossau	w3654
<g/>
,
alt	w3656
62	w3657
<g/>
.
J	w3659
<g/>
.
Franz	w3661
Fessel	w3662
<g/>
,
Stockadorer	w3664
ges	w3665
<g/>
.
<g/>
,
beym	w3668
gold	w3669
<g/>
.
Mond=schein	w3671
<g/>
=
bey	w3673
Maria	w3674
hülf	w3675
<g/>
,
alt	w3677
33	w3678
<g/>
.
J	w3680
<g/>
.
Dem	w3682
Mich	w3683
<g/>
.
Anthofer	w3685
<g/>
,
