<doc id="wr_1756-10-09" attrs="word" year="1756" month="10" day="09" corpus="2">
<head id="h2_d81e3769">
Carpenteras	w1_d81e3773
und	w1_d81e7412
auf	w3_d81e7415
Dero	w5_d81e7418
allergnädigsten	w7_d81e7421
specialen	w9_d81e7424
Be	w11_d81e7427
fehl,	w1_d81e7432
wird	w3_d81e7435
hiemit	w5_d81e7438
jedermänniglich	w7_d81e7441
bekannt	w9_d81e7444
gemacht,	w1_d81e7450
wie	w3_d81e7453
Höchst=gedachter	w5_d81e7456
Sr.	w7_d81e7459
Königl.	w9_d81e7462
Majestät	w1_d81e7467
allergnädigste	w3_d81e7470
Jntention	w5_d81e7473
und	w7_d81e7476
Wil	w9_d81e7479
lens==meinung	w1_d81e7484
ist,	w3_d81e7487
daß	w5_d81e7490
in	w7_d81e7493
denen	w9_d81e7496
sämtlichen	w11_d81e7499
Chur=sächsischen	w1_d81e7504
Landen,	w3_d81e7507
als	w5_d81e7510
welche	w7_d81e7513
Se.	w9_d81e7516
Königl.	w1_d81e7522
Majestät	w3_d81e7525
in	w5_d81e7528
Dero	w7_d81e7531
höchsten	w9_d81e7534
Schutz	w11_d81e7537
und	w1_d81e7542
Verwahrung	w3_d81e7545
genommen,	w5_d81e7548
bey	w7_d81e7551
jetzigen	w9_d81e7554
Kriegs=troublen	w1_d81e7559
kein	w3_d81e7562
Mensch	w5_d81e7565
in	w7_d81e7568
seiner	w9_d81e7571
Nah	w11_d81e7574
rung	w1_d81e7579
und	w3_d81e7582
Gewerbe	w5_d81e7585
gestöhret,	w7_d81e7588
sondern	w9_d81e7591
jeder	w11_d81e7594
solche	w1_d81e7600
in	w3_d81e7603
Ruhe	w5_d81e7606
und	w7_d81e7609
Friede	w9_d81e7612
ungehindert	w11_d81e7615
fort	w13_d81e7619
setzen,	w1_d81e7624
auch	w3_d81e7627
die	w5_d81e7630
Messen	w7_d81e7633
und	w9_d81e7636
Jahr=märckte	w11_d81e7639
sicher	w1_d81e7644
bereisen	w3_d81e7647
könne;	w5_d81e7650
zu	w7_d81e7653
welchem	w9_d81e7656
Ende	w11_d81e7659
</p>
<p id="p20_d81e7662">
sämtlichen,	w1_d81e7666
sowol	w3_d81e7669
Ein	w5_d81e7672
als	w7_d81e7675
Ausländischen	w9_d81e7678
Kaufleuten,	w1_d81e7683
Commercianten	w3_d81e7686
und	w5_d81e7689
Fabrican	w7_d81e7692
ten,	w1_d81e7697
welche	w3_d81e7700
die	w5_d81e7703
Leipziger	w7_d81e7706
und	w9_d81e7709
Naumburger	w11_d81e7712
Messen,	w1_d81e7718
ingleichen	w3_d81e7721
die	w5_d81e7724
Jahr=märkte	w7_d81e7727
in	w9_d81e7730
denen	w11_d81e7733
Chur=sächsischen	w1_d81e7738
Landen	w3_d81e7741
zu	w5_d81e7744
besuchen	w7_d81e7747
pflegen,	w9_d81e7750
hierdurch	w1_d81e7755
als	w3_d81e7758
sichere	w5_d81e7761
Geleit	w7_d81e7764
und	w9_d81e7767
Königlicher	w11_d81e7770
Schutz	w1_d81e7775
versprochen	w3_d81e7778
und	w5_d81e7781
gegeben	w7_d81e7784
wird.	w9_d81e7787
Si	w11_d81e7790
quatum,	w1_d81e7796
Torgau	w3_d81e7799
den	w5_d81e7802
14.	w7_d81e7805
September,	w9_d81e7808
Anno	w11_d81e7811
1756.	w1_d81e7816
</p>
<head id="h2_d81e7849">
Niederselbe	w1_d81e7853
23.	w3_d81e7856
Sept.	w5_d81e7859
</head>
<p id="p4_d81e7862">
Vorgestern	w1_d81e7866
erhielte	w3_d81e7869
der	w5_d81e7872
Rußisch=kaiserl.	w7_d81e7875
Gesandte,	w1_d81e7880
Herr	w3_d81e7883
von	w5_d81e7886
Soltikof,	w7_d81e7889
einen	w9_d81e7892
Cu	w11_d81e7895
rier	w1_d81e7900
von	w3_d81e7903
seinem	w5_d81e7906
Hofe,	w7_d81e7909
und	w9_d81e7912
mit	w11_d81e7915
demselben	w13_d81e7919
ein	w1_d81e7925
Circular=schreiben	w3_d81e7928
unterm	w5_d81e7931
5.	w7_d81e7934
September	w9_d81e7937
N.	w1_d81e7942
St.	w3_d81e7945
um	w5_d81e7948
den	w7_d81e7951
Jnnhalt	w9_d81e7954
davon	w11_d81e7957
sowol	w13_d81e7961
E.	w15_d81e7964
Hochedlen	w1_d81e7969
Rahte	w3_d81e7972
der	w5_d81e7975
Stadt	w7_d81e7978
Hamburg,	w9_d81e7981
als	w11_d81e7984
denen	w1_d81e7989
alda	w3_d81e7992
subsistirenden	w5_d81e7995
fremden	w7_d81e7998
Herrn	w9_d81e8001
Mi	w11_d81e8004
nistern	w1_d81e8010
bekannt	w3_d81e8013
zu	w5_d81e8016
machen,	w7_d81e8019
nämlich:	w9_d81e8022
Wie	w11_d81e8025
Jhro	w1_d81e8030
Majestät,	w3_d81e8033
die	w5_d81e8036
Kaiserin	w7_d81e8039
aller	w9_d81e8042
Reussen,	w11_d81e8045
in	w1_d81e8050
Betrachtung	w3_d81e8053
der	w5_d81e8056
Königl.	w7_d81e8059
Preussischen	w9_d81e8062
Be	w11_d81e8065
wegungen,	w1_d81e8070
sich	w3_d81e8073
genöthigt	w5_d81e8076
sähen,	w7_d81e8079
Dero	w9_d81e8082
Aliir	w11_d81e8085
ten	w1_d81e8091
mit	w3_d81e8094
einer	w5_d81e8097
Kriegs=macht	w7_d81e8100
gegen	w9_d81e8103
dem	w11_d81e8106
Kö	w13_d81e8110
nig	w1_d81e8115
in	w3_d81e8118
Preussen	w5_d81e8121
beyzustehen.	w7_d81e8124
</p>
<head id="h2_d81e8130">
Chambery	w1_d81e8134
4.	w3_d81e8137
Sept.	w5_d81e8140
</head>
<p id="p4_d81e8143">
Die	w1_d81e8147
Krankheit	w3_d81e8150
Sr.	w5_d81e8153
Königl	w7_d81e8156
Hoheit	w9_d81e8159
des	w11_d81e8162
Herzogens	w1_d81e8167
von	w3_d81e8170
Savoyen	w5_d81e8173
hatte	w7_d81e8176
hier	w9_d81e8179
eine	w11_d81e8182
all	w13_d81e8186
gemeine	w1_d81e8191
Unruhe	w3_d81e8194
verursachet,	w5_d81e8197
da	w7_d81e8200
selbige	w9_d81e8203
aber	w11_d81e8206
nunmehro	w1_d81e8212
soweit	w3_d81e8215
gehoben	w5_d81e8218
worden,	w7_d81e8221
daß	w9_d81e8224
Hoch	w11_d81e8227
gedachter	w1_d81e8232
Prinz	w3_d81e8235
sich	w5_d81e8238
ausser	w7_d81e8241
aller	w9_d81e8244
Gefahr	w11_d81e8247
be	w13_d81e8251
findet,	w1_d81e8256
so	w3_d81e8259
ist	w5_d81e8262
auch	w7_d81e8265
die	w9_d81e8268
Freude	w11_d81e8271
der	w13_d81e8275
Unterthanen	w15_d81e8278
über	w1_d81e8283
die	w3_d81e8286
Herstellung	w5_d81e8289
seiner	w7_d81e8292
so	w9_d81e8295
schätzbaren	w11_d81e8298
Ge	w13_d81e8302
sundheit	w1_d81e8308
nicht	w3_d81e8311
zu	w5_d81e8314
beschreiben.	w7_d81e8317
</p>
<head id="h2_d81e8323">
Leipzig	w1_d81e8327
vom	w3_d81e8330
24.	w5_d81e8333
Sept.	w7_d81e8336
</head>
<p id="p4_d81e8339">
Vor	w1_d81e8343
dem	w3_d81e8346
Sächsischen	w5_d81e8349
Lager	w7_d81e8352
bey	w9_d81e8355
Pirna,	w11_d81e8358
welches	w1_d81e8363
man	w3_d81e8366
auf	w5_d81e8369
15000.	w7_d81e8372
Mann	w9_d81e8375
schätzet,	w11_d81e8378
stehet	w1_d81e8383
ein	w3_d81e8386
Observations=corpo	w5_d81e8389
von	w7_d81e8392
20000.	w9_d81e8395
Mann	w1_d81e8401
Preussen.	w3_d81e8404
</p>
<p id="p6_d81e8407">
Es	w1_d81e8411
ist	w3_d81e8414
hier	w5_d81e8417
an	w7_d81e8420
denen	w9_d81e8423
Thören	w11_d81e8426
ein	w13_d81e8430
geschrie	w15_d81e8433
benes	w1_d81e8438
Mandat	w3_d81e8441
angeschlagen,	w5_d81e8444
darinnen	w7_d81e8447
bey	w9_d81e8450
hoher	w1_d81e8455
Straf	w3_d81e8458
verhoten	w5_d81e8461
wird,	w7_d81e8464
einen	w9_d81e8467
Preus	w11_d81e8470
sischen	w1_d81e8476
Desecteur	w3_d81e8479
zu	w5_d81e8482
beherbergen;	w7_d81e8485
demjenigen	w9_d81e8488
aber	w1_d81e8493
eine	w3_d81e8496
Belohnung	w5_d81e8499
von	w7_d81e8502
10.	w9_d81e8505
Reichsthl.	w11_d81e8508
ver	w13_d81e8512
sprochen	w1_d81e8517
wird,	w3_d81e8520
der	w5_d81e8523
einen	w7_d81e8526
wieder	w9_d81e8529
liefert.	w11_d81e8532
</p>
<head id="h2_d81e8538">
Dresden	w1_d81e8542
24.	w3_d81e8545
Sept.	w5_d81e8548
</head>
<p id="p4_d81e8551">
Am	w1_d81e8555
Dienstag	w3_d81e8558
wurden	w5_d81e8561
für	w7_d81e8564
unsern	w9_d81e8567
König	w11_d81e8570
2.	w1_d81e8575
sechs=spännige	w3_d81e8578
Hof=wägen,	w5_d81e8581
mit	w7_d81e8584
Bier,	w9_d81e8587
</p>
<p id="p10_d81e8600">
Wein,	w1_d81e8604
Conditorey,	w3_d81e8607
und	w5_d81e8610
andern	w7_d81e8613
Sachen	w9_d81e8616
nebst	w11_d81e8619
der	w1_d81e8624
Winter=quarderobbe	w3_d81e8627
von	w5_d81e8630
Pelz=werck	w7_d81e8633
wobey	w1_d81e8638
sich	w3_d81e8641
2.	w5_d81e8644
Königliche	w7_d81e8647
Hof=lackeyen	w9_d81e8650
be	w11_d81e8653
fanden,	w1_d81e8659
nach	w3_d81e8662
dem	w5_d81e8665
Hof=lager	w7_d81e8668
zur	w9_d81e8671
Sächsischen	w11_d81e8674
Armee	w1_d81e8679
gebracht.	w3_d81e8682
Doch	w5_d81e8685
wurden	w7_d81e8688
2.	w9_d81e8691
Preus	w11_d81e8694
sische	w1_d81e8699
Jäger	w3_d81e8702
zur	w5_d81e8705
Convoy	w7_d81e8708
nebst	w9_d81e8711
der	w11_d81e8714
Specifica	w13_d81e8718
tion	w1_d81e8723
deren	w3_d81e8726
auf	w5_d81e8729
denen	w7_d81e8732
Wägen	w9_d81e8735
befindlichen	w11_d81e8738
Sa	w13_d81e8742
chen	w1_d81e8748
mitgegeben.	w3_d81e8751
</p>
<p id="p12_d81e8755">
Die	w1_d81e8759
erste	w3_d81e8762
Colonne	w5_d81e8765
Preussischer	w7_d81e8768
Trupen	w9_d81e8771
soll	w11_d81e8774
schon	w1_d81e8779
über	w3_d81e8782
Töplitz	w5_d81e8785
und	w7_d81e8788
Aussig	w9_d81e8791
gegen	w11_d81e8794
Leit	w13_d81e8798
meritz	w1_d81e8803
eingerucket	w3_d81e8806
seyn.	w5_d81e8809
Das	w7_d81e8812
Preussische	w9_d81e8815
Commissariat	w1_d81e8821
wird	w3_d81e8824
mit	w5_d81e8827
2.	w7_d81e8830
Regimentern	w9_d81e8833
con	w11_d81e8836
voyret.	w1_d81e8841
</p>
<p id="p14_d81e8844">
Am	w1_d81e8848
Dienstag	w3_d81e8851
Mittags	w5_d81e8854
wurden	w7_d81e8857
unter	w9_d81e8860
Be	w11_d81e8863
deckung	w1_d81e8868
einiger	w3_d81e8871
Preussischen	w5_d81e8874
Grenadiers	w7_d81e8877
26.	w9_d81e8880
Wägen	w1_d81e8885
mit	w3_d81e8888
Geld	w5_d81e8891
beladen,	w7_d81e8894
und	w9_d81e8897
mit	w11_d81e8900
4.	w13_d81e8904
und	w15_d81e8907
6.	w1_d81e8913
Pferden	w3_d81e8916
bespannt,	w5_d81e8919
aus	w7_d81e8922
Torgau	w9_d81e8925
anhero	w11_d81e8928
gebracht,	w1_d81e8933
und	w3_d81e8936
waren	w5_d81e8939
Fässer	w7_d81e8942
mit	w9_d81e8945
6.	w11_d81e8948
10.	w13_d81e8952
15.	w15_d81e8955
und	w1_d81e8960
20000.	w3_d81e8963
Reichsthl.	w5_d81e8966
Silber=geld	w7_d81e8969
darauf	w9_d81e8972
befindlich.	w1_d81e8977
Das	w3_d81e8980
Gold,	w5_d81e8983
sollen	w7_d81e8986
sie	w9_d81e8989
auf	w11_d81e8992
denen	w13_d81e8996
2.	w1_d81e9002
Feld=kaleschen	w3_d81e9005
gehabt	w5_d81e9008
haben.	w7_d81e9011
Es	w9_d81e9014
wurde	w11_d81e9017
die	w1_d81e9022
Feld=kriegs=casse	w3_d81e9025
in	w5_d81e9028
dem	w7_d81e9031
Gräflich	w9_d81e9034
Hen	w11_d81e9037
nickischen	w1_d81e9042
Hause	w3_d81e9045
am	w5_d81e9048
Juden=hof	w7_d81e9051
abgeladen.	w9_d81e9054
Man	w1_d81e9059
sagt,	w3_d81e9062
daß	w5_d81e9065
das	w7_d81e9068
Kloster	w9_d81e9071
Aussig	w11_d81e9074
in	w13_d81e9078
Böh	w15_d81e9081
men	w1_d81e9087
ohne	w3_d81e9090
Verzug	w5_d81e9093
20000.	w7_d81e9096
Reichsthl.	w9_d81e9099
Brand	w11_d81e9102
schatzungs=geld	w1_d81e9107
habe	w3_d81e9110
erlegen	w5_d81e9113
müssen.	w7_d81e9116
</p>
<p id="p16_d81e9119">
Am	w1_d81e9123
Mittwoch	w3_d81e9126
Vormittag	w5_d81e9129
marschirte	w7_d81e9132
der	w9_d81e9135
andere	w1_d81e9140
Transport	w3_d81e9143
von	w5_d81e9146
Feld=bäckern	w7_d81e9149
nach	w9_d81e9152
der	w1_d81e9157
Armee	w3_d81e9160
fort,	w5_d81e9163
und	w7_d81e9166
seynd	w9_d81e9169
zummehr	w11_d81e9172
nur	w13_d81e9176
noch	w15_d81e9179
einige	w1_d81e9185
hier,	w3_d81e9188
die	w5_d81e9191
backen	w7_d81e9194
müssen.	w9_d81e9197
</p>
<p id="p18_d81e9200">
Der	w1_d81e9204
Kaiserl.	w3_d81e9207
Königl.	w5_d81e9210
Gesandte,	w7_d81e9213
Herr	w9_d81e9216
Graf	w11_d81e9219
von	w1_d81e9224
Puebla,	w3_d81e9227
ist	w5_d81e9230
auch	w7_d81e9233
hier	w9_d81e9236
von	w11_d81e9239
Berlin	w13_d81e9243
ange	w15_d81e9246
langet,	w1_d81e9251
und	w3_d81e9254
nachdem	w5_d81e9257
er	w7_d81e9260
sich	w9_d81e9263
etliche	w11_d81e9266
Tag	w13_d81e9270
bey	w15_d81e9273
dem	w17_d81e9276
Kaiserl.	w1_d81e9282
Gesandten,	w3_d81e9285
Herrn	w5_d81e9288
Grafen	w7_d81e9291
von	w9_d81e9294
Stah	w11_d81e9297
renberg,	w1_d81e9302
aufgehalten,	w3_d81e9305
hat	w5_d81e9308
er	w7_d81e9311
vorgestern	w9_d81e9314
seine	w11_d81e9317
Reise	w1_d81e9322
über	w3_d81e9325
Nürnberg	w5_d81e9328
fortgesetzet.	w7_d81e9331
</p>
<p id="p20_d81e9334">
Es	w1_d81e9338
werden	w3_d81e9341
hier	w5_d81e9344
von	w7_d81e9347
denen	w9_d81e9350
Preussischen	w11_d81e9353
Artilleristen	w1_d81e9358
eine	w3_d81e9361
grosse	w5_d81e9364
Quantität	w7_d81e9367
Bomben	w9_d81e9370
mit	w1_d81e9375
Pech,	w3_d81e9378
und	w5_d81e9381
auch	w7_d81e9384
viele	w9_d81e9387
Pech=kräntze	w11_d81e9390
ver	w13_d81e9394
fertiget.	w1_d81e9400
Die	w3_d81e9403
Preussische	w5_d81e9406
Armee,	w7_d81e9409
die	w9_d81e9412
unser	w11_d81e9415
Sächsisches	w1_d81e9420
Lager	w3_d81e9423
noch	w5_d81e9426
bloquirt	w7_d81e9429
hält,	w9_d81e9432
hat	w11_d81e9435
auch	w1_d81e9440
Batterien	w3_d81e9443
aufgeworfen,	w5_d81e9446
und	w7_d81e9449
sich	w9_d81e9452
ver	w11_d81e9455
schantzet.	w1_d81e9460
</p>
<p id="p22_d81e9463">
Gleich	w1_d81e9467
jetzund	w3_d81e9470
vernimmt	w5_d81e9473
man,	w7_d81e9476
daß	w9_d81e9479
gestern	w11_d81e9482
Nachmittag	w1_d81e9487
der	w3_d81e9490
König	w5_d81e9493
von	w7_d81e9496
Preussen	w9_d81e9499
sich	w11_d81e9502
noch	w13_d81e9506
im	w1_d81e9511
Haupt=quartir	w3_d81e9514
zu	w5_d81e9517
Zedlitz	w7_d81e9520
befunden	w9_d81e9523
habe.	w11_d81e9526
Auch	w1_d81e9532
verbreitet	w3_d81e9535
sich	w5_d81e9538
das	w7_d81e9541
Gerücht,	w9_d81e9544
daß	w11_d81e9547
der	w13_d81e9551
König	w1_d81e9556
von	w3_d81e9559
Preussen	w5_d81e9562
durch	w7_d81e9565
den	w9_d81e9568
Obristen	w11_d81e9571
Meyer,	w1_d81e9576
und	w3_d81e9579
den	w5_d81e9582
Obrist=leutenat	w7_d81e9585
Grenoble	w9_d81e9588
etliche	w1_d81e9593
100.	w3_d81e9596
Mang	w5_d81e9599
in	w7_d81e9602
hiesigen	w9_d81e9605
Landen	w11_d81e9608
zu	w13_d81e9612
</p>
<p id="p24_d81e9616">
Frey=beutern	w1_d81e9620
anwerben	w3_d81e9623
lassen,	w5_d81e9626
worzu	w7_d81e9629
von	w9_d81e9632
hier	w1_d81e9637
50.	w3_d81e9640
Gefangene	w5_d81e9643
von	w7_d81e9646
dem	w9_d81e9649
Festungs=bau	w11_d81e9652
kommen	w1_d81e9657
sollen.	w3_d81e9660
</p>
<p id="p26_d81e9663">
Es	w1_d81e9667
kommen	w3_d81e9670
täglich	w5_d81e9673
Deserteurs	w7_d81e9676
von	w9_d81e9679
unsern	w11_d81e9682
Trupen	w1_d81e9687
hier	w3_d81e9690
an,	w5_d81e9693
nach	w7_d81e9696
deren	w9_d81e9699
Aussage	w11_d81e9702
die	w1_d81e9707
benachbarte	w3_d81e9710
Bauern	w5_d81e9713
stark	w7_d81e9716
angehalten	w9_d81e9719
wer	w11_d81e9722
den	w1_d81e9728
sollen,	w3_d81e9731
im	w5_d81e9734
Preussischen	w7_d81e9737
Lager	w9_d81e9740
zu	w11_d81e9743
schanzen,	w13_d81e9747
und	w1_d81e9752
weil	w3_d81e9755
bey	w5_d81e9758
diesem	w7_d81e9761
Lager	w9_d81e9764
wenig	w11_d81e9767
Holz	w13_d81e9771
ist,	w15_d81e9774
so	w1_d81e9779
sollen	w3_d81e9782
sie	w5_d81e9785
auf	w7_d81e9788
denen	w9_d81e9791
Dörfern,	w11_d81e9794
den	w13_d81e9798
Vor	w15_d81e9801
rat,	w1_d81e9806
den	w3_d81e9809
sich	w5_d81e9812
die	w7_d81e9815
Bauern	w9_d81e9818
auf	w11_d81e9821
den	w13_d81e9825
Winter	w15_d81e9828
angeschaffet,	w1_d81e9834
auch	w3_d81e9837
wegholen	w5_d81e9840
lassen.	w7_d81e9843
</p>
<head id="h2_d81e9849">
Wien	w1_d81e9853
den	w3_d81e9856
9.	w5_d81e9859
October	w7_d81e9862
1756.	w9_d81e9865
</head>
<p id="p4_d81e9868">
MJttwochs	w1_d81e9872
den	w3_d81e9875
6.	w5_d81e9878
Octob.	w7_d81e9881
haben	w9_d81e9884
beede	w11_d81e9887
M	w1_d81e9892
Kaiserl.	w1_d81e9897
Majestäten	w3_d81e9900
mit	w5_d81e9903
Jhren	w7_d81e9906
Königl.	w9_d81e9909
Hoheiten	w1_d81e9915
denen	w3_d81e9918
Durchleuchtigsten	w5_d81e9921
jungen	w7_d81e9924
Herrschaften	w1_d81e9929
dem	w3_d81e9932
ordinari	w5_d81e9935
GOttes=dienst	w7_d81e9938
in	w9_d81e9941
der	w1_d81e9946
Schloß=kapellen	w3_d81e9949
zu	w5_d81e9952
Schönbrunn	w7_d81e9955
beyge	w9_d81e9958
wohnet:	w1_d81e9963
Dann	w3_d81e9966
um	w5_d81e9969
10.	w7_d81e9972
Uhr	w9_d81e9975
seynd	w11_d81e9978
Jhre	w13_d81e9982
Hochfürstl.	w1_d81e9988
Eminenzen	w3_d81e9991
die	w5_d81e9994
beeden	w7_d81e9997
Herren	w9_d81e10000
Car	w11_d81e10003
dinäley,	w1_d81e10008
Se.	w3_d81e10011
Excellenz	w5_d81e10014
der	w7_d81e10017
Monsig.	w9_d81e10020
Nuntius,	w11_d81e10023
der	w1_d81e10028
Rußisch=Kaiserlich,	w3_d81e10031
und	w5_d81e10034
annoch	w7_d81e10037
hier	w9_d81e10040
stehende	w1_d81e10045
Venetianische	w3_d81e10048
Bottschafter,	w5_d81e10051
die	w7_d81e10054
Hern.	w9_d81e10057
Gesandte,	w1_d81e10063
und	w3_d81e10066
der	w5_d81e10069
übrige	w7_d81e10072
hohe	w9_d81e10075
Adel	w11_d81e10078
(um	w13_d81e10082
Jhro	w15_d81e10085
Königl.	w1_d81e10090
Hoheit	w3_d81e10093
der	w5_d81e10096
Erz=herzogin	w7_d81e10099
Maria	w9_d81e10102
Anna	w11_d81e10105
zu	w1_d81e10110
Dero	w3_d81e10113
höchsten	w5_d81e10116
Geburts=tag	w7_d81e10119
zu	w9_d81e10122
gratuliren)	w11_d81e10125
in	w1_d81e10130
Gala	w3_d81e10133
zu	w5_d81e10136
Schönbrunn	w7_d81e10139
erschienen:	w9_d81e10142
Mittags	w11_d81e10145
haben	w1_d81e10151
beede	w3_d81e10154
Kaiserl.	w5_d81e10157
Majestäten	w7_d81e10160
mit	w9_d81e10163
Jhren	w11_d81e10166
Königl.	w1_d81e10171
Hoheiten	w3_d81e10174
dem	w5_d81e10177
Erz=herzogen	w7_d81e10180
Joseph,	w9_d81e10183
wie	w1_d81e10188
auch	w3_d81e10191
denen	w5_d81e10194
Erz=herzoginnen	w7_d81e10197
Maria	w9_d81e10200
Anna,	w11_d81e10203
und	w1_d81e10208
Christina	w3_d81e10211
offentlich	w5_d81e10214
gespeiset,	w7_d81e10217
worauf	w9_d81e10220
eine	w11_d81e10223
grosse	w1_d81e10229
Tafel	w3_d81e10232
von	w5_d81e10235
dem	w7_d81e10238
hohen	w9_d81e10241
Adel,	w11_d81e10244
und	w13_d81e10248
Abends	w15_d81e10251
bey	w1_d81e10256
Jhro	w3_d81e10259
Königl.	w5_d81e10262
Hoheit	w7_d81e10265
der	w9_d81e10268
Erz=herzogin	w11_d81e10271
Maria	w1_d81e10276
Anna	w3_d81e10279
ein	w5_d81e10282
Spiel	w7_d81e10285
erfolget.	w9_d81e10288
</p>
<p id="p6_d81e10291">
Eodem	w1_d81e10295
Nachmittags	w3_d81e10298
um	w5_d81e10301
5.	w7_d81e10304
Uhr	w9_d81e10307
seynd	w11_d81e10310
Se.	w13_d81e10314
Hochfürstl.	w1_d81e10319
Eminenz	w3_d81e10322
der	w5_d81e10325
alhiesige	w7_d81e10328
Herr	w9_d81e10331
Cardinal	w11_d81e10334
Erz=bischof,	w1_d81e10339
als	w3_d81e10342
Ablegatus	w5_d81e10345
Cæsareus	w7_d81e10348
in	w9_d81e10351
dem	w11_d81e10354
Theresianischen	w1_d81e10360
Collegio	w3_d81e10363
erschienen,	w5_d81e10366
und	w7_d81e10369
haben	w9_d81e10372
alda	w1_d81e10377
der	w3_d81e10380
von	w5_d81e10383
dem	w7_d81e10386
Herrn	w9_d81e10389
Baron	w11_d81e10392
Fechette	w13_d81e10396
ge	w15_d81e10399
haltenen	w1_d81e10404
Philosophischen	w3_d81e10407
Disputation	w5_d81e10410
abge	w7_d81e10413
wartet,	w1_d81e10418
sodann	w3_d81e10421
solchen	w5_d81e10424
mit	w7_d81e10427
einer	w9_d81e10430
goldenen	w11_d81e10433
Ketten,	w1_d81e10439
und	w3_d81e10442
Medaille	w5_d81e10445
Jhrer	w7_d81e10448
Majestät	w9_d81e10451
der	w11_d81e10454
Kaiserin	w1_d81e10459
Allerhöchstes	w3_d81e10462
Portrait	w5_d81e10465
vorstellend,	w7_d81e10468
beschencket.	w1_d81e10473
</p>
<p id="p8_d81e10476">
Donnerstags	w1_d81e10480
den	w3_d81e10483
7.	w5_d81e10486
Dito	w7_d81e10489
ist	w9_d81e10492
Vor	w11_d81e10495
und	w13_d81e10499
Nachmittag	w1_d81e10504
das	w3_d81e10507
wochentliche	w5_d81e10510
Gebett,	w7_d81e10513
und	w9_d81e10516
</p>
<p id="p10_d81e10519">
Freytags	w1_d81e10523
den	w3_d81e10526
8.	w5_d81e10529
Dito	w7_d81e10532
der	w9_d81e10535
ordinari	w11_d81e10538
GOt	w13_d81e10542
tes=dienst	w1_d81e10547
in	w3_d81e10550
der	w5_d81e10553
Schloß=kapellen	w7_d81e10556
zu	w9_d81e10559
Schön	w11_d81e10562
brinin	w1_d81e10567
gehalten	w3_d81e10570
worden.	w5_d81e10573
</p>
<p id="p16_d81e10587">
Da	w1_d81e10591
die	w3_d81e10594
letzthin	w5_d81e10597
versprochene	w7_d81e10600
umständli	w9_d81e10603
chere	w1_d81e10608
Relation	w3_d81e10611
von	w5_d81e10614
dem	w7_d81e10617
den	w9_d81e10620
ersten	w11_d81e10623
dieses,	w13_d81e10627
zwischen	w1_d81e10632
der	w3_d81e10635
Kaiserl.	w5_d81e10638
Königl.	w7_d81e10641
und	w9_d81e10644
Königl.	w11_d81e10647
Preussischen	w1_d81e10653
Armee	w3_d81e10656
bey	w5_d81e10659
Lowositz,	w7_d81e10662
in	w9_d81e10665
Böheim	w11_d81e10668
vorgewesten	w1_d81e10673
Treffen,	w3_d81e10676
in	w5_d81e10679
vollkommenen	w7_d81e10682
Stand,	w9_d81e10685
annoch	w1_d81e10690
nicht	w3_d81e10693
eingeloffen,	w5_d81e10696
so	w7_d81e10699
ist	w9_d81e10702
man	w11_d81e10705
bemü	w13_d81e10709
ßiget,	w1_d81e10714
dero	w3_d81e10717
Publicirung	w5_d81e10720
auf	w7_d81e10723
einen	w9_d81e10726
ferneren	w11_d81e10729
Post=tag	w1_d81e10735
zu	w3_d81e10738
verschieben.	w5_d81e10741
</p>
<p id="p18_d81e10744">
NB.	w1_d81e10748
Jn	w3_d81e10751
denen	w5_d81e10754
vorigen	w7_d81e10757
Post=tags	w9_d81e10760
publicir	w11_d81e10763
ten	w1_d81e10768
Ziehungs=numeris	w3_d81e10771
ist	w5_d81e10774
aus	w7_d81e10777
Verstoß	w9_d81e10780
anstatt	w11_d81e10783
Nro.	w1_d81e10788
71.	w3_d81e10791
51.	w5_d81e10794
gesetzet	w7_d81e10797
worden,	w9_d81e10800
dienet	w11_d81e10803
also	w13_d81e10807
dem	w15_d81e10810
Publico	w1_d81e10816
zur	w3_d81e10819
beliebigen	w5_d81e10822
Nachricht.	w7_d81e10825
</p>
<p id="p20_d81e10828">
NB.	w1_d81e10832
Bey	w3_d81e10835
gegenwärtigen	w5_d81e10838
Diario	w7_d81e10841
befinden	w9_d81e10844
sich	w1_d81e10849
2.	w3_d81e10852
Extra=blätter;	w5_d81e10855
deren	w7_d81e10858
das	w9_d81e10861
erstere	w11_d81e10864
ein	w13_d81e10868
Feld=diarium	w1_d81e10873
von	w3_d81e10876
dem	w5_d81e10879
Piccolominischen	w7_d81e10882
Cor	w9_d81e10885
po,	w1_d81e10891
das	w3_d81e10894
anderte	w5_d81e10897
die	w7_d81e10900
von	w9_d81e10903
Sr.	w11_d81e10906
Kaiserl.	w13_d81e10910
Majestät	w15_d81e10913
an	w1_d81e10918
die	w3_d81e10921
Kreiß=ausschreibende	w5_d81e10924
Reichs=fürsten	w7_d81e10927
erlassene	w1_d81e10932
Monitoria	w3_d81e10935
Excitatoria	w5_d81e10938
&	w7_d81e10941
c.	w9_d81e10944
enthal	w11_d81e10947
tet.	w1_d81e10952
Jedes	w3_d81e10955
à	w5_d81e10958
parte	w7_d81e10961
à	w9_d81e10964
3.	w11_d81e10967
kr.	w13_d81e10971
</p>
<head id="h2_d81e10978">
Lista	w1_d81e10982
deren	w3_d81e10985
Verstorbenen	w5_d81e10988
