<doc id="edoc_wd_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="1">
<head id="hl1">
Neu	w40
<g/>
,
folgte	w1879
gleich	w1880
darauf	w1881
zu	w1882
Pferd	w1883
mit	w1884
8	w1885
<g/>
.
reich	w1887
ge=kleideten	w1888
<g/>
=
Edel	w1890
<g/>
=
knaben	w1892
<g/>
.
</p>
<p id="p24">
Alsdann	w1894
kame	w1895
zum	w1896
Vorschein	w1897
der	w1898
Hof	w1899
<g/>
=
wa=gen	w1901
<g/>
=
<g/>
,
in	w1904
welchem	w1905
Se	w1906
<g/>
.
Fürstl	w1908
<g/>
.
Gnaden	w1910
allein	w1911
oben	w1912
angesessen	w1913
<g/>
,
und	w1915
gegenüber	w1916
der	w1917
von	w1918
Hof	w1919
</p>
<p id="p25">
abgeschickte	w1920
Marchise	w1921
Roma	w1922
Pallavicini	w1923
<g/>
,
den	w1925
Wagen	w1926
haben	w1927
12	w1928
<g/>
.
Bediente	w1930
von	w1931
Hof	w1932
umge=ben	w1933
<g/>
=
<g/>
.
</p>
<p id="p26">
Des	w1936
Fürsten	w1937
prächtige	w1938
und	w1939
grosse	w1940
Wägen	w1941
folgten	w1942
leer	w1943
gleich	w1944
darauf	w1945
<g/>
;
die	w1947
Schönheit	w1948
der	w1949
8	w1950
<g/>
.
Pferden	w1952
<g/>
,
die	w1954
prächtige	w1955
Geschirr	w1956
<g/>
,
und	w1958
über=haupt	w1959
<g/>
=
alles	w1961
stimmt	w1962
über	w1963
eins	w1964
<g/>
,
so	w1966
<g/>
,
daß	w1968
man	w1969
nicht	w1970
aussprechen	w1971
kunte	w1972
<g/>
,
welches	w1974
den	w1975
Vor=zug	w1976
<g/>
=
verdiente	w1978
<g/>
.
</p>
<p id="p27">
Drey	w1980
andere	w1981
Hof	w1982
<g/>
=
wägen	w1984
waren	w1985
mit	w1986
8	w1987
<g/>
.
von	w1989
Wien	w1990
mitgekommenen	w1991
Kaiserl	w1992
<g/>
.
Cammer=herren	w1994
<g/>
=
<g/>
,
und	w1997
dem	w1998
Legations	w1999
<g/>
=
secretario	w2001
bese=tzet	w2002
<g/>
=
<g/>
,
und	w2005
hierauf	w2006
folgten	w2007
noch	w2008
3	w2009
<g/>
.
Fürstl	w2011
<g/>
.
Pa=rade	w2013
<g/>
=
<g/>
=
wägen	w2016
<g/>
,
2	w2018
<g/>
.
mit	w2020
8	w2021
<g/>
.
<g/>
,
und	w2024
einer	w2025
mit	w2026
6	w2027
<g/>
.
Pferden	w2029
bespannet	w2030
<g/>
,
in	w2032
welchem	w2033
die	w2034
Edel	w2035
<g/>
=
leut	w2037
gesessen	w2038
<g/>
,
die	w2040
den	w2041
Fürsten	w2042
von	w2043
Wien	w2044
aus	w2045
an=hero	w2046
<g/>
=
begleitet	w2048
haben	w2049
<g/>
.
</p>
<p id="p28">
Nebst	w2051
denen	w2052
schon	w2053
vorhero	w2054
erwehnten	w2055
Livree	w2056
<g/>
=
bedienten	w2058
waren	w2059
noch	w2060
zwey	w2061
neben	w2062
je=dem	w2063
<g/>
=
Fürstl	w2065
<g/>
.
Wagen	w2067
zu	w2068
sehen	w2069
<g/>
.
Die	w2071
Gassen	w2072
waren	w2073
auf	w2074
beeden	w2075
Seiten	w2076
mit	w2077
Trupen	w2078
besetzet	w2079
<g/>
.
Das	w2081
Gedräng	w2082
deren	w2083
Zusehern	w2084
<g/>
,
als	w2086
der	w2087
Fürst	w2088
bey	w2089
Hof	w2090
abgestiegen	w2091
<g/>
,
ware	w2093
ungemein	w2094
<g/>
,
die	w2096
Halle	w2097
<g/>
=
bardieres	w2099
besetzten	w2100
die	w2101
Stiegen	w2102
<g/>
,
und	w2104
zu	w2105
Anfang	w2106
derselben	w2107
fande	w2108
sich	w2109
der	w2110
Ober	w2111
<g/>
=
ce=remonien	w2113
<g/>
=
<g/>
=
meister	w2116
ein	w2117
<g/>
,
und	w2119
in	w2120
dem	w2121
Saal	w2122
der	w2123
Guardi	w2124
<g/>
=
hauptmann	w2126
<g/>
,
und	w2128
nachdeme	w2129
in	w2130
der	w2131
Audienz	w2132
der	w2133
Fürst	w2134
das	w2135
Begehren	w2136
in	w2137
einer	w2138
zierlichen	w2139
Anrede	w2140
angebracht	w2141
<g/>
,
wurde	w2143
solche	w2144
von	w2145
Seiner	w2146
Königl	w2147
<g/>
.
Hoheit	w2149
dem	w2150
Jnfanten	w2151
auf	w2152
das	w2153
freundlichste	w2154
beantwortet	w2155
<g/>
,
und	w2157
bald	w2158
hernach	w2159
ist	w2160
die	w2161
Jnfantin	w2162
zum	w2163
Vorschein	w2164
ge=kommen	w2165
<g/>
=
<g/>
,
und	w2168
hat	w2169
mit	w2170
Bewilligung	w2171
Jhres	w2172
Herrn	w2173
Vatters	w2174
aus	w2175
Händen	w2176
des	w2177
Fürstens	w2178
das	w2179
mit	w2180
sehr	w2181
kostbaren	w2182
Diamanten	w2183
besetzte	w2184
Por=trait	w2185
<g/>
=
Seiner	w2187
Königl	w2188
<g/>
.
Hoheit	w2190
des	w2191
Erzherzogs	w2192
samt	w2193
einem	w2194
Schreiben	w2195
Sr	w2196
<g/>
.
Königl	w2198
<g/>
.
Hoheit	w2200
übernommen	w2201
<g/>
,
und	w2203
das	w2204
Portrait	w2205
an	w2206
Dero	w2207
Brust	w2208
stuck	w2209
angehangen	w2210
<g/>
.
</p>
<p id="p29">
Nach	w2212
dieser	w2213
Audienz	w2214
hat	w2215
der	w2216
Fürst	w2217
auf	w2218
gleiche	w2219
Weis	w2220
sich	w2221
zu	w2222
denen	w2223
Audienzen	w2224
des	w2225
Prinzens	w2226
Ferdinand	w2227
<g/>
,
und	w2229
Prinzeßin	w2230
Louise	w2231
ver=verfüget	w2232
<g/>
=
</p>
<p id="p30">
füget	w2236
<g/>
,
nach	w2238
welchen	w2239
der	w2240
Abzug	w2241
auf	w2242
gleiche	w2243
Weis	w2244
<g/>
,
wie	w2246
die	w2247
Auffart	w2248
von	w2249
dem	w2250
ganzen	w2251
Fürstl	w2252
<g/>
.
Gefolg	w2254
geschehen	w2255
<g/>
,
der	w2257
Fürst	w2258
aber	w2259
bliebe	w2260
bey	w2261
Hof	w2262
mit	w2263
einigen	w2264
wenigen	w2265
Personen	w2266
zu	w2267
seiner	w2268
Bedienung	w2269
<g/>
,
weilen	w2271
ihm	w2272
ein	w2273
zierlich	w2274
ausge=ziertes	w2275
<g/>
=
Apartement	w2277
aldaselbst	w2278
angewiesen	w2279
worden	w2280
<g/>
.
</p>
<p id="p31">
Diesen	w2282
eigenen	w2283
Abend	w2284
wurde	w2285
die	w2286
prächtige	w2287
Opera	w2288
auf	w2289
hiesigem	w2290
so	w2291
berühmten	w2292
Theatro	w2293
aufgeführet	w2294
<g/>
,
nach	w2296
welcher	w2297
nach	w2298
Mitter	w2299
<g/>
=
nacht	w2301
der	w2302
Fürst	w2303
v	w2304
<g/>
.
Lichtenstein	w2306
einen	w2307
herrlichen	w2308
Ball	w2309
dem	w2310
hiesigen	w2311
Adel	w2312
gegeben	w2313
<g/>
.
Seine	w2315
Königl	w2316
<g/>
.
Hoheit	w2318
Herr	w2319
Jnfant	w2320
haben	w2321
sich	w2322
selbst	w2323
etwas	w2324
später	w2325
darbey	w2326
eingefunden	w2327
<g/>
,
und	w2329
seynd	w2330
bey	w2331
einer	w2332
Tafel	w2333
von	w2334
Damen	w2335
auf	w2336
das	w2337
herrlichste	w2338
bewürtet	w2339
worden	w2340
<g/>
.
</p>
<p id="p32">
Den	w2342
darauf	w2343
folgenden	w2344
Tag	w2345
als	w2346
den	w2347
4	w2348
<g/>
.
hat	w2350
der	w2351
Fürst	w2352
noch	w2353
ein	w2354
Merkmal	w2355
wie	w2356
weit	w2357
die	w2358
Pracht	w2359
konnte	w2360
getrieben	w2361
werden	w2362
durch	w2363
ein	w2364
Mittag	w2365
<g/>
=
mal	w2367
von	w2368
70	w2369
<g/>
.
Couverts	w2371
gegeben	w2372
<g/>
,
zu	w2374
welcher	w2375
Mahlzeit	w2376
sowol	w2377
der	w2378
hiesige	w2379
Adel	w2380
<g/>
,
als	w2382
fremde	w2383
Ministri	w2384
eingeladen	w2385
worden	w2386
<g/>
.
</p>
<p id="p33">
Den	w2388
5	w2389
<g/>
.
und	w2391
6	w2392
<g/>
.
dieses	w2394
Monats	w2395
war	w2396
der	w2397
Fürst	w2398
bey	w2399
ein	w2400
und	w2401
anderen	w2402
fremden	w2403
Ministris	w2404
zu	w2405
Mittag	w2406
eingeladen	w2407
<g/>
,
hingegen	w2409
</p>
<p id="p34">
Den	w2410
7	w2411
<g/>
.
war	w2413
zu	w2414
der	w2415
Desponsation	w2416
der	w2417
Durchlauchtigsten	w2418
Braut	w2419
bestimmet	w2420
<g/>
,
an	w2422
wel=chem	w2423
<g/>
=
Nachmittag	w2425
der	w2426
Fürst	w2427
von	w2428
Liechtenstein	w2429
sich	w2430
mit	w2431
seinen	w2432
Wägen	w2433
und	w2434
zahlreichen	w2435
Ge=folg	w2436
<g/>
=
etwas	w2438
voraus	w2439
in	w2440
die	w2441
Kirchen	w2442
begeben	w2443
<g/>
,
und	w2445
alda	w2446
von	w2447
einem	w2448
Präposito	w2449
und	w2450
6	w2451
<g/>
.
Dom=herren	w2453
<g/>
=
empfangen	w2455
worden	w2456
<g/>
.
</p>
<p id="p35">
Als	w2458
der	w2459
Hof	w2460
bald	w2461
nachfolgte	w2462
<g/>
,
fande	w2464
sich	w2465
der	w2466
Fürst	w2467
bey	w2468
der	w2469
Kirchen	w2470
<g/>
=
thür	w2472
ein	w2473
<g/>
,
um	w2475
Jh=rer	w2476
<g/>
=
Königl	w2478
<g/>
.
Hoheit	w2480
der	w2481
Jnfantin	w2482
die	w2483
Hand	w2484
beym	w2485
Aussteigen	w2486
zu	w2487
präsentiren	w2488
<g/>
,
Sr	w2490
<g/>
.
Königl	w2492
<g/>
.
Hoheit	w2494
Dero	w2495
Herr	w2496
Vatter	w2497
führten	w2498
sie	w2499
auf	w2500
der	w2501
andern	w2502
Seiten	w2503
bey	w2504
der	w2505
rechten	w2506
Hand	w2507
<g/>
,
und	w2509
in	w2510
dieser	w2511
OrdunngOrdnung	w2512
ist	w2513
man	w2514
bis	w2515
zu	w2516
dem	w2517
vor	w2518
dem	w2519
Altar	w2520
zubereiteten	w2521
Bett	w2522
<g/>
=
stuhl	w2524
gegangen	w2525
<g/>
,
bis	w2527
das	w2528
Se	w2529
<g/>
.
Hoch	w2531
<g/>
=
fürstl	w2533
<g/>
.
Gnaden	w2535
der	w2536
Bi=schof	w2537
<g/>
=
von	w2539
Piacenza	w2540
<g/>
,
der	w2542
diese	w2543
Function	w2544
ver=richtet	w2545
<g/>
=
hat	w2547
<g/>
,
sich	w2549
auf	w2550
dem	w2551
Hoch	w2552
<g/>
=
altar	w2554
umgeumgewendet	w2555
<g/>
=
</p>
<p id="p36">
wendet	w2557
<g/>
.
Alsdann	w2559
haben	w2560
Sich	w2561
die	w2562
Durchl	w2563
<g/>
.
Braut	w2565
sowol	w2566
<g/>
,
als	w2568
der	w2569
Fürst	w2570
von	w2571
Lichtenstein	w2572
denen	w2573
Staffeln	w2574
des	w2575
Altars	w2576
genähert	w2577
<g/>
,
und	w2579
wurde	w2580
sowol	w2581
die	w2582
Päpstl	w2583
<g/>
.
Dispensation	w2585
<g/>
,
als	w2587
das	w2588
Mandatum	w2589
procuratorium	w2590
Se	w2591
<g/>
.
Kö=nigl	w2593
<g/>
=
<g/>
.
Hoheit	w2596
des	w2597
Erz	w2598
<g/>
=
herzogs	w2600
abgelesen	w2601
<g/>
;
Gleich	w2603
darauf	w2604
hat	w2605
der	w2606
Bischof	w2607
sich	w2608
zu	w2609
dem	w2610
Fürst	w2611
gewendet	w2612
<g/>
,
um	w2614
ihm	w2615
die	w2616
in	w2617
dem	w2618
gewöhnliche	w2619
Frage	w2620
zu	w2621
thun	w2622
<g/>
,
welche	w2624
er	w2625
mit	w2626
volo	w2627
<g/>
,
<g/>
&
ita	w2630
promitto	w2631
beantwortet	w2632
<g/>
.
Nach	w2634
welchem	w2635
der	w2636
Bischof	w2637
die	w2638
gleiche	w2639
Frage	w2640
an	w2641
Jhre	w2642
Königl	w2643
<g/>
.
Hoheit	w2645
die	w2646
Jnfantin	w2647
gestellet	w2648
<g/>
,
welche	w2650
vor	w2651
Ertheilung	w2652
dergleichen	w2653
Antwort	w2654
<g/>
,
Sich	w2656
gegen	w2657
Se	w2658
<g/>
.
Königl	w2660
<g/>
.
Hoheit	w2662
Dero	w2663
Herrn	w2664
Vattern	w2665
mit	w2666
einer	w2667
Reverenz	w2668
gewendet	w2669
<g/>
.
</p>
<p id="p37">
Als	w2671
nach	w2672
der	w2673
Hand	w2674
der	w2675
Hr	w2676
<g/>
.
Bischof	w2678
die	w2679
Ringe	w2680
geweihet	w2681
hat	w2682
<g/>
,
so	w2684
hat	w2685
der	w2686
Fürst	w2687
von	w2688
Liechtenstein	w2689
den	w2690
für	w2691
die	w2692
Durchl	w2693
<g/>
.
Braut	w2695
ge=wiedmeten	w2696
<g/>
=
ihr	w2698
auf	w2699
einer	w2700
Soucouppé	w2701
präsenti=ret	w2702
<g/>
=
<g/>
,
um	w2705
daß	w2706
Sie	w2707
solchen	w2708
selbst	w2709
Sich	w2710
an	w2711
den	w2712
Finger	w2713
anstecke	w2714
<g/>
,
und	w2716
der	w2717
für	w2718
Se	w2719
<g/>
.
Königl	w2721
<g/>
.
Hoheit	w2723
dem	w2724
Erz	w2725
<g/>
=
herzog	w2727
ist	w2728
auf	w2729
der	w2730
Soucouppé	w2731
ligen	w2732
geblieben	w2733
<g/>
,
um	w2735
nach	w2736
der	w2737
Hand	w2738
Jhrer	w2739
Königl	w2740
<g/>
.
Hoheit	w2742
der	w2743
Jnfantin	w2744
von	w2745
dem	w2746
Bi=schoffen	w2747
<g/>
=
zugestellet	w2749
zu	w2750
werden	w2751
<g/>
,
welcher	w2753
als=dann	w2754
<g/>
=
die	w2756
gewöhnlichen	w2757
Gebetter	w2758
ausgespro=chen	w2759
<g/>
=
<g/>
,
so	w2762
von	w2763
der	w2764
Ablesung	w2765
des	w2766
darüber	w2767
ver=fasten	w2768
<g/>
=
Notariat	w2770
<g/>
=
instrument	w2772
gefolget	w2773
wurde	w2774
<g/>
.
</p>
<p id="p38">
Letztlich	w2776
gabe	w2777
der	w2778
Hr	w2779
<g/>
.
Bischof	w2781
von	w2782
dem	w2783
hohen	w2784
Altar	w2785
den	w2786
Bischöfl	w2787
<g/>
.
Seegen	w2789
<g/>
,
worzu	w2791
Jhre	w2792
Königl	w2793
<g/>
.
Hoheit	w2795
die	w2796
Jnfantin	w2797
und	w2798
der	w2799
Hr	w2800
<g/>
.
Fürst	w2802
von	w2803
Liechtenstein	w2804
niedergekniet	w2805
<g/>
,
und	w2807
hernach	w2808
sich	w2809
zuruck	w2810
zu	w2811
dem	w2812
Bett	w2813
<g/>
=
stuhl	w2815
begeben	w2816
<g/>
,
allwo	w2818
noch	w2819
ein	w2820
kurzes	w2821
Gebett	w2822
ver=richtet	w2823
<g/>
=
worden	w2825
<g/>
.
</p>
<p id="p39">
Aus	w2827
der	w2828
Kirchen	w2829
ist	w2830
man	w2831
in	w2832
derjenigen	w2833
Ordnung	w2834
gegangen	w2835
<g/>
,
wie	w2837
man	w2838
dahin	w2839
gekom=men	w2840
<g/>
=
<g/>
,
nämlich	w2843
die	w2844
Erz	w2845
<g/>
=
herzogl	w2847
<g/>
.
Braut	w2849
in	w2850
der	w2851
Mitten	w2852
<g/>
,
Se	w2854
<g/>
.
Königl	w2856
<g/>
.
Hoheit	w2858
der	w2859
Jnfant	w2860
auf	w2861
der	w2862
rechten	w2863
<g/>
,
und	w2865
der	w2866
Fürst	w2867
von	w2868
Liechten=stein	w2869
<g/>
=
auf	w2871
der	w2872
linken	w2873
Seiten	w2874
<g/>
,
welcher	w2876
<g/>
,
nach=deme	w2878
<g/>
=
die	w2880
Durchl	w2881
<g/>
.
Braut	w2883
in	w2884
Wagen	w2885
gesessen	w2886
<g/>
,
</p>
<p id="p40">
sich	w2889
voraus	w2890
zu	w2891
denen	w2892
Seinigen	w2893
verfüget	w2894
<g/>
,
um	w2896
wiederum	w2897
bey	w2898
Hofe	w2899
einzutreffen	w2900
<g/>
,
und	w2902
der	w2903
Jnfantin	w2904
beym	w2905
Absteigen	w2906
die	w2907
Hand	w2908
geben	w2909
zu	w2910
können	w2911
<g/>
.
</p>
<p id="p41">
Nach	w2913
diesem	w2914
vollzogenen	w2915
Act	w2916
haben	w2917
sich	w2918
Se	w2919
Fürstl	w2920
<g/>
.
Gnaden	w2922
mit	w2923
allen	w2924
mitgekommenen	w2925
Kaiserl	w2926
<g/>
.
und	w2928
Königl	w2929
<g/>
.
Cammer	w2931
<g/>
=
herren	w2933
und	w2934
Unterthanen	w2935
zu	w2936
Jhrer	w2937
Königl	w2938
<g/>
.
Hoheit	w2940
der	w2941
schon	w2942
vermählten	w2943
Erz	w2944
<g/>
=
herzogin	w2946
begeben	w2947
<g/>
,
um	w2949
Jhr	w2950
als	w2951
Kaiserl	w2952
<g/>
.
Königl	w2954
<g/>
.
Unterthanen	w2956
<g/>
=
die	w2958
Hand	w2959
zu	w2960
küssen	w2961
<g/>
.
</p>
<p id="p42">
Abends	w2963
wurde	w2964
auf	w2965
das	w2966
prächtigste	w2967
das	w2968
Hochzeitsmahl	w2969
gehalten	w2970
<g/>
,
und	w2972
ist	w2973
man	w2974
dar	w2975
bey	w2976
in	w2977
der	w2978
eigenen	w2979
Ordnung	w2980
<g/>
,
welche	w2982
in	w2983
der	w2984
Kirchen	w2985
schon	w2986
vorhero	w2987
beobachtet	w2988
worden	w2989
<g/>
,
auch	w2991
bey	w2992
der	w2993
Tafel	w2994
gesessen	w2995
<g/>
,
so	w2997
<g/>
,
daß	w2999
die	w3000
Neu=vermählte	w3001
<g/>
=
Erzherzogin	w3003
den	w3004
mittern	w3005
Se	w3006
<g/>
.
Kö=nigl	w3008
<g/>
=
<g/>
.
Hochheit	w3011
der	w3012
Jnfant	w3013
den	w3014
Rechten	w3015
<g/>
,
und	w3017
der	w3018
Fürst	w3019
von	w3020
Liechtenstein	w3021
den	w3022
linken	w3023
Platz	w3024
besetzte	w3025
<g/>
;
</p>
<p id="p43">
Das	w3027
Nachtmahl	w3028
wurde	w3029
von	w3030
einer	w3031
präch=tigen	w3032
<g/>
=
Jllumination	w3034
<g/>
,
Feuerwerk	w3036
und	w3037
Ball	w3038
bey	w3039
Hof	w3040
gefolget	w3041
<g/>
,
und	w3043
anmit	w3044
die	w3045
Festivitäten	w3046
be=schlossen	w3047
<g/>
=
<g/>
.
</p>
<p id="p44">
Heunt	w3050
solte	w3051
der	w3052
Fürst	w3053
von	w3054
Liechtenstein	w3055
die	w3056
Urlaub	w3057
<g/>
=
audienzen	w3059
wie	w3060
bey	w3061
der	w3062
Ankunft	w3063
vollzie=hen	w3064
<g/>
=
<g/>
,
um	w3067
den	w3068
13ten	w3069
dieses	w3070
zu	w3071
Casal	w3072
Maggio=re	w3073
<g/>
=
sich	w3075
einzufinden	w3076
<g/>
,
und	w3078
die	w3079
ihm	w3080
aufgetragene	w3081
dritte	w3082
Beschäftigung	w3083
der	w3084
Ubernahm	w3085
der	w3086
Durch=lauchtigsten	w3087
<g/>
=
Braut	w3089
zu	w3090
vollziehen	w3091
<g/>
.
</p>
<head id="hl8">
Wien	w3093
den	w3094
17	w3095
<g/>
.
September	w3097
1760	w3098
<g/>
.
</head>
<p id="p45">
Sonntag	w3100
den	w3101
14	w3102
<g/>
.
Sept	w3104
<g/>
.
Nachdeme	w3106
der	w3107
vorläuffige	w3108
Bericht	w3109
bey	w3110
Hof	w3111
eingetrof=fen	w3112
<g/>
=
<g/>
,
daß	w3115
des	w3116
in	w3117
dem	w3118
Vermählungs	w3119
<g/>
=
geschäft	w3121
Seiner	w3122
Königl	w3123
<g/>
.
Hoheit	w3125
des	w3126
Durchleuchtig=sten	w3127
<g/>
=
Königl	w3129
<g/>
.
Crons	w3131
<g/>
=
prinzens	w3133
und	w3134
Erz	w3135
<g/>
=
herzogs	w3137
Josephi	w3138
mit	w3139
der	w3140
Durchl	w3141
<g/>
.
Prinzeßin	w3143
Jsabella	w3144
von	w3145
Parma	w3146
abgeschickten	w3147
Kaiserl	w3148
<g/>
.
und	w3150
Kön	w3151
<g/>
.
Herrn	w3153
gevollmächtigten	w3154
Hrn	w3155
<g/>
.
Joseph	w3157
Wenzel	w3158
Fürsten	w3159
v	w3160
<g/>
.
Lichtenstein	w3162
Fürstl	w3163
<g/>
.
Gnaden	w3165
den	w3166
4	w3167
<g/>
.
Dieses	w3169
mit	w3170
all	w3171
<g/>
=
erdenklichem	w3173
Pracht	w3174
dadaselbst	w3175
<g/>
=
</p>
<p id="p46">
selbst	w3177
nacher	w3178
Hof	w3179
zu	w3180
denen	w3181
ersten	w3182
offentlichen	w3183
Audienzien	w3184
abgeholet	w3185
worden	w3186
<g/>
,
und	w3188
aufge=fahren	w3189
<g/>
=
<g/>
,
einfolglich	w3192
die	w3193
solemne	w3194
offentliche	w3195
Anwerbung	w3196
um	w3197
höchst	w3198
<g/>
=
gedachte	w3200
Durchl	w3201
<g/>
.
Prin=zeßin	w3203
<g/>
=
bey	w3205
Sr	w3206
<g/>
.
Königl	w3208
<g/>
.
Hoheit	w3210
dem	w3211
Jnfanten	w3212
von	w3213
Spanien	w3214
<g/>
,
und	w3216
Herzogen	w3217
von	w3218
Parma	w3219
<g/>
,
als	w3221
Dero	w3222
Durchl	w3223
<g/>
.
Herrn	w3225
Vatter	w3226
mit	w3227
aller	w3228
Feyer=lichkeit	w3229
<g/>
=
vor	w3231
sich	w3232
gegangen	w3233
<g/>
;
anheute	w3235
früh	w3236
aber	w3237
der	w3238
würkliche	w3239
K	w3240
<g/>
.
K	w3242
<g/>
.
Cammer	w3244
<g/>
=
herr	w3246
Hr	w3247
<g/>
.
Graf	w3249
v	w3250
<g/>
.
Kaunitz	w3252
Rittberg	w3253
älterer	w3254
Sohn	w3255
Sr	w3256
<g/>
.
Excell	w3258
<g/>
.
des	w3260
K	w3261
<g/>
.
K	w3263
<g/>
.
Herrn	w3265
Hof	w3266
<g/>
=
und	w3268
Staats	w3269
<g/>
=
canzlers	w3271
Hrn	w3272
<g/>
.
Wenzel	w3274
Anton	w3275
Grafen	w3276
zu	w3277
Kaunitz	w3278
Ritt=berg	w3279
<g/>
=
Excell	w3281
<g/>
.
per	w3283
Postam	w3284
von	w3285
Parma	w3286
mit	w3287
der	w3288
höchst	w3289
angenehm	w3290
<g/>
,
und	w3292
vergnüglichen	w3293
Nach=richt	w3294
<g/>
=
zu	w3296
Schönbrunn	w3297
angelanget	w3298
<g/>
,
daß	w3300
den	w3301
7	w3302
<g/>
.
darauf	w3304
die	w3305
Desponsation	w3306
per	w3307
Procuratio=nem	w3308
<g/>
=
auf	w3310
das	w3311
herrlichst	w3312
<g/>
=
und	w3314
vortreflichste	w3315
voll=zogen	w3316
<g/>
=
worden	w3318
<g/>
.
So	w3320
erschiene	w3321
der	w3322
ganze	w3323
Kais	w3324
<g/>
.
und	w3326
Kön	w3327
<g/>
.
Hof	w3329
in	w3330
kostbarester	w3331
Gala	w3332
<g/>
,
und	w3334
hat=ten	w3335
<g/>
=
Jhre	w3337
Kaiserl	w3338
<g/>
.
und	w3340
Königl	w3341
<g/>
.
Apostol	w3343
<g/>
.
Ma=jestät	w3345
<g/>
=
sowol	w3347
<g/>
,
als	w3349
auch	w3350
Sr	w3351
<g/>
.
Königl	w3353
<g/>
.
Hoheit	w3355
Josephus	w3356
von	w3357
dem	w3358
Päpstl	w3359
<g/>
.
Herrn	w3361
Nuntio	w3362
<g/>
,
und	w3364
denen	w3365
anwesenden	w3366
Herren	w3367
Bottschafte=ren	w3368
<g/>
=
<g/>
,
dann	w3371
von	w3372
denen	w3373
Herren	w3374
fremden	w3375
Herren	w3376
Ministres	w3377
<g/>
,
und	w3379
hiesigem	w3380
hohen	w3381
Adel	w3382
dieser=halben	w3383
<g/>
=
die	w3385
Glück	w3386
<g/>
=
wunsch	w3388
<g/>
=
complimenten	w3390
zu	w3391
empfangen	w3392
geruhet	w3393
<g/>
.
</p>
<p id="p47">
Zu	w3395
Mittag	w3396
wurde	w3397
bey	w3398
einer	w3399
schönen	w3400
Ta=fel	w3401
<g/>
=
<g/>
=
music	w3404
offentlich	w3405
gespeiset	w3406
<g/>
,
und	w3408
Abends	w3409
ware	w3410
Ball	w3411
paré	w3412
<g/>
,
nebst	w3414
einem	w3415
grossem	w3416
Sou=pee	w3417
<g/>
=
in	w3419
Schönbrunn	w3420
<g/>
.
Vor	w3422
der	w3423
Mittags=tafel	w3424
<g/>
=
hatten	w3426
des	w3427
Kaiserl	w3428
<g/>
.
und	w3430
Königl	w3431
<g/>
.
ersten	w3433
Hrn	w3434
<g/>
.
Obristen	w3436
Hof	w3437
<g/>
=
meisters	w3439
<g/>
,
Hrn	w3441
<g/>
.
Grafen	w3443
von	w3444
Ulfeld	w3445
Excell	w3446
<g/>
.
den	w3448
K	w3449
<g/>
.
K	w3451
<g/>
.
Hrn	w3453
<g/>
.
General	w3455
<g/>
=
feld=zeug	w3457
<g/>
=
<g/>
=
meistern	w3460
Grafen	w3461
Leopold	w3462
von	w3463
Palfy	w3464
Excell	w3465
<g/>
.
als	w3467
Leib	w3468
<g/>
=
garde	w3470
<g/>
=
haupt	w3472
<g/>
=
mann	w3474
<g/>
,
der	w3476
von	w3477
dem	w3478
Königreich	w3479
Hungarn	w3480
neu	w3481
errichteten	w3482
Königl	w3483
<g/>
.
Hungarisch	w3485
<g/>
=
Adelichen	w3487
Garde	w3488
auf	w3489
allerhöchsten	w3490
Befehl	w3491
in	w3492
der	w3493
Raht	w3494
<g/>
=
stuben	w3496
ge=wöhnlicher	w3497
<g/>
=
massen	w3499
declariret	w3500
<g/>
.
</p>
<p id="p48">
Eben	w3502
heute	w3503
Vormittags	w3504
um	w3505
9	w3506
<g/>
.
Uhr	w3508
be=liebten	w3509
<g/>
=
Jhre	w3511
Kaiserl	w3512
<g/>
.
und	w3514
Königl	w3515
<g/>
.
Apostol	w3517
<g/>
.
</p>
<p id="p49">
Majest	w3521
<g/>
.
mit	w3523
Seiner	w3524
Königl	w3525
<g/>
.
Hoheit	w3527
dem	w3528
Durchl	w3529
<g/>
.
Königl	w3531
<g/>
.
Erb	w3533
<g/>
=
cron	w3535
Prinzen	w3536
Erz	w3537
<g/>
=
her=zogen	w3539
<g/>
=
Joseph	w3541
<g/>
,
und	w3543
der	w3544
Hof	w3545
<g/>
=
staat	w3547
<g/>
,
der	w3549
von	w3550
dem	w3551
Augustiner	w3552
<g/>
=
GOttes	w3554
<g/>
=
haus	w3556
nach	w3557
der	w3558
hiesigen	w3559
Metropolitan	w3560
<g/>
=
kirchen	w3562
ad	w3563
S	w3564
<g/>
.
Stephanum	w3566
an=geordneten	w3567
<g/>
=
Proceßion	w3569
<g/>
,
und	w3571
darauf	w3572
allda=selbsten	w3573
<g/>
=
dem	w3575
all	w3576
<g/>
=
jährlich	w3578
zu	w3579
begehen	w3580
üblichen	w3581
Dank	w3582
<g/>
=
fest	w3584
<g/>
,
wegen	w3586
des	w3587
Anno	w3588
1683	w3589
<g/>
.
beglück=test	w3591
<g/>
=
erfolgten	w3593
Entsatzes	w3594
dieser	w3595
Haupt	w3596
<g/>
=
und	w3598
Residenz	w3599
<g/>
=
stadt	w3601
Wien	w3602
<g/>
,
unter	w3604
3	w3605
<g/>
=
maliger	w3607
Ab=feurung	w3608
<g/>
=
des	w3610
klein	w3611
<g/>
=
und	w3613
grossen	w3614
Geschützes	w3615
beyzuwohnen	w3616
<g/>
.
</p>
<p id="p50">
