<doc id="wr_1757-12-21" attrs="word" year="1757" month="12" day="21" corpus="2">
<head id="h2_d204e2824">
Burtehude,	w1_d204e2828
Herrn	w7_d204e6453
du	w9_d204e6456
Bois	w11_d204e6459
de	w13_d204e6463
la	w15_d204e6466
Motte	w1_d204e6471
wird	w3_d204e6474
bestättiget.	w5_d204e6477
Mit	w7_d204e6480
dieser	w9_d204e6483
Flotte	w11_d204e6486
sind	w1_d204e6491
300.	w3_d204e6494
Engländer	w5_d204e6497
die	w7_d204e6500
auf	w9_d204e6503
dem	w11_d204e6506
verunglück	w13_d204e6510
ten	w1_d204e6516
Schif	w3_d204e6519
der	w5_d204e6522
Tilbury	w7_d204e6525
sich	w9_d204e6528
befanden,	w11_d204e6531
nach	w13_d204e6535
Frankreich	w1_d204e6540
gebracht	w3_d204e6543
worden.	w5_d204e6546
Die	w7_d204e6549
Franzö	w9_d204e6552
sische	w1_d204e6557
Flotte	w3_d204e6560
fand	w5_d204e6563
diese	w7_d204e6566
Leute	w9_d204e6569
auf	w11_d204e6572
der	w13_d204e6576
Jnsul	w15_d204e6579
Royale,	w1_d204e6584
wohin	w3_d204e6587
sie	w5_d204e6590
sich	w7_d204e6593
nach	w9_d204e6596
dem	w11_d204e6599
Sturm	w13_d204e6603
der	w15_d204e6606
des	w1_d204e6612
Admirals	w3_d204e6615
Holbourne	w5_d204e6618
Flotte	w7_d204e6621
betroffen,	w9_d204e6624
retiriret	w1_d204e6629
hatten	w3_d204e6632
Man	w5_d204e6635
nahm	w7_d204e6638
sie	w9_d204e6641
an	w11_d204e6644
Bord,	w13_d204e6648
und	w1_d204e6653
vertheilte	w3_d204e6656
sie	w5_d204e6659
auf	w7_d204e6662
verschiedene	w9_d204e6665
Schiffe,	w11_d204e6668
wo	w13_d204e6672
sich	w1_d204e6677
bereits	w3_d204e6680
400.	w5_d204e6683
andere	w7_d204e6686
Gefangene	w9_d204e6689
befanden.	w11_d204e6692
Die	w1_d204e6698
Französische	w3_d204e6701
Armateurs	w5_d204e6704
sind	w7_d204e6707
sämmtlich	w9_d204e6710
wieder	w1_d204e6715
ausgeloffen,	w3_d204e6718
um	w5_d204e6721
denen	w7_d204e6724
Engländischen	w9_d204e6727
Schiffen,	w1_d204e6732
welche	w3_d204e6735
von	w5_d204e6738
der	w7_d204e6741
Levante	w9_d204e6744
kommen,	w11_d204e6747
auf	w13_d204e6751
den	w1_d204e6756
Dienst	w3_d204e6759
zu	w5_d204e6762
passen	w7_d204e6765
</p>
<head id="h2_d204e6771">
Paris	w1_d204e6775
12.	w3_d204e6778
Dec.	w5_d204e6781
</head>
<p id="p4_d204e6784">
Der	w1_d204e6788
Abt	w3_d204e6791
Graf	w5_d204e6794
von	w7_d204e6797
Bernis	w9_d204e6800
hat	w11_d204e6803
allen	w13_d204e6807
an	w15_d204e6810
diesem	w1_d204e6815
Hofe	w3_d204e6818
residirenden	w5_d204e6821
Ministern	w7_d204e6824
die	w9_d204e6827
Er	w11_d204e6830
klärung	w1_d204e6835
gethan:	w3_d204e6838
Daß,	w5_d204e6841
obschon	w7_d204e6844
die	w9_d204e6847
Schlacht	w11_d204e6850
vom	w1_d204e6856
5.	w3_d204e6859
dieses	w5_d204e6862
einen	w7_d204e6865
sehr	w9_d204e6868
beträchtlichen	w11_d204e6871
Verlust	w13_d204e6875
sowol	w1_d204e6880
an	w3_d204e6883
Trupen	w5_d204e6886
als	w7_d204e6889
Artillerie	w9_d204e6892
dem	w11_d204e6895
König	w13_d204e6899
verursachet	w1_d204e6904
habe,	w3_d204e6907
Se.	w5_d204e6910
Majestät	w7_d204e6913
indessen	w9_d204e6916
noch	w11_d204e6919
fest	w1_d204e6924
entschlossen	w3_d204e6927
bleiben,	w5_d204e6930
Jhre	w7_d204e6933
Kräfte	w9_d204e6936
wegen	w11_d204e6939
der	w1_d204e6945
gemeinen	w3_d204e6948
Sache	w5_d204e6951
zu	w7_d204e6954
verdoppeln,	w9_d204e6957
und	w11_d204e6960
weit	w13_d204e6964
entfernet	w1_d204e6969
wären,	w3_d204e6972
in	w5_d204e6975
Jhren	w7_d204e6978
Verbindungen	w9_d204e6981
nur	w11_d204e6984
das	w1_d204e6989
geringste	w3_d204e6992
zu	w5_d204e6995
ändern,	w7_d204e6998
sondern	w9_d204e7001
vielmehr	w11_d204e7004
Jhren	w1_d204e7009
Alliirten	w3_d204e7012
mit	w5_d204e7015
aller	w7_d204e7018
Macht	w9_d204e7021
beyzustehen,	w11_d204e7024
um	w1_d204e7030
ihnen	w3_d204e7033
eine	w5_d204e7036
Genugthuung	w7_d204e7039
und	w9_d204e7042
anständige	w11_d204e7045
Schadlos=haltung	w1_d204e7050
wegen	w3_d204e7053
des	w5_d204e7056
Nachtheils	w7_d204e7059
zu	w9_d204e7062
verschaffen,	w1_d204e7067
den	w3_d204e7070
sie	w5_d204e7073
durch	w7_d204e7076
das	w9_d204e7079
Verfahren	w11_d204e7082
des	w13_d204e7086
</p>
<p id="p6_d204e7089">
Königs	w1_d204e7093
von	w3_d204e7096
Preußen	w5_d204e7099
gelitten	w7_d204e7102
hätten,	w9_d204e7105
und	w11_d204e7108
ihnen	w1_d204e7113
einen	w3_d204e7116
dauerhaften	w5_d204e7119
und	w7_d204e7122
vortheilhaften	w9_d204e7125
Frieden	w1_d204e7130
zuwege	w3_d204e7133
zu	w5_d204e7136
bringen.	w7_d204e7139
</p>
<p id="p8_d204e7142">
Wegen	w1_d204e7146
der	w3_d204e7149
Escadre	w5_d204e7152
des	w7_d204e7155
Herrn	w9_d204e7158
Dubois	w11_d204e7161
de	w13_d204e7165
la	w1_d204e7170
Motte	w3_d204e7173
ist	w5_d204e7176
man	w7_d204e7179
nunmehro	w9_d204e7182
ausser	w11_d204e7185
allen	w13_d204e7189
Sor	w15_d204e7192
gen,	w1_d204e7197
da	w3_d204e7200
dieselbe	w5_d204e7203
mit	w7_d204e7206
17.	w9_d204e7209
Königlichen	w11_d204e7212
Schiffen	w13_d204e7216
aus	w1_d204e7222
Louisburg	w3_d204e7225
zu	w5_d204e7228
Brest	w7_d204e7231
angekommen	w9_d204e7234
;	w11_d204e7237
es	w13_d204e7241
ist	w15_d204e7244
solche	w1_d204e7249
in	w3_d204e7252
dem	w5_d204e7255
besten	w7_d204e7258
Zustande,	w9_d204e7261
und	w11_d204e7264
unter	w13_d204e7268
der	w1_d204e7273
Mannschaft	w3_d204e7276
sind	w5_d204e7279
nur	w7_d204e7282
wenige	w9_d204e7285
Kranke,	w11_d204e7288
Morgen	w1_d204e7293
legt	w3_d204e7296
der	w5_d204e7299
Hof	w7_d204e7302
die	w9_d204e7305
Trauer	w11_d204e7308
für	w13_d204e7312
die	w15_d204e7315
ver	w17_d204e7318
storbene	w1_d204e7324
Königin	w3_d204e7327
von	w5_d204e7330
Pohlen	w7_d204e7333
an;	w9_d204e7336
der	w11_d204e7339
Dau	w13_d204e7343
phin	w1_d204e7348
wird	w3_d204e7351
sie	w5_d204e7354
fünfthalb	w7_d204e7357
Monate,	w9_d204e7360
und	w11_d204e7363
Mada	w13_d204e7367
me	w1_d204e7372
Dauphine	w3_d204e7375
ein	w5_d204e7378
ganzes	w7_d204e7381
Jahr	w9_d204e7384
tragen.	w11_d204e7387
</p>
<head id="h2_d204e7393">
Stettin	w1_d204e7397
2.	w3_d204e7400
December.	w5_d204e7403
</head>
<p id="p4_d204e7406">
Zu	w1_d204e7410
Versenkung	w3_d204e7413
des	w5_d204e7416
Schwine=münder	w7_d204e7419
Ha	w9_d204e7422
fens	w1_d204e7427
haben	w3_d204e7430
sich	w5_d204e7433
die	w7_d204e7436
Schweden	w9_d204e7439
vieler	w11_d204e7442
Steine	w13_d204e7446
und	w1_d204e7451
Sand=kisten,	w3_d204e7454
und	w5_d204e7457
unter	w7_d204e7460
andern	w9_d204e7463
auch	w11_d204e7466
16.	w13_d204e7470
aufgebrachter	w1_d204e7476
Pommerischer	w3_d204e7479
Schiffen,	w5_d204e7482
welche	w7_d204e7485
sie	w1_d204e7490
in	w3_d204e7493
den	w5_d204e7496
Grund	w7_d204e7499
gebohrt,	w9_d204e7502
bedienet.	w11_d204e7505
Die	w13_d204e7509
Gü	w15_d204e7512
ter	w1_d204e7517
aus	w3_d204e7520
denen	w5_d204e7523
Holländischen	w7_d204e7526
und	w9_d204e7529
andern	w11_d204e7532
neu	w13_d204e7536
tralen	w1_d204e7541
Schiffen,	w3_d204e7544
die	w5_d204e7547
in	w7_d204e7550
Swine=münde	w9_d204e7553
für	w11_d204e7556
Ste	w13_d204e7560
tinische	w1_d204e7566
Rechnung	w3_d204e7569
noch	w5_d204e7572
gelegen,	w7_d204e7575
seynd	w9_d204e7578
von	w11_d204e7581
ihnen	w1_d204e7586
confiscirt,	w3_d204e7589
die	w5_d204e7592
für	w7_d204e7595
Holländische	w9_d204e7598
Rech	w11_d204e7601
nung	w1_d204e7606
aber,	w3_d204e7609
so	w5_d204e7612
keine	w7_d204e7615
Contvebande	w9_d204e7618
seynd,	w11_d204e7621
frey	w13_d204e7625
ge	w15_d204e7628
lassen	w1_d204e7633
worden.	w3_d204e7636
</p>
<head id="h2_d204e7642">
Altona,	w1_d204e7646
5.	w3_d204e7649
December.	w5_d204e7652
</head>
<p id="p4_d204e7655">
Nähere	w1_d204e7659
Nachrichten	w3_d204e7662
von	w5_d204e7665
Lüneburg	w7_d204e7668
geben,	w9_d204e7671
daß	w1_d204e7676
die	w3_d204e7679
Armee	w5_d204e7682
des	w7_d204e7685
Herzogs	w9_d204e7688
Ferdinand	w11_d204e7691
schon	w13_d204e7695
auf	w1_d204e7700
jener	w3_d204e7703
Seite	w5_d204e7706
solcher	w7_d204e7709
Stadt	w9_d204e7712
vorgeruckt	w11_d204e7715
sey,	w1_d204e7721
und	w3_d204e7724
der	w5_d204e7727
Französischen	w7_d204e7730
Armee	w9_d204e7733
auf	w11_d204e7736
dem	w13_d204e7740
Fuß	w1_d204e7745
nach	w3_d204e7748
Zelle	w5_d204e7751
folge.	w7_d204e7754
Daß	w9_d204e7757
die	w11_d204e7760
Belagerung	w13_d204e7764
des	w1_d204e7769
Harburger=schlosses	w3_d204e7772
fortdaure,	w5_d204e7775
haben	w7_d204e7778
wir	w1_d204e7783
in	w3_d204e7786
voriger	w5_d204e7789
Nacht,	w7_d204e7792
und	w9_d204e7795
diesen	w11_d204e7798
Morgen	w13_d204e7802
sehr	w1_d204e7808
deutlich	w3_d204e7811
hören	w5_d204e7814
können.	w7_d204e7817
</p>
<head id="h2_d204e7823">
Danzig	w1_d204e7827
4.	w3_d204e7830
December.	w5_d204e7833
</head>
<p id="p4_d204e7836">
Den	w1_d204e7840
27.	w3_d204e7843
vorigen	w5_d204e7846
Monats	w7_d204e7849
kam	w9_d204e7852
der	w11_d204e7855
Kön.	w13_d204e7859
Preußische	w1_d204e7864
General	w3_d204e7867
Feldemarschall	w5_d204e7870
von	w7_d204e7873
Leh	w9_d204e7876
wald	w1_d204e7881
in	w3_d204e7884
Stettin	w5_d204e7887
an,	w7_d204e7890
und	w9_d204e7893
aus	w11_d204e7896
denen	w13_d204e7900
Verfü	w15_d204e7903
gungen	w1_d204e7909
die	w3_d204e7912
bereits	w5_d204e7915
vorher	w7_d204e7918
auf	w9_d204e7921
dessen	w11_d204e7924
Ordre	w13_d204e7928
durch	w1_d204e7933
den	w3_d204e7936
Herrn	w5_d204e7939
General	w7_d204e7942
Major	w9_d204e7945
von	w11_d204e7948
Man	w13_d204e7952
tenfel	w1_d204e7957
getroffen	w3_d204e7960
worden,	w5_d204e7963
vermutet	w7_d204e7966
man	w9_d204e7969
näch	w11_d204e7972
stens	w1_d204e7977
die	w3_d204e7980
Wieder=eröfnung	w5_d204e7983
der	w7_d204e7986
Campagne.	w9_d204e7989
Die	w1_d204e7995
Schwedische	w3_d204e7998
Armee	w5_d204e8001
bestehet	w7_d204e8004
aus	w9_d204e8007
20000.	w11_d204e8010
Mann	w1_d204e8015
lauter	w3_d204e8018
wol=geübten	w5_d204e8021
Leuten,	w7_d204e8024
die	w9_d204e8027
durch	w11_d204e8030
ihre	w13_d204e8034
bisherige	w1_d204e8039
Unternehmungen	w3_d204e8042
die	w5_d204e8045
Stettiner	w7_d204e8048
Gar	w9_d204e8051
nison	w1_d204e8056
genöhtiget,	w3_d204e8059
beständig	w5_d204e8062
im	w7_d204e8065
Felde	w9_d204e8068
zu	w11_d204e8071
ste	w13_d204e8075
hen.	w1_d204e8081
Die	w3_d204e8084
Preußische	w5_d204e8087
wird	w7_d204e8090
auf	w9_d204e8093
27842	w11_d204e8096
Mann	w13_d204e8100
gerechnet.	w1_d204e8105
Die	w3_d204e8108
Recuperirung	w5_d204e8111
der	w7_d204e8114
Jnsul	w9_d204e8117
und	w11_d204e8120
Stadt	w1_d204e8125
Wollin	w3_d204e8128
durch	w5_d204e8131
die	w7_d204e8134
Prussen	w9_d204e8137
wird	w11_d204e8140
durch	w13_d204e8144
eben	w1_d204e8149
diese	w3_d204e8152
Nachrichten	w5_d204e8155
bestättiget	w7_d204e8158
</p>
<p id="p10_d204e8171">
Der	w1_d204e8175
Her	w3_d204e8178
Generial	w5_d204e8181
vor	w7_d204e8184
Ferider,	w9_d204e8187
welche	w11_d204e8190
nunmehro	w1_d204e8195
das	w3_d204e8198
Commando	w5_d204e8201
der	w7_d204e8204
RußischKai	w9_d204e8207
serl.	w1_d204e8212
Armee	w3_d204e8215
übernommen,	w5_d204e8218
befindet	w7_d204e8221
sich	w9_d204e8224
mit	w11_d204e8227
einem	w1_d204e8233
Theil	w3_d204e8236
derselben	w5_d204e8239
in	w7_d204e8242
Memmel,	w9_d204e8245
und	w11_d204e8248
ist	w13_d204e8252
daselbst	w1_d204e8257
nicht	w3_d204e8260
nur	w5_d204e8263
eine	w7_d204e8266
starke	w9_d204e8269
und	w11_d204e8272
mit	w13_d204e8276
allen	w15_d204e8279
Kriegs=bedürfnüssen	w1_d204e8284
überflüßig	w3_d204e8287
versehene	w5_d204e8290
Gar	w7_d204e8293
nison,	w1_d204e8298
sondern	w3_d204e8301
es	w5_d204e8304
cantoniren	w7_d204e8307
auch	w9_d204e8310
noch	w11_d204e8313
7.	w13_d204e8317
Re	w15_d204e8320
gimenter	w1_d204e8326
in	w3_d204e8329
denen	w5_d204e8332
nahe	w7_d204e8335
gelegenen	w9_d204e8338
Dörfern.	w11_d204e8341
Die	w1_d204e8346
in	w3_d204e8349
der	w5_d204e8352
Belagerung	w7_d204e8355
beschädigte	w9_d204e8358
Festungs	w11_d204e8361
werke	w1_d204e8366
seynd	w3_d204e8369
vollkommen	w5_d204e8372
wieder	w7_d204e8375
hergestellet	w9_d204e8378
und	w1_d204e8383
mit	w3_d204e8386
verschiedenen	w5_d204e8389
neuen	w7_d204e8392
vermehret	w9_d204e8395
wor	w11_d204e8398
den,	w1_d204e8404
so,	w3_d204e8407
daß	w5_d204e8410
dieser	w7_d204e8413
General,	w9_d204e8416
so	w11_d204e8419
bald	w13_d204e8423
dieje	w15_d204e8426
nige	w1_d204e8431
Trupen,	w3_d204e8434
welche	w5_d204e8437
aus	w7_d204e8440
denen	w9_d204e8443
Gegenden	w11_d204e8446
von	w1_d204e8451
Curland	w3_d204e8454
durch	w5_d204e8457
einen	w7_d204e8460
Theil	w9_d204e8463
von	w11_d204e8466
Pohlen	w13_d204e8470
wieder	w1_d204e8475
nach	w3_d204e8478
Preussen	w5_d204e8481
marschieren,	w7_d204e8484
zu	w9_d204e8487
ihm	w11_d204e8490
wer	w13_d204e8494
den	w1_d204e8500
gestossen	w3_d204e8503
seyn,	w5_d204e8506
seiner	w7_d204e8509
bekannten	w9_d204e8512
Tapfer	w11_d204e8515
keit	w1_d204e8520
und	w3_d204e8523
Kriegs=wissenschaft	w5_d204e8526
nach,	w7_d204e8529
die	w9_d204e8532
fernere	w11_d204e8535
Kriegs=operationen	w1_d204e8540
in	w3_d204e8543
Preussen,	w5_d204e8546
ungesäumt	w7_d204e8549
mit	w1_d204e8554
Nachdruck	w3_d204e8557
wieder	w5_d204e8560
anfangen	w7_d204e8563
werden.	w9_d204e8566
</p>
<head id="h2_d204e8573">
Dresden	w1_d204e8577
10.	w3_d204e8580
December.	w5_d204e8583
</head>
<p id="p4_d204e8586">
Von	w1_d204e8590
hier	w3_d204e8593
seynd	w5_d204e8596
den	w7_d204e8599
5.	w9_d204e8602
dieses	w11_d204e8605
abermals	w13_d204e8609
230.	w1_d204e8614
Reconvaleicirte	w3_d204e8617
nach	w5_d204e8620
Leipzig	w7_d204e8623
abmar	w9_d204e8626
schirt,	w1_d204e8631
und	w3_d204e8634
den	w5_d204e8637
2.	w7_d204e8640
rückten	w9_d204e8643
50.	w11_d204e8646
Mann	w13_d204e8650
Hussa	w15_d204e8653
ren	w1_d204e8659
zum	w3_d204e8662
Pirnaischen	w5_d204e8665
Thor	w7_d204e8668
hinaus	w9_d204e8671
nach	w11_d204e8674
denen	w13_d204e8678
Bünauischen	w1_d204e8683
Gütern,	w3_d204e8686
von	w5_d204e8689
da	w7_d204e8692
sie	w9_d204e8695
den	w11_d204e8698
3ten	w13_d204e8702
zurück	w1_d204e8707
kamen,	w3_d204e8710
und	w5_d204e8713
den	w7_d204e8716
Schösser	w9_d204e8719
von	w11_d204e8722
Wesen	w13_d204e8726
stein,	w1_d204e8731
wie	w3_d204e8734
auch	w5_d204e8737
den	w7_d204e8740
Commissarium,	w9_d204e8743
Herrr	w11_d204e8746
von	w1_d204e8752
Bünau	w3_d204e8755
zu	w5_d204e8758
Dietersbach	w7_d204e8761
als	w9_d204e8764
Arrestan	w11_d204e8767
ten	w1_d204e8772
mitbrachten.	w3_d204e8775
Jn	w5_d204e8778
dem	w7_d204e8781
Erz=gebürgischen	w9_d204e8784
Kreiß	w1_d204e8789
soll	w3_d204e8792
ein	w5_d204e8795
grosser	w7_d204e8798
Mangel	w9_d204e8801
an	w11_d204e8804
Lebens	w13_d204e8808
mitteln	w1_d204e8813
sich	w3_d204e8816
äussern,	w5_d204e8819
und	w7_d204e8822
bey	w9_d204e8825
nahe	w11_d204e8828
eine	w13_d204e8832
Hun	w15_d204e8835
gers=noht	w1_d204e8841
eingerissen	w3_d204e8844
seyn.	w5_d204e8847
Auf	w7_d204e8850
Königlich	w9_d204e8853
Preußischen	w1_d204e8858
Befehl	w3_d204e8861
hat	w5_d204e8864
man	w7_d204e8867
den	w9_d204e8870
23.	w11_d204e8873
Nov.	w13_d204e8877
den	w1_d204e8882
Herrn	w3_d204e8885
Grafen	w5_d204e8888
von	w7_d204e8891
Loos,	w9_d204e8894
ingleichen	w11_d204e8897
den	w13_d204e8901
Hrn.	w1_d204e8906
Consistorial=präsidenten	w3_d204e8909
Globey	w5_d204e8912
,	w7_d204e8915
un	w9_d204e8918
der	w11_d204e8921
Kö	w13_d204e8925
nigin	w1_d204e8931
Beicht=vattern,	w3_d204e8934
P.	w5_d204e8937
Fermann	w7_d204e8940
arrestirt.	w9_d204e8943
Man	w1_d204e8948
weiß	w3_d204e8951
hier	w5_d204e8954
von	w7_d204e8957
keine	w9_d204e8960
Ursache,	w11_d204e8963
und	w13_d204e8967
man	w15_d204e8970
ver	w17_d204e8973
mutet	w1_d204e8978
nur,	w3_d204e8981
daß	w5_d204e8984
es	w7_d204e8987
wegen	w9_d204e8990
auswärtiger	w11_d204e8993
Corres	w13_d204e8997
ponden;	w1_d204e9002
geschehen	w3_d204e9005
seyn	w5_d204e9008
müsse.	w7_d204e9011
Zu	w9_d204e9014
Außig	w11_d204e9017
be	w13_d204e9021
findet	w1_d204e9027
sich	w3_d204e9030
zur	w5_d204e9033
Sicherheit	w7_d204e9036
eines	w9_d204e9039
starken	w11_d204e9042
Ma	w13_d204e9046
gazins	w1_d204e9051
ein	w3_d204e9054
grosser	w5_d204e9057
Theil	w7_d204e9060
der	w9_d204e9063
Sächsischen	w11_d204e9066
Ar	w13_d204e9070
tillerie.	w1_d204e9075
</p>
<head id="h2_d204e9081">
Haag	w1_d204e9085
8.	w3_d204e9088
December.	w5_d204e9091
</head>
<p id="p4_d204e9094">
Es	w1_d204e9098
war	w3_d204e9101
den	w5_d204e9104
1.	w7_d204e9107
dieses,	w9_d204e9110
als	w11_d204e9113
der	w13_d204e9117
Graf	w15_d204e9120
von	w17_d204e9123
Afry	w1_d204e9128
nach	w3_d204e9131
einer	w5_d204e9134
langen	w7_d204e9137
Corre	w9_d204e9140
sponden;	w11_d204e9143
mit	w13_d204e9147
denen	w15_d204e9150
Deputirten	w1_d204e9155
Jhrer	w3_d204e9158
Hochmögenden	w5_d204e9161
einen	w7_d204e9164
Cur	w9_d204e9167
rier	w1_d204e9173
nach	w3_d204e9176
Paris	w5_d204e9179
depeschirte.	w7_d204e9182
An	w9_d204e9185
eben	w11_d204e9188
diesem	w13_d204e9192
Tage	w1_d204e9197
kam	w3_d204e9200
in	w5_d204e9203
dem	w7_d204e9206
oberen	w9_d204e9209
Stok=werk	w11_d204e9212
des	w13_d204e9216
Ge	w15_d204e9219
richts=hofs	w1_d204e9224
Feuer	w3_d204e9227
aus.	w5_d204e9230
Die	w7_d204e9233
Flamme	w9_d204e9236
ergrif	w11_d204e9239
nicht	w1_d204e9244
nur	w3_d204e9247
die	w5_d204e9250
Zimmer	w7_d204e9253
wo	w9_d204e9256
ehemals	w11_d204e9259
der	w13_d204e9263
Herr	w15_d204e9266
</p>
<p id="p6_d204e9269">
von	w1_d204e9273
Oldenbarnefeld	w3_d204e9276
und	w5_d204e9279
Grotius	w7_d204e9282
verwahret	w9_d204e9285
worden,	w1_d204e9290
sondern	w3_d204e9293
sie	w5_d204e9296
verzehrte	w7_d204e9299
auch	w9_d204e9302
die	w11_d204e9305
ganze	w13_d204e9309
Bibliothec.	w1_d204e9314
Zum	w3_d204e9317
Glücke	w5_d204e9320
gieng	w7_d204e9323
kein	w9_d204e9326
Wind,	w11_d204e9329
so,	w1_d204e9335
daß	w3_d204e9338
die	w5_d204e9341
schleunige	w7_d204e9344
Hülfe	w9_d204e9347
ihre	w11_d204e9350
vollkommene	w13_d204e9354
Würkung	w1_d204e9359
fand.	w3_d204e9362
</p>
<head id="h2_d204e9368">
Altona	w1_d204e9372
6.	w3_d204e9375
December.	w5_d204e9378
</head>
<p id="p4_d204e9381">
Diesen	w1_d204e9385
Abend	w3_d204e9388
beym	w5_d204e9391
Schluß	w7_d204e9394
dieses	w9_d204e9397
Brie	w11_d204e9400
fes	w1_d204e9405
sihet;	w3_d204e9408
man	w5_d204e9411
bey	w7_d204e9414
Harburg	w9_d204e9417
ein	w11_d204e9420
grosses	w13_d204e9424
Feuer,	w1_d204e9429
und	w3_d204e9432
mutmassete	w5_d204e9435
daß	w7_d204e9438
das	w9_d204e9441
Schloß	w11_d204e9444
da	w13_d204e9448
selbst	w1_d204e9454
in	w3_d204e9457
Brand	w5_d204e9460
geschossen	w7_d204e9463
seye.	w9_d204e9466
</p>
<head id="h2_d204e9472">
Lüneburg,	w1_d204e9476
4.	w3_d204e9479
December.	w5_d204e9482
</head>
<p id="p4_d204e9485">
Endlich	w1_d204e9489
sind	w3_d204e9492
wir	w5_d204e9495
gestern	w7_d204e9498
Nachmittags	w9_d204e9501
um	w11_d204e9504
2.	w1_d204e9509
Uhr	w3_d204e9512
von	w5_d204e9515
der	w7_d204e9518
Französischen	w9_d204e9521
Besatzung	w11_d204e9524
gänz	w13_d204e9528
lich	w1_d204e9533
befreyet	w3_d204e9536
worden.	w5_d204e9539
Dieselbe	w7_d204e9542
ist	w9_d204e9545
insgesamt	w11_d204e9548
nach	w1_d204e9554
Uelzen	w3_d204e9557
abgegangen.	w5_d204e9560
Es	w7_d204e9563
sind	w9_d204e9566
hier	w11_d204e9569
noch	w13_d204e9573
einige	w1_d204e9578
Kranke	w3_d204e9581
im	w5_d204e9584
Hospital	w7_d204e9587
zurück=geblieben.	w9_d204e9590
Wir	w1_d204e9595
erwarten	w3_d204e9598
nun	w5_d204e9601
stündlich	w7_d204e9604
unsere	w9_d204e9607
Trupen.	w11_d204e9610
Der	w1_d204e9615
Herzog	w3_d204e9618
von	w5_d204e9621
Richelieu	w7_d204e9624
gieng	w9_d204e9627
schon	w11_d204e9630
am	w13_d204e9634
Freytage	w1_d204e9640
Morgens	w3_d204e9643
um	w5_d204e9646
9.	w7_d204e9649
Uhr	w9_d204e9652
gleichfals	w11_d204e9655
nach	w13_d204e9659
Uelzen	w1_d204e9664
ab.	w3_d204e9667
</p>
<head id="h2_d204e9673">
Londen,	w1_d204e9677
29.	w3_d204e9680
November.	w5_d204e9683
</head>
<p id="p4_d204e9686">
Man	w1_d204e9690
ist	w3_d204e9693
gegenwärtig	w5_d204e9696
beschäftiget,	w7_d204e9699
ein	w9_d204e9702
mäch	w11_d204e9705
tiges	w1_d204e9710
Geschwader	w3_d204e9713
zu	w5_d204e9716
Portsmouth	w7_d204e9719
auszurüsten,	w9_d204e9722
welches	w1_d204e9727
die	w3_d204e9730
Admirale	w5_d204e9733
Knowles	w7_d204e9736
und	w9_d204e9739
Brode	w11_d204e9742
rick	w1_d204e9748
commandiren	w3_d204e9751
sollen,	w5_d204e9754
und	w7_d204e9757
welches	w9_d204e9760
für	w11_d204e9763
das	w13_d204e9767
mittelländische	w1_d204e9772
Meer	w3_d204e9775
bestimmet	w5_d204e9778
ist.	w7_d204e9781
Jetzund	w9_d204e9784
ergehet	w1_d204e9789
das	w3_d204e9792
Gerücht,	w5_d204e9795
daß	w7_d204e9798
der	w9_d204e9801
Admiral	w11_d204e9804
Hawke	w13_d204e9808
4.	w1_d204e9813
Kriegs=schiffe,	w3_d204e9816
und	w5_d204e9819
15.	w7_d204e9822
Schiffe	w9_d204e9825
von	w11_d204e9828
der	w13_d204e9832
Flotte	w1_d204e9838
von	w3_d204e9841
Martinique,	w5_d204e9844
deren	w7_d204e9847
er	w9_d204e9850
sich	w11_d204e9853
bemäch	w13_d204e9857
tiget,	w1_d204e9862
nach	w3_d204e9865
Plymouth	w5_d204e9868
geschickt	w7_d204e9871
hätte.	w9_d204e9874
Man	w11_d204e9877
will	w1_d204e9882
auch	w3_d204e9885
sagen,	w5_d204e9888
daß	w7_d204e9891
die	w9_d204e9894
Algierer	w11_d204e9897
Frankreich	w13_d204e9901
den	w1_d204e9906
Krieg	w3_d204e9909
angekündiget,	w5_d204e9912
und	w7_d204e9915
daß	w9_d204e9918
sich	w11_d204e9921
ihre	w1_d204e9927
Freybeuter	w3_d204e9930
18.	w5_d204e9933
Französischer	w7_d204e9936
Schiffe	w9_d204e9939
be	w11_d204e9942
mächtiget	w1_d204e9947
hätten.	w3_d204e9950
</p>
<p id="p6_d204e9953">
Der	w1_d204e9957
Hof	w3_d204e9960
hat	w5_d204e9963
auch	w7_d204e9966
diese	w9_d204e9969
Tage	w11_d204e9972
über	w13_d204e9976
De	w15_d204e9979
peschen	w1_d204e9984
von	w3_d204e9987
dem	w5_d204e9990
Herrn	w7_d204e9993
Porter,	w9_d204e9996
welcher	w11_d204e9999
als	w13_d204e10003
Gesandter	w1_d204e10008
zu	w3_d204e10011
Constantinopel	w5_d204e10014
stehet,	w7_d204e10017
empfan	w9_d204e10020
gen.	w1_d204e10026
Man	w3_d204e10029
siehet	w5_d204e10032
daraus,	w7_d204e10035
daß	w9_d204e10038
die	w11_d204e10041
Pforte	w13_d204e10045
noch	w1_d204e10050
immer	w3_d204e10053
friedliche	w5_d204e10056
Gedanken	w7_d204e10059
habe	w9_d204e10062
Der	w11_d204e10065
Herr	w1_d204e10070
Porter	w3_d204e10073
und	w5_d204e10076
die	w7_d204e10079
Ministers	w9_d204e10082
der	w11_d204e10085
Höfe	w13_d204e10089
zu	w15_d204e10092
Wien,	w1_d204e10097
Petersburg,	w3_d204e10100
und	w5_d204e10103
