<doc id="wr_1762-05-01" attrs="word" year="1762" month="05" day="01" corpus="2">
<head id="h2_d652e3101">
Auszug	w1_d652e3105
Kriegs	w11_d652e6759
staat	w1_d652e6764
müssen	w3_d652e6767
schleunigst	w5_d652e6770
auf	w7_d652e6773
ihren	w9_d652e6776
Plätzen	w11_d652e6779
erscheinen.	w1_d652e6785
Der	w3_d652e6788
Ober=commissair	w5_d652e6791
von	w7_d652e6794
un	w9_d652e6797
serm	w1_d652e6802
See=wesen,	w3_d652e6805
Herr	w5_d652e6808
von	w7_d652e6811
Marquisan,	w9_d652e6814
reisete,	w1_d652e6819
nebst	w3_d652e6822
vielen	w5_d652e6825
Schifs=zimmerleuten,	w7_d652e6828
nach	w1_d652e6833
Jtalien	w3_d652e6836
ab,	w5_d652e6839
um	w7_d652e6842
in	w9_d652e6845
denen	w11_d652e6848
dortigen	w13_d652e6852
Ge	w15_d652e6855
genden	w1_d652e6861
das	w3_d652e6864
benöhtigte	w5_d652e6867
Schif=bauholz	w7_d652e6870
ein	w9_d652e6873
zukauffen.	w1_d652e6878
</p>
<head id="h2_d652e6884">
Petersburg	w1_d652e6888
19.	w3_d652e6891
Mart.	w5_d652e6894
</head>
<p id="p4_d652e6897">
Am	w1_d652e6901
7.	w3_d652e6904
dieses,	w5_d652e6907
als	w7_d652e6910
der	w9_d652e6913
Königl.	w11_d652e6916
Preußi	w13_d652e6920
sche	w1_d652e6925
ausserordentliche	w3_d652e6928
Ambassadeur,	w5_d652e6931
Herr	w7_d652e6934
v.	w9_d652e6937
Golze,	w1_d652e6942
seine	w3_d652e6945
erste	w5_d652e6948
öffentliche	w7_d652e6951
Audienz	w9_d652e6954
bey	w11_d652e6957
Hof	w1_d652e6963
gehabt	w3_d652e6966
hatte,	w5_d652e6969
genoß	w7_d652e6972
er	w9_d652e6975
zugleich	w11_d652e6978
die	w13_d652e6982
Ehre,	w1_d652e6987
in	w3_d652e6990
Gesellschaft	w5_d652e6993
des	w7_d652e6996
Englischen	w9_d652e6999
Mi	w11_d652e7002
nisters,	w1_d652e7007
Hrn.	w3_d652e7010
Keith,	w5_d652e7013
und	w7_d652e7016
des	w9_d652e7019
Königl.	w11_d652e7022
Schwe	w13_d652e7026
dischen	w1_d652e7031
Cammer=herrn,	w3_d652e7034
Grafen	w5_d652e7037
von	w7_d652e7040
Düben,	w9_d652e7043
desselben	w1_d652e7049
Mittags	w3_d652e7052
und	w5_d652e7055
Abends	w7_d652e7058
zur	w9_d652e7061
Kaiserl.	w11_d652e7064
Tafel	w1_d652e7069
gezogen	w3_d652e7072
zu	w5_d652e7075
werden.	w7_d652e7078
Die	w9_d652e7081
Compagnie	w11_d652e7084
der	w1_d652e7089
Leibgarde	w3_d652e7092
ist	w5_d652e7095
von	w7_d652e7098
Sr.	w9_d652e7101
Kaiserl.	w11_d652e7104
Maje	w13_d652e7108
stät	w1_d652e7113
abgedanket	w3_d652e7116
worden,	w5_d652e7119
weil	w7_d652e7122
solche	w9_d652e7125
den	w11_d652e7128
hiesigen	w1_d652e7134
Einwohnern,	w3_d652e7137
und	w5_d652e7140
dem	w7_d652e7143
ganzen	w9_d652e7146
Rei	w11_d652e7149
che,	w1_d652e7154
zur	w3_d652e7157
Last	w5_d652e7160
gefallen.	w7_d652e7163
Denn	w9_d652e7166
jene	w11_d652e7169
mußten	w13_d652e7173
ihr	w1_d652e7178
freye	w3_d652e7181
Quartiere	w5_d652e7184
verschaffen;	w7_d652e7187
und	w9_d652e7190
dem	w11_d652e7193
Reiche,	w1_d652e7198
dem	w3_d652e7201
sie	w5_d652e7204
doch	w7_d652e7207
keine	w9_d652e7210
Dienste	w11_d652e7213
gethan,	w13_d652e7217
hat	w1_d652e7223
sie	w3_d652e7226
2.	w5_d652e7229
Millionen	w7_d652e7232
Rubeln	w9_d652e7235
gekostet.	w11_d652e7238
Am	w13_d652e7242
10.	w1_d652e7247
dieses	w3_d652e7250
wurde	w5_d652e7253
dem	w7_d652e7256
Herrn	w9_d652e7259
Jwanowitz	w11_d652e7262
Schuwalow	w1_d652e7267
die	w3_d652e7270
wichtige	w5_d652e7273
Commandeur=stelle	w7_d652e7276
über	w1_d652e7281
die	w3_d652e7284
Cadetten=compagnie	w5_d652e7287
verliehen,	w7_d652e7290
welche	w1_d652e7296
hinfort	w3_d652e7299
allemal	w5_d652e7302
1200.	w7_d652e7305
Mann	w9_d652e7308
stark	w11_d652e7311
seyn	w1_d652e7316
wird.	w3_d652e7319
Dies	w5_d652e7322
ist	w7_d652e7325
ein	w9_d652e7328
Corps,	w11_d652e7331
worüber	w13_d652e7335
Se.	w1_d652e7340
Kaiserl.	w3_d652e7343
Majestät	w5_d652e7346
als	w7_d652e7349
Groß=fürst,	w9_d652e7352
in	w11_d652e7355
höchst	w1_d652e7360
eigener	w3_d652e7363
Person,	w5_d652e7366
Chef	w7_d652e7369
gewesen	w9_d652e7372
sind.	w11_d652e7375
</p>
<head id="h4_d652e7391">
Lübeck	w1_d652e7395
den	w3_d652e7398
14.	w5_d652e7401
April.	w7_d652e7404
</head>
<p id="p6_d652e7407">
Wir	w1_d652e7411
geniessen	w3_d652e7414
noch	w5_d652e7417
zur	w7_d652e7420
Zeit	w9_d652e7423
in	w11_d652e7426
unserer	w13_d652e7430
Stadt	w1_d652e7435
einiger	w3_d652e7438
massen	w5_d652e7441
die	w7_d652e7444
alte	w9_d652e7447
Freyheit,	w11_d652e7450
dann	w13_d652e7454
wir	w1_d652e7459
werden	w3_d652e7462
in	w5_d652e7465
der	w7_d652e7468
That	w9_d652e7471
nur	w11_d652e7474
von	w13_d652e7478
unserer	w15_d652e7481
eigenen	w1_d652e7487
Burgerschaft	w3_d652e7490
bewachet,	w5_d652e7493
wovon	w7_d652e7496
man	w9_d652e7499
4.	w1_d652e7504
Compagnien	w3_d652e7507
formiret,	w5_d652e7510
welche	w7_d652e7513
die	w9_d652e7516
Thore	w11_d652e7519
und	w1_d652e7524
Bollwerk	w3_d652e7527
bewachen,	w5_d652e7530
aber	w7_d652e7533
sind	w9_d652e7536
wir	w11_d652e7539
des	w13_d652e7543
sentwegen	w1_d652e7548
Herren	w3_d652e7551
von	w5_d652e7554
unseren	w7_d652e7557
eigenen	w9_d652e7560
Lan	w11_d652e7563
de?	w1_d652e7569
die	w3_d652e7572
Dähnische	w5_d652e7575
Trupen	w7_d652e7578
umringen	w9_d652e7581
uns	w11_d652e7584
von	w1_d652e7589
allen	w3_d652e7592
Seiten,	w5_d652e7595
und	w7_d652e7598
campiren	w9_d652e7601
so	w11_d652e7604
zu	w13_d652e7608
sa	w15_d652e7611
gen	w1_d652e7616
an	w3_d652e7619
unseren	w5_d652e7622
Pallisaden,	w7_d652e7625
wenigstens	w9_d652e7628
sind	w11_d652e7631
einige	w1_d652e7636
davon	w3_d652e7639
kaum	w5_d652e7642
eine	w7_d652e7645
viertel	w9_d652e7648
Meile	w11_d652e7651
von	w13_d652e7655
dannen	w1_d652e7661
entfernet,	w3_d652e7664
und	w5_d652e7667
ihre	w7_d652e7670
Cantonirungs	w9_d652e7673
quartiere	w1_d652e7678
sind	w3_d652e7681
so	w5_d652e7684
voll,	w7_d652e7687
daß	w9_d652e7690
in	w11_d652e7693
dem	w13_d652e7697
etwann	w15_d652e7700
zwey	w1_d652e7705
Büchsen=schuß	w3_d652e7708
weit	w5_d652e7711
entlegenen	w7_d652e7714
Dörfel	w9_d652e7717
Meßlingen	w1_d652e7722
gegen	w3_d652e7725
20.	w5_d652e7728
Mann	w7_d652e7731
in	w9_d652e7734
einer	w11_d652e7737
Stroh	w13_d652e7741
hüte	w1_d652e7747
ligen.	w3_d652e7750
Es	w5_d652e7753
ist	w7_d652e7756
wahr,	w9_d652e7759
daß	w11_d652e7762
diese	w13_d652e7766
Leute	w15_d652e7769
die	w1_d652e7774
beste	w3_d652e7777
Manns=zucht	w5_d652e7780
halten,	w7_d652e7783
und	w9_d652e7786
daß	w11_d652e7789
die	w13_d652e7793
Offiriere,	w1_d652e7798
so	w3_d652e7801
wir	w5_d652e7804
innerhalb	w7_d652e7807
unseren	w9_d652e7810
Mau	w11_d652e7813
ren	w1_d652e7818
gesehen,	w3_d652e7821
gleich	w5_d652e7824
nach	w7_d652e7827
Vollendung	w9_d652e7830
ihrer	w11_d652e7833
Verrichtungen	w1_d652e7839
wiederum	w3_d652e7842
hinausgezogen:	w5_d652e7845
al	w7_d652e7848
lein	w1_d652e7853
es	w3_d652e7856
dörfte	w5_d652e7859
nicht	w7_d652e7862
immer	w9_d652e7865
so	w11_d652e7868
gehen,	w13_d652e7872
wann	w15_d652e7875
die	w1_d652e7880
Russen	w3_d652e7883
eine	w5_d652e7886
Bewegung	w7_d652e7889
auf	w9_d652e7892
sie	w11_d652e7895
machen	w13_d652e7899
sollten.	w1_d652e7904
</p>
<p id="p8_d652e7907">
Die	w1_d652e7911
ganze	w3_d652e7914
Dähnische	w5_d652e7917
Kriegs=macht	w7_d652e7920
soll	w1_d652e7925
sich	w3_d652e7928
auf	w5_d652e7931
70651.	w7_d652e7934
Mann	w9_d652e7937
ohne	w11_d652e7940
Einbegrif	w13_d652e7944
der	w1_d652e7949
Militz,	w3_d652e7952
als	w5_d652e7955
nämlich:	w7_d652e7958
5547.	w9_d652e7961
Küraßier,	w11_d652e7964
5357.	w1_d652e7970
Dragoner,	w3_d652e7973
58379.	w5_d652e7976
Fußgänger,	w7_d652e7979
und	w9_d652e7982
1368.	w1_d652e7987
Artilleristen	w3_d652e7990
belaufen.	w5_d652e7993
</p>
<head id="h2_d652e7999">
Haag	w1_d652e8003
vom	w3_d652e8006
19.	w5_d652e8009
April.	w7_d652e8012
</head>
<p id="p4_d652e8015">
Den	w1_d652e8019
16ten	w3_d652e8022
dieses	w5_d652e8025
erhielte	w7_d652e8028
der	w9_d652e8031
hiesige	w11_d652e8034
Kö	w13_d652e8038
niglich=Französische	w1_d652e8043
Abgesandte,	w3_d652e8046
Herr	w5_d652e8049
Graf	w7_d652e8052
von	w1_d652e8057
Affry,	w3_d652e8060
den	w5_d652e8063
Befehl	w7_d652e8066
von	w9_d652e8069
Sr.	w11_d652e8072
Allerchristl.	w13_d652e8076
Majestät,	w1_d652e8082
seine	w3_d652e8085
Gesandschafts=stelle	w5_d652e8088
nieder	w7_d652e8091
zulegen,	w1_d652e8096
und	w3_d652e8099
als	w5_d652e8102
General=leutenant	w7_d652e8105
dem	w9_d652e8108
Feld	w11_d652e8111
zuge,	w1_d652e8116
unter	w3_d652e8119
Sr.	w5_d652e8122
Königl.	w7_d652e8125
Hoheit	w9_d652e8128
dem	w11_d652e8131
Prinzen	w13_d652e8135
von	w1_d652e8140
Conde,	w3_d652e8143
an	w5_d652e8146
dem	w7_d652e8149
Nieder=rhein,	w9_d652e8152
beyzu	w11_d652e8155
wohnen.	w1_d652e8161
Der	w3_d652e8164
ehemalige	w5_d652e8167
Französische	w7_d652e8170
Bott	w9_d652e8173
schafter	w1_d652e8178
in	w3_d652e8181
Spanien,	w5_d652e8184
Herr	w7_d652e8187
Vicomte	w9_d652e8190
von	w11_d652e8193
Au	w13_d652e8197
beterre,	w1_d652e8202
soll	w3_d652e8205
der	w5_d652e8208
Nachfolger	w7_d652e8211
des	w9_d652e8214
gedachten	w11_d652e8217
Herrn	w1_d652e8222
Grafens	w3_d652e8225
von	w5_d652e8228
Affey,	w7_d652e8231
bey	w9_d652e8234
unsern	w11_d652e8237
Staa	w13_d652e8241
ten	w1_d652e8247
seyn.	w3_d652e8250
</p>
<head id="h2_d652e8256">
Florenz	w1_d652e8260
18.	w3_d652e8263
April.	w5_d652e8266
</head>
<p id="p4_d652e8269">
Vergangenen	w1_d652e8273
Erchtags	w3_d652e8276
in	w5_d652e8279
der	w7_d652e8282
Nacht	w9_d652e8285
ver	w11_d652e8288
spürte	w1_d652e8293
man	w3_d652e8296
in	w5_d652e8299
hiesiger	w7_d652e8302
Stadt	w9_d652e8305
einen	w11_d652e8308
hofti	w13_d652e8312
gen	w1_d652e8317
Erdstoß,	w3_d652e8320
welcher	w5_d652e8323
aber,	w7_d652e8326
GOtt	w9_d652e8329
ssey	w11_d652e8332
Dank!	w1_d652e8338
denen	w3_d652e8341
Einwohnern,	w5_d652e8344
aussen	w7_d652e8347
dem	w9_d652e8350
dießs	w11_d652e8353
falls	w1_d652e8358
gehabten	w3_d652e8361
Schröcken,	w5_d652e8364
keinen	w7_d652e8367
anderen	w9_d652e8370
weiteren	w1_d652e8375
Schaden	w3_d652e8378
zugefüget.	w5_d652e8381
Donnerstags	w7_d652e8384
gegen	w1_d652e8389
Abend	w3_d652e8392
geschahe	w5_d652e8395
in	w7_d652e8398
der	w9_d652e8401
Vorstadt	w11_d652e8404
St.	w13_d652e8408
Lorenzo,	w1_d652e8414
und	w3_d652e8417
dasiger	w5_d652e8420
Gegend,	w7_d652e8423
ein	w9_d652e8426
zweyter,	w11_d652e8429
aber	w1_d652e8434
weit	w3_d652e8437
heftiger	w5_d652e8440
Stoß	w7_d652e8443
als	w9_d652e8446
der	w11_d652e8449
erste	w13_d652e8453
ge	w15_d652e8456
wesen,	w1_d652e8461
also	w3_d652e8464
zwar,	w5_d652e8467
daß	w7_d652e8470
die	w9_d652e8473
ganz	w11_d652e8476
forchtsam	w13_d652e8480
gewordene	w1_d652e8485
dasige	w3_d652e8488
Einwohnere	w5_d652e8491
ihre	w7_d652e8494
Häuser	w9_d652e8497
verlassen,	w1_d652e8503
und	w3_d652e8506
auf	w5_d652e8509
dem	w7_d652e8512
freyen	w9_d652e8515
Felde	w11_d652e8518
aller	w13_d652e8522
hand	w1_d652e8527
Hüten	w3_d652e8530
und	w5_d652e8533
Gezelte	w7_d652e8536
für	w9_d652e8539
ihre	w11_d652e8542
Woh	w13_d652e8546
nung	w1_d652e8551
aufgeschlagen,	w3_d652e8554
indeme	w5_d652e8557
sie,	w7_d652e8560
zumalen	w9_d652e8563
einige	w1_d652e8568
Häuser	w3_d652e8571
ob	w5_d652e8574
dieser	w7_d652e8577
Erschütterung	w9_d652e8580
ein	w11_d652e8583
gestürzet,	w1_d652e8589
sich	w3_d652e8592
nicht	w5_d652e8595
mehr	w7_d652e8598
getraueten	w9_d652e8601
in	w11_d652e8604
ihren	w13_d652e8608
vorigen	w1_d652e8613
Aufenthalten	w3_d652e8616
zu	w5_d652e8619
verbleiben.	w7_d652e8622
</p>
<head id="h2_d652e8628">
Venedig	w1_d652e8632
23.	w3_d652e8635
April.	w5_d652e8638
</head>
<p id="p4_d652e8641">
Se.	w1_d652e8645
Durchlaucht	w3_d652e8648
unser	w5_d652e8651
Doge	w7_d652e8654
sind	w9_d652e8657
von	w11_d652e8660
einer	w1_d652e8665
dermassenschweren	w3_d652e8668
Krankheit	w5_d652e8671
befallen	w7_d652e8674
worden,	w1_d652e8679
daß	w3_d652e8682
man	w5_d652e8685
keinen	w7_d652e8688
Augenblick	w9_d652e8691
vor	w11_d652e8694
seinem	w1_d652e8700
Ableiben	w3_d652e8703
gesichert	w5_d652e8706
ist.	w7_d652e8709
</p>
<head id="h2_d652e8723">
Wien	w1_d652e8727
den	w3_d652e8730
1.	w5_d652e8733
May	w7_d652e8736
1762.	w9_d652e8739
</head>
<p id="p4_d652e8742">
MJttwochs	w1_d652e8746
den	w3_d652e8749
28.	w5_d652e8752
April	w7_d652e8755
seynd	w9_d652e8758
in	w11_d652e8761
der	w13_d652e8765
.	w1_d652e8770
Kaiserl.	w1_d652e8775
Cammer=capelle	w3_d652e8778
für	w5_d652e8781
nach	w7_d652e8784
folgende	w1_d652e8790
Hoch=adeliche	w3_d652e8793
Stern=kreutz=ordenss	w5_d652e8796
damen,	w1_d652e8801
als	w3_d652e8804
für	w5_d652e8807
die	w7_d652e8810
(Titl.)	w9_d652e8813
Frau	w11_d652e8816
Cäcilia	w13_d652e8820
Marchesin	w1_d652e8825
von	w3_d652e8828
Campori,	w5_d652e8831
geborne	w7_d652e8834
Marchesin	w9_d652e8837
Pio	w1_d652e8842
von	w3_d652e8845
Savoye,	w5_d652e8848
welche	w7_d652e8851
zu	w9_d652e8854
Modena	w11_d652e8857
dieses	w13_d652e8861
Jahrs	w1_d652e8867
in	w3_d652e8870
GOtt	w5_d652e8873
seel.	w7_d652e8876
entschlaffen;	w9_d652e8879
und	w11_d652e8882
für	w13_d652e8886
die	w1_d652e8891
Titl.	w3_d652e8894
Frau	w5_d652e8897
Eleonara	w7_d652e8900
Marchesin	w9_d652e8903
von	w11_d652e8906
Ri	w13_d652e8910
va,	w1_d652e8915
geborne	w3_d652e8918
Fürstin	w5_d652e8921
von	w7_d652e8924
Gonzaga,	w9_d652e8927
so	w11_d652e8930
zu	w13_d652e8934
Man	w15_d652e8937
tua	w1_d652e8942
eben	w3_d652e8945
dieses	w5_d652e8948
Jahrs	w7_d652e8951
verstorben,	w9_d652e8954
die	w11_d652e8957
Exe	w13_d652e8961
quien	w1_d652e8967
gehalten	w3_d652e8970
worden.	w5_d652e8973
</p>
<p id="p6_d652e8976">
Donnerstags	w1_d652e8980
den	w3_d652e8983
29.	w5_d652e8986
Dito	w7_d652e8989
Mittags	w9_d652e8992
ist	w11_d652e8995
der	w1_d652e9000
Durchläuchtig	w3_d652e9003
Hochgeborne	w5_d652e9006
Herr,	w7_d652e9009
Herr	w9_d652e9012
Joseph	w1_d652e9017
Wilhelm,	w3_d652e9020
des	w5_d652e9023
Heil.	w7_d652e9026
Röm.	w9_d652e9029
Reichs	w11_d652e9032
Fürst	w1_d652e9038
zu	w3_d652e9041
Fürstenberg,	w5_d652e9044
Landgraf	w7_d652e9047
in	w9_d652e9050
der	w11_d652e9053
Baar	w13_d652e9057
und	w1_d652e9062
zu	w3_d652e9065
Stülingen,	w5_d652e9068
Ritter	w7_d652e9071
des	w9_d652e9074
goldenen	w11_d652e9077
Vliesses,	w1_d652e9082
der	w3_d652e9085
Röm.	w5_d652e9088
Kaiserl.	w7_d652e9091
auch	w9_d652e9094
Kaiserl.	w11_d652e9097
</p>
<p id="p12_d652e9111">
Königl.	w1_d652e9115
Apost.	w3_d652e9118
Majest.	w5_d652e9121
würklicher	w7_d652e9124
geheimer	w9_d652e9127
Raht	w1_d652e9132
rc.	w3_d652e9135
im	w5_d652e9138
64.	w7_d652e9141
JJahr	w9_d652e9144
seines	w11_d652e9147
ruhmvollen	w13_d652e9151
Alters	w1_d652e9156
in	w3_d652e9159
GOtt	w5_d652e9162
seel.	w7_d652e9165
verschieden.	w9_d652e9168
</p>
<p id="p14_d652e9171">
Die	w1_d652e9175
kokbdren	w3_d652e9178
Geschenke,	w5_d652e9181
welche	w7_d652e9184
der	w9_d652e9187
K.	w11_d652e9190
K.	w1_d652e9195
Herr	w3_d652e9198
Jnter=untius	w5_d652e9201
Freyherr	w7_d652e9204
von	w9_d652e9207
Penk	w11_d652e9210
ler	w1_d652e9215
für	w3_d652e9218
den	w5_d652e9221
Türkischen	w7_d652e9224
Hof	w9_d652e9227
nach	w11_d652e9230
Constan	w13_d652e9234
tinopel	w1_d652e9240
mit	w3_d652e9243
sich	w5_d652e9246
bringen	w7_d652e9249
wird,	w9_d652e9252
sind	w11_d652e9255
letzt	w13_d652e9259
vergangenen	w1_d652e9264
Mittwoch	w3_d652e9267
in	w5_d652e9270
der	w7_d652e9273
Kaiserl.	w9_d652e9276
Kö	w11_d652e9279
nigl.	w1_d652e9284
Burg	w3_d652e9287
in	w5_d652e9290
dem	w7_d652e9293
grossen	w9_d652e9296
Spiegel=zimmer	w11_d652e9299
zur	w1_d652e9304
Schaue	w3_d652e9307
ausgesetzet	w5_d652e9310
worden.	w7_d652e9313
Die	w1_d652e9319
Schiffe	w1_d652e9324
zur	w3_d652e9327
Abreise	w5_d652e9330
des	w7_d652e9333
besagten	w9_d652e9336
Hrn.	w11_d652e9339
Ge	w13_d652e9343
sandten,	w1_d652e9348
stehen	w3_d652e9351
allschon	w5_d652e9354
auf	w7_d652e9357
dem	w9_d652e9360
kleinen	w11_d652e9363
Donau=arm	w1_d652e9368
ausgerüstet,	w3_d652e9371
und	w5_d652e9374
soll	w7_d652e9377
die	w9_d652e9380
Ab	w11_d652e9383
reise	w1_d652e9389
den	w3_d652e9392
10.	w5_d652e9395
May	w7_d652e9398
geschehen.	w9_d652e9401
—	w1_d652e9406
</p>
<p id="p16_d652e9409">
NAchdeme	w1_d652e9413
von	w3_d652e9416
des	w5_d652e9419
Königs	w7_d652e9422
in	w9_d652e9425
Preussen	w11_d652e9428
Majest.	w1_d652e9433
die	w3_d652e9436
sämmtliche	w5_d652e9439
auf	w7_d652e9442
Parola	w9_d652e9445
ent	w11_d652e9448
lassene	w1_d652e9453
Kriegs=gefangene	w3_d652e9456
Kais.	w5_d652e9459
Königl.	w7_d652e9462
Her	w9_d652e9465
ren	w1_d652e9471
Generals,	w3_d652e9474
Staabs	w5_d652e9477
und	w7_d652e9480
Oberoffi	w9_d652e9483
ciers	w1_d652e9488
wiederum	w3_d652e9491
in	w5_d652e9494
die	w7_d652e9497
Gefangenschaft	w9_d652e9500
na	w11_d652e9503
cher	w1_d652e9508
Magdeburg	w3_d652e9511
zurück	w5_d652e9514
berufen	w7_d652e9517
worden;	w9_d652e9520
</p>
<p id="p18_d652e9523">
So	w1_d652e9527
sehen	w3_d652e9530
nichtminder	w5_d652e9533
Jhro	w7_d652e9536
Kaiserl.	w9_d652e9539
Kö	w11_d652e9542
nigl.	w1_d652e9547
Majestät,	w3_d652e9550
obschon	w5_d652e9553
Allerhöchstdieselben,	w7_d652e9556
vermög	w1_d652e9561
Jhro	w3_d652e9564
angestamter	w5_d652e9567
Milde	w7_d652e9570
und	w9_d652e9573
Groß	w11_d652e9576
muth	w1_d652e9582
das	w3_d652e9585
Schicksal	w5_d652e9588
deren	w7_d652e9591
feindlichen	w9_d652e9594
Kriegs	w11_d652e9597
gefangenen	w1_d652e9602
durch	w3_d652e9605
noch	w5_d652e9608
mehrere	w7_d652e9611
Drangsalen	w9_d652e9614
zu	w1_d652e9619
beschweren	w3_d652e9622
weit	w5_d652e9625
entfernet,	w7_d652e9628
sondern	w9_d652e9631
viels	w11_d652e9634
mehr	w1_d652e9639
benenselben,	w3_d652e9642
in	w5_d652e9645
so	w7_d652e9648
weit	w9_d652e9651
es	w11_d652e9654
nur	w13_d652e9658
immer	w15_d652e9661
thunlich,	w1_d652e9667
alle	w3_d652e9670
Erleichterung	w5_d652e9673
zu	w7_d652e9676
verschaffen	w9_d652e9679
allergnädigst	w1_d652e9684
geneigt	w3_d652e9687
seyn,	w5_d652e9690
aus	w7_d652e9693
dem	w9_d652e9696
mehr	w11_d652e9699
mahlen	w1_d652e9704
abgedrungenen	w3_d652e9707
Recht	w5_d652e9710
der	w7_d652e9713
Wieder	w9_d652e9716
dergeltung	w1_d652e9721
Sich	w3_d652e9724
in	w5_d652e9727
die	w7_d652e9730
Nohtwendigkeit	w9_d652e9733
ver	w11_d652e9736
setzet,	w1_d652e9742
auch	w3_d652e9745
ein	w5_d652e9748
gleiches	w7_d652e9751
in	w9_d652e9754
Ansehung	w11_d652e9757
deren	w13_d652e9761
gesammten	w1_d652e9766
Kriegs=gefangenen	w3_d652e9769
Kön.	w5_d652e9772
Preus	w7_d652e9775
sischen	w1_d652e9780
Herren	w3_d652e9783
Officiers,	w5_d652e9786
welche	w7_d652e9789
auf	w9_d652e9792
ihre	w11_d652e9795
von	w1_d652e9800
sich	w3_d652e9803
gegebene	w5_d652e9806
Parole	w7_d652e9809
dhonneur	w9_d652e9812
gegen	w11_d652e9815
Revers,	w1_d652e9821
oder	w3_d652e9824
sonsten	w5_d652e9827
vorhin	w7_d652e9830
beurlaubet,	w9_d652e9833
und	w1_d652e9838
entlassen	w3_d652e9841
worden,	w5_d652e9844
und	w7_d652e9847
zwar	w9_d652e9850
ohne	w11_d652e9853
aller	w13_d652e9857
Ausnahm,	w1_d652e9862
von	w3_d652e9865
welchem	w5_d652e9868
Caracter	w7_d652e9871
sie	w9_d652e9874
seyn,	w11_d652e9877
insoferne	w1_d652e9882
nämlich	w3_d652e9885
selbige	w5_d652e9888
nicht	w7_d652e9891
durch	w9_d652e9894
die	w11_d652e9897
bishero	w1_d652e9903
vor	w3_d652e9906
sich	w5_d652e9909
gegangene	w7_d652e9912
Particularaus	w9_d652e9915
wechselungen	w1_d652e9920
in	w3_d652e9923
Freyheit	w5_d652e9926
gestellet,	w7_d652e9929
und	w9_d652e9932
die	w11_d652e9935
</p>
<p id="p20_d652e9938">
für	w1_d652e9942
solche	w3_d652e9945
losgegebenen	w5_d652e9948
diesseltige	w7_d652e9951
Jndi	w9_d652e9954
vidua	w1_d652e9959
würklich	w3_d652e9962
zutück	w5_d652e9965
gesendet	w7_d652e9968
worden,	w9_d652e9971
in	w11_d652e9974
die	w1_d652e9979
Befolgung	w3_d652e9982
zu	w5_d652e9985
bringen,	w7_d652e9988
sofort	w9_d652e9991
erwehnte	w11_d652e9994
Officiers	w1_d652e10000
solchergestalten	w3_d652e10003
hinwiederum	w5_d652e10006
zu	w7_d652e10009
rück	w1_d652e10014
berufen	w3_d652e10017
zu	w5_d652e10020
lassen,	w7_d652e10023
daß	w9_d652e10026
sie	w11_d652e10029
sich	w13_d652e10033
sofort,	w15_d652e10036
und	w1_d652e10041
längstens	w3_d652e10044
a	w5_d652e10047
dato	w7_d652e10050
binnen	w9_d652e10053
8.	w11_d652e10056
Wochen,	w13_d652e10060
wann	w1_d652e10065
nach	w3_d652e10068
Entlegenheit	w5_d652e10071
des	w7_d652e10074
Orts	w9_d652e10077
ihres	w11_d652e10080
jetzigen	w1_d652e10086
Aufenthalts	w3_d652e10089
solches	w5_d652e10092
thunlich	w7_d652e10095
ist,	w9_d652e10098
an	w11_d652e10101
dem	w1_d652e10106
in	w3_d652e10109
diesseitigen	w5_d652e10112
Landen	w7_d652e10115
ihnen	w9_d652e10118
schon	w11_d652e10121
vor	w13_d652e10125
hin	w1_d652e10130
bestimmt	w3_d652e10133
gewesten	w5_d652e10136
Aufenthalts=ort	w7_d652e10139
ohn	w9_d652e10142
fehlbar	w1_d652e10147
einfinden,	w3_d652e10150
und	w5_d652e10153
sich	w7_d652e10156
daselbst	w9_d652e10159
in	w11_d652e10162
solang	w13_d652e10166
aufhalten	w1_d652e10172
sollen,	w3_d652e10175
bis	w5_d652e10178
sie	w7_d652e10181
förmlich	w9_d652e10184
ausgewech	w11_d652e10187
selt	w1_d652e10192
seyn.	w3_d652e10195
</p>
<p id="p22_d652e10198">
Welchemnach	w1_d652e10202
mithin	w3_d652e10205
obgedachte	w5_d652e10208
Officiers	w7_d652e10211
samt	w1_d652e10216
und	w3_d652e10219
sonders	w5_d652e10222
hiemit,	w7_d652e10225
und	w9_d652e10228
in	w11_d652e10231
Kraft	w13_d652e10235
dieses	w1_d652e10240
citiret	w3_d652e10243
werden,	w5_d652e10246
binnen	w7_d652e10249
obiger	w9_d652e10252
Frist	w11_d652e10255
sich	w1_d652e10261
ganz	w3_d652e10264
ohnfehlbar	w5_d652e10267
in	w7_d652e10270
diesseitigen	w9_d652e10273
Landen	w11_d652e10276
persönlich	w1_d652e10281
zu	w3_d652e10284
stellen,	w5_d652e10287
gleich	w7_d652e10290
dann,	w9_d652e10293
in	w11_d652e10296
sofer	w13_d652e10300
ne	w1_d652e10305
ein	w3_d652e10308
oder	w5_d652e10311
der	w7_d652e10314
andere	w9_d652e10317
durch	w11_d652e10320
gefährliche	w13_d652e10324
Krankheit	w1_d652e10329
daran	w3_d652e10332
gehindert	w5_d652e10335
seyn	w7_d652e10338
sollte,	w9_d652e10341
we	w11_d652e10344
nigstens	w1_d652e10350
derjenige	w3_d652e10353
solches	w5_d652e10356
förmlich,	w7_d652e10359
und	w9_d652e10362
zwar	w1_d652e10367
mit	w3_d652e10370
