<doc id="wr_1763-07-30" attrs="word" year="1763" month="07" day="30" corpus="2">
<head id="h2_d779e3159">
Lugand	w1_d779e3163
Gestalt	w11_d779e6815
an	w13_d779e6819
nehmen	w1_d779e6824
solte,	w3_d779e6827
hat	w5_d779e6830
sich	w7_d779e6833
kein	w9_d779e6836
Känntniß	w11_d779e6839
davon	w13_d779e6843
zu	w1_d779e6848
nehmen	w3_d779e6851
vorbehalten,	w5_d779e6854
wie	w7_d779e6857
solches	w9_d779e6860
aus	w11_d779e6863
denen	w1_d779e6869
Conventionen	w3_d779e6872
von	w5_d779e6875
1569.	w7_d779e6878
und	w9_d779e6881
1727.	w11_d779e6884
klar	w1_d779e6889
zu	w3_d779e6892
ersehen	w5_d779e6895
ist.	w7_d779e6898
Gegeben	w9_d779e6901
zu	w11_d779e6904
Mietau,	w13_d779e6908
den	w1_d779e6913
29.	w3_d779e6916
Januarii	w5_d779e6919
1763.	w7_d779e6922
</p>
<head id="h2_d779e6928">
T.	w1_d779e6932
Graf	w3_d779e6935
in	w5_d779e6938
Lippe	w7_d779e6941
Lipsky,	w9_d779e6944
</head>
<p id="p4_d779e6947">
Castellan	w1_d779e6951
Lecz.	w3_d779e6954
Senator	w5_d779e6957
Plenipot.	w7_d779e6960
mppriæ	w9_d779e6963
</p>
<head id="h2_d779e6970">
Berlin	w1_d779e6974
14.	w3_d779e6977
Julii.	w5_d779e6980
</head>
<p id="p4_d779e6983">
Die	w1_d779e6987
Kön.	w3_d779e6990
Ministri	w5_d779e6993
haben	w7_d779e6996
auf	w9_d779e6999
das	w11_d779e7002
Memolre;	w13_d779e7006
welches	w1_d779e7011
ihnen	w3_d779e7014
von	w5_d779e7017
dem	w7_d779e7020
Gesandschafts=secres	w9_d779e7023
tair	w1_d779e7028
Jhro	w3_d779e7031
Maj.	w5_d779e7034
des	w7_d779e7037
Königs	w9_d779e7040
von	w11_d779e7043
Pohlen,	w13_d779e7047
in	w15_d779e7050
Ans	w17_d779e7053
sehung	w1_d779e7059
derer	w3_d779e7062
Unordnungen,	w5_d779e7065
welche	w7_d779e7068
die	w9_d779e7071
Preus	w11_d779e7074
sische	w1_d779e7079
Trupen	w3_d779e7082
in	w5_d779e7085
Pohlen	w7_d779e7088
begangen,	w9_d779e7091
überreichs	w11_d779e7094
worden,	w1_d779e7099
nachfolgende	w3_d779e7102
Antwort	w5_d779e7105
ertheilet;	w7_d779e7108
</p>
<p id="p6_d779e7111">
„Wir	w1_d779e7115
haben	w3_d779e7118
dasjenige	w5_d779e7121
Memoire,	w7_d779e7124
welches	w9_d779e7127
uns	w1_d779e7132
der	w3_d779e7135
Gesandschafts=secretair	w5_d779e7138
Jhro	w7_d779e7141
Ma	w9_d779e7144
jest.	w1_d779e7149
des	w3_d779e7152
Königs	w5_d779e7155
von	w7_d779e7158
Pohlen	w9_d779e7161
und	w11_d779e7164
Churfür	w13_d779e7168
sten	w1_d779e7174
von	w3_d779e7177
Sachsen,	w5_d779e7180
Hr.	w7_d779e7183
Sternickel,	w9_d779e7186
eingehän	w11_d779e7189
diget,	w1_d779e7194
und	w3_d779e7197
worinnen	w5_d779e7200
die	w7_d779e7203
Klagen	w9_d779e7206
gegen	w11_d779e7209
die	w13_d779e7213
Trupen	w1_d779e7218
des	w3_d779e7221
Königs	w5_d779e7224
enthalten,	w7_d779e7227
welche	w9_d779e7230
durch	w11_d779e7233
Pohlen	w1_d779e7238
marschiret,	w3_d779e7241
Sr.	w5_d779e7244
Majest.	w7_d779e7247
zu	w9_d779e7250
überrei	w11_d779e7253
chen	w1_d779e7259
nicht	w3_d779e7262
ermangelt.	w5_d779e7265
Nach	w7_d779e7268
denen	w9_d779e7271
diesfalls	w11_d779e7274
eingezogenen	w1_d779e7279
nöhtigen	w3_d779e7282
Berichten	w5_d779e7285
ist	w7_d779e7288
uns	w9_d779e7291
nun	w11_d779e7294
mehro	w1_d779e7299
aufgetragen,	w3_d779e7302
dem	w5_d779e7305
Hrn.	w7_d779e7308
Gesandschafts	w9_d779e7311
</p>
<p id="p12_d779e7325">
secretalt	w1_d779e7329
zur	w3_d779e7332
Antwort	w5_d779e7335
zu	w7_d779e7338
ertheilen,	w9_d779e7341
wie	w11_d779e7344
es	w13_d779e7348
der	w15_d779e7351
König	w1_d779e7356
nicht	w3_d779e7359
abwenden	w5_d779e7362
können,	w7_d779e7365
diejenige	w9_d779e7368
von	w11_d779e7371
seinen	w1_d779e7376
Trupen	w3_d779e7379
durch	w5_d779e7382
das	w7_d779e7385
Gebiet	w9_d779e7388
von	w11_d779e7391
Pohlen	w13_d779e7395
marschieren	w1_d779e7401
zu	w3_d779e7404
lassen,	w5_d779e7407
welche	w7_d779e7410
die	w9_d779e7413
Oesterrei	w11_d779e7416
chische	w1_d779e7421
Kriegs=gefangene	w3_d779e7424
begleitet	w5_d779e7427
haben;	w7_d779e7430
al	w9_d779e7433
lein,	w1_d779e7438
wenn	w3_d779e7441
bey	w5_d779e7444
dieser	w7_d779e7447
Gelegenheit	w9_d779e7450
einige	w11_d779e7453
Of	w13_d779e7457
ficiers	w1_d779e7462
oder	w3_d779e7465
Soldaten	w5_d779e7468
auf	w7_d779e7471
dem	w9_d779e7474
Gebiet	w11_d779e7477
der	w13_d779e7481
Republick	w1_d779e7487
Unfug	w3_d779e7490
verübet;	w5_d779e7493
so	w7_d779e7496
finden	w9_d779e7499
sich	w11_d779e7502
Jh	w13_d779e7506
ro	w1_d779e7511
Majest.	w3_d779e7514
wahrhaftig	w5_d779e7517
dadurch	w7_d779e7520
beleidiget.	w9_d779e7523
Höchst	w1_d779e7528
dieselbe	w3_d779e7531
sind	w5_d779e7534
soweit	w7_d779e7537
entfernet,	w9_d779e7540
derglei	w11_d779e7543
chen	w1_d779e7548
Unfug	w3_d779e7551
zu	w5_d779e7554
genehmigen,	w7_d779e7557
daß	w9_d779e7560
sie	w11_d779e7563
vielmehr	w13_d779e7567
die	w1_d779e7573
Schuldige	w3_d779e7576
aufzusuchen,	w5_d779e7579
und	w7_d779e7582
auf	w9_d779e7585
das	w11_d779e7588
streng	w13_d779e7592
ste	w1_d779e7597
zu	w3_d779e7600
bestrafen.	w5_d779e7603
Man	w7_d779e7606
hat	w9_d779e7609
deme	w11_d779e7612
zufolge	w13_d779e7616
2.	w15_d779e7619
Königl.	w1_d779e7624
Officiers,	w3_d779e7627
welche	w5_d779e7630
sich	w7_d779e7633
hierinnen	w9_d779e7636
schuldig	w1_d779e7641
finden	w3_d779e7644
lassen,	w5_d779e7647
auf	w7_d779e7650
Lebens=lang	w9_d779e7653
in	w11_d779e7656
die	w13_d779e7660
Festung	w1_d779e7666
Stettin	w3_d779e7669
eingeschlossen,	w5_d779e7672
und	w7_d779e7675
man	w9_d779e7678
ist	w11_d779e7681
mit	w1_d779e7686
Verfolgung	w3_d779e7689
verschiedener	w5_d779e7692
anderen	w7_d779e7695
be	w9_d779e7698
schäftiget,	w1_d779e7703
die	w3_d779e7706
ebenfalls	w5_d779e7709
angeklagt	w7_d779e7712
worden,	w9_d779e7715
bis	w1_d779e7720
anhero	w3_d779e7723
aber	w5_d779e7726
noch	w7_d779e7729
nicht	w9_d779e7732
entdeckt	w11_d779e7735
werden	w13_d779e7739
können.	w1_d779e7745
Man	w3_d779e7748
hat	w5_d779e7751
übrigens	w7_d779e7754
die	w9_d779e7757
Commis	w11_d779e7760
sion	w1_d779e7765
zu	w3_d779e7768
Drüsen	w5_d779e7771
abgeschaft,	w7_d779e7774
und	w9_d779e7777
den	w11_d779e7780
Bürger	w13_d779e7784
meister	w1_d779e7789
in	w3_d779e7792
Verhaft	w5_d779e7795
genommen,	w7_d779e7798
der	w9_d779e7801
sich	w11_d779e7804
da	w13_d779e7808
selbst	w1_d779e7813
zu	w3_d779e7816
einem	w5_d779e7819
Richter	w7_d779e7822
hat	w9_d779e7825
aufwerfen	w11_d779e7828
wollen	w13_d779e7832
und	w1_d779e7838
verschiedenen	w3_d779e7841
Pohlnischen	w5_d779e7844
Herren	w7_d779e7847
und	w9_d779e7850
Einwohnern,	w1_d779e7855
vornämlich	w3_d779e7858
aber	w5_d779e7861
dem	w7_d779e7864
Kloster	w9_d779e7867
zu	w1_d779e7872
Crone,	w3_d779e7875
dasjenige	w5_d779e7878
wiederum	w7_d779e7881
zustellen	w9_d779e7884
lassen,	w1_d779e7889
was	w3_d779e7892
ihnen	w5_d779e7895
unrechtmäßiger	w7_d779e7898
Weise	w9_d779e7901
wäre	w1_d779e7907
abgenommen	w3_d779e7910
worden.	w5_d779e7913
Der	w7_d779e7916
Regie	w9_d779e7919
rung	w1_d779e7924
der	w3_d779e7927
Neumark	w5_d779e7930
ist	w7_d779e7933
Befehl	w9_d779e7936
ertheilet	w11_d779e7939
wor	w13_d779e7943
den,	w1_d779e7948
denen	w3_d779e7951
Unterthanen	w5_d779e7954
der	w7_d779e7957
Republick,	w9_d779e7960
die	w11_d779e7963
gegründete	w1_d779e7968
Klagen	w3_d779e7971
haben	w5_d779e7974
können,	w7_d779e7977
die	w9_d779e7980
ge	w11_d779e7983
schwinde	w1_d779e7989
Gerechtigkeit	w3_d779e7992
wiederfahren	w5_d779e7995
zu	w7_d779e7998
las	w9_d779e8001
sen,	w1_d779e8006
und	w3_d779e8009
um	w5_d779e8012
künftighin	w7_d779e8015
alle	w9_d779e8018
weitere	w11_d779e8021
Klagen	w13_d779e8025
zu	w1_d779e8030
vermeiden;	w3_d779e8033
so	w5_d779e8036
sind	w7_d779e8039
diejenige	w9_d779e8042
Detasche	w11_d779e8045
ments,	w1_d779e8050
die	w3_d779e8053
noch	w5_d779e8056
in	w7_d779e8059
Pohlen	w9_d779e8062
gestanden,	w11_d779e8065
zurück	w13_d779e8069
beruffen	w1_d779e8075
worden.	w3_d779e8078
</p>
<p id="p14_d779e8081">
Allein	w1_d779e8085
auf	w3_d779e8088
einer	w5_d779e8091
andern	w7_d779e8094
Seite	w9_d779e8097
ist	w11_d779e8100
es	w13_d779e8104
in	w15_d779e8107
Pohlen	w1_d779e8112
bekannt	w3_d779e8115
genug,	w5_d779e8118
daß	w7_d779e8121
sich	w9_d779e8124
während	w11_d779e8127
dem	w1_d779e8132
letzteren	w3_d779e8135
Kriege	w5_d779e8138
verschiedene	w7_d779e8141
Pohlen	w9_d779e8144
die	w1_d779e8150
Umstände	w3_d779e8153
zu	w5_d779e8156
Nutze	w7_d779e8159
gemacht,	w9_d779e8162
und	w11_d779e8165
die	w13_d779e8169
Staaten	w1_d779e8174
des	w3_d779e8177
Königs	w5_d779e8180
überfallen,	w7_d779e8183
die	w9_d779e8186
Preus	w11_d779e8189
sische	w1_d779e8194
Unterthanen	w3_d779e8197
zu	w5_d779e8200
plündern	w7_d779e8203
und	w9_d779e8206
zu	w11_d779e8209
mis	w13_d779e8213
handeln.	w1_d779e8218
Die	w3_d779e8221
Klagen,	w5_d779e8224
welche	w7_d779e8227
der	w9_d779e8230
Gesand	w11_d779e8233
</p>
<p id="p16_d779e8236">
schafts=secretair	w1_d779e8240
Benoit	w3_d779e8243
beständig	w5_d779e8246
bey	w7_d779e8249
dem	w9_d779e8252
Ministerio	w1_d779e8257
der	w3_d779e8260
Republik	w5_d779e8263
Pohlen	w7_d779e8266
und	w9_d779e8269
des	w11_d779e8272
Königs	w1_d779e8277
zu	w3_d779e8280
führen,	w5_d779e8283
genöthiget	w7_d779e8286
ist,	w9_d779e8289
geben	w11_d779e8292
ebenfalls	w1_d779e8298
zu	w3_d779e8301
erkennen,	w5_d779e8304
daß	w7_d779e8307
viele	w9_d779e8310
Preußische	w11_d779e8313
Unterthanen,	w1_d779e8318
die	w3_d779e8321
doch	w5_d779e8324
die	w7_d779e8327
gerechteste	w9_d779e8330
For	w11_d779e8333
derungen	w1_d779e8338
haben,	w3_d779e8341
schon	w5_d779e8344
seit	w7_d779e8347
vielen	w9_d779e8350
Jahren	w11_d779e8353
die	w1_d779e8358
ihnen	w3_d779e8361
schuldige	w5_d779e8364
Gerechtigkeit	w7_d779e8367
vergeblich	w9_d779e8370
suchen,	w1_d779e8376
ohngeachtet	w3_d779e8379
deren	w5_d779e8382
Versagung	w7_d779e8385
die	w9_d779e8388
beleidigte	w1_d779e8393
Theile	w3_d779e8396
in	w5_d779e8399
die	w7_d779e8402
Nothwendigkeit	w9_d779e8405
se	w11_d779e8408
tzet,	w1_d779e8413
sich	w3_d779e8416
dieselbe	w5_d779e8419
selbsten	w7_d779e8422
zu	w9_d779e8425
verschaffen.	w11_d779e8428
Es	w13_d779e8432
würde	w1_d779e8437
daher	w3_d779e8440
gar	w5_d779e8443
nicht	w7_d779e8446
befremdlich	w9_d779e8449
seyn,	w11_d779e8452
wenn	w1_d779e8458
einige	w3_d779e8461
Königliche	w5_d779e8464
Unterthanen,	w7_d779e8467
die	w9_d779e8470
zu	w11_d779e8473
denen	w1_d779e8478
eben	w3_d779e8481
erwehnten	w5_d779e8484
Extremitäten	w7_d779e8487
gebracht	w9_d779e8490
worden,	w1_d779e8495
Mittel	w3_d779e8498
gesucht	w5_d779e8501
hätten,	w7_d779e8504
sich	w9_d779e8507
das	w11_d779e8510
jenige	w1_d779e8515
mit	w3_d779e8518
Gewalt	w5_d779e8521
wiederum	w7_d779e8524
zu	w9_d779e8527
verschaf	w11_d779e8530
fen,	w1_d779e8536
was	w3_d779e8539
ihnen	w5_d779e8542
durch	w7_d779e8545
eben	w9_d779e8548
diesen	w11_d779e8551
Weg	w13_d779e8555
ab	w15_d779e8558
genommen	w1_d779e8563
worden.	w3_d779e8566
Man	w5_d779e8569
hat	w7_d779e8572
auch	w9_d779e8575
ganz	w11_d779e8578
gewisse	w1_d779e8583
Nachrichten,	w3_d779e8586
daß	w5_d779e8589
ein	w7_d779e8592
Theil	w9_d779e8595
der	w11_d779e8598
Unordnungen,	w1_d779e8603
worüber	w3_d779e8606
man	w5_d779e8609
sich	w7_d779e8612
beschwe	w9_d779e8615
ret,	w1_d779e8621
von	w3_d779e8624
denen	w5_d779e8627
Marodeurs,	w7_d779e8630
unter	w9_d779e8633
Preußi	w11_d779e8636
schem	w1_d779e8641
Namen	w3_d779e8644
und	w5_d779e8647
Uniform,	w7_d779e8650
begangen	w9_d779e8653
wor	w11_d779e8656
den,	w1_d779e8661
die	w3_d779e8664
man	w5_d779e8667
mithin	w7_d779e8670
der	w9_d779e8673
eigenen	w11_d779e8676
Verfol	w13_d779e8680
gung	w1_d779e8685
und	w3_d779e8688
Bestrafung	w5_d779e8691
der	w7_d779e8694
Republik	w9_d779e8697
über	w11_d779e8700
lassen	w1_d779e8706
muß.	w3_d779e8709
</p>
<p id="p18_d779e8712">
Gleichwie	w1_d779e8716
man	w3_d779e8719
nun	w5_d779e8722
die	w7_d779e8725
in	w9_d779e8728
Polen	w11_d779e8731
vorge	w13_d779e8735
gangenen	w1_d779e8740
Unordnungen	w3_d779e8743
keineswegs	w5_d779e8746
dem	w7_d779e8749
Kö	w9_d779e8752
nig	w1_d779e8757
zuschreiben	w3_d779e8760
kan,	w5_d779e8763
sondern	w7_d779e8766
denselben	w9_d779e8769
viel	w11_d779e8772
mehr	w1_d779e8778
zum	w3_d779e8781
Theil	w5_d779e8784
abgeholfen	w7_d779e8787
worden,	w9_d779e8790
und	w11_d779e8793
so	w13_d779e8797
viel	w1_d779e8802
möglich	w3_d779e8805
noch	w5_d779e8808
weiter	w7_d779e8811
abgeholfen	w9_d779e8814
werden	w11_d779e8817
soll,	w1_d779e8822
als	w3_d779e8825
schmeicheln	w5_d779e8828
sich	w7_d779e8831
Se.	w9_d779e8834
Majestät	w11_d779e8837
der	w13_d779e8841
König	w1_d779e8846
und	w3_d779e8849
die	w5_d779e8852
Republick	w7_d779e8855
von	w9_d779e8858
Polen	w11_d779e8861
werden	w13_d779e8865
der	w1_d779e8871
aufrichtigen	w3_d779e8874
Gesinnungen	w5_d779e8877
Gerechtigkeit	w7_d779e8880
wiederfahren	w1_d779e8885
lassen,	w3_d779e8888
vermög	w5_d779e8891
welchen	w7_d779e8894
Aller	w9_d779e8897
höchst=dieselbe	w1_d779e8902
alle	w3_d779e8905
mögliche	w5_d779e8908
Mittel	w7_d779e8911
ergrif	w9_d779e8914
fen,	w1_d779e8919
um	w3_d779e8922
dero	w5_d779e8925
Freundschaft	w7_d779e8928
fernerhin	w9_d779e8931
zu	w11_d779e8934
be	w13_d779e8938
festiegen	w1_d779e8944
und	w3_d779e8947
zu	w5_d779e8950
unterhalten.”	w7_d779e8953
</p>
<head id="h2_d779e8959">
Kurzgefaßte	w1_d779e8963
Nachrichten.	w3_d779e8966
</head>
<p id="p4_d779e8969">
Zu	w1_d779e8973
Paris	w3_d779e8976
stellte	w5_d779e8979
man	w7_d779e8982
im	w9_d779e8985
vorigen	w11_d779e8988
Monate	w13_d779e8992
auf	w1_d779e8997
dem	w3_d779e9000
französischen	w5_d779e9003
Theater	w7_d779e9006
ein	w9_d779e9009
Schau	w11_d779e9012
spiel	w1_d779e9017
vor:	w3_d779e9020
Mauco,	w5_d779e9023
König	w7_d779e9026
in	w9_d779e9029
Pern,	w11_d779e9032
betitelt.	w13_d779e9036
Dieses	w1_d779e9042
mittelmäßige	w3_d779e9045
Stück	w5_d779e9048
wolte	w7_d779e9051
anfangs	w9_d779e9054
nicht	w1_d779e9059
viel	w3_d779e9062
Beyfall	w5_d779e9065
finden.	w7_d779e9068
Der	w9_d779e9071
Verfasser	w11_d779e9074
</p>
<p id="p10_d779e9087">
übersahe	w1_d779e9091
solches	w3_d779e9094
noch	w5_d779e9097
einmal,	w7_d779e9100
verbesserte	w9_d779e9103
es,	w11_d779e9106
und	w1_d779e9111
führte	w3_d779e9114
es	w5_d779e9117
sodann	w7_d779e9120
zu	w9_d779e9123
Choist	w11_d779e9126
auf,	w13_d779e9130
wo	w15_d779e9133
sich	w17_d779e9136
der	w1_d779e9141
Hof	w3_d779e9144
damals	w5_d779e9147
befand.	w7_d779e9150
Es	w9_d779e9153
erhielte	w11_d779e9156
Bey	w13_d779e9160
fall:	w1_d779e9166
und	w3_d779e9169
weil	w5_d779e9172
Se.	w7_d779e9175
Majestät	w9_d779e9178
der	w11_d779e9181
König	w13_d779e9185
be	w15_d779e9188
sonders	w1_d779e9193
an	w3_d779e9196
dem	w5_d779e9199
Character	w7_d779e9202
des	w9_d779e9205
Mauco	w11_d779e9208
einen	w13_d779e9212
großen	w1_d779e9217
Wolgefallen	w3_d779e9220
bezeugten,	w5_d779e9223
als	w7_d779e9226
an	w9_d779e9229
wel	w11_d779e9232
chem	w1_d779e9237
die	w3_d779e9240
Sanftmuth,	w5_d779e9243
Güte	w7_d779e9246
und	w9_d779e9249
Billigkeit	w11_d779e9252
lebhaft	w1_d779e9258
abgebildet	w3_d779e9261
war;	w5_d779e9264
so	w7_d779e9267
wurde	w9_d779e9270
der	w11_d779e9273
Ver	w13_d779e9277
fasser	w1_d779e9282
ungemein	w3_d779e9285
applaudiret,	w5_d779e9288
als	w7_d779e9291
er	w9_d779e9294
durch	w11_d779e9297
einen	w1_d779e9302
der	w3_d779e9305
Acteurs	w5_d779e9308
folgende	w7_d779e9311
auf	w9_d779e9314
der	w11_d779e9317
Stelle	w13_d779e9321
verfertigte	w1_d779e9326
Strophe	w3_d779e9329
von	w5_d779e9332
4.	w7_d779e9335
Versen	w9_d779e9338
recitiren	w11_d779e9341
ließ:	w1_d779e9347
</p>
<p id="p12_d779e9351">
Digne	w1_d779e9355
par	w3_d779e9358
ses	w5_d779e9361
vertus	w7_d779e9364
d'une	w9_d779e9367
gloire	w11_d779e9370
immor	w13_d779e9374
telle:	w1_d779e9379
</p>
<head id="h2_d779e9385">
J'ai	w1_d779e9389
peint	w3_d779e9392
un	w5_d779e9395
Roi	w7_d779e9398
juste	w9_d779e9401
&	w11_d779e9404
clement,	w13_d779e9408
</head>
<head id="h2_d779e9414">
Pouvois-je	w1_d779e9418
le	w3_d779e9421
peindre	w5_d779e9424
autrement?	w7_d779e9427
Tavois	w1_d779e9432
mon	w3_d779e9435
Maltre	w5_d779e9438
pour	w7_d779e9441
Modéle.	w9_d779e9444
</head>
<p id="p4_d779e9447">
D.i.	w1_d779e9451
Jch	w3_d779e9454
habe	w5_d779e9457
einen	w7_d779e9460
gerechten	w9_d779e9463
und	w11_d779e9466
gnä	w13_d779e9470
digen	w1_d779e9475
König	w3_d779e9478
vorgestellet,	w5_d779e9481
der	w7_d779e9484
wegen	w9_d779e9487
seiner	w11_d779e9490
Tugenden	w1_d779e9495
eines	w3_d779e9498
unsterblichen	w5_d779e9501
Ruhms	w7_d779e9504
wür	w9_d779e9507
dig	w1_d779e9513
ist;	w3_d779e9516
konte	w5_d779e9519
ich	w7_d779e9522
ihn	w9_d779e9525
aber	w11_d779e9528
wohl	w13_d779e9532
anders	w15_d779e9535
vorstellen?	w1_d779e9540
Jch	w3_d779e9543
hatte	w5_d779e9546
ja	w7_d779e9549
meinen	w9_d779e9552
Herrn	w11_d779e9555
zum	w13_d779e9559
Muster.	w1_d779e9564
</p>
<p id="p6_d779e9567">
Am	w1_d779e9571
29.	w3_d779e9574
vorigen	w5_d779e9577
Monats	w7_d779e9580
entstand	w9_d779e9583
in	w11_d779e9586
der	w13_d779e9590
Gegend	w1_d779e9595
von	w3_d779e9598
Goinville	w5_d779e9601
ein	w7_d779e9604
entsetzliches	w9_d779e9607
Unge	w11_d779e9610
witter	w1_d779e9615
mit	w3_d779e9618
so	w5_d779e9621
häufigem	w7_d779e9624
und	w9_d779e9627
starken	w11_d779e9630
Hagel,	w13_d779e9634
daß	w1_d779e9640
dadurch	w3_d779e9643
in	w5_d779e9646
sehr	w7_d779e9649
kurzer	w9_d779e9652
Zeit	w11_d779e9655
die	w13_d779e9659
Feld	w15_d779e9662
früchte	w1_d779e9667
von	w3_d779e9670
22.	w5_d779e9673
Dorfschaften	w7_d779e9676
völlig	w9_d779e9679
darnie	w11_d779e9682
dergeschlagen	w1_d779e9687
und	w3_d779e9690
verderbt	w5_d779e9693
worden.	w7_d779e9696
Das	w9_d779e9699
Unglück	w1_d779e9704
ist	w3_d779e9707
um	w5_d779e9710
so	w7_d779e9713
grösser	w9_d779e9716
als	w11_d779e9719
viele	w13_d779e9723
arme	w15_d779e9726
Landleute	w1_d779e9732
dadurch	w3_d779e9735
genöhtiget	w5_d779e9738
worden,	w7_d779e9741
ihre	w9_d779e9744
Wohnungen	w1_d779e9749
zu	w3_d779e9752
verlassen,	w5_d779e9755
und	w7_d779e9758
den	w9_d779e9761
benöhtig	w11_d779e9764
ten	w1_d779e9769
Unterhalt	w3_d779e9772
anderwärts	w5_d779e9775
zu	w7_d779e9778
suchen.	w9_d779e9781
Noch	w11_d779e9784
weit	w1_d779e9789
unglücklicher	w3_d779e9792
ist	w5_d779e9795
die	w7_d779e9798
Stadt	w9_d779e9801
Granville	w11_d779e9804
in	w13_d779e9808
Nieder=normandie	w1_d779e9814
gewesen,	w3_d779e9817
als	w5_d779e9820
woselbst	w7_d779e9823
den	w9_d779e9826
30.	w1_d779e9831
Morgens	w3_d779e9834
zwischen	w5_d779e9837
5.	w7_d779e9840
und	w9_d779e9843
6.	w11_d779e9846
Uhr	w13_d779e9850
in	w15_d779e9853
der	w17_d779e9856
Vorstadt	w1_d779e9861
Feuer	w3_d779e9864
ausgekommen,	w5_d779e9867
und	w7_d779e9870
in	w9_d779e9873
gar	w11_d779e9876
kurzer	w1_d779e9881
Zeit	w3_d779e9884
93.	w5_d779e9887
Häuser	w7_d779e9890
durch	w9_d779e9893
die	w11_d779e9896
Flammen	w13_d779e9900
verzehrt,	w1_d779e9906
und	w3_d779e9909
dadurch	w5_d779e9912
196.	w7_d779e9915
Familien	w9_d779e9918
in	w11_d779e9921
das	w1_d779e9926
äußerste	w3_d779e9929
Elend	w5_d779e9932
versetzet	w7_d779e9935
worden.	w9_d779e9938
Eine	w11_d779e9941
Weibsperson	w1_d779e9946
ist	w3_d779e9949
dabey	w5_d779e9952
verbrannt.	w7_d779e9955
Bey	w9_d779e9958
dem	w11_d779e9961
heftigen	w1_d779e9966
Winde	w3_d779e9969
würde	w5_d779e9972
das	w7_d779e9975
Feuer	w9_d779e9978
sich	w11_d779e9981
noch	w13_d779e9985
</p>
<p id="p8_d779e9988">
weiter	w1_d779e9992
verbreitet	w3_d779e9995
haben,	w5_d779e9998
wenn	w7_d779e10001
nicht	w9_d779e10004
das	w11_d779e10007
al	w13_d779e10011
|	w15_d779e10014
	w17_d779e10017
da	w1_d779e10022
liegende	w3_d779e10025
Commando	w5_d779e10028
von	w7_d779e10031
der	w9_d779e10034
Artillerie	w11_d779e10037
eine	w1_d779e10042
treffliche	w3_d779e10045
Gegenwehr	w5_d779e10048
gethan	w7_d779e10051
hätte.	w9_d779e10054
</p>
<head id="h2_d779e10060">
Wien	w1_d779e10064
den	w3_d779e10067
30.	w5_d779e10070
Julii	w7_d779e10073
1763.	w9_d779e10076
</head>
<p id="p4_d779e10079">
Samstags	w1_d779e10083
den	w3_d779e10086
27.	w5_d779e10089
Julii	w7_d779e10092
nach	w9_d779e10095
eingenom	w11_d779e10098
menen	w1_d779e10103
Fruhemahl	w3_d779e10106
seynd	w5_d779e10109
Se.	w7_d779e10112
Maje	w9_d779e10115
stät	w1_d779e10120
der	w3_d779e10123
Kaiser	w5_d779e10126
mit	w7_d779e10129
Jhren	w9_d779e10132
Königlichen	w11_d779e10135
Hoh	w13_d779e10139
heiten,	w1_d779e10145
denen	w3_d779e10148
Erzherzogen	w5_d779e10151
Joseph,	w7_d779e10154
und	w9_d779e10157
Leo	w11_d779e10160
pold	w1_d779e10165
in	w3_d779e10168
Gefolge	w5_d779e10171
einiger	w7_d779e10174
Cavalieren	w9_d779e10177
nacher	w11_d779e10180
Stammerstorf	w1_d779e10185
jenseits	w3_d779e10188
der	w5_d779e10191
Donau	w7_d779e10194
abgegan	w9_d779e10197
gen,	w1_d779e10202
und	w3_d779e10205
haben	w5_d779e10208
in	w7_d779e10211
daselbstiger	w9_d779e10214
Revier	w11_d779e10217
mit	w13_d779e10221
einer	w1_d779e10227
Parforce	w3_d779e10230
Jagd	w5_d779e10233
sich	w7_d779e10236
erlustiget.	w9_d779e10239
</p>
<p id="p6_d779e10242">
Donnerstags	w1_d779e10246
den	w3_d779e10249
28.	w5_d779e10252
Julii	w7_d779e10255
seynd	w9_d779e10258
in	w11_d779e10261
der	w13_d779e10265
Hof=kapelle	w1_d779e10270
für	w3_d779e10273
nachfolgende	w5_d779e10276
hohe	w7_d779e10279
adeliche	w9_d779e10282
Stern=kreutz=ordens=damen,	w1_d779e10287
als	w3_d779e10290
für	w5_d779e10293
die	w7_d779e10296
(Titl.)	w1_d779e10302
Frau	w3_d779e10305
Anna	w5_d779e10308
Gräfin	w7_d779e10311
von	w9_d779e10314
Zanardi,	w11_d779e10317
geborne	w1_d779e10322
Marchesin	w3_d779e10325
Guerriera,	w5_d779e10328
so	w7_d779e10331
zu	w9_d779e10334
Man	w11_d779e10337
tua	w1_d779e10342
in	w3_d779e10345
diesem	w5_d779e10348
Jahr	w7_d779e10351
verschieden;	w9_d779e10354
dann	w11_d779e10357
für	w13_d779e10361
die	w15_d779e10364
(Titl.)	w1_d779e10369
Frau	w3_d779e10372
Theresia	w5_d779e10375
Gräfin	w7_d779e10378
von	w9_d779e10381
Wilden	w11_d779e10384
stein,	w1_d779e10390
geborne	w3_d779e10393
Herrin	w5_d779e10396
von	w7_d779e10399
Stubenberg,	w9_d779e10402
wel	w11_d779e10405
che	w1_d779e10410
den	w3_d779e10413
1.	w5_d779e10416
Julii	w7_d779e10419
lanffenden	w9_d779e10422
Jahrs	w11_d779e10425
zu	w13_d779e10429
Gratz	w15_d779e10432
in	w1_d779e10437
GOtt	w3_d779e10440
seelig	w5_d779e10443
