<doc id="edoc_wd_1780-12-02" attrs="word" year="1780" month="12" day="02" corpus="1">
<p id="p4">
Monarchinn	w23
<g/>
,
nur	w4154
mit	w4155
Ablegung	w4156
der	w4157
Pleureusen	w4158
<g/>
,
und	w4160
mit	w4161
angeloffenen	w4162
Degen	w4163
<g/>
;
</p>
<p id="p41">
Sodann	w4165
die	w4166
fernere	w4167
6	w4168
Wochen	w4169
in	w4170
or=dinaire	w4171
<g/>
=
schwarz	w4173
tüchenen	w4174
Kleidern	w4175
mit	w4176
seidenen	w4177
Knöpfen	w4178
und	w4179
derley	w4180
Unterfutter	w4181
mit	w4182
glatten	w4183
Manschetten	w4184
<g/>
,
dann	w4186
schwarz	w4187
angeloffenen	w4188
Degen	w4189
und	w4190
Schnallen	w4191
<g/>
;
</p>
<p id="p42">
Und	w4193
endlich	w4194
die	w4195
letzte	w4196
6	w4197
Wochen	w4198
in	w4199
voriger	w4200
Kleidung	w4201
<g/>
,
mit	w4203
Manschetten	w4204
von	w4205
Spitzen	w4206
oder	w4207
Entoilage	w4208
<g/>
,
mit	w4210
gefärbten	w4211
Degen	w4212
und	w4213
Schnallen	w4214
<g/>
,
und	w4216
nach	w4217
Will=kuhr	w4218
<g/>
=
mit	w4220
weißen	w4221
Strümpfen	w4222
<g/>
,
auch	w4224
weis=sen	w4225
<g/>
=
mit	w4227
schwarz	w4228
besetzten	w4229
Vesten	w4230
<g/>
,
und	w4232
mit	w4233
ächten	w4234
Geschmuck	w4235
<g/>
.
</p>
<p id="p43">
Die	w4237
k	w4238
<g/>
.
k	w4240
<g/>
.
Ministers	w4242
<g/>
,
geheimen	w4244
Räthe	w4245
<g/>
,
Kammerherren	w4247
<g/>
,
und	w4249
die	w4250
äußere	w4251
Hofstaat	w4252
geben	w4253
schwarze	w4254
Livree	w4255
<g/>
.
</p>
<p id="p44">
Die	w4257
Dames	w4258
erscheinen	w4259
die	w4260
erste	w4261
7	w4262
Wo=chen	w4263
<g/>
=
in	w4265
schwarz	w4266
wollenen	w4267
Zeugen	w4268
<g/>
,
mit	w4270
Kopf	w4271
<g/>
=
und	w4273
Garniturenaufputz	w4274
<g/>
;
dann	w4276
Stirnenzüngel	w4277
von	w4278
schwarzen	w4279
Gaze	w4280
d'J=talie	w4281
<g/>
=
<g/>
,
mit	w4284
schwarzen	w4285
Geschmuck	w4286
<g/>
,
Hand=schuhen	w4288
<g/>
=
<g/>
,
Fächern	w4291
und	w4292
schwarz	w4293
angeloffe=nen	w4294
<g/>
=
Schnallen	w4296
<g/>
;
</p>
<p id="p45">
Die	w4298
weitere	w4299
7	w4300
Wochen	w4301
ohne	w4302
Verän=derung	w4303
<g/>
=
<g/>
;
</p>
<p id="p46">
Ferners	w4306
durch	w4307
6	w4308
Wochen	w4309
im	w4310
schwar=zen	w4311
<g/>
=
glatten	w4313
Gros	w4314
de	w4315
tour	w4316
<g/>
,
mit	w4318
schwar=zen	w4319
<g/>
=
Kopfaufputz	w4321
<g/>
,
und	w4323
Stirnzüngel	w4324
<g/>
,
und	w4326
mit	w4327
weißen	w4328
Garnituren	w4329
<g/>
,
beedes	w4331
von	w4332
Ga=ze	w4333
<g/>
=
d'Jtalie	w4335
<g/>
,
mit	w4337
schwarzen	w4338
Geschmuck	w4339
<g/>
,
weiß	w4341
und	w4342
schwarzen	w4343
Fächern	w4344
<g/>
,
und	w4346
Schuhen	w4347
<g/>
;
</p>
<p id="p47">
Und	w4349
endlich	w4350
die	w4351
letzte	w4352
6	w4353
Wochen	w4354
in	w4355
vo=riger	w4356
<g/>
=
Kleidung	w4358
<g/>
,
mit	w4360
Kopf	w4361
<g/>
=
und	w4363
Garni=turenaufputz	w4364
<g/>
=
von	w4366
Spitzen	w4367
<g/>
,
Blondes	w4369
oder	w4370
</p>
<p id="p48">
Entailagen	w4371
<g/>
,
ohne	w4373
Franzeln	w4374
<g/>
,
mit	w4376
weis=sen	w4377
<g/>
=
Fächern	w4379
und	w4380
Schuhen	w4381
<g/>
,
und	w4383
mit	w4384
ächten	w4385
Geschmuck	w4386
<g/>
.
</p>
<p id="p49">
Die	w4388
k	w4389
<g/>
.
k	w4391
<g/>
.
Ministers	w4393
<g/>
,
geheimen	w4395
Räthe	w4396
<g/>
,
und	w4398
Kammerherren	w4399
Gemahlinnen	w4400
<g/>
,
und	w4402
Wittiben	w4403
geben	w4404
schwarze	w4405
Livree	w4406
<g/>
.
</p>
<p id="p50">
Den	w4408
29	w4409
<g/>
.
Winterm	w4411
<g/>
.
wurden	w4413
in	w4414
der	w4415
k	w4416
<g/>
.
k	w4418
<g/>
.
Kammer	w4420
<g/>
=
Kapelle	w4422
für	w4423
die	w4424
im	w4425
Herrn	w4426
ent=schlaffene	w4427
<g/>
=
Hochadeliche	w4429
Stern	w4430
<g/>
=
Kreuz	w4432
<g/>
=
Or=densdame	w4434
<g/>
=
<g/>
:
Johanna	w4437
Gräfin	w4438
Vandernath	w4439
<g/>
,
gebohrne	w4441
Freyinn	w4442
v	w4443
<g/>
.
Künitz	w4445
<g/>
,
die	w4447
gewöhn=lichen	w4448
<g/>
=
Seelmessen	w4450
gelesen	w4451
<g/>
.
</p>
<head id="hl10">
Verzeichniß	w4453
der	w4454
Verstorbenen	w4455
zu	w4456
Wien	w4457
in	w4458
und	w4459
vor	w4460
der	w4461
Stadt	w4462
<g/>
.
</head>
<list id="li3">
Den	w4464
28	w4465
<g/>
.
Winterm	w4467
<g/>
.
Jn	w4469
der	w4470
Stadt	w4471
<g/>
.
Joh	w4473
<g/>
.
Mich	w4475
<g/>
.
Landstätter	w4477
<g/>
.
herrs	w4479
<g/>
.
Kellergehülf	w4481
<g/>
,
Nr	w4483
<g/>
.
146	w4485
<g/>
.
in	w4487
d	w4488
<g/>
.
Wallnerstr	w4490
<g/>
.
alt	w4492
47	w4493
J	w4494
<g/>
.
</list>
<head id="hl11">
Den	w4464
28	w4465
<g/>
.
Winterm	w4467
<g/>
.
Jn	w4469
der	w4470
Stadt	w4471
<g/>
.
</head>
<list id="li4">
Vor	w4496
der	w4497
Stadt	w4498
<g/>
.
Dem	w4500
Titl	w4501
<g/>
.
Hrn	w4503
Joh	w4504
<g/>
.
v	w4506
<g/>
.
Avrange	w4508
<g/>
,
k	w4510
<g/>
.
k	w4512
<g/>
.
Oberstlieut	w4514
<g/>
.
s	w4516
<g/>
.
S	w4518
<g/>
.
Gerard	w4520
<g/>
,
Nr	w4522
8	w4523
<g/>
.
zu	w4525
Mariah	w4526
<g/>
.
alt	w4528
18	w4529
J	w4530
<g/>
.
Titl	w4532
Fr	w4533
<g/>
.
Elisab	w4535
<g/>
.
v	w4537
<g/>
.
Willingerin	w4539
<g/>
,
k	w4541
<g/>
.
k	w4543
<g/>
.
Kriegskom=miss	w4545
<g/>
=
<g/>
.
Wit	w4548
<g/>
.
Nr	w4550
<g/>
.
173	w4552
<g/>
.
in	w4554
d	w4555
<g/>
.
Leopoldst	w4557
<g/>
.
alt	w4559
72	w4560
J	w4561
<g/>
.
Dem	w4563
Hrn	w4564
Joh	w4565
<g/>
.
Töpfner	w4567
<g/>
,
Stadtmautkollekt	w4569
<g/>
.
s	w4571
<g/>
.
K	w4573
<g/>
.
Jos	w4575
<g/>
.
Nr	w4577
206	w4578
<g/>
.
in	w4580
d	w4581
<g/>
.
Leopoldst	w4583
<g/>
.
alt	w4585
3	w4586
J	w4587
<g/>
.
Dem	w4589
Joh	w4590
<g/>
.
Vogt	w4592
<g/>
,
burgl	w4594
<g/>
.
Schustermeist	w4596
<g/>
.
s	w4598
<g/>
.
K	w4600
<g/>
.
Jak	w4602
<g/>
.
Nr	w4604
63	w4605
<g/>
.
am	w4607
Neustift	w4608
<g/>
,
alt	w4610
2	w4611
J	w4612
<g/>
.
Dem	w4614
Pet	w4615
<g/>
.
Petzlmar	w4617
<g/>
,
s	w4619
<g/>
.
W	w4621
<g/>
.
Anna	w4623
<g/>
,
N	w4625
47	w4626
<g/>
.
im	w4628
Ler=chenf	w4629
<g/>
=
<g/>
.
alt	w4632
42	w4633
J	w4634
<g/>
.
Ant	w4636
<g/>
.
Hofinger	w4638
<g/>
,
k	w4640
<g/>
.
k	w4642
<g/>
.
Pontonier	w4644
<g/>
,
Nr	w4646
<g/>
.
22	w4648
<g/>
.
zu	w4650
St	w4651
<g/>
.
Ulrich	w4653
<g/>
.
alt	w4655
85	w4656
J	w4657
<g/>
.
Dem	w4659
Jos	w4660
<g/>
.
Eifler	w4662
<g/>
,
Schust	w4664
<g/>
.
s	w4666
<g/>
.
K	w4668
<g/>
.
Theres	w4670
<g/>
.
Nr	w4672
<g/>
.
27	w4674
<g/>
.
am	w4676
Thury	w4677
<g/>
,
alt	w4679
4	w4680
J	w4681
<g/>
.
Dem	w4683
Jos	w4684
<g/>
.
Spann	w4686
<g/>
,
Polizeysold	w4688
<g/>
.
s	w4690
<g/>
.
K	w4692
<g/>
.
Joh	w4694
<g/>
.
Nr	w4696
<g/>
.
142	w4698
<g/>
.
am	w4700
Alsterbach	w4701
<g/>
,
alt	w4703
4	w4704
J	w4705
<g/>
.
Theres	w4707
<g/>
.
Wagenseilin	w4709
<g/>
,
Wit	w4711
<g/>
.
alt	w4713
60	w4714
J	w4715
<g/>
.
Thomas	w4717
Schenkwil	w4718
<g/>
.
Zeichmachgs	w4720
<g/>
.
alt	w4722
25	w4723
J	w4724
<g/>
.
beed	w4726
<g/>
.
im	w4728
heil	w4729
Treyf	w4730
<g/>
.
Spital	w4732
<g/>
.
Gotthard	w4734
Mang	w4735
<g/>
,
alt	w4737
71	w4738
J	w4739
<g/>
.
im	w4741
gr	w4742
<g/>
.
Armenh	w4744
<g/>
.
Ant	w4746
Salomon	w4747
<g/>
,
Gmr	w4749
<g/>
,
alt	w4751
29	w4752
J	w4753
<g/>
.
im	w4755
Milit	w4756
Spital	w4757
<g/>
.
Joh	w4759
<g/>
.
Steindigl	w4761
<g/>
,
Kutsch	w4763
<g/>
.
alt	w4765
27	w4766
J	w4767
beyn	w4768
Barmherz	w4769
<g/>
.
Magd	w4771
<g/>
.
Hofmanin	w4773
<g/>
,
led	w4775
<g/>
.
alt	w4777
26	w4778
J	w4779
im	w4780
Contum	w4781
<g/>
.
Georg	w4783
Seimann	w4784
<g/>
,
Polizeysoldat	w4786
<g/>
,
alt	w4788
33	w4789
J	w4790
<g/>
.
Florian	w4792
Fürgott	w4793
<g/>
,
Tagl	w4795
<g/>
.
v	w4797
<g/>
.
Armenleutkott	w4799
<g/>
.
a	w4801
53	w4802
J	w4803
<g/>
.
beede	w4805
im	w4806
Bäckenhäuse	w4807
</list>
<head id="hl12">
Vor	w4496
der	w4497
Stadt	w4498
<g/>
.
</head>
<p id="p51">
Summa	w4808
17	w4809
<g/>
.
Personen	w4811
<g/>
,
darunter	w4813
4	w4814
<g/>
.
Kind	w4816
<g/>
.
</p>
<list id="li5">
Den	w4818
29	w4819
Winterm	w4820
<g/>
.
Jn	w4822
der	w4823
Stadt	w4824
<g/>
.
Dem	w4826
Joh	w4827
<g/>
.
Lochner	w4829
<g/>
,
burgl	w4831
<g/>
.
Greißl	w4833
<g/>
.
s	w4835
<g/>
.
W	w4837
<g/>
.
Ursula	w4839
<g/>
,
Nr	w4841
<g/>
.
503	w4843
<g/>
.
m	w4845
hoh	w4846
<g/>
.
Martl	w4848
<g/>
,
alt	w4850
27	w4851
J	w4852
<g/>
.
Dem	w4854
Simon	w4855
Leser	w4856
<g/>
,
Maurergs	w4858
<g/>
.
s	w4860
K	w4861
<g/>
.
Rosalia	w4863
<g/>
,
Nr	w4865
<g/>
.
381	w4867
<g/>
.
in	w4869
d	w4870
<g/>
.
Renng	w4872
<g/>
.
alt	w4874
4	w4875
J	w4876
<g/>
.
</list>
<head id="hl13">
Den	w4818
29	w4819
Winterm	w4820
<g/>
.
Jn	w4822
der	w4823
Stadt	w4824
<g/>
.
</head>
<list id="li6">
Vor	w4878
der	w4879
Stadt	w4880
<g/>
.
Dem	w4882
Franz	w4883
Wendl	w4884
<g/>
,
Schreib	w4886
<g/>
.
s	w4888
<g/>
.
W	w4890
<g/>
.
Rosina	w4892
<g/>
,
19	w4894
<g/>
.
am	w4896
Spitalb	w4897
<g/>
.
alt	w4899
34	w4900
<g/>
.
J	w4902
<g/>
.
Dem	w4904
Valentin	w4905
Kögl	w4906
<g/>
,
Tischl	w4908
<g/>
.
s	w4910
<g/>
.
W	w4912
<g/>
.
Magd	w4914
<g/>
.
224	w4916
<g/>
.
am	w4918
ob	w4919
<g/>
.
Neust	w4921
<g/>
.
alt	w4923
46	w4924
J	w4925
<g/>
.
Dem	w4927
Christoph	w4928
Bibelmann	w4929
<g/>
,
Tagl	w4931
<g/>
.
s	w4933
<g/>
.
W	w4935
Josepha	w4936
Nr	w4937
<g/>
.
43	w4939
<g/>
.
zu	w4941
Nikolsd	w4942
<g/>
.
alt	w4944
57	w4945
J	w4946
<g/>
.
Dem	w4948
Leopold	w4949
Zehenbauer	w4950
<g/>
,
Tagl	w4952
<g/>
.
s	w4954
<g/>
.
K	w4956
<g/>
.
Anna	w4958
<g/>
,
33	w4960
<g/>
.
zu	w4962
Mariah	w4963
<g/>
.
alt	w4965
4	w4966
J	w4967
<g/>
.
Adam	w4969
Heser	w4970
<g/>
,
Tagl	w4972
<g/>
.
Nr	w4974
<g/>
.
9	w4976
<g/>
.
am	w4978
Hunglgr	w4979
<g/>
.
a	w4981
<g/>
.
6	w4983
Dem	w4984
Jos	w4985
<g/>
.
Fahringer	w4987
<g/>
,
Tagl	w4989
<g/>
.
s	w4991
<g/>
.
K	w4993
<g/>
.
Jos	w4995
<g/>
.
Nr	w4997
<g/>
.
1	w4999
<g/>
.
Himmelpfortgr	w5001
<g/>
.
alt	w5003
3	w5004
J	w5005
<g/>
.
Marg	w5007
<g/>
.
Brucknerin	w5009
<g/>
.
Wit	w5011
<g/>
.
alt	w5013
96	w5014
J	w5015
<g/>
.
im	w5017
Sonnen	w5018
Anna	w5019
Kleblin	w5020
<g/>
,
Soldat	w5022
<g/>
.
W	w5024
<g/>
.
alt	w5026
64	w5027
J	w5028
<g/>
.
Maximilian	w5030
Till	w5031
<g/>
,
Tagl	w5033
<g/>
.
alt	w5035
54	w5036
S	w5037
<g/>
.
beede	w5039
Contum	w5040
<g/>
.
Elis	w5042
<g/>
.
Spitzerin	w5044
<g/>
,
Tagl	w5046
<g/>
.
Wit	w5048
<g/>
.
alt	w5050
74	w5051
J	w5052
<g/>
.
Anna	w5054
Stolzin	w5055
<g/>
,
Lehenlaq	w5057
<g/>
.
W	w5059
<g/>
.
alt	w5061
30	w5062
J	w5063
<g/>
.
beed	w5065
<g/>
.
Bäckenhäus	w5067
<g/>
.
</list>
<head id="hl14">
Vor	w4878
der	w4879
Stadt	w4880
<g/>
.
</head>
<p id="p52">
Summa	w5069
13	w5070
<g/>
.
Personen	w5072
<g/>
,
darunter	w5074
3	w5075
<g/>
.
Kind.	w5077
</p>
<list id="li7">
Den	w5078
30	w5079
<g/>
.
Winterm	w5081
<g/>
.
Jn	w5083
der	w5084
Stadt	w5085
<g/>
.
Die	w5087
hoch	w5088
und	w5089
wohlgeb	w5090
<g/>
.
Fr	w5092
<g/>
.
Mar	w5094
<g/>
.
Elisab	w5096
<g/>
.
verm	w5098
Gräfin	w5099
v	w5100
<g/>
.
Cordoua	w5102
<g/>
,
geb	w5104
<g/>
.
v	w5106
<g/>
.
Guarient	w5108
und	w5109
Ra	w5110
Nr	w5111
<g/>
.
1168	w5113
in	w5114
d	w5115
ob	w5116
<g/>
.
Breunerstr	w5118
<g/>
.
alt	w5120
85	w5121
J	w5122
<g/>
.
Franziska	w5124
Winterin	w5125
<g/>
,
bgl	w5127
<g/>
.
Schneid	w5129
<g/>
.
Wit	w5131
<g/>
.
im	w5133
Bür=gerspital	w5134
<g/>
=
<g/>
,
alt	w5137
72	w5138
J	w5139
<g/>
.
</list>
<head id="hl15">
Den	w5078
30	w5079
<g/>
.
Winterm	w5081
<g/>
.
Jn	w5083
der	w5084
Stadt	w5085
<g/>
.
</head>
<list id="li8">
Vor	w5141
der	w5142
Stadt	w5143
<g/>
.
Dem	w5145
Joh	w5146
<g/>
.
Nickl	w5148
<g/>
,
Lehenkutsch	w5150
<g/>
.
Nr	w5152
<g/>
.
64	w5154
<g/>
.
im	w5156
Lerchenf.	w5157
<g/>
.
alt	w5159
54	w5160
J	w5161
<g/>
.
Jvan	w5163
Stanisavsky	w5164
<g/>
,
Gmr	w5166
<g/>
,
alt	w5168
22	w5169
J	w5170
<g/>
.
im	w5172
Militär=spital	w5173
<g/>
=
<g/>
.
Jos	w5176
Steinl	w5177
<g/>
.
Schuhkn	w5179
<g/>
.
alt	w5181
37	w5182
J	w5183
<g/>
.
Joh	w5185
<g/>
.
Bloberger	w5187
<g/>
,
Hauskn	w5189
<g/>
.
alt	w5191
32	w5192
J	w5193
<g/>
.
Jak	w5195
<g/>
.
Kirchner	w5197
<g/>
,
Schneid	w5199
<g/>
.
alt	w5201
50	w5202
J	w5203
<g/>
.
alle	w5205
3	w5206
im	w5207
Bä=ckenhäus	w5208
<g/>
=
<g/>
.
</list>
<head id="hl16">
Vor	w5141
der	w5142
Stadt	w5143
<g/>
.
</head>
<p id="p53">
Summa	w5211
7	w5212
<g/>
.
Personen	w5214
<g/>
.
</p>
<p id="p54">
Von	w5216
dem	w5217
k	w5218
<g/>
.
k	w5220
<g/>
.
Versatzamte	w5222
wird	w5223
hiemit	w5224
erinnert	w5225
<g/>
,
womit	w5227
die	w5228
im	w5229
Monat	w5230
September	w5231
der	w5232
1779	w5233
allda	w5234
versetzt	w5235
<g/>
,
und	w5237
bis	w5238
anhero	w5239
erliegen	w5240
verbliebene	w5241
Pfänder	w5242
um	w5243
so	w5244
ge=wisser	w5245
<g/>
=
bis	w5247
18	w5248
<g/>
.
dies	w5250
Monats	w5251
December	w5252
be=richtigt	w5253
<g/>
=
<g/>
,
und	w5256
in	w5257
Sicherheit	w5258
gestellet	w5259
wer=den	w5260
<g/>
=
mögen	w5262
<g/>
,
als	w5264
in	w5265
widrigen	w5266
derley	w5267
Pfän=der	w5268
<g/>
=
als	w5270
verlassen	w5271
angesehen	w5272
<g/>
,
und	w5274
nach	w5275
vorhergegangener	w5276
innhaltlicher	w5277
Bekannt=machung	w5278
<g/>
=
<g/>
(
durch	w5281
den	w5282
Kundschaftsbogen	w5283
<g/>
)
in	w5285
den	w5286
folgenden	w5287
Tägen	w5288
als	w5289
den	w5290
19ten	w5291
und	w5292
20ten	w5293
dies	w5294
Monats	w5295
Decemb	w5296
<g/>
.
gewöhn=lich	w5298
<g/>
=
ausgefeilt	w5300
<g/>
,
und	w5302
an	w5303
die	w5304
Meistbietenden	w5305
werden	w5306
überlassen	w5307
werden	w5308
<g/>
.
</p>
<head id="hl17">
Londen	w5341
den	w5342
17	w5343
<g/>
.
Winterm	w5345
<g/>
.
</head>
<p id="p55">
Jn	w5347
der	w5348
ordentlichen	w5349
Hofzeitung	w5350
vom	w5351
dieses	w5352
<g/>
,
ist	w5354
folgender	w5355
Brief	w5356
des	w5357
Ge=nerals	w5358
<g/>
=
Sir	w5360
Heinrich	w5361
Clinton	w5362
an	w5363
Lord	w5364
Ger=maine	w5365
<g/>
=
dd	w5367
<g/>
.
Neuyork	w5369
12	w5370
Weinmon	w5371
<g/>
.
1780	w5373
erschienen	w5374
<g/>
:
</p>
<p id="p56">
„Mylord	w5376
<g/>
„
<g/>
!
Jn	w5379
meinem	w5380
besondern	w5381
Schreiben	w5382
von	w5383
gestrigem	w5384
Dato	w5385
hatte	w5386
ich	w5387
die	w5388
Ehre	w5389
<g/>
,
Eu	w5391
<g/>
.
Herrlichkeit	w5393
zu	w5394
melden	w5395
<g/>
,
daß	w5397
der	w5398
amerikanische	w5399
Major	w5400
Arnold	w5401
den	w5402
Dienst	w5403
der	w5404
Rebellen	w5405
verlassen	w5406
hätte	w5407
<g/>
,
und	w5409
unter	w5410
die	w5411
Fahnen	w5412
des	w5413
Königs	w5414
getretten	w5415
sey	w5416
<g/>
.
Eu	w5418
<g/>
.
Herrlichkeit	w5420
gab	w5421
ich	w5422
zugleich	w5423
ei=nen	w5424
<g/>
=
umständlichen	w5426
Bericht	w5427
von	w5428
den	w5429
Be=weggründen	w5430
<g/>
=
<g/>
,
die	w5433
ihn	w5434
zu	w5435
dieser	w5436
Entschlies=sung	w5437
<g/>
=
veranlasset	w5439
haben	w5440
<g/>
,
auch	w5442
von	w5443
dem	w5444
unglücklichen	w5445
Ausschlage	w5446
eines	w5447
Entwur=fs	w5448
<g/>
=
<g/>
,
welcher	w5451
<g/>
,
wenn	w5453
er	w5454
zu	w5455
seiner	w5456
Vollzie=hung	w5457
<g/>
=
gebracht	w5459
worden	w5460
wäre	w5461
<g/>
,
mich	w5463
die	w5464
Folgen	w5465
von	w5466
der	w5467
äussersten	w5468
Wichtigkeit	w5469
für	w5470
den	w5471
Dienst	w5472
Sr	w5473
<g/>
.
Majestät	w5475
hatte	w5476
hoffen	w5477
las=sen	w5478
<g/>
=
<g/>
;
allein	w5481
<g/>
,
er	w5483
ist	w5484
für	w5485
meinen	w5486
General=adjudanten	w5487
<g/>
=
<g/>
,
den	w5490
Major	w5491
Andre	w5492
<g/>
,
sehr	w5494
mis=lich	w5495
<g/>
=
ausgefallen	w5497
<g/>
,
und	w5499
<g/>
,
nachdem	w5501
er	w5502
in	w5503
Gefangenschaft	w5504
gerathen	w5505
<g/>
,
von	w5507
einem	w5508
Kriegsgerichte	w5509
rebellischer	w5510
Offiziere	w5511
zum	w5512
Tode	w5513
verurtheilet	w5514
worden	w5515
<g/>
,
welches	w5517
Ur=theil	w5518
<g/>
=
der	w5520
Rebellische	w5521
General	w5522
Washing=ton	w5523
<g/>
=
am	w5525
2	w5526
<g/>
.
dieses	w5528
an	w5529
gedachtem	w5530
unglück=lichen	w5531
<g/>
=
Offizier	w5533
hat	w5534
vollziehen	w5535
lassen	w5536
<g/>
.
Jch	w5538
bedaure	w5539
das	w5540
traurige	w5541
Schicksal	w5542
dieses	w5543
Edel=mannes	w5544
<g/>
=
<g/>
.
Sein	w5547
Beystand	w5548
war	w5549
mir	w5550
sehr	w5551
schätzbar	w5552
<g/>
.
Er	w5554
versprach	w5555
seinem	w5556
Vater=lande	w5557
<g/>
=
Ehre	w5559
zu	w5560
machen	w5561
<g/>
,
und	w5563
eine	w5564
Zierde	w5565
seines	w5566
Berufs	w5567
zu	w5568
seyn	w5569
<g/>
.
<g/>
“
</p>
<p id="p57">
„Jn	w5572
<g/>
„
meinem	w5574
Nro	w5575
<g/>
.
104	w5577
bezeichneten	w5578
Berichte	w5579
habe	w5580
ich	w5581
die	w5582
Ehre	w5583
gehabt	w5584
<g/>
,
Eu	w5586
<g/>
.
Herrlichkeit	w5588
die	w5589
Verhaltungen	w5590
in	w5591
der	w5592
Ab=schrift	w5593
<g/>
=
zugehen	w5595
zu	w5596
lassen	w5597
<g/>
,
die	w5599
ich	w5600
dem	w5601
Ge=neralmajor	w5602
<g/>
=
Lestie	w5604
zu	w5605
geben	w5606
vorhatte	w5607
<g/>
,
und	w5609
welchem	w5610
ich	w5611
das	w5612
Kommando	w5613
von	w5614
der	w5615
Aus=führung	w5616
<g/>
=
auf	w5618
Chesapeack	w5619
aufgetragen	w5620
ha=be	w5621
<g/>
=
<g/>
,
damit	w5624
Eu	w5625
<g/>
.
Herrlichkeit	w5627
die	w5628
vornehm=sten	w5629
<g/>
=
Gegenstände	w5631
davon	w5632
einsehen	w5633
könnten	w5634
<g/>
.
Sicher	w5636
wird	w5637
diese	w5638
Expedition	w5639
mit	w5640
dem	w5641
ersten	w5642
günstigen	w5643
Winde	w5644
unter	w5645
Seegel	w5646
gegehen	w5647
<g/>
=
</p>
<p id="p58">
hen	w5649
<g/>
.
Die	w5651
Truppen	w5652
sind	w5653
schon	w5654
vor	w5655
eini=gen	w5656
<g/>
=
Tagen	w5658
eingeschiffet	w5659
<g/>
,
und	w5661
alle	w5662
nöthi=ge	w5663
<g/>
=
Vorkehrungen	w5665
desfalls	w5666
getroffen	w5667
<g/>
.
<g/>
“
</p>
<p id="p59">
„Hier	w5670
<g/>
„
eingeschlossen	w5672
erhalten	w5673
Eu	w5674
<g/>
.
Herrlichkeit	w5676
ein	w5677
Verzeichniß	w5678
von	w5679
den	w5680
Trup=pen	w5681
<g/>
=
unter	w5683
meinen	w5684
Befehlen	w5685
<g/>
,
und	w5687
die	w5688
Art	w5689
<g/>
,
auf	w5691
welche	w5692
sie	w5693
am	w5694
6	w5695
<g/>
.
dieses	w5697
verlegt	w5698
wa=ren	w5699
<g/>
=
<g/>
.
Jch	w5702
habe	w5703
die	w5704
Ehre	w5705
zu	w5706
seyn	w5707
ꝛc	w5708
<g/>
.
<g/>
“
</p>
<p id="p59a">
H	w5711
<g/>
.
Clinton	w5713
<g/>
.
</p>
<p id="p60">
Eben	w5715
diese	w5716
Zeitung	w5717
liefert	w5718
auch	w5719
einen	w5720
Brief	w5721
von	w5722
dem	w5723
Admirale	w5724
Arbuthnot	w5725
an	w5726
Herrn	w5727
Stephens	w5728
vom	w5729
17	w5730
<g/>
.
Weinmonat	w5732
<g/>
,
darin	w5734
derselbe	w5735
einiger	w5736
amerikanischen	w5737
Beu=ten	w5738
<g/>
=
und	w5740
der	w5741
eroberten	w5742
französischen	w5743
Fre=gatte	w5744
<g/>
=
<g/>
,
die	w5747
Esperance	w5748
<g/>
,
von	w5750
28	w5751
Kanonen	w5752
gedenket	w5753
<g/>
.
Wir	w5755
liefern	w5756
ihn	w5757
mit	w5758
mehrerem	w5759
Raume	w5760
<g/>
.
</p>
<p id="p61">
Den	w5762
Abfall	w5763
des	w5764
Generals	w5765
Arnold	w5766
und	w5767
das	w5768
traurige	w5769
Schicksal	w5770
des	w5771
Majors	w5772
Andre	w5773
entwickelt	w5774
die	w5775
Hofzeitung	w5776
nicht	w5777
so	w5778
um=ständlich	w5779
<g/>
=
<g/>
,
als	w5782
einige	w5783
besondere	w5784
Nachrich=ten	w5785
<g/>
=
beydes	w5787
liefern	w5788
<g/>
.
Bekanntlich	w5790
hat	w5791
der	w5792
Generalmajor	w5793
Arnold	w5794
bereits	w5795
vor	w5796
einem	w5797
paar	w5798
Jahren	w5799
eine	w5800
vollkommene	w5801
Schilde=rung	w5802
<g/>
=
von	w5804
seiner	w5805
Gedenkensart	w5806
zu	w5807
Tage	w5808
gelegt	w5809
<g/>
.
Freilich	w5811
zeugen	w5812
Quebec	w5813
und	w5814
Sa=ratoga	w5815
<g/>
=
von	w5817
seiner	w5818
Tapferkeit	w5819
<g/>
,
allein	w5821
die=jenige	w5822
<g/>
=
<g/>
,
welche	w5825
auf	w5826
seine	w5827
ehrfüchtige	w5828
und	w5829
unruhige	w5830
Gemüthsart	w5831
zurück	w5832
denken	w5833
<g/>
,
kön=nen	w5835
<g/>
=
nicht	w5837
begreifen	w5838
<g/>
,
wie	w5840
man	w5841
einem	w5842
sol=chen	w5843
<g/>
=
Manne	w5845
nicht	w5846
nur	w5847
allein	w5848
2700	w5849
Mann	w5850
<g/>
,
sondern	w5852
noch	w5853
4	w5854
wichtige	w5855
Schanzen	w5856
<g/>
,
unter	w5858
welchen	w5859
West	w5860
<g/>
=
Point	w5862
und	w5863
Stony	w5864
<g/>
=
Point	w5866
sind	w5867
<g/>
,
habe	w5869
anvertrauen	w5870
können	w5871
<g/>
.
Sir	w5873
Heinrich	w5874
Clinton	w5875
war	w5876
von	w5877
seinen	w5878
Gesin=nungen	w5879
<g/>
=
vollkommen	w5881
unterrichtet	w5882
<g/>
.
Sol=chemnach	w5884
<g/>
=
versammelte	w5886
er	w5887
eine	w5888
Art	w5889
von	w5890
Kriegsrath	w5891
<g/>
,
