<doc id="wr_1760-03-05" attrs="word" year="1760" month="03" day="05" corpus="2">
<head id="h2_d429e3121">
Aus	w1_d429e3125
Mittels	w5_d429e6745
eines	w7_d429e6748
zu	w9_d429e6751
Marseilles	w1_d429e6756
aus	w3_d429e6759
der	w5_d429e6762
Levante	w7_d429e6765
eingeloffenen	w9_d429e6768
Schifs,	w1_d429e6773
hat	w3_d429e6776
man	w5_d429e6779
die	w7_d429e6782
Nachricht	w9_d429e6785
erhalten,	w11_d429e6788
daß	w1_d429e6793
die	w3_d429e6796
auf	w5_d429e6799
einem	w7_d429e6802
hohen	w9_d429e6805
Berg	w11_d429e6808
unweit	w13_d429e6812
des	w15_d429e6815
Meers	w1_d429e6821
im	w3_d429e6824
Gelobten	w5_d429e6827
Land	w7_d429e6830
gelegene	w9_d429e6833
Stadt	w11_d429e6836
Safet,	w1_d429e6841
welche	w3_d429e6844
für	w5_d429e6847
das	w7_d429e6850
alte	w9_d429e6853
Bethulia	w11_d429e6856
ge	w13_d429e6860
halten	w1_d429e6865
wird,	w3_d429e6868
nebst	w5_d429e6871
vielen	w7_d429e6874
daherum	w9_d429e6877
gelege	w11_d429e6880
nen	w1_d429e6885
Dorfschaften,	w3_d429e6888
durch	w5_d429e6891
ein	w7_d429e6894
heftiges	w9_d429e6897
Erd	w11_d429e6900
beben	w1_d429e6906
verschlungen	w3_d429e6909
und	w5_d429e6912
zu	w7_d429e6915
Grunde	w9_d429e6918
gerichtet	w11_d429e6921
worden.	w1_d429e6926
Am	w3_d429e6929
7.	w5_d429e6932
ist	w7_d429e6935
der	w9_d429e6938
Obriste	w11_d429e6941
der	w13_d429e6945
Caval	w15_d429e6948
lerie,	w1_d429e6953
Lord	w3_d429e6956
Drummond,	w5_d429e6959
Graf	w7_d429e6962
von	w9_d429e6965
Perth,	w11_d429e6968
alhier	w1_d429e6973
verstorben.	w3_d429e6976
</p>
<head id="h2_d429e6982">
Madrid	w1_d429e6986
30.	w3_d429e6989
Januarii.	w5_d429e6992
</head>
<p id="p4_d429e6995">
Se.	w1_d429e6999
Majestät,	w3_d429e7002
welche	w5_d429e7005
sich	w7_d429e7008
je	w9_d429e7011
länger	w11_d429e7014
je	w13_d429e7018
mehr	w1_d429e7023
befleissen,	w3_d429e7026
das	w5_d429e7029
Wohl	w7_d429e7032
und	w9_d429e7035
die	w11_d429e7038
Glück	w13_d429e7042
seligkeit	w1_d429e7047
ihrer	w3_d429e7050
Unterthanen	w5_d429e7053
zu	w7_d429e7056
befördern,	w9_d429e7059
und	w1_d429e7065
das	w3_d429e7068
Ansehen	w5_d429e7071
ihrer	w7_d429e7074
Reiche	w9_d429e7077
und	w11_d429e7080
Staaten	w13_d429e7084
zu	w1_d429e7089
vermehren,	w3_d429e7092
haben	w5_d429e7095
nicht	w7_d429e7098
nur	w9_d429e7101
verschiedene	w11_d429e7104
hohe	w1_d429e7109
Kriegs=bedienungen	w3_d429e7112
vergeben,	w5_d429e7115
sondern	w7_d429e7118
auch	w1_d429e7123
diese	w3_d429e7126
Tage	w5_d429e7129
her	w7_d429e7132
die	w9_d429e7135
auswärtige	w11_d429e7138
Mini	w13_d429e7142
sters	w1_d429e7148
zur	w3_d429e7151
Audienz	w5_d429e7154
gelassen,	w7_d429e7157
und	w9_d429e7160
deren	w11_d429e7163
neue	w13_d429e7167
Creditive	w1_d429e7172
angenommen.	w3_d429e7175
Der	w5_d429e7178
erste	w7_d429e7181
darun	w9_d429e7184
ter	w1_d429e7189
war	w3_d429e7192
der	w5_d429e7195
Holländische	w7_d429e7198
Gesandte,	w9_d429e7201
Baron	w11_d429e7204
von	w1_d429e7209
Wassenaer,	w3_d429e7212
welcher	w5_d429e7215
den	w7_d429e7218
22.	w9_d429e7221
zur	w11_d429e7224
Au	w13_d429e7228
dienz	w1_d429e7234
gelanget.	w3_d429e7237
Jhm	w5_d429e7240
folgte	w7_d429e7243
den	w9_d429e7246
24.	w11_d429e7249
der	w13_d429e7253
Engländische,	w1_d429e7258
Graf	w3_d429e7261
von	w5_d429e7264
Bristol,	w7_d429e7267
den	w9_d429e7270
25.	w11_d429e7273
der	w1_d429e7278
Venetianische,	w3_d429e7281
Chevalier	w5_d429e7284
de	w7_d429e7287
Toscarini,	w9_d429e7290
den	w1_d429e7295
26.	w3_d429e7298
der	w5_d429e7301
Graf	w7_d429e7304
de	w9_d429e7307
la	w11_d429e7310
Tour,	w13_d429e7314
Königl.	w15_d429e7317
Sardinische,	w1_d429e7323
und	w3_d429e7326
den	w5_d429e7329
27.	w7_d429e7332
der	w9_d429e7335
Schwedische,	w11_d429e7338
Baron	w1_d429e7343
von	w3_d429e7346
Hillebrand.	w5_d429e7349
Den	w7_d429e7352
28.	w9_d429e7355
hatten	w11_d429e7358
gleichfalls	w1_d429e7363
die	w3_d429e7366
Portugiesische,	w5_d429e7369
Don	w7_d429e7372
Saldan	w9_d429e7375
ha,	w1_d429e7380
und	w3_d429e7383
Don	w5_d429e7386
Joseph	w7_d429e7389
da	w9_d429e7392
Sylva,	w11_d429e7395
Audienz.	w13_d429e7399
Nicht	w1_d429e7405
minder	w3_d429e7408
haben	w5_d429e7411
Se.	w7_d429e7414
Majestät	w9_d429e7417
von	w11_d429e7420
ver	w13_d429e7424
schiedenen	w1_d429e7429
Ständen	w3_d429e7432
des	w5_d429e7435
Reichs	w7_d429e7438
die	w9_d429e7441
Glück	w11_d429e7444
wünschungen	w1_d429e7449
angenommen.	w3_d429e7452
</p>
<p id="p10_d429e7465">
Daß	w1_d429e7469
die	w3_d429e7472
Land=macht	w5_d429e7475
dieses	w7_d429e7478
Königreichs	w9_d429e7481
in	w1_d429e7486
einem	w3_d429e7489
zahlreichen	w5_d429e7492
und	w7_d429e7495
fruchtbaren	w9_d429e7498
Stande,	w11_d429e7501
stehet	w1_d429e7506
man	w3_d429e7509
aus	w5_d429e7512
folgendem	w7_d429e7515
Verzeichnüß.	w9_d429e7518
</p>
<p id="p12_d429e7522">
Die	w1_d429e7526
Gardes	w3_d429e7529
du	w5_d429e7532
Corps,	w7_d429e7535
die	w9_d429e7538
Grenadiers	w11_d429e7541
zu	w1_d429e7546
Pferde,	w3_d429e7549
die	w5_d429e7552
Spanische	w7_d429e7555
und	w9_d429e7558
Wallonische	w11_d429e7561
Garde,	w1_d429e7566
und	w3_d429e7569
die	w5_d429e7572
Hatschier	w7_d429e7575
machen	w9_d429e7578
ein	w11_d429e7581
Corps	w13_d429e7585
von	w1_d429e7591
7960.	w3_d429e7594
Mann	w5_d429e7597
aus.	w7_d429e7600
31.	w9_d429e7603
Spanische	w11_d429e7606
Jnfanterie=regimenter,	w1_d429e7611
jedes	w3_d429e7614
von	w5_d429e7617
2.	w7_d429e7620
Ba	w9_d429e7623
taillons,	w1_d429e7628
und	w3_d429e7631
jedes	w5_d429e7634
Bataillon	w7_d429e7637
von	w9_d429e7640
600.	w11_d429e7643
Kö	w13_d429e7647
pfen,	w1_d429e7652
betragen	w3_d429e7655
37200.	w5_d429e7658
Mann.	w7_d429e7661
Die	w9_d429e7664
Jrr	w11_d429e7667
ländische,	w1_d429e7673
Jtaliänische	w3_d429e7676
und	w5_d429e7679
Wallonische	w7_d429e7682
Jn	w9_d429e7685
fanterie	w1_d429e7690
machen	w3_d429e7693
jede	w5_d429e7696
3.	w7_d429e7699
Regimenter	w9_d429e7702
gleicher	w11_d429e7705
Stärke	w1_d429e7710
oder	w3_d429e7713
3600.	w5_d429e7716
Mann,	w7_d429e7719
und	w9_d429e7722
also	w11_d429e7725
zusam	w13_d429e7729
men	w1_d429e7734
10800.	w3_d429e7737
Mann.	w5_d429e7740
Sechs	w7_d429e7743
Schweitzer	w9_d429e7746
regimenter	w1_d429e7752
in	w3_d429e7755
unserm	w5_d429e7758
Dienst	w7_d429e7761
ertragen	w9_d429e7764
9600.	w11_d429e7767
Mann,	w1_d429e7772
wozu	w3_d429e7775
noch	w5_d429e7778
5.	w7_d429e7781
Regimenter	w9_d429e7784
Cüsten	w11_d429e7787
bewahrer	w1_d429e7792
mit	w3_d429e7795
5220.	w5_d429e7798
und	w7_d429e7801
33.	w9_d429e7804
Bataillons	w11_d429e7807
Militz	w1_d429e7812
mit	w3_d429e7815
19800.	w5_d429e7818
Mann	w7_d429e7821
kommen.	w9_d429e7824
Die	w11_d429e7827
Spanische	w1_d429e7833
Cavallerie	w3_d429e7836
bestehet	w5_d429e7839
aus	w7_d429e7842
23.	w9_d429e7845
Re	w11_d429e7848
gimentern,	w1_d429e7853
deren	w3_d429e7856
jedes	w5_d429e7859
in	w7_d429e7862
3.	w9_d429e7865
Escadrons	w11_d429e7868
vertheilet,	w1_d429e7873
und	w3_d429e7876
420.	w5_d429e7879
Mann	w7_d429e7882
stark,	w9_d429e7885
zusam	w11_d429e7888
men	w1_d429e7893
9960.	w3_d429e7896
Mann.	w5_d429e7899
Achtzehen	w7_d429e7902
Dragoner	w9_d429e7905
regimenter	w1_d429e7911
gleicher	w3_d429e7914
Stärke	w5_d429e7917
und	w7_d429e7920
Eintheilung	w9_d429e7923
sind	w1_d429e7928
7560.	w3_d429e7931
Rechnet	w5_d429e7934
man	w7_d429e7937
nun	w9_d429e7940
zu	w11_d429e7943
diesen	w13_d429e7947
Trupen	w1_d429e7952
600.	w3_d429e7955
Miquelets,	w5_d429e7958
4800.	w7_d429e7961
Jnvaliden	w9_d429e7964
und	w1_d429e7969
die	w3_d429e7972
abgesöndekte	w5_d429e7975
Compagnien,	w7_d429e7978
so	w9_d429e7981
1725.	w11_d429e7984
Mann	w1_d429e7990
ausmachen,	w3_d429e7993
so	w5_d429e7996
belauft	w7_d429e7999
sich	w9_d429e8002
die	w11_d429e8005
ganze	w13_d429e8009
Spanische	w1_d429e8014
Macht	w3_d429e8017
auf	w5_d429e8020
111625.	w7_d429e8023
Mann.	w9_d429e8026
</p>
<head id="h2_d429e8032">
Donau=strom	w1_d429e8036
4.	w3_d429e8039
Febr.	w5_d429e8042
</head>
<p id="p4_d429e8045">
Vermög	w1_d429e8049
Nachrichten	w3_d429e8052
aus	w5_d429e8055
Pohlen,	w7_d429e8058
ha	w9_d429e8061
ben	w1_d429e8066
die	w3_d429e8069
Russen	w5_d429e8072
jüngsthin	w7_d429e8075
eine	w9_d429e8078
Hauptmu	w11_d429e8081
sterung	w1_d429e8086
gehalten	w3_d429e8089
und	w5_d429e8092
ihre	w7_d429e8095
Armee	w9_d429e8098
60.	w11_d429e8101
tau	w13_d429e8105
send	w1_d429e8111
Mann	w3_d429e8114
stark	w5_d429e8117
befunden,	w7_d429e8120
ohne	w9_d429e8123
den	w11_d429e8126
Suc	w13_d429e8130
curs,	w1_d429e8135
der	w3_d429e8138
bisher	w5_d429e8141
zu	w7_d429e8144
Verstärkung	w9_d429e8147
der	w11_d429e8150
Re	w13_d429e8154
gimenter	w1_d429e8159
eingetroffen,	w3_d429e8162
und	w5_d429e8165
man	w7_d429e8168
redet	w9_d429e8171
von	w11_d429e8174
dem	w1_d429e8179
Marsch	w3_d429e8182
eines	w5_d429e8185
andern	w7_d429e8188
Corps,	w9_d429e8191
das	w11_d429e8194
in	w13_d429e8198
40.	w1_d429e8204
tausend	w3_d429e8207
Mann	w5_d429e8210
bestehen	w7_d429e8213
solle.	w9_d429e8216
Diese	w11_d429e8219
Völker	w1_d429e8224
machen	w3_d429e8227
immittelst	w5_d429e8230
verschiedene	w7_d429e8233
Be	w9_d429e8236
wegungen	w1_d429e8241
gegen	w3_d429e8244
das	w5_d429e8247
Brandenburgische,	w7_d429e8250
und	w1_d429e8255
hat	w3_d429e8258
ein	w5_d429e8261
Detaschement	w7_d429e8264
von	w9_d429e8267
ihnen	w11_d429e8270
in	w13_d429e8274
der	w1_d429e8280
Neumark	w3_d429e8283
500.	w5_d429e8286
Preußische	w7_d429e8289
Recruten	w9_d429e8292
nebst	w1_d429e8297
einigen	w3_d429e8300
100.	w5_d429e8303
Pferden	w7_d429e8306
und	w9_d429e8309
andern	w11_d429e8312
Vieh	w13_d429e8316
erbeutet.	w1_d429e8321
Die	w3_d429e8324
Staffeten	w5_d429e8327
von	w7_d429e8330
der	w9_d429e8333
Kaiserl.	w11_d429e8336
</p>
<p id="p6_d429e8339">
Königl.	w1_d429e8343
Armee	w3_d429e8346
kommen	w5_d429e8349
nun	w7_d429e8352
aus	w9_d429e8355
dem	w11_d429e8358
Haupt	w13_d429e8362
quartier	w1_d429e8367
zu	w3_d429e8370
Pirna,	w5_d429e8373
und	w7_d429e8376
ist	w9_d429e8379
seit	w11_d429e8382
etlichen	w13_d429e8386
Ta	w15_d429e8389
gen	w1_d429e8394
von	w3_d429e8397
dorten	w5_d429e8400
her	w7_d429e8403
gar	w9_d429e8406
nichts	w11_d429e8409
veränderli	w13_d429e8413
ches	w1_d429e8419
eingeloffen.	w3_d429e8422
Bey	w5_d429e8425
der	w7_d429e8428
feindlichen	w9_d429e8431
Ar	w11_d429e8434
mee	w1_d429e8439
gibt	w3_d429e8442
es	w5_d429e8445
allerley	w7_d429e8448
Krankheiten,	w9_d429e8451
und	w11_d429e8454
sol	w13_d429e8458
len	w1_d429e8463
die	w3_d429e8466
schwarzen	w5_d429e8469
Petetschen	w7_d429e8472
in	w9_d429e8475
Sachsen	w11_d429e8478
über	w13_d429e8482
haupt	w1_d429e8487
graßiren.	w3_d429e8490
</p>
<head id="h2_d429e8496">
Londen	w1_d429e8500
15.	w3_d429e8503
Februarii.	w5_d429e8506
</head>
<p id="p4_d429e8509">
Am	w1_d429e8513
10.	w3_d429e8516
brachte	w5_d429e8519
ein	w7_d429e8522
Expresser	w9_d429e8525
die	w11_d429e8528
Nach	w13_d429e8532
richt	w1_d429e8537
von	w3_d429e8540
dem	w5_d429e8543
Absterben	w7_d429e8546
des	w9_d429e8549
Herrn	w11_d429e8552
Land	w13_d429e8556
grafens	w1_d429e8561
von	w3_d429e8564
Hessen=cassel	w5_d429e8567
hierher.	w7_d429e8570
Sechs	w9_d429e8573
zehen	w1_d429e8579
Regimenter	w3_d429e8582
Jnfanterie	w5_d429e8585
und	w7_d429e8588
verschie	w9_d429e8591
dene	w1_d429e8596
Cavallerie	w3_d429e8599
und	w5_d429e8602
Dragoner=regimenter	w7_d429e8605
haben	w1_d429e8610
Ordres,	w3_d429e8613
sich	w5_d429e8616
unverzüglich	w7_d429e8619
nach	w9_d429e8622
Teutsch	w11_d429e8625
land	w1_d429e8630
einzuschiffen,	w3_d429e8633
wie	w5_d429e8636
dann	w7_d429e8639
die	w9_d429e8642
Officiers	w11_d429e8645
sich	w1_d429e8651
schon	w3_d429e8654
den	w5_d429e8657
8.	w7_d429e8660
bey	w9_d429e8663
ihren	w11_d429e8666
Regimentern	w13_d429e8670
einzufinden	w1_d429e8675
befehliget	w3_d429e8678
worden.	w5_d429e8681
Die	w7_d429e8684
Ein	w9_d429e8687
schiffung	w1_d429e8692
der	w3_d429e8695
2500.	w5_d429e8698
Remonte=pferde	w7_d429e8701
für	w9_d429e8704
die	w1_d429e8709
Alliirte	w3_d429e8712
Armee	w5_d429e8715
hat	w7_d429e8718
aber	w9_d429e8721
eingestellet	w11_d429e8724
wer	w13_d429e8728
den	w1_d429e8734
müssen,	w3_d429e8737
weilen	w5_d429e8740
die	w7_d429e8743
sich	w9_d429e8746
seit	w11_d429e8749
einiger	w13_d429e8753
Zeit	w15_d429e8756
unter	w1_d429e8761
denen	w3_d429e8764
Pferden	w5_d429e8767
äusserende	w7_d429e8770
Seuche	w9_d429e8773
auch	w11_d429e8776
unter	w1_d429e8781
diesen	w3_d429e8784
eingerissen.	w5_d429e8787
Laut	w7_d429e8790
Nachrichten	w9_d429e8793
von	w1_d429e8798
der	w3_d429e8801
Jnsul	w5_d429e8804
St.	w7_d429e8807
Catharina,	w9_d429e8810
ligt	w11_d429e8813
der	w13_d429e8817
Chef	w1_d429e8823
d'Escadre	w3_d429e8826
Tyrrel	w5_d429e8829
zu	w7_d429e8832
Antigoa	w9_d429e8835
mit	w11_d429e8838
14.	w13_d429e8842
Kriegs=schiffen	w1_d429e8847
und	w3_d429e8850
verschiedenen	w5_d429e8853
Fregatten	w7_d429e8856
in	w1_d429e8861
Bereitschaft,	w3_d429e8864
nach	w5_d429e8867
Martinique	w7_d429e8870
abzuse	w9_d429e8873
geln.	w1_d429e8878
Seit	w3_d429e8881
etwann	w5_d429e8884
8.	w7_d429e8887
Tagen	w9_d429e8890
fängt	w11_d429e8893
man	w13_d429e8897
wieder	w1_d429e8903
stark	w3_d429e8906
an	w5_d429e8909
vom	w7_d429e8912
Frieden	w9_d429e8915
zu	w11_d429e8918
sprechen,	w13_d429e8922
und	w1_d429e8927
man	w3_d429e8930
hat	w5_d429e8933
gegründete	w7_d429e8936
Hofnung,	w9_d429e8939
solchen	w11_d429e8942
noch	w1_d429e8947
vor	w3_d429e8950
Eröfnung	w5_d429e8953
des	w7_d429e8956
Feld=zuges	w9_d429e8959
wieder	w11_d429e8962
hergestellet	w1_d429e8967
zu	w3_d429e8970
sehen.	w5_d429e8973
Das	w7_d429e8976
Ministerium	w9_d429e8979
ist	w1_d429e8985
seit	w3_d429e8988
2.	w5_d429e8991
Tagen	w7_d429e8994
ungemein	w9_d429e8997
beschäftiget.	w11_d429e9000
Die	w13_d429e9004
Cammer	w1_d429e9009
der	w3_d429e9012
Gemeinen	w5_d429e9015
hat	w7_d429e9018
am	w9_d429e9021
8.	w11_d429e9024
und	w13_d429e9028
11.	w15_d429e9031
dieses	w1_d429e9036
54333.	w3_d429e9039
Pfund	w5_d429e9042
Sterling	w7_d429e9045
für	w9_d429e9048
eine	w11_d429e9051
Vermehrung	w1_d429e9056
der	w3_d429e9059
leichten	w5_d429e9062
Hanöverischen	w7_d429e9065
Rei	w9_d429e9068
terey,	w1_d429e9074
20776.	w3_d429e9077
für	w5_d429e9080
eine	w7_d429e9083
Vermehrung	w9_d429e9086
von	w11_d429e9089
4.	w1_d429e9094
Escadrons	w3_d429e9097
Heßischer	w5_d429e9100
Jäger	w7_d429e9103
und	w9_d429e9106
Hussa	w11_d429e9109
ren,	w1_d429e9114
52903.	w3_d429e9117
Pf.	w5_d429e9120
Sterling	w7_d429e9123
für	w9_d429e9126
eine	w11_d429e9129
Ver	w13_d429e9133
mehrung	w1_d429e9138
von	w3_d429e9141
5.	w5_d429e9144
Bataillons	w7_d429e9147
bey	w9_d429e9150
der	w11_d429e9153
Königl.	w13_d429e9157
Armee	w1_d429e9163
in	w3_d429e9166
Teutschland,	w5_d429e9169
deren	w7_d429e9172
jedes	w9_d429e9175
aus	w11_d429e9178
4.	w13_d429e9182
Compagnien	w1_d429e9187
von	w3_d429e9190
125.	w5_d429e9193
Mann	w7_d429e9196
jede	w9_d429e9199
zu	w11_d429e9202
Fuß.	w13_d429e9206
und	w1_d429e9211
100.	w3_d429e9214
Dragonern	w5_d429e9217
bestehen	w7_d429e9220
soll,	w9_d429e9223
35652.	w11_d429e9226
</p>
<p id="p10_d429e9239">
Pf.	w1_d429e9243
für	w3_d429e9246
den	w5_d429e9249
halben	w7_d429e9252
Sold	w9_d429e9255
der	w11_d429e9258
Reformirten	w13_d429e9262
Officiers	w1_d429e9267
der	w3_d429e9270
Land	w5_d429e9273
und	w7_d429e9276
See=macht	w9_d429e9279
für	w11_d429e9282
die	w13_d429e9286
ses	w1_d429e9291
Jahr,	w3_d429e9294
2946.	w5_d429e9297
Pf.	w7_d429e9300
zur	w9_d429e9303
Vergütung	w11_d429e9306
für	w13_d429e9310
die	w1_d429e9316
Reformirte	w3_d429e9319
Officiers	w5_d429e9322
und	w7_d429e9325
Reiter	w9_d429e9328
der	w11_d429e9331
2.	w13_d429e9335
Compagnien	w1_d429e9340
Garde,	w3_d429e9343
des	w5_d429e9346
Cavallerieregi	w7_d429e9349
ments	w1_d429e9354
und	w3_d429e9357
Alters	w5_d429e9360
halber	w7_d429e9363
undienstbare	w9_d429e9366
Rei	w11_d429e9369
ter	w1_d429e9374
der	w3_d429e9377
4.	w5_d429e9380
Compagnien	w7_d429e9383
Gardes	w9_d429e9386
du	w11_d429e9389
Corps	w13_d429e9393
11780.	w1_d429e9399
für	w3_d429e9402
die	w5_d429e9405
Unterhaltung	w7_d429e9408
der	w9_d429e9411
Colonie	w11_d429e9414
von	w1_d429e9419
Neu=schottland,	w3_d429e9422
4057.	w5_d429e9425
für	w7_d429e9428
die	w9_d429e9431
von	w11_d429e9434
Ge	w13_d429e9438
orgien,	w1_d429e9443
alles	w3_d429e9446
für	w5_d429e9449
das	w7_d429e9452
laufende	w9_d429e9455
Jahr,	w11_d429e9458
nebst	w13_d429e9462
5851.	w1_d429e9467
Pf.	w3_d429e9470
für	w5_d429e9473
Extra=depensen	w7_d429e9476
der	w9_d429e9479
Colonie	w11_d429e9482
von	w1_d429e9488
Neu=schottland	w3_d429e9491
im	w5_d429e9494
Jahr	w7_d429e9497
1758.	w9_d429e9500
zuge	w11_d429e9503
standen.	w1_d429e9508
Am	w3_d429e9511
8.	w5_d429e9514
hat	w7_d429e9517
der	w9_d429e9520
Lord	w11_d429e9523
George	w13_d429e9527
von	w15_d429e9530
Marlborough	w1_d429e9535
nach	w3_d429e9538
vollendetem	w5_d429e9541
21.	w7_d429e9544
Jahr	w9_d429e9547
in	w1_d429e9552
dem	w3_d429e9555
Ober=hause	w5_d429e9558
Sitz	w7_d429e9561
genommen.	w9_d429e9564
Loren,	w11_d429e9567
Graf	w1_d429e9573
von	w3_d429e9576
Ferres,	w5_d429e9579
welcher	w7_d429e9582
seinen	w9_d429e9585
Haus=hof	w11_d429e9588
meister	w1_d429e9593
erstochen,	w3_d429e9596
ist	w5_d429e9599
seiner	w7_d429e9602
Einwendungen	w9_d429e9605
ungehindert	w1_d429e9610
vorgestern	w3_d429e9613
im	w5_d429e9616
Ober=haus	w7_d429e9619
vor	w9_d429e9622
dem	w1_d429e9627
Gegitter	w3_d429e9630
vorgestellet,	w5_d429e9633
und	w7_d429e9636
da	w9_d429e9639
er	w11_d429e9642
nichts	w13_d429e9646
erhebliches	w1_d429e9652
vorzubringen	w3_d429e9655
gewust,	w5_d429e9658
gefangen	w7_d429e9661
nach	w1_d429e9666
dem	w3_d429e9669
Towr	w5_d429e9672
gebracht	w7_d429e9675
worden.	w9_d429e9678
</p>
<head id="h2_d429e9684">
Haag	w1_d429e9688
19.	w3_d429e9691
Februarii.	w5_d429e9694
</head>
<p id="p4_d429e9697">
Jhro	w1_d429e9701
Hochmögenden	w3_d429e9704
haben	w5_d429e9707
den	w7_d429e9710
Herrn	w9_d429e9713
Fürsten	w1_d429e9718
von	w3_d429e9721
Nassau=weilburg	w5_d429e9724
zu	w7_d429e9727
Bezeigung	w9_d429e9730
ihrer	w1_d429e9735
Hochachtung	w3_d429e9738
für	w5_d429e9741
seine	w7_d429e9744
Verdienste	w9_d429e9747
zum	w11_d429e9750
General	w1_d429e9756
en	w3_d429e9759
Chef	w5_d429e9762
über	w7_d429e9765
die	w9_d429e9768
sämtliche	w11_d429e9771
Jnfan	w13_d429e9775
terie	w1_d429e9780
mit	w3_d429e9783
der	w5_d429e9786
zu	w7_d429e9789
dieser	w9_d429e9792
Stelle	w11_d429e9795
gehörigen	w13_d429e9799
Be	w15_d429e9802
soldung	w1_d429e9807
ernennet.	w3_d429e9810
Die	w5_d429e9813
Provinz	w7_d429e9816
von	w9_d429e9819
See	w11_d429e9822
land	w1_d429e9827
hat	w3_d429e9830
der	w5_d429e9833
Prinzeßin	w7_d429e9836
Carolina	w9_d429e9839
zu	w11_d429e9842
ihrer	w13_d429e9846
Verheuratung	w1_d429e9852
ein	w3_d429e9855
Präsent	w5_d429e9858
von	w7_d429e9861
50000.	w9_d429e9864
fl	w11_d429e9867
für	w1_d429e9872
Nadel=gelder	w3_d429e9875
gemacht.	w5_d429e9878
</p>
<head id="h2_d429e9884">
Lüttich	w1_d429e9888
20.	w3_d429e9891
Februarii.	w5_d429e9894
</head>
<p id="p4_d429e9897">
Carl	w1_d429e9901
Joseph	w3_d429e9904
August	w5_d429e9907
des	w7_d429e9910
Heil.	w9_d429e9913
Röm.	w11_d429e9916
Reichs	w1_d429e9921
Graf	w3_d429e9924
von	w5_d429e9927
Limburg=styrum,	w7_d429e9930
Bron	w9_d429e9933
horst	w1_d429e9938
und	w3_d429e9941
Globen,	w5_d429e9944
Herr	w7_d429e9947
zu	w9_d429e9950
Walsch	w11_d429e9953
rc.	w13_d429e9957
Erb	w15_d429e9960
ober=richter	w1_d429e9966
des	w3_d429e9969
Herzogtums	w5_d429e9972
Geldern	w7_d429e9975
und	w9_d429e9978
Grafschaft	w1_d429e9983
Zürphen,	w3_d429e9986
Jhro	w5_d429e9989
Röm.	w7_d429e9992
Kaiserl.	w9_d429e9995
Majestät	w1_d429e10000
würklicher	w3_d429e10003
Cammer=herr,	w5_d429e10006
ist	w7_d429e10009
den	w9_d429e10012
15.	w1_d429e10017
dieses	w3_d429e10020
zu	w5_d429e10023
Argenteau	w7_d429e10026
in	w9_d429e10029
einem	w11_d429e10032
Alter	w13_d429e10036
von	w1_d429e10042
34.	w3_d429e10045
Jahren	w5_d429e10048
Todes	w7_d429e10051
verblichen.	w9_d429e10054
</p>
<head id="h2_d429e10061">
Stuttgard	w1_d429e10065
22.	w3_d429e10068
Febr.	w5_d429e10071
</head>
<p id="p4_d429e10074">
Ausser	w1_d429e10078
denen	w3_d429e10081
gegenwärtig	w5_d429e10084
zu	w7_d429e10087
Rittern	w9_d429e10090
des	w11_d429e10093
Herzogl.	w1_d429e10098
Militair	w3_d429e10101
St.	w5_d429e10104
Carls=ordens	w7_d429e10107
ge	w9_d429e10110
</p>
<p id="p6_d429e10113">
schlagenen	w1_d429e10117
Herren	w3_d429e10120
Officiers	w5_d429e10123
haben	w7_d429e10126
Se.	w9_d429e10129
Herr	w11_d429e10132
zogl.	w1_d429e10137
Durchl.	w3_d429e10140
von	w5_d429e10143
Abwesenden	w7_d429e10146
die	w9_d429e10149
Herren	w11_d429e10152
Grenadier=haupt=leute	w1_d429e10157
von	w3_d429e10160
Vitztum,	w5_d429e10163
von	w7_d429e10166
Dobeneck	w1_d429e10172
und	w3_d429e10175
von	w5_d429e10178
Ottein,	w7_d429e10181
und	w9_d429e10184
den	w11_d429e10187
Herrn	w13_d429e10191
Haupt=mann	w1_d429e10196
von	w3_d429e10199
Brandenstein	w5_d429e10202
von	w7_d429e10205
dem	w9_d429e10208
Löbl.	w1_d429e10213
Werneckischen	w3_d429e10216
Jnfanterie=regiment	w5_d429e10219
zu	w7_d429e10222
Chevaliers	w1_d429e10227
gnädigst	w3_d429e10230
ernennet,	w5_d429e10233
und	w7_d429e10236
die	w9_d429e10239
hohe	w11_d429e10242
Ordens=zeichen	w1_d429e10248
zuschicken	w3_d429e10251
lassen.	w5_d429e10254
Vor	w7_d429e10257
eini	w9_d429e10260
gen	w1_d429e10265
Tagen	w3_d429e10268
haben	w5_d429e10271
sich	w7_d429e10274
gesammte	w9_d429e10277
Hochfürstl.	w11_d429e10280
und	w1_d429e10285
andere	w3_d429e10288
noch	w5_d429e10291
anwesende	w7_d429e10294
hohe	w9_d429e10297
vornehme	w11_d429e10300
Standes=personen	w1_d429e10305
in	w3_d429e10308
der	w5_d429e10311
Gegend	w7_d429e10314
Ludwigs	w9_d429e10317
burg	w1_d429e10323
mit	w3_d429e10326
einem	w5_d429e10329
grossen	w7_d429e10332
Treib=jagen	w9_d429e10335
belusti	w11_d429e10338
get,	w1_d429e10343
wobey	w3_d429e10346
dritthalb	w5_d429e10349
tausend	w7_d429e10352
Stück	w9_d429e10355
Hasen	w11_d429e10358
geschossen	w1_d429e10363
worden.	w3_d429e10366
Aus	w5_d429e10369
Schwede	w7_d429e10372
in	w9_d429e10375
der	w11_d429e10378
