<doc id="wr_1760-03-19" attrs="word" year="1760" month="03" day="19" corpus="2">
<head id="h2_d433e3251">
Lissaben	w1_d433e3255
wiederholte	w1_d433e6920
Versicherung	w3_d433e6923
gegeben,	w5_d433e6926
daß	w7_d433e6929
es	w9_d433e6932
nicht	w1_d433e6937
vermehret	w3_d433e6940
werden	w5_d433e6943
solte.	w7_d433e6946
</p>
<p id="p6_d433e6949">
2.)	w1_d433e6953
Der	w3_d433e6956
Herzog	w5_d433e6959
von	w7_d433e6962
Bedford	w9_d433e6965
hätte,	w11_d433e6968
bey	w1_d433e6973
Eröfnung	w3_d433e6976
der	w5_d433e6979
jetzigen	w7_d433e6982
Sitzung,	w9_d433e6985
in	w11_d433e6988
sei	w13_d433e6992
ner	w1_d433e6997
Anrede	w3_d433e7000
versichert,	w5_d433e7003
er	w7_d433e7006
sey,	w9_d433e7009
nur	w11_d433e7012
die	w13_d433e7016
ge	w15_d433e7019
wöhnlichen	w1_d433e7025
Subsidien	w3_d433e7028
zu	w5_d433e7031
verlangen,	w7_d433e7034
befeh	w9_d433e7037
liget.	w1_d433e7042
</p>
<p id="p8_d433e7045">
3.)	w1_d433e7049
Gedachter	w3_d433e7052
Herr	w5_d433e7055
Vice=könig	w7_d433e7058
hätte	w9_d433e7061
nur	w1_d433e7066
bey	w3_d433e7069
Gelegenheit	w5_d433e7072
der	w7_d433e7075
Jnvasion,	w9_d433e7078
womit	w11_d433e7081
Jrrland	w1_d433e7086
von	w3_d433e7089
Seiten	w5_d433e7092
der	w7_d433e7095
Franzosen	w9_d433e7098
bedrohet	w11_d433e7101
ward,	w1_d433e7107
ausserordentliche	w3_d433e7110
Subsidien	w5_d433e7113
begehrt,	w7_d433e7116
und	w1_d433e7121
zwar,	w3_d433e7124
um	w5_d433e7127
dieses	w7_d433e7130
Königreich	w9_d433e7133
desto	w11_d433e7136
besser	w13_d433e7140
in	w1_d433e7145
den	w3_d433e7148
Stand	w5_d433e7151
zu	w7_d433e7154
setzen,	w9_d433e7157
den	w11_d433e7160
Feind	w13_d433e7164
abzutrei	w15_d433e7167
ben;	w1_d433e7172
seit	w3_d433e7175
solchem	w5_d433e7178
Begehren	w7_d433e7181
aber,	w9_d433e7184
und	w11_d433e7187
die	w13_d433e7191
genommenen	w1_d433e7197
Entschliessung,	w3_d433e7200
150000.	w5_d433e7203
Pf.	w7_d433e7206
Sterling	w1_d433e7211
zu	w3_d433e7214
heben,	w5_d433e7217
wäre	w7_d433e7220
der	w9_d433e7223
Vermehrung	w11_d433e7226
der	w1_d433e7231
Trupen	w3_d433e7234
gar	w5_d433e7237
nicht	w7_d433e7240
gedacht	w9_d433e7243
worden.	w11_d433e7246
</p>
<p id="p10_d433e7249">
4.)	w1_d433e7253
Seit	w3_d433e7256
der	w5_d433e7259
Niederlage	w7_d433e7262
der	w9_d433e7265
Französi	w11_d433e7268
schen	w1_d433e7273
Flotte	w3_d433e7276
unter	w5_d433e7279
dem	w7_d433e7282
Herrn	w9_d433e7285
von	w11_d433e7288
Conflaus,	w13_d433e7292
hätte	w1_d433e7297
Jrrland	w3_d433e7300
nichts	w5_d433e7303
mehr	w7_d433e7306
von	w9_d433e7309
denen	w11_d433e7312
Fran	w13_d433e7316
zosen	w1_d433e7322
zu	w3_d433e7325
befürchten;	w5_d433e7328
also	w7_d433e7331
sähe	w9_d433e7334
man	w11_d433e7337
nicht	w13_d433e7341
die	w15_d433e7344
geringste	w1_d433e7349
Ursache	w3_d433e7352
zur	w5_d433e7355
Trupen=vermehrung	w7_d433e7358
und	w1_d433e7363
den	w3_d433e7366
in	w5_d433e7369
Jrrland	w7_d433e7372
ungewöhnlichen	w9_d433e7375
Wer	w11_d433e7378
bungen,	w1_d433e7383
welche	w3_d433e7386
sowol	w5_d433e7389
dem	w7_d433e7392
Acker=bau,	w9_d433e7395
als	w11_d433e7398
denen	w1_d433e7404
Manufacturen,	w3_d433e7407
die	w5_d433e7410
Arbeiter	w7_d433e7413
entzögen.	w9_d433e7416
</p>
<p id="p12_d433e7420">
Es	w1_d433e7424
hat	w3_d433e7427
aber	w5_d433e7430
die	w7_d433e7433
Gegen=parthey	w9_d433e7436
die	w11_d433e7439
Ober	w13_d433e7443
hand	w1_d433e7448
behalten,	w3_d433e7451
und	w5_d433e7454
ihre	w7_d433e7457
Gründe	w9_d433e7460
sind	w11_d433e7463
gewe	w13_d433e7467
sen:	w1_d433e7472
Man	w3_d433e7475
müste	w5_d433e7478
sowol	w7_d433e7481
in	w9_d433e7484
Jrrland,	w11_d433e7487
als	w13_d433e7491
in	w1_d433e7497
England,	w3_d433e7500
alle	w5_d433e7503
Kräften	w7_d433e7506
anwenden,	w9_d433e7509
um	w11_d433e7512
dadurch	w1_d433e7517
den	w3_d433e7520
Frieden	w5_d433e7523
desto	w7_d433e7526
eher	w9_d433e7529
zu	w11_d433e7532
beför	w13_d433e7536
dern,	w1_d433e7541
und	w3_d433e7544
den	w5_d433e7547
Feind	w7_d433e7550
zu	w9_d433e7553
nöhtigen,	w11_d433e7556
die	w13_d433e7560
Hän	w15_d433e7563
de	w1_d433e7568
zu	w3_d433e7571
bieten,	w5_d433e7574
um	w7_d433e7577
denselben	w9_d433e7580
auf	w11_d433e7583
eine	w13_d433e7587
Art	w15_d433e7590
</p>
<p id="p18_d433e7603">
zu	w1_d433e7607
schliessen,	w3_d433e7610
die	w5_d433e7613
denen	w7_d433e7616
Königl.	w9_d433e7619
Unterthanen	w11_d433e7622
anständig	w1_d433e7627
und	w3_d433e7630
nützlich	w5_d433e7633
wäre.	w7_d433e7636
Es	w9_d433e7639
wären	w11_d433e7642
mithin	w1_d433e7647
die	w3_d433e7650
Werbungen	w5_d433e7653
unvermeidlich,	w7_d433e7656
desto	w9_d433e7659
mehr,	w1_d433e7665
weil	w3_d433e7668
sie	w5_d433e7671
die	w7_d433e7674
Maß=reguln	w9_d433e7677
unt	w11_d433e7680
rstützen	w13_d433e7684
müsten,	w1_d433e7689
welche	w3_d433e7692
die	w5_d433e7695
Regierung	w7_d433e7698
genommen	w9_d433e7701
hätte,	w1_d433e7706
gedachten	w3_d433e7709
Frieden	w5_d433e7712
in	w7_d433e7715
diesem	w9_d433e7718
Jahre	w11_d433e7721
zu	w1_d433e7726
Stande	w3_d433e7729
zu	w5_d433e7732
bringen.	w7_d433e7735
</p>
<head id="h2_d433e7741">
Portsmouth	w1_d433e7745
17.	w3_d433e7748
Febr.	w5_d433e7751
</head>
<p id="p4_d433e7754">
Das	w1_d433e7758
Krieges	w3_d433e7761
schif,	w5_d433e7764
der	w7_d433e7767
St.	w9_d433e7770
Georg,	w11_d433e7773
ist	w13_d433e7777
in	w1_d433e7782
einem	w3_d433e7785
schlechten	w5_d433e7788
Zustande	w7_d433e7791
zu	w9_d433e7794
Spithead	w11_d433e7797
eingekommen.	w1_d433e7802
Es	w3_d433e7805
hat	w5_d433e7808
dasselbe,	w7_d433e7811
bey	w9_d433e7814
dem	w11_d433e7817
von	w1_d433e7823
vorgestern	w3_d433e7826
auf	w5_d433e7829
gestern	w7_d433e7832
gehabten	w9_d433e7835
gewal	w11_d433e7838
tigen	w1_d433e7843
Sturm,	w3_d433e7846
alle	w5_d433e7849
seine	w7_d433e7852
Masten	w9_d433e7855
verloren	w11_d433e7858
Als	w1_d433e7863
dieses	w3_d433e7866
Schif	w5_d433e7869
sich	w7_d433e7872
von	w9_d433e7875
dem	w11_d433e7878
Admiral	w13_d433e7882
Boscawen	w1_d433e7887
getrennet,	w3_d433e7890
hat	w5_d433e7893
das	w7_d433e7896
Schif,	w9_d433e7899
der	w11_d433e7902
Royal	w1_d433e7908
William,	w3_d433e7911
worauf	w5_d433e7914
dieser	w7_d433e7917
Admiral	w9_d433e7920
sich	w11_d433e7923
befand,	w1_d433e7928
sich	w3_d433e7931
in	w5_d433e7934
grosser	w7_d433e7937
Gefahr	w9_d433e7940
befunden,	w11_d433e7943
und	w1_d433e7948
seinen	w3_d433e7951
Besaumast	w5_d433e7954
schon	w7_d433e7957
verloren	w9_d433e7960
gehabt.	w11_d433e7963
</p>
<head id="h2_d433e7969">
Londen	w1_d433e7973
21.	w3_d433e7976
Februarii.	w5_d433e7979
</head>
<p id="p4_d433e7982">
Der	w1_d433e7986
Admiral	w3_d433e7989
Boscawen	w5_d433e7992
ist	w7_d433e7995
mit	w9_d433e7998
10.	w11_d433e8001
Kriegs=schiffen	w1_d433e8006
von	w3_d433e8009
Portsmuth	w5_d433e8012
zu	w7_d433e8015
einer	w9_d433e8018
Zeit	w11_d433e8021
abgesegelt,	w1_d433e8026
da	w3_d433e8029
das	w5_d433e8032
Wetter	w7_d433e8035
also	w9_d433e8038
beschaffen	w11_d433e8041
gewesen,	w1_d433e8047
daß	w3_d433e8050
man	w5_d433e8053
viel	w7_d433e8056
ehender	w9_d433e8059
nach	w11_d433e8062
einem	w13_d433e8066
Hafen	w1_d433e8071
seine	w3_d433e8074
Zuflucht,	w5_d433e8077
als	w7_d433e8080
die	w9_d433e8083
Abfahrt	w11_d433e8086
aus	w13_d433e8090
demselben,	w1_d433e8095
hätte	w3_d433e8098
beschleunigen	w5_d433e8101
sollen;	w7_d433e8104
ein	w9_d433e8107
wütender	w1_d433e8112
Orcan	w3_d433e8115
oder	w5_d433e8118
Sturm=wind	w7_d433e8121
über	w9_d433e8124
fiele	w1_d433e8130
in	w3_d433e8133
der	w5_d433e8136
Nacht	w7_d433e8139
vom	w9_d433e8142
15.	w11_d433e8145
bis	w13_d433e8149
auf	w15_d433e8152
den	w17_d433e8155
16.	w19_d433e8158
dieses	w1_d433e8163
seine	w3_d433e8166
Escadre	w5_d433e8169
ohnfern	w7_d433e8172
unsern	w9_d433e8175
Küsten	w11_d433e8178
zu	w1_d433e8183
wiederholtenmalen,	w3_d433e8186
und	w5_d433e8189
setzte	w7_d433e8192
solche	w9_d433e8195
in	w11_d433e8198
den	w1_d433e8203
Erbarmungs=würdigsten	w3_d433e8206
Zustand.	w5_d433e8209
Mehr	w7_d433e8212
als	w1_d433e8218
tausendmal	w3_d433e8221
ist	w5_d433e8224
dieser	w7_d433e8227
Admiral	w9_d433e8230
in	w11_d433e8233
der	w13_d433e8237
äussersten	w1_d433e8242
Gefahr	w3_d433e8245
gewesen,	w5_d433e8248
mit	w7_d433e8251
seinem	w9_d433e8254
Haupt	w11_d433e8257
schiffe,	w1_d433e8262
dem	w3_d433e8265
Königlichen	w5_d433e8268
Wilhelm	w7_d433e8271
von	w9_d433e8274
84.	w11_d433e8277
Canonen,	w1_d433e8282
zu	w3_d433e8285
Grunde	w5_d433e8288
zu	w7_d433e8291
gehen.	w9_d433e8294
Dieses	w11_d433e8297
Schif,	w1_d433e8303
welches	w3_d433e8306
auch	w5_d433e8309
seinen	w7_d433e8312
Hinter=mast	w9_d433e8315
eingebüffet,	w1_d433e8320
und	w3_d433e8323
drey	w5_d433e8326
andere,	w7_d433e8329
nämlich	w9_d433e8332
der	w11_d433e8335
Sandwich,	w1_d433e8340
der	w3_d433e8343
St.	w5_d433e8346
George	w7_d433e8349
und	w9_d433e8352
die	w11_d433e8355
Ver	w13_d433e8359
einigung,	w1_d433e8364
haben	w3_d433e8367
mit	w5_d433e8370
äusserster	w7_d433e8373
Noht	w9_d433e8376
kaum	w11_d433e8379
den	w1_d433e8385
Hafen	w3_d433e8388
von	w5_d433e8391
Pleimuth	w7_d433e8394
erreichen	w9_d433e8397
können.	w11_d433e8400
Alle	w1_d433e8405
Schiffe	w3_d433e8408
sind	w5_d433e8411
übel	w7_d433e8414
zugerichtet	w9_d433e8417
worden.	w11_d433e8420
Der	w1_d433e8425
Rest	w3_d433e8428
seiner	w5_d433e8431
Escadre	w7_d433e8434
hat	w9_d433e8437
sich	w11_d433e8440
nach	w13_d433e8444
ver	w15_d433e8447
schiedenen	w1_d433e8452
Häfen	w3_d433e8455
geflüchtet.	w5_d433e8458
Der	w7_d433e8461
Admiral	w9_d433e8464
</p>
<p id="p6_d433e8467">
Geary	w1_d433e8471
hat	w3_d433e8474
sich	w5_d433e8477
auf	w7_d433e8480
dem	w9_d433e8483
Sandwich	w11_d433e8486
befun	w13_d433e8490
den.	w1_d433e8495
Kein	w3_d433e8498
einziges	w5_d433e8501
Schif	w7_d433e8504
ist	w9_d433e8507
von	w11_d433e8510
dem	w13_d433e8514
gänz	w15_d433e8517
lichen	w1_d433e8522
Schaden	w3_d433e8525
verschonet	w5_d433e8528
geblieben;	w7_d433e8531
mit	w9_d433e8534
hin	w1_d433e8540
ist	w3_d433e8543
die	w5_d433e8546
so	w7_d433e8549
fürchterliche	w9_d433e8552
Ausrüstung	w11_d433e8555
nur	w13_d433e8559
zum	w1_d433e8564
Triumph	w3_d433e8567
der	w5_d433e8570
Stürmen	w7_d433e8573
bewerkstelli	w9_d433e8576
get	w1_d433e8581
worden.	w3_d433e8584
Uebrigens	w5_d433e8587
ist	w7_d433e8590
ein	w9_d433e8593
kleines	w11_d433e8596
Schif,	w1_d433e8601
das	w3_d433e8604
diesen	w5_d433e8607
Admiral	w7_d433e8610
begleitete,	w9_d433e8613
und	w11_d433e8616
worauf	w1_d433e8622
sich	w3_d433e8625
ein	w5_d433e8628
Officier	w7_d433e8631
nebst	w9_d433e8634
12.	w11_d433e8637
Matro	w13_d433e8641
sen	w1_d433e8646
befunden,	w3_d433e8649
völlig	w5_d433e8652
zu	w7_d433e8655
Grunde	w9_d433e8658
gegangen.	w11_d433e8661
Bisher	w1_d433e8666
schweben	w3_d433e8669
wir	w5_d433e8672
noch	w7_d433e8675
wegen	w9_d433e8678
dem	w11_d433e8681
Schick	w13_d433e8685
sale	w1_d433e8690
unsrer	w3_d433e8693
Flotte	w5_d433e8696
in	w7_d433e8699
der	w9_d433e8702
Bay	w11_d433e8705
von	w13_d433e8709
Quibe	w15_d433e8712
ron	w1_d433e8718
in	w3_d433e8721
Furcht	w5_d433e8724
und	w7_d433e8727
Hofnung	w9_d433e8730
</p>
<head id="h2_d433e8736">
Paris	w1_d433e8740
28.	w3_d433e8743
Februarii.	w5_d433e8746
</head>
<p id="p4_d433e8749">
Die	w1_d433e8753
Berahtschlagungen	w3_d433e8756
des	w5_d433e8759
Parlaments	w7_d433e8762
gehen	w1_d433e8767
noch	w3_d433e8770
täglich	w5_d433e8773
fort,	w7_d433e8776
um	w9_d433e8779
alle	w11_d433e8782
nur	w13_d433e8786
im	w15_d433e8789
mer	w1_d433e8794
zur	w3_d433e8797
Aufnahme	w5_d433e8800
des	w7_d433e8803
Staates	w9_d433e8806
gereichende	w11_d433e8809
Mittel	w1_d433e8815
mit	w3_d433e8818
dem	w5_d433e8821
Herrn	w7_d433e8824
General=controleur	w9_d433e8827
der	w1_d433e8832
Finanzen	w3_d433e8835
Bertin	w5_d433e8838
gemeinschaftlich	w7_d433e8841
zu	w9_d433e8844
überlegen	w1_d433e8849
und	w3_d433e8852
ausfündig	w5_d433e8855
zu	w7_d433e8858
machen,	w9_d433e8861
ohne	w11_d433e8864
daß	w1_d433e8869
hiedurch	w3_d433e8872
die	w5_d433e8875
Armut	w7_d433e8878
gedruckt	w9_d433e8881
werde.	w11_d433e8884
Jnzwischen	w1_d433e8890
spricht	w3_d433e8893
man	w5_d433e8896
von	w7_d433e8899
der	w9_d433e8902
Einfüh	w11_d433e8905
rung	w1_d433e8910
einer	w3_d433e8913
Abgabe	w5_d433e8916
des	w7_d433e8919
fünften	w9_d433e8922
Pfennings,	w11_d433e8925
während	w1_d433e8930
dieses	w3_d433e8933
Krieges,	w5_d433e8936
Doch	w7_d433e8939
diese	w9_d433e8942
Auf	w11_d433e8945
lage,	w1_d433e8950
sollen	w3_d433e8953
blos	w5_d433e8956
die	w7_d433e8959
wohlhabende	w9_d433e8962
Leute,	w11_d433e8965
und	w13_d433e8969
welche	w1_d433e8975
von	w3_d433e8978
5000.	w5_d433e8981
Livers	w7_d433e8984
1900.	w9_d433e8987
Livers	w11_d433e8990
be	w13_d433e8994
quemlich	w1_d433e8999
entbehren	w3_d433e9002
können,	w5_d433e9005
entrichten.	w7_d433e9008
Man	w1_d433e9013
weis	w3_d433e9016
sonsten	w5_d433e9019
zuverläßig:	w7_d433e9022
daß	w9_d433e9025
die	w11_d433e9028
Gens	w1_d433e9033
du	w3_d433e9036
Roy,	w5_d433e9039
den	w7_d433e9042
23.	w9_d433e9045
von	w11_d433e9048
neuem	w13_d433e9052
dem	w15_d433e9055
Könige	w1_d433e9061
zu	w3_d433e9064
Versailles	w5_d433e9067
aufgewartet,	w7_d433e9070
und	w9_d433e9073
Seine	w1_d433e9078
Majestät	w3_d433e9081
ersuchet,	w5_d433e9084
ihnen	w7_d433e9087
den	w9_d433e9090
Tag	w11_d433e9093
zu	w1_d433e9098
bestimmen,	w3_d433e9101
wo	w5_d433e9104
sie	w7_d433e9107
die	w9_d433e9110
Anmerkungen	w11_d433e9113
des	w13_d433e9117
Parlaments	w1_d433e9122
über	w3_d433e9125
die	w5_d433e9128
neuern	w7_d433e9131
Königlichen	w9_d433e9134
Befehle	w1_d433e9140
und	w3_d433e9143
Verordnungen,	w5_d433e9146
überreichen	w7_d433e9149
dürfen.	w1_d433e9154
Niemals	w3_d433e9157
sind	w5_d433e9160
die	w7_d433e9163
Courier	w9_d433e9166
so	w11_d433e9169
häufig	w13_d433e9173
zu	w1_d433e9178
und	w3_d433e9181
abgegangen,	w5_d433e9184
als	w7_d433e9187
nun	w9_d433e9190
täglich	w11_d433e9193
ge	w13_d433e9197
schicht.	w1_d433e9202
Jndem	w3_d433e9205
hier	w5_d433e9208
beständig	w7_d433e9211
sowol	w9_d433e9214
von	w11_d433e9217
Wien	w1_d433e9223
als	w3_d433e9226
Petersburg,	w5_d433e9229
die	w7_d433e9232
wichtigste	w9_d433e9235
Brief	w11_d433e9238
schaften	w1_d433e9243
einlauffen;	w3_d433e9246
doch	w5_d433e9249
bleiben	w7_d433e9252
ihre	w9_d433e9255
Ge	w11_d433e9258
schäfte	w1_d433e9263
ein	w3_d433e9266
Geheimnuß.	w5_d433e9269
Aber	w7_d433e9272
nach	w9_d433e9275
der	w11_d433e9278
Wahrscheinlichkeit	w1_d433e9283
zu	w3_d433e9286
urtheilen:	w5_d433e9289
so	w7_d433e9292
ist	w9_d433e9295
alle	w11_d433e9298
Hofnung	w1_d433e9304
zu	w3_d433e9307
einem	w5_d433e9310
disjährigen	w7_d433e9313
glücklichen	w9_d433e9316
Frieden	w1_d433e9321
verschwunden.	w3_d433e9324
Alle	w5_d433e9327
kriegende	w7_d433e9330
Möch	w1_d433e9335
</p>
<p id="p8_d433e9340">
Mächte	w1_d433e9344
kehren	w3_d433e9347
die	w5_d433e9350
Zurüstungen	w7_d433e9353
vor,	w9_d433e9356
den	w11_d433e9359
Krimit	w1_d433e9364
allem	w3_d433e9367
Ernste	w5_d433e9370
fortzusetzen.	w7_d433e9373
Ge	w9_d433e9376
wiß	w1_d433e9381
der	w3_d433e9384
beyderseitige	w5_d433e9387
Eifer	w7_d433e9390
und	w9_d433e9393
der	w11_d433e9396
allge	w13_d433e9400
meine	w1_d433e9406
Aufwand,	w3_d433e9409
scheinen	w5_d433e9412
die	w7_d433e9415
Betrachtun	w9_d433e9418
gen	w1_d433e9423
derjenigen,	w3_d433e9426
welche	w5_d433e9429
behaupten,	w7_d433e9432
daß	w9_d433e9435
der	w11_d433e9438
nächste	w1_d433e9443
Feld=zug	w3_d433e9446
das	w5_d433e9449
Schicksal,	w7_d433e9452
aller	w9_d433e9455
in	w11_d433e9458
den	w1_d433e9463
Krieg	w3_d433e9466
verwickelten	w5_d433e9469
Staaten	w7_d433e9472
entscheiden	w9_d433e9475
werde,	w1_d433e9481
zu	w3_d433e9484
unterstützen.	w5_d433e9487
Man	w7_d433e9490
versichert,	w9_d433e9493
daß	w1_d433e9498
bereits	w3_d433e9501
die	w5_d433e9504
anrückende	w7_d433e9507
Schott	w9_d433e9510
und	w11_d433e9513
Jrr	w13_d433e9517
länrische	w1_d433e9522
Regimenter	w3_d433e9525
die	w5_d433e9528
Armee	w7_d433e9531
des	w9_d433e9534
Herrn	w11_d433e9537
Marschallen	w1_d433e9542
Herzogen	w3_d433e9545
von	w5_d433e9548
Broglie	w7_d433e9551
verstär	w9_d433e9554
ken	w1_d433e9560
werden;	w3_d433e9563
in	w5_d433e9566
diesem	w7_d433e9569
Fall	w9_d433e9572
bestehet	w11_d433e9575
solche	w13_d433e9579
aus	w1_d433e9584
mehr	w3_d433e9587
dann	w5_d433e9590
90000.	w7_d433e9593
Mann.	w9_d433e9596
Diejeni	w11_d433e9599
ge	w1_d433e9604
Regimenter,	w3_d433e9607
welche	w5_d433e9610
am	w7_d433e9613
meisten	w9_d433e9616
in	w11_d433e9619
dem	w13_d433e9623
vorigen	w1_d433e9628
Jahre	w3_d433e9631
gelitten	w5_d433e9634
haben,	w7_d433e9637
lösen	w9_d433e9640
die	w11_d433e9643
frische	w1_d433e9649
und	w3_d433e9652
nach	w5_d433e9655
der	w7_d433e9658
Armee	w9_d433e9661
ziehende	w11_d433e9664
Völ	w13_d433e9668
ker,	w1_d433e9673
auf	w3_d433e9676
unsern	w5_d433e9679
Küsten	w7_d433e9682
ab.	w9_d433e9685
Zwanzig	w11_d433e9688
Ba	w13_d433e9692
taillons	w1_d433e9697
haben	w3_d433e9700
bereits	w5_d433e9703
Befehl	w7_d433e9706
sich	w9_d433e9709
zum	w11_d433e9712
Reu	w13_d433e9716
fort	w1_d433e9721
unserer	w3_d433e9724
Armeen	w5_d433e9727
in	w7_d433e9730
Teutschland	w9_d433e9733
marsch	w11_d433e9736
fertig	w1_d433e9742
zu	w3_d433e9745
halten.	w5_d433e9748
Das	w7_d433e9751
Regiment	w9_d433e9754
Elsas,	w11_d433e9757
aus	w1_d433e9762
3.	w3_d433e9765
Bataillons	w5_d433e9768
bestehend,	w7_d433e9771
wird	w9_d433e9774
bald	w11_d433e9777
von	w13_d433e9781
Düntirchen	w1_d433e9786
marschiren,	w3_d433e9789
um	w5_d433e9792
den	w7_d433e9795
23.	w9_d433e9798
Martii	w11_d433e9801
in	w1_d433e9806
Flandern,	w3_d433e9809
zu	w5_d433e9812
Aachen	w7_d433e9815
einzutreffen.	w9_d433e9818
Jhm	w11_d433e9821
werden	w1_d433e9827
die	w3_d433e9830
Regimenter	w5_d433e9833
von	w7_d433e9836
Normandie	w9_d433e9839
und	w11_d433e9842
von	w1_d433e9847
Bourbon,	w3_d433e9850
davon	w5_d433e9853
jedes	w7_d433e9856
aus	w9_d433e9859
4.	w11_d433e9862
Bata	w13_d433e9866
illons	w1_d433e9871
bestehet,	w3_d433e9874
schleunigst	w5_d433e9877
nachfolgen.	w7_d433e9880
Den	w9_d433e9883
1.	w1_d433e9888
Mariii	w3_d433e9891
wird	w5_d433e9894
das	w7_d433e9897
Regiment	w9_d433e9900
von	w11_d433e9903
Ber	w13_d433e9907
ques	w1_d433e9913
aufbrechen,	w3_d433e9916
um	w5_d433e9919
den	w7_d433e9922
folgenden	w9_d433e9925
26.	w11_d433e9928
zu	w13_d433e9932
Trier	w1_d433e9937
bey	w3_d433e9940
dem	w5_d433e9943
2.	w7_d433e9946
Bataillon	w9_d433e9949
des	w11_d433e9952
Regiments	w13_d433e9956
von	w1_d433e9961
Löwendahl	w3_d433e9964
zu	w5_d433e9967
seyn.	w7_d433e9970
Den	w9_d433e9973
3.	w11_d433e9976
marschirte	w13_d433e9980
das	w1_d433e9985
Regiment	w3_d433e9988
Royal=suedois	w5_d433e9991
von	w7_d433e9994
Grave	w9_d433e9997
lingen,	w1_d433e10003
und	w3_d433e10006
wird	w5_d433e10009
den	w7_d433e10012
28.	w9_d433e10015
zu	w11_d433e10018
Trier	w13_d433e10022
eintref	w15_d433e10025
fen.	w1_d433e10030
</p>
<p id="p10_d433e10033">
Die	w1_d433e10037
Prinzeßin	w3_d433e10040
von	w5_d433e10043
Conde	w7_d433e10046
befindet	w9_d433e10049
sich	w11_d433e10052
nun	w1_d433e10057
etwas	w3_d433e10060
besser,	w5_d433e10063
und	w7_d433e10066
der	w9_d433e10069
ganze	w11_d433e10072
Hof	w13_d433e10076
wird	w15_d433e10079
mit	w1_d433e10084
der	w3_d433e10087
Hofnung,	w5_d433e10090
ihre	w7_d433e10093
Gesundheit	w9_d433e10096
bald	w11_d433e10099
wieder	w1_d433e10105
hergestellet	w3_d433e10108
zu	w5_d433e10111
sehen,	w7_d433e10114
erfreuet.	w9_d433e10117
</p>
<head id="h2_d433e10123">
Dresden	w1_d433e10127
10.	w3_d433e10130
Martii.	w5_d433e10133
</head>
<p id="p4_d433e10136">
Dieser	w1_d433e10140
Tägen	w3_d433e10143
seynd	w5_d433e10146
die	w7_d433e10149
Herren	w9_d433e10152
Gene	w11_d433e10155
kälen	w1_d433e10160
von	w3_d433e10163
Sincere	w5_d433e10166
und	w7_d433e10169
Maquire	w9_d433e10172
recognos	w11_d433e10175
tiren	w1_d433e10180
gewesen.	w3_d433e10183
Laut	w5_d433e10186
Nachrichten,	w7_d433e10189
soll	w9_d433e10192
der	w1_d433e10198
Prinz	w3_d433e10201
Heinrich	w5_d433e10204
sich	w7_d433e10207
annoch	w9_d433e10210
in	w11_d433e10213
Witten	w13_d433e10217
</p>
<p id="p6_d433e10220">
berg	w1_d433e10224
befinden.	w3_d433e10227
Der	w5_d433e10230
Thüringische	w7_d433e10233
Creiß	w9_d433e10236
hat	w1_d433e10241
zwey	w3_d433e10244
tausend	w5_d433e10247
Wägen	w7_d433e10250
zu	w9_d433e10253
Fortschaf	w11_d433e10256
fung	w1_d433e10261
des	w3_d433e10264
Magazius	w5_d433e10267
herschaffen	w7_d433e10270
müssen,	w9_d433e10273
welches	w1_d433e10279
nacher	w3_d433e10282
Torgau	w5_d433e10285
verlegt	w7_d433e10288
wird,	w9_d433e10291
und	w11_d433e10294
sollen	w1_d433e10299
die	w3_d433e10302
Preußische	w5_d433e10305
Kranke	w7_d433e10308
von	w9_d433e10311
denen	w11_d433e10314
da	w13_d433e10318
sigen	w1_d433e10323
Gegenden	w3_d433e10326
weg,	w5_d433e10329
und	w7_d433e10332
nach	w9_d433e10335
Wittenberg	w11_d433e10338
gebracht	w1_d433e10343
werden;	w3_d433e10346
von	w5_d433e10349
dem	w7_d433e10352
District	w9_d433e10355
Oschatz	w11_d433e10358
an,	w1_d433e10364
bis	w3_d433e10367
nach	w5_d433e10370
Meissen,	w7_d433e10373
sollen	w9_d433e10376
drey	w11_d433e10379
Regi	w13_d433e10383
menter,	w1_d433e10388
jedes	w3_d433e10391
zu	w5_d433e10394
900.	w7_d433e10397
Mann	w9_d433e10400
errichtet	w11_d433e10403
wer	w13_d433e10407
den,	w1_d433e10412
und	w3_d433e10415
ist	w5_d433e10418
jedem	w7_d433e10421
Officier	w9_d433e10424
oder	w11_d433e10427
Regiment	w13_d433e10431
sein	w1_d433e10436
Canton	w3_d433e10439
angewiesen,	w5_d433e10442
wobey	w7_d433e10445
sehr	w9_d433e10448
viele	w11_d433e10451
Einwohner	w1_d433e10457
sich	w3_d433e10460
geflüchtet,	w5_d433e10463
indem	w7_d433e10466
sie	w9_d433e10469
ohne	w11_d433e10472
Unterscheid	w1_d433e10477
weggenommen	w3_d433e10480
werden.	w5_d433e10483
Laut	w7_d433e10486
Nachrichten,	w1_d433e10491
so	w3_d433e10494
soll	w5_d433e10497
die	w7_d433e10500
Preußische	w9_d433e10503
Caval	w11_d433e10506
lerie	w1_d433e10511
schon	w3_d433e10514
3.	w5_d433e10517
Täge	w7_d433e10520
Heu	w9_d433e10523
gesponnen	w11_d433e10526
haben,	w13_d433e10530
und	w1_d433e10536
ist	w3_d433e10539
alles	w5_d433e10542
schon	w7_d433e10545
bey	w9_d433e10548
14.	w11_d433e10551
Tägen	w13_d433e10555
