<doc id="edoc_wd_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="1">
<head id="hl1">
Erfurt	w39
=
</p>
<p id="p20">
tet	w1885
<g/>
,
seynd	w1887
von	w1888
dort	w1889
innerhalb	w1890
9	w1891
<g/>
.
Tägen	w1893
glücklich	w1894
hieher	w1895
zuruck	w1896
gekommen	w1897
<g/>
.
Vier	w1899
Che=bequen	w1900
<g/>
=
haben	w1902
aber	w1903
kaum	w1904
ein	w1905
wenig	w1906
ausge=ruhet	w1907
<g/>
=
<g/>
,
als	w1910
sie	w1911
den	w1912
Befehl	w1913
erhalten	w1914
<g/>
,
wider	w1916
die	w1917
barbarische	w1918
Schiffe	w1919
so	w1920
unsere	w1921
Gewässer	w1922
unsicher	w1923
machen	w1924
<g/>
,
auszulauffen	w1926
<g/>
.
Am	w1928
vergan=genen	w1929
<g/>
=
Sonn	w1931
<g/>
=
abend	w1933
in	w1934
der	w1935
Nacht	w1936
hat	w1937
unser	w1938
Vesuvius	w1939
ausserordentlich	w1940
stark	w1941
zu	w1942
toben	w1943
<g/>
,
und	w1945
aus	w1946
5	w1947
<g/>
.
neuen	w1949
Klüften	w1950
eine	w1951
Menge	w1952
Harz	w1953
auszuwerfen	w1954
angefangen	w1955
<g/>
,
welches	w1957
grosse	w1958
Verwüstung	w1959
drohet	w1960
<g/>
.
Die	w1962
Lava	w1963
läuft	w1964
gegen	w1965
Torre	w1966
Nunziata	w1967
<g/>
.
Diese	w1969
ungestümme	w1970
Ent=zündung	w1971
<g/>
=
zu	w1973
betrachten	w1974
<g/>
,
seynd	w1976
am	w1977
Sonntag	w1978
und	w1979
Monntag	w1980
viele	w1981
Personen	w1982
von	w1983
hier	w1984
abge=gangen	w1985
<g/>
=
<g/>
,
während	w1988
<g/>
,
daß	w1990
die	w1991
arme	w1992
umligende	w1993
Jnwohner	w1994
GOtt	w1995
auf	w1996
denen	w1997
Knien	w1998
um	w1999
baldige	w2000
Endschaft	w2001
ihres	w2002
so	w2003
grossen	w2004
Unglücks	w2005
anflehen	w2006
<g/>
.
</p>
<head id="hl8">
Paris	w2008
10	w2009
<g/>
.
Decemb	w2011
<g/>
.
1759	w2013
<g/>
.
</head>
<p id="p21">
Der	w2015
König	w2016
<g/>
,
der	w2018
Dauphin	w2019
<g/>
,
Madame	w2021
la	w2022
Dauphine	w2023
<g/>
,
und	w2025
die	w2026
Königl	w2027
<g/>
.
Prinzeßinnen	w2029
seynd	w2030
unmittelbar	w2031
nach	w2032
dem	w2033
Ableben	w2034
der	w2035
Jn=fantin	w2036
<g/>
=
<g/>
,
Herzogin	w2039
von	w2040
Parma	w2041
nach	w2042
Marli	w2043
abgegangen	w2044
<g/>
,
um	w2046
sich	w2047
etliche	w2048
Täge	w2049
daselbst	w2050
aufzuhalten	w2051
<g/>
,
und	w2053
die	w2054
Königin	w2055
hat	w2056
sich	w2057
nach	w2058
Trianon	w2059
begeben	w2060
<g/>
.
Der	w2062
Leichnam	w2063
von	w2064
Jhrer	w2065
Königl	w2066
<g/>
.
Hoheit	w2068
ist	w2069
<g/>
,
nachdem	w2071
man	w2072
ihn	w2073
ein=balsamirt	w2074
<g/>
=
hat	w2076
<g/>
,
ohne	w2078
Gepränge	w2079
nach	w2080
der	w2081
Ab=tey	w2082
<g/>
=
St	w2084
<g/>
.
Denis	w2086
abgeführt	w2087
<g/>
,
und	w2089
alda	w2090
in	w2091
das	w2092
Begräbnuß	w2093
der	w2094
Prinzen	w2095
der	w2096
Königl	w2097
<g/>
.
Famile	w2099
beygesetzet	w2100
worden	w2101
<g/>
.
Wegen	w2103
dieses	w2104
Ster=be	w2105
<g/>
=
<g/>
=
falls	w2108
seynd	w2109
unsere	w2110
Schau	w2111
<g/>
=
plätze	w2113
auf	w2114
ei=nige	w2115
<g/>
=
Täge	w2117
geschlossen	w2118
<g/>
,
und	w2120
es	w2121
ist	w2122
auch	w2123
aus	w2124
der	w2125
Ursache	w2126
das	w2127
geistliche	w2128
Concert	w2129
<g/>
,
das	w2131
am	w2132
Feste	w2133
Mariä	w2134
Empfängniß	w2135
in	w2136
dem	w2137
Palais	w2138
der	w2139
Thuilleries	w2140
gegeben	w2141
werden	w2142
sollte	w2143
<g/>
,
ver=schoben	w2145
<g/>
=
worden	w2147
<g/>
.
</p>
<head id="hl9">
Maynstrom	w2149
17	w2150
<g/>
.
Dec	w2152
<g/>
.
1759	w2154
<g/>
.
</head>
<p id="p22">
Das	w2156
ganze	w2157
Würtembergische	w2158
Corps	w2159
be=gibt	w2160
<g/>
=
sich	w2162
auf	w2163
den	w2164
Marsch	w2165
<g/>
,
um	w2167
durch	w2168
die	w2169
Wetterau	w2170
zu	w2171
dringen	w2172
<g/>
;
morgen	w2174
wird	w2175
dassel=bige	w2176
<g/>
=
schon	w2178
zu	w2179
Steinau	w2180
<g/>
,
Schlüchtern	w2182
und	w2183
denen	w2184
dortigen	w2185
Gegenden	w2186
anlangen	w2187
<g/>
,
seine	w2189
</p>
<p id="p23">
leichte	w2192
Trupen	w2193
sind	w2194
bereits	w2195
zu	w2196
Herberstein	w2197
eingetroffen	w2198
<g/>
,
allwo	w2200
man	w2201
sehr	w2202
viel	w2203
Brod	w2204
und	w2205
Fourage	w2206
den	w2207
Durchzug	w2208
von	w2209
10000	w2210
<g/>
.
Mann	w2212
zu	w2213
befördern	w2214
<g/>
,
besorget	w2216
<g/>
.
</p>
<head id="hl10">
Madrid	w2218
23	w2219
November	w2220
<g/>
.
1759	w2222
<g/>
.
</head>
<p id="p24">
Es	w2224
vergehet	w2225
kein	w2226
Tag	w2227
<g/>
,
daß	w2229
man	w2230
nicht	w2231
Nachrichten	w2232
von	w2233
Saragossa	w2234
empfängt	w2235
<g/>
,
und	w2237
die	w2238
letzteren	w2239
enthalten	w2240
<g/>
,
daß	w2242
der	w2243
König	w2244
sich	w2245
in	w2246
vollkommenem	w2247
Wolstande	w2248
befinde	w2249
<g/>
.
Hin=gegen	w2251
<g/>
=
haben	w2253
sich	w2254
bey	w2255
der	w2256
Unpäßlichkeit	w2257
der	w2258
Königin	w2259
die	w2260
Masern	w2261
geäussert	w2262
<g/>
,
welche	w2264
aber	w2265
zu	w2266
Jhrer	w2267
Majestät	w2268
baldiger	w2269
Genesung	w2270
gute	w2271
Hofnung	w2272
geben	w2273
<g/>
.
Der	w2275
Prinz	w2276
von	w2277
Asturien	w2278
ist	w2279
völlig	w2280
wieder	w2281
hergestellt	w2282
<g/>
,
und	w2284
die	w2285
übrige	w2286
Kön	w2287
<g/>
.
Famile	w2289
befindet	w2290
sich	w2291
auch	w2292
so	w2293
wol	w2294
<g/>
,
als	w2296
die	w2297
Witterung	w2298
gestatten	w2299
kan	w2300
<g/>
,
also	w2302
<g/>
,
daß	w2304
man	w2305
<g/>
,
wann	w2307
kein	w2308
anderer	w2309
Zufall	w2310
dazwischen	w2311
kommt	w2312
<g/>
,
Jhre	w2314
Majestäten	w2315
<g/>
,
und	w2317
den	w2318
Hof	w2319
längstens	w2320
in	w2321
3	w2322
<g/>
.
bis	w2324
4	w2325
<g/>
.
Wochen	w2327
hier	w2328
zu	w2329
sehen	w2330
hoffet	w2331
<g/>
.
</p>
<head id="hl11">
Bergen	w2333
in	w2334
Norwegen	w2335
20	w2336
<g/>
.
No=vember	w2338
<g/>
=
<g/>
.
1759	w2341
<g/>
.
</head>
<p id="p25">
Jndem	w2343
wir	w2344
den	w2345
Französischen	w2346
Capitain	w2347
Thurot	w2348
an	w2349
der	w2350
Schottischen	w2351
Küste	w2352
vermu=teten	w2353
<g/>
=
<g/>
,
ist	w2356
derselbe	w2357
am	w2358
17ten	w2359
dieses	w2360
mit	w2361
4	w2362
<g/>
.
Kriegs	w2364
<g/>
=
schiffen	w2366
in	w2367
den	w2368
anderthalb	w2369
Meilen	w2370
von	w2371
hier	w2372
gelegenen	w2373
Hafen	w2374
eingeloffen	w2375
<g/>
.
Der	w2377
Herr	w2378
Thurot	w2379
sagte	w2380
<g/>
,
daß	w2382
2	w2383
<g/>
.
Schiffe	w2385
von	w2386
sei=ner	w2387
<g/>
=
Flotille	w2389
auf	w2390
der	w2391
See	w2392
durch	w2393
Sturm	w2394
von	w2395
ihm	w2396
abgekommen	w2397
wären	w2398
<g/>
.
Er	w2400
ist	w2401
heute	w2402
in	w2403
eigener	w2404
Person	w2405
vor	w2406
unsere	w2407
Stadt	w2408
gekommen	w2409
<g/>
.
</p>
<head id="hl12">
Paris	w2411
12	w2412
<g/>
.
December	w2414
<g/>
.
1759	w2416
<g/>
.
</head>
<p id="p26">
Durch	w2418
den	w2419
Todes	w2420
<g/>
=
fall	w2422
der	w2423
Madame	w2424
<g/>
,
Herzogin	w2426
von	w2427
Parma	w2428
<g/>
,
einer	w2430
derer	w2431
klügsten	w2432
Prinzeßin	w2433
in	w2434
Europa	w2435
<g/>
,
sind	w2437
Jhre	w2438
Majestä=ten	w2439
<g/>
=
<g/>
,
die	w2442
Königl	w2443
<g/>
.
Famille	w2445
und	w2446
der	w2447
ganze	w2448
Hof	w2449
in	w2450
den	w2451
tiefsten	w2452
Kummer	w2453
versenket	w2454
worden	w2455
<g/>
.
Und	w2457
dieser	w2458
Schmerz	w2459
wird	w2460
bey	w2461
Jhren	w2462
Maje=stäten	w2463
<g/>
=
noch	w2465
durch	w2466
die	w2467
Unpäßlichkeit	w2468
des	w2469
Herrn	w2470
Herzogs	w2471
von	w2472
Burgund	w2473
vermehret	w2474
<g/>
,
als	w2476
die	w2477
<g/>
,
so	w2479
gering	w2480
sie	w2481
im	w2482
Anfang	w2483
geschie=nen	w2484
<g/>
=
hat	w2486
<g/>
,
seit	w2488
dem	w2489
Gebrauch	w2490
des	w2491
Bades	w2492
<g/>
,
welches	w2494
diesem	w2495
liebenswürdigen	w2496
Prinzen	w2497
ver=ordnet	w2498
<g/>
=
worden	w2500
ist	w2501
<g/>
,
und	w2503
das	w2504
für	w2505
ihn	w2506
eine	w2507
ganz	w2508
</p>
<p id="p27">
widrige	w2509
Würkung	w2510
gehabt	w2511
<g/>
,
sich	w2513
vergrössert	w2514
hat	w2515
<g/>
.
Zur	w2517
bevorstehenden	w2518
Versammlung	w2519
der	w2520
Clerisey	w2521
ist	w2522
allschon	w2523
eine	w2524
starke	w2525
Anzahl	w2526
von	w2527
Präla=ten	w2528
<g/>
=
hier	w2530
eingetroffen	w2531
<g/>
.
Von	w2533
dem	w2534
See	w2535
<g/>
=
gefecht	w2537
vom	w2538
20	w2539
<g/>
.
Nov	w2541
<g/>
.
so	w2543
unweit	w2544
Croisie	w2545
<g/>
,
nur	w2547
2	w2548
<g/>
.
Meilen	w2550
vom	w2551
Land	w2552
<g/>
,
zwischen	w2554
dem	w2555
Herrn	w2556
von	w2557
Conflans	w2558
<g/>
,
und	w2560
dem	w2561
Admiral	w2562
Hawke	w2563
vorge=fallen	w2564
<g/>
=
<g/>
,
schreibt	w2567
ein	w2568
Freund	w2569
aus	w2570
Bretagne	w2571
folgende	w2572
Umstände	w2573
<g/>
:
Zwey	w2575
feindliche	w2576
Schiffe	w2577
<g/>
,
der	w2579
Essex	w2580
und	w2581
die	w2582
Resolution	w2583
<g/>
,
haben	w2585
auf	w2586
unsern	w2587
Küsten	w2588
gescheitert	w2589
<g/>
.
Der	w2591
Herzog	w2592
von	w2593
Aiguillon	w2594
hat	w2595
selbige	w2596
<g/>
,
nachdeme	w2598
man	w2599
vorhero	w2600
alles	w2601
salviret	w2602
<g/>
,
was	w2604
möglich	w2605
gewe=sen	w2606
<g/>
=
<g/>
,
verbrennen	w2609
lassen	w2610
<g/>
.
Er	w2612
liesse	w2613
auch	w2614
auf	w2615
jeder	w2616
Seite	w2617
des	w2618
Einflusses	w2619
von	w2620
la	w2621
Vilaine	w2622
Batterien	w2623
aufrichten	w2624
<g/>
,
so	w2626
<g/>
,
daß	w2628
unsere	w2629
7	w2630
<g/>
.
Schiffe	w2632
und	w2633
4	w2634
<g/>
.
Fregatten	w2636
<g/>
,
welche	w2638
in	w2639
diese	w2640
Reviere	w2641
sich	w2642
geflüchtet	w2643
<g/>
,
in	w2645
guter	w2646
Sicherheit	w2647
sich	w2648
befinden	w2649
<g/>
.
Als	w2651
man	w2652
auf	w2653
der	w2654
Küste	w2655
ge=wahr	w2656
<g/>
=
wurde	w2658
<g/>
,
daß	w2660
die	w2661
beyden	w2662
Schiffe	w2663
<g/>
,
die	w2665
Königl	w2666
<g/>
.
Sonne	w2668
und	w2669
der	w2670
Held	w2671
<g/>
,
in	w2673
so	w2674
noht=leidenden	w2675
<g/>
=
Umständen	w2677
steckten	w2678
<g/>
,
sind	w2680
die	w2681
Ein=wohner	w2682
<g/>
=
von	w2684
Croisie	w2685
Hauffen	w2686
<g/>
=
weis	w2688
ans	w2689
Ufer	w2690
geloffen	w2691
<g/>
,
und	w2693
haben	w2694
so	w2695
viel	w2696
als	w2697
möglich	w2698
<g/>
,
die	w2700
Leute	w2701
gerettet	w2702
<g/>
.
Das	w2704
erste	w2705
derselben	w2706
<g/>
,
welches	w2708
fast	w2709
gänzlich	w2710
zerschmettert	w2711
war	w2712
<g/>
,
stelte	w2714
das	w2715
allertraurigste	w2716
Schauspiel	w2717
vor	w2718
<g/>
,
durch	w2720
den	w2721
Anblick	w2722
so	w2723
vieler	w2724
Menschen	w2725
<g/>
,
welche	w2727
mit	w2728
gegen	w2729
Himmel	w2730
gehobenen	w2731
Händen	w2732
zwischen	w2733
Leben	w2734
und	w2735
Tod	w2736
schwebeten	w2737
<g/>
,
und	w2739
vor	w2740
Kälte	w2741
fast	w2742
erstarreten	w2743
<g/>
.
Der	w2745
Herr	w2746
Herzog	w2747
von	w2748
Aiguillon	w2749
erhobe	w2750
sich	w2751
in	w2752
Person	w2753
nach	w2754
Croi=sie	w2755
<g/>
=
<g/>
,
und	w2758
gienge	w2759
ihnen	w2760
mit	w2761
möglicher	w2762
Hülfe	w2763
an	w2764
die	w2765
Hand	w2766
<g/>
.
Man	w2768
schreibt	w2769
von	w2770
Bannes	w2771
<g/>
,
daß	w2773
die	w2774
Feinde	w2775
noch	w2776
beständig	w2777
in	w2778
selbigen	w2779
Gegenden	w2780
sich	w2781
aufhalten	w2782
<g/>
,
gleichwol	w2784
aber	w2785
kei=ne	w2786
<g/>
=
Anstalten	w2788
zu	w2789
machen	w2790
schienen	w2791
<g/>
,
als	w2793
wann	w2794
sie	w2795
eine	w2796
frische	w2797
Unternehmung	w2798
gegen	w2799
unsere	w2800
zertheilte	w2801
Flotte	w2802
wagen	w2803
wollten	w2804
<g/>
.
Jhr	w2806
Ad=miral	w2807
<g/>
=
<g/>
,
Herr	w2810
Hawke	w2811
<g/>
,
hätte	w2813
einen	w2814
seiner	w2815
Officiers	w2816
an	w2817
den	w2818
Herrn	w2819
Herzogen	w2820
von	w2821
Ai=guillon	w2822
<g/>
=
geschicket	w2824
<g/>
,
und	w2826
ihme	w2827
die	w2828
Bleßirten	w2829
<g/>
,
</p>
<p id="p28">
desgleichen	w2833
die	w2834
auf	w2835
denen	w2836
gefangenen	w2837
Schif=fen	w2838
<g/>
=
gefundene	w2840
regulierte	w2841
Trupen	w2842
angebotten	w2843
<g/>
.
</p>
<head id="hl13">
Prag	w2845
22	w2846
<g/>
.
December	w2848
<g/>
.
1759	w2850
<g/>
.
</head>
<p id="p29">
Seit	w2852
eingen	w2853
Tagen	w2854
ist	w2855
allhier	w2856
eine	w2857
der	w2858
strengsten	w2859
Kälten	w2860
<g/>
,
dergleichen	w2862
man	w2863
seit	w2864
eini=gen	w2865
<g/>
=
Jahren	w2867
nicht	w2868
gehabt	w2869
<g/>
.
Der	w2871
hiesige	w2872
Moldau	w2873
<g/>
=
fluß	w2875
ist	w2876
völlig	w2877
mit	w2878
Eis	w2879
beleget	w2880
<g/>
,
und	w2882
man	w2883
hat	w2884
bereits	w2885
vor	w2886
dreyen	w2887
Tagen	w2888
das	w2889
Eis	w2890
zu	w2891
hauen	w2892
angefangen	w2893
<g/>
,
und	w2895
solches	w2896
in	w2897
die	w2898
Keller	w2899
verführet	w2900
Sonsten	w2901
hat	w2902
man	w2903
abge=wichener	w2904
<g/>
=
Tagen	w2906
viele	w2907
Fuhren	w2908
Bretter	w2909
von	w2910
hier	w2911
nach	w2912
Desden	w2913
abgeführet	w2914
wohin	w2915
auch	w2916
täglich	w2917
vieles	w2918
Proviant	w2919
und	w2920
andere	w2921
Victua=lien	w2922
<g/>
=
transportiret	w2924
wird	w2925
<g/>
.
Sowol	w2927
in	w2928
dieser	w2929
<g/>
,
als	w2931
in	w2932
der	w2933
abgewichenen	w2934
Woche	w2935
<g/>
,
hat	w2937
man	w2938
viele	w2939
Preußische	w2940
Officiers	w2941
<g/>
,
so	w2943
bey	w2944
denen	w2945
letz=tern	w2946
<g/>
=
Affairen	w2948
zu	w2949
Kriegs	w2950
<g/>
=
gefangenen	w2952
ge=macht	w2953
<g/>
=
worden	w2955
<g/>
,
auf	w2957
Wägen	w2958
anhero	w2959
gebracht	w2960
<g/>
,
welche	w2962
weiters	w2963
von	w2964
hier	w2965
abgehen	w2966
sollen	w2967
<g/>
,
und	w2969
seynd	w2970
derselben	w2971
noch	w2972
mehrere	w2973
auf	w2974
dem	w2975
Weg	w2976
hieher	w2977
begriffen	w2978
<g/>
.
</p>
<head id="hl14">
Kurz	w2980
<g/>
=
gefaßte	w2982
Nachrichten	w2983
von	w2984
verschiedenen	w2985
Orten	w2986
<g/>
.
</head>
<p id="p30">
Briefe	w2988
von	w2989
Frankfort	w2990
an	w2991
der	w2992
Oder	w2993
geben	w2994
<g/>
,
daß	w2996
ungeachtet	w2997
die	w2998
Rußische	w2999
Armee	w3000
bereits	w3001
in	w3002
denen	w3003
Winter	w3004
<g/>
=
quartieren	w3006
sich	w3007
befinde	w3008
<g/>
,
die	w3010
leichte	w3011
Trupen	w3012
davon	w3013
dannoch	w3014
an	w3015
denen	w3016
Grän=zen	w3017
<g/>
=
von	w3019
Brandenburg	w3020
und	w3021
Schlesien	w3022
un=aufhörlich	w3023
<g/>
=
streiffen	w3025
<g/>
,
gleich	w3027
dann	w3028
dieselbe	w3029
un=tet	w3030
<g/>
=
anderen	w3032
Zettitz	w3033
<g/>
,
Leutnitz	w3035
<g/>
,
Krammers=horn	w3037
<g/>
=
Bandach	w3039
<g/>
,
Balzig	w3041
<g/>
,
Züllichau	w3043
und	w3044
Schwibus	w3045
wie	w3046
auch	w3047
Drossen	w3048
und	w3049
Reppen	w3050
in	w3051
Contribution	w3052
gesetzet	w3053
haben	w3054
<g/>
.
</p>
<p id="p31">
Man	w3056
berichtet	w3057
von	w3058
Erfurt	w3059
<g/>
,
daß	w3061
das	w3062
Hanövrische	w3063
Corps	w3064
<g/>
(
welches	w3066
in	w3067
17	w3068
<g/>
.
oder	w3070
18	w3071
<g/>
.
tausend	w3073
Mann	w3074
bestehen	w3075
solle	w3076
<g/>
)
unter	w3078
Commando	w3079
des	w3080
Erb	w3081
<g/>
=
prinzens	w3083
von	w3084
Braun=schweig	w3085
<g/>
=
den	w3087
19	w3088
<g/>
.
und	w3090
20	w3091
<g/>
.
dieses	w3093
Monats	w3094
alda	w3095
durchgezogen	w3096
seye	w3097
<g/>
,
und	w3099
daß	w3100
diese	w3101
Tru=pen	w3102
<g/>
=
ziemlich	w3104
gute	w3105
Manns	w3106
<g/>
=
zucht	w3108
gehalten	w3109
haben	w3110
<g/>
.
Es	w3112
ist	w3113
aber	w3114
anbey	w3115
nicht	w3116
zu	w3117
bebeschreiben	w3118
<g/>
=
</p>
<p id="p32">
schreiben	w3120
<g/>
,
was	w3122
für	w3123
Ungemach	w3124
dieselbe	w3125
auf	w3126
diesen	w3127
Marsch	w3128
erlitten	w3129
<g/>
,
indem	w3131
sie	w3132
überall	w3133
eine	w3134
beträchtliche	w3135
Anzahl	w3136
Kranke	w3137
zuruck	w3138
lassen	w3139
müssen	w3140
<g/>
.
</p>
<p id="p33">
Zufolge	w3142
deren	w3143
Briefen	w3144
von	w3145
Madrid	w3146
vom	w3147
3	w3148
<g/>
.
December	w3150
ist	w3151
der	w3152
daselbstige	w3153
Hof	w3154
erst	w3155
den	w3156
1	w3157
<g/>
.
dieses	w3159
Monats	w3160
von	w3161
Saragossa	w3162
abgerei=set	w3163
<g/>
=
<g/>
,
und	w3166
zumalen	w3167
derselbe	w3168
bey	w3169
so	w3170
kurzen	w3171
Tä=gen	w3172
<g/>
=
sothane	w3174
Reise	w3175
angetretten	w3176
<g/>
,
so	w3178
hat	w3179
er	w3180
an	w3181
dem	w3182
Tag	w3183
seiner	w3184
beschehenen	w3185
Abreise	w3186
in	w3187
dem	w3188
Dorf	w3189
Maria	w3190
<g/>
,
zwey	w3192
Meilen	w3193
weit	w3194
von	w3195
Saragossa	w3196
entfernet	w3197
<g/>
,
das	w3199
erste	w3200
Nacht	w3201
<g/>
=
lager	w3203
gehalten	w3204
<g/>
.
Uebriges	w3206
aber	w3207
befinden	w3208
sich	w3209
nun=mehro	w3210
<g/>
=
beede	w3212
Königl	w3213
<g/>
.
Majestäten	w3215
<g/>
,
und	w3217
die	w3218
ganze	w3219
übrige	w3220
Königl	w3221
<g/>
.
Famille	w3223
in	w3224
vollkom=mener	w3225
<g/>
=
Gesundheit	w3227
<g/>
.
</p>
<head id="hl15">
Wien	w3229
den	w3230
2	w3231
<g/>
.
Januarii	w3233
1760	w3234
</head>
<p id="p34">
Samstag	w3235
den	w3236
29sten	w3237
abgeloffenen	w3238
Mo=nats	w3239
<g/>
=
Decembr	w3241
<g/>
.
haben	w3243
beede	w3244
Kaiserl	w3245
<g/>
.
Majestäten	w3247
nach	w3248
dem	w3249
gehaltenen	w3250
Gottes=dienst	w3251
<g/>
=
mit	w3253
denen	w3254
wichtigen	w3255
Staats	w3256
<g/>
=
und	w3258
Landes	w3259
<g/>
=
angelegenheiten	w3261
sich	w3262
beschäftiget	w3263
<g/>
.
</p>
<p id="p35">
Sontags	w3265
den	w3266
30	w3267
<g/>
.
Decemb	w3269
<g/>
.
haben	w3271
bey=derseits	w3272
<g/>
=
Kaiserl	w3274
<g/>
.
Königl	w3276
<g/>
.
Majestäten	w3278
aller=gnädigst	w3279
<g/>
=
geruhet	w3281
<g/>
,
die	w3283
durch	w3284
den	w3285
Tod	w3286
Weil	w3287
<g/>
.
des	w3289
Herrn	w3290
Grafens	w3291
von	w3292
Königsegg	w3293
<g/>
=
erps	w3295
Excellenz	w3296
erledigte	w3297
Kais	w3298
<g/>
.
und	w3300
Kais	w3301
<g/>
.
Königl	w3303
<g/>
.
Hof	w3305
<g/>
=
kammer	w3307
<g/>
=
präsidenten	w3309
<g/>
=
stelle	w3311
Sr	w3312
<g/>
.
Excellenz	w3314
dem	w3315
Herrn	w3316
Rudolph	w3317
Grafen	w3318
von	w3319
Choteck	w3320
Allerhöchst	w3321
<g/>
=
derenselben	w3323
würklich	w3324
geheimen	w3325
Raht	w3326
<g/>
,
Rittern	w3328
des	w3329
goldenen	w3330
Vliesses	w3331
<g/>
,
der	w3333
Mi=nisterial	w3334
<g/>
=
<g/>
=
banco	w3337
<g/>
=
deputation	w3339
<g/>
,
und	w3341
des	w3342
Commer=cien	w3343
<g/>
=
<g/>
=
directorii	w3346
Präsidenten	w3347
zu	w3348
verleihen	w3349
<g/>
,
und	w3351
seynd	w3352
Se	w3353
<g/>
.
Excellenz	w3355
sodann	w3356
von	w3357
<g/>
(
Titl	w3359
<g/>
.
<g/>
)
Sr	w3362
<g/>
.
Excellenz	w3364
dem	w3365
Kaiserl	w3366
<g/>
.
Königl	w3368
<g/>
.
Obrist	w3370
<g/>
=
hof=meistern	w3372
<g/>
=
Grafen	w3374
von	w3375
Uhlfeld	w3376
gehörig	w3377
vorge=stellet	w3378
<g/>
=
worden	w3380
<g/>
.
</p>
<p id="p36">
Dieser	w3382
Minister	w3383
behält	w3384
dabey	w3385
<g/>
,
wie	w3387
bis=her	w3388
<g/>
=
<g/>
,
das	w3391
Präsidium	w3392
über	w3393
den	w3394
Banco	w3395
<g/>
,
dessen	w3397
Ordnung	w3398
<g/>
,
und	w3400
Grund	w3401
<g/>
=
sätze	w3403
unveränderlich	w3404
verbleiben	w3405
<g/>
.
</p>
<p id="p37">
Mondag	w3409
den	w3410
30	w3411
<g/>
.
December	w3413
haben	w3414
Se	w3415
<g/>
.
Majestät	w3417
der	w3418
Kaiser	w3419
der	w3420
feyerlichen	w3421
Toison=vesper	w3422
<g/>
=
beyhewohnetbeygewohnet	w3424
<g/>
,
worauf	w3426
der	w3427
gewöhn=liche	w3428
<g/>
=
Gottes	w3430
<g/>
=
dienst	w3432
zum	w3433
Beschluß	w3434
in	w3435
der	w3436
Kammer	w3437
<g/>
=
kapellen	w3439
beschahe	w3440
<g/>
.
</p>
<p id="p38">
Dienstag	w3442
den	w3443
1	w3444
<g/>
.
Jan	w3446
<g/>
.
als	w3448
an	w3449
dem	w3450
neuen	w3451
Jahrs	w3452
<g/>
=
tag	w3454
Vormittags	w3455
um	w3456
11	w3457
<g/>
.
Uhr	w3459
seynd	w3460
beede	w3461
Kaiserl	w3462
<g/>
.
Majestäten	w3464
in	w3465
offentlichen	w3466
Staat	w3467
nach	w3468
der	w3469
Kirche	w3470
des	w3471
Profeß	w3472
<g/>
=
hauses	w3474
S	w3475
<g/>
.
J	w3477
<g/>
.
am	w3479
Hof	w3480
abgefahren	w3481
<g/>
,
alwo	w3483
die	w3484
Her=ren	w3485
<g/>
=
Ordens	w3487
<g/>
=
rittere	w3489
des	w3490
goldenen	w3491
Vlies=ses	w3492
<g/>
=
die	w3494
Aufwartung	w3495
gemacht	w3496
<g/>
,
und	w3498
alda	w3499
dem	w3500
hoch	w3501
<g/>
=
feyerlichen	w3503
Fest	w3504
des	w3505
allerheiligsten	w3506
Na=mens	w3507
<g/>
=
Jesu	w3509
beygewohnet	w3510
<g/>
.
</p>
<head id="hl16">
Lista	w3512
deren	w3513
Verstorbenen	w3514
zu	w3515
Wien	w3516
in	w3517
<g/>
=
und	w3519
vor	w3520
der	w3521
Stadt	w3522
<g/>
.
</head>
<head id="hl17">
Den	w3524
28	w3525
<g/>
.
Dec	w3527
<g/>
.
1759	w3529
<g/>
.
</head>
<head id="hl18">
Jn	w3531
der	w3532
Stadt	w3533
<g/>
.
</head>
<list id="">
Der	w3535
Hoch	w3536
<g/>
=
geb	w3538
<g/>
.
Hr	w3540
<g/>
.
Hr	w3542
<g/>
.
Carl	w3544
Jac	w3545
<g/>
.
de	w3547
Langquail	w3548
<g/>
,
des	w3550
H	w3551
<g/>
.
R	w3553
<g/>
.
R	w3555
<g/>
.
Graf	w3557
v	w3558
<g/>
.
Puquan	w3560
<g/>
,
Frey	w3562
<g/>
=
herr	w3564
zu	w3565
Vaux	w3566
<g/>
,
Commendator	w3568
zweyer	w3569
Campag	w3570
von	w3571
der	w3572
Ordi-nanz	w3573
<g/>
-
in	w3575
Flandern	w3576
<g/>
,
und	w3578
Erb	w3579
<g/>
=
obrist	w3581
<g/>
=
land	w3583
<g/>
=
jäger	w3585
<g/>
=
mei=ster	w3587
<g/>
=
der	w3589
Provinz	w3590
Artois	w3591
<g/>
,
beym	w3593
Aug	w3594
GOttes	w3595
am	w3596
Pet	w3597
<g/>
.
<g/>
,
alt	w3600
50	w3601
<g/>
.
J	w3603
<g/>
.
Dem	w3605
Wol	w3606
<g/>
=
edel	w3608
<g/>
=
geb	w3610
<g/>
.
Hrn	w3612
<g/>
.
Joh	w3614
<g/>
.
Franz	w3616
v	w3617
<g/>
.
Faswitz	w3619
<g/>
,
K	w3621
<g/>
.
K	w3623
<g/>
.
Raht	w3625
<g/>
,
und	w3627
Königl	w3628
<g/>
.
Hungaris	w3630
Hof	w3631
<g/>
=
canzl	w3633
<g/>
.
<g/>
=
