<doc id="wr_1759-01-20" attrs="word" year="1759" month="01" day="20" corpus="2">
<head id="h2_d315e2754">
Prag	w1_d315e2758
auf,	w1_d315e6421
um	w3_d315e6424
dem	w5_d315e6427
König	w7_d315e6430
Gesellschaft	w9_d315e6433
zu	w11_d315e6436
leisten.	w13_d315e6440
</p>
<head id="h2_d315e6446">
Toulon	w1_d315e6450
2.	w3_d315e6453
Jan.	w5_d315e6456
</head>
<p id="p4_d315e6459">
Nach	w1_d315e6463
denen	w3_d315e6466
Anstalten,	w5_d315e6469
die	w7_d315e6472
in	w9_d315e6475
hiesigem	w11_d315e6478
Hafen	w1_d315e6483
gemacht	w3_d315e6486
werden,	w5_d315e6489
zu	w7_d315e6492
urtheilen,	w9_d315e6495
müs	w11_d315e6498
sen	w1_d315e6503
grosse	w3_d315e6506
Dinge	w5_d315e6509
im	w7_d315e6512
Werk	w9_d315e6515
seyn.	w11_d315e6518
Tag	w13_d315e6522
und	w15_d315e6525
Nacht	w1_d315e6531
wird	w3_d315e6534
an	w5_d315e6537
Ausbesserung	w7_d315e6540
der	w9_d315e6543
Schiffe	w11_d315e6546
gearbeitet,	w1_d315e6551
und	w3_d315e6554
es	w5_d315e6557
wird	w7_d315e6560
eine	w9_d315e6563
erstaunliche	w11_d315e6566
Menge	w1_d315e6571
Lebens=mittel	w3_d315e6574
zusammen	w5_d315e6577
geführet;	w7_d315e6580
was	w1_d315e6585
aber	w3_d315e6588
die	w5_d315e6591
eigentliche	w7_d315e6594
Absicht	w9_d315e6597
dessen	w11_d315e6600
al	w13_d315e6604
len	w1_d315e6610
seye,	w3_d315e6613
solches	w5_d315e6616
ist,	w7_d315e6619
und	w9_d315e6622
bleibt	w11_d315e6625
ein	w13_d315e6629
Ge	w15_d315e6632
heimnuß	w1_d315e6637
bis	w3_d315e6640
zur	w5_d315e6643
Zeit	w7_d315e6646
der	w9_d315e6649
Ausführung.	w11_d315e6652
</p>
<head id="h2_d315e6658">
Hildesheim	w1_d315e6662
5.	w3_d315e6665
Jan.	w5_d315e6668
</head>
<p id="p4_d315e6671">
Es	w1_d315e6675
ligt	w3_d315e6678
nicht	w5_d315e6681
nur	w7_d315e6684
ein	w9_d315e6687
Hanoverisches	w11_d315e6690
Fü	w13_d315e6694
selier=regiment	w1_d315e6699
hier,	w3_d315e6702
sondern	w5_d315e6705
es	w7_d315e6708
kommen	w9_d315e6711
auch	w1_d315e6716
noch	w3_d315e6719
alle	w5_d315e6722
Tage	w7_d315e6725
grosse	w9_d315e6728
Recrutentrans	w11_d315e6731
porte	w1_d315e6737
hier	w3_d315e6740
an.	w5_d315e6743
Eine	w7_d315e6746
Menge	w9_d315e6749
Ober	w11_d315e6752
und	w13_d315e6756
Unter=officiers	w1_d315e6761
von	w3_d315e6764
der	w5_d315e6767
Alliirten	w7_d315e6770
Armee	w9_d315e6773
ligen	w1_d315e6778
in	w3_d315e6781
der	w5_d315e6784
Stadt	w7_d315e6787
und	w9_d315e6790
denen	w11_d315e6793
umligenden	w13_d315e6797
Dörfern	w1_d315e6802
auf	w3_d315e6805
Werbung.	w5_d315e6808
Wann	w7_d315e6811
die	w9_d315e6814
West	w11_d315e6817
phälischen	w1_d315e6823
Bißtümer	w3_d315e6826
die	w5_d315e6829
ihnen	w7_d315e6832
auferlegten	w9_d315e6835
Contributionen	w1_d315e6840
in	w3_d315e6843
Geld	w5_d315e6846
bezahlen	w7_d315e6849
solten;	w9_d315e6852
so	w1_d315e6857
würden	w3_d315e6860
sie	w5_d315e6863
zusammen	w7_d315e6866
eine	w9_d315e6869
Summe	w11_d315e6872
von	w13_d315e6876
vier	w1_d315e6881
Millionen	w3_d315e6884
ausmachen.	w5_d315e6887
</p>
<head id="h2_d315e6893">
Leipzig	w1_d315e6897
10.	w3_d315e6900
Januarii.	w5_d315e6903
</head>
<p id="p4_d315e6906">
Nach	w1_d315e6910
dem	w3_d315e6913
gefertigten	w5_d315e6916
Verzeichnuß	w7_d315e6919
sind	w9_d315e6922
in	w1_d315e6927
dem	w3_d315e6930
abgewichenen	w5_d315e6933
Jahre	w7_d315e6936
allhier	w9_d315e6939
680.	w11_d315e6942
Kinder,	w1_d315e6947
als	w3_d315e6950
329.	w5_d315e6953
Knäblein,	w7_d315e6956
und	w9_d315e6959
351.	w11_d315e6962
Mägdlein	w1_d315e6968
getauffet	w3_d315e6971
worden;	w5_d315e6974
dagegen	w7_d315e6977
sind	w9_d315e6980
2824.	w1_d315e6985
Personen	w3_d315e6988
verstorben.	w5_d315e6991
Sind	w7_d315e6994
also	w9_d315e6997
in	w1_d315e7002
dem	w3_d315e7005
zurück=gelegten	w5_d315e7008
Jahre	w7_d315e7011
2144.	w9_d315e7014
mehr	w11_d315e7017
gestorben,	w1_d315e7022
als	w3_d315e7025
geboren.	w5_d315e7028
</p>
<head id="h4_d315e7045">
Stettin	w1_d315e7049
29.	w3_d315e7052
Dec.	w5_d315e7055
1758.	w7_d315e7058
</head>
<p id="p6_d315e7061">
Laut	w1_d315e7065
sicheren	w3_d315e7068
eingegangenen	w5_d315e7071
Nachrichten,	w7_d315e7074
sind	w1_d315e7079
am	w3_d315e7082
19.	w5_d315e7085
dieses	w7_d315e7088
100.	w9_d315e7091
Russen	w11_d315e7094
im	w13_d315e7098
Lauen	w15_d315e7101
burgischen	w1_d315e7106
gewesen,	w3_d315e7109
die	w5_d315e7112
nach	w7_d315e7115
Stolpe	w9_d315e7118
ge	w11_d315e7121
wollt.	w1_d315e7127
Den	w3_d315e7130
20.	w5_d315e7133
ist	w7_d315e7136
ein	w9_d315e7139
Rußisches	w11_d315e7142
Com	w13_d315e7146
mando	w1_d315e7151
von	w3_d315e7154
150.	w5_d315e7157
Pferden	w7_d315e7160
bey	w9_d315e7163
Stolpe	w11_d315e7166
an	w13_d315e7170
gekommen,	w1_d315e7175
allwo	w3_d315e7178
es	w5_d315e7181
hinter	w7_d315e7184
denen	w9_d315e7187
Lachs	w11_d315e7190
schleussen	w1_d315e7195
halten	w3_d315e7198
geblieben,	w5_d315e7201
und	w7_d315e7204
einige	w9_d315e7207
Mann	w11_d315e7210
in	w1_d315e7216
die	w3_d315e7219
Stadt	w5_d315e7222
geschickt,	w7_d315e7225
von	w9_d315e7228
denen	w11_d315e7231
etliche	w13_d315e7235
das	w1_d315e7240
Thor,	w3_d315e7243
wo	w5_d315e7246
sie	w7_d315e7249
einpaßiret,	w9_d315e7252
besetzet,	w11_d315e7255
andere	w1_d315e7260
aber	w3_d315e7263
nach	w5_d315e7266
dem	w7_d315e7269
Raht=haus	w9_d315e7272
geritten,	w11_d315e7275
von	w1_d315e7280
da	w3_d315e7283
sie	w5_d315e7286
einige	w7_d315e7289
Magistrats=personen	w9_d315e7292
mit	w11_d315e7295
bis	w1_d315e7301
Cusow,	w3_d315e7304
eine	w5_d315e7307
halbe	w7_d315e7310
Meile	w9_d315e7313
von	w11_d315e7316
Stolpe	w13_d315e7320
genommen,	w1_d315e7325
allwo	w3_d315e7328
sie	w5_d315e7331
von	w7_d315e7334
dem	w9_d315e7337
daselbst	w11_d315e7340
be	w13_d315e7344
findlichen	w1_d315e7349
Rußischen	w3_d315e7352
Officier	w5_d315e7355
befraget	w7_d315e7358
wor	w9_d315e7361
den:	w1_d315e7366
ob	w3_d315e7369
ihnen	w5_d315e7372
von	w7_d315e7375
dem	w9_d315e7378
Anmarsch	w11_d315e7381
deren	w13_d315e7385
Preussen,	w1_d315e7391
oder	w3_d315e7394
wo	w5_d315e7397
ihre	w7_d315e7400
Quartiere	w9_d315e7403
bestellet	w11_d315e7406
wären,	w1_d315e7411
nichts	w3_d315e7414
bewußt	w5_d315e7417
sey?	w7_d315e7420
Da	w9_d315e7423
nun	w11_d315e7426
ge	w13_d315e7430
dachte	w1_d315e7435
Magistrats=personen	w3_d315e7438
ihr	w5_d315e7441
Unbewust	w7_d315e7444
seyn	w1_d315e7449
davon	w3_d315e7452
versichert,	w5_d315e7455
sind	w7_d315e7458
sie	w9_d315e7461
sodann	w11_d315e7464
wie	w13_d315e7468
der	w1_d315e7474
nach	w3_d315e7477
Stolpe	w5_d315e7480
zuruck	w7_d315e7483
gelassen	w9_d315e7486
worden,	w11_d315e7489
das	w1_d315e7494
Commando	w3_d315e7497
aber	w5_d315e7500
hat	w7_d315e7503
seinen	w9_d315e7506
Ruck=marsch	w11_d315e7509
nach	w1_d315e7514
Butow	w3_d315e7517
genommen.	w5_d315e7520
</p>
<head id="h2_d315e7526">
Paris	w1_d315e7530
4.	w3_d315e7533
Jan.	w5_d315e7536
</head>
<p id="p4_d315e7539">
Se.	w1_d315e7543
Majest.	w3_d315e7546
der	w5_d315e7549
König	w7_d315e7552
verleihen	w9_d315e7555
so	w11_d315e7558
eben	w13_d315e7562
dem	w1_d315e7567
Duc	w3_d315e7570
de	w5_d315e7573
Tresmes,	w7_d315e7576
Generalgouver	w9_d315e7579
neurn	w1_d315e7584
der	w3_d315e7587
Jsle	w5_d315e7590
de	w7_d315e7593
France,	w9_d315e7596
das	w11_d315e7599
Markt	w13_d315e7603
schif	w1_d315e7609
auf	w3_d315e7612
der	w5_d315e7615
Rhone,	w7_d315e7618
welches	w9_d315e7621
ein	w11_d315e7624
Einkom	w13_d315e7628
men	w1_d315e7633
von	w3_d315e7636
60000.	w5_d315e7639
Livres	w7_d315e7642
beträgt.	w9_d315e7645
Man	w11_d315e7648
erwartet	w1_d315e7653
diesen	w3_d315e7656
Herrn,	w5_d315e7659
welcher	w7_d315e7662
währender	w9_d315e7665
Campagne	w1_d315e7670
zu	w3_d315e7673
Bajonne	w5_d315e7676
commandiret	w7_d315e7679
hat,	w9_d315e7682
mit	w1_d315e7688
nächstem	w3_d315e7691
bey	w5_d315e7694
Hofe.	w7_d315e7697
Duynkirchen	w9_d315e7700
wird	w11_d315e7703
in	w1_d315e7708
kurzem	w3_d315e7711
eine	w5_d315e7714
der	w7_d315e7717
schönsten	w9_d315e7720
Städte	w11_d315e7723
auf	w13_d315e7727
der	w1_d315e7732
Küste	w3_d315e7735
dieses	w5_d315e7738
Königreichs,	w7_d315e7741
und	w9_d315e7744
der	w11_d315e7747
Ha	w13_d315e7751
fen	w1_d315e7756
einer	w3_d315e7759
der	w5_d315e7762
wichtigsten,	w7_d315e7765
nach	w9_d315e7768
denen	w11_d315e7771
drey	w1_d315e7777
grossen	w3_d315e7780
Departements	w5_d315e7783
des	w7_d315e7786
Seewe	w9_d315e7789
sens	w1_d315e7794
werden.	w3_d315e7797
Das	w5_d315e7800
Baßin,	w7_d315e7803
welches	w9_d315e7806
würk	w11_d315e7809
lich	w1_d315e7814
fertig	w3_d315e7817
ist,	w5_d315e7820
kan	w7_d315e7823
Schiffe	w9_d315e7826
von	w11_d315e7829
60.	w13_d315e7833
bis	w15_d315e7836
64.	w1_d315e7841
Canonen	w3_d315e7844
fassen,	w5_d315e7847
und	w7_d315e7850
man	w9_d315e7853
arbeitet	w11_d315e7856
schon	w1_d315e7862
an	w3_d315e7865
Erbauung	w5_d315e7868
der	w7_d315e7871
Forts,	w9_d315e7874
die	w11_d315e7877
alles	w13_d315e7881
bedecken	w1_d315e7886
sollen.	w3_d315e7889
Die	w5_d315e7892
Einfassung	w7_d315e7895
der	w9_d315e7898
Stadt	w11_d315e7901
wird	w1_d315e7906
erweitert;	w3_d315e7909
und	w5_d315e7912
die	w7_d315e7915
dasigen	w9_d315e7918
Einwoh	w11_d315e7921
ner	w1_d315e7926
bauen	w3_d315e7929
mit	w5_d315e7932
Macht	w7_d315e7935
neue	w9_d315e7938
Häuser.	w11_d315e7941
Jhre	w13_d315e7945
</p>
<p id="p6_d315e7948">
Lag	w1_d315e7952
ist	w3_d315e7955
die	w5_d315e7958
vortheilhafteste	w7_d315e7961
für	w9_d315e7964
die	w11_d315e7967
Nordisch	w13_d315e7971
und	w1_d315e7976
Niederländische	w3_d315e7979
Handlung,	w5_d315e7982
und	w7_d315e7985
muß	w9_d315e7988
also	w1_d315e7993
die	w3_d315e7996
Bewohner	w5_d315e7999
reich	w7_d315e8002
machen.	w9_d315e8005
Ueber	w11_d315e8008
morgen	w1_d315e8014
werden	w3_d315e8017
zu	w5_d315e8020
Calais	w7_d315e8023
350.	w9_d315e8026
Engländer,	w11_d315e8029
welche	w1_d315e8034
bey	w3_d315e8037
St.	w5_d315e8040
Cast	w7_d315e8043
gefangen	w9_d315e8046
worden,	w11_d315e8049
er	w13_d315e8053
wartet,	w1_d315e8058
um	w3_d315e8061
gegen	w5_d315e8064
das	w7_d315e8067
2te	w9_d315e8070
Bataillon	w11_d315e8073
des	w13_d315e8077
Regiments	w1_d315e8082
Artois,	w3_d315e8085
das	w5_d315e8088
einen	w7_d315e8091
Theil	w9_d315e8094
un	w11_d315e8097
serer	w1_d315e8103
Besatzung	w3_d315e8106
von	w5_d315e8109
Louisburg	w7_d315e8112
ausgemacht	w9_d315e8115
hat,	w1_d315e8120
ausgewechselt	w3_d315e8123
zu	w5_d315e8126
werden.	w7_d315e8129
Das	w9_d315e8132
Heil.	w11_d315e8135
Weihnachts=fest	w1_d315e8140
ist	w3_d315e8143
bey	w5_d315e8146
Hof	w7_d315e8149
in	w9_d315e8152
gewöhnli	w11_d315e8155
cher	w1_d315e8160
Andacht	w3_d315e8163
und	w5_d315e8166
Feyerlichkeit	w7_d315e8169
zurückgele	w9_d315e8172
get	w1_d315e8178
worden.	w3_d315e8181
Der	w1_d315e8186
Bischof	w3_d315e8189
von	w5_d315e8192
Antun,	w7_d315e8195
er	w9_d315e8198
ster	w1_d315e8203
Aumonier	w3_d315e8206
Sr.	w5_d315e8209
Majestät,	w7_d315e8212
celebrirte	w9_d315e8215
die	w11_d315e8218
grosse	w1_d315e8223
Messe	w3_d315e8226
des	w5_d315e8229
Fest=tags;	w7_d315e8232
Nachmittags	w9_d315e8235
wohneten	w1_d315e8241
beyderseitige	w3_d315e8244
Majestäten	w5_d315e8247
der	w7_d315e8250
Pre	w9_d315e8253
dig	w1_d315e8258
des	w3_d315e8261
Abts	w5_d315e8264
Fresneau,	w7_d315e8267
Doctoris	w9_d315e8270
der	w11_d315e8273
Sor	w13_d315e8277
bonne	w1_d315e8282
und	w3_d315e8285
ersten	w5_d315e8288
Vicarii	w7_d315e8291
der	w9_d315e8294
Pfarr	w11_d315e8297
von	w13_d315e8301
St.	w15_d315e8304
Germain	w1_d315e8309
l'Auxerrois,	w3_d315e8312
und	w5_d315e8315
sodan	w7_d315e8318
der	w9_d315e8321
Ve	w11_d315e8324
sper	w1_d315e8330
bey.	w3_d315e8333
</p>
<p id="p8_d315e8336">
Die	w1_d315e8340
Anrede	w3_d315e8343
des	w5_d315e8346
Rußischen	w7_d315e8349
Bottschafters,	w9_d315e8352
Grafen	w1_d315e8357
von	w3_d315e8360
Bestuchef,	w5_d315e8363
an	w7_d315e8366
Se.	w9_d315e8369
Allerchristlich	w11_d315e8372
ste	w1_d315e8377
Majestät,	w3_d315e8380
hat	w5_d315e8383
dem	w7_d315e8386
Monarchen	w9_d315e8389
ein	w11_d315e8392
grosses	w13_d315e8396
Vergnügen	w1_d315e8402
erwecket,	w3_d315e8405
da	w5_d315e8408
er	w7_d315e8411
in	w9_d315e8414
solcher	w11_d315e8417
versichert,	w13_d315e8421
daß	w1_d315e8426
seine	w3_d315e8429
hohe	w5_d315e8432
Principalin	w7_d315e8435
bey	w9_d315e8438
ihren	w11_d315e8441
Verbin	w13_d315e8445
dungen	w1_d315e8450
mit	w3_d315e8453
allem	w5_d315e8456
möglichsten	w7_d315e8459
Eifer	w9_d315e8462
behar	w11_d315e8465
ren	w1_d315e8470
werde.	w3_d315e8473
Der	w5_d315e8476
Obriste	w7_d315e8479
des	w9_d315e8482
Regiments	w11_d315e8485
de	w1_d315e8491
Brie,	w3_d315e8494
Ritter	w5_d315e8497
von	w7_d315e8500
Polignac,	w9_d315e8503
welcher	w11_d315e8506
bey	w1_d315e8511
dem	w3_d315e8514
Handel	w5_d315e8517
zu	w7_d315e8520
St.	w9_d315e8523
Cast	w11_d315e8526
bleßirt	w13_d315e8530
wor	w15_d315e8533
den,	w1_d315e8538
ist	w3_d315e8541
zu	w5_d315e8544
St.	w7_d315e8547
Malo	w9_d315e8550
verstorben.	w11_d315e8553
Der	w13_d315e8557
Herr	w1_d315e8562
Graf	w3_d315e8565
von	w5_d315e8568
Choiseul,	w7_d315e8571
wird	w9_d315e8574
den	w11_d315e8577
Her	w13_d315e8581
zog	w1_d315e8587
dieses	w3_d315e8590
Namens	w5_d315e8593
in	w7_d315e8596
seiner	w9_d315e8599
Ambassade	w11_d315e8602
zu	w13_d315e8606
Wien	w1_d315e8611
ablösen.	w3_d315e8614
</p>
<p id="p10_d315e8617">
Jn	w1_d315e8621
dem	w3_d315e8624
verwichenen	w5_d315e8627
Jahr	w7_d315e8630
sind	w9_d315e8633
allhier	w11_d315e8636
19369.	w1_d315e8641
Kinder	w3_d315e8644
geboren	w5_d315e8647
worden,	w7_d315e8650
und	w9_d315e8653
21120.	w1_d315e8658
Personen	w3_d315e8661
gestorben.	w5_d315e8664
</p>
<head id="h2_d315e8670">
Aus	w1_d315e8674
dem	w3_d315e8677
Haag	w5_d315e8680
4.	w7_d315e8683
Jan.	w9_d315e8686
</head>
<p id="p4_d315e8689">
Am	w1_d315e8693
Donnerstag	w3_d315e8696
fiengen	w5_d315e8699
die	w7_d315e8702
Staaten	w9_d315e8705
von	w11_d315e8708
Holland,	w1_d315e8713
und	w3_d315e8716
West=friesland	w5_d315e8719
ihre	w7_d315e8722
Versamm	w9_d315e8725
lungen	w1_d315e8730
wieder	w3_d315e8733
an.	w5_d315e8736
Freytags	w7_d315e8739
früh	w9_d315e8742
über	w11_d315e8745
gaben	w1_d315e8751
die	w3_d315e8754
Deputirte	w5_d315e8757
der	w7_d315e8760
Admiralitäten	w9_d315e8763
der	w11_d315e8766
Versammlung	w1_d315e8771
Jhro	w3_d315e8774
Edel	w5_d315e8777
und	w7_d315e8780
Großmögenden	w9_d315e8783
ihren	w1_d315e8788
Raht=schluß	w3_d315e8791
in	w5_d315e8794
Absicht	w7_d315e8797
auf	w9_d315e8800
die	w11_d315e8803
Beschü	w13_d315e8807
</p>
<p id="p10_d315e8820">
tzung	w1_d315e8824
des	w3_d315e8827
Handels,	w5_d315e8830
welchen	w7_d315e8833
sie	w9_d315e8836
für	w11_d315e8839
selbigen,	w13_d315e8843
und	w1_d315e8848
der	w3_d315e8851
Schiffahrt	w5_d315e8854
ohne	w7_d315e8857
Aufschub	w9_d315e8860
zu	w11_d315e8863
ver	w13_d315e8867
willigen,	w1_d315e8872
nöthig	w3_d315e8875
erachten.	w5_d315e8878
Es	w7_d315e8881
gehet	w9_d315e8884
selbi	w11_d315e8887
ger	w1_d315e8893
auf	w3_d315e8896
eine	w5_d315e8899
Ausrüstung	w7_d315e8902
von	w9_d315e8905
18.	w11_d315e8908
Kriegs	w13_d315e8912
schiffen,	w1_d315e8917
mit	w3_d315e8920
dem	w5_d315e8923
Zusatz,	w7_d315e8926
daß	w9_d315e8929
die	w11_d315e8932
bereits	w13_d315e8936
in	w15_d315e8939
Commißion	w1_d315e8944
gestelte	w3_d315e8947
Schiffe	w5_d315e8950
fernerhin	w7_d315e8953
ge	w9_d315e8956
braucht	w1_d315e8961
werden	w3_d315e8964
sollen,	w5_d315e8967
so	w7_d315e8970
daß	w9_d315e8973
alsdann	w11_d315e8976
der	w13_d315e8980
Staat	w1_d315e8986
bey	w3_d315e8989
30.	w5_d315e8992
Schiffe	w7_d315e8995
zu	w9_d315e8998
seinen	w11_d315e9001
Diensten	w13_d315e9005
hat,	w1_d315e9010
wann	w3_d315e9013
die	w5_d315e9016
Vermehrung	w7_d315e9019
geschehen	w9_d315e9022
ist.	w11_d315e9025
Diese	w1_d315e9030
Ausrüstung	w3_d315e9033
soll	w5_d315e9036
mit	w7_d315e9039
Einwilligung	w9_d315e9042
der	w11_d315e9045
Provinzen	w1_d315e9050
von	w3_d315e9053
Seeland,	w5_d315e9056
und	w7_d315e9059
Friesland	w9_d315e9062
ge	w11_d315e9065
schehen;	w1_d315e9071
so,	w3_d315e9074
daß	w5_d315e9077
die	w7_d315e9080
Kosten	w9_d315e9083
dazu,	w11_d315e9086
auf	w13_d315e9090
die	w15_d315e9093
Cassen	w1_d315e9098
derselben,	w3_d315e9101
nebst	w5_d315e9104
der	w7_d315e9107
von	w9_d315e9110
Holland	w11_d315e9113
ver	w13_d315e9117
theilt	w1_d315e9122
werden,	w3_d315e9125
im	w5_d315e9128
Fall	w7_d315e9131
die	w9_d315e9134
Land=provinzen	w11_d315e9137
ihre	w1_d315e9142
Einwilligung	w3_d315e9145
ferner	w5_d315e9148
fort	w7_d315e9151
versagen	w9_d315e9154
sol	w11_d315e9157
ten.	w1_d315e9163
Als	w3_d315e9166
dieser	w5_d315e9169
wichtige	w7_d315e9172
Vortrag	w9_d315e9175
geschehen	w11_d315e9178
war,	w1_d315e9183
begaben	w3_d315e9186
sich	w5_d315e9189
die	w7_d315e9192
Staaten	w9_d315e9195
auseinander,	w11_d315e9198
und	w1_d315e9203
die	w3_d315e9206
Deputirte	w5_d315e9209
der	w7_d315e9212
Städte	w9_d315e9215
kehreten	w11_d315e9218
nach	w13_d315e9222
Hause,	w1_d315e9227
um	w3_d315e9230
die	w5_d315e9233
letztern	w7_d315e9236
Anweisungen	w9_d315e9239
der	w11_d315e9242
Regierungen	w1_d315e9248
einzuholen;	w3_d315e9251
man	w5_d315e9254
zweifelt	w7_d315e9257
auch	w9_d315e9260
gar	w1_d315e9265
nicht,	w3_d315e9268
daß	w5_d315e9271
innerhalb	w7_d315e9274
12.	w9_d315e9277
Tagen	w11_d315e9280
dieser	w13_d315e9284
Anschlag	w1_d315e9289
werde	w3_d315e9292
zur	w5_d315e9295
gänzlichen	w7_d315e9298
Vollendung	w9_d315e9301
gebracht	w1_d315e9306
werden.	w3_d315e9309
Von	w5_d315e9312
guter	w7_d315e9315
Hand	w9_d315e9318
will	w11_d315e9321
bereits	w1_d315e9327
versichert	w3_d315e9330
werden,	w5_d315e9333
daß	w7_d315e9336
die	w9_d315e9339
Städte,	w11_d315e9342
die	w1_d315e9347
sich	w3_d315e9350
am	w5_d315e9353
meisten	w7_d315e9356
gegen	w9_d315e9359
die	w11_d315e9362
See=rüstung	w13_d315e9366
gesetzt	w1_d315e9371
haben,	w3_d315e9374
wann	w5_d315e9377
sie	w7_d315e9380
nicht	w9_d315e9383
mit	w11_d315e9386
der	w13_d315e9390
Ver	w15_d315e9393
mehrung	w1_d315e9398
der	w3_d315e9401
Land=macht	w5_d315e9404
zugleich	w7_d315e9407
in	w9_d315e9410
Vortrag	w1_d315e9416
gebracht	w3_d315e9419
würde,	w5_d315e9422
vieles	w7_d315e9425
an	w9_d315e9428
ihrem	w11_d315e9431
Eifer	w1_d315e9436
nachgelassen,	w3_d315e9439
und	w5_d315e9442
dem	w7_d315e9445
Vorschlag	w9_d315e9448
der	w11_d315e9451
Admiralitäten	w1_d315e9456
an	w3_d315e9459
die	w5_d315e9462
Staaten	w7_d315e9465
von	w9_d315e9468
Holland	w11_d315e9471
nicht	w1_d315e9476
mehr	w3_d315e9479
sonderlich	w5_d315e9482
widerstehen	w7_d315e9485
werden.	w9_d315e9488
Bey	w1_d315e9494
allem	w3_d315e9497
diesem	w5_d315e9500
widerstrebet	w7_d315e9503
die	w9_d315e9506
Englän	w11_d315e9509
dische	w1_d315e9514
Parthey	w3_d315e9517
noch	w5_d315e9520
allen	w7_d315e9523
Schwierigkeiten,	w9_d315e9526
und	w1_d315e9531
sinnet	w3_d315e9534
unausgesetzt	w5_d315e9537
auf	w7_d315e9540
Mittel,	w9_d315e9543
diesen	w11_d315e9546
Vorschlag	w1_d315e9551
zu	w3_d315e9554
vereiteln,	w5_d315e9557
als	w7_d315e9560
der	w9_d315e9563
ihr	w11_d315e9566
verhaßt	w13_d315e9570
ist,	w1_d315e9576
und	w3_d315e9579
den	w5_d315e9582
sie	w7_d315e9585
nach	w9_d315e9588
allem	w11_d315e9591
Vermögen	w13_d315e9595
abzu	w15_d315e9598
lehnen	w1_d315e9603
suchet.	w3_d315e9606
</p>
<head id="h2_d315e9612">
Kurz=gefaßte	w1_d315e9616
Nachrichten.	w3_d315e9619
Es	w1_d315e9624
geben	w3_d315e9627
die	w5_d315e9630
frischeste	w7_d315e9633
Briefe	w9_d315e9636
</head>
<p id="p4_d315e9639">
Aus	w1_d315e9643
Bayern:	w3_d315e9646
Daß	w5_d315e9649
die	w7_d315e9652
Witterung	w9_d315e9655
da	w11_d315e9658
siger	w1_d315e9663
Gegenden	w3_d315e9666
so	w5_d315e9669
warm	w7_d315e9672
seye,	w9_d315e9675
daß	w11_d315e9678
nicht	w13_d315e9682
allein	w1_d315e9687
die	w3_d315e9690
Bäume	w5_d315e9693
und	w7_d315e9696
Pflanzen	w9_d315e9699
Sprossen	w11_d315e9702
</p>
<p id="p6_d315e9705">
treiben,	w1_d315e9709
sondern	w3_d315e9712
auch	w5_d315e9715
Dinkel	w7_d315e9718
wachse,	w9_d315e9721
und	w11_d315e9724
bey	w1_d315e9729
Dillingen	w3_d315e9732
herum	w5_d315e9735
an	w7_d315e9738
der	w9_d315e9741
Donau	w11_d315e9744
viele	w13_d315e9748
May=käfer	w1_d315e9753
sich	w3_d315e9756
sehen	w5_d315e9759
liessen.	w7_d315e9762
</p>
<p id="p8_d315e9765">
Von	w1_d315e9769
Erfurt:	w3_d315e9772
Daß	w5_d315e9775
der	w7_d315e9778
Kaiserl.	w9_d315e9781
Königl.	w11_d315e9784
General=major	w1_d315e9789
Graf	w3_d315e9792
von	w5_d315e9795
Guasco	w7_d315e9798
auf	w9_d315e9801
da	w11_d315e9804
sigen	w1_d315e9809
Peters=berg	w3_d315e9812
als	w5_d315e9815
Commandant	w7_d315e9818
dieser	w9_d315e9821
Festung	w1_d315e9827
eingetroffen,	w3_d315e9830
und	w5_d315e9833
an	w7_d315e9836
denen	w9_d315e9839
Fe	w11_d315e9842
stungs=werkern	w1_d315e9847
seithero	w3_d315e9850
mit	w5_d315e9853
allem	w7_d315e9856
Eifer	w9_d315e9859
gearbeitet	w1_d315e9864
werde.	w3_d315e9867
</p>
<p id="p10_d315e9870">
Von	w1_d315e9874
Lüneburg:	w3_d315e9877
Daß	w5_d315e9880
der	w7_d315e9883
Königl.	w9_d315e9886
Preuß.	w11_d315e9889
General	w1_d315e9894
Hülsen,	w3_d315e9897
mit	w5_d315e9900
einigen	w7_d315e9903
1000.	w9_d315e9906
Mann	w11_d315e9909
gegen	w1_d315e9914
Frankfurt	w3_d315e9917
an	w5_d315e9920
der	w7_d315e9923
Oder	w9_d315e9926
im	w11_d315e9929
Marsch	w13_d315e9933
be	w15_d315e9936
griffen	w1_d315e9942
seye.	w3_d315e9945
</p>
<p id="p12_d315e9949">
Von	w1_d315e9953
Brüssel:	w3_d315e9956
Das	w5_d315e9959
man	w7_d315e9962
allda	w9_d315e9965
nächstens	w11_d315e9968
18.	w1_d315e9973
Bataill.	w3_d315e9976
Franz.	w5_d315e9979
Trupen,	w7_d315e9982
welche	w9_d315e9985
zu	w11_d315e9988
Verstärkung	w1_d315e9993
der	w3_d315e9996
Armee	w5_d315e9999
am	w7_d315e10002
Nieder=Rhein	w9_d315e10005
abmarschiren,	w1_d315e10011
erwarte.	w3_d315e10014
</p>
<p id="p14_d315e10017">
Obgleich	w1_d315e10021
die	w3_d315e10024
letztern	w5_d315e10027
Briefe	w7_d315e10030
aus	w9_d315e10033
dem	w11_d315e10036
Haag	w1_d315e10041
von	w3_d315e10044
einer	w5_d315e10047
baldigen	w7_d315e10050
Wiederherstellung	w9_d315e10053
Jhrer	w1_d315e10058
Königl.	w3_d315e10061
