<doc id="wr_1757-12-17" attrs="word" year="1757" month="12" day="17" corpus="2">
<head id="h2_d203e3207">
Nieder=elbe	w1_d203e3211
29sten	w7_d203e6871
marschirten	w9_d203e6874
die	w11_d203e6877
Ba	w13_d203e6881
taillons	w1_d203e6886
von	w3_d203e6889
Solare	w5_d203e6892
und	w7_d203e6895
Chatilly	w9_d203e6898
von	w11_d203e6901
Ha	w13_d203e6905
nover	w1_d203e6911
aus,	w3_d203e6914
nach	w5_d203e6917
Lüneburg.	w7_d203e6920
Der	w9_d203e6923
Chevalier	w11_d203e6926
de	w1_d203e6931
la	w3_d203e6934
Touche	w5_d203e6937
aber	w7_d203e6940
hat	w9_d203e6943
Ordre	w11_d203e6946
erhalten,	w13_d203e6950
sich	w15_d203e6953
zu	w1_d203e6958
Braunschweig	w3_d203e6961
mit	w5_d203e6964
dem	w7_d203e6967
Generalleute	w9_d203e6970
nant	w1_d203e6975
Marquis	w3_d203e6978
d'Armentieres	w5_d203e6981
zu	w7_d203e6984
vereinigen,	w9_d203e6987
und	w1_d203e6993
die	w3_d203e6996
Bewegungen,	w5_d203e6999
welche	w7_d203e7002
die	w9_d203e7005
Preußen,	w11_d203e7008
gegen	w1_d203e7013
das	w3_d203e7016
Halberstädtische	w5_d203e7019
machen,	w7_d203e7022
zu	w9_d203e7025
beo	w11_d203e7028
bachten.	w1_d203e7033
</p>
<head id="h2_d203e7040">
Tübeck	w1_d203e7044
2.	w3_d203e7047
December.	w5_d203e7050
</head>
<p id="p4_d203e7053">
Die	w1_d203e7057
Schwedische	w3_d203e7060
Armee	w5_d203e7063
ist	w7_d203e7066
gänzlich	w9_d203e7069
in	w11_d203e7072
die	w13_d203e7076
Winter=quartiere	w1_d203e7081
vertheilt,	w3_d203e7084
die	w5_d203e7087
Jnfanterie	w7_d203e7090
ist	w9_d203e7093
theils	w1_d203e7098
nach	w3_d203e7101
Anclam,	w5_d203e7104
Stolve,	w7_d203e7107
und	w9_d203e7110
Renzin,	w11_d203e7113
theils	w1_d203e7119
aber	w3_d203e7122
nach	w5_d203e7125
Wolgast	w7_d203e7128
und	w9_d203e7131
Gryphswal	w11_d203e7134
de	w1_d203e7139
verlegt	w3_d203e7142
worden,	w5_d203e7145
allwo	w7_d203e7148
sich	w9_d203e7151
auch	w11_d203e7154
das	w13_d203e7158
Haupt	w15_d203e7161
quartier	w1_d203e7166
befindet.	w3_d203e7169
Die	w5_d203e7172
Cavallerie	w7_d203e7175
ligt	w9_d203e7178
in	w11_d203e7181
de	w13_d203e7185
nen	w1_d203e7190
Dörfern,	w3_d203e7193
und	w5_d203e7196
die	w7_d203e7199
Artillerie	w9_d203e7202
ist	w11_d203e7205
meistens	w13_d203e7209
nach	w1_d203e7215
Wolgast	w3_d203e7218
gebracht	w5_d203e7221
worden.	w7_d203e7224
Da	w9_d203e7227
zufolge	w11_d203e7230
einem	w1_d203e7235
unlängst	w3_d203e7238
publicirten	w5_d203e7241
Patent,	w7_d203e7244
im	w9_d203e7247
Na	w11_d203e7250
men	w1_d203e7255
Sr.	w3_d203e7258
Königl.	w5_d203e7261
Majestät	w7_d203e7264
von	w9_d203e7267
Schweden,	w11_d203e7270
denenjenigen	w1_d203e7275
Chur=sächsischen	w3_d203e7278
Trupen,	w5_d203e7281
welche	w7_d203e7284
einstweilen	w1_d203e7290
Königl.	w3_d203e7293
Schwedische	w5_d203e7296
Kriegsdien	w7_d203e7299
ste	w1_d203e7304
anzunehmen	w3_d203e7307
gedächten,	w5_d203e7310
Unterhalt	w7_d203e7313
und	w9_d203e7316
Protection	w1_d203e7321
versprochen	w3_d203e7324
worden,	w5_d203e7327
so	w7_d203e7330
hat	w9_d203e7333
man	w11_d203e7336
bereits	w1_d203e7341
aus	w3_d203e7344
der	w5_d203e7347
Anzahl	w7_d203e7350
derer	w9_d203e7353
verscheedenen	w11_d203e7356
Sächsischen	w1_d203e7362
Soldaten	w3_d203e7365
bemerkt,	w5_d203e7368
daß	w7_d203e7371
diese	w9_d203e7374
Versprechungen	w1_d203e7379
bey	w3_d203e7382
ihnen	w5_d203e7385
keinen	w7_d203e7388
geringen	w9_d203e7391
Ein	w11_d203e7394
druck	w1_d203e7399
gemacht	w3_d203e7402
haben.	w5_d203e7405
Sie	w7_d203e7408
machen	w9_d203e7411
schon	w11_d203e7414
120.	w13_d203e7418
Mann	w1_d203e7423
aus,	w3_d203e7426
und	w5_d203e7429
man	w7_d203e7432
vermutet,	w9_d203e7435
daß	w11_d203e7438
sie	w13_d203e7442
sich	w15_d203e7445
noch	w17_d203e7448
mehr	w1_d203e7454
vermehren	w3_d203e7457
dörften.	w5_d203e7460
Den	w7_d203e7463
Hafen	w9_d203e7466
v.	w11_d203e7469
Schwi	w13_d203e7473
nemünde	w1_d203e7478
haben	w3_d203e7481
die	w5_d203e7484
Schwedische	w7_d203e7487
Trupen	w9_d203e7490
ganz	w1_d203e7495
unbrauchbar	w3_d203e7498
gemacht.	w5_d203e7501
Es	w7_d203e7504
seynd	w9_d203e7507
nicht	w11_d203e7510
</p>
<p id="p6_d203e7513">
D	w1_d203e7517
nur	w1_d203e7522
die	w3_d203e7525
grösten	w5_d203e7528
Steine	w7_d203e7531
und	w9_d203e7534
Sand	w11_d203e7537
dahin	w13_d203e7541
ver	w15_d203e7544
senkt	w1_d203e7549
worden,	w3_d203e7552
sondern	w5_d203e7555
um	w7_d203e7558
auch	w9_d203e7561
die	w11_d203e7564
Einfahrt	w13_d203e7568
zu	w1_d203e7574
verhindern,	w3_d203e7577
hat	w5_d203e7580
man	w7_d203e7583
15	w9_d203e7586
bis	w11_d203e7589
16.	w13_d203e7593
Fahrezeugs	w15_d203e7596
in	w1_d203e7601
den	w3_d203e7604
Grund	w5_d203e7607
gelassen,	w7_d203e7610
und	w9_d203e7613
auf	w11_d203e7616
sie	w13_d203e7620
die	w15_d203e7623
grö	w17_d203e7626
sten	w1_d203e7631
Quater	w3_d203e7634
und	w5_d203e7637
Felsen	w7_d203e7640
steine	w9_d203e7643
geworfen	w11_d203e7646
</p>
<head id="h2_d203e7652">
Riga	w1_d203e7656
22.	w3_d203e7659
November.	w5_d203e7662
</head>
<p id="p4_d203e7665">
Schon	w1_d203e7669
den	w3_d203e7672
9.	w5_d203e7675
November	w7_d203e7678
paßirte	w9_d203e7681
der	w11_d203e7684
Feld	w13_d203e7688
marschall	w1_d203e7693
Apraxin	w3_d203e7696
alhier	w5_d203e7699
durch,	w7_d203e7702
um	w9_d203e7705
nach	w11_d203e7708
Petersburg	w1_d203e7713
zu	w3_d203e7716
gehen.	w5_d203e7719
Er	w7_d203e7722
verließ	w9_d203e7725
bey	w11_d203e7728
seiner	w13_d203e7732
Abreise	w1_d203e7738
die	w3_d203e7741
Armee	w5_d203e7744
so,	w7_d203e7747
daß	w9_d203e7750
sie	w11_d203e7753
sich	w13_d203e7757
in	w15_d203e7760
3.	w17_d203e7763
Cor	w19_d203e7766
po	w1_d203e7771
vertheilt	w3_d203e7774
befand,	w5_d203e7777
davon	w7_d203e7780
das	w9_d203e7783
erste	w11_d203e7786
bey	w13_d203e7790
Memel,	w1_d203e7795
das	w3_d203e7798
zweyte	w5_d203e7801
an	w7_d203e7804
denen	w9_d203e7807
Gränzen	w11_d203e7810
von	w13_d203e7814
Lithauen,	w1_d203e7819
und	w3_d203e7822
das	w5_d203e7825
dritte	w7_d203e7828
in	w9_d203e7831
Samogitien	w11_d203e7834
und	w13_d203e7838
Chur=land	w1_d203e7844
stund.	w3_d203e7847
Ein	w5_d203e7850
grosses	w7_d203e7853
Corps	w9_d203e7856
dieser	w11_d203e7859
Trupen	w1_d203e7864
defilirt	w3_d203e7867
nach	w5_d203e7870
der	w7_d203e7873
Ukraine;	w9_d203e7876
alleine	w11_d203e7879
man	w13_d203e7883
will	w1_d203e7888
versichern,	w3_d203e7891
daß	w5_d203e7894
es	w7_d203e7897
Ordre	w9_d203e7900
bekommen	w11_d203e7903
ha	w13_d203e7907
be	w1_d203e7912
Halt	w3_d203e7915
zu	w5_d203e7918
machen,	w7_d203e7921
um	w9_d203e7924
wieder	w11_d203e7927
zur	w13_d203e7931
Haupt	w15_d203e7934
armee	w1_d203e7940
zu	w3_d203e7943
stossen,	w5_d203e7946
welche	w7_d203e7949
nunmehro,	w9_d203e7952
denen	w11_d203e7955
neueren	w1_d203e7960
Befehlen	w3_d203e7963
zufolge,	w5_d203e7966
unter	w7_d203e7969
dem	w9_d203e7972
General	w11_d203e7975
Fermer	w1_d203e7980
unverzüglich	w3_d203e7983
vorrücken	w5_d203e7986
soll.	w7_d203e7989
</p>
<head id="h2_d203e7995">
Erfurt	w1_d203e7999
2.	w3_d203e8002
Decembey.	w5_d203e8005
</head>
<p id="p4_d203e8008">
Zu	w1_d203e8012
Fortbringung	w3_d203e8015
der	w5_d203e8018
noch	w7_d203e8021
hier	w9_d203e8024
gewesten	w11_d203e8027
Magazine,	w1_d203e8032
seynd	w3_d203e8035
vorige	w5_d203e8038
Woche,	w7_d203e8041
gestern	w9_d203e8044
und	w11_d203e8047
heute	w1_d203e8052
gegen	w3_d203e8055
1000.	w5_d203e8058
Fuhren,	w7_d203e8061
worunter	w9_d203e8064
auch	w11_d203e8067
die	w13_d203e8071
Elsasser=wägen,	w1_d203e8077
wiederum	w3_d203e8080
abgegangen.	w5_d203e8083
Es	w7_d203e8086
ist	w1_d203e8091
auch	w3_d203e8094
vieles	w5_d203e8097
zu	w7_d203e8100
dem	w9_d203e8103
Französischen	w11_d203e8106
Latzareth	w13_d203e8110
Gehöriges	w1_d203e8115
bereits	w3_d203e8118
von	w5_d203e8121
hier	w7_d203e8124
abgeführet	w9_d203e8127
wor	w11_d203e8130
den,	w1_d203e8135
und	w3_d203e8138
befinden	w5_d203e8141
sich	w7_d203e8144
muir	w9_d203e8147
noch	w11_d203e8150
wenige	w13_d203e8154
Kran	w15_d203e8157
ke	w1_d203e8163
alhier.	w3_d203e8166
</p>
<p id="p6_d203e8169">
Von	w1_d203e8173
der	w3_d203e8176
Sonbisischen	w5_d203e8179
Armee	w7_d203e8182
welche	w9_d203e8185
bis	w11_d203e8188
her	w1_d203e8193
von	w3_d203e8196
Mühlhausen	w5_d203e8199
bis	w7_d203e8202
Duderstadt	w9_d203e8205
vertheilt	w11_d203e8208
gewesen,	w1_d203e8213
hat	w3_d203e8216
sich	w5_d203e8219
ein	w7_d203e8222
beträchtliches	w9_d203e8225
Corzoo	w11_d203e8228
über	w1_d203e8234
Göttingen	w3_d203e8237
bis	w5_d203e8240
Einbeck	w7_d203e8243
gezogen,	w9_d203e8246
und	w11_d203e8249
wird	w1_d203e8254
von	w3_d203e8257
da	w5_d203e8260
den	w7_d203e8263
Matsch	w9_d203e8266
über	w11_d203e8269
Zele	w13_d203e8273
nach	w15_d203e8276
Li	w17_d203e8279
neburg	w1_d203e8284
nehmen.	w3_d203e8287
</p>
<head id="h2_d203e8293">
Colberg,	w1_d203e8297
12.	w3_d203e8300
Novemb.	w5_d203e8303
</head>
<p id="p4_d203e8306">
Vor	w1_d203e8310
einigen	w3_d203e8313
Tägen	w5_d203e8316
ist	w7_d203e8319
die	w9_d203e8322
Avant=garde	w11_d203e8325
von	w1_d203e8330
der	w3_d203e8333
aus	w5_d203e8336
Preussen	w7_d203e8339
kommenden	w9_d203e8342
Armee,	w11_d203e8345
und	w1_d203e8350
dabey	w3_d203e8353
das	w5_d203e8356
schwarze	w7_d203e8359
Hussaren=regiment	w9_d203e8362
von	w1_d203e8368
Reusch	w3_d203e8371
hier	w5_d203e8374
durch	w7_d203e8377
paßiret;	w9_d203e8380
heute	w11_d203e8383
und	w13_d203e8387
morgen	w1_d203e8392
gehet	w3_d203e8395
das	w5_d203e8398
Malachowskische	w7_d203e8401
Regi	w9_d203e8404
ment	w1_d203e8409
auch	w3_d203e8412
hier	w5_d203e8415
durch,	w7_d203e8418
denen	w9_d203e8421
die	w11_d203e8424
andere	w13_d203e8428
Ca	w15_d203e8431
vallerie	w1_d203e8436
und	w3_d203e8439
Jnfanterie=regimenter	w5_d203e8442
auf	w7_d203e8445
den	w9_d203e8448
Fuße	w1_d203e8454
folgen.	w3_d203e8457
Das	w5_d203e8460
erste	w7_d203e8463
Regiment	w9_d203e8466
hat	w11_d203e8469
die	w13_d203e8473
auf	w1_d203e8478
denen	w3_d203e8481
gestrandeten	w5_d203e8484
Schwedischen	w7_d203e8487
Trans	w9_d203e8490
port=schiffen,	w1_d203e8495
gefangen	w3_d203e8498
bekommene	w5_d203e8501
Reiter,	w7_d203e8504
Pferde	w1_d203e8509
und	w3_d203e8512
Schif=volk,	w5_d203e8515
wie	w7_d203e8518
auch	w9_d203e8521
die	w11_d203e8524
bey	w13_d203e8528
Stolpen	w1_d203e8534
gefangen	w3_d203e8537
bekommene	w5_d203e8540
Reßische	w7_d203e8543
Ma	w9_d203e8546
trosen	w1_d203e8551
gestern	w3_d203e8554
von	w5_d203e8557
hier	w7_d203e8560
mit	w9_d203e8563
wer=genemmen.	w11_d203e8566
</p>
<p id="p10_d203e8579">
Ans	w1_d203e8583
Preussen	w3_d203e8586
wird	w5_d203e8589
das	w7_d203e8592
Lazareht,	w9_d203e8595
auch	w11_d203e8598
viel	w13_d203e8602
Getreide	w1_d203e8607
über	w3_d203e8610
die	w5_d203e8613
See	w7_d203e8616
hieher	w9_d203e8619
gebracht.	w11_d203e8622
</p>
<head id="h2_d203e8628">
Münster	w1_d203e8632
8.	w3_d203e8635
November.	w5_d203e8638
</head>
<p id="p4_d203e8641">
Am	w1_d203e8645
Sonntag	w3_d203e8648
Mittags	w5_d203e8651
traf	w7_d203e8654
alhier	w9_d203e8657
ein	w11_d203e8660
De	w13_d203e8664
taschement	w1_d203e8669
Französischer	w3_d203e8672
Canoniers	w5_d203e8675
ein,	w7_d203e8678
wel	w9_d203e8681
che	w1_d203e8686
zu	w3_d203e8689
Emden	w5_d203e8692
in	w7_d203e8695
Besatzung	w9_d203e8698
gelegen.	w11_d203e8701
Vorge	w13_d203e8705
stern	w1_d203e8711
kam	w3_d203e8714
auch	w5_d203e8717
das	w7_d203e8720
Cavallerie	w9_d203e8723
regiment	w11_d203e8726
Beau	w13_d203e8730
villiers	w1_d203e8735
hier	w3_d203e8738
an,	w5_d203e8741
welches	w7_d203e8744
mit	w9_d203e8747
der	w11_d203e8750
Battaille	w13_d203e8754
vom	w15_d203e8757
5ten	w1_d203e8762
dieses	w3_d203e8765
gewesen,	w5_d203e8768
der	w7_d203e8771
Obrist=leutenant	w9_d203e8774
füh	w11_d203e8777
ret	w1_d203e8782
es,	w3_d203e8785
indem	w5_d203e8788
der	w7_d203e8791
Obriste	w9_d203e8794
Herzog	w11_d203e8797
von	w13_d203e8801
Beau	w15_d203e8804
villiers,	w1_d203e8810
verwundet	w3_d203e8813
und	w5_d203e8816
gefangen	w7_d203e8819
worden.	w9_d203e8822
Es	w1_d203e8827
hat	w3_d203e8830
dieses	w5_d203e8833
Regiment	w7_d203e8836
auch	w9_d203e8839
seine	w11_d203e8842
Paucken	w13_d203e8846
und	w1_d203e8851
Sandarten	w3_d203e8854
verloren.	w5_d203e8857
Es	w7_d203e8860
wird	w9_d203e8863
drey	w11_d203e8866
Täge	w1_d203e8871
und	w3_d203e8874
Nächte	w5_d203e8877
alhier	w7_d203e8880
rasten,	w9_d203e8883
und	w11_d203e8886
sodann	w13_d203e8890
bis	w1_d203e8896
auf	w3_d203e8899
weiteren	w5_d203e8902
Befehl	w7_d203e8905
nach	w9_d203e8908
Wesel	w11_d203e8911
gehen.	w13_d203e8915
Einige	w1_d203e8920
seynd	w3_d203e8923
der	w5_d203e8926
Meinung,	w7_d203e8929
es	w9_d203e8932
werde	w11_d203e8935
seine	w13_d203e8939
Winter=garnison	w1_d203e8944
zu	w3_d203e8947
Achen	w5_d203e8950
bekommen.	w7_d203e8953
</p>
<head id="h2_d203e8959">
Auszug	w1_d203e8963
eines	w3_d203e8966
Briefs	w5_d203e8969
aus	w7_d203e8972
Preußisch	w9_d203e8975
Pommern	w1_d203e8980
30.	w3_d203e8983
Novem.	w5_d203e8986
</head>
<p id="p4_d203e8989">
Ausser	w1_d203e8993
denen	w3_d203e8996
v.	w5_d203e8999
der	w7_d203e9002
Lehwaldischen	w9_d203e9005
Armee	w11_d203e9008
bey	w13_d203e9012
Stettin	w1_d203e9017
schon	w3_d203e9020
angelangten	w5_d203e9023
Vor=trupen,	w7_d203e9026
seynd	w9_d203e9029
heute	w1_d203e9034
wieder	w3_d203e9037
einige	w5_d203e9040
Cavallerie=regimenter	w7_d203e9043
davon	w1_d203e9049
durch	w3_d203e9052
diese	w5_d203e9055
Stadt	w7_d203e9058
marschirt,	w9_d203e9061
und	w11_d203e9064
so	w13_d203e9068
wird	w1_d203e9073
es	w3_d203e9076
auch	w5_d203e9079
in	w7_d203e9082
denen	w9_d203e9085
darauf	w11_d203e9088
folgenden	w13_d203e9092
Tä	w15_d203e9095
gen	w1_d203e9100
mit	w3_d203e9103
der	w5_d203e9106
Jnfanterie	w7_d203e9109
und	w9_d203e9112
dem	w11_d203e9115
Rest	w13_d203e9119
der	w15_d203e9122
Cavallerie	w1_d203e9127
geschehen.	w3_d203e9130
Diese	w5_d203e9133
Armee	w7_d203e9136
ist	w9_d203e9139
zu	w11_d203e9142
Folge	w1_d203e9148
sicherer	w3_d203e9151
Verzeichnüssen	w5_d203e9154
30000.	w7_d203e9157
Mann	w9_d203e9160
stark,	w1_d203e9165
und	w3_d203e9168
die	w5_d203e9171
Schwedische	w7_d203e9174
17000.	w9_d203e9177
Vor	w11_d203e9180
eini	w13_d203e9184
gen	w1_d203e9189
Tagen	w3_d203e9192
hat	w5_d203e9195
sich	w7_d203e9198
ein	w9_d203e9201
starkes	w11_d203e9204
Detaschement	w13_d203e9208
der	w15_d203e9211
Unserige	w1_d203e9216
der	w3_d203e9219
Stadt	w5_d203e9222
Wollin	w7_d203e9225
wiederbmächtiget.	w9_d203e9228
Man	w1_d203e9234
will	w3_d203e9237
zwar	w5_d203e9240
sagen,	w7_d203e9243
daß	w9_d203e9246
die	w11_d203e9249
Schweden	w13_d203e9253
schon	w15_d203e9256
Anclam	w1_d203e9261
wieder	w3_d203e9264
verlassen	w5_d203e9267
hätten;	w7_d203e9270
allein	w9_d203e9273
da	w11_d203e9276
noch	w13_d203e9280
heute	w1_d203e9285
von	w3_d203e9288
ihne	w5_d203e9291
ein	w7_d203e9294
Trompeter	w9_d203e9297
aus	w11_d203e9300
solcher	w13_d203e9304
Stadt	w15_d203e9307
zu	w1_d203e9312
Stertin	w3_d203e9315
angekommen	w5_d203e9318
ist,	w7_d203e9321
so	w9_d203e9324
fällt	w11_d203e9327
dieses	w13_d203e9331
von	w15_d203e9334
selbsten	w1_d203e9340
weg.	w3_d203e9343
Vielmehr	w5_d203e9346
geben	w7_d203e9349
Nachrichten	w9_d203e9352
von	w1_d203e9357
daher,	w3_d203e9360
daß	w5_d203e9363
sie	w7_d203e9366
Miene	w9_d203e9369
machen,	w11_d203e9372
die	w13_d203e9376
Stadt	w15_d203e9379
wider	w1_d203e9384
einen	w3_d203e9387
Angrif	w5_d203e9390
derer	w7_d203e9393
Unserigen	w9_d203e9396
zu	w11_d203e9399
ver	w13_d203e9403
theidigen,	w1_d203e9408
Sie	w3_d203e9411
haben	w5_d203e9414
die	w7_d203e9417
Häuser	w9_d203e9420
und	w11_d203e9423
Scheu	w13_d203e9427
nen	w1_d203e9433
von	w3_d203e9436
Anclam,	w5_d203e9439
deren	w7_d203e9442
sehr	w9_d203e9445
viele	w11_d203e9448
seynd,	w13_d203e9452
taxirt,	w15_d203e9455
woraus	w1_d203e9460
sich	w3_d203e9463
nichtes	w5_d203e9466
anders	w7_d203e9469
schliessen	w9_d203e9472
lasset,	w11_d203e9475
als	w1_d203e9480
daß	w3_d203e9483
sie	w5_d203e9486
/	w7_d203e9489
im	w9_d203e9492
Fall	w11_d203e9495
eines	w13_d203e9499
Angriffes,	w15_d203e9502
willens	w17_d203e9505
seynd,	w1_d203e9510
dieselbe	w3_d203e9513
in	w5_d203e9516
Brand	w7_d203e9519
zu	w9_d203e9522
stecken.	w11_d203e9525
Daß	w13_d203e9529
indessen	w1_d203e9535
die	w3_d203e9538
Schweden	w5_d203e9541
den	w7_d203e9544
von	w9_d203e9547
unsern	w11_d203e9550
Kö	w13_d203e9554
nig	w1_d203e9559
zum	w3_d203e9562
Besten	w5_d203e9565
der	w7_d203e9568
Handlung	w9_d203e9571
mit	w11_d203e9574
sehr	w13_d203e9578
gros	w15_d203e9581
sen	w1_d203e9586
Kosten	w3_d203e9589
angelegten	w5_d203e9592
schönen	w7_d203e9595
Hafen	w9_d203e9598
zu	w11_d203e9601
Schwi	w13_d203e9605
</p>
<p id="p6_d203e9608">
nemünde	w1_d203e9612
vewüstet	w3_d203e9615
haben,	w5_d203e9618
ist	w7_d203e9621
mehr	w9_d203e9624
als	w11_d203e9627
zu	w13_d203e9631
wahr,	w15_d203e9634
wodurch	w1_d203e9639
dann	w3_d203e9642
die	w5_d203e9645
Fahrt	w7_d203e9648
dahin	w9_d203e9651
aufgehöret	w11_d203e9654
hat.	w1_d203e9659
</p>
<head id="h2_d203e9666">
Hamburg	w1_d203e9670
2.	w3_d203e9673
December.	w5_d203e9676
</head>
<p id="p4_d203e9679">
Diesen	w1_d203e9683
Nachmittag	w3_d203e9686
hörete	w5_d203e9689
man	w7_d203e9692
weiter,	w9_d203e9695
über	w1_d203e9700
Harburg	w3_d203e9703
hinaus,	w5_d203e9706
schiessen	w7_d203e9709
und	w9_d203e9712
beobach	w11_d203e9715
tete	w1_d203e9720
auch	w3_d203e9723
durch	w5_d203e9726
Hülf	w7_d203e9729
der	w9_d203e9732
Fern=gläser	w11_d203e9735
einen	w13_d203e9739
sehr	w1_d203e9745
dicken	w3_d203e9748
Dampf,	w5_d203e9751
wobey	w7_d203e9754
sich	w9_d203e9757
das	w11_d203e9760
Gerücht	w13_d203e9764
verbreitete,	w1_d203e9769
daß	w3_d203e9772
beyderseitige	w5_d203e9775
Armeen	w7_d203e9778
in	w9_d203e9781
Bat	w11_d203e9784
taille	w1_d203e9789
mit	w3_d203e9792
einander	w5_d203e9795
begriffen	w7_d203e9798
wären.	w9_d203e9801
So	w11_d203e9804
wahrscheinlich	w1_d203e9809
dieses	w3_d203e9812
nun	w5_d203e9815
auch	w7_d203e9818
aus	w9_d203e9821
denen	w11_d203e9824
Umständen	w1_d203e9830
ist,	w3_d203e9833
so	w5_d203e9836
wollen	w7_d203e9839
wir	w9_d203e9842
doch	w11_d203e9845
erst	w13_d203e9849
gewis	w15_d203e9852
sere	w1_d203e9857
Nachrichten	w3_d203e9860
davon	w5_d203e9863
erwarten	w7_d203e9866
Einc	w9_d203e9869
an	w11_d203e9872
dere	w1_d203e9877
Sache	w3_d203e9880
erfordert	w5_d203e9883
auch	w7_d203e9886
noch	w9_d203e9889
Bestättigung.	w11_d203e9892
Man	w1_d203e9897
schreibet	w3_d203e9900
nämlich	w5_d203e9903
von	w7_d203e9906
Hannover,	w9_d203e9909
daß	w11_d203e9912
die	w1_d203e9918
ganze	w3_d203e9921
Obser	w5_d203e9924
vations=armee	w7_d203e9927
in	w9_d203e9930
Preußischen	w11_d203e9933
Sold	w1_d203e9938
und	w3_d203e9941
Dienst	w5_d203e9944
gienge.	w7_d203e9947
</p>
<head id="h2_d203e9953">
Altona	w1_d203e9957
1.	w3_d203e9960
December	w5_d203e9963
</head>
<p id="p4_d203e9966">
Gestern	w1_d203e9970
Morgen	w3_d203e9973
fieng	w5_d203e9976
man	w7_d203e9979
hiesiger	w9_d203e9982
Gegend	w11_d203e9985
an,	w1_d203e9990
den	w3_d203e9993
Donner	w5_d203e9996
der	w7_d203e9999
Canonen	w9_d203e10002
in	w11_d203e10005
und	w13_d203e10009
um	w15_d203e10012
Har	w17_d203e10015
burg	w1_d203e10020
zu	w3_d203e10023
hören.	w5_d203e10026
Man	w7_d203e10029
konte	w9_d203e10032
auch	w11_d203e10035
den	w13_d203e10039
vorauf	w15_d203e10042
gehenden	w1_d203e10048
Blitz,	w3_d203e10051
ob	w5_d203e10054
es	w7_d203e10057
gleich	w9_d203e10060
nicht	w11_d203e10063
sehr	w13_d203e10067
helles	w15_d203e10070
Wetter	w1_d203e10075
war,	w3_d203e10078
jedesmal	w5_d203e10081
deutlich	w7_d203e10084
sehen.	w9_d203e10087
Daß	w11_d203e10090
dieses	w1_d203e10095
Schiessen	w3_d203e10098
ein	w5_d203e10101
Ernst	w7_d203e10104
war,	w9_d203e10107
bestättigten	w11_d203e10110
verschiedene	w1_d203e10115
Personen,	w3_d203e10118
die	w5_d203e10121
selbigen	w7_d203e10124
Morgen	w9_d203e10127
aus	w1_d203e10133
dem	w3_d203e10136
Harburger	w5_d203e10139
Schlosse	w7_d203e10142
gekommen	w9_d203e10145
wa	w11_d203e10148
ren,	w1_d203e10153
wo	w3_d203e10156
man	w5_d203e10159
sie	w7_d203e10162
ganz	w9_d203e10165
früh	w11_d203e10168
entlassen	w13_d203e10172
hatte.	w15_d203e10175
Sie	w1_d203e10180
erzehleten,	w3_d203e10183
daß	w5_d203e10186
man	w7_d203e10189
sich	w9_d203e10192
daselbst	w11_d203e10195
zu	w13_d203e10199
der	w15_d203e10202
ernstlichsten,	w1_d203e10207
und	w3_d203e10210
mutigsten	w5_d203e10213
Vertheidigung	w7_d203e10216
an	w9_d203e10219
geschickt	w1_d203e10225
hätte.	w3_d203e10228
Bey	w5_d203e10231
derselben	w7_d203e10234
Gelegenheit	w9_d203e10237
vernahm	w1_d203e10242
man,	w3_d203e10245
daß	w5_d203e10248
Tages	w7_d203e10251
vorher	w9_d203e10254
dem	w11_d203e10257
Herrn	w13_d203e10261
von	w1_d203e10266
Perreuse	w3_d203e10269
noch	w5_d203e10272
eine	w7_d203e10275
Verstärkung	w9_d203e10278
an	w11_d203e10281
Volk	w13_d203e10285
und	w1_d203e10290
Provisionen	w3_d203e10293
zu	w5_d203e10296
Wasser	w7_d203e10299
zugekommen,	w9_d203e10302
die	w11_d203e10305
folgende	w1_d203e10311
Nacht	w3_d203e10314
aber	w5_d203e10317
dem	w7_d203e10320
Schlosse	w9_d203e10323
die	w11_d203e10326
Com	w13_d203e10330
munication	w1_d203e10335
mit	w3_d203e10338
der	w5_d203e10341
Elbe	w7_d203e10344
durch	w9_d203e10347
ein	w11_d203e10350
Detasche	w13_d203e10354
ment	w1_d203e10359
Hannoveraner,	w3_d203e10362
das	w5_d203e10365
sich	w7_d203e10368
auf	w9_d203e10371
der	w11_d203e10374
zunächst	w13_d203e10378
vor	w1_d203e10383
dem	w3_d203e10386
Schlosse	w5_d203e10389
ligenden	w7_d203e10392
kleinen	w9_d203e10395
Jnsul	w11_d203e10398
einge	w13_d203e10402
funden	w1_d203e10408
hätte,	w3_d203e10411
völlig	w5_d203e10414
benommen	w7_d203e10417
worden	w9_d203e10420
wäre.	w11_d203e10423
Gedachtes	w1_d203e10428
Schiessen	w3_d203e10431
hielte	w5_d203e10434
gestern	w7_d203e10437
den	w9_d203e10440
ganzen	w11_d203e10443
Tag	w1_d203e10448
mit	w3_d203e10451
vieler	w5_d203e10454
Stärke	w7_d203e10457
an,	w9_d203e10460
so	w11_d203e10463
daß	w13_d203e10467
die	w15_d203e10470
Häuser,	w17_d203e10473
und	w1_d203e10478
Fenster	w3_d203e10481
hier	w5_d203e10484
in	w7_d203e10487
der	w9_d203e10490
Stadt	w11_d203e10493
davon	w13_d203e10497
bebeten;	w15_d203e10500
doch	w1_d203e10506
ward	w3_d203e10509
es	w5_d203e10512
gegen	w7_d203e10515
Abend	w9_d203e10518
zwischen	w11_d203e10521
3.	w13_d203e10525
und	w15_d203e10528
4.	w1_d203e10533
