<doc id="wr_1760-01-26" attrs="word" year="1760" month="01" day="26" corpus="2">
<head id="h2_d418e2999">
Coblenz	w1_d418e3003
alle,	w7_d418e6634
bis	w9_d418e6637
auf	w11_d418e6640
ein	w13_d418e6644
ein	w15_d418e6647
ziges,	w1_d418e6652
dessen	w3_d418e6655
Schicksal	w5_d418e6658
man	w7_d418e6661
noch	w9_d418e6664
nicht	w11_d418e6667
weiß,	w13_d418e6671
in	w1_d418e6677
Bretagne	w3_d418e6680
angelanget.	w5_d418e6683
</p>
<p id="p16_d418e6686">
Der	w1_d418e6690
Graf	w3_d418e6693
von	w5_d418e6696
Sabran=grammont,	w7_d418e6699
Schifs	w9_d418e6702
capitain,	w1_d418e6707
welcher	w3_d418e6710
sich	w5_d418e6713
in	w7_d418e6716
dem	w9_d418e6719
See=treffen	w11_d418e6722
unter	w1_d418e6727
dem	w3_d418e6730
Herrn	w5_d418e6733
de	w7_d418e6736
la	w9_d418e6739
Clüe	w11_d418e6742
da	w13_d418e6746
Lagos	w15_d418e6749
gegen	w17_d418e6752
5.	w1_d418e6758
Englischen	w3_d418e6761
Schiffen	w5_d418e6764
so	w7_d418e6767
tapfer	w9_d418e6770
gewehrt,	w11_d418e6773
und	w1_d418e6778
gegen	w3_d418e6781
Ende	w5_d418e6784
des	w7_d418e6787
vorigen	w9_d418e6790
Jahres	w11_d418e6793
dahier	w13_d418e6797
angelanget,	w1_d418e6802
ist	w3_d418e6805
von	w5_d418e6808
dem	w7_d418e6811
König	w9_d418e6814
mit	w11_d418e6817
einer	w13_d418e6821
Pension	w1_d418e6826
von	w3_d418e6829
2000.	w5_d418e6832
Pf.	w7_d418e6835
begnädiget	w9_d418e6838
worden.	w11_d418e6841
Der	w1_d418e6847
Marquis	w3_d418e6850
de	w5_d418e6853
Beaussel	w7_d418e6856
ist	w9_d418e6859
zum	w11_d418e6862
Minister	w13_d418e6866
bey	w1_d418e6871
dem	w3_d418e6874
Chur=fürsten	w5_d418e6877
von	w7_d418e6880
Cölln	w9_d418e6883
an	w11_d418e6886
statt	w13_d418e6890
des	w1_d418e6895
Herrn	w3_d418e6898
Barons	w5_d418e6901
von	w7_d418e6904
Breteuil,	w9_d418e6907
der	w11_d418e6910
nach	w13_d418e6914
Petersburg	w1_d418e6919
geht,	w3_d418e6922
ernennt,	w5_d418e6925
und	w7_d418e6928
der	w9_d418e6931
zu	w11_d418e6934
Ve	w13_d418e6938
nedig	w1_d418e6944
stehende	w3_d418e6947
Herr	w5_d418e6950
von	w7_d418e6953
Durfort,	w9_d418e6956
so	w11_d418e6959
als	w13_d418e6963
Ambassadeur	w1_d418e6968
des	w3_d418e6971
Königs	w5_d418e6974
nach	w7_d418e6977
Nenpolis	w9_d418e6980
be	w11_d418e6983
stimmt,	w1_d418e6988
wird	w3_d418e6991
durch	w5_d418e6994
den	w7_d418e6997
vormaligen	w9_d418e7000
Mini	w11_d418e7003
ster	w1_d418e7008
in	w3_d418e7011
Portugal,	w5_d418e7014
Herrn	w7_d418e7017
von	w9_d418e7020
Baschl,	w11_d418e7023
ersetzt	w13_d418e7027
werden.	w1_d418e7033
Unerachtet	w3_d418e7036
das	w5_d418e7039
Hülfs=mittel	w7_d418e7042
des	w9_d418e7045
in	w1_d418e7050
die	w3_d418e7053
Münze	w5_d418e7056
zu	w7_d418e7059
bringenden	w9_d418e7062
SilberGe	w11_d418e7065
schirrs	w1_d418e7070
eines	w3_d418e7073
der	w5_d418e7076
vortheihaftesten,	w7_d418e7079
indem	w9_d418e7082
es	w11_d418e7085
insonderheit	w1_d418e7090
unnützliche	w3_d418e7093
Reichtümer	w5_d418e7096
in	w7_d418e7099
Wert	w9_d418e7102
und	w1_d418e7108
Umgang	w3_d418e7111
bringet,	w5_d418e7114
so	w7_d418e7117
nihmt	w9_d418e7120
man	w11_d418e7123
doch	w13_d418e7127
wahr,	w1_d418e7132
daß	w3_d418e7135
der	w5_d418e7138
Zulauf	w7_d418e7141
zu	w9_d418e7144
denselben	w11_d418e7147
seit	w13_d418e7151
der	w15_d418e7154
neuen	w1_d418e7159
Verlängerung	w3_d418e7162
des	w5_d418e7165
Termins	w7_d418e7168
zu	w9_d418e7171
Anneh	w11_d418e7174
mung	w1_d418e7179
desselben	w3_d418e7182
bey	w5_d418e7185
weitem	w7_d418e7188
nicht	w9_d418e7191
mehr	w11_d418e7194
so	w13_d418e7198
groß,	w1_d418e7204
als	w3_d418e7207
er	w5_d418e7210
von	w7_d418e7213
Anfang	w9_d418e7216
gewesen;	w11_d418e7219
dahinge	w13_d418e7223
gen	w1_d418e7228
gewinnen	w3_d418e7231
die	w5_d418e7234
neue	w7_d418e7237
Leib=renten	w9_d418e7240
desto	w11_d418e7243
grössern	w1_d418e7248
Beyfall.	w3_d418e7251
Das	w5_d418e7254
dazu	w7_d418e7257
bestimmte	w9_d418e7260
Geld	w1_d418e7265
wird	w3_d418e7268
Haufenwels	w5_d418e7271
zu	w7_d418e7274
denen	w9_d418e7277
Notarien	w11_d418e7280
gebracht,	w1_d418e7286
und	w3_d418e7289
da	w5_d418e7292
die	w7_d418e7295
Actien	w9_d418e7298
nicht	w11_d418e7301
beson	w13_d418e7305
ders	w1_d418e7310
kostbar,	w3_d418e7313
so	w5_d418e7316
nimmt	w7_d418e7319
eine	w9_d418e7322
Menge	w11_d418e7325
Leute	w13_d418e7329
Theil	w1_d418e7334
daran,	w3_d418e7337
denen	w5_d418e7340
die	w7_d418e7343
Mäßigkeit	w9_d418e7346
ihres	w11_d418e7349
Ver	w13_d418e7353
mögens	w1_d418e7358
durch	w3_d418e7361
die	w5_d418e7364
von	w7_d418e7367
dem	w9_d418e7370
König	w11_d418e7373
denen	w13_d418e7377
Jn	w15_d418e7380
teressenten	w1_d418e7386
zugestandene	w3_d418e7389
Vortheile	w5_d418e7392
dadurch	w7_d418e7395
einen	w1_d418e7400
Zuwachs	w3_d418e7403
von	w5_d418e7406
Einkünften	w7_d418e7409
verschaft.	w9_d418e7412
Die	w1_d418e7417
Engländer	w3_d418e7420
haben	w5_d418e7423
sich	w7_d418e7426
Meister	w9_d418e7429
von	w11_d418e7432
Jsle	w13_d418e7436
</p>
<p id="p22_d418e7449">
Dien,	w1_d418e7453
einem	w3_d418e7456
zwischen	w5_d418e7459
Bretagne	w7_d418e7462
und	w9_d418e7465
Poitou	w11_d418e7468
gelegenen,	w1_d418e7473
dem	w3_d418e7476
Duc	w5_d418e7479
de	w7_d418e7482
Mortemart	w9_d418e7485
zustän	w11_d418e7488
digen,	w1_d418e7493
und	w3_d418e7496
von	w5_d418e7499
lauter	w7_d418e7502
Fischern	w9_d418e7505
bewohnten	w11_d418e7508
Felsen,	w1_d418e7514
gemacht.	w3_d418e7517
Sie	w5_d418e7520
stellen	w7_d418e7523
sich,	w9_d418e7526
als	w11_d418e7529
wann	w13_d418e7533
sie	w1_d418e7538
einen	w3_d418e7541
Anschlag	w5_d418e7544
auf	w7_d418e7547
Belle=Jsle	w9_d418e7550
hätten,	w11_d418e7553
weswegen	w1_d418e7558
der	w3_d418e7561
Duc	w5_d418e7564
d'Aiguillon	w7_d418e7567
nicht	w9_d418e7570
nur	w11_d418e7573
diesen	w1_d418e7578
Platz	w3_d418e7581
mit	w5_d418e7584
Lebens=mitteln	w7_d418e7587
versehen	w9_d418e7590
lassen,	w1_d418e7596
sondern	w3_d418e7599
auch	w5_d418e7602
solche	w7_d418e7605
Maas=regeln	w9_d418e7608
er	w11_d418e7611
griffen,	w1_d418e7616
die	w3_d418e7619
denen	w5_d418e7622
Engländern	w7_d418e7625
eine	w9_d418e7628
vorha	w11_d418e7631
bende	w1_d418e7636
Landung	w3_d418e7639
theuer	w5_d418e7642
genug	w7_d418e7645
zu	w9_d418e7648
stehen	w11_d418e7651
ma	w13_d418e7655
chen	w1_d418e7660
sollten.	w3_d418e7663
Jn	w5_d418e7666
dem	w7_d418e7669
am	w9_d418e7672
Neuen=jahrs=tag	w11_d418e7675
gehaltenen	w1_d418e7681
Ordens=capitel	w3_d418e7684
des	w5_d418e7687
Heil.	w7_d418e7690
Geistes,	w9_d418e7693
hat	w1_d418e7698
der	w3_d418e7701
König	w5_d418e7704
den	w7_d418e7707
Grafen	w9_d418e7710
von	w11_d418e7713
Choiseul	w13_d418e7717
General=leutenant	w1_d418e7722
und	w3_d418e7725
Ambassadeur	w5_d418e7728
zu	w7_d418e7731
Wien	w9_d418e7734
zum	w1_d418e7739
Ritter	w3_d418e7742
dieses	w5_d418e7745
Ordens	w7_d418e7748
ernennet.	w9_d418e7751
</p>
<head id="h2_d418e7757">
München	w1_d418e7761
17.	w3_d418e7764
Jan.	w5_d418e7767
</head>
<p id="p4_d418e7770">
Unser	w1_d418e7774
Durchl.	w3_d418e7777
Landes=fürst	w5_d418e7780
machet	w7_d418e7783
de	w9_d418e7786
nen	w1_d418e7791
Durchl.	w3_d418e7794
Chur=sächsischen	w5_d418e7797
Herrschaften,	w7_d418e7800
welche	w1_d418e7805
sich	w3_d418e7808
im	w5_d418e7811
höchsten	w7_d418e7814
Wolseyn	w9_d418e7817
hier	w11_d418e7820
befin	w13_d418e7824
den,	w1_d418e7830
bey	w3_d418e7833
jetziger	w5_d418e7836
Faschings=zeit	w7_d418e7839
verschiede	w9_d418e7842
ne	w1_d418e7847
Divertissements,	w3_d418e7850
wie	w5_d418e7853
dann	w7_d418e7856
vorgestern	w9_d418e7859
Abends	w1_d418e7864
nach	w3_d418e7867
7.	w5_d418e7870
Uhr	w7_d418e7873
eine	w9_d418e7876
magnifique	w11_d418e7879
Schlit	w13_d418e7883
tenfahrt	w1_d418e7888
von	w3_d418e7891
alhiesiger	w5_d418e7894
Residenz	w7_d418e7897
durch	w9_d418e7900
die	w11_d418e7903
Stadt	w1_d418e7909
nacher	w3_d418e7912
Nymphenburg	w5_d418e7915
angestellt	w7_d418e7918
wur	w9_d418e7921
de.	w1_d418e7926
Die	w3_d418e7929
ganze	w5_d418e7932
Suite	w7_d418e7935
bestunde	w9_d418e7938
in	w11_d418e7941
60.	w13_d418e7945
aus	w15_d418e7948
erlesnen	w1_d418e7953
Schlitten:	w3_d418e7956
Den	w5_d418e7959
Anfang	w7_d418e7962
machte	w9_d418e7965
ein	w1_d418e7970
grosser	w3_d418e7973
Wurst=schlitten	w5_d418e7976
mit	w7_d418e7979
einem	w9_d418e7982
Corps	w11_d418e7985
Hof=trompeter	w1_d418e7991
und	w3_d418e7994
Paucker,	w5_d418e7997
das	w7_d418e8000
Ende	w9_d418e8003
aber	w11_d418e8006
ein	w1_d418e8011
dergleicher	w3_d418e8014
Schlitten	w5_d418e8017
mit	w7_d418e8020
Waldhornisten	w9_d418e8023
und	w1_d418e8028
anderer	w3_d418e8031
schönen	w5_d418e8034
Music.	w7_d418e8037
Zu	w9_d418e8040
gedachten	w11_d418e8043
Nymphenburg	w1_d418e8048
wurde	w3_d418e8051
eine	w5_d418e8054
kostbare	w7_d418e8057
Tafel	w9_d418e8060
zu	w11_d418e8063
bereitet.	w1_d418e8069
Nach	w3_d418e8072
dessen	w5_d418e8075
Endigung	w7_d418e8078
kehrete	w9_d418e8081
die	w11_d418e8084
se	w1_d418e8089
Schlittenfahrt	w3_d418e8092
in	w5_d418e8095
voriger	w7_d418e8098
Ordnung	w9_d418e8101
zu	w11_d418e8104
rück	w1_d418e8109
in	w3_d418e8112
hiesige	w5_d418e8115
Residenz,	w7_d418e8118
wobey	w9_d418e8121
man	w11_d418e8124
sich	w13_d418e8128
wie	w1_d418e8133
im	w3_d418e8136
Hinausfahren,	w5_d418e8139
der	w7_d418e8142
Wachs=fackeln,	w9_d418e8145
da	w11_d418e8148
durch	w1_d418e8154
die	w3_d418e8157
ganze	w5_d418e8160
Stadt	w7_d418e8163
erleuchte	w9_d418e8166
wurde,	w11_d418e8169
be	w13_d418e8173
dienete.	w1_d418e8178
</p>
<head id="h2_d418e8184">
Hanover	w1_d418e8188
8.	w3_d418e8191
Januarii.	w5_d418e8194
</head>
<p id="p4_d418e8197">
Am	w1_d418e8201
3.	w3_d418e8204
dieses	w5_d418e8207
Monats	w7_d418e8210
kam	w9_d418e8213
die	w11_d418e8216
sämmtli	w13_d418e8220
che	w1_d418e8225
Bagage	w3_d418e8228
vom	w5_d418e8231
Erb=prinzlichen	w7_d418e8234
Corps,	w9_d418e8237
welches	w1_d418e8242
bisher	w3_d418e8245
nebst	w5_d418e8248
etlichen	w7_d418e8251
und	w9_d418e8254
40.	w11_d418e8257
Pon	w13_d418e8261
tons	w1_d418e8267
in	w3_d418e8270
und	w5_d418e8273
um	w7_d418e8276
Cassel	w9_d418e8279
gestanden	w11_d418e8282
hatte,	w13_d418e8286
zu	w15_d418e8289
Münden	w1_d418e8294
an,	w3_d418e8297
und	w5_d418e8300
wurde	w7_d418e8303
auf	w9_d418e8306
den	w11_d418e8309
in	w13_d418e8313
dasi	w15_d418e8316
</p>
<p id="p6_d418e8319">
ger	w1_d418e8323
Gegend	w3_d418e8326
belegenen	w5_d418e8329
Dörfern	w7_d418e8332
jenseits	w9_d418e8335
der	w11_d418e8338
Weser	w1_d418e8343
einquartiret.	w3_d418e8346
Dieses	w5_d418e8349
ist	w7_d418e8352
wegen	w9_d418e8355
Man	w11_d418e8358
gels	w1_d418e8363
der	w3_d418e8366
Furage	w5_d418e8369
geschehen,	w7_d418e8372
die	w9_d418e8375
wegen	w11_d418e8378
ge	w13_d418e8382
fehlter	w1_d418e8388
benöhtigten	w3_d418e8391
Fuhren,	w5_d418e8394
nicht	w7_d418e8397
wohl	w9_d418e8400
nach	w11_d418e8403
Cassel	w1_d418e8408
zu	w3_d418e8411
bringen	w5_d418e8414
gewesen	w7_d418e8417
ist.	w9_d418e8420
Der	w11_d418e8423
Ge	w13_d418e8427
neral	w1_d418e8432
von	w3_d418e8435
Jmhof	w5_d418e8438
stehet	w7_d418e8441
nun	w9_d418e8444
mit	w11_d418e8447
seinem	w13_d418e8451
unterhabenden	w1_d418e8456
Corps	w3_d418e8459
in	w5_d418e8462
der	w7_d418e8465
Gegend	w9_d418e8468
Cöln	w11_d418e8471
und	w1_d418e8477
Düsseldorf.	w3_d418e8480
</p>
<head id="h2_d418e8486">
Aus	w1_d418e8490
Frankreich	w3_d418e8493
2.	w5_d418e8496
Januarii.	w7_d418e8499
</head>
<p id="p4_d418e8502">
Bey	w1_d418e8506
diesen	w3_d418e8509
stürmischen	w5_d418e8512
Winter=tagen	w7_d418e8515
hö	w9_d418e8518
ret	w1_d418e8523
man	w3_d418e8526
auch	w5_d418e8529
von	w7_d418e8532
Ungewittern	w9_d418e8535
auf	w11_d418e8538
der	w13_d418e8542
See.	w1_d418e8547
Von	w3_d418e8550
Barcellona	w5_d418e8553
schreibet	w7_d418e8556
man	w9_d418e8559
un	w11_d418e8562
term	w1_d418e8568
19.	w3_d418e8571
December	w5_d418e8574
abgewichenen	w7_d418e8577
Jahrs,	w9_d418e8580
man	w1_d418e8585
habe	w3_d418e8588
allda	w5_d418e8591
aus	w7_d418e8594
Cadix	w9_d418e8597
die	w11_d418e8600
Nachricht	w13_d418e8604
empfangen,	w1_d418e8609
daß,	w3_d418e8612
nachdeme	w5_d418e8615
ein	w7_d418e8618
fürchterli	w9_d418e8621
cher	w1_d418e8626
Sturm	w3_d418e8629
die	w5_d418e8632
Engländische	w7_d418e8635
Escadre,	w9_d418e8638
welche	w1_d418e8644
auf	w3_d418e8647
der	w5_d418e8650
Höhe	w7_d418e8653
dieses	w9_d418e8656
Hafens	w11_d418e8659
gecreu	w13_d418e8663
tzet,	w1_d418e8668
zerstreuet	w3_d418e8671
und	w5_d418e8674
auseinander	w7_d418e8677
gejaget;	w9_d418e8680
so	w1_d418e8685
hätten	w3_d418e8688
die	w5_d418e8691
Schiffe	w7_d418e8694
und	w9_d418e8697
Fregatten	w11_d418e8700
von	w13_d418e8704
der	w1_d418e8709
Escadre	w3_d418e8712
des	w5_d418e8715
Herrn	w7_d418e8718
de	w9_d418e8721
la	w11_d418e8724
Clüe	w13_d418e8728
und	w15_d418e8731
an	w17_d418e8734
dere,	w1_d418e8740
die	w3_d418e8743
bekannter	w5_d418e8746
massen	w7_d418e8749
schon	w9_d418e8752
eine	w11_d418e8755
ge	w13_d418e8759
raume	w1_d418e8764
Zeit	w3_d418e8767
in	w5_d418e8770
dem	w7_d418e8773
Hafen	w9_d418e8776
zu	w11_d418e8779
ermeldtem	w13_d418e8783
Cadix	w1_d418e8788
sich	w3_d418e8791
aufgehalten,	w5_d418e8794
diesen	w7_d418e8797
Umstand	w9_d418e8800
zu	w11_d418e8803
Nutze	w1_d418e8808
gemachet,	w3_d418e8811
um	w5_d418e8814
wieder	w7_d418e8817
in	w9_d418e8820
die	w11_d418e8823
See	w13_d418e8827
zu	w15_d418e8830
lauffen,	w1_d418e8836
und	w3_d418e8839
alle	w5_d418e8842
diese	w7_d418e8845
Schiffe	w9_d418e8848
hätten	w11_d418e8851
den	w13_d418e8855
Strich	w1_d418e8860
nach	w3_d418e8863
dem	w5_d418e8866
Canal	w7_d418e8869
genommen.	w9_d418e8872
Briefe	w11_d418e8875
aus	w1_d418e8880
Cadix	w3_d418e8883
selbst	w5_d418e8886
vom	w7_d418e8889
12.	w9_d418e8892
December	w11_d418e8895
ver	w13_d418e8899
gangenen	w1_d418e8904
Jahrs	w3_d418e8907
klagen	w5_d418e8910
ebenfalls	w7_d418e8913
über	w9_d418e8916
grau	w11_d418e8919
same	w1_d418e8925
Sturm=winde,	w3_d418e8928
welche	w5_d418e8931
schon	w7_d418e8934
8.	w9_d418e8937
Tage	w11_d418e8940
lang	w1_d418e8945
auf	w3_d418e8948
selbigen	w5_d418e8951
Küsten	w7_d418e8954
regieren.	w9_d418e8957
Sie	w11_d418e8960
stimmen	w1_d418e8965
nicht	w3_d418e8968
nur	w5_d418e8971
ein,	w7_d418e8974
daß	w9_d418e8977
die	w11_d418e8980
Engländi	w13_d418e8984
sche	w1_d418e8989
Escadre	w3_d418e8992
zerstreuet	w5_d418e8995
worden,	w7_d418e8998
sondern	w9_d418e9001
sie	w11_d418e9004
sagen	w1_d418e9010
auch,	w3_d418e9013
daß	w5_d418e9016
mehr	w7_d418e9019
als	w9_d418e9022
10.	w11_d418e9025
Holländi	w13_d418e9029
sche,	w1_d418e9034
mit	w3_d418e9037
Kauf=manns=gut	w5_d418e9040
beladene	w7_d418e9043
Schiffe,	w9_d418e9046
welche	w1_d418e9051
zu	w3_d418e9054
einer	w5_d418e9057
Flotte	w7_d418e9060
von	w9_d418e9063
dieser	w11_d418e9066
Nation	w13_d418e9070
gehöret,	w1_d418e9075
die	w3_d418e9078
nach	w5_d418e9081
Marseille	w7_d418e9084
und	w9_d418e9087
denen	w11_d418e9090
Jta	w13_d418e9094
liänischen	w1_d418e9100
See=häfen	w3_d418e9103
unter	w5_d418e9106
Wegs	w7_d418e9109
gewesen,	w9_d418e9112
zu	w1_d418e9117
Grund	w3_d418e9120
gegangen	w5_d418e9123
seyen,	w7_d418e9126
mit	w9_d418e9129
dem	w11_d418e9132
Hin	w13_d418e9136
zuthun,	w1_d418e9141
wie	w3_d418e9144
man	w5_d418e9147
nämlich	w7_d418e9150
zu	w9_d418e9153
Cadix	w11_d418e9156
wissen	w13_d418e9160
will,	w1_d418e9165
daß	w3_d418e9168
auch	w5_d418e9171
eines	w7_d418e9174
von	w9_d418e9177
denen	w11_d418e9180
diese	w13_d418e9184
Flotte	w15_d418e9187
bedeckenden	w1_d418e9193
Holländischen	w3_d418e9196
Kriegs=schiffen	w5_d418e9199
unglücklich	w1_d418e9204
gewesen,	w3_d418e9207
und	w5_d418e9210
daß	w7_d418e9213
2.	w9_d418e9216
Dähni	w11_d418e9219
</p>
<p id="p10_d418e9232">
sche	w1_d418e9236
und	w3_d418e9239
ein	w5_d418e9242
Spanisches	w7_d418e9245
Schif	w9_d418e9248
auf	w11_d418e9251
der	w13_d418e9255
Küste	w1_d418e9260
gescheiteret	w3_d418e9263
seynd.	w5_d418e9266
Wir	w7_d418e9269
können	w9_d418e9272
in	w11_d418e9275
zwischen	w1_d418e9280
allen	w3_d418e9283
diesen	w5_d418e9286
Nachrichten,	w7_d418e9289
daß	w9_d418e9292
sie	w11_d418e9295
sich	w1_d418e9301
gänzlich	w3_d418e9304
so	w5_d418e9307
verhalten,	w7_d418e9310
darum	w9_d418e9313
noch	w11_d418e9316
nicht	w13_d418e9320
vollkommenen	w1_d418e9325
Glauben	w3_d418e9328
geben,	w5_d418e9331
weil	w7_d418e9334
andere	w9_d418e9337
Briefe	w1_d418e9342
aus	w3_d418e9345
Cadix	w5_d418e9348
von	w7_d418e9351
eben	w9_d418e9354
diesem	w11_d418e9357
dato	w13_d418e9361
und	w1_d418e9366
auch	w3_d418e9369
die	w5_d418e9372
Briefe	w7_d418e9375
aus	w9_d418e9378
Madrid	w11_d418e9381
vom	w13_d418e9385
17.	w15_d418e9388
December	w1_d418e9394
verflossenen	w3_d418e9397
Jahrs	w5_d418e9400
nichts	w7_d418e9403
ge	w9_d418e9406
meldet,	w1_d418e9411
weder	w3_d418e9414
von	w5_d418e9417
dem	w7_d418e9420
Ungewitter,	w9_d418e9423
daß	w11_d418e9426
über	w1_d418e9431
die	w3_d418e9434
Engländische	w5_d418e9437
Escadre	w7_d418e9440
ergangen,	w9_d418e9443
noch	w1_d418e9448
daß	w3_d418e9451
die	w5_d418e9454
Französische	w7_d418e9457
von	w9_d418e9460
Cadix	w11_d418e9463
aus	w13_d418e9467
geloffen	w1_d418e9473
seye.	w3_d418e9476
</p>
<head id="h2_d418e9482">
Warschau	w1_d418e9486
2.	w3_d418e9489
Jan.	w5_d418e9492
</head>
<p id="p4_d418e9495">
Gestern	w1_d418e9499
Morgens	w3_d418e9502
wurden	w5_d418e9505
wegen	w7_d418e9508
des	w9_d418e9511
eingetrettenen	w1_d418e9516
neuen	w3_d418e9519
Jahrs	w5_d418e9522
100.	w7_d418e9525
Canonen	w9_d418e9528
schüsse	w1_d418e9533
gethan,	w3_d418e9536
und	w5_d418e9539
zu	w7_d418e9542
gleicher	w9_d418e9545
Zeit	w11_d418e9548
liessen	w13_d418e9552
sich	w1_d418e9558
Trompeten	w3_d418e9561
und	w5_d418e9564
Paucken	w7_d418e9567
im	w9_d418e9570
Königl.	w11_d418e9573
Palais	w1_d418e9578
hören.	w3_d418e9581
Nachgehends	w5_d418e9584
begaben	w7_d418e9587
sich	w9_d418e9590
sammentliche	w1_d418e9595
hier	w3_d418e9598
anwesende	w5_d418e9601
Herren	w7_d418e9604
Se	w9_d418e9607
nateurs,	w1_d418e9612
Reichs=beamte,	w3_d418e9615
und	w5_d418e9618
andere	w7_d418e9621
hohe	w9_d418e9624
Standes=personen,	w1_d418e9630
beyderley	w3_d418e9633
Geschlechts.	w5_d418e9636
wie	w1_d418e9641
auch	w3_d418e9644
die	w5_d418e9647
alhier	w7_d418e9650
residirende	w9_d418e9653
Herren	w11_d418e9656
Ge	w13_d418e9660
sandten	w1_d418e9665
der	w3_d418e9668
auswärtigen	w5_d418e9671
hohen	w7_d418e9674
Mächte,	w9_d418e9677
in	w1_d418e9682
Galla	w3_d418e9685
nach	w5_d418e9688
Hof,	w7_d418e9691
und	w9_d418e9694
legten	w11_d418e9697
bey	w13_d418e9701
Sr.	w15_d418e9704
Majestät	w1_d418e9710
dem	w3_d418e9713
Könige	w5_d418e9716
die	w7_d418e9719
unterthänigsten	w9_d418e9722
Glütwünsche	w1_d418e9727
ab.	w3_d418e9730
Hierauf	w5_d418e9733
verfügten	w7_d418e9736
sich	w9_d418e9739
vorbesagte	w1_d418e9744
hohe	w3_d418e9747
Personen	w5_d418e9750
zu	w7_d418e9753
des	w9_d418e9756
Herrn	w11_d418e9759
Herzogs	w1_d418e9764
von	w3_d418e9767
Curland	w5_d418e9770
Königlicher	w7_d418e9773
Hoheit,	w9_d418e9776
und	w1_d418e9782
statteten	w3_d418e9785
bey	w5_d418e9788
Höchst=denenselben	w7_d418e9791
wegen	w9_d418e9794
dieses	w1_d418e9799
Jahr=wechsels	w3_d418e9802
gleichfalls	w5_d418e9805
die	w7_d418e9808
Glück	w9_d418e9811
wünschungs=complimenten	w1_d418e9816
ab.	w3_d418e9819
</p>
<head id="h2_d418e9825">
Aus	w1_d418e9829
Hessen	w3_d418e9832
7.	w5_d418e9835
Jan.	w7_d418e9838
</head>
<p id="p4_d418e9841">
Den	w1_d418e9845
2ten	w3_d418e9848
Dieses,	w5_d418e9851
des	w7_d418e9854
Morgens	w9_d418e9857
in	w11_d418e9860
al	w13_d418e9864
ler	w1_d418e9869
Fruhe,	w3_d418e9872
erhielte	w5_d418e9875
der	w7_d418e9878
zu	w9_d418e9881
Cassel	w11_d418e9884
bisher	w13_d418e9888
ge	w15_d418e9891
legene	w1_d418e9896
Englische	w3_d418e9899
Artillerie=train	w5_d418e9902
Befehl,	w7_d418e9905
in	w1_d418e9911
aller	w3_d418e9914
Eil	w5_d418e9917
mit	w7_d418e9920
den	w9_d418e9923
Pontons	w11_d418e9926
aufzubrechen,	w13_d418e9930
und	w1_d418e9935
nach	w3_d418e9938
Hannöverisch	w5_d418e9941
Münden,	w7_d418e9944
4.	w9_d418e9947
Stun	w11_d418e9950
den	w1_d418e9955
von	w3_d418e9958
Cassel,	w5_d418e9961
zu	w7_d418e9964
marschiren.	w9_d418e9967
Derselbe	w11_d418e9970
hat	w1_d418e9975
sich,	w3_d418e9978
dem	w5_d418e9981
zufolge,	w7_d418e9984
auch	w9_d418e9987
sofort	w11_d418e9990
dahin	w13_d418e9994
begeben,	w1_d418e10000
und	w3_d418e10003
ist	w5_d418e10006
theils	w7_d418e10009
daselbst,	w9_d418e10012
theils	w11_d418e10015
aber	w13_d418e10019
auf	w1_d418e10024
die	w3_d418e10027
nächste	w5_d418e10030
Dörfer	w7_d418e10033
quartieret	w9_d418e10036
worden.	w11_d418e10039
Man	w1_d418e10044
hat	w3_d418e10047
diese	w5_d418e10050
Veränderung	w7_d418e10053
um	w9_d418e10056
deswillen	w11_d418e10059
gemacht,	w1_d418e10064
weil	w3_d418e10067
zu	w5_d418e10070
Cassel,	w7_d418e10073
wegen	w9_d418e10076
der	w11_d418e10079
da	w13_d418e10083
</p>
<p id="p6_d418e10086">
selbst	w1_d418e10090
ankommenden	w3_d418e10093
Menge	w5_d418e10096
von	w7_d418e10099
Recrouten	w9_d418e10102
und	w1_d418e10107
Genesenen,	w3_d418e10110
kein	w5_d418e10113
Raum	w7_d418e10116
genug	w9_d418e10119
ist,	w11_d418e10122
und	w13_d418e10126
die	w1_d418e10131
Burger	w3_d418e10134
mit	w5_d418e10137
der	w7_d418e10140
Einquartierung	w9_d418e10143
sonst	w11_d418e10146
allzusehr	w1_d418e10152
beschweret	w3_d418e10155
werden	w5_d418e10158
möchten,	w7_d418e10161
zu	w9_d418e10164
mal,	w1_d418e10169
da	w3_d418e10172
noch	w5_d418e10175
ausserdem	w7_d418e10178
täglich	w9_d418e10181
Comman	w11_d418e10184
di	w1_d418e10189
zu	w3_d418e10192
Cassel	w5_d418e10195
eintreffen,	w7_d418e10198
welche	w9_d418e10201
die	w11_d418e10204
bereits	w13_d418e10208
in	w1_d418e10213
den	w3_d418e10216
Waffen	w5_d418e10219
geübte	w7_d418e10222
und	w9_d418e10225
montirte	w11_d418e10228
Recru	w13_d418e10232
ten	w1_d418e10238
zu	w3_d418e10241
ihren	w5_d418e10244
angewiesenen	w7_d418e10247
Regimentern	w9_d418e10250
holen.	w1_d418e10255
Am	w3_d418e10258
Montag	w5_d418e10261
gieng	w7_d418e10264
für	w9_d418e10267
Jhre	w11_d418e10270
Ho	w13_d418e10274
heit,	w1_d418e10279
die	w3_d418e10282
Erb=prinzeßin	w5_d418e10285
von	w7_d418e10288
