<doc id="wr_1762-04-03" attrs="word" year="1762" month="04" day="03" corpus="2">
<head id="h2_d644e3254">
Auszug=schreiben	w1_d644e3258
in	w3_d644e6909
Ansehung	w5_d644e6912
der	w7_d644e6915
Erklärung	w9_d644e6918
des	w1_d644e6923
Portugesischen	w3_d644e6926
Hofes.	w5_d644e6929
Jnzwischen	w7_d644e6932
sind	w9_d644e6935
die	w1_d644e6941
Equipagen	w3_d644e6944
des	w5_d644e6947
Königs	w7_d644e6950
und	w9_d644e6953
der	w11_d644e6956
Genera	w13_d644e6960
lität	w1_d644e6965
bey	w3_d644e6968
nahe	w5_d644e6971
fertig.	w7_d644e6974
Die	w9_d644e6977
Recrutirung	w11_d644e6980
geht	w1_d644e6985
fürtreflich	w3_d644e6988
von	w5_d644e6991
statten,	w7_d644e6994
und	w9_d644e6997
zu	w11_d644e7000
Barcel	w13_d644e7004
lona	w1_d644e7009
ist	w3_d644e7012
eine	w5_d644e7015
Menge	w7_d644e7018
Arbeiter,	w9_d644e7021
deren	w11_d644e7024
Anzahl	w13_d644e7028
man	w1_d644e7034
auf	w3_d644e7037
17000.	w5_d644e7040
schätzet,	w7_d644e7043
an	w9_d644e7046
verschiedenen	w11_d644e7049
Zurüstungen	w1_d644e7054
in	w3_d644e7057
beständiger	w5_d644e7060
Beschäftigung.	w7_d644e7063
Die	w1_d644e7068
zum	w3_d644e7071
Transport	w5_d644e7074
benöhtigte	w7_d644e7077
Maul=esel,	w9_d644e7080
Pferde	w1_d644e7085
und	w3_d644e7088
Wagen	w5_d644e7091
für	w7_d644e7094
die	w9_d644e7097
Magazine	w11_d644e7100
und	w13_d644e7104
das	w1_d644e7110
Geschütz,	w3_d644e7113
gehen	w5_d644e7116
täglich	w7_d644e7119
nach	w9_d644e7122
ihren	w11_d644e7125
be	w13_d644e7129
stimmten	w1_d644e7134
Plätzen	w3_d644e7137
ab.	w5_d644e7140
Drey	w7_d644e7143
zum	w9_d644e7146
Kreige	w11_d644e7149
ausgerüstete	w1_d644e7154
Tartanen	w3_d644e7157
sollen	w5_d644e7160
um	w7_d644e7163
die	w9_d644e7166
Jnsuln	w11_d644e7169
Madera,	w1_d644e7174
Corvo	w3_d644e7177
und	w5_d644e7180
St.	w7_d644e7183
Maria	w9_d644e7186
creutzen,	w11_d644e7189
und	w1_d644e7195
denen	w3_d644e7198
aus	w5_d644e7201
unsern	w7_d644e7204
Colonnen	w9_d644e7207
kommenden	w11_d644e7210
Schiffen	w1_d644e7215
von	w3_d644e7218
da	w5_d644e7221
zur	w7_d644e7224
Begleitung	w9_d644e7227
dienen.	w11_d644e7230
Der	w1_d644e7235
König	w3_d644e7238
hat	w5_d644e7241
das	w7_d644e7244
Commando	w9_d644e7247
über	w11_d644e7250
den	w13_d644e7254
Ruhmredigen,	w1_d644e7259
dem	w3_d644e7262
D.	w5_d644e7265
Petro	w7_d644e7268
Justiniani,	w9_d644e7271
und	w11_d644e7274
über	w1_d644e7280
den	w3_d644e7283
Verschlagenen,	w5_d644e7286
dem	w7_d644e7289
Don	w9_d644e7292
Francisco	w11_d644e7295
Trevigno	w1_d644e7300
aufgetragen.	w3_d644e7303
Die	w5_d644e7306
Batterie,	w7_d644e7309
so	w9_d644e7312
man	w1_d644e7317
zu	w3_d644e7320
Malaga	w5_d644e7323
am	w7_d644e7326
Gestatte	w9_d644e7329
errichtet,	w11_d644e7332
ist	w13_d644e7336
durch	w1_d644e7341
das	w3_d644e7344
ungestimme	w5_d644e7347
Meer	w7_d644e7350
zernichtet	w9_d644e7353
wor	w11_d644e7356
den,	w1_d644e7362
es	w3_d644e7365
wird	w5_d644e7368
aber	w7_d644e7371
an	w9_d644e7374
deren	w11_d644e7377
Wiederherstel	w13_d644e7381
lung	w1_d644e7386
äussersten	w3_d644e7389
Fleisses	w5_d644e7392
gearbeitet.	w7_d644e7395
</p>
<head id="h2_d644e7402">
Ollmütz	w1_d644e7406
31.	w3_d644e7409
Märtz.	w5_d644e7412
</head>
<p id="p4_d644e7415">
Bey	w1_d644e7419
hiesiger	w3_d644e7422
Universität	w5_d644e7425
haben	w7_d644e7428
die	w9_d644e7431
von	w11_d644e7434
Jhro	w1_d644e7439
Kaiserl.	w3_d644e7442
Königl.	w5_d644e7445
Apostol.	w7_d644e7448
Majestät	w9_d644e7451
im	w1_d644e7456
verwichenen	w3_d644e7459
Jahr	w5_d644e7462
ad	w7_d644e7465
mentem	w9_d644e7468
SS.	w11_d644e7471
Pa-	w13_d644e7475
trum	w1_d644e7481
Augustini	w3_d644e7484
&	w5_d644e7487
Thomæ	w7_d644e7490
allergnädigst	w9_d644e7493
er	w11_d644e7496
nannte	w1_d644e7501
zwey	w3_d644e7504
Professores	w5_d644e7507
Theologiæ	w7_d644e7510
Prä	w9_d644e7513
monstratenser	w1_d644e7518
und	w3_d644e7521
Prediger=ordens	w5_d644e7524
um	w7_d644e7527
Jhro	w1_d644e7532
Majestät	w3_d644e7535
Allerhöchsten	w5_d644e7538
Befehlen	w7_d644e7541
mit	w9_d644e7544
vollkommenem	w1_d644e7550
Eifer	w3_d644e7553
allerunterthänigst	w5_d644e7556
nach	w7_d644e7559
zuleben,	w1_d644e7564
vom	w3_d644e7567
15.	w5_d644e7570
bis	w7_d644e7573
24.	w9_d644e7576
Martii	w11_d644e7579
inclusive	w13_d644e7583
in	w1_d644e7588
dem	w3_d644e7591
grossen	w5_d644e7594
Universitäts=saal	w7_d644e7597
täglich	w9_d644e7600
öf	w11_d644e7603
fentliche	w1_d644e7608
Disputationes	w3_d644e7611
gehalten,	w5_d644e7614
in	w7_d644e7617
wel	w9_d644e7620
chen	w1_d644e7626
sich	w3_d644e7629
10.	w5_d644e7632
Auditores	w7_d644e7635
besagter	w9_d644e7638
hohen	w11_d644e7641
Schulen	w1_d644e7646
AA.	w3_d644e7649
LL.	w5_d644e7652
&	w7_d644e7655
Theol.	w9_d644e7658
Magistri,	w11_d644e7661
näm	w13_d644e7665
lich	w1_d644e7670
ein	w3_d644e7673
weltlicher	w5_d644e7676
Priester,	w7_d644e7679
sechs	w9_d644e7682
Canonici	w11_d644e7685
Regulares	w1_d644e7690
Prämonstratenser=ordens	w3_d644e7693
von	w5_d644e7696
dem	w7_d644e7699
</p>
<p id="p10_d644e7712">
Stift	w1_d644e7716
Hradisch,	w3_d644e7719
und	w5_d644e7722
drey	w7_d644e7725
Priester	w9_d644e7728
Prediger	w11_d644e7731
ordens	w1_d644e7736
besonders	w3_d644e7739
hervorgethan,	w5_d644e7742
und	w7_d644e7745
haben	w9_d644e7748
somit	w1_d644e7753
ihre	w3_d644e7756
Tentamenta	w5_d644e7759
pro	w7_d644e7762
prima	w9_d644e7765
Theologiæ	w11_d644e7768
Laurea	w1_d644e7774
zu	w3_d644e7777
allseitigem	w5_d644e7780
Vergnügen	w7_d644e7783
löblich	w9_d644e7786
überstanden.	w1_d644e7791
</p>
<head id="h2_d644e7797">
Auszug	w1_d644e7801
eines	w3_d644e7804
Schreibens	w5_d644e7807
von	w7_d644e7810
Pa	w9_d644e7813
ris	w1_d644e7818
den	w3_d644e7821
17.	w5_d644e7824
März.	w7_d644e7827
</head>
<p id="p4_d644e7830">
Vorgestern	w1_d644e7834
in	w3_d644e7837
der	w5_d644e7840
Nacht	w7_d644e7843
ereignete	w9_d644e7846
sich	w11_d644e7849
ein	w1_d644e7854
Trauriger	w3_d644e7857
Zufall,	w5_d644e7860
in	w7_d644e7863
einer	w9_d644e7866
Kaufmanns	w11_d644e7869
hüte	w1_d644e7874
auf	w3_d644e7877
dem	w5_d644e7880
Markt	w7_d644e7883
St.	w9_d644e7886
Germain	w11_d644e7889
kam	w13_d644e7893
ganz	w15_d644e7896
unvermutet	w1_d644e7902
Feuer	w3_d644e7905
aus,	w5_d644e7908
und	w7_d644e7911
nahm	w9_d644e7914
in	w11_d644e7917
kurzer	w13_d644e7921
Zeit	w1_d644e7926
dergestalten	w3_d644e7929
über	w5_d644e7932
Hand,	w7_d644e7935
daß	w9_d644e7938
aller	w11_d644e7941
ver	w13_d644e7945
fügten	w1_d644e7950
Gegen=anstalten	w3_d644e7953
ungeachtet,	w5_d644e7956
der	w7_d644e7959
ganze	w1_d644e7964
Markt	w3_d644e7967
von	w5_d644e7970
denen	w7_d644e7973
wütenden	w9_d644e7976
Flammen	w11_d644e7979
aufgezehret	w1_d644e7985
worden,	w3_d644e7988
also	w5_d644e7991
zwar,	w7_d644e7994
daß	w9_d644e7997
nicht	w11_d644e8000
ein	w1_d644e8005
Brett	w3_d644e8008
mehr	w5_d644e8011
davon	w7_d644e8014
übrig	w9_d644e8017
ist.	w11_d644e8020
Alle	w13_d644e8024
in	w15_d644e8027
diesen	w1_d644e8032
Hüten	w3_d644e8035
sich	w5_d644e8038
befundene	w7_d644e8041
Kaufmanns	w9_d644e8044
güter	w1_d644e8049
sowol,	w3_d644e8052
als	w5_d644e8055
eine	w7_d644e8058
ziemliche	w9_d644e8061
Menge	w11_d644e8064
Menschen	w1_d644e8070
sind	w3_d644e8073
dabey	w5_d644e8076
zu	w7_d644e8079
Grund	w9_d644e8082
gegangen;	w11_d644e8085
die	w1_d644e8090
eigentliche	w3_d644e8093
Anzahl	w5_d644e8096
der	w7_d644e8099
dabey	w9_d644e8102
Verunglück	w11_d644e8105
ten	w1_d644e8110
weiß	w3_d644e8113
man	w5_d644e8116
noch	w7_d644e8119
nicht,	w9_d644e8122
dann	w11_d644e8125
als	w13_d644e8129
ich	w15_d644e8132
die	w17_d644e8135
ses	w1_d644e8140
schreibe,	w3_d644e8143
ist	w5_d644e8146
diese	w7_d644e8149
schröckliche	w9_d644e8152
Brunst	w11_d644e8155
noch	w13_d644e8159
nicht	w1_d644e8165
gedämpfet.	w3_d644e8168
Man	w5_d644e8171
will	w7_d644e8174
gar	w9_d644e8177
behaupten,	w11_d644e8180
daß	w1_d644e8185
die	w3_d644e8188
Flammen	w5_d644e8191
die	w7_d644e8194
Kirche	w9_d644e8197
St.	w11_d644e8200
Sulpice,	w13_d644e8204
weilen	w1_d644e8209
eine	w3_d644e8212
dieser	w5_d644e8215
Hüten	w7_d644e8218
daran	w9_d644e8221
fest	w11_d644e8224
gemacht	w13_d644e8228
war,	w1_d644e8233
ergriffen,	w3_d644e8236
und	w5_d644e8239
die	w7_d644e8242
Communion=capelle	w9_d644e8245
eingeäschert	w1_d644e8251
habe.	w3_d644e8254
Sie	w5_d644e8257
können	w7_d644e8260
sich	w9_d644e8263
leicht	w11_d644e8266
vorstellen,	w1_d644e8271
was	w3_d644e8274
für	w5_d644e8277
ein	w7_d644e8280
erbärmliches	w9_d644e8283
Klag	w11_d644e8286
geschrey	w1_d644e8291
unter	w3_d644e8294
denen	w5_d644e8297
von	w7_d644e8300
diesem	w9_d644e8303
Unglück	w11_d644e8306
ge	w13_d644e8310
troffenen	w1_d644e8315
armen	w3_d644e8318
Kaufleuten	w5_d644e8321
entstanden:	w7_d644e8324
der	w9_d644e8327
Auflauf,	w1_d644e8333
und	w3_d644e8336
die	w5_d644e8339
Verwirrung	w7_d644e8342
ist	w9_d644e8345
bereits	w11_d644e8348
all	w13_d644e8352
gemein,	w1_d644e8357
und	w3_d644e8360
mir	w5_d644e8363
selbsten	w7_d644e8366
bricht	w9_d644e8369
fast	w11_d644e8372
das	w13_d644e8376
Herz	w15_d644e8379
für	w1_d644e8384
Wehmut,	w3_d644e8387
da	w5_d644e8390
ich	w7_d644e8393
dieses	w9_d644e8396
schreibe,	w11_d644e8399
über	w13_d644e8403
den	w15_d644e8406
Jammer=vollen	w1_d644e8411
Zustand	w3_d644e8414
dieser	w5_d644e8417
Handels=leute.	w7_d644e8420
</p>
<head id="h2_d644e8426">
Mayn=Strom	w1_d644e8430
26.	w3_d644e8433
Mart.	w5_d644e8436
</head>
<p id="p4_d644e8439">
Die	w1_d644e8443
Numero	w3_d644e8446
34.	w5_d644e8449
der	w7_d644e8452
Berlinischen	w9_d644e8455
Nach	w11_d644e8458
richten	w1_d644e8463
von	w3_d644e8466
Staats	w5_d644e8469
und	w7_d644e8472
gelehrten	w9_d644e8475
Sachen,	w11_d644e8478
liefert	w1_d644e8483
uns	w3_d644e8486
heute	w5_d644e8489
die	w7_d644e8492
zuverläßige	w9_d644e8495
Anzeige,	w11_d644e8498
von	w1_d644e8504
nachfolgender	w3_d644e8507
zwischen	w5_d644e8510
den	w7_d644e8513
Preussen	w9_d644e8516
und	w11_d644e8519
Russen	w1_d644e8524
abgeschlossenen	w3_d644e8527
General=Armistice,	w5_d644e8530
oder	w1_d644e8535
allgemeinen	w3_d644e8538
Waffen=stillstande:	w5_d644e8541
Nachdem	w1_d644e8546
von	w3_d644e8549
Seiten	w5_d644e8552
Sr.	w7_d644e8555
Königl.	w9_d644e8558
Ma	w11_d644e8561
</p>
<p id="p6_d644e8564">
jestät	w1_d644e8568
in	w3_d644e8571
Preussen,	w5_d644e8574
Dero	w7_d644e8577
General	w9_d644e8580
von	w11_d644e8583
der	w13_d644e8587
Jnfanterie,	w1_d644e8592
und	w3_d644e8595
Gouverneur	w5_d644e8598
zu	w7_d644e8601
Stettin,	w9_d644e8604
Herzog	w1_d644e8609
von	w3_d644e8612
Braunschweig=Bevern,	w5_d644e8615
und	w7_d644e8618
Abseiten	w1_d644e8624
Sr.	w3_d644e8627
Kaiserl.	w5_d644e8630
Majestät	w7_d644e8633
aller	w9_d644e8636
Reus	w11_d644e8639
sen,	w1_d644e8644
Dero	w3_d644e8647
in	w5_d644e8650
Pommernen	w7_d644e8653
Chef	w9_d644e8656
comman	w11_d644e8659
dirender	w1_d644e8664
General=leutenant	w3_d644e8667
Fürst	w5_d644e8670
von	w7_d644e8673
Wol	w9_d644e8676
konsky,	w1_d644e8681
eine	w3_d644e8684
General=armistice	w5_d644e8687
zu	w7_d644e8690
treffen,	w9_d644e8693
und	w1_d644e8699
zu	w3_d644e8702
schliessen,	w5_d644e8705
in	w7_d644e8708
Stargard	w9_d644e8711
zusammen	w11_d644e8714
gekommen,	w1_d644e8719
so	w3_d644e8722
sind	w5_d644e8725
nachstehende	w7_d644e8728
Puncte	w9_d644e8731
con	w11_d644e8734
veniret	w1_d644e8739
worden:	w3_d644e8742
</p>
<p id="p8_d644e8745">
Art.	w1_d644e8749
1.	w3_d644e8752
Zuförderst	w5_d644e8755
hören	w7_d644e8758
alle	w9_d644e8761
Feindse	w11_d644e8764
ligkelien	w1_d644e8769
und	w3_d644e8772
Thätlichkeiten,	w5_d644e8775
wo	w7_d644e8778
sich	w9_d644e8781
Kö	w11_d644e8784
nigl.	w1_d644e8789
Preußische	w3_d644e8792
und	w5_d644e8795
Rußisch=kaiserl.	w7_d644e8798
Tru	w9_d644e8801
pen	w1_d644e8807
gegen	w3_d644e8810
einander	w5_d644e8813
befinden,	w7_d644e8816
gänzlich	w9_d644e8819
auf.	w11_d644e8822
</p>
<p id="p10_d644e8825">
Art.	w1_d644e8829
2.	w3_d644e8832
Bey	w5_d644e8835
dem	w7_d644e8838
Corps	w9_d644e8841
der	w11_d644e8844
Kaiserl.	w13_d644e8848
Rußischen	w1_d644e8853
Armee	w3_d644e8856
unterm	w5_d644e8859
Commando	w7_d644e8862
des	w9_d644e8865
en	w1_d644e8870
Chef	w3_d644e8873
commandirenden	w5_d644e8876
Generalleute	w7_d644e8879
nants,	w1_d644e8885
Fürsten	w3_d644e8888
von	w5_d644e8891
Wolkonsky,	w7_d644e8894
und	w9_d644e8897
den	w11_d644e8900
dagegen	w1_d644e8905
stehenden	w3_d644e8908
Königl.	w5_d644e8911
Preußischen	w7_d644e8914
Völ	w9_d644e8917
kern,	w1_d644e8922
wird	w3_d644e8925
das	w5_d644e8928
Armisticium	w7_d644e8931
von	w9_d644e8934
dem	w11_d644e8937
Ta	w13_d644e8941
ge	w1_d644e8946
der	w3_d644e8949
Unterzeichnung	w5_d644e8952
angerechnet:	w7_d644e8955
Hin	w9_d644e8958
gegen	w1_d644e8964
bey	w3_d644e8967
denen	w5_d644e8970
in	w7_d644e8973
Pohlen	w9_d644e8976
und	w11_d644e8979
Schlesien	w13_d644e8983
stehenden	w1_d644e8988
Corps	w3_d644e8991
d'Armeen,	w5_d644e8994
von	w7_d644e8997
dem	w9_d644e9000
Ta	w11_d644e9003
ge	w1_d644e9008
der	w3_d644e9011
Ankunft	w5_d644e9014
derer	w7_d644e9017
Couriers,	w9_d644e9020
die	w11_d644e9023
unver	w13_d644e9027
züglich,	w1_d644e9032
nach	w3_d644e9035
der	w5_d644e9038
Unterzeichnung	w7_d644e9041
dieser	w9_d644e9044
Con	w11_d644e9047
vention,	w1_d644e9053
von	w3_d644e9056
beyden	w5_d644e9059
Theilen,	w7_d644e9062
an	w9_d644e9065
die	w11_d644e9068
Chefs	w13_d644e9072
dieser	w1_d644e9077
Corps	w3_d644e9080
abgefertiget	w5_d644e9083
werden	w7_d644e9086
sollen,	w9_d644e9089
worüber	w1_d644e9094
Königl.	w3_d644e9097
Preußischer	w5_d644e9100
Seits	w7_d644e9103
die	w9_d644e9106
Or	w11_d644e9109
dres	w1_d644e9114
bereits	w3_d644e9117
vorläufig	w5_d644e9120
gegeben	w7_d644e9123
worden.	w9_d644e9126
</p>
<p id="p12_d644e9130">
Art.	w1_d644e9134
3.	w3_d644e9137
Während	w5_d644e9140
dieses	w7_d644e9143
Waffenstill	w9_d644e9146
standes,	w1_d644e9151
soll	w3_d644e9154
in	w5_d644e9157
Pommern	w7_d644e9160
und	w9_d644e9163
in	w11_d644e9166
der	w13_d644e9170
Neu	w15_d644e9173
Markt	w1_d644e9178
die	w3_d644e9181
Oder,	w5_d644e9184
die	w7_d644e9187
Gränze	w9_d644e9190
denen	w11_d644e9193
bey	w13_d644e9197
derseitigen	w1_d644e9203
Trupen	w3_d644e9206
bestimmen,	w5_d644e9209
dergestalt,	w7_d644e9212
daß	w1_d644e9217
weder	w3_d644e9220
die	w5_d644e9223
Königl.	w7_d644e9226
Preußischen,	w9_d644e9229
noch	w11_d644e9232
die	w1_d644e9237
Rußisch=Kaiserl.	w3_d644e9240
über	w5_d644e9243
diesen	w7_d644e9246
Fluß	w9_d644e9249
ge	w11_d644e9252
hen	w1_d644e9257
sollen,	w3_d644e9260
jedoch	w5_d644e9263
können	w7_d644e9266
die	w9_d644e9269
Besatzungen	w11_d644e9272
derer	w1_d644e9278
Festungen	w3_d644e9281
Stettin,	w5_d644e9284
Cüstrin	w7_d644e9287
und	w9_d644e9290
Damm,	w11_d644e9293
ihre	w1_d644e9298
Patrouillen	w3_d644e9301
bis	w5_d644e9304
an	w7_d644e9307
die	w9_d644e9310
diesseits	w11_d644e9313
dem	w13_d644e9317
Oder=strom	w1_d644e9322
belegene	w3_d644e9325
Dörfer,	w5_d644e9328
Christineberg,	w7_d644e9331
Barenbruch,	w1_d644e9336
Buchholz,	w3_d644e9339
Klebitz	w5_d644e9342
und	w7_d644e9345
Zorn	w9_d644e9348
dorf	w1_d644e9354
und	w3_d644e9357
bis	w5_d644e9360
an	w7_d644e9363
die	w9_d644e9366
Warthe,	w11_d644e9369
unter	w13_d644e9373
kei	w15_d644e9376
nerley	w1_d644e9381
Vorwand	w3_d644e9384
aber	w5_d644e9387
weiter	w7_d644e9390
schicken,	w9_d644e9393
wie	w11_d644e9396
</p>
<p id="p18_d644e9409">
dann	w1_d644e9413
auch	w3_d644e9416
die	w5_d644e9419
Rußisch=Kaiserl.	w7_d644e9422
Posten	w9_d644e9425
nicht	w1_d644e9430
weiter	w3_d644e9433
als	w5_d644e9436
bis	w7_d644e9439
an	w9_d644e9442
die	w11_d644e9445
oben	w13_d644e9449
benannte	w15_d644e9452
Dörfer	w1_d644e9457
gehen	w3_d644e9460
sollen.	w5_d644e9463
</p>
<p id="p20_d644e9466">
Art.	w1_d644e9470
4.	w3_d644e9473
Die	w5_d644e9476
Trupen	w7_d644e9479
Sr.	w9_d644e9482
Majestät	w11_d644e9485
des	w13_d644e9489
Königs	w1_d644e9494
in	w3_d644e9497
Preussen	w5_d644e9500
enthalten	w7_d644e9503
sich	w9_d644e9506
gänzlich,	w11_d644e9509
währender	w1_d644e9514
Zeit	w3_d644e9517
dieses	w5_d644e9520
Armisticii,	w7_d644e9523
weder	w9_d644e9526
in	w11_d644e9529
grosser	w1_d644e9535
noch	w3_d644e9538
geringer	w5_d644e9541
Anzahl,	w7_d644e9544
es	w9_d644e9547
sey	w11_d644e9550
in	w13_d644e9554
welcher	w1_d644e9559
Absicht	w3_d644e9562
es	w5_d644e9565
wolle,	w7_d644e9568
das	w9_d644e9571
Pohlnische	w11_d644e9574
Gebiete	w1_d644e9579
zu	w3_d644e9582
betreten.	w5_d644e9585
</p>
<p id="p22_d644e9588">
Art.	w1_d644e9592
5.	w3_d644e9595
Dagegen	w5_d644e9598
die	w7_d644e9601
Trupen	w9_d644e9604
Sr.	w11_d644e9607
Rus	w13_d644e9611
sisch=Kaiserl.	w1_d644e9616
Majestät	w3_d644e9619
mittlerweile	w5_d644e9622
auch	w7_d644e9625
die	w1_d644e9630
Schlesische	w3_d644e9633
Gränze	w5_d644e9636
nicht	w7_d644e9639
berühren	w9_d644e9642
wer	w11_d644e9645
den.	w1_d644e9651
</p>
<p id="p24_d644e9655">
Art.	w1_d644e9659
6.	w3_d644e9662
Zu	w5_d644e9665
dem	w7_d644e9668
Ende	w9_d644e9671
wird	w11_d644e9674
dem	w13_d644e9678
Corps	w15_d644e9681
der	w1_d644e9686
Rußisch=Kaiserl.	w3_d644e9689
Armee,	w5_d644e9692
unter	w7_d644e9695
dem	w9_d644e9698
General=leutenant,	w1_d644e9703
Grafen	w3_d644e9706
von	w5_d644e9709
Czernischew,	w7_d644e9712
sobald	w1_d644e9718
dieser	w3_d644e9721
General	w5_d644e9724
darum	w7_d644e9727
anhalten	w9_d644e9730
wird,	w11_d644e9733
nicht	w1_d644e9738
allein	w3_d644e9741
ein	w5_d644e9744
freyer	w7_d644e9747
und	w9_d644e9750
ungehinderter	w11_d644e9753
Durchzug	w1_d644e9758
durch	w3_d644e9761
Schlesien,	w5_d644e9764
auf	w7_d644e9767
dem	w9_d644e9770
näch	w11_d644e9773
sten	w1_d644e9778
und	w3_d644e9781
bequemsten	w5_d644e9784
Wege	w7_d644e9787
von	w9_d644e9790
Sr.	w11_d644e9793
Kö	w13_d644e9797
nigl.	w1_d644e9803
Majestät	w3_d644e9806
in	w5_d644e9809
Preussen	w7_d644e9812
bewilliget,	w9_d644e9815
son	w11_d644e9818
dern	w1_d644e9823
auch	w3_d644e9826
zu	w5_d644e9829
dessen	w7_d644e9832
Unterhalt	w9_d644e9835
und	w11_d644e9838
Fortkom	w13_d644e9842
men	w1_d644e9847
das	w3_d644e9850
benöthigte	w5_d644e9853
Proviant,	w7_d644e9856
Fourage	w9_d644e9859
und	w11_d644e9862
bespannte	w1_d644e9867
Wagens,	w3_d644e9870
bis	w5_d644e9873
auf	w7_d644e9876
die	w9_d644e9879
Pohlnische	w11_d644e9882
Gränzen	w1_d644e9888
heranzuschaffen	w3_d644e9891
befohlen	w5_d644e9894
werden.	w7_d644e9897
</p>
<p id="p26_d644e9900">
Art.	w1_d644e9904
7.	w3_d644e9907
Auf	w5_d644e9910
diesem	w7_d644e9913
Durch=marsch	w9_d644e9916
soll	w11_d644e9919
die	w1_d644e9924
strengste	w3_d644e9927
und	w5_d644e9930
genaueste	w7_d644e9933
Manns=zucht	w9_d644e9936
bey	w1_d644e9941
dem	w3_d644e9944
Rußisch=Kaiserl.	w5_d644e9947
Corps	w7_d644e9950
d'Armee	w9_d644e9953
beobachtet,	w1_d644e9959
und	w3_d644e9962
die	w5_d644e9965
Gegend,	w7_d644e9968
wodurch	w9_d644e9971
sei	w11_d644e9974
biges	w1_d644e9979
sich	w3_d644e9982
ziehen	w5_d644e9985
wird,	w7_d644e9988
auf	w9_d644e9991
einen	w11_d644e9994
freund	w13_d644e9998
schaftlichen	w1_d644e10003
Fuß	w3_d644e10006
behandelt	w5_d644e10009
werden.	w7_d644e10012
</p>
<p id="p28_d644e10015">
Art.	w1_d644e10019
8.	w3_d644e10022
Während	w5_d644e10025
diesem	w7_d644e10028
Armisticio,	w9_d644e10031
bleibet	w1_d644e10036
der	w3_d644e10039
Handel	w5_d644e10042
und	w7_d644e10045
das	w9_d644e10048
Commercium	w11_d644e10051
zu	w1_d644e10056
Wasser	w3_d644e10059
und	w5_d644e10062
zu	w7_d644e10065
Lande	w9_d644e10068
überall	w11_d644e10071
frey,	w13_d644e10075
und	w15_d644e10078
wenn	w1_d644e10084
deshalb	w3_d644e10087
Pässe	w5_d644e10090
nöhtig,	w7_d644e10093
werden	w9_d644e10096
solche	w11_d644e10099
von	w1_d644e10104
beyderseitiger	w3_d644e10107
commandirender	w5_d644e10110
Genera	w7_d644e10113
lität	w1_d644e10118
ertheilet,	w3_d644e10121
und	w5_d644e10124
von	w7_d644e10127
den	w9_d644e10130
Königl.	w11_d644e10133
Preußi	w13_d644e10137
schen	w1_d644e10142
und	w3_d644e10145
Rußisch=Kaiserl.	w5_d644e10148
Trupen	w7_d644e10151
respe	w9_d644e10154
ctiret.	w1_d644e10160
</p>
<p id="p30_d644e10163">
Art.	w1_d644e10167
9.	w3_d644e10170
Und	w5_d644e10173
wenn	w7_d644e10176
zwischen	w9_d644e10179
beyden	w11_d644e10182
ho	w13_d644e10186
ben	w1_d644e10191
Höfen	w3_d644e10194
nicht	w5_d644e10197
ein	w7_d644e10200
anders	w9_d644e10203
beschlossen	w11_d644e10206
wird,	w13_d644e10210
so	w1_d644e10215
bleibet	w3_d644e10218
die	w5_d644e10221
Zeit	w7_d644e10224
des	w9_d644e10227
Waffen=stillstandes	w11_d644e10230
</p>
<p id="p32_d644e10233">
undeterminiret,	w1_d644e10237
und	w3_d644e10240
wenn	w5_d644e10243
von	w7_d644e10246
einer	w9_d644e10249
oder	w11_d644e10252
andern	w1_d644e10257
Seite	w3_d644e10260
die	w5_d644e10263
Kriegs=operationen	w7_d644e10266
wie	w9_d644e10269
der	w1_d644e10274
angefangen	w3_d644e10277
werden	w5_d644e10280
sollten,	w7_d644e10283
so	w9_d644e10286
machet	w11_d644e10289
der	w1_d644e10295
Theil,	w3_d644e10298
so	w5_d644e10301
solche	w7_d644e10304
anfangen	w9_d644e10307
will,	w11_d644e10310
dem	w13_d644e10314
an	w15_d644e10317
dern	w1_d644e10322
solches	w3_d644e10325
vorhero	w5_d644e10328
14.	w7_d644e10331
Tage	w9_d644e10334
bekannt.	w11_d644e10337
</p>
<p id="p34_d644e10340">
Alles	w1_d644e10344
dieses	w3_d644e10347
soll	w5_d644e10350
heilig	w7_d644e10353
gehalten,	w9_d644e10356
und	w11_d644e10359
er	w13_d644e10363
füllet	w1_d644e10368
werden,	w3_d644e10371
und	w5_d644e10374
werden	w7_d644e10377
von	w9_d644e10380
diesem	w11_d644e10383
Waf	w13_d644e10387
fen=stillstandes=vergleich	w1_d644e10392
zwey	w3_d644e10395
gleichlau	w5_d644e10398
tende	w1_d644e10404
Jnstrumenta	w3_d644e10407
von	w5_d644e10410
beyden	w7_d644e10413
Seiten	w9_d644e10416
un	w11_d644e10419
tersiegelt,	w1_d644e10424
gegen	w3_d644e10427
einander	w5_d644e10430
ausgewechselt.	w7_d644e10433
Geschehen,	w1_d644e10438
Stargard	w3_d644e10441
den	w5_d644e10444
(5)	w7_d644e10447
16.	w9_d644e10450
Martii	w11_d644e10453
1762.	w1_d644e10458
</p>
<p id="p36_d644e10462">
August	w1_d644e10466
Wilhelm,	w3_d644e10469
Herzog	w1_d644e10474
zu	w3_d644e10477
Braunschweig	w5_d644e10480
Lüneburg	w1_d644e10485
Bevern.	w3_d644e10488
(L.	w5_d644e10491
S.)	w7_d644e10494
</p>
<head id="h2_d644e10500">
Wien	w1_d644e10504
