<doc id="wr_1760-08-13" attrs="word" year="1760" month="08" day="13" corpus="2">
<head id="h2_d475e3099">
Von	w1_d475e3103
die	w1_d475e6730
Einschiffung	w3_d475e6733
vieler	w5_d475e6736
Artillerie,	w7_d475e6739
Kriegs	w9_d475e6742
munition,	w1_d475e6748
einiger	w3_d475e6751
Jngenieurs	w5_d475e6754
und	w7_d475e6757
Arbeiter,	w9_d475e6760
zur	w1_d475e6765
Errichtung	w3_d475e6768
der	w5_d475e6771
Festungs=werker	w7_d475e6774
an	w9_d475e6777
un	w11_d475e6780
terschiedlichen	w1_d475e6785
Orten	w3_d475e6788
auf	w5_d475e6791
den	w7_d475e6794
Cüsten	w9_d475e6797
von	w11_d475e6800
Jrrland,	w1_d475e6805
vor	w3_d475e6808
sich	w5_d475e6811
gegangen.	w7_d475e6814
Durch	w9_d475e6817
eine	w11_d475e6820
am	w1_d475e6826
22.	w3_d475e6829
dieses	w5_d475e6832
zu	w7_d475e6835
Portsmouth	w9_d475e6838
angelangte,	w11_d475e6841
und	w1_d475e6846
von	w3_d475e6849
dem	w5_d475e6852
Admiral	w7_d475e6855
Rodney	w9_d475e6858
abgeschickte	w11_d475e6861
Corvette	w1_d475e6866
ist	w3_d475e6869
zu	w5_d475e6872
erfahren	w7_d475e6875
gewesen,	w9_d475e6878
daß	w11_d475e6881
die	w13_d475e6885
ser	w1_d475e6890
Admiral	w3_d475e6893
eine	w5_d475e6896
gute	w7_d475e6899
Anzahl	w9_d475e6902
flacher	w11_d475e6905
mit	w13_d475e6909
Bau=holz	w1_d475e6915
und	w3_d475e6918
Munition	w5_d475e6921
für	w7_d475e6924
Brest	w9_d475e6927
beladene	w11_d475e6930
Schiffe	w1_d475e6935
bey	w3_d475e6938
Havre	w5_d475e6941
ertappet,	w7_d475e6944
und	w9_d475e6947
5.	w11_d475e6950
davon	w13_d475e6954
weggenommen	w1_d475e6959
habe.	w3_d475e6962
Der	w5_d475e6965
Admiral	w7_d475e6968
Hawke	w9_d475e6971
setzt	w1_d475e6976
sich	w3_d475e6979
in	w5_d475e6982
Bereitschaft	w7_d475e6985
nach	w9_d475e6988
Portsmouth	w11_d475e6991
zu	w1_d475e6997
gehen,	w3_d475e7000
und	w5_d475e7003
das	w7_d475e7006
Commando	w9_d475e7009
über	w11_d475e7012
eine	w13_d475e7016
ansehnliche	w1_d475e7021
Flotte	w3_d475e7024
zu	w5_d475e7027
übernehmen,	w7_d475e7030
die,	w9_d475e7033
dem	w11_d475e7036
Verlaut	w1_d475e7041
nach,	w3_d475e7044
nach	w5_d475e7047
West=indien	w7_d475e7050
bestimmt	w9_d475e7053
seyn	w1_d475e7058
soll.	w3_d475e7061
Se.	w5_d475e7064
Königliche	w7_d475e7067
Hoheit,	w9_d475e7070
der	w11_d475e7073
Herr	w1_d475e7079
Herzog	w3_d475e7082
von	w5_d475e7085
York,	w7_d475e7088
halten	w9_d475e7091
sich	w11_d475e7094
noch	w13_d475e7098
immer	w1_d475e7103
zu	w3_d475e7106
Southampton	w5_d475e7109
auf,	w7_d475e7112
um	w9_d475e7115
auf	w11_d475e7118
ge	w13_d475e7122
dachter	w1_d475e7127
Flotte	w3_d475e7130
mit	w5_d475e7133
diesem	w7_d475e7136
Admiral	w9_d475e7139
sich	w11_d475e7142
ein	w13_d475e7146
zuschiffen.	w1_d475e7151
Von	w3_d475e7154
der	w5_d475e7157
Eroberung	w7_d475e7160
von	w9_d475e7163
Mar	w11_d475e7166
tinique	w1_d475e7172
wird	w3_d475e7175
als	w5_d475e7178
von	w7_d475e7181
einer	w9_d475e7184
Sache	w11_d475e7187
noch	w13_d475e7191
im	w15_d475e7194
mer	w1_d475e7199
gesprochen,	w3_d475e7202
die	w5_d475e7205
man	w7_d475e7208
zu	w9_d475e7211
versuchen	w11_d475e7214
sich	w13_d475e7218
entschlossen	w1_d475e7223
hat.	w3_d475e7226
Ausser	w5_d475e7229
diesem	w7_d475e7232
gehet	w9_d475e7235
noch	w11_d475e7238
die	w1_d475e7243
Rede,	w3_d475e7246
daß	w5_d475e7249
der	w7_d475e7252
Eutschluß	w9_d475e7255
gefast	w11_d475e7258
worden	w13_d475e7262
seye,	w1_d475e7268
mit	w3_d475e7271
ehesten	w5_d475e7274
eine	w7_d475e7277
considerable	w9_d475e7280
See	w11_d475e7283
rüstung	w1_d475e7288
zu	w3_d475e7291
formiten,	w5_d475e7294
mit	w7_d475e7297
welcher	w9_d475e7300
unter	w11_d475e7303
Di	w13_d475e7307
rection	w1_d475e7312
des	w3_d475e7315
Lords	w5_d475e7318
Howe	w7_d475e7321
eine	w9_d475e7324
importante	w11_d475e7327
Unternehmung	w1_d475e7332
wieder	w3_d475e7335
die	w5_d475e7338
Cüste	w7_d475e7341
von	w9_d475e7344
Frank	w11_d475e7347
reich	w1_d475e7353
soll	w3_d475e7356
vorgenommen	w5_d475e7359
werden.	w7_d475e7362
Die	w9_d475e7365
seit	w11_d475e7368
einiger	w1_d475e7373
Zeit	w3_d475e7376
ins	w5_d475e7379
Stecken	w7_d475e7382
gerahtene	w9_d475e7385
Seezu	w11_d475e7388
rüstungen	w1_d475e7393
werden	w3_d475e7396
für	w5_d475e7399
jetzo	w7_d475e7402
mit	w9_d475e7405
vielem	w11_d475e7408
Nach	w13_d475e7412
druck	w1_d475e7417
wieder	w3_d475e7420
vor	w5_d475e7423
die	w7_d475e7426
Hand	w9_d475e7429
genommen.	w11_d475e7432
Die	w13_d475e7436
Fregatte	w1_d475e7442
Pelican	w3_d475e7445
ist	w5_d475e7448
abgegangen,	w7_d475e7451
dem	w9_d475e7454
Ad	w11_d475e7457
miral	w1_d475e7462
Rodney	w3_d475e7465
neue	w5_d475e7468
Ordres	w7_d475e7471
zu	w9_d475e7474
überbrin	w11_d475e7477
gen	w1_d475e7482
</p>
<head id="h2_d475e7488">
Haag	w1_d475e7492
29.	w3_d475e7495
Julii.	w5_d475e7498
</head>
<p id="p4_d475e7501">
Mit	w1_d475e7505
denen	w3_d475e7508
letzten	w5_d475e7511
Briefen	w7_d475e7514
von	w9_d475e7517
Paris	w11_d475e7520
ver	w13_d475e7524
nihmt	w1_d475e7529
man,	w3_d475e7532
daß	w5_d475e7535
der	w7_d475e7538
Herzog	w9_d475e7541
von	w11_d475e7544
Choiseuil	w13_d475e7548
mit	w1_d475e7553
unserm	w3_d475e7556
Bottschafter,	w5_d475e7559
dem	w7_d475e7562
Herrn	w9_d475e7565
von	w11_d475e7568
</p>
<p id="p10_d475e7581">
Berkenrebe,	w1_d475e7585
eine	w3_d475e7588
lange	w5_d475e7591
Conferenz	w7_d475e7594
gehalten,	w9_d475e7597
und	w1_d475e7602
denselben	w3_d475e7605
ersucht	w5_d475e7608
habe,	w7_d475e7611
denen	w9_d475e7614
General	w11_d475e7617
staaten	w1_d475e7622
bekannt	w3_d475e7625
zu	w5_d475e7628
machen,	w7_d475e7631
daß	w9_d475e7634
der	w11_d475e7637
Fran	w13_d475e7641
zösische	w1_d475e7647
Hof	w3_d475e7650
von	w5_d475e7653
dem	w7_d475e7656
Commandanten	w9_d475e7659
zu	w11_d475e7662
Wesel,	w1_d475e7667
dem	w3_d475e7670
Grafen	w5_d475e7673
von	w7_d475e7676
Castella	w9_d475e7679
benach	w11_d475e7682
richtiget	w1_d475e7687
worden,	w3_d475e7690
daß	w5_d475e7693
10.	w7_d475e7696
Mann	w9_d475e7699
von	w11_d475e7702
der	w13_d475e7706
dortigen	w1_d475e7711
Besatzung,	w3_d475e7714
nachdeme	w5_d475e7717
sie	w7_d475e7720
eine	w9_d475e7723
gute	w11_d475e7726
Summe	w1_d475e7732
Geldes	w3_d475e7735
gestohlen	w5_d475e7738
hätten,	w7_d475e7741
damit	w9_d475e7744
auf	w1_d475e7749
das	w3_d475e7752
Gebiet	w5_d475e7755
der	w7_d475e7758
Republick	w9_d475e7761
geflüchtet	w11_d475e7764
wä	w13_d475e7768
ren.	w1_d475e7773
Da	w3_d475e7776
nun	w5_d475e7779
der	w7_d475e7782
König,	w9_d475e7785
sein	w11_d475e7788
Herr	w13_d475e7792
sehr	w15_d475e7795
wünschte,	w1_d475e7800
daß	w3_d475e7803
das	w5_d475e7806
Verbrechen	w7_d475e7809
gestraft	w9_d475e7812
wer	w11_d475e7815
den	w1_d475e7821
möchte,	w3_d475e7824
so	w5_d475e7827
schmeichelten	w7_d475e7830
sich	w9_d475e7833
Se.	w11_d475e7836
Ma	w13_d475e7840
jestät,	w1_d475e7845
daß	w3_d475e7848
Jhre	w5_d475e7851
Hochmögenden	w7_d475e7854
diese	w9_d475e7857
Leute	w11_d475e7860
in	w1_d475e7865
Verhaft	w3_d475e7868
nehmen	w5_d475e7871
lassen	w7_d475e7874
würden,	w9_d475e7877
und	w11_d475e7880
zwai	w13_d475e7884
nicht	w1_d475e7889
wie	w3_d475e7892
Ausreisser,	w5_d475e7895
sondern	w7_d475e7898
als	w9_d475e7901
Diebe,	w11_d475e7904
damit	w1_d475e7910
sie	w3_d475e7913
ihren	w5_d475e7916
verdienten	w7_d475e7919
Lohn	w9_d475e7922
erhielten.	w11_d475e7925
Der	w1_d475e7930
Graf	w3_d475e7933
von	w5_d475e7936
Affry	w7_d475e7939
hat	w9_d475e7942
diese	w11_d475e7945
Sache	w13_d475e7949
von	w15_d475e7952
denen	w1_d475e7957
General=staaten	w3_d475e7960
seit	w5_d475e7963
dem	w7_d475e7966
ebenfalls	w9_d475e7969
verlangt,	w1_d475e7974
und	w3_d475e7977
man	w5_d475e7980
vernihmt,	w7_d475e7983
daß	w9_d475e7986
Jhre	w11_d475e7989
Hochmögenden	w1_d475e7995
den	w3_d475e7998
Commendanten	w5_d475e8001
der	w7_d475e8004
Gränz	w9_d475e8007
plätze	w1_d475e8012
von	w3_d475e8015
Geldern	w5_d475e8018
und	w7_d475e8021
Ober=yssel	w9_d475e8024
Befehl	w11_d475e8027
ertheilet	w1_d475e8032
hätten,	w3_d475e8035
diese	w5_d475e8038
Deserteurs,	w7_d475e8041
wo	w9_d475e8044
man	w11_d475e8047
sie	w1_d475e8052
antreffe,	w3_d475e8055
sofort	w5_d475e8058
anhalten	w7_d475e8061
zu	w9_d475e8064
lassen.	w11_d475e8067
</p>
<head id="h2_d475e8073">
Nieder=elbe	w1_d475e8077
1.	w3_d475e8080
Aug.	w5_d475e8083
</head>
<p id="p4_d475e8086">
Mit	w1_d475e8090
heutigen	w3_d475e8093
Briefen	w5_d475e8096
aus	w7_d475e8099
dem	w9_d475e8102
Hano	w11_d475e8105
verischen	w1_d475e8110
vernihmt	w3_d475e8113
man,	w5_d475e8116
daß	w7_d475e8119
Se.	w9_d475e8122
Durchl.	w11_d475e8125
der	w1_d475e8130
Herr	w3_d475e8133
Landgraf	w5_d475e8136
von	w7_d475e8139
Hessen=cassel	w9_d475e8142
den	w11_d475e8145
30.	w13_d475e8149
Julii	w1_d475e8155
von	w3_d475e8158
Rinteln	w5_d475e8161
nach	w7_d475e8164
Braunschweig	w9_d475e8167
ab	w11_d475e8170
gereiset	w1_d475e8175
seye.	w3_d475e8178
Die	w5_d475e8181
Prinzeßin	w7_d475e8184
Charlotta	w9_d475e8187
Durchl.	w1_d475e8192
würden	w3_d475e8195
sich	w5_d475e8198
nach	w7_d475e8201
Eutin	w9_d475e8204
begeben;	w11_d475e8207
auch	w1_d475e8212
habe	w3_d475e8215
die	w5_d475e8218
alliirte	w7_d475e8221
Armee	w9_d475e8224
sich	w11_d475e8227
noch	w13_d475e8231
nahe	w15_d475e8234
bey	w1_d475e8240
Cassel	w3_d475e8243
befunden,	w5_d475e8246
wo	w7_d475e8249
sie	w9_d475e8252
sich	w11_d475e8255
von	w13_d475e8259
Ho	w15_d475e8262
henkirchen	w1_d475e8267
bis	w3_d475e8270
Nordhausen	w5_d475e8273
erstrecket.	w7_d475e8276
Die	w9_d475e8279
Französische	w1_d475e8284
Armee	w3_d475e8287
stund	w5_d475e8290
den	w7_d475e8293
29.	w9_d475e8296
zu	w11_d475e8299
Wolfs	w13_d475e8303
hagen,	w1_d475e8308
Ehlen	w3_d475e8311
und	w5_d475e8314
Elsungen.	w7_d475e8317
</p>
<head id="h2_d475e8323">
Braunschweig	w1_d475e8327
1.	w3_d475e8330
Augusti.	w5_d475e8333
</head>
<p id="p4_d475e8336">
Gestern	w1_d475e8340
frühe	w3_d475e8343
gegen	w5_d475e8346
8.	w7_d475e8349
Uhr	w9_d475e8352
sind	w11_d475e8355
des	w13_d475e8359
regierenden	w1_d475e8364
Herrn	w3_d475e8367
Land=grafens	w5_d475e8370
von	w7_d475e8373
Hessen	w9_d475e8376
cassel	w1_d475e8381
Hochfürstl.	w3_d475e8384
Durchl.	w5_d475e8387
unter	w7_d475e8390
Lösung	w9_d475e8393
der	w11_d475e8396
Canonen	w1_d475e8402
von	w3_d475e8405
unsern	w5_d475e8408
Wällen	w7_d475e8411
alhier	w9_d475e8414
ange	w11_d475e8417
langet.	w1_d475e8422
Heute	w3_d475e8425
wird	w5_d475e8428
bey	w7_d475e8431
Hofe	w9_d475e8434
der	w11_d475e8437
Geburts	w13_d475e8441
</p>
<p id="p6_d475e8444">
tag	w1_d475e8448
Sr.	w3_d475e8451
Hochfürstl.	w5_d475e8454
Durchl.	w7_d475e8457
unsers	w9_d475e8460
Herzogs,	w11_d475e8463
welche	w1_d475e8468
daran	w3_d475e8471
in	w5_d475e8474
dero	w7_d475e8477
47stes	w9_d475e8480
Jahr	w11_d475e8483
getref	w13_d475e8487
ten,	w1_d475e8492
feyerlich	w3_d475e8495
begangen.	w5_d475e8498
Abends	w7_d475e8501
wird	w9_d475e8504
auf	w11_d475e8507
dem	w1_d475e8513
grossen	w3_d475e8516
Theatro	w5_d475e8519
die	w7_d475e8522
neue	w9_d475e8525
Opera,	w11_d475e8528
Ro	w13_d475e8532
doaldo,	w1_d475e8537
König	w3_d475e8540
von	w5_d475e8543
Norwegen,	w7_d475e8546
die	w9_d475e8549
mit	w11_d475e8552
Bal	w13_d475e8556
lets	w1_d475e8561
geziert	w3_d475e8564
ist,	w5_d475e8567
aufgeführt	w7_d475e8570
werden.	w9_d475e8573
</p>
<head id="h2_d475e8579">
Prag	w1_d475e8583
9.	w3_d475e8586
Augusti.	w5_d475e8589
</head>
<p id="p4_d475e8592">
Es	w1_d475e8596
vergehet	w3_d475e8599
kein	w5_d475e8602
Tag,	w7_d475e8605
wo	w9_d475e8608
nicht	w11_d475e8611
entweder	w13_d475e8615
Preußische	w1_d475e8620
Deserteurs	w3_d475e8623
ankommen,	w5_d475e8626
oder	w7_d475e8629
die	w9_d475e8632
in	w1_d475e8637
Sachsen	w3_d475e8640
von	w5_d475e8643
dem	w7_d475e8646
Feind	w9_d475e8649
gemachte	w11_d475e8652
Kriegs	w13_d475e8656
gefangene	w1_d475e8662
Transports=weise	w3_d475e8665
eingebracht	w5_d475e8668
werden.	w1_d475e8673
Den	w3_d475e8676
2.	w5_d475e8679
dieses	w7_d475e8682
ist	w9_d475e8685
deren	w11_d475e8688
letzteren	w13_d475e8692
ein	w1_d475e8697
starker	w3_d475e8700
in	w5_d475e8703
etlich	w7_d475e8706
100.	w9_d475e8709
Köpfen	w11_d475e8712
bestehen	w13_d475e8716
der	w1_d475e8721
Transport	w3_d475e8724
hier	w5_d475e8727
eingetroffen,	w7_d475e8730
welche,	w9_d475e8733
wie	w11_d475e8736
alle	w1_d475e8742
übrige	w3_d475e8745
sogleich	w5_d475e8748
nach	w7_d475e8751
ihrer	w9_d475e8754
Bestimmung	w11_d475e8757
weiler	w1_d475e8762
befördert	w3_d475e8765
worden;	w5_d475e8768
den	w7_d475e8771
6.	w9_d475e8774
dieses	w11_d475e8777
traffen	w1_d475e8782
die	w3_d475e8785
währender	w5_d475e8788
Dresdner=belagerung	w7_d475e8791
dem	w1_d475e8796
Feind	w3_d475e8799
abgenommene	w5_d475e8802
27.	w7_d475e8805
Canonen	w9_d475e8808
von	w11_d475e8811
verschiedenen	w1_d475e8817
Caliber	w3_d475e8820
hier	w5_d475e8823
ein,	w7_d475e8826
welche	w9_d475e8829
ia	w11_d475e8832
die	w1_d475e8837
hiesige	w3_d475e8840
Zeug=häuser	w5_d475e8843
gebracht	w7_d475e8846
worden.	w9_d475e8849
</p>
<head id="h2_d475e8856">
Wien	w1_d475e8860
den	w3_d475e8863
13.	w5_d475e8866
Augusti	w7_d475e8869
1760.	w9_d475e8872
</head>
<p id="p4_d475e8875">
(Jostern	w1_d475e8879
als	w3_d475e8882
den	w5_d475e8885
12.	w7_d475e8888
haben	w9_d475e8891
des	w11_d475e8894
Herrn	w13_d475e8898
wer	w1_d475e8903
scheilens	w3_d475e8906
Käustens	w5_d475e8909
Joserch	w7_d475e8912
Wenzl	w1_d475e8917
von	w3_d475e8920
Liechtenstein	w5_d475e8923
Fürstl.	w7_d475e8926
Gnaden,	w9_d475e8929
Dero	w1_d475e8935
Reise	w3_d475e8938
von	w5_d475e8941
hier	w7_d475e8944
nacher	w9_d475e8947
Parma	w11_d475e8950
ange	w13_d475e8954
tretten,	w1_d475e8959
und	w3_d475e8962
es	w5_d475e8965
ist	w7_d475e8968
in	w9_d475e8971
Dero	w11_d475e8974
Abweesenheit	w13_d475e8978
das	w1_d475e8983
Jnterims=general=commando	w3_d475e8986
des	w5_d475e8989
ge	w7_d475e8992
samten	w1_d475e8997
Feld	w3_d475e9000
und	w5_d475e9003
Haus=artillerie=weesens	w7_d475e9006
dem	w1_d475e9012
Herrn	w3_d475e9015
General=feld=zeugmeister	w5_d475e9018
Gra	w7_d475e9021
Lemn	w1_d475e9026
Anden	w3_d475e9029
Gollaneten	w5_d475e9032
Egeell.	w7_d475e9035
aller	w9_d475e9038
geädage	w11_d475e9041
aufgetragen	w1_d475e9046
worden.	w3_d475e9049
</p>
<p id="p6_d475e9052">
Ubrigens	w1_d475e9056
hat	w3_d475e9059
man	w5_d475e9062
die	w7_d475e9065
zuverläßige	w9_d475e9068
Nach	w11_d475e9071
richt	w1_d475e9076
erhalten,	w3_d475e9079
daß	w5_d475e9082
die	w7_d475e9085
Rußisch=Kaiserl.	w9_d475e9088
Armee	w1_d475e9093
unter	w3_d475e9096
Commando	w5_d475e9099
des	w7_d475e9102
Herrn	w9_d475e9105
Feld	w11_d475e9108
marschallens	w1_d475e9114
Grafens	w3_d475e9117
von	w5_d475e9120
Soltikof,	w7_d475e9123
in	w9_d475e9126
Schlesten	w1_d475e9131
weeklichen	w3_d475e9134
Angeracet,	w5_d475e9137
und	w7_d475e9140
2e.	w9_d475e9143
Hundsfeld	w1_d475e9148
Breßlau	w3_d475e9151
gegen	w5_d475e9154
über	w7_d475e9157
gelageret;	w9_d475e9160
auch	w1_d475e9165
ein	w3_d475e9168
Corps	w5_d475e9171
unter	w7_d475e9174
Commando	w9_d475e9177
des	w11_d475e9180
Hrn.	w13_d475e9184
Senertallens	w1_d475e9190
Gerefenst	w3_d475e9193
Ehernheldden	w5_d475e9196
Satda.	w7_d475e9199
und	w1_d475e9204
Derr	w3_d475e9207
Geera	w5_d475e9210
von	w7_d475e9213
Toslehen	w9_d475e9216
mnt	w11_d475e9219
Mris	w13_d475e9223
seos	w1_d475e9228
</p>
<p id="p10_d475e9238">
leichten	w1_d475e9242
Trupen	w3_d475e9245
bey	w5_d475e9248
Leubus	w7_d475e9251
eingetroffen	w9_d475e9254
seye;	w1_d475e9259
daß	w3_d475e9262
also	w5_d475e9265
von	w7_d475e9268
ihren	w9_d475e9271
Operationen	w11_d475e9274
bald	w13_d475e9278
ein	w1_d475e9283
mehrers	w3_d475e9286
zu	w5_d475e9289
vernehmen	w7_d475e9292
seyn	w9_d475e9295
dörfte.	w11_d475e9298
</p>
<head id="h2_d475e9304">
Lista	w1_d475e9308
deren	w3_d475e9311
Verstorbenen	w5_d475e9314
zu	w7_d475e9317
Wien	w9_d475e9320
in	w1_d475e9325
und	w3_d475e9328
vor	w5_d475e9331
der	w7_d475e9334
Stadt.	w9_d475e9337
Den	w1_d475e9342
9.	w3_d475e9345
Augusti.	w5_d475e9348
Jn	w1_d475e9354
der	w3_d475e9357
Stadt.	w5_d475e9360
</head>
<list id="l4_d475e9363">
Dem	w1_d475e9367
(Tit.)	w3_d475e9370
Hrn.	w5_d475e9373
Joh.	w7_d475e9376
Christoph	w9_d475e9379
Pißing,	w11_d475e9382
Kaiserl.	w13_d475e9386
Reichs=hof=Rahts=agent.,	w1_d475e9391
s.	w3_d475e9394
S.	w5_d475e9397
Jos.	w7_d475e9400
Ant.,	w9_d475e9403
im	w11_d475e9406
Neustätter=hof,	w1_d475e9411
alt	w3_d475e9414
6.	w5_d475e9417
v.	w7_d475e9420
J.	w9_d475e9423
Jgnatz	w1_d475e9429
Esel,	w3_d475e9432
Jnstruct.,	w5_d475e9435
beym	w7_d475e9438
Küß=den	w9_d475e9441
Pfen.	w11_d475e9444
am	w13_d475e9448
rot.	w1_d475e9453
Thurn,	w3_d475e9456
alt.	w5_d475e9459
28.	w7_d475e9462
J.	w9_d475e9465
</list>
<head id="h2_d475e9472">
Vor	w1_d475e9476
der	w3_d475e9479
Stadt.	w5_d475e9482
</head>
<list id="l4_d475e9485">
Dem	w1_d475e9489
Hrn.	w3_d475e9492
Ant.	w5_d475e9495
Stelling,	w7_d475e9498
gew.	w9_d475e9501
Feld=provis.,	w11_d475e9504
s.	w13_d475e9508
Fr.	w15_d475e9511
Maria	w1_d475e9516
Ursula,	w3_d475e9519
beym	w5_d475e9522
gold.	w7_d475e9525
Karpf.	w9_d475e9528
in	w11_d475e9531
der	w13_d475e9535
Unger	w15_d475e9538
gas.	w1_d475e9543
alt	w3_d475e9546
47.	w5_d475e9549
J.	w7_d475e9552
Dem	w1_d475e9558
Hrn.	w3_d475e9561
Jos.	w5_d475e9564
Schwarzenegger,	w7_d475e9567
K.	w9_d475e9570
K.	w11_d475e9573
Hungarisch.	w13_d475e9577
30	w1_d475e9582
waaren=revisor.,	w3_d475e9585
s.	w5_d475e9588
K.	w7_d475e9591
Joh.	w9_d475e9594
im	w11_d475e9597
Stärkmacheris.	w13_d475e9601
H.	w1_d475e9606
in	w3_d475e9609
der	w5_d475e9612
Leopoldst.	w7_d475e9615
alt	w9_d475e9618
5.	w11_d475e9621
v.	w13_d475e9625
J.	w15_d475e9628
Magdal.	w1_d475e9633
Schwarzin,	w3_d475e9636
Vittwe,	w5_d475e9639
in	w7_d475e9642
der	w9_d475e9645
Schleif=mühl	w11_d475e9648
an	w1_d475e9654
der	w3_d475e9657
Wien,	w5_d475e9660
alt	w7_d475e9663
61.	w9_d475e9666
J.	w11_d475e9669
Jacob	w1_d475e9674
Schueg,	w3_d475e9677
Tag=löhn.,	w5_d475e9680
beym	w7_d475e9683
Rit.	w9_d475e9686
St.	w11_d475e9689
Georg	w13_d475e9693
oberm	w1_d475e9698
Neustift,	w3_d475e9701
alt	w5_d475e9704
74.	w7_d475e9707
J.	w9_d475e9710
</list>
<head id="h2_d475e9717">
Summa	w1_d475e9721
6.	w3_d475e9724
Person.,	w5_d475e9727
darunter	w7_d475e9730
2.	w9_d475e9733
Kind.	w11_d475e9736
Den	w1_d475e9741
10.	w3_d475e9744
Aug	w5_d475e9747
Jn	w7_d475e9750
der	w9_d475e9753
Stadt.	w11_d475e9756
</head>
<list id="l4_d475e9759">
Dem	w1_d475e9763
Hrn.	w3_d475e9766
Jos.	w5_d475e9769
Laudes,	w7_d475e9772
N.	w9_d475e9775
Oe.	w11_d475e9778
Reg.	w13_d475e9782
Secret.,	w15_d475e9785
s.	w17_d475e9788
T.	w19_d475e9791
Anna,	w1_d475e9796
beym	w3_d475e9799
gold.	w5_d475e9802
Bärn	w7_d475e9805
am	w9_d475e9808
alt.	w11_d475e9811
Fleisch=m.,	w13_d475e9815
all	w1_d475e9820
13.	w3_d475e9823
J.	w5_d475e9826
Dem	w1_d475e9832
Joh.	w3_d475e9835
Wahl,	w5_d475e9838
Lack,	w7_d475e9841
s.	w9_d475e9844
W.	w11_d475e9847
Magdal.,	w13_d475e9851
beym	w15_d475e9854
schw.	w17_d475e9857
Stief.	w1_d475e9862
im	w3_d475e9865
Salvator=gäs.,	w5_d475e9868
alt	w7_d475e9871
45.	w9_d475e9874
J.	w11_d475e9877
Dem	w1_d475e9882
Franz	w3_d475e9885
Damayr,	w5_d475e9888
Lack,	w7_d475e9891
s.	w9_d475e9894
K.	w11_d475e9897
Theres.,	w13_d475e9901
im	w15_d475e9904
Sar	w17_d475e9907
woris.	w1_d475e9912
H.	w3_d475e9915
in	w5_d475e9918
der	w7_d475e9921
Weihburg=gas.,	w9_d475e9924
alt	w11_d475e9927
10.	w13_d475e9931
J.	w15_d475e9934
</list>
<head id="h2_d475e9941">
Vor	w1_d475e9945
der	w3_d475e9948
Stadt.	w5_d475e9951
</head>
<list id="l4_d475e9954">
Magdal.	w1_d475e9958
Schwinglin,	w3_d475e9961
Wittwe,	w5_d475e9964
beym	w7_d475e9967
gold.	w9_d475e9970
Adl.	w11_d475e9973
am	w13_d475e9977
Nenstift,	w1_d475e9982
alt	w3_d475e9985
92.	w5_d475e9988
J.	w7_d475e9991
Jos.	w1_d475e9996
Basser,	w3_d475e9999
Holzscheib.,	w5_d475e10002
beym	w7_d475e10005
See	w9_d475e10008
in	w11_d475e10011
der	w13_d475e10015
Ros.,	w15_d475e10018
alt	w1_d475e10024
52	w3_d475e10027
Der	w1_d475e10032
Anna	w3_d475e10035
Althoferin,	w5_d475e10038
Wittwe,	w7_d475e10041
ihr	w9_d475e10044
S.	w11_d475e10047
Andre,	w13_d475e10051
beym	w15_d475e10054
schwarz.	w1_d475e10059
Adl.	w3_d475e10062
in	w5_d475e10065
der	w7_d475e10068
Alster=gas.,	w9_d475e10071
alt	w11_d475e10074
12.	w13_d475e10078
J.	w15_d475e10081
</list>
<head id="h2_d475e10088">
Summa	w1_d475e10092
6.	w3_d475e10095
Person.,	w5_d475e10098
darunter	w7_d475e10101
1.	w9_d475e10104
Kind.	w11_d475e10107
Den	w1_d475e10112
11.	w3_d475e10115
Aug.	w5_d475e10118
Jn	w1_d475e10123
der	w3_d475e10126
Stadt.	w5_d475e10129
</head>
<list id="l4_d475e10132">
Dem	w1_d475e10136
Woledlen	w3_d475e10139
Hrn.	w5_d475e10142
Pet.	w7_d475e10145
Poncratz,	w9_d475e10148
Kön.	w11_d475e10151
Hungar.	w13_d475e10155
Hof=canzl.	w1_d475e10160
Cancel,	w3_d475e10163
s.	w5_d475e10166
Fr.	w7_d475e10169
Eleon.	w9_d475e10172
im	w11_d475e10175
Hartmanis.	w13_d475e10179
H.	w1_d475e10184
in	w3_d475e10187
der	w5_d475e10190
untern	w7_d475e10193
Bäckerstr.,	w9_d475e10196
alt	w11_d475e10199
36.	w13_d475e10203
J.	w15_d475e10206
Gusan.	w1_d475e10212
Egelmayrin,	w3_d475e10215
led.,	w5_d475e10218
im	w7_d475e10221
alt.	w9_d475e10224
Wenighoferisch.	w11_d475e10227
H.	w1_d475e10232
am	w3_d475e10235
Juden=platz,	w5_d475e10238
alt	w7_d475e10241
68.	w9_d475e10244
J.	w11_d475e10247
</list>
<head id="h2_d475e10255">
Vor	w1_d475e10259
der	w3_d475e10262
Stadt.	w5_d475e10265
</head>
<list id="l4_d475e10268">
Dan	w1_d475e10272
Hoch	w3_d475e10275
und	w5_d475e10278
Wol=geb.	w7_d475e10281
Hrn.	w9_d475e10284
Gottl.	w11_d475e10287
des	w13_d475e10291
H.	w15_d475e10294
R.	w17_d475e10297
R.	w19_d475e10300
Graf.	w1_d475e10305
v.	w3_d475e10308
Windischgrätz,	w5_d475e10311
Jhrer	w7_d475e10314
Kon.	w9_d475e10317
Hoheit	w11_d475e10320
Erz	w13_d475e10324
</list>
<list id="l6_d475e10328">
ehringens	w1_d475e10332
