<doc id="edoc_wd_1777-08-02" attrs="word" year="1777" month="08" day="02" corpus="1">
<head id="hl1">
Konstantinopel	w47
.
K	w4856
<g/>
.
Andre	w4858
<g/>
,
Nr	w4860
<g/>
.
195	w4862
<g/>
.
auf	w4864
d	w4865
<g/>
.
Landstr	w4867
<g/>
.
alt	w4869
2	w4870
<g/>
.
J	w4872
<g/>
.
Andre	w4874
Zankel	w4875
<g/>
,
Tagl	w4877
<g/>
.
Nr	w4879
<g/>
.
10	w4881
<g/>
,
am	w4883
Hungelbrunn	w4884
<g/>
,
alt	w4886
59	w4887
<g/>
.
J	w4889
<g/>
.
Elisab	w4891
<g/>
.
Hinterstosserin	w4893
<g/>
,
alt	w4895
75	w4896
<g/>
.
J	w4898
<g/>
.
Barb	w4900
<g/>
.
Baumgartnerin	w4902
<g/>
,
alt	w4904
90	w4905
<g/>
.
J	w4907
<g/>
.
beed	w4909
<g/>
.
Wit	w4911
<g/>
.
in	w4913
d	w4914
<g/>
.
Versorg	w4916
<g/>
.
M	w4918
<g/>
.
An	w4920
<g/>
.
Gollin	w4922
<g/>
,
Schust	w4924
<g/>
.
W	w4926
<g/>
.
alt	w4928
40	w4929
<g/>
.
J	w4931
<g/>
.
alle	w4933
3	w4934
<g/>
.
im	w4936
Contum	w4937
<g/>
.
Caspar	w4939
Amaxel	w4940
<g/>
.
Bäckenj	w4942
<g/>
.
alt	w4944
58	w4945
<g/>
.
J	w4947
<g/>
.
Adam	w4949
Geyer	w4950
<g/>
,
Bauer	w4952
<g/>
,
alt	w4954
59	w4955
<g/>
.
J	w4957
<g/>
.
Joh	w4959
<g/>
.
Winkler	w4961
<g/>
,
reis	w4963
<g/>
.
Fuhrm	w4965
<g/>
.
<g/>
,
alt	w4968
45	w4969
<g/>
.
J	w4971
<g/>
.
alle	w4973
3	w4974
<g/>
.
im	w4976
Bäckenhäus	w4977
<g/>
.
Summa	w4979
14	w4980
<g/>
.
Personen	w4982
<g/>
,
darunter	w4984
3	w4985
<g/>
.
Kind	w4987
<g/>
.
</list>
<head id="hl12">
Den	w4989
29	w4990
<g/>
.
Heum	w4992
<g/>
.
Jn	w4994
der	w4995
Stadt	w4996
<g/>
.
</head>
<list id="">
Niemand	w4998
<g/>
.
</list>
<head id="hl13">
Vor	w5000
der	w5001
Stadt	w5002
<g/>
.
</head>
<list id="">
Dem	w5004
Franz	w5005
Baumann	w5006
<g/>
,
Bedient	w5008
<g/>
.
s	w5010
<g/>
.
W	w5012
<g/>
.
Josepha	w5014
<g/>
,
Nr	w5016
<g/>
.
272	w5018
<g/>
.
auf	w5020
d	w5021
<g/>
.
Landstr	w5023
<g/>
.
alt	w5025
33	w5026
<g/>
.
J	w5028
<g/>
.
Dem	w5030
Joh	w5031
<g/>
.
M	w5033
<g/>
.
Schaupp	w5035
<g/>
,
schutzverw	w5037
<g/>
.
Lichtputzen=mach	w5039
<g/>
=
<g/>
.
s	w5042
<g/>
.
K	w5044
<g/>
.
Josepha	w5046
<g/>
,
Nr	w5048
<g/>
.
32	w5050
<g/>
.
zu	w5052
Mariah	w5053
<g/>
.
alt	w5055
1	w5056
J	w5057
<g/>
.
Joh	w5059
<g/>
.
Georg	w5061
Gratz	w5062
<g/>
,
gew	w5064
<g/>
.
Hausinnhab	w5066
<g/>
.
Nr	w5068
<g/>
.
158	w5070
<g/>
.
im	w5072
alt	w5073
<g/>
.
Lerchenf	w5075
<g/>
.
alt	w5077
78	w5078
<g/>
.
J	w5080
<g/>
.
Franz	w5082
Hergotsberger	w5083
<g/>
,
Gmr	w5085
<g/>
,
alt	w5087
32	w5088
<g/>
.
J	w5090
<g/>
.
im	w5092
Mi=litarinvalidenh	w5093
<g/>
=
<g/>
.
Cath	w5096
<g/>
.
Riedlin	w5098
<g/>
,
verh	w5100
<g/>
.
alt	w5102
58	w5103
<g/>
.
J	w5105
<g/>
.
im	w5107
gr	w5108
<g/>
.
Armenh	w5110
<g/>
.
Gertraud	w5112
Bierireichin	w5113
<g/>
,
Wetzsteinhändl	w5115
<g/>
.
K	w5117
<g/>
.
alt	w5119
8	w5120
<g/>
.
J	w5122
<g/>
.
im	w5124
Contum	w5125
<g/>
.
Caspar	w5127
Greiner	w5128
<g/>
,
Schlossergs	w5130
<g/>
.
vom	w5132
Armenleutkott	w5133
<g/>
.
alt	w5135
24	w5136
<g/>
.
J	w5138
<g/>
.
im	w5140
Bäckenh	w5141
<g/>
.
Summa	w5143
7	w5144
<g/>
.
Personen	w5146
<g/>
,
darunter	w5148
2	w5149
<g/>
.
Kind	w5151
<g/>
.
</list>
<head id="hl14">
Londen	w5170
den	w5171
18	w5172
<g/>
.
Heum	w5174
<g/>
.
</head>
<p id="p65">
Je	w5176
mehr	w5177
der	w5178
unglückliche	w5179
Krieg	w5180
mit	w5181
unsern	w5182
Kolonien	w5183
sich	w5184
in	w5185
die	w5186
Länge	w5187
zieht	w5188
<g/>
,
je	w5190
bedenklicher	w5191
und	w5192
unsicherer	w5193
scheinen	w5194
die	w5195
Aussichten	w5196
für	w5197
die	w5198
Dauer	w5199
des	w5200
Frie=dens	w5201
<g/>
=
zwischen	w5203
Großbrittannien	w5204
und	w5205
Frank=reich	w5206
<g/>
=
zu	w5208
werden	w5209
<g/>
.
Noch	w5211
vorgestern	w5212
hatte	w5213
der	w5214
kön	w5215
<g/>
.
französische	w5217
Bothschafter	w5218
<g/>
,
Mar=quis	w5220
<g/>
=
von	w5222
Noailles	w5223
<g/>
,
eine	w5225
Privataudienz	w5226
bey	w5227
dem	w5228
Könige	w5229
<g/>
,
und	w5231
der	w5232
Anlaß	w5233
darzu	w5234
sollen	w5235
die	w5236
jüngsten	w5237
Berichte	w5238
von	w5239
unserm	w5240
Bothschafter	w5241
zu	w5242
Paris	w5243
gewesen	w5244
seyn	w5245
<g/>
.
Bey=de	w5247
<g/>
=
Mächte	w5249
bezeugen	w5250
sich	w5251
einander	w5252
zwar	w5253
immer	w5254
freundschaftliche	w5255
Gesinnungen	w5256
<g/>
;
al=lein	w5258
<g/>
=
<g/>
,
England	w5261
kann	w5262
es	w5263
nicht	w5264
mit	w5265
gleich=gültigen	w5266
<g/>
=
Augen	w5268
ansehen	w5269
<g/>
,
daß	w5271
die	w5272
Ame=rikaner	w5273
<g/>
=
solchen	w5275
Schutz	w5276
und	w5277
Beystand	w5278
in	w5279
Frankreich	w5280
finden	w5281
<g/>
,
und	w5283
eine	w5284
so	w5285
vortheil=hafte	w5286
<g/>
=
Handlung	w5288
in	w5289
den	w5290
dasigen	w5291
Häfen	w5292
treiben	w5293
<g/>
.
Es	w5295
wird	w5296
demnach	w5297
versichert	w5298
<g/>
,
Lord	w5300
Stormond	w5301
habe	w5302
den	w5303
Auftrag	w5304
<g/>
,
an	w5306
dem	w5307
Versallischen	w5308
Hofe	w5309
unter	w5310
anderen	w5311
Dingen	w5312
die	w5313
unmittelbare	w5314
Abkündigung	w5315
eines	w5316
Ediktes	w5317
anzusinnen	w5318
<g/>
,
mittels	w5320
dessen	w5321
alle	w5322
Handlung	w5323
und	w5324
Verbindlichkeit	w5325
zwi=schen	w5326
<g/>
=
den	w5328
französischen	w5329
Unterthanen	w5330
und	w5331
den	w5332
Amerikanern	w5333
untersaget	w5334
<g/>
,
und	w5336
letzte=ren	w5337
<g/>
=
die	w5339
Aufnahme	w5340
in	w5341
den	w5342
Häfen	w5343
Frank=reichs	w5344
<g/>
=
vermehret	w5346
werde	w5347
<g/>
,
wo	w5349
nicht	w5350
<g/>
,
so	w5352
soll	w5353
er	w5354
<g/>
,
wie	w5356
man	w5357
hinzusetzt	w5358
<g/>
,
ohne	w5360
sich	w5361
zu	w5362
beurlauben	w5363
<g/>
,
Paris	w5365
verlassen	w5366
<g/>
.
Die	w5368
nach=drückliche	w5369
<g/>
=
Entschliessung	w5371
<g/>
,
zu	w5373
welcher	w5374
sich	w5375
das	w5376
Ministerium	w5377
endlich	w5378
angeschickt	w5379
hat	w5380
<g/>
,
wird	w5382
dem	w5383
Andringen	w5384
des	w5385
Vicomte	w5386
von	w5387
Weymouth	w5388
und	w5389
des	w5390
Lords	w5391
Germaine	w5392
zu=geschrieben	w5393
<g/>
=
<g/>
.
Vermuthlich	w5396
ist	w5397
die	w5398
Natio=naleifersucht	w5399
<g/>
=
durch	w5401
die	w5402
überaus	w5403
einträg=liche	w5404
<g/>
=
Handlung	w5406
<g/>
,
welche	w5408
einige	w5409
französi=sche	w5410
<g/>
=
Unterthanen	w5412
mit	w5413
den	w5414
Amerikanern	w5415
treiben	w5416
<g/>
,
um	w5418
so	w5419
reger	w5420
gemacht	w5421
worden	w5422
<g/>
,
weil	w5424
Großbrittannien	w5425
sich	w5426
die	w5427
unermeßli=chen	w5428
<g/>
=
Vortheile	w5430
<g/>
,
die	w5432
ihm	w5433
sonst	w5434
aus	w5435
sei=nen	w5436
<g/>
=
Kolonien	w5438
zugestossen	w5439
<g/>
,
je	w5441
mehr	w5442
und	w5443
mehr	w5444
entrissen	w5445
siehet	w5446
<g/>
.
Angesehene	w5448
Han Handelsleute	w5449
<g/>
=
</p>
<p id="p66">
delsleute	w5451
haben	w5452
dem	w5453
Lord	w5454
North	w5455
zwey	w5456
Verzeichnisse	w5457
übergeben	w5458
<g/>
,
und	w5460
zwar	w5461
eines	w5462
von	w5463
den	w5464
seit	w5465
dem	w5466
Anfange	w5467
des	w5468
Krieges	w5469
durch	w5470
die	w5471
Amerikaner	w5472
aufgebrachten	w5473
Schif=fen	w5474
<g/>
=
und	w5476
derselben	w5477
Werthe	w5478
<g/>
,
der	w5480
auf	w5481
3	w5482
Millionen	w5483
600	w5484
Pf	w5485
<g/>
.
Sterl	w5487
<g/>
.
angeschlagen	w5489
wird	w5490
<g/>
;
das	w5492
andere	w5493
aber	w5494
von	w5495
dem	w5496
Ge=winnste	w5497
<g/>
=
<g/>
,
den	w5500
Frankreich	w5501
<g/>
,
nach	w5503
ihrer	w5504
Be=rechnung	w5505
<g/>
=
<g/>
,
durch	w5508
seine	w5509
Verbindlichkeiten	w5510
mit	w5511
unsern	w5512
Kolonien	w5513
gethan	w5514
hat	w5515
<g/>
.
Die	w5517
Ausfuhr	w5518
bloß	w5519
aus	w5520
England	w5521
<g/>
,
ohne	w5523
jene	w5524
aus	w5525
Schott	w5526
<g/>
=
und	w5528
Jrland	w5529
<g/>
,
in	w5531
den	w5532
drey=en	w5533
<g/>
=
letzteren	w5535
Jahren	w5536
vor	w5537
dem	w5538
Bruche	w5539
be=trägt	w5540
<g/>
=
5	w5542
Millionen	w5543
323	w5544
tausend	w5545
24	w5546
Pf	w5547
<g/>
.
Sterl	w5549
<g/>
.
und	w5551
die	w5552
Einfuhr	w5553
aus	w5554
den	w5555
Kolo=nien	w5556
<g/>
=
nach	w5558
England	w5559
allein	w5560
während	w5561
der=selben	w5562
<g/>
=
Zeit	w5564
3	w5565
Millionen	w5566
29	w5567
tausend	w5568
127	w5569
pf	w5570
<g/>
.
Sterl	w5572
<g/>
.
Ein	w5574
sehr	w5575
fühlbarer	w5576
Verlust	w5577
für	w5578
die	w5579
Engländer	w5580
<g/>
,
dessen	w5582
sie	w5583
sich	w5584
ja	w5585
nicht	w5586
versehen	w5587
haben	w5588
<g/>
.
</p>
<p id="p67">
Die	w5590
jüngsten	w5591
Berichte	w5592
des	w5593
Generals	w5594
Howe	w5595
waren	w5596
zwar	w5597
vom	w5598
3	w5599
<g/>
.
Brachm	w5601
<g/>
.
das	w5603
Paketboot	w5604
aber	w5605
<g/>
,
so	w5607
dieselbe	w5608
mitgebracht	w5609
hat	w5610
<g/>
,
ist	w5612
erst	w5613
unterm	w5614
16	w5615
<g/>
.
Brachm	w5617
<g/>
.
von	w5619
Newyork	w5620
abgesegelt	w5621
<g/>
.
Mit	w5623
dieser	w5624
Gele=genheit	w5625
<g/>
=
hat	w5627
man	w5628
erfahren	w5629
<g/>
,
daß	w5631
wirklich	w5632
am	w5633
10	w5634
<g/>
.
5000	w5636
Mann	w5637
unter	w5638
den	w5639
Befehlen	w5640
des	w5641
Ritters	w5642
Erskini	w5643
zu	w5644
Schiffe	w5645
gegan=gen	w5646
<g/>
=
sind	w5648
<g/>
;
am	w5650
17	w5651
<g/>
.
die	w5653
zweyte	w5654
Einschif=ung	w5655
<g/>
=
vor	w5657
sich	w5658
gehen	w5659
<g/>
,
und	w5661
der	w5662
Rest	w5663
der	w5664
Armee	w5665
in	w5666
Divisionen	w5667
folgen	w5668
sollte	w5669
<g/>
.
Von	w5671
der	w5672
Absicht	w5673
des	w5674
Generals	w5675
wird	w5676
sehr	w5677
ver=schiedentlich	w5678
<g/>
=
gesprochen	w5680
<g/>
.
Einige	w5682
Nach=richten	w5683
<g/>
=
lassen	w5685
einfliessen	w5686
<g/>
,
der	w5688
Ritter	w5689
Ers=kine	w5690
<g/>
=
sey	w5692
mit	w5693
seinem	w5694
Korps	w5695
nach	w5696
der	w5697
Bucht	w5698
von	w5699
Chesapeak	w5700
beordert	w5701
<g/>
,
und	w5703
die	w5704
übri=gen	w5705
<g/>
=
Divisionen	w5707
sollen	w5708
zu	w5709
Wasser	w5710
nach	w5711
der	w5712
Provinz	w5713
Jersey	w5714
ziehen	w5715
<g/>
,
um	w5717
zu	w5718
den	w5719
Lord	w5720
Cornwallis	w5721
zu	w5722
stossen	w5723
<g/>
,
und	w5725
von	w5726
da	w5727
ge=samter	w5728
<g/>
=
Hand	w5730
Philadelphia	w5731
anzugreifen	w5732
<g/>
.
Aus	w5734
diesem	w5735
Umstande	w5736
läßt	w5737
sich	w5738
vermu=then	w5739
<g/>
=
<g/>
,
was	w5742
die	w5743
Anhänger	w5744
der	w5745
Kolonien	w5746
mehrmal	w5747
gesagt	w5748
haben	w5749
<g/>
,
daß	w5751
die	w5752
Commu=nikation	w5753
<g/>
=
zwischen	w5755
Newyork	w5756
und	w5757
beyden	w5758
</p>
<p id="p68">
Jersey	w5759
von	w5760
den	w5761
Amerikanern	w5762
zu	w5763
Lande	w5764
abgeschnitten	w5765
sey	w5766
<g/>
.
Nach	w5768
einer	w5769
andern	w5770
Sage	w5771
<g/>
,
die	w5773
man	w5774
dermalen	w5775
herumträgt	w5776
<g/>
,
und	w5778
welche	w5779
vielleicht	w5780
die	w5781
nämliche	w5782
ist	w5783
<g/>
,
die	w5785
man	w5786
von	w5787
einem	w5788
Treffen	w5789
zwischen	w5790
einem	w5791
Korps	w5792
Amerikaner	w5793
und	w5794
jenem	w5795
unter	w5796
den	w5797
Befehlen	w5798
des	w5799
Grafen	w5800
Cornwallis	w5801
be=kanntlich	w5802
<g/>
=
ausgebreitet	w5804
hat	w5805
<g/>
,
soll	w5807
gestern	w5808
Morgens	w5809
in	w5810
dem	w5811
Amte	w5812
des	w5813
Lords	w5814
Ger=maine	w5815
<g/>
=
die	w5817
Nachricht	w5818
eingegangen	w5819
seyn	w5820
<g/>
,
daß	w5822
ein	w5823
von	w5824
dem	w5825
Generale	w5826
Washington	w5827
abgefertigtes	w5828
Korps	w5829
die	w5830
Division	w5831
des	w5832
Lords	w5833
Cornwallis	w5834
überraschet	w5835
<g/>
,
und	w5837
letz=terer	w5838
<g/>
=
mit	w5840
grosser	w5841
Mühe	w5842
der	w5843
Gefahr	w5844
der	w5845
Gefangenschaft	w5846
entronnen	w5847
sey	w5848
<g/>
,
indem	w5850
ihm	w5851
das	w5852
Pferd	w5853
unter	w5854
dem	w5855
Leibe	w5856
erschos=sen	w5857
<g/>
=
worden	w5859
<g/>
,
während	w5861
daß	w5862
er	w5863
seine	w5864
Trup=pen	w5865
<g/>
=
<g/>
,
die	w5868
merklich	w5869
gelitten	w5870
hätten	w5871
<g/>
,
wie=der	w5873
<g/>
=
in	w5875
Ordnung	w5876
bringen	w5877
wollte	w5878
<g/>
.
Jndes=sen	w5880
<g/>
=
scheint	w5882
diese	w5883
Nachricht	w5884
einer	w5885
näheren	w5886
Bestättigung	w5887
zu	w5888
bedärfen	w5889
<g/>
.
Sicherer	w5891
därf=te	w5892
<g/>
=
folgender	w5894
Auftritt	w5895
seyn	w5896
<g/>
,
den	w5898
die	w5899
Ame=rikanischen	w5900
<g/>
=
Blätter	w5902
lieferen	w5903
<g/>
.
Sie	w5905
mel=den	w5906
<g/>
=
nämlich	w5908
<g/>
:
<g/>
,
<g/>
,
Ein	w5912
Detaschement	w5913
Ame=rikanischer	w5914
<g/>
=
Truppen	w5916
aus	w5917
Connektikut	w5918
<g/>
,
un=ter	w5920
<g/>
=
den	w5922
Befehlen	w5923
des	w5924
Generals	w5925
Parson	w5926
<g/>
,
habe	w5928
am	w5929
23	w5930
<g/>
.
May	w5932
über	w5933
den	w5934
Sund	w5935
bey	w5936
Sagg	w5937
<g/>
=
Harbour	w5939
auf	w5940
Langisland	w5941
ausge=setzt	w5942
<g/>
=
<g/>
,
ein	w5945
daselbst	w5946
von	w5947
dem	w5948
General	w5949
Ho=we	w5950
<g/>
=
angelegtes	w5952
schweres	w5953
Magazin	w5954
von	w5955
Lebensvorrath	w5956
<g/>
,
nebst	w5958
einer	w5959
Anzahl	w5960
klei=ner	w5961
<g/>
=
Fahrzeuge	w5963
<g/>
,
die	w5965
zur	w5966
Communikation	w5967
zwischen	w5968
dem	w5969
Eilande	w5970
und	w5971
der	w5972
Stadt	w5973
Newyork	w5974
dienten	w5975
<g/>
,
verheeret	w5977
<g/>
,
und	w5979
ohne	w5980
den	w5981
mindesten	w5982
Verlust	w5983
ihrer	w5984
Seits	w5985
<g/>
,
90	w5987
Mann	w5988
zu	w5989
Gefangenen	w5990
gemacht	w5991
<g/>
.
</p>
<p id="p69">
Nach	w5993
eben	w5994
besagten	w5995
Blättern	w5996
<g/>
,
hat	w5998
es	w5999
seine	w6000
Richtigkeit	w6001
<g/>
,
daß	w6003
am	w6004
5	w6005
<g/>
.
May	w6007
in	w6008
Carolina	w6009
fünf	w6010
mit	w6011
Gewehr	w6012
<g/>
,
Amunition	w6014
<g/>
,
Monturen	w6016
u	w6017
<g/>
.
s	w6019
<g/>
.
w	w6021
<g/>
.
befrachtete	w6023
Schiffe	w6024
aus	w6025
Frankreich	w6026
angekommen	w6027
sind	w6028
<g/>
.
Das	w6030
eben	w6031
daher	w6032
am	w6033
20	w6034
<g/>
.
April	w6036
zu	w6037
Portsmouth	w6038
<g/>
,
in	w6040
Neuhampshire	w6041
<g/>
,
eingelaufe	w6043
Schiff	w6044
<g/>
,
die	w6046
Amphitrite	w6047
<g/>
,
hat	w6049
60	w6050
metallene	w6051
Kanonen	w6052
mit	w6053
ihren	w6054
Laveten	w6055
und	w6056
sonstiger	w6057
Geräth=schaft	w6058
<g/>
=
<g/>
;
10	w6061
Tonnen	w6062
Pulver	w6063
<g/>
;
10	w6065
tausend	w6066
Flinten	w6067
und	w6068
Bajonneten	w6069
<g/>
,
auch	w6071
Zelten	w6072
<g/>
,
Feldgepäcke	w6074
und	w6075
Monturen	w6076
für	w6077
30	w6078
tau=send	w6079
<g/>
=
Mann	w6081
<g/>
,
und	w6083
eine	w6084
große	w6085
Menge	w6086
De=cken	w6087
<g/>
=
<g/>
,
Leinwand	w6090
und	w6091
Bley	w6092
zu	w6093
Kugeln	w6094
</p>
<p id="p70">
mitgebracht	w6095
<g/>
.
Jn	w6097
einem	w6098
Briefe	w6099
<g/>
,
den	w6101
der	w6102
General	w6103
Washington	w6104
an	w6105
den	w6106
Congreß	w6107
gesandt	w6108
hat	w6109
<g/>
,
meldet	w6111
er	w6112
<g/>
,
daß	w6114
Anfangs	w6115
May	w6116
3000	w6117
Mann	w6118
<g/>
,
welche	w6120
die	w6121
nördli=chen	w6122
<g/>
=
Provinzen	w6124
gestellt	w6125
haben	w6126
<g/>
,
zu	w6128
Ticon=derago	w6129
<g/>
=
angekommen	w6131
seyen	w6132
<g/>
,
und	w6134
12	w6135
tau=send	w6136
<g/>
=
Mann	w6138
<g/>
,
die	w6140
aus	w6141
Massachuset	w6142
dahin	w6143
aufgebrochen	w6144
wären	w6145
<g/>
,
vermuthlich	w6147
bis	w6148
Ende	w6149
May	w6150
daselbst	w6151
eingetroffen	w6152
seyn	w6153
würden	w6154
<g/>
.
Die	w6156
nunmehro	w6157
allda	w6158
versammelte	w6159
Armee	w6160
unter	w6161
den	w6162
Befehlen	w6163
der	w6164
Generale	w6165
Gates	w6166
und	w6167
Arnold	w6168
<g/>
,
welche	w6170
unterschiedliche	w6171
Fran=zösische	w6172
<g/>
=
Officier	w6174
bey	w6175
ihnen	w6176
haben	w6177
<g/>
,
wird	w6179
17	w6180
tausend	w6181
Mann	w6182
geschätzt	w6183
<g/>
.
</p>
<p id="p71">
Die	w6185
Anzahl	w6186
der	w6187
Amerikanischen	w6188
Kaper	w6189
an	w6190
den	w6191
Küsten	w6192
hiesiger	w6193
Königreiche	w6194
wird	w6195
täglich	w6196
stärker	w6197
<g/>
.
Neuerdings	w6199
haben	w6200
sie	w6201
13	w6202
Schiffe	w6203
an	w6204
der	w6205
Küste	w6206
Schottlands	w6207
<g/>
,
5	w6209
gleiche	w6210
in	w6211
Rordisland	w6212
aufgebracht	w6213
<g/>
,
und	w6215
aller	w6216
Orten	w6217
Furcht	w6218
und	w6219
Schrecken	w6220
ver=breitet	w6221
<g/>
=
<g/>
.
Ausser	w6224
den	w6225
wider	w6226
dieselben	w6227
aus=gelauffenen	w6228
<g/>
=
Kriegsschiffen	w6230
<g/>
,
Fregaten	w6232
und	w6233
Schluppen	w6234
<g/>
,
werden	w6236
eilfertigst	w6237
noch	w6238
meh=rere	w6239
<g/>
=
ausgerüstet	w6241
und	w6242
bemannet	w6243
<g/>
,
um	w6245
die=se	w6246
<g/>
=
Kaperschiffe	w6248
zu	w6249
verscheuchen	w6250
<g/>
.
Die	w6252
Handlung	w6253
liegt	w6254
fast	w6255
ganz	w6256
darnieder	w6257
<g/>
.
Zwi=schen	w6259
<g/>
=
Harwich	w6261
und	w6262
Goree	w6263
ist	w6264
<g/>
,
zur	w6266
Si=cherheit	w6267
<g/>
=
der	w6269
Paketboote	w6270
zwischen	w6271
Holland	w6272
und	w6273
England	w6274
<g/>
,
der	w6276
Kriegsschluppe	w6277
Drake	w6278
die	w6279
Kreutzstation	w6280
angewiesen	w6281
<g/>
.
Sechs	w6283
Kauffahrteyschiffe	w6284
sind	w6285
am	w6286
6	w6287
<g/>
.
in	w6289
der	w6290
Bucht	w6291
von	w6292
Dublin	w6293
von	w6294
einem	w6295
Kaper	w6296
von	w6297
36	w6298
Kanonen	w6299
aufgebracht	w6300
worden	w6301
<g/>
.
Zu	w6303
Cromartie	w6304
in	w6305
Sottland	w6306
darf	w6307
kein	w6308
Schif	w6309
mehr	w6310
ein	w6311
<g/>
=
noch	w6313
auslaufen	w6314
<g/>
.
Alle	w6316
diese	w6317
Umstände	w6318
setzen	w6319
uns	w6320
<g/>
,
wegen	w6322
der	w6323
auf	w6324
der	w6325
Rückfahrt	w6326
begriffenen	w6327
Ostindischen	w6328
Schif=fe	w6329
<g/>
=
<g/>
,
in	w6332
grosse	w6333
Besorglichkeit	w6334
<g/>
,
um	w6336
so	w6337
mehr	w6338
<g/>
,
weil	w6340
das	w6341
am	w6342
25	w6343
<g/>
.
May	w6345
von	w6346
Boston	w6347
aus=gelaufene	w6348
<g/>
=
Geschwader	w6350
Amerikanischer	w6351
Ka=per	w6352
<g/>
=
<g/>
,
so	w6355
<g/>
,
wie	w6357
man	w6358
nun	w6359
näher	w6360
vernimmt	w6361
<g/>
,
aus	w6363
2	w6364
Schiffen	w6365
von	w6366
32	w6367
Kanonen	w6368
<g/>
,
2	w6370
von	w6371
30	w6372
<g/>
,
12	w6374
von	w6375
16	w6376
<g/>
,
auch	w6378
verschiede=nen	w6379
<g/>
=
Brigantinen	w6381
<g/>
,
Schlupen	w6383
und	w6384
ande=ren	w6385
<g/>
=
kleinen	w6387
Fahrzeugen	w6388
bestehet	w6389
<g/>
,
auf	w6391
Cap	w6392
Finisterre	w6393
kreuzen	w6394
soll	w6395
<g/>
.
Seit	w6397
3	w6398
Ta=gen	w6399
<g/>
=
sind	w6401
die	w6402
Assecuranzen	w6403
mehr	w6404
als	w6405
10	w6406
pro	w6407
Cent	w6408
gestiegen	w6409
<g/>
.
</p>
<p id="p72">
Jamaika	w6411
den	w6412
11	w6413
<g/>
.
May	w6415
<g/>
.
Eine	w6417
Kriegs=schalupe	w6418
<g/>
=
von	w6420
dem	w6421
hiesigen	w6422
Geschwader	w6423
</p>
<p id="p73">
und	w6424
2	w6425
andere	w6426
ausgerüstete	w6427
Schiffe	w6428
haben	w6429
auf	w6430
der	w6431
Seehöhe	w6432
von	w6433
Cuba	w6434
2	w6435
spanische	w6436
Küstenbewahrer	w6437
<g/>
,
und	w6439
ein	w6440
nach	w6441
Kingston	w6442
auf	w6443
hiesiger	w6444
Jnsel	w6445
gehöriges	w6446
Schiff	w6447
an=getroffen	w6448
<g/>
=
<g/>
,
dessen	w6451
sich	w6452
die	w6453
Spanier	w6454
bemei=stert	w6455
<g/>
=
hatten	w6457
<g/>
.
Die	w6459
brittische	w6460
Schiffe	w6461
dran=gen	w6462
<g/>
=
auf	w6464
die	w6465
Zurückgabe	w6466
<g/>
,
und	w6468
hierauf	w6469
kam	w6470
es	w6471
zu	w6472
einem	w6473
Gefechte	w6474
<g/>
,
wobey	w6476
die	w6477
2	w6478
Spanier	w6479
geschlagen	w6480
<g/>
,
das	w6482
weggenommene	w6483
Schiff	w6484
wieder	w6485
erobert	w6486
<g/>
,
und	w6488
nach	w6489
Port	w6490
<g/>
=
Royal	w6492
gebracht	w6493
worden	w6494
<g/>
.
</p>
<p id="p74">
Dieser	w6496
Auftritt	w6497
hat	w6498
hier	w6499
Lärm	w6500
gemacht	w6501
<g/>
.
Es	w6503
ist	w6504
eine	w6505
spanische	w6506
Fregatte	w6507
als	w6508
Eilbo=te	w6509
<g/>
=
von	w6511
Havana	w6512
gekommen	w6513
<g/>
,
mit	w6515
dem	w6516
An=sinnen	w6517
<g/>
=
von	w6519
dem	w6520
dasigen	w6521
Kommandan=ten	w6522
<g/>
=
<g/>
,
<g/>
“
daß	w6526
<g/>
,
wann	w6528
das	w6529
auf	w6530
frischer	w6531
That	w6532
ertappte	w6533
Schiff	w6534
<g/>
,
da	w6536
es	w6537
Schleichhandel	w6538
trieb	w6539
<g/>
,
nicht	w6541
ausgeliefert	w6542
würde	w6543
<g/>
,
er	w6545
mit	w6546
seiner	w6547
sämtlichen	w6548
Macht	w6549
<g/>
,
die	w6551
aus	w6552
15	w6553
Schiffen	w6554
von	w6555
der	w6556
Linne	w6557
oder	w6558
Fregatten	w6559
bestehen	w6560
soll	w6561
<g/>
,
kommen	w6563
<g/>
,
und	w6565
Portroyal	w6566
in	w6567
einen	w6568
Aschenhaufen	w6569
verwandeln	w6570
wollte	w6571
<g/>
.
<g/>
”
</p>
<head id="hl15">
Nachricht	w6574
<g/>
.
</head>
<p id="p75">
Philip	w6576
Jakob	w6577
Pückelmann	w6578
<g/>
,
des	w6580
innern	w6581
Raths	w6582
<g/>
,
und	w6584
wegen	w6585
seiner	w6586
Kunst	w6587
sehr	w6588
berühmte	w6589
Klein=uhrmacher	w6590
<g/>
=
zu	w6592
Linz	w6593
<g/>
,
macht	w6595
dem	w6596
geneigten	w6597
Pub=likum	w6598
<g/>
=
hoch	w6600
<g/>
=
und	w6602
niedern	w6603
Standes	w6604
zu	w6605
wissen	w6606
<g/>
,
daß	w6608
von	w6609
seiner	w6610
errichteten	w6611
<g/>
,
sowohl	w6613
vortheilhaft	w6614
als	w6615
kostbaren	w6616
Uhrenlotterie	w6617
die	w6618
Zeit	w6619
der	w6620
Zie=hung	w6621
<g/>
=
herannahete	w6623
<g/>
,
und	w6625
zwar	w6626
in	w6627
der	w6628
