<doc id="wr_1762-04-21" attrs="word" year="1762" month="04" day="21" corpus="2">
<head id="h2_d649e3413">
Madrit	w1_d649e3417
und	w5_d649e7040
in	w7_d649e7043
die	w9_d649e7046
Bastille	w11_d649e7049
ge	w13_d649e7053
bracht	w1_d649e7058
worden,	w3_d649e7061
da	w5_d649e7064
die	w7_d649e7067
Aussagen	w9_d649e7070
verschie	w11_d649e7073
dener	w1_d649e7078
wegen,	w3_d649e7081
ihrer	w5_d649e7084
in	w7_d649e7087
Verwaltung	w9_d649e7090
dieses	w11_d649e7093
Lan	w13_d649e7097
des	w1_d649e7103
begangenen	w3_d649e7106
Veruntreuungen	w5_d649e7109
arrestirten	w7_d649e7112
vornehmen	w1_d649e7117
Staats=gefangenen	w3_d649e7120
auch	w5_d649e7123
ein	w7_d649e7126
und	w9_d649e7129
andere	w1_d649e7134
Beschuldigungen	w3_d649e7137
gegen	w5_d649e7140
diesen	w7_d649e7143
Herrn	w9_d649e7146
in	w1_d649e7151
sich	w3_d649e7154
fassen.	w5_d649e7157
Man	w7_d649e7160
hat	w9_d649e7163
auch	w11_d649e7166
hier	w13_d649e7170
die	w15_d649e7173
Nachricht	w1_d649e7179
von	w3_d649e7182
Eroberung	w5_d649e7185
ders	w7_d649e7188
Fort	w9_d649e7191
Royal,	w11_d649e7194
und	w1_d649e7199
eines	w3_d649e7202
Theils	w5_d649e7205
der	w7_d649e7208
Jnsul	w9_d649e7211
Martinique	w11_d649e7214
er	w13_d649e7218
halten.	w1_d649e7223
Es	w3_d649e7226
scheinet,	w5_d649e7229
daß	w7_d649e7232
man	w9_d649e7235
sich	w11_d649e7238
auf	w13_d649e7242
den	w15_d649e7245
Beystand	w1_d649e7250
der	w3_d649e7253
Einwohner	w5_d649e7256
der	w7_d649e7259
Jnsul	w9_d649e7262
mehr	w11_d649e7265
Staat	w1_d649e7271
gemacht,	w3_d649e7274
als	w5_d649e7277
man	w7_d649e7280
sich	w9_d649e7283
von	w11_d649e7286
ihnen	w13_d649e7290
hätte	w1_d649e7295
vermuten	w3_d649e7298
sollen.	w5_d649e7301
Allem	w7_d649e7304
Ansehen	w9_d649e7307
nach	w11_d649e7310
dürfte	w1_d649e7315
diese	w3_d649e7318
Begebenheit	w5_d649e7321
den	w7_d649e7324
Frieden	w9_d649e7327
mehr	w11_d649e7330
erschweren	w1_d649e7335
als	w3_d649e7338
erleichtern.	w5_d649e7341
</p>
<head id="h2_d649e7348">
Brüssel	w1_d649e7352
29.	w3_d649e7355
Martii.	w5_d649e7358
</head>
<p id="p4_d649e7361">
Den	w1_d649e7365
23sten	w3_d649e7368
langten	w5_d649e7371
allhier	w7_d649e7374
2.	w9_d649e7377
Battail	w11_d649e7380
lons	w1_d649e7385
vor	w3_d649e7388
Regimente	w5_d649e7391
Limousin,	w7_d649e7394
den	w9_d649e7397
25.	w11_d649e7400
2.	w13_d649e7404
Battaillons	w1_d649e7409
von	w3_d649e7412
Dauphine,	w5_d649e7415
und	w7_d649e7418
den	w9_d649e7421
27.	w11_d649e7424
2.	w1_d649e7430
Battaillons	w3_d649e7433
von	w5_d649e7436
Puysegur	w7_d649e7439
an.	w9_d649e7442
Diese	w11_d649e7445
Trupen	w1_d649e7450
haben	w3_d649e7453
nur	w5_d649e7456
eine	w7_d649e7459
Nacht=rast	w9_d649e7462
hier	w11_d649e7465
ge	w13_d649e7469
habt,	w1_d649e7474
und	w3_d649e7477
sind	w5_d649e7480
jedesmal	w7_d649e7483
des	w9_d649e7486
folgenden	w11_d649e7489
Morgens	w1_d649e7494
wieder	w3_d649e7497
aufgebrochen,	w5_d649e7500
um	w7_d649e7503
ihren	w9_d649e7506
Marsch	w1_d649e7512
nach	w3_d649e7515
dem	w5_d649e7518
Nieder=rhein	w7_d649e7521
zu	w9_d649e7524
beschleu	w11_d649e7527
nigen.	w1_d649e7532
Heute	w3_d649e7535
kommen	w5_d649e7538
noch	w7_d649e7541
2.	w9_d649e7544
Battail	w11_d649e7547
lons	w1_d649e7552
vom	w3_d649e7555
Regimente	w5_d649e7558
Briqueville,	w7_d649e7561
welche	w9_d649e7564
morgen	w1_d649e7569
dahin	w3_d649e7572
folgen.	w5_d649e7575
</p>
<p id="p6_d649e7578">
Von	w1_d649e7582
Lütlich	w3_d649e7585
wird	w5_d649e7588
gemeldet,	w7_d649e7591
daß	w9_d649e7594
der	w11_d649e7597
Hof	w13_d649e7601
von	w1_d649e7606
Frankreich	w3_d649e7609
an	w5_d649e7612
die	w7_d649e7615
Landstände	w9_d649e7618
dieses	w11_d649e7621
Fürstenthums	w1_d649e7626
die	w3_d649e7629
Requisition	w5_d649e7632
habe	w7_d649e7635
ergehen	w9_d649e7638
lassen,	w1_d649e7644
alles	w3_d649e7647
Benöhtigte	w5_d649e7650
für	w7_d649e7653
den	w9_d649e7656
Durch	w11_d649e7659
marsch	w1_d649e7664
eines	w3_d649e7667
Corps	w5_d649e7670
von	w7_d649e7673
15000.	w9_d649e7676
Mann,	w11_d649e7679
welches	w1_d649e7684
nach	w3_d649e7687
Rüremonde	w5_d649e7690
gehen	w7_d649e7693
würde,	w9_d649e7696
wo	w11_d649e7699
selbst	w1_d649e7704
es	w3_d649e7707
die	w5_d649e7710
näheren	w7_d649e7713
Ordres	w9_d649e7716
zum	w11_d649e7719
Marsche	w13_d649e7723
</p>
<p id="p12_d649e7737">
nach	w1_d649e7741
dem	w3_d649e7744
Nieder=rhein	w5_d649e7747
erhalten	w7_d649e7750
sollte,	w9_d649e7753
in	w11_d649e7756
Bereitschaft	w1_d649e7761
zu	w3_d649e7764
haben.	w5_d649e7767
Die	w7_d649e7770
Französische	w9_d649e7773
Macht	w1_d649e7778
wird	w3_d649e7781
in	w5_d649e7784
diesem	w7_d649e7787
Feld=zuge	w9_d649e7790
weit	w11_d649e7793
stär	w13_d649e7797
ker,	w1_d649e7803
als	w3_d649e7806
im	w5_d649e7809
vorigen	w7_d649e7812
erscheinen.	w9_d649e7815
Der	w11_d649e7818
Hof	w13_d649e7822
zu	w1_d649e7827
Versailles	w3_d649e7830
ist	w5_d649e7833
ernstlich	w7_d649e7836
entschlossen,	w9_d649e7839
die	w11_d649e7842
alliirte	w1_d649e7847
Armee	w3_d649e7850
zu	w5_d649e7853
nöhtigen,	w7_d649e7856
Westphalen	w9_d649e7859
zu	w11_d649e7862
räumen,	w1_d649e7867
damit	w3_d649e7870
man	w5_d649e7873
zu	w7_d649e7876
einer	w9_d649e7879
ungehinderten	w11_d649e7882
Wahl	w1_d649e7888
der	w3_d649e7891
durch	w5_d649e7894
den	w7_d649e7897
Tod	w9_d649e7900
des	w11_d649e7903
Churfürsten	w13_d649e7907
von	w1_d649e7912
Cölln	w3_d649e7915
erledigten	w5_d649e7918
Bisthümer	w7_d649e7921
schreiten	w9_d649e7924
könne.	w1_d649e7929
</p>
<head id="h2_d649e7935">
Unter=Rheinstrom	w1_d649e7939
2.	w3_d649e7942
April.	w5_d649e7945
</head>
<p id="p4_d649e7948">
Die	w1_d649e7952
Briefe	w3_d649e7955
von	w5_d649e7958
Petersburg	w7_d649e7961
lauffen	w9_d649e7964
wie	w11_d649e7967
derum	w1_d649e7972
geradeswegs	w3_d649e7975
durch	w5_d649e7978
die	w7_d649e7981
Preußische	w9_d649e7984
Lande;	w1_d649e7989
mit	w3_d649e7992
den	w5_d649e7995
letztern	w7_d649e7998
hat	w9_d649e8001
man	w11_d649e8004
zu	w13_d649e8008
ver	w15_d649e8011
nehmen	w1_d649e8017
gehabt,	w3_d649e8020
daß	w5_d649e8023
die	w7_d649e8026
Königl.	w9_d649e8029
Preußische	w11_d649e8032
Ministers	w1_d649e8037
von	w3_d649e8040
Golz	w5_d649e8043
und	w7_d649e8046
von	w9_d649e8049
Malzahn,	w11_d649e8052
den	w1_d649e8057
3.	w3_d649e8060
Martii	w5_d649e8063
in	w7_d649e8066
dieser	w9_d649e8069
Kaiserl.	w11_d649e8072
Residenz	w13_d649e8076
stadt	w1_d649e8081
angelanget,	w3_d649e8084
und	w5_d649e8087
den	w7_d649e8090
folgenden	w9_d649e8093
Tag	w11_d649e8096
hro	w1_d649e8102
Kaiserl.	w3_d649e8105
Majestäten	w5_d649e8108
vorgestellet	w7_d649e8111
wor	w9_d649e8114
den.	w1_d649e8119
Der	w3_d649e8122
Rußische	w5_d649e8125
zu	w7_d649e8128
Warschau	w9_d649e8131
sich	w11_d649e8134
auf	w13_d649e8138
haltende	w1_d649e8143
Minister	w3_d649e8146
ist	w5_d649e8149
zuruck	w7_d649e8152
beruffen	w9_d649e8155
wor	w11_d649e8158
den,	w1_d649e8163
und	w3_d649e8166
wird	w5_d649e8169
sich	w7_d649e8172
nach	w9_d649e8175
Riga,	w11_d649e8178
allwo	w13_d649e8182
er	w15_d649e8185
Kaiserl.	w1_d649e8191
Gubernator	w3_d649e8194
ist,	w5_d649e8197
begeben,	w7_d649e8200
indeme	w9_d649e8203
der	w1_d649e8208
Rußische	w3_d649e8211
Hof	w5_d649e8214
künftig	w7_d649e8217
den	w9_d649e8220
Gesandschafts	w11_d649e8223
posten	w1_d649e8228
zu	w3_d649e8231
Warschau	w5_d649e8234
nur	w7_d649e8237
mit	w9_d649e8240
einem	w11_d649e8243
Resi	w13_d649e8247
denten	w1_d649e8252
wird	w3_d649e8255
versehen	w5_d649e8258
lassen,	w7_d649e8261
worzu	w9_d649e8264
derma	w11_d649e8267
len	w1_d649e8273
der	w3_d649e8276
zu	w5_d649e8279
Danzig	w7_d649e8282
befindliche	w9_d649e8285
Rußische	w11_d649e8288
Re	w13_d649e8292
sident	w1_d649e8297
bestimt	w3_d649e8300
ist.	w5_d649e8303
Der	w7_d649e8306
Graf	w9_d649e8309
von	w11_d649e8312
Roman	w13_d649e8316
zow	w1_d649e8321
wird	w3_d649e8324
das	w5_d649e8327
Commando	w7_d649e8330
über	w9_d649e8333
dasjenige	w11_d649e8336
Corpo	w1_d649e8341
führen,	w3_d649e8344
welches	w5_d649e8347
aus	w7_d649e8350
Pommern	w9_d649e8353
in	w11_d649e8356
das	w1_d649e8362
Hollsteinische	w3_d649e8365
marschiren	w5_d649e8368
soll;	w7_d649e8371
wo	w9_d649e8374
alles	w11_d649e8377
sich	w1_d649e8382
zu	w3_d649e8385
einem	w5_d649e8388
neuen	w7_d649e8391
kriegerischen	w9_d649e8394
Aufzug	w11_d649e8397
be	w13_d649e8401
reit.	w1_d649e8406
Der	w3_d649e8409
Marschall	w5_d649e8412
Graf	w7_d649e8415
von	w9_d649e8418
St.	w11_d649e8421
Ger	w13_d649e8425
main	w1_d649e8430
hat	w3_d649e8433
sich	w5_d649e8436
mit	w7_d649e8439
noch	w9_d649e8442
anderen	w11_d649e8445
Generals	w13_d649e8449
personen	w1_d649e8455
von	w3_d649e8458
Altona	w5_d649e8461
nach	w7_d649e8464
dem	w9_d649e8467
Lager	w11_d649e8470
bey	w13_d649e8474
Segeberg	w1_d649e8479
begeben.	w3_d649e8482
Der	w5_d649e8485
Baron	w7_d649e8488
von	w9_d649e8491
Bern	w11_d649e8494
storf,	w1_d649e8499
ein	w3_d649e8502
Neveu	w5_d649e8505
des	w7_d649e8508
Dänischen	w9_d649e8511
Staats	w11_d649e8514
ministers,	w1_d649e8519
welcher	w3_d649e8522
sich	w5_d649e8525
etwas	w7_d649e8528
Zeit	w9_d649e8531
zu	w11_d649e8534
Pa	w13_d649e8538
ris	w1_d649e8544
aufgehalten,	w3_d649e8547
und	w5_d649e8550
neben	w7_d649e8553
dem	w9_d649e8556
dasigen	w11_d649e8559
Dänischen	w1_d649e8564
Gesandten	w3_d649e8567
sich	w5_d649e8570
mit	w7_d649e8573
dem	w9_d649e8576
Grafen	w11_d649e8579
von	w1_d649e8584
Choiseul	w3_d649e8587
verschiedene	w5_d649e8590
malen	w7_d649e8593
unterredt,	w9_d649e8596
ist	w1_d649e8601
wiederum	w3_d649e8604
nach	w5_d649e8607
Copenhagen	w7_d649e8610
zurückgekeh	w9_d649e8613
</p>
<p id="p6_d649e8616">
ret,	w1_d649e8620
welches	w3_d649e8623
vermuthlich	w5_d649e8626
zu	w7_d649e8629
vorstehenden	w9_d649e8632
Gerüchten	w1_d649e8637
Anlaß	w3_d649e8640
gegeben.	w5_d649e8643
Wie	w7_d649e8646
die	w9_d649e8649
jüng	w11_d649e8652
sten	w1_d649e8657
Berichte	w3_d649e8660
von	w5_d649e8663
Londen	w7_d649e8666
lauten,	w9_d649e8669
so	w11_d649e8672
ist	w13_d649e8676
die	w15_d649e8679
Englische	w1_d649e8685
nach	w3_d649e8688
Portugall	w5_d649e8691
bestimmte	w7_d649e8694
Flotte	w9_d649e8697
noch	w1_d649e8702
nicht	w3_d649e8705
ausgeloffen,	w5_d649e8708
und	w7_d649e8711
will	w9_d649e8714
man	w11_d649e8717
ver	w13_d649e8721
merken,	w1_d649e8726
daß	w3_d649e8729
an	w5_d649e8732
dieser	w7_d649e8735
Zurüstung	w9_d649e8738
nicht	w11_d649e8741
mehr	w13_d649e8745
mit	w1_d649e8750
gleichem	w3_d649e8753
Eifer	w5_d649e8756
gearbeitet	w7_d649e8759
werde,	w9_d649e8762
wel	w11_d649e8765
ches	w1_d649e8771
denen	w3_d649e8774
Vorstellungen	w5_d649e8777
einiger	w7_d649e8780
Ministers	w9_d649e8783
zugeschrieben	w1_d649e8788
wird,	w3_d649e8791
daß	w5_d649e8794
England	w7_d649e8797
einen	w9_d649e8800
sol	w11_d649e8803
chen	w1_d649e8808
Schritt	w3_d649e8811
nicht	w5_d649e8814
thun	w7_d649e8817
könne,	w9_d649e8820
ohne	w11_d649e8823
ganz	w13_d649e8827
zuverläßig	w1_d649e8832
berichtet	w3_d649e8835
zu	w5_d649e8838
seyn,	w7_d649e8841
daß	w9_d649e8844
Spanien	w11_d649e8847
die	w1_d649e8853
Feindseligkeiten	w3_d649e8856
wider	w5_d649e8859
Portugal	w7_d649e8862
ange	w9_d649e8865
fangen,	w1_d649e8870
und	w3_d649e8873
dessen	w5_d649e8876
Staaten	w7_d649e8879
angegriffen	w9_d649e8882
ha	w11_d649e8885
be.	w1_d649e8890
Ein	w3_d649e8893
grosser	w5_d649e8896
Vorraht	w7_d649e8899
von	w9_d649e8902
aller	w11_d649e8905
Gat	w13_d649e8909
tung	w1_d649e8914
Lebens=mitteln	w3_d649e8917
ist	w5_d649e8920
würklich	w7_d649e8923
in	w9_d649e8926
Bereit	w11_d649e8929
schaft,	w1_d649e8935
um	w3_d649e8938
nach	w5_d649e8941
Deutschland,	w7_d649e8944
zum	w9_d649e8947
Dienst	w11_d649e8950
der	w1_d649e8955
Alliirten,	w3_d649e8958
übergeführt	w5_d649e8961
zu	w7_d649e8964
werden.	w9_d649e8967
Da	w11_d649e8970
die	w1_d649e8975
Holländische	w3_d649e8978
Ost=indische	w5_d649e8981
Handlungs	w7_d649e8984
gesellschaft	w1_d649e8989
viele	w3_d649e8992
Beschwerden	w5_d649e8995
wider	w7_d649e8998
die	w9_d649e9001
Eng	w11_d649e9004
länder	w1_d649e9010
anzubringen	w3_d649e9013
hat,	w5_d649e9016
so	w7_d649e9019
werden	w9_d649e9022
zwey	w11_d649e9025
Directoren	w1_d649e9030
derselben	w3_d649e9033
mit	w5_d649e9036
dem	w7_d649e9039
Herrn	w9_d649e9042
von	w11_d649e9045
der	w1_d649e9050
Hoop	w3_d649e9053
dem	w5_d649e9056
Holländischen	w7_d649e9059
Minister	w9_d649e9062
sich	w11_d649e9065
nach	w1_d649e9070
Londen	w3_d649e9073
begeben,	w5_d649e9076
und	w7_d649e9079
trachten	w9_d649e9082
die	w11_d649e9085
Sa	w13_d649e9089
chen	w1_d649e9095
gütlich	w3_d649e9098
beyzulegen,	w5_d649e9101
damit	w7_d649e9104
das	w9_d649e9107
schon	w11_d649e9110
lange	w1_d649e9115
unter	w3_d649e9118
der	w5_d649e9121
Aschen	w7_d649e9124
glimmende	w9_d649e9127
Feuer	w11_d649e9130
nicht	w1_d649e9135
auch	w3_d649e9138
noch	w5_d649e9141
gar	w7_d649e9144
ausbreche.	w9_d649e9147
</p>
<head id="h2_d649e9153">
Frankfurt	w1_d649e9157
vom	w3_d649e9160
12.	w5_d649e9163
April.	w7_d649e9166
</head>
<p id="p4_d649e9169">
Heute	w1_d649e9173
um	w3_d649e9176
1.	w5_d649e9179
Uhr	w7_d649e9182
rückten	w9_d649e9185
in	w11_d649e9188
dem	w13_d649e9192
schönsten	w15_d649e9195
kriegerischen	w1_d649e9200
Staate	w3_d649e9203
2.	w5_d649e9206
Bataillons	w7_d649e9209
von	w9_d649e9212
dem	w11_d649e9215
Hochlöbl.	w1_d649e9220
Königl.	w3_d649e9223
FranzösischNassausaar	w5_d649e9226
brückischen	w1_d649e9232
Regimente	w3_d649e9235
zu	w5_d649e9238
Fuß,	w7_d649e9241
hier	w9_d649e9244
ein.	w11_d649e9247
Der	w13_d649e9251
Herr	w1_d649e9256
Commandant	w3_d649e9259
des	w5_d649e9262
dritten	w7_d649e9265
Bataillons,	w9_d649e9268
Freyherr	w1_d649e9273
von	w3_d649e9276
Gallois,	w5_d649e9279
führtete	w7_d649e9282
den	w9_d649e9285
Einzug	w11_d649e9288
dieses	w1_d649e9293
neuen	w3_d649e9296
Besatzungs=regimentes	w5_d649e9299
an.	w7_d649e9302
Das	w1_d649e9308
dritte	w3_d649e9311
Bataillon	w5_d649e9314
von	w7_d649e9317
dem	w9_d649e9320
erwähnten	w11_d649e9323
Regiment	w1_d649e9328
liegt	w3_d649e9331
noch	w5_d649e9334
zu	w7_d649e9337
Vechenheim,	w9_d649e9340
in	w11_d649e9343
ei	w13_d649e9347
nem	w1_d649e9352
Hessen=hanauischen	w3_d649e9355
Dorfe,	w5_d649e9358
anderthalb	w7_d649e9361
Stunden	w1_d649e9366
von	w3_d649e9369
hier.	w5_d649e9372
Alle	w7_d649e9375
heut	w9_d649e9378
verfügte	w11_d649e9381
An	w13_d649e9385
stalten,	w1_d649e9391
lassen	w3_d649e9394
den	w5_d649e9397
Königl.	w7_d649e9400
Französischen	w9_d649e9403
Ober	w11_d649e9406
feldherrn,	w1_d649e9411
an	w3_d649e9414
dem	w5_d649e9417
Ober	w7_d649e9420
=rheine,	w9_d649e9423
den	w11_d649e9426
Herrn	w13_d649e9430
Marschall	w1_d649e9435
und	w3_d649e9438
Prinzen	w5_d649e9441
von	w7_d649e9444
Soubise,	w9_d649e9447
an	w11_d649e9450
genblicklich	w1_d649e9455
hier	w3_d649e9458
vermuten.	w5_d649e9461
</p>
<head id="h4_d649e9477">
Dresden	w1_d649e9481
12.	w3_d649e9484
April.	w5_d649e9487
</head>
<p id="p6_d649e9490">
Unerachtet	w1_d649e9494
von	w3_d649e9497
Zeit	w5_d649e9500
zu	w7_d649e9503
Zeit	w9_d649e9506
verschiede	w11_d649e9509
ne	w1_d649e9514
Trupen	w3_d649e9517
von	w5_d649e9520
der	w7_d649e9523
Kaiserlich	w9_d649e9526
Königl.	w11_d649e9529
Haupt=armee	w1_d649e9534
nach	w3_d649e9537
Schlesien	w5_d649e9540
aufbrechen,	w7_d649e9543
zu	w9_d649e9546
deren	w1_d649e9552
Paßirung	w3_d649e9555
unterhalb	w5_d649e9558
hiesiger	w7_d649e9561
Stadt	w9_d649e9564
eine	w1_d649e9569
Schif=brücke	w3_d649e9572
geschlagen	w5_d649e9575
worden,	w7_d649e9578
so	w9_d649e9581
bleibet	w1_d649e9586
doch	w3_d649e9589
nichtsdestoweniger	w5_d649e9592
mit	w7_d649e9595
Jnbe	w9_d649e9598
grif	w1_d649e9603
der	w3_d649e9606
Reichs=armee,	w5_d649e9609
eine	w7_d649e9612
sehr	w9_d649e9615
beträcht	w11_d649e9618
liche	w1_d649e9624
Macht	w3_d649e9627
in	w5_d649e9630
hiesigen	w7_d649e9633
Landen	w9_d649e9636
stehen.	w11_d649e9639
Am	w13_d649e9643
5.	w1_d649e9648
hujus	w3_d649e9651
brache	w5_d649e9654
das	w7_d649e9657
Kaiserl.	w9_d649e9660
Königl.	w11_d649e9663
Haupt	w13_d649e9667
quartier	w1_d649e9672
von	w3_d649e9675
hier	w5_d649e9678
nach	w7_d649e9681
gedachtem	w9_d649e9684
Schlesien	w11_d649e9687
auf.	w1_d649e9692
Zu	w3_d649e9695
gleicher	w5_d649e9698
Zeit	w7_d649e9701
gieng	w9_d649e9704
der	w11_d649e9707
Hr.	w13_d649e9711
Gene	w15_d649e9714
ral	w1_d649e9720
feld=zeug=meister	w3_d649e9723
Graf	w5_d649e9726
von	w7_d649e9729
Maquire	w9_d649e9732
nach	w1_d649e9737
dem	w3_d649e9740
Altenburgischen	w5_d649e9743
ab.	w7_d649e9746
Dem	w9_d649e9749
Ver	w11_d649e9752
nehmen	w1_d649e9757
nach	w3_d649e9760
ist	w5_d649e9763
dem	w7_d649e9766
Herrn	w9_d649e9769
Generalfeld	w11_d649e9772
marschall	w1_d649e9777
Grafen	w3_d649e9780
von	w5_d649e9783
Serbelloni	w7_d649e9786
das	w9_d649e9789
Haupt=commando	w1_d649e9795
von	w3_d649e9798
beyden	w5_d649e9801
Armeen	w7_d649e9804
be	w9_d649e9807
stimmet,	w1_d649e9812
zu	w3_d649e9815
deren	w5_d649e9818
Unterhaltung	w7_d649e9821
wichti	w9_d649e9824
ge	w1_d649e9829
Magazins	w3_d649e9832
errichtet	w5_d649e9835
werden.	w7_d649e9838
Am	w1_d649e9843
9ten	w1_d649e9849
lieferte	w3_d649e9852
der	w5_d649e9855
Obriste	w7_d649e9858
Törreck	w9_d649e9861
39.	w1_d649e9866
Mann	w1_d649e9871
feindliche	w3_d649e9874
Kriegs=gefangene,	w5_d649e9877
meh	w7_d649e9880
resten	w1_d649e9885
Theils	w3_d649e9888
Cavalleristen	w5_d649e9891
anhero	w7_d649e9894
ein.	w9_d649e9897
Vor	w11_d649e9900
ein	w1_d649e9906
paar	w3_d649e9909
Tagen	w5_d649e9912
erhielten	w7_d649e9915
wir	w9_d649e9918
die	w11_d649e9921
betrübte	w13_d649e9925
Nachricht,	w1_d649e9930
daß	w3_d649e9933
der	w5_d649e9936
Prinz	w7_d649e9939
Heinrich	w9_d649e9942
aus	w11_d649e9945
dem	w13_d649e9949
Meißnischen	w1_d649e9954
Kreise	w3_d649e9957
20.	w5_d649e9960
Stände	w7_d649e9963
arretiren	w9_d649e9966
lassen,	w1_d649e9971
welche	w3_d649e9974
mit	w5_d649e9977
der	w7_d649e9980
Abführung	w9_d649e9983
nach	w11_d649e9986
Mag	w13_d649e9990
deburg	w1_d649e9996
bedrohet	w3_d649e9999
würden.	w5_d649e10002
Die	w7_d649e10005
Theuerung	w9_d649e10008
nimmt	w1_d649e10013
in	w3_d649e10016
hiesigen	w5_d649e10019
Landen	w7_d649e10022
zu	w9_d649e10025
Häufung	w11_d649e10028
un	w13_d649e10032
serer	w1_d649e10037
Noht,	w3_d649e10040
dergestalt	w5_d649e10043
überhand,	w7_d649e10046
daß	w9_d649e10049
der	w11_d649e10052
Scheffel	w1_d649e10057
Korn	w3_d649e10060
zu	w5_d649e10063
Bautzen	w7_d649e10066
bereits	w9_d649e10069
11.	w11_d649e10072
ein	w13_d649e10076
halben	w1_d649e10082
Rthlr.	w3_d649e10085
zu	w5_d649e10088
Lauban	w7_d649e10091
aber	w9_d649e10094
gar	w11_d649e10097
15.	w13_d649e10101
Rthlr.	w15_d649e10104
nach	w1_d649e10109
schlechtem	w3_d649e10112
Gelde	w5_d649e10115
kostet,	w7_d649e10118
und	w9_d649e10121
mit	w11_d649e10124
denen	w13_d649e10128
übrigen	w1_d649e10133
Bedürfnüssen	w3_d649e10136
hat	w5_d649e10139
es	w7_d649e10142
ohne	w9_d649e10145
Aus	w11_d649e10148
nahme	w1_d649e10153
gleiche	w3_d649e10156
Bewandnüß.	w5_d649e10159
</p>
<head id="h2_d649e10168">
Wien	w1_d649e10172
den	w3_d649e10175
21.	w5_d649e10178
April	w7_d649e10181
1762.	w9_d649e10184
</head>
<p id="p4_d649e10187">
SAmstags	w1_d649e10191
den	w3_d649e10194
17.	w5_d649e10197
dieses	w7_d649e10200
nach	w9_d649e10203
dem	w11_d649e10206
vor	w13_d649e10210
mittägigen	w1_d649e10215
GOttes=dienst	w3_d649e10218
haben	w5_d649e10221
Se.	w7_d649e10224
Majest.	w1_d649e10229
der	w3_d649e10232
Kaiser	w5_d649e10235
sich	w7_d649e10238
mit	w9_d649e10241
einigen	w11_d649e10244
Herren	w13_d649e10248
Cavalieren	w1_d649e10254
über	w3_d649e10257
die	w5_d649e10260
grossen	w7_d649e10263
Donau=brücken	w9_d649e10266
nach	w1_d649e10271
Dero	w3_d649e10274
eigentümlicher	w5_d649e10277
Herrschaft	w7_d649e10280
Eg	w9_d649e10283
Zertsau	w1_d649e10288
erhoben,	w3_d649e10291
und	w5_d649e10294
sich	w7_d649e10297
mit	w9_d649e10300
einer	w11_d649e10303
Schwein	w13_d649e10307
</p>
<p id="p6_d649e10310">
jagd	w1_d649e10314
belustiget:	w3_d649e10317
die	w5_d649e10320
Zurückkehr	w7_d649e10323
ist	w9_d649e10326
von	w11_d649e10329
dannen	w1_d649e10334
Nachmittags	w3_d649e10337
wieder	w5_d649e10340
in	w7_d649e10343
die	w9_d649e10346
Burg	w11_d649e10349
er	w13_d649e10353
folget;	w1_d649e10358
Jhre	w3_d649e10361
Majestät	w5_d649e10364
die	w7_d649e10367
Kaiserin	w9_d649e10370
geruhe	w11_d649e10373
ten	w1_d649e10379
heute	w3_d649e10382
der	w5_d649e10385
von	w7_d649e10388
einem	w9_d649e10391
50	w11_d649e10394
jährigen	w13_d649e10398
Priester	w15_d649e10401
aus	w1_d649e10406
dem	w3_d649e10409
Orden	w5_d649e10412
der	w7_d649e10415
Diener	w9_d649e10418
U.	w11_d649e10421
L.	w13_d649e10425
F.	w15_d649e10428
dem	w17_d649e10431
Wol	w19_d649e10434
erwürdigen	w1_d649e10439
P.	w3_d649e10442
Georgio	w5_d649e10445
Maria	w7_d649e10448
Eisenberger,	w9_d649e10451
Concion,	w1_d649e10456
Emer.	w3_d649e10459
Ex-Provinc.	w5_d649e10462
und	w7_d649e10465
Defin,	w9_d649e10468
per-	w11_d649e10471
pet.	w1_d649e10477
in	w3_d649e10480
seiner	w5_d649e10483
Ordens=kirche	w7_d649e10486
in	w9_d649e10489
der	w11_d649e10492
Rossau	w13_d649e10496
feyerlich	w1_d649e10501
gehaltenen	w3_d649e10504
zweyten	w5_d649e10507
Primitz	w7_d649e10510
persön	w9_d649e10513
lich	w1_d649e10518
beyzuwohnen.	w3_d649e10521
</p>
<p id="p8_d649e10524">
Sonntags	w1_d649e10528
den	w3_d649e10531
18.	w5_d649e10534
April	w7_d649e10537
Vormittags	w9_d649e10540
nach	w1_d649e10545
8.	w3_d649e10548
Uhr	w5_d649e10551
haben	w7_d649e10554
beyde	w9_d649e10557
K.	w11_d649e10560
K.	w13_d649e10564
Majestäten	w15_d649e10567
mit	w1_d649e10572
Jhren	w3_d649e10575
Königl.	w5_d649e10578
Hoheiten,	w7_d649e10581
denen	w9_d649e10584
Durchl.	w11_d649e10587
Erzherzogen	w1_d649e10593
Joseph,	w3_d649e10596
und	w5_d649e10599
Leopold,	w7_d649e10602
dann	w9_d649e10605
den	w11_d649e10608
3.	w1_d649e10613
Erzherzoginnen	w3_d649e10616
Maria	w5_d649e10619
Anna,	w7_d649e10622
Maria	w9_d649e10625
Christina,	w1_d649e10630
und	w3_d649e10633
Maria	w5_d649e10636
Elisabetha	w7_d649e10639
Königl.	w9_d649e10642
Hoheiten	w1_d649e10647
unter	w3_d649e10650
einem	w5_d649e10653
grossen	w7_d649e10656
Gefolge	w9_d649e10659
des	w11_d649e10662
Hof	w1_d649e10668
und	w3_d649e10671
Stadt=adels	w5_d649e10674
