<doc id="wr_1758-12-09" attrs="word" year="1758" month="12" day="09" corpus="2">
<head id="h2_d303e2449">
Berlin	w1_d303e2453
kürzlich	w5_d303e6083
eine	w7_d303e6086
Veränderung	w9_d303e6089
vorge	w11_d303e6092
gangen.	w1_d303e6097
Der	w3_d303e6100
Herr	w5_d303e6103
Legge	w7_d303e6106
ist	w9_d303e6109
zum	w11_d303e6112
Canzler	w13_d303e6116
des	w1_d303e6121
Echiquier	w3_d303e6124
und	w5_d303e6127
Pair	w7_d303e6130
von	w9_d303e6133
England,	w11_d303e6136
der	w13_d303e6140
Lord	w1_d303e6145
Mansfield	w3_d303e6148
aber	w5_d303e6151
zum	w7_d303e6154
Groß	w9_d303e6157
Siegel	w11_d303e6160
bewahrer	w1_d303e6166
ernannt	w3_d303e6169
worden.	w5_d303e6172
Sonst	w7_d303e6175
muß	w9_d303e6178
man	w1_d303e6183
noch	w3_d303e6186
berichten,	w5_d303e6189
daß	w7_d303e6192
seit	w9_d303e6195
dem	w11_d303e6198
Anfang	w13_d303e6202
des	w1_d303e6207
Nov.	w3_d303e6210
sich	w5_d303e6213
eine	w7_d303e6216
so	w9_d303e6219
gelinde	w11_d303e6222
Witterung	w13_d303e6226
äussere,	w1_d303e6231
welche	w3_d303e6234
unweit	w5_d303e6237
Edimburg	w7_d303e6240
Rosen	w9_d303e6243
hervor	w1_d303e6249
gebracht,	w3_d303e6252
und	w5_d303e6255
bey	w7_d303e6258
der	w9_d303e6261
Abtey	w11_d303e6264
Hill	w13_d303e6268
einen	w1_d303e6273
Apfel=baum	w3_d303e6276
zum	w5_d303e6279
zweyten	w7_d303e6282
mal	w9_d303e6285
in	w11_d303e6288
die	w13_d303e6292
schönste	w1_d303e6297
Blühte	w3_d303e6300
versetzet	w5_d303e6303
hat.	w7_d303e6306
</p>
<head id="h2_d303e6312">
Venedig	w1_d303e6316
14.	w3_d303e6319
Nov.	w5_d303e6322
</head>
<p id="p4_d303e6325">
Den	w1_d303e6329
29.	w3_d303e6332
verwichenen	w5_d303e6335
Monats	w7_d303e6338
hat	w9_d303e6341
un	w11_d303e6344
ser	w1_d303e6349
Patriarch,	w3_d303e6352
Herr	w5_d303e6355
Aloysius	w7_d303e6358
Foscari,	w9_d303e6361
im	w1_d303e6366
79sten	w3_d303e6369
Jahr	w5_d303e6372
seines	w7_d303e6375
Alters	w9_d303e6378
das	w11_d303e6381
Zeitliche	w13_d303e6385
geseegnet.	w1_d303e6391
Er	w3_d303e6394
war	w5_d303e6397
den	w7_d303e6400
30.	w9_d303e6403
Sept.	w11_d303e6406
1679.	w13_d303e6410
allhier	w1_d303e6415
geboren,	w3_d303e6418
und	w5_d303e6421
ward	w7_d303e6424
den	w9_d303e6427
3.	w11_d303e6430
Julii	w13_d303e6434
1731.	w1_d303e6439
zum	w3_d303e6442
Patriarchen	w5_d303e6445
erwählt.	w7_d303e6448
</p>
<head id="h2_d303e6454">
Haag	w1_d303e6458
26.	w3_d303e6461
Nov.	w5_d303e6464
</head>
<p id="p4_d303e6467">
Nachdeme	w1_d303e6471
die	w3_d303e6474
jüngst=gedachte	w5_d303e6477
Deputa	w7_d303e6480
tion	w1_d303e6485
deren	w3_d303e6488
Handels=städten	w5_d303e6491
aus	w7_d303e6494
Holl	w9_d303e6497
und	w11_d303e6500
See=land	w1_d303e6505
Jhrer	w3_d303e6508
Königl.	w5_d303e6511
Hoheit	w7_d303e6514
der	w9_d303e6517
Prin	w11_d303e6520
zeßin	w1_d303e6526
Statthalterin	w3_d303e6529
ihr	w5_d303e6532
Anligen,	w7_d303e6535
betref	w9_d303e6538
fend	w1_d303e6543
die	w3_d303e6546
Engländischen	w5_d303e6549
Kapereyen	w7_d303e6552
und	w9_d303e6555
de	w11_d303e6558
ren	w1_d303e6563
Genugkhnung	w3_d303e6566
schriftlich	w5_d303e6569
behändiget,	w7_d303e6572
so	w1_d303e6577
haben	w3_d303e6580
Hoch=gedacht	w5_d303e6583
Dieselbe	w7_d303e6586
ihnen	w9_d303e6589
in	w11_d303e6592
Antwort	w1_d303e6598
ertheilet,	w3_d303e6601
wie	w5_d303e6604
sie	w7_d303e6607
sich	w9_d303e6610
auf	w11_d303e6613
die	w13_d303e6617
Groß	w15_d303e6620
mut	w1_d303e6625
Dero	w3_d303e6628
Königl.	w5_d303e6631
Herrn	w7_d303e6634
Vatters	w9_d303e6637
gänzlich	w11_d303e6640
verlassen,	w1_d303e6645
und	w3_d303e6648
versichert	w5_d303e6651
halten	w7_d303e6654
können,	w9_d303e6657
daß	w1_d303e6662
Genugthuung	w3_d303e6665
verschaffet	w5_d303e6668
werden	w7_d303e6671
wür	w9_d303e6674
de.	w1_d303e6680
Hingegen	w3_d303e6683
geben	w5_d303e6686
andere	w7_d303e6689
Briefe	w9_d303e6692
aus	w11_d303e6695
Londen,	w1_d303e6700
daß	w3_d303e6703
der	w5_d303e6706
Herr	w7_d303e6709
Hopp,	w9_d303e6712
über	w11_d303e6715
eben	w13_d303e6719
diese	w1_d303e6724
Vorfallenheiten,	w3_d303e6727
von	w5_d303e6730
dem	w7_d303e6733
Ministerio	w9_d303e6736
ganz	w1_d303e6741
keine	w3_d303e6744
vergnügliche	w5_d303e6747
Antwort	w7_d303e6750
erhalten	w9_d303e6753
</p>
<p id="p10_d303e6766">
habe,	w1_d303e6770
und	w3_d303e6773
man	w5_d303e6776
ihme	w7_d303e6779
zu	w9_d303e6782
verstehen	w11_d303e6785
gegeben,	w13_d303e6789
daß	w1_d303e6794
es	w3_d303e6797
unnöhtig	w5_d303e6800
wäre,	w7_d303e6803
mehrere	w9_d303e6806
Vorstel	w11_d303e6809
lungen	w1_d303e6814
zu	w3_d303e6817
machen,	w5_d303e6820
indeme	w7_d303e6823
man	w9_d303e6826
nicht	w11_d303e6829
geson	w13_d303e6833
nen,	w1_d303e6839
davon	w3_d303e6842
abzugehen,	w5_d303e6845
alle	w7_d303e6848
aus	w9_d303e6851
West	w11_d303e6854
indien	w1_d303e6859
kommende	w3_d303e6862
Schiffe	w5_d303e6865
zu	w7_d303e6868
besichtigen,	w9_d303e6871
und	w11_d303e6874
auf	w1_d303e6879
Erfinden,	w3_d303e6882
daß	w5_d303e6885
sie	w7_d303e6888
verbottene	w9_d303e6891
Waaren	w11_d303e6894
am	w1_d303e6899
Bord	w3_d303e6902
hätten,	w5_d303e6905
selbige	w7_d303e6908
einzuziehen.	w9_d303e6911
</p>
<head id="h2_d303e6917">
Rheinstrom	w1_d303e6921
26.	w3_d303e6924
Nov.	w5_d303e6927
</head>
<p id="p4_d303e6930">
Briefe	w1_d303e6934
von	w3_d303e6937
Brüssel	w5_d303e6940
unterm	w7_d303e6943
22.	w9_d303e6946
melden,	w11_d303e6949
daß	w1_d303e6954
die	w3_d303e6957
Bataillon	w5_d303e6960
Militzen	w7_d303e6963
von	w9_d303e6966
Joigny,	w11_d303e6969
aus	w1_d303e6974
Frankreich	w3_d303e6977
kommend,	w5_d303e6980
am	w7_d303e6983
21.	w9_d303e6986
zu	w11_d303e6989
Brüs	w13_d303e6993
sel	w1_d303e6999
eingetroffen,	w3_d303e7002
und	w5_d303e7005
den	w7_d303e7008
22.	w9_d303e7011
von	w11_d303e7014
dannen	w13_d303e7018
zu	w1_d303e7023
der	w3_d303e7026
Armee	w5_d303e7029
am	w7_d303e7032
Nieder=rhein	w9_d303e7035
aufge	w11_d303e7038
brochen	w1_d303e7043
seye.	w3_d303e7046
Von	w5_d303e7049
Düsseldorf	w7_d303e7052
wird	w9_d303e7055
be	w11_d303e7058
richtet,	w1_d303e7063
daß	w3_d303e7066
das	w5_d303e7069
Haupt=quartier	w7_d303e7072
des	w9_d303e7075
Mar	w11_d303e7078
schalls,	w1_d303e7084
Grafen	w3_d303e7087
von	w5_d303e7090
Contades,	w7_d303e7093
in	w9_d303e7096
denen	w11_d303e7099
Gegenden	w1_d303e7104
von	w3_d303e7107
Wesel	w5_d303e7110
über	w7_d303e7113
den	w9_d303e7116
Rhein	w11_d303e7119
zu	w13_d303e7123
gehen,	w1_d303e7128
und	w3_d303e7131
ferner	w5_d303e7134
nach	w7_d303e7137
Creefeldtranspor	w9_d303e7140
tiret	w1_d303e7145
zu	w3_d303e7148
werden,	w5_d303e7151
die	w7_d303e7154
nöhtige	w9_d303e7157
Veranstaltun	w11_d303e7160
gen	w1_d303e7166
gemacht.	w3_d303e7169
Die	w5_d303e7172
Sachsen	w7_d303e7175
sollen	w9_d303e7178
mit	w11_d303e7181
der	w13_d303e7185
auserlösensten	w1_d303e7190
Mannschaft	w3_d303e7193
von	w5_d303e7196
der	w7_d303e7199
Franzö	w9_d303e7202
sischen	w1_d303e7207
Armee	w3_d303e7210
in	w5_d303e7213
denen	w7_d303e7216
Wetterauischen	w9_d303e7219
Lan	w11_d303e7222
den	w1_d303e7227
überwintern.	w3_d303e7230
Der	w5_d303e7233
Ritter	w7_d303e7236
von	w9_d303e7239
Mu	w11_d303e7242
ret,	w1_d303e7248
Commandant	w3_d303e7251
der	w5_d303e7254
Französischen	w7_d303e7257
Frey	w9_d303e7260
willigen,	w1_d303e7265
hat	w3_d303e7268
am	w5_d303e7271
8.	w7_d303e7274
dieses	w9_d303e7277
durch	w11_d303e7280
den	w13_d303e7284
Herrn	w15_d303e7287
von	w1_d303e7292
Rariet	w3_d303e7295
ein	w5_d303e7298
sicheres	w7_d303e7301
Hanövrisches	w9_d303e7304
Pi	w11_d303e7307
quet	w1_d303e7312
von	w3_d303e7315
60.	w5_d303e7318
Reitern	w7_d303e7321
auf	w9_d303e7324
dem	w11_d303e7327
Schloß	w13_d303e7331
von	w15_d303e7334
Niengarde	w1_d303e7340
gegen	w3_d303e7343
den	w5_d303e7346
Fluß	w7_d303e7349
von	w9_d303e7352
Dangel	w11_d303e7355
ge	w13_d303e7359
legen,	w1_d303e7364
so	w3_d303e7367
unerwartet	w5_d303e7370
angreiffen	w7_d303e7373
lassen,	w9_d303e7376
daß	w1_d303e7381
30.	w3_d303e7384
Mann	w5_d303e7387
deren	w7_d303e7390
Feinden	w9_d303e7393
getödtet,	w11_d303e7396
8.	w13_d303e7400
Mann	w1_d303e7405
gefangen,	w3_d303e7408
und	w5_d303e7411
die	w7_d303e7414
übrige	w9_d303e7417
mit	w11_d303e7420
Zu	w13_d303e7424
rucklassung	w1_d303e7430
ihrer	w3_d303e7433
Pferde,	w5_d303e7436
Bagage	w7_d303e7439
rc.	w9_d303e7442
in	w11_d303e7445
die	w1_d303e7450
Wälder	w3_d303e7453
zerstreuet	w5_d303e7456
worden	w7_d303e7459
seynd.	w9_d303e7462
</p>
<head id="h2_d303e7468">
Fulda	w1_d303e7472
23.	w3_d303e7475
Novemb.	w5_d303e7478
</head>
<p id="p4_d303e7481">
Ungeachtet	w1_d303e7485
der	w3_d303e7488
verschiedenen	w5_d303e7491
Bewegun	w7_d303e7494
gen,	w1_d303e7499
welche	w3_d303e7502
die	w5_d303e7505
Französische	w7_d303e7508
Trupen	w9_d303e7511
in	w11_d303e7514
Hes	w13_d303e7518
sen	w1_d303e7523
machen,	w3_d303e7526
so	w5_d303e7529
melden	w7_d303e7532
doch	w9_d303e7535
die	w11_d303e7538
neuesten	w13_d303e7542
Briefe	w1_d303e7548
aus	w3_d303e7551
Cassel,	w5_d303e7554
daß	w7_d303e7557
es	w9_d303e7560
vollkommen	w11_d303e7563
unge	w13_d303e7567
wiß	w1_d303e7572
seye,	w3_d303e7575
ob	w5_d303e7578
die	w7_d303e7581
Armee	w9_d303e7584
vorrücken,	w11_d303e7587
über	w13_d303e7591
wintern,	w1_d303e7596
oder	w3_d303e7599
in	w5_d303e7602
das	w7_d303e7605
Hanauische	w9_d303e7608
marschiren	w11_d303e7611
werde.	w1_d303e7616
Jn	w3_d303e7619
Marburg	w5_d303e7622
sind	w7_d303e7625
den	w9_d303e7628
17.	w11_d303e7631
3.	w13_d303e7635
Ba	w15_d303e7638
taillons	w1_d303e7644
Sachsen	w3_d303e7647
eingerücket.	w5_d303e7650
Den	w7_d303e7653
19.	w9_d303e7656
be	w11_d303e7659
</p>
<p id="p6_d303e7662">
gab	w1_d303e7666
sich	w3_d303e7669
der	w5_d303e7672
Herr	w7_d303e7675
Obrist	w9_d303e7678
Fischer	w11_d303e7681
von	w13_d303e7685
da	w15_d303e7688
nach	w17_d303e7691
Ziegenhayn,	w1_d303e7696
nachdeme	w3_d303e7699
er	w5_d303e7702
zur	w7_d303e7705
Zahlung	w9_d303e7708
der	w11_d303e7711
verlangten	w1_d303e7716
50000.	w3_d303e7719
Thlr.	w5_d303e7722
nur	w7_d303e7725
eine	w9_d303e7728
kurze	w11_d303e7731
Frist	w1_d303e7737
gegeben,	w3_d303e7740
und	w5_d303e7743
von	w7_d303e7746
der	w9_d303e7749
Noblesse,	w11_d303e7752
einen	w13_d303e7756
beträchtlichen	w1_d303e7761
Beytrag	w3_d303e7764
in	w5_d303e7767
Ansehung	w7_d303e7770
des	w9_d303e7773
er	w11_d303e7776
schöpften	w1_d303e7781
Bürgers	w3_d303e7784
verlanget	w5_d303e7787
hatte.	w7_d303e7790
Den	w9_d303e7793
21.	w1_d303e7798
marschirten	w3_d303e7801
die	w5_d303e7804
Chur=sächsische	w7_d303e7807
Trupen	w9_d303e7810
nach	w1_d303e7816
Wetzlar,	w3_d303e7819
und	w5_d303e7822
an	w7_d303e7825
eben	w9_d303e7828
diesem	w11_d303e7831
Tag	w13_d303e7835
ka	w15_d303e7838
men	w1_d303e7843
des	w3_d303e7846
Prinzens	w5_d303e7849
Xaver	w7_d303e7852
Königl.	w9_d303e7855
Hoheit	w11_d303e7858
un	w13_d303e7862
ter	w1_d303e7867
Abfeuerung	w3_d303e7870
der	w5_d303e7873
Canonen	w7_d303e7876
an.	w9_d303e7879
Das	w11_d303e7882
Ma	w13_d303e7886
gazin	w1_d303e7891
ist	w3_d303e7894
bis	w5_d303e7897
auf	w7_d303e7900
das,	w9_d303e7903
was	w11_d303e7906
die	w13_d303e7910
Garnison	w15_d303e7913
braucht	w1_d303e7919
weg=geführet.	w3_d303e7922
Dagegen	w5_d303e7925
aber	w7_d303e7928
seit	w9_d303e7931
kurzem	w1_d303e7936
eine	w3_d303e7939
Menge	w5_d303e7942
von	w7_d303e7945
Canonen,	w9_d303e7948
Pulfer	w11_d303e7951
wägen,	w1_d303e7956
und	w3_d303e7959
anderen	w5_d303e7962
Gerätschaften	w7_d303e7965
wegge	w9_d303e7968
führet	w1_d303e7973
worden.	w3_d303e7976
Den	w5_d303e7979
22.	w7_d303e7982
sind	w9_d303e7985
2.	w11_d303e7988
Cavalle	w13_d303e7992
rie=regimenter	w1_d303e7998
um	w3_d303e8001
den	w5_d303e8004
Krum=bogen	w7_d303e8007
sehr	w9_d303e8010
schleunig	w1_d303e8015
vorbey	w3_d303e8018
marschiret,	w5_d303e8021
so,	w7_d303e8024
daß	w9_d303e8027
man	w11_d303e8030
nicht	w1_d303e8035
weiß,	w3_d303e8038
was	w5_d303e8041
eigentlich	w7_d303e8044
die	w9_d303e8047
Absicht	w11_d303e8050
die	w13_d303e8054
ses	w1_d303e8059
Marsches	w3_d303e8062
ist.	w5_d303e8065
</p>
<p id="p8_d303e8068">
Obgleich	w1_d303e8072
Münden	w3_d303e8075
und	w5_d303e8078
Witzenhausen,	w7_d303e8081
noch	w1_d303e8086
mit	w3_d303e8089
starken	w5_d303e8092
Französischen	w7_d303e8095
Besatzungen	w9_d303e8098
versehen	w1_d303e8103
seynd,	w3_d303e8106
so	w5_d303e8109
meldet	w7_d303e8112
man	w9_d303e8115
doch	w11_d303e8118
aus	w13_d303e8122
Göt	w15_d303e8125
tingen	w1_d303e8131
unter	w3_d303e8134
dem	w5_d303e8137
18.	w7_d303e8140
daß	w9_d303e8143
alles	w11_d303e8146
in	w13_d303e8150
dieser	w15_d303e8153
Ge	w17_d303e8156
gend	w1_d303e8161
noch	w3_d303e8164
ruhig	w5_d303e8167
seye.	w7_d303e8170
Der	w9_d303e8173
Prinz	w11_d303e8176
von	w13_d303e8180
Jsen	w15_d303e8183
burg	w1_d303e8188
hat	w3_d303e8191
allda	w5_d303e8194
noch	w7_d303e8197
sein	w9_d303e8200
Haupt=quartier.	w11_d303e8203
Die	w1_d303e8208
Cavallerie	w3_d303e8211
ligt	w5_d303e8214
in	w7_d303e8217
denen	w9_d303e8220
nächsten	w11_d303e8223
Dör	w13_d303e8227
fern,	w1_d303e8233
die	w3_d303e8236
Jnfanterie	w5_d303e8239
aber	w7_d303e8242
hält	w9_d303e8245
Moringen,	w11_d303e8248
Hardegsen,	w1_d303e8253
Einbeck,	w3_d303e8256
und	w5_d303e8259
Nordheim	w7_d303e8262
besetzet.	w9_d303e8265
Der	w1_d303e8270
Herr	w3_d303e8273
Graf	w5_d303e8276
von	w7_d303e8279
Lippe	w9_d303e8282
Schaumburg	w11_d303e8285
hat	w1_d303e8290
seit	w3_d303e8293
der	w5_d303e8296
letzteren	w7_d303e8299
Bataille	w9_d303e8302
bey	w11_d303e8305
Lutters	w13_d303e8309
berg	w1_d303e8315
die	w3_d303e8318
Armee	w5_d303e8321
verlassen,	w7_d303e8324
und	w9_d303e8327
sich	w11_d303e8330
nach	w13_d303e8334
seiner	w1_d303e8339
Residenz	w3_d303e8342
begeben,	w5_d303e8345
wohin	w7_d303e8348
er	w9_d303e8351
auch	w11_d303e8354
seine	w13_d303e8358
Leib=compagnie	w1_d303e8363
Grenadiers,	w3_d303e8366
und	w5_d303e8369
sein	w7_d303e8372
Jä	w9_d303e8375
ger=corps	w1_d303e8380
zu	w3_d303e8383
Fuß	w5_d303e8386
von	w7_d303e8389
dem	w9_d303e8392
Jsenburgischen	w11_d303e8395
Corps	w1_d303e8401
kommen	w3_d303e8404
lassen.	w5_d303e8407
</p>
<head id="h2_d303e8413">
Kurz=gefaßte	w1_d303e8417
Nachrichten.	w3_d303e8420
Es	w1_d303e8425
geben	w3_d303e8428
die	w5_d303e8431
frischeste	w7_d303e8434
Briefe	w9_d303e8437
</head>
<p id="p4_d303e8440">
Von	w1_d303e8444
Cadix:	w3_d303e8447
daß	w5_d303e8450
die	w7_d303e8453
Engländer	w9_d303e8456
seit	w11_d303e8459
dem	w13_d303e8463
24.	w1_d303e8468
October	w3_d303e8471
bey	w5_d303e8474
25.	w7_d303e8477
Holländische	w9_d303e8480
Kauffar	w11_d303e8483
elche	w1_d303e8488
sie	w3_d303e8491
auf	w5_d303e8494
verschiedenen	w7_d303e8497
they=schiffe,	w1_d303e8503
w.	w3_d303e8506
</p>
<p id="p10_d303e8519">
Höhen	w1_d303e8523
angehalten,	w3_d303e8526
als	w5_d303e8529
gute	w7_d303e8532
Prisen	w9_d303e8535
nach	w11_d303e8538
Gibraltar	w1_d303e8543
gebracht	w3_d303e8546
hätten.	w5_d303e8549
</p>
<p id="p12_d303e8553">
Von	w1_d303e8557
Dünkirchen:	w3_d303e8560
daß	w5_d303e8563
der	w7_d303e8566
Herr	w9_d303e8569
Guit	w11_d303e8572
ton,	w1_d303e8577
Commandant	w3_d303e8580
des	w5_d303e8583
Kapers	w7_d303e8586
Elisabeth,	w9_d303e8589
welcher	w1_d303e8594
16.	w3_d303e8597
Canonen	w5_d303e8600
und	w7_d303e8603
55.	w9_d303e8606
Mann	w11_d303e8609
füh	w13_d303e8613
ret,	w1_d303e8619
die	w3_d303e8622
Engländische	w5_d303e8625
Brigantine,	w7_d303e8628
die	w9_d303e8631
gute	w11_d303e8634
Meinung,	w1_d303e8639
die	w3_d303e8642
zu	w5_d303e8645
Aberdeen	w7_d303e8648
ausgerüstet	w9_d303e8651
wor	w11_d303e8654
den,	w1_d303e8659
daselbst	w3_d303e8662
aufgebracht	w5_d303e8665
habe.	w7_d303e8668
Sie	w9_d303e8671
hat	w11_d303e8674
23000.	w1_d303e8679
Paar	w3_d303e8682
feine	w5_d303e8685
wollene	w7_d303e8688
Strümpfe,	w9_d303e8691
445.	w1_d303e8697
Stucke	w3_d303e8700
Cattun,	w5_d303e8703
6.	w7_d303e8706
Ballen	w9_d303e8709
fein	w11_d303e8712
weiß	w13_d303e8716
Garn,	w1_d303e8721
Felle,	w3_d303e8724
und	w5_d303e8727
eine	w7_d303e8730
Kiste	w9_d303e8733
altes	w11_d303e8736
Silber	w13_d303e8740
am	w1_d303e8745
Bord	w3_d303e8748
gehabt,	w5_d303e8751
welches	w7_d303e8754
alles	w9_d303e8757
den	w11_d303e8760
6.	w13_d303e8764
die	w15_d303e8767
ses	w1_d303e8772
zu	w3_d303e8775
Dünkirchen	w5_d303e8778
verkauft	w7_d303e8781
worden;	w9_d303e8784
eben	w11_d303e8787
dieser	w1_d303e8793
Kaper	w3_d303e8796
hat	w5_d303e8799
nebst	w7_d303e8802
dem	w9_d303e8805
zu	w11_d303e8808
Dünkirchen	w13_d303e8812
ausgerüsteten	w1_d303e8817
Marquis	w3_d303e8820
von	w5_d303e8823
Barail,	w7_d303e8826
zwi	w9_d303e8829
schen	w1_d303e8834
dem	w3_d303e8837
14.	w5_d303e8840
bis	w7_d303e8843
zum	w9_d303e8846
17.	w11_d303e8849
October	w13_d303e8853
auf	w15_d303e8856
den	w17_d303e8859
Norwegischen	w1_d303e8864
Küsten	w3_d303e8867
9.	w5_d303e8870
Engländische	w7_d303e8873
Kauf	w9_d303e8876
farthey=schiffe	w1_d303e8882
weggenommen,	w3_d303e8885
und	w5_d303e8888
sie	w7_d303e8891
grö	w9_d303e8894
stentheils	w1_d303e8899
in	w3_d303e8902
den	w5_d303e8905
Hafen	w7_d303e8908
von	w9_d303e8911
Borga	w11_d303e8914
geführt.	w13_d303e8918
</p>
<p id="p14_d303e8921">
Von	w1_d303e8925
Regensburg:	w3_d303e8928
daß	w5_d303e8931
mehrmalen	w7_d303e8934
un	w9_d303e8937
gefähr	w1_d303e8942
150.	w3_d303e8945
Mann	w5_d303e8948
Chur=sächsischer	w7_d303e8951
Tru	w9_d303e8954
pen	w1_d303e8959
allda	w3_d303e8962
paßirt	w5_d303e8965
seyen,	w7_d303e8968
welche	w9_d303e8971
dem	w11_d303e8974
Verneh	w13_d303e8978
men	w1_d303e8984
nach,	w3_d303e8987
so	w5_d303e8990
wie	w7_d303e8993
die	w9_d303e8996
vorhergehende,	w11_d303e8999
ihren	w13_d303e9003
Marsch	w1_d303e9008
nach	w3_d303e9011
dem	w5_d303e9014
Elfaß	w7_d303e9017
nehmen.	w9_d303e9020
</p>
<p id="p16_d303e9023">
Von	w1_d303e9027
Frankfort:	w3_d303e9030
Daß	w5_d303e9033
den	w7_d303e9036
24.	w9_d303e9039
Novemb.	w11_d303e9042
Se.	w1_d303e9047
Hoheit	w3_d303e9050
der	w5_d303e9053
Königl.	w7_d303e9056
Pohlnische	w9_d303e9059
und	w11_d303e9062
Chur	w13_d303e9066
sächsische	w1_d303e9071
Prinz	w3_d303e9074
Xaver	w5_d303e9077
von	w7_d303e9080
der	w9_d303e9083
Französi	w11_d303e9086
schen	w1_d303e9092
Armee	w3_d303e9095
allda	w5_d303e9098
eingetroffen,	w7_d303e9101
und	w9_d303e9104
dem	w11_d303e9107
Vernehmen	w1_d303e9112
nach,	w3_d303e9115
wenige	w5_d303e9118
Stunden	w7_d303e9121
darauf,	w9_d303e9124
Dero	w1_d303e9129
Reise	w3_d303e9132
nach	w5_d303e9135
Paris	w7_d303e9138
fortgesetzet	w9_d303e9141
habe.	w11_d303e9144
</p>
<p id="p18_d303e9147">
Von	w1_d303e9151
Erfort:	w3_d303e9154
Daß	w5_d303e9157
den	w7_d303e9160
22.	w9_d303e9163
Se.	w11_d303e9166
Hoch	w13_d303e9170
fürstl.	w1_d303e9175
Dutchleucht	w3_d303e9178
der	w5_d303e9181
nunmehro	w7_d303e9184
regierende	w9_d303e9187
Fürst	w1_d303e9192
von	w3_d303e9195
Schwarzburg=Sondershausen,	w5_d303e9198
Christian	w1_d303e9204
Günther,	w3_d303e9207
in	w5_d303e9210
Begleitung	w7_d303e9213
Dere	w9_d303e9216
Herrn	w1_d303e9221
Bruders,	w3_d303e9224
Prinz	w5_d303e9227
August,	w7_d303e9230
von	w9_d303e9233
Arnstadt	w11_d303e9236
allwo	w1_d303e9241
Dieselbe	w3_d303e9244
von	w5_d303e9247
Stadt	w7_d303e9250
und	w9_d303e9253
Land	w11_d303e9256
Besitz	w13_d303e9260
genommen,	w1_d303e9265
allda	w3_d303e9268
einige	w5_d303e9271
Täge	w7_d303e9274
sowol	w9_d303e9277
bey	w11_d303e9280
Dero	w1_d303e9286
Ankunft,	w3_d303e9289
als	w5_d303e9292
Abreise	w7_d303e9295
nach	w9_d303e9298
Sonders	w11_d303e9301
hausen,	w1_d303e9306
durch	w3_d303e9309
Abfeurung	w5_d303e9312
der	w7_d303e9315
Canonen	w9_d303e9318
salu	w11_d303e9321
tiret,	w1_d303e9326
auch	w3_d303e9329
währendem	w5_d303e9332
kurzen	w7_d303e9335
Aufenthalt	w9_d303e9338
mit	w1_d303e9343
Paradirung	w3_d303e9346
der	w5_d303e9349
Grenadiers	w7_d303e9352
beehret	w9_d303e9355
wor	w11_d303e9358
den	w1_d303e9364
seye.	w3_d303e9367
</p>
<p id="p20_d303e9370">
Die	w1_d303e9374
Briefe	w3_d303e9377
aus	w5_d303e9380
Prag	w7_d303e9383
bestättigen	w9_d303e9386
es,	w11_d303e9389
daß	w1_d303e9394
gegenwärtige	w3_d303e9397
Campagne	w5_d303e9400
ihr	w7_d303e9403
Endschaft	w9_d303e9406
erreichet	w1_d303e9411
habe.	w3_d303e9414
Der	w5_d303e9417
General=staab	w7_d303e9420
wird	w9_d303e9423
diesen	w1_d303e9429
Winter	w3_d303e9432
über,	w5_d303e9435
in	w7_d303e9438
dieser	w9_d303e9441
Stadt	w11_d303e9444
bleiben,	w13_d303e9448
und	w1_d303e9453
längs	w3_d303e9456
der	w5_d303e9459
Sächsischen	w7_d303e9462
Gränze	w9_d303e9465
von	w11_d303e9468
denen	w1_d303e9473
leichten	w3_d303e9476
Trupen	w5_d303e9479
ein	w7_d303e9482
starker	w9_d303e9485
Cordon	w11_d303e9488
gezogen	w1_d303e9493
werden.	w3_d303e9496
Der	w5_d303e9499
Herr	w7_d303e9502
General	w9_d303e9505
Harsch	w11_d303e9508
bleibet	w1_d303e9514
in	w3_d303e9517
dem	w5_d303e9520
König=grätzer	w7_d303e9523
Kreiß,	w9_d303e9526
der	w11_d303e9529
Herr	w13_d303e9533
General	w1_d303e9538
de	w3_d303e9541
Ville	w5_d303e9544
aber,	w7_d303e9547
wird	w9_d303e9550
theils	w11_d303e9553
in	w13_d303e9557
Ober	w15_d303e9560
schlesien,	w1_d303e9565
theils	w3_d303e9568
in	w5_d303e9571
Mähren	w7_d303e9574
cantonniren.	w9_d303e9577
Bis	w1_d303e9582
den	w3_d303e9585
29sten	w5_d303e9588
werden	w7_d303e9591
die	w9_d303e9594
meisten	w11_d303e9597
Regi	w13_d303e9601
menter	w1_d303e9607
der	w3_d303e9610
Reichs=armee	w5_d303e9613
bey	w7_d303e9616
Hof	w9_d303e9619
eintreffen,	w11_d303e9622
und	w1_d303e9627
zum	w3_d303e9630
Theil	w5_d303e9633
im	w7_d303e9636
Fränkischen	w9_d303e9639
die	w11_d303e9642
Quar	w13_d303e9646
tiere	w1_d303e9651
beziehen.	w3_d303e9654
Jndessen	w5_d303e9657
wird	w7_d303e9660
von	w9_d303e9663
letzterer	w11_d303e9666
Stadt	w1_d303e9671
bis	w3_d303e9674
Erfurt	w5_d303e9677
ein	w7_d303e9680
Cordon	w9_d303e9683
gezogen	w11_d303e9686
werden.	w1_d303e9692
</p>
<head id="h2_d303e9704">
Wien,	w1_d303e9708
den	w3_d303e9711
9.	w5_d303e9714
December	w7_d303e9717
1758.	w9_d303e9720
</head>
<p id="p4_d303e9723">
