<doc id="wr_1756-08-14" attrs="word" year="1756" month="08" day="14" corpus="2">
<head id="h2_d65e2587">
Extract=schreiben	w1_d65e2591
Fabrique	w7_d65e6317
zu	w9_d65e6320
St.	w11_d65e6323
Erienne,	w13_d65e6327
welche	w1_d65e6332
je	w3_d65e6335
mehr	w5_d65e6338
und	w7_d65e6341
mehr	w9_d65e6344
in	w11_d65e6347
Aufnahm	w13_d65e6351
kommt,	w15_d65e6354
hat	w1_d65e6359
zürzlich	w3_d65e6362
dem	w5_d65e6365
Herzoge	w7_d65e6368
de	w9_d65e6371
la	w11_d65e6374
Valliere	w13_d65e6378
eine	w1_d65e6383
Flinte	w3_d65e6386
überreichet,	w5_d65e6389
die	w7_d65e6392
alles	w9_d65e6395
das	w11_d65e6398
über	w13_d65e6402
trifft,	w1_d65e6408
was	w3_d65e6411
man	w5_d65e6414
in	w7_d65e6417
dieser	w9_d65e6420
Art	w11_d65e6423
jemals	w13_d65e6427
ge	w15_d65e6430
sehen	w1_d65e6435
hat.	w3_d65e6438
</p>
<head id="h2_d65e6445">
Marseille	w1_d65e6449
22.	w3_d65e6452
Julii.	w5_d65e6455
</head>
<p id="p4_d65e6458">
Diejenige	w1_d65e6462
Schiffe,	w3_d65e6465
welche	w5_d65e6468
uns	w7_d65e6471
die	w9_d65e6474
Eng	w11_d65e6477
länder	w1_d65e6482
weggenommen,	w3_d65e6485
und	w5_d65e6488
nacher	w7_d65e6491
Portma	w9_d65e6494
hon	w1_d65e6499
eingebracht	w3_d65e6502
hatten,	w5_d65e6505
langen	w7_d65e6508
nach	w9_d65e6511
und	w11_d65e6514
nach	w13_d65e6518
alhier	w1_d65e6524
an,	w3_d65e6527
und	w5_d65e6530
verursachen	w7_d65e6533
bey	w9_d65e6536
denen	w11_d65e6539
Eigen	w13_d65e6543
thümern	w1_d65e6548
eine	w3_d65e6551
überaus	w5_d65e6554
grosse	w7_d65e6557
Freude.	w9_d65e6560
Der	w11_d65e6563
Herr	w1_d65e6568
Marschall	w3_d65e6571
von	w5_d65e6574
Richelicu,	w7_d65e6577
welcher	w9_d65e6580
Ge	w11_d65e6583
stern	w1_d65e6588
von	w3_d65e6591
Toulon	w5_d65e6594
alhier	w7_d65e6597
eingetroffen,	w9_d65e6600
ist,	w11_d65e6603
gleich	w13_d65e6607
wie	w1_d65e6613
zu	w3_d65e6616
Toulon	w5_d65e6619
sehr	w7_d65e6622
prächtig	w9_d65e6625
empfangen	w11_d65e6628
wor	w13_d65e6632
den,	w1_d65e6637
und	w3_d65e6640
unter	w5_d65e6643
andern	w7_d65e6646
hat	w9_d65e6649
das	w11_d65e6652
Corps	w13_d65e6656
der	w15_d65e6659
Handels=leuten	w1_d65e6664
sich	w3_d65e6667
dabey	w5_d65e6670
ziemlich	w7_d65e6673
hervor	w9_d65e6676
ge	w11_d65e6679
than,	w1_d65e6684
und	w3_d65e6687
bey	w5_d65e6690
gedachtem	w7_d65e6693
Herrn	w9_d65e6696
Marschall	w11_d65e6699
bey	w1_d65e6705
dieser	w3_d65e6708
Gelegenheit,	w5_d65e6711
die	w7_d65e6714
Glückwünschungs	w9_d65e6717
complimenten	w1_d65e6722
abgeleget.	w3_d65e6725
Wie	w5_d65e6728
man	w7_d65e6731
versi	w9_d65e6734
chert,	w1_d65e6739
wird	w3_d65e6742
sich	w5_d65e6745
mehr=bemeldter	w7_d65e6748
Herr	w9_d65e6751
Mar	w11_d65e6754
schall	w1_d65e6759
von	w3_d65e6762
Richelieu	w5_d65e6765
nicht	w7_d65e6768
nacher	w9_d65e6771
Genua,	w11_d65e6774
sondern	w1_d65e6780
nacher	w3_d65e6783
Genf	w5_d65e6786
begeben,	w7_d65e6789
um	w9_d65e6792
sich	w11_d65e6795
alda	w13_d65e6799
bey	w1_d65e6804
dem	w3_d65e6807
berühmten	w5_d65e6810
Herrn	w7_d65e6813
Doctor	w9_d65e6816
Tronchin,	w11_d65e6819
welcher	w1_d65e6824
von	w3_d65e6827
Versailles	w5_d65e6830
wieder	w7_d65e6833
zuruck	w9_d65e6836
gekom	w11_d65e6839
men	w1_d65e6844
über	w3_d65e6847
seine	w5_d65e6850
Unpäßlichkeit	w7_d65e6853
Rahts	w9_d65e6856
zu	w11_d65e6859
erho	w13_d65e6863
len,	w1_d65e6869
und	w3_d65e6872
zugleich	w5_d65e6875
dem	w7_d65e6878
Herrn	w9_d65e6881
von	w11_d65e6884
Vollaire	w13_d65e6888
in	w15_d65e6891
seinem	w1_d65e6896
in	w3_d65e6899
dortiger	w5_d65e6902
Gegend	w7_d65e6905
liegenden	w9_d65e6908
Lust	w11_d65e6911
schloß	w1_d65e6916
einen	w3_d65e6919
Besuch	w5_d65e6922
abzustatten.	w7_d65e6925
</p>
<head id="h2_d65e6931">
Aus	w1_d65e6935
Niederland.	w3_d65e6938
Haag	w1_d65e6943
23.	w3_d65e6946
Julii.	w5_d65e6949
</head>
<p id="p4_d65e6952">
Von	w1_d65e6956
Londen	w3_d65e6959
ist	w5_d65e6962
unterm	w7_d65e6965
16	w9_d65e6968
dieses	w11_d65e6971
fol	w13_d65e6975
gendes	w1_d65e6980
geschrieben	w3_d65e6983
worden:	w5_d65e6986
Der	w7_d65e6989
Königl.	w9_d65e6992
Hof	w1_d65e6997
hat	w3_d65e7000
Nachricht	w5_d65e7003
erhalten,	w7_d65e7006
daß	w9_d65e7009
die	w11_d65e7012
Fran	w13_d65e7016
zosen	w1_d65e7022
Völker	w3_d65e7025
eingeschiffet	w5_d65e7028
haben,	w7_d65e7031
welche	w9_d65e7034
man	w11_d65e7037
vermuthet,	w1_d65e7042
daß	w3_d65e7045
sie	w5_d65e7048
gegen	w7_d65e7051
hiesige	w9_d65e7054
Lande	w11_d65e7057
be	w13_d65e7061
stimmet	w1_d65e7066
seyen.	w3_d65e7069
Die	w5_d65e7072
Zurüstungen,	w7_d65e7075
welche	w9_d65e7078
sie	w11_d65e7081
anderwärts	w1_d65e7086
machen,	w3_d65e7089
geben	w5_d65e7092
zu	w7_d65e7095
erkennen,	w9_d65e7098
daß	w11_d65e7101
ste	w1_d65e7107
gesinnet	w3_d65e7110
seyen,	w5_d65e7113
an	w7_d65e7116
mehr	w9_d65e7119
dann	w11_d65e7122
einem	w13_d65e7126
Ort	w15_d65e7129
anzuländen:	w1_d65e7134
Demnach	w3_d65e7137
haben	w5_d65e7140
alle	w7_d65e7143
unsere	w9_d65e7146
Völker,	w1_d65e7151
sowol	w3_d65e7154
national	w5_d65e7157
als	w7_d65e7160
fremde,	w9_d65e7163
Befehl,	w11_d65e7166
sich	w1_d65e7171
bis	w3_d65e7174
künftige	w5_d65e7177
Woche	w7_d65e7180
in	w9_d65e7183
denen	w11_d65e7186
Lägern	w13_d65e7190
ein	w15_d65e7193
zufinden.	w1_d65e7199
Jhro	w3_d65e7202
Majestät	w5_d65e7205
haben	w7_d65e7208
eine	w9_d65e7211
sehr	w11_d65e7214
zahlreiche	w1_d65e7219
Artillerie	w3_d65e7222
nach	w5_d65e7225
Clapham	w7_d65e7228
und	w9_d65e7231
an	w11_d65e7234
dern	w1_d65e7239
Orten	w3_d65e7242
von	w5_d65e7245
hier	w7_d65e7248
abführen	w9_d65e7251
lassen.	w11_d65e7254
Man	w13_d65e7258
</p>
<p id="p6_d65e7261">
ergreiffet	w1_d65e7265
alle	w3_d65e7268
nur	w5_d65e7271
ersinnliche	w7_d65e7274
Maas=regeln,	w9_d65e7277
einem	w1_d65e7282
Uberfall	w3_d65e7285
vorzukommen,	w5_d65e7288
so	w7_d65e7291
daß	w9_d65e7294
solcher,	w11_d65e7297
wo	w1_d65e7302
er	w3_d65e7305
je	w5_d65e7308
geschehen	w7_d65e7311
thäte,	w9_d65e7314
vielen	w11_d65e7317
zum	w13_d65e7321
Unglück	w15_d65e7324
dienen	w1_d65e7330
dörfte.	w3_d65e7333
Man	w5_d65e7336
erwartet	w7_d65e7339
zu	w9_d65e7342
vernehmen,	w11_d65e7345
wie	w1_d65e7350
die	w3_d65e7353
zwey	w5_d65e7356
Unternemmungen	w7_d65e7359
in	w9_d65e7362
America,	w11_d65e7365
und	w1_d65e7370
zwar	w3_d65e7373
die	w5_d65e7376
erste	w7_d65e7379
gegen	w9_d65e7382
Crown	w11_d65e7385
Point	w13_d65e7389
mit	w15_d65e7392
8000.	w1_d65e7397
Mann,	w3_d65e7400
und	w5_d65e7403
die	w7_d65e7406
andere	w9_d65e7409
mit	w11_d65e7412
5000.	w13_d65e7416
Mann	w1_d65e7422
gegen	w3_d65e7425
Niagara,	w5_d65e7428
abgeloffen	w7_d65e7431
seyn.	w9_d65e7434
Diejenige,	w1_d65e7439
welche	w3_d65e7442
von	w5_d65e7445
denen	w7_d65e7448
Sachen	w9_d65e7451
in	w11_d65e7454
Ame	w13_d65e7458
rica	w1_d65e7463
die	w3_d65e7466
genaueste	w5_d65e7469
Nachrichten	w7_d65e7472
haben,	w9_d65e7475
ver	w11_d65e7478
sichern,	w1_d65e7483
daß	w3_d65e7486
die	w5_d65e7489
Franzosen	w7_d65e7492
uns	w9_d65e7495
an	w11_d65e7498
Macht	w13_d65e7502
alda	w1_d65e7508
überlegen:	w3_d65e7511
man	w5_d65e7514
hoffet	w7_d65e7517
aber,	w9_d65e7520
daß	w11_d65e7523
nach	w13_d65e7527
der	w1_d65e7532
Ankunft	w3_d65e7535
des	w5_d65e7538
Lords	w7_d65e7541
Loudoun	w9_d65e7544
und	w11_d65e7547
dessen	w13_d65e7551
gemachten	w1_d65e7556
Einrichtungen,	w3_d65e7559
die	w5_d65e7562
Engländer	w7_d65e7565
dannoch	w1_d65e7570
die	w3_d65e7573
Oberhand	w5_d65e7576
erhalten	w7_d65e7579
werden.	w9_d65e7582
Der	w11_d65e7585
Verlust	w1_d65e7591
von	w3_d65e7594
Port=mahon	w5_d65e7597
rühret	w7_d65e7600
die	w9_d65e7603
Englän	w11_d65e7606
dische	w1_d65e7611
Nation	w3_d65e7614
nicht	w5_d65e7617
minder,	w7_d65e7620
als	w9_d65e7623
ehemals	w11_d65e7626
der	w13_d65e7630
Verlust	w1_d65e7635
von	w3_d65e7638
Calais;	w5_d65e7641
doch	w7_d65e7644
trösten	w9_d65e7647
sich	w11_d65e7650
einige	w13_d65e7654
noch	w1_d65e7659
damit,	w3_d65e7662
daß	w5_d65e7665
sie	w7_d65e7668
sagen,	w9_d65e7671
die	w11_d65e7674
Nation	w13_d65e7678
er	w15_d65e7681
spahre	w1_d65e7687
hiedurch	w3_d65e7690
jährlich	w5_d65e7693
60.	w7_d65e7696
tausend	w9_d65e7699
Pfund	w11_d65e7702
Sterling,	w1_d65e7707
welche	w3_d65e7710
darauf	w5_d65e7713
verwendet	w7_d65e7716
worden.	w9_d65e7719
Die	w1_d65e7724
Herren	w3_d65e7727
Staaten	w5_d65e7730
von	w7_d65e7733
Holland	w9_d65e7736
haben	w11_d65e7739
in	w13_d65e7743
Dero	w1_d65e7748
Versammlung	w3_d65e7751
beschlossen,	w5_d65e7754
daß	w7_d65e7757
von	w9_d65e7760
benen	w1_d65e7766
zwölf	w3_d65e7769
Kriegs=schiffen,	w5_d65e7772
welche	w7_d65e7775
der	w9_d65e7778
Staats=raht	w1_d65e7783
in	w3_d65e7786
Dero	w5_d65e7789
Petition	w7_d65e7792
begehret,	w9_d65e7795
acht	w11_d65e7798
sollen	w1_d65e7803
erbauet	w3_d65e7806
werden.	w5_d65e7809
Die	w7_d65e7812
Herren	w9_d65e7815
Staaten	w11_d65e7818
seyn	w1_d65e7823
auch	w3_d65e7826
über	w5_d65e7829
die	w7_d65e7832
der	w9_d65e7835
Kron	w11_d65e7838
von	w13_d65e7842
Großbrit	w15_d65e7845
tannien	w1_d65e7851
zu	w3_d65e7854
ertheilenden	w5_d65e7857
Antwort	w7_d65e7860
nicht	w9_d65e7863
einig.	w11_d65e7866
Der	w1_d65e7871
Obrist	w3_d65e7874
Yorck	w5_d65e7877
ware	w7_d65e7880
gesinnet,	w9_d65e7883
auf	w11_d65e7886
dieselbe	w13_d65e7890
schriftlich	w1_d65e7895
anzudringen,	w3_d65e7898
man	w5_d65e7901
hat	w7_d65e7904
ihm	w9_d65e7907
aber	w11_d65e7910
solches	w1_d65e7915
abgerathen,	w3_d65e7918
weilen	w5_d65e7921
es	w7_d65e7924
von	w9_d65e7927
einer	w11_d65e7930
widrigen	w1_d65e7936
Würckung	w3_d65e7939
seyn	w5_d65e7942
dörfte.	w7_d65e7945
Da	w9_d65e7948
nun	w11_d65e7951
Minorca	w1_d65e7956
für	w3_d65e7959
England	w5_d65e7962
verlohren,	w7_d65e7965
so	w9_d65e7968
richtet	w11_d65e7971
man	w1_d65e7976
alle	w3_d65e7979
Aufmercksamkeit	w5_d65e7982
auf	w7_d65e7985
die	w9_d65e7988
Bewegun	w11_d65e7991
gen	w1_d65e7996
und	w3_d65e7999
Gesinnungen	w5_d65e8002
verschiedener	w7_d65e8005
hohen	w9_d65e8008
Höfen,	w1_d65e8014
und	w3_d65e8017
besonders	w5_d65e8020
von	w7_d65e8023
Spanien.	w9_d65e8026
</p>
<head id="h2_d65e8032">
Haag	w1_d65e8036
23.	w3_d65e8039
Julii.	w5_d65e8042
</head>
<p id="p4_d65e8045">
Seit	w1_d65e8049
dem	w3_d65e8052
14	w5_d65e8055
dieses	w7_d65e8058
haben	w9_d65e8061
15000.	w11_d65e8064
Mann	w13_d65e8068
Französische	w1_d65e8073
Truppen	w3_d65e8076
das	w5_d65e8079
in	w7_d65e8082
der	w9_d65e8085
Gegend	w11_d65e8088
von	w13_d65e8092
Dünkirchen	w1_d65e8097
abgesteckte	w3_d65e8100
Lager	w5_d65e8103
zu	w7_d65e8106
beziehen	w9_d65e8109
an	w11_d65e8112
gefangen.	w1_d65e8118
Die	w3_d65e8121
Arbeit	w5_d65e8124
zur	w7_d65e8127
Herstellung	w9_d65e8130
derer	w11_d65e8133
Schleussen,	w1_d65e8138
mit	w3_d65e8141
Aussäuberung	w5_d65e8144
des	w7_d65e8147
Hafens	w9_d65e8150
von	w1_d65e8155
Dünkirchen,	w3_d65e8158
wird	w5_d65e8161
mit	w7_d65e8164
äuserstem	w9_d65e8167
Fleiß	w11_d65e8170
vortgesetzet,	w1_d65e8175
und	w3_d65e8178
man	w5_d65e8181
will,	w7_d65e8184
daß	w9_d65e8187
ein	w11_d65e8190
fester	w13_d65e8194
Fund	w1_d65e8200
von	w3_d65e8203
8.	w5_d65e8206
Millionen	w7_d65e8209
ausgefunden	w9_d65e8212
seye,	w11_d65e8215
um	w1_d65e8220
dieses	w3_d65e8223
völlige	w5_d65e8226
Werck	w7_d65e8229
zur	w9_d65e8232
Ausführung	w11_d65e8235
zu	w13_d65e8239
bringen.	w1_d65e8244
Man	w3_d65e8247
versichert	w5_d65e8250
darnehen,	w7_d65e8253
daß	w9_d65e8256
eine	w11_d65e8259
dergleichen	w1_d65e8264
Geld=summa	w3_d65e8267
gebraucht	w5_d65e8270
werden	w7_d65e8273
solle	w1_d65e8279
um	w3_d65e8282
den	w5_d65e8285
Hafen	w7_d65e8288
Hogue	w9_d65e8291
in	w11_d65e8294
der	w13_d65e8298
Norman	w15_d65e8301
</p>
<p id="p10_d65e8314">
die	w1_d65e8318
zur	w3_d65e8321
Bedeckung	w5_d65e8324
der	w7_d65e8327
grösten	w9_d65e8330
Flotten	w11_d65e8333
in	w13_d65e8337
Stand	w1_d65e8342
zu	w3_d65e8345
stellen.	w5_d65e8348
Die	w7_d65e8351
Nachrichten	w9_d65e8354
aus	w11_d65e8357
Flan	w13_d65e8361
dern,	w1_d65e8366
bemercken,	w3_d65e8369
daß	w5_d65e8372
aus	w7_d65e8375
den	w9_d65e8378
Französischen	w11_d65e8381
Häfen	w1_d65e8387
verschiedene	w3_d65e8390
Frey=beuter	w5_d65e8393
ausgelauffen,	w7_d65e8396
um	w1_d65e8401
auf	w3_d65e8404
die	w5_d65e8407
Schiffe	w7_d65e8410
zu	w9_d65e8413
streiffen,	w11_d65e8416
welche	w13_d65e8420
Engl.	w15_d65e8423
Flaggen	w1_d65e8428
führen,	w3_d65e8431
und	w5_d65e8434
sich	w7_d65e8437
einige	w9_d65e8440
deren	w11_d65e8443
bereits	w13_d65e8447
auf	w1_d65e8452
der	w3_d65e8455
Höhe	w5_d65e8458
deren	w7_d65e8461
Holländischen	w9_d65e8464
Küsten	w11_d65e8467
sehen	w1_d65e8473
lassen,	w3_d65e8476
wo	w5_d65e8479
einer	w7_d65e8482
unter	w9_d65e8485
ihnen	w11_d65e8488
sich	w13_d65e8492
von	w15_d65e8495
einer	w1_d65e8500
Engländischen	w3_d65e8503
Brigantine,	w5_d65e8506
so	w7_d65e8509
von	w9_d65e8512
H	w1_d65e8517
levoetsluys	w3_d65e8520
abgegangen,	w5_d65e8523
Meister	w7_d65e8526
ge	w9_d65e8529
macht,	w1_d65e8534
und	w3_d65e8537
sie	w5_d65e8540
in	w7_d65e8543
einen	w9_d65e8546
Hafen	w11_d65e8549
von	w13_d65e8553
Frankreich	w15_d65e8556
eingebracht.	w1_d65e8562
Eine	w3_d65e8565
Französische	w5_d65e8568
Barque	w7_d65e8571
hat	w9_d65e8574
sich	w1_d65e8579
bis	w3_d65e8582
an	w5_d65e8585
den	w7_d65e8588
Texel	w9_d65e8591
gewagt,	w11_d65e8594
und	w13_d65e8598
am	w15_d65e8601
20.	w17_d65e8604
dieses	w1_d65e8609
allda	w3_d65e8612
ein	w5_d65e8615
Engländisches	w7_d65e8618
von	w9_d65e8621
Neu	w11_d65e8624
Yorck	w1_d65e8629
gekommenes	w3_d65e8632
Schif	w5_d65e8635
aufgehoben;	w7_d65e8638
es	w9_d65e8641
verlautet	w1_d65e8647
aber,	w3_d65e8650
daß	w5_d65e8653
dieses	w7_d65e8656
Schif	w9_d65e8659
für	w11_d65e8662
die	w13_d65e8666
Rechnung	w1_d65e8671
der	w3_d65e8674
Holländer	w5_d65e8677
gemiethet	w7_d65e8680
gewesen	w9_d65e8683
seye.	w1_d65e8688
</p>
<head id="h2_d65e8694">
Stockholm	w1_d65e8698
23.	w3_d65e8701
Julii.	w5_d65e8704
</head>
<head id="h2_d65e8710">
Aus	w1_d65e8714
Schweden.	w3_d65e8717
</head>
<p id="p4_d65e8720">
Am	w1_d65e8724
17.	w3_d65e8727
dieses	w5_d65e8730
waren,	w7_d65e8733
wie	w9_d65e8736
heut	w11_d65e8739
vor	w13_d65e8743
8.	w15_d65e8746
Tagen	w1_d65e8751
zum	w3_d65e8754
voraus	w5_d65e8757
ist	w7_d65e8760
vermeldet	w9_d65e8763
worden,	w11_d65e8766
die	w13_d65e8770
Hochlöbl.	w1_d65e8775
Reichs=stände	w3_d65e8778
in	w5_d65e8781
plenis	w7_d65e8784
versamm	w9_d65e8787
let;	w1_d65e8793
da	w3_d65e8796
dann	w5_d65e8799
nach	w7_d65e8802
einer	w9_d65e8805
genauen	w11_d65e8808
Bebrüffung	w13_d65e8812
aller,	w1_d65e8817
wegen	w3_d65e8820
der	w5_d65e8823
Delinquenten	w7_d65e8826
zu	w9_d65e8829
erwegen	w11_d65e8832
den	w1_d65e8837
Umständen,	w3_d65e8840
dieselben	w5_d65e8843
aus	w7_d65e8846
den	w9_d65e8849
von	w11_d65e8852
dem	w13_d65e8856
resp.	w1_d65e8861
Actore	w3_d65e8864
der	w5_d65e8867
Commißion	w7_d65e8870
angezogenen	w9_d65e8873
Stellen,	w1_d65e8879
aus	w3_d65e8882
den	w5_d65e8885
Fundamental	w7_d65e8888
und	w9_d65e8891
allge	w11_d65e8894
meinen	w1_d65e8899
Reichs=gesetzen,	w3_d65e8902
klar	w5_d65e8905
und	w7_d65e8908
deutlich	w9_d65e8911
fun	w11_d65e8914
den,	w1_d65e8919
daß	w3_d65e8922
das	w5_d65e8925
über	w7_d65e8928
die	w9_d65e8931
Verurtheilten	w11_d65e8934
am	w13_d65e8938
16.	w15_d65e8941
dieses	w1_d65e8946
gefällte	w3_d65e8949
Todes=urtheil	w5_d65e8952
auf	w7_d65e8955
keinerley	w9_d65e8958
Art	w1_d65e8964
und	w3_d65e8967
Weise	w5_d65e8970
verändert	w7_d65e8973
werden	w9_d65e8976
könnte.	w11_d65e8979
Es	w13_d65e8983
ward	w1_d65e8988
daher	w3_d65e8991
auch	w5_d65e8994
dieses	w7_d65e8997
über	w9_d65e9000
8.	w11_d65e9003
Personen	w13_d65e9007
gesprochene	w1_d65e9012
Todes=urtheil	w3_d65e9015
von	w5_d65e9018
allen	w7_d65e9021
4.	w9_d65e9024
Reichs	w11_d65e9027
ständen	w1_d65e9032
confirmiret.	w3_d65e9035
Es	w5_d65e9038
ist	w7_d65e9041
sowol	w9_d65e9044
in	w11_d65e9047
Anse	w13_d65e9051
hung	w1_d65e9057
der	w3_d65e9060
gegenwärtigen	w5_d65e9063
als	w7_d65e9066
auch	w9_d65e9069
vielleicht	w11_d65e9072
in	w1_d65e9077
der	w3_d65e9080
zukünftigen	w5_d65e9083
Zeit	w7_d65e9086
so	w9_d65e9089
merkwürdig,	w11_d65e9092
daß	w13_d65e9096
der	w1_d65e9101
Jnhalt	w3_d65e9104
desselben	w5_d65e9107
allerdings	w7_d65e9110
verdienet	w9_d65e9113
ge	w11_d65e9116
lesen	w1_d65e9121
zu	w3_d65e9124
werden;	w5_d65e9127
zumalen	w7_d65e9130
da	w9_d65e9133
derselbe	w11_d65e9136
auf	w13_d65e9140
solche	w1_d65e9146
Art,	w3_d65e9149
als	w5_d65e9152
der	w7_d65e9155
hiebey	w9_d65e9158
aus	w11_d65e9161
der	w13_d65e9165
Reichs	w15_d65e9168
tags=zeitung	w1_d65e9173
mitgetheilet	w3_d65e9176
wird	w5_d65e9179
von	w7_d65e9182
den	w9_d65e9185
Reichs=ständen	w1_d65e9190
selbst	w3_d65e9193
hier	w5_d65e9196
ist	w7_d65e9199
bekannt	w9_d65e9202
gema	w11_d65e9205
chet	w1_d65e9210
worden.	w3_d65e9213
Am	w5_d65e9216
18.	w7_d65e9219
dieses	w9_d65e9222
begab	w11_d65e9225
sich	w13_d65e9229
der	w15_d65e9232
König	w1_d65e9238
mit	w3_d65e9241
seiner	w5_d65e9244
Königlichen	w7_d65e9247
Familie	w9_d65e9250
nach	w11_d65e9253
Ulrichsdahl,	w1_d65e9258
und	w3_d65e9261
hat	w5_d65e9264
auch	w7_d65e9267
seit	w9_d65e9270
der	w11_d65e9273
Zeit	w13_d65e9277
sich	w15_d65e9280
in	w1_d65e9285
hiesiger	w3_d65e9288
Residenz	w5_d65e9291
nicht	w7_d65e9294
eingefunden.	w9_d65e9297
Seit	w11_d65e9300
dem	w1_d65e9305
Eingange	w3_d65e9308
dieser	w5_d65e9311
Woche	w7_d65e9314
ist	w9_d65e9317
die	w11_d65e9320
Commis	w13_d65e9324
sion	w1_d65e9330
der	w3_d65e9333
Reichs=stände	w5_d65e9336
mit	w7_d65e9339
der	w9_d65e9342
zur	w11_d65e9345
Execution	w13_d65e9349
der	w1_d65e9354
verurtheilten	w3_d65e9357
Personen	w5_d65e9360
erforderlichen	w7_d65e9363
An	w9_d65e9366
stalten	w1_d65e9371
beschäftiget	w3_d65e9374
gewesen,	w5_d65e9377
und	w7_d65e9380
an	w9_d65e9383
dem	w11_d65e9386
</p>
<p id="p6_d65e9389">
heutigen	w1_d65e9393
Tage	w3_d65e9396
ist	w5_d65e9399
die	w7_d65e9402
Execution	w9_d65e9405
an	w11_d65e9408
den	w13_d65e9412
Gra	w15_d65e9415
fen	w1_d65e9420
Brahe,	w3_d65e9423
Baron	w5_d65e9426
Horn,	w7_d65e9429
Capt.	w9_d65e9432
Stähl	w11_d65e9435
schwerd	w1_d65e9440
und	w3_d65e9443
Pucke	w5_d65e9446
würklich	w7_d65e9449
vollzogen	w9_d65e9452
worden,	w11_d65e9455
indem	w1_d65e9461
sie	w3_d65e9464
mit	w5_d65e9467
einem	w7_d65e9470
Beil	w9_d65e9473
auf	w11_d65e9476
dem	w13_d65e9480
offenen	w15_d65e9483
Platz	w1_d65e9488
des	w3_d65e9491
Ritterholms	w5_d65e9494
in	w7_d65e9497
hiesiger	w9_d65e9500
Stadt	w11_d65e9503
zwischen	w1_d65e9508
9.	w3_d65e9511
und	w5_d65e9514
10.	w7_d65e9517
Uhr	w9_d65e9520
Vormittags	w11_d65e9523
seynd	w13_d65e9527
enthauptet	w1_d65e9532
worden.	w3_d65e9535
Der	w5_d65e9538
Baron	w7_d65e9541
Horn	w9_d65e9544
war	w11_d65e9547
der	w1_d65e9553
Erste,	w3_d65e9556
darauf	w5_d65e9559
folgte	w7_d65e9562
der	w9_d65e9565
Graf	w11_d65e9568
Brahe,	w13_d65e9572
und	w1_d65e9577
sodann	w3_d65e9580
die	w5_d65e9583
beyden	w7_d65e9586
übrigen.	w9_d65e9589
Alle	w11_d65e9592
4.	w13_d65e9596
Per	w15_d65e9599
sonen	w1_d65e9604
haben	w3_d65e9607
ihr	w5_d65e9610
Verbrechen	w7_d65e9613
ernstlich	w9_d65e9616
bereuet,	w11_d65e9619
und	w1_d65e9624
sich	w3_d65e9627
zu	w5_d65e9630
ihrem	w7_d65e9633
Tode	w9_d65e9636
christlich	w11_d65e9639
zubereitet:	w13_d65e9643
Die	w1_d65e9649
Reichs=stände,	w3_d65e9652
welche	w5_d65e9655
sich	w7_d65e9658
einzig	w9_d65e9661
und	w11_d65e9664
allein	w1_d65e9669
an	w3_d65e9672
der	w5_d65e9675
Bestraffung	w7_d65e9678
der	w9_d65e9681
Missethat	w11_d65e9684
be	w13_d65e9688
gnüget,	w1_d65e9693
haben	w3_d65e9696
den	w5_d65e9699
Familien	w7_d65e9702
der	w9_d65e9705
beyden	w11_d65e9708
er	w13_d65e9712
sten	w1_d65e9717
Enthaupteten	w3_d65e9720
frey	w5_d65e9723
gelassen,	w7_d65e9726
ihre	w9_d65e9729
Anver	w11_d65e9732
wandten	w1_d65e9738
zu	w3_d65e9741
begraben,	w5_d65e9744
sie	w7_d65e9747
wurden	w9_d65e9750
deswe	w11_d65e9753
gen	w1_d65e9758
sofort	w3_d65e9761
nach	w5_d65e9764
der	w7_d65e9767
Enthauptung	w9_d65e9770
durch	w11_d65e9773
ihre	w13_d65e9777
Bediente	w1_d65e9782
in	w3_d65e9785
Särge	w5_d65e9788
geleget,	w7_d65e9791
und	w9_d65e9794
nach	w11_d65e9797
dem	w13_d65e9801
auf	w1_d65e9806
dem	w3_d65e9809
Ritterholm	w5_d65e9812
belegenen	w7_d65e9815
Gräfl.	w9_d65e9818
Bra	w11_d65e9821
hischen	w1_d65e9827
Hause	w3_d65e9830
gebracht,	w5_d65e9833
von	w7_d65e9836
wannen	w9_d65e9839
sie	w11_d65e9842
heu	w13_d65e9846
te	w1_d65e9851
Abends	w3_d65e9854
nach	w5_d65e9857
ihren	w7_d65e9860
Gütern	w9_d65e9863
sollen	w11_d65e9866
abgefüh	w13_d65e9870
ret	w1_d65e9875
werden.	w3_d65e9878
Pukes	w5_d65e9881
Mutter,	w7_d65e9884
welche	w9_d65e9887
alhier	w11_d65e9890
lebet,	w1_d65e9895
hat	w3_d65e9898
auch	w5_d65e9901
für	w7_d65e9904
eine	w9_d65e9907
anständige	w11_d65e9910
Beehrdi	w13_d65e9914
gung	w1_d65e9920
ihres	w3_d65e9923
Sohns	w5_d65e9926
Sorge	w7_d65e9929
getragen.	w9_d65e9932
Stähl	w11_d65e9935
schwerd	w1_d65e9940
aber	w3_d65e9943
ist	w5_d65e9946
in	w7_d65e9949
solcher	w9_d65e9952
Armut	w11_d65e9955
gestorben,	w13_d65e9959
und	w1_d65e9964
wegen	w3_d65e9967
der	w5_d65e9970
Grösse	w7_d65e9973
seines	w9_d65e9976
Verbrechens	w11_d65e9979
von	w1_d65e9984
seinen	w3_d65e9987
