<doc id="wr_1758-03-01" attrs="word" year="1758" month="03" day="01" corpus="2">
<head id="h2_d222e2673">
Lüneburg	w1_d222e2677
sich	w5_d222e6309
unter	w7_d222e6312
dem	w9_d222e6315
Bedinge	w11_d222e6318
angeben,	w13_d222e6322
daß	w1_d222e6327
sie	w3_d222e6330
nicht	w5_d222e6333
wider	w7_d222e6336
ihre	w9_d222e6339
Lands=leute,	w11_d222e6342
sondern	w13_d222e6346
nur	w1_d222e6351
wider	w3_d222e6354
Oesterreich	w5_d222e6357
und	w7_d222e6360
Schweden	w9_d222e6363
dienen	w11_d222e6366
wollen.	w1_d222e6371
So	w3_d222e6374
bald	w5_d222e6377
es	w7_d222e6380
die	w9_d222e6383
Witterung	w11_d222e6386
erlaubt,	w13_d222e6390
sollen	w1_d222e6396
auf	w3_d222e6399
denen	w5_d222e6402
in	w7_d222e6405
denen	w9_d222e6408
hiesigen	w11_d222e6411
Festungs	w13_d222e6415
werken	w1_d222e6420
ausgesuchten	w3_d222e6423
Plätzen	w5_d222e6426
grosse	w7_d222e6429
Buden	w9_d222e6432
er	w11_d222e6435
bauet	w1_d222e6440
werden,	w3_d222e6443
um	w5_d222e6446
die	w7_d222e6449
gefangene	w9_d222e6452
kranke	w11_d222e6455
Franzosen	w1_d222e6460
da	w3_d222e6463
hinein	w5_d222e6466
zu	w7_d222e6469
bringen.	w9_d222e6472
</p>
<head id="h2_d222e6478">
Frankfort	w1_d222e6482
17.	w3_d222e6485
Februarii.	w5_d222e6488
</head>
<p id="p4_d222e6491">
Gestern	w1_d222e6495
Abend	w3_d222e6498
gegen	w5_d222e6501
8.	w7_d222e6504
Uhr	w9_d222e6507
kamen	w11_d222e6510
des	w13_d222e6514
Prinzens	w1_d222e6519
von	w3_d222e6522
Soubise	w5_d222e6525
Durchl.	w7_d222e6528
in	w9_d222e6531
der	w11_d222e6534
Stille	w13_d222e6538
alhier	w1_d222e6543
an,	w3_d222e6546
in	w5_d222e6549
ihrer	w7_d222e6552
Gesellschaft	w9_d222e6555
befanden	w11_d222e6558
sich	w13_d222e6562
der	w1_d222e6568
Herr	w3_d222e6571
General=major,	w5_d222e6574
Marquis	w7_d222e6577
von	w9_d222e6580
Lu	w11_d222e6583
geac,	w1_d222e6588
nebst	w3_d222e6591
dem	w5_d222e6594
Marquis	w7_d222e6597
von	w9_d222e6600
Calimcourt	w11_d222e6603
und	w1_d222e6608
Ritter	w3_d222e6611
Saxefiel.	w5_d222e6614
Sie	w7_d222e6617
geruheten,	w9_d222e6620
bey	w11_d222e6623
Sr.	w13_d222e6627
Hoch=fürstl.	w1_d222e6632
Durchl.	w3_d222e6635
dem	w5_d222e6638
Herrn	w7_d222e6641
Land=grafen	w9_d222e6644
von	w1_d222e6650
Hessen=Rothenburg	w3_d222e6653
einen	w5_d222e6656
kurzen	w7_d222e6659
Besuch	w9_d222e6662
abzulegen,	w1_d222e6667
und	w3_d222e6670
nach	w5_d222e6673
einer	w7_d222e6676
eingenommenen	w9_d222e6679
Collation	w1_d222e6684
in	w3_d222e6687
dem	w5_d222e6690
Richterischen	w7_d222e6693
Garten,	w9_d222e6696
setz	w11_d222e6699
ten	w1_d222e6704
sie	w3_d222e6707
dero	w5_d222e6710
Reise	w7_d222e6713
weiter	w9_d222e6716
fort,	w11_d222e6719
als	w13_d222e6723
sie	w15_d222e6726
vorher	w1_d222e6732
dem	w3_d222e6735
Herrn	w5_d222e6738
von	w7_d222e6741
Lorges	w9_d222e6744
Gehör	w11_d222e6747
gege	w13_d222e6751
ben,	w1_d222e6756
der	w3_d222e6759
von	w5_d222e6762
Hanau	w7_d222e6765
hieher	w9_d222e6768
gekommen	w11_d222e6771
war	w13_d222e6775
wegen	w1_d222e6780
der	w3_d222e6783
Umstände	w5_d222e6786
dasiger	w7_d222e6789
Stadt	w9_d222e6792
dero	w11_d222e6795
Ordres	w1_d222e6800
einzuholen.	w3_d222e6803
Es	w5_d222e6806
haben	w7_d222e6809
würklich	w9_d222e6812
die	w11_d222e6815
30.	w1_d222e6821
Battaillons	w3_d222e6824
Französischer	w5_d222e6827
Militz	w7_d222e6830
in	w9_d222e6833
dem	w11_d222e6836
Elsaß	w1_d222e6841
den	w3_d222e6844
Anfang	w5_d222e6847
gemacht,	w7_d222e6850
nach	w9_d222e6853
und	w11_d222e6856
nach	w13_d222e6860
in	w1_d222e6865
das	w3_d222e6868
Teutsche	w5_d222e6871
Gebiet	w7_d222e6874
zu	w9_d222e6877
defiliren.	w11_d222e6880
</p>
<head id="h2_d222e6886">
Berlin	w1_d222e6890
14.	w3_d222e6893
Februarii.	w5_d222e6896
</head>
<p id="p4_d222e6899">
Vor	w1_d222e6903
einigen	w3_d222e6906
Tagen	w5_d222e6909
kamen	w7_d222e6912
Jhre	w9_d222e6915
Königl	w11_d222e6918
Hoheit	w1_d222e6923
die	w3_d222e6926
Prinzeßin	w5_d222e6929
Amalia,	w7_d222e6932
aus	w9_d222e6935
Breslau	w11_d222e6938
in	w1_d222e6943
erwünschtem	w3_d222e6946
Wolseyn	w5_d222e6949
alhier	w7_d222e6952
an.	w9_d222e6955
Dieser	w11_d222e6958
Tagen	w1_d222e6964
traffe	w3_d222e6967
der	w5_d222e6970
General=leutenant	w7_d222e6973
von	w9_d222e6976
der	w11_d222e6979
Jnfanterie,	w1_d222e6984
Herr	w3_d222e6987
von	w5_d222e6990
Meyerink,	w7_d222e6993
aus	w9_d222e6996
Schle	w11_d222e6999
sien	w1_d222e7004
wieder	w3_d222e7007
in	w5_d222e7010
hiesiger	w7_d222e7013
Stadt	w9_d222e7016
ein.	w11_d222e7019
Des	w13_d222e7023
gleichen	w1_d222e7028
seynd	w3_d222e7031
Se.	w5_d222e7034
Königl.	w7_d222e7037
Hoheit,	w9_d222e7040
der	w11_d222e7043
Prinz	w13_d222e7047
und	w1_d222e7053
Marggraf	w3_d222e7056
von	w5_d222e7059
Schwedt,	w7_d222e7062
von	w9_d222e7065
hier	w11_d222e7068
nach	w13_d222e7072
Schwedt	w1_d222e7077
abgereiset.	w3_d222e7080
</p>
<head id="h2_d222e7087">
Grodno	w1_d222e7091
16.	w3_d222e7094
Februarii.	w5_d222e7097
</head>
<p id="p4_d222e7100">
Die	w1_d222e7104
neuesten	w3_d222e7107
Briefe	w5_d222e7110
aus	w7_d222e7113
Danzig	w9_d222e7116
versichern,	w11_d222e7119
daß	w1_d222e7124
allem	w3_d222e7127
Ansehen	w5_d222e7130
zufolge,	w7_d222e7133
der	w9_d222e7136
Marsch	w11_d222e7139
de	w13_d222e7143
ren	w1_d222e7148
Rußischen	w3_d222e7151
Trupen	w5_d222e7154
nach	w7_d222e7157
Pommern	w9_d222e7160
nicht	w11_d222e7163
lange	w1_d222e7169
mehr	w3_d222e7172
verschohen	w5_d222e7175
bleiben	w7_d222e7178
werde.	w9_d222e7181
Die	w11_d222e7184
Regimenter,	w1_d222e7189
aus	w3_d222e7192
welchen	w5_d222e7195
diesfältige	w7_d222e7198
Colon	w9_d222e7201
ne	w1_d222e7206
bestehen	w3_d222e7209
soll,	w5_d222e7212
ziehen	w7_d222e7215
sich	w9_d222e7218
bereits	w11_d222e7221
bis	w13_d222e7225
an	w15_d222e7228
die	w1_d222e7233
Weichsel	w3_d222e7236
Riesenburg	w5_d222e7239
und	w7_d222e7242
Marienwerder	w9_d222e7245
im	w1_d222e7251
Hokerlande,	w3_d222e7254
wo	w5_d222e7257
ehemals	w7_d222e7260
das	w9_d222e7263
Preußische	w11_d222e7266
Holstein-Gottorpische	w1_d222e7271
Dragoner=regiment	w3_d222e7274
seine	w1_d222e7279
Stand=quartiere	w3_d222e7282
hatte,	w5_d222e7285
sind	w7_d222e7288
durch	w9_d222e7291
die	w11_d222e7294
Russen	w1_d222e7299
gleichfalls	w3_d222e7302
besetzt,	w5_d222e7305
und	w7_d222e7308
diese	w9_d222e7311
sind	w11_d222e7314
ninmehro	w1_d222e7320
von	w3_d222e7323
dem	w5_d222e7326
ganzen	w7_d222e7329
Königreich	w9_d222e7332
Preus	w11_d222e7335
sen	w1_d222e7340
Meister.	w3_d222e7343
Die	w5_d222e7346
Einwohner	w7_d222e7349
von	w9_d222e7352
Königs	w11_d222e7355
berg	w1_d222e7360
haben	w3_d222e7363
sämmtlich	w5_d222e7366
den	w7_d222e7369
Wert	w9_d222e7372
ihrer	w11_d222e7375
Hau	w13_d222e7379
ser	w1_d222e7384
und	w3_d222e7387
anderer	w5_d222e7390
eigentümlichen	w7_d222e7393
Effecten	w9_d222e7396
an	w11_d222e7399
geben	w1_d222e7405
müssen.	w3_d222e7408
Einige	w5_d222e7411
Beamte	w7_d222e7414
sollen	w9_d222e7417
ihrer	w11_d222e7420
Bedienung	w1_d222e7425
entsetzet	w3_d222e7428
worden	w5_d222e7431
seyn.	w7_d222e7434
Die	w9_d222e7437
nach	w11_d222e7440
Danzig,	w1_d222e7445
Elbingen,	w3_d222e7448
und	w5_d222e7451
anderer	w7_d222e7454
Orten	w9_d222e7457
ge	w11_d222e7460
stüchtete	w1_d222e7465
Edelleute	w3_d222e7468
und	w5_d222e7471
Bürger,	w7_d222e7474
sind,	w9_d222e7477
wie	w11_d222e7480
einige	w1_d222e7486
Briefe	w3_d222e7489
melden,	w5_d222e7492
bey	w7_d222e7495
Straffe	w9_d222e7498
der	w11_d222e7501
Ein	w13_d222e7505
ziehung	w1_d222e7510
ihrer	w3_d222e7513
Güter	w5_d222e7516
und	w7_d222e7519
anderweiter	w9_d222e7522
Ahn	w11_d222e7525
dung	w1_d222e7530
in	w3_d222e7533
einem	w5_d222e7536
ihnen	w7_d222e7539
anberaumten	w9_d222e7542
Termit	w11_d222e7545
wieder	w1_d222e7550
ins	w3_d222e7553
Land	w5_d222e7556
zu	w7_d222e7559
ihren	w9_d222e7562
Haabseeligkeiten	w11_d222e7565
und	w1_d222e7571
Gütern	w3_d222e7574
zurück	w5_d222e7577
beruffen	w7_d222e7580
worden	w9_d222e7583
Die	w11_d222e7586
Nachrichten	w1_d222e7591
aus	w3_d222e7594
Pommern	w5_d222e7597
vom	w7_d222e7600
6,	w9_d222e7603
dieses	w11_d222e7606
enthalten	w1_d222e7611
nichts	w3_d222e7614
sonderliches.	w5_d222e7617
Beyde	w7_d222e7620
Vor	w9_d222e7623
posten	w1_d222e7628
stehen	w3_d222e7631
einander	w5_d222e7634
bey	w7_d222e7637
Stralsund	w9_d222e7640
so	w11_d222e7643
na	w13_d222e7647
he,	w1_d222e7653
daß	w3_d222e7656
sie	w5_d222e7659
mit	w7_d222e7662
einander	w9_d222e7665
sprechen	w11_d222e7668
können.	w13_d222e7672
Die	w1_d222e7677
Preußische	w3_d222e7680
Armee	w5_d222e7683
selbst	w7_d222e7686
aber	w9_d222e7689
hat	w11_d222e7692
sich	w13_d222e7696
in	w1_d222e7701
Form	w3_d222e7704
eines	w5_d222e7707
halben	w7_d222e7710
Cirkels	w9_d222e7713
um	w11_d222e7716
diese	w13_d222e7720
Stadt	w1_d222e7725
ausgebreitet.	w3_d222e7728
Obgleich	w5_d222e7731
die	w7_d222e7734
Schwe	w9_d222e7737
dische	w1_d222e7743
Garn	w3_d222e7746
son	w5_d222e7749
sehr	w7_d222e7752
enge	w9_d222e7755
eingeschlossen	w11_d222e7758
ist,	w13_d222e7762
so	w1_d222e7767
fehlt	w3_d222e7770
es	w5_d222e7773
ihr	w7_d222e7776
doch	w9_d222e7779
an	w11_d222e7782
keinen	w13_d222e7786
Lebensmit	w15_d222e7789
teln.	w1_d222e7794
Man	w3_d222e7797
hört	w5_d222e7800
nichts	w7_d222e7803
mehr	w9_d222e7806
von	w11_d222e7809
einem	w13_d222e7813
Bombardement,	w1_d222e7818
und	w3_d222e7821
mit	w5_d222e7824
der	w7_d222e7827
Landung	w9_d222e7830
auß	w11_d222e7833
die	w1_d222e7839
Jnsel	w3_d222e7842
Rügen	w5_d222e7845
ist	w7_d222e7848
es	w9_d222e7851
gleichfals	w11_d222e7854
stille.	w13_d222e7858
</p>
<head id="h2_d222e7864">
Londen	w1_d222e7868
11.	w3_d222e7871
Februarii.	w5_d222e7874
</head>
<p id="p4_d222e7877">
Jn	w1_d222e7881
dem	w3_d222e7884
Pallast	w5_d222e7887
zu	w7_d222e7890
St.	w9_d222e7893
James	w11_d222e7896
daurer	w13_d222e7900
die	w1_d222e7905
hohe	w3_d222e7908
Rahts=versammlungen	w5_d222e7911
bestnd	w7_d222e7914
</p>
<p id="p10_d222e7927">
fort.	w1_d222e7931
Man	w3_d222e7934
weiß,	w5_d222e7937
daß	w7_d222e7940
ihr	w9_d222e7943
Gegenstand,	w11_d222e7946
blos	w13_d222e7950
die	w1_d222e7955
Teutschen	w3_d222e7958
Umstände	w5_d222e7961
betrifft,	w7_d222e7964
dann	w9_d222e7967
die	w11_d222e7970
Ame	w13_d222e7974
ricanischen	w1_d222e7979
sind	w3_d222e7982
in	w5_d222e7985
völliger	w7_d222e7988
Richtigkeit	w9_d222e7991
und	w11_d222e7994
sollen	w1_d222e8000
unverzüglich	w3_d222e8003
zur	w5_d222e8006
Ausführung	w7_d222e8009
gebracht	w9_d222e8012
werden.	w1_d222e8017
Da	w3_d222e8020
andere	w5_d222e8023
Mächte	w7_d222e8026
ihre	w9_d222e8029
Bündnüsse	w11_d222e8032
erneuert,	w1_d222e8037
und	w3_d222e8040
noch	w5_d222e8043
mehr	w7_d222e8046
eingeschränkt	w9_d222e8049
haben	w11_d222e8052
so	w1_d222e8057
ist	w3_d222e8060
solches	w5_d222e8063
auch	w7_d222e8066
von	w9_d222e8069
unserm	w11_d222e8072
und	w13_d222e8076
dem	w15_d222e8079
Ber	w17_d222e8082
liner=hofe	w1_d222e8088
geschehen;	w3_d222e8091
beyde	w5_d222e8094
wollen	w7_d222e8097
die	w9_d222e8100
letzte	w11_d222e8103
Kräfte	w1_d222e8108
aufopfern	w3_d222e8111
bis	w5_d222e8114
ihre	w7_d222e8117
überheerte	w9_d222e8120
Staa	w11_d222e8123
ten	w1_d222e8128
von	w3_d222e8131
denen	w5_d222e8134
Feinden	w7_d222e8137
befreyet	w9_d222e8140
sind.	w11_d222e8143
Nach	w13_d222e8147
allen	w1_d222e8152
angewandten	w3_d222e8155
Bemühungen	w5_d222e8158
bey	w7_d222e8161
denen	w9_d222e8164
Herren	w1_d222e8170
General=staaten,	w3_d222e8173
hat	w5_d222e8176
man	w7_d222e8179
sie	w9_d222e8182
nicht	w11_d222e8185
auf	w1_d222e8190
unsere	w3_d222e8193
Seite	w5_d222e8196
bringen	w7_d222e8199
können;	w9_d222e8202
es	w11_d222e8205
schei	w13_d222e8209
net,	w1_d222e8214
daß	w3_d222e8217
sie	w5_d222e8220
durchaus	w7_d222e8223
bey	w9_d222e8226
der	w11_d222e8229
Neutralität	w13_d222e8233
beharren	w1_d222e8238
wollen;	w3_d222e8241
ihre	w5_d222e8244
Erklärungen	w7_d222e8247
sind	w9_d222e8250
über	w11_d222e8253
diesen	w1_d222e8259
Punct	w3_d222e8262
uns	w5_d222e8265
mehr	w7_d222e8268
als	w9_d222e8271
zu	w11_d222e8274
deutlich.	w13_d222e8278
Den	w15_d222e8281
6.	w1_d222e8286
dieses	w3_d222e8289
ist	w5_d222e8292
der	w7_d222e8295
Admiral	w9_d222e8298
Boscawen	w11_d222e8301
nach	w13_d222e8305
Portsmut	w1_d222e8310
abgegangen,	w3_d222e8313
wo	w5_d222e8316
er	w7_d222e8319
das	w9_d222e8322
Comman	w11_d222e8325
do	w1_d222e8330
der	w3_d222e8333
nach	w5_d222e8336
America	w7_d222e8339
bestimmten	w9_d222e8342
grossen	w11_d222e8345
Flotte	w1_d222e8351
übernihmt;	w3_d222e8354
es	w5_d222e8357
bestehet	w7_d222e8360
selbige	w9_d222e8363
in	w11_d222e8366
19.	w13_d222e8370
Schiffen	w1_d222e8375
von	w3_d222e8378
der	w5_d222e8381
Linie,	w7_d222e8384
ohne	w9_d222e8387
Fregatten,	w11_d222e8390
vie	w13_d222e8394
len	w1_d222e8399
Kriegs=Chaloupen,	w3_d222e8402
Bombardiergallio	w5_d222e8405
ten,	w1_d222e8410
Brandern,	w3_d222e8413
und	w5_d222e8416
Transport=fahrzeugen.	w7_d222e8419
Das	w1_d222e8425
zweyte	w3_d222e8428
Commando	w5_d222e8431
führet	w7_d222e8434
der	w9_d222e8437
Admiral	w11_d222e8440
Knowles,	w1_d222e8445
und	w3_d222e8448
diese	w5_d222e8451
zwey	w7_d222e8454
Herren	w9_d222e8457
sind	w11_d222e8460
so,	w13_d222e8464
wie	w15_d222e8467
der	w1_d222e8472
Admiral	w3_d222e8475
Forbes	w5_d222e8478
aus	w7_d222e8481
Vice=admirälen	w9_d222e8484
der	w11_d222e8487
roten	w1_d222e8492
Escadre	w3_d222e8495
zu	w5_d222e8498
Admirälen	w7_d222e8501
der	w9_d222e8504
blauen	w11_d222e8507
er	w13_d222e8511
nannt.	w1_d222e8517
Der	w3_d222e8520
Admiral	w5_d222e8523
Hollbourne	w7_d222e8526
wird	w9_d222e8529
die	w11_d222e8532
Escadre	w1_d222e8537
führen,	w3_d222e8540
welche	w5_d222e8543
in	w7_d222e8546
West=indien	w9_d222e8549
eine	w11_d222e8552
geheime	w1_d222e8557
Unternehmung	w3_d222e8560
wagen	w5_d222e8563
soll;	w7_d222e8566
und	w9_d222e8569
der	w11_d222e8572
Admiral	w1_d222e8577
Hawke	w3_d222e8580
wird	w5_d222e8583
im	w7_d222e8586
Mittländischen	w9_d222e8589
Meere	w1_d222e8595
das	w3_d222e8598
Ober=commando	w5_d222e8601
haben.	w7_d222e8604
Der	w9_d222e8607
Chef	w1_d222e8612
der	w3_d222e8615
Escadre	w5_d222e8618
Edgecumbe	w7_d222e8621
hat	w9_d222e8624
sich	w11_d222e8627
auch	w13_d222e8631
nach	w15_d222e8634
Portsmouth	w1_d222e8639
begeben,	w3_d222e8642
um	w5_d222e8645
mit	w7_d222e8648
einer	w9_d222e8651
andern	w11_d222e8654
Escadre	w1_d222e8659
unter	w3_d222e8662
Seegel	w5_d222e8665
zu	w7_d222e8668
gehen.	w9_d222e8671
Man	w11_d222e8674
sagt	w13_d222e8678
von	w1_d222e8684
selbiger,	w3_d222e8687
daß	w5_d222e8690
sie	w7_d222e8693
die	w9_d222e8696
Elbe	w11_d222e8699
berühren	w13_d222e8703
wer	w15_d222e8706
de.	w1_d222e8711
Auch	w3_d222e8714
heist	w5_d222e8717
es	w7_d222e8720
noch	w9_d222e8723
immer,	w11_d222e8726
daß	w13_d222e8730
man	w15_d222e8733
im	w17_d222e8736
Früh=jahr	w1_d222e8741
eine	w3_d222e8744
Landung	w5_d222e8747
auf	w7_d222e8750
die	w9_d222e8753
Französische	w11_d222e8756
Küste	w1_d222e8761
vorhabe.	w3_d222e8764
</p>
<head id="h2_d222e8770">
Kurz=gefaßte	w1_d222e8774
Nachrichten.	w3_d222e8777
Es	w1_d222e8782
geben	w3_d222e8785
die	w5_d222e8788
frischeste	w7_d222e8791
Briefe	w9_d222e8794
</head>
<p id="p4_d222e8797">
Von	w1_d222e8801
Stockholm:	w3_d222e8804
daß	w5_d222e8807
abermalen	w7_d222e8810
12000.	w1_d222e8815
Mann	w3_d222e8818
frische	w5_d222e8821
Schwedische	w7_d222e8824
Trupen	w9_d222e8827
Ordre	w1_d222e8832
empfangen	w3_d222e8835
haben,	w5_d222e8838
nacher	w7_d222e8841
Pommern	w9_d222e8844
aufzubrechen,	w1_d222e8850
und	w3_d222e8853
die	w5_d222e8856
unter	w7_d222e8859
Commando	w9_d222e8862
des	w11_d222e8865
Herrn	w1_d222e8870
Generals	w3_d222e8873
von	w5_d222e8876
Rosen	w7_d222e8879
stehende	w9_d222e8882
Armee	w11_d222e8885
zu	w1_d222e8890
verstärken.	w3_d222e8893
</p>
<p id="p6_d222e8896">
Von	w1_d222e8900
Bremen:	w3_d222e8903
daß	w5_d222e8906
der	w7_d222e8909
allda	w9_d222e8912
comman	w11_d222e8915
dierende	w1_d222e8920
Französische	w3_d222e8923
General	w5_d222e8926
Herzog	w7_d222e8929
von	w9_d222e8932
Broglio,	w1_d222e8937
welcher	w3_d222e8940
durch	w5_d222e8943
seinen	w7_d222e8946
ausnehmen	w9_d222e8949
den	w1_d222e8955
Betrag	w3_d222e8958
einen	w5_d222e8961
ganz	w7_d222e8964
sonderbaren	w9_d222e8967
Ruhm	w11_d222e8970
sich	w1_d222e8975
zugezogen,	w3_d222e8978
von	w5_d222e8981
seinem	w7_d222e8984
Hof	w9_d222e8987
den	w11_d222e8990
Befehl	w13_d222e8994
erhalten	w1_d222e8999
habe,	w3_d222e9002
zu	w5_d222e9005
dem	w7_d222e9008
nacher	w9_d222e9011
Böheim	w11_d222e9014
be	w13_d222e9018
stimten	w1_d222e9023
Französischen	w3_d222e9026
Auxiliar=corps	w5_d222e9029
sich	w7_d222e9032
zu	w9_d222e9035
verfügen.	w1_d222e9041
</p>
<p id="p8_d222e9044">
Von	w1_d222e9048
Stralsund:	w3_d222e9051
daß	w5_d222e9054
der	w7_d222e9057
allda	w9_d222e9060
com	w11_d222e9063
mandierende	w1_d222e9068
Schwedische	w3_d222e9071
General	w5_d222e9074
von	w7_d222e9077
Rosen	w9_d222e9080
sowol	w1_d222e9085
daselbst,	w3_d222e9088
als	w5_d222e9091
auf	w7_d222e9094
der	w9_d222e9097
Jnsul	w11_d222e9100
Rügen,	w13_d222e9104
solche	w1_d222e9110
Anstalten	w3_d222e9113
gemacht	w5_d222e9116
habe,	w7_d222e9119
vermög	w9_d222e9122
wel	w11_d222e9125
chen	w1_d222e9130
von	w3_d222e9133
allem,	w5_d222e9136
was	w7_d222e9139
an	w9_d222e9142
Seite	w11_d222e9145
deren	w13_d222e9149
Preus	w15_d222e9152
sen	w1_d222e9157
allda	w3_d222e9160
unternommen	w5_d222e9163
werden	w7_d222e9166
wolte,	w9_d222e9169
sich	w11_d222e9172
keine	w1_d222e9177
Sorge	w3_d222e9180
mehr	w5_d222e9183
zu	w7_d222e9186
machen	w9_d222e9189
wäre,	w11_d222e9192
da	w13_d222e9196
un	w15_d222e9199
ter	w1_d222e9205
andern,	w3_d222e9208
die	w5_d222e9211
aus	w7_d222e9214
Schweden	w9_d222e9217
allda	w11_d222e9220
anhof	w13_d222e9224
fende	w1_d222e9229
Verstärkung	w3_d222e9232
gesichert	w5_d222e9235
abzuwarten,	w7_d222e9238
nichtes	w1_d222e9243
in	w3_d222e9246
dem	w5_d222e9249
Weeg	w7_d222e9252
stünde.	w9_d222e9255
</p>
<p id="p10_d222e9258">
Von	w1_d222e9262
Londen:	w3_d222e9265
Daß	w5_d222e9268
vermög	w7_d222e9271
deren	w9_d222e9274
gros	w11_d222e9277
sen	w1_d222e9282
zur	w3_d222e9285
See	w5_d222e9288
daselbst	w7_d222e9291
vorkehrenden	w9_d222e9294
Ausrüstun	w11_d222e9297
gen	w1_d222e9302
man	w3_d222e9305
sich	w5_d222e9308
zum	w7_d222e9311
Voraus	w9_d222e9314
schmeichle,	w11_d222e9317
nicht	w13_d222e9321
nur	w15_d222e9324
die	w1_d222e9330
Festung	w3_d222e9333
Ludwigsburg	w5_d222e9336
in	w7_d222e9339
America,	w9_d222e9342
sondern	w11_d222e9345
auch	w1_d222e9350
die	w3_d222e9353
Jnsul	w5_d222e9356
Cap=breton	w7_d222e9359
von	w9_d222e9362
denen	w11_d222e9365
Franzosen	w13_d222e9369
zu	w1_d222e9374
erobern,	w3_d222e9377
bevor	w5_d222e9380
daß	w7_d222e9383
diese	w9_d222e9386
noch	w11_d222e9389
in	w13_d222e9393
dem	w15_d222e9396
Stand	w17_d222e9399
seyn	w1_d222e9404
würden,	w3_d222e9407
so	w5_d222e9410
ein	w7_d222e9413
als	w9_d222e9416
anderen	w11_d222e9419
Orts	w13_d222e9423
in	w15_d222e9426
die	w17_d222e9429
behörige	w1_d222e9435
Vertheidigung	w3_d222e9438
sich	w5_d222e9441
zu	w7_d222e9444
setzen.	w9_d222e9447
Wie	w11_d222e9450
weit	w1_d222e9455
aber	w3_d222e9458
nun	w5_d222e9461
diese	w7_d222e9464
Rechnung	w9_d222e9467
eintreffen,	w11_d222e9470
oder	w1_d222e9475
fehl	w3_d222e9478
schlagen	w5_d222e9481
werde,	w7_d222e9484
müsse	w9_d222e9487
die	w11_d222e9490
Zeit	w13_d222e9494
lehren.	w15_d222e9497
</p>
<p id="p12_d222e9501">
Von	w1_d222e9505
Paris:	w3_d222e9508
Daß	w5_d222e9511
der	w7_d222e9514
Bischof	w9_d222e9517
Herzog	w11_d222e9520
von	w1_d222e9525
Laon	w3_d222e9528
bereits	w5_d222e9531
bey	w7_d222e9534
dem	w9_d222e9537
König	w11_d222e9540
sich	w13_d222e9544
beurlau	w15_d222e9547
bet	w1_d222e9552
habe,	w3_d222e9555
um	w5_d222e9558
nacher	w7_d222e9561
Rom	w9_d222e9564
abzugehen,	w11_d222e9567
und	w13_d222e9571
al	w15_d222e9574
da	w1_d222e9580
die	w3_d222e9583
Königl.	w5_d222e9586
Französische	w7_d222e9589
Bottschafters	w9_d222e9592
würde	w1_d222e9597
anzutretten.	w3_d222e9600
</p>
<p id="p14_d222e9603">
Von	w1_d222e9607
Neapel:	w3_d222e9610
Daß	w5_d222e9613
der	w7_d222e9616
König	w9_d222e9619
beyder	w11_d222e9622
Sicilien	w1_d222e9627
unter	w3_d222e9630
allen	w5_d222e9633
seinen	w7_d222e9636
Trupen	w9_d222e9639
eine	w11_d222e9642
Gene	w13_d222e9646
ral=musterung	w1_d222e9651
vornehmen	w3_d222e9654
lassen	w5_d222e9657
habe,	w7_d222e9660
indeme	w9_d222e9663
Se.	w1_d222e9669
Majestät	w3_d222e9672
entschlossen	w5_d222e9675
wären,	w7_d222e9678
solche	w9_d222e9681
mit	w11_d222e9684
Anfang	w1_d222e9689
des	w3_d222e9692
anrückenden	w5_d222e9695
Frühlings	w7_d222e9698
unabgän	w9_d222e9701
gig	w1_d222e9706
beysammen	w3_d222e9709
zu	w5_d222e9712
sehen.	w7_d222e9715
</p>
<p id="p16_d222e9718">
Von	w1_d222e9722
Regenspurg:	w3_d222e9725
daß	w5_d222e9728
allda	w7_d222e9731
vor	w9_d222e9734
wenig	w11_d222e9737
Tagen	w1_d222e9742
in	w3_d222e9745
Commitiis	w5_d222e9748
ein	w7_d222e9751
Chur=sächsisches	w9_d222e9754
Gesandtschafts=Pro=memoria	w1_d222e9759
vom	w3_d222e9762
31.	w5_d222e9765
Jan.	w7_d222e9768
vorgekommen	w1_d222e9774
seye,	w3_d222e9777
welches	w5_d222e9780
dem	w7_d222e9783
Churbran	w9_d222e9786
denburgischen	w1_d222e9791
vom	w3_d222e9794
1.	w5_d222e9797
Derember	w7_d222e9800
in	w9_d222e9803
Betref	w11_d222e9806
des	w1_d222e9811
Zustands	w3_d222e9814
in	w5_d222e9817
Chur=sachsen	w7_d222e9820
entgegen	w9_d222e9823
ge	w11_d222e9826
setzet	w1_d222e9831
ist.	w3_d222e9834
</p>
<p id="p18_d222e9837">
Dasselbe	w1_d222e9841
enthält	w3_d222e9844
unter	w5_d222e9847
andern	w7_d222e9850
wegen	w9_d222e9853
der	w11_d222e9856
aus	w1_d222e9861
dem	w3_d222e9864
Königlich	w5_d222e9867
Dresdnischen	w7_d222e9870
geheimen	w9_d222e9873
Cabinet	w1_d222e9878
entkommenen	w3_d222e9881
Briefschaften	w5_d222e9884
und	w7_d222e9887
Ur	w9_d222e9890
kunden	w1_d222e9896
folgende	w3_d222e9899
Aneedote:	w5_d222e9902
</p>
<p id="p24_d222e9916">
„Der	w1_d222e9920
Chur=sächsische	w3_d222e9923
Cabinets=canzellist	w5_d222e9926
„Menzel	w1_d222e9931
wurde	w3_d222e9934
den	w5_d222e9937
24.	w7_d222e9940
