<doc id="wr_1761-07-25" attrs="word" year="1761" month="07" day="25" corpus="2">
<head id="h2_d572e3011">
Umständliche	w1_d572e3015
und	w5_d572e6668
in	w7_d572e6671
dortiger	w9_d572e6674
Gegend	w11_d572e6677
eine	w1_d572e6683
starke	w3_d572e6686
Canonade,	w5_d572e6689
welche	w7_d572e6692
man	w9_d572e6695
zwi	w11_d572e6698
schen	w1_d572e6703
beyderseitigen	w3_d572e6706
Avaut=garden	w5_d572e6709
vorge	w7_d572e6712
fallen	w1_d572e6717
zu	w3_d572e6720
sey	w5_d572e6723
vermuthet,	w7_d572e6726
gehöret	w9_d572e6729
worden.	w11_d572e6732
Journal	w1_d572e6737
der	w3_d572e6740
Königl.	w5_d572e6743
Französischen	w7_d572e6746
</p>
<head id="h2_d572e6752">
Armee	w1_d572e6756
unter	w3_d572e6759
dem	w5_d572e6762
Hrn.	w7_d572e6765
Marschall	w9_d572e6768
Prinzen	w1_d572e6773
von	w3_d572e6776
Soubise,	w5_d572e6779
vom	w7_d572e6782
1.	w9_d572e6785
bis	w1_d572e6790
auf	w3_d572e6793
den	w5_d572e6796
8.	w7_d572e6799
Julii.	w9_d572e6802
</head>
<p id="p4_d572e6805">
Nachdeme	w1_d572e6809
die	w3_d572e6812
Feinde	w5_d572e6815
durch	w7_d572e6818
sehr	w9_d572e6821
viele	w11_d572e6824
Recognoscirungen	w1_d572e6829
einen	w3_d572e6832
Angrif	w5_d572e6835
in	w7_d572e6838
unserem	w9_d572e6841
Lager	w1_d572e6846
bey	w3_d572e6849
Unna	w5_d572e6852
vermuten	w7_d572e6855
liessen,	w9_d572e6858
so	w11_d572e6861
ent	w13_d572e6865
schlossen	w1_d572e6871
sie	w3_d572e6874
sich	w5_d572e6877
in	w7_d572e6880
der	w9_d572e6883
Nacht	w11_d572e6886
von	w13_d572e6890
dem	w15_d572e6893
1.	w17_d572e6896
auf	w1_d572e6901
den	w3_d572e6904
2.	w5_d572e6907
dieses	w7_d572e6910
aufzubrechen.	w9_d572e6913
</p>
<p id="p6_d572e6916">
Früh	w1_d572e6920
um	w3_d572e6923
4.	w5_d572e6926
Uhr	w7_d572e6929
konnte	w9_d572e6932
man	w11_d572e6935
ganz	w13_d572e6939
deut	w15_d572e6942
lich	w1_d572e6947
ihren	w3_d572e6950
Abzug,	w5_d572e6953
und	w7_d572e6956
zwar	w9_d572e6959
in	w11_d572e6962
4.	w13_d572e6966
Colonnen	w15_d572e6969
sehen,	w1_d572e6974
doch,	w3_d572e6977
wegen	w5_d572e6980
des	w7_d572e6983
neblichten	w9_d572e6986
Wetters,	w11_d572e6989
ware	w1_d572e6995
nicht	w3_d572e6998
wol	w5_d572e7001
thunlich,	w7_d572e7004
ihre	w9_d572e7007
Bestimmung	w11_d572e7010
zu	w1_d572e7015
beobachten.	w3_d572e7018
Auf	w5_d572e7021
die	w7_d572e7024
hiervon	w9_d572e7027
eingelang	w11_d572e7030
te	w1_d572e7035
Berichte,	w3_d572e7038
liesse	w5_d572e7041
der	w7_d572e7044
Hr.	w9_d572e7047
Marschall	w11_d572e7050
von	w13_d572e7054
Soubise,	w1_d572e7059
den	w3_d572e7062
Hrn.	w5_d572e7065
Grafen	w7_d572e7068
d'Apchon	w9_d572e7071
mit	w11_d572e7074
ei	w13_d572e7078
ner	w1_d572e7084
Kriegs=schaar	w3_d572e7087
abgehen,	w5_d572e7090
um	w7_d572e7093
die	w9_d572e7096
feindli	w11_d572e7099
chen	w1_d572e7104
Colonnen	w3_d572e7107
längs	w5_d572e7110
der	w7_d572e7113
Sirsecke	w9_d572e7116
einem	w11_d572e7119
kleinen	w1_d572e7124
Bach,	w3_d572e7127
der	w5_d572e7130
von	w7_d572e7133
Kamen	w9_d572e7136
nach	w11_d572e7139
Lühnen	w13_d572e7143
fließt,	w1_d572e7148
zu	w3_d572e7151
begleiten.	w5_d572e7154
Die	w7_d572e7157
Feinde	w9_d572e7160
haiten	w11_d572e7163
Kriegs=völker	w1_d572e7169
in	w3_d572e7172
verschiedenen	w5_d572e7175
Häusern	w7_d572e7178
jen	w9_d572e7181
seits	w1_d572e7186
des	w3_d572e7189
Flusses	w5_d572e7192
versteckt.	w7_d572e7195
Er	w9_d572e7198
ließ	w11_d572e7201
solche	w13_d572e7205
angreiffen,	w1_d572e7210
er	w3_d572e7213
verjagte	w5_d572e7216
sie	w7_d572e7219
mit	w9_d572e7222
einigem	w11_d572e7225
Verlust,	w1_d572e7230
und	w3_d572e7233
machte	w5_d572e7236
Kriegs=gefangene.	w7_d572e7239
Die	w1_d572e7245
Freywilligen	w3_d572e7248
giengen	w5_d572e7251
jenseits	w7_d572e7254
der	w9_d572e7257
Brü	w11_d572e7260
cke,	w1_d572e7265
so	w3_d572e7268
die	w5_d572e7271
Feinde	w7_d572e7274
bey	w9_d572e7277
ihrem	w11_d572e7280
Zurückzuge	w13_d572e7284
ab	w15_d572e7287
gebrochen	w1_d572e7292
hatten,	w3_d572e7295
sie	w5_d572e7298
stunden	w7_d572e7301
aber	w9_d572e7304
gleich	w11_d572e7307
Anfangs	w1_d572e7312
bey	w3_d572e7315
dem	w5_d572e7318
Brücken=joch	w7_d572e7321
ein	w9_d572e7324
hefti	w11_d572e7327
ges	w1_d572e7333
Feuer	w3_d572e7336
aus;	w5_d572e7339
daselbst	w7_d572e7342
wurde	w9_d572e7345
der	w11_d572e7348
Herr	w13_d572e7352
von	w1_d572e7357
Pedemont	w3_d572e7360
erschossen,	w5_d572e7363
der	w7_d572e7366
Hr.	w9_d572e7369
von	w11_d572e7372
Cla	w13_d572e7376
mousse	w1_d572e7381
verwundet	w3_d572e7384
und	w5_d572e7387
gefangen;	w7_d572e7390
der	w9_d572e7393
Hr.	w11_d572e7396
von	w1_d572e7401
Poncet	w3_d572e7404
aber,	w5_d572e7407
von	w7_d572e7410
dem	w9_d572e7413
Regiment	w11_d572e7416
la	w13_d572e7420
Couronne,	w1_d572e7426
der	w3_d572e7429
Majors=dienste	w5_d572e7432
thale,	w7_d572e7435
ge	w9_d572e7438
</p>
<p id="p12_d572e7452">
tödtet.	w1_d572e7456
Das	w3_d572e7459
Unglück	w5_d572e7462
dieser	w7_d572e7465
Officiers	w9_d572e7468
ist	w11_d572e7471
desto	w1_d572e7476
Beklagens=würdiger,	w3_d572e7479
da	w5_d572e7482
man	w7_d572e7485
kaum	w9_d572e7488
20.	w1_d572e7493
getödtete	w3_d572e7496
oder	w5_d572e7499
verwundete	w7_d572e7502
Soldaten	w9_d572e7505
zählete.	w1_d572e7511
</p>
<p id="p14_d572e7514">
Den	w1_d572e7518
3ten	w3_d572e7521
liesse	w5_d572e7524
der	w7_d572e7527
Hr.	w9_d572e7530
Marschall	w11_d572e7533
die	w13_d572e7537
Armee	w1_d572e7542
marschiren,	w3_d572e7545
sie	w5_d572e7548
setzte	w7_d572e7551
sich	w9_d572e7554
Abends	w11_d572e7557
um	w13_d572e7561
4.	w1_d572e7566
Uhr	w3_d572e7569
in	w5_d572e7572
Bewegung.	w7_d572e7575
Endlich	w9_d572e7578
lagerte	w11_d572e7581
sie	w13_d572e7585
sich	w1_d572e7591
zu	w3_d572e7594
Hemerden,	w5_d572e7597
da	w7_d572e7600
langte	w9_d572e7603
sie	w11_d572e7606
vor	w13_d572e7610
der	w15_d572e7613
Nacht	w1_d572e7618
an.	w3_d572e7621
</p>
<p id="p16_d572e7624">
Den	w1_d572e7628
4.	w3_d572e7631
setzte	w5_d572e7634
sie	w7_d572e7637
ihren	w9_d572e7640
Zug	w11_d572e7643
nach	w13_d572e7647
Werl	w15_d572e7650
fort.	w1_d572e7655
Der	w3_d572e7658
Hr.	w5_d572e7661
Marquis	w7_d572e7664
von	w9_d572e7667
Vogue,	w11_d572e7670
der	w13_d572e7674
das	w1_d572e7679
Hinter=treffen	w3_d572e7682
anführte,	w5_d572e7685
wurde	w7_d572e7688
sehr	w9_d572e7691
frühe	w1_d572e7697
von	w3_d572e7700
den	w5_d572e7703
leichten	w7_d572e7706
Völkern,	w9_d572e7709
und	w11_d572e7712
endlich	w13_d572e7716
von	w1_d572e7721
dem	w3_d572e7724
feindlichen	w5_d572e7727
Vorder=treffen	w7_d572e7730
ange	w9_d572e7733
griffen.	w1_d572e7738
Er	w3_d572e7741
ließ	w5_d572e7744
allen	w7_d572e7747
Colonnen	w9_d572e7750
Zeit	w11_d572e7753
vor	w13_d572e7757
bey	w1_d572e7762
zu	w3_d572e7765
ziehen	w5_d572e7768
Als	w7_d572e7771
er	w9_d572e7774
sich	w11_d572e7777
aber	w13_d572e7781
bey	w15_d572e7784
der	w17_d572e7787
Mühle	w1_d572e7793
von	w3_d572e7796
Schapphausen	w5_d572e7799
fast	w7_d572e7802
eingeschlos	w9_d572e7805
sen	w1_d572e7810
sahe,	w3_d572e7813
ließ	w5_d572e7816
der	w7_d572e7819
Hr.	w9_d572e7822
Marschall	w11_d572e7825
die	w13_d572e7829
ganze	w15_d572e7832
Armee	w1_d572e7837
Halt	w3_d572e7840
machen,	w5_d572e7843
und	w7_d572e7846
verfügte	w9_d572e7849
seine	w11_d572e7852
Anstalten	w1_d572e7857
längs	w3_d572e7860
der	w5_d572e7863
Land=wehre,	w7_d572e7866
so	w9_d572e7869
die	w11_d572e7872
Ebe	w13_d572e7876
ne	w1_d572e7882
von	w3_d572e7885
dem	w5_d572e7888
Wald	w7_d572e7891
bey	w9_d572e7894
Schaphausen,	w11_d572e7897
bis	w13_d572e7901
an	w1_d572e7906
das	w3_d572e7909
Dorf	w5_d572e7912
Buderich,	w7_d572e7915
eine	w9_d572e7918
halbe	w11_d572e7921
Stunde	w13_d572e7925
von	w1_d572e7930
Werl	w3_d572e7933
umgränzet.	w5_d572e7936
</p>
<p id="p18_d572e7939">
Jnzwischen	w1_d572e7943
unterstützten	w3_d572e7946
die	w5_d572e7949
Brigaden	w7_d572e7952
der	w1_d572e7957
Garden	w3_d572e7960
von	w5_d572e7963
Vaubecourt,	w7_d572e7966
und	w9_d572e7969
von	w11_d572e7972
Bri	w13_d572e7976
queville	w1_d572e7981
das	w3_d572e7984
Hinter=treffen.	w5_d572e7987
Aus	w7_d572e7990
Vorsicht,	w9_d572e7993
daß	w1_d572e7999
die	w3_d572e8002
Feinde,	w5_d572e8005
welche	w7_d572e8008
sehr	w9_d572e8011
viele	w11_d572e8014
Canonen	w13_d572e8018
mit	w1_d572e8023
sich	w3_d572e8026
führten,	w5_d572e8029
nicht	w7_d572e8032
Meister	w9_d572e8035
von	w11_d572e8038
den	w13_d572e8042
na	w15_d572e8045
hen	w1_d572e8050
Anhöhen	w3_d572e8053
werden	w5_d572e8056
dörften,	w7_d572e8059
wie	w9_d572e8062
es	w11_d572e8065
ihr	w13_d572e8069
Vorhaben	w1_d572e8074
zu	w3_d572e8077
seyn	w5_d572e8080
schiene,	w7_d572e8083
suchten	w9_d572e8086
ihnen	w11_d572e8089
er	w13_d572e8093
sagte	w1_d572e8099
Brigaden	w3_d572e8102
von	w5_d572e8105
Briqueville,	w7_d572e8108
und	w9_d572e8111
von	w11_d572e8114
Vaubecourt	w1_d572e8119
dorthin	w3_d572e8122
vorzueilen.	w5_d572e8125
Der	w7_d572e8128
Herr	w9_d572e8131
von	w1_d572e8136
Vaubecourt	w3_d572e8139
traf	w5_d572e8142
die	w7_d572e8145
Feinde	w9_d572e8148
an	w11_d572e8151
der	w13_d572e8155
Müh	w15_d572e8158
le,	w1_d572e8163
und	w3_d572e8166
auf	w5_d572e8169
dem	w7_d572e8172
Schlosse	w9_d572e8175
von	w11_d572e8178
Schapphausen	w13_d572e8182
an,	w1_d572e8188
allwo	w3_d572e8191
sie	w5_d572e8194
sich	w7_d572e8197
zu	w9_d572e8200
verschanzen	w11_d572e8203
eben	w13_d572e8207
an	w15_d572e8210
fiengen.	w1_d572e8215
Er	w3_d572e8218
ließ	w5_d572e8221
die	w7_d572e8224
Feinde	w9_d572e8227
durch	w11_d572e8230
die	w13_d572e8234
Gre	w15_d572e8237
nadiers	w1_d572e8242
und	w3_d572e8245
Jäger=bataillons	w5_d572e8248
der	w7_d572e8251
Regimen	w9_d572e8254
ter	w1_d572e8259
von	w3_d572e8262
Tourraine,	w5_d572e8265
die	w7_d572e8268
Lothringer=garden,	w9_d572e8271
Vaubecourt,	w1_d572e8277
Bretaigne,	w3_d572e8280
Briqueville,	w5_d572e8283
und	w7_d572e8286
Enghien	w1_d572e8291
angreiffen.	w3_d572e8294
Des	w5_d572e8297
Kartätschen	w7_d572e8300
Feurr	w9_d572e8303
aus	w1_d572e8308
Canonen,	w3_d572e8311
nicht	w5_d572e8314
minder	w7_d572e8317
des	w9_d572e8320
mit	w11_d572e8323
Vor	w13_d572e8327
theil	w1_d572e8332
angebrachten	w3_d572e8335
Musqueten=feuers	w5_d572e8338
unge	w7_d572e8341
achtet,	w1_d572e8347
waren	w3_d572e8350
bey	w5_d572e8353
dem	w7_d572e8356
ersten	w9_d572e8359
Angrif	w11_d572e8362
die	w13_d572e8366
</p>
<p id="p20_d572e8369">
Plätze	w1_d572e8373
unser.	w3_d572e8376
Die	w5_d572e8379
Feinde	w7_d572e8382
wurden	w9_d572e8385
verjaget,	w11_d572e8388
und	w1_d572e8393
bis	w3_d572e8396
in	w5_d572e8399
die	w7_d572e8402
Ebene	w9_d572e8405
zuruck	w11_d572e8408
getrieben;	w13_d572e8412
auch	w15_d572e8415
machten	w1_d572e8420
wir	w3_d572e8423
30.	w5_d572e8426
Kriegs=gefangene,	w7_d572e8429
unter	w9_d572e8432
welt	w1_d572e8438
ien	w1_d572e8443
sich	w3_d572e8446
der	w5_d572e8449
Major	w7_d572e8452
und	w9_d572e8455
Adjutant	w11_d572e8458
des	w13_d572e8462
Prinzen	w1_d572e8467
Ferdinands,	w3_d572e8470
der	w5_d572e8473
Herr	w7_d572e8476
von	w9_d572e8479
Bauer,	w11_d572e8482
befindet.	w1_d572e8487
Wir	w3_d572e8490
verlohren	w5_d572e8493
in	w7_d572e8496
diesem	w9_d572e8499
Vorfall	w11_d572e8502
den	w1_d572e8508
Herrn	w3_d572e8511
von	w5_d572e8514
Blanville,	w7_d572e8517
Obrist=leutenant	w9_d572e8520
des	w1_d572e8525
Regiments	w3_d572e8528
von	w5_d572e8531
Bretaigne,	w7_d572e8534
welcher	w9_d572e8537
zu	w11_d572e8540
unserem	w1_d572e8545
Leidwesen	w3_d572e8548
das	w5_d572e8551
Leben	w7_d572e8554
durch	w9_d572e8557
einen	w11_d572e8560
Schuß	w1_d572e8565
einbüßte,	w3_d572e8568
30.	w5_d572e8571
Gemeine	w7_d572e8574
wurden	w9_d572e8577
theils	w11_d572e8580
verwundet,	w1_d572e8586
theils	w3_d572e8589
getödtet.	w5_d572e8592
Die	w7_d572e8595
Gardebri	w9_d572e8598
gade	w1_d572e8603
hielte	w3_d572e8606
das	w5_d572e8609
Canonen,	w7_d572e8612
feuer	w9_d572e8615
mit	w11_d572e8618
einem	w13_d572e8622
be	w15_d572e8625
sonderen	w1_d572e8630
Mut	w3_d572e8633
aus,	w5_d572e8636
und	w7_d572e8639
marschirte	w9_d572e8642
mit	w11_d572e8645
aller	w13_d572e8649
nur	w1_d572e8654
erdenklichen	w3_d572e8657
Kühnheit.	w5_d572e8660
Während	w7_d572e8663
der	w9_d572e8666
Zeit,	w1_d572e8672
da	w3_d572e8675
sich	w5_d572e8678
dieser	w7_d572e8681
kleine	w9_d572e8684
Auftritt	w11_d572e8687
vor	w13_d572e8691
dem	w15_d572e8694
linken	w1_d572e8699
Flügel	w3_d572e8702
zutrug,	w5_d572e8705
stellte	w7_d572e8708
sich	w9_d572e8711
die	w11_d572e8714
Armee	w13_d572e8718
hinter	w1_d572e8723
der	w3_d572e8726
Land=wehre	w5_d572e8729
in	w7_d572e8732
Schlacht=ordnung,	w9_d572e8735
das	w1_d572e8740
Fuß=volk	w3_d572e8743
in	w5_d572e8746
die	w7_d572e8749
erste	w9_d572e8752
Linie,	w11_d572e8755
die	w13_d572e8759
Reuterey	w15_d572e8762
hinter	w1_d572e8768
dem	w3_d572e8771
rechten	w5_d572e8774
Flügel,	w7_d572e8777
und	w9_d572e8780
das	w11_d572e8783
Königli	w13_d572e8787
che	w1_d572e8792
Haus	w3_d572e8795
zur	w5_d572e8798
Reserve	w7_d572e8801
in	w9_d572e8804
die	w11_d572e8807
Mitte	w13_d572e8811
der	w15_d572e8814
Reu	w17_d572e8817
terey.	w1_d572e8822
Den	w3_d572e8825
5.	w5_d572e8828
fruh	w7_d572e8831
um	w9_d572e8834
8.	w11_d572e8837
Uhr	w13_d572e8841
erschiene	w15_d572e8844
die	w17_d572e8847
feindliche	w1_d572e8852
Armee	w3_d572e8855
in	w5_d572e8858
völligem	w7_d572e8861
Zuge,	w9_d572e8864
als	w11_d572e8867
wann	w13_d572e8871
sie	w1_d572e8877
uns	w3_d572e8880
angreiffen	w5_d572e8883
wollte;	w7_d572e8886
Jhre	w9_d572e8889
Colonnen	w11_d572e8892
schwenkten	w1_d572e8897
sich	w3_d572e8900
rechts	w5_d572e8903
und	w7_d572e8906
links.	w9_d572e8909
Sie	w11_d572e8912
gien	w13_d572e8916
gen	w1_d572e8921
durch	w3_d572e8924
verschiedene	w5_d572e8927
Wege	w7_d572e8930
in	w9_d572e8933
den	w11_d572e8936
Wald	w13_d572e8940
unsers	w1_d572e8945
iinken	w3_d572e8948
Flügels,	w5_d572e8951
und	w7_d572e8954
unsers	w9_d572e8957
Mittel	w11_d572e8960
puncts,	w1_d572e8966
wir	w3_d572e8969
canonirten	w5_d572e8972
auf	w7_d572e8975
sie.	w9_d572e8978
Nach	w11_d572e8981
der	w13_d572e8985
Ausreisser	w1_d572e8990
Reden,	w3_d572e8993
soll	w5_d572e8996
dieses	w7_d572e8999
Feuer	w9_d572e9002
nicht	w11_d572e9005
ohne	w1_d572e9010
guter	w3_d572e9013
Würkung	w5_d572e9016
gewesen	w7_d572e9019
seyn.	w9_d572e9022
Ge	w11_d572e9025
gen	w1_d572e9030
Mittag	w3_d572e9033
schienen	w5_d572e9036
die	w7_d572e9039
Feinde	w9_d572e9042
sich	w11_d572e9045
zu	w13_d572e9049
setzen,	w15_d572e9052
und	w1_d572e9058
ihre	w3_d572e9061
Anstalten	w5_d572e9064
zu	w7_d572e9067
verändern.	w9_d572e9070
Nach	w11_d572e9073
vie	w13_d572e9077
lem	w1_d572e9082
Hin	w3_d572e9085
und	w5_d572e9088
Wieder=ziehen	w7_d572e9091
aber,	w9_d572e9094
giengen	w11_d572e9097
sie	w1_d572e9102
endlich	w3_d572e9105
in	w5_d572e9108
ihr	w7_d572e9111
voriges	w9_d572e9114
Lager	w11_d572e9117
zu	w13_d572e9121
Hemerden	w15_d572e9124
zuruck.	w1_d572e9129
Den	w3_d572e9132
6.	w5_d572e9135
fruhe	w7_d572e9138
war	w9_d572e9141
alles	w11_d572e9144
stille,	w13_d572e9148
der	w15_d572e9151
Herr	w1_d572e9157
Marschall	w3_d572e9160
beschlosse	w5_d572e9163
den	w7_d572e9166
Marsch	w9_d572e9169
in	w11_d572e9172
die	w13_d572e9176
Gegend	w1_d572e9181
Soest.	w3_d572e9184
Die	w5_d572e9187
Armee	w7_d572e9190
solltegleich	w9_d572e9193
nach	w11_d572e9196
dem	w1_d572e9201
Retraite=schuß	w3_d572e9204
aufbrechen.	w5_d572e9207
Jn	w7_d572e9210
dem	w9_d572e9213
nam	w11_d572e9216
lichen	w1_d572e9221
Augenblicke,	w3_d572e9224
als	w5_d572e9227
selbige	w7_d572e9230
sich	w9_d572e9233
in	w11_d572e9236
Bewe	w13_d572e9240
gung	w1_d572e9246
setzte,	w3_d572e9249
kam	w5_d572e9252
der	w7_d572e9255
Herr	w9_d572e9258
Marschall	w11_d572e9261
von	w13_d572e9265
Broglie	w1_d572e9270
in	w3_d572e9273
dem	w5_d572e9276
Lager	w7_d572e9279
an.	w9_d572e9282
Diesem	w11_d572e9285
ungeachtet	w13_d572e9289
verbliebe	w1_d572e9294
es	w3_d572e9297
ohne	w5_d572e9300
mindester	w7_d572e9303
Veränderung	w9_d572e9306
bey	w1_d572e9311
denen	w3_d572e9314
ersteren	w5_d572e9317
Anstalten.	w7_d572e9320
Um	w9_d572e9323
9.	w11_d572e9326
Uhr	w13_d572e9330
gien	w1_d572e9336
</p>
<p id="p24_d572e9342">
glenge	w1_d572e9346
der	w3_d572e9349
Marsch	w5_d572e9352
vor	w7_d572e9355
sich.	w9_d572e9358
Mit	w11_d572e9361
Anbruch	w13_d572e9365
des	w1_d572e9370
Tages	w3_d572e9373
langte	w5_d572e9376
sie	w7_d572e9379
auf	w9_d572e9382
den	w11_d572e9385
Anhöhen	w13_d572e9389
von	w15_d572e9392
Rumen	w1_d572e9397
an.	w3_d572e9400
Der	w5_d572e9403
linke	w7_d572e9406
Frügel	w9_d572e9409
stellte	w11_d572e9412
sich	w13_d572e9416
an	w15_d572e9419
dieses	w1_d572e9425
Dorf,	w3_d572e9428
der	w5_d572e9431
rechte	w7_d572e9434
aber	w9_d572e9437
gegen	w11_d572e9440
das	w13_d572e9444
Dorf	w15_d572e9447
Perensen.	w1_d572e9452
So	w3_d572e9455
bald	w5_d572e9458
man	w7_d572e9461
bey	w9_d572e9464
hellerem	w11_d572e9467
Ta	w13_d572e9471
ges=licht	w1_d572e9476
mehr	w3_d572e9479
unterscheiden	w5_d572e9482
konte;	w7_d572e9485
entdeckte	w9_d572e9488
man	w1_d572e9493
das	w3_d572e9496
feindliche	w5_d572e9499
Kriegs=heer	w7_d572e9502
in	w9_d572e9505
2.	w11_d572e9508
Colon	w13_d572e9512
nen,	w1_d572e9518
die	w3_d572e9521
Spitze	w5_d572e9524
davon	w7_d572e9527
zoge	w9_d572e9530
Werl	w11_d572e9533
vorüber,	w13_d572e9537
und	w1_d572e9542
schiene	w3_d572e9545
sich	w5_d572e9548
gegen	w7_d572e9551
Soest	w9_d572e9554
zu	w11_d572e9557
wenden.	w13_d572e9561
Um	w15_d572e9564
uns	w1_d572e9569
nun	w3_d572e9572
durch	w5_d572e9575
die	w7_d572e9578
Feinde	w9_d572e9581
nicht	w11_d572e9584
vorkommen	w13_d572e9588
zu	w1_d572e9593
lassen,	w3_d572e9596
verordnete	w5_d572e9599
der	w7_d572e9602
Herr	w9_d572e9605
Marschall,	w11_d572e9608
daß	w1_d572e9614
die	w3_d572e9617
Armee	w5_d572e9620
ihren	w7_d572e9623
Marsch	w9_d572e9626
fortsetzen	w11_d572e9629
sollte.	w13_d572e9633
Sie	w1_d572e9638
lagerte	w3_d572e9641
sich	w5_d572e9644
auf	w7_d572e9647
den	w9_d572e9650
Höhen	w11_d572e9653
hinter	w13_d572e9657
dieser	w15_d572e9660
Stadt,	w1_d572e9665
um	w3_d572e9668
desto	w5_d572e9671
näher	w7_d572e9674
bey	w9_d572e9677
Lippstadt	w11_d572e9680
zu	w13_d572e9684
seyn	w15_d572e9687
und	w1_d572e9692
auch	w3_d572e9695
dahin	w5_d572e9698
anrucken	w7_d572e9701
zu	w9_d572e9704
können.	w11_d572e9707
Die	w13_d572e9711
Feinde	w1_d572e9717
stunden	w3_d572e9720
still;	w5_d572e9723
ihr	w7_d572e9726
rechter	w9_d572e9729
Flügel	w11_d572e9732
bey	w13_d572e9736
Werl,	w1_d572e9741
ihr	w3_d572e9744
linker	w5_d572e9747
aber	w7_d572e9750
nach	w9_d572e9753
der	w11_d572e9756
Richtung	w13_d572e9760
ih	w15_d572e9763
res	w1_d572e9768
Heer=zuges,	w3_d572e9771
schiene	w5_d572e9774
sich	w7_d572e9777
dem	w9_d572e9780
Weeg	w11_d572e9783
nach	w13_d572e9787
Hamm	w1_d572e9792
zu	w3_d572e9795
nahen.	w5_d572e9798
Die	w7_d572e9801
Feinde	w9_d572e9804
mögen	w11_d572e9807
eine	w13_d572e9811
Lager	w1_d572e9817
oder	w3_d572e9820
Stellung	w5_d572e9823
nehmen,	w7_d572e9826
wie	w9_d572e9829
sie	w11_d572e9832
im	w13_d572e9836
mer	w1_d572e9841
wollen,	w3_d572e9844
so	w5_d572e9847
sehen	w7_d572e9850
sich	w9_d572e9853
beyde	w11_d572e9856
Generals,	w13_d572e9860
zumal	w1_d572e9865
da	w3_d572e9868
wir	w5_d572e9871
nun	w7_d572e9874
mit	w9_d572e9877
dem	w11_d572e9880
Herrn	w13_d572e9884
Marschal	w15_d572e9887
len	w1_d572e9892
von	w3_d572e9895
Broglie	w5_d572e9898
vereinigt	w7_d572e9901
sind,	w9_d572e9904
in	w11_d572e9907
dem	w13_d572e9911
Stan	w15_d572e9914
de	w1_d572e9920
mit	w3_d572e9923
zusammengesetzten	w5_d572e9926
Kräften	w7_d572e9929
alle	w9_d572e9932
Un	w11_d572e9935
ternehmungen	w1_d572e9940
nach	w3_d572e9943
Beschaffenheit	w5_d572e9946
deren	w7_d572e9949
Um	w9_d572e9952
ständen	w1_d572e9957
auszuführen.	w3_d572e9960
</p>
<head id="h2_d572e9967">
Reichenbach	w1_d572e9971
5.	w3_d572e9974
Julii.	w5_d572e9977
</head>
<p id="p4_d572e9980">
Jnfolge	w1_d572e9984
der	w3_d572e9987
von	w5_d572e9990
des	w7_d572e9993
commandirenden	w9_d572e9996
Herrn	w1_d572e10001
General=feld=marschalls	w3_d572e10004
Grafen	w5_d572e10007
von	w7_d572e10010
Serbelloni	w1_d572e10015
Excellenz	w3_d572e10018
getroffenen	w5_d572e10021
Vorkeh	w7_d572e10024
rung	w1_d572e10030
ist	w3_d572e10033
nicht	w5_d572e10036
nur	w7_d572e10039
von	w9_d572e10042
den	w11_d572e10045
unter	w13_d572e10049
dem	w15_d572e10052
Com	w17_d572e10055
mando	w1_d572e10060
des	w3_d572e10063
Herrn	w5_d572e10066
General=feld	w7_d572e10069
wachtmei	w9_d572e10072
sters	w1_d572e10077
Baron	w3_d572e10080
von	w5_d572e10083
Würzburg	w7_d572e10086
stehenden	w9_d572e10089
Tru	w11_d572e10092
pen	w1_d572e10097
bereits	w3_d572e10100
den	w5_d572e10103
2ten	w7_d572e10106
dieses	w9_d572e10109
das	w11_d572e10112
Lager	w13_d572e10116
bey	w15_d572e10119
Ronneburg	w1_d572e10125
bezogen,	w3_d572e10128
sondern	w5_d572e10131
auch	w7_d572e10134
Gera	w9_d572e10137
mit	w11_d572e10140
einem	w1_d572e10145
starken	w3_d572e10148
Commando	w5_d572e10151
Cavallerie	w7_d572e10154
besetzet	w9_d572e10157
worden,	w1_d572e10162
von	w3_d572e10165
welchem	w5_d572e10168
die	w7_d572e10171
Vorposten	w9_d572e10174
bis	w11_d572e10177
Roschitz	w1_d572e10182
und	w3_d572e10185
Rotgiebel	w5_d572e10188
gegen	w7_d572e10191
Zeitz	w9_d572e10194
ausgestel	w11_d572e10197
let	w1_d572e10203
sind;	w3_d572e10206
Gleichwie	w5_d572e10209
dann	w7_d572e10212
auch	w9_d572e10215
jene	w11_d572e10218
von	w13_d572e10222
dem	w15_d572e10225
bey	w1_d572e10230
Ronneburg	w3_d572e10233
eingeruckten	w5_d572e10236
Corps,	w7_d572e10239
so	w9_d572e10242
aus	w1_d572e10247
leichten	w3_d572e10250
Trupen	w5_d572e10253
bestehet,	w7_d572e10256
bey	w9_d572e10259
Goefnitz,	w11_d572e10262
Schmöllen,	w1_d572e10267
und	w3_d572e10270
Reichstadt	w5_d572e10273
sich	w7_d572e10276
befinden.	w9_d572e10279
Der	w1_d572e10285
Hauptmann	w3_d572e10288
Otto	w5_d572e10291
hat	w7_d572e10294
mit	w9_d572e10297
seinen	w11_d572e10300
unter	w13_d572e10304
</p>
<p id="p8_d572e10312">
habenden	w1_d572e10316
Jägern	w3_d572e10319
zu	w5_d572e10322
Pferd	w7_d572e10325
und	w9_d572e10328
zu	w11_d572e10331
Fuß	w13_d572e10335
