<doc id="wr_1759-07-07" attrs="word" year="1759" month="07" day="07" corpus="2">
<head id="h2_d363e4291">
Anrüchte	w1_d363e4295
sondern	w5_d363e12351
die	w7_d363e12354
Berg=schützen	w9_d363e12357
von	w1_d363e12363
6.	w3_d363e12366
Grenadier	w5_d363e12369
und	w7_d363e12372
6.	w9_d363e12375
Carabiniercom	w11_d363e12378
pagnien	w1_d363e12383
unterstützet	w3_d363e12386
einen	w5_d363e12389
Ausfall	w7_d363e12392
gemacht,	w9_d363e12395
und	w1_d363e12400
die	w3_d363e12403
Mohren	w5_d363e12406
bis	w7_d363e12409
auf	w9_d363e12412
einen	w11_d363e12415
Büchsen	w13_d363e12419
schuß	w1_d363e12424
nach	w3_d363e12427
ihrem	w5_d363e12430
Lager	w7_d363e12433
verfolgt,	w9_d363e12436
auch	w11_d363e12439
an	w13_d363e12443
durch	w1_d363e12449
sehr	w3_d363e12452
viel	w5_d363e12455
derenselben	w7_d363e12458
erlegt,	w9_d363e12461
wohingegen	w11_d363e12464
die	w1_d363e12469
Spanier	w3_d363e12472
kaum	w5_d363e12475
20.	w7_d363e12478
Mann	w9_d363e12481
so	w11_d363e12484
wol	w13_d363e12488
an	w15_d363e12491
Todien	w1_d363e12496
als	w3_d363e12499
Bleßirten	w5_d363e12502
darbey	w7_d363e12505
eingebüsset	w9_d363e12508
hätten.	w1_d363e12513
</p>
<p id="p14_d363e12516">
Von	w1_d363e12520
Gabel:	w3_d363e12523
Das	w5_d363e12526
alldaselbst	w7_d363e12529
den	w9_d363e12532
24.	w11_d363e12535
Junii	w1_d363e12540
zu	w3_d363e12543
Mittag	w5_d363e12546
ein	w7_d363e12549
erschreckliches	w9_d363e12552
Sturm	w11_d363e12555
wetter	w1_d363e12560
gewesen	w3_d363e12563
seye,	w5_d363e12566
welches	w7_d363e12569
bey	w9_d363e12572
3.	w11_d363e12575
viertl	w13_d363e12579
Stunden	w1_d363e12585
gedauret,	w3_d363e12588
und	w5_d363e12591
darbey	w7_d363e12594
Donner	w9_d363e12597
und	w11_d363e12600
Blitz	w1_d363e12605
fast	w3_d363e12608
keinen	w5_d363e12611
Augen=blick	w7_d363e12614
ausgesetzt	w9_d363e12617
habe,	w11_d363e12620
und	w1_d363e12625
seye	w3_d363e12628
zu	w5_d363e12631
letzt	w7_d363e12634
ein	w9_d363e12637
Blitz	w11_d363e12640
in	w13_d363e12644
dasige	w15_d363e12647
Pfarr	w17_d363e12650
kirche	w1_d363e12655
gefallen,	w3_d363e12658
da	w5_d363e12661
just	w7_d363e12664
die	w9_d363e12667
Predig	w11_d363e12670
am	w13_d363e12674
End	w15_d363e12677
ware,	w1_d363e12683
alwo	w3_d363e12686
die	w5_d363e12689
Würkung	w7_d363e12692
dessen	w9_d363e12695
in	w11_d363e12698
dem	w13_d363e12702
mitteren	w1_d363e12707
Schwibogen	w3_d363e12710
gleichsam	w5_d363e12713
einen	w7_d363e12716
Feuer	w9_d363e12719
regen	w1_d363e12724
vorgestellet	w3_d363e12727
habe,	w5_d363e12730
welcher	w7_d363e12733
das	w9_d363e12736
ganze	w11_d363e12739
Gewölb	w1_d363e12744
mit	w3_d363e12747
einem	w5_d363e12750
bleichen	w7_d363e12753
Glanz	w9_d363e12756
beleuchtet	w11_d363e12759
hätte,	w1_d363e12765
und	w3_d363e12768
wären	w5_d363e12771
davon	w7_d363e12774
5.	w9_d363e12777
Personen	w11_d363e12780
ertöd	w13_d363e12784
tet,	w1_d363e12789
30.	w3_d363e12792
andere	w5_d363e12795
aber	w7_d363e12798
verwundet,	w9_d363e12801
auch	w11_d363e12804
der	w13_d363e12808
Prediger	w1_d363e12813
auf	w3_d363e12816
der	w5_d363e12819
Canzl	w7_d363e12822
zu	w9_d363e12825
Boden	w11_d363e12828
geworfen	w13_d363e12832
worden;	w1_d363e12837
Man	w3_d363e12840
erinnere	w5_d363e12843
sich	w7_d363e12846
von	w9_d363e12849
Menschen	w11_d363e12852
Gedenken	w1_d363e12858
keines	w3_d363e12861
so	w5_d363e12864
entsetzliches	w7_d363e12867
Gewitters	w9_d363e12870
in	w1_d363e12875
dasigen	w3_d363e12878
Gegenden.	w5_d363e12881
</p>
<p id="p16_d363e12884">
Von	w1_d363e12888
Madrid:	w3_d363e12891
Schreibt	w5_d363e12894
man	w7_d363e12897
von	w9_d363e12900
4.	w11_d363e12903
Junii,	w1_d363e12908
daß	w3_d363e12911
allda	w5_d363e12914
der	w7_d363e12917
Lord	w9_d363e12920
Marschall	w11_d363e12923
Kön.	w13_d363e12927
Preuß.	w1_d363e12932
Gouverneur	w3_d363e12935
von	w5_d363e12938
Neuschatel	w7_d363e12941
ange	w9_d363e12944
langt	w1_d363e12950
sey;	w3_d363e12953
alleine	w5_d363e12956
man	w7_d363e12959
wisse	w9_d363e12962
nicht,	w11_d363e12965
ob	w13_d363e12969
er	w15_d363e12972
verbleiben	w1_d363e12977
oder	w3_d363e12980
nach	w5_d363e12983
abgelegten	w7_d363e12986
Besuch	w9_d363e12989
bey	w11_d363e12992
seinen	w1_d363e12997
Freunden	w3_d363e13000
nach	w5_d363e13003
England	w7_d363e13006
reisen	w9_d363e13009
werde.	w11_d363e13012
</p>
<p id="p18_d363e13015">
Die	w1_d363e13019
Academie	w3_d363e13022
der	w5_d363e13025
Wissenschaften	w7_d363e13028
zu	w9_d363e13031
Pe	w11_d363e13034
tersburg	w1_d363e13039
hat	w3_d363e13042
unlängst	w5_d363e13045
eine	w7_d363e13048
Charte	w9_d363e13051
an	w11_d363e13054
das	w13_d363e13058
Licht	w1_d363e13063
gestellet,	w3_d363e13066
welche	w5_d363e13069
beweiset,	w7_d363e13072
daß	w9_d363e13075
der	w11_d363e13078
nord	w13_d363e13082
westliche	w1_d363e13088
Theil	w3_d363e13091
von	w5_d363e13094
Californien	w7_d363e13097
mit	w9_d363e13100
dem	w11_d363e13103
fe	w13_d363e13107
sten	w1_d363e13112
Land	w3_d363e13115
zusammen	w5_d363e13118
stosse.	w7_d363e13121
Wann	w9_d363e13124
diese	w11_d363e13127
Entdeckungen	w1_d363e13132
gewiß	w3_d363e13135
sind,	w5_d363e13138
so	w7_d363e13141
ist	w9_d363e13144
die	w11_d363e13147
längst	w13_d363e13151
gewünschte	w1_d363e13156
nord=westliche	w3_d363e13159
Fahrt	w5_d363e13162
nach	w7_d363e13165
Chi	w9_d363e13168
na,	w1_d363e13174
die	w3_d363e13177
man	w5_d363e13180
noch	w7_d363e13183
bis	w9_d363e13186
jetzo	w11_d363e13189
zu	w13_d363e13193
entdecken	w15_d363e13196
be	w17_d363e13199
müht	w1_d363e13204
ist,	w3_d363e13207
gänzlich	w5_d363e13210
impracticabel.	w7_d363e13213
</p>
<p id="p20_d363e13216">
Die	w1_d363e13220
Ausrüstungen	w3_d363e13223
zu	w5_d363e13226
Brest,	w7_d363e13229
und	w9_d363e13232
Roche	w11_d363e13235
fort	w1_d363e13240
sind	w3_d363e13243
bey	w5_d363e13246
nahe	w7_d363e13249
vollkommen	w9_d363e13252
zu	w11_d363e13255
Stande.	w13_d363e13259
Unterm	w1_d363e13264
15.	w3_d363e13267
Junii	w5_d363e13270
schreibt	w7_d363e13273
man,	w9_d363e13276
daß	w11_d363e13279
sie	w13_d363e13283
aus	w1_d363e13289
36.	w3_d363e13292
Kriegs=schiffen	w5_d363e13295
von	w7_d363e13298
60.	w9_d363e13301
und	w11_d363e13304
80.	w13_d363e13308
Canonen,	w1_d363e13313
18.	w3_d363e13316
Fregatten,	w5_d363e13319
16.	w7_d363e13322
Bombenga	w9_d363e13325
liotten,	w1_d363e13330
und	w3_d363e13333
Branders,	w5_d363e13336
150.	w7_d363e13339
platten	w9_d363e13342
Fahr	w11_d363e13345
zeugen,	w1_d363e13350
auch	w3_d363e13353
140.	w5_d363e13356
grossen	w7_d363e13359
Transport=schiffen	w9_d363e13362
bestünden.	w1_d363e13368
Durch	w3_d363e13371
eine	w5_d363e13374
Fregatte	w7_d363e13377
die	w9_d363e13380
zu	w11_d363e13383
St.	w13_d363e13387
Jean	w1_d363e13392
de	w3_d363e13395
Luce	w5_d363e13398
von	w7_d363e13401
Martinique	w9_d363e13404
ankam,	w11_d363e13407
hat	w13_d363e13411
man	w1_d363e13416
Nachricht	w3_d363e13419
von	w5_d363e13422
der	w7_d363e13425
Ubergabe	w9_d363e13428
von	w11_d363e13431
Gua	w13_d363e13435
daloupe	w1_d363e13440
erhalten.	w3_d363e13443
Der	w5_d363e13446
Herr	w7_d363e13449
von	w9_d363e13452
Bompart	w11_d363e13455
ist	w1_d363e13461
nach	w3_d363e13464
diesem	w5_d363e13467
Vorfall	w7_d363e13470
nach	w9_d363e13473
Martinique	w11_d363e13476
zurück	w1_d363e13481
gegangen,	w3_d363e13484
allwo	w5_d363e13487
ihn	w7_d363e13490
17.	w9_d363e13493
Engländi	w11_d363e13496
sche	w1_d363e13501
Kriegs=schiffe	w3_d363e13504
gleichsam	w5_d363e13507
bloquirt	w7_d363e13510
halten,	w9_d363e13513
Die	w1_d363e13518
Engländische	w3_d363e13521
Kriegs=schiffe	w5_d363e13524
kreutzen	w7_d363e13527
noch	w1_d363e13533
immer	w3_d363e13536
auf	w5_d363e13539
der	w7_d363e13542
Höhe	w9_d363e13545
von	w11_d363e13548
Toulon.	w13_d363e13552
Als	w15_d363e13555
den	w1_d363e13560
6ten	w3_d363e13563
Junii.	w5_d363e13566
die	w7_d363e13569
Fregatten	w9_d363e13572
Pleyade,	w11_d363e13575
Oiseau,	w1_d363e13580
und	w3_d363e13583
Topaß	w5_d363e13586
von	w7_d363e13589
Ciotat	w9_d363e13592
auslieffen,	w11_d363e13595
um	w1_d363e13600
nach	w3_d363e13603
Toulon	w5_d363e13606
zu	w7_d363e13609
seegeln,	w9_d363e13612
begegnete	w11_d363e13615
ih	w13_d363e13619
nen	w1_d363e13625
bey	w3_d363e13628
dem	w5_d363e13631
Cap	w7_d363e13634
Tiller	w9_d363e13637
ein	w11_d363e13640
Engländisches	w13_d363e13644
Kriegs=schif	w1_d363e13649
von	w3_d363e13652
70.	w5_d363e13655
Canonen,	w7_d363e13658
gleich	w9_d363e13661
dar	w11_d363e13664
auf	w1_d363e13669
ein	w3_d363e13672
2tes,	w5_d363e13675
und	w7_d363e13678
dann	w9_d363e13681
ein	w11_d363e13684
3tes.	w13_d363e13688
Die	w15_d363e13691
Fre	w17_d363e13694
gatten	w1_d363e13699
gaben	w3_d363e13702
das	w5_d363e13705
Signal	w7_d363e13708
der	w9_d363e13711
Gefahr,	w11_d363e13714
wor	w13_d363e13718
auf	w1_d363e13724
der	w3_d363e13727
Topaß,	w5_d363e13730
der	w7_d363e13733
noch	w9_d363e13736
weit	w11_d363e13739
zurücke	w13_d363e13743
war,	w15_d363e13746
nach	w1_d363e13751
Ciotat	w3_d363e13754
zurück	w5_d363e13757
gieng,	w7_d363e13760
erstere	w9_d363e13763
aber	w11_d363e13766
zogen	w13_d363e13770
sich	w1_d363e13775
näher	w3_d363e13778
aus	w5_d363e13781
Land	w7_d363e13784
unter	w9_d363e13787
die	w11_d363e13790
Batterien	w13_d363e13794
von	w1_d363e13799
Toulon.	w3_d363e13802
Die	w5_d363e13805
Engländer	w7_d363e13808
kehrten	w9_d363e13811
sich	w11_d363e13814
hieran	w1_d363e13820
nicht,	w3_d363e13823
und	w5_d363e13826
feuerten	w7_d363e13829
von	w9_d363e13832
Mittag	w11_d363e13835
bis	w13_d363e13839
Abends	w1_d363e13844
um	w3_d363e13847
9.	w5_d363e13850
Uhr,	w7_d363e13853
theils	w9_d363e13856
um	w11_d363e13859
die	w13_d363e13863
Batte	w15_d363e13866
rien	w1_d363e13871
zu	w3_d363e13874
demontiren,	w5_d363e13877
theils	w7_d363e13880
die	w9_d363e13883
Fregatten	w11_d363e13886
in	w13_d363e13890
Grund	w1_d363e13895
zu	w3_d363e13898
bohren,	w5_d363e13901
da	w7_d363e13904
aber	w9_d363e13907
beydes	w11_d363e13910
nicht	w13_d363e13914
glückte,	w1_d363e13920
zogen	w3_d363e13923
sie	w5_d363e13926
sich	w7_d363e13929
zurücke.	w9_d363e13932
Der	w11_d363e13935
Herr	w13_d363e13939
la	w1_d363e13944
Clüe	w3_d363e13947
machte	w5_d363e13950
hiebey	w7_d363e13953
die	w9_d363e13956
beste	w11_d363e13959
Anstalten	w13_d363e13963
durch	w1_d363e13968
Verstärkung	w3_d363e13971
der	w5_d363e13974
Batterien.	w7_d363e13977
Der	w9_d363e13980
Französische	w1_d363e13985
Verlust	w3_d363e13988
belief	w5_d363e13991
sich	w7_d363e13994
auf	w9_d363e13997
20.	w11_d363e14000
Man	w13_d363e14004
Todt	w1_d363e14010
und	w3_d363e14013
Bleßirte;	w5_d363e14016
der	w7_d363e14019
Engländische	w9_d363e14022
aber	w11_d363e14025
muß	w1_d363e14030
grösser	w3_d363e14033
seyn,	w5_d363e14036
weil	w7_d363e14039
sie	w9_d363e14042
viele	w11_d363e14045
Todte	w13_d363e14049
über	w15_d363e14052
Bord	w1_d363e14057
geworfen.	w3_d363e14060
Eines	w5_d363e14063
ihrer	w7_d363e14066
Schiffen	w9_d363e14069
hat	w11_d363e14072
so	w1_d363e14077
gelitten,	w3_d363e14080
daß	w5_d363e14083
sie	w7_d363e14086
viele	w9_d363e14089
Chaloupen	w11_d363e14092
brauch	w13_d363e14096
ten,	w1_d363e14102
um	w3_d363e14105
es	w5_d363e14108
fort	w7_d363e14111
zu	w9_d363e14114
bringen.	w11_d363e14117
Die	w13_d363e14121
Engländi	w15_d363e14124
sche	w1_d363e14129
Flotte	w3_d363e14132
besteht	w5_d363e14135
überhaupt	w7_d363e14138
in	w9_d363e14141
23.	w11_d363e14144
Kriegs	w13_d363e14148
schiffen.	w1_d363e14153
Wien	w1_d363e14158
</p>
<head id="h2_d363e14176">
Wien	w1_d363e14180
den	w3_d363e14183
7.	w5_d363e14186
Julii	w7_d363e14189
1759.	w9_d363e14192
</head>
<p id="p4_d363e14195">
MJttwochs	w1_d363e14199
den	w3_d363e14202
4.	w5_d363e14205
dieses	w7_d363e14208
haben	w9_d363e14211
Se.	w11_d363e14214
Ex	w13_d363e14218
cellenz	w1_d363e14223
der	w3_d363e14226
unlängst	w5_d363e14229
alhier	w7_d363e14232
angelang	w9_d363e14235
te	w1_d363e14240
Königl.	w3_d363e14243
Französische	w5_d363e14246
Bottschafter	w7_d363e14249
Herr	w9_d363e14252
Graf	w1_d363e14258
von	w3_d363e14261
Choiseul	w5_d363e14264
bey	w7_d363e14267
Jhren	w9_d363e14270
Königl.	w11_d363e14273
Ho	w13_d363e14277
heiten	w1_d363e14282
denen	w3_d363e14285
Durchl.	w5_d363e14288
Erz=herzogen	w7_d363e14291
Carl,	w9_d363e14294
Leopold,	w1_d363e14299
Ferdinand,	w3_d363e14302
und	w5_d363e14305
Maximilian,	w7_d363e14308
und	w1_d363e14313
hierauf	w3_d363e14316
auch	w5_d363e14319
bey	w7_d363e14322
Jhren	w9_d363e14325
Königl.	w11_d363e14328
Ho	w13_d363e14332
heiten	w1_d363e14338
denen	w3_d363e14341
Durchl.	w5_d363e14344
Erz=herzoginnen,	w7_d363e14347
so	w9_d363e14350
dann	w1_d363e14355
auch	w3_d363e14358
Sr.	w5_d363e14361
Excellenz	w7_d363e14364
Frau	w9_d363e14367
Gemahlin	w11_d363e14370
bey	w1_d363e14375
Höchst=gedacht=Jhren	w3_d363e14378
Königl.	w5_d363e14381
Hohei	w7_d363e14384
ten	w1_d363e14389
die	w3_d363e14392
besondere	w5_d363e14395
Ankunfts=audienz	w7_d363e14398
zu	w9_d363e14401
Schönbrunn	w1_d363e14407
gehabt.	w3_d363e14410
</p>
<head id="h2_d363e14416">
Lista	w1_d363e14420
deren	w3_d363e14423
Verstorbenen	w5_d363e14426
zu	w7_d363e14429
Wien	w9_d363e14432
in	w1_d363e14437
und	w3_d363e14440
vor	w5_d363e14443
der	w7_d363e14446
Stadt.	w9_d363e14449
Den	w1_d363e14454
3.	w3_d363e14457
Julii.	w5_d363e14460
Jn	w1_d363e14466
der	w3_d363e14469
Stadt.	w5_d363e14472
</head>
<list id="l4_d363e14475">
Dem	w1_d363e14479
Hoch=edel=geb.	w3_d363e14482
Hrn.	w5_d363e14485
Löthari	w7_d363e14488
Franz	w9_d363e14491
v.	w11_d363e14494
Keil,	w13_d363e14498
K.	w15_d363e14501
geh.	w1_d363e14506
Reichs=concip.,	w3_d363e14509
s.	w5_d363e14512
Fr.	w7_d363e14515
Anna	w9_d363e14518
Juliana,	w11_d363e14521
geb.	w13_d363e14525
Edle	w1_d363e14530
von	w3_d363e14533
Schweigheusern,	w5_d363e14536
beym	w7_d363e14539
gold.	w9_d363e14542
Rädel	w11_d363e14545
am	w13_d363e14549
Stuben=thor,	w1_d363e14555
alt	w3_d363e14558
35	w5_d363e14561
</list>
<head id="h2_d363e14568">
Vor	w1_d363e14572
der	w3_d363e14575
Stadt.	w5_d363e14578
</head>
<list id="l4_d363e14581">
Dem	w1_d363e14585
Woledel=geb.	w3_d363e14588
Hrn.	w5_d363e14591
Joh.	w7_d363e14594
Jacob	w9_d363e14597
Crausen,	w11_d363e14600
Un	w13_d363e14604
ter=direct.	w1_d363e14609
der	w3_d363e14612
Savoysch.	w5_d363e14615
Academ.,	w7_d363e14618
s.	w9_d363e14621
K.	w11_d363e14624
Antonia,	w13_d363e14628
beym	w1_d363e14633
grün.	w3_d363e14636
Kranz	w5_d363e14639
bey	w7_d363e14642
Maria=hülf,	w9_d363e14645
alt	w11_d363e14648
2.	w13_d363e14652
J.	w15_d363e14655
Jos.	w1_d363e14661
Reichgruber,	w3_d363e14664
gew.	w5_d363e14667
Burg.	w7_d363e14670
und	w9_d363e14673
Hof=satl,	w11_d363e14676
in	w13_d363e14680
s.	w15_d363e14683
H.	w1_d363e14688
zu	w3_d363e14691
Gumpendorf,	w5_d363e14694
alt	w7_d363e14697
57.	w9_d363e14700
Dem	w1_d363e14705
Jos.	w3_d363e14708
Zwenckel,	w5_d363e14711
Burgerl.	w7_d363e14714
Schuh=mach.,	w9_d363e14717
s.	w11_d363e14720
S.	w13_d363e14724
Jos.,	w1_d363e14729
im	w3_d363e14732
Hauptmanis.	w5_d363e14735
H.	w7_d363e14738
auf	w9_d363e14741
der	w11_d363e14744
Wied.,	w13_d363e14748
13.	w15_d363e14751
J.	w17_d363e14754
Der	w1_d363e14760
Elisab.	w3_d363e14763
Böhmin,	w5_d363e14766
Wittwe,	w7_d363e14769
ihr	w9_d363e14772
K.	w11_d363e14775
Friedr.,	w13_d363e14779
im	w15_d363e14782
Lucamis.	w1_d363e14787
H.	w3_d363e14790
auf	w5_d363e14793
der	w7_d363e14796
Landstr.,	w9_d363e14799
alt	w11_d363e14802
2.	w13_d363e14806
J.	w15_d363e14809
Joh.	w1_d363e14814
Aigner,	w3_d363e14817
gew.	w5_d363e14820
Ziegel=bren.,	w7_d363e14823
beym	w9_d363e14826
weis.	w11_d363e14829
Hahn	w13_d363e14833
im	w1_d363e14838
Liechtenth,	w3_d363e14841
alt	w5_d363e14844
71.	w7_d363e14847
J.	w9_d363e14850
</list>
<head id="h2_d363e14857">
Summa	w1_d363e14861
6.	w3_d363e14864
Person.,	w5_d363e14867
darunter	w7_d363e14870
2.	w9_d363e14873
Kind.	w11_d363e14876
Den	w1_d363e14881
4.	w3_d363e14884
Julii.	w5_d363e14887
Jn	w1_d363e14892
der	w3_d363e14895
Stadt.	w5_d363e14898
</head>
<list id="l4_d363e14901">
Der	w1_d363e14905
Hoch=wol=geb.	w3_d363e14908
Hr.	w5_d363e14911
Joh.	w7_d363e14914
Heinr.	w9_d363e14917
Frey=herr	w11_d363e14920
v.	w13_d363e14924
Cleß,	w1_d363e14929
Jhrer	w3_d363e14932
R.	w5_d363e14935
K	w7_d363e14938
auch	w9_d363e14941
zu	w11_d363e14944
Hungarn,	w13_d363e14948
und	w15_d363e14951
Bö	w17_d363e14954
heim	w1_d363e14959
K.	w3_d363e14962
Majest.	w5_d363e14965
General=feld=marschall=leuten.	w7_d363e14968
beym	w1_d363e14974
grün.	w3_d363e14977
Rös.	w5_d363e14980
in	w7_d363e14983
der	w9_d363e14986
Schulerstr.,	w11_d363e14989
alt	w13_d363e14993
60.	w15_d363e14996
J.	w17_d363e14999
</list>
<head id="h2_d363e15007">
Vor	w1_d363e15011
der	w3_d363e15014
Stadt.	w5_d363e15017
</head>
<list id="l4_d363e15020">
Dem	w1_d363e15024
Christoph	w3_d363e15027
Müller,	w5_d363e15030
Burgerl.	w7_d363e15033
Pfaidl.,	w9_d363e15036
s.	w11_d363e15039
K.	w13_d363e15043
Elisab.,	w1_d363e15048
beym	w3_d363e15051
gold.	w5_d363e15054
Hirsch.	w7_d363e15057
in	w9_d363e15060
der	w11_d363e15063
Leopoldst.	w13_d363e15067
3.	w15_d363e15070
J.	w17_d363e15073
Dem	w1_d363e15078
Joh.	w3_d363e15081
Pauer,	w5_d363e15084
Burgerl.	w7_d363e15087
Schuh=mach.,	w9_d363e15090
s.	w11_d363e15093
K.	w13_d363e15097
Elisab.,	w1_d363e15103
beym	w3_d363e15106
rot.	w5_d363e15109
Apf.	w7_d363e15112
in	w9_d363e15115
der	w11_d363e15118
Josephst,	w13_d363e15122
6.	w15_d363e15125
J.	w17_d363e15128
Rich	w1_d363e15133
Rueß,	w3_d363e15136
Kutsch.,	w5_d363e15139
im	w7_d363e15142
Stahrembergis.	w9_d363e15145
Gart.	w11_d363e15148
auf	w13_d363e15152
der	w1_d363e15157
Wied.	w3_d363e15160
alt	w5_d363e15163
51.	w7_d363e15166
J.	w9_d363e15169
Dem	w1_d363e15174
Sebast.	w3_d363e15177
Fournie,	w5_d363e15180
K.	w7_d363e15183
Reit=kn.=provis.,	w9_d363e15186
s.	w11_d363e15189
W.	w13_d363e15193
Barb.	w1_d363e15199
beym	w3_d363e15202
rot	w5_d363e15205
Ygel	w7_d363e15208
am	w9_d363e15211
Hungelbrunn,	w11_d363e15214
56.	w13_d363e15218
J.	w15_d363e15221
</list>
<list id="l6_d363e15225">
Mario	w1_d363e15229
Preyerin,	w3_d363e15232
alt	w5_d363e15235
82.	w7_d363e15238
J.,	w9_d363e15241
und	w11_d363e15244
Christina	w13_d363e15248
Stun	w15_d363e15251
zerin,	w1_d363e15256
alt	w3_d363e15259
57.	w5_d363e15262
J.,	w7_d363e15265
beyde	w9_d363e15268
in	w11_d363e15271
St.	w13_d363e15275
Joh.	w15_d363e15278
Nep.	w17_d363e15281
Spit.	w19_d363e15284
Der	w1_d363e15289
Margar.	w3_d363e15292
Schneiderin,	w5_d363e15295
Wittwe,	w7_d363e15298
ihr	w9_d363e15301
K.	w11_d363e15304
Adam,	w13_d363e15308
beym	w1_d363e15314
gold.	w3_d363e15317
A.	w5_d363e15320
B.	w7_d363e15323
C.	w9_d363e15326
in	w11_d363e15329
der	w13_d363e15333
Leopoldst.,	w15_d363e15336
alt	w17_d363e15339
9.	w19_d363e15342
J.	w21_d363e15345
Magdal.	w1_d363e15350
Kummerin,	w3_d363e15353
Wittwe,	w5_d363e15356
beyn	w7_d363e15359
3.	w9_d363e15362
Lauf.	w11_d363e15365
am	w13_d363e15369
Neubau,	w1_d363e15374
alt	w3_d363e15377
45.	w5_d363e15380
J.	w7_d363e15383
</list>
<head id="h2_d363e15390">
Summa	w1_d363e15394
9.	w3_d363e15397
Person.	w5_d363e15400
darunter	w7_d363e15403
3.	w9_d363e15406
Kind.	w11_d363e15409
Den	w1_d363e15414
5.	w3_d363e15417
Julii.	w5_d363e15420
Jn	w1_d363e15425
der	w3_d363e15428
Stadt	w5_d363e15431
</head>
<list id="l4_d363e15434">
Die	w1_d363e15438
Wol=geb.	w3_d363e15441
Fr.	w5_d363e15444
Juliana	w7_d363e15447
verw.	w9_d363e15450
v.	w11_d363e15453
Koller,	w13_d363e15457
und	w15_d363e15460
Nagy=Manya,	w1_d363e15465
geb.	w3_d363e15468
v.	w5_d363e15471
Paluska,,	w7_d363e15474
und	w9_d363e15477
Maröht,	w11_d363e15480
im	w13_d363e15484
Pallestratzis.	w1_d363e15489
H.	w3_d363e15492
in	w5_d363e15495
der	w7_d363e15498
untern	w9_d363e15501
Bäckerstr.,	w11_d363e15504
57.	w13_d363e15508
J.	w15_d363e15511
Dem	w1_d363e15517
Wol=edel=geb.	w3_d363e15520
Hrn.	w5_d363e15523
Carl	w7_d363e15526
v.	w9_d363e15529
Rolke,	w11_d363e15532
Obrist	w13_d363e15536
wacht=meist.	w1_d363e15541
des	w3_d363e15544
Löbl.	w5_d363e15547
Baden=baden	w7_d363e15550
Jnfanterie	w9_d363e15553
regim.,	w1_d363e15558
s.	w3_d363e15561
Fr.	w5_d363e15564
Elisab.,	w7_d363e15567
im	w9_d363e15570
Matschacker=hof,	w11_d363e15573
38.	w13_d363e15577
J.	w15_d363e15580
Fr.	w1_d363e15585
Anna	w3_d363e15588
Maria	w5_d363e15591
Hacklin,	w7_d363e15594
Burgerl.	w9_d363e15597
Wittwe,	w11_d363e15600
in	w13_d363e15604
ih	w15_d363e15607
rem	w1_d363e15613
H.	w3_d363e15616
beym	w5_d363e15619
Bischof=hof	w7_d363e15622
über,	w9_d363e15625
alt	w11_d363e15628
66.	w13_d363e15632
J.	w15_d363e15635
Dem	w1_d363e15640
Andre	w3_d363e15643
Demar,	w5_d363e15646
Burgerl.	w7_d363e15649
Schneid.,	w9_d363e15652
s.	w11_d363e15655
W.	w13_d363e15659
Ma	w15_d363e15662
ria	w1_d363e15667
Anna,	w3_d363e15670
im	w5_d363e15673
Klersis.	w7_d363e15676
H.	w9_d363e15679
am	w11_d363e15682
hoh.	w13_d363e15686
Markt,	w15_d363e15689
77.	w17_d363e15692
J.	w19_d363e15695
Magdal.	w1_d363e15700
Heidlin,	w3_d363e15703
led.	w5_d363e15706
M.,	w7_d363e15709
im	w9_d363e15712
Burgerl.	w11_d363e15715
Zeuggieß	w13_d363e15719
H.	w1_d363e15725
auf	w3_d363e15728
der	w5_d363e15731
Sailerst.,	w7_d363e15734
alt	w9_d363e15737
37.	w11_d363e15740
J.	w13_d363e15744
</list>
<head id="h2_d363e15751">
Vor	w1_d363e15755
der	w3_d363e15758
Stadt.	w5_d363e15761
</head>
<list id="l4_d363e15764">
Dem	w1_d363e15768
(Tit.)	w3_d363e15771
Hrn.	w5_d363e15774
Carl	w7_d363e15777
Ludw.	w9_d363e15780
Dattenrieder,	w11_d363e15783
K.	w13_d363e15787
K.	w15_d363e15790
Hof=kriegs=rahts=conclp.,	w1_d363e15795
s.	w3_d363e15798
Fr.	w5_d363e15801
Elisab.,	w7_d363e15804
bey	w9_d363e15807
Ma	w11_d363e15810
ria=täferl	w1_d363e15815
auf	w3_d363e15818
der	w5_d363e15821
Wied.,	w7_d363e15824
alt	w9_d363e15827
45.	w11_d363e15830
Der	w1_d363e15836
Anna	w3_d363e15839
Maulpertschin,	w5_d363e15842
Wittwe,	w7_d363e15845
ihr	w9_d363e15848
T.	w11_d363e15851
Theres.,	w13_d363e15855
im	w1_d363e15860
Kollmünzeris.	w3_d363e15863
H.	w5_d363e15866
auf	w7_d363e15869
der	w9_d363e15872
Laimgr.,	w11_d363e15875
20.	w13_d363e15879
J.	w15_d363e15882
Jos.	w1_d363e15887
Barfusser,	w3_d363e15890
Maurer,	w5_d363e15893
in	w7_d363e15896
s.	w9_d363e15899
H.	w11_d363e15902
im	w13_d363e15906
Lerchenfeld,	w15_d363e15909
alt	w1_d363e15914
33.	w3_d363e15917
J.	w5_d363e15920
Dem	w1_d363e15926
Tob.	w3_d363e15929
Weigl,	w5_d363e15932
abged.	w7_d363e15935
Sold.,	w9_d363e15938
s.	w11_d363e15941
K.	w13_d363e15945
Theres.,	w15_d363e15948
bey	w17_d363e15951
