<doc id="wr_1760-05-24" attrs="word" year="1760" month="05" day="24" corpus="2">
<head id="h2_d452e2550">
Weichsel=strom	w1_d452e2554
die	w13_d452e6168
Sächsische	w1_d452e6173
Trupen	w3_d452e6176
wieder	w5_d452e6179
angefangen.	w7_d452e6182
Zu	w9_d452e6185
Chemnitz	w1_d452e6190
sollen	w3_d452e6193
noch	w5_d452e6196
400.	w7_d452e6199
Preussen,	w9_d452e6202
und	w11_d452e6205
ein	w13_d452e6209
kleines	w1_d452e6215
Artillerie=corps	w3_d452e6218
zum	w5_d452e6221
Patrouilliren	w7_d452e6224
stehen.	w1_d452e6229
Das	w3_d452e6232
Corps	w5_d452e6235
des	w7_d452e6238
Generals	w9_d452e6241
von	w11_d452e6244
Schenkendorf,	w1_d452e6249
welches	w3_d452e6252
5000.	w5_d452e6255
Mann	w7_d452e6258
aus	w9_d452e6261
macht,	w1_d452e6266
und	w3_d452e6269
18.	w5_d452e6272
Canonen	w7_d452e6275
bey	w9_d452e6278
sich	w11_d452e6281
hat,	w13_d452e6285
scheinet	w1_d452e6291
bestimmet	w3_d452e6294
zu	w5_d452e6297
seyn,	w7_d452e6300
den	w9_d452e6303
rechten	w11_d452e6306
Flü	w13_d452e6310
gel	w1_d452e6315
der	w3_d452e6318
Armee	w5_d452e6321
des	w7_d452e6324
Königs	w9_d452e6327
zu	w11_d452e6330
bedecken,	w13_d452e6334
oder	w1_d452e6339
etwas	w3_d452e6342
gegen	w5_d452e6345
Schlaitz	w7_d452e6348
und	w9_d452e6351
Neustadt	w11_d452e6354
zu	w13_d452e6358
versuchen.	w1_d452e6363
Die	w3_d452e6366
Magazine	w5_d452e6369
lassen	w7_d452e6372
die	w9_d452e6375
Preus	w11_d452e6378
sen	w1_d452e6384
nach	w3_d452e6387
Torgau	w5_d452e6390
und	w7_d452e6393
Wittenberg	w9_d452e6396
schaffen.	w11_d452e6399
</p>
<head id="h2_d452e6405">
Versailles	w1_d452e6409
11.	w3_d452e6412
May.	w5_d452e6415
</head>
<p id="p4_d452e6418">
Die	w1_d452e6422
Krankheit	w3_d452e6425
des	w5_d452e6428
Prinzens	w7_d452e6431
von	w9_d452e6434
Bour	w11_d452e6437
gogne	w1_d452e6442
ist	w3_d452e6445
täglich	w5_d452e6448
vielen	w7_d452e6451
betrübten	w9_d452e6454
Verände	w11_d452e6457
rungen	w1_d452e6462
unterworfen.	w3_d452e6465
Der	w5_d452e6468
ganze	w7_d452e6471
Hof	w9_d452e6474
be	w11_d452e6477
fürchtet	w1_d452e6483
die	w3_d452e6486
unglücklichsten	w5_d452e6489
Folgen,	w7_d452e6492
von	w9_d452e6495
der	w11_d452e6498
neulich	w1_d452e6503
an	w3_d452e6506
ihm	w5_d452e6509
vollzogenen	w7_d452e6512
Operation.	w9_d452e6515
Dem	w11_d452e6518
ungeachtet	w1_d452e6523
zeiget	w3_d452e6526
dieser	w5_d452e6529
grosse	w7_d452e6532
Prinz	w9_d452e6535
bey	w11_d452e6538
de	w13_d452e6542
nen	w1_d452e6547
empfindlichsten	w3_d452e6550
Schmerzen	w5_d452e6553
einen	w7_d452e6556
solchen	w9_d452e6559
Heldenmut,	w1_d452e6565
der	w3_d452e6568
sein	w5_d452e6571
Alter	w7_d452e6574
und	w9_d452e6577
seine	w11_d452e6580
Kräfte	w13_d452e6584
weit	w1_d452e6589
übertrift.	w3_d452e6592
Der	w5_d452e6595
Herzog	w7_d452e6598
von	w9_d452e6601
Aiguil	w11_d452e6604
lon	w1_d452e6609
hat	w3_d452e6612
sich	w5_d452e6615
den	w7_d452e6618
27.	w9_d452e6621
April	w11_d452e6624
bey	w13_d452e6628
dem	w15_d452e6631
ganzen	w17_d452e6634
Königlichen	w1_d452e6639
Hause	w3_d452e6642
beurlaubet,	w5_d452e6645
und	w7_d452e6648
ist	w9_d452e6651
so	w11_d452e6654
gleich	w1_d452e6660
nach	w3_d452e6663
denen	w5_d452e6666
Küsten	w7_d452e6669
von	w9_d452e6672
Bretagne	w11_d452e6675
ab	w13_d452e6679
gereiset.	w1_d452e6684
Den	w3_d452e6687
nämlichen	w5_d452e6690
Tag	w7_d452e6693
hat	w9_d452e6696
der	w11_d452e6699
Hr.	w13_d452e6703
Delisle,	w1_d452e6708
Mit=glied	w3_d452e6711
der	w5_d452e6714
Königl.	w7_d452e6717
Academie	w9_d452e6720
der	w1_d452e6725
Wissenschaften	w3_d452e6728
zu	w5_d452e6731
Paris,	w7_d452e6734
Sr.	w9_d452e6737
Königl.	w11_d452e6740
Majest.	w1_d452e6746
eine	w3_d452e6749
Land=carte	w5_d452e6752
nebst	w7_d452e6755
einer	w9_d452e6758
Er	w11_d452e6761
klärung	w1_d452e6766
derselben	w3_d452e6769
überreichet.	w5_d452e6772
Diese	w7_d452e6775
Carte	w9_d452e6778
</p>
<p id="p10_d452e6791">
zeigt	w1_d452e6795
den	w3_d452e6798
Gang	w5_d452e6801
der	w7_d452e6804
Venus	w9_d452e6807
durch	w11_d452e6810
die	w13_d452e6814
Sonne	w15_d452e6817
an;	w1_d452e6822
sie	w3_d452e6825
lehret	w5_d452e6828
zugleich,	w7_d452e6831
in	w9_d452e6834
welchen	w11_d452e6837
Welt	w13_d452e6841
gegenden	w1_d452e6846
man	w3_d452e6849
solche	w5_d452e6852
am	w7_d452e6855
besten	w9_d452e6858
beobachten	w11_d452e6861
kan.	w1_d452e6867
Diese	w3_d452e6870
seltne	w5_d452e6873
Natur=erscheinung	w7_d452e6876
ist	w9_d452e6879
den	w1_d452e6884
6.	w3_d452e6887
Junii	w5_d452e6890
1761.	w7_d452e6893
sichtbar.	w9_d452e6896
Der	w11_d452e6899
Hr.	w13_d452e6903
von	w1_d452e6908
Anlau,	w3_d452e6911
Brigadier	w5_d452e6914
der	w7_d452e6917
Königl.	w9_d452e6920
Kriegs	w11_d452e6923
heere,	w1_d452e6928
und	w3_d452e6931
Oberster	w5_d452e6934
eines	w7_d452e6937
Regiments	w9_d452e6940
Königl.	w11_d452e6943
Grenadiers,	w1_d452e6949
hat	w3_d452e6952
das	w5_d452e6955
Gouvernement	w7_d452e6958
über	w9_d452e6961
Lisle	w1_d452e6966
in	w3_d452e6969
Flandern	w5_d452e6972
erhalten.	w7_d452e6975
</p>
<head id="h2_d452e6981">
Aus	w1_d452e6985
Franken	w3_d452e6988
11.	w5_d452e6991
May.	w7_d452e6994
</head>
<p id="p4_d452e6997">
Dem	w1_d452e7001
Verlaut	w3_d452e7004
nach	w5_d452e7007
sind	w7_d452e7010
für	w9_d452e7013
die	w11_d452e7016
Reichs	w13_d452e7020
armee	w1_d452e7025
3.	w3_d452e7028
Lager	w5_d452e7031
ausgestecket;	w7_d452e7034
eines	w9_d452e7037
bey	w11_d452e7040
Kö	w13_d452e7044
nigshofen,	w1_d452e7049
das	w3_d452e7052
andere	w5_d452e7055
in	w7_d452e7058
der	w9_d452e7061
Gegend	w11_d452e7064
Haß	w13_d452e7068
furt,	w1_d452e7074
das	w3_d452e7077
dritte	w5_d452e7080
bey	w7_d452e7083
Ebelsfeld,	w9_d452e7086
welche	w11_d452e7089
die	w13_d452e7093
Trupen	w1_d452e7098
ehestens	w3_d452e7101
beziehen	w5_d452e7104
sollen.	w7_d452e7107
Der	w9_d452e7110
Cor	w11_d452e7113
von	w1_d452e7118
bleibet	w3_d452e7121
inzwischen	w5_d452e7124
in	w7_d452e7127
seiner	w9_d452e7130
Versassung	w11_d452e7133
Die	w1_d452e7138
Artillerie	w3_d452e7141
stehet	w5_d452e7144
noch	w7_d452e7147
bey	w9_d452e7150
Vorchheim.	w11_d452e7153
</p>
<head id="h2_d452e7159">
Constantinopel	w1_d452e7163
2.	w3_d452e7166
April.	w5_d452e7169
</head>
<p id="p4_d452e7172">
Vor	w1_d452e7176
einigen	w3_d452e7179
Tagen	w5_d452e7182
kam	w7_d452e7185
in	w9_d452e7188
einem	w11_d452e7191
Hause,	w13_d452e7195
nicht	w1_d452e7200
weit	w3_d452e7203
von	w5_d452e7206
dem	w7_d452e7209
Pallaste	w9_d452e7212
des	w11_d452e7215
Großwve	w13_d452e7219
ziers,	w1_d452e7224
Feuer	w3_d452e7227
aus,	w5_d452e7230
wobey	w7_d452e7233
dieses	w9_d452e7236
schöne	w11_d452e7239
Ge	w13_d452e7243
bäude	w1_d452e7249
in	w3_d452e7252
grosser	w5_d452e7255
Gefahr	w7_d452e7258
war,	w9_d452e7261
von	w11_d452e7264
denen	w13_d452e7268
Flam	w15_d452e7271
men	w1_d452e7276
ergriffen	w3_d452e7279
zu	w5_d452e7282
werden;	w7_d452e7285
doch	w9_d452e7288
die	w11_d452e7291
Janit	w13_d452e7295
scharen,	w1_d452e7300
welche	w3_d452e7303
durch	w5_d452e7306
die	w7_d452e7309
Gegenwart	w9_d452e7312
dieses	w11_d452e7315
ersten	w1_d452e7320
Ministers	w3_d452e7323
der	w5_d452e7326
Pforte	w7_d452e7329
aufgemuntert	w9_d452e7332
wurden,	w1_d452e7338
arbeiteten	w3_d452e7341
mit	w5_d452e7344
solchem	w7_d452e7347
Eifer,	w9_d452e7350
daß	w11_d452e7353
dem	w1_d452e7358
Fortgange	w3_d452e7361
der	w5_d452e7364
Flammen	w7_d452e7367
bald	w9_d452e7370
Einhalt	w11_d452e7373
gethan	w1_d452e7378
wurde.	w3_d452e7381
Nachdem	w5_d452e7384
ein	w7_d452e7387
gewisser	w9_d452e7390
Aus	w11_d452e7393
länder,	w1_d452e7398
Namens	w3_d452e7401
Franz	w5_d452e7404
Linsoux,	w7_d452e7407
der	w9_d452e7410
bey	w11_d452e7413
dem	w13_d452e7417
gewesten	w1_d452e7423
Hospodar	w3_d452e7426
in	w5_d452e7429
der	w7_d452e7432
Wallachey	w9_d452e7435
und	w11_d452e7438
Molldau	w1_d452e7443
als	w3_d452e7446
Secretair	w5_d452e7449
gestanden,	w7_d452e7452
angeklaget	w9_d452e7455
und	w1_d452e7460
überführet	w3_d452e7463
worden,	w5_d452e7466
nicht	w7_d452e7469
allein	w9_d452e7472
seit	w11_d452e7475
der	w13_d452e7479
Absetzung	w1_d452e7484
seines	w3_d452e7487
Principalen	w5_d452e7490
Corresponden	w7_d452e7493
zen	w1_d452e7499
unterhalten	w3_d452e7502
zu	w5_d452e7505
haben,	w7_d452e7508
welche	w9_d452e7511
auf	w11_d452e7514
die	w13_d452e7518
Erregung	w1_d452e7523
eines	w3_d452e7526
Aufstandes	w5_d452e7529
in	w7_d452e7532
der	w9_d452e7535
letztern	w11_d452e7538
die	w13_d452e7542
ser	w1_d452e7547
Provinzen	w3_d452e7550
abgezielet,	w5_d452e7553
sondern	w7_d452e7556
daß	w9_d452e7559
er	w11_d452e7562
auc	w13_d452e7566
falsche	w1_d452e7571
Wechsel=briefe	w3_d452e7574
für	w5_d452e7577
eine	w7_d452e7580
sehr	w9_d452e7583
ansehn	w11_d452e7586
liche	w1_d452e7592
Summe	w3_d452e7595
gemacht	w5_d452e7598
habe;	w7_d452e7601
so	w9_d452e7604
ist	w11_d452e7607
er	w13_d452e7611
die	w15_d452e7614
vorige	w1_d452e7619
Woche	w3_d452e7622
in	w5_d452e7625
Gegenwart	w7_d452e7628
des	w9_d452e7631
Groß	w11_d452e7634
herrn	w1_d452e7639
enthauptet	w3_d452e7642
worden,	w5_d452e7645
und	w7_d452e7648
dessen	w9_d452e7651
Cörper	w11_d452e7654
3.	w1_d452e7659
Tage	w3_d452e7662
lang	w5_d452e7665
zur	w7_d452e7668
Schau	w9_d452e7671
öffentlich	w11_d452e7674
ligen	w13_d452e7678
giitiben.	w1_d452e7684
</p>
<head id="h2_d452e7690">
Paris	w1_d452e7694
10.	w3_d452e7697
May.	w5_d452e7700
</head>
<p id="p4_d452e7703">
Am	w1_d452e7707
1sten	w3_d452e7710
dieses	w5_d452e7713
ist	w7_d452e7716
der	w9_d452e7719
Generalleut	w11_d452e7722
nant,	w1_d452e7727
Herzog	w3_d452e7730
von	w5_d452e7733
Aiguillon,	w7_d452e7736
von	w9_d452e7739
hier	w11_d452e7742
ver	w13_d452e7746
reiset,	w1_d452e7751
um	w3_d452e7754
das	w5_d452e7757
ihm	w7_d452e7760
aufgetragene	w9_d452e7763
General	w11_d452e7766
commando	w1_d452e7772
über	w3_d452e7775
die	w5_d452e7778
an	w7_d452e7781
denen	w9_d452e7784
Cüsten	w11_d452e7787
von	w13_d452e7791
Bretagne	w1_d452e7796
befindliche	w3_d452e7799
Trupen	w5_d452e7802
zu	w7_d452e7805
überneh	w9_d452e7808
men.	w1_d452e7813
Die	w3_d452e7816
Gesundheits=umstände	w5_d452e7819
des	w7_d452e7822
Hrn.	w9_d452e7825
Herzogen	w1_d452e7830
von	w3_d452e7833
Burgund	w5_d452e7836
sind	w7_d452e7839
noch	w9_d452e7842
immer	w11_d452e7845
sehr	w1_d452e7851
critisch.	w3_d452e7854
Da	w5_d452e7857
sich	w7_d452e7860
ein	w9_d452e7863
Fieber	w11_d452e7866
eingefun	w13_d452e7870
den,	w1_d452e7875
so	w3_d452e7878
hat	w5_d452e7881
man	w7_d452e7884
geglaubt,	w9_d452e7887
daß	w11_d452e7890
die	w13_d452e7894
nahrhaf	w15_d452e7897
te	w1_d452e7902
Brühen	w3_d452e7905
daran	w5_d452e7908
schuldig	w7_d452e7911
seyen,	w9_d452e7914
weswe	w11_d452e7917
gen	w1_d452e7922
man	w3_d452e7925
selbige	w5_d452e7928
verdünnert,	w7_d452e7931
und	w9_d452e7934
dem	w11_d452e7937
Prin	w13_d452e7941
zen	w1_d452e7947
die	w3_d452e7950
genaueste	w5_d452e7953
Diät	w7_d452e7956
vorgeschrieben.	w9_d452e7959
Dem	w11_d452e7962
unerachtet,	w1_d452e7967
hat	w3_d452e7970
sich	w5_d452e7973
sowol	w7_d452e7976
der	w9_d452e7979
Zufluß	w11_d452e7982
der	w13_d452e7986
Materie	w1_d452e7991
an	w3_d452e7994
der	w5_d452e7997
Wunde,	w7_d452e8000
als	w9_d452e8003
auch	w11_d452e8006
das	w13_d452e8010
Fie	w15_d452e8013
ber	w1_d452e8018
vermehret.	w3_d452e8021
Gais=milch	w5_d452e8024
ist	w7_d452e8027
anjetzo	w9_d452e8030
die	w11_d452e8033
einige	w1_d452e8039
Nahrung	w3_d452e8042
des	w5_d452e8045
Prinzens.	w7_d452e8048
Der	w9_d452e8051
Car	w11_d452e8054
dinal=bischof	w1_d452e8059
von	w3_d452e8062
Lüttig	w5_d452e8065
ist	w7_d452e8068
unter	w9_d452e8071
dem	w11_d452e8074
Na	w13_d452e8078
men	w1_d452e8083
eines	w3_d452e8086
Marquis	w5_d452e8089
von	w7_d452e8092
Franchiment	w9_d452e8095
in	w11_d452e8098
cognito	w1_d452e8103
hierdurch	w3_d452e8106
paßiret,	w5_d452e8109
und	w7_d452e8112
hat	w9_d452e8115
ein	w11_d452e8118
an	w13_d452e8122
mütiges	w1_d452e8128
Haus	w3_d452e8131
zu	w5_d452e8134
Autenil	w7_d452e8137
gemietet.	w9_d452e8140
Vor	w11_d452e8143
einigen	w1_d452e8148
Tagen	w3_d452e8151
haben	w5_d452e8154
Se.	w7_d452e8157
Eminenz	w9_d452e8160
zu	w11_d452e8163
Bel	w13_d452e8167
levue	w1_d452e8172
mit	w3_d452e8175
dem	w5_d452e8178
König	w7_d452e8181
gespeiset,	w9_d452e8184
nachdeme	w11_d452e8187
Se.	w1_d452e8192
Majest.	w3_d452e8195
dieselbe	w5_d452e8198
vorhero	w7_d452e8201
durch	w9_d452e8204
den	w11_d452e8207
Hrn.	w13_d452e8211
Herzogen	w1_d452e8217
von	w3_d452e8220
Choiseul	w5_d452e8223
complimentiren	w7_d452e8226
las	w9_d452e8229
sen.	w1_d452e8234
Der	w3_d452e8237
General=leutenant,	w5_d452e8240
Marquis	w7_d452e8243
de	w9_d452e8246
Surgeres,	w1_d452e8251
ein	w3_d452e8254
grosser	w5_d452e8257
Beschützer	w7_d452e8260
der	w9_d452e8263
Künste	w11_d452e8266
und	w1_d452e8271
Wissenschaften,	w3_d452e8274
ist	w5_d452e8277
mit	w7_d452e8280
Tod	w9_d452e8283
abgangen	w11_d452e8286
</p>
<head id="h2_d452e8293">
Hamburg	w1_d452e8297
9	w3_d452e8300
May.	w5_d452e8303
</head>
<p id="p4_d452e8306">
Aus	w1_d452e8310
Greifswalde	w3_d452e8313
wird	w5_d452e8316
gemeldet,	w7_d452e8319
daß	w9_d452e8322
bereits	w1_d452e8327
einige	w3_d452e8330
1000.	w5_d452e8333
Schweden	w7_d452e8336
frische	w9_d452e8339
Tru	w11_d452e8342
pen	w1_d452e8347
bey	w3_d452e8350
der	w5_d452e8353
dasigen	w7_d452e8356
Armee	w9_d452e8359
angekommen;	w11_d452e8362
welche	w1_d452e8368
ehestens	w3_d452e8371
weiter	w5_d452e8374
vorrücken	w7_d452e8377
werden.	w9_d452e8380
Wie	w11_d452e8383
dann	w1_d452e8388
auch	w3_d452e8391
die	w5_d452e8394
Schwedische	w7_d452e8397
Flotte	w9_d452e8400
durch	w11_d452e8403
die	w13_d452e8407
Ukermünde	w1_d452e8412
bis	w3_d452e8415
gegen	w5_d452e8418
Stettin	w7_d452e8421
schon	w9_d452e8424
paßirt	w11_d452e8427
seye,	w1_d452e8432
um	w3_d452e8435
die	w5_d452e8438
Passage	w7_d452e8441
auf	w9_d452e8444
dem	w11_d452e8447
Oder=flusse	w13_d452e8451
enger	w1_d452e8457
einzuschliessen,	w3_d452e8460
oder	w5_d452e8463
gar	w7_d452e8466
zu	w9_d452e8469
sperren.	w11_d452e8472
Die	w1_d452e8477
Trupen,	w3_d452e8480
welche	w5_d452e8483
sie	w7_d452e8486
aus	w9_d452e8489
Land	w11_d452e8492
gesetzet,	w13_d452e8496
haben	w1_d452e8501
die	w3_d452e8504
ausgesetzte	w5_d452e8507
Preußische	w7_d452e8510
Postirun	w9_d452e8513
gen	w1_d452e8518
überfallen,	w3_d452e8521
und	w5_d452e8524
sich	w7_d452e8527
sodann	w9_d452e8530
von	w11_d452e8533
denen	w13_d452e8537
Jnsuln	w1_d452e8543
Ussedom	w3_d452e8546
und	w5_d452e8549
Wollin,	w7_d452e8552
Meister	w9_d452e8555
ge	w11_d452e8558
macht.	w1_d452e8563
</p>
<head id="h4_d452e8579">
Julda	w1_d452e8583
8.	w3_d452e8586
May.	w5_d452e8589
</head>
<p id="p6_d452e8592">
Den	w1_d452e8596
1.	w3_d452e8599
Abends	w5_d452e8602
wurde	w7_d452e8605
unserer	w9_d452e8608
Regie	w11_d452e8611
rung	w1_d452e8616
berichtet,	w3_d452e8619
daß	w5_d452e8622
ein	w7_d452e8625
Corps	w9_d452e8628
von	w11_d452e8631
18.	w13_d452e8635
bis	w15_d452e8638
20000.	w1_d452e8643
Hanoveraner	w3_d452e8646
bey	w5_d452e8649
Bischoffsheim	w7_d452e8652
gesehen	w1_d452e8658
worden,	w3_d452e8661
dessen	w5_d452e8664
Officiers	w7_d452e8667
dem	w9_d452e8670
Be	w11_d452e8673
zirk	w1_d452e8678
dieser	w3_d452e8681
Bischöflich	w5_d452e8684
und	w7_d452e8687
Abteylichen	w9_d452e8690
Staa	w11_d452e8693
ten	w1_d452e8698
mit	w3_d452e8701
einer	w5_d452e8704
Contuibation	w7_d452e8707
von	w9_d452e8710
200000.	w11_d452e8713
Thlr.	w1_d452e8718
zu	w3_d452e8721
drohen	w5_d452e8724
schienen,	w7_d452e8727
die	w9_d452e8730
letzte	w11_d452e8733
aus	w13_d452e8737
Bischoffsheim	w1_d452e8743
angekommene	w3_d452e8746
Staffette	w5_d452e8749
fügt	w7_d452e8752
hinzu,	w1_d452e8757
daß	w3_d452e8760
nicht	w5_d452e8763
nur	w7_d452e8766
die	w9_d452e8769
Würtembergisch	w11_d452e8772
und	w1_d452e8777
Sächsische	w3_d452e8780
Corps,	w5_d452e8783
sondern	w7_d452e8786
auch	w9_d452e8789
der	w11_d452e8792
gröste	w1_d452e8797
Theil	w3_d452e8800
der	w5_d452e8803
Reichs=armee	w7_d452e8806
in	w9_d452e8809
Bewe	w11_d452e8812
gung	w1_d452e8818
wären,	w3_d452e8821
um	w5_d452e8824
dieser	w7_d452e8827
neuen	w9_d452e8830
Einruckung	w11_d452e8833
in	w1_d452e8838
hiesige	w3_d452e8841
Staaten	w5_d452e8844
Einhalt	w7_d452e8847
zu	w9_d452e8850
thuen.	w11_d452e8853
Von	w13_d452e8857
Hirschfeld	w1_d452e8862
vernihmt	w3_d452e8865
man,	w5_d452e8868
daß	w7_d452e8871
bey	w9_d452e8874
Breiden	w11_d452e8877
bach	w1_d452e8882
ein	w3_d452e8885
Lager	w5_d452e8888
für	w7_d452e8891
30000.	w9_d452e8894
Hanöverisch	w11_d452e8897
und	w1_d452e8903
Heßische	w3_d452e8906
Trupen	w5_d452e8909
abgestochen	w7_d452e8912
worden,	w9_d452e8915
und	w1_d452e8920
verschiedene	w3_d452e8923
von	w5_d452e8926
diesen	w7_d452e8929
Trupen	w9_d452e8932
würklich	w11_d452e8935
im	w1_d452e8940
Marsch	w3_d452e8943
wären,	w5_d452e8946
solches	w7_d452e8949
zu	w9_d452e8952
beziehen,	w11_d452e8955
wie	w13_d452e8959
dann	w1_d452e8964
heut	w3_d452e8967
die	w5_d452e8970
in	w7_d452e8973
Hirschfeld	w9_d452e8976
gelegene	w11_d452e8979
blaue	w13_d452e8983
Hussaren	w1_d452e8989
dahin	w3_d452e8992
aufgebrochen,	w5_d452e8995
die	w7_d452e8998
in	w9_d452e9001
letzt	w11_d452e9004
gemeldter	w1_d452e9009
Stadt	w3_d452e9012
annoch	w5_d452e9015
liegende	w7_d452e9018
Jäger	w9_d452e9021
aber	w11_d452e9024
täglich	w1_d452e9029
bis	w3_d452e9032
Schlitz	w5_d452e9035
und	w7_d452e9038
dasige	w9_d452e9041
Gegenden	w11_d452e9044
patrouilliret.	w1_d452e9049
</p>
<head id="h2_d452e9055">
Toulon	w1_d452e9059
29.	w3_d452e9062
April.	w5_d452e9065
</head>
<p id="p4_d452e9068">
Am	w1_d452e9072
Donnerstag	w3_d452e9075
kam	w5_d452e9078
gegen	w7_d452e9081
alles	w9_d452e9084
Ver	w11_d452e9087
müthen	w1_d452e9092
die	w3_d452e9095
Fregatte,	w5_d452e9098
der	w7_d452e9101
Vogel,	w9_d452e9104
mit	w11_d452e9107
dem	w13_d452e9111
Engländischen	w1_d452e9116
Schif,	w3_d452e9119
der	w5_d452e9122
Prinz	w7_d452e9125
von	w9_d452e9128
Wallis	w11_d452e9131
hier	w1_d452e9137
an;	w3_d452e9140
ein	w5_d452e9143
glücklicher	w7_d452e9146
Wind=stoß	w9_d452e9149
war	w11_d452e9152
ihr	w13_d452e9156
behüflich,	w1_d452e9161
denen	w3_d452e9164
4.	w5_d452e9167
Engländischen	w7_d452e9170
Schiffen	w9_d452e9173
zu	w1_d452e9178
entwischen,	w3_d452e9181
so	w5_d452e9184
vor	w7_d452e9187
denen	w9_d452e9190
Minorcanischen	w11_d452e9193
Hafen	w1_d452e9198
auf	w3_d452e9201
sie	w5_d452e9204
lauerten.	w7_d452e9207
Das	w9_d452e9210
Gerüchte	w11_d452e9213
hat	w13_d452e9217
den	w1_d452e9223
Werth	w3_d452e9226
der	w5_d452e9229
Ladung	w7_d452e9232
dieses	w9_d452e9235
reichen	w11_d452e9238
Fangs	w13_d452e9242
nicht	w1_d452e9247
vergrössert.	w3_d452e9250
Es	w5_d452e9253
sind	w7_d452e9256
unter	w9_d452e9259
andern	w11_d452e9262
Waaren	w1_d452e9267
nur	w3_d452e9270
allein	w5_d452e9273
7637.	w7_d452e9276
Stück	w9_d452e9279
Englän	w11_d452e9282
dische	w1_d452e9287
Tücher	w3_d452e9290
darauf.	w5_d452e9293
161.	w7_d452e9296
Centner	w9_d452e9299
Jn	w11_d452e9302
digd,	w1_d452e9308
282.	w3_d452e9311
Centner	w5_d452e9314
Zucker,	w7_d452e9317
47.	w9_d452e9320
Centner	w11_d452e9323
Pfesser,	w1_d452e9328
892.	w3_d452e9331
Stück	w5_d452e9334
Bett=decken,	w7_d452e9337
216.	w9_d452e9340
Centner	w1_d452e9345
Caffee,	w3_d452e9348
1112.	w5_d452e9351
Block	w7_d452e9354
Bley,	w9_d452e9357
241.	w11_d452e9360
Stuck	w1_d452e9365
Mouselines,	w3_d452e9368
4.	w5_d452e9371
Cüsten	w7_d452e9374
mit	w9_d452e9377
aller	w11_d452e9380
hand	w1_d452e9386
Juwelen	w3_d452e9389
und	w5_d452e9392
Galanterie=waaren,	w7_d452e9395
so	w9_d452e9398
urbst	w1_d452e9403
einer	w3_d452e9406
Menge	w5_d452e9409
anderer	w7_d452e9412
Waaren	w9_d452e9415
von	w11_d452e9418
allerhand	w1_d452e9423
Gattungen	w3_d452e9426
unter	w5_d452e9429
der	w7_d452e9432
Ladung	w9_d452e9435
be	w11_d452e9438
</p>
<p id="p6_d452e9441">
griffen,	w1_d452e9445
können	w3_d452e9448
leicht	w5_d452e9451
schliessen	w7_d452e9454
machen,	w9_d452e9457
daß	w11_d452e9460
der	w1_d452e9465
angebliche	w3_d452e9468
Wehrt	w5_d452e9471
dieser	w7_d452e9474
Prise	w9_d452e9477
keines	w11_d452e9480
wegs	w1_d452e9485
übertrieben.	w3_d452e9488
Das	w5_d452e9491
neue	w7_d452e9494
Kriegs=schif,	w9_d452e9497
der	w1_d452e9503
Beschützer	w3_d452e9506
genannt,	w5_d452e9509
wird	w7_d452e9512
noch	w9_d452e9515
diese	w11_d452e9518
Woche	w1_d452e9523
ins	w3_d452e9526
Wasser	w5_d452e9529
gelassen	w7_d452e9532
werden.	w9_d452e9535
</p>
<head id="h2_d452e9541">
Londen	w1_d452e9545
8.	w3_d452e9548
May.	w5_d452e9551
</head>
<p id="p4_d452e9554">
Der	w1_d452e9558
Admiral	w3_d452e9561
Saunders	w5_d452e9564
wird	w7_d452e9567
nächstens	w9_d452e9570
nach	w1_d452e9575
dem	w3_d452e9578
Mittelländischen	w5_d452e9581
Meer	w7_d452e9584
abgehen,	w9_d452e9587
und	w1_d452e9592
eine	w3_d452e9595
Verstärkung	w5_d452e9598
von	w7_d452e9601
9.	w9_d452e9604
Schiffen	w11_d452e9607
zu	w13_d452e9611
der	w1_d452e9617
dasigen	w3_d452e9620
Flotte	w5_d452e9623
führen.	w7_d452e9626
Der	w9_d452e9629
Neptun,	w11_d452e9632
welchen	w1_d452e9637
besagter	w3_d452e9640
Admiral	w5_d452e9643
commandirt,	w7_d452e9646
hat	w9_d452e9649
90.	w1_d452e9654
Canonen,	w3_d452e9657
5.	w5_d452e9660
andere	w7_d452e9663
sind	w9_d452e9666
von	w11_d452e9669
70.,	w13_d452e9673
2.	w1_d452e9678
von	w3_d452e9681
60.,	w5_d452e9684
und	w7_d452e9687
eines	w9_d452e9690
von	w11_d452e9693
56.	w13_d452e9697
Canonen.	w15_d452e9700
Zu	w1_d452e9706
gleicher	w3_d452e9709
Zeit	w5_d452e9712
gehen	w7_d452e9715
2.	w9_d452e9718
Jnfanterieregi	w11_d452e9721
menter	w1_d452e9726
mit,	w3_d452e9729
um	w5_d452e9732
die	w7_d452e9735
Garnison	w9_d452e9738
zu	w11_d452e9741
Gibraltar	w13_d452e9745
zu	w1_d452e9750
verstärken,	w3_d452e9753
welche	w5_d452e9756
bereits	w7_d452e9759
aus	w9_d452e9762
6.	w11_d452e9765
Regi	w13_d452e9769
mentern	w1_d452e9774
bestehet.	w3_d452e9777
</p>
<head id="h2_d452e9783">
Hanover	w1_d452e9787
12.	w3_d452e9790
May.	w5_d452e9793
</head>
<p id="p4_d452e9796">
Aus	w1_d452e9800
dem	w3_d452e9803
Haupt=quartier	w5_d452e9806
Sr.	w7_d452e9809
Durchl.	w9_d452e9812
des	w1_d452e9817
