<doc id="wr_1756-08-11" attrs="word" year="1756" month="08" day="11" corpus="2">
<head id="h2_d64e2523">
Boston	w1_d64e2527
neue	w9_d64e6242
Ordere	w11_d64e6245
in	w13_d64e6249
Bürger	w15_d64e6252
häuser	w1_d64e6257
verlegt	w3_d64e6260
worden;	w5_d64e6263
die	w7_d64e6266
Casernen	w9_d64e6269
sollen	w11_d64e6272
für	w1_d64e6277
die	w3_d64e6280
Truppen	w5_d64e6283
frey	w7_d64e6286
seyn,	w9_d64e6289
die	w11_d64e6292
man	w13_d64e6296
in	w15_d64e6299
die	w17_d64e6302
ser	w1_d64e6307
Provinz	w3_d64e6310
erwartet,	w5_d64e6313
und	w7_d64e6316
die	w9_d64e6319
sich	w11_d64e6322
auf	w13_d64e6326
30.	w15_d64e6329
tausend	w1_d64e6335
Mann	w3_d64e6338
belauffen	w5_d64e6341
sollen.	w7_d64e6344
Wier	w9_d64e6347
Ba	w11_d64e6350
taillons	w1_d64e6355
werden	w3_d64e6358
morgen	w5_d64e6361
oder	w7_d64e6364
übermorgen	w9_d64e6367
bereits	w1_d64e6372
eintreffen.	w3_d64e6375
Zu	w5_d64e6378
Puget	w7_d64e6381
zwischen	w9_d64e6384
Ton	w11_d64e6387
lon	w1_d64e6392
und	w3_d64e6395
Brigole	w5_d64e6398
wird	w7_d64e6401
ein	w9_d64e6404
Lager	w11_d64e6407
aufge	w13_d64e6411
schlagen.	w1_d64e6417
</p>
<head id="h2_d64e6423">
Paris	w1_d64e6427
23.	w3_d64e6430
Julii.	w5_d64e6433
</head>
<p id="p4_d64e6436">
Jn	w1_d64e6440
der	w3_d64e6443
Nacht	w5_d64e6446
vom	w7_d64e6449
13.	w9_d64e6452
auf	w11_d64e6455
den	w13_d64e6459
14.	w15_d64e6462
dieses	w17_d64e6465
haben	w1_d64e6470
12.	w3_d64e6473
Engländische	w5_d64e6476
Fahrzeuge	w7_d64e6479
auf	w9_d64e6482
die	w11_d64e6485
Jnsel	w1_d64e6490
Chausey	w3_d64e6493
ein	w5_d64e6496
Detaschement	w7_d64e6499
Grenadie	w9_d64e6502
rer	w1_d64e6508
ausgeschiffet,	w3_d64e6511
des	w5_d64e6514
Vorhabens,	w7_d64e6517
sich	w9_d64e6520
des	w11_d64e6523
darauf	w1_d64e6528
befindlichen	w3_d64e6531
kleinen	w5_d64e6534
Forts	w7_d64e6537
zu	w9_d64e6540
bemäch	w11_d64e6543
tigen:	w1_d64e6548
Diese	w3_d64e6551
Jnsel	w5_d64e6554
liget	w7_d64e6557
3.	w9_d64e6560
bis	w11_d64e6563
4.	w13_d64e6567
Stunde	w15_d64e6570
von	w1_d64e6575
St.	w3_d64e6578
Malo,	w5_d64e6581
und	w7_d64e6584
hatte	w9_d64e6587
nur	w11_d64e6590
100.	w13_d64e6594
Jvali	w15_d64e6597
den	w1_d64e6603
zur	w3_d64e6606
Besatzung;	w5_d64e6609
Nachdeme	w7_d64e6612
diese	w9_d64e6615
zur	w11_d64e6618
Uber	w13_d64e6622
gab	w1_d64e6627
aufgefordert	w3_d64e6630
worden,	w5_d64e6633
haben	w7_d64e6636
sie,	w9_d64e6639
weilen	w11_d64e6642
es	w1_d64e6647
ihnen	w3_d64e6650
unmöglich	w5_d64e6653
ware	w7_d64e6656
sich	w9_d64e6659
zu	w11_d64e6662
vertheidi	w13_d64e6666
gen,	w1_d64e6671
ohne	w3_d64e6674
Widerstand	w5_d64e6677
capituliret.	w7_d64e6680
Die	w9_d64e6683
Beute	w1_d64e6689
ist	w3_d64e6692
aber	w5_d64e6695
von	w7_d64e6698
keiner	w9_d64e6701
Wichtigkeit,	w11_d64e6704
mas	w13_d64e6708
sen	w1_d64e6713
nichts	w3_d64e6716
anders	w5_d64e6719
als	w7_d64e6722
nur	w9_d64e6725
etliche	w11_d64e6728
Steingru	w13_d64e6732
ben	w1_d64e6737
sich	w3_d64e6740
auf	w5_d64e6743
dieser	w7_d64e6746
Jnsel	w9_d64e6749
befinden	w11_d64e6752
Es	w13_d64e6756
wer	w15_d64e6759
den	w1_d64e6764
alhier	w3_d64e6767
prächtige	w5_d64e6770
Anstalten	w7_d64e6773
zu	w9_d64e6776
dem	w11_d64e6779
Feuer	w13_d64e6783
werk	w1_d64e6789
gemacht,	w3_d64e6792
welches	w5_d64e6795
künftigen	w7_d64e6798
Sonntag,	w9_d64e6801
wegen	w1_d64e6806
Eroberung	w3_d64e6809
von	w5_d64e6812
Port=mahon	w7_d64e6815
angezün	w9_d64e6818
det	w1_d64e6823
werden	w3_d64e6826
solle.	w5_d64e6829
</p>
<head id="h2_d64e6835">
Aus	w1_d64e6839
Niederland.	w3_d64e6842
Haag	w1_d64e6847
20.	w3_d64e6850
Julii.	w5_d64e6853
</head>
<p id="p4_d64e6856">
Dieser	w1_d64e6860
Tagen	w3_d64e6863
langte	w5_d64e6866
ein	w7_d64e6869
Rußischer	w9_d64e6872
Herr	w11_d64e6875
mit	w1_d64e6880
einem	w3_d64e6883
zahlreichen	w5_d64e6886
Gefolge	w7_d64e6889
hier	w9_d64e6892
an,	w11_d64e6895
und,	w13_d64e6899
nachdem	w1_d64e6904
er	w3_d64e6907
sich	w5_d64e6910
einige	w7_d64e6913
Tage	w9_d64e6916
allhier	w11_d64e6919
aufgehal	w13_d64e6923
ten,	w1_d64e6929
und	w3_d64e6932
mit	w5_d64e6935
dem	w7_d64e6938
Rußisch=Kaiserl.	w9_d64e6941
Bott	w11_d64e6944
schafter,	w1_d64e6949
Herrn	w3_d64e6952
Grafen	w5_d64e6955
von	w7_d64e6958
Golowkin,	w9_d64e6961
zwey	w11_d64e6964
mal	w1_d64e6969
gespeiset,	w3_d64e6972
ist	w5_d64e6975
er	w7_d64e6978
wieder	w9_d64e6981
von	w11_d64e6984
hier	w13_d64e6988
abge	w15_d64e6991
gangen,	w1_d64e6996
und	w3_d64e6999
zwar,	w5_d64e7002
seinem	w7_d64e7005
Vorgeben	w9_d64e7008
nach,	w11_d64e7011
nach	w1_d64e7017
Aachen,	w3_d64e7020
um	w5_d64e7023
alda	w7_d64e7026
den	w9_d64e7029
Brinmnen	w11_d64e7032
zu	w13_d64e7036
ge	w15_d64e7039
brauchen;	w1_d64e7044
man	w3_d64e7047
hat	w5_d64e7050
aber	w7_d64e7053
nachher	w9_d64e7056
erfahren,	w11_d64e7059
daß	w1_d64e7064
dieser	w3_d64e7067
Herr,	w5_d64e7070
welcher	w7_d64e7073
Teköhew	w9_d64e7076
heisset,	w11_d64e7079
und	w1_d64e7084
Raht,	w3_d64e7087
und	w5_d64e7090
erster	w7_d64e7093
Commis	w9_d64e7096
im	w11_d64e7099
Staats	w13_d64e7103
comtoir	w1_d64e7109
des	w3_d64e7112
Vice=cantzlers,	w5_d64e7115
Grafen	w7_d64e7118
von	w9_d64e7121
Woronzow,	w1_d64e7126
ist,	w3_d64e7129
seinen	w5_d64e7132
Weg	w7_d64e7135
gerad	w9_d64e7138
nach	w11_d64e7141
Pariß	w1_d64e7146
genommen.	w3_d64e7149
</p>
<head id="h2_d64e7156">
Aus	w1_d64e7160
dem	w3_d64e7163
Rußichen	w5_d64e7166
Reich.	w7_d64e7169
St.	w1_d64e7174
Petersburg	w3_d64e7177
5.	w5_d64e7180
Julii.	w7_d64e7183
</head>
<p id="p4_d64e7186">
Den	w1_d64e7190
29.	w3_d64e7193
jüngst=verwichenen	w5_d64e7196
Monats,	w7_d64e7199
als	w9_d64e7202
an	w1_d64e7207
dem	w3_d64e7210
Tage	w5_d64e7213
Petri	w7_d64e7216
und	w9_d64e7219
Pauli,	w11_d64e7222
wurden	w13_d64e7226
die	w15_d64e7229
beyden	w1_d64e7234
hohen	w3_d64e7237
Namens=feste	w5_d64e7240
Jhrer	w7_d64e7243
Kaiserl.	w9_d64e7246
Hoheiten	w1_d64e7252
des	w3_d64e7255
Groß=fürsten	w5_d64e7258
Peter	w7_d64e7261
Feodoro	w9_d64e7264
witsch,	w1_d64e7269
und	w3_d64e7272
des	w5_d64e7275
Groß=fürsten	w7_d64e7278
Paul	w9_d64e7281
Petro	w11_d64e7284
witsch	w1_d64e7289
feyerlichst	w3_d64e7292
alhier	w5_d64e7295
begangen.	w7_d64e7298
Alle	w9_d64e7301
in	w11_d64e7304
und	w1_d64e7309
ausländische	w3_d64e7312
Herren	w5_d64e7315
Minister,	w7_d64e7318
und	w9_d64e7321
übri	w11_d64e7324
ge	w1_d64e7330
Standes=personen	w3_d64e7333
erschirnen	w5_d64e7336
Vormittags	w7_d64e7339
in	w1_d64e7344
reicher	w3_d64e7347
Kleidung,	w5_d64e7350
und	w7_d64e7353
die	w9_d64e7356
Damen	w11_d64e7359
in	w13_d64e7363
Man	w15_d64e7366
teaux	w1_d64e7371
bey	w3_d64e7374
Hofe.	w5_d64e7377
Um	w7_d64e7380
11.	w9_d64e7383
Uhr	w11_d64e7386
gieng	w13_d64e7390
der	w15_d64e7393
so	w17_d64e7396
lenne	w1_d64e7401
GOttes=dienst	w3_d64e7404
in	w5_d64e7407
der	w7_d64e7410
grossen	w9_d64e7413
Hof	w11_d64e7416
ka	w13_d64e7420
pelle	w1_d64e7426
an,	w3_d64e7429
welchem	w5_d64e7432
des	w7_d64e7435
Groß=fürsten	w9_d64e7438
nebst	w11_d64e7441
der	w1_d64e7446
Groß=fürstin	w3_d64e7449
Kaiserl.	w5_d64e7452
Hoheiten	w7_d64e7455
in	w9_d64e7458
Be	w11_d64e7461
gleitung	w1_d64e7466
aller	w3_d64e7469
Anwesenden	w5_d64e7472
vornehmen	w7_d64e7475
Stan	w9_d64e7478
des=personen	w1_d64e7483
beywohneten.	w3_d64e7486
Die	w5_d64e7489
Canonen	w7_d64e7492
von	w1_d64e7498
der	w3_d64e7501
Festung,	w5_d64e7504
Admiralität	w7_d64e7507
und	w9_d64e7510
von	w11_d64e7513
denen	w13_d64e7517
mit	w1_d64e7522
Flaggen	w3_d64e7525
ausgezierten	w5_d64e7528
Kaiserl.	w7_d64e7531
Jachten	w9_d64e7534
wurden	w1_d64e7539
hierauf	w3_d64e7542
abgefeuert,	w5_d64e7545
und	w7_d64e7548
Jhro	w9_d64e7551
Kai	w11_d64e7554
serl.	w1_d64e7559
Hoheiten	w3_d64e7562
begaben	w5_d64e7565
sich	w7_d64e7568
mit	w9_d64e7571
eben	w11_d64e7574
demsel	w13_d64e7578
ben	w1_d64e7584
Staat	w3_d64e7587
nach	w5_d64e7590
dero	w7_d64e7593
Appartemens	w9_d64e7596
zuruck.	w11_d64e7599
Se.	w1_d64e7604
Kaiserl.	w3_d64e7607
Hoheiten	w5_d64e7610
wurden	w7_d64e7613
die	w9_d64e7616
Glück	w11_d64e7619
wünsche	w1_d64e7624
zu	w3_d64e7627
Dero	w5_d64e7630
hohen	w7_d64e7633
Namens=fest	w9_d64e7636
von	w11_d64e7639
den	w1_d64e7644
ausländischen	w3_d64e7647
Herren	w5_d64e7650
Ministern,	w7_d64e7653
und	w9_d64e7656
von	w1_d64e7662
den	w3_d64e7665
innländischen	w5_d64e7668
Standes=personen	w7_d64e7671
bey	w9_d64e7674
derley	w1_d64e7679
Geschlechts	w3_d64e7682
abgestattet.	w5_d64e7685
Wobey	w7_d64e7688
Se.	w9_d64e7691
Kaiserl.	w1_d64e7696
Hoheit	w3_d64e7699
Dero	w5_d64e7702
Hof=marschallen	w7_d64e7705
Ale	w9_d64e7708
rander	w1_d64e7713
Alexandrowitsch	w3_d64e7716
Narischkins	w5_d64e7719
Excesl.	w7_d64e7722
den	w1_d64e7728
Hollsteinischen	w3_d64e7731
St.	w5_d64e7734
Annän=orden	w7_d64e7737
gnä	w9_d64e7740
digst	w1_d64e7745
zu	w3_d64e7748
ertheilen	w5_d64e7751
geruheten.	w7_d64e7754
Zu	w9_d64e7757
Mittage	w11_d64e7760
war	w1_d64e7765
bey	w3_d64e7768
Sr	w5_d64e7771
Kaiserl.	w7_d64e7774
Hoheiten	w9_d64e7777
gewöhnli	w11_d64e7780
che	w1_d64e7785
Tafel,	w3_d64e7788
und	w5_d64e7791
bey	w7_d64e7794
den	w9_d64e7797
allerhöchsten	w11_d64e7800
Ge	w13_d64e7804
sundheiten	w1_d64e7810
wurden	w3_d64e7813
die	w5_d64e7816
Canonen	w7_d64e7819
von	w9_d64e7822
den	w11_d64e7825
Jachten	w1_d64e7830
gelöset.	w3_d64e7833
Abends,	w5_d64e7836
da	w7_d64e7839
sich	w9_d64e7842
die	w11_d64e7845
aus	w13_d64e7849
ländische	w1_d64e7854
Herren	w3_d64e7857
Minister,	w5_d64e7860
und	w7_d64e7863
hiesige	w9_d64e7866
ho	w11_d64e7869
he	w1_d64e7874
Standes=personen	w3_d64e7877
beyderley	w5_d64e7880
Geschlechts	w7_d64e7883
abermal	w1_d64e7889
bey	w3_d64e7892
Hofe	w5_d64e7895
versammlet	w7_d64e7898
hatten,	w9_d64e7901
fing	w11_d64e7904
sich	w1_d64e7909
in	w3_d64e7912
alle	w5_d64e7915
höchster	w7_d64e7918
Gegenwart	w9_d64e7921
Sr.	w11_d64e7924
Kaiserl.	w13_d64e7928
Majestät,	w1_d64e7933
wie	w3_d64e7936
auch	w5_d64e7939
Jhrer	w7_d64e7942
Kaiserl.	w9_d64e7945
Hohei	w11_d64e7948
ten	w1_d64e7953
in	w3_d64e7956
dem	w5_d64e7959
grossen	w7_d64e7962
Saale	w9_d64e7965
der	w11_d64e7968
Bal	w13_d64e7972
an,	w15_d64e7975
nach	w17_d64e7978
dessen	w1_d64e7984
Endigung	w3_d64e7987
Se.	w5_d64e7990
Kaiserl.	w7_d64e7993
Hoheiten	w9_d64e7996
in	w11_d64e7999
der	w1_d64e8004
Gallerie	w3_d64e8007
an	w5_d64e8010
einer	w7_d64e8013
figurirten	w9_d64e8016
und	w11_d64e8019
mit	w13_d64e8023
Frucht=bäumen	w1_d64e8028
und	w3_d64e8031
Pyramiden	w5_d64e8034
wolausge	w7_d64e8037
zierten	w1_d64e8042
Tafel	w3_d64e8045
mit	w5_d64e8048
den	w7_d64e8051
ausländischen	w9_d64e8054
Herren	w11_d64e8057
Ministern,	w1_d64e8063
und	w3_d64e8066
hiesigen	w5_d64e8069
Standes=personen	w7_d64e8072
der	w1_d64e8077
vier	w3_d64e8080
ersten	w5_d64e8083
Classen	w7_d64e8086
zu	w9_d64e8089
soupiren	w11_d64e8092
geruheten.	w13_d64e8096
Dies.	w1_d64e8101
Tafel	w3_d64e8104
war	w5_d64e8107
von	w7_d64e8110
132	w9_d64e8113
Couverts,	w11_d64e8116
und	w13_d64e8120
speiseten	w1_d64e8125
an	w3_d64e8128
selbiger	w5_d64e8131
77.	w7_d64e8134
Cavaliers,	w9_d64e8137
und	w11_d64e8140
55.	w13_d64e8144
Damen.	w1_d64e8150
Während	w3_d64e8153
der	w5_d64e8156
Tafel	w7_d64e8159
ließ	w9_d64e8162
sich	w11_d64e8165
die	w13_d64e8169
</p>
<p id="p10_d64e8182">
Jtalienische	w1_d64e8186
Vocal	w3_d64e8189
und	w5_d64e8192
Jnstrumentalcam	w7_d64e8195
mer=music	w1_d64e8200
beständig	w3_d64e8203
hören.	w5_d64e8206
</p>
<head id="h2_d64e8212">
Aus	w1_d64e8216
Schweden.	w3_d64e8219
Stockholm	w1_d64e8224
19.	w3_d64e8227
Julii.	w5_d64e8230
</head>
<p id="p4_d64e8233">
Den	w1_d64e8237
Haupt=verbreiter	w3_d64e8240
der	w5_d64e8243
Schriften	w7_d64e8246
zum	w9_d64e8249
Aufstand	w1_d64e8254
in	w3_d64e8257
Daleland	w5_d64e8260
Hellberg	w7_d64e8263
hat	w9_d64e8266
ein	w11_d64e8269
Bauer	w13_d64e8273
knecht	w1_d64e8278
ertappet,	w3_d64e8281
und	w5_d64e8284
zur	w7_d64e8287
gefänglichen	w9_d64e8290
Haft	w11_d64e8293
gebracht;	w1_d64e8299
wofür	w3_d64e8302
er	w5_d64e8305
300.	w7_d64e8308
Thaler	w9_d64e8311
Silber	w11_d64e8314
münze	w1_d64e8319
zur	w3_d64e8322
Belohnung	w5_d64e8325
erhalten	w7_d64e8328
hat,	w9_d64e8331
nebst	w11_d64e8334
der	w13_d64e8338
Freyheit,	w1_d64e8343
von	w3_d64e8346
denen	w5_d64e8349
jährlichen	w7_d64e8352
Abgaben.	w9_d64e8355
Dieser	w1_d64e8360
Hellberg	w3_d64e8363
hat	w5_d64e8366
bekannt,	w7_d64e8369
daß	w9_d64e8372
der	w11_d64e8375
Lag	w13_d64e8379
mann,	w1_d64e8385
Baron	w3_d64e8388
Wrangel,	w5_d64e8391
welchen	w7_d64e8394
er	w9_d64e8397
in	w11_d64e8400
Chre	w13_d64e8404
stignia	w1_d64e8409
angetroffen,	w3_d64e8412
der	w5_d64e8415
Verfasser	w7_d64e8418
der	w9_d64e8421
aus	w11_d64e8424
gestreueten	w1_d64e8429
aufrührerischen	w3_d64e8432
Schriften	w5_d64e8435
wäre,	w7_d64e8438
und	w1_d64e8443
ihm	w3_d64e8446
aufgetragen,	w5_d64e8449
den	w7_d64e8452
Druck	w9_d64e8455
zu	w11_d64e8458
beför	w13_d64e8462
dern,	w1_d64e8468
auch	w3_d64e8471
ihm	w5_d64e8474
die	w7_d64e8477
Auslage	w9_d64e8480
aller	w11_d64e8483
Kosten	w13_d64e8487
zur	w15_d64e8490
Ausführung	w1_d64e8495
des	w3_d64e8498
Plans	w5_d64e8501
durch	w7_d64e8504
Wechsel	w9_d64e8507
auf	w11_d64e8510
den	w1_d64e8515
Grafen	w3_d64e8518
Brahe	w5_d64e8521
angewiesen	w7_d64e8524
hätte.	w9_d64e8527
Auch	w11_d64e8530
hat	w1_d64e8535
er	w3_d64e8538
bekamt,	w5_d64e8541
daß	w7_d64e8544
der	w9_d64e8547
Cap.	w11_d64e8550
Gyllenspetz,	w13_d64e8554
welcher	w1_d64e8560
sich	w3_d64e8563
in	w5_d64e8566
Norwegen	w7_d64e8569
aufhält,	w9_d64e8572
60.	w11_d64e8575
Exem	w13_d64e8579
plare	w1_d64e8584
empfangen,	w3_d64e8587
sie	w5_d64e8590
in	w7_d64e8593
Wärmeland	w9_d64e8596
auszu	w11_d64e8599
theilen,	w1_d64e8604
und	w3_d64e8607
daß	w5_d64e8610
zween	w7_d64e8613
Bauern	w9_d64e8616
aus	w11_d64e8619
Wen	w13_d64e8623
nersborgslehn	w1_d64e8628
gleichfalls	w3_d64e8631
190.	w5_d64e8634
Exemplare	w7_d64e8637
in	w9_d64e8640
Norwegen	w1_d64e8646
bekommen,	w3_d64e8649
selbige	w5_d64e8652
in	w7_d64e8655
ihren	w9_d64e8658
Kirch	w11_d64e8661
spielen	w1_d64e8666
unterzubringen.	w3_d64e8669
Auch	w5_d64e8672
hat	w7_d64e8675
man	w9_d64e8678
einen	w11_d64e8681
Lieutenant,	w1_d64e8686
Namens	w3_d64e8689
Salefeld,	w5_d64e8692
der	w7_d64e8695
eben	w9_d64e8698
falls	w1_d64e8703
zu	w3_d64e8706
diesem	w5_d64e8709
Complot	w7_d64e8712
gehöret,	w9_d64e8715
und	w11_d64e8718
sich	w13_d64e8722
heimlich	w1_d64e8728
in	w3_d64e8731
Daleland	w5_d64e8734
aufgehalten,	w7_d64e8737
er	w9_d64e8740
tappet.	w1_d64e8745
</p>
<head id="h2_d64e8751">
Aus	w1_d64e8755
Teutschland.	w3_d64e8758
Sultzbach	w1_d64e8763
14.	w3_d64e8766
Julii.	w5_d64e8769
</head>
<p id="p4_d64e8772">
Es	w1_d64e8776
war	w3_d64e8779
eben	w5_d64e8782
am	w7_d64e8785
St.	w9_d64e8788
Johannis=fest,	w11_d64e8791
als	w13_d64e8795
zu	w1_d64e8800
Edelsfeld,	w3_d64e8803
durch	w5_d64e8806
einen	w7_d64e8809
muthwilligen	w9_d64e8812
Jä	w11_d64e8815
gers=bursch,	w1_d64e8820
welcher	w3_d64e8823
eingepfropft	w5_d64e8826
Werg	w7_d64e8829
auf	w9_d64e8832
ein	w1_d64e8838
Stroh=dach	w3_d64e8841
geschossen,	w5_d64e8844
wodurch	w7_d64e8847
Feuer	w9_d64e8850
unter	w1_d64e8855
dem	w3_d64e8858
Nachmittags=GOttes=dienst	w5_d64e8861
aus	w7_d64e8864
kam,	w1_d64e8869
welches	w3_d64e8872
in	w5_d64e8875
einer	w7_d64e8878
viertel	w9_d64e8881
Stunde	w11_d64e8884
das	w13_d64e8888
Pfarr	w1_d64e8893
und	w3_d64e8896
Wirths,	w5_d64e8899
nebst	w7_d64e8902
noch	w9_d64e8905
7.	w11_d64e8908
Bauern	w13_d64e8912
häusern,	w1_d64e8918
mit	w3_d64e8921
Städlein	w5_d64e8924
und	w7_d64e8927
Nebengebäu	w9_d64e8930
den,	w1_d64e8935
mit	w3_d64e8938
allem,	w5_d64e8941
was	w7_d64e8944
darinnen	w9_d64e8947
aufbehalten	w11_d64e8950
gewesen,	w1_d64e8955
in	w3_d64e8958
die	w5_d64e8961
Asche	w7_d64e8964
verwandelt,	w9_d64e8967
und	w11_d64e8970
die	w13_d64e8974
Kirche	w1_d64e8979
selbst	w3_d64e8982
in	w5_d64e8985
Gefahr	w7_d64e8988
gesetzet.	w9_d64e8991
Wie	w11_d64e8994
nun	w13_d64e8998
die	w1_d64e9004
Besitzer	w3_d64e9007
besagter	w5_d64e9010
Häuser	w7_d64e9013
und	w9_d64e9016
Gebäude	w11_d64e9019
nichts	w1_d64e9024
davon	w3_d64e9027
gebracht,	w5_d64e9030
als	w7_d64e9033
was	w9_d64e9036
sie	w11_d64e9039
am	w13_d64e9043
Leibe	w15_d64e9046
getragen,	w1_d64e9051
indem	w3_d64e9054
auch	w5_d64e9057
einiges,	w7_d64e9060
daß	w9_d64e9063
sie	w11_d64e9066
retten	w13_d64e9070
wollen,	w1_d64e9075
von	w3_d64e9078
denen	w5_d64e9081
herumfliegenden	w7_d64e9084
Flammen	w9_d64e9087
noch	w1_d64e9093
ergriffen	w3_d64e9096
worden;	w5_d64e9099
so	w7_d64e9102
hat	w9_d64e9105
der	w11_d64e9108
Geistliche	w13_d64e9112
dieses	w1_d64e9117
Orts	w3_d64e9120
vor	w5_d64e9123
andern	w7_d64e9126
einen	w9_d64e9129
beträchtlichen	w11_d64e9132
Schaden,	w1_d64e9137
da	w3_d64e9140
ihm	w5_d64e9143
nicht	w7_d64e9146
nur	w9_d64e9149
alles	w11_d64e9152
Bettwerk,	w13_d64e9156
</p>
<p id="p6_d64e9159">
Kleider	w1_d64e9163
und	w3_d64e9166
Hausrath,	w5_d64e9169
sondern	w7_d64e9172
auch	w9_d64e9175
alle	w11_d64e9178
seine	w1_d64e9183
Bücher,	w3_d64e9186
samt	w5_d64e9189
den	w7_d64e9192
Dyptichis,	w9_d64e9195
oder	w11_d64e9198
Kirchen=registern,	w1_d64e9203
und	w3_d64e9206
über	w5_d64e9209
das	w7_d64e9212
alles	w9_d64e9215
24.	w11_d64e9218
Schaafe	w1_d64e9224
verbrannt	w3_d64e9227
seynd.	w5_d64e9230
Ja	w7_d64e9233
wo	w9_d64e9236
er	w11_d64e9239
sich	w13_d64e9243
nicht	w1_d64e9248
in	w3_d64e9251
Eil	w5_d64e9254
aus	w7_d64e9257
seinem	w9_d64e9260
in	w11_d64e9263
Flammen	w13_d64e9267
stehenden	w15_d64e9270
Hause	w1_d64e9275
in	w3_d64e9278
die	w5_d64e9281
Kirche	w7_d64e9284
retirirt	w9_d64e9287
hätte,	w11_d64e9290
wäre	w13_d64e9294
er	w15_d64e9297
wol	w1_d64e9302
gar	w3_d64e9305
ums	w5_d64e9308
Leben	w7_d64e9311
gekommen.	w9_d64e9314
Sintemal	w11_d64e9317
alle	w1_d64e9323
Rettung	w3_d64e9326
und	w5_d64e9329
Anstalt,	w7_d64e9332
wegen	w9_d64e9335
der	w11_d64e9338
uner	w13_d64e9342
träglichen	w1_d64e9347
Hitze,	w3_d64e9350
so	w5_d64e9353
theils	w7_d64e9356
die	w9_d64e9359
Sonne,	w11_d64e9362
theils	w13_d64e9366
so	w1_d64e9371
viel	w3_d64e9374
in	w5_d64e9377
Brand	w7_d64e9380
stehende	w9_d64e9383
Gebäude	w11_d64e9386
verur	w13_d64e9390
sachet,	w1_d64e9395
fast	w3_d64e9398
unnütz	w5_d64e9401
gewesen	w7_d64e9404
ist.	w9_d64e9407
</p>
<head id="h2_d64e9413">
Wien	w1_d64e9417
den	w3_d64e9420
11.	w5_d64e9423
Augusti	w7_d64e9426
1756.	w9_d64e9429
</head>
<p id="p4_d64e9432">
SAmstags	w1_d64e9436
den	w3_d64e9439
7.	w5_d64e9442
dieses,	w7_d64e9445
ware	w9_d64e9448
in	w11_d64e9451
Bey	w13_d64e9455
wohnung	w1_d64e9460
Allerhöchster	w3_d64e9463
Herrschaften	w5_d64e9466
der	w7_d64e9469
ordinari	w1_d64e9474
GOttes=dienst	w3_d64e9477
in	w5_d64e9480
der	w7_d64e9483
Schönbrunner	w9_d64e9486
schloß=kapellen.	w1_d64e9492
</p>
<p id="p6_d64e9495">
Sonntags	w1_d64e9499
den	w3_d64e9502
8.	w5_d64e9505
Dito,	w7_d64e9508
Vormittags	w9_d64e9511
ha	w11_d64e9514
ben	w1_d64e9519
beede	w3_d64e9522
Kaiserl.	w5_d64e9525
Königl	w7_d64e9528
Majestäten	w9_d64e9531
mit	w11_d64e9534
Seinen	w1_d64e9539
Königl.	w3_d64e9542
Hoheiten	w5_d64e9545
denen	w7_d64e9548
Durchleuch	w9_d64e9551
tigsten	w1_d64e9557
älteren	w3_d64e9560
jungen	w5_d64e9563
Herrschaften	w7_d64e9566
dem	w9_d64e9569
ge	w11_d64e9572
wöhnlichen	w1_d64e9577
GOttes=dienst,	w3_d64e9580
dann	w5_d64e9583
Nach	w7_d64e9586
mittags	w1_d64e9591
der	w3_d64e9594
Litaney	w5_d64e9597
und	w7_d64e9600
Stegen	w9_d64e9603
in	w11_d64e9606
besagter	w13_d64e9610
Schloß=kapellen	w1_d64e9615
abgewartet.	w3_d64e9618
</p>
<p id="p8_d64e9621">
Montags	w1_d64e9625
den	w3_d64e9628
9.	w5_d64e9631
Dito,	w7_d64e9634
seynd	w9_d64e9637
beede	w11_d64e9640
Kaiserl.	w13_d64e9644
Königl.	w1_d64e9649
Majestäten	w3_d64e9652
in	w5_d64e9655
Gefolg	w7_d64e9658
einiger	w9_d64e9661
Da	w11_d64e9664
mes	w1_d64e9669
und	w3_d64e9672
Cavaliers	w5_d64e9675
mittelst	w7_d64e9678
unterlegten	w9_d64e9681
Hof	w11_d64e9684
post=pferden	w1_d64e9690
nach	w3_d64e9693
Dero	w5_d64e9696
Schloß=hof	w7_d64e9699
auf	w9_d64e9702
einige	w1_d64e9707
Täge	w3_d64e9710
abgegangen.	w5_d64e9713
</p>
<p id="p10_d64e9716">
Dienstags	w1_d64e9720
den	w3_d64e9723
10.	w5_d64e9726
dito,	w7_d64e9729
als	w9_d64e9732
am	w11_d64e9735
Fest	w13_d64e9739
Sl.	w15_d64e9742
Laurenzii	w1_d64e9747
haben	w3_d64e9750
Se.	w5_d64e9753
Königl.	w7_d64e9756
Hoheiten	w9_d64e9759
die	w11_d64e9762
Durchleuchtigste	w1_d64e9767
ältere	w3_d64e9770
jungen	w5_d64e9773
Herrschafften	w7_d64e9776
Vormittags	w1_d64e9782
dem	w3_d64e9785
gewöhnlichen	w5_d64e9788
GOttes=dienst	w7_d64e9791
in	w1_d64e9796
der	w3_d64e9799
Schönbrunner	w5_d64e9802
Schloß=kapellen	w7_d64e9805
abg	w9_d64e9808
wartet,	w1_d64e9813
Nachmittags	w3_d64e9816
aber	w5_d64e9819
in	w7_d64e9822
der	w9_d64e9825
Burg	w11_d64e9828
der	w13_d64e9832
grossen	w1_d64e9837
Kinder=lehr=proceßion	w3_d64e9840
zugesehen.	w5_d64e9843
