<doc id="wr_1758-08-09" attrs="word" year="1758" month="08" day="09" corpus="2">
<head id="h2_d268e3404">
Aachen	w1_d268e3408
Gewehr	w1_d268e12681
ausgetheilet	w3_d268e12684
worden,	w5_d268e12687
und	w7_d268e12690
haben	w9_d268e12693
die	w11_d268e12696
selbe	w1_d268e12701
allda	w3_d268e12704
Sonntags	w5_d268e12707
und	w7_d268e12710
Montags	w9_d268e12713
Rast	w11_d268e12716
tag	w1_d268e12721
gehalten.	w3_d268e12724
</p>
<p id="p8_d268e12727">
Vorgestrigen	w1_d268e12731
Montag	w3_d268e12734
den	w5_d268e12737
7.	w7_d268e12740
dieses	w9_d268e12743
haben	w11_d268e12746
die	w1_d268e12751
Allerhöchste	w3_d268e12754
beyde	w5_d268e12757
Kaiserl.	w7_d268e12760
Majestäten	w9_d268e12763
mit	w1_d268e12768
Sr.	w3_d268e12771
Königl.	w5_d268e12774
Hoheit	w7_d268e12777
Herrn	w9_d268e12780
Herzog	w11_d268e12783
Carl	w13_d268e12787
</p>
<p id="p12_d268e12793">
zu	w1_d268e12797
Lothringen,	w3_d268e12800
unter	w5_d268e12803
Begleitung	w7_d268e12806
einiger	w9_d268e12809
hohen	w11_d268e12812
Cavalieren	w1_d268e12817
und	w3_d268e12820
Damen,	w5_d268e12823
zu	w7_d268e12826
(Tit)	w9_d268e12829
Herrn	w11_d268e12832
Feld	w13_d268e12836
marschallen	w1_d268e12841
Fürsten	w3_d268e12844
von	w5_d268e12847
Esterhazy	w7_d268e12850
auf	w9_d268e12853
dessen	w11_d268e12856
Herrschaft	w1_d268e12862
Eisenstadt	w3_d268e12865
in	w5_d268e12868
Hungarn	w7_d268e12871
Sich	w9_d268e12874
erho	w11_d268e12877
ben,	w1_d268e12882
von	w3_d268e12885
wannen	w5_d268e12888
Allerhöchst=dieselbe	w7_d268e12891
wieder	w9_d268e12894
in	w1_d268e12899
Schönbrunn	w3_d268e12902
zuruck	w5_d268e12905
erwartet	w7_d268e12908
werden.	w9_d268e12911
</p>
<p id="p14_d268e12914">
Gestern	w1_d268e12918
seynd	w3_d268e12921
in	w5_d268e12924
der	w7_d268e12927
Kaiserl.	w9_d268e12930
Cammerca	w11_d268e12933
pelle	w1_d268e12938
bey	w3_d268e12941
Hof	w5_d268e12944
für	w7_d268e12947
die	w9_d268e12950
Hoch=adeliche	w11_d268e12953
Stern	w13_d268e12957
kreuz=ordens=damen,	w1_d268e12962
benanntlich	w3_d268e12965
(Tit.)	w5_d268e12968
Fr.	w1_d268e12974
Eva	w3_d268e12977
Francisca	w5_d268e12980
Freyin	w7_d268e12983
von	w9_d268e12986
Lützenraht,	w11_d268e12989
ge	w13_d268e12993
borne	w1_d268e12998
Freyin	w3_d268e13001
von	w5_d268e13004
Bourscheide	w7_d268e13007
zu	w9_d268e13010
Büllenstein,	w11_d268e13013
(welche	w1_d268e13018
den	w3_d268e13021
12.	w5_d268e13024
Januarii	w7_d268e13027
zu	w9_d268e13030
Raht	w11_d268e13033
im	w13_d268e13037
Bergi	w15_d268e13040
schen	w1_d268e13045
gestorben)	w3_d268e13048
und	w5_d268e13051
für	w7_d268e13054
(Tit.)	w9_d268e13057
Frau	w11_d268e13060
Cäcilia	w13_d268e13064
Gräfin	w1_d268e13070
von	w3_d268e13073
Wallis,	w5_d268e13076
geborne	w7_d268e13079
Gräfin	w9_d268e13082
von	w11_d268e13085
Lich	w13_d268e13089
tenstein,	w1_d268e13094
(welche	w3_d268e13097
den	w5_d268e13100
11.	w7_d268e13103
May	w9_d268e13106
dieses	w11_d268e13109
Jahrs	w13_d268e13113
zu	w15_d268e13116
Ollmütz	w1_d268e13121
mit	w3_d268e13124
Tode	w5_d268e13127
abgegangen)	w7_d268e13130
die	w9_d268e13133
feyerlichen	w11_d268e13136
Exequien	w1_d268e13141
gehalten	w3_d268e13144
worden.	w5_d268e13147
</p>
<p id="p16_d268e13150">
Eodem	w1_d268e13154
fruhe	w3_d268e13157
Morgens	w5_d268e13160
ist	w7_d268e13163
oben=erwähnte	w9_d268e13166
Colonne	w1_d268e13171
Croaten	w3_d268e13174
von	w5_d268e13177
1500.	w7_d268e13180
Köpfen	w9_d268e13183
hiesige	w11_d268e13186
Stadt	w1_d268e13191
vorbey	w3_d268e13194
über	w5_d268e13197
die	w7_d268e13200
grosse	w9_d268e13203
Donau=brücke	w11_d268e13206
zu	w1_d268e13212
der	w3_d268e13215
Kais	w5_d268e13218
Kön.	w7_d268e13221
Armee	w9_d268e13224
in	w11_d268e13227
Böheim	w13_d268e13231
marschiret.	w15_d268e13234
</p>
<p id="p18_d268e13237">
Eben	w1_d268e13241
gestern	w3_d268e13244
ist	w5_d268e13247
die	w7_d268e13250
erste	w9_d268e13253
Assentirung	w11_d268e13256
der	w13_d268e13260
neu	w15_d268e13263
ausgeschriebenen	w1_d268e13268
Ständischen	w3_d268e13271
Recrutenstel	w5_d268e13274
lung	w1_d268e13279
auf	w3_d268e13282
dem	w5_d268e13285
allhiesigen	w7_d268e13288
Land=hause	w9_d268e13291
gehalten	w11_d268e13294
worden.	w1_d268e13300
Die	w3_d268e13303
heurige	w5_d268e13306
Land=tags=proposition	w7_d268e13309
aber	w1_d268e13314
ist	w3_d268e13317
auf	w5_d268e13320
den	w7_d268e13323
26.	w9_d268e13326
lauffenden	w11_d268e13329
Monats	w13_d268e13333
Au	w15_d268e13336
gusti	w1_d268e13341
angeordnet.	w3_d268e13344
</p>
<head id="h2_d268e13350">
Lista	w1_d268e13354
deren	w3_d268e13357
Verstorbenen	w5_d268e13360
zu	w7_d268e13363
Wien	w9_d268e13366
in	w1_d268e13371
und	w3_d268e13374
vor	w5_d268e13377
der	w7_d268e13380
Stadt.	w9_d268e13383
Den	w1_d268e13388
5.	w3_d268e13391
Aug.	w5_d268e13394
Jn	w1_d268e13400
der	w3_d268e13403
Stadt.	w5_d268e13406
</head>
<list id="l4_d268e13409">
Dem	w1_d268e13413
Wol=edel=gestr.	w3_d268e13416
und	w5_d268e13419
Hoch=geleh.	w7_d268e13422
Hrn.	w9_d268e13425
Jos.	w11_d268e13428
Ant.	w13_d268e13432
Demscher,	w1_d268e13437
J.	w3_d268e13440
U.	w5_d268e13443
D.	w7_d268e13446
s.	w9_d268e13449
Fr.	w11_d268e13452
Maria	w13_d268e13456
Anna,	w15_d268e13459
bey	w17_d268e13462
der	w19_d268e13465
neuen	w1_d268e13470
Weit	w3_d268e13473
im	w5_d268e13476
Kumpf	w7_d268e13479
gäs.,	w9_d268e13482
alt	w11_d268e13485
44.	w13_d268e13489
J.	w15_d268e13492
Kr.	w1_d268e13498
Juliana	w3_d268e13501
Fanzin,	w5_d268e13504
Wittwe,	w7_d268e13507
im	w9_d268e13510
Baderis.	w11_d268e13513
H.	w13_d268e13517
in	w15_d268e13520
der	w17_d268e13523
Wolzeil.	w1_d268e13528
alt	w3_d268e13531
63.	w5_d268e13534
J.	w7_d268e13537
Joh.	w1_d268e13542
Piller,	w3_d268e13545
Negotiant,	w5_d268e13548
im	w7_d268e13551
Seiden=färberis.	w9_d268e13554
H.	w11_d268e13557
in	w13_d268e13561
der	w1_d268e13566
Wildwerkerstr.,	w3_d268e13569
alt	w5_d268e13572
41.	w7_d268e13575
J.	w9_d268e13578
</list>
<head id="h2_d268e13585">
Vor	w1_d268e13589
der	w3_d268e13592
Stadt.	w5_d268e13595
</head>
<list id="l4_d268e13598">
Dem	w1_d268e13602
Valenten	w3_d268e13605
Nowack,	w5_d268e13608
Schuh=mach.,	w7_d268e13611
s.	w9_d268e13614
W.	w11_d268e13617
Elis.	w13_d268e13621
dern	w1_d268e13626
3.	w3_d268e13629
Lis.	w5_d268e13632
in	w7_d268e13635
der	w9_d268e13638
Josephst.,	w11_d268e13641
alt	w13_d268e13645
65.	w15_d268e13648
J.	w17_d268e13651
Dem	w1_d268e13656
Jacod	w3_d268e13659
Schwaiger,	w5_d268e13662
Woll=krämpl.,	w7_d268e13665
s.	w9_d268e13668
W.	w11_d268e13671
The	w13_d268e13675
res.,	w1_d268e13681
im	w3_d268e13684
Franzmayris.	w5_d268e13687
H.	w7_d268e13690
in	w9_d268e13693
der	w11_d268e13696
Unger=gas.	w13_d268e13700
38.	w15_d268e13703
J.	w17_d268e13706
Ant.	w1_d268e13711
Tröster,	w3_d268e13714
Leuf,	w5_d268e13717
beym	w7_d268e13720
schwarz.	w9_d268e13723
Adl.	w11_d268e13726
in	w13_d268e13730
der	w15_d268e13733
Jo	w17_d268e13736
sephst.,	w1_d268e13741
alt	w3_d268e13744
55	w5_d268e13747
J.	w7_d268e13750
Jacob	w1_d268e13755
Rußdorfer,	w3_d268e13758
Kutsch.,	w5_d268e13761
im	w7_d268e13764
Pinapflis.	w9_d268e13767
H.	w11_d268e13770
auf	w13_d268e13774
der	w15_d268e13777
Landstr.,	w1_d268e13783
alt	w3_d268e13786
59.	w5_d268e13789
J.	w7_d268e13792
Sebast.	w1_d268e13797
Dorfner,	w3_d268e13800
abged.	w5_d268e13803
Sold.,	w7_d268e13806
beym	w9_d268e13809
schwarz.	w11_d268e13812
Thor	w13_d268e13816
in	w1_d268e13821
der	w3_d268e13824
Rossau,	w5_d268e13827
alt	w7_d268e13830
69.	w9_d268e13833
J.	w11_d268e13836
Anna	w1_d268e13841
Mülln	w3_d268e13844
rin,	w5_d268e13847
im	w7_d268e13850
langen	w9_d268e13853
Keller,	w11_d268e13856
alt	w13_d268e13860
55.	w15_d268e13863
J.	w17_d268e13866
5	w19_d268e13869
</list>
<head id="h2_d268e13876">
Summa	w1_d268e13880
9.	w3_d268e13883
Person.,	w5_d268e13886
darunter	w7_d268e13889
0.	w9_d268e13892
Kind.	w11_d268e13895
</head>
<head id="h2_d268e13902">
Den	w1_d268e13906
6.	w3_d268e13909
Aug.	w5_d268e13912
Jn	w1_d268e13917
der	w3_d268e13920
Stadt.	w5_d268e13923
</head>
<list id="l4_d268e13926">
Der	w1_d268e13930
Wol=ehrw.	w3_d268e13933
P.	w5_d268e13936
Aldephons.,	w7_d268e13939
Ord.	w9_d268e13942
Capuc.,	w11_d268e13945
im	w13_d268e13949
Kloster	w1_d268e13954
am	w3_d268e13957
Neuen=markt,	w5_d268e13960
alt	w7_d268e13963
64.	w9_d268e13966
J.	w11_d268e13969
Anna	w1_d268e13974
Hofstätterin,	w3_d268e13977
ledig,	w5_d268e13980
im	w7_d268e13983
Praßicanis.	w9_d268e13986
H.	w11_d268e13989
in	w13_d268e13993
der	w15_d268e13996
Herren=gas.,	w1_d268e14002
alt	w3_d268e14005
54.	w5_d268e14008
J.	w7_d268e14011
Dem	w1_d268e14016
Franz	w3_d268e14019
Damayer,	w5_d268e14022
Haus=meist.,	w7_d268e14025
s.	w9_d268e14028
K.	w11_d268e14031
Joh.,	w13_d268e14035
im	w15_d268e14038
Sattoris.	w1_d268e14043
H.	w3_d268e14046
in	w5_d268e14049
der	w7_d268e14052
Weihburg	w9_d268e14055
gas.,	w11_d268e14058
alt	w13_d268e14062
3.	w15_d268e14065
J.	w17_d268e14068
</list>
<head id="h2_d268e14075">
Vor	w1_d268e14079
der	w3_d268e14082
Stadt.	w5_d268e14085
</head>
<list id="l4_d268e14088">
Hr.	w1_d268e14092
Mart.	w3_d268e14095
Anhof,	w5_d268e14098
Burgerl.	w7_d268e14101
Chyrurg.,	w9_d268e14104
bey	w11_d268e14107
dem	w13_d268e14111
schwarz.	w1_d268e14116
Adl.	w3_d268e14119
in	w5_d268e14122
der	w7_d268e14125
Leopoldst.,	w9_d268e14128
alt	w11_d268e14131
55.	w13_d268e14135
J.	w15_d268e14138
Der	w1_d268e14143
Elisab.	w3_d268e14146
Zierwurzin,	w5_d268e14149
Burgerl.	w7_d268e14152
Wittwe,	w9_d268e14155
ihr	w11_d268e14158
K.	w13_d268e14162
Franz,	w1_d268e14168
beyn	w3_d268e14171
3.	w5_d268e14174
Huf=eis.	w7_d268e14177
in	w9_d268e14180
der	w11_d268e14183
Kot=gas.,	w13_d268e14187
alt	w15_d268e14190
2.	w17_d268e14193
J.	w19_d268e14196
Dem	w1_d268e14201
Thom.	w3_d268e14204
Richl,	w5_d268e14207
Burgerl.	w7_d268e14210
Schuh=mach.,	w9_d268e14213
s.	w11_d268e14216
W.	w13_d268e14220
Sabina,	w1_d268e14225
in	w3_d268e14228
s.	w5_d268e14231
H.	w7_d268e14234
auf	w9_d268e14237
der	w11_d268e14240
Landstr.,	w13_d268e14244
alt	w15_d268e14247
66.	w17_d268e14250
J.	w19_d268e14253
Dem	w1_d268e14258
Niclas	w3_d268e14261
Athenberger,	w5_d268e14264
Tischl.,	w7_d268e14267
s.	w9_d268e14270
K.	w11_d268e14273
Brigita,	w13_d268e14277
beym	w1_d268e14283
gold.	w3_d268e14286
Adl.	w5_d268e14289
in	w7_d268e14292
der	w9_d268e14295
Rossau,	w11_d268e14298
alt	w13_d268e14302
2.	w15_d268e14305
J.	w17_d268e14308
Franz	w1_d268e14313
Hiterer,	w3_d268e14316
Lack.,	w5_d268e14319
beym	w7_d268e14322
weis.	w9_d268e14325
Hahn	w11_d268e14328
in	w13_d268e14332
der	w15_d268e14335
Ros	w17_d268e14338
sau,	w1_d268e14343
alt	w3_d268e14346
41.	w5_d268e14349
J.	w7_d268e14352
Ursula	w1_d268e14357
Hengin,	w3_d268e14360
Wittwe,	w5_d268e14363
beym	w7_d268e14366
gold.	w9_d268e14369
Hirsch.	w11_d268e14372
in	w13_d268e14376
der	w15_d268e14379
Alster=gas.,	w1_d268e14385
alt	w3_d268e14388
52.	w5_d268e14391
J.	w7_d268e14394
Dem	w1_d268e14399
Jos.	w3_d268e14402
Roßmäusl,	w5_d268e14405
Fuhr=kn.,	w7_d268e14408
s.	w9_d268e14411
K.	w11_d268e14414
Rosal.,	w13_d268e14418
beym	w15_d268e14421
Ste	w1_d268e14426
in	w3_d268e14429
der	w5_d268e14432
Rossau,	w7_d268e14435
alt	w9_d268e14438
6.	w11_d268e14441
J.	w13_d268e14445
Franz	w1_d268e14450
Herr,	w3_d268e14453
Tagw.,	w5_d268e14456
beym	w7_d268e14459
Josephs=berg	w9_d268e14462
in	w11_d268e14465
der	w13_d268e14469
Al	w15_d268e14472
ster=gas.,	w1_d268e14478
alt	w3_d268e14481
52.	w5_d268e14484
J.	w7_d268e14487
</list>
<head id="h2_d268e14494">
Summa	w1_d268e14498
11.	w3_d268e14501
Person.,	w5_d268e14504
darunter	w7_d268e14507
4.	w9_d268e14510
Kind.	w11_d268e14513
Den	w1_d268e14518
7.	w3_d268e14521
Aug.	w5_d268e14524
Jn	w1_d268e14529
der	w3_d268e14532
Stadt.	w5_d268e14535
</head>
<list id="l4_d268e14538">
Dem	w1_d268e14542
Adalbert	w3_d268e14545
Dollack,	w5_d268e14548
Kutsch.,	w7_d268e14551
s.	w9_d268e14554
K.	w11_d268e14557
Georg,	w13_d268e14561
an	w15_d268e14564
der	w1_d268e14569
Elend=bastey,	w3_d268e14572
alt	w5_d268e14575
4.	w7_d268e14578
J.	w9_d268e14581
</list>
<head id="h2_d268e14588">
Vor	w1_d268e14592
der	w3_d268e14595
Stadt.	w5_d268e14598
</head>
<list id="l4_d268e14601">
Daniel	w1_d268e14605
Hambach,	w3_d268e14608
Burgerl.	w5_d268e14611
Schneid.,	w7_d268e14614
bey	w9_d268e14617
denen	w11_d268e14620
6.	w1_d268e14625
Schim.	w3_d268e14628
bey	w5_d268e14631
St.	w7_d268e14634
Ulrich,	w9_d268e14637
alt	w11_d268e14640
54.	w13_d268e14644
J.	w15_d268e14647
Adam	w1_d268e14652
Berger,	w3_d268e14655
Tüchel=mach.,	w5_d268e14658
beyn	w7_d268e14661
3.	w9_d268e14664
Lil.	w11_d268e14667
im	w13_d268e14671
Liech	w15_d268e14674
tenth.,	w1_d268e14680
alt	w3_d268e14683
38.	w5_d268e14686
J.	w7_d268e14689
Dem	w1_d268e14694
Jos.	w3_d268e14697
Ludwig,	w5_d268e14700
Lack.,	w7_d268e14703
s.	w9_d268e14706
W.	w11_d268e14709
Francisca,	w13_d268e14713
bey	w15_d268e14716
dem	w17_d268e14719
schwarz.	w1_d268e14724
Adl.	w3_d268e14727
auf	w5_d268e14730
der	w7_d268e14733
Wind=mühl,	w9_d268e14736
alt	w11_d268e14739
22.	w13_d268e14743
J.	w15_d268e14746
Dem	w1_d268e14751
Jacob	w3_d268e14754
Pollack,	w5_d268e14757
Brod=sitz.,	w7_d268e14760
s.	w9_d268e14763
K.	w11_d268e14766
Anna,	w13_d268e14770
beym	w15_d268e14773
schwarz.	w1_d268e14779
Thor	w3_d268e14782
zu	w5_d268e14785
Erdberg,	w7_d268e14788
alt	w9_d268e14791
3.	w11_d268e14794
J.	w13_d268e14798
Annna	w1_d268e14803
Erdeckin,	w3_d268e14806
alt	w5_d268e14809
40.	w7_d268e14812
J.,	w9_d268e14815
in	w11_d268e14818
St.	w13_d268e14822
Joh.	w15_d268e14825
Nep.	w17_d268e14828
Spit.	w19_d268e14831
Dem	w1_d268e14836
Ant.	w3_d268e14839
Fischer,	w5_d268e14842
Lack.,	w7_d268e14845
s.	w9_d268e14848
T.	w11_d268e14851
Theres.,	w13_d268e14855
beym	w15_d268e14858
gold.	w17_d268e14861
Becher	w1_d268e14866
am	w3_d268e14869
Spitalberg,	w5_d268e14872
alt	w7_d268e14875
12.	w9_d268e14878
J.	w11_d268e14881
Dem	w1_d268e14887
Carl	w3_d268e14890
Lauter,	w5_d268e14893
Bier=abtrag.,	w7_d268e14896
s.	w9_d268e14899
K.	w11_d268e14902
Rosina,	w13_d268e14906
beym	w15_d268e14909
schwarz.	w1_d268e14914
Adl.	w3_d268e14917
am	w5_d268e14920
Neustift,	w7_d268e14923
alt	w9_d268e14926
7.	w11_d268e14929
J.	w13_d268e14933
Dem	w1_d268e14938
Georg	w3_d268e14941
Stänzinger,	w5_d268e14944
Tagw.,	w7_d268e14947
s	w9_d268e14950
K.	w11_d268e14953
Cathar.,	w13_d268e14957
bey	w15_d268e14960
denen	w1_d268e14965
3.	w3_d268e14968
Rös.	w5_d268e14971
zu	w7_d268e14974
Mätzleinstorf,	w9_d268e14977
alt	w11_d268e14980
4.	w13_d268e14984
J.	w15_d268e14987
Dem	w1_d268e14993
Leop.	w3_d268e14996
Trenker,	w5_d268e14999
Beig.,	w7_d268e15002
s.	w9_d268e15005
K.	w11_d268e15008
Paul,	w13_d268e15012
im	w15_d268e15015
Gatto	w17_d268e15018
nis.	w1_d268e15023
H.	w3_d268e15026
in	w5_d268e15029
der	w7_d268e15032
Leopoldst.,	w9_d268e15035
alt	w11_d268e15038
2.	w13_d268e15042
J.	w15_d268e15045
Dem	w1_d268e15050
Jacob	w3_d268e15053
Rädschopf,	w5_d268e15056
Maurern,	w7_d268e15059
s.	w9_d268e15062
K.	w11_d268e15065
Catl,	w13_d268e15069
beyn	w15_d268e15072
7.	w1_d268e15077
Chur	w3_d268e15080
fürst.	w5_d268e15083
zu	w7_d268e15086
Mätzleinstorf,	w9_d268e15089
alt	w11_d268e15092
3.	w13_d268e15096
J.	w15_d268e15099
</list>
<head id="h2_d268e15106">
Summa	w1_d268e15110
11.	w3_d268e15113
Person.,	w5_d268e15116
darunter	w7_d268e15119
6.	w9_d268e15122
Kind.	w11_d268e15125
Den	w1_d268e15130
8.	w3_d268e15133
Aug.	w5_d268e15136
Jn	w7_d268e15139
der	w9_d268e15142
Stadt.	w11_d268e15145
Dem	w1_d268e15150
Hrn.	w3_d268e15153
Andre	w5_d268e15156
Gschöpf,	w7_d268e15159
K.	w9_d268e15162
K.	w11_d268e15165
Sumeliern,	w13_d268e15169
s.	w15_d268e15172
K.	w17_d268e15175
</head>
<head id="h2_d268e15181">
Vor	w1_d268e15185
der	w3_d268e15188
Stadt.	w5_d268e15191
Dem	w1_d268e15196
Hrn.	w3_d268e15199
Jos.	w5_d268e15202
Max.	w7_d268e15205
Piazoll,	w9_d268e15208
K.	w11_d268e15211
K.	w13_d268e15215
Dreyßigst.zin	w15_d268e15218
</head>
<list id="l6_d268e15223">
nehm.	w1_d268e15227
zu	w3_d268e15230
Windpäßing,	w5_d268e15233
s.	w7_d268e15236
Fr.	w9_d268e15239
Anna	w11_d268e15242
Theres.,	w13_d268e15246
bey	w1_d268e15251
der	w3_d268e15254
Bruck.	w5_d268e15257
in	w7_d268e15260
der	w9_d268e15263
Leopoldst.,	w11_d268e15266
alt	w13_d268e15270
46.	w15_d268e15273
J.	w17_d268e15276
Dem	w1_d268e15281
Christian	w3_d268e15284
Schnückl,	w5_d268e15287
Traiteurn	w7_d268e15290
in	w9_d268e15293
der	w11_d268e15296
K.	w13_d268e15300
K.	w15_d268e15303
adel.	w1_d268e15309
Miritar-atademie,	w3_d268e15312
s.	w5_d268e15315
K.	w7_d268e15318
Carl,	w9_d268e15321
alda,	w11_d268e15324
1.	w13_d268e15328
J.	w15_d268e15331
Chriaian	w1_d268e15336
Unbeiser,	w3_d268e15339
gew.	w5_d268e15342
Burgerl.	w7_d268e15345
Schuh=mach,	w9_d268e15348
in	w1_d268e15353
s.	w3_d268e15356
H.	w5_d268e15359
in	w7_d268e15362
der	w9_d268e15365
Josephst.,	w11_d268e15368
alt	w13_d268e15372
89.	w15_d268e15375
J.	w17_d268e15378
Dem	w1_d268e15383
Ant.	w3_d268e15386
Schaffer,	w5_d268e15389
Woll=spin.,	w7_d268e15392
s.	w9_d268e15395
W	w11_d268e15398
Anna,	w13_d268e15402
bey	w15_d268e15405
dem	w1_d268e15411
grün.	w3_d268e15414
Lämmel	w5_d268e15417
in	w7_d268e15420
der	w9_d268e15423
Josephst,	w11_d268e15426
alt	w13_d268e15430
53.	w15_d268e15433
J.	w17_d268e15436
Margar.	w1_d268e15441
Kletzin,	w3_d268e15444
bey	w5_d268e15447
der	w7_d268e15450
grün.	w9_d268e15453
Saul.	w11_d268e15456
im	w13_d268e15460
Liechten	w15_d268e15463
th.,	w1_d268e15468
alt	w3_d268e15471
70	w5_d268e15474
J.	w7_d268e15477
Auma	w1_d268e15482
6.	w3_d268e15485
Person.,	w5_d268e15488
darunter	w7_d268e15491
2.	w9_d268e15494
Kind.	w11_d268e15497
</list>
<p id="p8_d268e15501">
Den	w1_d268e15505
14.	w3_d268e15508
dies	w5_d268e15511
Monats	w7_d268e15514
Augusti	w9_d268e15517
fruhe	w11_d268e15520
von	w13_d268e15524
9.	w1_d268e15529
bis	w3_d268e15532
12.	w5_d268e15535
Uhr,	w7_d268e15538
und	w9_d268e15541
Nachmittags	w11_d268e15544
von	w13_d268e15548
3.	w15_d268e15551
bis	w1_d268e15556
6.	w3_d268e15559
Uhr	w5_d268e15562
werden	w7_d268e15565
in	w9_d268e15568
des	w11_d268e15571
Kaiserl.	w13_d268e15575
Königl.	w15_d268e15578
Judicii	w1_d268e15584
Delegati	w3_d268e15587
Militaris	w5_d268e15590
Mixti	w7_d268e15593
Canzley	w9_d268e15596
auf	w1_d268e15601
der	w3_d268e15604
Sailer=stadt	w5_d268e15607
in	w7_d268e15610
der	w9_d268e15613
Hollerstauden	w11_d268e15616
im	w13_d268e15620
ersten	w1_d268e15625
Stock,	w3_d268e15628
verschiedene	w5_d268e15631
Verlassenschafts	w7_d268e15634
Effecten:	w1_d268e15639
als	w3_d268e15642
schönes	w5_d268e15645
Tafel	w7_d268e15648
und	w9_d268e15651
anderes	w11_d268e15654
Silber,	w1_d268e15660
worunter	w3_d268e15663
auch	w5_d268e15666
ein	w7_d268e15669
goldene	w9_d268e15672
Tabat	w11_d268e15675
tiere,	w1_d268e15680
und	w3_d268e15683
in	w5_d268e15686
selber	w7_d268e15689
zugleich	w9_d268e15692
eine	w11_d268e15695
Uhr	w13_d268e15699
befind	w15_d268e15702
lich,	w1_d268e15707
desgleichen	w3_d268e15710
ein	w5_d268e15713
silbern	w7_d268e15716
und	w9_d268e15719
vergoldter	w11_d268e15722
Reit=zeuch:	w1_d268e15727
dann	w3_d268e15730
verschiedenes	w5_d268e15733
Gewöhr	w7_d268e15736
wo	w9_d268e15739
kunter	w1_d268e15745
auch	w3_d268e15748
ein	w5_d268e15751
silberner	w7_d268e15754
und	w9_d268e15757
vergoldeter	w11_d268e15760
Sä	w13_d268e15764
bel:	w1_d268e15769
mehr	w3_d268e15772
verschieden	w5_d268e15775
meistens	w7_d268e15778
Hungarische	w9_d268e15781
Kleider,	w1_d268e15786
worunter	w3_d268e15789
auch	w5_d268e15792
ein	w7_d268e15795
Hungarischer	w9_d268e15798
General=uniform,	w1_d268e15803
samt	w3_d268e15806
verschiedenen	w5_d268e15809
Hun	w7_d268e15812
garischen	w1_d268e15818
Pelzen:	w3_d268e15821
Jtem	w5_d268e15824
verschiedene	w7_d268e15827
Tafel	w9_d268e15830
und	w1_d268e15835
andere	w3_d268e15838
Wäsch,	w5_d268e15841
wie	w7_d268e15844
auch	w9_d268e15847
sonstige	w11_d268e15850
Haus	w13_d268e15854
einricht	w1_d268e15859
und	w3_d268e15862
Equipirungs=effecten	w5_d268e15865
licitan-	w7_d268e15868
do	w1_d268e15873
dem	w3_d268e15876
Meistbiethenden	w5_d268e15879
gegen	w7_d268e15882
baarer	w9_d268e15885
Be	w11_d268e15888
zahlung	w1_d268e15894
käuflichen	w3_d268e15897
hindan	w5_d268e15900
gelassen	w7_d268e15903
werden.	w9_d268e15906
</p>
<p id="p10_d268e15909">
Es	w1_d268e15913
wird	w3_d268e15916
auf	w5_d268e15919
Verordnung	w7_d268e15922
des	w9_d268e15925
Löbl.	w11_d268e15928
Ge	w13_d268e15932
richts	w1_d268e15937
zum	w3_d268e15940
Schotten	w5_d268e15943
die	w7_d268e15946
der	w9_d268e15949
Maria	w11_d268e15952
Polixena	w13_d268e15956
und	w1_d268e15961
Eisabetha	w3_d268e15964
Feringerin,	w5_d268e15967
angehörige	w7_d268e15970
Be	w9_d268e15973
hzausung	w1_d268e15979
zu	w3_d268e15982
St.	w5_d268e15985
Ulrich	w7_d268e15988
den	w9_d268e15991
26.	w11_d268e15994
Augusti	w13_d268e15998
dies	w15_d268e16001
Jahrs	w1_d268e16006
nochmalen	w3_d268e16009
offentlich	w5_d268e16012
feil	w7_d268e16015
gebotten	w9_d268e16018
und	w11_d268e16021
licitiret	w1_d268e16026
werden;	w3_d268e16029
wer	w5_d268e16032
demnach	w7_d268e16035
sothane	w9_d268e16038
Be	w11_d268e16041
hausung	w1_d268e16046
käuflich	w3_d268e16049
an	w5_d268e16052
sich	w7_d268e16055
zu	w9_d268e16058
bringen	w11_d268e16061
gedenket,	w13_d268e16065
der	w1_d268e16071
kan	w3_d268e16074
sich	w5_d268e16077
an	w7_d268e16080
ob=bestimmten	w9_d268e16083
Tag	w11_d268e16086
Vor	w13_d268e16090
mittag	w1_d268e16095
um	w3_d268e16098
9.	w5_d268e16101
Uhr	w7_d268e16104
in	w9_d268e16107
der	w11_d268e16110
Schotten=gerichs	w13_d268e16114
kanzley	w1_d268e16119
anmelden,	w3_d268e16122
wo	w5_d268e16125
sodann	w7_d268e16128
mit	w9_d268e16131
Jhme	w11_d268e16134
der	w13_d268e16138
Kauf	w1_d268e16143
geschlossen	w3_d268e16146
werden	w5_d268e16149
solle.	w7_d268e16152
</p>
<p id="p12_d268e16156">
Es	w1_d268e16160
ist	w3_d268e16163
eine	w5_d268e16166
Engländische	w7_d268e16169
Ducheßnische	w9_d268e16172
Stock	w11_d268e16175
uhr	w1_d268e16180
all=täglich	w3_d268e16183
zu	w5_d268e16186
verkauffen,	w7_d268e16189
so	w9_d268e16192
den	w11_d268e16195
Sonn	w13_d268e16199
und	w1_d268e16204
Mond=lauf,	w3_d268e16207
das	w5_d268e16210
Monat,	w7_d268e16213
die	w9_d268e16216
Wochen	w11_d268e16219
und	w1_d268e16225
den	w3_d268e16228
Tag	w5_d268e16231
