<doc id="edoc_wd_1762-07-14" attrs="word" year="1762" month="07" day="14" corpus="1">
<head id="hl1">
Petersburg	w39
Sorgfalt	w1887
schonen	w1888
<g/>
,
und	w1890
nichts	w1891
als	w1892
Gras	w1893
füttern	w1894
lassen	w1895
<g/>
.
</p>
<head id="hl8">
Bayreuth	w1897
28	w1898
<g/>
.
Junii	w1900
<g/>
.
</head>
<p id="p20">
Die	w1902
Nachrichten	w1903
aus	w1904
Sachsen	w1905
bringen	w1906
mit	w1907
<g/>
,
daß	w1909
in	w1910
Chemnitz	w1911
<g/>
,
Altenburg	w1913
und	w1914
Ge=ra	w1915
<g/>
=
wieder	w1917
Preussen	w1918
eingerückt	w1919
sind	w1920
<g/>
,
nach=dem	w1922
<g/>
=
die	w1924
bisher	w1925
unter	w1926
dem	w1927
Obristen	w1928
von	w1929
Bel=ling	w1930
<g/>
=
im	w1932
Mecklenburgischen	w1933
gestandene	w1934
Tru=pen	w1935
<g/>
=
das	w1937
Lager	w1938
bey	w1939
Oedern	w1940
verstärkt	w1941
<g/>
,
und	w1943
sich	w1944
mit	w1945
dem	w1946
General	w1947
Seidlitz	w1948
vereiniget	w1949
<g/>
.
Vorgestern	w1951
ist	w1952
eine	w1953
grosse	w1954
Menge	w1955
Bagage	w1956
und	w1957
Artillerie	w1958
von	w1959
der	w1960
Reichs	w1961
<g/>
=
armee	w1963
zu	w1964
Hof	w1965
eingetroffen	w1966
<g/>
,
und	w1968
gestern	w1969
sind	w1970
verschie=dene	w1971
<g/>
=
Regimenter	w1973
derselben	w1974
mit	w1975
70	w1976
<g/>
.
Preus=sischen	w1978
<g/>
=
Kriegs	w1980
<g/>
=
gefangenen	w1982
von	w1983
den	w1984
schwar=zen	w1985
<g/>
=
Husaren	w1987
allda	w1988
angekommen	w1989
<g/>
.
Gestern	w1991
Abend	w1992
ist	w1993
der	w1994
Prinz	w1995
von	w1996
Stollberg	w1997
gleich=falls	w1998
<g/>
=
daselbst	w2000
angelanget	w2001
<g/>
,
und	w2003
heute	w2004
soll	w2005
der	w2006
ganze	w2007
Rest	w2008
von	w2009
Dero	w2010
Corps	w2011
nachfol=gen	w2012
<g/>
=
<g/>
.
Dem	w2015
Verlaut	w2016
nach	w2017
geht	w2018
der	w2019
Marsch	w2020
über	w2021
Culmbach	w2022
ins	w2023
Bambergische	w2024
<g/>
,
wie	w2026
dann	w2027
laut	w2028
Nachrichten	w2029
aus	w2030
Culmbach	w2031
<g/>
,
gestern	w2033
viele	w2034
Bagage	w2035
und	w2036
Artillerie	w2037
dorten	w2038
ange=langet	w2039
<g/>
=
ist	w2041
<g/>
.
</p>
<head id="hl9">
Vom	w2043
Unterharze	w2044
27	w2045
<g/>
.
Junii	w2047
<g/>
.
</head>
<p id="p21">
Am	w2049
verwichenen	w2050
Donnerstag	w2051
Abends	w2052
ka=men	w2053
<g/>
=
ganz	w2055
unvermutet	w2056
400	w2057
<g/>
.
Mann	w2059
Blechkap=pen	w2060
<g/>
=
unter	w2062
Commando	w2063
des	w2064
Hrn	w2065
<g/>
.
von	w2067
Grand=maison	w2068
<g/>
=
<g/>
,
nebst	w2071
50	w2072
<g/>
.
Hussaren	w2074
durch	w2075
Stollberg	w2076
nach	w2077
Stiege	w2078
<g/>
;
sie	w2080
liessen	w2081
sich	w2082
alle	w2083
Bedürfniß	w2084
reichen	w2085
<g/>
,
führten	w2087
sich	w2088
sehr	w2089
gut	w2090
auf	w2091
<g/>
,
und	w2093
Frey=tags	w2094
<g/>
=
fruh	w2096
um	w2097
2	w2098
<g/>
.
Uhr	w2100
marschirten	w2101
sie	w2102
auf	w2103
Wer=nigerode	w2104
<g/>
=
und	w2106
Halberstadt	w2107
<g/>
.
Am	w2109
erstern	w2110
Or=te	w2111
<g/>
=
haben	w2113
sie	w2114
die	w2115
geforderte	w2116
Contribution	w2117
be=kommen	w2118
<g/>
=
<g/>
,
am	w2121
letzteren	w2122
aber	w2123
4	w2124
<g/>
.
Geißeln	w2126
mit	w2127
sich	w2128
genommen	w2129
<g/>
,
weil	w2131
nur	w2132
5000	w2133
Thlr	w2134
<g/>
.
am	w2136
Golde	w2137
für	w2138
die	w2139
geforderte	w2140
75	w2141
<g/>
.
tausend	w2143
Thlr	w2144
<g/>
.
</p>
<p id="p22">
zusammen	w2148
gebracht	w2149
werden	w2150
können	w2151
<g/>
.
Bey	w2153
Blankenburg	w2154
sind	w2155
sie	w2156
ganz	w2157
stille	w2158
vorbey	w2159
pas=sirt	w2160
<g/>
=
<g/>
,
haben	w2163
auch	w2164
überhaupt	w2165
gute	w2166
Manns=zucht	w2167
<g/>
=
gehalten	w2169
<g/>
.
Gestern	w2171
sind	w2172
sie	w2173
neben	w2174
Stollberg	w2175
zurück	w2176
auf	w2177
Heringen	w2178
gegangen	w2179
<g/>
.
Die	w2181
am	w2182
19	w2183
<g/>
.
aus	w2185
der	w2186
Grafschaft	w2187
nach	w2188
Mühl=hausen	w2189
<g/>
=
mitgenommene	w2191
Pferde	w2192
und	w2193
Wägen	w2194
sind	w2195
zum	w2196
Theil	w2197
noch	w2198
ziemlich	w2199
marode	w2200
zurück	w2201
gekommen	w2202
<g/>
,
nachdeme	w2204
sie	w2205
einige	w2206
Fuhren	w2207
nach	w2208
Cassel	w2209
verrichtet	w2210
<g/>
.
Das	w2212
neu	w2213
errichtete	w2214
als	w2215
Türken	w2216
montirte	w2217
Corps	w2218
Volontaires	w2219
auxiliai=res	w2220
<g/>
=
unter	w2222
dem	w2223
Hrn	w2224
<g/>
.
Obrist	w2226
<g/>
=
leutenant	w2228
von	w2229
Rau	w2230
<g/>
,
welches	w2232
von	w2233
Wolfenbüttel	w2234
über	w2235
Goßlar	w2236
und	w2237
Herzberg	w2238
am	w2239
21	w2240
<g/>
.
in	w2242
die	w2243
Grafschaft	w2244
rückte	w2245
<g/>
,
erhielt	w2247
din	w2248
23	w2249
<g/>
.
Ordre	w2251
zum	w2252
Luckne=rischen	w2253
<g/>
=
Corps	w2255
zu	w2256
stossen	w2257
<g/>
,
und	w2259
gieng	w2260
noch	w2261
den=selben	w2262
<g/>
=
Tag	w2264
zurück	w2265
auf	w2266
Herzberg	w2267
<g/>
,
eine	w2269
Com=pagnie	w2270
<g/>
=
traf	w2272
den	w2273
24	w2274
<g/>
.
in	w2276
Geboldhausen	w2277
ein	w2278
<g/>
.
</p>
<head id="hl10">
Unterrheinstom	w2280
25	w2281
<g/>
.
Junii	w2283
<g/>
.
</head>
<p id="p23">
Das	w2285
Verfahren	w2286
des	w2287
Dänischen	w2288
Hofs	w2289
ge=gen	w2290
<g/>
=
der	w2292
Stadt	w2293
Hamburg	w2294
giebt	w2295
Anlaß	w2296
zu	w2297
vielerley	w2298
Bewegungen	w2299
der	w2300
dasige	w2301
Stadt	w2302
<g/>
=
raht	w2304
hat	w2305
sich	w2306
in	w2307
dieser	w2308
Verlegenheit	w2309
an	w2310
den	w2311
bey	w2312
dem	w2313
Nieder	w2314
<g/>
=
sächsischen	w2316
Kreis	w2317
sich	w2318
befindli=chen	w2319
<g/>
=
Holländischen	w2321
Minister	w2322
gewendet	w2323
<g/>
,
und	w2325
denselben	w2326
ersuchet	w2327
<g/>
,
die	w2329
mißlichen	w2330
Umstände	w2331
<g/>
,
in	w2333
welchen	w2334
sich	w2335
die	w2336
Stadt	w2337
befindet	w2338
<g/>
,
den	w2340
Ge=neral	w2341
<g/>
=
<g/>
=
staaten	w2344
vorzustellen	w2345
<g/>
,
und	w2347
dero	w2348
vielmö=gendes	w2349
<g/>
=
Für	w2351
<g/>
=
wort	w2353
auszubitten	w2354
<g/>
,
mithin	w2356
wird	w2357
dieses	w2358
Geschäft	w2359
der	w2360
Gegenstand	w2361
von	w2362
Dero=selben	w2363
<g/>
=
zukünftigen	w2365
Berahtschlagungen	w2366
seyn	w2367
<g/>
;
indessen	w2369
macht	w2370
diese	w2371
Begebenheit	w2372
grosses	w2373
Aufsehen	w2374
<g/>
,
und	w2376
wächset	w2377
die	w2378
Verbitterung	w2379
zwi=schen	w2380
<g/>
=
Rußland	w2382
und	w2383
Dännemark	w2384
immermehr	w2385
an	w2386
<g/>
,
da	w2388
noch	w2389
zu	w2390
dieser	w2391
Vorfallenheit	w2392
drey	w2393
in	w2394
der	w2395
Baltischen	w2396
See	w2397
kreutzende	w2398
Dänische	w2399
Fre=gatten	w2400
<g/>
=
<g/>
,
unterschiedliche	w2403
Rußische	w2404
mit	w2405
Getraid	w2406
beladene	w2407
<g/>
,
und	w2409
nach	w2410
Colberg	w2411
bestimmte	w2412
Schif=fe	w2413
<g/>
=
zuruck	w2415
zu	w2416
kehren	w2417
genöhtiget	w2418
<g/>
,
hingegen	w2420
ei=ne	w2421
<g/>
=
Rußische	w2423
Fregatte	w2424
ein	w2425
nacher	w2426
Danzig	w2427
seeglendes	w2428
Dänisches	w2429
Schif	w2430
weggenommen	w2431
<g/>
,
und	w2433
nach	w2434
Pillan	w2435
gebracht	w2436
<g/>
.
Anbey	w2438
wird	w2439
ver=sicheret	w2440
<g/>
=
<g/>
,
daß	w2443
die	w2444
Feindseligkeiten	w2445
zu	w2446
Land	w2447
</p>
<p id="p24">
zwischen	w2448
beeden	w2449
Machten	w2450
schon	w2451
ihren	w2452
An=fang	w2453
<g/>
=
würden	w2455
genommen	w2456
haben	w2457
<g/>
,
wann	w2459
die	w2460
Rußischen	w2461
Völker	w2462
mit	w2463
erforderlichen	w2464
Lebens=mitteln	w2465
<g/>
=
versehen	w2467
wären	w2468
<g/>
,
als	w2470
zu	w2471
welchem	w2472
Ende	w2473
zu	w2474
Colberg	w2475
grosse	w2476
Magazine	w2477
aufgerichtet	w2478
wer=den	w2479
<g/>
=
sollen	w2481
<g/>
,
woran	w2483
sie	w2484
dermalen	w2485
durch	w2486
die	w2487
Dä=nische	w2488
<g/>
=
Schiffe	w2490
gehindert	w2491
werden	w2492
<g/>
.
Aus	w2494
England	w2495
erwartet	w2496
man	w2497
die	w2498
Berichte	w2499
<g/>
,
daß	w2501
die	w2502
nach	w2503
Portugall	w2504
bestimmte	w2505
Flotten	w2506
mit	w2507
denen	w2508
aufhabenden	w2509
Völkern	w2510
<g/>
,
Geschütz	w2512
und	w2513
Geräht=schaft	w2514
<g/>
=
unter	w2516
Seegel	w2517
gegangen	w2518
<g/>
,
daß	w2520
die	w2521
Spa=nier	w2522
<g/>
=
sich	w2524
gegen	w2525
Miranda	w2526
zurück	w2527
gezogen	w2528
<g/>
,
will	w2530
sich	w2531
zwar	w2532
bestättigen	w2533
<g/>
,
hingegen	w2535
ver=sicheren	w2536
<g/>
=
die	w2538
Spanischen	w2539
Ministers	w2540
<g/>
,
daß	w2542
die	w2543
Belagerung	w2544
von	w2545
Almeida	w2546
nicht	w2547
von	w2548
der	w2549
un=ter	w2550
<g/>
=
dem	w2552
Spanischen	w2553
Generalen	w2554
Marquis	w2555
de	w2556
Sarria	w2557
stehenden	w2558
Armee	w2559
<g/>
,
sondern	w2561
von	w2562
einem	w2563
abgesönderten	w2564
Corpo	w2565
werde	w2566
unternommen	w2567
werden	w2568
<g/>
,
mithin	w2570
dieser	w2571
General	w2572
mit	w2573
seinen	w2574
Völkern	w2575
immer	w2576
fortrucke	w2577
<g/>
.
Der	w2579
Ritter	w2580
von	w2581
Pork	w2582
hat	w2583
die	w2584
Antwort	w2585
der	w2586
Englischen	w2587
Ost=indischen	w2588
<g/>
=
Handlungs	w2590
<g/>
=
gesellschaft	w2592
auf	w2593
die	w2594
von	w2595
der	w2596
Holländischen	w2597
gethane	w2598
Vorschläge	w2599
<g/>
,
zu	w2601
Bey=legung	w2602
<g/>
=
der	w2604
Streitigkeiten	w2605
erhalten	w2606
<g/>
,
in	w2608
wel=cher	w2609
<g/>
=
von	w2611
Seiten	w2612
ersterer	w2613
alles	w2614
ohne	w2615
Auss	w2616
nam	w2617
eingegangen	w2618
wird	w2619
<g/>
,
eine	w2621
solche	w2622
Will=fährigkeit	w2623
<g/>
=
wird	w2625
denen	w2626
mißlichen	w2627
Umständen	w2628
der	w2629
Engländern	w2630
in	w2631
Bengala	w2632
zugeschrieben	w2633
<g/>
.
Da	w2635
dem	w2636
Ritter	w2637
von	w2638
Pork	w2639
<g/>
,
auch	w2641
von	w2642
seinem	w2643
Hof	w2644
frey	w2645
gestellt	w2646
worden	w2647
<g/>
,
nach	w2649
England	w2650
zu=ruck	w2651
<g/>
=
zu	w2653
kehren	w2654
<g/>
,
oder	w2656
an	w2657
seinem	w2658
dermaligen	w2659
Gesandschafts	w2660
<g/>
=
posten	w2662
als	w2663
Bevollmächtigter	w2664
noch	w2665
länger	w2666
zu	w2667
verbleiben	w2668
<g/>
,
so	w2670
ist	w2671
noch	w2672
nicht	w2673
ausgemacht	w2674
<g/>
,
ob	w2676
der	w2677
Ritter	w2678
Ellis	w2679
ihn	w2680
ablö=sen	w2681
<g/>
=
werde	w2683
<g/>
.
</p>
<head id="hl11">
Wien	w2685
den	w2686
14	w2687
<g/>
.
Julii	w2689
1762	w2690
<g/>
.
</head>
<p id="p25">
sten	w2692
Samstags	w2693
den	w2694
10	w2695
<g/>
.
Julii	w2697
Vormittags	w2698
um	w2699
10	w2700
<g/>
.
Uhr	w2702
seynd	w2703
die	w2704
anwesende	w2705
Herren	w2706
Bottschafter	w2707
<g/>
,
und	w2709
der	w2710
hohe	w2711
Adel	w2712
in	w2713
Gala	w2714
zu	w2715
Schönbrunn	w2716
erschienen	w2717
<g/>
,
und	w2719
haben	w2720
bey	w2721
Jhrer	w2722
Königl	w2723
<g/>
.
Hoheit	w2725
<g/>
,
der	w2727
DurchläuchtigDurchläuchtigsten	w2728
<g/>
=
</p>
<p id="p26">
sten	w2731
Erzherzogin	w2732
Amalia	w2733
<g/>
,
wegen	w2735
Dero	w2736
höch=sten	w2737
<g/>
=
Namens	w2739
<g/>
=
tag	w2741
Jhre	w2742
Glück	w2743
<g/>
=
wünsche	w2745
abgeleget	w2746
<g/>
.
Abends	w2748
ist	w2749
in	w2750
dem	w2751
daselbsti=gen	w2752
<g/>
=
Theater	w2754
die	w2755
grosse	w2756
Opera	w2757
abermalen	w2758
aufgeführet	w2759
worden	w2760
<g/>
.
</p>
<p id="p27">
Detto	w2762
seynd	w2763
in	w2764
der	w2765
grossen	w2766
Hof	w2767
<g/>
=
kapelle	w2769
für	w2770
die	w2771
hoch	w2772
<g/>
=
adeliche	w2774
Stern	w2775
<g/>
=
kreutz	w2777
<g/>
=
ordens	w2779
<g/>
=
dame	w2781
<g/>
(
Titl	w2783
<g/>
.
Frau	w2785
Eugenia	w2786
Gräfin	w2787
von	w2788
Bonacost	w2789
<g/>
,
gebohrne	w2791
Marchesin	w2792
Bozza	w2793
<g/>
,
welche	w2795
den	w2796
4	w2797
<g/>
.
Februarii	w2799
176	w2800
1	w2801
<g/>
.
zu	w2803
Ferrara	w2804
in	w2805
GOtt	w2806
seelig	w2807
verschieden	w2808
<g/>
,
die	w2810
Exequien	w2811
gehalten	w2812
worden	w2813
<g/>
.
</p>
<p id="p28">
Sonntags	w2815
den	w2816
11	w2817
<g/>
.
Julii	w2819
Vormittags	w2820
haben	w2821
beede	w2822
Kaiserl	w2823
<g/>
.
Majestäten	w2825
mit	w2826
Jhren	w2827
Königl	w2828
<g/>
.
Hoheiten	w2830
<g/>
,
denen	w2832
älteren	w2833
Durchl	w2834
<g/>
.
Herrschaften	w2836
sich	w2837
herein	w2838
in	w2839
die	w2840
Hof	w2841
<g/>
=
burg	w2843
begeben	w2844
<g/>
,
und	w2846
wenen	w2847
dem	w2848
Jahrs	w2849
<g/>
=
tag	w2851
der	w2852
grossen	w2853
Hof	w2854
<g/>
=
kapellen	w2856
<g/>
=
weihung	w2858
dem	w2859
feyer=lichen	w2860
<g/>
=
hohen	w2862
Amt	w2863
in	w2864
Aufwartung	w2865
des	w2866
Päpstl	w2867
<g/>
.
Herrn	w2869
Nuntii	w2870
beygewohnet	w2871
<g/>
,
und	w2873
hierauf	w2874
na=cher	w2875
<g/>
=
Schönbrunn	w2877
sich	w2878
wieder	w2879
zuruck	w2880
begeben	w2881
<g/>
.
</p>
<p id="p29">
Montags	w2883
den	w2884
12	w2885
<g/>
.
Julii	w2887
um	w2888
Mittags=zeit	w2889
<g/>
=
ist	w2891
in	w2892
allerhöchster	w2893
Gegenwart	w2894
beeder	w2895
Kaiserl	w2896
<g/>
.
Majestäten	w2898
und	w2899
Jhrer	w2900
Königl	w2901
<g/>
.
Ho=heiten	w2903
<g/>
=
<g/>
,
deren	w2906
Durchl	w2907
<g/>
.
Herrschaften	w2909
<g/>
,
die	w2911
Trauung	w2912
der	w2913
Fräule	w2914
Gräfin	w2915
von	w2916
Daun	w2917
<g/>
,
K	w2919
<g/>
.
K	w2921
<g/>
.
Cammer	w2923
<g/>
=
fräule	w2925
<g/>
,
mit	w2927
dem	w2928
Herrn	w2929
Leopold	w2930
Grafen	w2931
von	w2932
Palfy	w2933
<g/>
,
K	w2935
<g/>
.
K	w2937
<g/>
.
Cam=merern	w2939
<g/>
=
<g/>
,
durch	w2942
Se	w2943
<g/>
.
Excellenz	w2945
den	w2946
Päbstl	w2947
<g/>
.
Herrn	w2949
Nuntium	w2950
zu	w2951
Schönbrunn	w2952
geschehen	w2953
<g/>
.
</p>
<p id="p30">
Gestern	w2955
Nachmittags	w2956
seynd	w2957
Se	w2958
<g/>
.
Majest	w2960
<g/>
.
der	w2962
Kaiser	w2963
mit	w2964
Jhren	w2965
Königl	w2966
<g/>
.
Hoheiten	w2968
dem	w2969
Erzherzogen	w2970
Joseph	w2971
und	w2972
Maria	w2973
Christina	w2974
<g/>
,
in	w2976
Begleitung	w2977
einiger	w2978
Damen	w2979
und	w2980
Cava=lieren	w2981
<g/>
=
<g/>
,
nach	w2984
Dero	w2985
Lust	w2986
<g/>
=
schloß	w2988
Eckartsau	w2989
<g/>
,
um	w2991
sich	w2992
in	w2993
dasiger	w2994
Gegend	w2995
mit	w2996
der	w2997
Jagd	w2998
zu	w2999
belustigen	w3000
<g/>
,
auf	w3002
ein	w3003
paar	w3004
Tage	w3005
abgegangen	w3006
<g/>
.
</p>
<p id="p31">
Noch	w3008
am	w3009
Sonntag	w3010
in	w3011
der	w3012
Nacht	w3013
ist	w3014
ei=ne	w3015
<g/>
=
Estaffette	w3017
von	w3018
der	w3019
K	w3020
<g/>
.
Königl	w3022
<g/>
.
Armee	w3024
in	w3025
Schlesien	w3026
dahler	w3027
angelanget	w3028
<g/>
,
und	w3030
hat	w3031
noch	w3032
2	w3033
<g/>
.
Estandarten	w3035
<g/>
,
die	w3037
nebst	w3038
den	w3039
3	w3040
<g/>
.
neulichen	w3042
Fah=nen	w3043
<g/>
=
bey	w3045
der	w3046
Affaire	w3047
des	w3048
Hrn	w3049
<g/>
.
General	w3051
von	w3052
Brentano	w3053
erobert	w3054
worden	w3055
<g/>
,
mitgebracht	w3057
<g/>
.
</p>
<head id="hl12">
Lista	w3059
deren	w3060
Verstorbenen	w3061
zu	w3062
Wien	w3063
in	w3064
<g/>
=
und	w3066
vor	w3067
der	w3068
Stadt	w3069
<g/>
.
</head>
<head id="hl13">
Den	w3071
9	w3072
<g/>
.
Julii	w3074
<g/>
.
</head>
<head id="hl14">
Jn	w3076
der	w3077
Stadt	w3078
<g/>
.
</head>
<list id="">
Niemand	w3080
<g/>
.
</list>
<head id="hl15">
Vor	w3082
der	w3083
Stadt	w3084
<g/>
.
</head>
<list id="">
Dem	w3086
Jos	w3087
<g/>
.
Harnisch	w3089
<g/>
,
Burgerl	w3091
<g/>
.
Schuhmach	w3093
<g/>
.
<g/>
,
s	w3096
<g/>
.
K	w3098
<g/>
.
Theres	w3100
<g/>
.
<g/>
,
bey	w3103
der	w3104
gold	w3105
<g/>
.
Sonn	w3107
ausser	w3108
Maria	w3109
<g/>
=
hülf	w3111
<g/>
,
alt	w3113
5	w3114
<g/>
.
v	w3116
<g/>
.
J	w3118
<g/>
.
Dem	w3120
Casp	w3121
<g/>
.
Hurtl	w3123
<g/>
,
Burgerl	w3125
<g/>
.
Lein	w3127
web	w3128
<g/>
.
<g/>
,
s	w3131
<g/>
.
K	w3133
<g/>
.
Mag=dal	w3135
<g/>
=
<g/>
.
<g/>
,
bey	w3139
St	w3140
<g/>
.
Florian	w3142
am	w3143
obern	w3144
Neustift	w3145
<g/>
,
5	w3147
<g/>
.
J	w3149
<g/>
.
Der	w3151
Barb	w3152
<g/>
.
Heinrichin	w3154
<g/>
,
Wittwe	w3156
<g/>
,
ihr	w3158
T	w3159
<g/>
.
Barb	w3161
<g/>
.
bey	w3163
der	w3164
Stadt	w3165
Venedig	w3166
bey	w3167
Maria	w3168
<g/>
=
hülf	w3170
<g/>
,
alt	w3172
40	w3173
<g/>
.
J	w3175
<g/>
.
Dem	w3177
Jos	w3178
<g/>
.
Waldheer	w3180
<g/>
,
Taglöhn	w3182
<g/>
.
<g/>
,
s	w3185
<g/>
.
W	w3187
<g/>
.
Cathar	w3189
<g/>
.
bey	w3191
dem	w3192
rot	w3193
<g/>
.
Kreutz	w3195
im	w3196
Liechtenth	w3197
<g/>
.
<g/>
,
alt	w3200
41	w3201
<g/>
.
J	w3203
<g/>
.
Dem	w3205
Math	w3206
<g/>
.
Buchman	w3208
<g/>
,
Taglöhn	w3210
<g/>
.
<g/>
,
s	w3213
<g/>
.
K	w3215
<g/>
.
Leop	w3217
<g/>
.
<g/>
,
bey	w3220
der	w3221
H	w3222
<g/>
.
Dreyfaltigk	w3224
<g/>
.
am	w3226
Himmel	w3227
pfort	w3228
<g/>
=
gr	w3230
<g/>
.
<g/>
,
5	w3233
<g/>
.
J	w3235
<g/>
.
Dem	w3237
Simon	w3238
Kunz	w3239
<g/>
,
Schuhmach	w3241
<g/>
,
s	w3243
<g/>
.
K	w3245
<g/>
.
Math	w3247
<g/>
,
bey	w3249
dem	w3250
gr	w3251
<g/>
.
Klee	w3253
<g/>
=
blat	w3255
bey	w3256
Maria	w3257
<g/>
=
hülf	w3259
<g/>
,
alt	w3261
6	w3262
<g/>
.
v	w3264
<g/>
.
J	w3266
<g/>
.
Summa	w3268
6	w3269
<g/>
.
Person	w3271
<g/>
.
<g/>
,
darunter	w3274
4	w3275
<g/>
.
Kind	w3277
<g/>
.
</list>
<head id="hl16">
Den	w3279
10	w3280
<g/>
.
Julii	w3282
<g/>
.
Jn	w3284
der	w3285
Stadt	w3286
<g/>
.
</head>
<list id="">
Niemand	w3288
<g/>
.
</list>
<head id="hl17">
Vor	w3290
der	w3291
Stadt	w3292
<g/>
.
</head>
<list id="">
Jos	w3294
<g/>
.
Bogner	w3296
<g/>
,
Burgerl	w3298
<g/>
.
Tüchelmach	w3300
<g/>
.
<g/>
,
bey	w3303
der	w3304
gold	w3305
<g/>
.
Ros	w3307
<g/>
.
im	w3309
Liechtenth	w3310
<g/>
.
<g/>
,
alt	w3313
40	w3314
<g/>
.
J	w3316
<g/>
.
Dem	w3318
Paul	w3319
Scherz	w3320
<g/>
,
Maurer	w3322
ges	w3323
<g/>
.
<g/>
,
s	w3326
<g/>
.
K	w3328
<g/>
.
Joh	w3330
<g/>
.
<g/>
,
bey	w3333
der	w3334
gr	w3335
<g/>
.
Weintr	w3337
<g/>
.
untern	w3339
Felb	w3340
<g/>
.
<g/>
,
alt	w3343
6	w3344
<g/>
.
J	w3346
<g/>
.
Eathar	w3348
<g/>
.
Stöckmöserin	w3350
Wittwe	w3351
<g/>
,
beym	w3353
gold	w3354
<g/>
.
Ein=horn	w3356
<g/>
=
in	w3358
der	w3359
Leopoldst	w3360
<g/>
.
<g/>
,
alt	w3363
92	w3364
<g/>
.
J	w3366
<g/>
.
Joh	w3368
<g/>
.
Lisch	w3370
Schneid	w3371
<g/>
.
<g/>
,
bey	w3374
der	w3375
gold	w3376
<g/>
.
Weintr	w3378
<g/>
.
bey	w3380
Maria	w3381
hülf	w3382
<g/>
,
alt	w3384
74	w3385
<g/>
.
J	w3387
<g/>
.
Franz	w3389
Walter	w3390
Bücher	w3391
<g/>
=
beschlacht	w3393
<g/>
=
mach	w3395
<g/>
.
<g/>
,
beyn	w3398
3	w3399
<g/>
.
gros	w3401
<g/>
.
gold	w3403
<g/>
.
Kron	w3405
<g/>
.
am	w3407
Spitalberg	w3408
<g/>
,
alt	w3410
66	w3411
<g/>
.
J	w3413
<g/>
.
Anna	w3415
Barb	w3416
<g/>
.
Brucknerin	w3418
<g/>
,
Wittwe	w3420
<g/>
,
beym	w3422
goldenen	w3423
Schlüs	w3424
<g/>
.
am	w3426
Spitalberg	w3427
<g/>
,
alt	w3429
57	w3430
<g/>
.
J	w3432
<g/>
.
Dem	w3434
Joh	w3435
<g/>
.
Hofmann	w3437
<g/>
,
Lauf	w3439
<g/>
.
<g/>
,
s	w3442
<g/>
.
K	w3444
<g/>
.
Barb	w3446
<g/>
.
<g/>
,
beyn	w3449
3	w3450
<g/>
.
Hufteis	w3452
<g/>
.
in	w3454
der	w3455
Koht	w3456
<g/>
=
gaf	w3458
<g/>
.
<g/>
,
alt	w3461
6	w3462
<g/>
.
v	w3464
<g/>
.
J	w3466
<g/>
.
Dem	w3468
Christian	w3469
Jacob	w3470
<g/>
,
Huterern	w3472
<g/>
,
s	w3474
<g/>
.
K	w3476
<g/>
.
Cathar	w3478
<g/>
.
<g/>
,
beyn	w3481
3	w3482
<g/>
.
König	w3484
<g/>
.
am	w3486
Neubau	w3487
<g/>
,
alt	w3489
2	w3490
<g/>
.
J	w3492
<g/>
.
Summa	w3494
8	w3495
<g/>
.
Person	w3497
<g/>
.
<g/>
,
darunter	w3500
3	w3501
<g/>
.
Kind	w3503
<g/>
.
</list>
<head id="hl18">
Den	w3505
11	w3506
<g/>
.
Julii	w3508
<g/>
.
In	w3510
der	w3511
Stadt	w3512
<g/>
.
</head>
<list id="">
Hr	w3514
<g/>
.
Aut	w3516
<g/>
.
Haß	w3518
<g/>
,
Burgerl	w3520
<g/>
.
Handels	w3522
<g/>
=
m	w3524
<g/>
.
<g/>
,
bey	w3527
der	w3528
H	w3529
<g/>
.
Dreyfaltigk	w3531
<g/>
.
am	w3533
Pet	w3534
<g/>
,
alt	w3536
41	w3537
<g/>
.
J	w3539
<g/>
.
Ant	w3541
<g/>
.
Huber	w3543
Burgerl	w3544
<g/>
.
Goldschm	w3546
<g/>
.
<g/>
,
im	w3549
Palmis	w3550
<g/>
.
H	w3552
<g/>
.
am	w3554
Pet	w3555
<g/>
.
<g/>
,
alt	w3558
61	w3559
<g/>
.
J	w3561
<g/>
.
Jos	w3563
<g/>
.
Seflohner	w3565
<g/>
,
Burgerl	w3567
Parockenmach	w3568
<g/>
.
<g/>
,
im	w3571
Kai=seris	w3572
<g/>
=
<g/>
.
H	w3575
<g/>
.
in	w3577
der	w3578
Himmel	w3579
<g/>
=
pfort	w3581
<g/>
=
gas	w3583
<g/>
.
<g/>
,
alt	w3586
33	w3587
<g/>
.
J	w3589
<g/>
.
</list>
<head id="hl19">
Vor	w3591
der	w3592
Stadt	w3593
<g/>
.
</head>
<list id="">
Joh	w3595
<g/>
.
Kremser	w3597
<g/>
,
Burgerl	w3599
<g/>
.
Schneid	w3601
<g/>
.
<g/>
,
beym	w3604
rot	w3605
<g/>
.
Apf	w3607
<g/>
.
auf	w3609
der	w3610
Wied	w3611
<g/>
.
<g/>
,
alt	w3614
59	w3615
<g/>
.
J	w3617
<g/>
.
</list>
<list id="">
Sebast	w3621
<g/>
.
Buchsbaum	w3623
<g/>
,
Fisch	w3625
auftrag	w3626
<g/>
,
beym	w3628
Sperl=baum	w3629
<g/>
=
in	w3631
der	w3632
Leopoldst	w3633
<g/>
.
<g/>
,
alt	w3636
64	w3637
<g/>
.
J	w3639
<g/>
.
Summa	w3641
5	w3642
<g/>
.
