<doc id="wr_1762-03-24" attrs="word" year="1762" month="03" day="24" corpus="2">
<head id="h2_d641e3335">
Cadir	w1_d641e3339
des	w3_d641e7005
Garde=corps	w5_d641e7008
bey	w7_d641e7011
der	w9_d641e7014
gemach	w11_d641e7017
ten	w1_d641e7022
Oefnung	w3_d641e7025
des	w5_d641e7028
Bataillons	w7_d641e7031
hinein	w9_d641e7034
ritten:	w11_d641e7037
als	w1_d641e7043
dieses	w3_d641e7046
geschehen,	w5_d641e7049
machten	w7_d641e7052
die	w9_d641e7055
Capitains	w11_d641e7058
vom	w1_d641e7063
Schweitzer=corps	w3_d641e7066
einen	w5_d641e7069
Kreis	w7_d641e7072
um	w9_d641e7075
den	w11_d641e7078
König,	w1_d641e7083
die	w3_d641e7086
Leutenants	w5_d641e7089
den	w7_d641e7092
2ten,	w9_d641e7095
und	w11_d641e7098
die	w13_d641e7102
Ser	w15_d641e7105
geanten	w1_d641e7110
den	w3_d641e7113
3ten,	w5_d641e7116
worauf	w7_d641e7119
sofort	w9_d641e7122
von	w11_d641e7125
den	w13_d641e7129
Tambours	w1_d641e7135
Bann	w3_d641e7138
geschlagen	w5_d641e7141
wurde,	w7_d641e7144
hier	w9_d641e7147
nächst	w1_d641e7152
befahle	w3_d641e7155
der	w5_d641e7158
König	w7_d641e7161
dem	w9_d641e7164
Regiment,	w11_d641e7167
daß	w1_d641e7172
selbiges	w3_d641e7175
den	w5_d641e7178
Herrn	w7_d641e7181
Herzog	w9_d641e7184
von	w11_d641e7187
Choi	w13_d641e7191
seul	w1_d641e7196
als	w3_d641e7199
ihren	w5_d641e7202
General=obersten	w7_d641e7205
der	w9_d641e7208
Schwei	w11_d641e7211
tzer	w1_d641e7217
und	w3_d641e7220
Graubünder	w5_d641e7223
erkennen,	w7_d641e7226
und	w9_d641e7229
ihm	w11_d641e7232
in	w1_d641e7237
allem	w3_d641e7240
gehorchen	w5_d641e7243
soll.	w7_d641e7246
Nach	w9_d641e7249
geeudigtem	w11_d641e7252
diesem	w1_d641e7257
Vorgang	w3_d641e7260
ritten	w5_d641e7263
Seine	w7_d641e7266
Majestät	w9_d641e7269
wie	w11_d641e7272
der	w1_d641e7277
aus	w3_d641e7280
dem	w5_d641e7283
Bataillon	w7_d641e7286
heraus,	w9_d641e7289
und	w11_d641e7292
das	w13_d641e7296
gante	w1_d641e7302
Regiment	w3_d641e7305
desilirte	w5_d641e7308
unter	w7_d641e7311
hohem	w9_d641e7314
Au	w11_d641e7317
genschein	w1_d641e7322
Seiner	w3_d641e7325
Majestät	w5_d641e7328
vorbey	w7_d641e7331
Man	w9_d641e7334
zehlet	w1_d641e7339
anjetzo	w3_d641e7342
in	w5_d641e7345
Französischen	w7_d641e7348
Diensten	w9_d641e7351
9	w1_d641e7356
Regimenter	w3_d641e7359
Schweitzer,	w5_d641e7362
und	w7_d641e7365
ein	w9_d641e7368
Regi	w11_d641e7371
ment	w1_d641e7377
Graubünder,	w3_d641e7380
jedes	w5_d641e7383
von	w7_d641e7386
2.	w9_d641e7389
Bataillon,	w11_d641e7392
das	w1_d641e7397
Bataillon	w3_d641e7400
von	w5_d641e7403
6.	w7_d641e7406
Compagnien,	w9_d641e7409
jede	w11_d641e7412
Compagnie	w1_d641e7417
120.	w3_d641e7420
Mann	w5_d641e7423
stark:	w7_d641e7426
die	w9_d641e7429
Schwei	w11_d641e7432
tzer=garden	w1_d641e7437
machen	w3_d641e7440
4.	w5_d641e7443
Bataillon	w7_d641e7446
aus,	w9_d641e7449
das	w11_d641e7452
Bataillon	w1_d641e7458
von	w3_d641e7461
3.	w5_d641e7464
Compagnien,	w7_d641e7467
wovon	w9_d641e7470
jede	w11_d641e7473
aus	w1_d641e7478
200.	w3_d641e7481
Mann.	w5_d641e7484
bestehet,	w7_d641e7487
also	w9_d641e7490
in	w11_d641e7493
allem	w13_d641e7497
16900.	w1_d641e7502
Mann.	w3_d641e7505
Die	w5_d641e7508
Musterung	w7_d641e7511
der	w9_d641e7514
Fran	w11_d641e7517
zösischen	w1_d641e7522
Garden	w3_d641e7525
wird	w5_d641e7528
am	w7_d641e7531
15.	w9_d641e7534
dieses	w11_d641e7537
vor	w13_d641e7541
sich	w1_d641e7547
gehen,	w3_d641e7550
und	w5_d641e7553
sobald	w7_d641e7556
dieses	w9_d641e7559
geschehen,	w11_d641e7562
werden	w1_d641e7567
dieselbe	w3_d641e7570
ihren	w5_d641e7573
Marsch	w7_d641e7576
nach	w9_d641e7579
West	w11_d641e7582
phalen	w1_d641e7587
beschleunigen.	w3_d641e7590
</p>
<head id="h2_d641e7597">
Saale	w1_d641e7601
strom	w3_d641e7604
6.	w5_d641e7607
Martii.	w7_d641e7610
</head>
<p id="p4_d641e7613">
Am	w1_d641e7617
25.	w3_d641e7620
Febr.	w5_d641e7623
rückte	w7_d641e7626
ein	w9_d641e7629
starkes	w11_d641e7632
Deta	w13_d641e7636
schement	w1_d641e7641
Preußischer	w3_d641e7644
Grenadiers	w5_d641e7647
und	w7_d641e7650
Ca	w9_d641e7653
vallerie,	w1_d641e7658
unter	w3_d641e7661
Commando	w5_d641e7664
des	w7_d641e7667
Herrn	w9_d641e7670
Ob	w11_d641e7673
risten	w1_d641e7679
von	w3_d641e7682
Falkenhain	w5_d641e7685
in	w7_d641e7688
Merseburg	w9_d641e7691
ein,	w11_d641e7694
und	w13_d641e7698
da	w1_d641e7703
die	w3_d641e7706
Brücke	w5_d641e7709
am	w7_d641e7712
Neumark	w9_d641e7715
abgebrochen	w11_d641e7718
war,	w1_d641e7723
liessen	w3_d641e7726
sie	w5_d641e7729
sogleich	w7_d641e7732
Grenadters	w9_d641e7735
auf	w11_d641e7738
Käh	w13_d641e7742
nen	w1_d641e7747
über	w3_d641e7750
die	w5_d641e7753
Saale	w7_d641e7756
setzen,	w9_d641e7759
welche	w11_d641e7762
alle	w13_d641e7766
Ein	w15_d641e7769
gänge	w1_d641e7775
in	w3_d641e7778
die	w5_d641e7781
Stadt	w7_d641e7784
stark	w9_d641e7787
besetzen	w11_d641e7790
musten.	w13_d641e7794
Sie	w1_d641e7799
kündigten	w3_d641e7802
der	w5_d641e7805
Stadt	w7_d641e7808
eine	w9_d641e7811
Brandscha	w11_d641e7814
tzung	w1_d641e7819
von	w3_d641e7822
60000.	w5_d641e7825
Thaler	w7_d641e7828
an,	w9_d641e7831
und	w11_d641e7834
die	w13_d641e7838
aus	w15_d641e7841
geschriebene	w1_d641e7846
Lieferungen	w3_d641e7849
an	w5_d641e7852
Contribution	w7_d641e7855
</p>
<p id="p10_d641e7868">
und	w1_d641e7872
Fonrage	w3_d641e7875
wurde	w5_d641e7878
mit	w7_d641e7881
Execution	w9_d641e7884
einge	w11_d641e7887
trieben.	w1_d641e7892
Wie	w3_d641e7895
betrübt	w5_d641e7898
die	w7_d641e7901
Umstände	w9_d641e7904
dieser	w11_d641e7907
bedrängten	w1_d641e7912
Stadt	w3_d641e7915
und	w5_d641e7918
Gegend	w7_d641e7921
sind,	w9_d641e7924
wird	w11_d641e7927
sich	w1_d641e7933
jedermann	w3_d641e7936
leicht	w5_d641e7939
vorstellen	w7_d641e7942
können.	w9_d641e7945
Am	w11_d641e7948
25.	w1_d641e7953
Febr.	w3_d641e7956
liessen	w5_d641e7959
der	w7_d641e7962
Herr	w9_d641e7965
Obriste	w11_d641e7968
von	w13_d641e7972
Fal	w15_d641e7975
kenhain	w1_d641e7980
die	w3_d641e7983
Neumarks=brücke	w5_d641e7986
wiederum	w7_d641e7989
her	w9_d641e7992
stellen,	w1_d641e7997
worüber	w3_d641e8000
sammentliche	w5_d641e8003
Grenadiers	w7_d641e8006
in	w1_d641e8012
die	w3_d641e8015
Stadt	w5_d641e8018
rückten,	w7_d641e8021
so,	w9_d641e8024
daß	w11_d641e8027
10.	w13_d641e8031
bis	w15_d641e8034
12.	w17_d641e8037
Mann	w1_d641e8042
in	w3_d641e8045
ein	w5_d641e8048
Haus	w7_d641e8051
zu	w9_d641e8054
liegen	w11_d641e8057
kamen.	w13_d641e8061
Alle	w15_d641e8064
Thöre	w1_d641e8069
wurden	w3_d641e8072
mit	w5_d641e8075
Mist	w7_d641e8078
verrammelt,	w9_d641e8081
bis	w11_d641e8084
auf	w1_d641e8089
das	w3_d641e8092
Claus	w5_d641e8095
und	w7_d641e8098
das	w9_d641e8101
Neumarks=thor.	w11_d641e8104
Kurz,	w1_d641e8110
es	w3_d641e8113
wurde	w5_d641e8116
alle	w7_d641e8119
nur	w9_d641e8122
mögliche	w11_d641e8125
Vorsicht	w13_d641e8129
vor	w1_d641e8134
einen	w3_d641e8137
etwa	w5_d641e8140
bevorstehenden	w7_d641e8143
Uberfall	w9_d641e8146
ge	w11_d641e8149
braucht.	w1_d641e8154
Am	w3_d641e8157
26.	w5_d641e8160
Febr.	w7_d641e8163
wurde	w9_d641e8166
mit	w11_d641e8169
Zahlung	w13_d641e8173
der	w1_d641e8178
Brandschatzung	w3_d641e8181
zugebracht,	w5_d641e8184
und	w7_d641e8187
man	w9_d641e8190
sahe	w1_d641e8196
auf	w3_d641e8199
allen	w5_d641e8202
Strassen	w7_d641e8205
nichts,	w9_d641e8208
als	w11_d641e8211
seuf	w13_d641e8215
zende	w1_d641e8220
Bürger	w3_d641e8223
nach	w5_d641e8226
dem	w7_d641e8229
Rahthause	w9_d641e8232
gehen.	w11_d641e8235
Unter=rheinstrom,	w1_d641e8240
vom	w3_d641e8243
14.	w5_d641e8246
Mart.	w7_d641e8249
</p>
<p id="p12_d641e8253">
Alles	w1_d641e8257
rüstet	w3_d641e8260
sich	w5_d641e8263
zu	w7_d641e8266
dem	w9_d641e8269
nahen	w11_d641e8272
Feldzug.	w13_d641e8276
Man	w1_d641e8281
glaubet,	w3_d641e8284
daß	w5_d641e8287
noch	w7_d641e8290
in	w9_d641e8293
diesem	w11_d641e8296
Monate	w13_d641e8300
einige	w1_d641e8305
Französische	w3_d641e8308
Regimenter	w5_d641e8311
aus	w7_d641e8314
ihren	w9_d641e8317
Winter=quartiren	w1_d641e8323
ausrücken	w3_d641e8326
werden.	w5_d641e8329
Von	w7_d641e8332
dem	w1_d641e8337
Regiment	w3_d641e8340
Elsaß	w5_d641e8343
will	w7_d641e8346
man	w9_d641e8349
es	w11_d641e8352
zuverläßig	w13_d641e8356
wissen.	w1_d641e8361
Der	w3_d641e8364
Herr	w5_d641e8367
Marschall	w7_d641e8370
d'Etrees,	w9_d641e8373
wird	w1_d641e8378
bey	w3_d641e8381
der	w5_d641e8384
unteren	w7_d641e8387
Armee	w9_d641e8390
erwartet:	w11_d641e8393
der	w1_d641e8399
Herr	w3_d641e8402
Marschall,	w5_d641e8405
Prinz	w7_d641e8408
von	w9_d641e8411
Soubise,	w11_d641e8414
hingegen	w1_d641e8419
zu	w3_d641e8422
den	w5_d641e8425
Kriegs=völkern	w7_d641e8428
in	w9_d641e8431
Hessen	w11_d641e8434
sich	w1_d641e8439
begeben,	w3_d641e8442
wohin	w5_d641e8445
die	w7_d641e8448
zu	w9_d641e8451
Düsseldorf	w11_d641e8454
bis	w13_d641e8458
anhin	w1_d641e8463
gewesene	w3_d641e8466
Equipage,	w5_d641e8469
und	w7_d641e8472
unter	w9_d641e8475
an	w11_d641e8478
deren,	w1_d641e8484
hundert	w3_d641e8487
Pferde	w5_d641e8490
allschon	w7_d641e8493
abge	w9_d641e8496
gangen.	w1_d641e8501
</p>
<head id="h2_d641e8507">
Dreßden	w1_d641e8511
vom	w3_d641e8514
15.	w5_d641e8517
Mart.	w7_d641e8520
</head>
<p id="p4_d641e8523">
Unerachtet	w1_d641e8527
die	w3_d641e8530
dermalige	w5_d641e8533
Witterung	w7_d641e8536
zu	w9_d641e8539
denen	w1_d641e8544
Operationen	w3_d641e8547
nichts	w5_d641e8550
weniger	w7_d641e8553
als	w9_d641e8556
be	w11_d641e8559
quem	w1_d641e8564
ist;	w3_d641e8567
so	w5_d641e8570
hat	w7_d641e8573
doch	w9_d641e8576
solche	w11_d641e8579
den	w13_d641e8583
Herrn	w15_d641e8586
Obristen	w1_d641e8592
von	w3_d641e8595
Törreck	w5_d641e8598
vor	w7_d641e8601
etwelchen	w9_d641e8604
Tagen	w11_d641e8607
nicht	w1_d641e8612
gehindert,	w3_d641e8615
das	w5_d641e8618
feindliche	w7_d641e8621
Schlabbern	w9_d641e8624
dorfische	w1_d641e8629
Cavallerie=regiment,	w3_d641e8632
unweit	w5_d641e8635
Grim	w7_d641e8638
mel,	w1_d641e8643
mit	w3_d641e8646
einem	w5_d641e8649
so	w7_d641e8652
glücklichen	w9_d641e8655
Erfolg	w11_d641e8658
zu	w13_d641e8662
überfallen,	w1_d641e8668
daß	w3_d641e8671
gegen	w5_d641e8674
100.	w7_d641e8677
Reiter	w9_d641e8680
in	w11_d641e8683
die	w13_d641e8687
diesseitige	w1_d641e8692
Kriegs=gefangenschaft	w3_d641e8695
gerahten,	w5_d641e8698
und	w1_d641e8703
eine	w3_d641e8706
noch	w5_d641e8709
grössere	w7_d641e8712
Anzahl	w9_d641e8715
Pferde	w11_d641e8718
enheu	w13_d641e8722
</p>
<p id="p6_d641e8727">
tet	w1_d641e8731
worden,	w3_d641e8734
welche	w5_d641e8737
man	w7_d641e8740
heute	w9_d641e8743
oder	w11_d641e8746
morgen	w13_d641e8750
in	w1_d641e8755
hiesigem	w3_d641e8758
Haupt=quartier	w5_d641e8761
erwartet.	w7_d641e8764
</p>
<p id="p8_d641e8767">
Bey	w1_d641e8771
der	w3_d641e8774
Kaiserl.	w5_d641e8777
Königl.	w7_d641e8780
Armee	w9_d641e8783
gesche	w11_d641e8786
hen	w1_d641e8791
seit	w3_d641e8794
kurzem	w5_d641e8797
allerhand	w7_d641e8800
Bewegungen,	w9_d641e8803
und	w11_d641e8806
Vorkehrungen,	w1_d641e8811
welche	w3_d641e8814
einen	w5_d641e8817
nahen	w7_d641e8820
Marsch	w9_d641e8823
vieler	w1_d641e8829
Trupen	w3_d641e8832
zu	w5_d641e8835
verkündigen	w7_d641e8838
scheinen,	w9_d641e8841
wie	w11_d641e8844
dann	w1_d641e8849
bereits	w3_d641e8852
verschiedene	w5_d641e8855
Regimenter	w7_d641e8858
auf	w9_d641e8861
gebrochen	w1_d641e8866
sind.	w3_d641e8869
</p>
<p id="p10_d641e8872">
Jn	w1_d641e8876
dem	w3_d641e8879
Marggraftum	w5_d641e8882
Nieder=laußitz,	w7_d641e8885
und	w1_d641e8890
überhaupt	w3_d641e8893
denen	w5_d641e8896
Gegenden,	w7_d641e8899
die	w9_d641e8902
der	w11_d641e8905
Fend	w1_d641e8910
noch	w3_d641e8913
besitzet,	w5_d641e8916
oder	w7_d641e8919
erreichen	w9_d641e8922
kan,	w11_d641e8925
wird,	w1_d641e8931
nach	w3_d641e8934
der	w5_d641e8937
bekannten	w7_d641e8940
Preußischen	w9_d641e8943
Art,	w11_d641e8946
mit	w1_d641e8951
denen	w3_d641e8954
armen	w5_d641e8957
Einwohnern	w7_d641e8960
auf	w9_d641e8963
das	w11_d641e8966
aller	w13_d641e8970
grausamste	w1_d641e8975
verfahren.	w3_d641e8978
Man	w5_d641e8981
läst	w7_d641e8984
dem	w9_d641e8987
Un	w11_d641e8990
terthan,	w1_d641e8995
ohne	w3_d641e8998
einige	w5_d641e9001
Rucksicht	w7_d641e9004
auf	w9_d641e9007
die	w11_d641e9010
ganz	w13_d641e9014
exceßive	w1_d641e9020
Theurung	w3_d641e9023
zu	w5_d641e9026
nehmen,	w7_d641e9029
nicht	w9_d641e9032
das	w11_d641e9035
tägliche	w1_d641e9040
Brod:	w3_d641e9043
was	w5_d641e9046
nur	w7_d641e9049
das	w9_d641e9052
Gewehr	w11_d641e9055
zu	w13_d641e9059
tragen	w1_d641e9064
fähig	w3_d641e9067
ist,	w5_d641e9070
wird	w7_d641e9073
fast	w9_d641e9076
ohne	w11_d641e9079
Ansehung	w13_d641e9083
der	w1_d641e9088
Person,	w3_d641e9091
zum	w5_d641e9094
Dienst	w7_d641e9097
gezwungen;	w9_d641e9100
ja	w11_d641e9103
der	w13_d641e9107
öffentliche	w1_d641e9113
Gottesdienst	w3_d641e9116
kan	w5_d641e9119
wegen	w7_d641e9122
dieser	w9_d641e9125
Grausamkeit	w1_d641e9130
nicht	w3_d641e9133
mehr	w5_d641e9136
mit	w7_d641e9139
Sicherheit	w9_d641e9142
ab	w11_d641e9145
gewartet	w1_d641e9150
werden,	w3_d641e9153
weil	w5_d641e9156
die	w7_d641e9159
feindliche	w9_d641e9162
Com	w11_d641e9165
mandi	w1_d641e9170
öfters	w3_d641e9173
die	w5_d641e9176
Kirchen	w7_d641e9179
besetzen,	w9_d641e9182
um	w11_d641e9185
Recrouten	w1_d641e9191
zu	w3_d641e9194
machen;	w5_d641e9197
und	w7_d641e9200
nunmehro	w9_d641e9203
müs	w11_d641e9206
sen	w1_d641e9211
sogar	w3_d641e9214
adeliche	w5_d641e9217
Damen	w7_d641e9220
von	w9_d641e9223
ihren	w11_d641e9226
Gü	w13_d641e9230
tern	w1_d641e9235
flüchten,	w3_d641e9238
um	w5_d641e9241
der	w7_d641e9244
angedroheten	w9_d641e9247
Weg	w11_d641e9250
führung	w1_d641e9255
als	w3_d641e9258
Geiseln	w5_d641e9261
zu	w7_d641e9264
entgehen.	w9_d641e9267
</p>
<head id="h2_d641e9281">
Wien	w1_d641e9285
den	w3_d641e9288
24.	w5_d641e9291
Martii	w7_d641e9294
1762.	w9_d641e9297
</head>
<p id="p4_d641e9300">
Samstags	w1_d641e9304
als	w3_d641e9307
den	w5_d641e9310
20.	w7_d641e9313
Martii	w9_d641e9316
um	w11_d641e9319
12.	w13_d641e9323
Uhr	w1_d641e9328
Mittags	w3_d641e9331
hat	w5_d641e9334
der	w7_d641e9337
Hochwürdige	w9_d641e9340
und	w1_d641e9345
Hochwolgeborne	w3_d641e9348
Herr	w5_d641e9351
Johann	w7_d641e9354
Anton	w9_d641e9357
Freyherr	w1_d641e9363
v.	w3_d641e9366
Zehmen,	w5_d641e9369
des	w7_d641e9372
hohen	w9_d641e9375
Dom=stifts	w11_d641e9378
Eichstätt	w1_d641e9383
Dom=dechant,	w3_d641e9386
Fürstl.	w5_d641e9389
Kempti	w7_d641e9392
scher	w1_d641e9397
geheimer	w3_d641e9400
Raht,	w5_d641e9403
als	w7_d641e9406
Bevollmächtigter	w9_d641e9409
von	w1_d641e9414
Sr.	w3_d641e9417
Kaiserl.	w5_d641e9420
Majest.	w7_d641e9423
vor	w9_d641e9426
allerhöchst	w11_d641e9429
Dero	w1_d641e9435
Thron,	w3_d641e9438
bey	w5_d641e9441
Anwesenheit	w7_d641e9444
des	w9_d641e9447
Kaiserl.	w11_d641e9450
hohen	w1_d641e9455
Ministerii,	w3_d641e9458
und	w5_d641e9461
zahlreichen	w7_d641e9464
Hof	w9_d641e9467
staats,	w1_d641e9472
auch	w3_d641e9475
vieler	w5_d641e9478
fremden	w7_d641e9481
Herren	w9_d641e9484
Gesand	w11_d641e9487
ten	w1_d641e9492
unter	w3_d641e9495
einem	w5_d641e9498
ansehnlichen	w7_d641e9501
Gefolg,	w9_d641e9504
Na	w11_d641e9507
mens	w1_d641e9513
St.	w3_d641e9516
Fürstl.	w5_d641e9519
Gnaden	w7_d641e9522
des	w9_d641e9525
Herrn	w11_d641e9528
Für	w13_d641e9532
sten	w1_d641e9537
und	w3_d641e9540
Abbten	w5_d641e9543
zu	w7_d641e9546
Kempten	w9_d641e9549
die	w11_d641e9552
Belehnung	w13_d641e9556
über	w1_d641e9561
</p>
<p id="p8_d641e9568">
über	w1_d641e9572
des	w3_d641e9575
Fürstl.	w5_d641e9578
Stifts	w7_d641e9581
Kempten,	w9_d641e9584
Regalien,	w11_d641e9587
Lehen,	w1_d641e9592
und	w3_d641e9595
Weltlichkeiien	w5_d641e9598
mit	w7_d641e9601
gewöhnlichen	w9_d641e9604
Ceremonien	w1_d641e9609
empfangen,	w3_d641e9612
und	w5_d641e9615
dabey	w7_d641e9618
die	w9_d641e9621
An	w11_d641e9624
rede	w1_d641e9630
und	w3_d641e9633
Danksagung	w5_d641e9636
mit	w7_d641e9639
allgemeinem	w9_d641e9642
Bey	w11_d641e9645
fall	w1_d641e9650
abgeleget.	w3_d641e9653
</p>
<p id="p10_d641e9656">
Abends	w1_d641e9660
um	w3_d641e9663
7.	w5_d641e9666
Uhr	w7_d641e9669
wurde	w9_d641e9672
Se.	w11_d641e9675
Königl.	w13_d641e9679
Hoheit	w1_d641e9684
des	w3_d641e9687
Königl.	w5_d641e9690
Cron=prinzen	w7_d641e9693
Erzherzogs	w9_d641e9696
Josephi	w1_d641e9701
Durchl.	w3_d641e9704
Gemahlin,	w5_d641e9707
geborne	w7_d641e9710
Prin	w9_d641e9713
zeßin	w1_d641e9719
von	w3_d641e9722
Parma	w5_d641e9725
Königl.	w7_d641e9728
Hoheit,	w9_d641e9731
mit	w11_d641e9734
einer	w13_d641e9738
wolgestalteten	w1_d641e9743
Erzherzogin	w3_d641e9746
zu	w5_d641e9749
allgemeiner	w7_d641e9752
Freude	w1_d641e9757
beeder	w3_d641e9760
Kaiserl.	w5_d641e9763
Königl.	w7_d641e9766
Majestäten	w9_d641e9769
und	w1_d641e9774
des	w3_d641e9777
ganzen	w5_d641e9780
Hofes,	w7_d641e9783
wie	w9_d641e9786
auch	w11_d641e9789
der	w13_d641e9793
sam	w15_d641e9796
mentlichen	w1_d641e9802
Erb=länder	w3_d641e9805
beglücktest	w5_d641e9808
entbunden,	w7_d641e9811
worauf	w1_d641e9816
sofort	w3_d641e9819
auf	w5_d641e9822
3.	w7_d641e9825
Täge	w9_d641e9828
die	w11_d641e9831
Gala	w13_d641e9835
angesa	w15_d641e9838
get	w1_d641e9843
worden.	w3_d641e9846
</p>
<p id="p12_d641e9850">
Der	w1_d641e9854
öffentliche	w3_d641e9857
Tauf=actus	w5_d641e9860
ist	w7_d641e9863
folgenden	w9_d641e9866
Tag	w1_d641e9871
den	w3_d641e9874
21.	w5_d641e9877
dieses	w7_d641e9880
bey	w9_d641e9883
Hof	w11_d641e9886
nach	w13_d641e9890
dem	w15_d641e9893
Sonn	w17_d641e9896
täglich=vormittägigen	w1_d641e9901
GOttes=dienst	w3_d641e9904
in	w5_d641e9907
der	w7_d641e9910
zweyten	w1_d641e9916
K.	w3_d641e9919
K.	w5_d641e9922
Anticamera	w7_d641e9925
mit	w9_d641e9928
der	w11_d641e9931
an	w13_d641e9935
dem	w15_d641e9938
K.	w1_d641e9943
K.	w3_d641e9946
Hof	w5_d641e9949
gewöhnlichen	w7_d641e9952
Feyerlichkeit	w9_d641e9955
für	w11_d641e9958
sich	w1_d641e9963
gegangen;	w3_d641e9966
wobey	w5_d641e9969
nebst	w7_d641e9972
Sr.	w9_d641e9975
Römisch	w11_d641e9978
Kaiserl.	w1_d641e9983
Majest.	w3_d641e9986
und	w5_d641e9989
Jhrer	w7_d641e9992
Majest.	w9_d641e9995
der	w11_d641e9998
Kai	w13_d641e10002
serin	w1_d641e10008
Königin	w3_d641e10011
nach	w5_d641e10014
dem	w7_d641e10017
hiesigen	w9_d641e10020
Gebrauch	w11_d641e10023
als	w1_d641e10028
Groß=eltern	w3_d641e10031
Se.	w5_d641e10034
Catholische	w7_d641e10037
Majest.	w9_d641e10040
der	w11_d641e10043
König	w1_d641e10048
in	w3_d641e10051
Spanien,	w5_d641e10054
und	w7_d641e10057
der	w9_d641e10060
verwittibten	w11_d641e10063
Kö	w13_d641e10067
nigin	w1_d641e10072
Majestät,	w3_d641e10075
dann	w5_d641e10078
auch	w7_d641e10081
des	w9_d641e10084
Durchl.	w11_d641e10087
Kö	w13_d641e10091
nigl.	w1_d641e10097
Spanischen	w3_d641e10100
Jnfanten,	w5_d641e10103
Don	w7_d641e10106
Philipp,	w9_d641e10109
Herzogen	w1_d641e10114
zu	w3_d641e10117
Parma	w5_d641e10120
und	w7_d641e10123
Piacenza	w9_d641e10126
Königl.	w11_d641e10129
Hoheit,	w1_d641e10134
die	w3_d641e10137
neugeborne	w5_d641e10140
Durchl.	w7_d641e10143
Erzherzogin	w9_d641e10146
zur	w1_d641e10151
Tauf	w3_d641e10154
gehoben,	w5_d641e10157
die	w7_d641e10160
Stelle	w9_d641e10163
Sr.	w11_d641e10166
Königl.	w13_d641e10170
Catholischen	w1_d641e10176
Maj.	w3_d641e10179
haben	w5_d641e10182
der	w7_d641e10185
Durchl.	w9_d641e10188
Königl.	w11_d641e10191
Prinz	w1_d641e10196
Erzherzog	w3_d641e10199
Ferdinand,	w5_d641e10202
und	w7_d641e10205
jene	w9_d641e10208
der	w11_d641e10211
verwittibten	w1_d641e10216
Königin	w3_d641e10219
von	w5_d641e10222
Spanien	w7_d641e10225
Majest.	w9_d641e10228
die	w1_d641e10233
Durchl.	w3_d641e10236
ältere	w5_d641e10239
Königl.	w7_d641e10242
Prinzeßin	w9_d641e10245
Erzher	w11_d641e10248
zogin	w1_d641e10254
Maria	w3_d641e10257
Anna,	w5_d641e10260
die	w7_d641e10263
Stelle	w9_d641e10266
des	w11_d641e10269
Durchl.	w13_d641e10273
Jnfanten	w1_d641e10278
Don	w3_d641e10281
Philipp	w5_d641e10284
Herzogs	w7_d641e10287
zu	w9_d641e10290
Parma,	w11_d641e10293
der	w1_d641e10298
Durchl.	w3_d641e10301
Königl.	w5_d641e10304
Prinz	w7_d641e10307
Erzherzog	w9_d641e10310
Leopold	w11_d641e10313
vertretten.	w1_d641e10318
</p>
<p id="p14_d641e10321">
Des	w1_d641e10325
Päpstl.	w3_d641e10328
Herrn	w5_d641e10331
Nuntii	w7_d641e10334
Borromeo	w9_d641e10337
Excell.	w1_d641e10342
ertheilten	w3_d641e10345
der	w5_d641e10348
neu	w7_d641e10351
gebornen	w9_d641e10354
Erz	w11_d641e10357
herzogin	w1_d641e10362
unter	w3_d641e10365
Aßistirung	w5_d641e10368
vieler	w7_d641e10371
Herren	w9_d641e10374
Bi	w11_d641e10377
schöffen	w1_d641e10383
und	w3_d641e10386
Prälaten	w5_d641e10389
in	w7_d641e10392
Poutifcalibus	w9_d641e10395
au	w11_d641e10398
.	w1_d641e10403
</p>
<p id="p16_d641e10406">
gekleidet,	w1_d641e10410
die	w3_d641e10413
heilige	w5_d641e10416
Tauf,	w7_d641e10419
bey	w9_d641e10422
welcher	w11_d641e10425
Höchst=dieselbe	w1_d641e10430
die	w3_d641e10433
Namen	w5_d641e10436
Theresia,	w7_d641e10439
Eli	w9_d641e10442
sabetha,	w1_d641e10447
Philippina,	w3_d641e10450
Ludovica,	w5_d641e10453
Josepha,	w7_d641e10456
und	w1_d641e10462
Johanna	w3_d641e10465
empfiengen;	w5_d641e10468
Ersterwehn	w7_d641e10471
ter	w1_d641e10476
Päpstl.	w3_d641e10479
Herr	w5_d641e10482
Nuntius	w7_d641e10485
stimmte	w9_d641e10488
nach	w11_d641e10491
des	w13_d641e10495
sen	w1_d641e10500
Endigung	w3_d641e10503
das	w5_d641e10506
Te	w7_d641e10509
Deum	w9_d641e10512
an;	w11_d641e10515
worauf	w13_d641e10519
so	w15_d641e10522
fort	w1_d641e10527
ein	w3_d641e10530
drey=maliges	w5_d641e10533
Salve	w7_d641e10536
von	w9_d641e10539
denen	w11_d641e10542
auf	w1_d641e10548
der	w3_d641e10551
hiesigen	w5_d641e10554
Burg=bastey	w7_d641e10557
aufgezoge	w9_d641e10560
nen	w1_d641e10565
Bataillons	w3_d641e10568
von	w5_d641e10571
Sr.	w7_d641e10574
Königl.	w9_d641e10577
Hoheit	w11_d641e10580
des	w1_d641e10585
Erzherzogs	w3_d641e10588
Ferdinand	w5_d641e10591
Hungarischen	w7_d641e10594
Jn	w9_d641e10597
fanterie=regiment,	w1_d641e10602
und	w3_d641e10605
ein	w5_d641e10608
