<doc id="wr_1761-12-16" attrs="word" year="1761" month="12" day="16" corpus="2">
<head id="h2_d613e3063">
Barcelona	w1_d613e3067
General=feld=marschall,	w5_d613e6700
Graf	w7_d613e6703
von	w9_d613e6706
Butturlin,	w1_d613e6711
durch	w3_d613e6714
den	w5_d613e6717
Obrist=leutenant	w7_d613e6720
Caro	w1_d613e6725
an	w3_d613e6728
Jhre	w5_d613e6731
Majest.	w7_d613e6734
aller	w9_d613e6737
Reussen	w11_d613e6740
vor	w13_d613e6744
einigen	w1_d613e6749
Tagen	w3_d613e6752
übersendet	w5_d613e6755
hat.	w7_d613e6758
Dieser	w9_d613e6761
Bericht	w1_d613e6767
ist	w3_d613e6770
aus	w5_d613e6773
dem	w7_d613e6776
Dorfe	w9_d613e6779
Stargard,	w11_d613e6782
un	w13_d613e6786
weit	w1_d613e6791
Regenwalde	w3_d613e6794
in	w5_d613e6797
Pommern,	w7_d613e6800
vom	w9_d613e6803
26.	w11_d613e6806
Octob.	w1_d613e6811
datirt.	w3_d613e6814
Er	w5_d613e6817
endiget	w7_d613e6820
sich	w9_d613e6823
mit	w11_d613e6826
der	w13_d613e6830
Gefangenehmung	w1_d613e6835
des	w3_d613e6838
Generals	w5_d613e6841
Knobloch	w7_d613e6844
und	w1_d613e6850
seiner	w3_d613e6853
bey	w5_d613e6856
sich	w7_d613e6859
gehabten	w9_d613e6862
Trupen	w11_d613e6865
zu	w13_d613e6869
Trep	w15_d613e6872
tow.	w1_d613e6877
Der	w3_d613e6880
Hr.	w5_d613e6883
Graf	w7_d613e6886
von	w9_d613e6889
Butturlin	w11_d613e6892
sagt	w13_d613e6896
von	w1_d613e6901
diesem	w3_d613e6904
Vorfalle,	w5_d613e6907
daß	w7_d613e6910
dabey	w9_d613e6913
Rußi	w11_d613e6916
scher	w1_d613e6921
Seits	w3_d613e6924
kein	w5_d613e6927
Mann	w7_d613e6930
geblieben	w9_d613e6933
sey,	w11_d613e6936
und	w1_d613e6942
er	w3_d613e6945
beschliesset	w5_d613e6948
sein	w7_d613e6951
Schreiben	w9_d613e6954
folgender	w11_d613e6957
massen:	w1_d613e6962
Solchergestalt	w3_d613e6965
sind	w5_d613e6968
in	w7_d613e6971
ganz	w9_d613e6974
kurzer	w11_d613e6977
Zeit	w1_d613e6982
gegen	w3_d613e6985
4000.	w5_d613e6988
Wann	w7_d613e6991
allein	w9_d613e6994
zu	w11_d613e6997
Kriegs	w13_d613e7001
gefangene	w1_d613e7006
gemacht	w3_d613e7009
worden;	w5_d613e7012
überhaupt	w7_d613e7015
aber	w1_d613e7021
hat	w3_d613e7024
der	w5_d613e7027
Feind	w7_d613e7030
in	w9_d613e7033
Pommern	w11_d613e7036
weit	w13_d613e7040
über	w15_d613e7043
10000.	w1_d613e7048
Mann	w3_d613e7051
eingebüsset,	w5_d613e7054
und	w7_d613e7057
jetzo	w9_d613e7060
ist	w11_d613e7063
der	w1_d613e7068
Ueberrest	w3_d613e7071
seiner	w5_d613e7074
Trupen	w7_d613e7077
einer	w9_d613e7080
grossen	w11_d613e7083
Gefahr	w1_d613e7088
ausgesetzt,	w3_d613e7091
zumal	w5_d613e7094
dieselben	w7_d613e7097
vor	w9_d613e7100
Colberg	w1_d613e7106
an	w3_d613e7109
allem	w5_d613e7112
Nöhtigen	w7_d613e7115
einen	w9_d613e7118
erstaun	w11_d613e7121
lichen	w1_d613e7126
Mangel	w3_d613e7129
leiden.	w5_d613e7132
Dagegen	w7_d613e7135
durch	w9_d613e7138
die	w11_d613e7141
Fügung	w1_d613e7146
des	w3_d613e7149
Allerhöchsten	w5_d613e7152
und	w7_d613e7155
das	w9_d613e7158
Glück	w11_d613e7161
Eurer	w1_d613e7166
Kaiserl.	w3_d613e7169
Majest.	w5_d613e7172
dieser	w7_d613e7175
Zuwachs	w9_d613e7178
des	w11_d613e7181
Ruhms	w1_d613e7187
für	w3_d613e7190
Dero	w5_d613e7193
siegreiche	w7_d613e7196
Waffen,	w9_d613e7199
und	w11_d613e7202
der	w1_d613e7207
ausnehmende	w3_d613e7210
Dienst	w5_d613e7213
für	w7_d613e7216
die	w9_d613e7219
allgemei	w11_d613e7222
ne	w1_d613e7227
gute	w3_d613e7230
Sache,	w5_d613e7233
Eurer	w7_d613e7236
Kaiserl.	w9_d613e7239
Majestät	w11_d613e7242
Armee,	w1_d613e7247
ausser	w3_d613e7250
denen	w5_d613e7253
mit	w7_d613e7256
der	w9_d613e7259
späten	w11_d613e7262
Jah	w13_d613e7266
res=zeit	w1_d613e7272
verknüpften	w3_d613e7275
Beschwerlichkeiten	w5_d613e7278
und	w7_d613e7281
Fatiquen,	w1_d613e7286
fast	w3_d613e7289
gar	w5_d613e7292
nichts	w7_d613e7295
kostet.	w9_d613e7298
</p>
<p id="p6_d613e7301">
Jch	w1_d613e7305
erkühne	w3_d613e7308
mich	w5_d613e7311
demnach,	w7_d613e7314
Eurer	w9_d613e7317
Kai	w11_d613e7320
serl.	w1_d613e7325
Majest.	w3_d613e7328
meinen	w5_d613e7331
desto	w7_d613e7334
eifers=vollen	w9_d613e7337
Glück=wunsch	w1_d613e7342
zu	w3_d613e7345
Füssen	w5_d613e7348
zu	w7_d613e7351
legen,	w9_d613e7354
da	w11_d613e7357
die	w13_d613e7361
se	w1_d613e7367
von	w3_d613e7370
GOtt	w5_d613e7373
verliehenen	w7_d613e7376
Siege	w9_d613e7379
in	w11_d613e7382
dem	w13_d613e7386
zärtlichen	w1_d613e7391
Herzen	w3_d613e7394
Eurer	w5_d613e7397
Majest.	w7_d613e7400
kein	w9_d613e7403
Lan	w11_d613e7406
</p>
<p id="p12_d613e7420">
des=mütterliches	w1_d613e7424
Bedauern	w3_d613e7427
über	w5_d613e7430
Dero	w7_d613e7433
Un	w9_d613e7436
terthanen,	w1_d613e7441
sondern	w3_d613e7444
einzig	w5_d613e7447
und	w7_d613e7450
allein	w9_d613e7453
ein	w11_d613e7456
Wolgefallen	w1_d613e7461
über	w3_d613e7464
ihren	w5_d613e7467
Eifer	w7_d613e7470
und	w9_d613e7473
Treue,	w11_d613e7476
erregen	w1_d613e7482
werden.	w3_d613e7485
</p>
<head id="h2_d613e7492">
Brest	w1_d613e7496
10.	w3_d613e7499
November.	w5_d613e7502
</head>
<p id="p4_d613e7505">
Endlich	w1_d613e7509
haben	w3_d613e7512
uns	w5_d613e7515
5.	w7_d613e7518
Spanische	w9_d613e7521
Schiffe	w11_d613e7524
den	w1_d613e7529
Ueberrest	w3_d613e7532
der	w5_d613e7535
erforderlichen	w7_d613e7538
Mundbe	w9_d613e7541
dürfnüsse	w1_d613e7546
für	w3_d613e7549
die	w5_d613e7552
in	w7_d613e7555
hiesigem	w9_d613e7558
Hafen	w11_d613e7561
ausge	w13_d613e7565
rüstete	w1_d613e7571
Flotte	w3_d613e7574
zugeführt,	w5_d613e7577
und	w7_d613e7580
nunmehro	w9_d613e7583
ist	w11_d613e7586
alles	w1_d613e7591
zum	w3_d613e7594
Auslauffen	w5_d613e7597
bereit,	w7_d613e7600
welches	w9_d613e7603
auch	w11_d613e7606
wol	w1_d613e7611
nächster	w3_d613e7614
Tagen	w5_d613e7617
erfolgen	w7_d613e7620
wird.	w9_d613e7623
Die	w11_d613e7626
Flotte	w1_d613e7631
ist	w3_d613e7634
in	w5_d613e7637
3.	w7_d613e7640
Divisionen	w9_d613e7643
abgetheilet.	w11_d613e7646
Die	w13_d613e7650
erste	w1_d613e7656
besteht	w3_d613e7659
aus	w5_d613e7662
dem	w7_d613e7665
Dur	w9_d613e7668
de	w11_d613e7671
Bourgogne,	w13_d613e7675
dem	w1_d613e7680
Vertheidiger	w3_d613e7683
und	w5_d613e7686
dem	w7_d613e7689
Zephyr,	w9_d613e7692
unter	w11_d613e7695
welche	w1_d613e7700
das	w3_d613e7703
Regiment	w5_d613e7706
von	w7_d613e7709
Foix	w9_d613e7712
vertheilt	w11_d613e7715
ist	w13_d613e7719
</p>
<p id="p6_d613e7722">
Der	w1_d613e7726
Herr	w3_d613e7729
Graf	w5_d613e7732
von	w7_d613e7735
Belsunce	w9_d613e7738
befindet	w11_d613e7741
sich	w1_d613e7746
auf	w3_d613e7749
dem	w5_d613e7752
Duc	w7_d613e7755
de	w9_d613e7758
Bourgogne.	w11_d613e7761
Die	w13_d613e7765
zweyte	w1_d613e7770
Division	w3_d613e7773
bestehet	w5_d613e7776
aus	w7_d613e7779
dem	w9_d613e7782
Hector	w11_d613e7785
worauf	w1_d613e7791
der	w3_d613e7794
Herr	w5_d613e7797
von	w7_d613e7800
St.	w9_d613e7803
Croix	w11_d613e7806
sich	w13_d613e7810
ein	w15_d613e7813
geschift,	w1_d613e7818
dem	w3_d613e7821
Protheus	w5_d613e7824
und	w7_d613e7827
denen	w9_d613e7830
Fregat	w11_d613e7833
ten,	w1_d613e7838
die	w3_d613e7841
Fleißige	w5_d613e7844
und	w7_d613e7847
die	w9_d613e7850
Opale,	w11_d613e7853
unter	w13_d613e7857
welchen	w1_d613e7862
das	w3_d613e7865
Regiment	w5_d613e7868
von	w7_d613e7871
Quercy	w9_d613e7874
vertheilt	w11_d613e7877
Das	w1_d613e7883
Regiment	w3_d613e7886
von	w5_d613e7889
Boulonnois	w7_d613e7892
ist	w9_d613e7895
auf	w11_d613e7898
der	w13_d613e7902
3.	w1_d613e7907
Division,	w3_d613e7910
so	w5_d613e7913
aus	w7_d613e7916
dem	w9_d613e7919
Diademe,	w11_d613e7922
dem	w13_d613e7926
Drachen,	w1_d613e7931
dem	w3_d613e7934
Glänzenden	w5_d613e7937
und	w7_d613e7940
der	w9_d613e7943
Calypfo	w11_d613e7946
besteht.	w1_d613e7951
Der	w3_d613e7954
Graf	w5_d613e7957
de	w7_d613e7960
la	w9_d613e7963
Tour	w11_d613e7966
d'Auvergne,	w13_d613e7970
Brigadier	w1_d613e7976
und	w3_d613e7979
Obrister	w5_d613e7982
von	w7_d613e7985
Boulonnois	w9_d613e7988
ist	w11_d613e7991
auf	w1_d613e7996
dem	w3_d613e7999
Diademe,	w5_d613e8002
die	w7_d613e8005
andere	w9_d613e8008
Officiers,	w11_d613e8011
so	w13_d613e8015
nicht	w1_d613e8020
bey	w3_d613e8023
besonderen	w5_d613e8026
Corps	w7_d613e8029
stehen,	w9_d613e8032
sind	w11_d613e8035
auf	w13_d613e8039
allen	w1_d613e8044
Schiffen	w3_d613e8047
durcheinander	w5_d613e8050
vertheilt	w7_d613e8053
</p>
<head id="h2_d613e8059">
Haag	w1_d613e8063
1.	w3_d613e8066
December.	w5_d613e8069
</head>
<p id="p4_d613e8072">
Der	w1_d613e8076
hiesige	w3_d613e8079
Rußisch=Kaiserl.	w5_d613e8082
Abgesandte,	w7_d613e8085
Herr	w1_d613e8090
v.	w3_d613e8093
Groß,	w5_d613e8096
wird	w7_d613e8099
dem	w9_d613e8102
Vernehmen	w11_d613e8105
nach	w13_d613e8109
zu	w15_d613e8112
Londen	w1_d613e8117
den	w3_d613e8120
neu=ernannten	w5_d613e8123
Rußischen	w7_d613e8126
Vice	w9_d613e8129
canzler,	w1_d613e8135
Fürsten	w3_d613e8138
von	w5_d613e8141
Galliczin	w7_d613e8144
ablösen.	w9_d613e8147
Da	w11_d613e8150
hingegen	w1_d613e8155
soll	w3_d613e8158
ein	w5_d613e8161
Vetter	w7_d613e8164
des	w9_d613e8167
Groß=canzlers	w11_d613e8170
von	w1_d613e8175
Rußland,	w3_d613e8178
Hr.	w5_d613e8181
Graf	w7_d613e8184
von	w9_d613e8187
Woronzow,	w11_d613e8190
welcher	w1_d613e8195
dermalen	w3_d613e8198
sich	w5_d613e8201
zu	w7_d613e8204
Wien	w9_d613e8207
aufhält,	w11_d613e8210
als	w13_d613e8214
Rußischer	w1_d613e8220
Gesandter	w3_d613e8223
hier	w5_d613e8226
erscheinen.	w7_d613e8229
</p>
<head id="h2_d613e8235">
Gotha	w1_d613e8239
3.	w3_d613e8242
December.	w5_d613e8245
</head>
<p id="p4_d613e8248">
Gestern	w1_d613e8252
Nachmittag	w3_d613e8255
gegen	w5_d613e8258
4.	w7_d613e8261
Uhr	w9_d613e8264
lang	w11_d613e8267
ten	w1_d613e8272
der	w3_d613e8275
Königl.	w5_d613e8278
Französische	w7_d613e8281
Marschall	w9_d613e8284
und	w11_d613e8287
Commandant	w1_d613e8292
en	w3_d613e8295
Chef	w5_d613e8298
der	w7_d613e8301
Königl.	w9_d613e8304
Armee	w11_d613e8307
</p>
<p id="p6_d613e8310">
Msr.	w1_d613e8314
le	w3_d613e8317
Duc	w5_d613e8320
de	w7_d613e8323
Broglio,	w9_d613e8326
in	w11_d613e8329
Begleitung	w13_d613e8333
einer	w1_d613e8338
grossen	w3_d613e8341
Suite	w5_d613e8344
von	w7_d613e8347
Generals	w9_d613e8350
und	w11_d613e8353
ei	w13_d613e8357
ner	w1_d613e8362
starken	w3_d613e8365
Bedeckung	w5_d613e8368
alhier	w7_d613e8371
an.	w9_d613e8374
Bey	w11_d613e8377
Deroselben	w1_d613e8383
Einpaßirung	w3_d613e8386
von	w5_d613e8389
dem	w7_d613e8392
Thore	w9_d613e8395
bis	w1_d613e8400
an	w3_d613e8403
das	w5_d613e8406
Absteig=quartier	w7_d613e8409
des	w9_d613e8412
anjetzo	w11_d613e8415
alhier	w1_d613e8420
commandirenden	w3_d613e8423
Königl.	w5_d613e8426
Französi	w7_d613e8429
schen	w1_d613e8434
Generals,	w3_d613e8437
Mfr.	w5_d613e8440
le	w7_d613e8443
Comte	w9_d613e8446
de	w11_d613e8449
Sey,	w13_d613e8453
paradirten	w1_d613e8459
einige	w3_d613e8462
100.	w5_d613e8465
Mann	w7_d613e8468
vom	w9_d613e8471
Regi	w11_d613e8474
ment	w1_d613e8479
Legion	w3_d613e8482
Royale.	w5_d613e8485
Abends	w7_d613e8488
gegen	w9_d613e8491
8.	w11_d613e8494
Uhr	w1_d613e8499
begaben	w3_d613e8502
sich	w5_d613e8505
der	w7_d613e8508
Marschall	w9_d613e8511
nach	w11_d613e8514
Hofe,	w13_d613e8518
alwo	w1_d613e8523
sie	w3_d613e8526
von	w5_d613e8529
unserer	w7_d613e8532
gnädigsten	w9_d613e8535
Herrschaft	w11_d613e8538
auf	w1_d613e8544
das	w3_d613e8547
höflichste	w5_d613e8550
und	w7_d613e8553
liebreicheste	w9_d613e8556
empfan	w11_d613e8559
gen	w1_d613e8564
und	w3_d613e8567
bewillkommet,	w5_d613e8570
darauf	w7_d613e8573
aber,	w9_d613e8576
nach	w11_d613e8579
einer	w1_d613e8584
kurzen	w3_d613e8587
Besprechung,	w5_d613e8590
zur	w7_d613e8593
Tafel	w9_d613e8596
ge	w11_d613e8599
gangen	w1_d613e8604
wurde.	w3_d613e8607
</p>
<head id="h2_d613e8613">
Cölln	w1_d613e8617
4.	w3_d613e8620
December.	w5_d613e8623
</head>
<p id="p4_d613e8626">
Gestern	w1_d613e8630
langte	w3_d613e8633
der	w5_d613e8636
Hr.	w7_d613e8639
Generalleute	w9_d613e8642
nant	w1_d613e8647
der	w3_d613e8650
Königl.	w5_d613e8653
Französischen	w7_d613e8656
Armeen	w9_d613e8659
Hr.	w11_d613e8662
Marquis	w1_d613e8667
d'Auvet	w3_d613e8670
hier	w5_d613e8673
an,	w7_d613e8676
um	w9_d613e8679
sowol	w11_d613e8682
über	w13_d613e8686
die	w1_d613e8692
hier	w3_d613e8695
garnisonirende,	w5_d613e8698
als	w7_d613e8701
über	w9_d613e8704
die	w11_d613e8707
in	w13_d613e8711
unseren	w1_d613e8716
Gegenden	w3_d613e8719
ligende	w5_d613e8722
Trupen	w7_d613e8725
das	w9_d613e8728
Com	w11_d613e8731
mando	w1_d613e8736
zu	w3_d613e8739
übernehmen.	w5_d613e8742
Heute	w7_d613e8745
um	w9_d613e8748
Mit	w11_d613e8751
tag	w1_d613e8756
hatten	w3_d613e8759
wir	w5_d613e8762
das	w7_d613e8765
Vergnügen,	w9_d613e8768
Se.	w11_d613e8771
Chur	w13_d613e8775
fürstl.	w1_d613e8781
Gnaden,	w3_d613e8784
Maximilian	w5_d613e8787
Friederich,	w7_d613e8790
un	w9_d613e8793
ter	w1_d613e8798
Lösung	w3_d613e8801
deren	w5_d613e8804
Stadt=canonen,	w7_d613e8807
und	w9_d613e8810
Pa	w11_d613e8813
radirung	w1_d613e8818
nachstehender	w3_d613e8821
Regimenter,	w5_d613e8824
als	w7_d613e8827
Royal=suedois,	w1_d613e8832
Elsas	w3_d613e8835
und	w5_d613e8838
Orleans	w7_d613e8841
hier	w9_d613e8844
eintreffen	w1_d613e8850
zu	w3_d613e8853
sehen.	w5_d613e8856
Se.	w7_d613e8859
Churfürstl.	w9_d613e8862
Gna	w11_d613e8865
den	w1_d613e8870
stiegen	w3_d613e8873
bey	w5_d613e8876
dem	w7_d613e8879
Palast	w9_d613e8882
Sr.	w11_d613e8885
Excell.	w13_d613e8889
des	w15_d613e8892
regierenden	w1_d613e8897
Hrn.	w3_d613e8900
Grafen	w5_d613e8903
von	w7_d613e8906
Manderscheid	w9_d613e8909
blanckenheim	w1_d613e8914
ab.	w3_d613e8917
An	w5_d613e8920
eben	w7_d613e8923
besagtem	w9_d613e8926
Tag	w11_d613e8929
trafe	w1_d613e8935
auch	w3_d613e8938
in	w5_d613e8941
hiesiger	w7_d613e8944
Stadt	w9_d613e8947
ein	w11_d613e8950
unter	w13_d613e8954
aber	w15_d613e8957
maliger	w1_d613e8962
Abfeurung	w3_d613e8965
des	w5_d613e8968
groben	w7_d613e8971
Geschützes	w9_d613e8974
Se.	w1_d613e8979
Durchl.	w3_d613e8982
der	w5_d613e8985
Marschall	w7_d613e8988
Prinz	w9_d613e8991
von	w11_d613e8994
Sou	w13_d613e8998
bise:	w1_d613e9003
sobald	w3_d613e9006
er	w5_d613e9009
unter	w7_d613e9012
Paradirung	w9_d613e9015
der	w11_d613e9018
Stadt	w1_d613e9024
cöllnischen	w3_d613e9027
Grenadiers	w5_d613e9030
in	w7_d613e9033
der	w9_d613e9036
Be	w11_d613e9039
hausung	w1_d613e9044
des	w3_d613e9047
berührten	w5_d613e9050
Hrn.	w7_d613e9053
Generalleu	w9_d613e9056
tenants,	w1_d613e9061
und	w3_d613e9064
allen	w5_d613e9067
hier	w7_d613e9070
befindlichen	w9_d613e9073
Officirs	w11_d613e9076
hohen	w1_d613e9081
und	w3_d613e9084
niedrigen	w5_d613e9087
Ranges	w7_d613e9090
bewillkom	w9_d613e9093
met	w1_d613e9099
worden,	w3_d613e9102
begabe	w5_d613e9105
sich	w7_d613e9108
derselbe	w9_d613e9111
in	w11_d613e9114
den	w13_d613e9118
Blanckenheimer=hof,	w1_d613e9123
und	w3_d613e9126
speisete	w5_d613e9129
allda	w7_d613e9132
in	w9_d613e9135
Beyseyn	w1_d613e9140
Sr.	w3_d613e9143
Churfürstl.	w5_d613e9146
Gnaden	w7_d613e9149
zu	w9_d613e9152
Mit	w11_d613e9155
</p>
<p id="p10_d613e9168">
tag.	w1_d613e9172
Morgen	w3_d613e9175
wird	w5_d613e9178
derselbe	w7_d613e9181
seine	w9_d613e9184
Reise	w11_d613e9187
von	w1_d613e9192
hier	w3_d613e9195
nacher	w5_d613e9198
Frankreich	w7_d613e9201
antretten,	w9_d613e9204
in	w11_d613e9207
seiner	w1_d613e9212
Abwesenheit	w3_d613e9215
ist	w5_d613e9218
das	w7_d613e9221
Commando	w9_d613e9224
über	w11_d613e9227
die	w1_d613e9233
Französischen	w3_d613e9236
Trupen	w5_d613e9239
am	w7_d613e9242
Nieder=rhein	w9_d613e9245
dem	w1_d613e9250
Hrn.	w3_d613e9253
General=leutenant	w5_d613e9256
Grafen	w7_d613e9259
von	w9_d613e9262
Vogue	w1_d613e9267
inzwischen	w3_d613e9270
aufgetragen	w5_d613e9273
worden.	w7_d613e9276
</p>
<head id="h2_d613e9282">
Cammin	w1_d613e9286
21.	w3_d613e9289
Nov.	w5_d613e9292
</head>
<p id="p4_d613e9295">
Wir	w1_d613e9299
haben	w3_d613e9302
nach	w5_d613e9305
dem	w7_d613e9308
Abmarsche	w9_d613e9311
der	w11_d613e9314
Schweden	w1_d613e9319
aus	w3_d613e9322
unserer	w5_d613e9325
Stadt	w7_d613e9328
einen	w9_d613e9331
neuen	w11_d613e9334
Besuch	w1_d613e9339
von	w3_d613e9342
denen	w5_d613e9345
Russen	w7_d613e9348
bekommen.	w9_d613e9351
Ein	w11_d613e9354
Major	w1_d613e9360
und	w3_d613e9363
500.	w5_d613e9366
Cosacken	w7_d613e9369
sind	w9_d613e9372
hier	w11_d613e9375
schon	w13_d613e9379
eingetroffen,	w1_d613e9384
und	w3_d613e9387
da	w5_d613e9390
die	w7_d613e9393
Russen	w9_d613e9396
so	w11_d613e9399
unvermu	w13_d613e9403
tet	w1_d613e9408
in	w3_d613e9411
unserem	w5_d613e9414
Lande	w7_d613e9417
zurück	w9_d613e9420
geblieben	w11_d613e9423
sind;	w13_d613e9427
so	w1_d613e9432
verspüret	w3_d613e9435
man	w5_d613e9438
auch,	w7_d613e9441
daß	w9_d613e9444
die	w11_d613e9447
Schweden	w13_d613e9451
wieder	w1_d613e9457
zahlreicher	w3_d613e9460
nach	w5_d613e9463
Wollin	w7_d613e9466
kommen.	w9_d613e9469
</p>
<p id="p6_d613e9472">
Jndessen	w1_d613e9476
ist	w3_d613e9479
die	w5_d613e9482
Wieder=vereinigung	w7_d613e9485
des	w9_d613e9488
Prinz	w1_d613e9493
Wirtenbergischen	w3_d613e9496
Corps	w5_d613e9499
mit	w7_d613e9502
jenem	w9_d613e9505
des	w11_d613e9508
Generalen	w1_d613e9513
von	w3_d613e9516
Platten,	w5_d613e9519
nachdem	w7_d613e9522
dieser	w9_d613e9525
dem	w11_d613e9528
erstern	w1_d613e9534
bis	w3_d613e9537
nach	w5_d613e9540
Greiffenberg	w7_d613e9543
entgegen	w9_d613e9546
gerü	w11_d613e9549
cket,	w1_d613e9554
den	w3_d613e9557
16.	w5_d613e9560
dieses	w7_d613e9563
geschehen;	w9_d613e9566
in	w11_d613e9569
Colberg	w13_d613e9573
aber	w1_d613e9578
der	w3_d613e9581
Oberste	w5_d613e9584
von	w7_d613e9587
Heiden,	w9_d613e9590
als	w11_d613e9593
Comman	w13_d613e9597
dant,	w1_d613e9602
mit	w3_d613e9605
einer	w5_d613e9608
hinlänglichen	w7_d613e9611
Besatzung	w9_d613e9614
zu	w11_d613e9617
rück	w1_d613e9623
geblieben.	w3_d613e9626
</p>
<head id="h2_d613e9632">
Wien	w1_d613e9636
den	w3_d613e9639
16.	w5_d613e9642
December	w7_d613e9645
1761.	w9_d613e9648
</head>
<p id="p4_d613e9651">
Smsstagst	w1_d613e9655
den	w3_d613e9658
12.	w5_d613e9661
Dio	w7_d613e9664
bennd	w9_d613e9667
in	w11_d613e9670
der	w13_d613e9674
K.	w1_d613e9679
K.	w3_d613e9682
Cammer=capelle	w5_d613e9685
für	w7_d613e9688
die	w9_d613e9691
Hoch	w11_d613e9694
adeliche	w1_d613e9699
Stern=kreutz=ordens=dame	w3_d613e9702
(Titl.)	w5_d613e9705
Frau	w1_d613e9711
Barbara	w3_d613e9714
Gräfin	w5_d613e9717
von	w7_d613e9720
Benedetti,	w9_d613e9723
ge	w11_d613e9726
borne	w1_d613e9731
Marchesin	w3_d613e9734
Ricci,	w5_d613e9737
so	w7_d613e9740
zu	w9_d613e9743
Spoleti	w11_d613e9746
die	w13_d613e9750
ses	w1_d613e9755
Jahrs	w3_d613e9758
in	w5_d613e9761
GOtt	w7_d613e9764
seelig	w9_d613e9767
verschieden,	w11_d613e9770
die	w13_d613e9774
Exequien	w1_d613e9779
gehalten	w3_d613e9782
worden.	w5_d613e9785
</p>
<p id="p6_d613e9788">
Dito	w1_d613e9792
ist	w3_d613e9795
der	w5_d613e9798
Geburts=tag	w7_d613e9801
Sr.	w9_d613e9804
Königl.	w11_d613e9807
Hoheit	w1_d613e9812
des	w3_d613e9815
Herrn	w5_d613e9818
Herzogen	w7_d613e9821
Carls	w9_d613e9824
zu	w11_d613e9827
Lo	w13_d613e9831
thringen,	w1_d613e9836
des	w3_d613e9839
hohen	w5_d613e9842
Teutschen	w7_d613e9845
Ordens	w9_d613e9848
Großmeisters,	w1_d613e9854
und	w3_d613e9857
General=gouverneur	w5_d613e9860
deren	w1_d613e9865
Oesterreichischen	w3_d613e9868
Niederlanden,	w5_d613e9871
da	w7_d613e9874
Dieselbe	w1_d613e9879
das	w3_d613e9882
49.	w5_d613e9885
Jahr	w7_d613e9888
zurück	w9_d613e9891
geleget,	w11_d613e9894
an	w13_d613e9898
dem	w1_d613e9903
Kaiserlich=Königlichen	w3_d613e9906
Hofe	w5_d613e9909
in	w7_d613e9912
Ga	w9_d613e9915
la	w1_d613e9921
begangen	w3_d613e9924
worden;	w5_d613e9927
deme	w7_d613e9930
zufolge	w9_d613e9933
der	w11_d613e9936
hohe	w13_d613e9940
Adel	w1_d613e9945
sich	w3_d613e9948
in	w5_d613e9951
Gala	w7_d613e9954
nach	w9_d613e9957
Hofe	w11_d613e9960
begeben,	w13_d613e9964
und	w15_d613e9967
bey	w1_d613e9972
Sr.	w3_d613e9975
Majestät	w5_d613e9978
dem	w7_d613e9981
Kaiser	w9_d613e9984
die	w11_d613e9987
Wünsche	w13_d613e9991
</p>
<p id="p8_d613e9994">
apgestcirti;	w1_d613e9998
Wiglichen	w3_d613e10001
Vrror	w5_d613e10004
Kurseti	w7_d613e10007
Kor	w9_d613e10010
nigl.	w1_d613e10015
Majestäten	w3_d613e10018
mit	w5_d613e10021
dem	w7_d613e10024
Königl.	w9_d613e10027
Erbprin	w11_d613e10030
zen	w1_d613e10035
Erz=herzogen	w3_d613e10038
Joseph.	w5_d613e10041
Dero	w7_d613e10044
Frauen	w9_d613e10047
Ge	w11_d613e10050
mahlin	w1_d613e10056
und	w3_d613e10059
5.	w5_d613e10062
älteren	w7_d613e10065
Königl.	w9_d613e10068
Hoheiten,	w11_d613e10071
bey	w1_d613e10076
Aufwartung	w3_d613e10079
des	w5_d613e10082
hohen	w7_d613e10085
Adels,	w9_d613e10088
öffente	w11_d613e10091
lich	w1_d613e10096
gespeiset;	w3_d613e10099
wobey	w5_d613e10102
eine	w7_d613e10105
Cammertafel	w9_d613e10108
music	w1_d613e10113
sich	w3_d613e10116
hören	w5_d613e10119
lassen.	w7_d613e10122
Abends	w9_d613e10125
ist	w11_d613e10128
dieses	w13_d613e10132
Geburts=fest	w1_d613e10138
mit	w3_d613e10141
einem	w5_d613e10144
grossen	w7_d613e10147
Apartement	w9_d613e10150
beschlossen	w1_d613e10155
worden	w3_d613e10158
</p>
<p id="p10_d613e10161">
Sonntags	w1_d613e10165
den	w3_d613e10168
13.	w5_d613e10171
Vormittags	w7_d613e10174
haben	w9_d613e10177
beyde	w1_d613e10182
Kaiserl.	w3_d613e10185
Königl.	w5_d613e10188
Majestäten	w7_d613e10191
verschie	w9_d613e10194
denen	w1_d613e10199
Particuliers	w3_d613e10202
allergnädigste	w5_d613e10205
Audienz	w7_d613e10208
er	w9_d613e10211
theilet.	w1_d613e10217
</p>
<p id="p12_d613e10221">
Montags	w1_d613e10225
den	w3_d613e10228
15.	w5_d613e10231
nach	w7_d613e10234
dem	w9_d613e10237
vor	w11_d613e10240
mittägigen	w1_d613e10245
GOttes=dienst	w3_d613e10248
haben	w5_d613e10251
Se.	w7_d613e10254
Kö	w9_d613e10257
nigliche	w1_d613e10262
Hoheit	w3_d613e10265
der	w5_d613e10268
Erzherzog	w7_d613e10271
Joseph	w9_d613e10274
in	w11_d613e10277
Begleitung	w1_d613e10283
einiger	w3_d613e10286
Cavallieren	w5_d613e10289
über	w7_d613e10292
die	w9_d613e10295
gros	w11_d613e10298
sen	w1_d613e10303
