<doc id="wr_1761-10-21" attrs="word" year="1761" month="10" day="21" corpus="2">
<head id="h2_d597e3304">
Brest	w1_d597e3308
An	w11_d597e6925
forderung	w1_d597e6931
solle	w3_d597e6934
in	w5_d597e6937
denen	w7_d597e6940
nächstens	w9_d597e6943
erschei	w11_d597e6946
nenden	w1_d597e6951
gedruckten	w3_d597e6954
Verfassungen	w5_d597e6957
fehr	w7_d597e6960
weit	w9_d597e6963
läuffig	w1_d597e6968
und	w3_d597e6971
ausführlich	w5_d597e6974
gehandlet	w7_d597e6977
werden.	w9_d597e6980
Dem	w1_d597e6985
seye	w3_d597e6988
nun	w5_d597e6991
wie	w7_d597e6994
ihm	w9_d597e6997
wolle,	w11_d597e7000
so	w13_d597e7004
ist	w15_d597e7007
es	w17_d597e7010
dennoch	w1_d597e7016
übel	w3_d597e7019
genug,	w5_d597e7022
daß	w7_d597e7025
man	w9_d597e7028
aller	w11_d597e7031
Orten	w13_d597e7035
die	w1_d597e7040
gemein	w3_d597e7043
schädliche	w5_d597e7046
Kriegs=flammen	w7_d597e7049
mit	w9_d597e7052
neu	w1_d597e7057
und	w3_d597e7060
gedoppelter	w5_d597e7063
Wut	w7_d597e7066
wiederum	w9_d597e7069
aus	w11_d597e7072
brechen	w1_d597e7077
zu	w3_d597e7080
sehen	w5_d597e7083
gezwungen	w7_d597e7086
ist;	w9_d597e7089
Jn	w11_d597e7092
dem	w13_d597e7096
ganzen	w1_d597e7102
Königreich	w3_d597e7105
werden	w5_d597e7108
so	w7_d597e7111
viele	w9_d597e7114
kriegeri	w11_d597e7117
sche	w1_d597e7122
Anstalten	w3_d597e7125
gemacht,	w5_d597e7128
als	w7_d597e7131
wann	w9_d597e7134
man	w11_d597e7137
sich	w13_d597e7141
anschicken	w1_d597e7146
wollte,	w3_d597e7149
ganze	w5_d597e7152
Königreiche	w7_d597e7155
zu	w9_d597e7158
be	w11_d597e7161
stürmen.	w1_d597e7166
Ein	w3_d597e7169
jeder	w5_d597e7172
Minister	w7_d597e7175
ist	w9_d597e7178
mit	w11_d597e7181
denen	w13_d597e7185
Affairen	w1_d597e7191
seines	w3_d597e7194
Departements	w5_d597e7197
auf	w7_d597e7200
das	w9_d597e7203
äus	w11_d597e7206
ferste	w1_d597e7211
beschäftiget.	w3_d597e7214
Das	w5_d597e7217
Volk	w7_d597e7220
solle	w9_d597e7223
deme	w11_d597e7226
ungeachtet	w1_d597e7231
mit	w3_d597e7234
keinen	w5_d597e7237
neuen	w7_d597e7240
Anlagen	w9_d597e7243
belästi	w11_d597e7246
get	w1_d597e7251
werden,	w3_d597e7254
um	w5_d597e7257
denen	w7_d597e7260
künftigen	w9_d597e7263
Feldunkö	w11_d597e7266
sten	w1_d597e7272
beyzusteuren,	w3_d597e7275
weilen	w5_d597e7278
die	w7_d597e7281
Herren	w9_d597e7284
Paris	w1_d597e7289
von	w3_d597e7292
Montmartel	w5_d597e7295
und	w7_d597e7298
la	w9_d597e7301
Brode	w11_d597e7304
unse	w13_d597e7308
rem	w1_d597e7313
Hofe	w3_d597e7316
versprochen,	w5_d597e7319
alle	w7_d597e7322
Monat	w9_d597e7325
15	w11_d597e7328
Millionen,	w1_d597e7333
und	w3_d597e7336
in	w5_d597e7339
dem	w7_d597e7342
nicht	w9_d597e7345
Erkleckungs	w11_d597e7348
falle	w1_d597e7354
auch	w3_d597e7357
20.	w5_d597e7360
Millionen	w7_d597e7363
Livres	w9_d597e7366
zu	w11_d597e7369
ver	w13_d597e7373
schaffen.	w1_d597e7378
</p>
<p id="p8_d597e7381">
Die	w1_d597e7385
letzthin	w3_d597e7388
aus	w5_d597e7391
Spanien	w7_d597e7394
hier	w9_d597e7397
angelang	w11_d597e7400
te	w1_d597e7405
Briefe	w3_d597e7408
meldeten,	w5_d597e7411
daß	w7_d597e7414
man	w9_d597e7417
alldaselbsten	w11_d597e7420
fortfährt,	w1_d597e7425
sowol	w3_d597e7428
die	w5_d597e7431
See	w7_d597e7434
als	w9_d597e7437
Land=macht	w11_d597e7440
in	w1_d597e7446
einem	w3_d597e7449
förchterlichen	w5_d597e7452
Stande	w7_d597e7455
zu	w9_d597e7458
setzen;	w11_d597e7461
und	w1_d597e7466
das	w3_d597e7469
die	w5_d597e7472
alldasige	w7_d597e7475
verwittibte	w9_d597e7478
Königin	w11_d597e7481
in	w1_d597e7486
mißliche	w3_d597e7489
Gesundheits=umstände	w5_d597e7492
verfal	w7_d597e7495
len	w1_d597e7500
seye.	w3_d597e7503
</p>
<head id="h2_d597e7510">
Auszug	w1_d597e7514
eines	w3_d597e7517
Schreibens	w5_d597e7520
aus	w7_d597e7523
dem	w9_d597e7526
Soubisischen	w1_d597e7531
Lager	w3_d597e7534
bey	w5_d597e7537
Cösfeld,	w7_d597e7540
vom	w1_d597e7545
3.	w3_d597e7548
Octob.	w5_d597e7551
</head>
<p id="p4_d597e7554">
Der	w1_d597e7558
Hr.	w3_d597e7561
von	w5_d597e7564
Constans,	w7_d597e7567
welcher	w9_d597e7570
Ost	w11_d597e7573
frießland	w1_d597e7578
einnahm,	w3_d597e7581
meldete:	w5_d597e7584
Daß	w7_d597e7587
er	w9_d597e7590
dort	w11_d597e7593
zwey	w1_d597e7598
Millionen	w3_d597e7601
und	w5_d597e7604
500000.	w7_d597e7607
Fourage	w9_d597e7610
Ra	w11_d597e7613
</p>
<p id="p10_d597e7626">
tionen	w1_d597e7630
verbrannt	w3_d597e7633
habe;	w5_d597e7636
er	w7_d597e7639
schmeichelt	w9_d597e7642
sich	w11_d597e7645
noch	w1_d597e7650
andere	w3_d597e7653
Vorrahts=häuser	w5_d597e7656
zu	w7_d597e7659
erobern,	w9_d597e7662
weil	w1_d597e7667
er	w3_d597e7670
mit	w5_d597e7673
seinen	w7_d597e7676
Völkern	w9_d597e7679
sich	w11_d597e7682
würklich	w13_d597e7686
von	w1_d597e7692
Ost=frießland	w3_d597e7695
bis	w5_d597e7698
an	w7_d597e7701
die	w9_d597e7704
Weser	w11_d597e7707
verbrei	w13_d597e7711
tet.	w1_d597e7716
</p>
<p id="p12_d597e7720">
Als	w1_d597e7724
er	w3_d597e7727
den	w5_d597e7730
24.	w7_d597e7733
Sept.	w9_d597e7736
Emden	w11_d597e7739
einnahme,	w13_d597e7743
zoge	w1_d597e7748
er	w3_d597e7751
sich	w5_d597e7754
nach	w7_d597e7757
Emmerich,	w9_d597e7760
und	w11_d597e7763
liesse	w13_d597e7767
nur	w15_d597e7770
140.	w1_d597e7775
Mann	w3_d597e7778
dort.	w5_d597e7781
Unterwegs	w7_d597e7784
wurde	w9_d597e7787
er	w11_d597e7790
von	w1_d597e7796
4000.	w3_d597e7799
Bauern	w5_d597e7802
angegriffen,	w7_d597e7805
er	w9_d597e7808
ver	w11_d597e7811
sprengte	w1_d597e7816
aber	w3_d597e7819
solche	w5_d597e7822
alsbald.	w7_d597e7825
Jedoch	w9_d597e7828
in	w11_d597e7831
seiner	w1_d597e7836
Abwesenheit	w3_d597e7839
überfielen	w5_d597e7842
die	w7_d597e7845
Bauern	w9_d597e7848
mit	w1_d597e7853
toller	w3_d597e7856
Wuht	w5_d597e7859
Emden;	w7_d597e7862
ungeachtet	w9_d597e7865
aller	w11_d597e7868
Vorstellungen	w1_d597e7874
der	w3_d597e7877
Stadt,	w5_d597e7880
ermordeten	w7_d597e7883
sie	w9_d597e7886
des	w1_d597e7891
Hrn.	w3_d597e7894
von	w5_d597e7897
Conflans	w7_d597e7900
hinterlassene	w9_d597e7903
Kriegs	w11_d597e7906
völker	w1_d597e7911
mit	w3_d597e7914
einer	w5_d597e7917
unmenschlichen	w7_d597e7920
Grausam	w9_d597e7923
keit;	w1_d597e7928
der	w3_d597e7931
Herr	w5_d597e7934
von	w7_d597e7937
Conflaus	w9_d597e7940
hoffet	w11_d597e7943
die	w13_d597e7947
Stadt	w1_d597e7953
wieder	w3_d597e7956
einzunehmen,	w5_d597e7959
und	w7_d597e7962
alsdann	w9_d597e7965
die	w1_d597e7970
Thäter	w3_d597e7973
mit	w5_d597e7976
der	w7_d597e7979
empfindlichsten	w9_d597e7982
Rache	w11_d597e7985
zu	w13_d597e7989
züchtigen.	w1_d597e7994
Wir	w3_d597e7997
ziehen	w5_d597e8000
unbeschreiblich	w7_d597e8003
grosse	w9_d597e8006
Kriegs=steuern	w1_d597e8011
aus	w3_d597e8014
dem	w5_d597e8017
eroberten	w7_d597e8020
Ost	w9_d597e8023
frieß	w11_d597e8026
land.	w1_d597e8032
Zu	w3_d597e8035
Meppen	w5_d597e8038
wurde	w7_d597e8041
auch	w9_d597e8044
eine	w11_d597e8047
gute	w13_d597e8051
Beute	w1_d597e8056
gemacht.	w3_d597e8059
Der	w5_d597e8062
Hr.	w7_d597e8065
Erb=prinz	w9_d597e8068
von	w11_d597e8071
Braunschweig	w1_d597e8076
ist	w3_d597e8079
würklich	w5_d597e8082
auf	w7_d597e8085
dem	w9_d597e8088
Zug	w11_d597e8091
ge	w13_d597e8095
gen	w1_d597e8100
Ost=frießland.	w3_d597e8103
</p>
<head id="h2_d597e8109">
Gröningen	w1_d597e8113
8.	w3_d597e8116
Octob.	w5_d597e8119
</head>
<p id="p4_d597e8122">
Die	w1_d597e8126
Bürger	w3_d597e8129
von	w5_d597e8132
Emden	w7_d597e8135
und	w9_d597e8138
Einwohne	w11_d597e8141
re	w1_d597e8146
von	w3_d597e8149
Ost=frießland,	w5_d597e8152
erheben	w7_d597e8155
ein	w9_d597e8158
erbärm	w11_d597e8161
liches	w1_d597e8166
Jammer=geschrey,	w3_d597e8169
über	w5_d597e8172
die	w7_d597e8175
vorgebli	w9_d597e8178
chen	w1_d597e8184
Landes=plagen	w3_d597e8187
der	w5_d597e8190
Franzosen.	w7_d597e8193
</p>
<p id="p6_d597e8196">
Man	w1_d597e8200
kan	w3_d597e8203
zwar	w5_d597e8206
nicht	w7_d597e8209
längnen,	w9_d597e8212
daß	w11_d597e8215
die	w13_d597e8219
sem	w1_d597e8224
Staate	w3_d597e8227
sehr	w5_d597e8230
grosse	w7_d597e8233
Kriegs=steuern	w9_d597e8236
auf	w11_d597e8239
erleget,	w1_d597e8244
und	w3_d597e8247
solche	w5_d597e8250
mit	w7_d597e8253
Strenge	w9_d597e8256
eingetrieben	w11_d597e8259
werden;	w1_d597e8265
daß	w3_d597e8268
man	w5_d597e8271
überall,	w7_d597e8274
wo	w9_d597e8277
das	w11_d597e8280
verlang	w13_d597e8284
te	w1_d597e8289
Geld	w3_d597e8292
nicht	w5_d597e8295
sogleich	w7_d597e8298
geschossen	w9_d597e8301
wurde,	w11_d597e8304
sich	w13_d597e8308
durch	w1_d597e8313
Wegnehmung	w3_d597e8316
der	w5_d597e8319
Gerähtschaften	w7_d597e8322
selbst	w9_d597e8325
bezahlt	w1_d597e8330
gemacht	w3_d597e8333
habe;	w5_d597e8336
daß	w7_d597e8339
das	w9_d597e8342
Vieh	w11_d597e8345
weg	w13_d597e8349
genommen,	w1_d597e8355
und	w3_d597e8358
einige	w5_d597e8361
reiche	w7_d597e8364
Leute	w9_d597e8367
als	w11_d597e8370
Geiseln	w1_d597e8375
aufgehoben	w3_d597e8378
worden.	w5_d597e8381
Sie	w7_d597e8384
klagen,	w9_d597e8387
man	w1_d597e8392
habe	w3_d597e8395
ihre	w5_d597e8398
Geiseln	w7_d597e8401
in	w9_d597e8404
unbequeme	w11_d597e8407
Oer	w13_d597e8411
ter	w1_d597e8416
verschlossen;	w3_d597e8419
aber	w5_d597e8422
im	w7_d597e8425
Krieg,	w9_d597e8428
zumal	w11_d597e8431
in	w13_d597e8435
diesen	w1_d597e8441
Umständen,	w3_d597e8444
ist	w5_d597e8447
an	w7_d597e8450
keine	w9_d597e8453
Bequemlich	w11_d597e8456
keit	w1_d597e8461
zu	w3_d597e8464
denken.	w5_d597e8467
</p>
<p id="p8_d597e8470">
Alle	w1_d597e8474
diese	w3_d597e8477
eitle	w5_d597e8480
Klagen	w7_d597e8483
werden	w9_d597e8486
den	w11_d597e8489
Fran	w13_d597e8493
zosen	w1_d597e8498
den	w3_d597e8501
Ruhm	w5_d597e8504
der	w7_d597e8507
gesitteten	w9_d597e8510
Lebens=art	w11_d597e8513
und	w1_d597e8518
Menschen=liebe,	w3_d597e8521
welche	w5_d597e8524
sie	w7_d597e8527
längst	w9_d597e8530
besi	w11_d597e8533
tzen,	w1_d597e8539
dennoch	w3_d597e8542
nicht	w5_d597e8545
rauben.	w7_d597e8548
Kurz:	w9_d597e8551
die	w11_d597e8554
Preußische	w1_d597e8559
Unterthanen	w3_d597e8562
von	w5_d597e8565
Ost	w7_d597e8568
frießland	w9_d597e8571
solten	w1_d597e8576
wol	w3_d597e8579
denken:	w5_d597e8582
daß	w7_d597e8585
ihnen	w9_d597e8588
die	w11_d597e8591
Franzosen	w13_d597e8595
keinen	w1_d597e8600
Staats=besuch	w3_d597e8603
abstatten;	w5_d597e8606
daß	w7_d597e8609
sie	w9_d597e8612
noch	w11_d597e8615
sehr	w1_d597e8621
vieles	w3_d597e8624
vorher	w5_d597e8627
erdulten	w7_d597e8630
wüsten,	w9_d597e8633
ehe	w11_d597e8636
die	w13_d597e8640
Franzosen	w1_d597e8645
das	w3_d597e8648
Vergeltungs=recht	w5_d597e8651
wegen	w7_d597e8654
der	w9_d597e8657
Preußischen	w1_d597e8662
Mißhandlungen	w3_d597e8665
in	w5_d597e8668
Sachsen	w7_d597e8671
und	w1_d597e8676
Mecklenburg,	w3_d597e8679
an	w5_d597e8682
Ost=frißland	w7_d597e8685
ausü	w9_d597e8688
ben.	w1_d597e8694
Die	w3_d597e8697
Franzosen	w5_d597e8700
begiengen	w7_d597e8703
Feindse	w9_d597e8706
ligkeiten	w1_d597e8711
in	w3_d597e8714
Ost=frießland;	w5_d597e8717
dieses	w7_d597e8720
war	w9_d597e8723
eben	w11_d597e8726
ihre	w1_d597e8731
Absicht.	w3_d597e8734
Jedoch,	w5_d597e8737
selbst	w7_d597e8740
die	w9_d597e8743
klagende	w11_d597e8746
Ost=friesen	w1_d597e8751
müssen	w3_d597e8754
ihnen	w5_d597e8757
dieses	w7_d597e8760
zum	w9_d597e8763
Ruhm	w11_d597e8766
nachsagen,	w1_d597e8772
daß	w3_d597e8775
sie	w5_d597e8778
weder	w7_d597e8781
einen	w9_d597e8784
Menschen	w11_d597e8787
von	w1_d597e8792
denen	w3_d597e8795
Einwohnern	w5_d597e8798
ermordet,	w7_d597e8801
weder	w9_d597e8804
ein	w1_d597e8809
Haus	w3_d597e8812
angezündet	w5_d597e8815
haben.	w7_d597e8818
</p>
<head id="h2_d597e8824">
Anclam	w1_d597e8828
4.	w3_d597e8831
Octob.	w5_d597e8834
</head>
<p id="p4_d597e8837">
Die	w1_d597e8841
Königl.	w3_d597e8844
Schwedische	w5_d597e8847
Haupt=armee	w7_d597e8850
hält	w1_d597e8855
sich	w3_d597e8858
noch	w5_d597e8861
immer	w7_d597e8864
längs	w9_d597e8867
der	w11_d597e8870
Tollenz	w13_d597e8874
und	w1_d597e8879
dem	w3_d597e8882
Land=graben:	w5_d597e8885
die	w7_d597e8888
detaschirten	w9_d597e8891
Tru	w11_d597e8894
pen	w1_d597e8900
aber	w3_d597e8903
breiten	w5_d597e8906
sich	w7_d597e8909
immer	w9_d597e8912
weiter	w11_d597e8915
aus:	w13_d597e8919
2000.	w1_d597e8924
Mann	w3_d597e8927
stehen	w5_d597e8930
in	w7_d597e8933
der	w9_d597e8936
Ucker=mark	w11_d597e8939
bey	w13_d597e8943
Straßburg:	w1_d597e8948
Uckermünde	w3_d597e8951
haben	w5_d597e8954
die	w7_d597e8957
Preuf	w9_d597e8960
sen	w1_d597e8965
zum	w3_d597e8968
zweytenmal	w5_d597e8971
verlassen	w7_d597e8974
müssen:	w9_d597e8977
das	w11_d597e8980
Corps	w1_d597e8986
des	w3_d597e8989
Grafen	w5_d597e8992
von	w7_d597e8995
Hessenstein,	w9_d597e8998
welches	w11_d597e9001
sich	w1_d597e9006
auf	w3_d597e9009
der	w5_d597e9012
Jnsul	w7_d597e9015
Wollin	w9_d597e9018
versammelt	w11_d597e9021
hat	w13_d597e9025
te,	w1_d597e9030
ist	w3_d597e9033
bis	w5_d597e9036
nach	w7_d597e9039
Camin	w9_d597e9042
vorgerücket,	w11_d597e9045
und	w13_d597e9049
hat	w1_d597e9054
sich	w3_d597e9057
dieser	w5_d597e9060
Stadt	w7_d597e9063
bemächtiget:	w9_d597e9066
seine	w11_d597e9069
Patrouillen	w1_d597e9075
erstrecken	w3_d597e9078
sich	w5_d597e9081
bis	w7_d597e9084
nach	w9_d597e9087
Trep	w11_d597e9090
tar.	w1_d597e9095
Vor	w3_d597e9098
etlichen	w5_d597e9101
Tagen	w7_d597e9104
haben	w9_d597e9107
bey	w11_d597e9110
2000.	w13_d597e9114
Russen,	w1_d597e9119
mehrentheils	w3_d597e9122
Cosacken	w5_d597e9125
und	w7_d597e9128
Hussa	w9_d597e9131
ren	w1_d597e9136
zu	w3_d597e9139
den	w5_d597e9142
Schwedischen	w7_d597e9145
Trupen	w9_d597e9148
gestossen,	w11_d597e9151
sich	w1_d597e9157
aber	w3_d597e9160
zwey	w5_d597e9163
Tage	w7_d597e9166
hernach	w9_d597e9169
wieder	w11_d597e9172
davon	w13_d597e9176
getrennet.	w1_d597e9181
Man	w3_d597e9184
erwartet	w5_d597e9187
hier	w7_d597e9190
mit	w9_d597e9193
Ver	w11_d597e9196
langen,	w1_d597e9201
das	w3_d597e9204
Schicksal	w5_d597e9207
von	w7_d597e9210
Colberg	w9_d597e9213
in	w11_d597e9216
Bälde	w1_d597e9221
zu	w3_d597e9224
vernehmen.	w5_d597e9227
</p>
<head id="h2_d597e9233">
Dresden	w1_d597e9237
14.	w3_d597e9240
Octob.	w5_d597e9243
</head>
<p id="p4_d597e9246">
Diesen	w1_d597e9250
Morgen	w3_d597e9253
ist	w5_d597e9256
der	w7_d597e9259
Hr.	w9_d597e9262
General	w11_d597e9265
der	w13_d597e9269
Cavallerie	w1_d597e9274
von	w3_d597e9277
Haddick	w5_d597e9280
mit	w7_d597e9283
seinem	w9_d597e9286
unter	w11_d597e9289
habenden	w1_d597e9294
Corps	w3_d597e9297
nach	w5_d597e9300
Freyberg	w7_d597e9303
vorgerucket,	w9_d597e9306
</p>
<p id="p10_d597e9319">
das	w1_d597e9323
von	w3_d597e9326
ihme	w5_d597e9329
bey	w7_d597e9332
Dipoldiswalda	w9_d597e9335
verlassene	w11_d597e9338
Lager	w1_d597e9343
hat	w3_d597e9346
Hr.	w5_d597e9349
Feld=zeumeister	w7_d597e9352
Graf	w9_d597e9355
Wied	w11_d597e9358
mit	w1_d597e9363
4.	w3_d597e9366
Jnfanterie	w5_d597e9369
und	w7_d597e9372
2.	w9_d597e9375
Cavallerie=regi	w11_d597e9378
mentern	w1_d597e9384
bezogen.	w3_d597e9387
Zu	w5_d597e9390
nämlicher	w7_d597e9393
Zeit	w9_d597e9396
ist	w11_d597e9399
Hr.	w1_d597e9404
General	w3_d597e9407
Ried,	w5_d597e9410
dessen	w7_d597e9413
Corps	w9_d597e9416
mit	w11_d597e9419
2.	w13_d597e9423
Jnfanterie=regimentern	w1_d597e9428
verstärket	w3_d597e9431
worden.	w5_d597e9434
über	w1_d597e9439
Wilsdruf	w3_d597e9442
vorgerücket,	w5_d597e9445
wobey	w7_d597e9448
die	w9_d597e9451
feind	w11_d597e9454
liche	w1_d597e9460
Vor=posten	w3_d597e9463
alsogleich	w5_d597e9466
zurück	w7_d597e9469
gedrucket	w9_d597e9472
worden,	w1_d597e9477
auch	w3_d597e9480
solle	w5_d597e9483
dem	w7_d597e9486
Vernehmen	w9_d597e9489
nach	w11_d597e9492
in	w1_d597e9497
dem	w3_d597e9500
feindlichen	w5_d597e9503
Lager	w7_d597e9506
bey	w9_d597e9509
Schlesau	w11_d597e9512
al	w13_d597e9516
les	w1_d597e9521
Marsche	w3_d597e9524
fertig	w5_d597e9527
seyn,	w7_d597e9530
und	w9_d597e9533
alle	w11_d597e9536
Disposi	w13_d597e9540
tionen	w1_d597e9546
zur	w3_d597e9549
Retraite	w5_d597e9552
gemachet	w7_d597e9555
werden.	w9_d597e9558
</p>
<head id="h2_d597e9564">
Wien	w1_d597e9568
den	w3_d597e9571
21.	w5_d597e9574
October	w7_d597e9577
1761.	w9_d597e9580
</head>
<p id="p4_d597e9583">
Pontags	w1_d597e9587
den	w3_d597e9590
19.	w5_d597e9593
Octob.	w7_d597e9596
haben	w9_d597e9599
beede	w11_d597e9602
8	w1_d597e9607
Kaiserl.	w1_d597e9612
Majestäten	w3_d597e9615
mit	w5_d597e9618
Jhren	w7_d597e9621
Kö	w9_d597e9624
nigl.	w1_d597e9630
Hoheiten	w3_d597e9633
denen	w5_d597e9636
Durchleuchtigsten	w7_d597e9639
jun	w9_d597e9642
gen	w1_d597e9647
Herrschaften,	w3_d597e9650
und	w5_d597e9653
dem	w7_d597e9656
hohen	w9_d597e9659
Adel	w11_d597e9662
Abends	w1_d597e9667
der	w3_d597e9670
Vigil,	w5_d597e9673
und	w7_d597e9676
</p>
<p id="p6_d597e9679">
Gestern	w1_d597e9683
Vormittags	w3_d597e9686
denen	w5_d597e9689
Exequien	w7_d597e9692
für	w9_d597e9695
Weil.	w1_d597e9700
Se.	w3_d597e9703
Majest.	w5_d597e9706
Kaiser	w7_d597e9709
Carl	w9_d597e9712
den	w11_d597e9715
VI.	w13_d597e9719
glorwürdigster	w1_d597e9724
Gedächtnuß,	w3_d597e9727
in	w5_d597e9730
der	w7_d597e9733
Schön	w9_d597e9736
brunner	w1_d597e9742
Schloß=kapelle	w3_d597e9745
beygewohnet.	w5_d597e9748
</p>
<p id="p8_d597e9751">
Den	w1_d597e9755
16.	w3_d597e9758
wurde	w5_d597e9761
in	w7_d597e9764
dem	w9_d597e9767
Theresianischen	w11_d597e9770
Collegio	w1_d597e9775
von	w3_d597e9778
dem	w5_d597e9781
Hrn.	w7_d597e9784
Grafen	w9_d597e9787
Ludwig	w11_d597e9790
Kal	w13_d597e9794
nocky	w1_d597e9799
eine	w3_d597e9802
öffentliche	w5_d597e9805
Disputation	w7_d597e9808
vor	w9_d597e9811
Sr.	w11_d597e9814
Hochfürstl	w1_d597e9820
Gnaden	w3_d597e9823
unserem	w5_d597e9826
Herrn	w7_d597e9829
Erz	w9_d597e9832
bischoffe,	w1_d597e9837
als	w3_d597e9840
dazu	w5_d597e9843
ernannten	w7_d597e9846
K.	w9_d597e9849
K.	w11_d597e9852
Com.	w13_d597e9856
missario,	w1_d597e9861
mit	w3_d597e9864
dem	w5_d597e9867
gewöhnlichen	w7_d597e9870
Gepränge	w9_d597e9873
gehalten:	w1_d597e9878
wobey	w3_d597e9881
vor=erwehnter	w5_d597e9884
Cavalier	w7_d597e9887
in	w1_d597e9893
Gegenwart	w3_d597e9896
seines	w5_d597e9899
Hrn.	w7_d597e9902
Vatters,	w9_d597e9905
K.	w11_d597e9908
K.	w13_d597e9912
General=feld=marschall=leutenants,	w1_d597e9917
und	w3_d597e9920
Jn	w5_d597e9923
habers	w1_d597e9928
eines	w3_d597e9931
Hussaren=regiments,	w5_d597e9934
wie	w7_d597e9937
auch	w9_d597e9940
verschiedener	w1_d597e9945
Hungarischer	w3_d597e9948
Magnaten,	w5_d597e9951
sich	w7_d597e9954
aus	w1_d597e9960
allen	w3_d597e9963
Theilen	w5_d597e9966
der	w7_d597e9969
Historischen,	w9_d597e9972
Philo=Hr.	w11_d597e9975
Ant.	w13_d597e9979
Ristl,	w15_d597e9982
Subcantor	w17_d597e9985
bey	w19_d597e9988
St.	w21_d597e9991
Steph,	w23_d597e9994
auf	w25_d597e9998
der	w27_d597e10001
sophisch	w1_d597e10006
und	w3_d597e10009
Mathematischen	w5_d597e10012
Wissenschaf	w7_d597e10015
ten	w1_d597e10020
prüfen	w3_d597e10023
lassen,	w5_d597e10026
und	w7_d597e10029
darinnen	w9_d597e10032
ein	w11_d597e10035
ausneh	w13_d597e10039
mendes	w1_d597e10044
Probstück	w3_d597e10047
seiner	w5_d597e10050
wohl=geübten	w7_d597e10053
Er	w9_d597e10056
fahrenheit,	w1_d597e10062
auch	w3_d597e10065
besonderer	w5_d597e10068
Gaben	w7_d597e10071
des	w9_d597e10074
Geistes,	w1_d597e10079
und	w3_d597e10082
der	w5_d597e10085
Vernunft	w7_d597e10088
mit	w9_d597e10091
jedermanns	w11_d597e10094
Beyfall	w1_d597e10099
nicht	w3_d597e10102
ohne	w5_d597e10105
Vermehrung	w7_d597e10108
des	w9_d597e10111
Ruhms	w11_d597e10114
dieser	w1_d597e10119
hochadelichen	w3_d597e10122
wol=geordneten	w5_d597e10125
Ritter	w7_d597e10128
schule	w1_d597e10134
abgeleget:	w3_d597e10137
nach	w5_d597e10140
dessen	w7_d597e10143
Vollendung	w9_d597e10146
</p>
<p id="p10_d597e10149">
er	w1_d597e10153
von	w3_d597e10156
hoch=ernannten	w5_d597e10159
Herrn	w7_d597e10162
Commissaris	w9_d597e10165
mit	w1_d597e10170
einer	w3_d597e10173
goldenen	w5_d597e10176
Kette,	w7_d597e10179
und	w9_d597e10182
daran	w11_d597e10185
han	w13_d597e10189
genden	w1_d597e10194
Medallle	w3_d597e10197
Jhrer	w5_d597e10200
K.	w7_d597e10203
K.	w9_d597e10206
Majest.	w11_d597e10209
als	w13_d597e10213
einem	w1_d597e10219
Gnaden=geschenke	w3_d597e10222
im	w5_d597e10225
allerhöchsten	w7_d597e10228
Namen	w1_d597e10233
beehret	w3_d597e10236
worden:	w5_d597e10239
bey	w7_d597e10242
dieser	w9_d597e10245
Gele	w11_d597e10248
genheit	w1_d597e10253
wurde	w3_d597e10256
der	w5_d597e10259
erste	w7_d597e10262
Theil	w9_d597e10265
eines	w11_d597e10268
neu	w13_d597e10272
verfertigten	w1_d597e10277
schönen	w3_d597e10280
Werkes	w5_d597e10283
des	w7_d597e10286
gelehrten	w9_d597e10289
P.	w1_d597e10295
Georgii	w3_d597e10298
Pray	w5_d597e10301
S.	w7_d597e10304
J.	w9_d597e10307
betitelt:	w11_d597e10310
Annales	w13_d597e10314
veteres	w1_d597e10319
Hunnorum,	w3_d597e10322
Avarum	w5_d597e10325
&	w7_d597e10328
Hungaro-	w9_d597e10331
rum,	w1_d597e10336
ausgetheilet.	w3_d597e10339
</p>
<head id="h2_d597e10345">
Lista	w1_d597e10349
deren	w3_d597e10352
Verstorbenen	w5_d597e10355
zu	w7_d597e10358
Wien	w9_d597e10361
in	w1_d597e10366
und	w3_d597e10369
vor	w5_d597e10372
der	w7_d597e10375
Stadt.	w9_d597e10378
Den	w1_d597e10383
14.	w3_d597e10386
Octob.	w5_d597e10389
Jn	w1_d597e10395
der	w3_d597e10398
Stadt.	w5_d597e10401
</head>
<list id="l4_d597e10404">
Dem	w1_d597e10408
Hrn.	w3_d597e10411
Poncratz	w5_d597e10414
Grohe,	w7_d597e10417
K.	w9_d597e10420
K.	w11_d597e10423
Artillerie=zeug	w13_d597e10427
amts	w1_d597e10432
acceßist.,	w3_d597e10435
s.	w5_d597e10438
K.	w7_d597e10441
Poncratz,	w9_d597e10444
im	w11_d597e10447
K.	w13_d597e10451
K.	w15_d597e10454
Zeug=H.	w17_d597e10457
auf	w1_d597e10462
der	w3_d597e10465
Sailerstadt,	w5_d597e10468
alt	w7_d597e10471
5.	w9_d597e10474
v.	w11_d597e10477
J.	w13_d597e10481
</list>
<head id="h2_d597e10489">
Vor	w1_d597e10493
der	w3_d597e10496
Stadt.	w5_d597e10499
</head>
<list id="l4_d597e10502">
Die	w1_d597e10506
Hoch=edel=geb.	w3_d597e10509
Fr.	w5_d597e10512
Maria	w7_d597e10515
Magdal.	w9_d597e10518
v.	w11_d597e10521
Greve,	w13_d597e10525
