<doc id="wr_1757-09-03" attrs="word" year="1757" month="09" day="03" corpus="2">
<head id="h2_d175e2874">
Alicante	w1_d175e2878
die	w7_d175e6492
leichten	w9_d175e6495
Trup	w11_d175e6498
pen	w1_d175e6503
streiffen	w3_d175e6506
bis	w5_d175e6509
an	w7_d175e6512
die	w9_d175e6515
Thöre	w11_d175e6518
dieser	w13_d175e6522
Stadt.	w15_d175e6525
Den	w1_d175e6530
2.	w3_d175e6533
diesrs	w5_d175e6536
kam	w7_d175e6539
es	w9_d175e6542
zwischen	w11_d175e6545
einem	w13_d175e6549
Com	w15_d175e6552
mando	w1_d175e6557
Königl.	w3_d175e6560
Preußischen	w5_d175e6563
schwarz	w7_d175e6566
und	w9_d175e6569
gelben	w1_d175e6575
Hussaren	w3_d175e6578
und	w5_d175e6581
einem	w7_d175e6584
Commando	w9_d175e6587
Ru	w11_d175e6590
ßischer	w1_d175e6595
Grenadiers	w3_d175e6598
zu	w5_d175e6601
Pferde	w7_d175e6604
von	w9_d175e6607
200.	w11_d175e6610
Mann	w13_d175e6614
nebst	w1_d175e6619
100.	w3_d175e6622
Cofacken	w5_d175e6625
zu	w7_d175e6628
einem	w9_d175e6631
hitzigen	w11_d175e6634
Ge	w13_d175e6638
fechte,	w1_d175e6643
wobey	w3_d175e6646
jedoch	w5_d175e6649
die	w7_d175e6652
Russen	w9_d175e6655
mit	w11_d175e6658
Zurück	w13_d175e6662
lassung	w1_d175e6668
einiger	w3_d175e6671
70.	w5_d175e6674
Todten,	w7_d175e6677
worunter	w9_d175e6680
2.	w11_d175e6683
Officiers	w1_d175e6688
und	w3_d175e6691
27.	w5_d175e6694
Gefangene,	w7_d175e6697
welche	w9_d175e6700
meh	w11_d175e6703
rentheils	w1_d175e6708
bleßiret	w3_d175e6711
seynd,	w5_d175e6714
gezwungen	w7_d175e6717
worden,	w9_d175e6720
sich	w1_d175e6725
zuruck	w3_d175e6728
zu	w5_d175e6731
ziehen.	w7_d175e6734
Während	w9_d175e6737
der	w11_d175e6740
Reti	w13_d175e6744
rade	w1_d175e6750
hat	w3_d175e6753
das	w5_d175e6756
Städtgen	w7_d175e6759
Gubinen	w9_d175e6762
viel	w11_d175e6765
gelit	w13_d175e6769
ten,	w1_d175e6774
und	w3_d175e6777
von	w5_d175e6780
der	w7_d175e6783
Memmelischen	w9_d175e6786
Besatzung	w11_d175e6789
sollen	w1_d175e6794
nur	w3_d175e6797
wenige	w5_d175e6800
bey	w7_d175e6803
der	w9_d175e6806
Preußischen	w11_d175e6809
Armee	w13_d175e6813
angelanget	w1_d175e6818
seyn.	w3_d175e6821
</p>
<head id="h2_d175e6828">
Rastadt	w1_d175e6832
18.	w3_d175e6835
Augusti.	w5_d175e6838
</head>
<p id="p4_d175e6841">
Den	w1_d175e6845
14.	w3_d175e6848
dieses	w5_d175e6851
ist	w7_d175e6854
ein	w9_d175e6857
Französisches	w11_d175e6860
Schwei	w13_d175e6864
tzer=regiment	w1_d175e6869
unter	w3_d175e6872
dem	w5_d175e6875
Obristen	w7_d175e6878
von	w9_d175e6881
Dies	w11_d175e6884
bach,	w1_d175e6889
welches	w3_d175e6892
den	w5_d175e6895
12.	w7_d175e6898
vorhero	w9_d175e6901
in	w11_d175e6904
Durlach	w13_d175e6908
eingerucket,	w1_d175e6914
von	w3_d175e6917
da	w5_d175e6920
wieder	w7_d175e6923
aufgebrochen,	w9_d175e6926
und	w11_d175e6929
hat	w1_d175e6934
seinen	w3_d175e6937
Marsch	w5_d175e6940
über	w7_d175e6943
Bruchsal	w9_d175e6946
und	w11_d175e6949
Hei	w13_d175e6953
delberg	w1_d175e6958
nach	w3_d175e6961
Frankfort	w5_d175e6964
genommen,	w7_d175e6967
hingegen	w9_d175e6970
ist	w1_d175e6975
an	w3_d175e6978
eben	w5_d175e6981
dem	w7_d175e6984
Tage	w9_d175e6987
ein	w11_d175e6990
Battaillon	w13_d175e6994
Fusi	w15_d175e6997
lier	w1_d175e7003
mit	w3_d175e7006
10.	w5_d175e7009
drey	w7_d175e7012
und	w9_d175e7015
vier=pfündigen	w11_d175e7018
Ca	w13_d175e7022
nonen	w1_d175e7027
nebst	w3_d175e7030
vieler	w5_d175e7033
Bagage	w7_d175e7036
und	w9_d175e7039
Munition,	w11_d175e7042
</p>
<p id="p6_d175e7045">
auch	w1_d175e7049
300.	w3_d175e7052
Pferden	w5_d175e7055
alda	w7_d175e7058
wieder	w9_d175e7061
eingerückt,	w11_d175e7064
welche	w1_d175e7069
auch	w3_d175e7072
den	w5_d175e7075
16.	w7_d175e7078
eben	w9_d175e7081
diesen	w11_d175e7084
Weeg	w13_d175e7088
an	w15_d175e7091
getretten	w1_d175e7096
haben.	w3_d175e7099
An	w5_d175e7102
eben	w7_d175e7105
dem	w9_d175e7108
Tag	w11_d175e7111
langte	w13_d175e7115
ein	w1_d175e7121
Regiment	w3_d175e7124
Dragoner,	w5_d175e7127
Bessor	w7_d175e7130
genannt,	w9_d175e7133
wieder	w1_d175e7138
in	w3_d175e7141
Durlach	w5_d175e7144
an,	w7_d175e7147
welches	w9_d175e7150
ebenfalls	w11_d175e7153
einen	w1_d175e7158
Transport	w3_d175e7161
von	w5_d175e7164
10.	w7_d175e7167
zwölf=pfündigen	w9_d175e7170
Canonen	w1_d175e7175
und	w3_d175e7178
vieler	w5_d175e7181
Munition	w7_d175e7184
mit	w9_d175e7187
sich	w11_d175e7190
führ	w13_d175e7194
te	w1_d175e7200
und	w3_d175e7203
heute	w5_d175e7206
ist	w7_d175e7209
gedachtes	w9_d175e7212
Regiment	w11_d175e7215
gleich	w13_d175e7219
falls	w1_d175e7224
wieder	w3_d175e7227
abmarschieret;	w5_d175e7230
dargegen	w7_d175e7233
ist	w9_d175e7236
wieder	w1_d175e7241
ein	w3_d175e7244
Jnfanterie=regiment,	w5_d175e7247
Royal	w7_d175e7250
Conti,	w1_d175e7255
eingerückt,	w3_d175e7258
welches	w5_d175e7261
morgen	w7_d175e7264
Rast	w9_d175e7267
tag	w1_d175e7273
halten,	w3_d175e7276
und	w5_d175e7279
übermorgen	w7_d175e7282
ebenfalls	w9_d175e7285
über	w11_d175e7288
Bruchsal	w1_d175e7293
nach	w3_d175e7296
Fankfort	w5_d175e7299
aufbrechen	w7_d175e7302
wird.	w9_d175e7305
Man	w1_d175e7310
sagt,	w3_d175e7313
dieses	w5_d175e7316
solle	w7_d175e7319
der	w9_d175e7322
letzte	w11_d175e7325
Transport	w13_d175e7329
seyn,	w1_d175e7334
daß	w3_d175e7337
also	w5_d175e7340
die	w7_d175e7343
diesseitige	w9_d175e7346
Gegenden	w11_d175e7349
von	w13_d175e7353
Französischen	w1_d175e7359
Völkern	w3_d175e7362
bis	w5_d175e7365
auf	w7_d175e7368
den	w9_d175e7371
20sten	w11_d175e7374
dieses	w1_d175e7379
völlig	w3_d175e7382
evacuiret	w5_d175e7385
werden.	w7_d175e7388
Die	w9_d175e7391
Anzahl	w11_d175e7394
Königl.	w1_d175e7399
Französischer	w3_d175e7402
Trupen,	w5_d175e7405
welche	w7_d175e7408
seit	w9_d175e7411
einem	w1_d175e7416
Monat	w3_d175e7419
nur	w5_d175e7422
allein	w7_d175e7425
durch	w9_d175e7428
Durlach	w11_d175e7431
und	w13_d175e7435
Mühlberg	w1_d175e7441
ihren	w3_d175e7444
Weg	w5_d175e7447
genommen,	w7_d175e7450
soll	w9_d175e7453
sich	w11_d175e7456
auf	w1_d175e7461
24000.	w3_d175e7464
Mann	w5_d175e7467
belauffen.	w7_d175e7470
</p>
<head id="h2_d175e7476">
Braunschweig	w1_d175e7480
19.	w3_d175e7483
Augusti.	w5_d175e7486
</head>
<p id="p4_d175e7489">
Ein	w1_d175e7493
Corps	w3_d175e7496
Französischer	w5_d175e7499
Trupen	w7_d175e7502
befindes	w9_d175e7505
sich	w1_d175e7510
nahe	w3_d175e7513
bey	w5_d175e7516
dieser	w7_d175e7519
Stadt.	w9_d175e7522
Es	w11_d175e7525
wird	w13_d175e7529
das	w15_d175e7532
selbe	w1_d175e7537
aber	w3_d175e7540
nicht	w5_d175e7543
ehender	w7_d175e7546
bis	w9_d175e7549
nach	w11_d175e7552
Endigung	w13_d175e7556
der	w1_d175e7562
hiesigen	w3_d175e7565
Messe	w5_d175e7568
einrücken,	w7_d175e7571
oder	w9_d175e7574
durch	w11_d175e7577
mar	w13_d175e7581
schieren,	w1_d175e7586
um	w3_d175e7589
in	w5_d175e7592
das	w7_d175e7595
Halberstädtische	w9_d175e7598
einzu	w11_d175e7601
dringen.	w1_d175e7606
Diesen	w3_d175e7609
Morgen	w5_d175e7612
ist	w7_d175e7615
das	w9_d175e7618
annoch	w11_d175e7621
alhier	w1_d175e7626
befindlich	w3_d175e7629
geweste	w5_d175e7632
Escadron	w7_d175e7635
ausmar	w9_d175e7638
schiret,	w1_d175e7644
und	w3_d175e7647
dem	w5_d175e7650
Verlaut	w7_d175e7653
nach,	w9_d175e7656
werden	w11_d175e7659
Se.	w13_d175e7663
Durchl.	w1_d175e7668
der	w3_d175e7671
Herzog,	w5_d175e7674
morgen	w7_d175e7677
abreisen.	w9_d175e7680
Ge	w11_d175e7683
stern	w1_d175e7688
ist	w3_d175e7691
nachstehendes,	w5_d175e7694
sowol	w7_d175e7697
in	w9_d175e7700
Ansehung	w11_d175e7703
der	w1_d175e7708
Kaufmanschaft,	w3_d175e7711
als	w5_d175e7714
der	w7_d175e7717
Anrückung	w9_d175e7720
der	w11_d175e7723
Französischen	w1_d175e7729
Trupen,	w3_d175e7732
bekannt	w5_d175e7735
gemacht	w7_d175e7738
worden.	w1_d175e7743
</p>
<head id="h2_d175e7749">
Carl,	w1_d175e7753
Herzog	w3_d175e7756
rc.	w5_d175e7759
rc.	w7_d175e7762
</head>
<p id="p4_d175e7765">
Nachdeme	w1_d175e7769
der	w3_d175e7772
Herr	w5_d175e7775
Feld=marschall=Herzog	w7_d175e7778
von	w1_d175e7783
Richelieu,	w3_d175e7786
durch	w5_d175e7789
seine	w7_d175e7792
vorhin	w9_d175e7795
be	w11_d175e7798
kannt	w1_d175e7803
gemachte	w3_d175e7806
Versicherung	w5_d175e7809
wegen	w7_d175e7812
des	w9_d175e7815
hiesigen	w1_d175e7821
Commercii	w3_d175e7824
in	w5_d175e7827
und	w7_d175e7830
ausser	w9_d175e7833
der	w11_d175e7836
Messe	w13_d175e7840
ausdrücklich	w1_d175e7845
declariret	w3_d175e7848
hat,	w5_d175e7851
daß	w7_d175e7854
alle	w9_d175e7857
Meß=waaren,	w1_d175e7862
welche	w3_d175e7865
hier	w5_d175e7868
verkauft	w7_d175e7871
oder	w9_d175e7874
un	w11_d175e7877
verkauft	w1_d175e7882
ligen	w3_d175e7885
bleiben,	w5_d175e7888
sie	w7_d175e7891
mögen	w9_d175e7894
hiesigen	w11_d175e7897
oder	w1_d175e7903
fremden	w3_d175e7906
Unterthanen,	w5_d175e7909
aus	w7_d175e7912
welchem	w9_d175e7915
Lan	w11_d175e7918
de	w1_d175e7923
es	w3_d175e7926
auch	w5_d175e7929
sey,	w7_d175e7932
zugehören,	w9_d175e7935
sicher	w11_d175e7938
und	w13_d175e7942
un	w15_d175e7945
angegriffen	w1_d175e7950
bleiben	w3_d175e7953
sollen,	w5_d175e7956
jedoch,	w7_d175e7959
daß	w9_d175e7962
die	w11_d175e7965
Eigentümer,	w1_d175e7970
Factoren,	w3_d175e7973
oder	w5_d175e7976
Depositarii	w7_d175e7979
die	w9_d175e7982
ser	w1_d175e7988
Waaren,	w3_d175e7991
derselben	w5_d175e7994
Quantität,	w7_d175e7997
Quali	w9_d175e8000
tät	w1_d175e8005
und	w3_d175e8008
Bestimmung	w5_d175e8011
an	w7_d175e8014
die	w9_d175e8017
ihnen	w11_d175e8020
kund	w13_d175e8024
ge	w15_d175e8027
machte	w1_d175e8032
Oerter	w3_d175e8035
eingeben;	w5_d175e8038
so	w7_d175e8041
habet	w9_d175e8044
ihr	w11_d175e8047
sol	w13_d175e8051
</p>
<p id="p10_d175e8064">
ches	w1_d175e8068
allen,	w3_d175e8071
denen	w5_d175e8074
es	w7_d175e8077
zu	w9_d175e8080
wissen	w11_d175e8083
nöhtig	w13_d175e8087
ist,	w15_d175e8090
be	w17_d175e8093
kannt	w1_d175e8098
zu	w3_d175e8101
machen.	w5_d175e8104
Braunschweig,	w7_d175e8107
den	w9_d175e8110
15.	w11_d175e8113
Augusti	w1_d175e8118
1757.	w3_d175e8121
</p>
<p id="p12_d175e8125">
So	w1_d175e8129
werden	w3_d175e8132
die	w5_d175e8135
sämtlichen	w7_d175e8138
auswärtigen	w9_d175e8141
Her	w11_d175e8144
ren	w1_d175e8149
Kaufleute	w3_d175e8152
ihre	w5_d175e8155
hiesigen	w7_d175e8158
Factoren	w9_d175e8161
und	w11_d175e8164
Spediteurs	w1_d175e8169
wegen	w3_d175e8172
der	w5_d175e8175
hier	w7_d175e8178
zurückbleibenden	w9_d175e8181
Meß=waaren	w1_d175e8187
gehörig	w3_d175e8190
instruiren,	w5_d175e8193
ob	w7_d175e8196
solche	w9_d175e8199
hieselbst	w1_d175e8204
verbleiben,	w3_d175e8207
oder	w5_d175e8210
wohin	w7_d175e8213
versandt	w9_d175e8216
werden	w1_d175e8221
sollen.	w3_d175e8224
Gedachte	w5_d175e8227
Herren	w7_d175e8230
Spediteurs	w9_d175e8233
und	w1_d175e8238
Factoren	w3_d175e8241
aber	w5_d175e8244
haben	w7_d175e8247
nach	w9_d175e8250
Ablauf	w11_d175e8253
der	w13_d175e8257
Messe	w1_d175e8263
davon	w3_d175e8266
die	w5_d175e8269
Declarationen	w7_d175e8272
und	w9_d175e8275
Specifi	w11_d175e8278
cationen	w1_d175e8283
an	w3_d175e8286
Endes	w5_d175e8289
Unterschriebene	w7_d175e8292
auf	w9_d175e8295
dem	w1_d175e8300
Fürstl.	w3_d175e8303
Pack=hauß	w5_d175e8306
abzugeben.	w7_d175e8309
Braun	w9_d175e8312
schweig	w1_d175e8317
den	w3_d175e8320
15.	w5_d175e8323
Augusti,	w7_d175e8326
1757.	w9_d175e8329
</p>
<head id="h2_d175e8335">
Bockelmann	w1_d175e8339
F.	w3_d175e8342
Umme.	w5_d175e8345
</head>
<p id="p4_d175e8348">
Hsuf	w1_d175e8352
Serenissimi	w3_d175e8355
gnädigsten	w5_d175e8358
Befehl	w7_d175e8361
wird	w9_d175e8364
von	w1_d175e8369
uns,	w3_d175e8372
Burger=meistern	w5_d175e8375
und	w7_d175e8378
Raht	w9_d175e8381
der	w11_d175e8384
Stadt	w1_d175e8389
Braunschweig	w3_d175e8392
denen	w5_d175e8395
sämtlichen	w7_d175e8398
Ein	w9_d175e8401
wohnern	w1_d175e8407
alhier	w3_d175e8410
hierdurch	w5_d175e8413
bekannt	w7_d175e8416
gemacht,	w9_d175e8419
und	w1_d175e8424
angedeutet,	w3_d175e8427
denen	w5_d175e8430
Französischen	w7_d175e8433
Trupen	w9_d175e8436
welche	w1_d175e8441
durch	w3_d175e8444
hiesige	w5_d175e8447
Stadt	w7_d175e8450
paßiren,	w9_d175e8453
und	w11_d175e8456
et	w13_d175e8460
wann	w1_d175e8465
darinn	w3_d175e8468
Einquartirung	w5_d175e8471
erhalten	w7_d175e8474
wer	w9_d175e8477
den,	w1_d175e8483
auf	w3_d175e8486
alle	w5_d175e8489
Art	w7_d175e8492
höflich	w9_d175e8495
und	w11_d175e8498
ganz	w13_d175e8502
bescheiden	w15_d175e8505
zu	w1_d175e8510
begegnen,	w3_d175e8513
oder	w5_d175e8516
zu	w7_d175e8519
gewärtigen,	w9_d175e8522
daß	w11_d175e8525
man	w13_d175e8529
die	w1_d175e8534
Contravenienten	w3_d175e8537
nachdrücklich	w5_d175e8540
bestraffen	w7_d175e8543
werde;	w1_d175e8548
wie	w3_d175e8551
denn	w5_d175e8554
auch	w7_d175e8557
jeder	w9_d175e8560
bey	w11_d175e8563
dem	w13_d175e8567
Ein	w15_d175e8570
marsche	w1_d175e8576
gedachter	w3_d175e8579
Trupen	w5_d175e8582
seine	w7_d175e8585
Lehr=pursche,	w9_d175e8588
Kinder	w1_d175e8593
und	w3_d175e8596
Gesinde	w5_d175e8599
zu	w7_d175e8602
Hause	w9_d175e8605
zu	w11_d175e8608
halten	w13_d175e8612
hat.	w15_d175e8615
Braunschweig	w1_d175e8620
den	w3_d175e8623
15.	w5_d175e8626
Augusti,	w7_d175e8629
1757.	w9_d175e8632
</p>
<head id="h2_d175e8638">
Bürger=meister	w1_d175e8642
und	w3_d175e8645
Rahl	w5_d175e8648
hieselbst.	w1_d175e8653
</head>
<head id="h2_d175e8659">
Hannover	w1_d175e8663
12.	w3_d175e8666
Aug.	w5_d175e8669
</head>
<p id="p4_d175e8672">
Die	w1_d175e8676
Brigade	w3_d175e8679
von	w5_d175e8682
Conti	w7_d175e8685
ist	w9_d175e8688
bereits	w11_d175e8691
auf	w13_d175e8695
Braunschweig	w1_d175e8700
abgegangen,	w3_d175e8703
um	w5_d175e8706
von	w7_d175e8709
dieser	w9_d175e8712
Stadt,	w1_d175e8717
die	w3_d175e8720
sich	w5_d175e8723
denen	w7_d175e8726
Französischen	w9_d175e8729
Waffen	w11_d175e8732
völlig	w1_d175e8738
unterworfen,	w3_d175e8741
den	w5_d175e8744
Besitz	w7_d175e8747
zu	w9_d175e8750
nehmen	w11_d175e8753
die	w1_d175e8758
dasige	w3_d175e8761
Garnison	w5_d175e8764
wird	w7_d175e8767
das	w9_d175e8770
Gewehr	w11_d175e8773
abge	w13_d175e8777
ben	w1_d175e8782
müssen	w3_d175e8785
und	w5_d175e8788
wird	w7_d175e8791
selbige	w9_d175e8794
währenden	w11_d175e8797
diesem	w1_d175e8802
Krieg	w3_d175e8805
weder	w5_d175e8808
gegen	w7_d175e8811
den	w9_d175e8814
König	w11_d175e8817
von	w13_d175e8821
Frankreich,	w1_d175e8827
noch	w3_d175e8830
dessen	w5_d175e8833
Bunds=genossene	w7_d175e8836
die	w9_d175e8839
nen	w1_d175e8844
können.	w3_d175e8847
Jn	w5_d175e8850
Braunschweig	w7_d175e8853
befindet	w9_d175e8856
sich	w11_d175e8859
eine	w1_d175e8864
Zahl=reiche	w3_d175e8867
Artillerie	w5_d175e8870
und	w7_d175e8873
allerhand	w9_d175e8876
Kriegs	w11_d175e8879
bedurfnussen,	w1_d175e8884
also,	w3_d175e8887
daß	w5_d175e8890
der	w7_d175e8893
Marschall	w9_d175e8896
von	w11_d175e8899
Richelieu,	w1_d175e8905
ohne	w3_d175e8908
ein	w5_d175e8911
Stück	w7_d175e8914
von	w9_d175e8917
seinem	w11_d175e8920
Ge	w13_d175e8924
schütz	w1_d175e8929
nöhtig	w3_d175e8932
zu	w5_d175e8935
haben,	w7_d175e8938
sich	w9_d175e8941
im	w11_d175e8944
Stand	w13_d175e8948
siehet,	w15_d175e8951
mit	w1_d175e8956
der	w3_d175e8959
in	w5_d175e8962
Braunschweig	w7_d175e8965
befindlichen	w9_d175e8968
Artil	w11_d175e8971
lerie	w1_d175e8976
auch	w3_d175e8979
die	w5_d175e8982
gröste	w7_d175e8985
Belagerung	w9_d175e8988
vornehmen	w11_d175e8991
zu	w1_d175e8997
können.	w3_d175e9000
Die	w5_d175e9003
Stadt	w7_d175e9006
Wolfenbüttel	w9_d175e9009
ist	w11_d175e9012
auch	w13_d175e9016
</p>
<p id="p6_d175e9019">
einer	w1_d175e9023
Frarzösischen	w3_d175e9026
Besatzung	w5_d175e9029
gewärtig.	w7_d175e9032
Der	w9_d175e9035
Graf	w1_d175e9040
von	w3_d175e9043
Chabo	w5_d175e9046
hat	w7_d175e9049
sich	w9_d175e9052
auch	w11_d175e9055
der	w13_d175e9059
Stadt	w15_d175e9062
Nienburg	w1_d175e9067
bemeistert,	w3_d175e9070
wo	w5_d175e9073
gleichfalls	w7_d175e9076
viele	w9_d175e9079
Artillerie,	w1_d175e9085
unterschiedliche	w3_d175e9088
Kriegs	w5_d175e9091
und	w7_d175e9094
Mund	w9_d175e9097
bedürfnussen,	w1_d175e9102
auch	w3_d175e9105
eine	w5_d175e9108
Menge	w7_d175e9111
Baggag	w9_d175e9114
vorhanden	w1_d175e9119
waren.	w3_d175e9122
Er	w5_d175e9125
hat	w7_d175e9128
200.	w9_d175e9131
Mann	w11_d175e9134
zu	w13_d175e9138
Kriegs=gefangenen	w1_d175e9143
gemacht,	w3_d175e9146
darunter	w5_d175e9149
3.	w7_d175e9152
Ca	w9_d175e9155
pitains,	w1_d175e9161
8	w3_d175e9164
Leutenant	w5_d175e9167
und	w7_d175e9170
viele	w9_d175e9173
Unteroffi	w11_d175e9176
tiers.	w1_d175e9181
Der	w3_d175e9184
gröste	w5_d175e9187
Theil	w7_d175e9190
der	w9_d175e9193
Französischen	w11_d175e9196
Ar	w13_d175e9200
mee	w1_d175e9205
stehet	w3_d175e9208
noch	w5_d175e9211
um	w7_d175e9214
die	w9_d175e9217
Stadt	w11_d175e9220
Hannover	w13_d175e9224
herum	w1_d175e9229
gelagert.	w3_d175e9232
Die	w5_d175e9235
Observations=armee	w7_d175e9238
ist	w9_d175e9241
über	w1_d175e9247
die	w3_d175e9250
Aller	w5_d175e9253
bey	w7_d175e9256
Verden	w9_d175e9259
gegangen,	w11_d175e9262
wie	w13_d175e9266
sie	w15_d175e9269
auch	w1_d175e9274
noch	w3_d175e9277
gestern	w5_d175e9280
gelagert	w7_d175e9283
stunde,	w9_d175e9286
da	w11_d175e9289
im	w13_d175e9293
mittels	w1_d175e9298
aber	w3_d175e9301
viele	w5_d175e9304
grobe	w7_d175e9307
Equipage	w9_d175e9310
und	w11_d175e9313
Kriegs	w13_d175e9317
vorrat	w1_d175e9322
nach	w3_d175e9325
Bremenwerde	w5_d175e9328
abgeschicket	w7_d175e9331
wor	w9_d175e9334
den,	w1_d175e9340
so	w3_d175e9343
wird	w5_d175e9346
dieselbe	w7_d175e9349
zweifelsohne	w9_d175e9352
nach	w11_d175e9355
Sta	w13_d175e9359
de	w1_d175e9364
aufbrechen,	w3_d175e9367
falls	w5_d175e9370
der	w7_d175e9373
Entschluß	w9_d175e9376
nicht	w11_d175e9379
ge	w13_d175e9383
faßt	w1_d175e9388
werde,	w3_d175e9391
über	w5_d175e9394
die	w7_d175e9397
Weser,	w9_d175e9400
mithin	w11_d175e9403
in	w13_d175e9407
Ost	w15_d175e9410
frießland	w1_d175e9415
zu	w3_d175e9418
gehen.	w5_d175e9421
</p>
<head id="h2_d175e9428">
Aachen	w1_d175e9432
22.	w3_d175e9435
August.	w5_d175e9438
</head>
<p id="p4_d175e9441">
Der	w1_d175e9445
Herr	w3_d175e9448
Marschall	w5_d175e9451
Graf	w7_d175e9454
d'Etrees	w9_d175e9457
befin	w11_d175e9460
det	w1_d175e9465
sich	w3_d175e9468
seit	w5_d175e9471
Donnerstag	w7_d175e9474
alhier,	w9_d175e9477
und	w11_d175e9480
da	w13_d175e9484
der	w15_d175e9487
Herzog	w1_d175e9492
von	w3_d175e9495
Orleans	w5_d175e9498
auch	w7_d175e9501
die	w9_d175e9504
Armee	w11_d175e9507
verlasset,	w13_d175e9511
so	w1_d175e9517
ist	w3_d175e9520
man	w5_d175e9523
Desselben	w7_d175e9526
gleichfalls	w9_d175e9529
allhier	w11_d175e9532
ge	w13_d175e9536
wärtig	w1_d175e9541
</p>
<head id="h2_d175e9547">
Gotha	w1_d175e9551
22.	w3_d175e9554
Augusti.	w5_d175e9557
</head>
<p id="p4_d175e9560">
Heute	w1_d175e9564
Vormittags	w3_d175e9567
gegen	w5_d175e9570
11.	w7_d175e9573
Uhr	w9_d175e9576
kam	w11_d175e9579
der	w1_d175e9584
en	w3_d175e9587
Chef	w5_d175e9590
commandirende	w7_d175e9593
Königl.	w9_d175e9596
Fran	w11_d175e9599
zösische	w1_d175e9604
General	w3_d175e9607
Msgr.	w5_d175e9610
Prinz	w7_d175e9613
von	w9_d175e9616
Soubise	w11_d175e9619
mit	w1_d175e9625
Dero	w3_d175e9628
Gefolge	w5_d175e9631
hier	w7_d175e9634
an,	w9_d175e9637
nachdem	w11_d175e9640
2.	w13_d175e9644
Stunden	w1_d175e9649
vorhero	w3_d175e9652
das	w5_d175e9655
aus	w7_d175e9658
4.	w9_d175e9661
Battaillons	w11_d175e9664
bestehende	w1_d175e9669
Königl.	w3_d175e9672
Französische	w5_d175e9675
Regiment	w7_d175e9678
Piemont	w1_d175e9683
ebenfalls	w3_d175e9686
hier	w5_d175e9689
eingerucket	w7_d175e9692
war.	w9_d175e9695
Es	w1_d175e9701
besetzte	w3_d175e9704
solches	w5_d175e9707
die	w7_d175e9710
Thöre	w9_d175e9713
und	w11_d175e9716
Haupt	w13_d175e9720
wacht,	w1_d175e9725
und	w3_d175e9728
ein	w5_d175e9731
Bataillon	w7_d175e9734
zog	w9_d175e9737
sogleich	w11_d175e9740
in	w13_d175e9744
die	w1_d175e9749
nächst=gelegene	w3_d175e9752
Dorfschaften,	w5_d175e9755
um	w7_d175e9758
sich	w9_d175e9761
daselbst	w1_d175e9766
einzuquartiren.	w3_d175e9769
Gestern	w5_d175e9772
marschierte	w7_d175e9775
das	w1_d175e9781
Regiment	w3_d175e9784
zu	w5_d175e9787
Pferd,	w7_d175e9790
Volontairs	w9_d175e9793
Liegeois,	w11_d175e9796
hier	w1_d175e9801
durch.	w3_d175e9804
Diese	w5_d175e9807
Trupen	w7_d175e9810
halten	w9_d175e9813
sowol	w11_d175e9816
hier	w13_d175e9820
als	w1_d175e9825
in	w3_d175e9828
andern	w5_d175e9831
Orten	w7_d175e9834
eine	w9_d175e9837
gute	w11_d175e9840
Manns	w13_d175e9844
zucht.	w1_d175e9849
</p>
<head id="h2_d175e9855">
Kurz	w1_d175e9859
gefaßte	w1_d175e9864
Nachrichten.	w3_d175e9867
Es	w1_d175e9872
geben	w3_d175e9875
die	w5_d175e9878
Briefe	w7_d175e9881
</head>
<p id="p4_d175e9884">
Von	w1_d175e9888
Jnsterburg:	w3_d175e9891
daß	w5_d175e9894
den	w7_d175e9897
ersten	w9_d175e9900
Augu	w11_d175e9903
sti	w1_d175e9908
zwischen	w3_d175e9911
einem	w5_d175e9914
kleinen	w7_d175e9917
Detaschement	w9_d175e9920
der	w11_d175e9923
Rußischen	w1_d175e9928
Avant=garde,	w3_d175e9931
und	w5_d175e9934
5.	w7_d175e9937
Schwadro	w9_d175e9940
nen	w1_d175e9946
Preußischer	w3_d175e9949
Hussaren	w5_d175e9952
unweit	w7_d175e9955
dem	w9_d175e9958
Dor	w11_d175e9961
</p>
<p id="p10_d175e9974">
Kattenau	w1_d175e9978
ein	w3_d175e9981
Scharmützel	w5_d175e9984
vorgefallen,	w7_d175e9987
darin	w9_d175e9990
nen	w1_d175e9995
anfänglich	w3_d175e9998
das	w5_d175e10001
Rußische	w7_d175e10004
Detaschement	w9_d175e10007
der	w1_d175e10012
Uberlegenheit	w3_d175e10015
deren	w5_d175e10018
Preussen	w7_d175e10021
weichen	w9_d175e10024
müs	w11_d175e10027
sen,	w1_d175e10033
nachdeme	w3_d175e10036
es	w5_d175e10039
aber	w7_d175e10042
eine	w9_d175e10045
Verstärkung	w11_d175e10048
er	w13_d175e10052
halten,	w1_d175e10057
selbes	w3_d175e10060
die	w5_d175e10063
Preussen	w7_d175e10066
über	w9_d175e10069
5.	w11_d175e10072
Meil	w13_d175e10076
weit	w15_d175e10079
zuruck=getrieben,	w1_d175e10084
und	w3_d175e10087
verfolget	w5_d175e10090
habe;	w7_d175e10093
daß,	w9_d175e10096
sobald	w1_d175e10101
die	w3_d175e10104
Rußische	w5_d175e10107
Armee	w7_d175e10110
in	w9_d175e10113
Preussen	w11_d175e10116
einge	w13_d175e10120
tretten,	w1_d175e10126
nicht	w3_d175e10129
nur	w5_d175e10132
