<doc id="edoc_wd_1727-11-12" attrs="word" year="1727" month="11" day="12" corpus="1">
<head id="hl1">
Peking	w54
<g/>
=
Mittag	w1889
verreisete	w1890
Jhre	w1891
Eminentz	w1892
der	w1893
Cardinal	w1894
Georg	w1895
Spinola	w1896
<g/>
,
als	w1898
Päpstl	w1899
<g/>
.
Legatus	w1901
nacher	w1902
Bolognien	w1903
<g/>
.
</p>
<p id="p23">
Montag	w1905
bey	w1906
anbrechendem	w1907
Tage	w1908
erhube	w1909
sich	w1910
unversehens	w1911
ein	w1912
Ungewitter	w1913
<g/>
/
welches	w1915
an	w1916
zweyen	w1917
Orten	w1918
einschläge	w1919
<g/>
/
als	w1921
nemlich	w1922
in	w1923
einem	w1924
Haus	w1925
unweit	w1926
von	w1927
Campo	w1928
di	w1929
Fiori	w1930
<g/>
,
und	w1932
in	w1933
einer	w1934
anderen	w1935
Wohnung	w1936
des	w1937
Herr=tzogs	w1938
<g/>
=
<g/>
/
und	w1941
der	w1942
Hertzogin	w1943
von	w1944
Guadagnolo	w1945
<g/>
,
welcher	w1947
Streich	w1948
an	w1949
verschiedenen	w1950
kunstrei=chen	w1951
<g/>
=
Mahlereyen	w1953
<g/>
/
und	w1955
Bildern	w1956
gegen	w1957
5000	w1958
<g/>
.
Thaler	w1960
Schaden	w1961
<g/>
/
ohne	w1963
dem	w1964
grossen	w1965
Schrecken	w1966
des	w1967
Hertzogs	w1968
<g/>
/
und	w1970
der	w1971
Hertzogin	w1972
<g/>
/
welchen	w1974
man	w1975
gleich	w1976
darauf	w1977
zu	w1978
Ader	w1979
gelassen	w1980
<g/>
/
verur=sachet	w1982
<g/>
=
<g/>
.
</p>
<p id="p24">
Selben	w1985
vor	w1986
<g/>
=
Mittag	w1988
liessen	w1989
Jhre	w1990
Päpstl	w1991
<g/>
.
Heiligkeit	w1993
nach	w1994
ge	w1995
<g/>
=
endigter	w1997
Einweihung	w1998
deren	w1999
Altären	w2000
in	w2001
der	w2002
Haupt	w2003
<g/>
=
Kirchen	w2005
von	w2006
S	w2007
<g/>
.
Joann	w2009
Lateran	w2010
einem	w2011
Marschall	w2012
Jhrer	w2013
Durchl	w2014
<g/>
.
des	w2016
Chur	w2017
Fürstens	w2018
aus	w2019
Pfaltz	w2020
<g/>
/
samt	w2022
seiner	w2023
Gemahlin	w2024
zum	w2025
Fuß	w2026
<g/>
=
Kuß	w2028
</p>
<p id="p25">
Mittwoch	w2029
gienge	w2030
der	w2031
Monsignor	w2032
Farsetti	w2033
nach	w2034
Caprarola	w2035
<g/>
,
und	w2037
von	w2038
dannen	w2039
wird	w2040
er	w2041
sich	w2042
nach	w2043
Viterbo	w2044
verfügen	w2045
<g/>
/
um	w2047
als	w2048
Ertz	w2049
<g/>
=
Bischof	w2051
mit	w2052
dem	w2053
Bischof	w2054
derselben	w2055
Stadt	w2056
<g/>
/
der	w2058
Weihung	w2059
besagter	w2060
Churfürstl	w2061
<g/>
.
Durchl	w2063
<g/>
.
beyzuwohnen	w2065
<g/>
.
</p>
<p id="p26">
Der	w2067
Monsignor	w2068
Querini	w2069
Bischof	w2070
von	w2071
Bressa	w2072
verrichtet	w2073
alhier	w2074
auf	w2075
Befehl	w2076
Jhrer	w2077
Päpstl	w2078
<g/>
.
Heiligkeit	w2080
die	w2081
Visitation	w2082
oder	w2083
Durchsuchung	w2084
gewisser	w2085
Kirchen	w2086
<g/>
/
und	w2088
Behausungen	w2089
deren	w2090
Geistlichen	w2091
<g/>
.
</p>
<p id="p27">
Mittwochs	w2093
<g/>
/
verfüget	w2095
sich	w2096
der	w2097
Papst	w2098
un=versehens	w2099
<g/>
=
mit	w2101
nicht	w2102
mehr	w2103
als	w2104
zwey	w2105
Bedien=ten	w2106
<g/>
=
ohne	w2108
dem	w2109
Creutz	w2110
in	w2111
das	w2112
Closter	w2113
deren	w2114
</p>
<p id="p28">
Ursulinerinnen	w2119
alwo	w2120
eben	w2121
der	w2122
Cardinal	w2123
Al-beroni	w2124
<g/>
-
die	w2126
Einkleidung	w2127
einer	w2128
Closter	w2129
Frauen	w2130
verrichtete	w2131
<g/>
.
</p>
<head id="hl6">
Genua	w2133
25	w2134
<g/>
.
October	w2136
<g/>
.
</head>
<p id="p29">
Sontags	w2138
langete	w2139
ein	w2140
Maltesisches	w2141
Kriegs	w2142
<g/>
=
Schiffe	w2144
von	w2145
70	w2146
<g/>
.
<g/>
/
und	w2149
mehr	w2150
Stucken	w2151
<g/>
/
mit	w2153
400	w2154
<g/>
.
Mann	w2156
<g/>
/
nachdeme	w2158
es	w2159
einen	w2160
Lauf	w2161
nach	w2162
denen	w2163
Jnsuln	w2164
zwischen	w2165
Sardinien	w2166
<g/>
/
und	w2168
Cor-sica	w2169
<g/>
-
gemachet	w2171
alhier	w2172
an	w2173
<g/>
/
um	w2175
das	w2176
aus	w2177
de=nen	w2178
<g/>
=
Comenden	w2180
erhobene	w2181
Geld	w2182
<g/>
/
und	w2184
eine	w2185
sehr	w2186
herrliche	w2187
alhier	w2188
verfertigte	w2189
Kutsche	w2190
für	w2191
dem	w2192
Groß	w2193
Meister	w2194
des	w2195
Ordens	w2196
nach	w2197
Malta	w2198
zu	w2199
überbringen	w2200
<g/>
.
</p>
<p id="p30">
Gegen	w2202
11	w2203
<g/>
.
Uhr	w2205
<g/>
/
desselben	w2207
Tages	w2208
<g/>
/
reisete	w2210
Jhre	w2211
Durchleucht	w2212
der	w2213
Chur	w2214
Fürst	w2215
aus	w2216
Cölln	w2217
auf	w2218
zweyen	w2219
unserigen	w2220
Galeren	w2221
von	w2222
hier	w2223
na=cher	w2224
<g/>
=
Livorno	w2226
ab	w2227
<g/>
:
in	w2229
dem	w2230
Einsteigen	w2231
wurde	w2232
Seine	w2233
Durchleucht	w2234
mit	w2235
einer	w2236
Salve	w2237
so	w2238
wol	w2239
aus	w2240
denen	w2241
Stucken	w2242
<g/>
/
als	w2244
auch	w2245
von	w2246
denen	w2247
darauf	w2248
sich	w2249
befindenden	w2250
Soldaten	w2251
begrüsset	w2252
<g/>
.
Die	w2254
Capitains	w2255
haben	w2256
Befehl	w2257
Sie	w2258
wehrender	w2259
Reise	w2260
bis	w2261
nach	w2262
Livorno	w2263
auf	w2264
das	w2265
herrlichste	w2266
in	w2267
Nahmen	w2268
der	w2269
hiesigen	w2270
Republic	w2271
zu	w2272
tractiren	w2273
<g/>
;
Jhre	w2275
Durchleucht	w2276
seynd	w2277
wegen	w2278
deren	w2279
alhier	w2280
empfangenen	w2281
Ehren	w2282
sehr	w2283
vergnüget	w2284
<g/>
.
</p>
<p id="p31">
Donnerstages	w2286
kame	w2287
der	w2288
ausserordentliche	w2289
an	w2290
diese	w2291
Republic	w2292
abgeschickete	w2293
Frantzösische	w2294
Gesandte	w2295
Herr	w2296
Campredon	w2297
auf	w2298
einer	w2299
Felu=cke	w2300
<g/>
=
von	w2302
Marsilien	w2303
alhier	w2304
an	w2305
<g/>
.
</p>
<head id="hl7">
Livorno	w2307
24	w2308
<g/>
.
October	w2310
<g/>
.
</head>
<p id="p32">
Dienstags	w2312
langete	w2313
Jhre	w2314
Churfürstl	w2315
<g/>
.
Durchl	w2317
<g/>
.
von	w2319
Cöln	w2320
aus	w2321
Genua	w2322
alhier	w2323
an	w2324
<g/>
/
und	w2326
nach=deme	w2327
<g/>
=
Sie	w2329
aus	w2330
denen	w2331
zweyen	w2332
Genuesischen	w2333
Galeren	w2334
<g/>
/
mit	w2336
welchen	w2337
Sie	w2338
bis	w2339
hieher	w2340
bedienet	w2341
worden	w2342
<g/>
/
ausgestigen	w2344
<g/>
/
nahmen	w2346
Sie	w2347
dero	w2348
Ein=kehr	w2349
<g/>
=
in	w2351
dem	w2352
so	w2353
genannten	w2354
Wirts	w2355
<g/>
=
Haus	w2357
bey	w2358
dem	w2359
goldenen	w2360
Creutz	w2361
<g/>
/
wohin	w2363
alsobald	w2364
eine	w2365
Wacht	w2366
geschicket	w2367
wurde	w2368
<g/>
/
welche	w2370
Sie	w2371
aber	w2372
ab=dankete	w2373
<g/>
=
<g/>
/
also	w2376
<g/>
/
daß	w2378
nur	w2379
zwey	w2380
Flintenierer	w2381
zur	w2382
Wacht	w2383
bey	w2384
dem	w2385
Thor	w2386
geblieben	w2387
Man	w2388
be	w2389
<g/>
=
ehrte	w2391
Sie	w2392
auch	w2393
mit	w2394
55	w2395
<g/>
.
Tragen	w2397
von	w2398
ver=schiedenen	w2399
<g/>
=
kostbaren	w2401
Eß	w2402
<g/>
=
Waaren	w2404
<g/>
.
Gestern	w2406
fruhe	w2407
reisete	w2408
Sie	w2409
von	w2410
hier	w2411
ab	w2412
nacher	w2413
Florentz	w2414
<g/>
/
um	w2416
von	w2417
dannen	w2418
auf	w2419
Viterbo	w2420
<g/>
,
alwo	w2422
Sie	w2423
von	w2424
Jhrer	w2425
Heiligkeit	w2426
<g/>
/
welche	w2428
sich	w2429
von	w2430
Rom	w2431
da=hin	w2432
<g/>
=
begeben	w2434
wird	w2435
<g/>
/
geweihet	w2437
werden	w2438
sollen	w2439
<g/>
/
sich	w2441
zu	w2442
verfügen	w2443
<g/>
.
</p>
<head id="hl8">
Florentz	w2445
25	w2446
<g/>
.
October	w2448
<g/>
.
</head>
<p id="p33">
Unser	w2450
Groß	w2451
<g/>
=
Hertzog	w2453
<g/>
/
nachdeme	w2455
er	w2456
sich	w2457
etliche	w2458
Tage	w2459
auf	w2460
seinem	w2461
Land	w2462
<g/>
=
Schloß	w2464
ge=nannt	w2465
<g/>
=
Poggio	w2467
Imperiale	w2468
<g/>
,
und	w2470
in	w2471
dasigen	w2472
Ge Gegenden	w2473
<g/>
=
</p>
<p id="p34">
genden	w2475
aufgehalten	w2476
<g/>
/
langete	w2478
Donnerstags	w2479
wiederum	w2480
alhier	w2481
in	w2482
der	w2483
Stadt	w2484
an	w2485
<g/>
.
Selben	w2487
A=bend	w2488
<g/>
=
kamen	w2490
Jh	w2491
<g/>
.
Churfürstl	w2493
<g/>
.
Durchl	w2495
<g/>
.
von	w2497
Cöln	w2498
<g/>
/
ihre	w2500
Reise	w2501
weiter	w2502
nach	w2503
Lampeggi	w2504
fortneh=mend	w2505
<g/>
=
<g/>
/
alhier	w2508
an	w2509
<g/>
:
eine	w2511
Meile	w2512
vor	w2513
dem	w2514
Thor	w2515
genannt	w2516
S	w2517
<g/>
.
Nicola	w2519
kame	w2520
ihme	w2521
die	w2522
hiesige	w2523
Prinzeßin	w2524
<g/>
/
seine	w2526
Base	w2527
<g/>
/
entgegen	w2529
<g/>
/
mit	w2531
wel=cher	w2532
<g/>
=
er	w2534
seine	w2535
Reise	w2536
nacher	w2537
Lampeggi	w2538
fort=setzete	w2539
<g/>
=
<g/>
.
</p>
<head id="hl9">
Londen	w2542
24	w2543
<g/>
.
October	w2545
<g/>
.
</head>
<p id="p35">
Die	w2547
Ceremonie	w2548
der	w2549
Crönung	w2550
beyder	w2551
Kö=nigl	w2552
<g/>
=
<g/>
.
Majestäten	w2555
ist	w2556
vorgestern	w2557
mit	w2558
ausserordent=lichem	w2559
<g/>
=
Gepränge	w2561
vorbey	w2562
gegangen	w2563
<g/>
:
<g/>
(
wovon	w2566
zukünftig	w2567
eine	w2568
Relation	w2569
erfolgen	w2570
solle	w2571
<g/>
)
Als	w2573
Jhren	w2574
Majestäten	w2575
die	w2576
Cronen	w2577
auf	w2578
die	w2579
Häuptern	w2580
gesetzet	w2581
wurden	w2582
<g/>
/
giengen	w2584
die	w2585
Trompeten	w2586
<g/>
/
und	w2588
auf	w2589
ein	w2590
gegebenes	w2591
Zeichen	w2592
von	w2593
dem	w2594
Kirch	w2595
<g/>
=
Thurn	w2597
<g/>
/
wurden	w2599
alle	w2600
Stüke	w2601
von	w2602
Parc	w2603
und	w2604
Tour	w2605
drey=mal	w2606
<g/>
=
gelöset	w2608
<g/>
.
Der	w2610
Ertz	w2611
<g/>
=
Bischof	w2613
von	w2614
Canter-bury	w2615
<g/>
-
verrichtete	w2617
die	w2618
Crönung	w2619
<g/>
/
und	w2621
der	w2622
Bischof	w2623
von	w2624
Oxford	w2625
thate	w2626
die	w2627
Predig	w2628
aus	w2629
2	w2630
<g/>
.
Chron	w2632
<g/>
.
V	w2634
<g/>
.
v	w2636
<g/>
.
8	w2638
<g/>
.
Ohngefehr	w2640
ein	w2641
Viertel	w2642
nach	w2643
4	w2644
<g/>
.
Uhr	w2646
<g/>
/
gienge	w2648
die	w2649
Procession	w2650
wieder	w2651
aus	w2652
der	w2653
Abtey	w2654
nach	w2655
Westmünstervall	w2656
zurük	w2657
<g/>
/
alwo	w2659
sie	w2660
um	w2661
5	w2662
<g/>
.
Uhr	w2664
anlangte	w2665
<g/>
/
und	w2667
woselbsten	w2668
für	w2669
sie	w2670
ein	w2671
herrliches	w2672
Festin	w2673
zubereitet	w2674
ware	w2675
<g/>
.
Jhre	w2677
Majestäten	w2678
<g/>
/
und	w2680
die	w2681
Prinzessinen	w2682
speiseten	w2683
an	w2684
einer	w2685
Tafel	w2686
<g/>
/
die	w2688
auf	w2689
einem	w2690
Staffel	w2691
erhoben	w2692
stunde	w2693
<g/>
;
die	w2695
Lords	w2696
<g/>
,
La-dys	w2698
<g/>
-
<g/>
.
die	w2701
ausheimische	w2702
Ministers	w2703
<g/>
,
und	w2705
Officiers	w2706
aber	w2707
<g/>
/
die	w2709
der	w2710
Crönung	w2711
beygewohnt	w2712
<g/>
/
sassen	w2714
an	w2715
verschiedenen	w2716
Tafeln	w2717
<g/>
/
worauf	w2719
man	w2720
die	w2721
herrlich=sten	w2722
<g/>
=
Speisen	w2724
<g/>
,
Confitur	w2726
<g/>
,
Früchten	w2728
<g/>
/
ꝛc	w2730
antraffe	w2731
<g/>
.
Während	w2733
daß	w2734
der	w2735
König	w2736
an	w2737
der	w2738
Tafel	w2739
sasse	w2740
<g/>
/
kam	w2742
der	w2743
Kampf	w2744
<g/>
=
Fechter	w2746
zu	w2747
Pferd	w2748
in	w2749
den	w2750
Saal	w2751
und	w2752
avancirte	w2753
dicht	w2754
bey	w2755
Sr	w2756
<g/>
.
Majestät	w2758
und	w2759
als	w2760
er	w2761
einen	w2762
Handschuhe	w2763
zur	w2764
Erden	w2765
geworffen	w2766
hatte	w2767
<g/>
/
riefe	w2769
er	w2770
dreymal	w2771
und	w2772
forderte	w2773
alle	w2774
und	w2775
einen	w2776
jeden	w2777
aus	w2778
<g/>
/
so	w2780
Prætension Praetension	w2781
an	w2782
die	w2783
Cron	w2784
Sr	w2785
<g/>
.
Majestät	w2787
machen	w2788
wolten	w2789
<g/>
.
Hierauf	w2791
trunke	w2792
der	w2793
König	w2794
aus	w2795
einem	w2796
güldenen	w2797
Kelch	w2798
auf	w2799
seine	w2800
Gesundheit	w2801
<g/>
/
und	w2803
überreichte	w2804
ihme	w2805
denselben	w2806
<g/>
/
und	w2808
da	w2809
der	w2810
Kampf	w2811
<g/>
=
Fechter	w2813
auf	w2814
Sr	w2815
<g/>
.
Majestät	w2817
Gesundheit	w2818
getrunken	w2819
hatte	w2820
<g/>
/
steckete	w2822
er	w2823
den	w2824
Kelch	w2825
in	w2826
seinen	w2827
Sak	w2828
und	w2829
begabe	w2830
sich	w2831
hinweg	w2832
<g/>
.
Wie	w2834
die	w2835
Mahlzeit	w2836
ge	w2837
<g/>
=
endiget	w2839
und	w2840
alle	w2841
Sachen	w2842
ver=richtet	w2843
<g/>
=
waren	w2845
verfügten	w2846
sich	w2847
Jhre	w2848
Majestäten	w2849
Abends	w2850
um	w2851
8	w2852
<g/>
.
Uhr	w2854
in	w2855
den	w2856
Pallast	w2857
von	w2858
S	w2859
<g/>
.
Ja-mes	w2861
<g/>
-
zurük	w2863
<g/>
.
Der	w2865
Abend	w2866
wurde	w2867
mit	w2868
Anzün=dung	w2869
<g/>
=
Feuer	w2871
<g/>
=
Werken	w2873
und	w2874
Illuminationen	w2875
und	w2876
mit	w2877
allgemeinen	w2878
Freudens	w2879
Bezeugungen	w2880
durch	w2881
die	w2882
gantze	w2883
Stadt	w2884
und	w2885
Vorstädten	w2886
durchgebracht	w2887
<g/>
.
</p>
<p id="p36">
Der	w2890
Printz	w2891
Wilhelm	w2892
gienge	w2893
nicht	w2894
mit	w2895
der	w2896
Proces-sion	w2897
<g/>
-
<g/>
,
desgleichen	w2900
die	w2901
jungen	w2902
zwey	w2903
Prinzessinen	w2904
<g/>
/
sondern	w2906
sie	w2907
verblieben	w2908
in	w2909
dem	w2910
Saal	w2911
von	w2912
West=münster	w2913
<g/>
=
<g/>
.
Der	w2916
verwittibten	w2917
Prinzessin	w2918
von	w2919
Malborough	w2920
<g/>
/
welche	w2922
mit	w2923
der	w2924
Procession	w2925
bis	w2926
in	w2927
die	w2928
Kirche	w2929
gienge	w2930
<g/>
/
wurde	w2932
allda	w2933
so	w2934
übel	w2935
daß	w2936
man	w2937
sie	w2938
nacher	w2939
Haus	w2940
tragen	w2941
müste	w2942
<g/>
.
Denselben	w2944
Tage	w2945
ertheilte	w2946
den	w2947
König	w2948
in	w2949
dem	w2950
Saal	w2951
von	w2952
Westmünster	w2953
denen	w2954
Obristen	w2955
Walter	w2956
<g/>
,
und	w2958
Lambert	w2959
<g/>
,
deren	w2961
einer	w2962
den	w2963
Hertzog	w2964
von	w2965
Aquita- nien	w2966
<g/>
-
<g/>
/
der	w2969
andere	w2970
den	w2971
Hertzog	w2972
von	w2973
der	w2974
Nor-mandie	w2975
<g/>
-
vorstellete	w2977
<g/>
/
die	w2979
ritterlich	w2980
Würde	w2981
<g/>
.
Des=gleichen	w2983
<g/>
=
auch	w2985
dem	w2986
Wilhelm	w2987
Wynne	w2988
Fendri=chen	w2989
<g/>
=
der	w2991
Compagnie	w2992
deren	w2993
pensionirten	w2994
Edel	w2995
<g/>
=
Leuten	w2997
<g/>
/
und	w2999
dem	w3000
Wilhelm	w3001
Taylor	w3002
einem	w3003
die=ser	w3004
<g/>
=
Edel	w3006
<g/>
=
Leuten	w3008
<g/>
.
</p>
<p id="p37">
Eben	w3010
an	w3011
selbigen	w3012
Tag	w3013
Vor	w3014
<g/>
=
Mittag	w3016
wurde	w3017
ein	w3018
Schuhmacher	w3019
<g/>
/
genannt	w3021
Robert	w3022
Strange	w3023
von	w3024
dem	w3025
Herrn	w3026
Thomas	w3027
Sanderson	w3028
einem	w3029
jungen	w3030
Edel	w3031
<g/>
=
Mann	w3033
des	w3034
Tempels	w3035
<g/>
/
erstochen	w3037
<g/>
;
gedachter	w3039
Edel	w3040
<g/>
=
Mann	w3042
wurde	w3043
<g/>
/
indeme	w3045
er	w3046
mit	w3047
einer	w3048
Dame	w3049
nach	w3050
der	w3051
Königl	w3052
<g/>
.
Crönung	w3054
gienge	w3055
<g/>
/
von	w3057
ermeldeten	w3058
Schuhmacher	w3059
beschimpfet	w3060
<g/>
/
dem	w3062
er	w3063
dann	w3064
einen	w3065
Degen	w3066
<g/>
=
Stoß	w3068
durch	w3069
und	w3070
durch	w3071
den	w3072
Leib	w3073
versetzte	w3074
<g/>
/
worauf	w3076
jener	w3077
todt	w3078
geblieben	w3079
<g/>
/
der	w3081
Thäter	w3082
aber	w3083
in	w3084
die	w3085
Gefängnuß	w3086
von	w3087
New-gate	w3088
<g/>
-
gesetzet	w3090
worden	w3091
<g/>
.
</p>
<p id="p38">
Der	w3093
Graf	w3094
von	w3095
Peterborough	w3096
ist	w3097
zum	w3098
Gene=ral	w3099
<g/>
=
des	w3101
See	w3102
<g/>
=
Volkes	w3104
mit	w3105
3000	w3106
<g/>
.
Pfund	w3108
Ster=ling	w3109
<g/>
=
Besoldung	w3111
ernennet	w3112
worden	w3113
<g/>
.
Man	w3115
hat	w3116
in	w3117
hiesigen	w3118
Vorstädten	w3119
angefangen	w3120
die	w3121
für	w3122
unsere	w3123
Kriegs	w3124
<g/>
=
Schiffe	w3126
benöhtigte	w3127
Botts	w3128
<g/>
=
Knechte	w3130
zu	w3131
werben	w3132
<g/>
.
</p>
<head id="hl10">
Hildesheim	w3134
25	w3135
<g/>
.
October	w3137
<g/>
.
</head>
<p id="p39">
Jhre	w3139
Bischöfl	w3140
<g/>
.
Gnaden	w3142
<g/>
/
der	w3144
hiesige	w3145
Weyh	w3146
<g/>
=
Bischof	w3148
Freyherr	w3149
von	w3150
Twickel	w3151
<g/>
/
welcher	w3153
am	w3154
14	w3155
<g/>
.
dieses	w3157
durch	w3158
einmütige	w3159
Wahl	w3160
zum	w3161
Dom	w3162
<g/>
=
Probsten	w3164
hieselbst	w3165
erwehlet	w3166
worden	w3167
<g/>
/
seynd	w3169
von	w3170
Jhrer	w3171
Chur	w3172
<g/>
=
Fürstl	w3174
<g/>
.
Durchl	w3176
<g/>
.
zu	w3178
Cölln	w3179
<g/>
/
unserem	w3181
gnädigsten	w3182
Landes	w3183
<g/>
=
Herrn	w3185
<g/>
/
zum	w3187
Statthalter	w3188
und	w3189
Regierungs	w3190
<g/>
=
Præsidenten Praesidenten	w3192
hiesigen	w3193
Dero	w3194
Hoch	w3195
Stifts	w3196
und	w3197
Fürstentums	w3198
Hildesheim	w3199
<g/>
/
gnädigst	w3201
ernennet	w3202
worden	w3203
<g/>
.
</p>
<head id="hl11">
Nieder	w3205
<g/>
=
Rhein	w3207
<g/>
=
Strom	w3209
26	w3210
<g/>
.
Octob	w3212
<g/>
.
</head>
<p id="p40">
Wie	w3214
aus	w3215
dem	w3216
Clevischen	w3217
<g/>
/
und	w3219
anderen	w3220
be=nachbarten	w3221
<g/>
=
Landen	w3223
gemeldet	w3224
wird	w3225
<g/>
/
so	w3227
re=gierern	w3228
<g/>
=
daselbst	w3230
die	w3231
hitzigen	w3232
Fieber	w3233
und	w3234
die	w3235
rote	w3236
Ruhr	w3237
so	w3238
stark	w3239
daß	w3240
dadurch	w3241
viele	w3242
Men=schen	w3243
<g/>
=
hinweg	w3245
geraft	w3246
werden	w3247
<g/>
/
welches	w3249
dann	w3250
auch	w3251
verursachet	w3252
daß	w3253
die	w3254
Churfürstliche	w3255
Re=gierung	w3256
<g/>
=
zu	w3258
Bonn	w3259
denen	w3260
Bürgern	w3261
daselbst	w3262
</p>
<p id="p41">
verboten	w3263
<g/>
/
nach	w3265
denen	w3266
jenigen	w3267
Oertern	w3268
<g/>
/
wo	w3270
dergleichen	w3271
Krankheiten	w3272
verspüret	w3273
werden	w3274
<g/>
/
zu	w3276
reisen	w3277
<g/>
.
Jndessen	w3279
schreiben	w3280
die	w3281
Aerzte	w3282
diese	w3283
Krankheiten	w3284
der	w3285
ungemeinen	w3286
Hitze	w3287
und	w3288
denen	w3289
schweren	w3290
Ausdämpfungen	w3291
zu	w3292
<g/>
/
welche	w3294
man	w3295
im	w3296
verwichenen	w3297
Sommer	w3298
fast	w3299
bestän=dig	w3300
<g/>
=
gehabt	w3302
<g/>
.
</p>
<head id="hl12">
Coppenhagen	w3304
28	w3305
<g/>
.
October	w3307
<g/>
.
</head>
<p id="p42">
Den	w3309
19ten	w3310
dieses	w3311
ist	w3312
in	w3313
Jhrer	w3314
Königl	w3315
<g/>
.
Ho=heit	w3317
<g/>
=
Pallast	w3319
der	w3320
jungen	w3321
Prinzessin	w3322
Lovisa	w3323
Hoheit	w3324
Geburts	w3325
<g/>
=
Tag	w3327
mit	w3328
vielen	w3329
Vergnü=gen	w3330
<g/>
=
celebriret	w3332
worden	w3333
<g/>
/
da	w3335
alle	w3336
Vornehmsten	w3337
des	w3338
Hofes	w3339
ihre	w3340
Gratulationen	w3341
abgeleget	w3342
<g/>
/
und	w3344
Abends	w3345
wurde	w3346
offentliche	w3347
Tafel	w3348
gehal=ten	w3349
<g/>
=
<g/>
.
Vorgestern	w3352
ist	w3353
Printz	w3354
Carls	w3355
hoher	w3356
Ge=burts	w3357
<g/>
=
<g/>
=
Tag	w3360
zu	w3361
Wemmeltof	w3362
im	w3363
höchsten	w3364
Ver=gnügen	w3365
<g/>
=
begangen	w3367
worden	w3368
<g/>
/
und	w3370
seynd	w3371
Jhre	w3372
Königl	w3373
<g/>
.
Hoheit	w3375
von	w3376
der	w3377
sämtlichen	w3378
Königl	w3379
<g/>
.
Herrschaft	w3381
durch	w3382
Cavaliers	w3383
solicitiret	w3384
<g/>
.
Jhre	w3386
Königl	w3387
<g/>
.
Majestät	w3389
befinden	w3390
sich	w3391
täglich	w3392
einige	w3393
Stunden	w3394
auf	w3395
dem	w3396
neuen	w3397
Schlosse	w3398
<g/>
/
die	w3400
Arbeit	w3401
um	w3402
desto	w3403
mehr	w3404
zu	w3405
treiben	w3406
<g/>
/
wie	w3408
man	w3409
dann	w3410
auch	w3411
annoch	w3412
gantz	w3413
sicher	w3414
glaubet	w3415
<g/>
/
daß	w3417
die	w3418
Königl	w3419
<g/>
.
Herrschaften	w3421
<g/>
/
wann	w3423
am	w3424
bevorstehen=den	w3425
<g/>
=
1	w3427
<g/>
.
Novemb	w3429
<g/>
.
die	w3431
Kirche	w3432
eingeweihet	w3433
seyn	w3434
wird	w3435
<g/>
/
selbiges	w3437
beziehen	w3438
<g/>
/
und	w3440
beständig	w3441
all=da	w3442
<g/>
=
verbleiben	w3444
werden	w3445
<g/>
.
</p>
<p id="p43">
Sonst	w3447
ist	w3448
die	w3449
Königl	w3450
<g/>
.
Veordnung	w3452
dahin	w3453
ergangen	w3454
<g/>
/
daß	w3456
an	w3457
verschiedenen	w3458
Orten	w3459
oder	w3460
Aemtern	w3461
über	w3462
gewisse	w3463
Sachen	w3464
eine	w3465
Commis-sion	w3466
<g/>
-
verordnet	w3468
werden	w3469
solte	w3470
<g/>
/
und	w3472
zwar	w3473
mit	w3474
der	w3475
Instruction	w3476
<g/>
,
daß	w3478
die	w3479
Commissarien	w3480
we=nigstens	w3481
<g/>
=
in	w3483
Monat	w3484
<g/>
=
Zeit	w3486
alles	w3487
dem	w3488
Befehl	w3489
ge=mäß	w3490
<g/>
=
auf	w3492
das	w3493
genaueste	w3494
zu	w3495
untersuchen	w3496
<g/>
/
und	w3498
so	w3499
ferner	w3500
weit	w3501
an	w3502
andern	w3503
Orten	w3504
besagter	w3505
massen	w3506
zu	w3507
continuiren	w3508
<g/>
/
nach	w3510
gäntzlicher	w3511
En=digung	w3512
<g/>
=
aller	w3514
den	w3515
unterthänigsten	w3516
münd=lichen	w3517
<g/>
=
Bericht	w3519
an	w3520
Sr	w3521
<g/>
.
Majestät	w3523
abzustatten	w3524
gehalten	w3525
seyn	w3526
solten	w3527
<g/>
.
Die	w3529
Ursache	w3530
zu	w3531
so=thaner	w3532
<g/>
=
præcisen praecisen	w3534
Königl	w3535
<g/>
.
Befehle	w3537
hätten	w3538
in=sonderheit	w3539
<g/>
=
die	w3541
so	w3542
geraume	w3543
Zeit	w3544
her	w3545
einge=lauffende	w3546
<g/>
=
schwere	w3548
Klagen	w3549
deren	w3550
Königl	w3551
<g/>
.
Unter=thanen	w3553
<g/>
=
über	w3555
verschiedene	w3556
Unter	w3557
<g/>
=
Obrigkeitli=che	w3559
<g/>
=
Personen	w3561
verursachet	w3562
<g/>
/
da	w3564
sie	w3565
nicht	w3566
allein	w3567
durch	w3568
die	w3569
langweilige	w3570
Zögerung	w3571
der	w3572
Pro- cessen	w3573
<g/>
-
fast	w3575
all	w3576
des	w3577
Jhrigen	w3578
entblösset	w3579
<g/>
/
und	w3581
zu	w3582
letzt	w3583
gar	w3584
vollends	w3585
von	w3586
Haus	w3587
und	w3588
Hof	w3589
ver=triben	w3590
<g/>
=
worden	w3592
wären	w3593
<g/>
.
</p>
<head id="hl13">
Meiland	w3595
29	w3596
October	w3597
<g/>
.
</head>
<p id="p44">
Jndeme	w3599
der	w3600
hiesige	w3601
Adel	w3602
sich	w3603
meistentheils	w3604
auf	w3605
dem	w3606
Land	w3607
befindet	w3608
<g/>
/
gibt	w3610
