<doc id="edoc_wd_1776-06-01" attrs="word" year="1776" month="06" day="01" corpus="1">
<head id="hl1">
Lisabon	w39
.
</p>
<p id="p37">
Vorigen	w1798
Woche	w1799
hat	w1800
der	w1801
Koadjutor	w1802
von	w1803
Kiow	w1804
Herr	w1805
Czeriszewski	w1806
<g/>
,
in	w1808
der	w1809
hiesigen	w1810
Marienkirche	w1811
auf	w1812
der	w1813
Neustadt	w1814
<g/>
,
die	w1816
da=selbst	w1817
<g/>
=
gewesene	w1819
zwey	w1820
wochentliche	w1821
Mißio=nen	w1822
<g/>
=
mit	w1824
der	w1825
gewöhnlichen	w1826
Messe	w1827
<g/>
,
Gottes=dienst	w1829
<g/>
=
und	w1831
Ertheilung	w1832
des	w1833
Segens	w1834
geen=diget	w1835
<g/>
=
<g/>
,
und	w1838
den	w1839
Tag	w1840
darauf	w1841
als	w1842
am	w1843
Sonn=tage	w1844
<g/>
=
die	w1846
Firmelung	w1847
einer	w1848
großen	w1849
Menge	w1850
Leute	w1851
gegeben	w1852
<g/>
.
An	w1854
eben	w1855
diesem	w1856
Tage	w1857
haben	w1858
der	w1859
Bischof	w1860
von	w1861
Posen	w1862
und	w1863
War=schau	w1864
<g/>
=
<g/>
,
Krongroßkanzler	w1867
<g/>
,
in	w1869
der	w1870
hiesi=gen	w1871
<g/>
=
Kreuzkirche	w1873
<g/>
,
nachdem	w1875
solcher	w1876
selbst	w1877
die	w1878
hohe	w1879
Messe	w1880
gesungen	w1881
<g/>
,
die	w1883
zwey	w1884
wo=chentliche	w1885
<g/>
=
Mißion	w1887
eröfnet	w1888
und	w1889
angefan=gen	w1890
<g/>
=
<g/>
.
Den	w1893
25ten	w1894
dieses	w1895
wird	w1896
sich	w1897
das	w1898
Ju=biläum	w1899
<g/>
=
in	w1901
der	w1902
Plozkerdiöces	w1903
anfangen	w1904
<g/>
,
worzu	w1906
man	w1907
schon	w1908
durch	w1909
Vermittelung	w1910
Sr	w1911
<g/>
.
Durchl	w1913
<g/>
.
des	w1915
Fürst	w1916
Bischofs	w1917
verschie=dene	w1918
<g/>
=
darzu	w1920
nöthige	w1921
Bücher	w1922
hat	w1923
verferti=gen	w1924
<g/>
=
und	w1926
drucken	w1927
lassen	w1928
<g/>
.
</p>
<p id="p38">
Man	w1930
sieht	w1931
nunmehr	w1932
das	w1933
Universal	w1934
zu	w1935
denen	w1936
künftigen	w1937
Landtagen	w1938
<g/>
,
solches	w1940
ist	w1941
auf	w1942
ganz	w1943
andere	w1944
Art	w1945
als	w1946
die	w1947
vorigen	w1948
verfasset	w1949
und	w1950
eingerichtet	w1951
<g/>
.
Es	w1953
soll	w1954
aber	w1955
bey	w1956
alledem	w1957
vielen	w1958
sehr	w1959
bedenklich	w1960
vor=kommen	w1961
<g/>
=
<g/>
,
weil	w1964
man	w1965
daraus	w1966
ersehen	w1967
kann	w1968
<g/>
,
daß	w1970
man	w1971
auf	w1972
dem	w1973
künftigen	w1974
Reichstage	w1975
wichtige	w1976
Sachen	w1977
vornehmen	w1978
und	w1979
auch	w1980
zu	w1981
Stande	w1982
bringen	w1983
wolle	w1984
<g/>
.
Das	w1986
Konseil=permanent	w1987
<g/>
=
und	w1989
fast	w1990
alle	w1991
Kommißionen	w1992
sind	w1993
beschäftiget	w1994
<g/>
,
um	w1996
auf	w1997
dem	w1998
künftigen	w1999
Reichstage	w2000
verschiedene	w2001
Projekte	w2002
<g/>
,
von	w2004
neuen	w2005
und	w2006
bessern	w2007
Einrichtungen	w2008
vorle=gen	w2009
<g/>
=
zu	w2011
können	w2012
<g/>
.
Auch	w2014
möchte	w2015
es	w2016
wegen	w2017
der	w2018
ehemaligen	w2019
Jesuitergüter	w2020
noch	w2021
Ber Berdrüßlichkeiten	w2022
<g/>
=
</p>
<p id="p39">
drüßlichkeiten	w2024
geben	w2025
<g/>
,
indem	w2027
man	w2028
diese	w2029
Sache	w2030
nunmehr	w2031
genauer	w2032
untersuchen	w2033
will	w2034
<g/>
,
damit	w2036
die	w2037
Einkünfte	w2038
derselben	w2039
zu	w2040
ihrer	w2041
Bestimmung	w2042
<g/>
,
nämlich	w2044
zu	w2045
Errich=tung	w2046
<g/>
=
und	w2048
zu	w2049
Verbesserung	w2050
der	w2051
Schulen	w2052
gehörig	w2053
angewendet	w2054
werden	w2055
können	w2056
<g/>
,
denn	w2058
bisher	w2059
haben	w2060
die	w2061
Großen	w2062
<g/>
,
so	w2064
von	w2065
solchen	w2066
Gütern	w2067
welche	w2068
bekommen	w2069
haben	w2070
<g/>
,
gar	w2072
nichts	w2073
<g/>
,
die	w2075
Kleinen	w2076
aber	w2077
nur	w2078
was	w2079
Weniges	w2080
gegeben	w2081
<g/>
,
und	w2083
das	w2084
aus	w2085
Furcht	w2086
<g/>
,
daß	w2088
man	w2089
ihnen	w2090
solche	w2091
nicht	w2092
wieder	w2093
ab=nehmen	w2094
<g/>
=
möchte	w2096
<g/>
.
</p>
<p id="p40">
Der	w2098
vorige	w2099
General	w2100
<g/>
=
Postmeister	w2102
von	w2103
Pohlen	w2104
und	w2105
Litthauen	w2106
<g/>
,
Herr	w2108
Marschall	w2109
von	w2110
Biberstein	w2111
<g/>
,
ist	w2113
am	w2114
verwichenen	w2115
Mon=tage	w2116
<g/>
=
von	w2118
hier	w2119
nach	w2120
Dreßden	w2121
abgegangen	w2122
<g/>
,
von	w2124
da	w2125
wird	w2126
er	w2127
sich	w2128
auf	w2129
seine	w2130
Güter	w2131
be=geben	w2132
<g/>
=
und	w2134
daselbst	w2135
den	w2136
Rest	w2137
seines	w2138
Le=bens	w2139
<g/>
=
geruhig	w2141
zubringen	w2142
<g/>
.
</p>
<p id="p41">
Der	w2144
vorige	w2145
päbstl	w2146
<g/>
.
Nuntius	w2148
<g/>
,
Herr	w2150
Graf	w2151
Garampi	w2152
<g/>
,
hat	w2154
vor	w2155
seiner	w2156
Abreise	w2157
von	w2158
Sr	w2159
<g/>
.
Majestät	w2161
dem	w2162
Könige	w2163
eine	w2164
gol=dene	w2165
<g/>
=
Tabattiere	w2167
mit	w2168
seinem	w2169
Portrait	w2170
<g/>
,
so	w2172
reich	w2173
mit	w2174
Brillanten	w2175
besetzt	w2176
<g/>
,
und	w2178
einen	w2179
dergleichen	w2180
kostbaren	w2181
Ring	w2182
zum	w2183
Präsente	w2184
bekommen	w2185
Man	w2186
sagt	w2187
<g/>
,
daß	w2189
ihm	w2190
der	w2191
Pabst	w2192
hauptsächlich	w2193
deswegen	w2194
das	w2195
reiche	w2196
Bistum	w2197
Monte	w2198
<g/>
=
Fiascone	w2200
ertheilt	w2201
<g/>
,
weil	w2203
er	w2204
sich	w2205
in	w2206
Polen	w2207
der	w2208
Religion	w2209
sehr	w2210
scharf	w2211
angenom=men	w2212
<g/>
=
<g/>
;
wie	w2215
er	w2216
dann	w2217
<g/>
,
wo	w2219
nicht	w2220
der	w2221
Ver=fasser	w2222
<g/>
=
<g/>
,
zum	w2225
wenigstens	w2226
doch	w2227
der	w2228
Ange=ber	w2229
<g/>
=
und	w2231
Urheber	w2232
der	w2233
merkwürdigen	w2234
latei=nischen	w2235
<g/>
=
Schrift	w2237
seyn	w2238
soll	w2239
<g/>
,
so	w2241
zu	w2242
Anfange	w2243
dieses	w2244
Jahres	w2245
in	w2246
Quarto	w2247
zu	w2248
Warschau	w2249
unter	w2250
folgendem	w2251
Titel	w2252
zum	w2253
Vorschein	w2254
ge=kommen	w2255
<g/>
=
<g/>
:
Justa	w2258
Catholicorum	w2259
aversus	w2260
Dissidentes	w2261
in	w2262
Polonia	w2263
a	w2264
Religione	w2265
Expo-stulatio	w2266
<g/>
-
<g/>
.
Obgedachter	w2269
Herr	w2270
Nuntius	w2271
hat	w2272
unlängst	w2273
dem	w2274
Domherrn	w2275
von	w2276
Lemberg	w2277
und	w2278
Kiow	w2279
<g/>
,
Herrn	w2281
Michael	w2282
Prymowicz	w2283
<g/>
,
und	w2285
dem	w2286
Archidiakon	w2287
von	w2288
Camience	w2289
und	w2290
Brac=law	w2291
<g/>
=
<g/>
,
Herrn	w2294
Luwinski	w2295
<g/>
,
so	w2297
beyde	w2298
Officia=les	w2299
<g/>
=
bey	w2301
den	w2302
vereinigten	w2303
Griechen	w2304
sind	w2305
<g/>
,
ein	w2307
Diploma	w2308
überschickt	w2309
<g/>
,
vermöge	w2311
wel=chem	w2312
<g/>
=
ihnen	w2314
der	w2315
Pabst	w2316
auf	w2317
Gutbefinden	w2318
der	w2319
Congregation	w2320
de	w2321
Propaganda	w2322
fide	w2323
er=laubt	w2324
<g/>
=
<g/>
,
ein	w2327
goldenes	w2328
Kreuz	w2329
an	w2330
einer	w2331
gol=denen	w2332
<g/>
=
Kette	w2334
zu	w2335
tragen	w2336
<g/>
,
und	w2338
das	w2339
<g/>
,
um	w2341
hre	w2342
Dienste	w2343
zu	w2344
vergelten	w2345
<g/>
,
die	w2347
sie	w2348
der	w2349
</p>
<p id="p42">
Kirche	w2350
Gottes	w2351
<g/>
,
sonderlich	w2353
in	w2354
Ansehung	w2355
der	w2356
Griechen	w2357
erwiesen	w2358
haben	w2359
<g/>
.
</p>
<p id="p43">
Vorige	w2361
Woche	w2362
ist	w2363
auch	w2364
der	w2365
Prinz	w2366
Sa=pieha	w2367
<g/>
=
<g/>
,
Generalfeldzeugmeister	w2370
von	w2371
Lit=thauen	w2372
<g/>
=
<g/>
,
so	w2375
in	w2376
fremden	w2377
Ländern	w2378
gewest	w2379
<g/>
,
zurückgekommen	w2381
<g/>
.
Der	w2383
Graf	w2384
von	w2385
Brühl	w2386
<g/>
,
Generalfeldzeugmeister	w2388
von	w2389
Polen	w2390
ist	w2391
nach	w2392
Kaminiec	w2393
abgegangen	w2394
<g/>
.
Jn	w2396
Litthauen	w2397
ist	w2398
Herr	w2399
Zmyowski	w2400
<g/>
,
Landschreiber	w2402
von	w2403
Wil=da	w2404
<g/>
=
<g/>
,
in	w2407
einem	w2408
Alter	w2409
von	w2410
80	w2411
Jahren	w2412
als	w2413
Junggeselle	w2414
gestorben	w2415
<g/>
,
und	w2417
hat	w2418
seines	w2419
Bruders	w2420
Kindern	w2421
ein	w2422
ansehnliches	w2423
Ver=mögen	w2424
<g/>
=
hinterlassen	w2426
<g/>
.
</p>
<head id="hl12">
Frankfurt	w2428
den	w2429
16	w2430
<g/>
.
May	w2432
<g/>
.
</head>
<p id="p44">
Die	w2434
nunmehr	w2435
auf	w2436
dem	w2437
Marsche	w2438
begrif=fene	w2439
<g/>
=
zwote	w2441
Kolonne	w2442
der	w2443
Heßischen	w2444
Trup=pen	w2445
<g/>
=
marschirt	w2447
wieder	w2448
so	w2449
wie	w2450
die	w2451
erste	w2452
<g/>
,
in	w2454
2	w2455
Divisionen	w2456
nach	w2457
den	w2458
Ort	w2459
ihrer	w2460
Ein=schiffung	w2461
<g/>
=
<g/>
.
Die	w2464
erste	w2465
Division	w2466
<g/>
,
so	w2468
zur	w2469
Rech=ten	w2470
<g/>
=
der	w2472
Weser	w2473
marschiret	w2474
<g/>
,
geht	w2476
linkerhand	w2477
Göttingen	w2478
<g/>
,
und	w2480
der	w2481
Gegend	w2482
durch	w2483
das	w2484
Hildesheimische	w2485
<g/>
,
läßt	w2487
Hannover	w2488
auf	w2489
ei=ne	w2490
<g/>
=
Meile	w2492
linkerhand	w2493
liegen	w2494
<g/>
,
und	w2496
mar=schirt	w2497
<g/>
=
durch	w2499
das	w2500
Cellische	w2501
und	w2502
Bremische	w2503
nach	w2504
Ritzebüttel	w2505
<g/>
.
Die	w2507
zwote	w2508
Division	w2509
marschirt	w2510
zur	w2511
Linken	w2512
<g/>
,
läßt	w2514
Hameln	w2515
lin=kerhand	w2516
<g/>
=
liegen	w2518
<g/>
,
geht	w2520
durch	w2521
die	w2522
Grafschaft	w2523
Schaumburg	w2524
<g/>
,
und	w2526
so	w2527
weiter	w2528
über	w2529
die	w2530
Aller	w2531
in	w2532
das	w2533
Bremische	w2534
nach	w2535
Ritzebüttel	w2536
<g/>
,
als	w2538
den	w2539
Ort	w2540
ihres	w2541
Embarquements	w2542
<g/>
.
</p>
<head id="hl13">
Kölln	w2544
den	w2545
19	w2546
<g/>
.
May	w2548
<g/>
.
</head>
<p id="p45">
Gestern	w2550
Morgens	w2551
ist	w2552
die	w2553
in	w2554
Englischen	w2555
Sold	w2556
überlassene	w2557
Hessen	w2558
<g/>
=
Hanauische	w2560
Ar=tillerie	w2561
<g/>
=
<g/>
,
nebst	w2564
der	w2565
zu	w2566
derselben	w2567
gehörigen	w2568
Mannschaft	w2569
<g/>
,
in	w2571
den	w2572
dazu	w2573
bestimmten	w2574
Schiffen	w2575
auf	w2576
dem	w2577
Rhein	w2578
hier	w2579
vorbeyge=fahren	w2580
<g/>
=
<g/>
.
Bey	w2583
der	w2584
Ankunft	w2585
zu	w2586
Willemstadt	w2587
<g/>
,
in	w2589
Holland	w2590
<g/>
,
wird	w2592
alles	w2593
auf	w2594
Englische	w2595
Transportschiffe	w2596
gebracht	w2597
werden	w2598
<g/>
.
</p>
<head id="hl14">
Wien	w2600
den	w2601
1	w2602
<g/>
.
Brachm	w2604
<g/>
.
</head>
<p id="p46">
Freytags	w2606
den	w2607
31	w2608
May	w2609
geruheten	w2610
Jhre	w2611
kaiserl	w2612
<g/>
.
königl	w2614
<g/>
.
apostolische	w2616
Majestät	w2617
sich	w2618
von	w2619
Laxenburg	w2620
herein	w2621
in	w2622
die	w2623
Metropoli=tankirche	w2624
<g/>
=
zu	w2626
St	w2627
<g/>
.
Stephan	w2629
zu	w2630
erheben	w2631
<g/>
,
und	w2633
in	w2634
dasigem	w2635
neuerbauten	w2636
Oratorio	w2637
den	w2638
alle	w2639
Quartal	w2640
angeordneten	w2641
Bettstun=den	w2642
<g/>
=
vor	w2644
ausgesetztem	w2645
hochwürdigsten	w2646
Al Altarssacramente	w2647
<g/>
=
</p>
<p id="p47">
tarssacramente	w2649
andächtigst	w2650
beyzuwohnen	w2651
<g/>
,
und	w2653
kehreten	w2654
sodann	w2655
wieder	w2656
nach	w2657
Laxem=burg	w2658
<g/>
=
zurück	w2660
<g/>
.
</p>
<p id="p48">
Nunmehr	w2662
ist	w2663
die	w2664
auf	w2665
dem	w2666
Graben	w2667
all=hier	w2668
<g/>
=
stehende	w2670
Ehrensäule	w2671
der	w2672
allerheiligsten	w2673
Dreyfaltigkeit	w2674
<g/>
,
so	w2676
im	w2677
Jahre	w2678
1692	w2679
<g/>
.
auf	w2681
Befehl	w2682
weil	w2683
<g/>
.
Sr	w2685
<g/>
.
röm	w2687
<g/>
.
kaiserl	w2689
<g/>
.
Majestät	w2691
Leopold	w2692
des	w2693
ersten	w2694
auf	w2695
das	w2696
prächtigste	w2697
aufgerichtet	w2698
<g/>
,
auf	w2700
Anordnung	w2701
beyder	w2702
glor=reichest	w2703
<g/>
=
regierenden	w2705
k	w2706
<g/>
.
k	w2708
<g/>
.
Majestäten	w2710
aber	w2711
nunmehr	w2712
wieder	w2713
auf	w2714
das	w2715
zierlichste	w2716
er=neueret	w2717
<g/>
=
worden	w2719
<g/>
,
<g/>
(
von	w2722
welcher	w2723
Saule	w2724
eine	w2725
umständliche	w2726
Beschreibung	w2727
bis	w2728
Mitt=wochs	w2729
<g/>
=
den	w2731
5	w2732
<g/>
.
Juni	w2734
in	w2735
diesem	w2736
Zeitungs	w2737
<g/>
=
Comtoir	w2739
zu	w2740
haben	w2741
seyn	w2742
wird	w2743
<g/>
)
wiederum	w2745
zu	w2746
jedermans	w2747
Verehrung	w2748
öffentlich	w2749
auf=gedecket	w2750
<g/>
=
worden	w2752
<g/>
.
</p>
<p id="p49">
Den	w2754
25ten	w2755
dieses	w2756
Vormittags	w2757
unter=warfen	w2758
<g/>
=
sich	w2760
am	w2761
k	w2762
<g/>
.
k	w2764
<g/>
.
Theresianum	w2766
die	w2767
Hrn	w2768
<g/>
.
Aloysius	w2770
Graf	w2771
v	w2772
<g/>
.
Trautmannsdorf	w2774
<g/>
,
Christian	w2776
Graf	w2777
v	w2778
<g/>
.
Aicholt	w2780
<g/>
,
Franz	w2782
Freyh	w2783
<g/>
.
v	w2785
<g/>
.
Püchler	w2787
<g/>
,
Karl	w2789
Graf	w2790
v	w2791
<g/>
.
Atthembs	w2793
<g/>
,
und	w2795
Otto	w2796
Freyh	w2797
<g/>
.
v	w2799
<g/>
.
Kulmer	w2801
<g/>
,
nach	w2803
dem	w2804
von	w2805
ihrem	w2806
Lehrer	w2807
dem	w2808
Hochw	w2809
<g/>
.
Herrn	w2811
Samuel	w2812
Vogel	w2813
entworfenen	w2814
Grundrisse	w2815
<g/>
,
der	w2817
un=ter	w2818
<g/>
=
die	w2820
Zuhörer	w2821
ausgetheilet	w2822
ward	w2823
<g/>
,
einer	w2825
öffentlichen	w2826
Prüfung	w2827
über	w2828
die	w2829
Staats=kunde	w2830
<g/>
=
des	w2832
Erzherzogthums	w2833
Oesterreich	w2834
<g/>
,
und	w2836
der	w2837
demselben	w2838
einverleibten	w2839
deut=schen	w2840
<g/>
=
Erbländer	w2842
<g/>
,
und	w2844
erwarben	w2845
sich	w2846
durch	w2847
die	w2848
rühmlichsten	w2849
Proben	w2850
ihres	w2851
ge=machten	w2852
<g/>
=
Fortganges	w2854
den	w2855
allgemeinen	w2856
Beyfall	w2857
aller	w2858
adelichen	w2859
und	w2860
gelehrten	w2861
An=wesenden	w2862
<g/>
=
<g/>
.
</p>
<p id="p50">
Gestern	w2865
Vormitags	w2866
wurde	w2867
ein	w2868
boßhaf=ter	w2869
<g/>
=
Mörder	w2871
vor	w2872
dem	w2873
allhiesigen	w2874
Schot=tenthore	w2875
<g/>
=
auf	w2877
der	w2878
dasigen	w2879
gewöhnlichen	w2880
Richtstatt	w2881
<g/>
,
wohin	w2883
man	w2884
ihn	w2885
<g/>
,
nach	w2887
aber	w2888
gelesenen	w2889
Urtheile	w2890
von	w2891
dem	w2892
hiesigen	w2893
kais	w2894
<g/>
.
königl	w2896
<g/>
.
Stadt	w2898
<g/>
=
und	w2900
Landgerichte	w2901
<g/>
,
auf	w2903
dem	w2904
sogenannten	w2905
hohen	w2906
Wagen	w2907
unter	w2908
Begleitung	w2909
eines	w2910
Detaschements	w2911
von	w2912
der	w2913
Policeywache	w2914
<g/>
,
abgeführt	w2916
hatte	w2917
<g/>
,
mit	w2919
dem	w2920
Rade	w2921
hingerichtet	w2922
<g/>
.
Dieser	w2924
Missethäter	w2925
war	w2926
von	w2927
Süßbrunn	w2928
in	w2929
Niederösterreich	w2930
<g/>
;
im	w2932
Viertl	w2933
unter	w2934
Mannhardsberge	w2935
<g/>
,
ge=bürtig	w2937
<g/>
=
<g/>
,
katholischer	w2940
Religion	w2941
<g/>
,
und	w2943
bey	w2944
30	w2945
Jahre	w2946
alt	w2947
<g/>
.
Seine	w2949
gräuliche	w2950
Misse Missethat	w2951
<g/>
=
</p>
<p id="p51">
that	w2953
<g/>
,
wurde	w2955
wie	w2956
gewöhnlich	w2957
durch	w2958
eine	w2959
öffentliche	w2960
Druckschrift	w2961
bekannt	w2962
gemacht	w2963
<g/>
,
deren	w2965
Jnnhalt	w2966
folgendergestalten	w2967
lau=tete	w2968
<g/>
=
<g/>
:
Es	w2971
befand	w2972
sich	w2973
dieser	w2974
Mensch	w2975
bey	w2976
seinen	w2977
zu	w2978
Süssenbrunn	w2979
behaußten	w2980
Aeltern	w2981
so	w2982
lang	w2983
in	w2984
der	w2985
Verpflegung	w2986
<g/>
,
biß	w2988
er	w2989
an	w2990
Kräften	w2991
dergestalten	w2992
zunahm	w2993
<g/>
:
daß	w2995
er	w2996
zu	w2997
arbeiten	w2998
fähig	w2999
<g/>
,
und	w3001
sohin	w3002
sein	w3003
Brod	w3004
durch	w3005
Dienen	w3006
sich	w3007
selbst	w3008
zu	w3009
verschaffen	w3010
im	w3011
Stan=de	w3012
<g/>
=
war	w3014
<g/>
.
</p>
<p id="p52">
Er	w3016
diente	w3017
hierauf	w3018
sowohl	w3019
in	w3020
obgedacht	w3021
seinem	w3022
Geburtsorte	w3023
<g/>
,
als	w3025
auch	w3026
in	w3027
dorti=ger	w3028
<g/>
=
Gegend	w3030
bey	w3031
verschiedenen	w3032
Bauern	w3033
bis	w3034
Liechtmessen	w3035
dieß	w3036
Jahrs	w3037
ununterbro=chen	w3038
<g/>
=
als	w3040
Roßknecht	w3041
<g/>
,
von	w3043
dieser	w3044
Zeit	w3045
an	w3046
aber	w3047
hielt	w3048
er	w3049
sich	w3050
bey	w3051
seinen	w3052
Aeltern	w3053
bis	w3054
jüngsthin	w3055
abgewichene	w3056
Ostern	w3057
dienstlos	w3058
auf	w3059
<g/>
,
wonach	w3061
er	w3062
von	w3063
einem	w3064
Mühlermei=ster	w3065
<g/>
=
am	w3067
sogenannten	w3068
Steinhofe	w3069
ebenfalls	w3070
als	w3071
Roßknecht	w3072
in	w3073
Dienst	w3074
aufgenommen	w3075
wurde	w3076
<g/>
,
und	w3078
bey	w3079
selbem	w3080
bis	w3081
auf	w3082
den	w3083
20	w3084
<g/>
.
gegenwärtigen	w3086
Maymonats	w3087
sich	w3088
befand	w3089
<g/>
.
</p>
<p id="p53">
An	w3091
eben	w3092
diesem	w3093
Tage	w3094
früh	w3095
Morgens	w3096
mußte	w3097
er	w3098
auf	w3099
Anschaffen	w3100
erwähnt	w3101
seines	w3102
Dienstgebers	w3103
mit	w3104
einem	w3105
mit	w3106
3	w3107
Pferden	w3108
bespannten	w3109
Wagen	w3110
herein	w3111
in	w3112
die	w3113
Vorstadt	w3114
Matzleinstorf	w3115
fahren	w3116
<g/>
,
um	w3118
eine	w3119
allda	w3120
zwey	w3121
Tage	w3122
vorher	w3123
gedungene	w3124
Fuhr	w3125
Dungs	w3126
abzuholen	w3127
<g/>
,
und	w3129
sohin	w3130
auf	w3131
dessen	w3132
gleich	w3133
hinter	w3134
Hetzendorf	w3135
liegende	w3136
Aecker	w3137
zu	w3138
füh=ren	w3139
<g/>
=
<g/>
.
Nach	w3142
dießfällig	w3143
aufgeladenen	w3144
Dung	w3145
fuhr	w3146
er	w3147
von	w3148
dannen	w3149
zu	w3150
einem	w3151
innerhalb	w3152
der	w3153
Mätzleinstorfer	w3154
Linie	w3155
befindlichen	w3156
Wirthshaus	w3157
<g/>
,
woselbst	w3159
er	w3160
eine	w3161
halbe	w3162
6	w3163
kr	w3164
<g/>
.
Wein	w3166
samt	w3167
einer	w3168
Leberwurst	w3169
gefrühstücket	w3170
hat	w3171
<g/>
,
und	w3173
von	w3174
dannen	w3175
so	w3176
weiters	w3177
ohnge=fehr	w3178
<g/>
=
um	w3180
7	w3181
Uhr	w3182
darauf	w3183
zur	w3184
Linie	w3185
auf	w3186
der	w3187
sogenannten	w3188
Kaiserstrasse	w3189
gegen	w3190
Meid=ling	w3191
<g/>
=
zu	w3193
hinaus	w3194
<g/>
,
wo	w3196
er	w3197
dann	w3198
unterwegs	w3199
auf	w3200
unzüchtige	w3201
Gedanken	w3202
gerieth	w3203
<g/>
,
und	w3205
in	w3206
solchen	w3207
sich	w3208
vornahm	w3209
<g/>
,
die	w3211
nächste	w3212
Weibsperson	w3213
<g/>
,
die	w3215
ihm	w3216
immer	w3217
auf	w3218
der	w3219
Strasse	w3220
aufstossen	w3221
würde	w3222
<g/>
,
zu	w3224
einen	w3225
Opfer	w3226
seiner	w3227
Begierde	w3228
zu	w3229
machen	w3230
<g/>
,
zu=gleich	w3232
<g/>
=
aber	w3234
auch	w3235
<g/>
,
wenn	w3237
sie	w3238
sich	w3239
seinem	w3240
Willen	w3241
nicht	w3242
ergeben	w3243
sollte	w3244
<g/>
,
um	w3246
das	w3247
Le=ben	w3248
<g/>
=
zu	w3250
bringen	w3251
<g/>
.
</p>
<p id="p54">
Jn	w3253
diesem	w3254
selbst	w3255
geständigermasen	w3256
ge gefaßt	w3257
<g/>
=
</p>
<p id="p55">
faßt	w3259
<g/>
=
gailen	w3261
<g/>
,
und	w3263
mörderischen	w3264
Vorsatze	w3265
demnach	w3266
<g/>
,
setzte	w3268
er	w3269
einige	w3270
Büchsenschüße	w3271
weit	w3272
mit	w3273
Wagen	w3274
und	w3275
Pferd	w3276
seinen	w3277
Weg	w3278
fort	w3279
<g/>
,
während	w3281
welchem	w3282
er	w3283
auch	w3284
von	w3285
Fer=ne	w3286
<g/>
=
eine	w3288
Weibsperson	w3289
gegen	w3290
ihn	w3291
auf	w3292
der	w3293
Strasse	w3294
herkommen	w3295
sah	w3296
<g/>
,
bey	w3298
deren	w3299
Er=blickung	w3300
<g/>
=
er	w3302
von	w3303
seinen	w3304
Pferden	w3305
abstieg	w3306
<g/>
,
mit	w3308
solchen	w3309
auf	w3310
der	w3311
Strasse	w3312
Halt	w3313
machte	w3314
<g/>
,
und	w3316
derselben	w3317
Ankunft	w3318
erwartete	w3319
<g/>
.
</p>
<p id="p56">
Als	w3321
diese	w3322
nun	w3323
sich	w3324
ihm	w3325
genähert	w3326
<g/>
,
ver=langte	w3328
<g/>
=
er	w3330
sogleich	w3331
von	w3332
ihr	w3333
sein	w3334
Vorhaben	w3335
mit	w3336
ihr	w3337
in	w3338
das	w3339
Werk	w3340
zu	w3341
setzen	w3342
<g/>
,
weil	w3344
sie	w3345
sich	w3346
aber	w3347
dessen	w3348
weigerte	w3349
<g/>
,
faßte	w3351
er	w3352
sie	w3353
bey	w3354
der	w3355
Mitte	w3356
des	w3357
Leibes	w3358
<g/>
,
trug	w3360
sie	w3361
in	w3362
einen	w3363
an	w3364
der	w3365
Strasse	w3366
linkerseits	w3367
gelege=nen	w3368
<g/>
=
Getraidacker	w3370
fünf	w3371
oder	w3372
sechs	w3373
Schritte	w3374
weit	w3375
hinein	w3376
<g/>
,
und	w3378
bemühete	w3379
sich	w3380
<g/>
,
allda	w3382
ihr	w3383
dasjenige	w3384
mit	w3385
Gewalt	w3386
abzunöthigen	w3387
<g/>
,
was	w3389
er	w3390
vorher	w3391
in	w3392
der	w3393
Güte	w3394
von	w3395
selber	w3396
zu	w3397
erhalten	w3398
nicht	w3399
vermochte	w3400
<g/>
;
allein	w3402
we=gen	w3403
<g/>
=
nach	w3405
ihren	w3406
Kräften	w3407
geleisteten	w3408
Wi=derstandes	w3409
<g/>
=
<g/>
,
konnte	w3412
er	w3413
ihrer	w3414
doch	w3415
nicht	w3416
Meister	w3417
werden	w3418
<g/>
,
und	w3420
zog	w3421
daher	w3422
ungeach=tet	w3423
<g/>
=
ihres	w3425
wehemüthigsten	w3426
Bittens	w3427
<g/>
,
und	w3429
sogar	w3430
angebotenen	w3431
Geldes	w3432
<g/>
,
zu	w3434
Folge	w3435
sei=nes	w3436
<g/>
=
Vorsatzes	w3438
<g/>
,
und	w3440
sohin	w3441
abgelegten	w3442
frey=müthigen	w3443
<g/>
=
Bekänntnises	w3445
<g/>
,
sein	w3447
bey	w3448
sich	w3449
in	w3450
den	w3451
Beinkleidern	w3452
gehabtes	w3453
Tischmesser	w3454
heraus	w3455
<g/>
,
mit	w3457
welchem	w3458
er	w3459
dieselbe	w3460
auf	w3461
eine	w3462
so	w3463
unmenschliche	w3464
<g/>
,
und	w3466
grausame	w3467
Art	w3468
verwundete	w3469
<g/>
,
daß	w3471
diese	w3472
schon	w3473
ziemlich	w3474
be=jahrte	w3475
<g/>
=
<g/>
,
und	w3478
ledige	w3479
Weibsperson	w3480
noch	w3481
des	w3482
nämlichen	w3483
Nachmittags	w3484
um	w3485
4	w3486
Uhr	w3487
schmer=zenvoll	w3488
<g/>
=
ihren	w3490
Geist	w3491
aufgeben	w3492
mußte	w3493
<g/>
,
und=sohin	w3495
<g/>
=
an	w3497
ihrem	w3498
todten	w3499
Körpers	w3500
bey	w3501
vor=genommener	w3502
<g/>
=
gerichtlichen	w3504
Beschau	w3505
<g/>
,
