<doc id="wr_1763-08-10" attrs="word" year="1763" month="08" day="10" corpus="2">
<head id="h2_d782e3112">
Elvas,	w1_d782e3116
und	w5_d782e6755
auf	w7_d782e6758
das	w9_d782e6761
Paket,	w11_d782e6764
zu	w13_d782e6768
Unsern	w1_d782e6774
eigenen	w3_d782e6777
Händen,	w5_d782e6780
schreiben.	w7_d782e6783
rc.	w9_d782e6786
</p>
<head id="h2_d782e6793">
Petersburg	w1_d782e6797
vom	w3_d782e6800
5.	w5_d782e6803
Julii.	w7_d782e6806
</head>
<p id="p4_d782e6809">
Die	w1_d782e6813
Kaiserin,	w3_d782e6816
unsere	w5_d782e6819
allertheureste	w7_d782e6822
Mo	w9_d782e6825
narchin,	w1_d782e6830
traf	w3_d782e6833
am	w5_d782e6836
verwichenen	w7_d782e6839
Donnerstag,	w9_d782e6842
den	w1_d782e6847
30.	w3_d782e6850
Junii,	w5_d782e6853
in	w7_d782e6856
höchstem	w9_d782e6859
Wolseyn,	w11_d782e6862
aus	w13_d782e6866
Moscau	w1_d782e6872
zu	w3_d782e6875
Czarsko=zelo	w5_d782e6878
ein.	w7_d782e6881
Heute	w9_d782e6884
wer	w11_d782e6887
den	w1_d782e6892
Jhre	w3_d782e6895
Kaiserl.	w5_d782e6898
Majest.	w7_d782e6901
sich	w9_d782e6904
auf	w11_d782e6907
ein	w13_d782e6911
paar	w15_d782e6914
Tage	w1_d782e6919
über	w3_d782e6922
Petershof	w5_d782e6925
nach	w7_d782e6928
Oranienbaum	w9_d782e6931
er	w11_d782e6934
heben,	w1_d782e6939
und	w3_d782e6942
alsdann	w5_d782e6945
wiederum	w7_d782e6948
nach	w9_d782e6951
Czarsko	w11_d782e6954
zelo	w1_d782e6960
zurückkehren.	w3_d782e6963
Der	w5_d782e6966
feyerliche	w7_d782e6969
Einzug	w9_d782e6972
in	w1_d782e6977
die	w3_d782e6980
hiesige	w5_d782e6983
Residenz	w7_d782e6986
wird	w9_d782e6989
den	w11_d782e6992
9.	w13_d782e6996
gegen	w15_d782e6999
Abend	w1_d782e7004
vor	w3_d782e7007
sich	w5_d782e7010
gehen,	w7_d782e7013
und	w9_d782e7016
sollen,	w11_d782e7019
wie	w13_d782e7023
die	w15_d782e7026
Rede	w1_d782e7031
gehet,	w3_d782e7034
Jhre	w5_d782e7037
Majest.	w7_d782e7040
denselben	w9_d782e7043
zu	w11_d782e7046
Pferde	w1_d782e7052
halten.	w3_d782e7055
</p>
<p id="p6_d782e7058">
Der	w1_d782e7062
Hr.	w3_d782e7065
Reichs=groß=canzler,	w5_d782e7068
Fürst	w7_d782e7071
von	w9_d782e7074
Gallitzin,	w1_d782e7079
wird	w3_d782e7082
aus	w5_d782e7085
Moscau	w7_d782e7088
erst	w9_d782e7091
nach	w11_d782e7094
eini	w13_d782e7098
gen	w1_d782e7103
Tagen	w3_d782e7106
ankommen.	w5_d782e7109
Uebermorgen	w7_d782e7112
wer	w9_d782e7115
den	w1_d782e7121
die	w3_d782e7124
Königl.	w5_d782e7127
Dänische	w7_d782e7130
und	w9_d782e7133
Spanische	w11_d782e7136
Mi	w13_d782e7140
nister,	w1_d782e7145
Hr.	w3_d782e7148
Graf	w5_d782e7151
von	w7_d782e7154
Haxhausen,	w9_d782e7157
und	w11_d782e7160
Hr.	w13_d782e7164
Marquis	w1_d782e7169
van	w3_d782e7172
Almodovar,	w5_d782e7175
sich	w7_d782e7178
bey	w9_d782e7181
Jherer	w11_d782e7184
Majest.	w1_d782e7189
der	w3_d782e7192
Kaiserin	w5_d782e7195
beurlauben;	w7_d782e7198
hingegen	w9_d782e7201
sollen	w1_d782e7207
noch	w3_d782e7210
nämlichen	w5_d782e7213
Tages	w7_d782e7216
ihre	w9_d782e7219
Nachfol	w11_d782e7222
ger	w1_d782e7227
der	w3_d782e7230
Freyherr	w5_d782e7233
von	w7_d782e7236
Osten	w9_d782e7239
und	w11_d782e7242
Vicomte	w13_d782e7246
von	w1_d782e7251
Herreria	w3_d782e7254
die	w5_d782e7257
erste	w7_d782e7260
Audienz	w9_d782e7263
erhalten,	w11_d782e7266
und	w13_d782e7270
Jhrer	w1_d782e7275
Majest.	w3_d782e7278
bey	w5_d782e7281
dieser	w7_d782e7284
Gelegenheit	w9_d782e7287
ihr	w11_d782e7290
Beglaubigungs=schreiben	w1_d782e7296
überreichen.	w3_d782e7299
Der	w5_d782e7302
Feld=marschall,	w1_d782e7307
Graf	w3_d782e7310
von	w5_d782e7313
Munich,	w7_d782e7316
soll,	w9_d782e7319
wie	w11_d782e7322
wir	w1_d782e7327
hören,	w3_d782e7330
sich	w5_d782e7333
nach	w7_d782e7336
seinem	w9_d782e7339
Land=gut	w11_d782e7342
bege	w13_d782e7346
ben,	w1_d782e7351
und,	w3_d782e7354
wie	w5_d782e7357
weiter	w7_d782e7360
gesagt	w9_d782e7363
wird,	w11_d782e7366
ein	w13_d782e7370
gan	w15_d782e7373
zes	w1_d782e7379
Jahr	w3_d782e7382
daselbst	w5_d782e7385
verbleiben.	w7_d782e7388
So	w9_d782e7391
viel	w11_d782e7394
ist	w13_d782e7398
gewiß,	w1_d782e7403
daß	w3_d782e7406
derselbe	w5_d782e7409
sein	w7_d782e7412
Hotel	w9_d782e7415
dem	w11_d782e7418
Frey	w13_d782e7422
herrn	w1_d782e7427
von	w3_d782e7430
Osten,	w5_d782e7433
zu	w7_d782e7436
1600.	w9_d782e7439
Rubeln	w11_d782e7442
jährlich	w13_d782e7446
vermietet	w1_d782e7451
hat.	w3_d782e7454
</p>
<p id="p8_d782e7457">
Dem	w1_d782e7461
Verlaut	w3_d782e7464
nach	w5_d782e7467
sollen	w7_d782e7470
die	w9_d782e7473
2.	w11_d782e7476
Bataillon	w13_d782e7480
Garden,	w1_d782e7485
die	w3_d782e7488
wegen	w5_d782e7491
der	w7_d782e7494
Crönung	w9_d782e7497
Jhrer	w11_d782e7500
Kaiserl.	w1_d782e7505
Majest.	w3_d782e7508
verflossents	w5_d782e7511
Jahr	w7_d782e7514
sich	w9_d782e7517
nach	w11_d782e7520
Moscau	w1_d782e7526
erhoben,	w3_d782e7529
noch	w5_d782e7532
einige	w7_d782e7535
Zeit	w9_d782e7538
allda	w11_d782e7541
ver	w13_d782e7545
bleiben;	w1_d782e7550
und	w3_d782e7553
demnach	w5_d782e7556
zu	w7_d782e7559
einem	w9_d782e7562
Corps	w11_d782e7565
von	w1_d782e7570
15.	w3_d782e7573
bis	w5_d782e7576
20000.	w7_d782e7579
Mann	w9_d782e7582
stossen,	w11_d782e7585
welches,	w13_d782e7589
</p>
<p id="p14_d782e7603">
wie	w1_d782e7607
man	w3_d782e7610
vorgiebt,	w5_d782e7613
zu	w7_d782e7616
Ende	w9_d782e7619
des	w11_d782e7622
Sommers,	w13_d782e7626
ein	w1_d782e7631
Lager	w3_d782e7634
in	w5_d782e7637
der	w7_d782e7640
Gegend	w9_d782e7643
von	w11_d782e7646
dieser	w13_d782e7650
Haupt	w15_d782e7653
stadt	w1_d782e7658
beziehen	w3_d782e7661
soll.	w5_d782e7664
</p>
<p id="p16_d782e7667">
Rehau	w1_d782e7671
im	w3_d782e7674
Vogtland	w5_d782e7677
22.	w7_d782e7680
Julii.	w9_d782e7683
Am	w1_d782e7688
14ten	w3_d782e7691
dieses	w5_d782e7694
Nachts	w7_d782e7697
gegen	w9_d782e7700
halb	w11_d782e7703
10	w13_d782e7707
Uhr,	w1_d782e7712
hat	w3_d782e7715
den	w5_d782e7718
hiesigen	w7_d782e7721
Ort	w9_d782e7724
das	w11_d782e7727
harte	w13_d782e7731
Schick	w15_d782e7734
sal	w1_d782e7740
betroffen,	w3_d782e7743
daß	w5_d782e7746
es	w7_d782e7749
bey	w9_d782e7752
einem	w11_d782e7755
schweren	w13_d782e7759
und	w1_d782e7764
fürchterlichen	w3_d782e7767
Donnerwetter	w5_d782e7770
in	w7_d782e7773
eine	w9_d782e7776
ohnweit	w1_d782e7781
der	w3_d782e7784
Kirche	w5_d782e7787
gelegene	w7_d782e7790
Scheune	w9_d782e7793
ein	w11_d782e7796
geschlagen	w1_d782e7801
hat,	w3_d782e7804
die	w5_d782e7807
man	w7_d782e7810
gleich	w9_d782e7813
in	w11_d782e7816
vollen	w13_d782e7820
Flammen	w1_d782e7826
sahe.	w3_d782e7829
Ein	w5_d782e7832
hierbey	w7_d782e7835
entstandenen	w9_d782e7838
Sturmwind	w1_d782e7843
verbreitete	w3_d782e7846
in	w5_d782e7849
wenig	w7_d782e7852
Minuten	w9_d782e7855
das	w1_d782e7860
Feuer	w3_d782e7863
dergestalt,	w5_d782e7866
daß	w7_d782e7869
alle	w9_d782e7872
Rettungs	w11_d782e7875
mittel	w1_d782e7880
vergeblich	w3_d782e7883
gewesen,	w5_d782e7886
und	w7_d782e7889
in	w9_d782e7892
6.	w11_d782e7895
bis	w13_d782e7899
7.	w1_d782e7905
Stunden	w3_d782e7908
83.	w5_d782e7911
bürgerliche	w7_d782e7914
Wohnhäuser	w9_d782e7917
nebst	w1_d782e7922
der	w3_d782e7925
Kirche,	w5_d782e7928
dem	w7_d782e7931
PfarrSchulRath	w9_d782e7934
und	w1_d782e7939
Bräu=hause	w3_d782e7942
in	w5_d782e7945
der	w7_d782e7948
Asche	w9_d782e7951
lagen.	w11_d782e7954
Die	w13_d782e7958
wenigsten	w1_d782e7963
Einwohner	w3_d782e7966
haben	w5_d782e7969
von	w7_d782e7972
ihren	w9_d782e7975
Hab	w11_d782e7978
seeligkeiten	w1_d782e7984
etwas	w3_d782e7987
retten	w5_d782e7990
können,	w7_d782e7993
auch	w9_d782e7996
ist	w11_d782e7999
die	w1_d782e8004
gesammte	w3_d782e8007
Amts	w5_d782e8010
und	w7_d782e8013
Rathsregistra	w9_d782e8016
tur	w1_d782e8021
dabey	w3_d782e8024
im	w5_d782e8027
Rauche	w7_d782e8030
aufgegangen.	w9_d782e8033
Ei	w11_d782e8036
nes	w1_d782e8041
Fleischhackers	w3_d782e8044
Wittwe	w5_d782e8047
und	w7_d782e8050
ein	w9_d782e8053
6jäh	w11_d782e8056
riges	w1_d782e8062
Kind	w3_d782e8065
haben	w5_d782e8068
das	w7_d782e8071
Unglück	w9_d782e8074
gehabt,	w11_d782e8077
in	w13_d782e8081
der	w1_d782e8086
Gluth	w3_d782e8089
ums	w5_d782e8092
Leben	w7_d782e8095
zu	w9_d782e8098
kommen,	w11_d782e8101
und	w13_d782e8105
sind	w15_d782e8108
vor	w1_d782e8113
etlichen	w3_d782e8116
Tagen	w5_d782e8119
aus	w7_d782e8122
dem	w9_d782e8125
Schutt	w11_d782e8128
hervor	w13_d782e8132
gezogen	w1_d782e8137
worden.	w3_d782e8140
Hiesiger	w5_d782e8143
Ort	w7_d782e8146
ist	w9_d782e8149
um	w11_d782e8152
so	w13_d782e8156
viel	w1_d782e8162
mehr	w3_d782e8165
zu	w5_d782e8168
bedauren,	w7_d782e8171
und	w9_d782e8174
Mittleidens	w11_d782e8177
werth,	w1_d782e8182
da	w3_d782e8185
solcher	w5_d782e8188
in	w7_d782e8191
den	w9_d782e8194
vorigen	w11_d782e8197
Kriegs	w13_d782e8201
troublen	w1_d782e8206
vieles	w3_d782e8209
ausgestanden,	w5_d782e8212
und	w7_d782e8215
seit	w9_d782e8218
et	w11_d782e8221
lichen	w1_d782e8226
Jahren	w3_d782e8229
her	w5_d782e8232
die	w7_d782e8235
Räude	w9_d782e8238
unter	w11_d782e8241
den	w13_d782e8245
Schaa	w15_d782e8248
fen	w1_d782e8254
und	w3_d782e8257
einen	w5_d782e8260
starken	w7_d782e8263
Horn=vieh=fall	w9_d782e8266
ge	w11_d782e8269
habt,	w1_d782e8274
erst	w3_d782e8277
vorm	w5_d782e8280
Jahre	w7_d782e8283
aber	w9_d782e8286
das	w11_d782e8289
meiste	w13_d782e8293
Korn	w1_d782e8298
erfrohren	w3_d782e8301
ist.	w5_d782e8304
Die	w7_d782e8307
nahe	w9_d782e8310
gelegene	w11_d782e8313
Haupt=stadt	w1_d782e8318
Hof	w3_d782e8321
hat	w5_d782e8324
sich	w7_d782e8327
bereits	w9_d782e8330
vorzüg	w11_d782e8333
lich	w1_d782e8339
mit	w3_d782e8342
Brod	w5_d782e8345
und	w7_d782e8348
anderer	w9_d782e8351
Victualienlie	w11_d782e8354
ferung	w1_d782e8359
mitleidig	w3_d782e8362
bezeiget,	w5_d782e8365
und	w7_d782e8368
andere	w9_d782e8371
nahe	w11_d782e8374
gelegene	w1_d782e8379
Aemter,	w3_d782e8382
auch	w5_d782e8385
einzelne	w7_d782e8388
Ortschaften	w9_d782e8391
haben	w1_d782e8396
ihrem	w3_d782e8399
Exempel	w5_d782e8402
rühmlichst	w7_d782e8405
nachge	w9_d782e8408
folget.	w1_d782e8414
</p>
<head id="h2_d782e8420">
Kurz	w1_d782e8424
gefaßte	w3_d782e8427
Nachrichten.	w5_d782e8430
</head>
<p id="p4_d782e8433">
Jn	w1_d782e8437
dem	w3_d782e8440
öffentlichen	w5_d782e8443
Getraids	w7_d782e8446
und	w9_d782e8449
Vor	w11_d782e8452
raths=hause	w1_d782e8457
zu	w3_d782e8460
Rom,	w5_d782e8463
so	w7_d782e8466
mitten	w9_d782e8469
in	w11_d782e8472
der	w13_d782e8476
Stadt	w1_d782e8481
liegt,	w3_d782e8484
und	w5_d782e8487
wo	w7_d782e8490
zu	w9_d782e8493
alten	w11_d782e8496
Zeiten	w13_d782e8500
die	w15_d782e8503
</p>
<p id="p6_d782e8506">
Diocletianische	w1_d782e8510
warme	w3_d782e8513
Bäder	w5_d782e8516
waren,	w7_d782e8519
brach	w9_d782e8522
am	w1_d782e8527
13.	w3_d782e8530
Julii	w5_d782e8533
Feuer	w7_d782e8536
aus.	w9_d782e8539
Die	w11_d782e8542
Brunst	w13_d782e8546
war	w1_d782e8551
am	w3_d782e8554
16.	w5_d782e8557
Morgens	w7_d782e8560
noch	w9_d782e8563
nicht	w11_d782e8566
gedäm	w13_d782e8570
pfet.	w1_d782e8576
Die	w3_d782e8579
sich	w5_d782e8582
äusserende	w7_d782e8585
Gefahr	w9_d782e8588
war	w11_d782e8591
groß,	w13_d782e8595
und	w1_d782e8600
der	w3_d782e8603
daher	w5_d782e8606
entstandene	w7_d782e8609
Verlust	w9_d782e8612
ist	w11_d782e8615
sehr	w13_d782e8619
be	w15_d782e8622
trächtlich.	w1_d782e8627
</p>
<p id="p8_d782e8630">
Zu	w1_d782e8634
Paris	w3_d782e8637
bemerkte	w5_d782e8640
man	w7_d782e8643
den	w9_d782e8646
17.	w11_d782e8649
Julii	w13_d782e8653
gegen	w1_d782e8658
9.	w3_d782e8661
Uhr	w5_d782e8664
Abends	w7_d782e8667
nach	w9_d782e8670
Süd=Osten,	w11_d782e8673
15.	w13_d782e8677
bis	w1_d782e8682
20.	w3_d782e8685
Grad	w5_d782e8688
ober	w7_d782e8691
dem	w9_d782e8694
Horizont	w11_d782e8697
ein	w13_d782e8701
schim	w15_d782e8704
merendes	w1_d782e8710
Luft=zeichen,	w3_d782e8713
welches	w5_d782e8716
mit	w7_d782e8719
einer	w9_d782e8722
un	w11_d782e8725
gemeinen	w1_d782e8730
Geschwindigkeit	w3_d782e8733
die	w5_d782e8736
Luft	w7_d782e8739
durch	w9_d782e8742
streichete.	w1_d782e8747
Einige	w3_d782e8750
wollen	w5_d782e8753
dieses	w7_d782e8756
Phoenome	w9_d782e8759
non	w1_d782e8764
für	w3_d782e8767
einen	w5_d782e8770
Comet=stern	w7_d782e8773
halten,	w9_d782e8776
weilen	w11_d782e8779
man	w1_d782e8785
es	w3_d782e8788
bereits	w5_d782e8791
schon	w7_d782e8794
einige	w9_d782e8797
Tage	w11_d782e8800
vorhero	w13_d782e8804
beobachtet	w1_d782e8809
hatte.	w3_d782e8812
</p>
<p id="p10_d782e8815">
Der	w1_d782e8819
Wallfisch=fang	w3_d782e8822
hat	w5_d782e8825
dieses	w7_d782e8828
Jahr,	w9_d782e8831
we	w11_d782e8834
gen	w1_d782e8839
des	w3_d782e8842
stürmischen	w5_d782e8845
Wetters,	w7_d782e8848
für	w9_d782e8851
einige	w11_d782e8854
Entrepreneurs	w1_d782e8859
in	w3_d782e8862
Hamburg,	w5_d782e8865
den	w7_d782e8868
glücklich	w9_d782e8871
sten	w1_d782e8877
Erfolg	w3_d782e8880
gehabt.	w5_d782e8883
Von	w7_d782e8886
den	w9_d782e8889
nach	w11_d782e8892
Groen	w13_d782e8896
land	w1_d782e8901
abgefahrnen	w3_d782e8904
Schiffen	w5_d782e8907
sind	w7_d782e8910
drey	w9_d782e8913
wieder	w11_d782e8916
angelanget,	w1_d782e8921
und	w3_d782e8924
hat	w5_d782e8927
das	w7_d782e8930
erste	w9_d782e8933
12.	w11_d782e8936
Wallfi	w13_d782e8940
sche,	w1_d782e8945
das	w3_d782e8948
zweyte	w5_d782e8951
9.	w7_d782e8954
und	w9_d782e8957
das	w11_d782e8960
dritte	w13_d782e8964
6.	w15_d782e8967
geladen.	w17_d782e8970
</p>
<p id="p12_d782e8974">
Jn	w1_d782e8978
Sachsen	w3_d782e8981
hat	w5_d782e8984
ein	w7_d782e8987
Patriot	w9_d782e8990
demjenigen	w11_d782e8993
Papiermacher	w1_d782e8998
eine	w3_d782e9001
Belohnung	w5_d782e9004
von	w7_d782e9007
10.	w9_d782e9010
Rthlrn	w1_d782e9015
ausgelobet,	w3_d782e9018
welcher	w5_d782e9021
binnen	w7_d782e9024
hier	w9_d782e9027
und	w11_d782e9030
dem	w1_d782e9036
Montag	w3_d782e9039
der	w5_d782e9042
zweyten	w7_d782e9045
Woche	w9_d782e9048
der	w11_d782e9051
nächst	w13_d782e9055
kommenden	w1_d782e9060
Leipziger	w3_d782e9063
Michaelis=messe	w5_d782e9066
das	w7_d782e9069
erste	w1_d782e9074
und	w3_d782e9077
beste	w5_d782e9080
Rieß	w7_d782e9083
Papier	w9_d782e9086
abgeben	w11_d782e9089
wird,	w13_d782e9093
so	w1_d782e9098
von	w3_d782e9101
Bast	w5_d782e9104
der	w7_d782e9107
Maulbeer=bäume	w9_d782e9110
oder	w11_d782e9113
Wei	w13_d782e9117
den,	w1_d782e9123
aus	w3_d782e9126
Brenn=nesseln	w5_d782e9129
oder	w7_d782e9132
Hopfenranken,	w9_d782e9135
oder	w1_d782e9140
aus	w3_d782e9143
einem	w5_d782e9146
andern	w7_d782e9149
zu	w9_d782e9152
dergleichen	w11_d782e9155
Arbei	w13_d782e9159
ten	w1_d782e9164
noch	w3_d782e9167
unbekannten	w5_d782e9170
Gewächse,	w7_d782e9173
statt	w9_d782e9176
der	w11_d782e9179
Lumpen,	w1_d782e9184
wird	w3_d782e9187
verfertigt	w5_d782e9190
seyn.	w7_d782e9193
</p>
<p id="p14_d782e9196">
Nicht	w1_d782e9200
allein	w3_d782e9203
in	w5_d782e9206
Europa	w7_d782e9209
haben	w9_d782e9212
der	w11_d782e9215
Zeit	w13_d782e9219
die	w1_d782e9224
Erdbeben	w3_d782e9227
und	w5_d782e9230
Wolkenbrüche	w7_d782e9233
grosses	w9_d782e9236
Un	w11_d782e9239
glück	w1_d782e9244
angerichtet,	w3_d782e9247
sondern	w5_d782e9250
auch	w7_d782e9253
aus	w9_d782e9256
Ost	w11_d782e9259
Jndien	w1_d782e9265
gehen	w3_d782e9268
davon	w5_d782e9271
die	w7_d782e9274
kläglichsten	w9_d782e9277
Berichte	w11_d782e9280
ein;	w1_d782e9285
in	w3_d782e9288
Zeit	w5_d782e9291
von	w7_d782e9294
18.	w9_d782e9297
Tagen,	w11_d782e9300
nemlich	w13_d782e9304
vom	w15_d782e9307
2.	w1_d782e9312
bis	w3_d782e9315
19.	w5_d782e9318
Aprill	w7_d782e9321
sind	w9_d782e9324
im	w11_d782e9327
Königreich	w13_d782e9331
Ben	w15_d782e9334
gala	w1_d782e9339
an	w3_d782e9342
unterschiedenen	w5_d782e9345
Orten	w7_d782e9348
viele	w9_d782e9351
Meilen	w11_d782e9354
Landes	w1_d782e9360
versuncken,	w3_d782e9363
Hügel	w5_d782e9366
und	w7_d782e9369
Berge	w9_d782e9372
gebor	w11_d782e9375
sten,	w1_d782e9380
und	w3_d782e9383
theils	w5_d782e9386
der	w7_d782e9389
Ebene	w9_d782e9392
gleich	w11_d782e9395
geworden.	w13_d782e9399
</p>
<p id="p20_d782e9412">
An	w1_d782e9416
einem	w3_d782e9419
Ort	w5_d782e9422
stürzten	w7_d782e9425
die	w9_d782e9428
Häuser	w11_d782e9431
und	w13_d782e9435
Mau	w15_d782e9438
ren	w1_d782e9443
ein,	w3_d782e9446
und	w5_d782e9449
bedeckten	w7_d782e9452
die	w9_d782e9455
Menschen;	w11_d782e9458
an	w13_d782e9462
ei	w15_d782e9465
nem	w1_d782e9470
andern	w3_d782e9473
machte	w5_d782e9476
die	w7_d782e9479
Erde	w9_d782e9482
10.	w11_d782e9485
bis	w13_d782e9489
12.	w15_d782e9492
Ehlen	w1_d782e9498
weite	w3_d782e9501
Oefnungen,	w5_d782e9504
daraus	w7_d782e9507
ein	w9_d782e9510
schwef	w11_d782e9513
liches	w1_d782e9518
Wasser	w3_d782e9521
Strom=weise	w5_d782e9524
quolle	w7_d782e9527
und	w9_d782e9530
Stadt	w11_d782e9533
und	w1_d782e9538
Land	w3_d782e9541
bey	w5_d782e9544
7.	w7_d782e9547
Ehlen	w9_d782e9550
tief	w11_d782e9553
unter	w13_d782e9557
Wasser	w15_d782e9560
setzte;	w1_d782e9565
die	w3_d782e9568
Zahl	w5_d782e9571
der	w7_d782e9574
umgekommenen,	w9_d782e9577
und	w11_d782e9580
be	w13_d782e9584
schädigten	w1_d782e9590
Menschen	w3_d782e9593
ist	w5_d782e9596
nicht	w7_d782e9599
zu	w9_d782e9602
bestimmen,	w11_d782e9605
und	w1_d782e9610
das	w3_d782e9613
durch	w5_d782e9616
diese	w7_d782e9619
Erdbeben	w9_d782e9622
in	w11_d782e9625
diesen	w13_d782e9629
weit	w15_d782e9632
läuftigen	w1_d782e9637
Landen	w3_d782e9640
angerichtete	w5_d782e9643
Elend	w7_d782e9646
nicht	w9_d782e9649
ge	w11_d782e9652
nug	w1_d782e9657
zu	w3_d782e9660
beschreiben.	w5_d782e9663
</p>
<head id="h2_d782e9669">
Wien	w1_d782e9673
den	w3_d782e9676
10.	w5_d782e9679
Augusti	w7_d782e9682
1763.	w9_d782e9685
</head>
<p id="p4_d782e9688">
dontags	w1_d782e9692
den	w3_d782e9695
8ten	w5_d782e9698
Augusti	w7_d782e9701
seynd	w9_d782e9704
in	w11_d782e9707
der	w13_d782e9711
M	w1_d782e9716
Hof=kapelle	w3_d782e9719
für	w5_d782e9722
nachfolgende	w7_d782e9725
Hoch	w9_d782e9728
adeliche	w1_d782e9733
Stern=kreutz=ordens=damen,	w3_d782e9736
als	w5_d782e9739
für	w1_d782e9745
die	w3_d782e9748
(Titl.)	w5_d782e9751
Frau	w7_d782e9754
Maria	w9_d782e9757
Anna	w11_d782e9760
Fräule	w13_d782e9764
Gräfin	w1_d782e9769
von	w3_d782e9772
Königl,	w5_d782e9775
gewesene	w7_d782e9778
Königl.	w9_d782e9781
Pohl	w11_d782e9784
nische	w1_d782e9789
und	w3_d782e9792
Chur=sächsische	w5_d782e9795
Hofdame,	w7_d782e9798
wel	w9_d782e9801
che	w1_d782e9806
zu	w3_d782e9809
Jnspruck,	w5_d782e9812
dann	w7_d782e9815
für	w9_d782e9818
die	w11_d782e9821
(Titl.)	w13_d782e9825
Frau	w15_d782e9828
Anna	w1_d782e9834
Gräfen	w3_d782e9837
Rzevuska,	w5_d782e9840
Palatinin	w7_d782e9843
von	w9_d782e9846
Podolien,	w1_d782e9851
geb.	w3_d782e9854
Fürstin	w5_d782e9857
Lubomirska,	w7_d782e9860
so	w9_d782e9863
zu	w1_d782e9868
Warschau	w3_d782e9871
dies	w5_d782e9874
laufenden	w7_d782e9877
Jahrs	w9_d782e9880
in	w11_d782e9883
GOtt	w13_d782e9887
seelig	w1_d782e9892
verschieden,	w3_d782e9895
die	w5_d782e9898
Exequien	w7_d782e9901
gehaleen	w9_d782e9904
worden.	w1_d782e9910
</p>
<p id="p6_d782e9913">
Se.	w1_d782e9917
Majestät	w3_d782e9920
der	w5_d782e9923
Kaiser	w7_d782e9926
haben	w9_d782e9929
den	w11_d782e9932
(Titl.)	w1_d782e9937
Herrn	w3_d782e9940
Grafen	w5_d782e9943
von	w7_d782e9946
Schlick,	w9_d782e9949
Kais.	w11_d782e9952
Kön.	w1_d782e9957
Kämmerer	w3_d782e9960
und	w5_d782e9963
geheimen	w7_d782e9966
Rath,	w9_d782e9969
zum	w11_d782e9972
Kaiserl.	w1_d782e9978
gevollmächtigten	w3_d782e9981
Commissarium	w5_d782e9984
bey	w7_d782e9987
der	w1_d782e9992
auf	w3_d782e9995
den	w5_d782e9998
1sten	w7_d782e10001
künftigen	w9_d782e10004
Monats	w11_d782e10007
be	w13_d782e10011
vorstehenden	w1_d782e10016
Wahl	w3_d782e10019
eines	w5_d782e10022
neuen	w7_d782e10025
Bischofen	w9_d782e10028
und	w1_d782e10033
Fürsten	w3_d782e10036
zu	w5_d782e10039
Passau,	w7_d782e10042
allergnädigst	w9_d782e10045
zu	w11_d782e10048
ernennen	w1_d782e10054
geruhet;	w3_d782e10057
welcher	w5_d782e10060
auch	w7_d782e10063
von	w9_d782e10066
Seite	w11_d782e10069
Jhrer	w1_d782e10074
Majestät	w3_d782e10077
der	w5_d782e10080
Kaiserin	w7_d782e10083
Königin,	w9_d782e10086
als	w11_d782e10089
Erzherzogin	w1_d782e10094
zu	w3_d782e10097
Oesterreich,	w5_d782e10100
nebst	w7_d782e10103
dem	w9_d782e10106
heute	w11_d782e10109
fruh	w1_d782e10114
dahin	w3_d782e10117
abgegangenen	w5_d782e10120
Freyherrn	w7_d782e10123
von	w9_d782e10126
Collenbach,	w1_d782e10132
Kais.	w3_d782e10135
Kön.	w5_d782e10138
Hofrath	w7_d782e10141
bey	w9_d782e10144
de	w11_d782e10147
|	w13_d782e10151
|	w15_d782e10154
geheimen	w1_d782e10159
Staats=canzley,	w3_d782e10162
besagter	w5_d782e10165
Wahl	w7_d782e10168
beywohnen	w1_d782e10173
wird.	w3_d782e10176
</p>
<p id="p8_d782e10179">
Den	w1_d782e10183
4ten	w3_d782e10186
dies	w5_d782e10189
ist	w7_d782e10192
allhier	w9_d782e10195
die	w11_d782e10198
Ziehung	w13_d782e10202
der	w1_d782e10207
Lotterie	w3_d782e10210
geschehen,	w5_d782e10213
und	w7_d782e10216
sind	w9_d782e10219
die	w11_d782e10222
Nri.	w13_d782e10226
29.	w1_d782e10231
12.	w3_d782e10234
39.	w5_d782e10237
26.	w7_d782e10240
und	w9_d782e10243
77.	w11_d782e10246
mit	w13_d782e10250
verschiede	w15_d782e10253
nen	w1_d782e10259
nahmhaften	w3_d782e10262
Ambi,	w5_d782e10265
Terni	w7_d782e10268
und	w9_d782e10271
Estrattt	w11_d782e10274
</p>
<p id="p10_d782e10277">
gehoben	w1_d782e10281
worden;	w3_d782e10284
wie	w5_d782e10287
dann	w7_d782e10290
bey	w9_d782e10293
dem	w11_d782e10296
Haus	w13_d782e10300
collector	w1_d782e10305
Hrn.	w3_d782e10308
Antonio	w5_d782e10311
Baldini	w7_d782e10314
ein	w9_d782e10317
Qua	w11_d782e10320
terno,	w1_d782e10325
bey	w3_d782e10328
dem	w5_d782e10331
sub	w7_d782e10334
Nro.	w9_d782e10337
14.	w11_d782e10340
Hrn.	w13_d782e10344
Tha	w15_d782e10347
deus	w1_d782e10353
Aichinger	w3_d782e10356
ein	w5_d782e10359
Terno	w7_d782e10362
mit	w9_d782e10365
100.	w11_d782e10368
Duca	w13_d782e10372
ten,	w1_d782e10377
dann	w3_d782e10380
