<doc id="wr_1761-03-14" attrs="word" year="1761" month="03" day="14" corpus="2">
<head id="h2_d535e2483">
Barcellona	w1_d535e2487
Dörfer	w9_d535e6138
Roten=dietmoll,	w11_d535e6141
Kirch	w13_d535e6145
dietmoll,	w1_d535e6150
und	w3_d535e6153
Wallershausen	w5_d535e6156
bis	w7_d535e6159
an	w9_d535e6162
die	w11_d535e6165
Ca	w13_d535e6169
scade	w1_d535e6175
aus,	w3_d535e6178
von	w5_d535e6181
wannen	w7_d535e6184
ein	w9_d535e6187
Corps	w11_d535e6190
Jäger	w13_d535e6194
bey	w1_d535e6199
dem	w3_d535e6202
Weissenstein	w5_d535e6205
sich	w7_d535e6208
festsetzte,	w9_d535e6211
und	w11_d535e6214
allda	w13_d535e6218
übernachtete.	w1_d535e6223
Während	w3_d535e6226
diesem	w5_d535e6229
Marsche	w7_d535e6232
von	w9_d535e6235
Corbach	w1_d535e6240
vorwärts,	w3_d535e6243
sonderte	w5_d535e6246
der	w7_d535e6249
Herr	w9_d535e6252
Erb	w11_d535e6255
prinz	w1_d535e6261
einen	w3_d535e6264
Theil	w5_d535e6267
von	w7_d535e6270
seinem	w9_d535e6273
Corps	w11_d535e6276
ab,	w13_d535e6280
und	w15_d535e6283
liesse	w1_d535e6288
solches	w3_d535e6291
gegen	w5_d535e6294
Marburg	w7_d535e6297
vormarschieren,	w9_d535e6300
er	w1_d535e6305
aber	w3_d535e6308
für	w5_d535e6311
seine	w7_d535e6314
Person	w9_d535e6317
mit	w11_d535e6320
einer	w13_d535e6324
beträcht	w15_d535e6327
lichen	w1_d535e6332
Avant=garde	w3_d535e6335
gieng	w5_d535e6338
gegen	w7_d535e6341
Fritzlar,	w9_d535e6344
und	w1_d535e6350
machte	w3_d535e6353
den	w5_d535e6356
nämlichen	w7_d535e6359
Tag	w9_d535e6362
den	w11_d535e6365
12ten,	w13_d535e6369
gleich	w1_d535e6374
nach	w3_d535e6377
seiner	w5_d535e6380
Ankunft	w7_d535e6383
zu	w9_d535e6386
dem	w11_d535e6389
Angrif	w13_d535e6393
die	w15_d535e6396
nöhtige	w1_d535e6401
Vorkehrungen.	w3_d535e6404
Der	w5_d535e6407
Herr	w7_d535e6410
Vicomte	w9_d535e6413
von	w1_d535e6418
Narbonne,	w3_d535e6421
welcher	w5_d535e6424
in	w7_d535e6427
dieser	w9_d535e6430
ganz	w11_d535e6433
allei	w13_d535e6437
ne	w1_d535e6443
mit	w3_d535e6446
einer	w5_d535e6449
alten	w7_d535e6452
Mauer	w9_d535e6455
eingeschlossenen	w11_d535e6458
Stadt	w1_d535e6463
ohne	w3_d535e6466
Wällen	w5_d535e6469
und	w7_d535e6472
Gräben	w9_d535e6475
sich	w11_d535e6478
befan	w13_d535e6482
de,	w1_d535e6487
und	w3_d535e6490
nur	w5_d535e6493
das	w7_d535e6496
erste	w9_d535e6499
Bataillon	w11_d535e6502
von	w13_d535e6506
seinem	w15_d535e6509
Regiment	w1_d535e6514
deren	w3_d535e6517
Grenadiers	w5_d535e6520
Royaux,	w7_d535e6523
wo	w9_d535e6526
von	w1_d535e6532
er	w3_d535e6535
aus	w5_d535e6538
Mangel	w7_d535e6541
des	w9_d535e6544
Platzes	w11_d535e6547
nicht	w13_d535e6551
ein	w15_d535e6554
mal	w1_d535e6559
die	w3_d535e6562
Canonen	w5_d535e6565
brauchen	w7_d535e6568
konnte,	w9_d535e6571
sodann	w11_d535e6574
Piquets	w1_d535e6579
von	w3_d535e6582
7.	w5_d535e6585
Jrrländischen	w7_d535e6588
Regimentern	w9_d535e6591
bey	w1_d535e6596
sich	w3_d535e6599
hatte,	w5_d535e6602
verweigerte	w7_d535e6605
die	w9_d535e6608
ihme	w11_d535e6611
aner	w13_d535e6615
botene	w1_d535e6621
honorable	w3_d535e6624
Capitulation	w5_d535e6627
anzunehmen,	w7_d535e6630
und	w1_d535e6635
beantwortete	w3_d535e6638
den	w5_d535e6641
feindlichen	w7_d535e6644
Angrif	w9_d535e6647
mit	w11_d535e6650
so	w1_d535e6655
vieler	w3_d535e6658
Lebhaftigkeit,	w5_d535e6661
daß	w7_d535e6664
der	w9_d535e6667
Herr	w11_d535e6670
Erb	w13_d535e6674
Prinz	w1_d535e6679
nach	w3_d535e6682
einem	w5_d535e6685
Verlust	w7_d535e6688
von	w9_d535e6691
beynahe	w11_d535e6694
200.	w13_d535e6698
Todten,	w1_d535e6704
so	w3_d535e6707
auf	w5_d535e6710
dem	w7_d535e6713
Platz	w9_d535e6716
geblieben,	w11_d535e6719
nebst	w13_d535e6723
verschiedenen	w1_d535e6728
Officiers,	w3_d535e6731
woraus	w5_d535e6734
eine	w7_d535e6737
noch	w9_d535e6740
weit	w1_d535e6745
ger.	w3_d535e6748
össere	w1_d535e6753
Anzahl	w3_d535e6756
von	w5_d535e6759
Verwundeten	w7_d535e6762
sich	w9_d535e6765
abnehmen	w1_d535e6771
lässet,	w3_d535e6774
die	w5_d535e6777
Trupen	w7_d535e6780
zuruck	w9_d535e6783
zoge,	w11_d535e6786
2.	w13_d535e6790
6.=pfündige	w1_d535e6795
Canonen	w3_d535e6798
preis	w5_d535e6801
gabe,	w7_d535e6804
und	w9_d535e6807
in	w11_d535e6810
denen	w1_d535e6815
Dorfschaften	w3_d535e6818
von	w5_d535e6821
Zusken	w7_d535e6824
bis	w9_d535e6827
Gunders	w11_d535e6830
berg,	w1_d535e6835
welches	w3_d535e6838
durch	w5_d535e6841
ein	w7_d535e6844
Detaschement	w9_d535e6847
von	w11_d535e6850
un	w1_d535e6856
</p>
<p id="p10_d535e6861">
ungefähr	w1_d535e6865
100.	w3_d535e6868
Mann	w5_d535e6871
deren	w7_d535e6874
Unserigen	w9_d535e6877
noch	w11_d535e6880
besetzet	w1_d535e6885
ware,	w3_d535e6888
continuiren	w5_d535e6891
liesse.	w7_d535e6894
Den	w9_d535e6897
13.	w11_d535e6900
brachte	w1_d535e6905
man	w3_d535e6908
in	w5_d535e6911
Erfahrung,	w7_d535e6914
daß	w9_d535e6917
der	w11_d535e6920
Herr	w13_d535e6924
Erb=prinz,	w1_d535e6930
welcher	w3_d535e6933
durch	w5_d535e6936
einen	w7_d535e6939
Theil	w9_d535e6942
von	w11_d535e6945
denen	w1_d535e6950
über	w3_d535e6953
die	w5_d535e6956
Dymel	w7_d535e6959
mit	w9_d535e6962
dem	w11_d535e6965
Prinzen	w13_d535e6969
Fer	w15_d535e6972
dinand	w1_d535e6977
gegangenen	w3_d535e6980
Trupen	w5_d535e6983
verstärket	w7_d535e6986
wur	w9_d535e6989
de,	w1_d535e6994
aufs	w3_d535e6997
neue	w5_d535e7000
Fritzlat	w7_d535e7003
mit	w9_d535e7006
Canonen	w11_d535e7009
von	w13_d535e7013
grö	w15_d535e7016
beren	w1_d535e7022
Calibre	w3_d535e7025
angreiffen	w5_d535e7028
liesse.	w7_d535e7031
Gleich	w9_d535e7034
nach	w11_d535e7037
den	w1_d535e7042
letzteren	w3_d535e7045
Nachrichten,	w5_d535e7048
so	w7_d535e7051
von	w9_d535e7054
den	w11_d535e7057
Bewe	w13_d535e7061
gungen	w1_d535e7066
deren	w3_d535e7069
Feinden	w5_d535e7072
bey	w7_d535e7075
dem	w9_d535e7078
Herrn	w11_d535e7081
Mar	w13_d535e7085
schall	w1_d535e7090
einlieffen,	w3_d535e7093
ergiengen	w5_d535e7096
an	w7_d535e7099
die	w9_d535e7102
Stabs	w11_d535e7105
officiers	w1_d535e7111
von	w3_d535e7114
Marburg	w5_d535e7117
Befehle:	w7_d535e7120
verschiede	w9_d535e7123
ne	w1_d535e7128
Kriegs=schaaren	w3_d535e7131
sowol	w5_d535e7134
von	w7_d535e7137
der	w9_d535e7140
Besatzung	w11_d535e7143
zu	w1_d535e7148
Giessen,	w3_d535e7151
als	w5_d535e7154
aus	w7_d535e7157
denen	w9_d535e7160
dortigen	w11_d535e7163
Gegen	w13_d535e7167
den	w1_d535e7172
dahin	w3_d535e7175
vorrucken	w5_d535e7178
zu	w7_d535e7181
lassen.	w9_d535e7184
Ebenfalls	w11_d535e7187
wurde	w1_d535e7193
dem	w3_d535e7196
Herrn	w5_d535e7199
Commandanten	w7_d535e7202
zu	w9_d535e7205
Mar	w11_d535e7208
burg	w1_d535e7213
Marquis	w3_d535e7216
von	w5_d535e7219
Rouge	w7_d535e7222
die	w9_d535e7225
Ordnung	w11_d535e7228
und	w13_d535e7232
der	w1_d535e7237
Betrag	w3_d535e7240
vorgeschrieben,	w5_d535e7243
welche	w7_d535e7246
er	w9_d535e7249
in	w11_d535e7252
Ver	w13_d535e7256
einigung	w1_d535e7261
des	w3_d535e7264
erwarteten	w5_d535e7267
Succurses,	w7_d535e7270
nicht	w9_d535e7273
minder	w1_d535e7279
in	w3_d535e7282
Vertheidigung	w5_d535e7285
von	w7_d535e7288
diesem	w9_d535e7291
Platz,	w11_d535e7294
zu	w1_d535e7299
beobachten	w3_d535e7302
hatte.	w5_d535e7305
Während	w7_d535e7308
diesen	w9_d535e7311
Bewe	w11_d535e7314
gungen,	w1_d535e7319
welche	w3_d535e7322
die	w5_d535e7325
Feinde	w7_d535e7328
auf	w9_d535e7331
unseren	w11_d535e7334
lin	w13_d535e7338
ken	w1_d535e7343
Flügel,	w3_d535e7346
und	w5_d535e7349
gegen	w7_d535e7352
Cussel	w9_d535e7355
machten,	w11_d535e7358
ver	w13_d535e7362
nahme	w1_d535e7368
man:	w3_d535e7371
daß	w5_d535e7374
ein	w7_d535e7377
ansehnliches	w9_d535e7380
Corps	w11_d535e7383
deren	w1_d535e7388
Alliirten	w3_d535e7391
auf	w5_d535e7394
unseren	w7_d535e7397
rechten	w9_d535e7400
Flügel	w11_d535e7403
gegen	w1_d535e7408
Mühlhausen	w3_d535e7411
anmarschierte;	w5_d535e7414
dieser	w7_d535e7417
Posten	w1_d535e7422
ware	w3_d535e7425
seit	w5_d535e7428
kurtzen	w7_d535e7431
durch	w9_d535e7434
das	w11_d535e7437
Regiment	w13_d535e7441
Champagne	w1_d535e7447
besetzet.	w3_d535e7450
Gleichwie	w5_d535e7453
an	w7_d535e7456
dessen	w9_d535e7459
Erhaltung,	w1_d535e7464
so	w3_d535e7467
viel	w5_d535e7470
als	w7_d535e7473
ohne	w9_d535e7476
Schaden	w11_d535e7479
möglich	w13_d535e7483
ungemein	w1_d535e7488
vieles	w3_d535e7491
gelegen	w5_d535e7494
ware;	w7_d535e7497
so	w9_d535e7500
empfien	w11_d535e7503
ge	w1_d535e7508
der	w3_d535e7511
in	w5_d535e7514
Eschwege	w7_d535e7517
befindliche	w9_d535e7520
Herr	w11_d535e7523
Mar	w13_d535e7527
quis	w1_d535e7533
von	w3_d535e7536
St.	w5_d535e7539
Pern,	w7_d535e7542
welcher	w9_d535e7545
an	w11_d535e7548
der	w13_d535e7552
Werra	w15_d535e7555
commandirte,	w1_d535e7560
den	w3_d535e7563
Auftrag:	w5_d535e7566
sich	w7_d535e7569
vorwärts	w9_d535e7572
zu	w1_d535e7577
ziehen,	w3_d535e7580
um	w5_d535e7583
denen	w7_d535e7586
Unternehmungen	w9_d535e7589
deren	w11_d535e7592
Feinden	w1_d535e7597
Einhalt	w3_d535e7600
zu	w5_d535e7603
thun.	w7_d535e7606
Jn	w9_d535e7609
dessen	w11_d535e7612
Gefol	w13_d535e7616
ge	w1_d535e7622
ruckte	w3_d535e7625
den	w5_d535e7628
12.	w7_d535e7631
der	w9_d535e7634
Herr	w11_d535e7637
Marquis	w13_d535e7641
von	w15_d535e7644
St	w17_d535e7647
Pern	w1_d535e7652
mit	w3_d535e7655
dem	w5_d535e7658
Regiment	w7_d535e7661
Piccardie,	w9_d535e7664
und	w11_d535e7667
dem	w13_d535e7671
Corps	w1_d535e7676
von	w3_d535e7679
den	w5_d535e7682
Grenadiers	w7_d535e7685
de	w9_d535e7688
France	w11_d535e7691
bis	w13_d535e7695
Eycheröden,	w1_d535e7700
und	w3_d535e7703
traf	w5_d535e7706
allda	w7_d535e7709
jenes	w9_d535e7712
von	w11_d535e7715
der	w13_d535e7719
alliirten	w1_d535e7725
Armee	w3_d535e7728
in	w5_d535e7731
Schlacht=ordnung	w7_d535e7734
an;	w9_d535e7737
ein	w1_d535e7742
gleiches	w3_d535e7745
geschahe	w5_d535e7748
von	w7_d535e7751
ermeldtem	w9_d535e7754
Herrn	w11_d535e7757
Marquis	w1_d535e7762
von	w3_d535e7765
St.	w5_d535e7768
Pern.	w7_d535e7771
Da	w9_d535e7774
er	w11_d535e7777
aber	w13_d535e7781
ohne	w15_d535e7784
Reuterey	w1_d535e7789
war,	w3_d535e7792
so	w5_d535e7795
konte	w7_d535e7798
er	w9_d535e7801
sich	w11_d535e7804
in	w13_d535e7808
einem	w15_d535e7811
Lan	w17_d535e7814
</p>
<p id="p12_d535e7818">
de,	w1_d535e7822
welches	w3_d535e7825
Cavallerie	w5_d535e7828
erforderte,	w7_d535e7831
nicht	w9_d535e7834
wol	w11_d535e7837
ausbreiten.	w1_d535e7842
Jm	w3_d535e7845
Gegentheil	w5_d535e7848
fande	w7_d535e7851
auch	w9_d535e7854
der	w11_d535e7857
Feind	w1_d535e7862
nicht	w3_d535e7865
für	w5_d535e7868
rahtsam,	w7_d535e7871
ihn	w9_d535e7874
in	w11_d535e7877
seiner	w13_d535e7881
Stel	w15_d535e7884
lung	w1_d535e7890
anzugreiffen,	w3_d535e7893
man	w5_d535e7896
begnügte	w7_d535e7899
sich	w9_d535e7902
viel	w11_d535e7905
mehr	w1_d535e7910
von	w3_d535e7913
beyden	w5_d535e7916
Seiten	w7_d535e7919
mit	w9_d535e7922
einer	w11_d535e7925
heftigen	w13_d535e7929
Canonade,	w1_d535e7934
um	w3_d535e7937
den	w5_d535e7940
Feind	w7_d535e7943
zum	w9_d535e7946
Ruckzug	w11_d535e7949
zu	w13_d535e7953
nöhtigen.	w1_d535e7958
Bey	w3_d535e7961
dieser	w5_d535e7964
Gelegenheit	w7_d535e7967
bliebe	w9_d535e7970
1.	w11_d535e7973
Officier	w1_d535e7979
tod,	w3_d535e7982
2.	w5_d535e7985
Officiers,	w7_d535e7988
und	w9_d535e7991
7.	w11_d535e7994
bis	w13_d535e7998
8.	w15_d535e8001
Ge	w17_d535e8004
meine	w1_d535e8009
wurden	w3_d535e8012
verwundet.	w5_d535e8015
Aus	w7_d535e8018
Mangel	w9_d535e8021
von	w1_d535e8026
Reuterey	w3_d535e8029
konnte	w5_d535e8032
der	w7_d535e8035
Herr	w9_d535e8038
Marquis	w11_d535e8041
von	w13_d535e8045
St.	w1_d535e8050
Pern	w3_d535e8053
die	w5_d535e8056
Feinde	w7_d535e8059
nicht	w9_d535e8062
verfolgen,	w11_d535e8065
mithin	w13_d535e8069
auch	w1_d535e8075
diesen	w3_d535e8078
Vortheil	w5_d535e8081
sich	w7_d535e8084
nicht	w9_d535e8087
zu	w11_d535e8090
Nutzen	w13_d535e8094
ma	w15_d535e8097
chen.	w1_d535e8102
Die	w3_d535e8105
an	w5_d535e8108
der	w7_d535e8111
Ober=werra	w9_d535e8114
unter	w11_d535e8117
der	w13_d535e8121
Ordre	w1_d535e8126
des	w3_d535e8129
Herrn	w5_d535e8132
Grafens	w7_d535e8135
von	w9_d535e8138
Solms,	w11_d535e8141
so	w13_d535e8145
dann	w1_d535e8150
zu	w3_d535e8153
Gotha	w5_d535e8156
und	w7_d535e8159
Langensalz	w9_d535e8162
unter	w11_d535e8165
dem	w13_d535e8169
Herrn	w1_d535e8175
Grafen	w3_d535e8178
von	w5_d535e8181
Stainville	w7_d535e8184
gelegene	w9_d535e8187
Tru	w11_d535e8190
pen,	w1_d535e8195
welchen	w3_d535e8198
der	w5_d535e8201
Herr	w7_d535e8204
Marquis	w9_d535e8207
v.	w11_d535e8210
St.	w13_d535e8214
Pern	w15_d535e8217
den	w1_d535e8222
Befehl	w3_d535e8225
zukommen	w5_d535e8228
liesse,	w7_d535e8231
zu	w9_d535e8234
ihme	w11_d535e8237
zustos	w13_d535e8241
sen,	w1_d535e8246
konnten	w3_d535e8249
zu	w5_d535e8252
rechter	w7_d535e8255
Zeit	w9_d535e8258
nicht	w11_d535e8261
eintreffen,	w13_d535e8265
und	w1_d535e8271
sogar	w3_d535e8274
kaum	w5_d535e8277
als	w7_d535e8280
sie	w9_d535e8283
angelanget,	w11_d535e8286
zuruck	w13_d535e8290
zogen,	w1_d535e8295
weilen	w3_d535e8298
der	w5_d535e8301
Herr	w7_d535e8304
Graf	w9_d535e8307
von	w11_d535e8310
Stainville	w13_d535e8314
sichere	w1_d535e8319
Nachrichten	w3_d535e8322
hatte,	w5_d535e8325
daß	w7_d535e8328
Preußische	w9_d535e8331
Völker	w1_d535e8336
Langensalz,	w3_d535e8339
und	w5_d535e8342
die	w7_d535e8345
Spitze	w9_d535e8348
von	w11_d535e8351
sei	w13_d535e8355
nen	w1_d535e8361
Winter=quartieren	w3_d535e8364
bedrohete.	w5_d535e8367
Dem	w7_d535e8370
Herrn	w1_d535e8375
Marquis	w3_d535e8378
von	w5_d535e8381
St.	w7_d535e8384
Pern,	w9_d535e8387
welcher	w11_d535e8390
nach	w13_d535e8394
dem	w1_d535e8399
vorwärts	w3_d535e8402
beschehenen	w5_d535e8405
Retraite	w7_d535e8408
des	w9_d535e8411
Feindes	w1_d535e8416
seine	w3_d535e8419
Trupen	w5_d535e8422
der	w7_d535e8425
Werra	w9_d535e8428
näher	w11_d535e8431
zu	w13_d535e8435
sammen	w1_d535e8441
zog,	w3_d535e8444
wurde	w5_d535e8447
zuverläßig	w7_d535e8450
angezeiget,	w9_d535e8453
daß	w1_d535e8458
die	w3_d535e8461
Alliirte	w5_d535e8464
aufs	w7_d535e8467
neue	w9_d535e8470
sich	w11_d535e8473
in	w13_d535e8477
Bewegung	w15_d535e8480
setzten,	w1_d535e8485
und	w3_d535e8488
daß	w5_d535e8491
das	w7_d535e8494
nämliche	w9_d535e8497
Corps,	w11_d535e8500
mit	w13_d535e8504
welchem	w1_d535e8509
er	w3_d535e8512
Tags	w5_d535e8515
vorher	w7_d535e8518
zu	w9_d535e8521
thun	w11_d535e8524
gehabt,	w13_d535e8528
aus	w1_d535e8534
seiner	w3_d535e8537
genommenen	w5_d535e8540
Stellung	w7_d535e8543
vorwärts	w9_d535e8546
ruckte,	w1_d535e8551
sofort	w3_d535e8554
Mühlhausen	w5_d535e8557
auf	w7_d535e8560
ihrer	w9_d535e8563
Rech	w11_d535e8566
ten	w1_d535e8571
liesse,	w3_d535e8574
welches	w5_d535e8577
zu	w7_d535e8580
Genügen	w9_d535e8583
zu	w11_d535e8586
erkennen	w13_d535e8590
gegeben,	w1_d535e8595
daß	w3_d535e8598
ihre	w5_d535e8601
Stärke	w7_d535e8604
auf	w9_d535e8607
die	w11_d535e8610
Quartiere	w13_d535e8614
von	w1_d535e8620
Langensalz	w3_d535e8623
und	w5_d535e8626
Eisenach	w7_d535e8629
gerichtet	w9_d535e8632
wäre.	w11_d535e8635
Es	w1_d535e8640
war	w3_d535e8643
ihm	w5_d535e8646
solchergestalten,	w7_d535e8649
und	w9_d535e8652
bey	w11_d535e8655
sei	w13_d535e8659
ner	w1_d535e8664
weiten	w3_d535e8667
Entfernung	w5_d535e8670
blosserdings	w7_d535e8673
unmög	w9_d535e8676
lich,	w1_d535e8681
jene	w3_d535e8684
Trupen	w5_d535e8687
zu	w7_d535e8690
unterstützen,	w9_d535e8693
sondern	w11_d535e8696
er	w13_d535e8700
näherte	w1_d535e8706
sich	w3_d535e8709
nur	w5_d535e8712
denen	w7_d535e8715
Gegenden	w9_d535e8718
von	w11_d535e8721
der	w13_d535e8725
Werra.	w1_d535e8730
Dem	w3_d535e8733
Herrn	w5_d535e8736
Marschall	w7_d535e8739
blieben	w9_d535e8742
die	w11_d535e8745
se	w1_d535e8750
Bewegungen	w3_d535e8753
nicht	w5_d535e8756
unbekannt,	w7_d535e8759
er	w9_d535e8762
befahle	w11_d535e8765
</p>
<p id="p16_d535e8770">
ungesäumt	w1_d535e8774
den	w3_d535e8777
Herrn	w5_d535e8780
Grafen	w7_d535e8783
von	w9_d535e8786
Solms	w11_d535e8789
und	w1_d535e8794
Stainville,	w3_d535e8797
sich	w5_d535e8800
zuruck	w7_d535e8803
zu	w9_d535e8806
ziehen;	w11_d535e8809
man	w13_d535e8813
wird	w1_d535e8818
aber	w3_d535e8821
in	w5_d535e8824
der	w7_d535e8827
Folge	w9_d535e8830
dieser	w11_d535e8833
Beschreibung	w13_d535e8837
bemerken,	w1_d535e8843
daß	w3_d535e8846
diese	w5_d535e8849
Ordre	w7_d535e8852
zu	w9_d535e8855
spat	w11_d535e8858
an	w13_d535e8862
ihre	w15_d535e8865
Behörde	w1_d535e8870
gekommen.	w3_d535e8873
Auf	w5_d535e8876
die	w7_d535e8879
bey	w9_d535e8882
hochge	w11_d535e8885
dachtem	w1_d535e8890
Hrn.	w3_d535e8893
Marschallen	w5_d535e8896
eingeloffene	w7_d535e8899
Nach	w9_d535e8902
richten:	w1_d535e8907
daß	w3_d535e8910
der	w5_d535e8913
Herr	w7_d535e8916
Erb=prinz	w9_d535e8919
neuerdin	w11_d535e8922
gen	w1_d535e8928
zur	w3_d535e8931
Attaque	w5_d535e8934
von	w7_d535e8937
Fritzlar	w9_d535e8940
Anstalten	w11_d535e8943
mach	w13_d535e8947
te;	w1_d535e8952
wodurch	w3_d535e8955
dann	w5_d535e8958
der	w7_d535e8961
feste	w9_d535e8964
Entschluß:	w11_d535e8967
die	w13_d535e8971
Eder	w1_d535e8976
in	w3_d535e8979
dieser	w5_d535e8982
Gegend	w7_d535e8985
zu	w9_d535e8988
paßiren,	w11_d535e8991
und	w13_d535e8995
zwi	w15_d535e8998
schen	w1_d535e9003
der	w3_d535e9006
Obern=fuld	w5_d535e9009
und	w7_d535e9012
Cassel	w9_d535e9015
ein	w11_d535e9018
grosses	w13_d535e9022
Corps	w1_d535e9028
von	w3_d535e9031
der	w5_d535e9034
alliirten	w7_d535e9037
Armee	w9_d535e9040
zu	w11_d535e9043
postiren,	w13_d535e9047
zugleich	w1_d535e9052
sich	w3_d535e9055
veroffenbarte;	w5_d535e9058
bestimmte	w7_d535e9061
der	w9_d535e9064
selbe	w1_d535e9069
seinen	w3_d535e9072
Abzug	w5_d535e9075
aus	w7_d535e9078
Cassel	w9_d535e9081
auf	w11_d535e9084
den	w13_d535e9088
12ten,	w15_d535e9091
und	w1_d535e9096
ebener=massen	w3_d535e9099
die	w5_d535e9102
Retraite	w7_d535e9105
jener	w9_d535e9108
Trupen,	w11_d535e9111
welche	w1_d535e9117
längst	w3_d535e9120
der	w5_d535e9123
Werra	w7_d535e9126
von	w9_d535e9129
Wanfried	w11_d535e9132
bis	w13_d535e9136
Münden	w1_d535e9141
gelegen	w3_d535e9144
waren.	w5_d535e9147
Der	w7_d535e9150
Herr	w9_d535e9153
Mar	w11_d535e9156
quis	w1_d535e9161
von	w3_d535e9164
St.	w5_d535e9167
Pern	w7_d535e9170
erhielte	w9_d535e9173
Befehl:	w11_d535e9176
den	w13_d535e9180
Hrn.	w15_d535e9183
von	w1_d535e9188
Montchenu	w3_d535e9191
nach	w5_d535e9194
Mühlhausen	w7_d535e9197
zu	w9_d535e9200
senden,	w11_d535e9203
um	w1_d535e9209
die	w3_d535e9212
dasige	w5_d535e9215
Besatzung	w7_d535e9218
zuruck	w9_d535e9221
zu	w11_d535e9224
führen.	w13_d535e9228
Jene	w1_d535e9233
von	w3_d535e9236
Witzenhausen	w5_d535e9239
und	w7_d535e9242
Münden	w9_d535e9245
musten	w11_d535e9248
gegen	w1_d535e9253
Cassel	w3_d535e9256
sich	w5_d535e9259
wenden;	w7_d535e9262
wodurch	w9_d535e9265
dann	w11_d535e9268
die	w13_d535e9272
Garnison	w1_d535e9277
in	w3_d535e9280
dieser	w5_d535e9283
Stadt	w7_d535e9286
auf	w9_d535e9289
14.	w11_d535e9292
Batail	w13_d535e9296
lons	w1_d535e9302
unter	w3_d535e9305
der	w5_d535e9308
Ordre	w7_d535e9311
des	w9_d535e9314
Herrn	w11_d535e9317
Grafens	w13_d535e9321
von	w1_d535e9326
Broglie	w3_d535e9329
verstärket	w5_d535e9332
worden.	w7_d535e9335
Der	w9_d535e9338
Herr	w11_d535e9341
Marschall	w1_d535e9346
hatte	w3_d535e9349
schon	w5_d535e9352
längstens	w7_d535e9355
dem	w9_d535e9358
Muni	w11_d535e9361
tionaire=general	w1_d535e9366
den	w3_d535e9369
Befehl	w5_d535e9372
gegeben:	w7_d535e9375
die	w9_d535e9378
Zufuhren	w1_d535e9384
vom	w3_d535e9387
Mehl	w5_d535e9390
auf	w7_d535e9393
das	w9_d535e9396
sorgfältigste	w11_d535e9399
zu	w1_d535e9404
beschleunigen,	w3_d535e9407
und	w5_d535e9410
es	w7_d535e9413
haben	w9_d535e9416
sich	w11_d535e9419
über	w13_d535e9423
6000.	w1_d535e9428
Säcke	w3_d535e9431
allda	w5_d535e9434
befunden.	w7_d535e9437
Man	w9_d535e9440
nah	w11_d535e9443
me	w1_d535e9448
auch	w3_d535e9451
den	w5_d535e9454
Bedacht,	w7_d535e9457
Rind	w9_d535e9460
und	w11_d535e9463
anderes	w13_d535e9467
Vieh,	w1_d535e9473
Salz;	w3_d535e9476
und	w5_d535e9479
was	w7_d535e9482
nur	w9_d535e9485
immer	w11_d535e9488
zum	w13_d535e9492
Dienst	w15_d535e9495
von	w1_d535e9500
einem	w3_d535e9503
beträchtlichen	w5_d535e9506
Spital	w7_d535e9509
erforderlich	w9_d535e9512
ware,	w1_d535e9517
in	w3_d535e9520
die	w5_d535e9523
Stadt	w7_d535e9526
zu	w9_d535e9529
bringen,	w11_d535e9532
dergestalt,	w13_d535e9536
daß	w1_d535e9541
diese	w3_d535e9544
Vorkehrungen	w5_d535e9547
nebst	w7_d535e9550
denen	w9_d535e9553
sonsti	w11_d535e9556
gen	w1_d535e9562
Nohtwendigkeiten,	w3_d535e9565
welche	w5_d535e9568
natürlicher	w7_d535e9571
Weise	w1_d535e9576
eine	w3_d535e9579
so	w5_d535e9582
grosse	w7_d535e9585
Stadt	w9_d535e9588
zu	w11_d535e9591
verschaffen,	w13_d535e9595
im	w1_d535e9600
Stande	w3_d535e9603
ist,	w5_d535e9606
die	w7_d535e9609
Subsistenz	w9_d535e9612
der	w11_d535e9615
Garnison	w13_d535e9619
hinlänglich	w1_d535e9624
sich	w3_d535e9627
versicheren,	w5_d535e9630
und	w7_d535e9633
eine	w9_d535e9636
mun	w11_d535e9639
tere	w1_d535e9645
Vertheidigung	w3_d535e9648
anhoffen	w5_d535e9651
lassen.	w7_d535e9654
</p>
<head id="h2_d535e9660">
Wien	w1_d535e9664
den	w3_d535e9667
14.	w5_d535e9670
Martii	w7_d535e9673
1761.	w9_d535e9676
</head>
<p id="p4_d535e9679">
och	w1_d535e9683
am	w3_d535e9686
letzt=vergangenen	w5_d535e9689
Dienstage,	w7_d535e9692
den	w1_d535e9697
10.	w3_d535e9700
Dieses	w5_d535e9703
Nachmittags	w7_d535e9706
ist	w9_d535e9709
die	w11_d535e9712
Feld=equipage	w1_d535e9717
des	w3_d535e9720
en	w5_d535e9723
Chef	w7_d535e9726
commandirenden	w9_d535e9729
Herrn	w1_d535e9735
Feld=marschallen	w3_d535e9738
Grafens	w5_d535e9741
von	w7_d535e9744
Daun	w9_d535e9747
von	w1_d535e9752
hier	w3_d535e9755
nach	w5_d535e9758
Böheim	w7_d535e9761
abgeschicket	w9_d535e9764
worden.	w11_d535e9767
Seine	w1_d535e9772
Excellenz	w3_d535e9775
sind	w5_d535e9778
nun	w7_d535e9781
mit	w9_d535e9784
vieler	w11_d535e9787
Arbeit	w13_d535e9791
beschäftiget,	w1_d535e9796
und	w3_d535e9799
lassen	w5_d535e9802
