<doc id="wr_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="2">
<head id="h2_d677e3437">
Warschau	w1_d677e3441
Dem	w1_d677e11449
Hochedelg.	w3_d677e11452
Hrn.	w5_d677e11455
Joh.	w7_d677e11458
Bernh.	w9_d677e11461
Edlen	w11_d677e11464
v.	w13_d677e11468
Degel	w15_d677e11471
mann,	w1_d677e11476
K.	w3_d677e11479
K.	w5_d677e11482
Commercial=hof=raht,	w7_d677e11485
s.	w9_d677e11488
Fr.	w11_d677e11491
The	w13_d677e11495
res.,	w1_d677e11500
geb	w3_d677e11503
v.	w5_d677e11506
Koller,	w7_d677e11509
und	w9_d677e11512
Nogy=Manya,	w11_d677e11515
im	w13_d677e11519
Fa	w15_d677e11522
bris.	w1_d677e11528
H.	w3_d677e11531
in	w5_d677e11534
der	w7_d677e11537
Wolzeil,	w9_d677e11540
alt	w11_d677e11543
34.	w13_d677e11547
J.	w15_d677e11550
Fr.	w1_d677e11555
Anna	w3_d677e11558
Magdal.	w5_d677e11561
Manßriederin,	w7_d677e11564
Wittwe,	w9_d677e11567
beym	w11_d677e11570
Aug	w1_d677e11575
Gottes	w3_d677e11578
am	w5_d677e11581
Pet.,	w7_d677e11584
alt	w9_d677e11587
71.	w11_d677e11590
J.	w13_d677e11594
Dem	w1_d677e11599
Hrn.	w3_d677e11602
Mich.	w5_d677e11605
Hausmann,	w7_d677e11608
Cancellist.,	w9_d677e11611
s.	w11_d677e11614
Fr.	w13_d677e11618
Helena,	w1_d677e11624
im	w3_d677e11627
Färberis.	w5_d677e11630
H.	w7_d677e11633
am	w9_d677e11636
alt.	w11_d677e11639
Fleischm.	w13_d677e11643
46.	w15_d677e11646
J.	w17_d677e11649
Dem	w1_d677e11654
Hrn.	w3_d677e11657
Leop.	w5_d677e11660
Schrötter,	w7_d677e11663
Jnstruet.,	w9_d677e11666
s.	w11_d677e11669
K.	w13_d677e11673
Wil	w15_d677e11676
belmina,	w1_d677e11681
im	w3_d677e11684
Kaiseris.	w5_d677e11687
H.	w7_d677e11690
in	w9_d677e11693
der	w11_d677e11696
Himmelpfort	w13_d677e11700
gas.,	w1_d677e11705
alt	w3_d677e11708
5.	w5_d677e11711
v.	w7_d677e11714
J.	w9_d677e11717
Dem	w1_d677e11723
Joh.	w3_d677e11726
Hupatsch,	w5_d677e11729
K.	w7_d677e11732
K.	w9_d677e11735
Leib=lack,	w11_d677e11738
s.	w13_d677e11742
W.	w15_d677e11745
Anna,	w17_d677e11748
im	w1_d677e11753
Jetzis.	w3_d677e11756
H.	w5_d677e11759
im	w7_d677e11762
Juden	w9_d677e11765
gäs.,	w11_d677e11768
alt	w13_d677e11772
40.	w15_d677e11775
J.	w17_d677e11778
Dem	w1_d677e11783
Ferd.	w3_d677e11786
Bock,	w5_d677e11789
Burgerl	w7_d677e11792
Bier	w9_d677e11795
leut=geb.,	w11_d677e11798
s.	w13_d677e11802
K.	w15_d677e11805
Theres.,	w1_d677e11810
im	w3_d677e11813
Katzis.	w5_d677e11816
H.	w7_d677e11819
am	w9_d677e11822
alt.	w11_d677e11825
Fleischm.,	w13_d677e11829
5.	w15_d677e11832
v.	w17_d677e11835
J.	w19_d677e11838
Dem	w1_d677e11844
Hrn.	w3_d677e11847
Carl	w5_d677e11850
Braun,	w7_d677e11853
Jngenieurn,	w9_d677e11856
s.	w11_d677e11859
K.	w13_d677e11863
Cathar.	w15_d677e11866
beyn	w1_d677e11871
3.	w3_d677e11874
Bind.	w5_d677e11877
in	w7_d677e11880
der	w9_d677e11883
Josephst.,	w11_d677e11886
alt	w13_d677e11890
3.	w15_d677e11893
J.	w17_d677e11896
Dem	w1_d677e11901
Lor.	w3_d677e11904
Wagner,	w5_d677e11907
Hader=samml,	w7_d677e11910
s	w9_d677e11913
W.	w11_d677e11916
Sabina,	w13_d677e11920
im	w1_d677e11925
Fuhrmannis	w3_d677e11928
H.	w5_d677e11931
oberm	w7_d677e11934
Neustift,	w9_d677e11937
alt	w11_d677e11940
51.	w13_d677e11944
J.	w15_d677e11947
Dem	w1_d677e11953
Christian	w3_d677e11956
Schaufler,	w5_d677e11959
Lack,	w7_d677e11962
s.	w9_d677e11965
K.	w11_d677e11968
Johanna,	w13_d677e11972
beym	w1_d677e11977
gold.	w3_d677e11980
Bech	w5_d677e11983
bey	w7_d677e11986
St.	w9_d677e11989
Ulrich,	w11_d677e11992
alt	w13_d677e11996
5.	w15_d677e11999
v.	w17_d677e12002
J.	w19_d677e12005
</list>
<head id="h2_d677e12012">
Summa	w1_d677e12016
9.	w3_d677e12019
Pers.,	w5_d677e12022
darunter	w7_d677e12025
4.	w9_d677e12028
Kind.	w11_d677e12031
Den	w1_d677e12036
24.	w3_d677e12039
Julii	w5_d677e12042
Jn	w7_d677e12045
der	w9_d677e12048
Stadt.	w11_d677e12051
</head>
<list id="l4_d677e12054">
Hr.	w1_d677e12058
Jos.	w3_d677e12061
Goldhann,	w5_d677e12064
Burgerl	w7_d677e12067
Eisen=handl.,	w9_d677e12070
s.	w11_d677e12073
K.	w13_d677e12077
Carl	w1_d677e12082
im	w3_d677e12085
Spittel=H.	w5_d677e12088
in	w7_d677e12091
der	w9_d677e12094
Kärntnerstr.,	w11_d677e12097
5.	w13_d677e12101
J.	w15_d677e12104
Cathar.	w1_d677e12109
Reybergerin,	w3_d677e12112
K.	w5_d677e12115
Kost=kind,	w7_d677e12118
beym	w9_d677e12121
rot.	w11_d677e12124
Sä	w13_d677e12128
bel	w1_d677e12134
im	w3_d677e12137
Färber=gäs.,	w5_d677e12140
alt	w7_d677e12143
3.	w9_d677e12146
J.	w11_d677e12149
</list>
<head id="h2_d677e12156">
Vor	w1_d677e12160
der	w3_d677e12163
Stadt.	w5_d677e12166
</head>
<list id="l4_d677e12169">
Dem	w1_d677e12173
Jacob	w3_d677e12176
Kaiser,	w5_d677e12179
Burgerl.	w7_d677e12182
Schuhmach.,	w9_d677e12185
s.	w11_d677e12188
W.	w13_d677e12192
Margar.,	w1_d677e12197
beyn	w3_d677e12200
3.	w5_d677e12203
Herz.	w7_d677e12206
am	w9_d677e12209
Spitalb.,	w11_d677e12212
alt	w13_d677e12216
73.	w15_d677e12219
J.	w17_d677e12222
Dem	w1_d677e12227
Joh.	w3_d677e12230
Neuhold,	w5_d677e12233
Schmalz=trag.,	w7_d677e12236
s.	w9_d677e12239
W.	w11_d677e12242
Brigit.	w13_d677e12246
im	w1_d677e12252
Mierlingeris.	w3_d677e12255
H.	w5_d677e12258
auf	w7_d677e12261
der	w9_d677e12264
Landstr.,	w11_d677e12267
alt	w13_d677e12271
44.	w15_d677e12274
J.	w17_d677e12277
Barb.	w1_d677e12282
Rindtin,	w3_d677e12285
Wittwe,	w5_d677e12288
im	w7_d677e12291
Baron	w9_d677e12294
Penkleris.	w11_d677e12297
H.	w13_d677e12301
auf	w1_d677e12306
der	w3_d677e12309
Landstr.,	w5_d677e12312
alt	w7_d677e12315
95.	w9_d677e12318
J.	w11_d677e12321
Franz	w1_d677e12326
Flach,	w3_d677e12329
Wais,	w5_d677e12332
in	w7_d677e12335
U.	w9_d677e12338
L.	w11_d677e12341
Frauen=spit.	w13_d677e12345
am	w15_d677e12348
Renn,	w17_d677e12351
weg,	w1_d677e12357
alt	w3_d677e12360
7.	w5_d677e12363
J.	w7_d677e12366
Dem	w1_d677e12371
Hrn.	w3_d677e12374
Jos.	w5_d677e12377
Rixner,	w7_d677e12380
Jngenieurn,	w9_d677e12383
s.	w11_d677e12386
K.	w13_d677e12390
Fridol.	w15_d677e12393
beyn	w1_d677e12398
3.	w3_d677e12401
gold.	w5_d677e12404
Taub	w7_d677e12407
in	w9_d677e12410
der	w11_d677e12413
Josephst.,	w13_d677e12417
7	w15_d677e12420
v.	w17_d677e12423
J.	w19_d677e12426
Dem	w1_d677e12431
Math.	w3_d677e12434
Grim,	w5_d677e12437
Tischl.,	w7_d677e12440
s.	w9_d677e12443
K.	w11_d677e12446
Cathar.,	w13_d677e12450
beym	w15_d677e12453
grün	w1_d677e12459
Adl.	w3_d677e12462
bey	w5_d677e12465
Maria	w7_d677e12468
hülf,	w9_d677e12471
alt	w11_d677e12474
2.	w13_d677e12478
J.	w15_d677e12481
Dem	w1_d677e12486
Jacob	w3_d677e12489
Auer,	w5_d677e12492
Roßwart.,	w7_d677e12495
s.	w9_d677e12498
K.	w11_d677e12501
Lor.,	w13_d677e12505
bey	w15_d677e12508
St.	w17_d677e12511
Anna	w1_d677e12516
in	w3_d677e12519
der	w5_d677e12522
Rossau,	w7_d677e12525
alt	w9_d677e12528
1.	w11_d677e12531
J.	w13_d677e12535
</list>
<head id="h2_d677e12542">
Summa	w1_d677e12546
9.	w3_d677e12549
Person,	w5_d677e12552
darunter	w7_d677e12555
6.	w9_d677e12558
Kind.	w11_d677e12561
Den	w1_d677e12566
25.	w3_d677e12569
Julii.	w5_d677e12572
Jn	w7_d677e12575
der	w9_d677e12578
Stadt.	w11_d677e12581
</head>
<list id="l4_d677e12584">
Der	w1_d677e12588
Wol=edle	w3_d677e12591
Hr.	w5_d677e12594
Franz	w7_d677e12597
Ant.	w9_d677e12600
Huber,	w11_d677e12603
K.	w13_d677e12607
K.	w15_d677e12610
Mini	w17_d677e12613
sterial=banco=hof=deputat.	w1_d677e12618
cancell.,	w3_d677e12621
im	w5_d677e12624
Severin	w7_d677e12627
huberis.	w1_d677e12632
H.	w3_d677e12635
auf	w5_d677e12638
der	w7_d677e12641
Sailerst.,	w9_d677e12644
alt	w11_d677e12647
40.	w13_d677e12651
J.	w15_d677e12654
Cathar.	w1_d677e12660
Nocklerin,	w3_d677e12663
Burgerl.	w5_d677e12666
Wittwe,	w7_d677e12669
im	w9_d677e12672
Garibol	w11_d677e12675
dis.	w1_d677e12680
H.	w3_d677e12683
in	w5_d677e12686
der	w7_d677e12689
Weihburg=gas,	w9_d677e12692
alt	w11_d677e12695
63.	w13_d677e12699
J.	w15_d677e12702
Barb.	w1_d677e12707
Angerin,	w3_d677e12710
ledig,	w5_d677e12713
beyn	w7_d677e12716
3.	w9_d677e12719
Baum.	w11_d677e12722
in	w13_d677e12726
der	w15_d677e12729
Kärnt	w17_d677e12732
nerstr.,	w1_d677e12737
alt	w3_d677e12740
102.	w5_d677e12743
J.	w7_d677e12746
Der	w1_d677e12752
Ehrw.	w3_d677e12755
Hr.	w5_d677e12758
Ferd.	w7_d677e12761
Ruprecht,	w9_d677e12764
Alumn.	w11_d677e12767
im	w13_d677e12771
Con	w15_d677e12774
viet	w1_d677e12779
bey	w3_d677e12782
St.	w5_d677e12785
Barb.	w7_d677e12788
am	w9_d677e12791
Dominicaner=platz,	w11_d677e12794
alt	w13_d677e12798
23.	w1_d677e12803
J.	w3_d677e12806
</list>
<list id="l6_d677e12810">
Dem	w1_d677e12814
Joh.	w3_d677e12817
Christoph	w5_d677e12820
Kallenberg,	w7_d677e12823
Kutsch.,	w9_d677e12826
s.	w11_d677e12829
K.	w13_d677e12833
Joh.	w15_d677e12836
Sigm.,	w1_d677e12841
im	w3_d677e12844
Brenneris.	w5_d677e12847
H.	w7_d677e12850
in	w9_d677e12853
der	w11_d677e12856
gros.	w13_d677e12860
Dorothe	w15_d677e12863
gas.,	w1_d677e12868
alt	w3_d677e12871
2.	w5_d677e12874
J.	w7_d677e12877
</list>
<head id="h2_d677e12884">
Vor	w1_d677e12888
der	w3_d677e12891
Stadt.	w5_d677e12894
</head>
<list id="l4_d677e12897">
Fr.	w1_d677e12901
Maria	w3_d677e12904
Eva	w5_d677e12907
Veiglin,	w7_d677e12910
Wittwe,	w9_d677e12913
bem	w11_d677e12916
grün.	w13_d677e12920
Adler	w15_d677e12923
bey	w1_d677e12928
Maria=hülf,	w3_d677e12931
alt	w5_d677e12934
75.	w7_d677e12937
J.	w9_d677e12940
Ursula	w1_d677e12945
Grobetzkin,	w3_d677e12948
Wittwe,	w5_d677e12951
im	w7_d677e12954
Langheimis.	w9_d677e12957
H.	w11_d677e12960
in	w13_d677e12964
der	w1_d677e12970
Alster=gas.,	w3_d677e12973
alt	w5_d677e12976
60.	w7_d677e12979
J.	w9_d677e12982
Dem	w1_d677e12987
Jos.	w3_d677e12990
Augstwurm,	w5_d677e12993
Lust	w7_d677e12996
gart.,	w9_d677e12999
s.	w11_d677e13002
K.	w13_d677e13006
Anna	w15_d677e13009
Ma	w17_d677e13012
ria,	w1_d677e13017
im	w3_d677e13020
Hof=raht	w5_d677e13023
Bäckis.	w7_d677e13026
H.	w9_d677e13029
in	w11_d677e13032
der	w13_d677e13036
Alster=gas.,	w15_d677e13039
alt	w1_d677e13044
6.	w3_d677e13047
J.	w5_d677e13050
Dem	w1_d677e13056
Mich.	w3_d677e13059
Flaschel,	w5_d677e13062
Herrschaftl.	w7_d677e13065
Reit=kn,	w9_d677e13068
s.	w11_d677e13071
K.	w13_d677e13075
Anna,	w1_d677e13080
im	w3_d677e13083
Tischleris.	w5_d677e13086
H.	w7_d677e13089
auf	w9_d677e13092
der	w11_d677e13095
Wied.,	w13_d677e13099
6.	w15_d677e13102
v.	w17_d677e13105
J.	w19_d677e13108
</list>
<head id="h2_d677e13116">
Summa	w1_d677e13120
9.	w3_d677e13123
Person.,	w5_d677e13126
darunter	w7_d677e13129
3.	w9_d677e13132
Kind.	w11_d677e13135
</head>
<p id="p4_d677e13138">
Es	w1_d677e13142
wird	w3_d677e13145
jedermänniglich	w5_d677e13148
kund	w7_d677e13151
und	w9_d677e13154
zu	w11_d677e13157
wissen	w13_d677e13161
gemacht,	w1_d677e13166
welchergestalten	w3_d677e13169
auf	w5_d677e13172
Verordnung	w7_d677e13175
eines	w9_d677e13178
Löbl.	w1_d677e13183
|	w3_d677e13186
Kaiserl.	w5_d677e13189
Königl.	w7_d677e13192
N.	w9_d677e13195
Oe.	w11_d677e13198
Vice	w13_d677e13202
domischen	w15_d677e13205
Grund=buchs	w1_d677e13211
die	w3_d677e13214
zu	w5_d677e13217
Penzing	w7_d677e13220
gelegen	w9_d677e13223
Gräfl.	w11_d677e13226
Jo	w13_d677e13230
seph	w1_d677e13235
Czoberische	w3_d677e13238
5.	w5_d677e13241
Häuser,	w7_d677e13244
samt	w9_d677e13247
zugehörigen	w11_d677e13250
Gär	w13_d677e13254
ten	w1_d677e13259
und	w3_d677e13262
verschiedenen	w5_d677e13265
überländ=Aeckern	w7_d677e13268
den	w9_d677e13271
26.	w11_d677e13274
künftigen	w1_d677e13279
Monats	w3_d677e13282
Augusti	w5_d677e13285
plus	w7_d677e13288
offerenti	w9_d677e13291
werden	w11_d677e13294
verkauffet	w1_d677e13300
werden,	w3_d677e13303
wer	w5_d677e13306
nun	w7_d677e13309
sothane	w9_d677e13312
Häuser,	w11_d677e13315
Gärten,	w1_d677e13320
und	w3_d677e13323
überländ=Grund=stücke	w5_d677e13326
käuflich	w7_d677e13329
an	w9_d677e13332
zu	w1_d677e13337
bringen	w3_d677e13340
gesinnet	w5_d677e13343
ist,	w7_d677e13346
derselbe	w9_d677e13349
beliebe	w11_d677e13352
sich	w13_d677e13356
am	w15_d677e13359
obbestimmten	w1_d677e13364
Tag	w3_d677e13367
fruhe	w5_d677e13370
um	w7_d677e13373
9.	w9_d677e13376
Uhr	w11_d677e13379
zu	w13_d677e13383
Penzing	w15_d677e13386
in	w1_d677e13392
bemelt=Gräfl.	w3_d677e13395
Czoberischen	w5_d677e13398
Hänsern,	w7_d677e13401
entweder	w9_d677e13404
selbst	w1_d677e13409
persönlich,	w3_d677e13412
oder	w5_d677e13415
durch	w7_d677e13418
genugsam	w9_d677e13421
hierzu	w11_d677e13424
Be	w13_d677e13428
vollmächtigte	w1_d677e13433
anzumelden.	w3_d677e13436
</p>
<p id="p6_d677e13439">
Auf	w1_d677e13443
Verordnung	w3_d677e13446
eines	w5_d677e13449
Löbl.	w7_d677e13452
Landmarschalli	w9_d677e13455
schen	w1_d677e13460
Gerichts	w3_d677e13463
werden	w5_d677e13466
den	w7_d677e13469
künftigen	w9_d677e13472
Freytag	w11_d677e13475
als	w13_d677e13479
den	w1_d677e13484
30.	w3_d677e13487
Julii	w5_d677e13490
verschiedene	w7_d677e13493
Effecten	w9_d677e13496
und	w11_d677e13499
Mobilien,	w13_d677e13503
als	w1_d677e13509
goldene	w3_d677e13512
Degen,	w5_d677e13515
verschiedene	w7_d677e13518
reiche,	w9_d677e13521
gestickte,	w11_d677e13524
bordirte,	w1_d677e13529
sammettene	w3_d677e13532
und	w5_d677e13535
tüchene	w7_d677e13538
Manns=kleider,	w9_d677e13541
Wäsch,	w1_d677e13546
2.	w3_d677e13549
Pferde	w5_d677e13552
und	w7_d677e13555
Wägen,	w9_d677e13558
Niederländerspal	w11_d677e13561
lier	w1_d677e13566
auf	w3_d677e13569
3.	w5_d677e13572
Zimmer,	w7_d677e13575
Luster,	w9_d677e13578
Canape,	w11_d677e13581
Sessel,	w13_d677e13585
Tisch,	w15_d677e13588
Beht=gewand	w1_d677e13594
und	w3_d677e13597
ein	w5_d677e13600
grosser	w7_d677e13603
Service	w9_d677e13606
von	w11_d677e13609
Porcel	w13_d677e13613
lain	w1_d677e13618
in	w3_d677e13621
Sr.	w5_d677e13624
K.	w7_d677e13627
K.	w9_d677e13630
Majest.	w11_d677e13633
Behausung	w13_d677e13637
in	w15_d677e13640
der	w17_d677e13643
Wallnerstrassen	w1_d677e13648
in	w3_d677e13651
der	w5_d677e13654
Baron	w7_d677e13657
von	w9_d677e13660
Toussaintischen	w11_d677e13663
Wohnung	w1_d677e13668
fruhe	w3_d677e13671
von	w5_d677e13674
9.	w7_d677e13677
bis	w9_d677e13680
12.	w11_d677e13683
und	w13_d677e13687
Nachmittag	w15_d677e13690
von	w1_d677e13696
3.	w3_d677e13699
bis	w5_d677e13702
6.	w7_d677e13705
Uhr	w9_d677e13708
licitando	w11_d677e13711
verkauffet.	w13_d677e13715
</p>
<p id="p8_d677e13718">
Den	w1_d677e13722
6.	w3_d677e13725
Septembris	w5_d677e13728
dieß	w7_d677e13731
1762sten	w9_d677e13734
Jahrs	w11_d677e13737
wird	w13_d677e13741
das	w1_d677e13746
Johann	w3_d677e13749
Falkmeyrische	w5_d677e13752
zu	w7_d677e13755
Stadt	w9_d677e13758
GroßEn	w11_d677e13761
zerstof	w1_d677e13766
liegende	w3_d677e13769
Lehen=haus,	w5_d677e13772
samt	w7_d677e13775
Hausgrund	w9_d677e13778
stücken,	w1_d677e13784
dann	w3_d677e13787
22.	w5_d677e13790
Joch	w7_d677e13793
Aecker	w9_d677e13796
und	w11_d677e13799
andere	w13_d677e13803
Zuge	w15_d677e13806
hörungen	w1_d677e13811
an	w3_d677e13814
den	w5_d677e13817
Meistbietenden	w7_d677e13820
licitando	w9_d677e13823
ver	w11_d677e13826
kauffet	w1_d677e13831
werden;	w3_d677e13834
wer	w5_d677e13837
sodann	w7_d677e13840
hievon	w9_d677e13843
etwas	w11_d677e13846
käuf	w13_d677e13850
lich	w1_d677e13855
an	w3_d677e13858
sich	w5_d677e13861
bringen	w7_d677e13864
will,	w9_d677e13867
kan	w11_d677e13870
sich	w13_d677e13874
an	w15_d677e13877
obbemeld	w17_d677e13880
tem	w1_d677e13886
Tag	w3_d677e13889
fruh	w5_d677e13892
um	w7_d677e13895
9.	w9_d677e13898
Uhr	w11_d677e13901
in	w13_d677e13905
dasiger	w15_d677e13908
Hochfürstl.	w17_d677e13911
Freisingischen	w1_d677e13916
Herrschafts=canzley	w3_d677e13919
anmelden.	w5_d677e13922
</p>
<p id="p10_d677e13927">
Auf	w1_d677e13931
Gerichtliche	w3_d677e13934
Verordnung	w5_d677e13937
wird	w7_d677e13940
das	w9_d677e13943
Gut	w11_d677e13946
Wolfsdorf	w1_d677e13951
auf	w3_d677e13954
den	w5_d677e13957
21.	w7_d677e13960
Augusti	w9_d677e13963
fruh	w11_d677e13966
um	w13_d677e13970
8.	w15_d677e13973
Uhr	w17_d677e13976
bey	w1_d677e13981
dem	w3_d677e13984
allhiesig	w5_d677e13987
Löbl.	w7_d677e13990
Land=marschallischen	w9_d677e13993
Ge	w11_d677e13996
richt	w1_d677e14002
licitando	w3_d677e14005
plus	w5_d677e14008
offerentiget	w7_d677e14011
solventi	w9_d677e14014
verkauf	w11_d677e14017
fet	w1_d677e14022
werden.	w3_d677e14025
</p>
<p id="p16_d677e14039">
Von	w1_d677e14043
der	w3_d677e14046
Hochgräfl.	w5_d677e14049
Harrachischen	w7_d677e14052
Herrschaft	w9_d677e14055
Robrau	w1_d677e14060
amts=canzley	w3_d677e14063
wegen,	w5_d677e14066
wird	w7_d677e14069
jedermänniglich	w9_d677e14072
kund	w1_d677e14077
und	w3_d677e14080
zu	w5_d677e14083
wissen	w7_d677e14086
gemacht,	w9_d677e14089
daß,	w11_d677e14092
nachdeme	w13_d677e14096
die	w15_d677e14099
vorhin	w1_d677e14105
zu	w3_d677e14108
Licitirung	w5_d677e14111
deren	w7_d677e14114
Reuchlanerischen	w9_d677e14117
Ver	w11_d677e14120
lassenschafts	w1_d677e14125
corpo.	w3_d677e14128
1,	w5_d677e14131
bestehend	w7_d677e14134
in	w9_d677e14137
1.	w11_d677e14140
Ganzlehen	w13_d677e14144
samt	w1_d677e14149
Fleischhacker=gewörb	w3_d677e14152
mit	w5_d677e14155
28.	w7_d677e14158
ein	w9_d677e14161
Viertel	w11_d677e14164
Joch	w13_d677e14168
Haus=äckern,	w1_d677e14173
2.	w3_d677e14176
Lust=holz,	w5_d677e14179
1.	w7_d677e14182
Obst	w9_d677e14185
und	w11_d677e14188
2.	w13_d677e14192
Kraut	w15_d677e14195
garten;	w1_d677e14201
dann	w3_d677e14204
1.	w5_d677e14207
Halblehen	w7_d677e14210
mit	w9_d677e14213
14.	w11_d677e14216
ein	w13_d677e14220
Viertel	w15_d677e14223
Joch	w1_d677e14228
Haus=äckern,	w3_d677e14231
1.	w5_d677e14234
Lust=holz,	w7_d677e14237
1.	w9_d677e14240
Obst	w11_d677e14243
und	w13_d677e14247
1.	w15_d677e14250
Kraut=garten,	w1_d677e14255
14.	w3_d677e14258
Achtel	w5_d677e14261
überländ=Weingarten,	w7_d677e14264
10.	w1_d677e14269
Joch	w3_d677e14272
überländ=Aecker,	w5_d677e14275
1.	w7_d677e14278
Holz	w9_d677e14281
öden,	w11_d677e14284
3.	w13_d677e14288
Vier	w15_d677e14291
überländKel	w1_d677e14297
tel	w1_d677e14302
Joch	w3_d677e14305
Wisen,	w5_d677e14308
1.	w7_d677e14311
Gras=garten,	w9_d677e14314
1.	w11_d677e14317
ler,	w1_d677e14322
176ger	w3_d677e14325
Wein,	w5_d677e14328
Körner,	w7_d677e14331
Vieh	w9_d677e14334
und	w11_d677e14337
Wirtschafts	w13_d677e14341
fahrnussen,	w1_d677e14346
angeordnete	w3_d677e14349
Tagsatzung	w5_d677e14352
ihren	w7_d677e14355
Effect	w9_d677e14358
nicht	w1_d677e14364
erreichtet	w3_d677e14367
hat,	w5_d677e14370
um	w7_d677e14373
wiederumen	w9_d677e14376
eine	w11_d677e14379
weitere	w13_d677e14383
auf	w1_d677e14388
den	w3_d677e14391
1.	w5_d677e14394
Septemb.	w7_d677e14397
1762.	w9_d677e14400
anberaumet	w11_d677e14403
worden	w13_d677e14407
seye.	w1_d677e14412
Es	w3_d677e14415
werden	w5_d677e14418
demnach	w7_d677e14421
diejenige,	w9_d677e14424
so	w11_d677e14427
hierumen	w13_d677e14431
zu	w1_d677e14436
licitiren	w3_d677e14439
gedenken,	w5_d677e14442
am	w7_d677e14445
gleich=besagten	w9_d677e14448
Tag	w11_d677e14451
fruh	w1_d677e14457
um	w3_d677e14460
9.	w5_d677e14463
Uhr	w7_d677e14466
zu	w9_d677e14469
Gottles=brunn	w11_d677e14472
in	w13_d677e14476
bemeltMa	w15_d677e14479
thias	w1_d677e14484
Rauchlahnerischen	w3_d677e14487
Ganzlehen=haus	w5_d677e14490
sich	w7_d677e14493
ein	w9_d677e14496
zufinden	w1_d677e14501
haben.	w3_d677e14504
</p>
<list id="l18_d677e14507">
D	w1_d677e14511
</list>
<p id="p20_d677e14515">
Jn	w1_d677e14519
der	w3_d677e14522
neuen	w5_d677e14525
Kaiser=gassen	w7_d677e14528
auf	w9_d677e14531
der	w11_d677e14534
Wieden,	w13_d677e14538
ist	w1_d677e14543
ein	w3_d677e14546
ruckwärts	w5_d677e14549
dem	w7_d677e14552
Baron	w9_d677e14555
Loprestischen	w11_d677e14558
Gar	w13_d677e14562
ten	w1_d677e14567
belegenes	w3_d677e14570
grosses	w5_d677e14573
Haus,	w7_d677e14576
zur	w9_d677e14579
herrschaftlichen	w11_d677e14582
Wohnung	w1_d677e14588
durchgehends	w3_d677e14591
meublirt,	w5_d677e14594
mit	w7_d677e14597
etlichen	w9_d677e14600
20.	w1_d677e14605
Zimmern,	w3_d677e14608
einer	w5_d677e14611
Haus=capelle,	w7_d677e14614
und	w9_d677e14617
einem	w11_d677e14620
darbey	w1_d677e14625
sich	w3_d677e14628
befindenden	w5_d677e14631
Billiard,	w7_d677e14634
nebst	w9_d677e14637
einem	w11_d677e14640
gros	w13_d677e14644
sen	w1_d677e14649
Zier	w3_d677e14652
und	w5_d677e14655
Baum=garten,	w7_d677e14658
Speiß	w9_d677e14661
und	w11_d677e14664
Wein	w13_d677e14668
keller,	w1_d677e14674
Kuchel,	w3_d677e14677
Holz=gewölb,	w5_d677e14680
Stallung	w7_d677e14683
auf	w9_d677e14686
8.	w11_d677e14689
Pferd,	w1_d677e14694
zweyen	w3_d677e14697
gesperrten	w5_d677e14700
Wagen=schupfen,	w7_d677e14703
und	w9_d677e14706
darzu	w1_d677e14711
gehörigen	w3_d677e14714
Heu	w5_d677e14717
und	w7_d677e14720
Haber=boden,	w9_d677e14723
alltäg	w11_d677e14726
lich	w1_d677e14731
zu	w3_d677e14734
verlassen;	w5_d677e14737
wer	w7_d677e14740
obbeschriebene	w9_d677e14743
Sommer	w11_d677e14746
und	w1_d677e14752
Winter=wohnung	w3_d677e14755
anzusehen,	w5_d677e14758
und	w7_d677e14761
zu	w9_d677e14764
beste	w11_d677e14767
hen	w1_d677e14772
willens,	w3_d677e14775
beliebe	w5_d677e14778
sich	w7_d677e14781
auf	w9_d677e14784
der	w11_d677e14787
Kärntnerthor	w13_d677e14791
oder	w1_d677e14796
sogenannten	w3_d677e14799
Wasser=kunst=pastey	w5_d677e14802
ober	w7_d677e14805
dem	w9_d677e14808
dasigen	w1_d677e14813
Schwiebogen	w3_d677e14816
im	w5_d677e14819
2.	w7_d677e14822
Stock	w9_d677e14825
anzumelden.	w11_d677e14828
</p>
<p id="p22_d677e14831">
Den	w1_d677e14835
30.	w3_d677e14838
nächst=künftigen	w5_d677e14841
Monats	w7_d677e14844
Augusti	w9_d677e14847
fruh	w11_d677e14850
um	w1_d677e14855
8.	w3_d677e14858
Uhr	w5_d677e14861
wird	w7_d677e14864
die	w9_d677e14867
Freythoferische	w11_d677e14870
nächst	w13_d677e14874
Wilfer	w15_d677e14877
storf	w1_d677e14882
gelegene	w3_d677e14885
sogenannte	w5_d677e14888
Steinabruck=mühl	w7_d677e14891
samt	w9_d677e14894
Wirtshaus=grund=stücken,	w1_d677e14900
und	w3_d677e14903
übriger	w5_d677e14906
Zugehörde	w7_d677e14909
bey	w1_d677e14914
dem	w3_d677e14917
Löbl.	w5_d677e14920
Landmarschallischen	w7_d677e14923
Gericht	w9_d677e14926
offent	w11_d677e14929
lich	w1_d677e14934
ausgefeilet,	w3_d677e14937
sohin	w5_d677e14940
dem	w7_d677e14943
Meist=bietenden	w9_d677e14946
ver	w11_d677e14949
kauffet	w1_d677e14954
werden.	w3_d677e14957
</p>
<p id="p24_d677e14961">
Vermög	w1_d677e14965
zweyer	w3_d677e14968
unterm	w5_d677e14971
