<doc id="wr_1759-04-11" attrs="word" year="1759" month="04" day="11" corpus="2">
<head id="h2_d338e3632">
Coburg	w1_d338e3636
verfallen	w7_d338e7246
seyn	w9_d338e7249
soll.	w1_d338e7254
Wornach	w3_d338e7257
sich	w5_d338e7260
dann	w7_d338e7263
genauest	w9_d338e7266
zu	w11_d338e7269
ach	w13_d338e7273
ten,	w1_d338e7278
mithin	w3_d338e7281
für	w5_d338e7284
Schaden	w7_d338e7287
und	w9_d338e7290
Nachtheil	w11_d338e7293
zu	w1_d338e7298
hüten	w3_d338e7301
kommt.	w5_d338e7304
Gegeben	w7_d338e7307
Wien	w9_d338e7310
den	w11_d338e7313
26.	w13_d338e7317
Februarii	w1_d338e7323
1759.	w3_d338e7326
(L.	w5_d338e7329
S.)	w7_d338e7332
Unterzeichnet:	w9_d338e7335
Friedrich	w1_d338e7340
Pfalz=graf;	w3_d338e7343
und	w5_d338e7346
darunter:	w7_d338e7349
Ad	w9_d338e7352
mandatum	w1_d338e7357
serenissimi	w3_d338e7360
Domini	w5_d338e7363
Ducis,	w7_d338e7366
F.	w9_d338e7369
A.	w11_d338e7372
von	w1_d338e7377
Kriegern	w3_d338e7380
à	w5_d338e7383
Maisdorff.	w7_d338e7386
</p>
<head id="h2_d338e7392">
Leipzig	w1_d338e7396
28.	w3_d338e7399
Martii.	w5_d338e7402
</head>
<p id="p4_d338e7405">
„	w1_d338e7409
Am	w3_d338e7412
19.	w5_d338e7415
dieses	w7_d338e7418
giengen	w9_d338e7421
160.	w11_d338e7424
Fusi	w13_d338e7428
liers	w1_d338e7433
von	w3_d338e7436
Naumburg	w5_d338e7439
nach	w7_d338e7442
Camburg	w9_d338e7445
gegen	w11_d338e7448
die	w1_d338e7453
Saale,	w3_d338e7456
wo	w5_d338e7459
sie	w7_d338e7462
die	w9_d338e7465
dasige	w11_d338e7468
Brücke	w13_d338e7472
bede	w15_d338e7475
cken.	w1_d338e7481
Zu	w3_d338e7484
Alt	w5_d338e7487
und	w7_d338e7490
Neu=Flemichen	w9_d338e7493
stehen	w11_d338e7496
4.	w13_d338e7500
Escadrons	w1_d338e7505
Hussaren	w3_d338e7508
von	w5_d338e7511
Seckuli,	w7_d338e7514
und	w9_d338e7517
Ko	w11_d338e7520
sen	w1_d338e7525
ist	w3_d338e7528
mit	w5_d338e7531
200.	w7_d338e7534
Mann	w9_d338e7537
Jnfanterie	w1_d338e7542
besetzt.	w3_d338e7545
Zu	w1_d338e7551
Salk	w3_d338e7554
und	w5_d338e7557
Herrndorf	w7_d338e7560
cantoniret	w9_d338e7563
das	w11_d338e7566
Frey	w13_d338e7570
bataillon	w1_d338e7575
Wunsch,	w3_d338e7578
bey	w5_d338e7581
welchem	w7_d338e7584
die	w9_d338e7587
Deser	w11_d338e7590
Zu	w1_d338e7595
Naumburg	w3_d338e7598
sind	w5_d338e7601
tion	w1_d338e7606
nicht	w3_d338e7609
gering	w5_d338e7612
ist.	w7_d338e7615
200.	w1_d338e7621
Mann	w3_d338e7624
Dragoner	w5_d338e7627
und	w7_d338e7630
Küraßiers	w9_d338e7633
von	w11_d338e7636
Horn	w1_d338e7641
und	w3_d338e7644
Meinecke,	w5_d338e7647
die	w7_d338e7650
täglich	w9_d338e7653
zwischen	w11_d338e7656
Naumburg,	w1_d338e7661
Merseburg,	w3_d338e7664
Zeitz	w5_d338e7667
und	w7_d338e7670
Weissen	w9_d338e7673
fels,	w1_d338e7678
hin	w3_d338e7681
und	w5_d338e7684
her	w7_d338e7687
marschiren,	w9_d338e7690
wodurch	w11_d338e7693
sie	w13_d338e7697
ihre	w1_d338e7703
wahre	w3_d338e7706
Stärke	w5_d338e7709
zu	w7_d338e7712
verbergen	w9_d338e7715
suchen.	w11_d338e7718
Das	w1_d338e7723
Detaschement,	w3_d338e7726
welches	w5_d338e7729
die	w7_d338e7732
Brücke	w9_d338e7735
von	w11_d338e7738
Camburg	w1_d338e7743
besetzt	w3_d338e7746
hält,	w5_d338e7749
bestehet	w7_d338e7752
in	w9_d338e7755
3.	w11_d338e7758
Com	w13_d338e7762
pagnien	w1_d338e7767
von	w3_d338e7770
Bülow	w5_d338e7773
und	w7_d338e7776
Fink.	w9_d338e7779
Die	w11_d338e7782
zu	w13_d338e7786
Wundersleben	w1_d338e7792
auf	w3_d338e7795
Execution	w5_d338e7798
gelegene	w7_d338e7801
Preus	w9_d338e7804
sen	w1_d338e7809
kamen	w3_d338e7812
den	w5_d338e7815
20.	w7_d338e7818
in	w9_d338e7821
Kindelbruck	w11_d338e7824
an,	w13_d338e7828
und	w15_d338e7831
Tages	w1_d338e7836
darauf	w3_d338e7839
marschirten	w5_d338e7842
sie	w7_d338e7845
nach	w9_d338e7848
Cölle	w11_d338e7851
da;	w1_d338e7856
sie	w3_d338e7859
bestehen	w5_d338e7862
in	w7_d338e7865
300.	w9_d338e7868
Mann	w11_d338e7871
von	w13_d338e7875
verschie	w15_d338e7878
denen	w1_d338e7884
Regimentern,	w3_d338e7887
und	w5_d338e7890
der	w7_d338e7893
Major	w9_d338e7896
von	w11_d338e7899
Beyer	w1_d338e7904
führet	w3_d338e7907
sie.	w5_d338e7910
Der	w7_d338e7913
General	w9_d338e7916
von	w11_d338e7919
Aschers	w13_d338e7923
leben	w1_d338e7928
befindet	w3_d338e7931
sich	w5_d338e7934
zu	w7_d338e7937
Weissenfels.	w9_d338e7940
Die	w11_d338e7943
Thüringische	w1_d338e7948
Stände	w3_d338e7951
haben	w5_d338e7954
neue	w7_d338e7957
Ordres	w9_d338e7960
erhalten,	w1_d338e7966
unter	w3_d338e7969
scharfer	w5_d338e7972
Execution,	w7_d338e7975
den	w9_d338e7978
Rest	w11_d338e7981
</p>
<p id="p10_d338e7994">
der	w1_d338e7998
verlangten	w3_d338e8001
Contribution	w5_d338e8004
sotol	w7_d338e8007
in	w9_d338e8010
Na	w11_d338e8013
turalien,	w1_d338e8018
als	w3_d338e8021
in	w5_d338e8024
baarem	w7_d338e8027
Gelde,	w9_d338e8030
nach	w11_d338e8033
Leip	w13_d338e8037
zig	w1_d338e8042
zu	w3_d338e8045
liefern.	w5_d338e8048
</p>
<p id="p12_d338e8052">
Es	w1_d338e8056
hat	w3_d338e8059
zwar	w5_d338e8062
jüngsthin	w7_d338e8065
verlauten	w9_d338e8068
wollen,	w11_d338e8071
als	w1_d338e8076
obein	w3_d338e8079
Preußisches	w5_d338e8082
Corps	w7_d338e8085
sich	w9_d338e8088
der	w11_d338e8091
Stadt	w13_d338e8095
Hof	w1_d338e8100
bemeistert,	w3_d338e8103
und	w5_d338e8106
bey	w7_d338e8109
dieser	w9_d338e8112
Gelegen	w11_d338e8115
heit	w1_d338e8121
1.	w3_d338e8124
Kaiserl.	w5_d338e8127
Bataillon	w7_d338e8130
aufgehoben	w9_d338e8133
hätte.	w11_d338e8136
Dieses	w1_d338e8141
Gerücht	w3_d338e8144
aber	w5_d338e8147
war	w7_d338e8150
zu	w9_d338e8153
voreilig,	w11_d338e8156
und	w13_d338e8160
ungegründet;	w1_d338e8165
mit	w3_d338e8168
mehrerer	w5_d338e8171
Gewißheit	w7_d338e8174
kan	w9_d338e8177
man	w1_d338e8182
jetzo	w3_d338e8185
berichten,	w5_d338e8188
daß	w7_d338e8191
die	w9_d338e8194
Kaiserl.	w11_d338e8197
Königl.	w13_d338e8201
und	w1_d338e8207
Reichs=trupen	w3_d338e8210
die	w5_d338e8213
Stadl	w7_d338e8216
Hof	w9_d338e8219
wiederum	w11_d338e8222
besetzet,	w1_d338e8227
die	w3_d338e8230
Preußische	w5_d338e8233
Trupen	w7_d338e8236
hingegen	w9_d338e8239
sich	w11_d338e8242
wieder	w1_d338e8247
nach	w3_d338e8250
Sachsen	w5_d338e8253
zuruck	w7_d338e8256
gezogen	w9_d338e8259
haben.	w11_d338e8262
</p>
<p id="p14_d338e8265">
Es	w1_d338e8269
werden	w3_d338e8272
hier	w5_d338e8275
fast	w7_d338e8278
täglich	w9_d338e8281
Wägen	w11_d338e8284
mit	w13_d338e8288
Bleßirten	w1_d338e8293
eingebracht,	w3_d338e8296
und	w5_d338e8299
es	w7_d338e8302
scheinet,	w9_d338e8305
als	w11_d338e8308
würden	w1_d338e8313
wir	w3_d338e8316
wieder	w5_d338e8319
ein	w7_d338e8322
starkes	w9_d338e8325
Lazareth	w11_d338e8328
be	w13_d338e8332
kommen.	w1_d338e8338
Es	w3_d338e8341
werden	w5_d338e8344
noch	w7_d338e8347
immer	w9_d338e8350
Recru	w11_d338e8353
ten	w1_d338e8358
vom	w3_d338e8361
Lande	w5_d338e8364
herein	w7_d338e8367
geholt,	w9_d338e8370
und	w11_d338e8373
weil	w13_d338e8377
es	w15_d338e8380
an	w1_d338e8385
ledigen	w3_d338e8388
Leuten	w5_d338e8391
fehlt,	w7_d338e8394
so	w9_d338e8397
werden	w11_d338e8400
auch	w13_d338e8404
ver	w15_d338e8407
heyratete	w1_d338e8412
genommen.	w3_d338e8415
Jn	w1_d338e8421
Gera	w3_d338e8424
hat	w5_d338e8427
der	w7_d338e8430
Raht,	w1_d338e8435
die	w3_d338e8438
Regierung,	w5_d338e8441
und	w7_d338e8444
verschiedene	w9_d338e8447
Kauf	w11_d338e8450
leute	w1_d338e8455
Execution	w3_d338e8458
bekommen,	w5_d338e8461
weil	w7_d338e8464
sie	w9_d338e8467
die	w11_d338e8470
ver	w13_d338e8474
langte	w1_d338e8479
Contribution	w3_d338e8482
nicht	w5_d338e8485
so	w7_d338e8488
gleich	w9_d338e8491
abge	w11_d338e8494
tragen	w1_d338e8500
haben.	w3_d338e8503
Sie	w5_d338e8506
müssen	w7_d338e8509
85000.	w9_d338e8512
Thlr.	w11_d338e8515
erlegen.	w1_d338e8520
</p>
<head id="h2_d338e8526">
Dels	w1_d338e8530
20.	w3_d338e8533
Martii.	w5_d338e8536
</head>
<p id="p4_d338e8539">
Den	w1_d338e8543
11.	w3_d338e8546
dieses	w5_d338e8549
ist	w7_d338e8552
alhier,	w9_d338e8555
der	w11_d338e8558
Durchl.	w13_d338e8562
Erb=prinz	w1_d338e8567
Friedrich	w3_d338e8570
Christian	w5_d338e8573
Carl,	w7_d338e8576
zu	w9_d338e8579
Wür	w11_d338e8582
temberg	w1_d338e8587
Oels	w3_d338e8590
und	w5_d338e8593
Bernstadt,	w7_d338e8596
im	w9_d338e8599
2.	w11_d338e8602
Jahr	w13_d338e8606
seines	w1_d338e8612
Alters	w3_d338e8615
verstorben.	w5_d338e8618
</p>
<head id="h2_d338e8624">
Petersburg	w1_d338e8628
13.	w3_d338e8631
Martii.	w5_d338e8634
</head>
<p id="p4_d338e8637">
Den	w1_d338e8641
2.	w3_d338e8644
dieses	w5_d338e8647
Monats	w7_d338e8650
ist	w9_d338e8653
der	w11_d338e8656
Graf	w13_d338e8660
von	w1_d338e8665
Fermor	w3_d338e8668
alhier	w5_d338e8671
angelangt,	w7_d338e8674
folglich	w9_d338e8677
ware	w11_d338e8680
die	w1_d338e8685
ausgebreitete	w3_d338e8688
Nachricht,	w5_d338e8691
daß	w7_d338e8694
er	w9_d338e8697
bey	w11_d338e8700
Narva	w13_d338e8704
Ordre	w1_d338e8710
erhalten,	w3_d338e8713
nach	w5_d338e8716
Königsberg	w7_d338e8719
zurück	w9_d338e8722
zu	w11_d338e8725
reisen,	w1_d338e8730
ungegründet.	w3_d338e8733
Se.	w5_d338e8736
Excell.	w7_d338e8739
haben	w9_d338e8742
be	w11_d338e8745
reits	w1_d338e8750
bey	w3_d338e8753
der	w5_d338e8756
Monarchin	w7_d338e8759
öftere	w9_d338e8762
Audienz	w11_d338e8765
ge	w13_d338e8769
habt,	w1_d338e8774
und	w3_d338e8777
von	w5_d338e8780
Jhrer	w7_d338e8783
Majest.	w9_d338e8786
ausnehmen	w11_d338e8789
be	w1_d338e8795
Gnadens=bezeugungen	w3_d338e8798
genossen.	w5_d338e8801
Seit	w7_d338e8804
Dero	w1_d338e8809
Ankunft	w3_d338e8812
werden	w5_d338e8815
bey	w7_d338e8818
Hofe	w9_d338e8821
täglich	w11_d338e8824
Kriegs=conferenzen	w1_d338e8829
gepflogen,	w3_d338e8832
denen	w5_d338e8835
der	w7_d338e8838
Röm.	w1_d338e8843
Kaiserl.	w3_d338e8846
Gesandte,	w5_d338e8849
Herr	w7_d338e8852
Graf	w9_d338e8855
Ester	w11_d338e8858
hazy,	w1_d338e8864
der	w3_d338e8867
Königl.	w5_d338e8870
Französische	w7_d338e8873
Ambassa	w9_d338e8876
</p>
<p id="p6_d338e8879">
dem	w1_d338e8883
und	w3_d338e8886
der	w5_d338e8889
Kaiserl.	w7_d338e8892
Königl.	w9_d338e8895
Herr	w11_d338e8898
Gene	w13_d338e8902
ral	w1_d338e8907
von	w3_d338e8910
Tillier	w5_d338e8913
meistentheils	w7_d338e8916
beywohnen.	w9_d338e8919
Vor	w1_d338e8924
einigen	w3_d338e8927
Tagen	w5_d338e8930
ist	w7_d338e8933
auch	w9_d338e8936
der	w11_d338e8939
Herr	w13_d338e8943
Ge	w15_d338e8946
neral	w1_d338e8952
von	w3_d338e8955
Brann	w5_d338e8958
angelangt,	w7_d338e8961
und	w9_d338e8964
weil	w11_d338e8967
er	w13_d338e8971
ausser	w1_d338e8976
Stande	w3_d338e8979
ist	w5_d338e8982
weiter	w7_d338e8985
zu	w9_d338e8988
dienen,	w11_d338e8991
so	w13_d338e8995
glau	w15_d338e8998
ben	w1_d338e9003
viele,	w3_d338e9006
daß	w5_d338e9009
er	w7_d338e9012
das	w9_d338e9015
Dirertorium	w11_d338e9018
über	w13_d338e9022
das	w1_d338e9027
Kriegs=collegium	w3_d338e9030
erhalten	w5_d338e9033
werde.	w7_d338e9036
</p>
<head id="h2_d338e9042">
Warschau	w1_d338e9046
16.	w3_d338e9049
Martii.	w5_d338e9052
</head>
<p id="p4_d338e9055">
Den	w1_d338e9059
5ten	w3_d338e9062
dieses	w5_d338e9065
erschien	w7_d338e9068
der	w9_d338e9071
erfreuliche	w11_d338e9074
Namens=tag	w1_d338e9079
Sr.	w3_d338e9082
Majestät,	w5_d338e9085
unsers	w7_d338e9088
aller	w9_d338e9091
gnädigsten	w1_d338e9096
Königs,	w3_d338e9099
welcher	w5_d338e9102
auf	w7_d338e9105
das	w9_d338e9108
feyer	w11_d338e9111
lichste	w1_d338e9117
begangen	w3_d338e9120
wurde.	w5_d338e9123
Früh	w7_d338e9126
um	w9_d338e9129
7.	w11_d338e9132
Uhr	w13_d338e9136
wurde	w1_d338e9141
dieser	w3_d338e9144
Tag	w5_d338e9147
durch	w7_d338e9150
100.	w9_d338e9153
Cano	w11_d338e9156
nen=schüsse	w1_d338e9161
allen	w3_d338e9164
getreuen	w5_d338e9167
Warschauern	w7_d338e9170
kund	w1_d338e9175
gemacht.	w3_d338e9178
Um	w5_d338e9181
10.	w7_d338e9184
Uhr	w9_d338e9187
erhuben	w11_d338e9190
sich	w13_d338e9194
die	w1_d338e9200
hier	w3_d338e9203
anwesenden	w5_d338e9206
Herrschaften,	w7_d338e9209
und	w9_d338e9212
Gros	w11_d338e9215
sen	w1_d338e9220
des	w3_d338e9223
Reichs	w5_d338e9226
in	w7_d338e9229
der	w9_d338e9232
prächtigsten	w11_d338e9235
Gala	w13_d338e9239
nach	w1_d338e9244
Hofe,	w3_d338e9247
um	w5_d338e9250
bey	w7_d338e9253
unsern	w9_d338e9256
allergnädigsten	w11_d338e9259
Monarchen	w1_d338e9264
ihre	w3_d338e9267
allerunterthänigste	w5_d338e9270
Glück	w7_d338e9273
wünsche	w1_d338e9279
abzulegen.	w3_d338e9282
Abends	w5_d338e9285
um	w7_d338e9288
7.	w9_d338e9291
Uhr	w11_d338e9294
ward	w1_d338e9299
in	w3_d338e9302
dem	w5_d338e9305
Königl.	w7_d338e9308
Garten	w9_d338e9311
ein	w11_d338e9314
von	w13_d338e9318
der	w15_d338e9321
Sächsischen	w1_d338e9326
Artillerie	w3_d338e9329
verfertigtes	w5_d338e9332
Feuer	w7_d338e9335
werk	w1_d338e9340
abgebraut.	w3_d338e9343
Um	w5_d338e9346
8.	w7_d338e9349
Uhr	w9_d338e9352
beehrten	w11_d338e9355
Se.	w13_d338e9359
Königl.	w1_d338e9365
Hoheit	w3_d338e9368
der	w5_d338e9371
Herzog	w7_d338e9374
von	w9_d338e9377
Curland,	w11_d338e9380
den	w1_d338e9385
Herrn	w3_d338e9388
Bischoffen	w5_d338e9391
von	w7_d338e9394
Krackau,	w9_d338e9397
Fürsten	w11_d338e9400
Soltück,	w1_d338e9405
mit	w3_d338e9408
Dero	w5_d338e9411
hohen	w7_d338e9414
Gegenwart,	w9_d338e9417
wel	w11_d338e9420
cher,	w1_d338e9425
zu	w3_d338e9428
Bezeugung	w5_d338e9431
seiner	w7_d338e9434
unterthänigsten	w9_d338e9437
Freude,	w1_d338e9443
nicht	w3_d338e9446
allein	w5_d338e9449
den	w7_d338e9452
an	w9_d338e9455
seinen	w11_d338e9458
Palais	w13_d338e9462
stossenden	w1_d338e9467
Garten	w3_d338e9470
illuminiren,	w5_d338e9473
sondern	w7_d338e9476
auch	w9_d338e9479
ein	w1_d338e9484
Feuerwerk	w3_d338e9487
abbrennen	w5_d338e9490
ließ.	w7_d338e9493
Am	w9_d338e9496
Mitt	w11_d338e9499
woch	w1_d338e9504
erhielte	w3_d338e9507
besagter	w5_d338e9510
Fürst	w7_d338e9513
Bischof	w9_d338e9516
von	w11_d338e9519
Krackau,	w1_d338e9525
durch	w3_d338e9528
eine	w5_d338e9531
Staffette	w7_d338e9534
aus	w9_d338e9537
Rom	w11_d338e9540
die	w13_d338e9544
Confirmation	w1_d338e9549
dieses	w3_d338e9552
Bischoftums.	w5_d338e9555
</p>
<head id="h2_d338e9562">
Kurz=gefaßte	w1_d338e9566
Nachrichten.	w3_d338e9569
Es	w1_d338e9574
geben	w3_d338e9577
die	w5_d338e9580
frischeste	w7_d338e9583
Briefe	w9_d338e9586
</head>
<p id="p4_d338e9589">
Von	w1_d338e9593
Petersburg:	w3_d338e9596
Daß	w5_d338e9599
allda	w7_d338e9602
alles	w9_d338e9605
mit	w11_d338e9608
Recruten	w1_d338e9613
angefüllt	w3_d338e9616
sey,	w5_d338e9619
welche	w7_d338e9622
täglich	w9_d338e9625
exer	w11_d338e9628
cirt	w1_d338e9633
werden,	w3_d338e9636
und	w5_d338e9639
verschiedne	w7_d338e9642
tausend,	w9_d338e9645
mit	w11_d338e9648
der	w1_d338e9654
schönsten	w3_d338e9657
Montur	w5_d338e9660
versehen,	w7_d338e9663
bereits	w9_d338e9666
zur	w11_d338e9669
Armee	w1_d338e9674
abgegangen	w3_d338e9677
wären;	w5_d338e9680
es	w7_d338e9683
seye	w9_d338e9686
auch	w11_d338e9689
ein	w13_d338e9693
ansehnlicher	w1_d338e9698
Train	w3_d338e9701
von	w5_d338e9704
Artillerie,	w7_d338e9707
und	w9_d338e9710
Bom	w11_d338e9713
ben	w1_d338e9718
zu	w3_d338e9721
Lande	w5_d338e9724
abgeführt	w7_d338e9727
worden,	w9_d338e9730
und	w11_d338e9733
well	w13_d338e9737
</p>
<p id="p10_d338e9750">
keine	w1_d338e9754
Feld=stücke	w3_d338e9757
darunter	w5_d338e9760
waren,	w7_d338e9763
so	w9_d338e9766
ver	w11_d338e9769
mutet	w1_d338e9774
man,	w3_d338e9777
daß	w5_d338e9780
es	w7_d338e9783
mit	w9_d338e9786
gedachtem	w11_d338e9789
Besähse	w1_d338e9794
tze	w1_d338e9800
auf	w3_d338e9803
eine	w5_d338e9806
Belagerung	w7_d338e9809
angesehen	w9_d338e9812
sey.	w11_d338e9815
</p>
<p id="p12_d338e9819">
Von	w1_d338e9823
Siegen:	w3_d338e9826
Daß	w5_d338e9829
die	w7_d338e9832
leichte	w9_d338e9835
Franzö	w1_d338e9840
sische	w1_d338e9845
Trupen	w3_d338e9848
unter	w5_d338e9851
dem	w7_d338e9854
Commando	w9_d338e9857
des	w11_d338e9860
Marechal	w1_d338e9866
de	w3_d338e9869
Camp,	w5_d338e9872
Hrn.	w7_d338e9875
Barons	w9_d338e9878
du	w11_d338e9881
Blaisel,	w13_d338e9885
zum	w1_d338e9890
öftern	w3_d338e9893
mit	w5_d338e9896
denen	w7_d338e9899
Hanoveranern	w9_d338e9902
ins	w11_d338e9905
Hand=gemenge	w1_d338e9910
kommen,	w3_d338e9913
wobey	w5_d338e9916
seithero	w7_d338e9919
der	w9_d338e9922
Vortheil	w1_d338e9927
allezeit	w3_d338e9930
auf	w5_d338e9933
Seiten	w7_d338e9936
der	w9_d338e9939
erstern	w11_d338e9942
ge	w13_d338e9946
wesen	w1_d338e9952
seye,	w3_d338e9955
wie	w5_d338e9958
sie	w7_d338e9961
dann	w9_d338e9964
auch	w11_d338e9967
bey	w13_d338e9971
verschie	w15_d338e9974
denen	w1_d338e9979
Gelegenheiten	w3_d338e9982
von	w5_d338e9985
ihnen	w7_d338e9988
Gefangene	w9_d338e9991
gemacht.	w1_d338e9996
Noch	w3_d338e9999
am	w5_d338e10002
24sten	w7_d338e10005
habe	w9_d338e10008
ein	w11_d338e10011
Corps	w13_d338e10015
Jäger,	w1_d338e10020
und	w3_d338e10023
andere	w5_d338e10026
Hanövrische	w7_d338e10029
Trupen	w9_d338e10032
die	w11_d338e10035
Hussaren	w1_d338e10041
von	w3_d338e10044
Turpin	w5_d338e10047
angegriffen,	w7_d338e10050
sie	w9_d338e10053
seyen	w11_d338e10056
aber	w1_d338e10061
mit	w3_d338e10064
Verlust	w5_d338e10067
zurücke	w7_d338e10070
getrieben	w9_d338e10073
worden;	w11_d338e10076
die	w1_d338e10081
Franzosen	w3_d338e10084
hätten	w5_d338e10087
dabey	w7_d338e10090
einige	w9_d338e10093
Pferde,	w11_d338e10096
und	w1_d338e10101
die	w3_d338e10104
Hanoveraner	w5_d338e10107
einige	w7_d338e10110
Leute	w9_d338e10113
verloren,	w11_d338e10116
auch	w1_d338e10122
seyen	w3_d338e10125
verschiedene	w5_d338e10128
derselben	w7_d338e10131
gefangen	w9_d338e10134
genommen	w1_d338e10139
worden,	w3_d338e10142
die	w5_d338e10145
am	w7_d338e10148
24sten	w9_d338e10151
Martii	w11_d338e10154
durch	w1_d338e10159
Siegen	w3_d338e10162
paßiret	w5_d338e10165
wären.	w7_d338e10168
</p>
<p id="p14_d338e10171">
Von	w1_d338e10175
Londen:	w3_d338e10178
daß	w5_d338e10181
der	w7_d338e10184
Lord	w9_d338e10187
Georg	w11_d338e10190
Sack	w13_d338e10194
ville	w1_d338e10199
commandirendet	w3_d338e10202
General	w5_d338e10205
en	w7_d338e10208
Chef	w9_d338e10211
de	w11_d338e10214
ren	w1_d338e10219
Engländischen	w3_d338e10222
Trupen	w5_d338e10225
in	w7_d338e10228
Westphalen	w9_d338e10231
den	w1_d338e10237
21.	w3_d338e10240
Martii	w5_d338e10243
von	w7_d338e10246
dannen	w9_d338e10249
zu	w11_d338e10252
der	w13_d338e10256
alliir	w15_d338e10259
ten	w1_d338e10264
Armee	w3_d338e10267
abgereiset	w5_d338e10270
seye.	w7_d338e10273
</p>
<p id="p16_d338e10276">
Von	w1_d338e10280
Stockholm:	w3_d338e10283
daß	w5_d338e10286
2.	w7_d338e10289
Nationalre	w9_d338e10292
almenter	w1_d338e10297
Jnfanterie,	w3_d338e10300
und	w5_d338e10303
eines	w7_d338e10306
deto	w9_d338e10309
Dra	w11_d338e10312
goner	w1_d338e10317
zu	w3_d338e10320
der	w5_d338e10323
Königl.	w7_d338e10326
Schwedischen	w9_d338e10329
Armee	w11_d338e10332
in	w1_d338e10338
Pommern	w3_d338e10341
abzugehen,	w5_d338e10344
die	w7_d338e10347
letzte	w9_d338e10350
Ordre	w11_d338e10353
bereits	w1_d338e10358
empfangen	w3_d338e10361
hätten.	w5_d338e10364
</p>
<p id="p18_d338e10367">
Aus	w1_d338e10371
dem	w3_d338e10374
Mecklenburgischen:	w5_d338e10377
daß	w7_d338e10380
die	w9_d338e10383
Preussen	w1_d338e10388
den	w3_d338e10391
20.	w5_d338e10394
und	w7_d338e10397
21.	w9_d338e10400
Martii	w11_d338e10403
die	w13_d338e10407
Ka	w15_d338e10410
ninchen=insul	w1_d338e10415
mit	w3_d338e10418
vieler	w5_d338e10421
Lebhaftigkeit	w7_d338e10424
be	w9_d338e10427
schossen,	w1_d338e10433
die	w3_d338e10436
Mecklenburgische	w5_d338e10439
Trupen	w7_d338e10442
aber	w9_d338e10445
annoch	w1_d338e10450
den	w3_d338e10453
23.	w5_d338e10456
Dito	w7_d338e10459
sich	w9_d338e10462
alldaselbst	w11_d338e10465
fest	w13_d338e10469
gehalten	w1_d338e10474
hätten.	w3_d338e10477
</p>
<p id="p20_d338e10480">
Von	w1_d338e10484
Berlin:	w3_d338e10487
daß	w5_d338e10490
allda	w7_d338e10493
ein	w9_d338e10496
weiteres	w11_d338e10499
Königl.	w1_d338e10504
Preußisches	w3_d338e10507
Manifest	w5_d338e10510
wegen	w7_d338e10513
der	w9_d338e10516
den	w1_d338e10521
6.	w3_d338e10524
vorigen	w5_d338e10527
Monats	w7_d338e10530
Martii	w9_d338e10533
beschehe	w11_d338e10536
nen	w1_d338e10542
gefänglichen	w3_d338e10545
Hinweg=führung	w5_d338e10548
des	w7_d338e10551
regierenden	w1_d338e10556
Fürstens,	w3_d338e10559
Sulkowsky	w5_d338e10562
zum	w7_d338e10565
Vorschein	w1_d338e10570
gekommen	w3_d338e10573
seye,	w5_d338e10576
in	w7_d338e10579
welchem	w9_d338e10582
die	w11_d338e10585
ses	w1_d338e10590
ansonst	w3_d338e10593
unerhörte	w5_d338e10596
Unternehmen	w7_d338e10599
haupt	w9_d338e10602
</p>
<p id="p22_d338e10605">
sächlichen	w1_d338e10609
darauf	w3_d338e10612
sich	w5_d338e10615
gründet,	w7_d338e10618
daß	w9_d338e10621
dieser	w11_d338e10624
Fürst	w1_d338e10629
von	w3_d338e10632
darumen	w5_d338e10635
in	w7_d338e10638
der	w9_d338e10641
vorigen	w11_d338e10644
wegen	w13_d338e10648
Einruckung	w1_d338e10653
deren	w3_d338e10656
Preußischen	w5_d338e10659
Völkern	w7_d338e10662
in	w9_d338e10665
Pohlen	w1_d338e10671
herausgegebenen	w3_d338e10674
Königl.	w5_d338e10677
Preußi	w7_d338e10680
womit	w1_d338e10685
denen	w3_d338e10688
gesamten	w5_d338e10691
schen	w1_d338e10696
Erklärung,	w3_d338e10699
Jnsassen	w1_d338e10704
des	w3_d338e10707
Königreichs	w5_d338e10710
Pohlen	w7_d338e10713
die	w9_d338e10716
Ver	w11_d338e10719
schonung	w1_d338e10725
mit	w3_d338e10728
allen	w5_d338e10731
Feindseeligkeiten	w1_d338e10736
ver	w3_d338e10739
sprochen	w1_d338e10744
worden,	w3_d338e10747
nicht	w1_d338e10752
begriffen	w3_d338e10755
seye,	w5_d338e10758
weilen	w1_d338e10764
selber	w3_d338e10767
durch	w5_d338e10770
Errichtung	w7_d338e10773
eines	w9_d338e10776
Re	w11_d338e10779
giments	w1_d338e10784
(welches	w3_d338e10787
er	w5_d338e10790
in	w7_d338e10793
Kaiserl.	w9_d338e10796
Dienste	w11_d338e10799
übertretten	w1_d338e10804
zu	w3_d338e10807
lassen,	w5_d338e10810
gesinnet	w7_d338e10813
gewesen	w9_d338e10816
wä	w11_d338e10819
re,	w1_d338e10824
das	w3_d338e10827
besondere	w5_d338e10830
Miß=vergnügen	w7_d338e10833
des	w9_d338e10836
Königs	w1_d338e10842
v.	w3_d338e10845
Preußen	w5_d338e10848
sich	w7_d338e10851
zugezogen	w9_d338e10854
hätte)	w11_d338e10857
wel	w13_d338e10861
ches	w1_d338e10866
Miß=vergnügen	w3_d338e10869
dem	w5_d338e10872
nach	w7_d338e10875
alleinig	w9_d338e10878
