<doc id="wr_1763-03-09" attrs="word" year="1763" month="03" day="09" corpus="2">
<head id="h2_d741e3075">
Schluß	w1_d741e3079
sogenannten	w1_d741e6724
brüderlichen	w3_d741e6727
Versammlung	w5_d741e6730
ein	w7_d741e6733
zuladen,	w1_d741e6738
worunter	w3_d741e6741
fürnämlich	w5_d741e6744
ein	w7_d741e6747
anderer	w9_d741e6750
Endzweck,	w1_d741e6755
nämlich	w3_d741e6758
die	w5_d741e6761
Huldigung,	w7_d741e6764
erzielet	w9_d741e6767
werden	w1_d741e6772
soll.	w3_d741e6775
Solche	w5_d741e6778
Handlung	w7_d741e6781
ist	w9_d741e6784
ihme	w11_d741e6787
in	w1_d741e6793
Person	w3_d741e6796
noch	w5_d741e6799
nicht	w7_d741e6802
geschehen,	w9_d741e6805
weil	w11_d741e6808
er	w13_d741e6812
seit	w15_d741e6815
1737.	w1_d741e6820
als	w3_d741e6823
der	w5_d741e6826
Zeit	w7_d741e6829
seiner	w9_d741e6832
ersten	w11_d741e6835
Einsetzung	w13_d741e6839
in	w1_d741e6844
diese	w3_d741e6847
Landes=herrschaft	w5_d741e6850
stätsfort	w7_d741e6853
entwe	w9_d741e6856
der	w1_d741e6861
in	w3_d741e6864
Rußland	w5_d741e6867
oder	w7_d741e6870
im	w9_d741e6873
Exilio	w11_d741e6876
gewesen.	w13_d741e6880
Die	w15_d741e6883
se	w1_d741e6889
Universalien	w3_d741e6892
sind	w5_d741e6895
von	w7_d741e6898
Mietau	w9_d741e6901
unterm	w11_d741e6904
10.	w13_d741e6908
dieses	w1_d741e6913
gestellet,	w3_d741e6916
und	w5_d741e6919
um	w7_d741e6922
deswillen	w9_d741e6925
hatte	w11_d741e6928
der	w13_d741e6932
Herzog	w1_d741e6937
von	w3_d741e6940
Biron	w5_d741e6943
die	w7_d741e6946
Reise	w9_d741e6949
in	w11_d741e6952
diese	w13_d741e6956
Stadt	w15_d741e6959
gethan,	w1_d741e6964
weil	w3_d741e6967
er	w5_d741e6970
dergleichen	w7_d741e6973
Schreiben	w9_d741e6976
nir	w11_d741e6979
gends	w1_d741e6985
anders,	w3_d741e6988
als	w5_d741e6991
in	w7_d741e6994
dem	w9_d741e6997
Jnnern	w11_d741e7000
der	w13_d741e7004
Pro	w15_d741e7007
vinz	w1_d741e7012
selbsten,	w3_d741e7015
ausfertigen	w5_d741e7018
konnte.	w7_d741e7021
Er	w9_d741e7024
setzet	w11_d741e7027
darinn	w1_d741e7032
den	w3_d741e7035
10.	w5_d741e7038
Tag	w7_d741e7041
des	w9_d741e7044
folgenden	w11_d741e7047
Monats	w13_d741e7051
zur	w1_d741e7056
ausgeschriebenen	w3_d741e7059
Versammlung	w5_d741e7062
an,	w7_d741e7065
und	w9_d741e7068
dringet	w1_d741e7074
bey	w3_d741e7077
der	w5_d741e7080
Regierung	w7_d741e7083
und	w9_d741e7086
dem	w11_d741e7089
Adel,	w13_d741e7093
daraus	w1_d741e7098
sie	w3_d741e7101
bestehen	w5_d741e7104
soll,	w7_d741e7107
ihm	w9_d741e7110
zu	w11_d741e7113
huldigen.	w13_d741e7117
Er	w1_d741e7122
läßt	w3_d741e7125
sich	w5_d741e7128
über	w7_d741e7131
die	w9_d741e7134
Gnade,	w11_d741e7137
welche	w13_d741e7141
ihm	w15_d741e7144
die	w17_d741e7147
Kaiserin	w1_d741e7152
Catharina	w3_d741e7155
durch	w5_d741e7158
die	w7_d741e7161
Wiedereinse	w9_d741e7164
tzung	w1_d741e7170
in	w3_d741e7173
seine	w5_d741e7176
Ehren	w7_d741e7179
und	w9_d741e7182
Güter	w11_d741e7185
erzeiget,	w13_d741e7189
weitläuftig	w1_d741e7194
heraus,	w3_d741e7197
ohne	w5_d741e7200
des	w7_d741e7203
Königs	w9_d741e7206
noch	w11_d741e7209
der	w1_d741e7214
Republick	w3_d741e7217
von	w5_d741e7220
Pohlen	w7_d741e7223
nur	w9_d741e7226
mit	w11_d741e7229
einem	w13_d741e7233
Wort	w1_d741e7238
zu	w3_d741e7241
gedenken.	w5_d741e7244
Endlich	w7_d741e7247
meldet	w9_d741e7250
er,	w11_d741e7253
daß	w1_d741e7259
Samstag	w3_d741e7262
der	w5_d741e7265
22.	w7_d741e7268
dieses,	w9_d741e7271
der	w11_d741e7274
Tag	w13_d741e7278
sei	w15_d741e7281
nes	w1_d741e7286
Einzugs	w3_d741e7289
mit	w5_d741e7292
seiner	w7_d741e7295
ganzen	w9_d741e7298
Famille	w11_d741e7301
in	w13_d741e7305
Mietau	w1_d741e7310
seyn	w3_d741e7313
solle.	w5_d741e7316
</p>
<p id="p6_d741e7319">
Der	w1_d741e7323
Rußische	w3_d741e7326
Resident,	w5_d741e7329
Hr.	w7_d741e7332
Simolin,	w9_d741e7335
be	w11_d741e7338
|	w13_d741e7342
|	w15_d741e7345
gleitete	w1_d741e7350
diese	w3_d741e7353
Universalien	w5_d741e7356
des	w7_d741e7359
Herzogs	w9_d741e7362
von	w11_d741e7365
Bivon	w1_d741e7370
mit	w3_d741e7373
einem	w5_d741e7376
Circular=schreiben,	w7_d741e7379
worinn	w1_d741e7385
er	w3_d741e7388
im	w5_d741e7391
Namen	w7_d741e7394
seines	w9_d741e7397
Hofs,	w11_d741e7400
dem	w13_d741e7404
Cur	w15_d741e7407
ländischen	w1_d741e7412
Adel	w3_d741e7415
anempfiehlet,	w5_d741e7418
dem	w7_d741e7421
nun	w9_d741e7424
zu	w11_d741e7427
</p>
<p id="p12_d741e7441">
rück	w1_d741e7445
beruffenen	w3_d741e7448
alten	w5_d741e7451
Ober=herrn	w7_d741e7454
sich	w9_d741e7457
aufs	w11_d741e7460
neue	w1_d741e7465
zu	w3_d741e7468
untergeben.	w5_d741e7471
Er	w7_d741e7474
verspricht	w9_d741e7477
denen,	w11_d741e7480
die	w1_d741e7485
ihn	w3_d741e7488
jetzt	w5_d741e7491
erkennen,	w7_d741e7494
den	w9_d741e7497
Schutz	w11_d741e7500
der	w13_d741e7504
Kaise	w15_d741e7507
rin	w1_d741e7513
seiner	w3_d741e7516
Beherrscherin,	w5_d741e7519
und	w7_d741e7522
bedrohet	w9_d741e7525
hin	w11_d741e7528
gegen	w1_d741e7533
mit	w3_d741e7536
der	w5_d741e7539
Ungnade	w7_d741e7542
dieser	w9_d741e7545
Prinzeßin	w11_d741e7548
diejenige,	w1_d741e7553
so	w3_d741e7556
hierbey	w5_d741e7559
einen	w7_d741e7562
Anstand	w9_d741e7565
finden	w11_d741e7568
wollen.	w1_d741e7573
Der	w3_d741e7576
Herzog	w5_d741e7579
Carl,	w7_d741e7582
so	w9_d741e7585
noch	w11_d741e7588
zu	w13_d741e7592
Mie	w15_d741e7595
tau	w1_d741e7601
ist,	w3_d741e7604
hat	w5_d741e7607
beede	w7_d741e7610
Stücke	w9_d741e7613
dem	w11_d741e7616
König	w13_d741e7620
seinem	w15_d741e7623
Herrn	w1_d741e7628
Vatter	w3_d741e7631
zugesandt,	w5_d741e7634
und	w7_d741e7637
ruffet	w9_d741e7640
zugleich	w11_d741e7643
bey	w1_d741e7648
Sr.	w3_d741e7651
Majest.	w5_d741e7654
als	w7_d741e7657
Ober=herrn,	w9_d741e7660
und	w11_d741e7663
bey	w13_d741e7667
der	w1_d741e7672
Republick	w3_d741e7675
um	w5_d741e7678
Schutz	w7_d741e7681
und	w9_d741e7684
Verhaltungs	w11_d741e7687
befehle	w1_d741e7693
an.	w3_d741e7696
</p>
<p id="p14_d741e7699">
Se.	w1_d741e7703
Pohlnische	w3_d741e7706
Majest.	w5_d741e7709
haben	w7_d741e7712
dem	w9_d741e7715
Prin	w11_d741e7718
zen	w1_d741e7723
die	w3_d741e7726
Antwort	w5_d741e7729
ertheilet,	w7_d741e7732
daß,	w9_d741e7735
weil	w11_d741e7738
sie	w13_d741e7742
oh	w15_d741e7745
ne	w1_d741e7750
des	w3_d741e7753
Senats	w5_d741e7756
Gutachten	w7_d741e7759
nichts	w9_d741e7762
anordnen	w11_d741e7765
könnten,	w1_d741e7771
so	w3_d741e7774
wären	w5_d741e7777
zu	w7_d741e7780
desselben	w9_d741e7783
Zusammen	w11_d741e7786
beruffung	w1_d741e7791
die	w3_d741e7794
nöhtige	w5_d741e7797
Schreiben	w7_d741e7800
schon	w9_d741e7803
er	w11_d741e7806
gangen,	w1_d741e7811
von	w3_d741e7814
dessen	w5_d741e7817
Berahtschlagungen	w7_d741e7820
und	w9_d741e7823
Abschluß	w1_d741e7828
lediglich	w3_d741e7831
abhange,	w5_d741e7834
wie	w7_d741e7837
er	w9_d741e7840
sich	w11_d741e7843
zu	w13_d741e7847
verhalten	w1_d741e7853
hätte.	w3_d741e7856
Man	w5_d741e7859
ist	w7_d741e7862
der	w9_d741e7865
Meinung,	w11_d741e7868
das	w1_d741e7873
Senatus	w3_d741e7876
Consilium	w5_d741e7879
werde	w7_d741e7882
zu	w9_d741e7885
Ende	w11_d741e7888
des	w13_d741e7892
künftigen	w1_d741e7897
Monats	w3_d741e7900
statt	w5_d741e7903
finden.	w7_d741e7906
Mitlerwei	w9_d741e7909
le	w1_d741e7914
ist	w3_d741e7917
der	w5_d741e7920
Herr	w7_d741e7923
von	w9_d741e7926
Borch	w11_d741e7929
mit	w13_d741e7933
Briefen	w15_d741e7936
von	w17_d741e7939
Sr.	w1_d741e7945
Pohlnischen	w3_d741e7948
Majestät	w5_d741e7951
an	w7_d741e7954
die	w9_d741e7957
Rußische	w11_d741e7960
Kaiserin	w1_d741e7965
und	w3_d741e7968
Jhren	w5_d741e7971
Staats=raht	w7_d741e7974
nach	w9_d741e7977
Mo	w11_d741e7980
scau	w1_d741e7985
abgereiset.	w3_d741e7988
</p>
<head id="h2_d741e7994">
Warschau	w1_d741e7998
den	w3_d741e8001
2.	w5_d741e8004
Febr.	w7_d741e8007
</head>
<p id="p4_d741e8010">
Die	w1_d741e8014
Königl.	w3_d741e8017
Circular=briefe	w5_d741e8020
an	w7_d741e8023
die	w9_d741e8026
sämt	w11_d741e8029
lichen	w1_d741e8034
Herrer	w3_d741e8037
Senatores	w5_d741e8040
und	w7_d741e8043
Ministers,	w9_d741e8046
wegen	w1_d741e8051
de	w3_d741e8054
rstehenden	w5_d741e8057
Senatus	w7_d741e8060
Consilii,	w9_d741e8063
sind	w1_d741e8069
jüngstber.	w3_d741e8072
enen	w5_d741e8075
27.	w7_d741e8078
Jan.	w9_d741e8081
ausgefer	w11_d741e8084
tigt	w1_d741e8089
worden.	w3_d741e8092
Der	w5_d741e8095
Jnbalt	w7_d741e8098
ist	w9_d741e8101
dieser:	w11_d741e8104
</p>
<p id="p6_d741e8107">
August	w1_d741e8111
der	w3_d741e8114
Dritte	w5_d741e8117
rc.	w7_d741e8120
rc.	w9_d741e8123
rc.	w11_d741e8126
Wolgeborn	w13_d741e8130
e	w15_d741e8133
re.	w17_d741e8136
Da	w1_d741e8141
wider	w3_d741e8144
alles	w5_d741e8147
Vermuten	w7_d741e8150
gewaltsamer	w9_d741e8153
Wei	w11_d741e8156
se	w1_d741e8161
Widerwärtigkeiten	w3_d741e8164
zum	w5_d741e8167
Nachtheil	w7_d741e8170
der	w9_d741e8173
Rechte	w1_d741e8179
Unseres	w3_d741e8182
Throns,	w5_d741e8185
in	w7_d741e8188
Curland	w9_d741e8191
entste	w11_d741e8194
hen,	w1_d741e8199
und	w3_d741e8202
zwar	w5_d741e8205
solche,	w7_d741e8208
die	w9_d741e8211
mit	w11_d741e8214
der	w13_d741e8218
Oberherr	w15_d741e8221
schaft	w1_d741e8226
der	w3_d741e8229
Republic	w5_d741e8232
über	w7_d741e8235
solche	w9_d741e8238
Herzogtü	w11_d741e8241
mer	w1_d741e8246
nicht	w3_d741e8249
übereinkommen.	w5_d741e8252
So	w7_d741e8255
erfordert	w9_d741e8258
dieser	w1_d741e8264
Vorfall	w3_d741e8267
von	w5_d741e8270
Uns,	w7_d741e8273
die	w9_d741e8276
allergewöhnlich	w11_d741e8279
sten	w1_d741e8284
Maas	w3_d741e8287
reguln	w5_d741e8290
zu	w7_d741e8293
suchen,	w9_d741e8296
um	w11_d741e8299
diese	w13_d741e8303
Pro	w15_d741e8306
vinz	w1_d741e8311
von	w3_d741e8314
der	w5_d741e8317
ihr	w7_d741e8320
gedroheten	w9_d741e8323
Gefahr	w11_d741e8326
zu	w13_d741e8330
er	w15_d741e8333
retten.	w1_d741e8338
Und	w3_d741e8341
da	w5_d741e8344
jederzeit	w7_d741e8347
das	w9_d741e8350
erste	w11_d741e8353
Rettungs	w13_d741e8357
</p>
<p id="p8_d741e8360">
mittel	w1_d741e8364
in	w3_d741e8367
dieser	w5_d741e8370
Republic	w7_d741e8373
ist,	w9_d741e8376
das	w11_d741e8379
Gutachten	w13_d741e8383
des	w1_d741e8388
Senats	w3_d741e8391
einzuziehen,	w5_d741e8394
so	w7_d741e8397
haben	w9_d741e8400
Wir	w11_d741e8403
nach	w13_d741e8407
dem	w1_d741e8412
Beyspiel	w3_d741e8415
Unserer	w5_d741e8418
Vorfahren	w7_d741e8421
beschlos	w9_d741e8424
sen,	w1_d741e8430
ein	w3_d741e8433
Senatus	w5_d741e8436
Consilium	w7_d741e8439
auf	w9_d741e8442
den	w11_d741e8445
28.	w13_d741e8449
Febr.	w15_d741e8452
dieses	w1_d741e8457
Jahrs	w3_d741e8460
anzusetzen.	w5_d741e8463
</p>
<p id="p10_d741e8466">
Da	w1_d741e8470
Uns	w3_d741e8473
nun	w5_d741e8476
Ew.	w7_d741e8479
Liebden	w9_d741e8482
lobwürdiger	w11_d741e8485
Eifer	w1_d741e8490
für	w3_d741e8493
die	w5_d741e8496
Rechte	w7_d741e8499
des	w9_d741e8502
Vatterlandes,	w11_d741e8505
und	w13_d741e8509
für	w1_d741e8514
die	w3_d741e8517
Ehre	w5_d741e8520
und	w7_d741e8523
Authorität	w9_d741e8526
des	w11_d741e8529
Throns,	w13_d741e8533
nicht	w15_d741e8536
minder	w1_d741e8542
Eure	w3_d741e8545
tiefe	w5_d741e8548
Einsicht	w7_d741e8551
bey	w9_d741e8554
den	w11_d741e8557
öffentlichen	w13_d741e8561
Rahtschlägen	w1_d741e8566
bekannt	w3_d741e8569
ist;	w5_d741e8572
so	w7_d741e8575
entbieten	w9_d741e8578
Wir	w11_d741e8581
Euere	w1_d741e8586
Gegenwart;	w3_d741e8589
da	w5_d741e8592
dann	w7_d741e8595
die	w9_d741e8598
vorkommen	w11_d741e8601
de	w1_d741e8606
Materien	w3_d741e8609
Ew.	w5_d741e8612
Liebden	w7_d741e8615
mit	w9_d741e8618
mehreren	w11_d741e8621
Ge	w13_d741e8625
legenheit	w1_d741e8631
geben	w3_d741e8634
werden.	w5_d741e8637
Dero	w7_d741e8640
Eifer	w9_d741e8643
für	w11_d741e8646
die	w1_d741e8651
Rechte	w3_d741e8654
des	w5_d741e8657
Vaterlandes,	w7_d741e8660
gegen	w9_d741e8663
Uns	w11_d741e8666
aber	w13_d741e8670
Dero	w1_d741e8675
Zuneigung	w3_d741e8678
zu	w5_d741e8681
bezeugen.	w7_d741e8684
Wir	w9_d741e8687
wün	w11_d741e8690
schen	w1_d741e8695
Ew.	w3_d741e8698
Liebden	w5_d741e8701
von	w7_d741e8704
GOtt	w9_d741e8707
gute	w11_d741e8710
Gesund	w13_d741e8714
heit.	w1_d741e8720
</p>
<head id="h2_d741e8727">
Gegeben	w1_d741e8731
Warschau,	w3_d741e8734
den	w5_d741e8737
22.	w7_d741e8740
Jan	w9_d741e8743
1763	w11_d741e8746
Unserer	w1_d741e8751
Regierung	w3_d741e8754
im	w5_d741e8757
30.	w7_d741e8760
Jahr.	w9_d741e8763
Aus	w1_d741e8768
Mietau	w3_d741e8771
23.	w5_d741e8774
Jenner.	w7_d741e8777
</head>
<p id="p4_d741e8780">
Gestern	w1_d741e8784
Nachmittag	w3_d741e8787
hieltte	w5_d741e8790
der	w7_d741e8793
Herzog	w9_d741e8796
Biron	w1_d741e8801
mit	w3_d741e8804
seiner	w5_d741e8807
Famille	w7_d741e8810
den	w9_d741e8813
Einzug	w11_d741e8816
in	w13_d741e8820
hiesige	w1_d741e8825
Residenz=stadt;	w3_d741e8828
der	w5_d741e8831
Magistrat	w7_d741e8834
und	w9_d741e8837
die	w1_d741e8843
bürgerliche	w3_d741e8846
Wache,	w5_d741e8849
da	w7_d741e8852
sie	w9_d741e8855
sich	w11_d741e8858
weiger	w13_d741e8862
ten,	w1_d741e8867
den	w3_d741e8870
Eid	w5_d741e8873
der	w7_d741e8876
Treue	w9_d741e8879
abzulegen,	w11_d741e8882
wur	w13_d741e8886
den	w1_d741e8891
durch	w3_d741e8894
die	w5_d741e8897
Execution	w7_d741e8900
Rußischer	w9_d741e8903
Solda	w11_d741e8906
ten,	w1_d741e8911
welche	w3_d741e8914
zu	w5_d741e8917
dieser	w7_d741e8920
Begebenheit	w9_d741e8923
Sturm	w11_d741e8926
geschlagen,	w1_d741e8932
dazu	w3_d741e8935
mit	w5_d741e8938
Gewalt	w7_d741e8941
gezwungen.	w9_d741e8944
Der	w1_d741e8949
Rußische	w3_d741e8952
Staats=rath	w5_d741e8955
Herr	w7_d741e8958
von	w9_d741e8961
Simolin,	w1_d741e8966
drohete	w3_d741e8969
selbsten,	w5_d741e8972
mit	w7_d741e8975
den	w9_d741e8978
Offi	w11_d741e8981
ciren	w1_d741e8986
den	w3_d741e8989
Magistrat	w5_d741e8992
zu	w7_d741e8995
arretiren,	w9_d741e8998
und	w11_d741e9001
nö	w13_d741e9005
thigte	w1_d741e9011
solchen	w3_d741e9014
durch	w5_d741e9017
15.	w7_d741e9020
Rußische	w9_d741e9023
Gre	w11_d741e9026
nadiers	w1_d741e9031
die	w3_d741e9034
Stadt=fahne	w5_d741e9037
herzugeben.	w7_d741e9040
Jn	w9_d741e9043
der	w1_d741e9048
Nacht	w3_d741e9051
vor	w5_d741e9054
diesem	w7_d741e9057
Einzug	w9_d741e9060
ward	w11_d741e9063
die	w13_d741e9067
bey	w15_d741e9070
Gelegenheit	w1_d741e9075
der	w3_d741e9078
Huldigung	w5_d741e9081
Sr.	w7_d741e9084
Königl.	w9_d741e9087
Hoheit	w1_d741e9093
des	w3_d741e9096
Herzogen	w5_d741e9099
Carls	w7_d741e9102
1759.	w9_d741e9105
errich	w11_d741e9108
tete	w1_d741e9113
Triumf=pforte	w3_d741e9116
hinweggethan,	w5_d741e9119
die	w7_d741e9122
Königl.	w1_d741e9127
und	w3_d741e9130
Herzogl.	w5_d741e9133
Cron	w7_d741e9136
desselben	w9_d741e9139
hin	w11_d741e9142
weggenomen	w1_d741e9147
und	w3_d741e9150
seine	w5_d741e9153
Wappen	w7_d741e9156
nebst	w9_d741e9159
der	w11_d741e9162
Polnischen	w1_d741e9168
Crone	w3_d741e9171
mit	w5_d741e9174
samt	w7_d741e9177
seinem	w9_d741e9180
Namen	w11_d741e9183
in	w1_d741e9188
den	w3_d741e9191
Aufschriften	w5_d741e9194
dieser	w7_d741e9197
Pforte	w9_d741e9200
ausgestri	w11_d741e9203
chen.	w1_d741e9208
Die	w3_d741e9211
Glieder	w5_d741e9214
dieser	w7_d741e9217
Herzoglichen	w9_d741e9220
</p>
<p id="p10_d741e9233">
Regierung,	w1_d741e9237
da	w3_d741e9240
ihnen	w5_d741e9243
ein	w7_d741e9246
Officier,	w9_d741e9249
der	w11_d741e9252
von	w13_d741e9256
dem	w1_d741e9261
Staats=rath	w3_d741e9264
Herrn	w5_d741e9267
von	w7_d741e9270
Simolin,	w9_d741e9273
ge	w11_d741e9276
schickt	w1_d741e9281
war,	w3_d741e9284
hinterbrachte,	w5_d741e9287
daß	w7_d741e9290
sie	w9_d741e9293
diesen	w11_d741e9296
von	w1_d741e9302
Sr.	w3_d741e9305
Rußischen	w5_d741e9308
Majestät	w7_d741e9311
eingesetzten	w9_d741e9314
Herzog	w1_d741e9319
von	w3_d741e9322
Biron	w5_d741e9325
für	w7_d741e9328
ihren	w9_d741e9331
Herzogen	w11_d741e9334
er	w13_d741e9338
kennen,	w1_d741e9343
und	w3_d741e9346
ihme	w5_d741e9349
mit	w7_d741e9352
aller	w9_d741e9355
Treue	w11_d741e9358
dienen	w13_d741e9362
sollen,	w1_d741e9367
entschuldigten	w3_d741e9370
sich	w5_d741e9373
mit	w7_d741e9376
vermelden:	w9_d741e9379
daß	w1_d741e9385
sie	w3_d741e9388
dem	w5_d741e9391
König	w7_d741e9394
und	w9_d741e9397
der	w11_d741e9400
Regierung	w13_d741e9404
von	w1_d741e9409
Pohlen	w3_d741e9412
nicht	w5_d741e9415
könnten	w7_d741e9418
untreu	w9_d741e9421
werden,	w11_d741e9424
und	w1_d741e9429
daß	w3_d741e9432
sie	w5_d741e9435
solche	w7_d741e9438
ihre	w9_d741e9441
Herren	w11_d741e9444
und	w13_d741e9448
Obern	w15_d741e9451
nach	w1_d741e9456
zweyfach	w3_d741e9459
Sr.	w5_d741e9462
Königl.	w7_d741e9465
Hoheit	w9_d741e9468
ihrem	w11_d741e9471
rechtmäßigen	w1_d741e9477
Herzogen	w3_d741e9480
abgelegten	w5_d741e9483
Eyd,	w7_d741e9486
allzeit	w1_d741e9491
erkennen	w3_d741e9494
werden.	w5_d741e9497
Die	w7_d741e9500
ganze	w9_d741e9503
Stadt	w11_d741e9506
und	w1_d741e9511
Unterthanen	w3_d741e9514
sind	w5_d741e9517
in	w7_d741e9520
Schröcken.	w9_d741e9523
Jn	w11_d741e9526
dessen	w1_d741e9531
haben	w3_d741e9534
wir	w5_d741e9537
noch	w7_d741e9540
den	w9_d741e9543
Trost,	w11_d741e9546
daß	w13_d741e9550
die	w15_d741e9553
Beständigkeit	w1_d741e9559
und	w3_d741e9562
heldenmäßige	w5_d741e9565
Tugend	w7_d741e9568
un	w9_d741e9571
sers	w1_d741e9576
allerliebsten	w3_d741e9579
Herzogen	w5_d741e9582
uns	w7_d741e9585
bey	w9_d741e9588
allen	w11_d741e9591
so	w1_d741e9596
übeln	w3_d741e9599
Umständen	w5_d741e9602
und	w7_d741e9605
Gewaltthätigkeiten	w9_d741e9608
nicht	w1_d741e9613
verläßt,	w3_d741e9616
da	w5_d741e9619
er	w7_d741e9622
doch	w9_d741e9625
mehr	w11_d741e9628
als	w13_d741e9632
wir,	w15_d741e9635
zu	w1_d741e9641
übertragen	w3_d741e9644
hat.	w5_d741e9647
</p>
<head id="h2_d741e9653">
Cölln	w1_d741e9657
15.	w3_d741e9660
Febr.	w5_d741e9663
</head>
<p id="p4_d741e9666">
Ein	w1_d741e9670
Schreiben	w3_d741e9673
aus	w5_d741e9676
Leipzig	w7_d741e9679
vom	w9_d741e9682
obigen	w11_d741e9685
dato	w1_d741e9690
ist	w3_d741e9693
nachstehenden	w5_d741e9696
merckwürdigen	w7_d741e9699
Jnn	w9_d741e9702
halts:	w1_d741e9707
</p>
<p id="p6_d741e9710">
Europa	w1_d741e9714
siehet	w3_d741e9717
nun	w5_d741e9720
den	w7_d741e9723
glücklichen	w9_d741e9726
Tag	w11_d741e9729
scheinen,	w1_d741e9734
welchen	w3_d741e9737
die	w5_d741e9740
obere	w7_d741e9743
Vorsicht	w9_d741e9746
be	w11_d741e9749
stimmet	w1_d741e9754
hatte	w3_d741e9757
zur	w5_d741e9760
Herstellung	w7_d741e9763
seiner	w9_d741e9766
Ruhe	w11_d741e9769
von	w1_d741e9775
Teutschland.	w3_d741e9778
Auf	w5_d741e9781
einen	w7_d741e9784
so	w9_d741e9787
langen	w11_d741e9790
und	w13_d741e9794
blutigen	w1_d741e9799
Krieg,	w3_d741e9802
der	w5_d741e9805
sich	w7_d741e9808
unter	w9_d741e9811
so	w11_d741e9814
vielen	w13_d741e9818
Cronen	w1_d741e9823
und	w3_d741e9826
Höfen	w5_d741e9829
ansgesponnen	w7_d741e9832
hatte,	w9_d741e9835
folget	w1_d741e9840
endlich	w3_d741e9843
ein	w5_d741e9846
allgemeiner	w7_d741e9849
Friede.	w9_d741e9852
GOtt	w11_d741e9855
hat	w1_d741e9861
in	w3_d741e9864
seiner	w5_d741e9867
Barmherzigkeit	w7_d741e9870
allen	w9_d741e9873
kriegen	w11_d741e9876
den	w1_d741e9881
Mächten	w3_d741e9884
den	w5_d741e9887
Weg	w7_d741e9890
zu	w9_d741e9893
erkennen	w11_d741e9896
gege	w13_d741e9900
ben,	w1_d741e9905
durch	w3_d741e9908
welchen	w5_d741e9911
Er	w7_d741e9914
ihre	w9_d741e9917
Versöhnung,	w11_d741e9920
und	w1_d741e9925
die	w3_d741e9928
Ruhe	w5_d741e9931
ihrer	w7_d741e9934
untergebenen	w9_d741e9937
Völker	w11_d741e9940
wollte	w1_d741e9946
hergestellt	w3_d741e9949
haben.	w5_d741e9952
Heut	w7_d741e9955
ist	w9_d741e9958
der	w11_d741e9961
Fie	w13_d741e9965
de	w1_d741e9970
zwieschen	w3_d741e9973
dem	w5_d741e9976
König	w7_d741e9979
Churfürsten,	w9_d741e9982
un	w11_d741e9985
serm	w1_d741e9990
gnädigsten	w3_d741e9993
Herrn,	w5_d741e9996
der	w7_d741e9999
Kaiserin	w9_d741e10002
Kö	w11_d741e10005
nigin,	w1_d741e10010
und	w3_d741e10013
dem	w5_d741e10016
König	w7_d741e10019
von	w9_d741e10022
Preussen	w11_d741e10025
ge	w13_d741e10029
zeichnet	w1_d741e10035
worden.	w3_d741e10038
Jn	w5_d741e10041
diesem	w7_d741e10044
Definitivtra	w9_d741e10047
ctat	w1_d741e10052
sind	w3_d741e10055
unter	w5_d741e10058
andern	w7_d741e10061
auch	w9_d741e10064
die	w11_d741e10067
sämtliche	w13_d741e10071
Reichs=stände	w1_d741e10076
mit	w3_d741e10079
eingeschlossen	w5_d741e10082
worden.	w7_d741e10085
Es	w1_d741e10090
ist	w3_d741e10093
beynebens	w5_d741e10096
beschlossen,	w7_d741e10099
daß	w9_d741e10102
21.	w11_d741e10105
Täg	w13_d741e10109
</p>
<p id="p8_d741e10112">
nach	w1_d741e10116
der	w3_d741e10119
Unterzeichnung	w5_d741e10122
dieses	w7_d741e10125
Vertrags,	w9_d741e10128
sowohl	w1_d741e10133
die	w3_d741e10136
Kaiserl.	w5_d741e10139
Königl.	w7_d741e10142
als	w9_d741e10145
Königl.	w11_d741e10148
Preußische	w1_d741e10153
Trupen	w3_d741e10156
Sachsen	w5_d741e10159
verlassen	w7_d741e10162
und	w9_d741e10165
von	w1_d741e10171
dem	w3_d741e10174
Augenblick	w5_d741e10177
der	w7_d741e10180
Zeichnung	w9_d741e10183
an,	w11_d741e10186
welche	w1_d741e10191
nun	w3_d741e10194
bereits	w5_d741e10197
geschehen,	w7_d741e10200
weder	w9_d741e10203
Contributionen	w1_d741e10208
noch	w3_d741e10211
auch	w5_d741e10214
andere	w7_d741e10217
Abgaben	w9_d741e10220
gefordert	w1_d741e10225
werden	w3_d741e10228
solten.	w5_d741e10231
</p>
<p id="p10_d741e10234">
DeCIMa	w1_d741e10238
9VInta	w3_d741e10241
refert	w5_d741e10244
optatæ	w7_d741e10247
paCIs	w9_d741e10250
oLIVas.	w1_d741e10255
Den	w1_d741e10260
gewUnsChten	w3_d741e10263
Leben	w5_d741e10266
FrleDen	w7_d741e10269
</p>
<head id="h2_d741e10275">
Hat	w1_d741e10279
anheVte	w3_d741e10282
GOtt	w5_d741e10285
besOhle	w7_d741e10288
Den.	w9_d741e10291
</head>
<head id="h2_d741e10297">
Wien	w1_d741e10301
den	w3_d741e10304
9.	w5_d741e10307
Martii	w7_d741e10310
1763.	w9_d741e10313
</head>
<p id="p4_d741e10316">
Samstags	w1_d741e10320
Vormittags	w3_d741e10323
haben	w5_d741e10326
Jhro	w7_d741e10329
Ma	w9_d741e10332
jestät	w1_d741e10337
die	w3_d741e10340
Kaiserin	w5_d741e10343
mit	w7_d741e10346
