<doc id="edoc_wd_1753-07-07" attrs="word" year="1753" month="07" day="07" corpus="1">
<p id="p4">
Jn	w33
knappe	w1875
kam	w1876
ihr	w1877
entgegen	w1878
<g/>
,
um	w1880
ihr	w1881
über	w1882
den	w1883
vom	w1884
Lande	w1885
bis	w1886
zur	w1887
Mühle	w1888
gelegten	w1889
Steg	w1890
zu	w1891
helfen	w1892
<g/>
.
Er	w1894
gieng	w1895
vor	w1896
ihr	w1897
her	w1898
<g/>
,
und	w1900
sie	w1901
muste	w1902
ihm	w1903
hinten	w1904
an	w1905
seine	w1906
Kleidung	w1907
fassen	w1908
<g/>
.
Die	w1910
Frau	w1911
aber	w1912
wurde	w1913
entweder	w1914
von	w1915
einem	w1916
Schwindel	w1917
über=fallen	w1918
<g/>
=
<g/>
,
oder	w1921
sie	w1922
geriete	w1923
mit	w1924
ihrer	w1925
Last	w1926
in	w1927
das	w1928
Schwanken	w1929
<g/>
,
so	w1931
<g/>
,
daß	w1933
sie	w1934
mit	w1935
derselben	w1936
in	w1937
das	w1938
Wasser	w1939
fiel	w1940
<g/>
,
und	w1942
ihren	w1943
Leiter	w1944
hinter	w1945
sich	w1946
her	w1947
zog	w1948
<g/>
.
Man	w1950
hat	w1951
beyde	w1952
Personen	w1953
erst	w1954
den	w1955
vierten	w1956
Tag	w1957
nachher	w1958
hinter	w1959
dem	w1960
sogenannten	w1961
Knetze	w1962
wieder	w1963
gefunden	w1964
<g/>
.
</p>
<head id="hl17">
Aus	w1966
Hannover	w1967
19	w1968
<g/>
.
Junii	w1970
<g/>
.
</head>
<p id="p18">
Nachdem	w1972
der	w1973
Geld	w1974
<g/>
=
vorschuß	w1976
mit	w1977
dem	w1978
Grafen	w1979
von	w1980
Bentheim	w1981
zu	w1982
Stande	w1983
gekommen	w1984
<g/>
,
so	w1986
ist	w1987
be=reits	w1988
<g/>
=
den	w1990
1sten	w1991
dieses	w1992
die	w1993
Huldigungs	w1994
<g/>
=
leistung	w1996
dem	w1997
Chur	w1998
<g/>
=
hause	w2000
Hannover	w2001
in	w2002
Gegenwart	w2003
des	w2004
Herrn	w2005
Landrosten	w2006
zu	w2007
Diepholz	w2008
<g/>
,
von	w2010
Omteda	w2011
<g/>
,
als	w2013
von	w2014
hieraus	w2015
ad	w2016
hanc	w2017
Actum	w2018
beorderten	w2019
<g/>
,
und	w2021
bevollmächtigten	w2022
zu	w2023
Bentheim	w2024
geschehen	w2025
<g/>
.
Wobey	w2027
man	w2028
vernimmt	w2029
<g/>
,
daß	w2031
gedachter	w2032
Herr	w2033
von	w2034
Omteda	w2035
zugleich	w2036
als	w2037
Oberaufseher	w2038
über	w2039
vorge=dachte	w2040
<g/>
=
Gräfliche	w2042
an	w2043
Chur	w2044
<g/>
=
Hannover	w2046
überlassene	w2047
Lande	w2048
ernannt	w2049
worden	w2050
ist	w2051
<g/>
.
Am	w2053
ersten	w2054
Heiligen	w2055
Pfingsttage	w2056
fiel	w2057
alhier	w2058
die	w2059
Verwegenheit	w2060
vor	w2061
<g/>
,
daß	w2063
verwegenes	w2064
böses	w2065
Dieb	w2066
<g/>
=
gesind	w2068
<g/>
,
während	w2070
der	w2071
Nachmmittags	w2072
<g/>
=
Predigt	w2074
<g/>
,
in	w2076
dreyen	w2077
Kirchen	w2078
zu=gleich	w2079
<g/>
=
<g/>
,
ein	w2082
falsche	w2083
Geschrey	w2084
wegen	w2085
eines	w2086
Bran=des	w2087
<g/>
=
in	w2089
der	w2090
Stadt	w2091
machten	w2092
<g/>
,
und	w2094
dadurch	w2095
einen	w2096
so	w2097
grossen	w2098
Aufstand	w2099
verursachten	w2100
<g/>
,
daß	w2102
die	w2103
Kir=chen	w2104
<g/>
=
gänzlich	w2106
von	w2107
Zuhörern	w2108
entleeret	w2109
<g/>
,
und	w2111
die	w2112
Prediger	w2113
mit	w2114
der	w2115
Fortsetzung	w2116
ihrer	w2117
Predig	w2118
ein=zuhalten	w2119
<g/>
=
<g/>
,
genöhtiget	w2122
wurden	w2123
<g/>
.
Der	w2125
neulich	w2126
ab=gebrannten	w2127
<g/>
=
Bergstadt	w2129
Elbingerode	w2130
suchet	w2131
man	w2132
auf	w2133
alle	w2134
mögliche	w2135
Weise	w2136
wieder	w2137
aufzuhelfen	w2138
<g/>
.
</p>
<head id="hl18">
Dresden	w2140
<g/>
,
20	w2142
<g/>
.
Junii	w2144
<g/>
.
</head>
<p id="p19">
Bey	w2146
annoch	w2147
fort	w2148
<g/>
=
daurendem	w2150
Campement	w2151
der	w2152
Ar=mee	w2153
<g/>
=
geschahe	w2155
an	w2156
dem	w2157
vorigen	w2158
Mittwoch	w2159
die	w2160
Atta=que	w2161
<g/>
=
des	w2163
bedeckten	w2164
Weegs	w2165
von	w2166
der	w2167
Schanze	w2168
<g/>
,
und	w2170
nachdem	w2171
sich	w2172
solche	w2173
gegen	w2174
12	w2175
<g/>
.
Uhr	w2177
Mittags	w2178
endig=te	w2179
<g/>
=
begaben	w2181
sich	w2182
beyde	w2183
Königl	w2184
<g/>
.
Majestäten	w2186
nebst	w2187
sammentlich	w2188
<g/>
=
Königlichen	w2190
Herrschaften	w2191
in	w2192
das	w2193
Haupt	w2194
<g/>
=
quartier	w2196
<g/>
,
wo	w2198
selbst	w2199
Höchst	w2200
<g/>
=
dieselben	w2202
von	w2203
dem	w2204
General	w2205
<g/>
=
Feldmarschall	w2207
aufs	w2208
magifiqueste	w2209
bewirtet	w2210
wurden	w2211
<g/>
.
Währender	w2213
Tafel	w2214
<g/>
,
welche	w2216
im	w2217
Garten	w2218
an	w2219
der	w2220
Elbe	w2221
war	w2222
<g/>
,
liessen	w2224
sich	w2225
die	w2226
Pau=cken	w2227
<g/>
=
<g/>
,
Trompeten	w2230
<g/>
,
und	w2232
Hautboisten	w2233
von	w2234
der	w2235
gan=zen	w2236
<g/>
=
Armee	w2238
<g/>
,
zu	w2240
beyden	w2241
Seiten	w2242
gestellet	w2243
<g/>
,
vortreflich	w2245
hören	w2246
<g/>
,
und	w2248
machten	w2249
abwechslend	w2250
die	w2251
angenehm=ste	w2252
<g/>
=
Music	w2254
<g/>
,
so	w2256
bis	w2257
3	w2258
<g/>
.
Uhr	w2260
daurete	w2261
<g/>
,
da	w2263
sich	w2264
Se	w2265
<g/>
.
Kö Königliche	w2267
<g/>
=
</p>
<p id="p20">
nigliche	w2271
Majestät	w2272
und	w2273
die	w2274
Königlichen	w2275
Herrschaf=ten	w2276
<g/>
=
zuruck	w2278
aufs	w2279
Schloß	w2280
begaben	w2281
<g/>
.
Und	w2283
da	w2284
sotha=nen	w2285
<g/>
=
Tages	w2287
der	w2288
Chur	w2289
<g/>
=
Prinzeßin	w2291
hoher	w2292
Namens	w2293
<g/>
=
und	w2295
Vermählungs	w2296
<g/>
=
Tag	w2298
<g/>
,
Antonia	w2300
<g/>
,
am	w2302
Königli=chen	w2303
<g/>
=
Hofe	w2305
solennisiret	w2306
ward	w2307
<g/>
;
so	w2309
war	w2310
im	w2311
Lager	w2312
bey	w2313
der	w2314
Armee	w2315
eine	w2316
Jllumination	w2317
veranstaltet	w2318
<g/>
,
welche	w2320
nach	w2321
9	w2322
<g/>
.
Uhr	w2324
angezündet	w2325
wurde	w2326
<g/>
.
Es	w2328
wa=ren	w2329
<g/>
=
nicht	w2331
allein	w2332
alle	w2333
Zelter	w2334
mit	w2335
Lampen	w2336
behangen	w2337
<g/>
;
sondern	w2339
auch	w2340
Pyramiden	w2341
<g/>
,
und	w2343
andere	w2344
Ehren	w2345
<g/>
=
ge=rüste	w2347
<g/>
=
mit	w2349
vielen	w2350
emblematischen	w2351
Vorstellungen	w2352
<g/>
,
und	w2354
sonderlich	w2355
die	w2356
hohen	w2357
Namen	w2358
Friederich	w2359
<g/>
,
An=tonia	w2361
<g/>
=
<g/>
,
von	w2364
dergleichen	w2365
verschiedentlich	w2366
zu	w2367
sehen	w2368
<g/>
,
also	w2370
<g/>
,
daß	w2372
sie	w2373
eine	w2374
der	w2375
schönsten	w2376
genannt	w2377
werden	w2378
können	w2379
<g/>
,
wie	w2381
dann	w2382
an	w2383
die	w2384
100000	w2385
<g/>
.
Lampiens	w2387
ge=rechnet	w2388
<g/>
=
worden	w2390
<g/>
,
und	w2392
haben	w2393
sich	w2394
sonderlich	w2395
die	w2396
Garde	w2397
du	w2398
Corps	w2399
<g/>
,
Leib	w2401
<g/>
=
Grenadier	w2403
<g/>
=
Garde	w2405
<g/>
,
der	w2407
Königin	w2408
<g/>
,
Chur	w2410
<g/>
=
Prinzeßin	w2412
<g/>
,
Prinz	w2414
Friederichs	w2415
<g/>
,
der	w2417
Prinzen	w2418
Xavers	w2419
<g/>
,
Clemens	w2421
ingleichen	w2422
das	w2423
Gräf=lich	w2424
<g/>
=
Brühlische	w2426
Regiment	w2427
dabey	w2428
hervorgethan	w2429
<g/>
,
und	w2431
wurde	w2432
zugleich	w2433
von	w2434
der	w2435
Garde	w2436
du	w2437
Corps	w2438
ein	w2439
kleines	w2440
<g/>
,
jedoch	w2442
sehr	w2443
schönes	w2444
Feuerwerk	w2445
präsentiret	w2446
<g/>
.
Es	w2448
geruheten	w2449
daher	w2450
beyde	w2451
Königl	w2452
<g/>
.
Majestäten	w2454
nebst	w2455
sammentlich	w2456
Königlichen	w2457
Herrschaften	w2458
<g/>
,
und	w2460
einem	w2461
grossen	w2462
Comitat	w2463
<g/>
,
nach	w2465
9	w2466
<g/>
.
Uhr	w2468
sich	w2469
wiede=rum	w2470
<g/>
=
über	w2472
Friedrichs	w2473
<g/>
=
stadt	w2475
<g/>
,
und	w2477
die	w2478
Schif	w2479
<g/>
=
brücke	w2481
hinaus	w2482
zu	w2483
begeben	w2484
<g/>
,
und	w2486
sothane	w2487
Jllumination	w2488
an	w2489
der	w2490
Fronte	w2491
beyder	w2492
Treffen	w2493
<g/>
,
indem	w2495
Sie	w2496
Schritt	w2497
vor	w2498
Schritt	w2499
fahren	w2500
lassen	w2501
<g/>
,
in	w2503
hohen	w2504
Augenschein	w2505
zu	w2506
nehmen	w2507
<g/>
,
da	w2509
dann	w2510
von	w2511
jedem	w2512
Regiment	w2513
ein	w2514
erfreuliches	w2515
Vivat	w2516
ausgeruffen	w2517
worden	w2518
<g/>
.
Mitler=weile	w2520
<g/>
=
wurde	w2522
auch	w2523
auf	w2524
eine	w2525
halbe	w2526
Stund	w2527
bey	w2528
der	w2529
Schanze	w2530
mit	w2531
Canonen	w2532
und	w2533
Gewöhr	w2534
beständig	w2535
ge=feuert	w2536
<g/>
=
<g/>
,
und	w2539
darbey	w2540
ein	w2541
Ausfall	w2542
gethan	w2543
<g/>
,
und	w2545
Jhro	w2546
Königliche	w2547
Majestäten	w2548
kehrten	w2549
erst	w2550
um	w2551
12	w2552
<g/>
.
Uhr	w2554
<g/>
,
nebst	w2556
Dero	w2557
hohen	w2558
Suite	w2559
zuruck	w2560
<g/>
.
</p>
<p id="p21">
Am	w2562
Donnerstage	w2563
Vormittags	w2564
wurde	w2565
auf	w2566
die	w2567
Schanze	w2568
das	w2569
erstemahl	w2570
mit	w2571
Canonen	w2572
gefeuert	w2573
<g/>
,
so	w2575
die	w2576
Königl	w2577
<g/>
.
Prinzessinen	w2579
mit	w2580
ansahen	w2581
<g/>
,
und	w2583
hernach	w2584
Mittags	w2585
bey	w2586
dem	w2587
Prinz	w2588
Eugen	w2589
von	w2590
Des=sau	w2591
<g/>
=
im	w2593
Lager	w2594
speiseten	w2595
<g/>
.
Abends	w2597
wurde	w2598
wiede=rum	w2599
<g/>
=
gefeuert	w2601
<g/>
,
3	w2603
<g/>
.
Minen	w2605
aufgeschlagen	w2606
<g/>
,
und	w2608
mit	w2609
Granaten	w2610
geworfen	w2611
<g/>
.
Ein	w2613
gleiches	w2614
geschahe	w2615
auch	w2616
Vormittags	w2617
und	w2618
Abends	w2619
<g/>
.
Da	w2621
der	w2622
Beschluß	w2623
da=mit	w2624
<g/>
=
seyn	w2626
sollte	w2627
<g/>
,
begaben	w2629
sich	w2630
um	w2631
7	w2632
<g/>
.
Uhr	w2634
beyde	w2635
Königliche	w2636
Majestäten	w2637
in	w2638
dem	w2639
Phaetons	w2640
<g/>
=
Wa=gen	w2642
<g/>
=
<g/>
,
in	w2645
Begleitung	w2646
der	w2647
Königlichen	w2648
Prinzen	w2649
und	w2650
einem	w2651
starken	w2652
Comitat	w2653
zu	w2654
Pferde	w2655
<g/>
,
nach	w2657
der	w2658
Schan=ze	w2659
<g/>
=
<g/>
,
allwo	w2662
sich	w2663
vorher	w2664
die	w2665
meisten	w2666
in	w2667
<g/>
=
und	w2669
auslän=dische	w2670
<g/>
=
Herrschaften	w2672
<g/>
,
Generals	w2674
und	w2675
Offiziers	w2676
<g/>
,
auch	w2678
sonsten	w2679
eine	w2680
grosse	w2681
Menge	w2682
Volks	w2683
von	w2684
hier	w2685
<g/>
,
und	w2687
andern	w2688
Orten	w2689
eingefunden	w2690
hatten	w2691
<g/>
.
Nach	w2693
Dero	w2694
hohen	w2695
Ankunft	w2696
wurde	w2697
sogleich	w2698
mit	w2699
Cano=nen	w2700
<g/>
=
und	w2702
kleinem	w2703
Gewehr	w2704
<g/>
,
auf	w2706
die	w2707
Schanze	w2708
und	w2709
</p>
<p id="p22">
wieder	w2710
heraus	w2711
<g/>
,
jedoch	w2713
nicht	w2714
Scharf	w2715
gefeuert	w2716
und	w2717
Granaten	w2718
geworfen	w2719
<g/>
,
auch	w2721
eine	w2722
Mine	w2723
ge=sprenget	w2724
<g/>
=
<g/>
,
nach	w2727
welchen	w2728
sogleich	w2729
Sturm	w2730
gelof=fen	w2731
<g/>
=
<g/>
,
und	w2734
die	w2735
Schanze	w2736
überstiegen	w2737
wird	w2738
<g/>
,
da	w2740
sich	w2741
dann	w2742
die	w2743
Belagerten	w2744
ergeben	w2745
<g/>
,
und	w2747
abmarschiren	w2748
musten	w2749
<g/>
,
die	w2751
Belagerer	w2752
hingegen	w2753
davon	w2754
Besitz	w2755
nahmen	w2756
<g/>
.
Und	w2758
damit	w2759
hatte	w2760
diese	w2761
Vorstellung	w2762
in	w2763
Zeit	w2764
von	w2765
einer	w2766
halben	w2767
Stunde	w2768
ein	w2769
Ende	w2770
<g/>
.
</p>
<p id="p23">
Sonnabends	w2772
darauf	w2773
war	w2774
Rastag	w2775
<g/>
,
jedoch	w2777
wur=den	w2778
<g/>
=
Nachmittags	w2780
von	w2781
der	w2782
Armee	w2783
800	w2784
<g/>
.
Mann	w2786
commandiret	w2787
<g/>
,
die	w2789
Lauf	w2790
<g/>
=
gräben	w2792
wiederum	w2793
auszu=füllen	w2794
<g/>
=
<g/>
.
Des	w2797
Nachts	w2798
erfolgte	w2799
ein	w2800
bishero	w2801
ge=wünschter	w2802
<g/>
=
gelinder	w2804
Regen	w2805
<g/>
,
bey	w2807
einem	w2808
nicht	w2809
all=zustarken	w2810
<g/>
=
Gewitter	w2812
<g/>
,
weshalben	w2814
Sonntags	w2815
beym	w2816
Gottesdienst	w2817
der	w2818
Armee	w2819
dem	w2820
Höchsten	w2821
durch	w2822
Lob	w2823
<g/>
=
lieder	w2825
Dank	w2826
abgestattet	w2827
wurde	w2828
<g/>
.
</p>
<p id="p24">
Vorgestrigen	w2830
Montag	w2831
<g/>
,
da	w2833
das	w2834
letzte	w2835
mit	w2836
Ab=brechung	w2837
<g/>
=
des	w2839
Lagers	w2840
geschehen	w2841
solte	w2842
<g/>
,
marschir=ten	w2844
<g/>
=
früh	w2846
um	w2847
2	w2848
<g/>
.
Uhr	w2850
die	w2851
sämtlichen	w2852
Granadirs	w2853
von	w2854
der	w2855
Armee	w2856
<g/>
,
nebst	w2858
dem	w2859
Lubomirskyschen	w2860
und	w2861
Minkwitzischen	w2862
beyden	w2863
Jnfanterie	w2864
<g/>
=
regimentern	w2866
und	w2867
einem	w2868
Corps	w2869
mit	w2870
Artillerie	w2871
auf	w2872
1	w2873
<g/>
.
Meile	w2875
Weges	w2876
nach	w2877
der	w2878
Gegend	w2879
Moritzburg	w2880
<g/>
.
Da	w2882
um	w2883
halb	w2884
5	w2885
<g/>
.
Uhr	w2887
die	w2888
Königl	w2889
<g/>
.
Majestäten	w2891
<g/>
,
und	w2893
die	w2894
Kö=nigliche	w2895
<g/>
=
<g/>
,
auch	w2898
andere	w2899
Herrschaften	w2900
<g/>
,
bey	w2902
dem	w2903
sogenannten	w2904
Drachen	w2905
<g/>
=
berge	w2907
anlangten	w2908
<g/>
,
wo	w2910
die	w2911
Garde	w2912
du	w2913
Corps	w2914
stunde	w2915
<g/>
,
und	w2917
Fonte	w2918
machte	w2919
<g/>
;
so	w2921
wurden	w2922
<g/>
,
3	w2924
Canonen	w2925
<g/>
=
schüsse	w2927
zum	w2928
Signal	w2929
ge=geben	w2930
<g/>
=
<g/>
,
und	w2933
zugleich	w2934
in	w2935
einem	w2936
Augenblicke	w2937
alle	w2938
Zelter	w2939
niedergelegt	w2940
<g/>
.
Hierauf	w2942
rückte	w2943
die	w2944
Caval=lerie	w2945
<g/>
=
aus	w2947
dem	w2948
Lager	w2949
<g/>
,
und	w2951
der	w2952
General	w2953
von	w2954
Ar=nimb	w2955
<g/>
=
setzte	w2957
sich	w2958
mit	w2959
derselben	w2960
in	w2961
Marsch	w2962
in	w2963
Wald	w2964
hinein	w2965
<g/>
,
da	w2967
hingegen	w2968
der	w2969
General	w2970
<g/>
=
feld	w2972
<g/>
=
marschall	w2974
die	w2975
Jnfanterie	w2976
<g/>
,
so	w2978
noch	w2979
in	w2980
11	w2981
<g/>
.
Regimentern	w2983
be=stunde	w2984
<g/>
=
<g/>
,
nebst	w2987
der	w2988
Generalität	w2989
<g/>
,
in	w2991
schönster	w2992
Ordnung	w2993
<g/>
,
und	w2995
zwar	w2996
abermal	w2997
2	w2998
<g/>
.
Regimenter	w3000
aus	w3001
dem	w3002
Vorder	w3003
<g/>
=
und	w3005
Hinter	w3006
<g/>
=
treffen	w3008
neben	w3009
ein=ander	w3010
<g/>
=
in	w3012
2	w3013
<g/>
.
Linien	w3015
waren	w3016
<g/>
,
vor	w3018
des	w3019
Königs	w3020
Zelt	w3021
ganz	w3022
in	w3023
der	w3024
Stille	w3025
vorbei	w3026
führte	w3027
<g/>
,
und	w3029
ein	w3030
jeder	w3031
Chef	w3032
vor	w3033
seinem	w3034
Regimente	w3035
zu	w3036
Pferde	w3037
mit	w3038
dem	w3039
Degen	w3040
in	w3041
der	w3042
Hand	w3043
paradirte	w3044
<g/>
.
Derglei=chen	w3046
<g/>
=
auch	w3048
von	w3049
denen	w3050
Königl	w3051
<g/>
.
Prinzen	w3053
Xaver	w3054
und	w3055
Clemens	w3056
geschahe	w3057
<g/>
.
Als	w3059
sie	w3060
nun	w3061
auf	w3062
dasjenige	w3063
Terrain	w3064
<g/>
,
wohin	w3066
sich	w3067
frühe	w3068
ein	w3069
Theil	w3070
der	w3071
Ar=mee	w3072
<g/>
=
<g/>
,
auch	w3075
hernach	w3076
die	w3077
Cavallerie	w3078
gezogen	w3079
<g/>
,
kü=men	w3081
<g/>
=
<g/>
,
und	w3084
in	w3085
einer	w3086
Linie	w3087
auf	w3088
der	w3089
Ebene	w3090
<g/>
,
und	w3092
zwar	w3093
letztere	w3094
in	w3095
mehr	w3096
als	w3097
12	w3098
Colonien	w3099
Esqua=drons	w3100
<g/>
=
<g/>
=
weise	w3103
gesetztet	w3104
<g/>
,
auch	w3106
Jhro	w3107
Königl	w3108
<g/>
.
Ma=jestät	w3110
<g/>
=
mit	w3112
Dero	w3113
hohen	w3114
Suite	w3115
zu	w3116
Pferde	w3117
daselbst	w3118
anlangten	w3119
<g/>
,
traffen	w3121
beyde	w3122
Armeen	w3123
auf	w3124
einander	w3125
<g/>
,
und	w3127
daurete	w3128
das	w3129
Feuren	w3130
und	w3131
die	w3132
Canonade	w3133
über	w3134
einen	w3135
Stunde	w3136
lang	w3137
<g/>
,
welche	w3139
sonderlich	w3140
in	w3141
einer	w3142
<g/>
,
</p>
<p id="p25">
bey	w3145
Radebeil	w3146
angelegten	w3147
Redoute	w3148
und	w3149
einer	w3150
Schanze	w3151
geschahe	w3152
<g/>
,
bis	w3154
sich	w3155
die	w3156
Armee	w3157
gegen	w3158
Serkwitz	w3159
und	w3160
Katitz	w3161
auch	w3162
alsdann	w3163
ins	w3164
Lager	w3165
zuruck	w3166
zog	w3167
<g/>
,
in	w3169
welcher	w3170
die	w3171
Zelter	w3172
in	w3173
einer	w3174
vier=tel	w3175
<g/>
=
Stunde	w3177
wiederum	w3178
aufgeschlagen	w3179
waren	w3180
<g/>
,
hingegen	w3182
die	w3183
3	w3184
<g/>
.
Regimenter	w3186
<g/>
,
als	w3188
Leib	w3189
<g/>
=
granadir=garde	w3191
<g/>
=
<g/>
,
Prinz	w3194
Clemens	w3195
<g/>
,
und	w3197
die	w3198
Majestät	w3199
mar=schirten	w3200
<g/>
=
anhero	w3202
in	w3203
Garnison	w3204
<g/>
.
Se	w3206
Majestät	w3207
der	w3208
König	w3209
sollen	w3210
dero	w3211
Armee	w3212
ein	w3213
austrägliches	w3214
allergnädigst	w3215
gschenket	w3216
haben	w3217
<g/>
,
so	w3219
wie	w3220
aber	w3221
erst	w3222
in	w3223
Quartieren	w3224
zu	w3225
geniessen	w3226
haben	w3227
soll	w3228
<g/>
.
Die	w3230
Chefs	w3231
der	w3232
Regimenter	w3233
haben	w3234
auch	w3235
denen	w3236
Ge=meinen	w3237
<g/>
=
ihres	w3239
Regiments	w3240
eine	w3241
Douceur	w3242
an	w3243
Wein	w3244
und	w3245
Bier	w3246
gemachet	w3247
<g/>
.
</p>
<head id="hl19">
Dresden	w3249
<g/>
,
24	w3251
<g/>
.
Junii	w3253
<g/>
.
</head>
<p id="p26">
Am	w3255
18ten	w3256
dieses	w3257
machte	w3258
unsere	w3259
campirende	w3260
Ar=mee	w3261
<g/>
=
ihr	w3263
letzte	w3264
Ubung	w3265
<g/>
,
indem	w3267
selbigen	w3268
vorstellte	w3269
<g/>
,
als	w3271
ob	w3272
der	w3273
Feind	w3274
das	w3275
Lager	w3276
anzugreiffen	w3277
ent=schlossen	w3278
<g/>
=
wäre	w3280
<g/>
,
weswegen	w3282
sie	w3283
solches	w3284
abbrach	w3285
<g/>
,
und	w3287
mit	w3288
verschiedenen	w3289
Bewegungen	w3290
einen	w3291
Marsch	w3292
durchs	w3293
Holz	w3294
und	w3295
über	w3296
die	w3297
Berge	w3298
that	w3299
<g/>
:
als=dann	w3301
<g/>
=
aber	w3303
<g/>
,
da	w3305
supponirt	w3306
wurde	w3307
<g/>
,
daß	w3309
der	w3310
Feind	w3311
an	w3312
einem	w3313
anderen	w3314
Orte	w3315
einbrechen	w3316
wolte	w3317
<g/>
,
gieng	w3319
dieselbe	w3320
wieder	w3321
zurück	w3322
<g/>
,
und	w3324
formirte	w3325
wiederum	w3326
ihr	w3327
altes	w3328
Lager	w3329
<g/>
.
Mittags	w3331
speiseten	w3332
Jhro	w3333
Kö=nigl	w3334
<g/>
=
<g/>
.
Majestäten	w3337
<g/>
,
in	w3339
Gesellschaft	w3340
der	w3341
Prinzen	w3342
Xaver	w3343
und	w3344
Carls	w3345
<g/>
,
wie	w3347
dann	w3348
auch	w3349
der	w3350
Prinz	w3351
Albert	w3352
an	w3353
solchem	w3354
Tage	w3355
zum	w3356
erstenmal	w3357
an	w3358
die	w3359
Königl	w3360
<g/>
.
Tafel	w3362
gezogen	w3363
wurde	w3364
<g/>
.
Diesen	w3366
Nach=mittag	w3367
<g/>
=
rückte	w3369
das	w3370
Leib	w3371
<g/>
=
regiment	w3373
Granadiers	w3374
<g/>
,
nebst	w3376
denen	w3377
beyden	w3378
Feld	w3379
<g/>
=
regimentern	w3381
<g/>
,
Garde	w3383
zu	w3384
Fuß	w3385
und	w3386
Prinz	w3387
Clemens	w3388
<g/>
,
hier	w3390
in	w3391
Garnison	w3392
ein	w3393
<g/>
.
</p>
<p id="p27">
Am	w3395
19	w3396
<g/>
.
war	w3398
Jtaliänische	w3399
Comödie	w3400
<g/>
.
Abends	w3402
wurden	w3403
der	w3404
Chur	w3405
<g/>
=
prinz	w3407
und	w3408
Dero	w3409
Frau	w3410
Ge=mahlin	w3411
<g/>
=
<g/>
,
von	w3414
dem	w3415
General	w3416
der	w3417
Cavallerie	w3418
<g/>
,
Fürsten	w3420
Eugen	w3421
von	w3422
Anhalt	w3423
in	w3424
dessen	w3425
Feld	w3426
<g/>
=
quar=tier	w3428
<g/>
=
<g/>
,
zum	w3431
Wilden	w3432
Manne	w3433
genannt	w3434
<g/>
,
mit	w3436
einem	w3437
Nachtmal	w3438
bewirtet	w3439
<g/>
,
da	w3441
zugleich	w3442
das	w3443
ganze	w3444
Quartier	w3445
<g/>
,
und	w3447
der	w3448
daran	w3449
ligende	w3450
Weinberg	w3451
oben	w3452
illuminiret	w3453
war	w3454
<g/>
.
</p>
<p id="p28">
Am	w3456
20	w3457
<g/>
.
Vormittags	w3459
erhube	w3460
sich	w3461
die	w3462
Königin	w3463
nach	w3464
Dero	w3465
in	w3466
hiesiger	w3467
Vorstadt	w3468
befindlichen	w3469
Jo=sephinen	w3470
<g/>
=
<g/>
=
stifte	w3473
<g/>
.
Abends	w3475
probirten	w3476
Jhro	w3477
Kö=nigl	w3478
<g/>
=
<g/>
.
Majestäten	w3481
nach	w3482
der	w3483
Scheibe	w3484
zu	w3485
schiessen	w3486
<g/>
,
womit	w3488
Sie	w3489
diese	w3490
Woche	w3491
sich	w3492
nochmals	w3493
belustiget	w3494
<g/>
.
</p>
<head id="hl20">
Wien	w3496
den	w3497
7	w3498
<g/>
.
Julii	w3500
1753	w3501
<g/>
.
</head>
<p id="p29">
MJttwoch	w3503
<g/>
,
den	w3505
4	w3506
<g/>
.
Juliim	w3508
nach	w3509
beygewohn=tem	w3510
<g/>
=
gewöhnlichen	w3512
GOttes	w3513
<g/>
=
dienst	w3515
in	w3516
der	w3517
Schönbrunner	w3518
Schloß	w3519
<g/>
=
kapellen	w3521
seynd	w3522
Jhro	w3523
Ma Majestät	w3524
<g/>
=
</p>
<p id="p30">
jestät	w3526
die	w3527
Kaiserin	w3528
<g/>
,
unsere	w3530
Allergnädigste	w3531
Lan=des	w3532
<g/>
=
<g/>
=
fürstin	w3535
mit	w3536
Staats	w3537
<g/>
=
und	w3539
Landes	w3540
<g/>
=
anligen=heiten	w3542
<g/>
=
beschäftiget	w3544
gewesen	w3545
<g/>
;
und	w3547
Nachmittags	w3548
haben	w3549
Allerhöchst	w3550
<g/>
=
Dieselbe	w3552
bem	w3553
täglich	w3554
gewöhn=lichen	w3555
<g/>
=
Rosenkranz	w3557
und	w3558
Segen	w3559
abgewartet	w3560
<g/>
.
</p>
<p id="p31">
Eodem	w3562
hat	w3563
<g/>
(
Tit	w3565
<g/>
.
<g/>
)
Herr	w3568
Johann	w3569
Jacob	w3570
Graf	w3571
von	w3572
Kuen	w3573
von	w3574
Bellasy	w3575
<g/>
,
Herr	w3577
zu	w3578
Auer	w3579
Gondek	w3580
und	w3581
Lichtenberg	w3582
<g/>
,
Hauptmann	w3584
des	w3585
Löbl	w3586
<g/>
.
Coharischen	w3588
Dragoner	w3589
Regiments	w3590
<g/>
,
das	w3592
Jura=ment	w3593
<g/>
=
als	w3595
Kammerer	w3596
Jhro	w3597
Kaiserl	w3598
<g/>
.
Majestät	w3600
abgeleget	w3601
<g/>
.
</p>
<p id="p32">
Donnerstag	w3603
den	w3604
5	w3605
<g/>
.
Julii	w3607
<g/>
,
Vor	w3609
<g/>
=
und	w3611
Nach=mittags	w3612
<g/>
=
wurde	w3614
das	w3615
wochentliche	w3616
Gebett	w3617
in	w3618
ob=bemeldter	w3619
<g/>
=
Schönbrunner	w3621
Schloß	w3622
<g/>
=
kapellen	w3624
