<doc id="wr_1758-01-28" attrs="word" year="1758" month="01" day="28" corpus="2">
<head id="h2_d214e2819">
Altona,	w1_d214e2823
Ca	w11_d214e6427
nonters,	w1_d214e6432
1.	w3_d214e6435
Tambour,	w5_d214e6438
ein	w7_d214e6441
Feld=scheerer	w9_d214e6444
und	w11_d214e6447
72.	w1_d214e6452
Gemeine,	w3_d214e6455
überhaupt	w5_d214e6458
106.	w7_d214e6461
Mann	w9_d214e6464
Kriegs=gefangenen	w1_d214e6469
gemacht	w3_d214e6472
wurden.	w5_d214e6475
Die	w7_d214e6478
Penamünder	w1_d214e6484
Schanze	w3_d214e6487
wird	w5_d214e6490
bloquirt.	w7_d214e6493
(Es	w9_d214e6496
ist	w1_d214e6501
selbige	w3_d214e6504
letztens	w5_d214e6507
aus	w7_d214e6510
Versehen	w9_d214e6513
unter	w11_d214e6516
die	w13_d214e6520
Oerter,	w1_d214e6525
so	w3_d214e6528
die	w5_d214e6531
Schweden	w7_d214e6534
verlassen,	w9_d214e6537
gesetzt	w11_d214e6540
worden.)	w1_d214e6545
Unsere	w3_d214e6548
Armee	w5_d214e6551
rückt	w7_d214e6554
jetzo	w9_d214e6557
in	w11_d214e6560
die	w13_d214e6564
Quartiere	w1_d214e6570
nahe	w3_d214e6573
um	w5_d214e6576
Stralsund,	w7_d214e6579
um	w9_d214e6582
diesen	w11_d214e6585
wichtigen	w1_d214e6590
Ort	w3_d214e6593
einzuschliessen.	w5_d214e6596
Die	w7_d214e6599
Schwe	w9_d214e6602
dische	w1_d214e6607
Armee	w3_d214e6610
hat	w5_d214e6613
sich	w7_d214e6616
gröstentheils	w9_d214e6619
in	w11_d214e6622
Stral	w13_d214e6626
sund	w1_d214e6631
geworfen,	w3_d214e6634
ein	w5_d214e6637
Theil	w7_d214e6640
aber,	w9_d214e6643
ins	w11_d214e6646
besondere	w13_d214e6650
die	w1_d214e6656
Cavallerie,	w3_d214e6659
hat	w5_d214e6662
sich	w7_d214e6665
auf	w9_d214e6668
die	w11_d214e6671
Jnsul	w13_d214e6675
Rügen	w15_d214e6678
retiriret.	w1_d214e6683
</p>
<head id="h2_d214e6689">
Hanau	w1_d214e6693
3.	w3_d214e6696
Januarii.	w5_d214e6699
</head>
<p id="p4_d214e6702">
Nachdeme	w1_d214e6706
vorgestern	w3_d214e6709
der	w5_d214e6712
Herr	w7_d214e6715
Marquis	w9_d214e6718
de	w1_d214e6723
la	w3_d214e6726
Chetardie,	w5_d214e6729
General=leutenant	w7_d214e6732
derer	w9_d214e6735
Armeen	w1_d214e6740
Sr.	w3_d214e6743
Allerchristlichsten	w5_d214e6746
Majestät,	w7_d214e6749
Commandant	w1_d214e6755
der	w3_d214e6758
Grafschaft	w5_d214e6761
Hanau,	w7_d214e6764
welcher	w9_d214e6767
hiebeyor	w1_d214e6772
viele	w3_d214e6775
Gesandschaften	w5_d214e6778
versehen,	w7_d214e6781
alhier	w9_d214e6784
</p>
<p id="p6_d214e6787">
Todes	w1_d214e6791
verblichen,	w3_d214e6794
so	w5_d214e6797
ist	w7_d214e6800
heut	w9_d214e6803
das	w11_d214e6806
Leichenge	w13_d214e6810
pränge	w1_d214e6815
vor	w3_d214e6818
sich	w5_d214e6821
gegangen,	w7_d214e6824
da	w9_d214e6827
der	w11_d214e6830
verblichene	w13_d214e6834
Lrichnam	w1_d214e6839
von	w3_d214e6842
hier	w5_d214e6845
in	w7_d214e6848
eine	w9_d214e6851
Catholiche	w11_d214e6854
Kirche	w13_d214e6858
des	w1_d214e6864
Chur=maynzischen	w3_d214e6867
Territorii,	w5_d214e6870
nämlichen	w7_d214e6873
nach	w1_d214e6878
Groß=anheim,	w3_d214e6881
eine	w5_d214e6884
Stunde	w7_d214e6887
von	w9_d214e6890
hier,	w11_d214e6893
geführet	w1_d214e6898
und	w3_d214e6901
in	w5_d214e6904
selbiger	w7_d214e6907
beygesetzet	w9_d214e6910
worden,	w11_d214e6913
nachdem	w1_d214e6918
Se	w3_d214e6921
Excellenz,	w5_d214e6924
auf	w7_d214e6927
Ordre	w9_d214e6930
des	w11_d214e6933
Hrn.	w13_d214e6937
Feldemarschalls,	w1_d214e6943
Marquis	w3_d214e6946
des	w5_d214e6949
Kalles,	w7_d214e6952
Com	w9_d214e6955
mandanten	w1_d214e6960
in	w3_d214e6963
dieser	w5_d214e6966
Stadt,	w7_d214e6969
alle	w9_d214e6972
dero	w11_d214e6975
Grad	w13_d214e6979
ge	w15_d214e6982
bührende	w1_d214e6987
Ehren=bezeugung	w3_d214e6990
empfangen.	w5_d214e6993
</p>
<head id="h2_d214e6999">
Paderborn	w1_d214e7003
13.	w3_d214e7006
Jan.	w5_d214e7009
</head>
<p id="p4_d214e7012">
Die	w1_d214e7016
letztere	w3_d214e7019
Nachricht,	w5_d214e7022
welche	w7_d214e7025
in	w9_d214e7028
verschiedene	w11_d214e7031
Reichs	w1_d214e7036
zeitungen	w3_d214e7039
enthalten	w5_d214e7042
ware,	w7_d214e7045
daß	w9_d214e7048
die	w11_d214e7051
Han	w13_d214e7055
noveraner	w1_d214e7060
bey	w3_d214e7063
Rothenburg	w5_d214e7066
einige	w7_d214e7069
Vortheile	w9_d214e7072
er	w11_d214e7075
halten	w1_d214e7081
haben	w3_d214e7084
sollten,	w5_d214e7087
war	w7_d214e7090
so	w9_d214e7093
voreilig	w11_d214e7096
als	w13_d214e7100
un	w15_d214e7103
gegründet.	w1_d214e7108
Selbst	w3_d214e7111
die	w5_d214e7114
neuen	w7_d214e7117
Altonaer	w9_d214e7120
Be	w11_d214e7123
richte	w1_d214e7128
widerlegen	w3_d214e7131
es,	w5_d214e7134
und	w7_d214e7137
führen	w9_d214e7140
es	w11_d214e7143
als	w13_d214e7147
ei	w15_d214e7150
nen	w1_d214e7155
gewissen	w3_d214e7158
Grund	w5_d214e7161
der	w7_d214e7164
Unrichtigkeit	w9_d214e7167
an,	w11_d214e7170
daß	w1_d214e7176
der	w3_d214e7179
Französische	w5_d214e7182
General=leutenant	w7_d214e7185
von	w9_d214e7188
Armentiers,	w1_d214e7193
den	w3_d214e7196
man	w5_d214e7199
für	w7_d214e7202
gefangen	w9_d214e7205
ausgab,	w11_d214e7208
sich	w1_d214e7213
noch	w3_d214e7216
kürzlich	w5_d214e7219
in	w7_d214e7222
Zelle,	w9_d214e7225
als	w11_d214e7228
seinem	w13_d214e7232
Haupt	w15_d214e7235
quartiere	w1_d214e7240
befande.	w3_d214e7243
Hanöverischer	w5_d214e7246
Seits	w7_d214e7249
macht	w1_d214e7255
man	w3_d214e7258
alle	w5_d214e7261
Anstalten	w7_d214e7264
zur	w9_d214e7267
Vermehrung	w11_d214e7270
der	w1_d214e7275
Trupen.	w3_d214e7278
Jedes	w5_d214e7281
Bataillon	w7_d214e7284
wird	w9_d214e7287
auf	w11_d214e7290
1000.	w1_d214e7295
Mann	w3_d214e7298
gesetzt,	w5_d214e7301
und	w7_d214e7304
man	w9_d214e7307
erwartet	w11_d214e7310
aus	w13_d214e7314
England	w1_d214e7319
den	w3_d214e7322
Entschluß,	w5_d214e7325
daß	w7_d214e7328
die	w9_d214e7331
Lückeri	w11_d214e7334
sche	w1_d214e7340
Hussaren	w3_d214e7343
auf	w5_d214e7346
4.	w7_d214e7349
Escadronen,	w9_d214e7352
ingleichen	w11_d214e7355
das	w1_d214e7360
Scheiterische	w3_d214e7363
Frey=corpo	w5_d214e7366
auf	w7_d214e7369
400.	w9_d214e7372
und	w11_d214e7375
und	w1_d214e7380
die	w3_d214e7383
Schulenburgische	w5_d214e7386
Jäger	w7_d214e7389
auf	w9_d214e7392
1200.	w11_d214e7395
Mann	w1_d214e7400
gesetzet	w3_d214e7403
werden.	w5_d214e7406
Ein	w7_d214e7409
jedes	w9_d214e7412
Batail	w11_d214e7415
lon	w1_d214e7421
Jnfanterie	w3_d214e7424
wird	w5_d214e7427
mit	w7_d214e7430
3.	w9_d214e7433
Ober=officiers	w11_d214e7436
nämlich	w1_d214e7441
3.	w3_d214e7444
Seconde=leutenants	w5_d214e7447
vermehret.	w7_d214e7450
Die	w1_d214e7455
Recruten	w3_d214e7458
von	w5_d214e7461
der	w7_d214e7464
Jnfanterie	w9_d214e7467
werden	w11_d214e7470
aus	w1_d214e7475
dem	w3_d214e7478
Herzogtum	w5_d214e7481
Lünneburg	w7_d214e7484
geliefert,	w9_d214e7487
und	w11_d214e7490
es	w1_d214e7496
ist	w3_d214e7499
zu	w5_d214e7502
dem	w7_d214e7505
Ende	w9_d214e7508
eine	w11_d214e7511
Verordnung	w13_d214e7515
ergan	w15_d214e7518
gen,	w1_d214e7523
daß	w3_d214e7526
falls	w5_d214e7529
ein	w7_d214e7532
Bauern=sohn	w9_d214e7535
austrätte	w11_d214e7538
er	w1_d214e7543
all	w3_d214e7546
seines	w5_d214e7549
kindlichen	w7_d214e7552
Erb=theils	w9_d214e7555
und	w11_d214e7558
zu	w13_d214e7562
hoffen	w1_d214e7567
habender	w3_d214e7570
Güter	w5_d214e7573
verlustiget	w7_d214e7576
seyn	w9_d214e7579
solle	w11_d214e7582
Der	w1_d214e7588
Vatter	w3_d214e7591
oder	w5_d214e7594
die	w7_d214e7597
2.	w9_d214e7600
nächsten	w11_d214e7603
Anverwan	w13_d214e7607
dten	w1_d214e7612
sollen	w3_d214e7615
so	w5_d214e7618
lange	w7_d214e7621
mit	w9_d214e7624
der	w11_d214e7627
Karre	w13_d214e7631
oder	w15_d214e7634
dem	w17_d214e7637
Festungs=bau	w1_d214e7642
bestraffet	w3_d214e7645
werden,	w5_d214e7648
bis	w7_d214e7651
der	w9_d214e7654
Sohn	w11_d214e7657
oder	w1_d214e7662
Vetter	w3_d214e7665
herbey	w5_d214e7668
geschaffet	w7_d214e7671
wird.	w9_d214e7674
Der	w11_d214e7677
jenige	w1_d214e7683
welcher	w3_d214e7686
freywillig	w5_d214e7689
Dienste	w7_d214e7692
unter	w9_d214e7695
der	w11_d214e7698
Militz	w1_d214e7703
nimmt,	w3_d214e7706
soll	w5_d214e7709
hingegen	w7_d214e7712
des	w9_d214e7715
Ausgetret	w11_d214e7718
tenen	w1_d214e7723
Erb=theil	w3_d214e7726
und	w5_d214e7729
Meyerhof	w7_d214e7732
umsonst	w9_d214e7735
zu	w11_d214e7738
ge	w13_d214e7742
warten	w1_d214e7747
haben.	w3_d214e7750
Wie	w5_d214e7753
man	w7_d214e7756
von	w9_d214e7759
Zelle	w11_d214e7762
vernihmt,	w13_d214e7766
so	w1_d214e7772
seynd	w3_d214e7775
die	w5_d214e7778
3.	w7_d214e7781
Landes=directores,	w9_d214e7784
von	w11_d214e7787
Ja	w13_d214e7791
gow,	w1_d214e7796
von	w3_d214e7799
Lattorf	w5_d214e7802
und	w7_d214e7805
von	w9_d214e7808
Grävenitz,	w11_d214e7811
wie	w13_d214e7815
auch	w1_d214e7820
der	w3_d214e7823
Land=raht	w5_d214e7826
von	w7_d214e7829
Bülow	w9_d214e7832
aus	w11_d214e7835
der	w13_d214e7839
Alt	w15_d214e7842
mark	w1_d214e7847
</p>
<p id="p8_d214e7852">
mark	w1_d214e7856
und	w3_d214e7859
Prignitz	w5_d214e7862
noch	w7_d214e7865
alda	w9_d214e7868
in	w11_d214e7871
der	w13_d214e7875
Gefan	w15_d214e7878
genschaft.	w1_d214e7883
Sie	w3_d214e7886
verhoffen	w5_d214e7889
aber	w7_d214e7892
nächstens,	w9_d214e7895
nachdem	w1_d214e7900
der	w3_d214e7903
Herzog	w5_d214e7906
von	w7_d214e7909
Richelieu	w9_d214e7912
mit	w11_d214e7915
de	w13_d214e7919
nen	w1_d214e7925
Deputirten	w3_d214e7928
der	w5_d214e7931
Chur=markt,	w7_d214e7934
mit	w9_d214e7937
Kön.	w11_d214e7940
Preußischen	w1_d214e7945
Consens,	w3_d214e7948
eine	w5_d214e7951
Convention	w7_d214e7954
we	w9_d214e7957
gen	w1_d214e7962
Lieferung	w3_d214e7965
der	w5_d214e7968
Forage	w7_d214e7971
und	w9_d214e7974
des	w11_d214e7977
Getreids	w13_d214e7981
aus	w1_d214e7986
der	w3_d214e7989
Altmark	w5_d214e7992
und	w7_d214e7995
Priegnitz	w9_d214e7998
nach	w11_d214e8001
Braun	w13_d214e8005
schweig	w1_d214e8011
getroffen	w3_d214e8014
hat,	w5_d214e8017
ihre	w7_d214e8020
Befreyung	w9_d214e8023
wieder	w11_d214e8026
zu	w1_d214e8031
erhalten.	w3_d214e8034
Diese	w5_d214e8037
Lieferung	w7_d214e8040
ist	w9_d214e8043
auf	w11_d214e8046
4.	w13_d214e8050
Ter	w15_d214e8053
mine,	w1_d214e8058
und	w3_d214e8061
der	w5_d214e8064
letztere	w7_d214e8067
davon	w9_d214e8070
auf	w11_d214e8073
den	w13_d214e8077
15.	w15_d214e8080
die	w17_d214e8083
ses	w1_d214e8088
angesetzt	w3_d214e8091
wooden.	w5_d214e8094
</p>
<p id="p10_d214e8097">
Allem	w1_d214e8101
Ansehen	w3_d214e8104
nach,	w5_d214e8107
werden	w7_d214e8110
mit	w9_d214e8113
künftigen	w11_d214e8116
Früh=jahr	w1_d214e8121
im	w3_d214e8124
Nieder=sächsischen	w5_d214e8127
sehr	w7_d214e8130
Zahl	w9_d214e8133
reiche	w1_d214e8138
Armeen	w3_d214e8141
erscheinen.	w5_d214e8144
Die	w7_d214e8147
Französische	w9_d214e8150
wird	w1_d214e8156
selbst,	w3_d214e8159
denen	w5_d214e8162
Nachrichten	w7_d214e8165
aus	w9_d214e8168
Frankreich	w11_d214e8171
zufolge,	w1_d214e8176
mit	w3_d214e8179
mehr	w5_d214e8182
als	w7_d214e8185
40000.	w9_d214e8188
Mann	w11_d214e8191
ver	w13_d214e8195
stärket	w1_d214e8200
werden,	w3_d214e8203
und	w5_d214e8206
dem	w7_d214e8209
Vernehmen	w9_d214e8212
nach,	w11_d214e8215
sollen	w1_d214e8220
zur	w3_d214e8223
Hannöverischen	w5_d214e8226
gleichfalls	w7_d214e8229
sowol	w9_d214e8232
Engländische	w1_d214e8238
als	w3_d214e8241
Preußische	w5_d214e8244
Trupen	w7_d214e8247
stossen.	w9_d214e8250
Den	w1_d214e8255
8.	w3_d214e8258
paßirte	w5_d214e8261
das	w7_d214e8264
von	w9_d214e8267
Wesel	w11_d214e8270
kommende	w13_d214e8274
Kaiserl.	w1_d214e8279
Königl.	w3_d214e8282
Regiment	w5_d214e8285
von	w7_d214e8288
Arberg	w9_d214e8291
durch	w11_d214e8294
Hanover	w1_d214e8299
nach	w3_d214e8302
Wolfenbüttel,	w5_d214e8305
und	w7_d214e8308
gleich	w9_d214e8311
dar	w11_d214e8314
auf	w1_d214e8320
rückten	w3_d214e8323
die	w5_d214e8326
beyden	w7_d214e8329
Regimenter	w9_d214e8332
von	w11_d214e8335
Con	w13_d214e8339
te	w1_d214e8344
und	w3_d214e8347
Royal	w5_d214e8350
Roußillon,	w7_d214e8353
Cavallerie	w9_d214e8356
in	w11_d214e8359
er	w13_d214e8363
stere	w1_d214e8368
Residenz=stadt	w3_d214e8371
ein.	w5_d214e8374
Das	w7_d214e8377
Regiment	w9_d214e8380
des	w11_d214e8383
Königs,	w1_d214e8388
welches	w3_d214e8391
schon	w5_d214e8394
den	w7_d214e8397
8.	w9_d214e8400
nach	w11_d214e8403
Cassel	w13_d214e8407
marschieren	w1_d214e8413
solte,	w3_d214e8416
erhielt	w5_d214e8419
Contre	w7_d214e8422
Ordre,	w9_d214e8425
weil	w11_d214e8428
die	w1_d214e8433
gegenwärtigen	w3_d214e8436
Conjuncturen	w5_d214e8439
keine	w7_d214e8442
allzu	w9_d214e8445
weite	w1_d214e8450
Entfernung	w3_d214e8453
der	w5_d214e8456
Trupen	w7_d214e8459
verstatten	w9_d214e8462
wol	w11_d214e8465
len.	w1_d214e8470
</p>
<head id="h2_d214e8477">
Neapel	w1_d214e8481
9.	w3_d214e8484
Januarii.	w5_d214e8487
</head>
<p id="p4_d214e8490">
Von	w1_d214e8494
hier	w3_d214e8497
seynd	w5_d214e8500
einige	w7_d214e8503
Zeit	w9_d214e8506
her	w11_d214e8509
verschiede	w13_d214e8513
ne	w1_d214e8518
Curriers	w3_d214e8521
nach	w5_d214e8524
Madrid	w7_d214e8527
abgefertiget	w9_d214e8530
wor	w11_d214e8533
den,	w1_d214e8538
um	w3_d214e8541
Sr.	w5_d214e8544
Catolischen	w7_d214e8547
Majestät	w9_d214e8550
die	w11_d214e8553
Ent	w13_d214e8557
schlüsse	w1_d214e8563
zu	w3_d214e8566
überbringen,	w5_d214e8569
welche	w7_d214e8572
das	w9_d214e8575
Con	w11_d214e8578
seil	w1_d214e8583
des	w3_d214e8586
Königs	w5_d214e8589
abgefasset.	w7_d214e8592
Jhr	w9_d214e8595
Jnnhalt	w11_d214e8598
ist	w1_d214e8603
unbekannt,	w3_d214e8606
nur	w5_d214e8609
so	w7_d214e8612
viel	w9_d214e8615
bemerkt	w11_d214e8618
man,	w13_d214e8622
daß	w15_d214e8625
dem	w1_d214e8630
Minister	w3_d214e8633
von	w5_d214e8636
Frankreich	w7_d214e8639
auf	w9_d214e8642
eine	w11_d214e8645
sehr	w13_d214e8649
vor	w15_d214e8652
zügliche	w1_d214e8658
Art	w3_d214e8661
begegnet	w5_d214e8664
werde.	w7_d214e8667
Jn	w9_d214e8670
der	w11_d214e8673
Bay	w13_d214e8677
von	w1_d214e8682
Meßina	w3_d214e8685
haben	w5_d214e8688
die	w7_d214e8691
Engländer	w9_d214e8694
unlängst	w11_d214e8697
bey	w1_d214e8702
einem	w3_d214e8705
Seurm	w5_d214e8708
nicht	w7_d214e8711
nur	w9_d214e8714
ihr	w11_d214e8717
grosses	w13_d214e8721
Kriegs	w15_d214e8724
schif	w1_d214e8729
den	w3_d214e8732
Hamptoncourt	w5_d214e8735
von	w7_d214e8738
70.	w9_d214e8741
Canonen	w11_d214e8744
und	w1_d214e8750
1100.	w3_d214e8753
Mann,	w5_d214e8756
sondern	w7_d214e8759
auch	w9_d214e8762
2.	w11_d214e8765
Fregat	w13_d214e8769
ten	w1_d214e8774
verloren,	w3_d214e8777
welche	w5_d214e8780
aus	w7_d214e8783
denen	w9_d214e8786
Malthe	w11_d214e8789
sischen	w1_d214e8794
Gewässern	w3_d214e8797
nach	w5_d214e8800
Hause	w7_d214e8803
wollten.	w9_d214e8806
</p>
<head id="h2_d214e8812">
Haag	w1_d214e8816
14.	w3_d214e8819
Januarii.	w5_d214e8822
</head>
<p id="p4_d214e8825">
Alhier	w1_d214e8829
hat	w3_d214e8832
der	w5_d214e8835
Herr	w7_d214e8838
Graf	w9_d214e8841
von	w11_d214e8844
Afry	w13_d214e8848
Jhren	w15_d214e8851
Hochmögenden	w1_d214e8856
ein	w3_d214e8859
Memoire	w5_d214e8862
auf	w7_d214e8865
dero	w9_d214e8868
Ent	w11_d214e8871
schluß	w1_d214e8876
vom	w3_d214e8879
22	w5_d214e8882
December	w7_d214e8885
die	w9_d214e8888
bey	w11_d214e8891
Osnabrück	w13_d214e8895
angehaltene	w1_d214e8901
Gelder	w3_d214e8904
betreffend,	w5_d214e8907
überreichet.	w7_d214e8910
</p>
<p id="p6_d214e8913">
Dieses	w1_d214e8917
Wemoire	w3_d214e8920
enthält	w5_d214e8923
vornämlich,	w7_d214e8926
daß	w9_d214e8929
Se.	w1_d214e8934
Allerchristl.	w3_d214e8937
Majestät	w5_d214e8940
solche	w7_d214e8943
Gelder	w9_d214e8946
so	w11_d214e8949
lange	w1_d214e8954
in	w3_d214e8957
Wesel	w5_d214e8960
auf	w7_d214e8963
behalten	w9_d214e8966
wolten,	w11_d214e8969
bis	w13_d214e8973
die	w15_d214e8976
Ei	w17_d214e8979
gentümer	w1_d214e8985
sich	w3_d214e8988
vom	w5_d214e8991
Verdacht	w7_d214e8994
befreyet	w9_d214e8997
haben	w11_d214e9000
wurden,	w1_d214e9005
bis	w3_d214e9008
dahin	w5_d214e9011
auch	w7_d214e9014
Se.	w9_d214e9017
Allerchristlichste	w11_d214e9020
Majestät	w1_d214e9025
für	w3_d214e9028
solche	w5_d214e9031
genugsam	w7_d214e9034
zahlbar	w9_d214e9037
ange	w11_d214e9040
sehen	w1_d214e9045
zu	w3_d214e9048
werden,	w5_d214e9051
nicht	w7_d214e9054
zweifeln	w9_d214e9057
wolten.	w11_d214e9060
</p>
<head id="h2_d214e9066">
Kurz=gefaßte	w1_d214e9070
Nachrichten.	w3_d214e9073
</head>
<head id="h2_d214e9079">
Es	w1_d214e9083
geben	w3_d214e9086
die	w5_d214e9089
Briefe	w7_d214e9092
</head>
<p id="p4_d214e9095">
Von	w1_d214e9099
Braunschweig:	w3_d214e9102
Daß	w5_d214e9105
man	w7_d214e9108
die	w9_d214e9111
Preuß.	w1_d214e9116
Trupen,	w3_d214e9119
welche	w5_d214e9122
auf	w7_d214e9125
dem	w9_d214e9128
Regenstein	w11_d214e9131
zu	w13_d214e9135
Kriegs=gefangenen	w1_d214e9140
gemacht	w3_d214e9143
worden,	w5_d214e9146
weil	w7_d214e9149
man	w9_d214e9152
ihrer	w1_d214e9158
Auswechslung	w3_d214e9161
wegen	w5_d214e9164
noch	w7_d214e9167
nicht	w9_d214e9170
einig	w11_d214e9173
werden	w1_d214e9178
konte,	w3_d214e9181
einstweilen	w5_d214e9184
nach	w7_d214e9187
Hameln	w9_d214e9190
abge	w11_d214e9193
führet	w1_d214e9198
habe.	w3_d214e9201
</p>
<p id="p6_d214e9204">
Aus	w1_d214e9208
Pommern:	w3_d214e9211
Daß	w5_d214e9214
auch	w7_d214e9217
allda	w9_d214e9220
die	w11_d214e9223
strenge	w1_d214e9228
Witterung	w3_d214e9231
beyde	w5_d214e9234
Armeen,	w7_d214e9237
an	w9_d214e9240
Fortse	w11_d214e9243
tzung	w1_d214e9248
der	w3_d214e9251
Operationen	w5_d214e9254
hindere.	w7_d214e9257
Die	w9_d214e9260
Schwe	w11_d214e9263
dische	w1_d214e9269
Truppen	w3_d214e9272
cantoniren	w5_d214e9275
in	w7_d214e9278
der	w9_d214e9281
Gegend	w11_d214e9284
von	w1_d214e9289
Stralsund,	w3_d214e9292
die	w5_d214e9295
Preussen	w7_d214e9298
aber	w9_d214e9301
haben	w11_d214e9304
sich	w1_d214e9309
längs	w3_d214e9312
der	w5_d214e9315
Peene	w7_d214e9318
ausgebreitet,	w9_d214e9321
und	w11_d214e9324
nur	w13_d214e9328
die	w1_d214e9333
beyder=seitige	w3_d214e9336
leichte	w5_d214e9339
Truppen	w7_d214e9342
sind	w9_d214e9345
es,	w11_d214e9348
welche	w1_d214e9354
bisweilen	w3_d214e9357
mit=einander	w5_d214e9360
in	w7_d214e9363
hitzige	w9_d214e9366
Schar	w11_d214e9369
müzels	w1_d214e9374
gerathen.	w3_d214e9377
</p>
<p id="p8_d214e9380">
Von	w1_d214e9384
Petersburg:	w3_d214e9387
Daß	w5_d214e9390
den	w7_d214e9393
27.	w9_d214e9396
Decemb	w11_d214e9399
allda	w1_d214e9404
Jhro	w3_d214e9407
Kaiserl.	w5_d214e9410
Hoheit	w7_d214e9413
die	w9_d214e9416
Großfürstin	w11_d214e9419
aller	w1_d214e9424
Reussen	w3_d214e9427
mit	w5_d214e9430
einer	w7_d214e9433
Prinzeßin	w9_d214e9436
glücklich	w11_d214e9439
entbunden	w1_d214e9445
worden,	w3_d214e9448
welcher	w5_d214e9451
der	w7_d214e9454
Nahme	w9_d214e9457
Anna	w11_d214e9460
beygelegt	w1_d214e9465
ist.	w3_d214e9468
Diese	w5_d214e9471
geseegnete	w7_d214e9474
Vermehrung	w9_d214e9477
des	w1_d214e9482
Kaiserl.	w3_d214e9485
Hauses	w5_d214e9488
wurde	w7_d214e9491
durch	w9_d214e9494
Abfeuerung	w11_d214e9497
derer	w1_d214e9502
Canonen	w3_d214e9505
denen	w5_d214e9508
Einwohnern	w7_d214e9511
verkündet,	w9_d214e9514
und	w1_d214e9520
zugleich	w3_d214e9523
die	w5_d214e9526
Curriers	w7_d214e9529
an	w9_d214e9532
die,	w11_d214e9535
an	w13_d214e9539
aus	w15_d214e9542
wärtigen	w1_d214e9547
Höfen	w3_d214e9550
befindliche	w5_d214e9553
Ministers	w7_d214e9556
ab	w9_d214e9559
gefertigt.	w1_d214e9564
</p>
<p id="p10_d214e9567">
Von	w1_d214e9571
Cleve:	w3_d214e9574
Daß	w5_d214e9577
allda	w7_d214e9580
ehestens	w9_d214e9583
eine	w11_d214e9586
Königl.	w1_d214e9591
Französische	w3_d214e9594
Commißion	w5_d214e9597
erwartet	w7_d214e9600
werde,	w1_d214e9605
welche	w3_d214e9608
untersuche	w5_d214e9611
soll,	w7_d214e9614
ob	w9_d214e9617
die	w11_d214e9620
Einwohner	w13_d214e9624
im	w1_d214e9630
Stande	w3_d214e9633
seyen,	w5_d214e9636
die	w7_d214e9639
verlangte	w9_d214e9642
Contribution	w11_d214e9645
von	w1_d214e9650
800000.	w3_d214e9653
Thlrn.	w5_d214e9656
zu	w7_d214e9659
zahlen.	w9_d214e9662
</p>
<p id="p12_d214e9666">
Von	w1_d214e9670
Regensburg:	w3_d214e9673
Das	w5_d214e9676
den	w7_d214e9679
20	w9_d214e9682
Abends	w11_d214e9685
um	w1_d214e9690
6.	w3_d214e9693
Uhr,	w5_d214e9696
des	w7_d214e9699
Herrn	w9_d214e9702
Herzogs	w11_d214e9705
von	w13_d214e9709
Sachsen	w15_d214e9712
Hildburgshausen	w1_d214e9717
Hochfürstliche	w3_d214e9720
Durchl	w5_d214e9723
des	w7_d214e9726
Heil.	w1_d214e9732
Röm.	w3_d214e9735
Reichs	w5_d214e9738
General	w7_d214e9741
Feldmarschall	w9_d214e9744
und	w1_d214e9749
respective	w3_d214e9752
Feld=zeug=meister	w5_d214e9755
von	w7_d214e9758
Nürn	w9_d214e9761
berg	w1_d214e9766
in	w3_d214e9769
hohen	w5_d214e9772
Wolseyn	w7_d214e9775
angelangt	w9_d214e9778
seyen.	w11_d214e9781
</p>
<p id="p14_d214e9784">
Von	w1_d214e9788
Genua:	w3_d214e9791
daß	w5_d214e9794
alda	w7_d214e9797
zu	w9_d214e9800
Ende	w11_d214e9803
des	w13_d214e9807
ver	w15_d214e9810
strichenen	w1_d214e9815
Monats	w3_d214e9818
December	w5_d214e9821
eine	w7_d214e9824
Stund	w9_d214e9827
lang	w11_d214e9830
</p>
<p id="p20_d214e9843">
ein	w1_d214e9847
solcher	w3_d214e9850
Sturm	w5_d214e9853
auf	w7_d214e9856
dem	w9_d214e9859
Meer	w11_d214e9862
gewesen,	w13_d214e9866
dergleichen	w1_d214e9871
man	w3_d214e9874
bey	w5_d214e9877
Menschen	w7_d214e9880
gedenken	w9_d214e9883
kei	w11_d214e9886
nen	w1_d214e9891
wisse.	w3_d214e9894
Man	w5_d214e9897
habe	w7_d214e9900
den	w9_d214e9903
Greul	w11_d214e9906
deren	w13_d214e9910
wü	w15_d214e9913
tenden	w1_d214e9919
Wellen	w3_d214e9922
nicht	w5_d214e9925
anders	w7_d214e9928
als	w9_d214e9931
mit	w11_d214e9934
äusser	w13_d214e9938
sten	w1_d214e9943
Schrecken	w3_d214e9946
betrachtet,	w5_d214e9949
und	w7_d214e9952
kein	w9_d214e9955
Mensch	w11_d214e9958
konnte	w1_d214e9963
sich	w3_d214e9966
vorstellen,	w5_d214e9969
daß	w7_d214e9972
einiges	w9_d214e9975
Schif	w11_d214e9978
aus	w13_d214e9982
diesfälliger	w1_d214e9987
Gefahr	w3_d214e9990
sich	w5_d214e9993
wurde	w7_d214e9996
retten	w9_d214e9999
können,	w11_d214e10002
deme	w1_d214e10008
ungeacht	w3_d214e10011
habe	w5_d214e10014
man	w7_d214e10017
doch	w9_d214e10020
währenden	w11_d214e10023
höchsten	w1_d214e10028
Sturm	w3_d214e10031
