<doc id="wr_1759-07-18" attrs="word" year="1759" month="07" day="18" corpus="2">
<head id="h2_d365e3112">
Oldendorf	w1_d365e3116
Schwerin	w7_d365e6760
aufgebrochen,	w9_d365e6763
um	w11_d365e6766
ihren	w1_d365e6772
Marsch	w3_d365e6775
an	w5_d365e6778
beyden	w7_d365e6781
Seiten	w9_d365e6784
der	w11_d365e6787
Warte	w13_d365e6791
fortzusetzen,	w1_d365e6796
sie	w3_d365e6799
den	w5_d365e6802
27.	w7_d365e6805
ihr	w9_d365e6808
Lager	w11_d365e6811
bey	w13_d365e6815
Birn	w15_d365e6818
baum,	w1_d365e6823
den	w3_d365e6826
28.	w5_d365e6829
bey	w7_d365e6832
Czircke,	w9_d365e6835
und	w11_d365e6838
den	w13_d365e6842
29.	w15_d365e6845
bey	w1_d365e6850
Wronke	w3_d365e6853
genommen	w5_d365e6856
habe;	w7_d365e6859
die	w9_d365e6862
feindliche	w11_d365e6865
aber,	w1_d365e6871
nachdem	w3_d365e6874
sie	w5_d365e6877
die	w7_d365e6880
detaschirten	w9_d365e6883
Corps	w11_d365e6886
von	w1_d365e6891
denen	w3_d365e6894
diesseitigen	w5_d365e6897
Granzen	w7_d365e6900
ab	w9_d365e6903
und	w11_d365e6906
an	w13_d365e6910
sich	w1_d365e6915
gezogen,	w3_d365e6918
in	w5_d365e6921
einem	w7_d365e6924
stark	w9_d365e6927
verschanzten	w11_d365e6930
Lager	w1_d365e6935
bey	w3_d365e6938
Posen	w5_d365e6941
stehe,	w7_d365e6944
dergestalt,	w9_d365e6947
daß	w11_d365e6950
sie	w13_d365e6954
die	w1_d365e6960
Stadt	w3_d365e6963
und	w5_d365e6966
die	w7_d365e6969
Warte	w9_d365e6972
im	w11_d365e6975
Rücken	w13_d365e6979
hat.	w15_d365e6982
</p>
<head id="h2_d365e6988">
Latyczew	w1_d365e6992
29.	w3_d365e6995
May.	w5_d365e6998
</head>
<p id="p4_d365e7001">
Man	w1_d365e7005
höret	w3_d365e7008
allhier	w5_d365e7011
nicht	w7_d365e7014
auf	w9_d365e7017
durch	w11_d365e7020
betrüb	w13_d365e7024
te	w1_d365e7029
Nachrichten	w3_d365e7032
uns	w5_d365e7035
zu	w7_d365e7038
erschrecken,	w9_d365e7041
von	w11_d365e7044
noch	w13_d365e7048
immer	w1_d365e7053
anwachsenden	w3_d365e7056
Raubereyen,	w5_d365e7059
welche	w7_d365e7062
die	w1_d365e7068
Haydamacken	w3_d365e7071
verüben.	w5_d365e7074
Den	w7_d365e7077
18.	w9_d365e7080
May	w11_d365e7083
haben	w1_d365e7088
selbige	w3_d365e7091
die	w5_d365e7094
Stadt	w7_d365e7097
Neu=constantinoro	w9_d365e7100
geplündert,	w1_d365e7105
und	w3_d365e7108
auch	w5_d365e7111
der	w7_d365e7114
Kirche	w9_d365e7117
nicht	w11_d365e7120
ver	w13_d365e7124
schonet,	w1_d365e7129
sondern	w3_d365e7132
alle	w5_d365e7135
heilige	w7_d365e7138
Geräte	w9_d365e7141
mit	w11_d365e7144
genommen.	w1_d365e7150
Eben	w3_d365e7153
dieses	w5_d365e7156
Schichsal	w7_d365e7159
haben	w9_d365e7162
auch	w11_d365e7165
die	w1_d365e7170
Dörfer	w3_d365e7173
Werbka	w5_d365e7176
und	w7_d365e7179
Bielekie	w9_d365e7182
empfun	w11_d365e7185
den;	w1_d365e7190
jedoch	w3_d365e7193
haben	w5_d365e7196
sie	w7_d365e7199
ihre	w9_d365e7202
Raubereyen	w11_d365e7205
mit	w13_d365e7209
der	w1_d365e7214
grösten	w3_d365e7217
Grausamkeit	w5_d365e7220
in	w7_d365e7223
dem	w9_d365e7226
Hof	w11_d365e7229
des	w13_d365e7233
Fürsten	w1_d365e7239
Swientoslau	w3_d365e7242
von	w5_d365e7245
Zetweczynsky	w7_d365e7248
ge	w9_d365e7251
trieben.	w1_d365e7256
Als	w3_d365e7259
sie	w5_d365e7262
daselbst	w7_d365e7265
den	w9_d365e7268
24.	w11_d365e7271
May	w13_d365e7275
bey	w15_d365e7278
nächtlicher	w1_d365e7283
Weile	w3_d365e7286
eingefallen,	w5_d365e7289
und	w7_d365e7292
das	w9_d365e7295
Feuer,	w11_d365e7298
welches	w1_d365e7303
der	w3_d365e7306
mit	w5_d365e7309
seinen	w7_d365e7312
Leuten	w9_d365e7315
auf	w11_d365e7318
der	w13_d365e7322
Hut	w15_d365e7325
stehende	w1_d365e7331
Fürst	w3_d365e7334
an	w5_d365e7337
4.	w7_d365e7340
Orten	w9_d365e7343
machen	w11_d365e7346
lassen,	w13_d365e7350
ausgelöschet,	w1_d365e7355
sind	w3_d365e7358
sie	w5_d365e7361
gleichen	w7_d365e7364
Weeges	w9_d365e7367
auf	w11_d365e7370
den	w1_d365e7375
Hof	w3_d365e7378
los	w5_d365e7381
gegangen;	w7_d365e7384
der	w9_d365e7387
Fürst	w11_d365e7390
begab	w13_d365e7394
sich	w15_d365e7397
mit	w1_d365e7402
seinen	w3_d365e7405
Leuten	w5_d365e7408
bey	w7_d365e7411
Zeiten	w9_d365e7414
aus	w11_d365e7417
Thor,	w13_d365e7421
um	w15_d365e7424
sich	w1_d365e7430
zu	w3_d365e7433
defendiren,	w5_d365e7436
von	w7_d365e7439
daher	w9_d365e7442
man	w11_d365e7445
auf	w13_d365e7449
die	w15_d365e7452
ses	w1_d365e7457
böse	w3_d365e7460
Gesinde,	w5_d365e7463
da	w7_d365e7466
selbiges	w9_d365e7469
aus	w11_d365e7472
denen	w13_d365e7476
Zimmern	w1_d365e7481
heraus	w3_d365e7484
kame,	w5_d365e7487
Feuer	w7_d365e7490
gab,	w9_d365e7493
und	w11_d365e7496
derselben	w1_d365e7501
5.	w3_d365e7504
erlegte.	w5_d365e7507
Die	w7_d365e7510
Haydamacken	w9_d365e7513
ga	w11_d365e7516
ben	w1_d365e7522
</p>
<p id="p8_d365e7527">
ben	w1_d365e7531
gleichfalls	w3_d365e7534
Feuer,	w5_d365e7537
erschossen	w7_d365e7540
von	w9_d365e7543
denen	w11_d365e7546
fürstlichen	w1_d365e7551
Leuten	w3_d365e7554
einen	w5_d365e7557
gewissen	w7_d365e7560
Marcya	w9_d365e7563
nowitz,	w1_d365e7568
und	w3_d365e7571
2.	w5_d365e7574
Cosacken,	w7_d365e7577
und	w9_d365e7580
zogen	w11_d365e7583
sich	w13_d365e7587
dar	w15_d365e7590
auf	w1_d365e7596
zuruck	w3_d365e7599
in	w5_d365e7602
einen	w7_d365e7605
Wald.	w9_d365e7608
Auf	w11_d365e7611
den	w13_d365e7615
Mor	w15_d365e7618
gen	w1_d365e7623
gleich	w3_d365e7626
um	w5_d365e7629
den	w7_d365e7632
Mittag,	w9_d365e7635
da	w11_d365e7638
der	w13_d365e7642
Fürst	w15_d365e7645
er	w17_d365e7648
müdet	w1_d365e7653
ward,	w3_d365e7656
und	w5_d365e7659
die	w7_d365e7662
Leute	w9_d365e7665
ruheten,	w11_d365e7668
über	w13_d365e7672
fielen	w1_d365e7677
die	w3_d365e7680
Haydamacken	w5_d365e7683
wiederum	w7_d365e7686
den	w9_d365e7689
Hof,	w11_d365e7692
man	w1_d365e7698
wehrte	w3_d365e7701
sich	w5_d365e7704
wieder	w7_d365e7707
mit	w9_d365e7710
Feuer=geben	w11_d365e7713
vom	w13_d365e7717
Thore,	w1_d365e7722
und	w3_d365e7725
tödtete	w5_d365e7728
etliche	w7_d365e7731
aus	w9_d365e7734
ihnen.	w11_d365e7737
Allein	w13_d365e7741
die	w1_d365e7746
Schaar	w3_d365e7749
des	w5_d365e7752
losen	w7_d365e7755
Gesindes	w9_d365e7758
gewann	w11_d365e7761
Ober=hand,	w1_d365e7766
erschosse	w3_d365e7769
3.	w5_d365e7772
von	w7_d365e7775
denen	w9_d365e7778
fürstli	w11_d365e7781
chen	w1_d365e7787
Leuten,	w3_d365e7790
und	w5_d365e7793
erstachen	w7_d365e7796
eben	w9_d365e7799
so	w11_d365e7802
viel.	w13_d365e7806
Selbst	w1_d365e7811
den	w3_d365e7814
Fürsten	w5_d365e7817
stachen	w7_d365e7820
sie	w9_d365e7823
6.	w11_d365e7826
mal	w13_d365e7830
mit	w15_d365e7833
ei	w17_d365e7836
ner	w1_d365e7841
Lanze,	w3_d365e7844
der	w5_d365e7847
Fürst	w7_d365e7850
aber	w9_d365e7853
defendirte	w11_d365e7856
sich,	w13_d365e7860
gab	w1_d365e7865
auf	w3_d365e7868
sie	w5_d365e7871
Feuer,	w7_d365e7874
und	w9_d365e7877
bleßirte	w11_d365e7880
2.	w13_d365e7884
Hayda	w15_d365e7887
macken	w1_d365e7893
tödtlich.	w3_d365e7896
Es	w5_d365e7899
bleßirten	w7_d365e7902
auch	w9_d365e7905
die	w11_d365e7908
Hay	w13_d365e7912
damacken	w1_d365e7917
die	w3_d365e7920
Fürstin	w5_d365e7923
und	w7_d365e7926
fürstliche	w9_d365e7929
Tochter,	w11_d365e7932
raubten	w1_d365e7937
endlich	w3_d365e7940
alles	w5_d365e7943
Geld,	w7_d365e7946
Silber=werk,	w9_d365e7949
und	w1_d365e7954
Meublen,	w3_d365e7957
und	w5_d365e7960
begaben	w7_d365e7963
sich	w9_d365e7966
in	w11_d365e7969
die	w13_d365e7973
Wäl	w15_d365e7976
der.	w1_d365e7982
Man	w3_d365e7985
zweifelt	w5_d365e7988
auf	w7_d365e7991
dem	w9_d365e7994
Aufkommen	w11_d365e7997
des	w1_d365e8002
Fürstens.	w3_d365e8005
</p>
<head id="h2_d365e8011">
Ollmütz	w1_d365e8015
10.	w3_d365e8018
Julii.	w5_d365e8021
</head>
<p id="p4_d365e8024">
Den	w1_d365e8028
9.	w3_d365e8031
dieses	w5_d365e8034
als	w7_d365e8037
nach	w9_d365e8040
hinterlegter	w11_d365e8043
Jahrs	w13_d365e8047
zeit	w1_d365e8052
der	w3_d365e8055
hocherwünschten	w5_d365e8058
Befreyung	w7_d365e8061
dieser	w9_d365e8064
vom	w1_d365e8069
Feind	w3_d365e8072
belagert=gewesten	w5_d365e8075
Königl.	w7_d365e8078
Haupt	w9_d365e8081
stadt,	w1_d365e8087
und	w3_d365e8090
Gränz=festung,	w5_d365e8093
hat	w7_d365e8096
ein	w9_d365e8099
hiesi	w11_d365e8102
ges	w1_d365e8107
hochwürdig=getreues	w3_d365e8110
Dom=capitul,	w5_d365e8113
samt	w1_d365e8118
dero	w3_d365e8121
unterhabenden	w5_d365e8124
Geistlichkeit,	w7_d365e8127
und	w9_d365e8130
vielem	w1_d365e8135
Ollmützer=volk	w3_d365e8138
zu	w5_d365e8141
diesfälliger	w7_d365e8144
Danks	w9_d365e8147
bezeugung	w1_d365e8153
eine	w3_d365e8156
Solemne	w5_d365e8159
Proceßion	w7_d365e8162
aus	w9_d365e8165
der	w11_d365e8168
hohen	w1_d365e8173
Cathedral=kirchen	w3_d365e8176
nach	w5_d365e8179
dem	w7_d365e8182
Mariani	w9_d365e8185
schen	w1_d365e8190
Gnadenberg	w3_d365e8193
vorgenommen,	w5_d365e8196
woselbst	w7_d365e8199
ein	w9_d365e8202
hierzu	w1_d365e8207
bestimmter	w3_d365e8210
Prämonstratenser	w5_d365e8213
Chor	w7_d365e8216
herr	w1_d365e8222
an	w3_d365e8225
dieses	w5_d365e8228
hochansehenliche	w7_d365e8231
Audito	w9_d365e8234
rium	w1_d365e8239
eine	w3_d365e8242
zierliche	w5_d365e8245
Anrede	w7_d365e8248
gehalten,	w9_d365e8251
so	w11_d365e8254
fort	w1_d365e8259
Se.	w3_d365e8262
Bischöfliche	w5_d365e8265
Gnaden,	w7_d365e8268
der	w9_d365e8271
hie	w11_d365e8274
sige	w1_d365e8279
Herr	w3_d365e8282
Suffragancus	w5_d365e8285
Graf	w7_d365e8288
von	w9_d365e8291
Scher	w11_d365e8294
fenberg,	w1_d365e8300
daß	w3_d365e8303
feyerliche	w5_d365e8306
Hoch=amt	w7_d365e8309
ange	w9_d365e8312
stimmet,	w1_d365e8317
endlich	w3_d365e8320
nach	w5_d365e8323
dieser	w7_d365e8326
auferbaulichst	w9_d365e8329
beschlossenen	w1_d365e8334
Andacht,	w3_d365e8337
gegen	w5_d365e8340
Abend	w7_d365e8343
man	w9_d365e8346
wieder	w1_d365e8351
in	w3_d365e8354
schönster	w5_d365e8357
Ordnung	w7_d365e8360
nach	w9_d365e8363
der	w11_d365e8366
Stadt	w13_d365e8370
zuruckgekehret	w1_d365e8376
ist.	w3_d365e8379
..	w1_d365e8384
</p>
<head id="h2_d365e8390">
Fortsetzung	w1_d365e8394
des	w3_d365e8397
Journals	w5_d365e8400
der	w7_d365e8403
unter	w9_d365e8406
dem	w11_d365e8409
Commando	w1_d365e8414
des	w3_d365e8417
Herrn	w5_d365e8420
Marschalls	w7_d365e8423
von	w9_d365e8426
Contades	w1_d365e8431
stehenden	w3_d365e8434
Königl.	w5_d365e8437
Französi	w7_d365e8440
schen	w1_d365e8446
Armee,	w3_d365e8449
aus	w5_d365e8452
dem	w7_d365e8455
Hauptquar	w9_d365e8458
tier	w1_d365e8463
Ostschlangen	w3_d365e8466
1.	w5_d365e8469
Julii.	w7_d365e8472
</head>
<p id="p4_d365e8475">
Den	w1_d365e8479
26.	w3_d365e8482
verstrichenen	w5_d365e8485
Monats	w7_d365e8488
Junii	w9_d365e8491
seynd	w1_d365e8496
von	w3_d365e8499
der	w5_d365e8502
Armee	w7_d365e8505
und	w9_d365e8508
dem	w11_d365e8511
Corps	w13_d365e8515
de	w15_d365e8518
Reserve	w1_d365e8523
drey	w3_d365e8526
Detaschementer,	w5_d365e8529
um	w7_d365e8532
die	w9_d365e8535
Stel	w11_d365e8538
lung	w1_d365e8544
des	w3_d365e8547
Feindes,	w5_d365e8550
und	w7_d365e8553
die	w9_d365e8556
Mittel,	w11_d365e8559
wie	w13_d365e8563
demselben	w1_d365e8568
am	w3_d365e8571
besten	w5_d365e8574
beyzukommen	w7_d365e8577
wäre,	w9_d365e8580
zu	w1_d365e8585
recognosciren,	w3_d365e8588
ausgeschicket	w5_d365e8591
worden.	w7_d365e8594
Das	w1_d365e8599
erste	w3_d365e8602
von	w5_d365e8605
diesen	w7_d365e8608
3.	w9_d365e8611
Detaschementern	w11_d365e8614
unter	w1_d365e8620
Commando	w3_d365e8623
des	w5_d365e8626
Herrn	w7_d365e8629
Grafens	w9_d365e8632
von	w11_d365e8635
Berchini,	w1_d365e8640
bestehend	w3_d365e8643
aus	w5_d365e8646
dessen	w7_d365e8649
eigenen	w9_d365e8652
Re	w11_d365e8655
giment,	w1_d365e8660
dann	w3_d365e8663
200.	w5_d365e8666
Freywilligen	w7_d365e8669
von	w9_d365e8672
der	w11_d365e8675
Jnfanterie	w1_d365e8680
unter	w3_d365e8683
Commando	w5_d365e8686
des	w7_d365e8689
Herrn	w9_d365e8692
Myrel,	w1_d365e8698
wie	w3_d365e8701
auch	w5_d365e8704
150.	w7_d365e8707
Grenadiers	w9_d365e8710
von	w11_d365e8713
Prag	w1_d365e8718
wurde	w3_d365e8721
beordert	w5_d365e8724
der	w7_d365e8727
mit	w9_d365e8730
400.	w11_d365e8733
feindli	w13_d365e8737
chen	w1_d365e8742
Jägern	w3_d365e8745
besetzten	w5_d365e8748
Brücke	w7_d365e8751
in	w9_d365e8754
dem	w11_d365e8757
Dorf	w13_d365e8761
Bock	w1_d365e8766
sich	w3_d365e8769
zu	w5_d365e8772
bemächtigen.	w7_d365e8775
Der	w9_d365e8778
Augrif	w11_d365e8781
geschahe	w1_d365e8787
mit	w3_d365e8790
vieler	w5_d365e8793
Tapferkeit,	w7_d365e8796
die	w9_d365e8799
Jäger	w11_d365e8802
wurden	w1_d365e8807
endlich	w3_d365e8810
in	w5_d365e8813
die	w7_d365e8816
Flucht	w9_d365e8819
gejagt,	w11_d365e8822
und	w13_d365e8826
nach	w1_d365e8831
einer	w3_d365e8834
lebhaften	w5_d365e8837
Gegenwehr	w7_d365e8840
der	w9_d365e8843
Posto	w11_d365e8846
dieser	w1_d365e8851
Brücke	w3_d365e8854
zu	w5_d365e8857
Boch	w7_d365e8860
von	w9_d365e8863
denen	w11_d365e8866
Unseri	w13_d365e8870
gen	w1_d365e8876
besetzet.	w3_d365e8879
Das	w5_d365e8882
anderte	w7_d365e8885
Detaschement	w9_d365e8888
unter	w11_d365e8891
Commando	w1_d365e8896
des	w3_d365e8899
Dragoner=hauptmanns	w5_d365e8902
Hrn.	w7_d365e8905
Grafens	w1_d365e8910
v.	w3_d365e8913
Apchon	w5_d365e8916
bestehend	w7_d365e8919
aus	w9_d365e8922
200.	w11_d365e8925
Dra	w13_d365e8929
gonern	w1_d365e8934
seines	w3_d365e8937
Regiments,	w5_d365e8940
dem	w7_d365e8943
Corps	w9_d365e8946
Vo	w11_d365e8949
lontairs	w1_d365e8955
von	w3_d365e8958
Clermont,	w5_d365e8961
und	w7_d365e8964
100.	w9_d365e8967
Hussa	w11_d365e8970
ren	w1_d365e8975
von	w3_d365e8978
Turpin	w5_d365e8981
marschierte	w7_d365e8984
in	w9_d365e8987
das	w11_d365e8990
Dorf	w13_d365e8994
Delbrügge,	w1_d365e8999
und	w3_d365e9002
griffe	w5_d365e9005
den	w7_d365e9008
alldasigen	w9_d365e9011
feind	w11_d365e9014
lichen	w1_d365e9019
Posto	w3_d365e9022
an,	w5_d365e9025
welcher	w7_d365e9028
sich	w9_d365e9031
eine	w11_d365e9034
ziemliche	w13_d365e9038
Zeit	w1_d365e9044
lang	w3_d365e9047
wehrete,	w5_d365e9050
endlich	w7_d365e9053
doch	w9_d365e9056
überwälti	w11_d365e9059
get	w1_d365e9064
und	w3_d365e9067
in	w5_d365e9070
die	w7_d365e9073
Flucht	w9_d365e9076
getrieben	w11_d365e9079
wurde.	w13_d365e9083
Das	w15_d365e9086
dritte	w1_d365e9091
Detaschement	w3_d365e9094
unter	w5_d365e9097
Commando	w7_d365e9100
des	w9_d365e9103
Herrn	w1_d365e9108
Chevalier	w3_d365e9111
de	w5_d365e9114
Muy	w7_d365e9117
wurde	w9_d365e9120
beorden	w11_d365e9123
sich	w1_d365e9129
auf	w3_d365e9132
das	w5_d365e9135
grosse	w7_d365e9138
Saat=feld	w9_d365e9141
an	w11_d365e9144
dem	w13_d365e9148
Asten	w15_d365e9151
becker	w1_d365e9156
und	w3_d365e9159
Emser=ursprung	w5_d365e9162
zu	w7_d365e9165
begeben,	w9_d365e9168
und	w11_d365e9171
allda	w1_d365e9176
die	w3_d365e9179
Zugänge	w5_d365e9182
des	w7_d365e9185
feindlichen	w9_d365e9188
Corps	w11_d365e9191
entweder	w1_d365e9196
mittelst	w3_d365e9199
Umgehung	w5_d365e9202
deren	w7_d365e9205
Emser	w9_d365e9208
ursprüngen,	w1_d365e9214
oder	w3_d365e9217
mit	w5_d365e9220
unterhalb	w7_d365e9223
derenselben	w9_d365e9226
vornehmender	w1_d365e9231
Paßirung	w3_d365e9234
dieses	w5_d365e9237
Fluhles	w7_d365e9240
zu	w9_d365e9243
</p>
<p id="p8_d365e9248">
retognosciren.	w1_d365e9252
Dieses	w3_d365e9255
Detaschement	w5_d365e9258
kame	w7_d365e9261
den	w1_d365e9266
nämlichen	w3_d365e9269
Tag	w5_d365e9272
wieder	w7_d365e9275
in	w9_d365e9278
das	w11_d365e9281
Lager	w13_d365e9285
zu	w15_d365e9288
ruck,	w1_d365e9293
ohne	w3_d365e9296
etwas	w5_d365e9299
anderes	w7_d365e9302
von	w9_d365e9305
dem	w11_d365e9308
Feind	w13_d365e9312
als	w1_d365e9318
einige	w3_d365e9321
ausgesetzte	w5_d365e9324
kleine	w7_d365e9327
Posten,	w9_d365e9330
(welche	w11_d365e9333
bey	w1_d365e9338
Ersehung	w3_d365e9341
deren	w5_d365e9344
unsrigen	w7_d365e9347
alsogleich	w9_d365e9350
sich	w11_d365e9353
davon	w1_d365e9358
geflüchtet)	w3_d365e9361
angetroffen	w5_d365e9364
zu	w7_d365e9367
haben.	w9_d365e9370
Die	w1_d365e9375
Armee	w3_d365e9378
selbst	w5_d365e9381
setzte	w7_d365e9384
sich	w9_d365e9387
aus	w11_d365e9390
Nohtwen	w13_d365e9394
digkeit,	w1_d365e9400
die	w3_d365e9403
Brod=zufuhr	w5_d365e9406
von	w7_d365e9409
Marpurg	w9_d365e9412
zu	w11_d365e9415
erwarten,	w1_d365e9420
nicht	w3_d365e9423
ehender	w5_d365e9426
als	w7_d365e9429
den	w9_d365e9432
29.	w11_d365e9435
Junii	w13_d365e9439
nacher	w1_d365e9444
Ost=schlangen	w3_d365e9447
in	w5_d365e9450
den	w7_d365e9453
Marsch,	w9_d365e9456
und	w11_d365e9459
liesse	w1_d365e9464
nichtes,	w3_d365e9467
als	w5_d365e9470
die	w7_d365e9473
grosse	w9_d365e9476
Bagage,	w11_d365e9479
und	w13_d365e9483
einige	w1_d365e9489
Carabiniers	w3_d365e9492
zu	w5_d365e9495
Paderborn	w7_d365e9498
zurücke.	w9_d365e9501
Das	w1_d365e9506
Corps	w3_d365e9509
de	w5_d365e9512
Reserve	w7_d365e9515
unter	w9_d365e9518
dem	w11_d365e9521
Herzog	w13_d365e9525
von	w1_d365e9530
Broglie	w3_d365e9533
trasse	w5_d365e9536
eben	w7_d365e9539
diesen	w9_d365e9542
Tag	w11_d365e9545
zu	w13_d365e9549
Oster	w15_d365e9552
hold	w1_d365e9557
ein.	w3_d365e9560
Das	w5_d365e9563
unter	w7_d365e9566
dem	w9_d365e9569
Herzog	w11_d365e9572
von	w13_d365e9576
Chevreuse	w1_d365e9582
stehende	w3_d365e9585
Corps	w5_d365e9588
verfügte	w7_d365e9591
sich	w9_d365e9594
ebenmäßig	w1_d365e9599
annoch	w3_d365e9602
diesen	w5_d365e9605
Tag	w7_d365e9608
von	w9_d365e9611
Bühren	w11_d365e9614
nach	w1_d365e9619
Neuhauß,	w3_d365e9622
woselbst	w5_d365e9625
es	w7_d365e9628
um	w9_d365e9631
Paderborn	w11_d365e9634
zu	w1_d365e9639
bedecken,	w3_d365e9642
sich	w5_d365e9645
lagerte.	w7_d365e9648
Man	w9_d365e9651
hat	w11_d365e9654
fer	w13_d365e9658
ners	w1_d365e9664
auch	w3_d365e9667
an	w5_d365e9670
diesem	w7_d365e9673
Tag	w9_d365e9676
Detaschementer	w11_d365e9679
nach	w1_d365e9684
denen	w3_d365e9687
Dörfern	w5_d365e9690
Herweile,	w7_d365e9693
und	w9_d365e9696
Stu	w11_d365e9699
ckembrock	w1_d365e9704
abgeordert,	w3_d365e9707
welche	w5_d365e9710
dann	w7_d365e9713
auch	w9_d365e9716
die	w1_d365e9721
angetroffene,	w3_d365e9724
feindliche	w5_d365e9727
Postirungen	w7_d365e9730
von	w1_d365e9736
diesen	w3_d365e9739
Dörfern	w5_d365e9742
vertrieben;	w7_d365e9745
und	w9_d365e9748
man	w11_d365e9751
hat	w1_d365e9756
zugleich	w3_d365e9759
die	w5_d365e9762
Weege	w7_d365e9765
dem	w9_d365e9768
Feind	w11_d365e9771
(welcher	w13_d365e9775
immerhin	w1_d365e9780
mit	w3_d365e9783
seinem	w5_d365e9786
rechten	w7_d365e9789
Flügel	w9_d365e9792
in	w11_d365e9795
Ritt	w13_d365e9799
berg,	w1_d365e9804
mit	w3_d365e9807
dem	w5_d365e9810
linken	w7_d365e9813
aber	w9_d365e9816
an	w11_d365e9819
die	w13_d365e9823
Strasse	w15_d365e9826
von	w1_d365e9832
Verle	w3_d365e9835
campirte)	w5_d365e9838
beyzukommen,	w7_d365e9841
re	w9_d365e9844
kognoscirt.	w1_d365e9849
Bey	w3_d365e9852
so	w5_d365e9855
beschaffenen	w7_d365e9858
Umstän	w9_d365e9861
den,	w1_d365e9866
und	w3_d365e9869
da	w5_d365e9872
der	w7_d365e9875
Prinz	w9_d365e9878
Ferdinand	w11_d365e9881
von	w13_d365e9885
so	w15_d365e9888
thanen	w1_d365e9893
Marschen	w3_d365e9896
unserer	w5_d365e9899
Armee,	w7_d365e9902
und	w9_d365e9905
des	w11_d365e9908
Corps	w1_d365e9914
de	w3_d365e9917
Reserve	w5_d365e9920
nacher	w7_d365e9923
Ostschlangen,	w9_d365e9926
und	w1_d365e9931
Osterhold	w3_d365e9934
Nachricht	w5_d365e9937
erhielte,	w7_d365e9940
und	w9_d365e9943
zu	w11_d365e9946
gleich	w1_d365e9951
seine	w3_d365e9954
ausgestellte	w5_d365e9957
Posten	w7_d365e9960
von	w9_d365e9963
allen	w11_d365e9966
Seiten	w1_d365e9971
zuruck	w3_d365e9974
getrieben	w5_d365e9977
worden	w7_d365e9980
zu	w9_d365e9983
seyn	w11_d365e9986
er	w13_d365e9990
führe,	w1_d365e9996
beschlosse	w3_d365e9999
er,	w5_d365e10002
um	w7_d365e10005
durch	w9_d365e10008
Unsere	w11_d365e10011
nacher	w13_d365e10015
Stückembruck	w1_d365e10020
zu	w3_d365e10023
marschiren	w5_d365e10026
scheinende	w7_d365e10029
Ar	w9_d365e10032
mer	w1_d365e10037
nicht	w3_d365e10040
etwann	w5_d365e10043
den	w7_d365e10046
Ruck=weeg	w9_d365e10049
vollständig	w11_d365e10052
zu	w1_d365e10057
verlieren,	w3_d365e10060
sein	w5_d365e10063
Lager	w7_d365e10066
bey	w9_d365e10069
Rittberg	w11_d365e10072
aufzuhe	w13_d365e10076
ben,	w1_d365e10082
welches	w3_d365e10085
er	w5_d365e10088
auch	w7_d365e10091
den	w9_d365e10094
29.	w11_d365e10097
Junii	w13_d365e10101
bey	w15_d365e10104
einfallender	w1_d365e10109
Nacht	w3_d365e10112
bewerkstelligte,	w5_d365e10115
und	w7_d365e10118
sich	w9_d365e10121
nach	w1_d365e10126
Gusterlohe	w3_d365e10129
retirirte.	w5_d365e10132
Unsere	w7_d365e10135
leichte	w9_d365e10138
</p>
<p id="p10_d365e10141">
Trupen	w1_d365e10145
begleiteten	w3_d365e10148
ihn	w5_d365e10151
auf	w7_d365e10154
allen	w9_d365e10157
Seiten	w11_d365e10160
und	w1_d365e10165
brachten	w3_d365e10168
hierdurch	w5_d365e10171
verschiedene	w7_d365e10174
Kriegs	w9_d365e10177
gefangene,	w1_d365e10182
wie	w3_d365e10185
nicht	w5_d365e10188
minder	w7_d365e10191
eine	w9_d365e10194
namhafte	w11_d365e10197
Anzahl	w1_d365e10203
Deserteurs	w3_d365e10206
in	w5_d365e10209
das	w7_d365e10212
Lager	w9_d365e10215
ein.	w11_d365e10218
Gestern	w13_d365e10222
wurden	w1_d365e10227
auch	w3_d365e10230
etwelche	w5_d365e10233
Detaschementer	w7_d365e10236
des	w9_d365e10239
Fischerischen	w1_d365e10244
Corps,	w3_d365e10247
welcher	w5_d365e10250
zu	w7_d365e10253
Tesmol	w9_d365e10256
stehet,	w1_d365e10261
nacher	w3_d365e10264
Bielefeld	w5_d365e10267
poußirt.	w7_d365e10270
Durch	w9_d365e10273
gedachte	w1_d365e10279
unsere	w3_d365e10282
leichte	w5_d365e10285
Trupen	w7_d365e10288
ist	w9_d365e10291
einberichtet	w11_d365e10294
worden,	w1_d365e10299
daß	w3_d365e10302
der	w5_d365e10305
Herr	w7_d365e10308
de	w9_d365e10311
la	w11_d365e10314
Noue	w13_d365e10318
Devert	w15_d365e10321
Haupt=mann	w1_d365e10326
bey	w3_d365e10329
dem	w5_d365e10332
Regiment	w7_d365e10335
Enghien	w9_d365e10338
mit	w1_d365e10343
380.	w3_d365e10346
Volontairs,	w5_d365e10349
die	w7_d365e10352
er	w9_d365e10355
commandirt,	w11_d365e10358
sich	w1_d365e10364
des	w3_d365e10367
Schlosses	w5_d365e10370
von	w7_d365e10373
Rittberg	w9_d365e10376
bemäch	w11_d365e10379
tiget,	w1_d365e10384
und	w3_d365e10387
alda	w5_d365e10390
130.	w7_d365e10393
Grenadiers,	w9_d365e10396
und	w11_d365e10399
