<doc id="wr_1763-08-27" attrs="word" year="1763" month="08" day="27" corpus="2">
<head id="h2_d786e3060">
Cartagena	w1_d786e3064
Jn	w3_d786e6662
dem	w5_d786e6665
untern	w7_d786e6668
Dach	w9_d786e6671
befindlichen	w11_d786e6674
obersten	w1_d786e6679
Stock=werck	w3_d786e6682
selbiger	w5_d786e6685
Seiten	w7_d786e6688
be	w9_d786e6691
schädigte	w1_d786e6696
der	w3_d786e6699
Wetter	w5_d786e6702
strahl	w7_d786e6705
verschiedene	w9_d786e6708
Fen	w11_d786e6711
ster	w1_d786e6717
samt	w3_d786e6720
der	w5_d786e6723
auswendigen	w7_d786e6726
Wand	w9_d786e6729
und	w11_d786e6732
dem	w13_d786e6736
Mauerwerk,	w1_d786e6741
machte	w3_d786e6744
zugleich	w5_d786e6747
einem	w7_d786e6750
dasigen	w9_d786e6753
Fenster	w1_d786e6758
eine	w3_d786e6761
Oefnung	w5_d786e6764
von	w7_d786e6767
3.	w9_d786e6770
Zoll,	w11_d786e6773
fuhre	w13_d786e6777
daselbst	w1_d786e6782
in	w3_d786e6785
die	w5_d786e6788
darunter	w7_d786e6791
im	w9_d786e6794
zweyten	w11_d786e6797
Stock	w13_d786e6801
befindliche	w1_d786e6807
Fenster,	w3_d786e6810
beschädigte	w5_d786e6813
dieselbe	w7_d786e6816
sammt	w9_d786e6819
Abschlagung	w1_d786e6824
eines	w3_d786e6827
Stück	w5_d786e6830
vom	w7_d786e6833
Fensterstein,	w9_d786e6836
wendete	w1_d786e6841
sich	w3_d786e6844
sofort	w5_d786e6847
über	w7_d786e6850
ein	w9_d786e6853
kleines	w11_d786e6856
Dach,	w13_d786e6860
woselbst	w1_d786e6865
das	w3_d786e6868
Bley	w5_d786e6871
zerschmolzen,	w7_d786e6874
zu	w9_d786e6877
dem	w11_d786e6880
im	w13_d786e6884
dritten	w1_d786e6890
Stock=werk	w3_d786e6893
befindlichen	w5_d786e6896
Churfürstl.	w7_d786e6899
Schlaf=zimmer	w1_d786e6904
schluge	w3_d786e6907
daselbst	w5_d786e6910
bey	w7_d786e6913
einem	w9_d786e6916
Fenster	w1_d786e6921
den	w3_d786e6924
obern	w5_d786e6927
steinenen	w7_d786e6930
Sturz	w9_d786e6933
gänzich	w11_d786e6936
zu	w1_d786e6941
Boden,	w3_d786e6944
zerspaltete	w5_d786e6947
die	w7_d786e6950
Fenster=rahm,	w9_d786e6953
und	w11_d786e6956
zerschmetterte	w1_d786e6962
den	w3_d786e6965
ganzen	w5_d786e6968
Fenster=flügel;	w7_d786e6971
das	w1_d786e6976
andere	w3_d786e6979
Neben=fenster	w5_d786e6982
wurde	w7_d786e6985
gleichfalls	w9_d786e6988
durchaus	w1_d786e6993
beschädiget,	w3_d786e6996
zugleich	w5_d786e6999
aus	w7_d786e7002
dem	w9_d786e7005
da	w11_d786e7008
selbst	w1_d786e7013
aufgesetzten	w3_d786e7016
Tressor,	w5_d786e7019
worinn	w7_d786e7022
zwey	w9_d786e7025
Spiegel	w1_d786e7031
eingefaßt,	w3_d786e7034
linker	w5_d786e7037
Hand	w7_d786e7040
ein	w9_d786e7043
Stück	w11_d786e7046
aus	w1_d786e7051
dem	w3_d786e7054
Spiegel=glas	w5_d786e7057
geschlagen,	w7_d786e7060
zur	w9_d786e7063
Rechten	w1_d786e7068
hingegen	w3_d786e7071
der	w5_d786e7074
Spiegel	w7_d786e7077
sowol,	w9_d786e7080
als	w1_d786e7085
überhaupt	w3_d786e7088
der	w5_d786e7091
ganze	w7_d786e7094
Tressor	w9_d786e7097
nicht	w11_d786e7100
im	w13_d786e7104
mindesten	w1_d786e7110
verletzet,	w3_d786e7113
weder	w5_d786e7116
sonst	w7_d786e7119
einige	w9_d786e7122
Meubles	w1_d786e7127
daselbst	w3_d786e7130
beschädiget.	w5_d786e7133
Aus	w7_d786e7136
die	w9_d786e7139
sem	w1_d786e7144
Zimmer	w3_d786e7147
fuhr	w5_d786e7150
der	w7_d786e7153
Wetter=strahl	w9_d786e7156
bey	w11_d786e7159
dem	w1_d786e7164
Fenster	w3_d786e7167
durch	w5_d786e7170
den	w7_d786e7173
Boden	w9_d786e7176
in	w11_d786e7179
die	w13_d786e7183
im	w15_d786e7186
4ten	w17_d786e7189
Stock	w1_d786e7195
gerad	w3_d786e7198
darunter	w5_d786e7201
gelegene	w7_d786e7204
Silberkam	w9_d786e7207
mer,	w1_d786e7212
schluge	w3_d786e7215
aus	w5_d786e7218
dasigem	w7_d786e7221
gemauerten	w9_d786e7224
Fen	w11_d786e7227
ster=boden	w1_d786e7232
ein	w3_d786e7235
grosses	w5_d786e7238
Stück	w7_d786e7241
und	w9_d786e7244
zerschmet	w11_d786e7247
terte	w1_d786e7252
die	w3_d786e7255
Fenster	w5_d786e7258
dergestalt,	w7_d786e7261
daß	w9_d786e7264
das	w11_d786e7267
dasige	w13_d786e7271
steinerne	w1_d786e7277
Fenster=gestelle	w3_d786e7280
einen	w5_d786e7283
starken	w7_d786e7286
Zoll	w9_d786e7289
ausgewichen.	w1_d786e7294
Die	w3_d786e7297
darunter	w5_d786e7300
in	w7_d786e7303
einem	w9_d786e7306
unter	w11_d786e7309
irrdeschen	w1_d786e7314
Gewölbe	w3_d786e7317
gelegene	w5_d786e7320
Küche	w7_d786e7323
wurde	w9_d786e7326
</p>
<p id="p12_d786e7340">
glelchergestalten	w1_d786e7344
bekroffen,	w3_d786e7347
ein	w5_d786e7350
Fenster	w7_d786e7353
durch	w9_d786e7356
aus	w1_d786e7361
beschädiget,	w3_d786e7364
und	w5_d786e7367
ein	w7_d786e7370
grosses	w9_d786e7373
Stück	w11_d786e7376
aus	w13_d786e7380
dem	w1_d786e7385
Gewölb	w3_d786e7388
geschlagen,	w5_d786e7391
zugleich	w7_d786e7394
auf	w9_d786e7397
einer	w11_d786e7400
Seite	w1_d786e7406
eine	w3_d786e7409
kleine	w5_d786e7412
Oefnung	w7_d786e7415
veranlasset,	w9_d786e7418
und	w11_d786e7421
in	w1_d786e7426
die	w3_d786e7429
neben	w5_d786e7432
der	w7_d786e7435
Küchen	w9_d786e7438
gelegene	w11_d786e7441
Bouteley	w13_d786e7445
ebenmäßig	w1_d786e7450
die	w3_d786e7453
Fenster	w5_d786e7456
sowol	w7_d786e7459
als	w9_d786e7462
der	w11_d786e7465
Fenster	w13_d786e7469
stein	w1_d786e7474
zertrümmert.	w3_d786e7477
Wie	w5_d786e7480
stark	w7_d786e7483
und	w9_d786e7486
verschie	w11_d786e7489
dentlich	w1_d786e7495
nun	w3_d786e7498
diese	w5_d786e7501
Würkungen	w7_d786e7504
des	w9_d786e7507
Wetter	w11_d786e7510
schlags	w1_d786e7515
an	w3_d786e7518
der	w5_d786e7521
Nord	w7_d786e7524
seite	w9_d786e7527
des	w11_d786e7530
Gebäudes	w13_d786e7534
ge	w15_d786e7537
wesen,	w1_d786e7542
so	w3_d786e7545
unterschieden	w5_d786e7548
waren	w7_d786e7551
auch	w9_d786e7554
dieselbe	w11_d786e7557
an	w1_d786e7562
der	w3_d786e7565
andern	w5_d786e7568
mittägigen	w7_d786e7571
Seite;	w9_d786e7574
in	w11_d786e7577
einem	w13_d786e7581
daselbstigen	w1_d786e7587
Zimmer	w3_d786e7590
im	w5_d786e7593
zweyten	w7_d786e7596
obern	w9_d786e7599
Stock	w11_d786e7602
werk	w1_d786e7607
wurde	w3_d786e7610
die	w5_d786e7613
Seitenwand	w7_d786e7616
neben	w9_d786e7619
dem	w11_d786e7622
Fen	w13_d786e7626
ster	w1_d786e7631
zur	w3_d786e7634
Rechten	w5_d786e7637
zerspalten,	w7_d786e7640
und	w9_d786e7643
an	w11_d786e7646
einem	w13_d786e7650
da	w15_d786e7653
selbst	w1_d786e7658
aufgehangenen	w3_d786e7661
Bildnuß	w5_d786e7664
die	w7_d786e7667
auswen	w9_d786e7670
dige	w1_d786e7676
Rahm	w3_d786e7679
weggeschlagen,	w5_d786e7682
ohne	w7_d786e7685
an	w9_d786e7688
der	w11_d786e7691
Ma	w13_d786e7695
lerey	w1_d786e7700
selbst	w3_d786e7703
eine	w5_d786e7706
Beschädigung,	w7_d786e7709
weder	w9_d786e7712
in	w11_d786e7715
dem	w1_d786e7720
ganzen	w3_d786e7723
Zimmer	w5_d786e7726
die	w7_d786e7729
mindeste	w9_d786e7732
Oefnung	w11_d786e7735
wahrzunehmen.	w1_d786e7740
Jn	w3_d786e7743
dem	w5_d786e7746
darunter	w7_d786e7749
befindl	w9_d786e7752
|	w11_d786e7755
|	w13_d786e7759
chen	w1_d786e7765
dritten	w3_d786e7768
Stockwerk	w5_d786e7771
selbiger	w7_d786e7774
Seiten	w9_d786e7777
und	w11_d786e7780
daselbstigem	w1_d786e7785
Churfürstl.	w3_d786e7788
Speis=zimmer	w5_d786e7791
hatte	w1_d786e7796
der	w3_d786e7799
Wetterstrahl	w5_d786e7802
durch	w7_d786e7805
das	w9_d786e7808
mittlere	w11_d786e7811
Fenster,	w1_d786e7816
und	w3_d786e7819
ein	w5_d786e7822
Stück	w7_d786e7825
aus	w9_d786e7828
der	w11_d786e7831
Mauer	w13_d786e7835
ge	w15_d786e7838
schlagen,	w1_d786e7844
ohne	w3_d786e7847
den	w5_d786e7850
darneben	w7_d786e7853
stehenden	w9_d786e7856
Tisch	w11_d786e7859
von	w1_d786e7864
Marmor,	w3_d786e7867
weder	w5_d786e7870
dessen	w7_d786e7873
Fußgestelle,	w9_d786e7876
noch	w11_d786e7879
sonsten	w1_d786e7884
im	w3_d786e7887
geringsten	w5_d786e7890
was	w7_d786e7893
zu	w9_d786e7896
verletzen.	w11_d786e7899
Die	w13_d786e7903
Churfürstl.	w1_d786e7908
Retirade	w3_d786e7911
sowol	w5_d786e7914
als	w7_d786e7917
das	w9_d786e7920
darn	w11_d786e7923
|	w13_d786e7927
|	w15_d786e7930
ben	w1_d786e7936
anstossende	w3_d786e7939
Zimmer	w5_d786e7942
wurde	w7_d786e7945
nur	w9_d786e7948
an	w11_d786e7951
der	w13_d786e7955
Eckmauer	w1_d786e7960
bey	w3_d786e7963
dem	w5_d786e7966
Fenster	w7_d786e7969
betroffen,	w9_d786e7972
sonsten	w11_d786e7975
aber	w1_d786e7980
nichts	w3_d786e7983
beschädiget,	w5_d786e7986
weder	w7_d786e7989
die	w9_d786e7992
mindeste	w11_d786e7995
Oefnung	w1_d786e8000
vermerket.	w3_d786e8003
Ein	w5_d786e8006
gleiches	w7_d786e8009
hat	w9_d786e8012
man	w11_d786e8015
in	w1_d786e8021
dem	w3_d786e8024
im	w5_d786e8027
vierten	w7_d786e8030
Stock	w9_d786e8033
gelegenen	w11_d786e8036
Knaben	w13_d786e8040
speis=zimmer	w1_d786e8045
wahrgenommen,	w3_d786e8048
woselbst	w5_d786e8051
an	w7_d786e8054
der	w1_d786e8059
Wand	w3_d786e8062
bey	w5_d786e8065
dem	w7_d786e8068
mittlern	w9_d786e8071
Fenster	w11_d786e8074
nur	w13_d786e8078
ein	w15_d786e8081
starker	w1_d786e8086
Streif	w3_d786e8089
sich	w5_d786e8092
geäussert.	w7_d786e8095
Uebrigens	w9_d786e8098
hat	w1_d786e8104
dieser	w3_d786e8107
einzige	w5_d786e8110
Wetrer=schlag	w7_d786e8113
in	w9_d786e8116
dem	w11_d786e8119
ganzen	w1_d786e8124
Churfürstl.	w3_d786e8127
Lust=schloß	w5_d786e8130
an	w7_d786e8133
17.	w9_d786e8136
ver	w11_d786e8139
schiedenen	w1_d786e8144
Orten	w3_d786e8147
so	w5_d786e8150
verschiedentliche	w7_d786e8153
als	w9_d786e8156
schröckbare	w1_d786e8161
Merkmale	w3_d786e8164
hinterlassen,	w5_d786e8167
wobey	w7_d786e8170
dieses	w1_d786e8176
das	w3_d786e8179
einzige	w5_d786e8182
Glück,	w7_d786e8185
daß	w9_d786e8188
zu	w11_d786e8191
eben	w13_d786e8195
der	w15_d786e8198
Zeit	w1_d786e8203
niemand	w3_d786e8206
in	w5_d786e8209
dem	w7_d786e8212
Gebäude	w9_d786e8215
zugegen	w11_d786e8218
ge	w13_d786e8222
wesen,	w1_d786e8227
und	w3_d786e8230
nur	w5_d786e8233
an	w7_d786e8236
einem	w9_d786e8239
einzigen	w11_d786e8242
Ort	w13_d786e8246
ei	w15_d786e8249
ne	w1_d786e8254
kleine	w3_d786e8257
Entzündung	w5_d786e8260
entstanden,	w7_d786e8263
welchletz	w9_d786e8266
</p>
<p id="p14_d786e8269">
teres	w1_d786e8273
um	w3_d786e8276
so	w5_d786e8279
mehr	w7_d786e8282
zu	w9_d786e8285
bewundern,	w11_d786e8288
als	w13_d786e8292
die	w15_d786e8295
in	w17_d786e8298
der	w1_d786e8303
Nähe	w3_d786e8306
damals	w5_d786e8309
befindliche	w7_d786e8312
Personen	w9_d786e8315
bey	w11_d786e8318
dem	w1_d786e8323
einschlagenden	w3_d786e8326
Wetter	w5_d786e8329
ein	w7_d786e8332
entsetzliches	w9_d786e8335
Feuer,	w1_d786e8341
so	w3_d786e8344
sich	w5_d786e8347
über	w7_d786e8350
das	w9_d786e8353
ganze	w11_d786e8356
Gebäude	w13_d786e8360
aus	w15_d786e8363
gebreitet,	w1_d786e8368
samt	w3_d786e8371
einem	w5_d786e8374
starken	w7_d786e8377
Schwefel	w9_d786e8380
dampf	w1_d786e8385
wahrgenommen.	w3_d786e8388
</p>
<head id="h2_d786e8394">
Maynz	w1_d786e8398
17.	w3_d786e8401
Augusti.	w5_d786e8404
</head>
<p id="p4_d786e8407">
Die	w1_d786e8411
allweise	w3_d786e8414
göttliche	w5_d786e8417
Vorsehung	w7_d786e8420
schei	w9_d786e8423
net	w1_d786e8428
auf	w3_d786e8431
unser	w5_d786e8434
inständiges	w7_d786e8437
Gebett	w9_d786e8440
einen	w11_d786e8443
gnä	w13_d786e8447
digen	w1_d786e8452
Blick	w3_d786e8455
geworfen	w5_d786e8458
zu	w7_d786e8461
haben.	w9_d786e8464
Se.	w11_d786e8467
Chur	w13_d786e8471
fürstl.	w1_d786e8477
Gnaden	w3_d786e8480
befinden	w5_d786e8483
sich	w7_d786e8486
heute	w9_d786e8489
wiederum	w11_d786e8492
etwas	w1_d786e8497
besser.	w3_d786e8500
Die	w5_d786e8503
durch	w7_d786e8506
diese	w9_d786e8509
glückliche	w11_d786e8512
Veränderung	w1_d786e8517
bey	w3_d786e8520
Höchst=dero	w5_d786e8523
Gesundheits	w7_d786e8526
umständen	w1_d786e8531
aufgemunterte	w3_d786e8534
getreue	w5_d786e8537
Untertha	w7_d786e8540
nen	w1_d786e8546
verdoppeln	w3_d786e8549
dahero	w5_d786e8552
ihre	w7_d786e8555
Seufzer	w9_d786e8558
zu	w11_d786e8561
dem	w13_d786e8565
unendlich	w1_d786e8570
günstigen	w3_d786e8573
Himmel,	w5_d786e8576
und	w7_d786e8579
leben	w9_d786e8582
der	w11_d786e8585
vertrösteten	w1_d786e8590
Hofnung,	w3_d786e8593
der	w5_d786e8596
Allmächtige	w7_d786e8599
wer	w9_d786e8602
de	w1_d786e8607
uns	w3_d786e8610
unsern	w5_d786e8613
theuresten	w7_d786e8616
Churfürsten	w9_d786e8619
und	w11_d786e8622
Landes=vater	w1_d786e8628
zu	w3_d786e8631
unserem	w5_d786e8634
allerseitigen	w7_d786e8637
Trost	w9_d786e8640
in	w1_d786e8645
Gnaden	w3_d786e8648
erhalten.	w5_d786e8651
</p>
<head id="h2_d786e8657">
Stuttgard	w1_d786e8661
den	w3_d786e8664
16.	w5_d786e8667
Aug.	w7_d786e8670
</head>
<p id="p4_d786e8673">
Am	w1_d786e8677
verwichenen	w3_d786e8680
Montag	w5_d786e8683
sind	w7_d786e8686
die	w9_d786e8689
allhier	w11_d786e8692
in	w1_d786e8697
Garnison	w3_d786e8700
liegende	w5_d786e8703
Herzogl.	w7_d786e8706
Cavallerie	w9_d786e8709
und	w1_d786e8714
Jnfanterie=regimenter	w3_d786e8717
von	w5_d786e8720
hier	w7_d786e8723
abmar	w9_d786e8726
schiret,	w1_d786e8732
um	w3_d786e8735
zu	w5_d786e8738
denen	w7_d786e8741
übrigen	w9_d786e8744
Herzogl.	w11_d786e8747
Tru	w13_d786e8751
pen,	w1_d786e8756
welche	w3_d786e8759
Tags	w5_d786e8762
zuvor,	w7_d786e8765
in	w9_d786e8768
denen	w11_d786e8771
in	w13_d786e8775
der	w15_d786e8778
Gegend	w1_d786e8783
von	w3_d786e8786
Ludwigsburg	w5_d786e8789
ihnen	w7_d786e8792
angewiese	w9_d786e8795
nen	w1_d786e8800
Quartieren	w3_d786e8803
eingetroffen	w5_d786e8806
waren,	w7_d786e8809
zu	w9_d786e8812
stos	w11_d786e8815
sen,	w1_d786e8821
und	w3_d786e8824
sofort	w5_d786e8827
mit	w7_d786e8830
selbigen	w9_d786e8833
zu	w11_d786e8836
gleicher	w13_d786e8840
Zeit	w15_d786e8843
in	w1_d786e8848
das	w3_d786e8851
nahe	w5_d786e8854
bey	w7_d786e8857
Ludwigsburg	w9_d786e8860
ausgesteckte	w11_d786e8863
Campement	w1_d786e8868
einzurücken.	w3_d786e8871
Se.	w5_d786e8874
Herzogl.	w7_d786e8877
Durchl	w1_d786e8882
campiren	w3_d786e8885
in	w5_d786e8888
eigener	w7_d786e8891
höchster	w9_d786e8894
Person.	w11_d786e8897
Mittags	w1_d786e8903
und	w3_d786e8906
Nachts	w5_d786e8909
werden	w7_d786e8912
in	w9_d786e8915
dem	w11_d786e8918
Lager	w13_d786e8922
grosse	w1_d786e8927
Tafeln	w3_d786e8930
gehalten,	w5_d786e8933
wobey	w7_d786e8936
jedesmal	w9_d786e8939
der	w1_d786e8944
anwesenden	w3_d786e8947
Frau	w5_d786e8950
Erb=prinzeßin	w7_d786e8953
von	w9_d786e8956
Taxis	w1_d786e8961
und	w3_d786e8964
des	w5_d786e8967
Prinzen	w7_d786e8970
Friederichs	w9_d786e8973
Hoch	w11_d786e8976
fürstl.	w1_d786e8982
Durchleuchten,	w3_d786e8985
die	w5_d786e8988
sich	w7_d786e8991
nach	w9_d786e8994
der	w11_d786e8997
Bad	w13_d786e9001
cur	w1_d786e9006
in	w3_d786e9009
bestem	w5_d786e9012
Wolseyn	w7_d786e9015
befinden,	w9_d786e9018
von	w11_d786e9021
Lud	w13_d786e9025
wigsburg	w1_d786e9030
aus	w3_d786e9033
erscheinen.	w5_d786e9036
</p>
<head id="h2_d786e9042">
Leipzig	w1_d786e9046
15.	w3_d786e9049
Augusti.	w5_d786e9052
</head>
<p id="p4_d786e9055">
Zu	w1_d786e9059
Dresden	w3_d786e9062
ist	w5_d786e9065
am	w7_d786e9068
7.	w9_d786e9071
dieses	w11_d786e9074
der	w13_d786e9078
angesetzte	w15_d786e9081
Land=tag	w1_d786e9086
mit	w3_d786e9089
gewönlichen	w5_d786e9092
Solennitäten	w7_d786e9095
er	w9_d786e9098
öfnet	w1_d786e9103
worden.	w3_d786e9106
Der	w5_d786e9109
Conferenz=minister	w7_d786e9112
</p>
<p id="p8_d786e9117">
und	w1_d786e9121
würkliche	w3_d786e9124
geheime	w5_d786e9127
Raht	w7_d786e9130
Hr.	w9_d786e9133
von	w11_d786e9136
Rex	w13_d786e9140
haben	w1_d786e9145
im	w3_d786e9148
Namen	w5_d786e9151
Sr.	w7_d786e9154
Königl.	w9_d786e9157
Majest.	w11_d786e9160
und	w13_d786e9164
Churfürstl.	w1_d786e9169
Durchl.	w3_d786e9172
die	w5_d786e9175
Anrede	w7_d786e9178
gethan,	w9_d786e9181
und	w11_d786e9184
die	w1_d786e9190
Antwort	w3_d786e9193
geschahe	w5_d786e9196
von	w7_d786e9199
dem	w9_d786e9202
geheimen	w11_d786e9205
Raht	w13_d786e9209
Hrn.	w1_d786e9214
v.	w3_d786e9217
Hopt=garten,	w5_d786e9220
Oberaufseher	w7_d786e9223
der	w9_d786e9226
Graf	w11_d786e9229
schaft	w1_d786e9234
Mannsfeld,	w3_d786e9237
und	w5_d786e9240
zeitigen	w7_d786e9243
Verweser	w9_d786e9246
des	w11_d786e9249
Erb=marschall=amts	w1_d786e9254
der	w3_d786e9257
Chur=sachsen,	w5_d786e9260
im	w1_d786e9266
Namen	w3_d786e9269
der	w5_d786e9272
Stände.	w7_d786e9275
Die	w9_d786e9278
Pflicht=schul	w11_d786e9281
digsten	w1_d786e9286
Declarationen	w3_d786e9289
über	w5_d786e9292
die	w7_d786e9295
beschehende	w9_d786e9298
Propositionen	w1_d786e9303
werden	w3_d786e9306
nunmehro	w5_d786e9309
mit	w7_d786e9312
allem	w9_d786e9315
Eifer	w1_d786e9320
fortgesetzet.	w3_d786e9323
Bey	w5_d786e9326
Hofe	w7_d786e9329
wird	w9_d786e9332
der	w11_d786e9335
To	w13_d786e9339
des=fall	w1_d786e9345
des	w3_d786e9348
Hof	w5_d786e9351
und	w7_d786e9354
Justitzien=rahts	w9_d786e9357
und	w1_d786e9362
geheimen	w3_d786e9365
Referendarii,	w5_d786e9368
Hrn.	w7_d786e9371
Ferbers,	w9_d786e9374
sehr	w1_d786e9379
beklaget.	w3_d786e9382
Die	w5_d786e9385
auf	w7_d786e9388
diesem	w9_d786e9391
Monat	w11_d786e9394
be	w13_d786e9398
kannt	w1_d786e9403
gemachte	w3_d786e9406
Valvations=tabelle	w5_d786e9409
derer	w7_d786e9412
Cours	w1_d786e9418
habenden	w3_d786e9421
silber	w5_d786e9424
und	w7_d786e9427
goldenen	w9_d786e9430
Münz	w11_d786e9433
forten,	w1_d786e9438
ist	w3_d786e9441
jenem	w5_d786e9444
im	w7_d786e9447
Monat	w9_d786e9450
Julio	w11_d786e9453
bekannt	w13_d786e9457
gemacht	w1_d786e9462
völlig	w3_d786e9465
gleichlautend,	w5_d786e9468
ausser,	w7_d786e9471
daß	w9_d786e9474
sub	w11_d786e9477
A.	w1_d786e9482
die	w3_d786e9485
Marggräfl.	w5_d786e9488
Anspachische	w7_d786e9491
30.	w9_d786e9494
Kreutzer	w11_d786e9497
stücke	w1_d786e9503
von	w3_d786e9506
1763.	w5_d786e9509
zu	w7_d786e9512
8.	w9_d786e9515
Groschen	w11_d786e9518
am	w13_d786e9522
Werthe	w15_d786e9525
als	w1_d786e9530
Conventions=mäßig	w3_d786e9533
eingerückt	w5_d786e9536
worden.	w7_d786e9539
</p>
<head id="h2_d786e9545">
Wien	w1_d786e9549
den	w3_d786e9552
27.	w5_d786e9555
Augusti	w7_d786e9558
1763.	w9_d786e9561
</head>
<p id="p4_d786e9564">
Ja	w1_d786e9568
der	w3_d786e9571
Chur=hannöverische	w5_d786e9574
Gesandte	w7_d786e9577
Freyherr	w1_d786e9582
von	w3_d786e9585
Steinberg	w5_d786e9588
schon	w7_d786e9591
am	w9_d786e9594
letzt	w1_d786e9599
vergangenen	w3_d786e9602
Sonntag	w5_d786e9605
den	w7_d786e9608
21.	w9_d786e9611
dieses	w11_d786e9614
bey	w1_d786e9620
beyden	w3_d786e9623
Kais.	w5_d786e9626
Königl.	w7_d786e9629
Majestäten	w9_d786e9632
die	w11_d786e9635
öffentliche	w1_d786e9640
Audienz	w3_d786e9643
erhalten,	w5_d786e9646
und	w7_d786e9649
sein	w9_d786e9652
Cre	w11_d786e9655
ditiv	w1_d786e9660
überreichet,	w3_d786e9663
so	w5_d786e9666
haben	w7_d786e9669
Se.	w9_d786e9672
Excellenz	w11_d786e9675
ein	w1_d786e9680
gleiches	w3_d786e9683
Mittwochs	w5_d786e9686
den	w7_d786e9689
24.	w9_d786e9692
darauf	w11_d786e9695
Vor	w13_d786e9699
mittags	w1_d786e9705
um	w3_d786e9708
10.	w5_d786e9711
Uhr	w7_d786e9714
bey	w9_d786e9717
dem	w11_d786e9720
Erzherzog	w13_d786e9724
Joseph	w1_d786e9729
Königl.	w3_d786e9732
Hoheit	w5_d786e9735
bewürket	w7_d786e9738
.	w9_d786e9741
</p>
<p id="p6_d786e9744">
Eben	w1_d786e9748
diesen	w3_d786e9751
Nachmittag	w5_d786e9754
ist	w7_d786e9757
die	w9_d786e9760
Frau	w11_d786e9763
Gemahlin	w1_d786e9768
des	w3_d786e9771
Chur=hannöverischen	w5_d786e9774
Herrn	w7_d786e9777
Gesandten	w1_d786e9782
bey	w3_d786e9785
Jhrer	w5_d786e9788
Majestät	w7_d786e9791
der	w9_d786e9794
Kaiserin	w11_d786e9797
und	w1_d786e9803
Jhrer	w3_d786e9806
Königl.	w5_d786e9809
Hoheit	w7_d786e9812
der	w9_d786e9815
Erzherzogl.	w11_d786e9818
Frauen	w1_d786e9823
Gemahlin	w3_d786e9826
zur	w5_d786e9829
Audienz	w7_d786e9832
aufgeführet	w9_d786e9835
worden.	w1_d786e9840
</p>
<p id="p8_d786e9843">
Donnerstags	w1_d786e9847
den	w3_d786e9850
15.	w5_d786e9853
Augusti	w7_d786e9856
sind	w9_d786e9859
in	w11_d786e9862
der	w13_d786e9866
Hof=kapelle	w1_d786e9871
für	w3_d786e9874
die	w5_d786e9877
Hoch=adeliche	w7_d786e9880
Stern	w9_d786e9883
kreutz=ordens=dame	w1_d786e9888
(Titl.)	w3_d786e9891
Frau	w5_d786e9894
Julia	w7_d786e9897
Für	w9_d786e9900
stin	w1_d786e9906
von	w3_d786e9909
St.	w5_d786e9912
Nicandro,	w7_d786e9915
geborne	w9_d786e9918
von	w11_d786e9921
Capua,	w13_d786e9925
Herzogin	w1_d786e9930
von	w3_d786e9933
Termoli,	w5_d786e9936
so	w7_d786e9939
zu	w9_d786e9942
Neapel	w11_d786e9945
im	w13_d786e9949
Ju	w15_d786e9952
</p>
<p id="p10_d786e9955">
lio	w1_d786e9959
dies	w3_d786e9962
Jahrs	w5_d786e9965
in	w7_d786e9968
GOtt	w9_d786e9971
seelig	w11_d786e9974
verschieden,	w13_d786e9978
die	w1_d786e9983
Exequien	w3_d786e9986
gehalten	w5_d786e9989
worden.	w7_d786e9992
</p>
<p id="p12_d786e9996">
Gestern	w1_d786e10000
Vormittags	w3_d786e10003
haben	w5_d786e10006
Jhre	w7_d786e10009
Majest.	w9_d786e10012
die	w1_d786e10017
Kaiserin	w3_d786e10020
sich	w5_d786e10023
herein	w7_d786e10026
nach	w9_d786e10029
der	w11_d786e10032
Hof=burg	w13_d786e10036
erhoben,	w1_d786e10041
dem	w3_d786e10044
gewönlichen	w5_d786e10047
Staats=raht	w7_d786e10050
beygewohnet,	w1_d786e10056
Mittags	w3_d786e10059
bey	w5_d786e10062
Dero	w7_d786e10065
Frauen	w9_d786e10068
Obrist=hofmeisterin,	w1_d786e10073
verwittibten	w3_d786e10076
Gräfin	w5_d786e10079
von	w1_d786e10084
Paar	w3_d786e10087
Excell.	w5_d786e10090
gespeiset,	w7_d786e10093
Nachmittags	w9_d786e10096
Audienz	w1_d786e10101
zu	w3_d786e10104
ertheilen	w5_d786e10107
geruhet,	w7_d786e10110
und	w9_d786e10113
dann	w11_d786e10116
Abends	w1_d786e10122
wieder	w3_d786e10125
nach	w5_d786e10128
Schönbrunn	w7_d786e10131
sich	w9_d786e10134
zurück	w11_d786e10137
begeben.	w1_d786e10142
</p>
<p id="p14_d786e10145">
Mit	w1_d786e10149
den	w3_d786e10152
letztern	w5_d786e10155
Nachrichten	w7_d786e10158
aus	w9_d786e10161
Maynz	w11_d786e10164
hat	w1_d786e10169
man	w3_d786e10172
zu	w5_d786e10175
sonderbarem	w7_d786e10178
Vergnügen	w9_d786e10181
erfah	w11_d786e10184
ren,	w1_d786e10189
daß	w3_d786e10192
Se.	w5_d786e10195
Churfürstl.	w7_d786e10198
Gnaden	w9_d786e10201
von	w11_d786e10204
ihrer	w13_d786e10208
jüngst	w1_d786e10214
ausgestandenen	w3_d786e10217
gefährlichen	w5_d786e10220
Krank	w7_d786e10223
heit	w1_d786e10228
zu	w3_d786e10231
genesen	w5_d786e10234
