<doc id="wr_1759-05-02" attrs="word" year="1759" month="05" day="02" corpus="2">
<head id="h2_d344e3775">
Maynstrom	w1_d344e3779
4.	w13_d344e7448
Todte,	w15_d344e7451
6.	w17_d344e7454
Verwundete,	w1_d344e7459
6.	w3_d344e7462
todte	w5_d344e7465
und	w7_d344e7468
4.	w9_d344e7471
bleßirte	w11_d344e7474
Pferde	w13_d344e7478
bekommen.	w1_d344e7483
Das	w3_d344e7486
Fischerische	w5_d344e7489
Corps	w7_d344e7492
mag	w9_d344e7495
etwann	w1_d344e7501
20.	w3_d344e7504
Mann	w5_d344e7507
an	w7_d344e7510
Todten	w9_d344e7513
und	w11_d344e7516
Ver	w13_d344e7520
wundeten	w1_d344e7525
haben,	w3_d344e7528
und	w5_d344e7531
auch	w7_d344e7534
um	w9_d344e7537
sa	w11_d344e7540
viele	w13_d344e7544
Plerde	w15_d344e7547
gekommen	w1_d344e7552
seyn.	w3_d344e7555
</p>
<head id="h2_d344e7563">
Frankfort	w1_d344e7567
22.	w3_d344e7570
April.	w5_d344e7573
</head>
<p id="p4_d344e7576">
Gestern	w1_d344e7580
Nachmittags	w3_d344e7583
wurden	w5_d344e7586
mit	w7_d344e7589
einer	w9_d344e7592
ansehnlichen	w1_d344e7597
Bedeckung	w3_d344e7600
bey	w5_d344e7603
300.	w7_d344e7606
Gefangene	w9_d344e7609
von	w1_d344e7614
denen	w3_d344e7617
Alliirten	w5_d344e7620
allhier	w7_d344e7623
eingebracht,	w9_d344e7626
wel	w11_d344e7629
che	w1_d344e7635
nach	w3_d344e7638
einem	w5_d344e7641
kurzen	w7_d344e7644
Aufenthalt	w9_d344e7647
weiter	w11_d344e7650
abge	w13_d344e7654
führet	w1_d344e7659
worden.	w3_d344e7662
Es	w5_d344e7665
waren	w7_d344e7668
gröstentheils	w9_d344e7671
Dragoner	w1_d344e7676
vom	w3_d344e7679
Finkensteinischen	w5_d344e7682
Regiment.	w7_d344e7685
Die	w1_d344e7690
2.	w3_d344e7693
eroberte	w5_d344e7696
Estandarten	w7_d344e7699
wurden	w9_d344e7702
zu	w11_d344e7705
dem	w13_d344e7709
Herrn	w1_d344e7715
Herzog	w3_d344e7718
von	w5_d344e7721
Broglie	w7_d344e7724
getragen,	w9_d344e7727
und	w11_d344e7730
heut	w1_d344e7735
vermutet	w3_d344e7738
man	w5_d344e7741
noch	w7_d344e7744
einen	w9_d344e7747
2ten	w11_d344e7750
Trans	w13_d344e7754
port	w1_d344e7759
von	w3_d344e7762
dergleichen	w5_d344e7765
Gefangenen.	w7_d344e7768
Fran	w9_d344e7771
zösischer	w1_d344e7776
Seits	w3_d344e7779
waren	w5_d344e7782
bey	w7_d344e7785
der	w9_d344e7788
Schlacht	w11_d344e7791
zu	w13_d344e7795
Bergen	w1_d344e7801
ausser	w3_d344e7804
dem	w5_d344e7807
Durchl.	w7_d344e7810
Prinzen	w9_d344e7813
von	w11_d344e7816
Stollberg,	w1_d344e7821
und	w3_d344e7824
dem	w5_d344e7827
Kaiserl.	w7_d344e7830
Königl.	w9_d344e7833
Gene	w11_d344e7836
ral	w1_d344e7841
von	w3_d344e7844
Kettler	w5_d344e7847
keine	w7_d344e7850
fremde	w9_d344e7853
Generals;	w11_d344e7856
Letz	w13_d344e7860
terer	w1_d344e7865
ist	w3_d344e7868
wiederum	w5_d344e7871
nach	w7_d344e7874
Cöln	w9_d344e7877
zu	w11_d344e7880
der	w13_d344e7884
Con	w15_d344e7887
tadischen	w1_d344e7893
Armee	w3_d344e7896
abgegangen.	w5_d344e7899
</p>
<head id="h2_d344e7905">
Aus	w1_d344e7909
Thüringen	w3_d344e7912
22.	w5_d344e7915
April.	w7_d344e7918
</head>
<p id="p4_d344e7921">
Die	w1_d344e7925
Kaiserliche	w3_d344e7928
und	w5_d344e7931
Reichs=trupen	w7_d344e7934
rü	w9_d344e7937
cken	w1_d344e7942
wieder	w3_d344e7945
vor.	w5_d344e7948
Jm	w7_d344e7951
Eisfeld	w9_d344e7954
stehen	w11_d344e7957
Croaten,	w13_d344e7961
und	w1_d344e7966
in	w3_d344e7969
Schwarze	w5_d344e7972
bey	w7_d344e7975
Salfeld,	w9_d344e7978
haben	w11_d344e7981
die	w13_d344e7985
Hussaren	w1_d344e7991
einen	w3_d344e7994
Vor=posten,	w5_d344e7997
die	w7_d344e8000
Königlich	w9_d344e8003
Preußische	w1_d344e8008
hingegen	w3_d344e8011
die	w5_d344e8014
Brücken	w7_d344e8017
über	w9_d344e8020
die	w11_d344e8023
Saale	w1_d344e8028
bey	w3_d344e8031
Dornburg,	w5_d344e8034
Camburg	w7_d344e8037
und	w9_d344e8040
Kö	w11_d344e8043
sen	w1_d344e8048
wieder	w3_d344e8051
besetzt.	w5_d344e8054
Die	w7_d344e8057
Gegend	w9_d344e8060
von	w11_d344e8063
Mei	w13_d344e8067
nungen	w1_d344e8073
und	w3_d344e8076
Schmalkalden	w5_d344e8079
ist	w7_d344e8082
von	w9_d344e8085
denen	w11_d344e8088
Al	w13_d344e8092
liirten	w1_d344e8097
verlassen,	w3_d344e8100
welche	w5_d344e8103
sich	w7_d344e8106
sämmtlich	w9_d344e8109
zu	w11_d344e8112
der	w1_d344e8117
Haupt=armee	w3_d344e8120
des	w5_d344e8123
Prinzens	w7_d344e8126
Ferdinands	w9_d344e8129
gezogen.	w1_d344e8134
</p>
<head id="h2_d344e8140">
Prag	w1_d344e8144
24.	w3_d344e8147
April.	w5_d344e8150
</head>
<p id="p4_d344e8153">
Der	w1_d344e8157
Herr	w3_d344e8160
Obrist=leutenant	w5_d344e8163
des	w7_d344e8166
Löbl.	w9_d344e8169
Fürst	w1_d344e8174
Esterhasischen	w3_d344e8177
Hussaren=regiments,	w5_d344e8180
Joseph	w1_d344e8185
Palasty,	w3_d344e8188
welcher	w5_d344e8191
commandirt	w7_d344e8194
ware,	w9_d344e8197
die	w1_d344e8203
feindliche	w3_d344e8206
Bewegungen	w5_d344e8209
zu	w7_d344e8212
recognosci	w9_d344e8215
ren,	w1_d344e8220
und	w3_d344e8223
bey	w5_d344e8226
Laun	w7_d344e8229
mit	w9_d344e8232
seinem	w11_d344e8235
unterhaben	w13_d344e8239
den	w1_d344e8244
Corpetto	w3_d344e8247
von	w5_d344e8250
dem	w7_d344e8253
Feind	w9_d344e8256
völlig	w11_d344e8259
umrun	w13_d344e8263
gen	w1_d344e8268
ware,	w3_d344e8271
hatte	w5_d344e8274
das	w7_d344e8277
Glück	w9_d344e8280
und	w11_d344e8283
so	w13_d344e8287
viele	w15_d344e8290
Zeit	w1_d344e8296
gewonnen,	w3_d344e8299
sich	w5_d344e8302
einer	w7_d344e8305
Waldung	w9_d344e8308
zu	w11_d344e8311
nä	w13_d344e8315
hern,	w1_d344e8320
allwo	w3_d344e8323
er	w5_d344e8326
sich	w7_d344e8329
mit	w9_d344e8332
seinen	w11_d344e8335
Leuten	w13_d344e8339
zur	w15_d344e8342
Gegenwehr	w1_d344e8347
stellen	w3_d344e8350
konnte,	w5_d344e8353
wider	w7_d344e8356
welchen	w9_d344e8359
der	w1_d344e8364
Feind	w3_d344e8367
den	w5_d344e8370
grösten	w7_d344e8373
Theil	w9_d344e8376
seiner	w11_d344e8379
Caval	w13_d344e8383
lerie	w1_d344e8389
und	w3_d344e8392
Jnfanterie	w5_d344e8395
detaschiret,	w7_d344e8398
da	w9_d344e8401
es	w11_d344e8404
dann	w13_d344e8408
</p>
<p id="p8_d344e8413">
zu	w1_d344e8417
einen	w3_d344e8420
heftigen	w5_d344e8423
Feuer	w7_d344e8426
gekommen,	w9_d344e8429
und	w11_d344e8432
endlich	w1_d344e8437
der	w3_d344e8440
so	w5_d344e8443
überlegene	w7_d344e8446
Feind,	w9_d344e8449
mit	w11_d344e8452
einem	w13_d344e8456
erlittenen	w1_d344e8461
namhaften	w3_d344e8464
Verlust	w5_d344e8467
an	w7_d344e8470
Todt	w9_d344e8473
und	w11_d344e8476
Bleßirten,	w1_d344e8482
auch	w3_d344e8485
60.	w5_d344e8488
Mann	w7_d344e8491
feindlichen	w9_d344e8494
Hussaren	w1_d344e8499
nebst	w3_d344e8502
1.	w5_d344e8505
Ritt=meister,	w7_d344e8508
die	w9_d344e8511
zu	w11_d344e8514
Kriegs=gefangenen	w1_d344e8519
gemacht	w3_d344e8522
worden,	w5_d344e8525
in	w7_d344e8528
Un	w9_d344e8531
ordnung	w1_d344e8536
gebracht,	w3_d344e8539
und	w5_d344e8542
zum	w7_d344e8545
Weichen	w9_d344e8548
ge	w11_d344e8551
zwungen	w1_d344e8557
worden.	w3_d344e8560
Von	w5_d344e8563
des	w7_d344e8566
Herrn	w9_d344e8569
Obrist	w11_d344e8572
leutenants	w1_d344e8577
seiner	w3_d344e8580
Mannschaft	w5_d344e8583
seynd	w7_d344e8586
kaum	w9_d344e8589
30.	w1_d344e8594
Mann	w3_d344e8597
verloren	w5_d344e8600
gegangen,	w7_d344e8603
mehrere	w9_d344e8606
aber	w11_d344e8609
bleßiret,	w1_d344e8614
und	w3_d344e8617
diese	w5_d344e8620
nebst	w7_d344e8623
der	w9_d344e8626
übrigen	w11_d344e8629
Mann	w13_d344e8633
schaft,	w1_d344e8639
durch	w3_d344e8642
die	w5_d344e8645
vorsichtige	w7_d344e8648
Anführung	w9_d344e8651
des	w1_d344e8656
benannten	w3_d344e8659
tapfern	w5_d344e8662
Officiers,	w7_d344e8665
in	w9_d344e8668
Sicher	w11_d344e8671
heit	w1_d344e8676
gebracht	w3_d344e8679
worden.	w5_d344e8682
</p>
<head id="h2_d344e8689">
Hamburg	w1_d344e8693
14.	w3_d344e8696
April.	w5_d344e8699
</head>
<p id="p4_d344e8702">
So	w1_d344e8706
ruhig	w3_d344e8709
es	w5_d344e8712
in	w7_d344e8715
Vor=pommern	w9_d344e8718
gewesen,	w11_d344e8721
so	w1_d344e8726
kriegerisch	w3_d344e8729
sind	w5_d344e8732
die	w7_d344e8735
Nachrichten,	w9_d344e8738
welche	w11_d344e8741
von	w1_d344e8746
der	w3_d344e8749
Gränze	w5_d344e8752
Hinter	w7_d344e8755
Pommerns	w9_d344e8758
einlauf	w11_d344e8761
fen.	w1_d344e8767
Seit	w3_d344e8770
dem	w5_d344e8773
8.	w7_d344e8776
dieses,	w9_d344e8779
ziehen	w11_d344e8782
sich	w13_d344e8786
die	w15_d344e8789
Rußische	w1_d344e8794
Trupen	w3_d344e8797
immer	w5_d344e8800
stärker	w7_d344e8803
nach	w9_d344e8806
die	w11_d344e8809
sen	w1_d344e8814
Gegenden,	w3_d344e8817
und	w5_d344e8820
die	w7_d344e8823
Oerter,	w9_d344e8826
Krone,	w11_d344e8829
Hammerstein,	w1_d344e8834
Schneidemühlen,	w3_d344e8837
sind	w5_d344e8840
von	w7_d344e8843
ihnen	w1_d344e8849
angefüllt.	w3_d344e8852
Von	w5_d344e8855
Conitz	w7_d344e8858
und	w9_d344e8861
Fried	w11_d344e8864
land	w1_d344e8869
bis	w3_d344e8872
nach	w5_d344e8875
Danzig	w7_d344e8878
stehen	w9_d344e8881
viele	w11_d344e8884
Cosacken	w13_d344e8888
postirungen,	w1_d344e8893
und	w3_d344e8896
den	w5_d344e8899
6.	w7_d344e8902
dieses,	w9_d344e8905
sind	w11_d344e8908
bey	w13_d344e8912
200.	w1_d344e8917
derselben	w3_d344e8920
in	w5_d344e8923
das	w7_d344e8926
Dorf	w9_d344e8929
Kudde	w11_d344e8932
unweit	w13_d344e8936
Neu	w1_d344e8942
Stettin	w3_d344e8945
eingerückt,	w5_d344e8948
welchen	w7_d344e8951
den	w9_d344e8954
7.	w11_d344e8957
noch	w1_d344e8962
eine	w3_d344e8965
grössere	w5_d344e8968
Anzahl	w7_d344e8971
folgte.	w9_d344e8974
Der	w11_d344e8977
zu	w13_d344e8981
Neu	w1_d344e8986
Stettin	w3_d344e8989
commandirende	w5_d344e8992
Preußische	w7_d344e8995
Ritt=meister	w1_d344e9000
von	w3_d344e9003
Hohendorf	w5_d344e9006
schickte	w7_d344e9009
ihnen	w9_d344e9012
80.	w1_d344e9018
Hussaren	w3_d344e9021
entgegen,	w5_d344e9024
alleine	w7_d344e9027
da	w9_d344e9030
sie	w11_d344e9033
die	w13_d344e9037
Cosacken	w1_d344e9042
bereits	w3_d344e9045
im	w5_d344e9048
Anmarsch	w7_d344e9051
antraffen,	w9_d344e9054
sahen	w1_d344e9059
sie	w3_d344e9062
sich	w5_d344e9065
genöhtigt,	w7_d344e9068
wegen	w9_d344e9071
Ubermacht	w11_d344e9074
der	w1_d344e9079
erstern,	w3_d344e9082
zurücke	w5_d344e9085
zu	w7_d344e9088
kehren.	w9_d344e9091
Es	w11_d344e9094
rückte	w13_d344e9098
hierauf	w1_d344e9104
der	w3_d344e9107
Herr	w5_d344e9110
Capitain	w7_d344e9113
von	w9_d344e9116
Wußow	w11_d344e9119
mit	w13_d344e9123
300.	w1_d344e9128
Mann	w3_d344e9131
und	w5_d344e9134
4.	w7_d344e9137
Canonen	w9_d344e9140
aus,	w11_d344e9143
den	w13_d344e9147
der	w15_d344e9150
err	w1_d344e9155
von	w3_d344e9158
Hohendorf	w5_d344e9161
mit	w7_d344e9164
200.	w9_d344e9167
Provincial	w11_d344e9170
Hussaren	w1_d344e9175
verstärkte.	w3_d344e9178
Kaum	w5_d344e9181
hatten	w7_d344e9184
sie	w9_d344e9187
sich	w11_d344e9190
auf	w1_d344e9196
Stadtfeld	w3_d344e9199
postirt,	w5_d344e9202
so	w7_d344e9205
gieng	w9_d344e9208
das	w11_d344e9211
Schar	w13_d344e9215
muziren	w1_d344e9220
an,	w3_d344e9223
und	w5_d344e9226
wurde	w7_d344e9229
besonders	w9_d344e9232
Preus	w11_d344e9235
sischer	w1_d344e9240
Seits	w3_d344e9243
stark	w5_d344e9246
mit	w7_d344e9249
Canonen	w9_d344e9252
gefeuert,	w11_d344e9255
welches	w1_d344e9260
auch	w3_d344e9263
die	w5_d344e9266
Cosacken	w7_d344e9269
nöhtigte	w9_d344e9272
sich	w11_d344e9275
in	w13_d344e9279
etwas	w1_d344e9285
zurück	w3_d344e9288
zu	w5_d344e9291
ziehen.	w7_d344e9294
Wie	w9_d344e9297
hoch	w11_d344e9300
sich	w13_d344e9304
</p>
<p id="p6_d344e9307">
der	w1_d344e9311
beederseitige	w3_d344e9314
Verlust	w5_d344e9317
erstrecke,	w7_d344e9320
ist	w9_d344e9323
noch	w11_d344e9326
nicht	w1_d344e9331
bekannt.	w3_d344e9334
</p>
<p id="p8_d344e9337">
Die	w1_d344e9341
Rußisch	w3_d344e9344
Kaiserl.	w5_d344e9347
Armee,	w7_d344e9350
welche	w9_d344e9353
sich	w11_d344e9356
nach	w1_d344e9361
denen	w3_d344e9364
neuesten	w5_d344e9367
Berichten	w7_d344e9370
vom	w9_d344e9373
Weich	w11_d344e9376
selstrom,	w1_d344e9381
zwischen	w3_d344e9384
Driesen	w5_d344e9387
und	w7_d344e9390
Lands	w9_d344e9393
berg	w1_d344e9399
versammeln	w3_d344e9402
sollen,	w5_d344e9405
wird	w7_d344e9408
auf	w9_d344e9411
140000.	w11_d344e9414
Mann	w1_d344e9419
stark	w3_d344e9422
gerechnet.	w5_d344e9425
</p>
<head id="h2_d344e9431">
zu	w1_d344e9435
Windecken	w3_d344e9438
den	w5_d344e9441
14	w7_d344e9444
April.	w9_d344e9447
</head>
<p id="p4_d344e9450">
„Wir	w1_d344e9454
haben	w3_d344e9457
gestern	w5_d344e9460
die	w7_d344e9463
Französische	w9_d344e9466
Ar	w11_d344e9469
mee	w1_d344e9474
zu	w3_d344e9477
Bergen,	w5_d344e9480
2.	w7_d344e9483
Stunden	w9_d344e9486
von	w11_d344e9489
Frankfort,	w13_d344e9493
angegriffen.	w1_d344e9498
Die	w3_d344e9501
vortheilhafte	w5_d344e9504
Stellung	w7_d344e9507
des	w1_d344e9513
Feindes	w3_d344e9516
aber	w5_d344e9519
hat	w7_d344e9522
uns	w9_d344e9525
nicht	w11_d344e9528
erlaubet,	w13_d344e9532
ihn	w1_d344e9537
zu	w3_d344e9540
etamiren,	w5_d344e9543
besonders	w7_d344e9546
aber	w9_d344e9549
hat	w11_d344e9552
die	w13_d344e9556
Cavallerie	w1_d344e9561
gar	w3_d344e9564
nicht	w5_d344e9567
agiren	w7_d344e9570
können.	w9_d344e9573
Der	w11_d344e9576
Verlust	w1_d344e9581
ist	w3_d344e9584
auf	w5_d344e9587
ein	w7_d344e9590
so	w9_d344e9593
anderer	w11_d344e9596
Seite	w13_d344e9600
beträcht	w15_d344e9603
lich.	w1_d344e9609
Der	w3_d344e9612
tapfere	w5_d344e9615
Prinz	w7_d344e9618
von	w9_d344e9621
Jsenburg	w11_d344e9624
ist	w13_d344e9628
getödtet;	w1_d344e9633
und	w3_d344e9636
der	w5_d344e9639
General=major	w7_d344e9642
von	w9_d344e9645
Gil	w11_d344e9648
se	w1_d344e9653
und	w3_d344e9656
die	w5_d344e9659
Obristen	w7_d344e9662
von	w9_d344e9665
Heister	w11_d344e9668
und	w13_d344e9672
von	w15_d344e9675
Schluter	w1_d344e9680
verwundet	w3_d344e9683
worden.	w5_d344e9686
Unsere	w7_d344e9689
Ar	w9_d344e9692
mee	w1_d344e9698
hat	w3_d344e9701
sich	w5_d344e9704
eine	w7_d344e9707
Stunde	w9_d344e9710
rückwärts	w11_d344e9713
gezo	w13_d344e9717
gen,	w1_d344e9722
um	w3_d344e9725
zu	w5_d344e9728
sehen,	w7_d344e9731
ob	w9_d344e9734
man	w11_d344e9737
der	w13_d344e9741
Französi	w15_d344e9744
schen	w1_d344e9749
Armee,	w3_d344e9752
die	w5_d344e9755
in	w7_d344e9758
ihrer	w9_d344e9761
Stellung	w11_d344e9764
geblie	w13_d344e9768
ben,	w1_d344e9773
nicht	w3_d344e9776
auf	w5_d344e9779
eine	w7_d344e9782
andere	w9_d344e9785
Art	w11_d344e9788
sich	w13_d344e9792
nähern	w15_d344e9795
könne.	w1_d344e9801
</p>
<head id="h2_d344e9807">
Münchsberg.	w1_d344e9811
21.	w3_d344e9814
April.	w5_d344e9817
</head>
<p id="p4_d344e9820">
„Des	w1_d344e9824
Hrn.	w3_d344e9827
Generalfeldmarschall	w5_d344e9830
leutenants,	w1_d344e9835
Grafens	w3_d344e9838
von	w5_d344e9841
Maquire	w7_d344e9844
Excellenz	w9_d344e9847
sind	w1_d344e9852
mit	w3_d344e9855
einem	w5_d344e9858
Corps	w7_d344e9861
der	w9_d344e9864
Armee	w11_d344e9867
von	w13_d344e9871
Culm	w15_d344e9874
bach	w1_d344e9880
anhero	w3_d344e9883
marschiret,	w5_d344e9886
und	w7_d344e9889
haben	w9_d344e9892
den	w11_d344e9895
in	w13_d344e9899
der	w1_d344e9904
Stadt	w3_d344e9907
Hof	w5_d344e9910
befindlich=gewesten	w7_d344e9913
Feind	w9_d344e9916
nicht	w1_d344e9921
nur	w3_d344e9924
delogiret,	w5_d344e9927
sondern	w7_d344e9930
denselben	w9_d344e9933
auch	w11_d344e9936
genöhtiget,	w1_d344e9941
daß	w3_d344e9944
er	w5_d344e9947
seine	w7_d344e9950
vorwärts	w9_d344e9953
gegen	w11_d344e9956
Münchberg	w1_d344e9962
stehen=gehabte	w3_d344e9965
Vor=posten	w5_d344e9968
an	w7_d344e9971
sich	w1_d344e9976
gezogen,	w3_d344e9979
und	w5_d344e9982
seine	w7_d344e9985
Retirade	w9_d344e9988
wieder	w11_d344e9991
na	w13_d344e9995
cher	w1_d344e10000
Plauen	w3_d344e10003
genommen.	w5_d344e10006
Unsere	w7_d344e10009
Patrouli	w9_d344e10012
len	w1_d344e10017
gehen	w3_d344e10020
bis	w5_d344e10023
nacher	w7_d344e10026
Asch	w9_d344e10029
diesseits,	w11_d344e10032
und	w13_d344e10036
da	w15_d344e10039
selbst	w1_d344e10045
ist	w3_d344e10048
auch	w5_d344e10051
nichts	w7_d344e10054
mehr	w9_d344e10057
von	w11_d344e10060
dem	w13_d344e10064
Feind	w15_d344e10067
zu	w1_d344e10072
sehen,	w3_d344e10075
daß	w5_d344e10078
dahero	w7_d344e10081
die	w9_d344e10084
ganze	w11_d344e10087
Revier	w13_d344e10091
von	w15_d344e10094
denen	w1_d344e10099
Kaiserl.	w3_d344e10102
Königl.	w5_d344e10105
Trupen	w7_d344e10108
besetzet	w9_d344e10111
wor	w11_d344e10114
den.	w1_d344e10119
Bey	w3_d344e10122
der	w5_d344e10125
beschehenen	w7_d344e10128
Delogirung	w9_d344e10131
ist	w11_d344e10134
es	w1_d344e10140
bey	w3_d344e10143
Hof	w5_d344e10146
zu	w7_d344e10149
einigem	w9_d344e10152
Gefechte	w11_d344e10155
gekommen;	w13_d344e10159
die	w1_d344e10164
Feinde	w3_d344e10167
aber	w5_d344e10170
haben	w7_d344e10173
ihren	w9_d344e10176
Rückweg	w11_d344e10179
in	w13_d344e10183
</p>
<p id="p10_d344e10196">
aller	w1_d344e10200
Eil	w3_d344e10203
genommen,	w5_d344e10206
ohne	w7_d344e10209
die	w9_d344e10212
Ankunft	w11_d344e10215
der	w13_d344e10219
in	w1_d344e10224
Anmarsch	w3_d344e10227
begriffen=gewesten	w5_d344e10230
mehreren	w7_d344e10233
Kaiserl.	w1_d344e10238
Königl.	w3_d344e10241
Völkern	w5_d344e10244
zu	w7_d344e10247
erwarten.	w9_d344e10250
Un	w11_d344e10253
ter	w1_d344e10259
Anführung	w3_d344e10262
belobten	w5_d344e10265
Hrn.	w7_d344e10268
Generals	w9_d344e10271
und	w11_d344e10274
dessen	w1_d344e10279
guten	w3_d344e10282
Veranstaltungen	w5_d344e10285
wird	w7_d344e10288
der	w9_d344e10291
Marsch	w1_d344e10296
weiter	w3_d344e10299
gegen	w5_d344e10302
der	w7_d344e10305
Saal	w9_d344e10308
fortgesetzet,	w11_d344e10311
und	w1_d344e10316
dem	w3_d344e10319
Feind	w5_d344e10322
allmöglichen	w7_d344e10325
Abbruch	w9_d344e10328
zu	w11_d344e10331
thun,	w1_d344e10337
getrachtet.	w3_d344e10340
Ubrigens	w5_d344e10343
ist	w7_d344e10346
die	w9_d344e10349
ganze	w11_d344e10352
Linie	w1_d344e10357
von	w3_d344e10360
Hof	w5_d344e10363
bis	w7_d344e10366
gegen	w9_d344e10369
Lichtenfels	w11_d344e10372
und	w13_d344e10376
weiter	w1_d344e10381
hinunter	w3_d344e10384
gezogen,	w5_d344e10387
und	w7_d344e10390
solche	w9_d344e10393
Dispo	w11_d344e10396
sitionen	w1_d344e10401
getroffen	w3_d344e10404
worden,	w5_d344e10407
daß	w7_d344e10410
dem	w9_d344e10413
Gegen	w11_d344e10416
theil,	w1_d344e10422
hier	w3_d344e10425
oder	w5_d344e10428
da	w7_d344e10431
durchzubrechen,	w9_d344e10434
nicht	w11_d344e10437
wol	w1_d344e10442
möglich	w3_d344e10445
seyn	w5_d344e10448
wird.	w7_d344e10451
</p>
<head id="h2_d344e10457">
Kurz=gefaßte	w1_d344e10461
Nachrichten	w3_d344e10464
von	w1_d344e10469
verschiedenen	w3_d344e10472
Orten.	w5_d344e10475
Man	w1_d344e10480
vernihmt	w3_d344e10483
</head>
<p id="p4_d344e10486">
Von	w1_d344e10490
Bamberg:	w3_d344e10493
daß	w5_d344e10496
der	w7_d344e10499
Kaiserl.	w9_d344e10502
Kö	w11_d344e10505
nigl.	w1_d344e10510
General	w3_d344e10513
der	w5_d344e10516
Jnfanterie	w7_d344e10519
Prinz	w9_d344e10522
von	w11_d344e10525
Baden=durlach	w1_d344e10530
bey	w3_d344e10533
der	w5_d344e10536
Kaiserl.	w7_d344e10539
Armee	w9_d344e10542
Dien	w11_d344e10545
ste	w1_d344e10551
zu	w3_d344e10554
leisten,	w5_d344e10557
in	w7_d344e10560
dem	w9_d344e10563
daselbstigen	w11_d344e10566
Haupt	w13_d344e10570
quartier	w1_d344e10575
angekommen,	w3_d344e10578
und	w5_d344e10581
daß	w7_d344e10584
Se.	w9_d344e10587
Durch	w11_d344e10590
leucht	w1_d344e10595
der	w3_d344e10598
Commandirende	w5_d344e10601
General	w7_d344e10604
Prinz	w9_d344e10607
von	w1_d344e10612
Zweybrücken	w3_d344e10615
einige	w5_d344e10618
Täge	w7_d344e10621
hindurch	w9_d344e10624
un	w11_d344e10627
päßlich	w1_d344e10633
gewesen,	w3_d344e10636
nunmehro	w5_d344e10639
aber	w7_d344e10642
bereits	w9_d344e10645
wie	w11_d344e10648
derumen	w1_d344e10653
hergestellet	w3_d344e10656
seye.	w5_d344e10659
</p>
<p id="p6_d344e10662">
Von	w1_d344e10666
Mietau:	w3_d344e10669
Daß	w5_d344e10672
der	w7_d344e10675
Herzog	w9_d344e10678
von	w11_d344e10681
Cur	w13_d344e10685
land	w1_d344e10690
den	w3_d344e10693
20.	w5_d344e10696
Martii	w7_d344e10699
in	w9_d344e10702
daselbstiger	w11_d344e10705
Haupt	w13_d344e10709
stadt	w1_d344e10714
dieses	w3_d344e10717
Herzogtums	w5_d344e10720
glücklich	w7_d344e10723
angelanget,	w9_d344e10726
und	w1_d344e10732
eine	w3_d344e10735
Viertel=meile	w5_d344e10738
von	w7_d344e10741
dannen	w9_d344e10744
von	w11_d344e10747
al	w13_d344e10751
len	w1_d344e10756
Staats=rähten,	w3_d344e10759
und	w5_d344e10762
dem	w7_d344e10765
gesamten	w9_d344e10768
Adel,	w11_d344e10771
wie	w1_d344e10776
auch	w3_d344e10779
denen	w5_d344e10782
Magistraten	w7_d344e10785
von	w9_d344e10788
allen	w11_d344e10791
denen	w13_d344e10795
vornehmeren	w1_d344e10800
Städten	w3_d344e10803
mehrbesagten	w5_d344e10806
Herzog	w7_d344e10809
tums	w1_d344e10815
empfangen,	w3_d344e10818
auch	w5_d344e10821
bey	w7_d344e10824
solch	w9_d344e10827
seiner	w11_d344e10830
An	w13_d344e10834
kunft	w1_d344e10839
alda	w3_d344e10842
verschiedene	w5_d344e10845
Triumph=pforten	w7_d344e10848
er	w9_d344e10851
richtet,	w1_d344e10856
und	w3_d344e10859
die	w5_d344e10862
ganze	w7_d344e10865
Burgerschaft,	w9_d344e10868
wie	w11_d344e10871
auch	w13_d344e10875
der	w1_d344e10880
Handel=stand	w3_d344e10883
in	w5_d344e10886
Uniform	w7_d344e10889
sowol	w9_d344e10892
zu	w11_d344e10895
Pferd	w13_d344e10899
als	w1_d344e10905
zu	w3_d344e10908
Fuß	w5_d344e10911
im	w7_d344e10914
Gewehr	w9_d344e10917
gestanden;	w11_d344e10920
daß	w13_d344e10924
Se.	w15_d344e10927
Durchleucht	w1_d344e10932
bey	w3_d344e10935
dem	w5_d344e10938
Herrn	w7_d344e10941
Canzler	w9_d344e10944
Howen	w11_d344e10947
abgestiegen,	w1_d344e10952
und	w3_d344e10955
allda	w5_d344e10958
von	w7_d344e10961
denen	w9_d344e10964
Staats	w11_d344e10967
rahten,	w1_d344e10972
und	w3_d344e10975
dem	w5_d344e10978
Magistrat	w7_d344e10981
mit	w9_d344e10984
offentlichen	w11_d344e10987
Reden	w1_d344e10993
bewillkommet;	w3_d344e10996
sohin	w5_d344e10999
von	w7_d344e11002
Deroselben	w9_d344e11005
der	w1_d344e11010
gesamte	w3_d344e11013
Adel	w5_d344e11016
zum	w7_d344e11019
Hand=kuß	w9_d344e11022
gelassen,	w11_d344e11025
</p>
<p id="p8_d344e11028">
und	w1_d344e11032
endlich	w3_d344e11035
die	w5_d344e11038
ganze	w7_d344e11041
Stadt	w9_d344e11044
selbigen	w11_d344e11047
und	w13_d344e11051
die	w15_d344e11054
folgende	w1_d344e11059
2.	w3_d344e11062
Abende	w5_d344e11065
auf	w7_d344e11068
das	w9_d344e11071
Herrlichste	w11_d344e11074
be	w13_d344e11078
leuchtet	w1_d344e11083
worden	w3_d344e11086
seye.	w5_d344e11089
</p>
