<doc id="wr_1757-06-29" attrs="word" year="1757" month="06" day="29" corpus="2">
<head id="h2_d156e3893">
Stokholm	w1_d156e3897
36.	w13_d156e7530
Stücken	w1_d156e7535
erbauet.	w3_d156e7538
</p>
<head id="h2_d156e7544">
Frankfort	w1_d156e7548
20.	w3_d156e7551
Junii.	w5_d156e7554
</head>
<p id="p4_d156e7557">
Diesen	w1_d156e7561
Morgen	w3_d156e7564
seynd	w5_d156e7567
600.	w7_d156e7570
Mann	w9_d156e7573
Chur	w11_d156e7576
fürstl.	w1_d156e7581
Trierische	w3_d156e7584
Trupen	w5_d156e7587
durch	w7_d156e7590
hiesige	w9_d156e7593
Stadt	w11_d156e7596
marschieret,	w1_d156e7601
welche,	w3_d156e7604
wie	w5_d156e7607
die	w7_d156e7610
Churfürstlich	w9_d156e7613
Maynzische	w1_d156e7619
Trupen,	w3_d156e7622
ihren	w5_d156e7625
Marsch	w7_d156e7628
auch	w9_d156e7631
nach	w11_d156e7634
dem	w1_d156e7639
Würzburgischen	w3_d156e7642
nehmen.	w5_d156e7645
</p>
<head id="h2_d156e7651">
Petersburg	w1_d156e7655
22.	w3_d156e7658
May.	w5_d156e7661
</head>
<p id="p4_d156e7664">
Die	w1_d156e7668
Kaiserin	w3_d156e7671
von	w5_d156e7674
Rußland	w7_d156e7677
ist	w9_d156e7680
mit	w11_d156e7683
ihrem	w13_d156e7687
ganzen	w1_d156e7692
Hof	w3_d156e7695
nach	w5_d156e7698
Czarska=zeloe	w7_d156e7701
abgefahren,	w9_d156e7704
um	w1_d156e7709
alda	w3_d156e7712
den	w5_d156e7715
Sommer	w7_d156e7718
hindurch	w9_d156e7721
zu	w11_d156e7724
verblei	w13_d156e7728
ben.	w1_d156e7734
Dieweil	w3_d156e7737
die	w5_d156e7740
Allerhöchste	w7_d156e7743
Willensmei	w9_d156e7746
nung	w1_d156e7751
unserer	w3_d156e7754
Kaiserin	w5_d156e7757
ist,	w7_d156e7760
vornämlich,	w9_d156e7763
so	w11_d156e7766
viel	w13_d156e7770
möglich,	w1_d156e7775
wol=erfahrene	w3_d156e7778
Officiers	w5_d156e7781
zu	w7_d156e7784
dem	w9_d156e7787
Commando	w1_d156e7792
der	w3_d156e7795
Escadre	w5_d156e7798
(welche	w7_d156e7801
Jhre	w9_d156e7804
Ma	w11_d156e7807
jestät	w1_d156e7813
haben	w3_d156e7816
abseeglen	w5_d156e7819
lassen)	w7_d156e7822
anzusetzen	w9_d156e7825
und	w11_d156e7828
zu	w1_d156e7833
gebrauchen.	w3_d156e7836
Als	w5_d156e7839
haben	w7_d156e7842
Höchst=dieselbe	w9_d156e7845
einen	w1_d156e7850
Capitan	w3_d156e7853
mit	w5_d156e7856
Namen	w7_d156e7859
Mettlef,	w9_d156e7862
aus	w11_d156e7865
Siberien	w1_d156e7870
(wohin	w3_d156e7873
dieser	w5_d156e7876
vor	w7_d156e7879
25.	w9_d156e7882
Jahren	w11_d156e7885
ins	w1_d156e7891
Elend	w3_d156e7894
verschicket	w5_d156e7897
worden)	w7_d156e7900
zurück	w9_d156e7903
beru	w11_d156e7906
fen	w1_d156e7911
lassen.	w3_d156e7914
Obschon	w5_d156e7917
der	w7_d156e7920
Ritter	w9_d156e7923
Hambury	w11_d156e7926
Williams,	w1_d156e7931
Ambassadeur	w3_d156e7934
der	w5_d156e7937
Crone	w7_d156e7940
von	w9_d156e7943
Groß=brittanien,	w1_d156e7948
schon	w3_d156e7951
vor	w5_d156e7954
einiger	w7_d156e7957
Zeit	w9_d156e7960
die	w11_d156e7963
Briefe	w1_d156e7969
seiner	w3_d156e7972
Zurück=beruffung	w5_d156e7975
erhalten	w7_d156e7978
hat,	w9_d156e7981
</p>
<p id="p6_d156e7984">
so	w1_d156e7988
hat	w3_d156e7991
dieser	w5_d156e7994
Minister	w7_d156e7997
dannoch	w9_d156e8000
seine	w11_d156e8003
offent	w13_d156e8007
liche	w1_d156e8012
Abschieds=audienzen	w3_d156e8015
bey	w5_d156e8018
Jhrer	w7_d156e8021
Majestät	w9_d156e8024
der	w1_d156e8029
Kaiserin	w3_d156e8032
und	w5_d156e8035
bey	w7_d156e8038
Jhren	w9_d156e8041
Kaiserl.	w11_d156e8044
Hoheiten	w13_d156e8048
noch	w1_d156e8054
nicht	w3_d156e8057
gehabt.	w5_d156e8060
</p>
<head id="h2_d156e8066">
Nurnberg	w1_d156e8070
14.	w3_d156e8073
Junii.	w5_d156e8076
</head>
<p id="p4_d156e8079">
Die	w1_d156e8083
Fränkische	w3_d156e8086
Kreiß=trupen,	w5_d156e8089
bestehend	w7_d156e8092
aus	w1_d156e8097
Hoch	w3_d156e8100
fürstl.	w5_d156e8103
BambergWürzburg	w7_d156e8106
Eich	w9_d156e8109
städt	w1_d156e8114
und	w3_d156e8117
Anspachischen,	w5_d156e8120
wie	w7_d156e8123
auch	w9_d156e8126
Teutsch	w11_d156e8129
ordischen	w1_d156e8135
Völckern	w3_d156e8138
haben	w5_d156e8141
vorgestern	w7_d156e8144
zwischen	w9_d156e8147
Doos	w1_d156e8152
und	w3_d156e8155
Fürth	w5_d156e8158
campiret.	w7_d156e8161
Gestern	w9_d156e8164
seynb	w11_d156e8167
dieselbe	w1_d156e8172
aufgebrochen,	w3_d156e8175
und	w5_d156e8178
haben	w7_d156e8181
das	w9_d156e8184
Lager	w11_d156e8187
zwischen	w1_d156e8192
Fürth	w3_d156e8195
und	w5_d156e8198
Farrenbach,	w7_d156e8201
alwo	w9_d156e8204
ehe	w11_d156e8207
mals	w1_d156e8213
die	w3_d156e8216
Rußische	w5_d156e8219
Völcker	w7_d156e8222
gestanden,	w9_d156e8225
bezo	w11_d156e8228
gen	w1_d156e8233
Die	w3_d156e8236
Preussen	w5_d156e8239
(welche	w7_d156e8242
einige	w9_d156e8245
Zeit	w11_d156e8248
um	w13_d156e8252
hiesige	w1_d156e8257
Stadt	w3_d156e8260
und	w5_d156e8263
Gegend	w7_d156e8266
gewesen)	w9_d156e8269
befin	w11_d156e8272
den	w1_d156e8277
sich	w3_d156e8280
jetzt	w5_d156e8283
im	w7_d156e8286
Bambergischen,	w9_d156e8289
und	w11_d156e8292
waren	w13_d156e8296
vorgestern	w1_d156e8302
zu	w3_d156e8305
Ebermannstadt;	w5_d156e8308
ob	w7_d156e8311
dieselbe	w9_d156e8314
aber	w1_d156e8319
weiter	w3_d156e8322
gehen	w5_d156e8325
werden,	w7_d156e8328
ist	w9_d156e8331
unbekannt,	w11_d156e8334
Man	w1_d156e8339
hat	w3_d156e8342
andere	w5_d156e8345
Nachricht,	w7_d156e8348
daß	w9_d156e8351
das	w11_d156e8354
in	w13_d156e8358
die	w15_d156e8361
Staaten	w1_d156e8366
des	w3_d156e8369
Fränkischen	w5_d156e8372
Kreises	w7_d156e8375
eingerückte	w9_d156e8378
Detaschement	w1_d156e8384
Preußischer	w3_d156e8387
Trupen	w5_d156e8390
gegen	w7_d156e8393
die	w9_d156e8396
Böhmische	w1_d156e8401
Gränzen	w3_d156e8404
schon	w5_d156e8407
zurück	w7_d156e8410
gekehret	w9_d156e8413
seye,	w11_d156e8416
ehe	w1_d156e8421
und	w3_d156e8424
bevor	w5_d156e8427
die	w7_d156e8430
Fränkische	w9_d156e8433
Kreiß=trupen	w11_d156e8436
Zeit	w1_d156e8441
gehabt,	w3_d156e8444
sich	w5_d156e8447
recht	w7_d156e8450
zu	w9_d156e8453
versammlen.	w11_d156e8456
</p>
<head id="h2_d156e8462">
Frankfort	w1_d156e8466
17.	w3_d156e8469
Junii.	w5_d156e8472
</head>
<p id="p4_d156e8475">
Gestern	w1_d156e8479
Morgens	w3_d156e8482
marschierten	w5_d156e8485
di	w7_d156e8488
Chur	w9_d156e8491
maynzische	w1_d156e8496
zu	w3_d156e8499
dem	w5_d156e8502
Chur=rheinischen	w7_d156e8505
Kreiß	w9_d156e8508
contingent	w1_d156e8513
gehörige	w3_d156e8516
Trupen,	w5_d156e8519
unter	w7_d156e8522
Com	w9_d156e8525
mando	w1_d156e8531
des	w3_d156e8534
Hrn.	w5_d156e8537
Generals	w7_d156e8540
von	w9_d156e8543
Wildenstein,	w11_d156e8546
zwey	w1_d156e8551
in	w3_d156e8554
1300.	w5_d156e8557
Mann	w7_d156e8560
bestehende	w9_d156e8563
Battail	w11_d156e8566
lons	w1_d156e8571
mit	w3_d156e8574
fliegenden	w5_d156e8577
Fahnen	w7_d156e8580
und	w9_d156e8583
klingenden	w11_d156e8586
Spiel	w1_d156e8591
durch	w3_d156e8594
hiesige	w5_d156e8597
Stadt.	w7_d156e8600
Am	w9_d156e8603
18.	w11_d156e8606
dieses	w13_d156e8610
werden	w1_d156e8616
eben	w3_d156e8619
so	w5_d156e8622
viele	w7_d156e8625
durchziehen,	w9_d156e8628
daß	w11_d156e8631
also	w13_d156e8635
dieses	w1_d156e8640
Contingent	w3_d156e8643
2600.	w5_d156e8646
Mann	w7_d156e8649
ausmachet;	w9_d156e8652
diese	w1_d156e8657
nehmen	w3_d156e8660
den	w5_d156e8663
Weg	w7_d156e8666
über	w9_d156e8669
Steinheim	w11_d156e8672
und	w13_d156e8676
Aschaffenburg,	w1_d156e8681
und	w3_d156e8684
so	w5_d156e8687
weiter	w7_d156e8690
nach	w9_d156e8693
Würz	w11_d156e8696
burg.	w1_d156e8702
Jn	w3_d156e8705
dem	w5_d156e8708
vor	w7_d156e8711
dieser	w9_d156e8714
Stadt	w11_d156e8717
stehenden	w13_d156e8721
Lager,	w1_d156e8726
(worinn	w3_d156e8729
die	w5_d156e8732
scharfeste	w7_d156e8735
Manns=zucht	w9_d156e8738
beobachtet	w1_d156e8743
wird,	w3_d156e8746
und	w5_d156e8749
wodurch	w7_d156e8752
die	w9_d156e8755
weise	w11_d156e8758
Führungen	w1_d156e8763
der	w3_d156e8766
Generalität	w5_d156e8769
und	w7_d156e8772
Staabs	w9_d156e8775
officiers	w1_d156e8781
die	w3_d156e8784
beste	w5_d156e8787
Ordnung	w7_d156e8790
herrschet)	w9_d156e8793
langen	w11_d156e8796
nach	w1_d156e8801
und	w3_d156e8804
nach	w5_d156e8807
die	w7_d156e8810
gefehlte	w9_d156e8813
Kreißcontin	w11_d156e8816
genter	w1_d156e8821
an,	w3_d156e8824
und	w5_d156e8827
man	w7_d156e8830
erwartet	w9_d156e8833
täglich	w11_d156e8836
die	w13_d156e8840
übrigen,	w1_d156e8845
damit	w3_d156e8848
dieselbe	w5_d156e8851
vereiniget	w7_d156e8854
den	w9_d156e8857
Marsch	w11_d156e8860
an	w1_d156e8866
ihren	w3_d156e8869
Haupt=sammel=platz	w5_d156e8872
fortsetzen	w7_d156e8875
kön	w9_d156e8878
nen.	w1_d156e8883
Nebst	w3_d156e8886
unsern	w5_d156e8889
7.	w7_d156e8892
Compagnien	w9_d156e8895
und	w11_d156e8898
dem	w13_d156e8902
Contingent	w1_d156e8907
des	w3_d156e8910
Fürst=Bischofens	w5_d156e8913
von	w7_d156e8916
Speyer	w9_d156e8919
seynd	w1_d156e8924
schon	w3_d156e8927
in	w5_d156e8930
demselben	w7_d156e8933
Lager	w9_d156e8936
900.	w11_d156e8939
Mann,	w13_d156e8943
von	w1_d156e8949
dem	w3_d156e8952
Land=grafen	w5_d156e8955
von	w7_d156e8958
Hessen=darmstadt,	w9_d156e8961
220.	w1_d156e8966
Mann,	w3_d156e8969
von	w5_d156e8972
dem	w7_d156e8975
Fürst	w9_d156e8978
Bischofen	w11_d156e8981
zu	w13_d156e8985
</p>
<p id="p10_d156e8998">
Fuld,	w1_d156e9002
und	w3_d156e9005
170.	w5_d156e9008
Mann	w7_d156e9011
von	w9_d156e9014
Königstein	w11_d156e9017
bey	w13_d156e9021
sammen.	w1_d156e9026
Auch	w3_d156e9029
ist	w5_d156e9032
daselbst	w7_d156e9035
befindlich	w9_d156e9038
ein	w11_d156e9041
Corps	w1_d156e9046
Chur=pfälzischer	w3_d156e9049
Trupen,	w5_d156e9052
zu	w7_d156e9055
welchen	w9_d156e9058
noch	w1_d156e9064
Cavallerie	w3_d156e9067
stossen	w5_d156e9070
soll.	w7_d156e9073
</p>
<head id="h2_d156e9079">
Stadtkronach,	w1_d156e9083
19.	w3_d156e9086
Junii.	w5_d156e9089
</head>
<p id="p4_d156e9092">
Wir	w1_d156e9096
haben	w3_d156e9099
die	w5_d156e9102
unangenehme	w7_d156e9105
Nachricht	w9_d156e9108
erhalten,	w1_d156e9113
daß	w3_d156e9116
das	w5_d156e9119
Königl.	w7_d156e9122
Preußische	w9_d156e9125
Frey	w11_d156e9128
corps,	w1_d156e9133
welches	w3_d156e9136
der	w5_d156e9139
Obriste	w7_d156e9142
Mayer	w9_d156e9145
comman	w11_d156e9148
diret,	w1_d156e9154
sich	w3_d156e9157
von	w5_d156e9160
Lutherisch=Hellstadt	w7_d156e9163
aus,	w9_d156e9166
über	w11_d156e9169
Ahlfeld	w1_d156e9174
in	w3_d156e9177
unsere	w5_d156e9180
Gegend	w7_d156e9183
gewendet,	w9_d156e9186
und	w11_d156e9189
mit	w13_d156e9193
denen	w1_d156e9198
Bambergischen	w3_d156e9201
Unterthanen	w5_d156e9204
an	w7_d156e9207
man	w9_d156e9210
chem	w1_d156e9215
Orte	w3_d156e9218
sehr	w5_d156e9221
übel	w7_d156e9224
verfahren	w9_d156e9227
seye,	w11_d156e9230
wie	w13_d156e9234
dann	w15_d156e9237
die	w1_d156e9243
zusammen	w3_d156e9246
gezogenen	w5_d156e9249
Bambergische	w7_d156e9252
Aus	w9_d156e9255
schüsser	w1_d156e9260
und	w3_d156e9263
Bauern,	w5_d156e9266
die	w7_d156e9269
sich	w9_d156e9272
in	w11_d156e9275
das	w13_d156e9279
Städt	w15_d156e9282
gen	w1_d156e9287
Weißmayn	w3_d156e9290
geworfen	w5_d156e9293
haben,	w7_d156e9296
von	w9_d156e9299
dar	w11_d156e9302
aus	w1_d156e9307
7.	w3_d156e9310
Preussen	w5_d156e9313
todt	w7_d156e9316
geschossen,	w9_d156e9319
und	w11_d156e9322
selbige	w13_d156e9326
dadurch	w1_d156e9332
dermassen	w3_d156e9335
aufgebracht	w5_d156e9338
haben,	w7_d156e9341
daß	w9_d156e9344
sie	w1_d156e9349
die	w3_d156e9352
Vorstadt,	w5_d156e9355
gestern	w7_d156e9358
durch	w9_d156e9361
Einwerfung	w11_d156e9364
eini	w13_d156e9368
ger	w1_d156e9373
Pech=kränzen	w3_d156e9376
in	w5_d156e9379
Brand	w7_d156e9382
gestecket,/	w9_d156e9385
wodurch	w11_d156e9388
sol	w13_d156e9392
che	w1_d156e9397
fast	w3_d156e9400
gänzlich	w5_d156e9403
ruiniret	w7_d156e9406
und	w9_d156e9409
abgebrannt	w11_d156e9412
seynd.	w13_d156e9416
Heute	w1_d156e9422
ist	w3_d156e9425
der	w5_d156e9428
Obriste	w7_d156e9431
Meyer	w9_d156e9434
über	w11_d156e9437
Maynroht	w13_d156e9441
gezogen.	w1_d156e9446
Die	w3_d156e9449
Würzburgischen	w5_d156e9452
Trupen	w7_d156e9455
und	w9_d156e9458
Land=ausschuß	w1_d156e9463
folgen	w3_d156e9466
demselben	w5_d156e9469
auf	w7_d156e9472
dem	w9_d156e9475
Fuß	w1_d156e9480
nach,	w3_d156e9483
und	w5_d156e9486
seynd	w7_d156e9489
in	w9_d156e9492
Kaltenhausen	w11_d156e9495
und	w13_d156e9499
Welkendorf	w1_d156e9505
eingerucket.	w3_d156e9508
</p>
<head id="h2_d156e9515">
Wien	w1_d156e9519
den	w3_d156e9522
29.	w5_d156e9525
Junii	w7_d156e9528
1757.	w9_d156e9531
</head>
<p id="p4_d156e9534">
JOnntags	w1_d156e9538
den	w3_d156e9541
26.	w5_d156e9544
Junii	w7_d156e9547
Vormittage	w9_d156e9550
wurde	w1_d156e9555
zu	w3_d156e9558
Schönbrunn	w5_d156e9561
in	w7_d156e9564
Gegenwart	w9_d156e9567
Beyder	w1_d156e9572
Kaiserlichen	w3_d156e9575
Majestätten	w5_d156e9578
grosse	w7_d156e9581
Con	w9_d156e9584
ferenz	w1_d156e9590
gehalten.	w3_d156e9593
Um	w5_d156e9596
11.	w7_d156e9599
Uhr	w9_d156e9602
haben	w11_d156e9605
Aller	w13_d156e9609
höchst=gedachte	w1_d156e9614
Beyde	w3_d156e9617
Kaiserliche	w5_d156e9620
Majestä	w7_d156e9623
ten	w1_d156e9628
Sich	w3_d156e9631
mit	w5_d156e9634
denen	w7_d156e9637
Durchl.	w9_d156e9640
Königl.	w11_d156e9643
Prinzen	w13_d156e9647
und	w1_d156e9652
Erz=herzogen	w3_d156e9655
Joseph,	w5_d156e9658
Carl	w7_d156e9661
und	w9_d156e9664
Peter	w11_d156e9667
Leo	w13_d156e9671
pold,	w1_d156e9677
wie	w3_d156e9680
auch	w5_d156e9683
Durchleuchtigst	w7_d156e9686
Königl.	w9_d156e9689
Prin	w11_d156e9692
zeßinnen	w1_d156e9697
und	w3_d156e9700
Erz=herzoginnen	w5_d156e9703
Maria	w7_d156e9706
Christina	w9_d156e9709
Elisabetha,	w1_d156e9714
Amalia,	w3_d156e9717
Gabriela,	w5_d156e9720
Josepha	w7_d156e9723
und	w1_d156e9728
Carolina	w3_d156e9731
Königlichen	w5_d156e9734
Hoheiten,	w7_d156e9737
herein	w9_d156e9740
nach	w1_d156e9746
der	w3_d156e9749
St.	w5_d156e9752
Stephans=Metropolitan=kirche	w7_d156e9755
erhoben,	w1_d156e9760
und	w3_d156e9763
wegen	w5_d156e9766
des	w7_d156e9769
glücklichen	w9_d156e9772
Entsatzes	w11_d156e9775
der	w1_d156e9780
Königl.	w3_d156e9783
Böheimischen	w5_d156e9786
Haupt=stadt	w7_d156e9789
Prag,	w9_d156e9792
und	w1_d156e9797
des	w3_d156e9800
dabey	w5_d156e9803
erfochtenen	w7_d156e9806
Sieges	w9_d156e9809
dem	w11_d156e9812
von	w13_d156e9816
Sr.	w1_d156e9822
Hochfürstlichen	w3_d156e9825
Gnaden	w5_d156e9828
dem	w7_d156e9831
alhiesigen	w9_d156e9834
neuen	w1_d156e9839
Herrn	w3_d156e9842
Erz=bischoffen	w5_d156e9845
feyerlich	w7_d156e9848
gehalte	w9_d156e9851
nem	w1_d156e9856
Ambrosianischen	w3_d156e9859
Lob=gesang	w5_d156e9862
und	w7_d156e9865
solen	w9_d156e9868
nen	w1_d156e9873
Hoh=amt	w3_d156e9876
beygewohnet,	w5_d156e9879
während	w7_d156e9882
deme	w9_d156e9885
ein	w1_d156e9891
auf	w3_d156e9894
dem	w5_d156e9897
Kirch=hof	w7_d156e9900
paradirtes	w9_d156e9903
Battatl	w11_d156e9906
lon	w1_d156e9911
dreymal	w3_d156e9914
Salve	w5_d156e9917
gegeben,	w7_d156e9920
und	w9_d156e9923
jedesmal	w11_d156e9926
hinnach	w1_d156e9931
die	w3_d156e9934
Stücke	w5_d156e9937
von	w7_d156e9940
denen	w9_d156e9943
hiesigen	w11_d156e9946
Stadt	w13_d156e9950
Wällen	w1_d156e9955
rings	w3_d156e9958
herum	w5_d156e9961
abgefeuret	w7_d156e9964
worden,	w9_d156e9967
und	w1_d156e9973
nach	w3_d156e9976
12.	w5_d156e9979
Uhr	w7_d156e9982
haben	w9_d156e9985
sich	w11_d156e9988
die	w13_d156e9992
Allerhöch	w15_d156e9995
</p>
<p id="p6_d156e9998">
sten	w1_d156e10002
Herrschaften	w3_d156e10005
wieder	w5_d156e10008
nach	w7_d156e10011
Schötbun	w9_d156e10014
zurück	w1_d156e10019
begeben.	w3_d156e10022
</p>
<p id="p8_d156e10025">
Diesen	w1_d156e10029
Fruhe=morgen	w3_d156e10032
ist	w5_d156e10035
wieder	w7_d156e10038
ein	w9_d156e10041
T.	w11_d156e10044
Artillerie	w1_d156e10049
von	w3_d156e10052
hier	w5_d156e10055
nach	w7_d156e10058
Böheim	w9_d156e10061
abgest	w11_d156e10064
cket	w1_d156e10069
worden.	w3_d156e10072
</p>
<p id="p10_d156e10075">
Montägs	w1_d156e10079
den	w3_d156e10082
27.	w5_d156e10085
wurde	w7_d156e10088
zu	w9_d156e10091
Schönbn	w11_d156e10094
abermal	w1_d156e10099
grosse	w3_d156e10102
Conferenz	w5_d156e10105
gehalten.	w7_d156e10108
Umn.	w9_d156e10111
Uhr	w1_d156e10116
haben	w3_d156e10119
beyde	w5_d156e10122
Kaiserliche	w7_d156e10125
Majestäten	w9_d156e10128
E	w11_d156e10131
von	w1_d156e10137
Schönbrunn	w3_d156e10140
her	w5_d156e10143
ein	w7_d156e10146
nach	w9_d156e10149
derer	w11_d156e10152
WW.ß.	w13_d156e10156
PP.	w1_d156e10161
Augustiner=Baarfüsser	w3_d156e10164
Hof=kirchen	w5_d156e10167
näth	w7_d156e10170
der	w1_d156e10175
Kaiserl.	w3_d156e10178
Königl.	w5_d156e10181
Burg	w7_d156e10184
erhoben,	w9_d156e10187
und	w11_d156e10190
dasiger	w1_d156e10195
Todten=capelle	w3_d156e10198
in	w5_d156e10201
Beyseyn	w7_d156e10204
der	w9_d156e10207
hoh	w11_d156e10210
Generalität,	w1_d156e10216
wie	w3_d156e10219
auch	w5_d156e10222
der	w7_d156e10225
alhier	w9_d156e10228
in	w11_d156e10231
Gu	w13_d156e10235
nison	w1_d156e10240
ligenden	w3_d156e10243
sammentlichen	w5_d156e10246
Militz	w7_d156e10249
mit	w9_d156e10252
ren	w1_d156e10257
Herren	w3_d156e10260
Officieren,	w5_d156e10263
dem	w7_d156e10266
Seel=amt	w9_d156e10269
siü	w11_d156e10272
alle	w1_d156e10277
vor	w3_d156e10280
dem	w5_d156e10283
Feind	w7_d156e10286
gebliebene	w9_d156e10289
und	w11_d156e10292
verstu	w13_d156e10296
bene	w1_d156e10302
Kaiserliche	w3_d156e10305
Soldaten	w5_d156e10308
beygewohnet,	w7_d156e10311
folg	w9_d156e10314
lichen	w1_d156e10319
nach	w3_d156e10322
Ende	w5_d156e10325
dessen	w7_d156e10328
um	w9_d156e10331
12.	w11_d156e10334
Uhr	w13_d156e10338
Sich	w15_d156e10341
wie	w17_d156e10344
der	w1_d156e10349
nach	w3_d156e10352
Schönbrunn	w5_d156e10355
zurück	w7_d156e10358
verfüget.	w9_d156e10361
</p>
<p id="p12_d156e10365">
Am	w1_d156e10369
Sonntag	w3_d156e10372
Fruhe	w5_d156e10375
ist	w7_d156e10378
die	w9_d156e10381
Feld=equipan	w11_d156e10384
für	w1_d156e10389
Se.	w3_d156e10392
Durchleucht	w5_d156e10395
den	w7_d156e10398
Herrn	w9_d156e10401
Herzogen	w11_d156e10404
von	w13_d156e10408
Zwey=brücken;	w1_d156e10413
heut	w3_d156e10416
vergangene	w5_d156e10419
Nacht	w7_d156e10422
aber	w9_d156e10425
für	w1_d156e10431
den	w3_d156e10434
Kaiserl.	w5_d156e10437
Königl.	w7_d156e10440
Generalen	w9_d156e10443
der	w11_d156e10446
Ca	w13_d156e10450
vallerie	w1_d156e10455
Fürsten	w3_d156e10458
von	w5_d156e10461
Esterhazi	w7_d156e10464
von	w9_d156e10467
hier	w11_d156e10470
nach	w13_d156e10474
Böheim	w1_d156e10479
abgeschicket	w3_d156e10482
worden.	w5_d156e10485
</p>
<p id="p14_d156e10488">
Da	w1_d156e10492
nun	w3_d156e10495
Prag	w5_d156e10498
von	w7_d156e10501
denen	w9_d156e10504
Feinden	w11_d156e10507
völlig	w13_d156e10511
be	w15_d156e10514
freyet	w1_d156e10519
ist,	w3_d156e10522
so	w5_d156e10525
siehet	w7_d156e10528
man	w9_d156e10531
viele,	w11_d156e10534
welche	w13_d156e10538
von	w15_d156e10541
dorten	w1_d156e10546
anhero	w3_d156e10549
sich	w5_d156e10552
geflüchtet	w7_d156e10555
haben,	w9_d156e10558
wieder	w11_d156e10561
dahin	w1_d156e10567
abreisen;	w3_d156e10570
wie	w5_d156e10573
dann	w7_d156e10576
gestern	w9_d156e10579
die	w11_d156e10582
erst	w13_d156e10586
Stellfuhr	w1_d156e10591
wieder	w3_d156e10594
von	w5_d156e10597
hier	w7_d156e10600
dahin	w9_d156e10603
abgegan	w11_d156e10606
gen	w1_d156e10611
ist.	w3_d156e10614
</p>
<p id="p16_d156e10617">
Gestern	w1_d156e10621
Fruhe	w3_d156e10624
ist	w5_d156e10627
wieder	w7_d156e10630
eine	w9_d156e10633
Colonn	w11_d156e10636
Warasdiner	w1_d156e10641
von	w3_d156e10644
1000.	w5_d156e10647
Köpfen	w7_d156e10650
auserlöse	w9_d156e10653
nester	w1_d156e10658
Mannschaft	w3_d156e10661
dahier	w5_d156e10664
eingetroffen,	w7_d156e10667
und	w9_d156e10670
nach	w11_d156e10673
dem	w1_d156e10679
denenselben	w3_d156e10682
das	w5_d156e10685
neue	w7_d156e10688
Gewehr	w9_d156e10691
ausge	w11_d156e10694
theilet	w1_d156e10699
worden,	w3_d156e10702
haben	w5_d156e10705
sie	w7_d156e10708
den	w9_d156e10711
Marsche	w11_d156e10714
über	w13_d156e10718
die	w1_d156e10723
grosse	w3_d156e10726
Donau=brücke	w5_d156e10729
weiters	w7_d156e10732
nach	w9_d156e10735
Bö	w11_d156e10738
heim	w1_d156e10743
fortgesetzet,	w3_d156e10746
denen	w5_d156e10749
künftigen	w7_d156e10752
Donner	w9_d156e10755
stag	w1_d156e10761
den	w3_d156e10764
30.	w5_d156e10767
dieses	w7_d156e10770
die	w9_d156e10773
zweyte,	w11_d156e10776
und	w13_d156e10780
den	w15_d156e10783
5.	w17_d156e10786
Julii	w1_d156e10791
die	w3_d156e10794
dritte	w5_d156e10797
Colonne	w7_d156e10800
nachfolgen	w9_d156e10803
wird	w11_d156e10806
</p>
<p id="p18_d156e10809">
Daß	w1_d156e10813
die	w3_d156e10816
Desertion	w5_d156e10819
deren	w7_d156e10822
Preussen	w9_d156e10825
ganz	w11_d156e10828
ungemein	w1_d156e10833
stark	w3_d156e10836
seyn	w5_d156e10839
müsse,	w7_d156e10842
zeiget	w9_d156e10845
sich	w11_d156e10848
von	w13_d156e10852
dahero,	w1_d156e10857
weilen	w3_d156e10860
täglich	w5_d156e10863
zu	w7_d156e10866
100.	w9_d156e10869
und	w11_d156e10872
mehl	w13_d156e10876
Preußische	w1_d156e10882
Deserteurs	w3_d156e10885
alhier	w5_d156e10888
eintreffen,	w7_d156e10891
wel	w9_d156e10894
che	w1_d156e10899
sich	w3_d156e10902
theils	w5_d156e10905
zu	w7_d156e10908
Kriegs=diensten	w9_d156e10911
engagiren,	w11_d156e10914
und	w1_d156e10919
theils	w3_d156e10922
mit	w5_d156e10925
denen	w7_d156e10928
überkommenden	w9_d156e10931
Päs	w11_d156e10934
sen	w1_d156e10939
nach	w3_d156e10942
ihren	w5_d156e10945
Geburts=orten	w7_d156e10948
abgehen.	w9_d156e10951
</p>
<p id="p20_d156e10954">
Gestern	w1_d156e10958
seynd	w3_d156e10961
Seine	w5_d156e10964
Excellenz	w7_d156e10967
der	w9_d156e10970
Her	w11_d156e10973
General	w1_d156e10978
der	w3_d156e10981
Cavallerie	w5_d156e10984
Graf	w7_d156e10987
Luchesit	w9_d156e10990
albier	w11_d156e10993
angelanget.	w1_d156e10998
</p>
<p id="p26_d156e11012">
Nicht	w1_d156e11016
minder	w3_d156e11019
ist	w5_d156e11022
der	w7_d156e11025
Königl.	w9_d156e11028
Französische	w11_d156e11031
Brigardier	w1_d156e11036
Herr	w3_d156e11039
Graf	w5_d156e11042
von	w7_d156e11045
Montazet	w9_d156e11048
den	w11_d156e11051
23.	w13_d156e11055
dieses	w1_d156e11060
alhier	w3_d156e11063
eingetroffen,	w5_d156e11066
deme	w7_d156e11069
von	w9_d156e11072
Sr.	w11_d156e11075
Al	w13_d156e11079
lerchristlichsten	w1_d156e11085
Majestät	w3_d156e11088
unter	w5_d156e11091
anderen	w7_d156e11094
