<doc id="wr_1760-04-05" attrs="word" year="1760" month="04" day="05" corpus="2">
<head id="h2_d438e2535">
Frankfort	w1_d438e2539
von	w7_d438e6173
denen	w9_d438e6176
Fran	w11_d438e6179
zosen	w1_d438e6185
belagert	w3_d438e6188
zu	w5_d438e6191
werden.	w7_d438e6194
Die	w9_d438e6197
Holländer	w11_d438e6200
haben	w1_d438e6205
selbe	w3_d438e6208
10.	w5_d438e6211
Meilen	w7_d438e6214
von	w9_d438e6217
Nord	w11_d438e6220
de	w13_d438e6224
Co	w15_d438e6227
lombo	w1_d438e6232
gesehen,	w3_d438e6235
unterdessen	w5_d438e6238
haben	w7_d438e6241
wir	w9_d438e6244
ei	w11_d438e6247
nes	w1_d438e6252
unermüdeten	w3_d438e6255
durch	w5_d438e6258
15.	w7_d438e6261
Täge	w9_d438e6264
dauren	w11_d438e6267
den	w1_d438e6273
Creutzens	w3_d438e6276
in	w5_d438e6279
der	w7_d438e6282
Höhe	w9_d438e6285
von	w11_d438e6288
Freyers	w13_d438e6292
hood	w1_d438e6297
ungeachtet	w3_d438e6300
dennoch	w5_d438e6303
bishero	w7_d438e6306
nicht	w9_d438e6309
das	w11_d438e6312
mindeste	w1_d438e6317
von	w3_d438e6320
ihnen	w5_d438e6323
entdecken	w7_d438e6326
können;	w9_d438e6329
ja	w11_d438e6332
was	w1_d438e6337
noch	w3_d438e6340
mehr	w5_d438e6343
ist,	w7_d438e6346
wir	w9_d438e6349
traffen	w11_d438e6352
unter	w13_d438e6356
Weegs	w15_d438e6359
ein	w1_d438e6365
Fahr=zeug	w3_d438e6368
an,	w5_d438e6371
so	w7_d438e6374
Nachrichten	w9_d438e6377
von	w11_d438e6380
dem	w13_d438e6384
Grade	w1_d438e6389
bey	w3_d438e6392
Galles	w5_d438e6395
hatte,	w7_d438e6398
und	w9_d438e6401
selbes	w11_d438e6404
konnte	w13_d438e6408
uns	w1_d438e6413
eben	w3_d438e6416
keine	w5_d438e6419
Auskunft	w7_d438e6422
hierinfalls	w9_d438e6425
geben.	w11_d438e6428
Nichts	w1_d438e6433
destoweniget	w3_d438e6436
können	w5_d438e6439
wir	w7_d438e6442
doch	w9_d438e6445
keines	w11_d438e6448
Weegs	w1_d438e6454
glauben,	w3_d438e6457
daß	w5_d438e6460
sich	w7_d438e6463
der	w9_d438e6466
Feind	w11_d438e6469
mit	w13_d438e6473
seiner	w1_d438e6478
dermalen	w3_d438e6481
so	w5_d438e6484
namhaften	w7_d438e6487
Estadre	w9_d438e6490
ru	w11_d438e6493
hig	w1_d438e6498
halten	w3_d438e6501
sollte;	w5_d438e6504
sie	w7_d438e6507
bestehet	w9_d438e6510
nunmehro	w11_d438e6513
erstlich	w1_d438e6518
aus	w3_d438e6521
4.	w5_d438e6524
Königl.	w7_d438e6527
Schiffen,	w9_d438e6530
deren	w11_d438e6533
2.	w13_d438e6537
mit	w1_d438e6543
74.	w3_d438e6546
und	w5_d438e6549
2.	w7_d438e6552
mit	w9_d438e6555
64.	w11_d438e6558
Canonen	w13_d438e6562
versehen	w15_d438e6565
nebst	w1_d438e6570
4.	w3_d438e6573
Fregatten;	w5_d438e6576
andertens	w7_d438e6579
aus	w9_d438e6582
4.	w11_d438e6585
Schif	w13_d438e6589
fen	w1_d438e6594
zu	w3_d438e6597
64.	w5_d438e6600
Canons,	w7_d438e6603
5.	w9_d438e6606
andern	w11_d438e6609
mit	w13_d438e6613
50.	w15_d438e6616
Feld	w17_d438e6619
stücken,	w1_d438e6624
und	w3_d438e6627
5.	w5_d438e6630
Flutten	w7_d438e6633
mit	w9_d438e6636
30.	w11_d438e6639
Canons,	w13_d438e6643
so	w1_d438e6649
alle	w3_d438e6652
in	w5_d438e6655
Diensten	w7_d438e6658
der	w9_d438e6661
Compagnie	w11_d438e6664
stehen;	w13_d438e6668
den	w1_d438e6673
Schluß	w3_d438e6676
macht	w5_d438e6679
endlichen	w7_d438e6682
ein	w9_d438e6685
anderes	w11_d438e6688
Schif	w1_d438e6693
mit	w3_d438e6696
50.	w5_d438e6699
Canonen,	w7_d438e6702
worauf	w9_d438e6705
sie	w11_d438e6708
ihr	w13_d438e6712
Spittal	w1_d438e6717
mit	w3_d438e6720
sich	w5_d438e6723
führen.	w7_d438e6726
Sie	w9_d438e6729
etwarten	w11_d438e6732
über	w1_d438e6738
diese	w3_d438e6741
noch	w5_d438e6744
3.	w7_d438e6747
andere	w9_d438e6750
Schiffe	w11_d438e6753
von	w13_d438e6757
der	w15_d438e6760
Linie	w1_d438e6765
aus	w3_d438e6768
Frankreich,	w5_d438e6771
und	w7_d438e6774
ihre	w9_d438e6777
bey	w11_d438e6780
sich	w13_d438e6784
habende	w1_d438e6789
Mannschaft	w3_d438e6792
ist	w5_d438e6795
mehr	w7_d438e6798
als	w9_d438e6801
complet.	w11_d438e6804
Unsere	w1_d438e6809
Escadre	w3_d438e6812
hingegen	w5_d438e6815
bestehet	w7_d438e6818
aus	w9_d438e6821
9.	w11_d438e6824
Schiffen	w1_d438e6830
von	w3_d438e6833
der	w5_d438e6836
Linie,	w7_d438e6839
9.	w9_d438e6842
Fregatten	w11_d438e6845
und	w13_d438e6849
einem	w1_d438e6854
Brander,	w3_d438e6857
7.	w5_d438e6860
von	w7_d438e6863
diesen	w9_d438e6866
Fregatten	w11_d438e6869
stehen	w1_d438e6874
in	w3_d438e6877
Diensten	w5_d438e6880
der	w7_d438e6883
Compagnie.	w9_d438e6886
Ob	w11_d438e6889
wolen	w1_d438e6894
nun	w3_d438e6897
der	w5_d438e6900
Feind	w7_d438e6903
mit	w9_d438e6906
seiner	w11_d438e6909
Macht	w13_d438e6913
uns	w15_d438e6916
weit	w1_d438e6922
überlegen,	w3_d438e6925
so	w5_d438e6928
hoffen	w7_d438e6931
wir	w9_d438e6934
dannoch,	w11_d438e6937
daß	w13_d438e6941
sich	w1_d438e6946
etwannselber	w3_d438e6949
an	w5_d438e6952
der	w7_d438e6955
Seite	w9_d438e6958
uns	w11_d438e6961
näheren,	w13_d438e6965
und	w1_d438e6970
</p>
<p id="p8_d438e6975">
und	w1_d438e6979
also	w3_d438e6982
Gelegenheit	w5_d438e6985
geben	w7_d438e6988
werde,	w9_d438e6991
mit	w11_d438e6994
dem	w13_d438e6998
selben	w1_d438e7003
anzubinden,	w3_d438e7006
in	w5_d438e7009
welchem	w7_d438e7012
Falle	w9_d438e7015
wir	w11_d438e7018
dann	w1_d438e7023
keines	w3_d438e7026
Weegs	w5_d438e7029
zweiflen,	w7_d438e7032
daß	w9_d438e7035
alles	w11_d438e7038
zu	w13_d438e7042
unseren	w1_d438e7048
Vortheil	w3_d438e7051
ausschlagen	w5_d438e7054
sollte.	w7_d438e7057
Unsere	w9_d438e7060
Schiffe	w1_d438e7065
seynd	w3_d438e7068
stärker	w5_d438e7071
als	w7_d438e7074
die	w9_d438e7077
feindliche,	w11_d438e7080
dann	w13_d438e7084
in	w1_d438e7089
der	w3_d438e7092
letzthin	w5_d438e7095
vorgefallenen	w7_d438e7098
Affaire	w9_d438e7101
haben	w11_d438e7104
wir	w1_d438e7109
nach	w3_d438e7112
einem	w5_d438e7115
kurzen	w7_d438e7118
Gefecht	w9_d438e7121
einige	w11_d438e7124
deren	w13_d438e7128
selben	w1_d438e7134
in	w3_d438e7137
Unordnung	w5_d438e7140
gebracht.	w7_d438e7143
Wann	w9_d438e7146
sich	w11_d438e7149
aber	w1_d438e7154
der	w3_d438e7157
Feind	w5_d438e7160
vor	w7_d438e7163
Bombay	w9_d438e7166
setzet,	w11_d438e7169
so	w13_d438e7173
sind	w15_d438e7176
wir	w1_d438e7181
alle	w3_d438e7184
der	w5_d438e7187
gänzlichen	w7_d438e7190
Meinung,	w9_d438e7193
daß	w11_d438e7196
sich	w13_d438e7200
obgedachter	w1_d438e7205
Platz	w3_d438e7208
nicht	w5_d438e7211
über	w7_d438e7214
10.	w9_d438e7217
Tage	w11_d438e7220
hal	w13_d438e7224
ten	w1_d438e7230
werde,	w3_d438e7233
alldieweilen	w5_d438e7236
selber	w7_d438e7239
in	w9_d438e7242
einem	w11_d438e7245
sehr	w13_d438e7249
schlechten	w1_d438e7254
Vertheidigungs=stand	w3_d438e7257
sich	w5_d438e7260
befin	w7_d438e7263
det.	w1_d438e7268
Die	w3_d438e7271
Boll=werke	w5_d438e7274
ausser	w7_d438e7277
dem	w9_d438e7280
Thor	w11_d438e7283
Buzar	w1_d438e7288
genannt,	w3_d438e7291
sind	w5_d438e7294
noch	w7_d438e7297
nicht	w9_d438e7300
ausgema	w11_d438e7303
chet,	w1_d438e7309
dann	w3_d438e7312
die	w5_d438e7315
Bau=leute,	w7_d438e7318
so	w9_d438e7321
an	w11_d438e7324
diesen	w13_d438e7328
Fortificationen	w1_d438e7333
gearbeitet,	w3_d438e7336
sind	w5_d438e7339
von	w7_d438e7342
dannen	w9_d438e7345
weg,	w1_d438e7350
und	w3_d438e7353
zu	w5_d438e7356
Erbauung	w7_d438e7359
einiger	w9_d438e7362
grossen	w11_d438e7365
Häu	w13_d438e7369
ser	w1_d438e7374
genommen	w3_d438e7377
worden,	w5_d438e7380
und	w7_d438e7383
die	w9_d438e7386
Garnison	w11_d438e7389
bestehet	w1_d438e7395
auf	w3_d438e7398
das	w5_d438e7401
höchste	w7_d438e7404
aus	w9_d438e7407
600.	w11_d438e7410
Europä	w13_d438e7414
ern.	w1_d438e7419
Die	w3_d438e7422
neue	w5_d438e7425
Festung	w7_d438e7428
zu	w9_d438e7431
Bengalen	w11_d438e7434
ist	w13_d438e7438
nunmehro	w1_d438e7443
völlig	w3_d438e7446
fertig,	w5_d438e7449
man	w7_d438e7452
hat	w9_d438e7455
aber	w11_d438e7458
in	w13_d438e7462
selbe	w1_d438e7467
sehr	w3_d438e7470
wenig	w5_d438e7473
Trupen	w7_d438e7476
geworfen.	w9_d438e7479
Der	w11_d438e7482
General	w1_d438e7488
Clivet	w3_d438e7491
ist	w5_d438e7494
zu	w7_d438e7497
Anfang	w9_d438e7500
dieses	w11_d438e7503
Jahrs	w13_d438e7507
zu	w1_d438e7512
Patna	w3_d438e7515
gewesen;	w5_d438e7518
er	w7_d438e7521
marschirte	w9_d438e7524
mit	w11_d438e7527
sei	w13_d438e7531
nen	w1_d438e7536
Trupen	w3_d438e7539
gegen	w5_d438e7542
eine	w7_d438e7545
Armee,	w9_d438e7548
so	w11_d438e7551
der	w13_d438e7555
Groß	w15_d438e7558
mogol	w1_d438e7563
gesendet,	w3_d438e7566
um	w5_d438e7569
den	w7_d438e7572
jetzt	w9_d438e7575
regierenden	w11_d438e7578
Nabob	w1_d438e7584
von	w3_d438e7587
seinem	w5_d438e7590
Throne	w7_d438e7593
zu	w9_d438e7596
stürzen,	w11_d438e7599
so	w13_d438e7603
bald	w1_d438e7608
aber	w3_d438e7611
gedachter	w5_d438e7614
General	w7_d438e7617
auf	w9_d438e7620
selbe	w11_d438e7623
ge	w13_d438e7627
stossen,	w1_d438e7632
erachtete	w3_d438e7635
die	w5_d438e7638
feindliche	w7_d438e7641
Armee	w9_d438e7644
für	w11_d438e7647
rahtsam	w1_d438e7652
sich	w3_d438e7655
mit	w5_d438e7658
selben	w7_d438e7661
zu	w9_d438e7664
verstehen,	w11_d438e7667
also	w13_d438e7671
zwar,	w1_d438e7677
daß	w3_d438e7680
dieser	w5_d438e7683
Zufall	w7_d438e7686
zum	w9_d438e7689
grossen	w11_d438e7692
Lobe	w13_d438e7696
erwähnten	w1_d438e7701
Herrns	w3_d438e7704
Clive	w5_d438e7707
gereichet	w7_d438e7710
rc.	w9_d438e7713
</p>
<head id="h2_d438e7719">
Ollmütz	w1_d438e7723
1.	w3_d438e7726
April.	w5_d438e7729
</head>
<p id="p4_d438e7732">
Aus	w1_d438e7736
Ober=schlesien	w3_d438e7739
wird	w5_d438e7742
berichtet,	w7_d438e7745
daß	w9_d438e7748
von	w1_d438e7753
jeder	w3_d438e7756
Compagnie	w5_d438e7759
des	w7_d438e7762
Fouquetischen	w9_d438e7765
Corps	w1_d438e7770
10.	w3_d438e7773
Mann	w5_d438e7776
commandirt,	w7_d438e7779
und	w9_d438e7782
samt	w11_d438e7785
denen	w1_d438e7791
in	w3_d438e7794
Militsch	w5_d438e7797
befindlichen	w7_d438e7800
400.	w9_d438e7803
Mann	w11_d438e7806
beorderet	w1_d438e7811
worden	w3_d438e7814
wären,	w5_d438e7817
den	w7_d438e7820
Einfall	w9_d438e7823
der	w11_d438e7826
Cosacken	w1_d438e7831
in	w3_d438e7834
der	w5_d438e7837
Gegend	w7_d438e7840
Guben	w9_d438e7843
zu	w11_d438e7846
verhin	w13_d438e7850
deren,	w1_d438e7855
allwo	w3_d438e7858
jüngst	w5_d438e7861
ein	w7_d438e7864
Trup	w9_d438e7867
das	w11_d438e7870
daselbst	w13_d438e7874
auf	w1_d438e7880
Execution	w3_d438e7883
gestandene	w5_d438e7886
Preußische	w7_d438e7889
Com	w9_d438e7892
</p>
<p id="p6_d438e7895">
mando	w1_d438e7899
von	w3_d438e7902
da	w5_d438e7905
thrils	w7_d438e7908
vertrieben,	w9_d438e7911
theils	w11_d438e7914
zu	w13_d438e7918
Kriegs=gefangenen	w1_d438e7923
gemacht	w3_d438e7926
hätte.	w5_d438e7929
Vermut	w7_d438e7932
lich	w1_d438e7937
würde	w3_d438e7940
dieses	w5_d438e7943
Corps	w7_d438e7946
samt	w9_d438e7949
denen	w11_d438e7952
Wer	w13_d438e7956
nerischen	w1_d438e7962
Hussaren,	w3_d438e7965
zu	w5_d438e7968
der	w7_d438e7971
Prinzheinrichi	w9_d438e7974
schen	w1_d438e7979
Armee	w3_d438e7982
getheilet	w5_d438e7985
werden.	w7_d438e7988
</p>
<p id="p8_d438e7991">
Das	w1_d438e7995
Haupf=quartier	w3_d438e7998
des	w5_d438e8001
Herrn	w7_d438e8004
General	w9_d438e8007
feld=zeug=meisters	w1_d438e8012
Baron	w3_d438e8015
von	w5_d438e8018
Laudon	w7_d438e8021
ist	w9_d438e8024
noch	w11_d438e8027
dato	w1_d438e8032
zu	w3_d438e8035
Jägern=dorf,	w5_d438e8038
unsere	w7_d438e8041
Vor=posten	w9_d438e8044
aber	w1_d438e8050
zu	w3_d438e8053
Steinau.	w5_d438e8056
Täglich	w7_d438e8059
kommen	w9_d438e8062
bey	w11_d438e8065
diesem	w1_d438e8070
Kaiserl.	w3_d438e8073
Königl.	w5_d438e8076
Corps	w7_d438e8079
beträchtliche	w9_d438e8082
Verstärkungen	w1_d438e8087
an,	w3_d438e8090
und	w5_d438e8093
das	w7_d438e8096
Anspachische	w9_d438e8099
Cuiraßier,	w1_d438e8104
Collowrat	w3_d438e8107
Dragoner,	w5_d438e8110
samt	w7_d438e8113
denen	w1_d438e8119
beeden	w3_d438e8122
Jnfanterie=regimentern	w5_d438e8125
Pal	w7_d438e8128
lavicini	w1_d438e8133
und	w3_d438e8136
Andlau	w5_d438e8139
werden	w7_d438e8142
allda	w9_d438e8145
stündlich	w11_d438e8148
erwartet.	w1_d438e8153
Unsere	w3_d438e8156
Hussaren	w5_d438e8159
und	w7_d438e8162
Croaten	w9_d438e8165
haben	w1_d438e8170
zwischen	w3_d438e8173
Oppeln	w5_d438e8176
und	w7_d438e8179
Cosel	w9_d438e8182
dem	w11_d438e8185
Feind	w13_d438e8189
einen	w1_d438e8195
beträchtlichen	w3_d438e8198
Transport	w5_d438e8201
an	w7_d438e8204
Salz,	w9_d438e8207
Pohlnischen	w1_d438e8212
Mast=ochsen,	w3_d438e8215
Pferd	w5_d438e8218
samt	w7_d438e8221
anderm	w1_d438e8226
Vieh,	w3_d438e8229
wie	w5_d438e8232
auch	w7_d438e8235
eine	w9_d438e8238
Summa	w11_d438e8241
an	w13_d438e8245
Geld	w1_d438e8250
abgenommen,	w3_d438e8253
die	w5_d438e8256
feindliche	w7_d438e8259
Bede	w9_d438e8262
ckung	w1_d438e8268
aber	w3_d438e8271
theils	w5_d438e8274
niedergehauen,	w7_d438e8277
theils,	w9_d438e8280
was	w1_d438e8285
nicht	w3_d438e8288
zeitlich	w5_d438e8291
geflohen,	w7_d438e8294
zu	w9_d438e8297
Kriegs=ge	w11_d438e8300
fangenen	w1_d438e8305
gemacht.	w3_d438e8308
</p>
<head id="h2_d438e8314">
Paris	w1_d438e8318
18.	w3_d438e8321
März.	w5_d438e8324
</head>
<p id="p4_d438e8327">
Da	w1_d438e8331
die	w3_d438e8334
Registrirung	w5_d438e8337
der	w7_d438e8340
neuen	w9_d438e8343
Edicte	w11_d438e8346
so	w13_d438e8350
gut	w1_d438e8355
nach	w3_d438e8358
dem	w5_d438e8361
Willen	w7_d438e8364
des	w9_d438e8367
Hofes	w11_d438e8370
zu	w13_d438e8374
Stande	w15_d438e8377
gekommen	w1_d438e8382
ist,	w3_d438e8385
so	w5_d438e8388
wird	w7_d438e8391
selbiger	w9_d438e8394
nun	w11_d438e8397
auch	w13_d438e8401
in	w15_d438e8404
kurzem	w1_d438e8410
einen	w3_d438e8413
festen	w5_d438e8416
Plan	w7_d438e8419
zu	w9_d438e8422
dem	w11_d438e8425
bevorste	w13_d438e8429
henden	w1_d438e8434
Feld=zuge	w3_d438e8437
entwerfen.	w5_d438e8440
Auch	w7_d438e8443
ist	w9_d438e8446
be	w11_d438e8449
reits	w1_d438e8454
an	w3_d438e8457
alle	w5_d438e8460
Trupen,	w7_d438e8463
welche	w9_d438e8466
aus	w11_d438e8469
denen	w13_d438e8473
Garnisonen	w1_d438e8478
in	w3_d438e8481
Flandern	w5_d438e8484
zur	w7_d438e8487
Verstärkung	w9_d438e8490
der	w1_d438e8496
Armee	w3_d438e8499
des	w5_d438e8502
Marschalls	w7_d438e8505
von	w9_d438e8508
Broglie	w11_d438e8511
ge	w13_d438e8515
zogen	w1_d438e8520
werden	w3_d438e8523
sollen,	w5_d438e8526
die	w7_d438e8529
Ordre	w9_d438e8532
ergangen	w11_d438e8535
sich	w1_d438e8540
bey	w3_d438e8543
Valenciennes	w5_d438e8546
zu	w7_d438e8549
versammlen.	w9_d438e8552
Zu	w11_d438e8555
diesem	w1_d438e8560
Ende	w3_d438e8563
soll	w5_d438e8566
auch	w7_d438e8569
die	w9_d438e8572
Jrrländische	w11_d438e8575
Bri	w13_d438e8579
gade	w1_d438e8585
aus	w3_d438e8588
Dünkirchen,	w5_d438e8591
und	w7_d438e8594
das	w9_d438e8597
Regimen	w11_d438e8600
de	w1_d438e8605
Bourbonnois	w3_d438e8608
aus	w5_d438e8611
Ostende,	w7_d438e8614
bereits	w9_d438e8617
den	w11_d438e8620
Marsch	w1_d438e8625
nach	w3_d438e8628
Valenciennes	w5_d438e8631
angetretten	w7_d438e8634
ha	w9_d438e8637
ben.	w1_d438e8642
</p>
<p id="p6_d438e8645">
Laut	w1_d438e8649
Briefen	w3_d438e8652
von	w5_d438e8655
Marseille,	w7_d438e8658
hat	w9_d438e8661
ein	w11_d438e8664
Holländischer	w1_d438e8669
Schiffer,	w3_d438e8672
welcher	w5_d438e8675
daselbst	w7_d438e8678
an	w9_d438e8681
gekommen	w1_d438e8686
ist,	w3_d438e8689
die	w5_d438e8692
beyden	w7_d438e8695
Schiffe,	w9_d438e8698
le	w11_d438e8701
Tygre	w13_d438e8705
nes	w1_d438e8711
</p>
<p id="p10_d438e8716">
und	w1_d438e8720
le	w3_d438e8723
Chakeau	w5_d438e8726
du	w7_d438e8729
Pin,	w9_d438e8732
welche	w11_d438e8735
unlängst	w13_d438e8739
von	w1_d438e8744
da	w3_d438e8747
nach	w5_d438e8750
unsern	w7_d438e8753
Colonien	w9_d438e8756
in	w11_d438e8759
Amerira	w13_d438e8763
abgegangen	w1_d438e8768
sind,	w3_d438e8771
und	w5_d438e8774
viele	w7_d438e8777
Munition	w9_d438e8780
für	w11_d438e8783
Martinique	w1_d438e8789
an	w3_d438e8792
Bord	w5_d438e8795
haben,	w7_d438e8798
beym	w9_d438e8801
Ein	w11_d438e8804
gange	w1_d438e8809
der	w3_d438e8812
Strasse	w5_d438e8815
gesprochen.	w7_d438e8818
</p>
<p id="p12_d438e8822">
Aus	w1_d438e8826
dem	w3_d438e8829
Hafen	w5_d438e8832
von	w7_d438e8835
lOrient	w9_d438e8838
soll	w11_d438e8841
eine	w13_d438e8845
Königl.	w1_d438e8850
Fregatte	w3_d438e8853
nach	w5_d438e8856
Rochefort	w7_d438e8859
gehen,	w9_d438e8862
und	w11_d438e8865
zu	w1_d438e8870
denen	w3_d438e8873
2.	w5_d438e8876
Krieges=schiffen	w7_d438e8879
stossen,	w9_d438e8882
welche	w11_d438e8885
die	w1_d438e8891
Escadre	w3_d438e8894
des	w5_d438e8897
Herrn	w7_d438e8900
d'Ache	w9_d438e8903
in	w11_d438e8906
Ost=indien	w13_d438e8910
zu	w1_d438e8915
verstärken	w3_d438e8918
bestimmt	w5_d438e8921
sind.	w7_d438e8924
Auch	w9_d438e8927
mey	w11_d438e8930
nen	w1_d438e8935
einige,	w3_d438e8938
daß	w5_d438e8941
die	w7_d438e8944
Fregatten,	w9_d438e8947
la	w11_d438e8950
Mali	w13_d438e8954
cieuse	w1_d438e8959
und	w3_d438e8962
l'Opale,	w5_d438e8965
zu	w7_d438e8968
gleicher	w9_d438e8971
Zeit	w11_d438e8974
nach	w13_d438e8978
der	w1_d438e8984
Cüste	w3_d438e8987
von	w5_d438e8990
Coromandel	w7_d438e8993
unter	w9_d438e8996
Segel	w11_d438e8999
ge	w13_d438e9003
hen	w1_d438e9008
sollen.	w3_d438e9011
</p>
<p id="p14_d438e9014">
Madame	w1_d438e9018
de	w3_d438e9021
Marsan,	w5_d438e9024
Gouvernante	w7_d438e9027
der	w9_d438e9030
Prinzen	w1_d438e9035
und	w3_d438e9038
Prinzeßinnen	w5_d438e9041
von	w7_d438e9044
Frankreich,	w9_d438e9047
und	w1_d438e9052
Schwester	w3_d438e9055
des	w5_d438e9058
Marschalls	w7_d438e9061
Prinzens	w9_d438e9064
von	w11_d438e9067
Soubise,	w1_d438e9073
ligt	w3_d438e9076
gefährlich	w5_d438e9079
krank.	w7_d438e9082
Die	w9_d438e9085
Ge	w11_d438e9088
sundheit	w1_d438e9093
Sr.	w3_d438e9096
Königl.	w5_d438e9099
Hoheit	w7_d438e9102
des	w9_d438e9105
Herzoges	w11_d438e9108
von	w1_d438e9113
Bourgogne,	w3_d438e9116
ist	w5_d438e9119
noch	w7_d438e9122
sehr	w9_d438e9125
schwächlich.	w11_d438e9128
</p>
<head id="h2_d438e9135">
Stockholm	w1_d438e9139
14.	w3_d438e9142
März.	w5_d438e9145
</head>
<p id="p4_d438e9148">
Die	w1_d438e9152
Admiralität	w3_d438e9155
hat	w5_d438e9158
bekannt	w7_d438e9161
machen	w9_d438e9164
las	w11_d438e9167
sen:	w1_d438e9172
daß	w3_d438e9175
die	w5_d438e9178
Schwedischen	w7_d438e9181
Kauffardey	w9_d438e9184
schiffe,	w1_d438e9189
welche	w3_d438e9192
der	w5_d438e9195
Convoy	w7_d438e9198
zwischen	w9_d438e9201
Ham	w11_d438e9204
burg,	w1_d438e9210
dem	w3_d438e9213
Texel	w5_d438e9216
und	w7_d438e9219
der	w9_d438e9222
Ost=seite	w11_d438e9225
Englands	w13_d438e9229
geniessen	w1_d438e9234
wollen,	w3_d438e9237
den	w5_d438e9240
1.	w7_d438e9243
May	w9_d438e9246
im	w11_d438e9249
Sunde	w13_d438e9253
seyn	w1_d438e9258
müssen;	w3_d438e9261
daß	w5_d438e9264
der	w7_d438e9267
erste	w9_d438e9270
Termin	w11_d438e9273
der	w13_d438e9277
Convoy	w1_d438e9282
für	w3_d438e9285
die	w5_d438e9288
Kauffardey=schiffe,	w7_d438e9291
welche	w9_d438e9294
nach	w1_d438e9300
Lisabon	w3_d438e9303
und	w5_d438e9306
andern	w7_d438e9309
Portugiesischen	w9_d438e9312
Häfen,	w1_d438e9317
imgleichen	w3_d438e9320
nach	w5_d438e9323
Spanien	w7_d438e9326
und	w9_d438e9329
der	w11_d438e9332
Strasse	w1_d438e9337
gehen,	w3_d438e9340
auf	w5_d438e9343
die	w7_d438e9346
Mitte	w9_d438e9349
des	w11_d438e9352
May	w13_d438e9356
monats	w1_d438e9361
angesetzet	w3_d438e9364
sey,	w5_d438e9367
da	w7_d438e9370
die	w9_d438e9373
Schiffe	w11_d438e9376
sich	w13_d438e9380
im	w1_d438e9386
Sunde	w3_d438e9389
finden	w5_d438e9392
zu	w7_d438e9395
lassen	w9_d438e9398
haben;	w11_d438e9401
und	w13_d438e9405
daß	w15_d438e9408
beym	w1_d438e9413
Anfange	w3_d438e9416
des	w5_d438e9419
May	w7_d438e9422
die	w9_d438e9425
Convoy,	w11_d438e9428
der	w13_d438e9432
ren	w1_d438e9437
Bedeckung	w3_d438e9440
diejenigen	w5_d438e9443
Schiffe	w7_d438e9446
nutzen	w9_d438e9449
kön	w11_d438e9452
nen,	w1_d438e9457
die	w3_d438e9460
nach	w5_d438e9463
Jrrland,	w7_d438e9466
dem	w9_d438e9469
verkehrten	w11_d438e9472
Ca	w13_d438e9476
nal	w1_d438e9482
und	w3_d438e9485
den	w5_d438e9488
Französischen	w7_d438e9491
Bugten	w9_d438e9494
segeln,	w11_d438e9497
vom	w1_d438e9502
Sunde	w3_d438e9505
nach	w5_d438e9508
Dovns	w7_d438e9511
auslauffen	w9_d438e9514
werde.	w11_d438e9517
</p>
<head id="h2_d438e9523">
Güstrew	w1_d438e9527
17.	w3_d438e9530
März.	w5_d438e9533
</head>
<p id="p4_d438e9536">
Unsere	w1_d438e9540
Schweden	w3_d438e9543
sind	w5_d438e9546
alle	w7_d438e9549
wieder	w9_d438e9552
nach	w11_d438e9555
Pommern	w1_d438e9560
marschiret.	w3_d438e9563
Die	w5_d438e9566
Preußen	w7_d438e9569
aber	w9_d438e9572
haben	w1_d438e9577
ihr	w3_d438e9580
Lager	w5_d438e9583
bey	w7_d438e9586
Crien	w9_d438e9589
aufgehoben,	w11_d438e9592
und	w13_d438e9596
</p>
<p id="p6_d438e9599">
ihren	w1_d438e9603
Wetz	w3_d438e9606
auf	w5_d438e9609
Trepfold	w7_d438e9612
genommen,	w9_d438e9615
von	w11_d438e9618
da	w13_d438e9622
sie	w1_d438e9627
ihren	w3_d438e9630
Marsch	w5_d438e9633
nach	w7_d438e9636
Berlin	w9_d438e9639
fortsetzen.	w11_d438e9642
Sie	w1_d438e9647
verlangen	w3_d438e9650
indessen	w5_d438e9653
ihre	w7_d438e9656
aus	w9_d438e9659
diesen	w11_d438e9662
Lan	w13_d438e9666
den	w1_d438e9672
geforderte	w3_d438e9675
Recruten,	w5_d438e9678
auf	w7_d438e9681
den	w9_d438e9684
25.	w11_d438e9687
die	w13_d438e9691
ses	w1_d438e9696
unter	w3_d438e9699
harter	w5_d438e9702
Bedrohung,	w7_d438e9705
und	w9_d438e9708
die	w11_d438e9711
Schwe	w13_d438e9715
den	w1_d438e9720
verbieten	w3_d438e9723
es	w5_d438e9726
noch	w7_d438e9729
härter;	w9_d438e9732
weßfalls	w11_d438e9735
diese	w13_d438e9739
Lieferung	w1_d438e9744
wahrscheinlicher	w3_d438e9747
Weise	w5_d438e9750
unterblei	w7_d438e9753
ben	w1_d438e9759
wird.	w3_d438e9762
</p>
<head id="h2_d438e9768">
Aus	w1_d438e9772
dem	w3_d438e9775
Donabrückischen	w5_d438e9778
den	w7_d438e9781
16.	w1_d438e9786
März.	w3_d438e9789
</head>
<p id="p4_d438e9792">
Das	w1_d438e9796
hiesige	w3_d438e9799
Stift	w5_d438e9802
wird	w7_d438e9805
nun	w9_d438e9808
auch	w11_d438e9811
von	w13_d438e9815
denen	w1_d438e9820
Alliirten	w3_d438e9823
mit	w5_d438e9826
der	w7_d438e9829
Ausnahme	w9_d438e9832
der	w11_d438e9835
