<doc id="wr_1762-02-03" attrs="word" year="1762" month="02" day="03" corpus="2">
<head id="h2_d627e3760">
Madrit,	w1_d627e3764
Verschiedene	w3_d627e7394
Regimenter	w5_d627e7397
machten	w7_d627e7400
einen	w1_d627e7405
gleichmäßigen	w3_d627e7408
Vorschlag,	w5_d627e7411
von	w7_d627e7414
ihrem	w9_d627e7417
Solden	w1_d627e7423
in	w3_d627e7426
dieser	w5_d627e7429
Absicht,	w7_d627e7432
nachzulassen.	w9_d627e7435
Da	w11_d627e7438
aber	w1_d627e7443
Se.	w3_d627e7446
Majestät	w5_d627e7449
zur	w7_d627e7452
Aufmunterung	w9_d627e7455
des	w11_d627e7458
Militair=standes,	w1_d627e7463
sodann	w3_d627e7466
zu	w5_d627e7469
Unterhaltung	w7_d627e7472
deren	w1_d627e7477
Nothwendigkeiten	w3_d627e7480
in	w5_d627e7483
dem	w7_d627e7486
Krieg,	w9_d627e7489
ehen	w11_d627e7492
der	w1_d627e7498
auf	w3_d627e7501
die	w5_d627e7504
Vermehrung	w7_d627e7507
deren	w9_d627e7510
Besoldungen,	w11_d627e7513
dann	w1_d627e7518
auf	w3_d627e7521
einen	w5_d627e7524
Abzug,	w7_d627e7527
huldreichst	w9_d627e7530
bedacht	w11_d627e7533
sind;	w1_d627e7538
So	w3_d627e7541
sahen	w5_d627e7544
sie	w7_d627e7547
den	w9_d627e7550
besten	w11_d627e7553
Willen	w13_d627e7557
für	w15_d627e7560
die	w17_d627e7563
That	w1_d627e7568
selbst	w3_d627e7571
an,	w5_d627e7574
und	w7_d627e7577
liessen	w9_d627e7580
gedachten	w11_d627e7583
Regimen	w13_d627e7587
tern	w1_d627e7593
Jhre	w3_d627e7596
gnädigste	w5_d627e7599
Zufriedenheit	w7_d627e7602
darüber	w9_d627e7605
bezeugen.	w1_d627e7610
Das	w3_d627e7613
Kirchspiel	w5_d627e7616
von	w7_d627e7619
Susa,	w9_d627e7622
in	w11_d627e7625
der	w1_d627e7630
Landschaft	w3_d627e7633
von	w5_d627e7636
Maine,	w7_d627e7639
erbote	w9_d627e7642
sich	w11_d627e7645
auch	w13_d627e7649
zu	w1_d627e7654
einer	w3_d627e7657
Vermögen=steuer	w5_d627e7660
für	w7_d627e7663
den	w9_d627e7666
See=staat.	w11_d627e7669
Jedoch,	w1_d627e7675
Se.	w3_d627e7678
Majestät	w5_d627e7681
wolten,	w7_d627e7684
als	w9_d627e7687
ein	w11_d627e7690
Vat	w13_d627e7694
ter	w1_d627e7699
ihrer	w3_d627e7702
treuen	w5_d627e7705
Unterthanen,	w7_d627e7708
selbige	w9_d627e7711
mit	w11_d627e7714
kei	w13_d627e7718
nen	w1_d627e7723
neuen	w3_d627e7726
Abgaben	w5_d627e7729
belästigen.	w7_d627e7732
</p>
<head id="h2_d627e7739">
Genua	w1_d627e7743
9.	w3_d627e7746
Januarii.	w5_d627e7749
</head>
<p id="p4_d627e7752">
Es	w1_d627e7756
ist	w3_d627e7759
gewiß,	w5_d627e7762
daß	w7_d627e7765
in	w9_d627e7768
der	w11_d627e7771
ganzen	w13_d627e7775
Spa	w15_d627e7778
nischen	w1_d627e7783
Monarchie	w3_d627e7786
für	w5_d627e7789
die	w7_d627e7792
Trupen	w9_d627e7795
zu	w11_d627e7798
Lan	w13_d627e7802
de	w1_d627e7807
und	w3_d627e7810
zur	w5_d627e7813
See	w7_d627e7816
eifrig	w9_d627e7819
geworben	w11_d627e7822
wird,	w13_d627e7826
und	w15_d627e7829
an	w1_d627e7835
die	w3_d627e7838
Zeughäuser	w5_d627e7841
von	w7_d627e7844
Barcellona	w9_d627e7847
und	w11_d627e7850
Se	w13_d627e7854
villa	w1_d627e7859
ist	w3_d627e7862
die	w5_d627e7865
Ordre	w7_d627e7868
ergangen,	w9_d627e7871
2.	w11_d627e7874
grosse	w13_d627e7878
Züge	w15_d627e7881
schweren	w1_d627e7886
Geschützes,	w3_d627e7889
samt	w5_d627e7892
allem,	w7_d627e7895
was	w9_d627e7898
da	w11_d627e7901
zu	w1_d627e7906
gehöret,	w3_d627e7909
in	w5_d627e7912
Bereitschaft	w7_d627e7915
zu	w9_d627e7918
halten:	w11_d627e7921
in	w13_d627e7925
zwischen	w1_d627e7931
wartet	w3_d627e7934
der	w5_d627e7937
Hof	w7_d627e7940
von	w9_d627e7943
Madrit	w11_d627e7946
mit	w13_d627e7950
Ver	w15_d627e7953
langen	w1_d627e7958
auf	w3_d627e7961
die	w5_d627e7964
Ruckkunft	w7_d627e7967
des	w9_d627e7970
Curiers,	w11_d627e7973
wel	w13_d627e7977
cher	w1_d627e7982
den	w3_d627e7985
10ten	w5_d627e7988
passati	w7_d627e7991
nach	w9_d627e7994
Lisabon	w11_d627e7997
abgefer	w13_d627e8001
tiget	w1_d627e8006
worden,	w3_d627e8009
um	w5_d627e8012
das,	w7_d627e8015
was	w9_d627e8018
mit	w11_d627e8021
dem	w13_d627e8025
Groß	w15_d627e8028
Brittannischen	w1_d627e8034
Abgesandlen	w3_d627e8037
sich	w5_d627e8040
zugetragen,	w7_d627e8043
dahin	w1_d627e8048
zu	w3_d627e8051
überbringen,	w5_d627e8054
und	w7_d627e8057
von	w9_d627e8060
dem	w11_d627e8063
Portu	w13_d627e8067
gesischen	w1_d627e8072
eine	w3_d627e8075
Erklärung	w5_d627e8078
zu	w7_d627e8081
verlangen,	w9_d627e8084
was	w11_d627e8087
derselbe	w1_d627e8092
bey	w3_d627e8095
gegenwärtigen	w5_d627e8098
Conjuncturen	w7_d627e8101
zu	w9_d627e8104
thun	w1_d627e8110
gesinnet	w3_d627e8113
seyn	w5_d627e8116
möchte.	w7_d627e8119
Von	w9_d627e8122
Cadix	w11_d627e8125
schreibt	w1_d627e8130
man,	w3_d627e8133
daß	w5_d627e8136
allda	w7_d627e8139
ein	w9_d627e8142
General=pardon	w11_d627e8145
für	w1_d627e8150
alle	w3_d627e8153
See=leute	w5_d627e8156
publiciret	w7_d627e8159
worden	w9_d627e8162
seye,	w11_d627e8165
welche	w1_d627e8170
seit	w3_d627e8173
dem	w5_d627e8176
Jahr	w7_d627e8179
1744.	w9_d627e8182
desertiret;	w11_d627e8185
es	w13_d627e8189
</p>
<p id="p10_d627e8202">
sollen	w1_d627e8206
alle	w3_d627e8209
derselben	w5_d627e8212
Schulden	w7_d627e8215
bezahlet	w9_d627e8218
wer	w11_d627e8221
den,	w1_d627e8226
welche	w3_d627e8229
vor	w5_d627e8232
der	w7_d627e8235
Desertion	w9_d627e8238
gemachet	w11_d627e8241
worden.	w1_d627e8246
</p>
<head id="h2_d627e8252">
Ostende	w1_d627e8256
18.	w3_d627e8259
Jan.	w5_d627e8262
</head>
<p id="p4_d627e8265">
Am	w1_d627e8269
Freytag	w3_d627e8272
brachte	w5_d627e8275
ein	w7_d627e8278
Dünkircherca	w9_d627e8281
per	w1_d627e8286
ein	w3_d627e8289
von	w5_d627e8292
Belle=Jsle	w7_d627e8295
nach	w9_d627e8298
England	w11_d627e8301
aus	w13_d627e8305
gelaufenes	w1_d627e8310
Transport=schiff,	w3_d627e8313
wovon	w5_d627e8316
die	w7_d627e8319
Mannschaft	w1_d627e8325
in	w3_d627e8328
Frankreich	w5_d627e8331
aus	w7_d627e8334
Land	w9_d627e8337
gese	w11_d627e8340
tzet	w1_d627e8345
worden,	w3_d627e8348
dahier	w5_d627e8351
ein.	w7_d627e8354
Es	w9_d627e8357
war	w11_d627e8360
durch	w13_d627e8364
Sturm	w1_d627e8369
von	w3_d627e8372
seinen	w5_d627e8375
Ankern	w7_d627e8378
loßgerissen	w9_d627e8381
wor	w11_d627e8384
den.	w1_d627e8389
Eben	w3_d627e8392
dieser	w5_d627e8395
Caper	w7_d627e8398
hat	w9_d627e8401
noch	w11_d627e8404
ein	w13_d627e8408
an	w15_d627e8411
deres	w1_d627e8417
Englisches	w3_d627e8420
Schiff	w5_d627e8423
mit	w7_d627e8426
Truppen	w9_d627e8429
weg	w11_d627e8432
genommen	w1_d627e8437
und	w3_d627e8440
in	w5_d627e8443
einen	w7_d627e8446
Französischen	w9_d627e8449
Ha	w11_d627e8452
fen	w1_d627e8457
eingebracht.	w3_d627e8460
Auf	w5_d627e8463
beeden	w7_d627e8466
haben	w9_d627e8469
sich	w11_d627e8472
auf	w1_d627e8477
700.	w3_d627e8480
Mann	w5_d627e8483
von	w7_d627e8486
der	w9_d627e8489
gewesenen	w11_d627e8492
Belle	w13_d627e8496
Jsleischen	w1_d627e8502
Garnison	w3_d627e8505
befunden.	w5_d627e8508
Man	w7_d627e8511
will	w9_d627e8514
auch	w1_d627e8519
wissen,	w3_d627e8522
daß	w5_d627e8525
mehrere	w7_d627e8528
dergleichen	w9_d627e8531
Fahr	w11_d627e8534
zeuge	w1_d627e8539
durch	w3_d627e8542
Sturm	w5_d627e8545
verschlagen,	w7_d627e8548
und	w9_d627e8551
so	w11_d627e8554
gar	w1_d627e8559
bis	w3_d627e8562
auf	w5_d627e8565
die	w7_d627e8568
Spanische	w9_d627e8571
Küsten	w11_d627e8574
getrie	w13_d627e8578
ben	w1_d627e8584
worden.	w3_d627e8587
Wann	w5_d627e8590
denen	w7_d627e8593
Briefen	w9_d627e8596
von	w11_d627e8599
Port=Louis	w1_d627e8604
und	w3_d627e8607
Nantes	w5_d627e8610
zu	w7_d627e8613
glauben,	w9_d627e8616
so	w11_d627e8619
sollen	w1_d627e8624
die	w3_d627e8627
Engländer	w5_d627e8630
die	w7_d627e8633
Jnsul	w9_d627e8636
Belle=Jsle	w11_d627e8639
nunmehro	w1_d627e8644
würklich	w3_d627e8647
verlassen	w5_d627e8650
haben.	w7_d627e8653
</p>
<head id="h2_d627e8659">
Haag	w1_d627e8663
22.	w3_d627e8666
Jenner.	w5_d627e8669
</head>
<p id="p4_d627e8672">
Die	w1_d627e8676
Herren	w3_d627e8679
General=staaten	w5_d627e8682
haben	w7_d627e8685
von	w9_d627e8688
ihrem	w1_d627e8693
Abgesandten	w3_d627e8696
zu	w5_d627e8699
London,	w7_d627e8702
dem	w9_d627e8705
Herrn	w11_d627e8708
welche	w1_d627e8713
das	w3_d627e8716
Boreel	w1_d627e8722
die	w3_d627e8725
Antwort	w5_d627e8728
erhalten,	w7_d627e8731
Englische	w1_d627e8736
Ministerium	w3_d627e8739
auf	w5_d627e8742
die	w7_d627e8745
Resolution	w9_d627e8748
ihrer	w1_d627e8753
Hochmögenden,	w3_d627e8756
wegen	w5_d627e8759
der	w7_d627e8762
Affaire	w9_d627e8765
von	w11_d627e8768
Bengalen,	w1_d627e8773
ertheilet	w3_d627e8776
hat.	w5_d627e8779
Diese	w7_d627e8782
Antwort	w9_d627e8785
ist	w1_d627e8791
sehr	w3_d627e8794
günstig,	w5_d627e8797
und	w7_d627e8800
folgenden	w9_d627e8803
Jnhalts:	w11_d627e8806
„Seine	w1_d627e8811
Groß=britannische	w3_d627e8814
Majestät	w5_d627e8817
wären	w7_d627e8820
ungehalten	w1_d627e8825
darauf,	w3_d627e8828
daß	w5_d627e8831
einige	w7_d627e8834
von	w9_d627e8837
Dero	w11_d627e8840
Unterthanen	w1_d627e8845
Jhren	w3_d627e8848
Hochmögenden	w5_d627e8851
Gelegen	w7_d627e8854
heit	w1_d627e8860
gegeben	w3_d627e8863
hätten,	w5_d627e8866
sich	w7_d627e8869
über	w9_d627e8872
deren	w11_d627e8875
Auffüh	w13_d627e8879
rung	w1_d627e8884
gegen	w3_d627e8887
die	w5_d627e8890
Holländische	w7_d627e8893
Ostindische	w9_d627e8896
Com	w11_d627e8899
pagnie	w1_d627e8904
zu	w3_d627e8907
beklagen.	w5_d627e8910
Allerhöchst=dieselben	w7_d627e8913
würden	w1_d627e8918
sofort	w3_d627e8921
den	w5_d627e8924
Bedienten	w7_d627e8927
der	w9_d627e8930
Englän	w11_d627e8933
disch=Ostindischen	w1_d627e8939
Compagnie	w3_d627e8942
die	w5_d627e8945
nöhtige	w7_d627e8948
Ordres	w1_d627e8953
zusenden,	w3_d627e8956
alle	w5_d627e8959
Extorsionen,	w7_d627e8962
Be	w9_d627e8965
schwerden	w1_d627e8970
und	w3_d627e8973
Hindernüsse,	w5_d627e8976
welche	w7_d627e8979
dem	w9_d627e8982
Han	w11_d627e8985
del	w1_d627e8990
der	w3_d627e8993
Holländischen	w5_d627e8996
Kaufleute	w7_d627e8999
in	w9_d627e9002
Ostindien	w11_d627e9005
hinderlich	w1_d627e9011
fallen	w3_d627e9014
mögten,	w5_d627e9017
aus	w7_d627e9020
dem	w9_d627e9023
Wege	w11_d627e9026
zu	w13_d627e9030
</p>
<p id="p6_d627e9033">
raumen,	w1_d627e9037
und	w3_d627e9040
künftighin	w5_d627e9043
mit	w7_d627e9046
den	w9_d627e9049
Bedienten	w11_d627e9052
der	w1_d627e9057
Holländisch=Ostindischen	w3_d627e9060
Compagnie	w5_d627e9063
in	w1_d627e9068
guten	w3_d627e9071
Vernehmen	w5_d627e9074
zu	w7_d627e9077
leben.	w9_d627e9080
Seine	w11_d627e9083
Ma	w13_d627e9087
jestät	w1_d627e9093
wollten	w3_d627e9096
überdas	w5_d627e9099
die	w7_d627e9102
Beschwerden	w9_d627e9105
auf	w11_d627e9108
das	w1_d627e9113
genaueste	w3_d627e9116
untersuchen	w5_d627e9119
lassen,	w7_d627e9122
welche	w9_d627e9125
Jh	w11_d627e9128
re	w1_d627e9133
Hochmögenden	w3_d627e9136
in	w5_d627e9139
Jhrer	w7_d627e9142
Resolution	w9_d627e9145
führ	w11_d627e9148
ten,	w1_d627e9153
um	w3_d627e9156
die	w5_d627e9159
Schuldigen	w7_d627e9162
exemplarisch	w9_d627e9165
zu	w11_d627e9168
be	w13_d627e9172
straffen,	w1_d627e9178
und	w3_d627e9181
denen	w5_d627e9184
Herren	w7_d627e9187
General=staaten	w9_d627e9190
eine	w1_d627e9195
anständige	w3_d627e9198
Genugthuung	w5_d627e9201
zu	w7_d627e9204
verschaffen.	w9_d627e9207
Seiner	w1_d627e9212
Majestät	w3_d627e9215
Absicht	w5_d627e9218
sey	w7_d627e9221
es	w9_d627e9224
jetzt,	w11_d627e9227
und	w13_d627e9231
wä	w15_d627e9234
re	w1_d627e9239
es	w3_d627e9242
stäts	w5_d627e9245
gewesen,	w7_d627e9248
die	w9_d627e9251
Freundschaft	w11_d627e9254
und	w13_d627e9258
das	w1_d627e9264
gute	w3_d627e9267
Vernehme/	w5_d627e9270
mit	w7_d627e9273
Jhren	w9_d627e9276
Hochmögen	w11_d627e9279
den	w1_d627e9284
zu	w3_d627e9287
erhalten,	w5_d627e9290
und	w7_d627e9293
hiervon	w9_d627e9296
die	w11_d627e9299
überzeu	w13_d627e9303
gendsten	w1_d627e9308
Beweise	w3_d627e9311
zu	w5_d627e9314
geben.”	w7_d627e9317
Die	w1_d627e9322
Pro	w3_d627e9325
vinzen	w1_d627e9331
Geldern	w3_d627e9334
und	w5_d627e9337
Oberyssel	w7_d627e9340
dringen	w9_d627e9343
stark	w11_d627e9346
auf	w1_d627e9351
eine	w3_d627e9354
Vermehrung	w5_d627e9357
der	w7_d627e9360
Landmacht	w9_d627e9363
des	w11_d627e9366
Staats,	w1_d627e9371
als	w3_d627e9374
welche	w5_d627e9377
bey	w7_d627e9380
den	w9_d627e9383
jetzigen	w11_d627e9386
Zeit	w13_d627e9390
läuften	w1_d627e9395
unumgänglich	w3_d627e9398
nöhtig	w5_d627e9401
sey.	w7_d627e9404
Eben	w1_d627e9410
diese	w1_d627e9415
Sache	w3_d627e9418
ist	w5_d627e9421
von	w7_d627e9424
den	w9_d627e9427
Staaten	w11_d627e9430
der	w13_d627e9434
Pro	w15_d627e9437
vinz	w1_d627e9442
Holland	w3_d627e9445
in	w5_d627e9448
Ueberlegung	w7_d627e9451
gezogen,	w9_d627e9454
und	w1_d627e9459
man	w3_d627e9462
glaubt,	w5_d627e9465
daß	w7_d627e9468
sie	w9_d627e9471
bejahend	w11_d627e9474
entschie	w13_d627e9478
den	w1_d627e9484
werden	w3_d627e9487
wird,	w5_d627e9490
wann	w7_d627e9493
anderst	w9_d627e9496
die	w11_d627e9499
Conföde	w13_d627e9503
rirten	w1_d627e9508
nur	w3_d627e9511
in	w5_d627e9514
die	w7_d627e9517
Vermehrung	w9_d627e9520
der	w11_d627e9523
See=macht	w13_d627e9527
mit	w1_d627e9532
20.	w3_d627e9535
Kriegs=schiffen	w5_d627e9538
willigen	w7_d627e9541
wollen.	w9_d627e9544
Man	w1_d627e9549
redet	w3_d627e9552
von	w5_d627e9555
2.	w7_d627e9558
Vorschlägen,	w9_d627e9561
welche	w11_d627e9564
de	w13_d627e9568
nen	w1_d627e9574
Staaten	w3_d627e9577
von	w5_d627e9580
Holland,	w7_d627e9583
wegen	w9_d627e9586
einer	w11_d627e9589
Tru	w13_d627e9593
pen=vermehrung	w1_d627e9598
geschehen	w3_d627e9601
seyn	w5_d627e9604
sollen.	w7_d627e9607
Der	w9_d627e9610
eine	w1_d627e9615
betrift	w3_d627e9618
die	w5_d627e9621
Vermehrung	w7_d627e9624
einer	w9_d627e9627
jeden	w11_d627e9630
Com	w13_d627e9634
pagnie	w1_d627e9639
mit	w3_d627e9642
16.	w5_d627e9645
Mann,	w7_d627e9648
welche	w9_d627e9651
aus	w11_d627e9654
9448.	w13_d627e9658
Mann	w1_d627e9664
Jnfanteristen,	w3_d627e9667
3552.	w5_d627e9670
Cavalleristen	w7_d627e9673
und	w1_d627e9678
Dragonern,	w3_d627e9681
zusammen	w5_d627e9684
13000.	w7_d627e9687
Mann,	w9_d627e9690
bestehen	w1_d627e9695
würde.	w3_d627e9698
Der	w5_d627e9701
zweyte	w7_d627e9704
Vorschlag	w9_d627e9707
ge	w11_d627e9710
het	w1_d627e9715
dahin,	w3_d627e9718
Trupen	w5_d627e9721
von	w7_d627e9724
verschiedenen	w9_d627e9727
Reichs	w11_d627e9730
fürsten	w1_d627e9736
in	w3_d627e9739
Dienste	w5_d627e9742
zu	w7_d627e9745
nehmen.	w9_d627e9748
Man	w11_d627e9751
weiß	w13_d627e9755
indessen	w1_d627e9760
noch	w3_d627e9763
nicht,	w5_d627e9766
welcher	w7_d627e9769
von	w9_d627e9772
beyden	w11_d627e9775
werde	w1_d627e9780
gebilliget	w3_d627e9783
werden.	w5_d627e9786
</p>
<head id="h2_d627e9792">
Hannover	w1_d627e9796
16.	w3_d627e9799
Jan.	w5_d627e9802
</head>
<p id="p4_d627e9805">
Zufolge	w1_d627e9809
Londner	w3_d627e9812
Briefen	w5_d627e9815
wird	w7_d627e9818
die	w9_d627e9821
alli	w11_d627e9824
irte	w1_d627e9829
Armee	w3_d627e9832
der	w5_d627e9835
bereits	w7_d627e9838
vorigen	w9_d627e9841
Jahrs	w11_d627e9844
ver	w13_d627e9848
sprochenen	w1_d627e9853
Verstärkung	w3_d627e9856
auch	w5_d627e9859
für	w7_d627e9862
den	w9_d627e9865
künf	w11_d627e9868
tegen	w1_d627e9874
Feldzug,	w3_d627e9877
nicht	w5_d627e9880
nur	w7_d627e9883
entbehren,	w9_d627e9886
son	w11_d627e9889
dern	w1_d627e9894
auch	w3_d627e9897
von	w5_d627e9900
der	w7_d627e9903
jetzt	w9_d627e9906
bestehenden	w11_d627e9909
Macht	w13_d627e9913
</p>
<p id="p10_d627e9926">
noch	w1_d627e9930
vieles	w3_d627e9933
verlieren,	w5_d627e9936
und	w7_d627e9939
also	w9_d627e9942
nur	w11_d627e9945
defen	w13_d627e9949
sive	w1_d627e9954
gehen	w3_d627e9957
müssen.	w5_d627e9960
Allem	w7_d627e9963
Ansehen	w9_d627e9966
nach	w11_d627e9969
wird	w1_d627e9974
sich	w3_d627e9977
auch	w5_d627e9980
der	w7_d627e9983
König	w9_d627e9986
von	w11_d627e9989
Preussen	w13_d627e9993
der	w1_d627e9999
jährlich	w3_d627e10002
aus	w5_d627e10005
England	w7_d627e10008
ordentlich	w9_d627e10011
erhal	w11_d627e10014
tener	w1_d627e10019
Subsidien	w3_d627e10022
von	w5_d627e10025
1.	w7_d627e10028
Million	w9_d627e10031
Liv.	w11_d627e10034
Ster	w13_d627e10038
ling	w1_d627e10043
nun	w3_d627e10046
fürs	w5_d627e10049
künftige	w7_d627e10052
beraubet	w9_d627e10055
sehen.	w11_d627e10058
Dieß	w1_d627e10063
wird	w3_d627e10066
der	w5_d627e10069
erste	w7_d627e10072
Artikel	w9_d627e10075
seyn,	w11_d627e10078
so	w13_d627e10082
bey	w15_d627e10085
dem	w1_d627e10091
nächsten	w3_d627e10094
Parlaments=sitz	w5_d627e10097
in	w7_d627e10100
Beraht	w9_d627e10103
schlagung	w1_d627e10108
wird	w3_d627e10111
gezogen	w5_d627e10114
werden;	w7_d627e10117
dann	w9_d627e10120
auch	w11_d627e10123
unsre	w1_d627e10128
Alliirte	w3_d627e10131
von	w5_d627e10134
dem	w7_d627e10137
uns	w9_d627e10140
über	w11_d627e10143
den	w13_d627e10147
Halß	w15_d627e10150
gekommenen	w1_d627e10155
neuen	w3_d627e10158
Krieg	w5_d627e10161
nicht	w7_d627e10164
unfühlbar	w9_d627e10167
verbleiben	w1_d627e10173
können;	w3_d627e10176
maßen	w5_d627e10179
wir,	w7_d627e10182
um	w9_d627e10185
Spa	w11_d627e10188
nien	w1_d627e10193
die	w3_d627e10196
Spitze	w5_d627e10199
zu	w7_d627e10202
bieten,	w9_d627e10205
noch	w11_d627e10208
einmal	w13_d627e10212
so	w15_d627e10215
viele	w1_d627e10220
Unkösten	w3_d627e10223
aufwenden	w5_d627e10226
müssen.	w7_d627e10229
</p>
<head id="h2_d627e10235">
Aus	w1_d627e10239
Sachsen	w3_d627e10242
28.	w5_d627e10245
Jenner.	w7_d627e10248
</head>
<p id="p4_d627e10251">
Der	w1_d627e10255
Feind	w3_d627e10258
hat	w5_d627e10261
sich	w7_d627e10264
aus	w9_d627e10267
dem	w11_d627e10270
Altenburgi	w13_d627e10274
schen	w1_d627e10279
und	w3_d627e10282
Naumburgischen	w5_d627e10285
völlig	w7_d627e10288
zurück	w9_d627e10291
ge	w11_d627e10294
zogen:	w1_d627e10299
Der	w3_d627e10302
Hr.	w5_d627e10305
General	w7_d627e10308
Campitelli	w9_d627e10311
steht	w11_d627e10314
nun	w1_d627e10320
wieder	w3_d627e10323
zu	w5_d627e10326
Zeitz,	w7_d627e10329
und	w9_d627e10332
seine	w11_d627e10335
Patrouillen	w13_d627e10339
gehen	w1_d627e10344
bis	w3_d627e10347
in	w5_d627e10350
das	w7_d627e10353
Herzogtum	w9_d627e10356
Weissenfels.	w11_d627e10359
Die	w1_d627e10364
Preussen	w3_d627e10367
haben	w5_d627e10370
vor	w7_d627e10373
3	w9_d627e10376
Tagen	w11_d627e10379
bey	w13_d627e10383
Dö	w15_d627e10386
beln	w1_d627e10391
über	w3_d627e10394
die	w5_d627e10397
Mulda	w7_d627e10400
gesetzt,	w9_d627e10403
um	w11_d627e10406
gegen	w13_d627e10410
die	w15_d627e10413
diesseitigen	w1_d627e10419
Vorposten	w3_d627e10422
etwas	w5_d627e10425
zu	w7_d627e10428
unterneh	w9_d627e10431
men:	w1_d627e10436
sie	w3_d627e10439
haben	w5_d627e10442
sich	w7_d627e10445
aber,	w9_d627e10448
da	w11_d627e10451
alles	w13_d627e10455
in	w15_d627e10458
gu	w17_d627e10461
ter	w1_d627e10466
Bereitschaft	w3_d627e10469
war,	w5_d627e10472
sie	w7_d627e10475
zu	w9_d627e10478
empfangen,	w11_d627e10481
gar	w13_d627e10485
bald	w1_d627e10490
wieder	w3_d627e10493
über	w5_d627e10496
den	w7_d627e10499
Fluß	w9_d627e10502
zurück	w11_d627e10505
begeben.	w13_d627e10509
Gestern	w1_d627e10515
sind	w3_d627e10518
80.	w5_d627e10521
Preußische	w7_d627e10524
Soldaten	w9_d627e10527
mit	w11_d627e10530
Ober	w1_d627e10535
und	w3_d627e10538
Unter=gewehr,	w5_d627e10541
samt	w7_d627e10544
2.	w9_d627e10547
Sergean	w11_d627e10550
ten,	w1_d627e10555
welche	w3_d627e10558
sie	w5_d627e10561
führeten,	w7_d627e10564
auf	w9_d627e10567
einmal	w11_d627e10570
zu	w13_d627e10574
uns	w15_d627e10577
hierüber	w1_d627e10582
getretten.	w3_d627e10585
</p>
<head id="h2_d627e10591">
Wien	w1_d627e10595
den	w3_d627e10598
3.	w5_d627e10601
Februarii	w7_d627e10604
1762.	w9_d627e10607
</head>
<p id="p4_d627e10610">
SAmstags	w1_d627e10614
den	w3_d627e10617
30.	w5_d627e10620
Januarii	w7_d627e10623
seynd	w9_d627e10626
in	w11_d627e10629
der	w13_d627e10633
Kaiserl.	w1_d627e10638
Cammer=kapelle	w3_d627e10641
für	w5_d627e10644
die	w7_d627e10647
Hoch	w9_d627e10650
adeliche	w1_d627e10655
Stern=kreutz=ordens=dame	w3_d627e10658
(Titl.)	w5_d627e10661
Frau	w1_d627e10667
Emahzuela	w3_d627e10670
Gräfin	w5_d627e10673
von	w7_d627e10676
Monte	w9_d627e10679
Santo,	w11_d627e10682
Marchesin	w1_d627e10687
von	w3_d627e10690
Villaser,	w5_d627e10693
welche	w7_d627e10696
alhier	w9_d627e10699
den	w11_d627e10702
20.	w1_d627e10707
Jenner	w3_d627e10710
dies	w5_d627e10713
Jahrs	w7_d627e10716
in	w9_d627e10719
GOtt	w11_d627e10722
seelig	w13_d627e10726
ver	w15_d627e10729
schieden,	w1_d627e10734
die	w3_d627e10737
Exequien	w5_d627e10740
gehalten	w7_d627e10743
worden.	w9_d627e10746
</p>
<p id="p6_d627e10749">
Sonntags	w1_d627e10753
den	w3_d627e10756
31.	w5_d627e10759
Jan.	w7_d627e10762
legte	w9_d627e10765
der	w11_d627e10768
(Titl.	w13_d627e10772
Herr	w1_d627e10777
Feld	w3_d627e10780
marschall	w5_d627e10783
Graf	w7_d627e10786
Leopold	w9_d627e10789
von	w11_d627e10792
Daun,	w13_d627e10796
Ritter	w1_d627e10801
des	w3_d627e10804
goldenen	w5_d627e10807
Vliesses,	w7_d627e10810
und	w9_d627e10813
Groß=creutz	w11_d627e10816
</p>
<p id="p8_d627e10819">
des	w1_d627e10823
militarischen	w3_d627e10826
Mariä	w5_d627e10829
Theresiä=ordens,	w7_d627e10832
erstlich	w1_d627e10837
bey	w3_d627e10840
Sr.	w5_d627e10843
Majest.	w7_d627e10846
dem	w9_d627e10849
Kaiser,	w11_d627e10852
als	w13_d627e10856
Dero	w1_d627e10861
Kaiserl.	w3_d627e10864
Hofkriegsrahtspräsi	w5_d627e10867
dent,	w1_d627e10873
und	w3_d627e10876
dann	w5_d627e10879
nach	w7_d627e10882
der	w9_d627e10885
Hand	w11_d627e10888
bey	w13_d627e10892
Jhro	w15_d627e10895
Majest.	w1_d627e10900
der	w3_d627e10903
Kaiserin	w5_d627e10906
Königin,	w7_d627e10909
als	w9_d627e10912
auch	w11_d627e10915
Dero	w13_d627e10919
K.	w1_d627e10924
K.	w3_d627e10927
Hof=kriegs=rahts=präsident	w5_d627e10930
die	w7_d627e10933
Ei	w9_d627e10936
des=pflichten	w1_d627e10941
ab,	w3_d627e10944
und	w5_d627e10947
wurde	w7_d627e10950
hierauf	w9_d627e10953
von	w11_d627e10956
dem	w1_d627e10962
Kaiserl.	w3_d627e10965
und	w5_d627e10968
Kaiserl.	w7_d627e10971
Königl.	w9_d627e10974
ersten	w11_d627e10977
Herrn	w1_d627e10982
obristen	w3_d627e10985
Hof=meistern	w5_d627e10988
Grafen	w7_d627e10991
von	w9_d627e10994
Ulfeld	w1_d627e10999
in	w3_d627e11002
die	w5_d627e11005
Hof=kriegs=canzley	w7_d627e11008
mit	w9_d627e11011
dem	w11_d627e11014
gewöhnlichen	w1_d627e11019
Ceremoniel	w3_d627e11022
introduciret,	w5_d627e11025
und	w7_d627e11028
