<doc id="wr_1761-05-20" attrs="word" year="1761" month="05" day="20" corpus="2">
<head id="h2_d554e2562">
Mayland	w1_d554e2566
2.	w1_d554e6227
die	w3_d554e6230
erste	w5_d554e6233
Compagnie	w7_d554e6236
von	w9_d554e6239
denen	w11_d554e6242
Mous	w13_d554e6246
quetairs	w1_d554e6251
des	w3_d554e6254
Königs,	w5_d554e6257
und	w7_d554e6260
heute	w9_d554e6263
die	w11_d554e6266
zweyte.	w13_d554e6270
Der	w1_d554e6275
Prinz	w3_d554e6278
Conde,	w5_d554e6281
so	w7_d554e6284
diesem	w9_d554e6287
Feld=zug	w11_d554e6290
unter	w13_d554e6294
dem	w1_d554e6299
Marschallen	w3_d554e6302
Prinzen	w5_d554e6305
von	w7_d554e6308
Soubise	w9_d554e6311
mit	w11_d554e6314
machen	w1_d554e6320
wird,	w3_d554e6323
kame	w5_d554e6326
ebenfalls	w7_d554e6329
vorgestern	w9_d554e6332
al	w11_d554e6335
hier	w1_d554e6340
an,	w3_d554e6343
und	w5_d554e6346
reisete	w7_d554e6349
alsobald	w9_d554e6352
nach	w11_d554e6355
gewechsel	w13_d554e6359
ten	w1_d554e6364
Pferden,	w3_d554e6367
wiederum	w5_d554e6370
nacher	w7_d554e6373
Lonvain	w9_d554e6376
ab.	w11_d554e6379
Diese	w1_d554e6384
Armee	w3_d554e6387
wird	w5_d554e6390
wegen	w7_d554e6393
dem	w9_d554e6396
zu	w11_d554e6399
Wesel	w13_d554e6403
sich	w15_d554e6406
ereigneten	w1_d554e6412
Brand	w3_d554e6415
vor	w5_d554e6418
dem	w7_d554e6421
15.	w9_d554e6424
dieses	w11_d554e6427
nicht	w13_d554e6431
im	w1_d554e6436
Stande	w3_d554e6439
seyn	w5_d554e6442
zu	w7_d554e6445
agiren.	w9_d554e6448
Mehr	w11_d554e6451
dann	w13_d554e6455
10000.	w1_d554e6460
Mann,	w3_d554e6463
über	w5_d554e6466
das	w7_d554e6469
Königl.	w9_d554e6472
Haus,	w11_d554e6475
und	w1_d554e6480
die	w3_d554e6483
Schweitzer=garden,	w5_d554e6486
so	w7_d554e6489
einen	w9_d554e6492
Theil	w11_d554e6495
da	w13_d554e6499
von	w1_d554e6505
ausmachen	w3_d554e6508
sollten,	w5_d554e6511
werden	w7_d554e6514
nicht	w9_d554e6517
ehender	w11_d554e6520
das	w1_d554e6525
Lücker=lande	w3_d554e6528
verlassen,	w5_d554e6531
als	w7_d554e6534
bis	w9_d554e6537
die	w11_d554e6540
von	w13_d554e6544
denen	w1_d554e6549
Flammen	w3_d554e6552
verzehrte	w5_d554e6555
Magazine	w7_d554e6558
wiede	w9_d554e6561
rum	w1_d554e6566
hergestellet	w3_d554e6569
seyn	w5_d554e6572
werden,	w7_d554e6575
übrigens	w9_d554e6578
glau	w11_d554e6581
bet	w1_d554e6587
man,	w3_d554e6590
daß	w5_d554e6593
diese	w7_d554e6596
Armee	w9_d554e6599
ihre	w11_d554e6602
Operationen	w13_d554e6606
mit	w1_d554e6611
der	w3_d554e6614
Befreyung	w5_d554e6617
Münster	w7_d554e6620
anfangen	w9_d554e6623
werde.	w11_d554e6626
</p>
<p id="p8_d554e6629">
Die	w1_d554e6633
wiederholte	w3_d554e6636
Unternehmung	w5_d554e6639
deren	w7_d554e6642
Engländern	w1_d554e6647
gegen	w3_d554e6650
die	w5_d554e6653
Jnsul	w7_d554e6656
Belle=isle,	w9_d554e6659
zu	w11_d554e6662
einer	w1_d554e6667
Zeit,	w3_d554e6670
da	w5_d554e6673
der	w7_d554e6676
Congreß	w9_d554e6679
alschon	w11_d554e6682
fest	w13_d554e6686
ge	w15_d554e6689
setzet,	w1_d554e6695
und	w3_d554e6698
da	w5_d554e6701
man	w7_d554e6704
nunmehro	w9_d554e6707
an	w11_d554e6710
einem	w13_d554e6714
all	w15_d554e6717
gemeinen	w1_d554e6722
Waffen=stillstande	w3_d554e6725
arbeitet,	w5_d554e6728
schei	w7_d554e6731
net	w1_d554e6736
dem	w3_d554e6739
Französischen	w5_d554e6742
Hof	w7_d554e6745
ein	w9_d554e6748
grosses	w11_d554e6751
Miß	w13_d554e6755
vergnügen	w1_d554e6760
zu	w3_d554e6763
verursachen,	w5_d554e6766
welcher	w7_d554e6769
doch,	w9_d554e6772
un	w11_d554e6775
geachtet	w1_d554e6781
seiner	w3_d554e6784
Ueberlegenheit	w5_d554e6787
in	w7_d554e6790
Teutschland	w9_d554e6793
bishero	w1_d554e6798
mit	w3_d554e6801
denen	w5_d554e6804
Operationen	w7_d554e6807
innen	w9_d554e6810
ge	w11_d554e6813
halten.	w1_d554e6818
</p>
<head id="h2_d554e6824">
Nieder=elbe	w1_d554e6828
4.	w3_d554e6831
May.	w5_d554e6834
</head>
<p id="p4_d554e6837">
Aus	w1_d554e6841
einem	w3_d554e6844
Schreiben	w5_d554e6847
aus	w7_d554e6850
der	w9_d554e6853
Gegens	w11_d554e6856
bey	w1_d554e6861
der	w3_d554e6864
Mündung	w5_d554e6867
der	w7_d554e6870
Weser	w9_d554e6873
vom	w11_d554e6876
gestrigen	w13_d554e6880
Dato	w1_d554e6885
hat	w3_d554e6888
man	w5_d554e6891
heut	w7_d554e6894
die	w9_d554e6897
Nachricht	w11_d554e6900
erhalten,	w13_d554e6904
daß	w15_d554e6907
vorgestern	w1_d554e6913
als	w3_d554e6916
den	w5_d554e6919
2.	w7_d554e6922
dieses,	w9_d554e6925
abermals	w11_d554e6928
ein	w13_d554e6932
Englischer	w1_d554e6937
Trupen=transport	w3_d554e6940
angelanget	w5_d554e6943
</p>
<p id="p10_d554e6956">
seye,	w1_d554e6960
und	w3_d554e6963
bey	w5_d554e6966
2500.	w7_d554e6969
Cavalleristen,	w9_d554e6972
nebst	w11_d554e6975
ihren	w1_d554e6980
Pferden	w3_d554e6983
aus	w5_d554e6986
Land	w7_d554e6989
gesetzet	w9_d554e6992
haben	w11_d554e6995
</p>
<head id="h2_d554e7001">
Warschau	w1_d554e7005
27.	w3_d554e7008
April.	w5_d554e7011
</head>
<p id="p4_d554e7014">
Der	w1_d554e7018
Herr	w3_d554e7021
Primas	w5_d554e7024
von	w7_d554e7027
Pohlen	w9_d554e7030
langte	w11_d554e7033
den	w13_d554e7037
13.	w1_d554e7042
dieses	w3_d554e7045
von	w5_d554e7048
Skiernewice	w7_d554e7051
hier	w9_d554e7054
an,	w11_d554e7057
sogleich	w13_d554e7061
wartete	w1_d554e7066
er	w3_d554e7069
bey	w5_d554e7072
Hof	w7_d554e7075
auf;	w9_d554e7078
alsdann	w11_d554e7081
aber	w13_d554e7085
pflog	w15_d554e7088
er,	w1_d554e7094
denen	w3_d554e7097
zu	w5_d554e7100
der	w7_d554e7103
allgemeinen	w9_d554e7106
Wohlfahri	w11_d554e7109
ab	w13_d554e7113
zielenden	w1_d554e7118
Königl.	w3_d554e7121
Befehle	w5_d554e7124
zufolge,	w7_d554e7127
mit	w9_d554e7130
den	w11_d554e7133
Herren	w1_d554e7138
Staats=rähten	w3_d554e7141
lange	w5_d554e7144
Unterredungen	w7_d554e7147
über	w1_d554e7152
den	w3_d554e7155
nahen	w5_d554e7158
Reichs=tag.	w7_d554e7161
Den	w9_d554e7164
20sten	w11_d554e7167
gegen	w1_d554e7173
Abend	w3_d554e7176
fieng	w5_d554e7179
man	w7_d554e7182
die	w9_d554e7185
Berahtschlagun	w11_d554e7188
gen	w1_d554e7193
wegen	w3_d554e7196
der	w5_d554e7199
Münze	w7_d554e7202
an;	w9_d554e7205
man	w11_d554e7208
wird	w13_d554e7212
mit	w15_d554e7215
der	w1_d554e7220
Ueberlegung	w3_d554e7223
wichtiger	w5_d554e7226
Staats=sachen	w7_d554e7229
fortfahren,	w1_d554e7234
hierauf	w3_d554e7237
aber	w5_d554e7240
der	w7_d554e7243
Land=bohten	w9_d554e7246
stube	w1_d554e7252
geziemende	w3_d554e7255
und	w5_d554e7258
kluge	w7_d554e7261
Entwürfe	w9_d554e7264
da	w11_d554e7267
von	w1_d554e7272
übergeben.	w3_d554e7275
</p>
<head id="h2_d554e7281">
Haag	w1_d554e7285
2.	w3_d554e7288
May.	w5_d554e7291
</head>
<p id="p4_d554e7294">
Vorigen	w1_d554e7298
Dienstag	w3_d554e7301
ware	w5_d554e7304
der	w7_d554e7307
Herr	w9_d554e7310
Graf	w11_d554e7313
von	w1_d554e7318
Affry	w3_d554e7321
mit	w5_d554e7324
denen	w7_d554e7327
General=staaten,	w9_d554e7330
und	w11_d554e7333
gleich	w1_d554e7338
nachher	w3_d554e7341
mit	w5_d554e7344
dem	w7_d554e7347
Raht=pensionario	w9_d554e7350
Stein,	w1_d554e7356
in	w3_d554e7359
Conferenz,	w5_d554e7362
welche	w7_d554e7365
dem	w9_d554e7368
Verneh	w11_d554e7371
men	w1_d554e7376
nach,	w3_d554e7379
die	w5_d554e7382
Sache,	w7_d554e7385
wegen	w9_d554e7388
der	w11_d554e7391
Fregate	w13_d554e7395
Fe	w15_d554e7398
licite,	w1_d554e7403
betroffen	w3_d554e7406
haben	w5_d554e7409
soll.	w7_d554e7412
Jhre	w9_d554e7415
Hoch	w11_d554e7418
mögenden	w1_d554e7423
erwarten	w3_d554e7426
indessen	w5_d554e7429
dieserwegen	w7_d554e7432
noch	w1_d554e7438
die	w3_d554e7441
Antwort	w5_d554e7444
des	w7_d554e7447
groß=brittannischen	w9_d554e7450
Hofes.	w1_d554e7455
</p>
<p id="p6_d554e7458">
An	w1_d554e7462
eben	w3_d554e7465
diesem	w5_d554e7468
Tag	w7_d554e7471
hielten	w9_d554e7474
Se.	w11_d554e7477
Durchl.	w13_d554e7481
der	w1_d554e7486
Feld=marschall	w3_d554e7489
Herzog	w5_d554e7492
Ludwig	w7_d554e7495
von	w9_d554e7498
Braunschweig,	w1_d554e7503
eine	w3_d554e7506
so	w5_d554e7509
lange	w7_d554e7512
Unterredung	w9_d554e7515
mit	w1_d554e7521
gedachtem	w3_d554e7524
Raht=pensionario,	w5_d554e7527
von	w7_d554e7530
deren	w9_d554e7533
Jnhalt	w1_d554e7538
noch	w3_d554e7541
nichts	w5_d554e7544
bekannt	w7_d554e7547
geworden	w9_d554e7550
ist.	w11_d554e7553
</p>
<p id="p8_d554e7556">
Unser	w1_d554e7560
ausserordentlicher	w3_d554e7563
Gesandter	w5_d554e7566
an	w7_d554e7569
dem	w9_d554e7572
groß=britannischen	w1_d554e7577
Hofe,	w3_d554e7580
der	w5_d554e7583
Herr	w7_d554e7586
Boreel,	w9_d554e7589
welcher	w1_d554e7594
seine	w3_d554e7597
Abreise	w5_d554e7600
nach	w7_d554e7603
London	w9_d554e7606
bereits	w11_d554e7609
auf	w1_d554e7615
den	w3_d554e7618
6.	w5_d554e7621
dieses	w7_d554e7624
festgestellet	w9_d554e7627
hatte,	w11_d554e7630
wird	w13_d554e7634
sie	w15_d554e7637
erst	w1_d554e7642
den	w3_d554e7645
12.	w5_d554e7648
antretten,	w7_d554e7651
weil	w9_d554e7654
die	w11_d554e7657
Jagd	w13_d554e7661
Ca	w15_d554e7664
roline,	w1_d554e7669
die	w3_d554e7672
ihn	w5_d554e7675
am	w7_d554e7678
Bord	w9_d554e7681
nehmen	w11_d554e7684
soll,	w13_d554e7688
nicht	w15_d554e7691
eher	w1_d554e7696
als	w3_d554e7699
um	w5_d554e7702
diese	w7_d554e7705
Zeit	w9_d554e7708
zu	w11_d554e7711
Hellevoetsluys	w13_d554e7715
ein	w15_d554e7718
treffen	w1_d554e7724
wird.	w3_d554e7727
</p>
<p id="p10_d554e7730">
Der	w1_d554e7734
Herr	w3_d554e7737
von	w5_d554e7740
Berkenrode,	w7_d554e7743
unser	w9_d554e7746
Gesand	w11_d554e7749
ter	w1_d554e7754
zu	w3_d554e7757
Versailles,	w5_d554e7760
berichtet,	w7_d554e7763
er	w9_d554e7766
habe	w11_d554e7769
zufolge	w13_d554e7773
</p>
<p id="p12_d554e7777">
des	w1_d554e7781
ihm	w3_d554e7784
von	w5_d554e7787
Jhren	w7_d554e7790
Hochmögenden	w9_d554e7793
ertheil	w11_d554e7796
ten	w1_d554e7801
Befehls,	w3_d554e7804
wegen	w5_d554e7807
der	w7_d554e7810
durch	w9_d554e7813
den	w11_d554e7816
Herrn	w13_d554e7820
von	w15_d554e7823
Cambeford	w1_d554e7828
in	w3_d554e7831
der	w5_d554e7834
Grafschaft	w7_d554e7837
Bentheim	w9_d554e7840
ge	w11_d554e7843
schehenen	w1_d554e7849
Anhaltung	w3_d554e7852
des	w5_d554e7855
Post=wagens,	w7_d554e7858
auf	w9_d554e7861
welchem	w1_d554e7866
sich	w3_d554e7869
100000.	w5_d554e7872
fl.	w7_d554e7875
auf	w9_d554e7878
Rechnung	w11_d554e7881
Amsterdamischer	w1_d554e7886
Kauf=leute	w3_d554e7889
befanden,	w5_d554e7892
dem	w7_d554e7895
dortigen	w1_d554e7900
Ministerio	w3_d554e7903
die	w5_d554e7906
nöhtigen	w7_d554e7909
Vorstel	w9_d554e7912
lungen	w1_d554e7918
gethan,	w3_d554e7921
auf	w5_d554e7924
welche	w7_d554e7927
er	w9_d554e7930
die	w11_d554e7933
Antwort	w13_d554e7937
noch	w1_d554e7942
erwarte.	w3_d554e7945
</p>
<head id="h2_d554e7951">
Dresden	w1_d554e7955
11.	w3_d554e7958
May.	w5_d554e7961
</head>
<p id="p4_d554e7964">
Denen	w1_d554e7968
aus	w3_d554e7971
Sachsen	w5_d554e7974
abgezogenen	w7_d554e7977
Preußi	w9_d554e7980
schen	w1_d554e7985
Trupen	w3_d554e7988
hat	w5_d554e7991
der	w7_d554e7994
König	w9_d554e7997
in	w11_d554e8000
Preussen	w13_d554e8004
alle	w15_d554e8007
Fourage,	w1_d554e8012
alle	w3_d554e8015
Vivres	w5_d554e8018
und	w7_d554e8021
alles	w9_d554e8024
Vieh	w11_d554e8027
der	w13_d554e8031
ar	w15_d554e8034
men	w1_d554e8040
Unterthanen	w3_d554e8043
preis	w5_d554e8046
gegeben;	w7_d554e8049
Es	w9_d554e8052
ist	w11_d554e8055
sich	w13_d554e8059
leicht	w1_d554e8064
vorzustellen,	w3_d554e8067
daß	w5_d554e8070
Preußische	w7_d554e8073
Trupen,	w9_d554e8076
welche	w1_d554e8081
specielle	w3_d554e8084
Befehle	w5_d554e8087
von	w7_d554e8090
dieser	w9_d554e8093
Art	w11_d554e8096
für	w13_d554e8100
sich	w1_d554e8105
gehabt,	w3_d554e8108
es	w5_d554e8111
dabey	w7_d554e8114
nicht	w9_d554e8117
werden	w11_d554e8120
haben	w13_d554e8124
bewenden	w1_d554e8130
lassen.	w3_d554e8133
Von	w5_d554e8136
allen	w7_d554e8139
Seiten	w9_d554e8142
lauf	w11_d554e8145
fen	w1_d554e8150
bereits	w3_d554e8153
die	w5_d554e8156
betrübtesten	w7_d554e8159
Nachrichten	w9_d554e8162
ein,	w11_d554e8165
welche	w1_d554e8170
insgesamt	w3_d554e8173
über	w5_d554e8176
die	w7_d554e8179
erbärmlichsten	w9_d554e8182
Verwüstungen	w1_d554e8187
klagen.	w3_d554e8190
An	w5_d554e8193
vielen	w7_d554e8196
Orten	w9_d554e8199
ist	w11_d554e8202
alles	w1_d554e8208
total	w3_d554e8211
ausgeplündert,	w5_d554e8214
und	w7_d554e8217
denen	w9_d554e8220
elen	w11_d554e8223
den	w1_d554e8228
Leuten	w3_d554e8231
hier	w5_d554e8234
und	w7_d554e8237
dar	w9_d554e8240
nicht	w11_d554e8243
so	w13_d554e8247
viel	w15_d554e8250
ge	w17_d554e8253
lassen	w1_d554e8258
worden,	w3_d554e8261
daß	w5_d554e8264
sie	w7_d554e8267
sich	w9_d554e8270
den	w11_d554e8273
Hunger	w13_d554e8277
stil	w15_d554e8280
len	w1_d554e8285
können.	w3_d554e8288
Manche	w5_d554e8291
noch	w7_d554e8294
menschlich	w9_d554e8297
den	w11_d554e8300
kende	w1_d554e8306
Officiers	w3_d554e8309
haben	w5_d554e8312
denen	w7_d554e8315
Unterthanen	w9_d554e8318
dann	w1_d554e8323
und	w3_d554e8326
wann	w5_d554e8329
von	w7_d554e8332
dem	w9_d554e8335
geraubten	w11_d554e8338
Vieh	w13_d554e8342
1.	w1_d554e8347
und	w3_d554e8350
2.	w5_d554e8353
Stuck	w7_d554e8356
zuruck	w9_d554e8359
gegeben,	w11_d554e8362
weiter	w13_d554e8366
aber	w1_d554e8371
nichts	w3_d554e8374
thun,	w5_d554e8377
als	w7_d554e8380
über	w9_d554e8383
das	w11_d554e8386
anbefohle	w13_d554e8390
ne	w1_d554e8396
grausame	w3_d554e8399
Verfahren	w5_d554e8402
die	w7_d554e8405
Achseln	w9_d554e8408
zucken	w11_d554e8411
können.	w1_d554e8416
Am	w3_d554e8419
8.	w5_d554e8422
dieses	w7_d554e8425
ist	w9_d554e8428
unter	w11_d554e8431
dem	w13_d554e8435
Com	w15_d554e8438
mando	w1_d554e8443
des	w3_d554e8446
Hrn.	w5_d554e8449
Generals	w7_d554e8452
von	w9_d554e8455
Sincere	w11_d554e8458
ein	w13_d554e8462
ansehnliches	w1_d554e8467
aus	w3_d554e8470
der	w5_d554e8473
K.	w7_d554e8476
K.	w9_d554e8479
Haupt=armee	w11_d554e8482
ge	w13_d554e8486
zogenes	w1_d554e8492
Corps	w3_d554e8495
von	w5_d554e8498
10.	w7_d554e8501
Jnfanterie	w9_d554e8504
und	w11_d554e8507
Cavallerie=regimentern	w1_d554e8512
marschiret,	w3_d554e8515
welches	w5_d554e8518
sich	w1_d554e8523
mit	w3_d554e8526
denen	w5_d554e8529
bey	w7_d554e8532
Zittau	w9_d554e8535
stehenden	w11_d554e8538
Trupen	w13_d554e8542
vereinigen,	w1_d554e8547
und	w3_d554e8550
sodann	w5_d554e8553
den	w7_d554e8556
Hrn.	w9_d554e8559
General	w11_d554e8562
von	w1_d554e8568
Loudon	w3_d554e8571
verstärken	w5_d554e8574
solle.	w7_d554e8577
Wir	w9_d554e8580
hoffen	w11_d554e8583
nächster	w1_d554e8588
Tägen	w3_d554e8591
zu	w5_d554e8594
erfahren,	w7_d554e8597
daß	w9_d554e8600
die	w11_d554e8603
Reichs	w13_d554e8607
armee	w1_d554e8612
sowol,	w3_d554e8615
als	w5_d554e8618
des	w7_d554e8621
Hrn.	w9_d554e8624
Generals	w11_d554e8627
von	w13_d554e8631
Gnasco	w1_d554e8636
Corps	w3_d554e8639
vorgerucket	w5_d554e8642
sey.	w7_d554e8645
Des	w9_d554e8648
G.	w11_d554e8651
F.	w1_d554e8657
M.	w3_d554e8660
Grafens	w5_d554e8663
von	w7_d554e8666
Daun	w9_d554e8669
Excell.	w11_d554e8672
Haupt	w13_d554e8676
quar	w1_d554e8681
</p>
<p id="p8_d554e8686">
quartier	w1_d554e8690
ist	w3_d554e8693
seit	w5_d554e8696
den	w7_d554e8699
9.	w9_d554e8702
hujus	w11_d554e8705
auf	w13_d554e8709
der	w15_d554e8712
hiesi	w17_d554e8715
gen	w1_d554e8720
Friedrichstadt	w3_d554e8723
in	w5_d554e8726
dem	w7_d554e8729
Hochgräflich	w9_d554e8732
Brühlischen	w1_d554e8737
Garten.	w3_d554e8740
</p>
<head id="h2_d554e8747">
Wien	w1_d554e8751
den	w3_d554e8754
20.	w5_d554e8757
May	w7_d554e8760
1761.	w9_d554e8763
</head>
<p id="p4_d554e8766">
Snsingt	w1_d554e8770
den	w3_d554e8773
6.	w5_d554e8776
Man	w7_d554e8779
nach	w9_d554e8782
dem	w11_d554e8785
gerddenal	w13_d554e8789
ri	w1_d554e8794
GOttes=dienst	w3_d554e8797
seynd	w5_d554e8800
beede	w7_d554e8803
Kaiserl.	w9_d554e8806
Majestäten	w1_d554e8811
herein	w3_d554e8814
in	w5_d554e8817
die	w7_d554e8820
Burg	w9_d554e8823
abgegangen,	w11_d554e8826
und	w1_d554e8832
haben	w3_d554e8835
alda	w5_d554e8838
dem	w7_d554e8841
grossen	w9_d554e8844
Staats=raht	w11_d554e8847
beygewohnet,	w1_d554e8852
sodann	w3_d554e8855
nacher	w5_d554e8858
Schönbrunn	w7_d554e8861
sich	w1_d554e8866
wieder	w3_d554e8869
zurück	w5_d554e8872
begeben.	w7_d554e8875
</p>
<p id="p6_d554e8878">
Sonntags	w1_d554e8882
den	w3_d554e8885
17.	w5_d554e8888
May,	w7_d554e8891
als	w9_d554e8894
am	w11_d554e8897
aller	w13_d554e8901
heiligsten	w1_d554e8906
Dreyfaltigkeits=fest,	w3_d554e8909
seynd	w5_d554e8912
beede	w7_d554e8915
Kaiserl.	w1_d554e8920
Majest.	w3_d554e8923
mit	w5_d554e8926
Jhren	w7_d554e8929
Königl.	w9_d554e8932
Hohei	w11_d554e8935
ten	w1_d554e8941
denen	w3_d554e8944
älteren	w5_d554e8947
Durchl.	w7_d554e8950
Herrschaften,	w9_d554e8953
zu	w11_d554e8956
denen	w1_d554e8961
WW.	w3_d554e8964
EE.	w5_d554e8967
PP.	w7_d554e8970
Trinitarien	w9_d554e8973
in	w11_d554e8976
die	w13_d554e8980
Vor=stadt	w1_d554e8985
herein	w3_d554e8988
abgefahren,	w5_d554e8991
und	w7_d554e8994
haben	w9_d554e8997
al	w11_d554e9000
da	w1_d554e9005
unter	w3_d554e9008
der	w5_d554e9011
Aufwartung	w7_d554e9014
des	w9_d554e9017
Päpstl.	w11_d554e9020
Mon	w13_d554e9024
seigneur	w1_d554e9030
Nuntii	w3_d554e9033
dem	w5_d554e9036
feyerlichen	w7_d554e9039
GOttes	w9_d554e9042
dienst	w1_d554e9047
beygewohnet,	w3_d554e9050
und	w5_d554e9053
hierauf	w7_d554e9056
nach	w9_d554e9059
Schön	w11_d554e9062
brunn	w1_d554e9067
sich	w3_d554e9070
anwiederumen	w5_d554e9073
zuruck	w7_d554e9076
verfüget.	w9_d554e9079
</p>
<p id="p8_d554e9082">
Jtem	w1_d554e9086
ist	w3_d554e9089
wegen	w5_d554e9092
Jhrer	w7_d554e9095
Königl.	w9_d554e9098
Hoheit	w11_d554e9101
der	w1_d554e9106
Durchl.	w3_d554e9109
Prinzeßin	w5_d554e9112
Charlotte	w7_d554e9115
zu	w9_d554e9118
Lothrin	w11_d554e9121
gen	w1_d554e9126
höchsten	w3_d554e9129
Geburts=tag	w5_d554e9132
die	w7_d554e9135
Gala	w9_d554e9138
bey	w11_d554e9141
Hof	w13_d554e9145
gehalten	w1_d554e9151
worden.	w3_d554e9154
</p>
<p id="p10_d554e9157">
Vorgestern	w1_d554e9161
und	w3_d554e9164
gestern,	w5_d554e9167
als	w7_d554e9170
den	w9_d554e9173
18.	w11_d554e9176
und	w13_d554e9180
19.	w1_d554e9185
May,	w3_d554e9188
seynd	w5_d554e9191
beede	w7_d554e9194
Kaiserl.	w9_d554e9197
Majestäten	w11_d554e9200
nach	w1_d554e9205
dem	w3_d554e9208
ordinari	w5_d554e9211
GOttes=dienst	w7_d554e9214
mit	w9_d554e9217
wich	w11_d554e9220
tigen	w1_d554e9226
Staats	w3_d554e9229
und	w5_d554e9232
Landes=sachen	w7_d554e9235
beschäfti	w9_d554e9238
get	w1_d554e9243
gewesen.	w3_d554e9246
</p>
<head id="h2_d554e9252">
Lista	w1_d554e9256
deren	w3_d554e9259
Verstorbenen	w5_d554e9262
zu	w7_d554e9265
Wien	w9_d554e9268
in	w1_d554e9273
und	w3_d554e9276
vor	w5_d554e9279
der	w7_d554e9282
Stadt.	w9_d554e9285
Den	w1_d554e9290
15.	w3_d554e9293
May.	w5_d554e9296
Jn	w1_d554e9302
der	w3_d554e9305
Stadt.	w5_d554e9308
</head>
<list id="l4_d554e9311">
Dem	w1_d554e9315
(Tit.)	w3_d554e9318
Hrn.	w5_d554e9321
Steph.	w7_d554e9324
Prissaut	w9_d554e9327
v.	w11_d554e9330
Slawietin,	w13_d554e9334
in	w1_d554e9339
Böheim	w3_d554e9342
Land=m.,	w5_d554e9345
s.	w7_d554e9348
Frle	w9_d554e9351
T.	w11_d554e9354
Johanna,	w13_d554e9358
in	w15_d554e9361
s.	w17_d554e9364
H.	w19_d554e9367
beyn	w1_d554e9372
3.	w3_d554e9375
grün.	w5_d554e9378
Baum.	w7_d554e9381
in	w9_d554e9384
der	w11_d554e9387
Kärntnerstr.,	w13_d554e9391
3.	w15_d554e9394
J.	w17_d554e9397
</list>
<head id="h2_d554e9404">
Vor	w1_d554e9408
der	w3_d554e9411
Stadt.	w5_d554e9414
</head>
<list id="l4_d554e9417">
Die	w1_d554e9421
Wol	w3_d554e9424
ehrw.	w5_d554e9427
Chor=schwest.	w7_d554e9430
Anna	w9_d554e9433
Margar.	w11_d554e9436
Nar	w13_d554e9440
cissa,	w1_d554e9445
geb.	w3_d554e9448
Perlaß,	w5_d554e9451
alt	w7_d554e9454
33.	w9_d554e9457
J.,	w11_d554e9460
und	w13_d554e9464
Die	w1_d554e9469
Wol=ehrw	w3_d554e9472
Chor=schwest.	w5_d554e9475
Maria	w7_d554e9478
Dominica,	w9_d554e9481
geb.	w1_d554e9487
Kumpertlin,	w3_d554e9490
alt	w5_d554e9493
34.	w7_d554e9496
J.,	w9_d554e9499
beyde	w11_d554e9502
im	w13_d554e9506
Kloster	w15_d554e9509
bey	w1_d554e9514
St.	w3_d554e9517
Elisab.	w5_d554e9520
Dem	w1_d554e9525
Jos.	w3_d554e9528
Koch,	w5_d554e9531
gew.	w7_d554e9534
Schreib.,	w9_d554e9537
s.	w11_d554e9540
W.	w13_d554e9544
Eva,	w15_d554e9547
beym	w17_d554e9550
gold.	w1_d554e9555
Schif	w3_d554e9558
in	w5_d554e9561
der	w7_d554e9564
Leopoldst.,	w9_d554e9567
alt	w11_d554e9570
46.	w13_d554e9574
J.	w15_d554e9577
</list>
<list id="l6_d554e9581">
Dem	w1_d554e9585
Heinr.	w3_d554e9588
Mayrhofer,	w5_d554e9591
Lust=gart.,	w7_d554e9594
s.	w9_d554e9597
K.	w11_d554e9600
Jos.,	w13_d554e9604
im	w15_d554e9607
Au=gart.	w1_d554e9612
in	w3_d554e9615
der	w5_d554e9618
Leopoldst.,	w7_d554e9621
alt	w9_d554e9624
4.	w11_d554e9627
J.	w13_d554e9631
Dem	w1_d554e9636
Jos.	w3_d554e9639
Egerer,	w5_d554e9642
Wirt,	w7_d554e9645
s.	w9_d554e9648
K.	w11_d554e9651
Roigl.,	w13_d554e9655
beym	w15_d554e9658
Ein	w17_d554e9661
sidl.	w1_d554e9667
auf	w3_d554e9670
der	w5_d554e9673
7.	w7_d554e9676
Brünner	w9_d554e9679
wies.,	w11_d554e9682
alt	w13_d554e9686
5.	w15_d554e9689
J.	w17_d554e9692
Dem	w1_d554e9697
Adam	w3_d554e9700
Burkhuber,	w5_d554e9703
Schneid.,	w7_d554e9706
s.	w9_d554e9709
W.	w11_d554e9712
Anna,	w13_d554e9716
im	w15_d554e9719
Zaunar=stadel	w1_d554e9724
bey	w3_d554e9727
Maria=hülf,	w5_d554e9730
alt	w7_d554e9733
33.	w9_d554e9736
J.	w11_d554e9739
Dem	w1_d554e9744
Joh.	w3_d554e9747
Dunst,	w5_d554e9750
Grund=wacht,	w7_d554e9753
s.	w9_d554e9756
K.	w11_d554e9759
Fried.,	w13_d554e9763
beym	w15_d554e9766
bl.	w1_d554e9772
Stern	w3_d554e9775
oberm	w5_d554e9778
Neustift,	w7_d554e9781
alt	w9_d554e9784
7.	w11_d554e9787
J.	w13_d554e9791
</list>
<head id="h2_d554e9798">
Summa	w1_d554e9802
8.	w3_d554e9805
Pers.,	w5_d554e9808
darunter	w7_d554e9811
4.	w9_d554e9814
Kind.	w11_d554e9817
Den	w1_d554e9822
16.	w3_d554e9825
May.	w5_d554e9828
Jn	w1_d554e9833
der	w3_d554e9836
Stadt.	w5_d554e9839
</head>
<list id="l4_d554e9842">
Dem	w1_d554e9846
