<doc id="edoc_wd_1771-03-27" attrs="word" year="1771" month="03" day="27" corpus="1">
<head id="hl1">
Cadix	w33
einer	w3888
mit	w3889
700	w3890
<g/>
.
Du=caten	w3892
<g/>
=
gewonnen	w3894
und	w3895
abgeführet	w3896
worden	w3897
<g/>
.
</p>
<p id="p45">
Die	w3899
fernere	w3900
Ziehung	w3901
wird	w3902
in	w3903
Grätz	w3904
den	w3905
6	w3906
<g/>
.
künftiges	w3908
Monat	w3909
April	w3910
geschehen	w3911
<g/>
.
</p>
<head id="hl11">
Bekanntmachung	w3913
<g/>
.
</head>
<p id="p46">
Da	w3915
die	w3916
durch	w3917
höchste	w3918
Landesfürstliche	w3919
Ver=ordnungen	w3920
<g/>
=
eingeleitete	w3922
Vertheilung	w3923
der	w3924
ge=meinen	w3925
<g/>
=
Huthweiden	w3927
zur	w3928
besseren	w3929
Erhebung	w3930
der	w3931
Viehzucht	w3932
im	w3933
Erzherzogthume	w3934
Nieder=österreich	w3935
<g/>
=
sich	w3937
immer	w3938
gedeyhlicher	w3939
verbreitet	w3940
<g/>
,
zu	w3942
einer	w3943
desto	w3944
vollkommneren	w3945
Erreichung	w3946
der	w3947
höchsten	w3948
Absichten	w3949
dabey	w3950
aber	w3951
auch	w3952
nicht	w3953
min=der	w3954
<g/>
=
erforderlich	w3956
ist	w3957
<g/>
,
daß	w3959
einer	w3960
durch	w3961
die	w3962
sol=chergestalt	w3963
<g/>
=
geschmälert	w3965
scheinenden	w3966
Schaaf=weiden	w3967
<g/>
=
angeblich	w3969
zu	w3970
besorgenden	w3971
Verminde=rung	w3972
<g/>
=
der	w3974
Schäfereyen	w3975
im	w3976
Lande	w3977
gleichfalls	w3978
in	w3979
andere	w3980
Wege	w3981
vorgebauet	w3982
werde	w3983
<g/>
:
so	w3985
haben	w3986
Jhro	w3987
kais	w3988
<g/>
.
kön	w3990
<g/>
.
apost	w3992
<g/>
.
Majestat	w3994
aus	w3995
höchster	w3996
Mildthätigkeit	w3997
vier	w3998
Prämien	w3999
<g/>
,
nämlich	w4001
von	w4002
150	w4003
<g/>
.
100	w4005
<g/>
.
80	w4007
<g/>
.
und	w4009
50	w4010
<g/>
.
Gulden	w4012
für	w4013
jene	w4014
Beamten	w4015
<g/>
,
Gemeinden	w4017
<g/>
,
Bestand	w4019
<g/>
=
oder	w4021
Lohn=schaafmeister	w4022
<g/>
=
allergnädigst	w4024
auszusetzen	w4025
geru=het	w4026
<g/>
=
<g/>
,
welche	w4029
nicht	w4030
nur	w4031
eine	w4032
Verbesserung	w4033
der	w4034
jedes	w4035
Ortes	w4036
hinfür	w4037
eigends	w4038
ausgemessenen	w4039
Schaafweiden	w4040
<g/>
,
sowohl	w4042
in	w4043
Rucksicht	w4044
auf	w4045
das	w4046
Zucht	w4047
als	w4048
das	w4049
zur	w4050
Mastung	w4051
bestimmte	w4052
Schaaf=vieh	w4053
<g/>
=
an	w4055
die	w4056
Hand	w4057
geben	w4058
<g/>
,
sondern	w4060
auch	w4061
die	w4062
Verläßlichkeit	w4063
solcher	w4064
Verbesserungsart	w4065
der	w4066
kais	w4067
<g/>
.
kön	w4069
<g/>
.
niederöserreichisch	w4071
<g/>
=
ökonomischen	w4073
Gesellschaft	w4074
durch	w4075
die	w4076
wirklich	w4077
bestehende	w4078
Pro=ben	w4079
<g/>
=
<g/>
,
besonders	w4082
bey	w4083
größeren	w4084
Schäfereyen	w4085
bis	w4086
Ende	w4087
Jahres	w4088
1772	w4089
<g/>
.
dergestalt	w4091
genug=sam	w4092
<g/>
=
darthun	w4094
und	w4095
erweisen	w4096
werden	w4097
<g/>
;
daß	w4099
auf	w4100
</p>
<p id="p47">
ihren	w4101
unterhabenden	w4102
obschon	w4103
an	w4104
Maaß	w4105
und	w4106
Zahl	w4107
verminderten	w4108
Schaafweiden	w4109
sie	w4110
dennoch	w4111
durch	w4112
bessere	w4113
Pflegung	w4114
des	w4115
Grundes	w4116
und	w4117
Bodens	w4118
<g/>
,
und	w4120
durch	w4121
wirthschaftlichere	w4122
Be=treibung	w4123
<g/>
=
der	w4125
abgetheilten	w4126
Stücke	w4127
davon	w4128
zu	w4129
Verminderung	w4130
ihrer	w4131
Schäfereyen	w4132
nicht	w4133
be=müßiget	w4134
<g/>
=
gewesen	w4136
sind	w4137
<g/>
,
sondern	w4139
solche	w4140
vielmehr	w4141
in	w4142
alle	w4143
Wege	w4144
zu	w4145
verbessern	w4146
die	w4147
Geschicklich=keit	w4148
<g/>
=
gehabt	w4150
haben	w4151
<g/>
.
Welches	w4153
demnach	w4154
zu	w4155
je=dermanns	w4156
<g/>
=
Wissenschaft	w4158
auf	w4159
höchste	w4160
Verord=nung	w4161
<g/>
=
von	w4163
Seiten	w4164
der	w4165
besagten	w4166
Gesellschaft	w4167
zu	w4168
dem	w4169
Ende	w4170
mitgetheilet	w4171
wird	w4172
<g/>
,
womit	w4174
je=der	w4175
<g/>
=
seiner	w4177
Zeit	w4178
die	w4179
hierüber	w4180
abgeführten	w4181
Pro=ben	w4182
<g/>
=
bey	w4184
derselben	w4185
anzuzeigen	w4186
<g/>
,
und	w4188
sich	w4189
einer	w4190
oder	w4191
der	w4192
andern	w4193
der	w4194
dafür	w4195
allergnädigst	w4196
aus=gesetzten	w4197
<g/>
=
Belohnungen	w4199
nach	w4200
befundenen	w4201
Ver=dienste	w4202
<g/>
=
zu	w4204
getrösten	w4205
haben	w4206
möge	w4207
<g/>
.
</p>
<head id="hl12">
Verzeichniß	w4209
der	w4210
Verstorbenen	w4211
zu	w4212
Wien	w4213
in	w4214
<g/>
,
und	w4216
vor	w4217
der	w4218
Stadt	w4219
<g/>
.
</head>
<head id="hl13">
Den	w4221
20	w4222
<g/>
.
März	w4224
<g/>
.
Jn	w4226
der	w4227
Stadt	w4228
<g/>
.
</head>
<list id="">
Dem	w4230
Hoch	w4231
und	w4232
Wohlgeb	w4233
<g/>
.
Hrn	w4235
<g/>
.
Max	w4237
<g/>
.
Grafen	w4239
von	w4240
und	w4241
zu	w4242
Daun	w4243
<g/>
.
J	w4245
<g/>
.
R	w4247
<g/>
.
K	w4249
<g/>
.
K	w4251
<g/>
.
Ap	w4253
<g/>
.
Maj	w4255
wirkl	w4256
Käm=merer	w4257
<g/>
=
<g/>
,
s	w4260
<g/>
.
Fr	w4262
<g/>
.
Gem	w4264
<g/>
.
M	w4266
<g/>
.
Josepha	w4268
<g/>
,
geb	w4270
<g/>
.
Gräfin	w4272
v	w4273
<g/>
.
Wildezeckh	w4275
<g/>
,
im	w4277
Bar	w4278
<g/>
.
Poulisch	w4280
<g/>
.
H	w4282
<g/>
.
auf	w4284
der	w4285
hohen	w4286
Bruck	w4287
<g/>
.
alt	w4289
21	w4290
<g/>
.
J	w4292
<g/>
.
Die	w4294
Wohledelg	w4295
<g/>
.
Fr	w4297
<g/>
.
Franc	w4299
<g/>
.
Erndlin	w4301
<g/>
,
k	w4303
<g/>
.
k	w4305
<g/>
.
Sänitäts=raths	w4307
<g/>
=
und	w4309
Phil	w4310
<g/>
.
<g/>
&
Med	w4313
<g/>
.
Dokt	w4315
<g/>
.
Wit	w4317
<g/>
.
in	w4319
ihrem	w4320
H	w4321
<g/>
.
b	w4323
<g/>
.
blauen	w4325
Krebs	w4326
<g/>
.
hint	w4328
<g/>
.
Hohenm	w4330
<g/>
.
alt	w4332
59	w4333
<g/>
.
J	w4335
<g/>
.
Dem	w4337
Jos	w4338
<g/>
.
Hitzfeld	w4340
<g/>
,
burgl	w4342
<g/>
.
Schneiderm	w4344
<g/>
.
s	w4346
<g/>
.
K	w4348
<g/>
.
Jos	w4350
<g/>
.
im	w4352
Goldschl	w4353
<g/>
.
H	w4355
<g/>
.
in	w4357
Judeng	w4358
<g/>
.
alt	w4360
3	w4361
<g/>
.
J	w4363
<g/>
.
Dem	w4365
Jos	w4366
<g/>
.
Müllner	w4368
<g/>
,
k	w4370
<g/>
.
k	w4372
<g/>
.
Kriegszahlamtsh	w4374
<g/>
.
s	w4376
<g/>
.
K	w4378
<g/>
.
Franz	w4380
<g/>
,
im	w4382
k	w4383
<g/>
.
k	w4385
<g/>
.
Hofkrigscanzlh	w4387
<g/>
.
in	w4389
der	w4390
Wollzeil	w4391
<g/>
.
<g/>
,
alt	w4394
1	w4395
<g/>
.
J	w4397
<g/>
.
Dem	w4399
Joh	w4400
<g/>
.
Hamer	w4402
<g/>
,
burgl	w4404
<g/>
.
Schneiderm	w4406
<g/>
.
s	w4408
<g/>
.
K	w4410
<g/>
.
Joh	w4412
<g/>
.
im	w4414
Steuerh	w4415
<g/>
.
nächst	w4417
dem	w4418
roth	w4419
<g/>
.
Thurm	w4421
<g/>
,
alt	w4423
6	w4424
<g/>
.
v	w4426
<g/>
.
J	w4428
<g/>
.
</list>
<head id="hl14">
Vor	w4430
der	w4431
Stadt	w4432
<g/>
.
</head>
<list id="">
Der	w4434
Hr	w4435
<g/>
.
Wenz	w4437
<g/>
.
Sagal	w4439
<g/>
,
k	w4441
<g/>
.
k	w4443
<g/>
.
Waldhorn	w4445
<g/>
.
b	w4447
<g/>
.
Web	w4449
<g/>
.
in	w4451
der	w4452
Leopst	w4453
<g/>
.
alt	w4455
77	w4456
<g/>
.
J	w4458
<g/>
.
Dem	w4460
Paul	w4461
Grueber	w4462
<g/>
,
Akademiem	w4464
<g/>
.
s	w4466
<g/>
.
K	w4468
<g/>
.
Regina	w4470
b	w4471
<g/>
.
3	w4473
<g/>
.
Schlüss	w4475
<g/>
.
zu	w4477
Mariah	w4478
<g/>
.
alt	w4480
1	w4481
<g/>
.
J	w4483
<g/>
.
Dem	w4485
Thom	w4486
<g/>
.
Wetzl	w4488
<g/>
,
gew	w4490
<g/>
.
burgl	w4492
<g/>
.
Brätlbr	w4494
<g/>
.
s	w4496
<g/>
.
W	w4498
<g/>
.
Martha	w4500
<g/>
,
b	w4502
<g/>
.
weiss	w4504
<g/>
.
Löw	w4506
<g/>
.
in	w4508
der	w4509
Alsterg	w4510
<g/>
.
alt	w4512
73	w4513
<g/>
.
J	w4515
<g/>
.
Georg	w4517
Junck	w4518
<g/>
,
Tagl	w4520
<g/>
.
im	w4522
Schulmeister	w4523
<g/>
.
P	w4525
<g/>
.
zu	w4527
Nicklst	w4528
<g/>
.
alt	w4530
71	w4531
<g/>
.
J	w4533
<g/>
.
Matth	w4535
<g/>
.
Cärntner	w4537
<g/>
,
Schuhfl	w4539
<g/>
.
b	w4541
<g/>
.
gold	w4543
<g/>
.
Lämm	w4545
<g/>
.
zu	w4547
Marg	w4548
<g/>
.
alt	w4550
60	w4551
<g/>
.
J	w4553
<g/>
.
Oßw	w4555
<g/>
.
Schober	w4557
<g/>
,
Hofkucheltr	w4559
<g/>
.
im	w4561
Schmid	w4562
<g/>
.
H	w4564
<g/>
.
am	w4566
Traidm	w4567
<g/>
.
alt	w4569
65	w4570
<g/>
.
J	w4572
<g/>
.
Dem	w4574
Phil	w4575
<g/>
.
Weinbör	w4577
<g/>
,
Tändler	w4579
<g/>
,
s	w4581
<g/>
.
W	w4583
<g/>
.
Barb	w4585
<g/>
.
beym	w4587
gold	w4588
<g/>
.
Hut	w4590
am	w4591
Neust	w4592
<g/>
.
alt	w4594
37	w4595
<g/>
.
J	w4597
<g/>
.
</list>
<list id="">
Joh	w4601
<g/>
.
Henggartner	w4603
<g/>
,
Strumstrickgs	w4605
<g/>
.
b	w4607
<g/>
.
gold	w4609
<g/>
.
Adler	w4611
am	w4612
Strozisch	w4613
<g/>
.
Grund	w4615
<g/>
,
alt	w4617
47	w4618
<g/>
.
J	w4620
<g/>
.
Magd	w4622
<g/>
.
Graßmanin	w4624
<g/>
,
Zimmergs	w4626
Witt	w4627
<g/>
.
im	w4629
Federlst	w4630
<g/>
.
in	w4632
der	w4633
Leopst	w4634
<g/>
.
alt	w4636
86	w4637
<g/>
.
J	w4639
<g/>
.
Math	w4641
<g/>
.
Hoscher	w4643
<g/>
,
Bräukn	w4645
<g/>
.
alt	w4647
28	w4648
J	w4649
<g/>
.
Franz	w4651
Beck	w4652
<g/>
,
reisender	w4654
Kaufm	w4655
<g/>
.
alt	w4657
75	w4658
<g/>
.
J	w4660
<g/>
.
beede	w4662
b	w4663
<g/>
.
den	w4665
Barmh	w4666
<g/>
.
Fr	w4668
<g/>
.
Magd	w4670
Häserlin	w4671
<g/>
,
Witt	w4673
<g/>
.
wohnh	w4675
<g/>
.
im	w4677
Burgersp	w4678
<g/>
.
alt	w4680
58	w4681
<g/>
.
J	w4683
<g/>
.
Salome	w4685
Piechlin	w4686
<g/>
,
led	w4688
<g/>
.
beede	w4690
b	w4691
<g/>
.
Elisabeth	w4693
<g/>
.
alt	w4695
69	w4696
<g/>
.
J	w4698
<g/>
.
Joh	w4700
<g/>
.
Zeillner	w4702
<g/>
,
im	w4704
Versorgh	w4705
<g/>
.
im	w4707
Alsterb	w4708
<g/>
.
alt	w4710
77	w4711
<g/>
.
J	w4713
<g/>
.
Cathar	w4715
<g/>
.
Kellnerin	w4717
<g/>
,
Strumfwgs	w4719
<g/>
.
Witt	w4721
<g/>
.
alt	w4723
43	w4724
<g/>
.
J	w4726
<g/>
.
Jos	w4728
<g/>
.
Kinaß	w4730
<g/>
,
Schneidergs	w4732
alt	w4733
22	w4734
<g/>
.
J	w4736
<g/>
.
Franz	w4738
Kubin	w4739
<g/>
,
Strickergs	w4741
<g/>
.
alt	w4743
24	w4744
<g/>
.
J	w4746
<g/>
.
Sebast	w4748
<g/>
.
Kaspel	w4750
<g/>
,
Tagl	w4752
<g/>
.
alt	w4754
55	w4755
<g/>
.
J	w4757
<g/>
.
alle	w4759
4	w4760
im	w4761
Bäckenh	w4762
<g/>
.
Paul	w4764
Podalsky	w4765
<g/>
,
gem	w4767
<g/>
.
Sold	w4769
<g/>
.
im	w4771
Mil	w4772
<g/>
.
Krankh	w4774
<g/>
.
zu	w4776
Gumpend	w4777
<g/>
.
alt	w4779
25	w4780
<g/>
.
J	w4782
<g/>
.
</list>
<list id="">
Der	w4784
Jud	w4785
Lemel	w4786
Telsch	w4787
von	w4788
Nicolsp	w4789
<g/>
.
b	w4791
<g/>
.
w	w4793
<g/>
.
Stern	w4795
hint	w4796
<g/>
.
Hohenm	w4798
<g/>
.
alt	w4800
55	w4801
<g/>
.
J	w4803
<g/>
.
</list>
<list id="">
Summa	w4805
24	w4806
<g/>
.
Person	w4808
<g/>
.
darunter	w4810
4	w4811
<g/>
.
Kind	w4813
<g/>
.
</list>
<head id="hl15">
Den	w4815
21	w4816
<g/>
.
März	w4818
<g/>
.
Jn	w4820
der	w4821
Stadt	w4822
<g/>
.
</head>
<list id="">
Die	w4824
Hochw	w4825
<g/>
.
Wohlgeb	w4827
<g/>
.
Anna	w4829
Augustina	w4830
<g/>
,
gebohrne	w4832
Freyin	w4833
v	w4834
<g/>
.
Maholani	w4836
<g/>
,
des	w4838
löbl	w4839
<g/>
.
Frauenstifts	w4841
und	w4842
Klost	w4843
<g/>
.
zur	w4845
Himmelspf	w4846
<g/>
.
würd	w4848
<g/>
.
Fr	w4850
<g/>
.
Ober	w4852
<g/>
.
alt	w4854
59	w4855
<g/>
.
J	w4857
<g/>
.
Dem	w4859
Hochedg	w4860
<g/>
.
Hrn	w4862
<g/>
.
Edmund	w4864
Edler	w4865
v	w4866
<g/>
.
Joch	w4868
<g/>
,
k	w4870
<g/>
.
k	w4872
<g/>
.
Oberöster	w4874
<g/>
.
Landr	w4876
<g/>
.
s	w4878
<g/>
.
Hr	w4880
<g/>
.
S	w4882
<g/>
.
Wilh	w4884
<g/>
.
im	w4886
gr	w4887
<g/>
.
Pfan	w4889
H	w4890
<g/>
.
in	w4892
der	w4893
Waldz	w4894
<g/>
.
alt	w4896
12	w4897
<g/>
.
J	w4899
<g/>
.
Die	w4901
Wohledg	w4902
<g/>
.
Fr	w4904
<g/>
.
Justina	w4906
Cath	w4907
<g/>
.
Gotterschneckin	w4909
v	w4910
<g/>
.
Damaslau	w4912
<g/>
,
Rathverw	w4914
<g/>
.
und	w4916
burgl	w4917
<g/>
.
Handels	w4919
auch	w4920
Mercant	w4921
<g/>
.
und	w4923
Wechselger	w4924
<g/>
.
Assess	w4926
<g/>
,
Wit	w4928
<g/>
.
b	w4930
<g/>
.
Bauerntanz	w4932
am	w4933
Pet	w4934
<g/>
.
alt	w4936
82	w4937
<g/>
.
J	w4939
<g/>
.
Dem	w4941
Wohledg	w4942
<g/>
.
Hrn	w4944
<g/>
.
Joh	w4946
<g/>
.
Franz	w4948
Peixoto	w4949
da	w4950
Costa	w4951
<g/>
,
k	w4953
<g/>
.
k	w4955
<g/>
.
Offic	w4957
<g/>
.
in	w4959
der	w4960
Hof	w4961
und	w4962
Staatsc	w4963
<g/>
.
des	w4965
Jtaliän	w4966
<g/>
.
Depart	w4968
<g/>
.
s	w4970
<g/>
.
S	w4972
<g/>
.
Carl	w4974
<g/>
.
im	w4976
Käßstech	w4977
<g/>
.
H	w4979
<g/>
.
am	w4981
Neuen=markt	w4982
<g/>
=
<g/>
,
alt	w4985
1	w4986
<g/>
.
J	w4988
<g/>
.
Andr	w4990
<g/>
.
Dattey	w4992
<g/>
,
kais	w4994
<g/>
.
Leiblaq	w4996
<g/>
.
im	w4998
Arcier	w4999
<g/>
.
H	w5001
<g/>
.
in	w5003
der	w5004
klein	w5005
Himmelpfg	w5006
<g/>
.
alt	w5008
66	w5009
<g/>
.
J	w5011
<g/>
.
Dem	w5013
Joh	w5014
<g/>
.
Gerge	w5016
<g/>
,
französ	w5018
<g/>
.
Sprachm	w5020
<g/>
.
s	w5022
<g/>
.
W	w5024
<g/>
.
Anna	w5026
M	w5027
<g/>
.
im	w5029
Glanz	w5030
<g/>
.
H	w5032
<g/>
.
am	w5034
alt	w5035
<g/>
.
Fleischm	w5037
<g/>
.
alt	w5039
32	w5040
<g/>
.
J	w5042
<g/>
.
Dem	w5044
Seb	w5045
<g/>
.
Schleicher	w5047
<g/>
,
Brodsitz	w5049
<g/>
.
s	w5051
<g/>
.
K	w5053
<g/>
.
Helena	w5055
<g/>
,
im	w5057
Stopperisch	w5058
<g/>
.
H	w5060
<g/>
.
in	w5062
der	w5063
Kärntnerst	w5064
alt	w5065
6	w5066
<g/>
.
J	w5068
<g/>
.
Dem	w5070
Joh	w5071
Keßler	w5072
<g/>
,
Tischler	w5074
<g/>
,
s	w5076
<g/>
.
K	w5078
<g/>
.
Joh	w5080
<g/>
.
im	w5082
Bader	w5083
<g/>
.
H	w5085
<g/>
.
auf	w5087
der	w5088
hohen	w5089
Bruck	w5090
<g/>
.
alt	w5092
7	w5093
<g/>
.
v	w5095
<g/>
.
J	w5097
<g/>
.
Leopold	w5099
Voglhuber	w5100
<g/>
,
Hauskn	w5102
<g/>
.
b	w5104
<g/>
.
der	w5106
goldn	w5107
<g/>
.
Wein=traub	w5109
<g/>
=
<g/>
.
in	w5112
der	w5113
Waldzeil	w5114
<g/>
,
alt	w5116
25	w5117
<g/>
.
J	w5119
<g/>
.
</list>
<head id="hl16">
Vor	w5121
der	w5122
Stadt	w5123
<g/>
.
</head>
<list id="">
Dem	w5125
Gotth	w5126
<g/>
.
Amon	w5128
<g/>
,
burgl	w5130
<g/>
.
Brunnm	w5132
<g/>
.
s	w5134
<g/>
.
K	w5136
<g/>
.
Johann	w5138
<g/>
,
in	w5140
s	w5141
<g/>
.
H	w5143
<g/>
.
auf	w5145
der	w5146
Landst	w5147
<g/>
.
alt	w5149
1	w5150
<g/>
.
J	w5152
<g/>
.
Nicol	w5154
<g/>
.
Huck	w5156
<g/>
,
Schuster	w5158
<g/>
,
bey	w5160
der	w5161
schön	w5162
Latern	w5163
zu	w5164
Nicklstorf	w5165
<g/>
,
alt	w5167
51	w5168
<g/>
.
J	w5170
<g/>
.
Anna	w5172
Be	w5173
lingerin	w5174
<g/>
,
Flickschuh	w5176
<g/>
.
Witt	w5178
<g/>
.
b	w5180
<g/>
.
gut	w5182
<g/>
.
Hirt	w5184
zu	w5185
Marg	w5186
<g/>
.
alt	w5188
63	w5189
<g/>
.
J	w5191
<g/>
.
Carl	w5193
Moret	w5194
<g/>
,
Porcellainmahl	w5196
<g/>
.
b	w5198
<g/>
.
schw	w5200
<g/>
.
Bärn	w5202
im	w5203
Lichtenth	w5204
<g/>
.
alt	w5206
27	w5207
<g/>
.
J	w5209
<g/>
.
Dem	w5211
Jac	w5212
<g/>
.
Heninger	w5214
<g/>
,
pens	w5216
<g/>
.
Tafeld	w5218
<g/>
.
v	w5220
<g/>
.
F	w5222
<g/>
.
Lamb	w5224
<g/>
.
s	w5226
<g/>
.
W	w5228
<g/>
.
Josepha	w5230
<g/>
,
b	w5232
<g/>
.
H	w5234
<g/>
.
Dreyf	w5236
<g/>
.
am	w5238
Oberneust	w5239
a	w5240
<g/>
.
37	w5242
<g/>
.
J	w5244
<g/>
.
</list>
<list id="">
J	w5246
<g/>
.
Georg	w5248
Forster	w5249
<g/>
,
Oberkelln	w5251
<g/>
.
b	w5253
<g/>
.
gold	w5255
<g/>
.
Ochsen	w5257
in	w5258
der	w5259
Leopst	w5260
<g/>
.
alt	w5262
25	w5263
<g/>
.
J	w5265
<g/>
.
Dem	w5267
Mich	w5268
<g/>
.
Weinmayr	w5270
<g/>
,
Lustgart	w5272
<g/>
.
s	w5274
<g/>
.
K	w5276
<g/>
.
Magdalena	w5278
im	w5279
Heumüll	w5280
<g/>
.
Gart	w5282
<g/>
.
auf	w5284
der	w5285
Wied	w5286
<g/>
.
alt	w5288
1	w5289
<g/>
.
J	w5291
<g/>
.
Dem	w5293
Georg	w5294
Staudacher	w5295
<g/>
,
Tüchelmgs	w5297
<g/>
.
s	w5299
<g/>
.
W	w5301
<g/>
.
Anna	w5303
<g/>
,
bey	w5305
der	w5306
Alster	w5307
am	w5308
Oberneust	w5309
<g/>
.
alt	w5311
52	w5312
<g/>
.
J	w5314
<g/>
.
Ferd	w5316
<g/>
.
Eberl	w5318
<g/>
,
Nachsteh	w5320
<g/>
.
der	w5322
Tagl	w5323
<g/>
.
b	w5325
<g/>
.
gr	w5327
<g/>
.
Baum	w5329
auf	w5330
der	w5331
Laimgr	w5332
<g/>
.
alt	w5334
40	w5335
<g/>
.
J	w5337
<g/>
.
Dem	w5339
Franz	w5340
Giglberger	w5341
<g/>
,
Tagl	w5343
<g/>
.
s	w5345
<g/>
.
K	w5347
Franz	w5348
<g/>
,
im	w5350
Ema=nuelischen	w5351
<g/>
=
Zimmern	w5353
unt	w5354
<g/>
.
Weißg	w5356
<g/>
.
alt	w5358
5	w5359
v	w5360
<g/>
.
J	w5362
<g/>
.
Cath	w5364
<g/>
.
Grillin	w5366
<g/>
,
Sesseltr	w5368
<g/>
.
Witt	w5370
<g/>
.
b	w5372
<g/>
.
rot	w5374
<g/>
.
Hahn	w5376
unter	w5377
der	w5378
Gestätten	w5379
zu	w5380
Erdberg	w5381
<g/>
,
alt	w5383
77	w5384
<g/>
.
J	w5386
<g/>
.
Der	w5388
ehrw	w5389
<g/>
.
Fr	w5391
<g/>
.
Jacob	w5393
Mahr	w5394
<g/>
,
aus	w5396
dem	w5397
Orden	w5398
des	w5399
H	w5400
<g/>
.
Joh	w5402
<g/>
.
de	w5404
Deo	w5405
in	w5406
ihrem	w5407
Kloster	w5408
in	w5409
der	w5410
Leopst	w5411
<g/>
.
alt	w5413
62	w5414
<g/>
.
J	w5416
<g/>
.
Jos	w5418
<g/>
.
Kehlingek	w5420
<g/>
,
Bindergs	w5422
<g/>
.
b	w5424
<g/>
.
den	w5426
Barm	w5427
<g/>
.
alt	w5429
31	w5430
<g/>
.
J	w5432
<g/>
.
Susanna	w5434
Schuchin	w5435
<g/>
,
verh	w5437
<g/>
.
Zimmerm	w5439
<g/>
.
im	w5441
H	w5442
<g/>
.
Dreyf	w5444
<g/>
.
Spitt	w5446
<g/>
.
in	w5448
der	w5449
Währingg	w5450
<g/>
.
alt	w5452
30	w5453
<g/>
.
J	w5455
<g/>
.
Elisab	w5457
<g/>
.
Maxrin	w5459
<g/>
,
led	w5461
<g/>
.
alt	w5463
39	w5464
<g/>
.
J	w5466
<g/>
.
Gottfr	w5468
<g/>
.
Deringer	w5470
<g/>
,
Schuhkn	w5472
<g/>
.
alt	w5474
21	w5475
<g/>
.
J	w5477
<g/>
.
beede	w5479
im	w5480
Bäckenhäusel	w5481
<g/>
.
Math	w5483
<g/>
.
Cornelli	w5485
<g/>
,
alt	w5487
82	w5488
<g/>
.
J	w5490
<g/>
.
Franc	w5492
<g/>
.
Delefantin	w5494
<g/>
,
led	w5496
<g/>
.
alt	w5498
61	w5499
<g/>
.
J	w5501
<g/>
.
Eva	w5503
Mayrin	w5504
<g/>
,
Witt	w5506
<g/>
.
alt	w5508
72	w5509
<g/>
.
J	w5511
<g/>
.
alle	w5513
3	w5514
<g/>
.
im	w5516
Contum	w5517
<g/>
.
Summa	w5519
28	w5520
<g/>
.
Person	w5522
<g/>
.
darunter	w5524
6	w5525
<g/>
.
Kind	w5527
<g/>
.
</list>
<head id="hl17">
Den	w5529
22	w5530
<g/>
.
März	w5532
<g/>
.
Jn	w5534
der	w5535
Stadt	w5536
<g/>
.
</head>
<list id="">
Dem	w5538
Franz	w5539
Müller	w5540
<g/>
,
Gefreyt	w5542
<g/>
.
s	w5544
<g/>
.
K	w5546
<g/>
.
Anna	w5548
<g/>
,
in	w5550
der	w5551
Cass	w5552
<g/>
.
am	w5554
Salzgr	w5555
<g/>
.
alt	w5557
5	w5558
<g/>
.
J	w5560
<g/>
.
</list>
<head id="hl18">
Vor	w5562
der	w5563
Stadt	w5564
<g/>
.
</head>
<list id="">
Fr	w5566
<g/>
.
Susanna	w5568
Conetotin	w5569
<g/>
,
k	w5571
<g/>
.
k	w5573
<g/>
.
Arcier	w5575
<g/>
.
Witt	w5577
<g/>
.
b	w5579
<g/>
.
gold	w5581
<g/>
.
Ochs	w5583
<g/>
.
zu	w5585
Mariah	w5586
<g/>
.
alt	w5588
61	w5589
<g/>
.
J	w5591
<g/>
.
Dem	w5593
Math	w5594
<g/>
.
Dentel	w5596
<g/>
,
Lehenk	w5598
<g/>
.
s	w5600
<g/>
.
W	w5602
<g/>
.
Anna	w5604
<g/>
,
b	w5606
<g/>
.
schw	w5608
<g/>
.
Bärn	w5610
zu	w5611
Mariah	w5612
<g/>
.
alt	w5614
24	w5615
<g/>
.
J	w5617
<g/>
.
Magdalena	w5619
Schwingsalin	w5620
<g/>
,
led	w5622
<g/>
.
bey	w5624
der	w5625
Schnaln	w5626
zu	w5627
Mariah	w5628
<g/>
.
alt	w5630
44	w5631
<g/>
.
J	w5633
<g/>
.
Jos	w5635
Reihold	w5636
<g/>
,
k	w5638
<g/>
.
Senftenkn	w5640
<g/>
.
im	w5642
Lösterisch	w5643
<g/>
.
H	w5645
<g/>
.
auf	w5647
der	w5648
Wied	w5649
<g/>
.
alt	w5651
75	w5652
<g/>
.
J	w5654
<g/>
.
Georg	w5656
Gunzel	w5657
<g/>
,
gem	w5659
<g/>
.
Sold	w5661
<g/>
.
in	w5663
d	w5664
<g/>
.
Alsterg	w5666
<g/>
.
C	w5668
<g/>
.
alt	w5670
49	w5671
<g/>
.
J	w5673
<g/>
.
Dem	w5675
Joh	w5676
<g/>
.
Schatzl	w5678
<g/>
,
Bestandw	w5680
<g/>
.
s	w5682
<g/>
.
W	w5684
<g/>
.
Anna	w5686
<g/>
,
b	w5688
<g/>
.
der	w5690
gold	w5691
<g/>
.
Ente	w5693
in	w5694
der	w5695
Josephst	w5696
<g/>
.
alt	w5698
40	w5699
<g/>
.
J	w5701
<g/>
.
Dem	w5703
Steph	w5704
<g/>
.
Loibel	w5706
<g/>
,
Tagl	w5708
<g/>
.
s	w5710
<g/>
.
W	w5712
<g/>
.
