<doc id="wr_1757-04-13" attrs="word" year="1757" month="04" day="13" corpus="2">
<head id="h2_d134e3550">
Genua,	w1_d134e3554
eingerucket	w11_d134e7216
seynd	w13_d134e7220
wohin	w1_d134e7225
sich	w3_d134e7228
auch	w5_d134e7231
die	w7_d134e7234
Bambergische	w9_d134e7237
Trupen	w11_d134e7240
in	w1_d134e7245
Detaschements	w3_d134e7248
begeben	w5_d134e7251
sollen.	w7_d134e7254
</p>
<head id="h2_d134e7260">
Frankfort	w1_d134e7264
2.	w3_d134e7267
April.	w5_d134e7270
</head>
<p id="p4_d134e7273">
Der	w1_d134e7277
hiesige	w3_d134e7280
Magistrat	w5_d134e7283
ist	w7_d134e7286
eifrigst	w9_d134e7289
beflissen,	w11_d134e7292
das	w1_d134e7297
Contingent,	w3_d134e7300
so	w5_d134e7303
er	w7_d134e7306
geben	w9_d134e7309
solle,	w11_d134e7312
marschfertig	w13_d134e7316
zu	w1_d134e7321
hatten.	w3_d134e7324
Zufolge	w5_d134e7327
Nachrichten	w7_d134e7330
von	w9_d134e7333
Neuberg	w11_d134e7336
und	w1_d134e7342
Armberg,	w3_d134e7345
wird	w5_d134e7348
alldorten	w7_d134e7351
viel	w9_d134e7354
Volk	w11_d134e7357
an	w13_d134e7361
geworben,	w1_d134e7366
und	w3_d134e7369
es	w5_d134e7372
scheinet,	w7_d134e7375
daß	w9_d134e7378
Se.	w11_d134e7381
Chur	w13_d134e7385
fürstl.	w1_d134e7390
Durchl.	w3_d134e7393
aus	w5_d134e7396
Bayern	w7_d134e7399
ihre	w9_d134e7402
Trupen	w11_d134e7405
merklich	w1_d134e7410
vermehren,	w3_d134e7413
nicht	w5_d134e7416
minder	w7_d134e7419
Se	w9_d134e7422
Chur	w11_d134e7425
fürstl	w1_d134e7431
Durchl.	w3_d134e7434
von	w5_d134e7437
der	w7_d134e7440
Pfalz,	w9_d134e7443
vermög	w11_d134e7446
Dero	w13_d134e7450
vorgenommenen	w1_d134e7455
Vermehrung,	w3_d134e7458
unfehlbar	w5_d134e7461
gegen	w1_d134e7466
20000	w3_d134e7469
Mann	w5_d134e7472
auf	w7_d134e7475
die	w9_d134e7478
Beine	w11_d134e7481
bringen	w13_d134e7485
wollen.	w1_d134e7490
Man	w3_d134e7493
vern	w5_d134e7496
mmt	w7_d134e7499
von	w9_d134e7502
Leipzig,	w11_d134e7505
daß	w13_d134e7509
die	w1_d134e7515
Deputirten	w3_d134e7518
der	w5_d134e7521
alldasigen	w7_d134e7524
Kaufmannschaft	w9_d134e7527
zu	w1_d134e7532
Dreßden	w3_d134e7535
den	w5_d134e7538
König	w7_d134e7541
von	w9_d134e7544
Preussen	w11_d134e7547
auch	w13_d134e7551
mit	w15_d134e7554
denen	w1_d134e7559
allerlebhaftesten	w3_d134e7562
Vorstellungen	w5_d134e7565
auf	w7_d134e7568
kei	w9_d134e7571
nerley	w1_d134e7576
Weis	w3_d134e7579
zu	w5_d134e7582
einem	w7_d134e7585
Nachlaß	w9_d134e7588
von	w11_d134e7591
denen	w13_d134e7595
neuerlich	w1_d134e7601
geforderten	w3_d134e7604
900000.	w5_d134e7607
Thalern	w7_d134e7610
be	w9_d134e7613
wegen,	w1_d134e7618
und	w3_d134e7621
weder	w5_d134e7624
der	w7_d134e7627
Summa,	w9_d134e7630
noch	w11_d134e7633
dem	w1_d134e7638
Termin	w3_d134e7641
halber	w5_d134e7644
selbige	w7_d134e7647
zu	w9_d134e7650
erlegen,	w11_d134e7653
einige	w13_d134e7657
Nachsicht	w1_d134e7662
hätten	w3_d134e7665
auswürken	w5_d134e7668
können.	w7_d134e7671
</p>
<head id="h2_d134e7677">
Lüttich	w1_d134e7681
26.	w3_d134e7684
Martii.	w5_d134e7687
</head>
<p id="p4_d134e7690">
Zwey	w1_d134e7694
Bataillons	w3_d134e7697
vom	w5_d134e7700
Französischen	w7_d134e7703
Re	w9_d134e7706
giment	w1_d134e7711
von	w3_d134e7714
Reding,	w5_d134e7717
von	w7_d134e7720
Huy	w9_d134e7723
kommend,	w11_d134e7726
wer	w13_d134e7730
den	w1_d134e7735
morgen	w3_d134e7738
in	w5_d134e7741
unsern	w7_d134e7744
Vorstädten	w9_d134e7747
anlangen,	w11_d134e7750
den	w1_d134e7756
28.	w3_d134e7759
werden	w5_d134e7762
sie	w7_d134e7765
stille	w9_d134e7768
ligen,	w11_d134e7771
und	w13_d134e7775
den	w15_d134e7778
29.	w17_d134e7781
dito	w1_d134e7786
werden	w3_d134e7789
2.	w5_d134e7792
Escadrons	w7_d134e7795
vom	w9_d134e7798
Regiment	w11_d134e7801
Au	w13_d134e7805
</p>
<p id="p6_d134e7808">
bigni	w1_d134e7812
von	w3_d134e7815
Oreil	w5_d134e7818
anlangen,	w7_d134e7821
welchen	w9_d134e7824
zwey	w11_d134e7827
Ba	w13_d134e7831
taillons	w1_d134e7836
von	w3_d134e7839
Chartres	w5_d134e7842
folgen,	w7_d134e7845
desgleichen	w9_d134e7848
die	w11_d134e7851
beyde	w1_d134e7856
andere	w3_d134e7859
Escadrons	w5_d134e7862
von	w7_d134e7865
Aubigni.	w9_d134e7868
Diese	w11_d134e7871
letztere	w1_d134e7877
ligen	w3_d134e7880
den	w5_d134e7883
31.	w7_d134e7886
stille	w9_d134e7889
Den	w11_d134e7892
1.	w13_d134e7896
April	w15_d134e7899
kommen	w1_d134e7904
die	w3_d134e7907
zwey	w5_d134e7910
Bataillons	w7_d134e7913
von	w9_d134e7916
Conty	w11_d134e7919
hier	w13_d134e7923
an,	w1_d134e7928
und	w3_d134e7931
ligen	w5_d134e7934
den	w7_d134e7937
2	w9_d134e7940
dito	w11_d134e7943
stille.	w13_d134e7947
Den	w15_d134e7950
3.	w17_d134e7953
lan	w19_d134e7956
gen	w1_d134e7961
2.	w3_d134e7964
Bataillons,	w5_d134e7967
von	w7_d134e7970
Oreil	w9_d134e7973
kommend	w11_d134e7976
an,	w13_d134e7980
und	w1_d134e7986
ligen	w3_d134e7989
den	w5_d134e7992
4.	w7_d134e7995
stille.	w9_d134e7998
Den	w11_d134e8001
5.	w13_d134e8005
dito	w15_d134e8008
treffen	w17_d134e8011
zwey	w1_d134e8016
Bataillons	w3_d134e8019
vom	w5_d134e8022
Regiment	w7_d134e8025
Provence	w9_d134e8028
ein,	w11_d134e8031
Den	w1_d134e8036
7	w3_d134e8039
hierauf	w5_d134e8042
folgen	w7_d134e8045
zwey	w9_d134e8048
Bataillons	w11_d134e8051
von	w13_d134e8055
Perigord	w1_d134e8060
und	w3_d134e8063
von	w5_d134e8066
Foix,	w7_d134e8069
welche	w9_d134e8072
cantoniren	w11_d134e8075
sollen.	w1_d134e8081
</p>
<head id="h2_d134e8088">
Danzig	w1_d134e8092
24	w3_d134e8095
Martii.	w5_d134e8098
</head>
<p id="p4_d134e8101">
Von	w1_d134e8105
der	w3_d134e8108
Rußischen	w5_d134e8111
Armee	w7_d134e8114
vernihmt	w9_d134e8117
man	w11_d134e8120
daß	w1_d134e8125
dieselbe	w3_d134e8128
sich	w5_d134e8131
immer	w7_d134e8134
weiter	w9_d134e8137
nach	w11_d134e8140
Curland	w13_d134e8144
herunter	w1_d134e8149
ziehe.	w3_d134e8152
Wegen	w5_d134e8155
des	w7_d134e8158
regnerischen	w9_d134e8161
Wet	w11_d134e8164
ters	w1_d134e8170
aber	w3_d134e8173
könnte	w5_d134e8176
man	w7_d134e8179
mit	w9_d134e8182
der	w11_d134e8185
Artillerie	w13_d134e8189
noch	w15_d134e8192
nicht	w1_d134e8197
fortkommen.	w3_d134e8200
Es	w5_d134e8203
gehen	w7_d134e8206
öfters	w9_d134e8209
Couriers	w11_d134e8212
und	w1_d134e8217
Staffeten,	w3_d134e8220
von	w5_d134e8223
Berlin	w7_d134e8226
kommend	w9_d134e8229
durch	w11_d134e8232
diese	w1_d134e8237
Stadt	w3_d134e8240
nach	w5_d134e8243
Königsberg,	w7_d134e8246
welche	w9_d134e8249
mit	w11_d134e8252
ih	w13_d134e8256
ren	w1_d134e8262
Depeschen	w3_d134e8265
fast	w5_d134e8268
alle	w7_d134e8271
an	w9_d134e8274
den	w11_d134e8277
KöniglichPreus	w13_d134e8281
sischen	w1_d134e8286
General=adjutanten	w3_d134e8289
und	w5_d134e8292
Obristen	w7_d134e8295
von	w9_d134e8298
der	w1_d134e8303
Golze	w3_d134e8306
addreßiret	w5_d134e8309
seynd	w7_d134e8312
Dieser	w9_d134e8315
Obriste	w11_d134e8318
befindet	w1_d134e8323
sich	w3_d134e8326
beständig	w5_d134e8329
um	w7_d134e8332
den	w9_d134e8335
Generalfeld	w11_d134e8338
marschall	w1_d134e8344
von	w3_d134e8347
Lehwald.	w5_d134e8350
Vor	w7_d134e8353
einigen	w9_d134e8356
Tagen	w11_d134e8359
giengen	w1_d134e8364
einige	w3_d134e8367
50.	w5_d134e8370
Bäcker=gesellen,	w7_d134e8373
welche	w9_d134e8376
der	w11_d134e8379
hiesige	w1_d134e8384
Preußische	w3_d134e8387
Resident,	w5_d134e8390
als	w7_d134e8393
Feld=bäcker,	w9_d134e8396
angenommen	w1_d134e8401
hat,	w3_d134e8404
nach	w5_d134e8407
Königsberg.	w7_d134e8410
Es	w9_d134e8413
wer	w11_d134e8416
den	w1_d134e8422
von	w3_d134e8425
demselben	w5_d134e8428
auch	w7_d134e8431
Barbierer	w9_d134e8434
und	w11_d134e8437
Schmiede=gesellen	w1_d134e8442
gesucht.	w3_d134e8445
</p>
<head id="h2_d134e8451">
Brüssel	w1_d134e8455
28.	w3_d134e8458
Martii.	w5_d134e8461
</head>
<p id="p4_d134e8464">
Am	w1_d134e8468
Sonn	w3_d134e8471
abend	w5_d134e8474
ist	w7_d134e8477
der	w9_d134e8480
Herr	w11_d134e8483
Graf	w13_d134e8487
von	w15_d134e8490
Maillebois,	w1_d134e8495
General=quartier=meister	w3_d134e8498
der	w5_d134e8501
Französischen	w1_d134e8506
Armee,	w3_d134e8509
desgleichen	w5_d134e8512
der	w7_d134e8515
Mar	w9_d134e8518
quis	w1_d134e8524
de	w3_d134e8527
Salle,	w5_d134e8530
und	w7_d134e8533
gestern	w9_d134e8536
der	w11_d134e8539
Herr	w13_d134e8543
Graf	w15_d134e8546
von	w17_d134e8549
Lorges,	w1_d134e8554
der	w3_d134e8557
Prinz	w5_d134e8560
Camille	w7_d134e8563
de	w9_d134e8566
Lorraine,	w11_d134e8569
der	w13_d134e8573
Marquis	w1_d134e8578
de	w3_d134e8581
Custine,	w5_d134e8584
der	w7_d134e8587
Mylord	w9_d134e8590
Dalor,	w11_d134e8593
und	w13_d134e8597
der	w1_d134e8602
Herr	w3_d134e8605
Graf	w5_d134e8608
von	w7_d134e8611
Saint	w9_d134e8614
Germain,	w11_d134e8617
durch	w13_d134e8621
die	w15_d134e8624
se	w1_d134e8630
Stadt	w3_d134e8633
nach	w5_d134e8636
Stockem	w7_d134e8639
paßiret.	w9_d134e8642
</p>
<head id="h2_d134e8648">
Düsseldorf	w1_d134e8652
27	w3_d134e8655
Martii.	w5_d134e8658
</head>
<p id="p4_d134e8661">
Man	w1_d134e8665
hat	w3_d134e8668
hier	w5_d134e8671
Nachricht	w7_d134e8674
erhalten,	w9_d134e8677
daß	w11_d134e8680
der	w13_d134e8684
Herr	w1_d134e8689
Obrist=leutenant	w3_d134e8692
von	w5_d134e8695
Blomberg	w7_d134e8698
mit	w9_d134e8701
der	w11_d134e8704
Garnison	w1_d134e8709
aus	w3_d134e8712
Meurs	w5_d134e8715
nach	w7_d134e8718
Geldern	w9_d134e8721
marschie	w11_d134e8724
ret,	w1_d134e8730
indem	w3_d134e8733
man	w5_d134e8736
sich	w7_d134e8739
in	w9_d134e8742
diesem	w11_d134e8745
letztern	w13_d134e8749
Ort	w15_d134e8752
in	w17_d134e8755
einen	w1_d134e8760
Vertheidigungs=stand	w3_d134e8763
zu	w5_d134e8766
setzen	w7_d134e8769
trachtet.	w1_d134e8774
Am	w3_d134e8777
verwichenen	w5_d134e8780
Samstag	w7_d134e8783
ist	w1_d134e8788
allhier	w3_d134e8791
ein	w5_d134e8794
grosses	w7_d134e8797
Holländisches	w9_d134e8800
Schifz	w11_d134e8803
mit	w1_d134e8809
700	w3_d134e8812
Fässer	w5_d134e8815
Reiß	w7_d134e8818
beladen,	w9_d134e8821
angelanget:	w11_d134e8824
jedes	w1_d134e8829
Faß	w3_d134e8832
halt	w5_d134e8835
800.	w7_d134e8838
bis	w9_d134e8841
tausend	w11_d134e8844
Pfund	w13_d134e8848
Reiß	w15_d134e8851
in	w1_d134e8856
sich.	w3_d134e8859
Man	w5_d134e8862
sagt,	w7_d134e8865
daß	w9_d134e8868
dieser	w11_d134e8871
Reiß	w13_d134e8875
für	w15_d134e8878
die	w17_d134e8881
</p>
<p id="p10_d134e8894">
Französische	w1_d134e8898
Trupen	w3_d134e8901
gewiedmet	w5_d134e8904
sey.	w7_d134e8907
Zu	w9_d134e8910
Ver	w11_d134e8913
fertigung	w1_d134e8918
der	w3_d134e8921
Brücken,	w5_d134e8924
welche	w7_d134e8927
die	w9_d134e8930
Franzosen	w11_d134e8933
über	w1_d134e8938
die	w3_d134e8941
Flüsse	w5_d134e8944
schlagen	w7_d134e8947
wollen,	w9_d134e8950
haben	w11_d134e8953
die	w13_d134e8957
Französische	w1_d134e8963
Commissarii	w3_d134e8966
22.	w5_d134e8969
Schif=knechte	w7_d134e8972
allhier	w1_d134e8977
angenommen,	w3_d134e8980
deren	w5_d134e8983
jeder	w7_d134e8986
monatlich	w9_d134e8989
12.	w1_d134e8994
Rthlr.	w3_d134e8997
bekommt.	w5_d134e9000
Se.	w7_d134e9003
Durchleucht	w9_d134e9006
der	w11_d134e9009
regierende	w1_d134e9014
Fürst	w3_d134e9017
von	w5_d134e9020
Nassau=weilburg	w7_d134e9023
ist	w9_d134e9026
aus	w11_d134e9029
dem	w1_d134e9035
Haag	w3_d134e9038
zuruck	w5_d134e9041
kommend,	w7_d134e9044
durch	w9_d134e9047
hiesige	w11_d134e9050
Stadt	w1_d134e9055
paßiret.	w3_d134e9058
Da	w5_d134e9061
nun	w7_d134e9064
der	w9_d134e9067
Französische	w11_d134e9070
Ge	w13_d134e9074
neral=major	w1_d134e9079
und	w3_d134e9082
General=quartier=meister	w5_d134e9085
aus	w7_d134e9088
dem	w1_d134e9093
Elsaß	w3_d134e9096
kommend,	w5_d134e9099
hier	w7_d134e9102
angelanget,	w9_d134e9105
und	w11_d134e9108
hierdurch	w1_d134e9114
nach	w3_d134e9117
Neus	w5_d134e9120
fortgereiset	w7_d134e9123
ist,	w9_d134e9126
so	w11_d134e9129
wird	w13_d134e9133
auch	w1_d134e9138
der	w3_d134e9141
Jntendant	w5_d134e9144
von	w7_d134e9147
Straßburg	w9_d134e9150
täg	w11_d134e9153
lich	w1_d134e9158
erwartet.	w3_d134e9161
</p>
<head id="h2_d134e9167">
Dreßden	w1_d134e9171
21.	w3_d134e9174
Martii.	w5_d134e9177
</head>
<p id="p4_d134e9180">
Am	w1_d134e9184
Sonn=abend	w3_d134e9187
traffen	w5_d134e9190
abermals	w7_d134e9193
aus	w9_d134e9196
dem	w11_d134e9199
Reich	w1_d134e9204
über	w3_d134e9207
Nürnberg	w5_d134e9210
200.	w7_d134e9213
Bäcker=knechte	w9_d134e9216
hier	w11_d134e9219
ein.	w1_d134e9224
Sie	w3_d134e9227
marschierten	w5_d134e9230
durch	w7_d134e9233
hiesige	w9_d134e9236
Residenz	w11_d134e9239
mit	w1_d134e9245
der	w3_d134e9248
Music,	w5_d134e9251
und	w7_d134e9254
wurden	w9_d134e9257
in	w11_d134e9260
die	w13_d134e9264
Vorstädte	w15_d134e9267
einquartieret.	w1_d134e9272
</p>
<head id="h2_d134e9278">
Regenspurg	w1_d134e9282
31.	w3_d134e9285
Martii.	w5_d134e9288
</head>
<p id="p4_d134e9291">
Bey	w1_d134e9295
einem	w3_d134e9298
Löbl.	w5_d134e9301
Schwäbischen	w7_d134e9304
Kreiß	w9_d134e9307
ist	w11_d134e9310
unter	w1_d134e9315
dem	w3_d134e9318
1.	w5_d134e9321
Martii	w7_d134e9324
das	w9_d134e9327
dritte	w11_d134e9330
Kreißdeputa	w13_d134e9334
tions=gutachten	w1_d134e9339
folgenden	w3_d134e9342
Jnnhalts	w5_d134e9345
ausge	w7_d134e9348
fallen:	w1_d134e9354
Daß	w3_d134e9357
gleichwie	w5_d134e9360
man	w7_d134e9363
in	w9_d134e9366
dem	w11_d134e9369
vorigen	w13_d134e9373
Gutachten	w1_d134e9378
des	w3_d134e9381
Darfürhaltens	w5_d134e9384
gewesen,	w7_d134e9387
daß	w9_d134e9390
die	w1_d134e9395
Hoch	w3_d134e9398
und	w5_d134e9401
Löbliche	w7_d134e9404
Stände	w9_d134e9407
mit	w11_d134e9410
Aufstellung	w13_d134e9414
und	w1_d134e9419
Montirung	w3_d134e9422
ihrer	w5_d134e9425
Mannschaft	w7_d134e9428
sowol	w9_d134e9431
als	w11_d134e9434
Beritten=machung	w1_d134e9440
ihrer	w3_d134e9443
Cavallerie	w5_d134e9446
sich	w7_d134e9449
so	w9_d134e9452
meh	w11_d134e9455
res	w1_d134e9460
beeilen,	w3_d134e9463
und	w5_d134e9466
die	w7_d134e9469
Termine	w9_d134e9472
so	w11_d134e9475
viel	w13_d134e9479
möglich	w15_d134e9482
zu	w1_d134e9487
anticipiren	w3_d134e9490
suchen	w5_d134e9493
mögen,	w7_d134e9496
als	w9_d134e9499
von	w11_d134e9502
Seiner	w13_d134e9506
Kaiserl.	w1_d134e9511
Majestät	w3_d134e9514
das	w5_d134e9517
Werk	w7_d134e9520
preßiret,	w9_d134e9523
und	w11_d134e9526
die	w1_d134e9532
Marsch=fertigkeit	w3_d134e9535
schon	w5_d134e9538
bis	w7_d134e9541
zu	w9_d134e9544
Ende	w11_d134e9547
dieses	w13_d134e9551
Monats	w1_d134e9556
verlanget	w3_d134e9559
wurde;	w5_d134e9562
also	w7_d134e9565
seye	w9_d134e9568
bey	w11_d134e9571
sol	w13_d134e9575
cher	w1_d134e9580
Bewandsame	w3_d134e9583
kein	w5_d134e9586
längerer	w7_d134e9589
Anstand	w9_d134e9592
zu	w11_d134e9595
nehmen,	w1_d134e9600
des	w3_d134e9603
Herrn	w5_d134e9606
General=feld=marschallen	w7_d134e9609
Hochfürstliche	w1_d134e9615
Durchleucht,	w3_d134e9618
von	w5_d134e9621
Kreiß	w7_d134e9624
wegen	w9_d134e9627
zu	w1_d134e9632
ersuchen,	w3_d134e9635
an	w5_d134e9638
die	w7_d134e9641
sammentliche	w9_d134e9644
Officiers	w11_d134e9647
die	w1_d134e9652
Ordre	w3_d134e9655
ergehen	w5_d134e9658
zu	w7_d134e9661
lassen,	w9_d134e9664
daß	w11_d134e9667
sie	w13_d134e9671
sich	w15_d134e9674
un	w17_d134e9677
verzüglich	w1_d134e9682
equipiren,	w3_d134e9685
und	w5_d134e9688
sofort	w7_d134e9691
anzeigen	w9_d134e9694
sollten,	w1_d134e9700
wer	w3_d134e9703
etwann	w5_d134e9706
von	w7_d134e9709
denenselben	w9_d134e9712
im	w11_d134e9715
Feld	w13_d134e9719
nicht	w1_d134e9724
mehr	w3_d134e9727
dienen	w5_d134e9730
könne,	w7_d134e9733
oder	w9_d134e9736
wollte,	w11_d134e9739
damit	w13_d134e9743
der	w15_d134e9746
Abgang	w1_d134e9751
mit	w3_d134e9754
tüchtigen	w5_d134e9757
Subjectis	w7_d134e9760
unverweilt	w9_d134e9763
ersetzet	w1_d134e9768
werden	w3_d134e9771
möge.	w5_d134e9774
Diese	w7_d134e9777
Equipirung	w9_d134e9780
aber	w1_d134e9786
zu	w3_d134e9789
befördern,	w5_d134e9792
und	w7_d134e9795
denen	w9_d134e9798
Officiers	w11_d134e9801
zu	w13_d134e9805
er	w15_d134e9808
leichtern,	w1_d134e9813
würde	w3_d134e9816
man	w5_d134e9819
sich	w7_d134e9822
nicht	w9_d134e9825
entübrigen	w11_d134e9828
können,	w1_d134e9833
denenselben	w3_d134e9836
auf	w5_d134e9839
3.	w7_d134e9842
Monat	w9_d134e9845
lang	w11_d134e9848
die	w13_d134e9852
Portion	w1_d134e9857
mit	w3_d134e9860
Geld,	w5_d134e9863
und	w7_d134e9866
zwar	w9_d134e9869
für	w11_d134e9872
eine	w13_d134e9876
Mund	w15_d134e9879
und	w1_d134e9885
Pferd=portion	w3_d134e9888
10	w5_d134e9891
fl.	w7_d134e9894
nach	w9_d134e9897
dem	w11_d134e9900
Typo	w13_d134e9904
de	w15_d134e9907
Anno	w1_d134e9912
1742.	w3_d134e9915
vom	w5_d134e9918
heutigen	w7_d134e9921
dato	w9_d134e9924
angerechnet,	w11_d134e9927
</p>
<p id="p6_d134e9930">
dermalen	w1_d134e9934
aus	w3_d134e9937
der	w5_d134e9940
Kreiß=casse	w7_d134e9943
avanciren;	w9_d134e9946
lassen,	w1_d134e9951
ob	w3_d134e9954
schon	w5_d134e9957
nicht	w7_d134e9960
zu	w9_d134e9963
bergen	w11_d134e9966
stünde,	w13_d134e9970
daß	w15_d134e9973
solches	w1_d134e9978
nach	w3_d134e9981
der	w5_d134e9984
Anlag	w7_d134e9987
eine	w9_d134e9990
Summe	w11_d134e9993
von	w13_d134e9997
24430.	w15_d134e10000
fl.	w1_d134e10006
erfordern	w3_d134e10009
würde.	w5_d134e10012
Das	w7_d134e10015
Zeltenproviant	w9_d134e10018
und	w1_d134e10023
Artillerie=fuhr=wesen	w3_d134e10026
betreffend,	w5_d134e10029
bezoge	w7_d134e10032
man	w1_d134e10037
sich	w3_d134e10040
auf	w5_d134e10043
die	w7_d134e10046
ad	w9_d134e10049
Dictaturam	w11_d134e10052
gebrachte	w13_d134e10056
Berechnung	w1_d134e10061
und	w3_d134e10064
Vorschläge,	w5_d134e10067
anheimstellend,	w7_d134e10070
welcher	w1_d134e10076
von	w3_d134e10079
denen	w5_d134e10082
3.	w7_d134e10085
vorgeschlagenen	w9_d134e10088
Wegen	w11_d134e10091
erwählet	w1_d134e10096
werden	w3_d134e10099
wolle,	w5_d134e10102
damit	w7_d134e10105
das	w9_d134e10108
Hoch=fürstl.	w11_d134e10111
Kreiß=ausschreib=amt	w1_d134e10116
solchen	w3_d134e10119
ungesäumt	w5_d134e10122
zum	w7_d134e10125
Vollzug	w1_d134e10130
zu	w3_d134e10133
bringen,	w5_d134e10136
in	w7_d134e10139
den	w9_d134e10142
Stand	w11_d134e10145
gesetzt	w13_d134e10149
wür	w15_d134e10152
de:	w1_d134e10158
und	w3_d134e10161
ob	w5_d134e10164
auch	w7_d134e10167
gleich	w9_d134e10170
aus	w11_d134e10173
denen	w13_d134e10177
eingekom	w15_d134e10180
menen	w1_d134e10185
schon	w3_d134e10188
bekannten	w5_d134e10191
Kreißmagazinsbe	w7_d134e10194
richten	w1_d134e10199
zu	w3_d134e10202
ersehen	w5_d134e10205
gewesen	w7_d134e10208
seye,	w9_d134e10211
daß	w11_d134e10214
ein	w13_d134e10218
ziemli	w15_d134e10221
cher	w1_d134e10226
Vorrat	w3_d134e10229
an	w5_d134e10232
Artillerie,	w7_d134e10235
Gewehr,	w9_d134e10238
Muni	w11_d134e10241
tion,	w1_d134e10247
und	w3_d134e10250
andern	w5_d134e10253
Kriegs=requisitis	w7_d134e10256
darinnen	w9_d134e10259
vorhanden,	w1_d134e10264
so	w3_d134e10267
hätte	w5_d134e10270
man	w7_d134e10273
dannoch	w9_d134e10276
ex	w11_d134e10279
parte	w13_d134e10283
Deputationis	w1_d134e10288
die	w3_d134e10291
weitere	w5_d134e10294
Sorge	w7_d134e10297
getragen,	w9_d134e10300
des	w1_d134e10305
Herrn	w3_d134e10308
Feld=marschallen	w5_d134e10311
Hoch=fürstliche	w7_d134e10314
Durchleucht	w1_d134e10320
die	w3_d134e10323
Specification	w5_d134e10326
sothanen	w7_d134e10329
Vor	w9_d134e10332
rats	w1_d134e10337
unterthänigst	w3_d134e10340
zu	w5_d134e10343
geben	w7_d134e10346
zu	w9_d134e10349
lassen,	w11_d134e10352
um	w13_d134e10356
höchst	w1_d134e10361
erleuchtet	w3_d134e10364
zu	w5_d134e10367
beurtheilen,	w7_d134e10370
ob	w9_d134e10373
dieses	w11_d134e10376
über	w13_d134e10380
all	w1_d134e10385
zu	w3_d134e10388
einer	w5_d134e10391
Campagne	w7_d134e10394
hinlänglich,	w9_d134e10397
oder	w11_d134e10400
was	w13_d134e10404
bey	w1_d134e10410
dieser,	w3_d134e10413
oder	w5_d134e10416
jener	w7_d134e10419
Rubric	w9_d134e10422
noch	w11_d134e10425
abgängi	w13_d134e10429
seye,	w1_d134e10434
für	w3_d134e10437
dessen	w5_d134e10440
Anschaffung	w7_d134e10443
sodann	w9_d134e10446
ebenfalls	w11_d134e10449
das	w1_d134e10454
Hoch=fürstliche	w3_d134e10457
Kreiß=ausschreib=amt	w5_d134e10460
Sor	w7_d134e10463
ge	w1_d134e10468
tragen	w3_d134e10471
würde.	w5_d134e10474
</p>
<head id="h2_d134e10480">
Trier	w1_d134e10484
24.	w3_d134e10487
Martii.	w5_d134e10490
</head>
<p id="p4_d134e10493">
Die	w1_d134e10497
Königliche	w3_d134e10500
Volontairs	w5_d134e10503
bey	w7_d134e10506
der	w9_d134e10509
Fran	w11_d134e10512
zösischen	w1_d134e10517
Armee,	w3_d134e10520
1400.	w5_d134e10523
Mann	w7_d134e10526
an	w9_d134e10529
der	w11_d134e10532
Zahl,	w13_d134e10536
haben	w1_d134e10541
den	w3_d134e10544
verwichenen	w5_d134e10547
Sonn=abend	w7_d134e10550
hier	w9_d134e10553
zuge	w11_d134e10556
bracht.	w1_d134e10562
</p>
<head id="h2_d134e10569">
Petersburg,	w1_d134e10573
den	w3_d134e10576
22.	w5_d134e10579
Martii.	w7_d134e10582
</head>
<p id="p4_d134e10585">
Der	w1_d134e10589
bey	w3_d134e10592
dem	w5_d134e10595
vor	w7_d134e10598
einiger	w9_d134e10601
Zeit	w11_d134e10604
allhier	w13_d134e10608
mit	w15_d134e10611
Tode	w1_d134e10616
abgegangenen	w3_d134e10619
Königl.	w5_d134e10622
Dänischen	w7_d134e10625
ausser	w9_d134e10628
ordentlichen	w1_d134e10633
Gesandten,	w3_d134e10636
Cammer=herrn	w5_d134e10639
von	w7_d134e10642
Malzahn,	w1_d134e10648
geweste	w3_d134e10651
Cammer	w5_d134e10654
junker	w7_d134e10657
und	w9_d134e10660
nun	w11_d134e10663
mehrige	w1_d134e10668
Cammer=herr,	w3_d134e10671
Herr	w5_d134e10674
von	w7_d134e10677
Osten,	w9_d134e10680
ist	w11_d134e10683
von	w1_d134e10688
seinem	w3_d134e10691
Hofe	w5_d134e10694
an	w7_d134e10697
die	w9_d134e10700
Stelle	w11_d134e10703
des	w13_d134e10707
gedachten	w15_d134e10710
Herrn	w1_d134e10715
von	w3_d134e10718
Malzahns	w5_d134e10721
accreditiret	w7_d134e10724
worden,	w9_d134e10727
und	w1_d134e10733
hat	w3_d134e10736
den	w5_d134e10739
8.	w7_d134e10742
dieses	w9_d134e10745
bey	w11_d134e10748
Jhrer	w13_d134e10752
Kaiserl.	w15_d134e10755
Majestät	w1_d134e10760
und	w3_d134e10763
bey	w5_d134e10766
beyderseits	w7_d134e10769
Kaiserl.	w9_d134e10772
Hohei	w11_d134e10775
ten	w1_d134e10780
seine	w3_d134e10783
Audienzen	w5_d134e10786
in	w7_d134e10789
dem	w9_d134e10792
Caracter	w11_d134e10795
eines	w13_d134e10799
ausserordentlichen	w1_d134e10804
Gesandten	w3_d134e10807
gehabt.	w5_d134e10810
Die	w7_d134e10813
Ausrüstung	w1_d134e10819
der	w3_d134e10822
16.	w5_d134e10825
Kriegs=schiffe	w7_d134e10828
und	w9_d134e10831
Galee	w11_d134e10834
