<doc id="edoc_wd_1726-09-18" attrs="word" year="1726" month="09" day="18" corpus="1">
<head id="hl1">
Smirna	w54
<g/>
,
allein	w1881
dieses	w1882
Gerüchte	w1883
hat	w1884
mehrere	w1885
Bekräfti=gung	w1886
<g/>
=
vonnöhten	w1888
<g/>
.
</p>
<head id="hl9">
Genua	w1890
31	w1891
<g/>
.
Augusti	w1893
<g/>
.
</head>
<p id="p26">
Mit	w1895
Schiffen	w1896
aus	w1897
Cagliari	w1898
hat	w1899
man	w1900
ver=nommen	w1901
<g/>
=
<g/>
/
daß	w1904
die	w1905
Galeren	w1906
desselben	w1907
Reichs	w1908
mit	w1909
einigen	w1910
Fahr	w1911
<g/>
=
Zeugen	w1913
alda	w1914
wären	w1915
<g/>
/
und	w1917
Kriegs	w1918
<g/>
=
Völker	w1920
einschiffeten	w1921
<g/>
/
um	w1923
sie	w1924
wieder=um	w1925
<g/>
=
nach	w1927
Villa	w1928
<g/>
-
Franca	w1930
herüberzusetzen	w1931
<g/>
.
</p>
<p id="p27">
Gestern	w1933
brachte	w1934
eine	w1935
Frantzösische	w1936
Tarta-ne	w1937
<g/>
-
mit	w1939
Saltz	w1940
<g/>
/
so	w1942
von	w1943
Trapani	w1944
angekom=men	w1945
<g/>
=
<g/>
/
mit	w1948
<g/>
/
daß	w1950
sie	w1951
vor	w1952
12	w1953
<g/>
.
Tägen	w1955
die	w1956
Gale=ren	w1957
<g/>
=
von	w1959
Malta	w1960
daselbst	w1961
hinterlassen	w1962
<g/>
/
wel=che	w1964
<g/>
=
aus	w1966
Ursachen	w1967
<g/>
/
weil	w1969
ihr	w1970
General	w1971
krank	w1972
lige	w1973
<g/>
/
sich	w1975
aufhalten	w1976
müsten	w1977
<g/>
;
und	w1979
eine	w1980
an=dere	w1981
<g/>
=
dergleichen	w1983
<g/>
/
welche	w1985
vor	w1986
21	w1987
<g/>
.
Tägen	w1989
von	w1990
Malta	w1991
ausgefahren	w1992
<g/>
/
meldet	w1994
<g/>
/
daß	w1996
sie	w1997
gedach=tes	w1998
<g/>
=
Ordens	w2000
<g/>
=
Schiffe	w2002
Segel	w2003
<g/>
=
fertig	w2005
<g/>
/
auf	w2007
den	w2008
Lauf	w2009
auszugehen	w2010
<g/>
/
verlassen	w2012
hätte	w2013
<g/>
.
</p>
<p id="p28">
Weilen	w2015
das	w2016
ansteckende	w2017
Ubel	w2018
<g/>
/
so	w2020
in	w2021
denen	w2022
Türkischen	w2023
Ländern	w2024
grosses	w2025
Sterben	w2026
verur=sachet	w2027
<g/>
=
<g/>
/
bis	w2030
in	w2031
Morea	w2032
eingerissen	w2033
hat	w2034
<g/>
/
hat	w2036
ein	w2037
hiesiger	w2038
Löbl	w2039
<g/>
.
Gesundheits	w2041
<g/>
=
Raht	w2043
die	w2044
Con=tumatz	w2045
<g/>
=
für	w2047
die	w2048
Fahr	w2049
<g/>
=
Zeuge	w2051
<g/>
/
so	w2053
aus	w2054
denenselben	w2055
Enden	w2056
ankommen	w2057
<g/>
/
auf	w2059
40	w2060
<g/>
.
Täge	w2062
gesteigert	w2063
<g/>
.
</p>
<head id="hl10">
Paris	w2065
1	w2066
<g/>
.
September	w2068
<g/>
.
</head>
<p id="p29">
Den	w2070
22	w2071
<g/>
.
des	w2073
verwichenen	w2074
Monats	w2075
wurde	w2076
in	w2077
der	w2078
Pfarr	w2079
<g/>
=
Kirchen	w2081
von	w2082
Versailles	w2083
wegen	w2084
der	w2085
Königin	w2086
Wieder	w2087
<g/>
=
Genesung	w2089
ein	w2090
Te	w2091
Deum	w2092
Laudamus	w2093
mit	w2094
Schlagung	w2095
der	w2096
Orgel	w2097
<g/>
/
und	w2099
auf	w2100
den	w2101
Abend	w2102
ein	w2103
anderes	w2104
durch	w2105
die	w2106
Kö=nigl	w2107
<g/>
=
<g/>
.
Musicanten	w2110
mit	w2111
Stimmen	w2112
<g/>
/
und	w2114
In- strumenten	w2115
<g/>
-
abgesungen	w2117
<g/>
;
zu	w2119
gleicher	w2120
Freud	w2121
<g/>
=
Bezeugung	w2123
liessen	w2124
auch	w2125
des	w2126
folgenden	w2127
Tags	w2128
der	w2129
Königin	w2130
Tafel	w2131
<g/>
=
Bediente	w2133
<g/>
/
und	w2135
Mund MundKöche	w2136
<g/>
=
</p>
<p id="p30">
Köche	w2141
Jhrer	w2142
Majestät	w2143
eine	w2144
Music	w2145
in	w2146
dem	w2147
Garten	w2148
unten	w2149
an	w2150
dero	w2151
Zimmer	w2152
machen	w2153
<g/>
.
Jh=re	w2155
<g/>
=
Majestät	w2157
hat	w2158
wiederum	w2159
ihren	w2160
vorigen	w2161
Ap-petit	w2162
<g/>
-
<g/>
,
und	w2165
die	w2166
von	w2167
hier	w2168
aus	w2169
zu	w2170
ihr	w2171
beruffen=ne	w2172
<g/>
=
Aerzte	w2174
<g/>
/
als	w2176
deren	w2177
sie	w2178
nicht	w2179
mehr	w2180
vonnöh=ten	w2181
<g/>
=
<g/>
/
seynd	w2184
wiederum	w2185
zuruk	w2186
geschicket	w2187
worden	w2188
<g/>
.
</p>
<p id="p31">
Den	w2190
24	w2191
<g/>
.
Dito	w2193
seynd	w2194
die	w2195
Gondolen	w2196
<g/>
=
und	w2198
Ruder	w2199
<g/>
=
Knecht	w2201
<g/>
/
die	w2203
zu	w2204
Bedienung	w2205
des	w2206
gros=sen	w2207
<g/>
=
Canals	w2209
die	w2210
Aufwartung	w2211
haben	w2212
<g/>
/
auf	w2214
ei=ner	w2215
<g/>
=
Gondolen	w2217
an	w2218
eine	w2219
andere	w2220
mit	w2221
Kunst	w2222
<g/>
=
Feuerwerk	w2224
zugerüstete	w2225
gestossen	w2226
<g/>
/
eben	w2228
als	w2229
der	w2230
Feuerwerker	w2231
das	w2232
Kunst	w2233
<g/>
=
Feuer	w2235
anzünde=te	w2236
<g/>
=
<g/>
/
wordurch	w2239
dann	w2240
die	w2241
Canal	w2242
<g/>
=
Knecht	w2244
in	w2245
dem	w2246
Angesicht	w2247
<g/>
/
und	w2249
an	w2250
denen	w2251
Händen	w2252
übel	w2253
ver=brannt	w2254
<g/>
=
<g/>
/
und	w2257
gezwungen	w2258
worden	w2259
<g/>
/
sich	w2261
in	w2262
das	w2263
Wasser	w2264
zu	w2265
werffen	w2266
<g/>
/
und	w2268
durch	w2269
Schwim=men	w2270
<g/>
=
sich	w2272
zu	w2273
retten	w2274
<g/>
.
</p>
<p id="p32">
Den	w2276
25	w2277
<g/>
.
Dito	w2279
<g/>
/
an	w2281
St	w2282
<g/>
.
Ludwigs	w2284
<g/>
=
Fest	w2286
<g/>
/
præsentirten rten	w2288
die	w2289
Trommel	w2290
<g/>
=
Schlager	w2292
beeder	w2293
Regimentern	w2294
der	w2295
Frantzösisch	w2296
<g/>
=
und	w2298
Schwei=tzerischen	w2299
<g/>
=
Leib	w2301
<g/>
=
Wacht	w2303
<g/>
/
dem	w2305
König	w2306
ihr	w2307
Spiel	w2308
<g/>
/
nachdeme	w2310
er	w2311
aus	w2312
der	w2313
Heil	w2314
<g/>
.
Messe	w2316
zuruk	w2317
kame	w2318
<g/>
/
und	w2320
machten	w2321
unter	w2322
der	w2323
Mittags	w2324
<g/>
=
Mahlzeit	w2326
die	w2327
24	w2328
<g/>
.
bestellte	w2330
Violonisten	w2331
Jhrer	w2332
Majestät	w2333
ei=ne	w2334
<g/>
=
Music	w2336
<g/>
;
des	w2338
folgenden	w2339
Tags	w2340
wurde	w2341
in	w2342
der	w2343
Recollecten	w2344
<g/>
=
Kirchen	w2346
zu	w2347
Versailles	w2348
für	w2349
die	w2350
Seelen	w2351
Ruhe	w2352
der	w2353
Hertzogin	w2354
von	w2355
Orleans	w2356
ein	w2357
feyerliches	w2358
Amt	w2359
gehalten	w2360
<g/>
.
</p>
<p id="p33">
Weilen	w2362
die	w2363
Gesundheit	w2364
der	w2365
Königin	w2366
sich	w2367
täglich	w2368
mehrers	w2369
bestärket	w2370
<g/>
/
so	w2372
glaubt	w2373
man	w2374
<g/>
/
daß	w2376
sie	w2377
auf	w2378
den	w2379
20	w2380
<g/>
.
dieses	w2382
auch	w2383
nacher	w2384
Fon-tainebleau	w2385
<g/>
-
abgehen	w2387
werde	w2388
<g/>
.
</p>
<p id="p34">
Der	w2390
zu	w2391
Langres	w2392
in	w2393
der	w2394
Verweisung	w2395
gewe=ste	w2396
<g/>
=
Herr	w2398
Paris	w2399
du	w2400
Vernay	w2401
sitzet	w2402
nun	w2403
in	w2404
der	w2405
Bastille	w2406
<g/>
.
</p>
<p id="p35">
Nachdeme	w2408
in	w2409
der	w2410
vergangenen	w2411
Woche	w2412
der	w2413
Herr	w2414
Pajot	w2415
d'Hardwilliers	w2416
sich	w2417
nach	w2418
seinem	w2419
bey	w2420
Gonesse	w2421
gelegenen	w2422
Lust	w2423
<g/>
=
Gut	w2425
begabe	w2426
<g/>
/
einen	w2428
Officier	w2429
von	w2430
seinen	w2431
guten	w2432
Freunden	w2433
<g/>
/
und	w2435
seinen	w2436
Wund	w2437
<g/>
=
Arzt	w2439
mit	w2440
sich	w2441
dahin	w2442
nach=me	w2443
<g/>
=
<g/>
/
dieselbe	w2446
auch	w2447
<g/>
/
weilen	w2449
er	w2450
sich	w2451
noch	w2452
selbi=gen	w2453
<g/>
=
Abends	w2455
nach	w2456
der	w2457
Stadt	w2458
zuruk	w2459
begeben	w2460
muste	w2461
<g/>
/
alda	w2463
hinterliesse	w2464
<g/>
/
daraufhin	w2466
diese	w2467
2	w2468
<g/>
.
letztere	w2470
in	w2471
dem	w2472
darbey	w2473
gelegenen	w2474
Wald	w2475
des	w2476
folgenden	w2477
St	w2478
<g/>
.
Ludwigs	w2480
<g/>
=
Tag	w2482
mit	w2483
ihren	w2484
Flin=ten	w2485
<g/>
=
spatzieren	w2487
gegangen	w2488
<g/>
/
stiessen	w2490
sie	w2491
in	w2492
dem=selben	w2493
<g/>
=
auf	w2495
4	w2496
<g/>
.
grün	w2498
<g/>
=
gekleidete	w2500
<g/>
/
und	w2502
als	w2503
Jäger	w2504
bewaffnete	w2505
Personen	w2506
<g/>
/
welche	w2508
der	w2509
Officier	w2510
be=fragte	w2511
<g/>
=
<g/>
/
aus	w2514
wessen	w2515
Befehl	w2516
oder	w2517
Erlaubnuß	w2518
dieselbe	w2519
im	w2520
Wald	w2521
jagten	w2522
<g/>
;
er	w2524
wurde	w2525
aber	w2526
an	w2527
statt	w2528
der	w2529
Antwort	w2530
von	w2531
einem	w2532
dieser	w2533
vie=ren	w2534
<g/>
=
<g/>
/
hernacher	w2537
auch	w2538
dieser	w2539
letztere	w2540
von	w2541
dem	w2542
</p>
<p id="p36">
Wund	w2543
<g/>
=
Arzt	w2545
hinwiederum	w2546
über	w2547
einen	w2548
Hauf=fen	w2549
<g/>
=
geschossen	w2551
<g/>
;
der	w2553
Wund	w2554
<g/>
=
Arzt	w2556
bekame	w2557
hin=gegen	w2558
<g/>
=
sogleich	w2560
von	w2561
einem	w2562
deren	w2563
drey	w2564
übri=gen	w2565
<g/>
=
auch	w2567
einen	w2568
Flinten	w2569
<g/>
=
Schuß	w2571
in	w2572
das	w2573
Ach=sel	w2574
<g/>
=
<g/>
=
Bein	w2577
<g/>
/
welches	w2579
dardurch	w2580
zerbrochen	w2581
wur=de	w2582
<g/>
=
<g/>
/
nachdeme	w2585
er	w2586
nun	w2587
gleich	w2588
davon	w2589
zur	w2590
Er=den	w2591
<g/>
=
fiele	w2593
<g/>
/
und	w2595
diese	w2596
drey	w2597
<g/>
/
ihn	w2599
für	w2600
todt	w2601
hal=tend	w2602
<g/>
=
<g/>
/
sich	w2605
auf	w2606
die	w2607
Flucht	w2608
begaben	w2609
<g/>
/
der	w2611
Wund	w2612
<g/>
=
Arzt	w2614
aber	w2615
daraufhin	w2616
sich	w2617
wieder	w2618
er=holet	w2619
<g/>
=
<g/>
/
auch	w2622
den	w2623
gantzen	w2624
Verlauf	w2625
deren	w2626
Sa=chen	w2627
<g/>
=
erzehlet	w2629
<g/>
/
so	w2631
ist	w2632
der	w2633
Wald	w2634
durchsuchet	w2635
<g/>
/
und	w2637
in	w2638
demselben	w2639
eine	w2640
Menge	w2641
contrabande	w2642
Waa=ren	w2643
<g/>
=
gefunden	w2645
<g/>
/
und	w2647
darauf	w2648
geurtheiler	w2649
wor=den	w2650
<g/>
=
<g/>
/
daß	w2653
obige	w2654
4	w2655
<g/>
.
Personen	w2657
Contrabandisten	w2658
gewesen	w2659
seyen	w2660
<g/>
.
</p>
<p id="p37">
Der	w2662
vorhin	w2663
geweste	w2664
General	w2665
<g/>
-
Controlleur	w2667
deren	w2668
Finanzen	w2669
<g/>
/
Msr	w2671
<g/>
.
Dodun	w2673
<g/>
,
hat	w2675
Befehl	w2676
erhalten	w2677
<g/>
/
dem	w2679
Hof	w2680
nacher	w2681
Fontainebleau	w2682
zu	w2683
folgen	w2684
<g/>
/
um	w2686
der	w2687
jetzigen	w2688
Finanz	w2689
-Verwaltung	w2690
über	w2691
verschiedene	w2692
Puncten	w2693
<g/>
/
Red	w2695
und	w2696
Ant=wort	w2697
<g/>
=
zu	w2699
geben	w2700
<g/>
:
alle	w2702
vorherige	w2703
Finanz	w2704
-Ver	w2705
Ver=waltere	w2706
<g/>
=
werden	w2708
zu	w2709
gleicher	w2710
Rechenschaft	w2711
ge=zogen	w2712
<g/>
=
<g/>
.
Msr	w2715
<g/>
.
Dombreval	w2717
<g/>
,
alhier	w2719
gewester	w2720
Ge	w2721
<g/>
-
neral	w2723
<g/>
-
Statthalter	w2725
der	w2726
Policey	w2727
<g/>
,
hat	w2729
auch	w2730
den	w2731
Befehl	w2732
auf	w2733
erstere	w2734
Beruffung	w2735
sich	w2736
zu	w2737
gleicher	w2738
Verantwortung	w2739
einzustellen	w2740
<g/>
.
</p>
<head id="hl11">
Turin	w2742
2	w2743
<g/>
.
September	w2745
<g/>
.
</head>
<p id="p38">
Verwichenen	w2747
Samstag	w2748
frühe	w2749
ist	w2750
Jhre	w2751
Ma=jestät	w2752
<g/>
=
<g/>
/
unser	w2755
Allergnädigster	w2756
König	w2757
<g/>
/
von	w2759
Chambery	w2760
aus	w2761
Savoyen	w2762
alhier	w2763
wieder	w2764
glük=lich	w2765
<g/>
=
zuruk	w2767
angelanget	w2768
<g/>
/
wormit	w2770
denen	w2771
Nego- tiationen	w2772
<g/>
-
die	w2774
Eröfnung	w2775
wieder	w2776
wird	w2777
gege=ben	w2778
<g/>
=
werden	w2780
<g/>
.
</p>
<p id="p39">
Die	w2782
Mißhelligkeiten	w2783
wegen	w2784
Oneglia	w2785
ma=chen	w2786
<g/>
=
zwischen	w2788
hiesigen	w2789
Hof	w2790
<g/>
/
und	w2792
der	w2793
Re-public	w2794
<g/>
-
Genua	w2796
vieles	w2797
Discuriren	w2798
<g/>
:
diese	w2800
letztere	w2801
beförchtet	w2802
schier	w2803
einen	w2804
Einfall	w2805
<g/>
/
um	w2807
so	w2808
mehr	w2809
<g/>
/
weilen	w2811
unsere	w2812
Kriegs	w2813
<g/>
=
Völker	w2815
ergäntzet	w2816
<g/>
/
die	w2818
Ca-vallerie	w2819
<g/>
-
beritten	w2821
gemacht	w2822
<g/>
/
und	w2824
die	w2825
Gräntze	w2826
<g/>
=
Fe=stungen	w2828
<g/>
=
mit	w2830
denen	w2831
nöhtigen	w2832
Munitionen	w2833
ver=sehen	w2834
<g/>
=
werden	w2836
<g/>
:
jedoch	w2838
hoffet	w2839
man	w2840
das	w2841
bessere	w2842
<g/>
.
</p>
<p id="p40">
Nebst	w2844
diesem	w2845
schwebet	w2846
auch	w2847
schon	w2848
seither	w2849
etlichen	w2850
Jahren	w2851
her	w2852
eine	w2853
gewisse	w2854
Strittigkeit	w2855
in	w2856
puncto	w2857
Jurisdictionis	w2858
zwischen	w2859
einem	w2860
dem	w2861
hiesigen	w2862
König	w2863
zugehörigen	w2864
<g/>
/
sogenannten	w2866
Ort	w2867
Ormea	w2868
<g/>
,
dann	w2870
einem	w2871
den	w2872
Genuesern	w2873
ge=hörigen	w2874
<g/>
=
Ort	w2876
Piere	w2877
<g/>
:
wie	w2879
diese	w2880
letztere	w2881
verwi=chenen	w2882
<g/>
=
Bartholomæi Bartholomaei	w2884
-Tag	w2885
wider	w2886
die	w2887
von	w2888
Or-mea	w2889
<g/>
-
einen	w2891
Actum	w2892
Possessionis	w2893
haben	w2894
exer- ciren	w2895
<g/>
-
wollen	w2897
<g/>
/
hat	w2899
man	w2900
denen	w2901
hier	w2902
eingelof=fenen	w2903
<g/>
=
Nachrichten	w2905
nach	w2906
<g/>
/
daß	w2908
diese	w2909
beede	w2910
</p>
<p id="p41">
Communitäten	w2913
Hand	w2914
<g/>
=
gemein	w2916
worden	w2917
<g/>
/
und	w2919
von	w2920
denen	w2921
Genuesern	w2922
17	w2923
<g/>
.
bis	w2925
18	w2926
<g/>
.
todt	w2928
gebli=ben	w2929
<g/>
=
<g/>
/
wie	w2932
viel	w2933
aber	w2934
von	w2935
Seiten	w2936
deren	w2937
Pie=monteser	w2938
<g/>
=
das	w2940
Leben	w2941
gelassen	w2942
<g/>
/
davon	w2944
will	w2945
man	w2946
hier	w2947
nichts	w2948
wissen	w2949
<g/>
.
</p>
<head id="hl12">
Brüssel	w2951
3	w2952
<g/>
.
September	w2954
</head>
<p id="p42">
Jhre	w2955
Ertz	w2956
<g/>
=
Hertzogliche	w2958
Durchleucht	w2959
bega=be	w2960
<g/>
=
sich	w2962
verwichenen	w2963
Sonntags	w2964
in	w2965
die	w2966
Kirche	w2967
derer	w2968
Canonicarum	w2969
Regularium	w2970
zu	w2971
St	w2972
<g/>
.
Au=gustin	w2974
<g/>
=
in	w2976
dem	w2977
Closter	w2978
von	w2979
Jericho	w2980
<g/>
,
den	w2982
En=glischen	w2983
<g/>
=
Gruß	w2985
anzuhören	w2986
<g/>
;
von	w2988
wannen	w2989
sel=be	w2990
<g/>
=
die	w2992
Opera	w2993
von	w2994
dem	w2995
Pyrithoo	w2996
zu	w2997
sehen	w2998
fuh=re	w2999
<g/>
=
<g/>
.
Gestern	w3002
frühe	w3003
gienge	w3004
Jhre	w3005
Durchleucht	w3006
sich	w3007
auf	w3008
der	w3009
Jagd	w3010
in	w3011
dem	w3012
Schlosse	w3013
Tervu- ren	w3014
<g/>
-
zu	w3016
belustigen	w3017
<g/>
/
von	w3019
wannen	w3020
sie	w3021
sich	w3022
folg=lich	w3023
<g/>
=
auf	w3025
das	w3026
Eberbergische	w3027
<g/>
/
so	w3029
dem	w3030
Fürsten	w3031
von	w3032
Rubempre	w3033
Jhrer	w3034
Durchleucht	w3035
Ober	w3036
<g/>
=
Stallmeistern	w3038
zugehöret	w3039
<g/>
/
begabe	w3041
<g/>
/
welcher	w3043
sie	w3044
daselbst	w3045
<g/>
/
mit	w3047
dero	w3048
gantzen	w3049
Hofstatt	w3050
be=gastete	w3051
<g/>
=
<g/>
.
</p>
<head id="hl13">
Meiland	w3054
4	w3055
<g/>
.
September	w3057
<g/>
.
</head>
<p id="p43">
Mittwoch	w3059
des	w3060
Abends	w3061
wurde	w3062
eine	w3063
drey=malige	w3064
<g/>
=
Abfeuerung	w3066
des	w3067
sämtlichen	w3068
Geschüz=tzes	w3069
<g/>
=
auf	w3071
dem	w3072
Castell	w3073
<g/>
/
um	w3075
den	w3076
Geburts	w3077
<g/>
=
Tag	w3079
Jhrer	w3080
Majestät	w3081
der	w3082
Regierenden	w3083
Kaiserin	w3084
zu	w3085
beehren	w3086
<g/>
/
gehalten	w3088
<g/>
.
Und	w3090
nachdem	w3091
Jhre	w3092
Excellentz	w3093
<g/>
/
die	w3095
Frau	w3096
Gräfin	w3097
Gubernatorin	w3098
<g/>
,
die	w3100
Damen	w3101
empfangen	w3102
hatte	w3103
<g/>
/
wurde	w3105
ein	w3106
Pastoral	w3107
<g/>
,
oder	w3109
Hirten	w3110
<g/>
=
Gedichte	w3112
abgesungen	w3113
<g/>
/
nach	w3115
dessen	w3116
Endigung	w3117
<g/>
/
Jhre	w3119
Excellentzen	w3120
<g/>
/
nach	w3122
Niguarda	w3123
<g/>
,
daselbst	w3125
zu	w3126
übernachten	w3127
<g/>
/
ab=fuhren	w3129
<g/>
=
<g/>
.
</p>
<p id="p44">
Der	w3132
Herr	w3133
Marches	w3134
Colmenero	w3135
<g/>
,
des	w3137
hie=sigen	w3138
<g/>
=
Castells	w3140
Gubernator	w3141
<g/>
,
liget	w3143
in	w3144
den	w3145
letz=ten	w3146
<g/>
=
Zügen	w3148
seines	w3149
Lebens	w3150
<g/>
.
Es	w3152
ist	w3153
ein	w3154
Mini=ster	w3155
<g/>
=
von	w3157
Parma	w3158
alhier	w3159
gewesen	w3160
<g/>
/
um	w3162
einen	w3163
gewissen	w3164
Handel	w3165
<g/>
/
so	w3167
der	w3168
Resident	w3169
desselben	w3170
Hofes	w3171
mit	w3172
der	w3173
hiesigen	w3174
Regierung	w3175
gehabt	w3176
<g/>
/
zu	w3178
schlichten	w3179
<g/>
.
</p>
<head id="hl14">
München	w3181
5	w3182
<g/>
.
September	w3184
</head>
<p id="p45">
Mittwoch	w3185
<g/>
/
den	w3187
4	w3188
<g/>
.
dieses	w3190
<g/>
/
hat	w3192
der	w3193
bisher	w3194
alhier	w3195
anwesende	w3196
Königl	w3197
<g/>
.
Frantzösische	w3199
Ge=sandte	w3200
<g/>
=
<g/>
/
Herr	w3203
Marquis	w3204
de	w3205
Mailbois	w3206
Mailboisbey	w3207
Jh=rer	w3208
<g/>
=
Churfürstl	w3210
<g/>
.
Durchl	w3212
<g/>
.
<g/>
/
unserm	w3215
gnädigsten	w3216
Herrn	w3217
<g/>
/
und	w3219
bey	w3220
unser	w3221
gnädigsten	w3222
Frauen	w3223
Jhrer	w3224
Durchl	w3225
der	w3226
Chur	w3227
<g/>
=
Fürstin	w3229
<g/>
/
auch	w3231
sam=mentlichen	w3232
<g/>
=
Durchl	w3234
<g/>
.
Herrschaften	w3236
<g/>
/
die	w3238
offent=liche	w3239
<g/>
=
Abschieds	w3241
<g/>
=
Audientz	w3243
gehabt	w3244
<g/>
/
und	w3246
ist	w3247
heut	w3248
Morgens	w3249
von	w3250
hier	w3251
mit	w3252
3	w3253
<g/>
.
Post	w3255
<g/>
=
Cales=sen	w3257
<g/>
=
abgereiset	w3259
<g/>
.
</p>
<head id="hl15">
Venedig	w3261
7	w3262
<g/>
.
Septemb	w3264
<g/>
.
</head>
<p id="p46">
Freytags	w3266
langete	w3267
die	w3268
Fregatte	w3269
St	w3270
<g/>
.
An Andren	w3272
<g/>
=
</p>
<p id="p47">
dren	w3274
worauf	w3275
eine	w3276
Compagnie	w3277
Wälschen	w3278
Fuß	w3279
<g/>
=
Volks	w3281
<g/>
/
und	w3283
32	w3284
<g/>
.
reisende	w3286
Personen	w3287
<g/>
/
auch	w3289
grosser	w3290
Vorraht	w3291
an	w3292
unbrauchbar	w3293
geworde=nen	w3294
<g/>
=
Materialien	w3296
<g/>
/
und	w3298
Rüst	w3299
<g/>
=
Zeug	w3301
wa=ren	w3302
<g/>
=
<g/>
/
in	w3305
22	w3306
<g/>
.
Tägen	w3308
von	w3309
Corfu	w3310
an	w3311
<g/>
.
</p>
<p id="p48">
Dienstag	w3313
Abends	w3314
kame	w3315
in	w3316
5	w3317
<g/>
.
Tägen	w3319
von	w3320
Zara	w3321
eine	w3322
Galere	w3323
von	w3324
der	w3325
Republic	w3326
an	w3327
<g/>
/
worauf	w3329
der	w3330
Herr	w3331
Anton	w3332
Erizzo	w3333
<g/>
,
nach	w3335
ge	w3336
<g/>
=
en=deter	w3338
<g/>
=
seiner	w3340
General	w3341
<g/>
-
Provisor	w3343
-Stelle	w3344
in	w3345
Dalmatien	w3346
<g/>
,
woselbst	w3348
der	w3349
Herr	w3350
Peter	w3351
Ven-dramin	w3352
<g/>
-
<g/>
,
als	w3355
neuer	w3356
Provisor	w3357
derselben	w3358
Pro-vinz	w3359
<g/>
-
von	w3361
hier	w3362
albereits	w3363
angelanget	w3364
<g/>
/
ware	w3366
<g/>
.
Des	w3368
folgenden	w3369
Morgens	w3370
begabe	w3371
sich	w3372
obbe=meldeten	w3373
<g/>
=
Herr	w3375
Anton	w3376
Erizzo	w3377
<g/>
,
mit	w3379
einem	w3380
zahl=baren	w3381
<g/>
=
Gefolg	w3383
derer	w3384
Herren	w3385
Procuratoren	w3386
<g/>
/
Senatoren	w3388
<g/>
/
und	w3390
anderer	w3391
Edelen	w3392
<g/>
/
in	w3394
das	w3395
Hochlöbl	w3396
Collegium	w3397
<g/>
,
sich	w3399
unserem	w3400
Doge	w3401
vorzustellen	w3402
<g/>
.
</p>
<p id="p49">
Des	w3404
Nachts	w3405
zwischen	w3406
vergangenen	w3407
Frey=tag	w3408
<g/>
=
und	w3410
Sonn	w3411
<g/>
=
Abend	w3413
<g/>
/
entstunde	w3415
alhier	w3416
ein	w3417
schweres	w3418
Ungewitter	w3419
nebst	w3420
einem	w3421
unge=stümen	w3422
<g/>
=
Winde	w3424
<g/>
/
welcher	w3426
ausser	w3427
daß	w3428
einige	w3429
Garten	w3430
<g/>
=
Mauren	w3432
<g/>
/
so	w3434
wol	w3435
in	w3436
dieser	w3437
Stadt	w3438
<g/>
/
als	w3440
in	w3441
dem	w3442
nachgelegenen	w3443
Orte	w3444
Muran	w3445
umgeworffen	w3446
<g/>
/
auch	w3448
den	w3449
Untergang	w3450
einiger	w3451
kleinen	w3452
und	w3453
grossen	w3454
Fahr	w3455
<g/>
=
Zeugen	w3457
im	w3458
hiesi=gen	w3459
<g/>
=
Hafen	w3461
<g/>
/
und	w3463
unter	w3464
diesen	w3465
ein	w3466
Malte-ser	w3467
<g/>
-
-Schif	w3469
<g/>
/
so	w3471
mit	w3472
reicher	w3473
Ladung	w3474
in	w3475
den=selben	w3476
<g/>
=
eingelauffen	w3478
ware	w3479
<g/>
/
verursachet	w3481
<g/>
;
wel=ches	w3483
<g/>
=
letztere	w3485
man	w3486
aber	w3487
ausfischet	w3488
<g/>
/
in	w3490
Hof=nung	w3491
<g/>
=
man	w3493
werde	w3494
es	w3495
gäntzlich	w3496
wieder	w3497
auf=bringen	w3498
<g/>
=
<g/>
.
</p>
<p id="p50">
Sonntags	w3501
frühe	w3502
wurde	w3503
von	w3504
dem	w3505
grossen	w3506
Raht	w3507
der	w3508
Herr	w3509
Marc	w3510
<g/>
-
Anton	w3512
Dolsin	w3513
<g/>
,
zum	w3515
neuen	w3516
Provisor	w3517
in	w3518
Zante	w3519
erwehlet	w3520
<g/>
/
der	w3522
in	w3523
des	w3524
Herrn	w3525
Andrea	w3526
Marcello	w3527
Stelle	w3528
<g/>
/
dessen	w3530
Verwaltung	w3531
zu	w3532
Ende	w3533
gehet	w3534
<g/>
/
tretten	w3536
solle	w3537
<g/>
.
</p>
<head id="hl16">
Leipzig	w3539
7	w3540
<g/>
.
September	w3542
<g/>
.
</head>
<p id="p51">
Donnerstag	w3544
<g/>
/
den	w3546
29	w3547
<g/>
.
Augusti	w3549
<g/>
/
Abends	w3551
um	w3552
7	w3553
<g/>
.
Uhr	w3555
kamen	w3556
Jhre	w3557
Majestät	w3558
die	w3559
Köni=gin	w3560
<g/>
=
in	w3562
Pohlen	w3563
<g/>
/
und	w3565
Chur	w3566
<g/>
=
Fürstin	w3568
zu	w3569
Sach=sen	w3570
<g/>
=
<g/>
/
von	w3573
Prezsch	w3574
alhier	w3575
an	w3576
<g/>
/
und	w3578
Freytags	w3579
fruhe	w3580
gegen	w3581
9	w3582
<g/>
.
Uhr	w3584
reiseten	w3585
dieselbe	w3586
weiter	w3587
nach	w3588
dem	w3589
Carls	w3590
<g/>
=
Bade	w3592
<g/>
/
um	w3594
dasige	w3595
Cur	w3596
zu	w3597
ge=brauchen	w3598
<g/>
=
<g/>
.
