<doc id="wr_1759-12-12" attrs="word" year="1759" month="12" day="12" corpus="2">
<head id="h2_d405e4228">
Lahn=strom	w4_d405e4231
grossen	w115_d405e7965
mit	w117_d405e7968
vielem	w119_d405e7971
Volk	w121_d405e7974
und	w124_d405e7978
Schiffen	w126_d405e7983
mit	w128_d405e7986
Mascaxen	w130_d405e7989
angefüllten	w132_d405e7992
Canal.	w135_d405e7996
Die	w137_d405e8001
Audienz	w139_d405e8004
geschahe	w141_d405e8007
mit	w143_d405e8010
denen	w145_d405e8013
gewöhnlichen	w148_d405e8018
Formalitäten,	w150_d405e8022
nach	w152_d405e8025
derer	w154_d405e8028
En	w156_d405e8031
digung	w159_d405e8036
wurde	w161_d405e8040
der	w163_d405e8043
Herr	w165_d405e8046
Bottschafter	w167_d405e8049
von	w169_d405e8052
dem	w171_d405e8056
nämlich=Adelichen	w174_d405e8060
Gefolg	w176_d405e8064
wiederum	w178_d405e8067
in	w180_d405e8070
sei	w182_d405e8074
nen	w185_d405e8078
Pallast	w187_d405e8082
zuruck	w189_d405e8085
begleitet,	w191_d405e8088
und	w193_d405e8092
allda	w195_d405e8095
neue	w197_d405e8098
Erfrischungen	w200_d405e8102
ausgetheilet.	w202_d405e8106
</p>
<head id="h2_d405e8112">
Auszug	w4_d405e8115
aus	w6_d405e8119
denen	w8_d405e8122
jüngsten	w10_d405e8125
Londner=briefen.	w13_d405e8130
</head>
<p id="p4_d405e8134">
Am	w4_d405e8137
14.	w6_d405e8141
Nov.	w8_d405e8144
haben	w10_d405e8147
die	w12_d405e8150
Herren	w14_d405e8154
des	w16_d405e8157
Ober	w18_d405e8160
hauses,	w21_d405e8164
und	w23_d405e8168
den	w25_d405e8172
15.	w27_d405e8175
die	w29_d405e8178
des	w31_d405e8181
Unter=hauses	w33_d405e8184
dem	w36_d405e8189
König	w38_d405e8193
ihr	w40_d405e8196
Danksagungs=addressen	w42_d405e8199
zu	w44_d405e8202
St.	w47_d405e8207
James	w49_d405e8211
überreicht.	w51_d405e8214
Das	w53_d405e8217
Jerländische	w55_d405e8220
Parlament	w58_d405e8225
hat	w60_d405e8229
gleichfalls	w62_d405e8232
dem	w64_d405e8235
Duc	w66_d405e8238
de	w68_d405e8241
Bed	w70_d405e8245
ford,	w73_d405e8249
ihrem	w75_d405e8253
Vice=könig,	w77_d405e8256
in	w79_d405e8259
einer	w81_d405e8263
sehr	w83_d405e8266
schön	w85_d405e8269
abgefasten	w88_d405e8273
Addresse	w90_d405e8277
die	w92_d405e8281
kräftigste	w94_d405e8284
Versicha	w96_d405e8287
rung	w99_d405e8291
der	w101_d405e8295
guten	w103_d405e8299
Gesinnungen	w105_d405e8302
dieser	w107_d405e8305
Nution	w109_d405e8308
zu	w112_d405e8312
ertheilen	w114_d405e8317
sich	w116_d405e8320
bemühet,	w118_d405e8323
und	w120_d405e8326
es	w122_d405e8329
hat	w124_d405e8332
solches	w126_d405e8336
die	w129_d405e8340
Würkung	w131_d405e8344
gehabt,	w133_d405e8347
daß	w135_d405e8350
man	w137_d405e8354
schon	w139_d405e8357
seit	w141_d405e8360
dem	w144_d405e8364
16.	w146_d405e8368
im	w148_d405e8372
Unter=haus	w150_d405e8375
über	w152_d405e8378
die	w154_d405e8381
der	w156_d405e8384
Jn	w158_d405e8387
ländischen	w161_d405e8392
Nation	w163_d405e8396
zuzustehende	w165_d405e8399
Erlaubnüß	w167_d405e8402
der	w170_d405e8406
Einfuhr	w172_d405e8411
ihres	w174_d405e8414
gesaltzenen	w176_d405e8417
Fleisches	w178_d405e8420
in	w180_d405e8423
das	w183_d405e8428
Königreich	w185_d405e8432
England	w187_d405e8435
sich	w189_d405e8438
berahtschlagt.	w191_d405e8441
Es	w194_d405e8446
wurde	w196_d405e8450
beschlossen,	w198_d405e8453
dem	w200_d405e8456
König	w202_d405e8459
Subsi	w204_d405e8462
dien	w207_d405e8467
zuzustehen,	w209_d405e8471
und	w211_d405e8474
den	w213_d405e8477
19.	w215_d405e8480
ward	w217_d405e8484
dieser	w219_d405e8487
Entschluß	w222_d405e8491
bestättigt,	w224_d405e8495
zu	w226_d405e8498
welchem	w228_d405e8502
Ende	w230_d405e8505
mor	w232_d405e8508
gen	w235_d405e8512
darüber	w237_d405e8516
weiter	w239_d405e8520
deliberirt	w241_d405e8523
werden	w243_d405e8526
wird.	w245_d405e8529
Der	w248_d405e8533
von	w250_d405e8538
Quebeck	w252_d405e8541
zurückgekommene	w254_d405e8544
Admirul	w256_d405e8547
Holmes,	w259_d405e8551
ist	w261_d405e8556
von	w263_d405e8559
dem	w265_d405e8562
König	w267_d405e8565
in	w269_d405e8568
einer	w271_d405e8571
am	w273_d405e8575
16.	w276_d405e8579
bey	w278_d405e8583
Sr.	w280_d405e8586
Majestät	w282_d405e8589
gehabten	w284_d405e8593
Audienz	w286_d405e8596
sehr	w289_d405e8600
gnädig	w291_d405e8604
empfangen	w293_d405e8607
und	w295_d405e8611
zum	w297_d405e8614
Chevaliet	w299_d405e8617
ernannt	w302_d405e8621
worden.	w304_d405e8625
Man	w306_d405e8629
erwartet	w308_d405e8632
die	w310_d405e8635
Ad	w312_d405e8638
mirals	w315_d405e8642
Townshend	w317_d405e8647
und	w319_d405e8650
Durell	w321_d405e8653
alle	w323_d405e8656
Augen	w325_d405e8659
bly	w328_d405e8664
</p>
<p id="p8_d405e8673">
blicke.	w4_d405e8676
Auf	w6_d405e8680
die	w8_d405e8683
Nachricht,	w10_d405e8686
daß	w12_d405e8689
der	w14_d405e8693
Mar	w16_d405e8696
schall	w19_d405e8700
von	w21_d405e8704
Conflans	w23_d405e8707
den	w25_d405e8711
15.	w27_d405e8714
November	w29_d405e8717
mit	w31_d405e8720
22.	w34_d405e8724
Schiffen	w36_d405e8729
von	w38_d405e8732
der	w40_d405e8735
Linie	w42_d405e8738
und	w44_d405e8741
vielen	w46_d405e8744
Fre	w48_d405e8748
natten	w51_d405e8752
von	w53_d405e8756
Brest	w55_d405e8759
ausgeloffen	w57_d405e8762
und	w59_d405e8766
18000.	w61_d405e8769
Mann	w64_d405e8773
auf	w66_d405e8777
seiner	w68_d405e8780
Flotte	w70_d405e8784
habe,	w72_d405e8787
um	w74_d405e8790
die	w76_d405e8793
vor	w78_d405e8796
gesetzte	w81_d405e8801
Unternehmung	w83_d405e8805
gegen	w85_d405e8808
die	w87_d405e8811
Königrei	w89_d405e8814
che	w92_d405e8819
Sr.	w94_d405e8823
Majestät	w96_d405e8826
auszuführen,	w98_d405e8829
sind	w100_d405e8832
ver	w102_d405e8835
schiedene	w105_d405e8840
Expressen	w107_d405e8844
nach	w109_d405e8847
denen	w111_d405e8850
Küsten	w113_d405e8853
ab	w115_d405e8857
gefertigt	w118_d405e8861
worden.	w120_d405e8865
Da	w122_d405e8868
der	w124_d405e8871
Admiral	w126_d405e8875
Haw	w128_d405e8878
ke	w131_d405e8882
den	w133_d405e8886
16.	w135_d405e8889
von	w137_d405e8893
Torbay	w139_d405e8896
auslauffen	w141_d405e8899
sollen,	w143_d405e8902
so	w146_d405e8906
hoft	w148_d405e8911
man,	w150_d405e8914
daß	w152_d405e8917
er	w154_d405e8920
dem	w156_d405e8923
Marechall	w158_d405e8926
von	w160_d405e8930
Conflans	w163_d405e8934
zeitig	w165_d405e8938
geuug	w167_d405e8941
Einhalt	w169_d405e8944
thun	w171_d405e8948
werde.	w173_d405e8951
Am	w176_d405e8955
20.	w178_d405e8959
hat	w180_d405e8962
der	w182_d405e8966
Staats=secretarius	w184_d405e8969
des	w186_d405e8972
Kriegs=wesens,	w189_d405e8976
Lord	w191_d405e8980
Barrington,	w193_d405e8984
dem	w195_d405e8987
Un	w197_d405e8990
ter=haus	w200_d405e8994
verschiedene	w202_d405e8998
Verzeichnüsse	w204_d405e9002
deren	w206_d405e9005
für	w208_d405e9008
künftiges	w211_d405e9012
Jahr	w213_d405e9016
erforderlichen	w215_d405e9020
Kosten	w217_d405e9023
vor	w219_d405e9026
gelegt.	w222_d405e9030
Den	w224_d405e9034
21.	w226_d405e9038
beschloß	w228_d405e9041
die	w230_d405e9044
Cammer	w232_d405e9047
der	w234_d405e9050
Gemeinen	w237_d405e9055
mit	w239_d405e9059
Königl.	w241_d405e9062
Erlaubnüß,	w243_d405e9065
dem	w245_d405e9068
General	w248_d405e9073
Wolf	w250_d405e9077
in	w252_d405e9080
der	w254_d405e9083
Abtey	w256_d405e9086
zu	w258_d405e9089
Westmün	w260_d405e9093
ster	w263_d405e9097
ein	w265_d405e9101
Ehren=maal	w267_d405e9104
auf	w269_d405e9107
Kosten	w271_d405e9111
der	w273_d405e9114
Nation	w275_d405e9117
errichten	w278_d405e9121
zu	w280_d405e9125
lassen,	w282_d405e9129
und	w284_d405e9132
allen	w286_d405e9135
bey	w288_d405e9138
der	w290_d405e9141
Er	w292_d405e9144
oberung	w295_d405e9149
Quebeck	w297_d405e9153
gebrauchten	w299_d405e9156
Admirals	w301_d405e9159
und	w303_d405e9162
Generals	w306_d405e9167
Danksagungen	w308_d405e9171
abzustatten.	w310_d405e9174
Hie	w312_d405e9177
rauf	w315_d405e9181
ward	w317_d405e9186
der	w319_d405e9189
wichtige	w321_d405e9192
Schluß	w323_d405e9195
gefast,	w325_d405e9198
für	w327_d405e9201
den	w330_d405e9206
Dienst	w332_d405e9210
des	w334_d405e9213
künftigen	w336_d405e9216
Jahrs	w338_d405e9219
70000.	w340_d405e9223
Matrosen	w343_d405e9227
inclusive	w345_d405e9231
15500.	w347_d405e9234
See=soldaten	w349_d405e9237
und	w352_d405e9242
rrilleristen	w355_d405e9247
zuzustehen,	w357_d405e9251
welcher	w359_d405e9254
Ar	w361_d405e9257
ticul	w364_d405e9262
allein,	w366_d405e9266
4.	w368_d405e9269
Pf.	w370_d405e9272
Sterling	w372_d405e9275
Monatlich	w374_d405e9279
für	w376_d405e9282
jeden	w379_d405e9286
Mann	w381_d405e9290
gerechnet,	w383_d405e9293
eine	w385_d405e9297
Summe	w387_d405e9300
von	w389_d405e9303
3.	w392_d405e9307
Millionen	w394_d405e9311
640000.	w396_d405e9315
Pf.	w398_d405e9318
Sterling	w400_d405e9321
aus	w402_d405e9324
macht.	w405_d405e9328
Da	w407_d405e9333
auch	w409_d405e9336
ein	w411_d405e9339
ansehnliches	w413_d405e9342
Corps	w415_d405e9345
Würtembergischer	w418_d405e9350
Trupen	w420_d405e9354
zur	w422_d405e9357
Französischen	w424_d405e9360
Armee	w427_d405e9364
unter	w429_d405e9369
dem	w431_d405e9372
Herzog	w433_d405e9375
von	w435_d405e9378
Broglio	w437_d405e9381
ge	w439_d405e9384
stossen,	w442_d405e9389
so	w444_d405e9393
wurde	w446_d405e9396
beliebt,	w448_d405e9399
sobald	w450_d405e9402
immer	w452_d405e9406
mö	w454_d405e9409
glich,	w457_d405e9413
eine	w459_d405e9417
gleichmäßige	w461_d405e9420
Verstärkung	w463_d405e9424
Groß	w465_d405e9427
britannischer	w468_d405e9431
Trupen	w470_d405e9435
nach	w472_d405e9438
der	w474_d405e9442
Alliirten	w476_d405e9445
Ar	w478_d405e9448
mee	w481_d405e9452
zu	w483_d405e9456
senden.	w485_d405e9460
Man	w487_d405e9463
versichert,	w489_d405e9466
daß	w491_d405e9469
wür	w493_d405e9472
klich	w496_d405e9477
dazu	w498_d405e9481
die	w500_d405e9484
9.	w502_d405e9487
Regimenter	w504_d405e9490
Jnfanterie	w506_d405e9493
von	w509_d405e9498
Hadgeson,	w511_d405e9502
Barrington,	w513_d405e9505
George	w515_d405e9508
Blan	w517_d405e9511
clere,	w520_d405e9516
Cornewallis,	w522_d405e9520
Loudon,	w524_d405e9523
Charles	w526_d405e9526
Hay,	w528_d405e9529
Effingham,	w531_d405e9534
und	w533_d405e9538
Robert	w535_d405e9541
Manners,	w537_d405e9544
eine	w539_d405e9547
Brigade	w542_d405e9552
von	w544_d405e9556
der	w546_d405e9559
Garde	w548_d405e9562
zu	w550_d405e9565
Fuß	w552_d405e9569
und	w554_d405e9572
ver	w556_d405e9575
</p>
<p id="p10_d405e9578">
schiedene	w4_d405e9581
Esquadrons	w6_d405e9585
leichter	w8_d405e9588
Cavallerie,	w10_d405e9591
so	w13_d405e9596
zusammen	w15_d405e9600
10000.	w17_d405e9603
Mann	w19_d405e9606
ausmachen,	w21_d405e9609
ernannt	w24_d405e9614
seyen.	w26_d405e9618
Man	w28_d405e9621
hat	w30_d405e9624
Nachricht	w32_d405e9627
von	w34_d405e9630
dem	w37_d405e9635
Admiral	w39_d405e9639
Hawke	w41_d405e9642
unterm	w43_d405e9645
17.,	w45_d405e9648
worin	w47_d405e9652
nen	w50_d405e9656
er	w52_d405e9660
meldet,	w54_d405e9663
daß	w56_d405e9666
er	w58_d405e9670
die	w60_d405e9673
Französische	w62_d405e9676
Flotte	w64_d405e9679
entdeckt,	w67_d405e9683
und	w69_d405e9688
verhoffe	w71_d405e9691
ihr	w73_d405e9694
bald	w75_d405e9697
ein	w77_d405e9700
Treffen	w79_d405e9703
liefern	w82_d405e9708
zu	w84_d405e9712
können,	w86_d405e9715
wann	w88_d405e9718
sie	w90_d405e9721
sich	w92_d405e9725
nicht	w94_d405e9728
in	w96_d405e9731
den	w99_d405e9735
Hafen	w101_d405e9739
von	w103_d405e9743
Orient	w105_d405e9746
retirire.	w107_d405e9749
Es	w109_d405e9752
ist	w111_d405e9755
dieser	w114_d405e9760
Admiral	w116_d405e9764
nicht	w118_d405e9767
nur	w120_d405e9770
mit	w122_d405e9773
10.	w124_d405e9776
Schiffen	w126_d405e9780
verstärkt	w129_d405e9784
worden,	w131_d405e9788
sondern	w133_d405e9791
der	w135_d405e9794
Admiral	w137_d405e9798
Saunders,	w140_d405e9802
welcher	w142_d405e9806
mit	w144_d405e9809
3.	w146_d405e9812
Schiffen	w148_d405e9816
von	w150_d405e9819
Quebeck	w153_d405e9823
zurückgekommen,	w155_d405e9827
auf	w157_d405e9830
erhaltene	w159_d405e9834
Nachricht	w162_d405e9838
vom	w164_d405e9842
Auslauffen	w166_d405e9845
der	w168_d405e9848
Franzosen,	w170_d405e9852
ebenfalls	w173_d405e9856
zu	w175_d405e9860
ihm	w177_d405e9863
gestossen,	w179_d405e9866
so,	w181_d405e9870
daß	w183_d405e9873
man	w185_d405e9876
hoffet,	w188_d405e9880
die	w190_d405e9884
Französische	w192_d405e9888
Anschläge	w194_d405e9891
bald	w196_d405e9894
zu	w198_d405e9897
vernichtigen.	w201_d405e9901
Man	w203_d405e9906
war	w205_d405e9909
sehr	w207_d405e9912
besorgt	w209_d405e9915
für	w211_d405e9918
den	w214_d405e9923
Herrn	w216_d405e9927
Duf,	w218_d405e9930
welcher	w220_d405e9933
mit	w222_d405e9936
8.	w224_d405e9939
Kriegs	w226_d405e9943
schiffen,	w229_d405e9947
3.	w231_d405e9951
Fregatten,	w233_d405e9954
2.	w235_d405e9957
Branders	w237_d405e9961
und	w239_d405e9964
2.	w242_d405e9968
Bombardier=galliotten	w244_d405e9972
vor	w246_d405e9975
Vannes	w248_d405e9979
gele	w250_d405e9982
gen,	w253_d405e9986
man	w255_d405e9990
vernihmt	w257_d405e9993
aber,	w259_d405e9997
daß	w261_d405e10000
er	w263_d405e10003
denen	w265_d405e10006
Franzosen	w268_d405e10010
zeitlich	w270_d405e10015
entgangen,	w272_d405e10018
und	w274_d405e10021
vermut	w276_d405e10024
lich	w279_d405e10028
ebenfalls	w281_d405e10033
zum	w283_d405e10036
Admiral	w285_d405e10039
Hawke	w287_d405e10042
stossen	w289_d405e10045
werde.	w292_d405e10050
Unsere	w295_d405e10055
Land=macht	w297_d405e10059
in	w299_d405e10062
Großbritan	w301_d405e10065
nien	w304_d405e10070
wird	w306_d405e10074
künftiges	w308_d405e10077
Jahr	w310_d405e10080
an	w312_d405e10083
regulirten	w314_d405e10087
Tru	w316_d405e10090
pen	w319_d405e10094
und	w321_d405e10098
Militz	w323_d405e10101
aus	w325_d405e10105
mehr	w327_d405e10108
als	w329_d405e10111
100.	w331_d405e10114
tau	w333_d405e10117
send	w336_d405e10122
Mann	w338_d405e10126
bestehen.	w340_d405e10129
</p>
<head id="h2_d405e10135">
Amsterdam	w4_d405e10138
1.	w6_d405e10142
Dec.	w8_d405e10145
</head>
<p id="p4_d405e10148">
Es	w4_d405e10151
lauffen	w6_d405e10155
von	w8_d405e10158
allen	w10_d405e10161
Orten	w12_d405e10164
wiederholte	w14_d405e10168
Nachrichten	w17_d405e10172
ein,	w19_d405e10176
daß	w21_d405e10179
in	w23_d405e10182
dem	w25_d405e10186
zwischen	w27_d405e10189
der	w29_d405e10192
Französischen	w32_d405e10196
und	w34_d405e10200
Groß	w36_d405e10204
britanischen	w38_d405e10207
Flotte	w40_d405e10210
vorgefallenen	w43_d405e10214
See=gefecht,	w45_d405e10218
da	w47_d405e10222
die	w49_d405e10225
letztere	w51_d405e10228
viel	w54_d405e10232
stärker	w56_d405e10236
und	w58_d405e10240
mächtiger	w60_d405e10243
an	w62_d405e10246
der	w64_d405e10249
Zahl	w66_d405e10252
de	w68_d405e10255
ren	w71_d405e10260
Kriegs=schiffen	w73_d405e10264
und	w75_d405e10267
Fregatten	w77_d405e10270
ware,	w79_d405e10273
die	w82_d405e10278
Engländer	w84_d405e10282
die	w86_d405e10285
Ober=hand	w88_d405e10288
über	w90_d405e10291
die	w92_d405e10295
Fran	w94_d405e10298
zösische	w97_d405e10302
Flotte	w99_d405e10306
dergestalt	w101_d405e10309
erhalten	w103_d405e10313
haben,	w105_d405e10316
daß	w107_d405e10319
ein	w110_d405e10323
Theil	w112_d405e10327
der	w114_d405e10331
Französischen	w116_d405e10334
Flotte	w118_d405e10337
zerstreu	w120_d405e10340
et	w123_d405e10344
worden,	w125_d405e10349
wobey	w127_d405e10352
die	w129_d405e10355
Engländer	w131_d405e10358
2.	w133_d405e10361
Fran	w135_d405e10364
zösische	w138_d405e10369
Kriegs=schiffe	w140_d405e10373
weggenommen,	w142_d405e10376
und	w144_d405e10379
2.	w147_d405e10383
andere	w149_d405e10388
in	w151_d405e10391
den	w153_d405e10394
Grund	w155_d405e10397
geschossen	w157_d405e10400
hätten.	w159_d405e10403
Unter	w162_d405e10408
beyden	w164_d405e10412
letzteren	w166_d405e10415
ist	w168_d405e10418
das	w170_d405e10421
Kriegs=schif	w172_d405e10425
des	w175_d405e10429
Herrn	w177_d405e10433
von	w179_d405e10436
Mersalm,	w181_d405e10439
welches	w183_d405e10443
mit	w185_d405e10446
aller	w187_d405e10449
Mannschaft	w190_d405e10453
zu	w192_d405e10457
Grund	w194_d405e10461
gesunken.	w196_d405e10464
2.	w199_d405e10468
</p>
<head id="h4_d405e10478">
Kurz=gefaßte	w4_d405e10481
Nachrichten	w6_d405e10485
von	w9_d405e10489
verschiedenen	w11_d405e10493
Orten.	w13_d405e10497
Man	w19_d405e10504
vernihmt	w21_d405e10508
</head>
<p id="p6_d405e10511">
Von	w4_d405e10514
Saatz	w6_d405e10518
in	w8_d405e10521
Böhmen:	w10_d405e10524
daß	w12_d405e10527
am	w14_d405e10531
18.	w16_d405e10534
November	w19_d405e10538
Abends	w21_d405e10542
um	w23_d405e10545
8.	w25_d405e10549
Uhr	w27_d405e10552
ein	w29_d405e10555
Preußi	w31_d405e10558
scher	w34_d405e10562
Trompeter	w36_d405e10567
vor	w38_d405e10570
dem	w40_d405e10573
Brucken=thor	w42_d405e10576
an	w44_d405e10579
gekommen,	w47_d405e10584
welcher	w49_d405e10588
unter	w51_d405e10591
dem	w53_d405e10594
Namen	w55_d405e10597
des	w57_d405e10600
Preußischen	w60_d405e10605
Generals	w62_d405e10609
von	w64_d405e10612
Wunsch	w66_d405e10615
die	w68_d405e10618
Stadt	w71_d405e10623
zur	w73_d405e10627
Ubergabe	w75_d405e10630
aufgefordert	w77_d405e10633
und	w79_d405e10636
der	w81_d405e10640
Garnison,	w84_d405e10644
welche	w86_d405e10648
in	w88_d405e10651
dem	w90_d405e10654
Herrn	w92_d405e10658
Hauptmann	w94_d405e10661
Staubt	w97_d405e10665
nebst	w99_d405e10669
100.	w101_d405e10672
Mann	w103_d405e10676
von	w105_d405e10679
dem	w107_d405e10682
Löbl.	w109_d405e10685
Staabs=regiment	w112_d405e10689
bestunde,	w114_d405e10694
freyen	w116_d405e10697
Abzug	w118_d405e10700
angebotten	w121_d405e10704
habe.	w123_d405e10708
Da	w125_d405e10712
aber	w127_d405e10715
gedachter	w129_d405e10718
Herr	w131_d405e10721
Haupt=mann	w134_d405e10725
anstatt	w136_d405e10730
der	w138_d405e10733
verschiedenemal	w140_d405e10736
wiederholten	w143_d405e10740
Aufforderung	w145_d405e10744
Gehör	w147_d405e10748
zu	w149_d405e10751
geben,	w151_d405e10754
ungeachtet	w154_d405e10758
er	w156_d405e10762
wegen	w158_d405e10766
der	w160_d405e10769
Nacht	w162_d405e10772
nicht	w164_d405e10775
gewust,	w166_d405e10778
wie	w169_d405e10783
stark	w171_d405e10787
die	w173_d405e10790
Feinde	w175_d405e10793
gewesen,	w177_d405e10796
die	w179_d405e10799
jedoch	w181_d405e10803
nach	w183_d405e10806
Aussage	w186_d405e10810
der	w188_d405e10814
Botten,	w190_d405e10817
so	w192_d405e10821
dieselbe	w194_d405e10824
geführet,	w196_d405e10827
in	w199_d405e10831
107.	w201_d405e10835
Mann	w203_d405e10839
bestanden	w205_d405e10842
seyn	w207_d405e10845
sollen,	w209_d405e10848
Feuer	w211_d405e10851
unter	w214_d405e10856
dieselbe	w216_d405e10860
geben	w218_d405e10863
lassen,	w220_d405e10866
welches	w222_d405e10869
bey	w224_d405e10872
an	w226_d405e10876
derthalb	w229_d405e10880
Stunden	w231_d405e10884
gedauert,	w233_d405e10887
so	w235_d405e10890
haben	w237_d405e10894
sie	w239_d405e10897
sich	w242_d405e10901
wieder	w244_d405e10905
zurücke	w246_d405e10908
gezogen;	w248_d405e10912
es	w250_d405e10915
befunde	w252_d405e10918
sich	w254_d405e10921
allda	w257_d405e10925
ein	w259_d405e10930
starkes	w261_d405e10933
Magazin,	w263_d405e10936
welches	w265_d405e10939
ohne	w267_d405e10942
sothaner	w270_d405e10947
Entschliessung	w272_d405e10951
des	w274_d405e10954
Herrn	w276_d405e10957
Haupt	w278_d405e10960
manns	w281_d405e10965
unfehlbar	w283_d405e10969
ruiniret	w285_d405e10972
worden	w287_d405e10975
seyn	w289_d405e10978
wurde.	w292_d405e10983
</p>
<p id="p8_d405e10987">
Von	w4_d405e10990
Paris:	w6_d405e10994
daß	w8_d405e10997
der	w10_d405e11000
Generalcontro	w12_d405e11003
leuer	w15_d405e11008
Mr.	w17_d405e11012
de	w19_d405e11015
Silhouete	w21_d405e11018
seine	w23_d405e11021
Charge	w25_d405e11025
nieder	w27_d405e11028
geleget	w30_d405e11032
habe,	w32_d405e11036
und	w34_d405e11039
diese	w36_d405e11043
Stelle	w38_d405e11046
mit	w40_d405e11049
dem	w42_d405e11052
Herrn	w44_d405e11055
Bertin	w47_d405e11060
wieder	w49_d405e11064
besetzet	w51_d405e11067
worden	w53_d405e11070
seye.	w55_d405e11073
</p>
<p id="p10_d405e11076">
Bey	w4_d405e11079
dem	w6_d405e11083
auf	w8_d405e11086
der	w10_d405e11089
Höhe	w12_d405e11092
von	w14_d405e11096
Belle=isle	w16_d405e11099
zwischen	w19_d405e11103
der	w21_d405e11107
von	w23_d405e11110
dem	w25_d405e11114
Herrn	w27_d405e11117
Conflans,	w29_d405e11120
commandirten	w32_d405e11124
Königlichen	w34_d405e11128
Französischen,	w36_d405e11132
und	w39_d405e11136
der	w41_d405e11140
von	w43_d405e11143
dem	w45_d405e11146
Admiral	w47_d405e11150
Hawke	w49_d405e11153
comman	w51_d405e11156
dirten	w54_d405e11160
Engländischen	w56_d405e11164
Flotte	w58_d405e11168
vorgefallenen	w60_d405e11171
See=treffen,	w63_d405e11175
sollen,	w65_d405e11179
ungeachtet	w67_d405e11182
des	w69_d405e11186
zu	w71_d405e11189
letzt	w73_d405e11192
für	w76_d405e11196
die	w78_d405e11200
Engländer	w80_d405e11204
ausgefallenen	w82_d405e11207
Sieges,	w84_d405e11210
letztere	w87_d405e11214
doch	w89_d405e11218
auch	w91_d405e11222
vieles	w93_d405e11225
eingebüsset	w95_d405e11228
haben,	w97_d405e11231
undeme	w100_d405e11235
währenden	w102_d405e11240
Gefecht	w104_d405e11243
auch	w106_d405e11246
verschiedene	w108_d405e11249
Angländische	w111_d405e11253
Schiffe	w113_d405e11258
zu	w115_d405e11261
Grund	w117_d405e11264
sinkend	w119_d405e11267
beobachtet	w122_d405e11271
worden	w124_d405e11276
wären.	w126_d405e11279
</p>
<head id="h2_d405e11300">
Wien	w4_d405e11303
den	w6_d405e11307
12.	w8_d405e11310
December	w10_d405e11313
1759.	w12_d405e11316
</head>
<p id="p4_d405e11319">
WVergangenen	w4_d405e11322
Samstag	w6_d405e11326
als	w8_d405e11329
am	w10_d405e11332
Fest	w12_d405e11335
Ma	w14_d405e11339
riä	w17_d405e11343
Empfängnuß	w19_d405e11347
seynd	w21_d405e11350
Vormittags	w23_d405e11353
die	w26_d405e11358
Herren	w28_d405e11362
Bottschaftere,	w30_d405e11365
Gesandte,	w32_d405e11368
dann	w34_d405e11371
einige	w37_d405e11376
hieher	w39_d405e11380
gekommene	w41_d405e11383
Hungarische	w43_d405e11386
Her	w45_d405e11389
ren	w48_d405e11394
Magnaten,	w50_d405e11398
und	w52_d405e11401
der	w54_d405e11404
gesamte	w56_d405e11407
übrige	w58_d405e11411
hohe	w60_d405e11414
Adel	w63_d405e11418
in	w65_d405e11422
prächtiger	w67_d405e11425
Gala	w69_d405e11429
bey	w71_d405e11432
Hof	w73_d405e11435
erschienen,	w75_d405e11438
und	w78_d405e11442
haben	w80_d405e11447
wegen	w82_d405e11450
Sr.	w84_d405e11453
Majestät	w86_d405e11456
des	w88_d405e11459
Kai	w90_d405e11462
sers	w93_d405e11467
allerhöchsten	w95_d405e11471
Geburts=tags,	w97_d405e11474
dann	w99_d405e11477
Jh	w101_d405e11480
rer	w104_d405e11485
Königl.	w106_d405e11489
Hoheit	w108_d405e11492
der	w110_d405e11495
Durchl.	w112_d405e11498
Erzherzo	w114_d405e11502
gin	w117_d405e11506
Maria	w119_d405e11510
Christina	w121_d405e11513
Namens=tags,	w123_d405e11516
und	w125_d405e11520
Sr.	w128_d405e11524
Königl.	w130_d405e11528
Hoheit	w132_d405e11531
des	w134_d405e11534
Durchl.	w136_d405e11538
Erzhey	w138_d405e11541
zogs	w141_d405e11545
Maximilian	w143_d405e11549
Geburts=tags	w145_d405e11552
die	w147_d405e11556
Glück	w149_d405e11559
wünschungenabgelegt.	w152_d405e11563
Hierauf	w154_d405e11567
seynd	w156_d405e11570
beyde	w158_d405e11574
Kaiserl.	w161_d405e11578
Majestäten	w163_d405e11582
mit	w165_d405e11585
Jhren	w167_d405e11588
Königl.	w169_d405e11592
Hoheiten	w172_d405e11596
denen	w174_d405e11600
Durchl.	w176_d405e11603
Erz=herzogen	w178_d405e11606
Jo	w180_d405e11610
seph,	w183_d405e11614
und	w185_d405e11618
Leopold,	w187_d405e11621
wie	w189_d405e11624
auch	w191_d405e11628
denen	w193_d405e11631
Durchl.	w195_d405e11634
Erz=herzoginnen	w198_d405e11638
Maria	w200_d405e11642
Anna,	w202_d405e11646
und	w204_d405e11649
Jo	w206_d405e11652
hanna	w209_d405e11656
in	w211_d405e11660
offentlichen	w213_d405e11664
Staat	w215_d405e11667
nacher	w217_d405e11670
St.	w219_d405e11673
Stephan	w222_d405e11677
abgefahren,	w224_d405e11682
und	w226_d405e11685
haben	w228_d405e11688
allda	w230_d405e11691
in	w232_d405e11694
Aufwartung	w235_d405e11699
Sr.	w237_d405e11703
Excell.	w239_d405e11706
des	w241_d405e11709
Venetianischen	w243_d405e11712
