<doc id="wr_1762-06-12" attrs="word" year="1762" month="06" day="12" corpus="2">
<head id="h2_d664e3095">
Monte=Christo,	w1_d664e3099
Gelegenheit	w7_d664e6701
aus	w9_d664e6704
dem	w11_d664e6707
Wee	w13_d664e6711
ge	w1_d664e6716
zu	w3_d664e6719
räumen,	w5_d664e6722
die	w7_d664e6725
entweder	w9_d664e6728
dem	w11_d664e6731
guten	w13_d664e6735
Ver	w15_d664e6738
nehmen	w1_d664e6743
in	w3_d664e6746
Ansehung	w5_d664e6749
seiner	w7_d664e6752
Freundschaft	w9_d664e6755
und	w11_d664e6758
nahen	w1_d664e6764
Bluts=verwandschaft,	w3_d664e6767
hinderlich	w5_d664e6770
und	w7_d664e6773
anstößig	w1_d664e6778
seyn,	w3_d664e6781
oder	w5_d664e6784
auch	w7_d664e6787
einer	w9_d664e6790
aufrichtigen	w11_d664e6793
Vereinigung	w1_d664e6798
zwischen	w3_d664e6801
den	w5_d664e6804
beyderseitigen	w7_d664e6807
Un	w9_d664e6810
terthanen	w1_d664e6815
im	w3_d664e6818
Weege	w5_d664e6821
stehen	w7_d664e6824
könnte.	w9_d664e6827
Der	w1_d664e6833
König	w1_d664e6838
hoft,	w3_d664e6841
daß,	w5_d664e6844
so	w7_d664e6847
bald	w9_d664e6850
Se.	w11_d664e6853
Catholische	w13_d664e6857
Majest.	w1_d664e6862
auf	w3_d664e6865
alle	w5_d664e6868
diese	w7_d664e6871
Kennzeichen	w9_d664e6874
der	w11_d664e6877
Lie	w13_d664e6881
be,	w1_d664e6886
der	w3_d664e6889
Freundschaft	w5_d664e6892
und	w7_d664e6895
der	w9_d664e6898
ununterbrochenen	w11_d664e6901
Geflissenheit,	w1_d664e6907
gegen	w3_d664e6910
Höchst=dieselbe	w5_d664e6913
gefällig	w7_d664e6916
zu	w1_d664e6921
seyn,	w3_d664e6924
werden	w5_d664e6927
zurück	w7_d664e6930
gedacht,	w9_d664e6933
und	w11_d664e6936
dabey	w13_d664e6940
zu	w15_d664e6943
gleich	w1_d664e6948
die	w3_d664e6951
Stärke	w5_d664e6954
der	w7_d664e6957
unangeführten	w9_d664e6960
Gründe	w11_d664e6963
erwogen	w1_d664e6968
haben,	w3_d664e6971
Sie	w5_d664e6974
sogleich,	w7_d664e6977
auf	w9_d664e6980
der	w11_d664e6983
einen	w13_d664e6987
Seite,	w1_d664e6993
sehen	w3_d664e6996
werden,	w5_d664e6999
daß	w7_d664e7002
keine	w9_d664e7005
andere,	w11_d664e7008
als	w13_d664e7012
nur	w15_d664e7015
solche	w1_d664e7020
Gründe,	w3_d664e7023
welche	w5_d664e7026
über	w7_d664e7029
die	w9_d664e7032
Gränzen	w11_d664e7035
der	w13_d664e7039
Macht	w1_d664e7044
des	w3_d664e7047
Königs	w5_d664e7050
hinausgehen,	w7_d664e7053
Jhn	w9_d664e7056
hin	w11_d664e7059
dern,	w1_d664e7064
das	w3_d664e7067
Jhm	w5_d664e7070
vorgeschlagene	w7_d664e7073
Bündniß	w9_d664e7076
einzugehen,	w1_d664e7082
auf	w3_d664e7085
der	w5_d664e7088
andern	w7_d664e7091
Seite	w9_d664e7094
aber	w11_d664e7097
auch	w13_d664e7101
erkennen	w1_d664e7106
werden,	w3_d664e7109
daß,	w5_d664e7112
was	w7_d664e7115
auch	w9_d664e7118
immer	w11_d664e7121
in	w1_d664e7126
den	w3_d664e7129
Häven	w5_d664e7132
dieses	w7_d664e7135
Königreichs	w9_d664e7138
veran	w11_d664e7141
staltet	w1_d664e7146
werden	w3_d664e7149
mag,	w5_d664e7152
solches	w7_d664e7155
doch	w9_d664e7158
auf	w11_d664e7161
keine	w13_d664e7165
Weise	w1_d664e7171
dem	w3_d664e7174
Jnteresse	w5_d664e7177
Sr.	w7_d664e7180
Catholischen	w9_d664e7183
Ma	w11_d664e7186
jestät,	w1_d664e7191
und	w3_d664e7194
der	w5_d664e7197
festen	w7_d664e7200
Neutralität,	w9_d664e7203
welche	w11_d664e7206
dieser	w1_d664e7211
Hof	w3_d664e7214
für	w5_d664e7217
ein	w7_d664e7220
nothwendiges	w9_d664e7223
Principlum	w11_d664e7226
seines	w1_d664e7231
Systems	w3_d664e7234
hält,	w5_d664e7237
nachtheilig	w7_d664e7240
seyn	w9_d664e7243
könne.	w11_d664e7246
Jm	w1_d664e7252
Pallast,	w3_d664e7255
den	w5_d664e7258
20.	w7_d664e7261
März,	w9_d664e7264
1762.	w11_d664e7267
</p>
<head id="h4_d664e7300">
Londen	w1_d664e7304
25.	w3_d664e7307
May.	w5_d664e7310
</head>
<p id="p6_d664e7313">
Den	w1_d664e7317
22sten	w3_d664e7320
dieses	w5_d664e7323
Abends	w7_d664e7326
nahmen	w9_d664e7329
die	w11_d664e7332
beederseitige	w1_d664e7337
Königliche	w3_d664e7340
Majestäten	w5_d664e7343
von	w7_d664e7346
Groß=brittannien,	w1_d664e7351
den	w3_d664e7354
Pallast	w5_d664e7357
zu	w7_d664e7360
Bucking	w9_d664e7363
ham	w1_d664e7369
im	w3_d664e7372
Besitz.	w5_d664e7375
Sie	w7_d664e7378
werden	w9_d664e7381
sich	w11_d664e7384
bis	w13_d664e7388
zur	w15_d664e7391
Ausbesserung	w1_d664e7396
des	w3_d664e7399
Schlosses	w5_d664e7402
zu	w7_d664e7405
St.	w9_d664e7408
James	w11_d664e7411
allda	w1_d664e7416
aufhalten.	w3_d664e7419
Der	w5_d664e7422
ChurHannöveri	w7_d664e7425
sche	w1_d664e7430
Staats=minister,	w3_d664e7433
Freyherr	w5_d664e7436
von	w7_d664e7439
Münch	w9_d664e7442
hausen,	w1_d664e7448
reisete	w3_d664e7451
in	w5_d664e7454
Königl.	w7_d664e7457
Geschäften	w9_d664e7460
nach	w11_d664e7463
Hannover	w1_d664e7468
wider	w3_d664e7471
zurück.	w5_d664e7474
Der	w7_d664e7477
Freyherr	w9_d664e7480
v.	w11_d664e7483
Behr	w1_d664e7488
nimt	w3_d664e7491
inzwischen	w5_d664e7494
dessen	w7_d664e7497
Stelle	w9_d664e7500
bey	w11_d664e7503
Hof	w13_d664e7507
ein.	w1_d664e7512
</p>
<p id="p8_d664e7515">
Seit	w1_d664e7519
dem	w3_d664e7522
das	w5_d664e7525
Englische	w7_d664e7528
SchifsGe	w9_d664e7531
schwader	w1_d664e7536
aus	w3_d664e7539
den	w5_d664e7542
Dünen	w7_d664e7545
abseegelte,	w9_d664e7548
beo	w11_d664e7551
bachtet	w1_d664e7556
es	w3_d664e7559
die	w5_d664e7562
Französische	w7_d664e7565
See=häven,	w9_d664e7568
schlüsset	w1_d664e7574
daselbst	w3_d664e7577
die	w5_d664e7580
Kriegs=schiffe	w7_d664e7583
ein,	w9_d664e7586
und	w11_d664e7589
suchet	w1_d664e7594
die	w3_d664e7597
Absichten	w5_d664e7600
ihrer	w7_d664e7603
uns	w9_d664e7606
gedroheten	w11_d664e7609
Landung	w1_d664e7614
zu	w3_d664e7617
vereitlen.	w5_d664e7620
Die	w7_d664e7623
Regierung	w9_d664e7626
be	w11_d664e7629
mühet	w1_d664e7634
sich	w3_d664e7637
den	w5_d664e7640
Frieden	w7_d664e7643
in	w9_d664e7646
Jndien	w11_d664e7649
zu	w13_d664e7653
stiften,	w15_d664e7656
und	w1_d664e7662
den	w3_d664e7665
wahren	w5_d664e7668
Thron=erben	w7_d664e7671
des	w9_d664e7674
Mogols,	w11_d664e7677
in	w1_d664e7682
dem	w3_d664e7685
Königreich	w5_d664e7688
seiner	w7_d664e7691
Vorfahren	w9_d664e7694
zu	w11_d664e7697
befe	w13_d664e7701
stigen.	w1_d664e7706
Die	w3_d664e7709
Schiffe	w5_d664e7712
der	w7_d664e7715
Gesellschaft	w9_d664e7718
von	w11_d664e7721
Hundsons=Bay,	w1_d664e7726
entdeckten	w3_d664e7729
seit	w5_d664e7732
kurzem	w7_d664e7735
ei	w9_d664e7738
nen	w1_d664e7744
neuen	w3_d664e7747
Weeg:	w5_d664e7750
wir	w7_d664e7753
hoffen	w9_d664e7756
durch	w11_d664e7759
dieses	w13_d664e7763
Mittel	w1_d664e7768
eine	w3_d664e7771
glückliche	w5_d664e7774
und	w7_d664e7777
sichere	w9_d664e7780
Fahrt	w11_d664e7783
von	w13_d664e7787
Nordwesten,	w1_d664e7792
nach	w3_d664e7795
West=indien	w5_d664e7798
zu	w7_d664e7801
finden.	w9_d664e7804
Der	w1_d664e7809
Admiral	w3_d664e7812
Amhorst	w5_d664e7815
werbet	w7_d664e7818
für	w9_d664e7821
eine	w11_d664e7824
neue	w13_d664e7828
Unternehmung	w1_d664e7834
zu	w3_d664e7837
Neu=York	w5_d664e7840
500.	w7_d664e7843
Mann.	w9_d664e7846
Wir	w1_d664e7851
haben	w3_d664e7854
unter	w5_d664e7857
den	w7_d664e7860
Admiralen	w9_d664e7863
Pocock,	w11_d664e7866
Rodney	w1_d664e7871
und	w3_d664e7874
Anführern	w5_d664e7877
der	w7_d664e7880
Escadrons	w9_d664e7883
Don	w11_d664e7886
glas,	w1_d664e7891
Keppel,	w3_d664e7894
Swanton	w5_d664e7897
und	w7_d664e7900
Forrest	w9_d664e7903
32.	w11_d664e7906
Kriegs=schiffe	w1_d664e7912
und	w3_d664e7915
viele	w5_d664e7918
Fregaten	w7_d664e7921
würklich	w9_d664e7924
in	w1_d664e7929
America,	w3_d664e7932
und	w5_d664e7935
auf	w7_d664e7938
diesen	w9_d664e7941
Schiffen	w11_d664e7944
33.	w13_d664e7948
Bataillons.	w1_d664e7953
Das	w3_d664e7956
Unterhaus	w5_d664e7959
beschlosse	w7_d664e7962
bis	w9_d664e7965
her	w1_d664e7970
noch	w3_d664e7973
keine	w5_d664e7976
Hülfs=gelder	w7_d664e7979
für	w9_d664e7982
dem	w11_d664e7985
König	w13_d664e7989
von	w1_d664e7995
Preussen,	w3_d664e7998
und	w5_d664e8001
gieng	w7_d664e8004
bis	w9_d664e8007
auf	w11_d664e8010
den	w13_d664e8014
3.	w15_d664e8017
Junii	w17_d664e8020
auseinander.	w1_d664e8025
</p>
<head id="h2_d664e8031">
Venedig	w1_d664e8035
2.	w3_d664e8038
Junii.	w5_d664e8041
</head>
<p id="p4_d664e8044">
Vergangenen	w1_d664e8048
Montags,	w3_d664e8051
als	w5_d664e8054
den	w7_d664e8057
31.	w9_d664e8060
May	w11_d664e8063
wurde	w1_d664e8068
der	w3_d664e8071
Herr	w5_d664e8074
Marco	w7_d664e8077
Foscarini,	w9_d664e8080
Cavaliere	w11_d664e8083
und	w1_d664e8088
Procuratore	w3_d664e8091
von	w5_d664e8094
S.	w7_d664e8097
Marco	w9_d664e8100
unter	w11_d664e8103
einem	w13_d664e8107
allgemeinen	w1_d664e8113
Jubel=geschrey	w3_d664e8116
der	w5_d664e8119
sämmtlichen	w7_d664e8122
Unterthanen	w1_d664e8127
zu	w3_d664e8130
unserem	w5_d664e8133
Doge	w7_d664e8136
erwählet,	w9_d664e8139
</p>
<p id="p6_d664e8142">
worauf	w1_d664e8146
alsogleich	w3_d664e8149
die	w5_d664e8152
prächtigste	w7_d664e8155
Freuden	w9_d664e8158
feste	w1_d664e8163
mit	w3_d664e8166
verschiedenen	w5_d664e8169
Kunst=feuerwerken	w7_d664e8172
und	w1_d664e8177
anderen	w3_d664e8180
Ergötzlichkeiten	w5_d664e8183
ihren	w7_d664e8186
Anfang	w9_d664e8189
genommen.	w1_d664e8195
</p>
<head id="h2_d664e8201">
Coppenhagen	w1_d664e8205
11.	w3_d664e8208
May.	w5_d664e8211
</head>
<p id="p4_d664e8214">
Nach	w1_d664e8218
der	w3_d664e8221
Ankunft	w5_d664e8224
eines	w7_d664e8227
Curriers	w9_d664e8230
aus	w11_d664e8233
Pe	w13_d664e8237
tersburg	w1_d664e8242
war	w3_d664e8245
der	w5_d664e8248
Ruf	w7_d664e8251
hier	w9_d664e8254
allgemein,	w11_d664e8257
der	w13_d664e8261
Vergleich	w1_d664e8266
unseres	w3_d664e8269
Hofs	w5_d664e8272
mit	w7_d664e8275
Rußland	w9_d664e8278
wäre	w11_d664e8281
sicher.	w1_d664e8287
Der	w1_d664e8292
Rußische	w3_d664e8295
Kaiser	w5_d664e8298
solle	w7_d664e8301
Se.	w9_d664e8304
Dänische	w1_d664e8309
Maj.	w3_d664e8312
noch	w5_d664e8315
auf	w7_d664e8318
viele	w9_d664e8321
Jahr	w11_d664e8324
in	w13_d664e8328
dem	w1_d664e8333
Besitz	w3_d664e8336
des	w5_d664e8339
Herzogtums	w7_d664e8342
Hollstein	w9_d664e8345
lassen,	w11_d664e8348
wenn	w1_d664e8354
nur	w3_d664e8357
Dännemark	w5_d664e8360
ihme	w7_d664e8363
jährlich	w9_d664e8366
davon	w11_d664e8369
die	w1_d664e8374
Jnteressen,	w3_d664e8377
wie	w5_d664e8380
auch	w7_d664e8383
diejenige	w9_d664e8386
von	w11_d664e8389
der	w13_d664e8393
Zeit	w1_d664e8398
her,	w3_d664e8401
daß	w5_d664e8404
besagtes	w7_d664e8407
Herzogtum	w9_d664e8410
unter	w11_d664e8413
Dänischer	w1_d664e8418
Bottmäßigkeit	w3_d664e8421
gestanden,	w5_d664e8424
entricht	w7_d664e8427
ten	w1_d664e8433
wollte.	w3_d664e8436
Für	w5_d664e8439
die	w7_d664e8442
bereits	w9_d664e8445
verloffene	w11_d664e8448
Jn	w13_d664e8452
teressen	w1_d664e8457
solle	w3_d664e8460
England	w5_d664e8463
stehen,	w7_d664e8466
und	w9_d664e8469
dersel	w11_d664e8472
ben	w1_d664e8477
Abführung	w3_d664e8480
besorgen,	w5_d664e8483
mit	w7_d664e8486
dem	w9_d664e8489
Beding	w11_d664e8492
jedoch,	w1_d664e8497
daß	w3_d664e8500
Dännemark	w5_d664e8503
dagegen	w7_d664e8506
ein	w9_d664e8509
Corps	w11_d664e8512
Trupen	w1_d664e8518
von	w3_d664e8521
15.	w5_d664e8524
bis	w7_d664e8527
18000.	w9_d664e8530
Mann	w11_d664e8533
an	w13_d664e8537
Eng	w15_d664e8540
land	w1_d664e8545
abliefern	w3_d664e8548
sollte.	w5_d664e8551
Es	w7_d664e8554
hätten	w9_d664e8557
aber	w11_d664e8560
im	w13_d664e8564
mittelst	w1_d664e8569
Se.	w3_d664e8572
Dänische	w5_d664e8575
Maj.	w7_d664e8578
bey	w9_d664e8581
reiflicher	w11_d664e8584
Ue	w13_d664e8588
berlegung	w1_d664e8593
gefunden,	w3_d664e8596
daß	w5_d664e8599
Höchst=dieselbe	w7_d664e8602
durch	w1_d664e8608
die	w3_d664e8611
Einwilligung	w5_d664e8614
dieser	w7_d664e8617
Jnteressen	w9_d664e8620
den	w11_d664e8623
Czaar	w1_d664e8628
gleichwol	w3_d664e8631
als	w5_d664e8634
den	w7_d664e8637
rechtmäßigen	w9_d664e8640
und	w11_d664e8643
vollmächtigen	w1_d664e8648
Herrn	w3_d664e8651
besagten	w5_d664e8654
Herzogtums	w7_d664e8657
anerkennen	w1_d664e8662
würden,	w3_d664e8665
dahero	w5_d664e8668
diese	w7_d664e8671
Vorschlä	w9_d664e8674
ge	w1_d664e8680
verworfen	w3_d664e8683
worden	w5_d664e8686
wären.	w7_d664e8689
</p>
<head id="h2_d664e8696">
Gotha	w1_d664e8700
26.	w3_d664e8703
May.	w5_d664e8706
</head>
<p id="p4_d664e8709">
Von	w1_d664e8713
Zella	w3_d664e8716
St.	w5_d664e8719
Blasti	w7_d664e8722
allhiesigen	w9_d664e8725
Fürsten	w11_d664e8728
tums	w1_d664e8733
vernimmt	w3_d664e8736
man	w5_d664e8739
so	w7_d664e8742
eben	w9_d664e8745
die	w11_d664e8748
bejamme	w13_d664e8752
rens=würdige	w1_d664e8757
Nachricht,	w3_d664e8760
daß	w5_d664e8763
gestern	w7_d664e8766
zu	w9_d664e8769
Mittage	w1_d664e8775
allda	w3_d664e8778
eine	w5_d664e8781
heftige	w7_d664e8784
Feuers=brunst	w9_d664e8787
gewesen,	w1_d664e8792
wodurch	w3_d664e8795
diese	w5_d664e8798
Stadt	w7_d664e8801
in	w9_d664e8804
wenigen	w11_d664e8807
Stunden	w1_d664e8812
fast	w3_d664e8815
gänzlich	w5_d664e8818
eingeäschert	w7_d664e8821
worden.	w9_d664e8824
Kirche	w1_d664e8829
und	w3_d664e8832
Schule	w5_d664e8835
liegen	w7_d664e8838
nebst	w9_d664e8841
vielen	w11_d664e8844
Men	w13_d664e8848
schen,	w1_d664e8854
so	w3_d664e8857
bey	w5_d664e8860
der	w7_d664e8863
Flamme	w9_d664e8866
verunglückt,	w11_d664e8869
und	w13_d664e8873
sämmtlichen	w1_d664e8878
Mobilien,	w3_d664e8881
unter	w5_d664e8884
dem	w7_d664e8887
Schutt.	w9_d664e8890
Nur	w1_d664e8895
das	w3_d664e8898
Hoch=fürstl.	w5_d664e8901
Amt=haus	w7_d664e8904
und	w9_d664e8907
sehr	w11_d664e8910
wenige	w1_d664e8915
Häuser,	w3_d664e8918
so	w5_d664e8921
am	w7_d664e8924
Wald	w9_d664e8927
gelegen,	w11_d664e8930
sind	w13_d664e8934
noch	w1_d664e8940
gerettet	w3_d664e8943
worden.	w5_d664e8946
</p>
<head id="h4_d664e8962">
Göttingen	w1_d664e8966
19.	w3_d664e8969
May.	w5_d664e8972
</head>
<p id="p6_d664e8975">
Es	w1_d664e8979
war	w3_d664e8982
am	w5_d664e8985
16.	w7_d664e8988
dieses,	w9_d664e8991
als	w11_d664e8994
der	w13_d664e8998
Herr	w15_d664e9001
Marschall	w1_d664e9006
von	w3_d664e9009
Etrees	w5_d664e9012
aus	w7_d664e9015
Cassel	w9_d664e9018
hier	w11_d664e9021
an	w13_d664e9025
langte,	w1_d664e9030
um	w3_d664e9033
die	w5_d664e9036
hiesige	w7_d664e9039
Gegend,	w9_d664e9042
besonders	w11_d664e9045
an	w1_d664e9051
solchen	w3_d664e9054
Orten,	w5_d664e9057
wo	w7_d664e9060
vorhin	w9_d664e9063
Läger	w11_d664e9066
gestan	w13_d664e9070
den	w1_d664e9075
hatten,	w3_d664e9078
zu	w5_d664e9081
recognosciren.	w7_d664e9084
Dieserwe	w9_d664e9087
gen	w1_d664e9092
mußte	w3_d664e9095
die	w5_d664e9098
ganze	w7_d664e9101
Cavallerie	w9_d664e9104
aus	w11_d664e9107
der	w13_d664e9111
Besatzung	w1_d664e9116
rücken,	w3_d664e9119
und	w5_d664e9122
die	w7_d664e9125
Gegend	w9_d664e9128
besetzen.	w11_d664e9131
Gegen	w1_d664e9137
Abend	w3_d664e9140
kam	w5_d664e9143
der	w7_d664e9146
Herr	w9_d664e9149
Marschall	w11_d664e9152
in	w13_d664e9156
die	w1_d664e9161
Stadt.	w3_d664e9164
stieg	w5_d664e9167
am	w7_d664e9170
Thore	w9_d664e9173
ab,	w11_d664e9176
und	w13_d664e9180
gieng	w15_d664e9183
zu	w1_d664e9188
Fusse	w3_d664e9191
über	w5_d664e9194
den	w7_d664e9197
ganzen	w9_d664e9200
Wall	w11_d664e9203
und	w13_d664e9207
durch	w15_d664e9210
die	w1_d664e9215
Stadt	w3_d664e9218
nach	w5_d664e9221
seinem	w7_d664e9224
Quartiere,	w9_d664e9227
bey	w11_d664e9230
dem	w13_d664e9234
Herrn	w1_d664e9240
Grafen	w3_d664e9243
von	w5_d664e9246
Vaux	w7_d664e9249
im	w9_d664e9252
Grätzlischen	w11_d664e9255
Hause.	w1_d664e9260
Des	w3_d664e9263
andern	w5_d664e9266
Tags	w7_d664e9269
reisete	w9_d664e9272
er	w11_d664e9275
wie	w13_d664e9279
der	w1_d664e9284
ab.	w3_d664e9287
Jn	w5_d664e9290
der	w7_d664e9293
Besatzung	w9_d664e9296
hat	w11_d664e9299
er	w13_d664e9303
die	w15_d664e9306
Veränderung	w1_d664e9311
getroffen,	w3_d664e9314
daß	w5_d664e9317
heute	w7_d664e9320
alle	w9_d664e9323
schwere	w1_d664e9329
Cavallerie,	w3_d664e9332
bis	w5_d664e9335
auf	w7_d664e9338
ein	w9_d664e9341
Detasche	w11_d664e9344
ment	w1_d664e9349
vom	w3_d664e9352
Regimente	w5_d664e9355
Colonel	w7_d664e9358
General,	w9_d664e9361
ab	w11_d664e9364
marschirt,	w1_d664e9369
und	w3_d664e9372
nur	w5_d664e9375
die	w7_d664e9378
leichte	w9_d664e9381
Trupen	w11_d664e9384
und	w13_d664e9388
Dragoner	w1_d664e9393
hier	w3_d664e9396
bleiben.	w5_d664e9399
</p>
<head id="h2_d664e9405">
Wien	w1_d664e9409
den	w3_d664e9412
12.	w5_d664e9415
Junii	w7_d664e9418
11762.	w9_d664e9421
</head>
<p id="p4_d664e9424">
Verflossenen	w1_d664e9428
Donnerstag,	w3_d664e9431
als	w5_d664e9434
an	w7_d664e9437
dem	w9_d664e9440
Corporis=Christi=fest	w1_d664e9445
nach	w3_d664e9448
7.	w5_d664e9451
Uhr.	w7_d664e9454
seynd	w1_d664e9459
beede	w3_d664e9462
Kaiserl.	w5_d664e9465
Majestäten	w7_d664e9468
mit	w9_d664e9471
Jh	w11_d664e9474
ren	w1_d664e9480
Königl.	w3_d664e9483
Hoheiten	w5_d664e9486
denen	w7_d664e9489
älteren	w9_d664e9492
Durch	w11_d664e9495
leuchtigsten	w1_d664e9500
Herrschaften	w3_d664e9503
mit	w5_d664e9506
dem	w7_d664e9509
gewöhn	w9_d664e9512
lichen	w1_d664e9517
Staat	w3_d664e9520
von	w5_d664e9523
Schönbrunn	w7_d664e9526
herein	w9_d664e9529
nach	w11_d664e9532
St.	w1_d664e9537
Stephan	w3_d664e9540
gefahren,	w5_d664e9543
und	w7_d664e9546
haben	w9_d664e9549
von	w11_d664e9552
da	w1_d664e9558
aus	w3_d664e9561
dem	w5_d664e9564
von	w7_d664e9567
Sr.	w9_d664e9570
Eminenz	w11_d664e9573
dem	w13_d664e9577
allhie	w15_d664e9580
sigen	w1_d664e9585
Herrn	w3_d664e9588
Cardinalen	w5_d664e9591
und	w7_d664e9594
Erz=bischoffen	w9_d664e9597
geführten	w1_d664e9602
grossen	w3_d664e9605
Umgang,	w5_d664e9608
dann	w7_d664e9611
bey	w9_d664e9614
Zu	w11_d664e9617
rückkehrung	w1_d664e9622
in	w3_d664e9625
besagter	w5_d664e9628
Dohm=kirche	w7_d664e9631
dem	w9_d664e9634
feyerlichen	w1_d664e9640
Toison=amt	w3_d664e9643
und	w5_d664e9646
letzten	w7_d664e9649
Seegen	w9_d664e9652
beygewohnet;	w1_d664e9657
nach	w3_d664e9660
geendigtem	w5_d664e9663
Gottes	w7_d664e9666
dienst	w1_d664e9671
seynd	w3_d664e9674
beede	w5_d664e9677
Majestäten	w7_d664e9680
mit	w9_d664e9683
denen	w11_d664e9686
obbemeldten	w1_d664e9691
Königlichen	w3_d664e9694
Hoheiten	w5_d664e9697
nach	w7_d664e9700
Schönbrunn	w1_d664e9706
zurück	w3_d664e9709
gekehret,	w5_d664e9712
und	w7_d664e9715
nach	w9_d664e9718
dem	w1_d664e9723
Höchst=dieselben	w3_d664e9726
den	w5_d664e9729
Graben	w7_d664e9732
paßiret	w9_d664e9735
hatten,	w1_d664e9740
wurde	w3_d664e9743
von	w5_d664e9746
dem	w7_d664e9749
allda	w9_d664e9752
zur	w11_d664e9755
Parade	w13_d664e9759
gestandenen	w1_d664e9764
Bataillon	w3_d664e9767
ein	w5_d664e9770
dreymaliges	w7_d664e9773
Sal	w9_d664e9776
ve	w1_d664e9782
gegeben.	w3_d664e9785
</p>
<head id="h2_d664e9791">
Lista	w1_d664e9795
deren	w3_d664e9798
Verstorbenen	w5_d664e9801
zu	w7_d664e9804
Wien	w9_d664e9807
in	w1_d664e9812
und	w3_d664e9815
vor	w5_d664e9818
der	w7_d664e9821
Stadt.	w9_d664e9824
Den	w1_d664e9829
7.	w3_d664e9832
Junii.	w5_d664e9835
Jn	w7_d664e9838
der	w9_d664e9841
Stadt.	w11_d664e9844
</head>
<list id="l4_d664e9847">
Dem	w1_d664e9851
Hrn.	w3_d664e9854
Joh.	w5_d664e9857
Gottlob	w7_d664e9860
Seiffart,	w9_d664e9863
Ständis.	w11_d664e9866
Ober	w13_d664e9870
einnehm.=amts=offic.,	w1_d664e9875
s.	w3_d664e9878
S.	w5_d664e9881
Joh.	w7_d664e9884
Daniel	w9_d664e9887
Anton	w11_d664e9890
Wenzel	w1_d664e9895
im	w3_d664e9898
Schweighoferis.	w5_d664e9901
H.	w7_d664e9904
im	w9_d664e9907
Schulter=gäs.	w11_d664e9910
alt	w1_d664e9916
15.	w3_d664e9919
J.	w5_d664e9922
Georg	w1_d664e9927
Herold,	w3_d664e9930
Salz=trag.,	w5_d664e9933
im	w7_d664e9936
K.	w9_d664e9939
K.	w11_d664e9942
Salz=amt	w13_d664e9946
alda,	w1_d664e9951
alt	w3_d664e9954
50.	w5_d664e9957
J.	w7_d664e9960
</list>
<head id="h2_d664e9967">
Vor	w1_d664e9971
der	w3_d664e9974
Stadt.	w5_d664e9977
</head>
<list id="l4_d664e9980">
Dem	w1_d664e9984
Joh.	w3_d664e9987
Mich.	w5_d664e9990
Gill,	w7_d664e9993
Büchsenschift=ges.,	w9_d664e9996
s.	w11_d664e9999
W.	w13_d664e10003
Anna,	w1_d664e10008
beym	w3_d664e10011
rot.	w5_d664e10014
Thor	w7_d664e10017
in	w9_d664e10020
der	w11_d664e10023
Leopoldst.,	w13_d664e10027
24.	w15_d664e10030
J.	w17_d664e10033
Dem	w1_d664e10038
Valent.	w3_d664e10041
Körzler,	w5_d664e10044
Silber	w7_d664e10047
glanz=schleis.,	w9_d664e10050
s.	w11_d664e10053
K.	w13_d664e10057
Cathar.,	w1_d664e10063
beym	w3_d664e10066
weis.	w5_d664e10069
Rös.	w7_d664e10072
am	w9_d664e10075
Spitalb.,	w11_d664e10078
6.	w13_d664e10082
J.	w15_d664e10085
Cathar.	w1_d664e10090
Steinleinin,	w3_d664e10093
Wais,	w5_d664e10096
beyn	w7_d664e10099
3.	w9_d664e10102
Hack.	w11_d664e10105
an	w13_d664e10109
dem	w15_d664e10112
Neubau,	w1_d664e10117
alt	w3_d664e10120
6.	w5_d664e10123
J.	w7_d664e10126
Cathar.	w1_d664e10131
Goldnaglin,	w3_d664e10134
Wittwe,	w5_d664e10137
beym	w7_d664e10140
Bier=wag.	w9_d664e10143
im	w11_d664e10146
Liechtenth.,	w1_d664e10152
alt	w3_d664e10155
54.	w5_d664e10158
J.	w7_d664e10161
Dem	w1_d664e10166
Steph.	w3_d664e10169
Bergthaller,	w5_d664e10172
gew.	w7_d664e10175
Lack.,	w9_d664e10178
s.	w11_d664e10181
W.	w13_d664e10185
Julia	w15_d664e10188
na,	w1_d664e10193
in	w3_d664e10196
s.	w5_d664e10199
H.	w7_d664e10202
zu	w9_d664e10205
Mätzleinstorf,	w11_d664e10208
alt	w13_d664e10212
63.	w15_d664e10215
J.	w17_d664e10218
Dem	w1_d664e10223
Math.	w3_d664e10226
Buchinger,	w5_d664e10229
Fuhr=kn.,	w7_d664e10232
s.	w9_d664e10235
W.	w11_d664e10238
Magdal.	w13_d664e10242
beym	w1_d664e10248
rot.	w3_d664e10251
Kreutz	w5_d664e10254
am	w7_d664e10257
Thury,	w9_d664e10260
alt	w11_d664e10263
43.	w13_d664e10267
J.	w15_d664e10270
Math	w1_d664e10275
Egendorfer,	w3_d664e10278
Maurer=ges.,	w5_d664e10281
im	w7_d664e10284
Halter=H	w9_d664e10287
am	w1_d664e10292
Hundsth.,	w3_d664e10295
alt	w5_d664e10298
60.	w7_d664e10301
J.	w9_d664e10304
Dem	w1_d664e10309
Carl	w3_d664e10312
Steinbauer,	w5_d664e10315
Taglöhn.,	w7_d664e10318
s.	w9_d664e10321
T.	w11_d664e10324
Cathar.,	w13_d664e10328
bey	w1_d664e10334
dem	w3_d664e10337
