<doc id="wr_1759-09-08" attrs="word" year="1759" month="09" day="08" corpus="2">
<head id="h2_d379e4399">
Königsberg	w1_d379e4403
Kleist	w3_d379e12342
den	w5_d379e12345
19.	w7_d379e12348
Augusti	w9_d379e12351
mit	w11_d379e12354
allen	w13_d379e12358
sei	w15_d379e12361
nen	w1_d379e12367
unterhabenden	w3_d379e12370
Trupen	w5_d379e12373
durch	w7_d379e12376
die	w9_d379e12379
kleine	w11_d379e12382
Mecklenburgische	w1_d379e12387
Stadt	w3_d379e12390
Friedland,	w5_d379e12393
eilends	w7_d379e12396
gegen	w1_d379e12401
Berlin	w3_d379e12404
zuruck	w5_d379e12407
marschiret	w7_d379e12410
wäre.	w9_d379e12413
</p>
<head id="h2_d379e12429">
Wien	w1_d379e12433
den	w3_d379e12436
8.	w5_d379e12439
Septembris	w7_d379e12442
1759.	w9_d379e12445
</head>
<p id="p4_d379e12448">
Seit	w1_d379e12452
vergangenen	w3_d379e12455
Post=tag	w5_d379e12458
haben	w7_d379e12461
beyde	w9_d379e12464
Kaiserl.	w1_d379e12469
Majestäten	w3_d379e12472
zu	w5_d379e12475
Schönbrunn	w7_d379e12478
denen	w1_d379e12483
Staats	w3_d379e12486
und	w5_d379e12489
Kriegsangelegenhei	w7_d379e12492
ten	w1_d379e12498
fort=während	w3_d379e12501
abgewartet.	w5_d379e12504
</p>
<p id="p6_d379e12507">
Gestern	w1_d379e12511
fruh	w3_d379e12514
ist	w5_d379e12517
die	w7_d379e12520
erfreuliche	w9_d379e12523
Nachricht	w11_d379e12526
hier	w1_d379e12531
eingeloffen,	w3_d379e12534
daß	w5_d379e12537
die	w7_d379e12540
Chur=sächsische	w9_d379e12543
Haupt=stadt	w1_d379e12548
Dresden	w3_d379e12551
den	w5_d379e12554
4ten	w7_d379e12557
dieses	w9_d379e12560
Mo	w11_d379e12563
nats	w1_d379e12569
September	w3_d379e12572
Abends	w5_d379e12575
an	w7_d379e12578
die	w9_d379e12581
Kaiserl.	w11_d379e12584
Kö	w13_d379e12588
nigliche,	w1_d379e12593
und	w3_d379e12596
combinirte	w5_d379e12599
Reichsexecu	w7_d379e12602
tions=armee	w1_d379e12607
mit	w3_d379e12610
Capitulation	w5_d379e12613
übergegan	w7_d379e12616
gen	w1_d379e12621
seye;	w3_d379e12624
wovon	w5_d379e12627
mit	w7_d379e12630
nächsten	w9_d379e12633
das	w11_d379e12636
mehrere	w13_d379e12640
zu	w1_d379e12646
berichten	w3_d379e12649
seyn	w5_d379e12652
wird.	w7_d379e12655
</p>
<head id="h2_d379e12661">
AVERTISSEMENT.	w1_d379e12665
</head>
<p id="p4_d379e12668">
Von	w1_d379e12672
Seiten	w3_d379e12675
des	w5_d379e12678
alhiesig=Kaiserl.	w7_d379e12681
Königl.	w9_d379e12684
privilegirten	w1_d379e12689
Zeitungs=verlags	w3_d379e12692
werden	w5_d379e12695
alle	w7_d379e12698
diejenige,	w1_d379e12703
welche	w3_d379e12706
etwas	w5_d379e12709
durch	w7_d379e12712
das	w9_d379e12715
Wieneri	w11_d379e12718
sche	w1_d379e12724
Diarium	w3_d379e12727
zu	w5_d379e12730
publiciren	w7_d379e12733
haben,	w9_d379e12736
hiermit	w11_d379e12739
wiederholter=massen	w1_d379e12744
geziemend	w3_d379e12747
ersuchet,	w5_d379e12750
die	w7_d379e12753
diesfällige	w1_d379e12758
Aufsätze	w3_d379e12761
(um	w5_d379e12764
damit	w7_d379e12767
andurch	w9_d379e12770
denen	w11_d379e12773
bey	w1_d379e12778
jetzig=obwaltenden	w3_d379e12781
Kriegs=zeiten	w5_d379e12784
von	w7_d379e12787
allen	w1_d379e12793
Orten	w3_d379e12796
überhäuft	w5_d379e12799
einlauffenden	w7_d379e12802
wichti	w9_d379e12805
gen	w1_d379e12810
Nachrichten	w3_d379e12813
der	w5_d379e12816
Raum	w7_d379e12819
nicht	w9_d379e12822
benommen	w11_d379e12825
werde)	w1_d379e12830
in	w3_d379e12833
möglichster	w5_d379e12836
Kürze	w7_d379e12839
abzufassen,	w9_d379e12842
welchen	w1_d379e12847
Falls	w3_d379e12850
man	w5_d379e12853
niemalen	w7_d379e12856
entgegen	w9_d379e12859
seyn	w11_d379e12862
wird,	w1_d379e12868
dergleichen	w3_d379e12871
kurze	w5_d379e12874
Articuln	w7_d379e12877
von	w9_d379e12880
jeder	w11_d379e12883
männiglich	w1_d379e12888
anzunehmen,	w3_d379e12891
und	w5_d379e12894
dem	w7_d379e12897
Wieneri	w9_d379e12900
</p>
<p id="p6_d379e12903">
schen	w1_d379e12907
Diario	w3_d379e12910
gegen	w5_d379e12913
Gebühr,	w7_d379e12916
wie	w9_d379e12919
vorhin	w11_d379e12922
zu	w1_d379e12927
inseriren;	w3_d379e12930
man	w5_d379e12933
versihet	w7_d379e12936
sich	w9_d379e12939
aber,	w11_d379e12942
daß	w1_d379e12947
niemand	w3_d379e12950
verlangen	w5_d379e12953
werde,	w7_d379e12956
Listen	w9_d379e12959
von	w11_d379e12962
mehreren	w1_d379e12968
Büchern,	w3_d379e12971
und	w5_d379e12974
dergleichen	w7_d379e12977
vie	w9_d379e12980
len	w1_d379e12985
Platz	w3_d379e12988
erforderenden	w5_d379e12991
Particularpublica	w7_d379e12994
tionen,	w1_d379e12999
dem	w3_d379e13002
Diario	w5_d379e13005
einverleiben,	w7_d379e13008
noch	w9_d379e13011
weni	w11_d379e13014
ger	w1_d379e13019
aldarinnen	w3_d379e13022
eine	w5_d379e13025
Sache	w7_d379e13028
öfters,	w9_d379e13031
als	w11_d379e13034
höch	w13_d379e13038
stens	w1_d379e13044
2.	w3_d379e13047
mal,	w5_d379e13050
wiederholen	w7_d379e13053
zu	w9_d379e13056
lassen,	w11_d379e13059
weilen	w13_d379e13063
hierzu	w1_d379e13068
das	w3_d379e13071
Diarium	w5_d379e13074
nicht,	w7_d379e13077
wol	w9_d379e13080
aber	w11_d379e13083
das	w13_d379e13087
bey	w1_d379e13092
eben	w3_d379e13095
diesem	w5_d379e13098
Zeitungs=verlag	w7_d379e13101
gleich	w9_d379e13104
falls	w1_d379e13109
Post=täglich	w3_d379e13112
in	w5_d379e13115
Druck	w7_d379e13118
heraus	w9_d379e13121
kommende	w11_d379e13124
Frag	w1_d379e13130
und	w3_d379e13133
Kundschafts=blat	w5_d379e13136
gewiedmet	w7_d379e13139
ist,	w9_d379e13142
mit	w1_d379e13147
welchem	w3_d379e13150
hierinfals	w5_d379e13153
jedermänniglich	w7_d379e13156
nach	w9_d379e13159
Verlangen	w1_d379e13164
bedienet	w3_d379e13167
werden	w5_d379e13170
wird;	w7_d379e13173
wie	w9_d379e13176
man	w11_d379e13179
dann	w1_d379e13184
endlich	w3_d379e13187
in	w5_d379e13190
jenem	w7_d379e13193
Fall,	w9_d379e13196
da	w11_d379e13199
von	w13_d379e13203
ein	w15_d379e13206
oder	w17_d379e13209
anderer	w1_d379e13215
Fabric,	w3_d379e13218
oder	w5_d379e13221
sonstigen	w7_d379e13224
Handlung	w9_d379e13227
grössere	w1_d379e13232
Waaren=specificationen,	w3_d379e13235
oder	w5_d379e13238
auch	w7_d379e13241
Bücher=listen	w1_d379e13246
dannoch	w3_d379e13249
durch	w5_d379e13252
das	w7_d379e13255
Diarium	w9_d379e13258
publicirt	w1_d379e13263
werden	w3_d379e13266
wolten,	w5_d379e13269
zur	w7_d379e13272
Beförderung	w9_d379e13275
des	w1_d379e13281
Commercii,	w3_d379e13284
wol	w5_d379e13287
auch	w7_d379e13290
diesfällige	w9_d379e13293
ganze	w11_d379e13296
Blätter	w1_d379e13301
(welche	w3_d379e13304
derley	w5_d379e13307
Partheyen	w7_d379e13310
aber	w9_d379e13313
be	w11_d379e13316
sonders	w1_d379e13321
drucken	w3_d379e13324
zu	w5_d379e13327
lassen	w7_d379e13330
nicht	w9_d379e13333
entstehen	w11_d379e13336
wer	w13_d379e13340
den)	w1_d379e13345
dem	w3_d379e13348
Diario	w5_d379e13351
auf	w7_d379e13354
allmaliges	w9_d379e13357
Begehren,	w11_d379e13360
gegen	w1_d379e13366
geringer	w3_d379e13369
Discretion,	w5_d379e13372
beyzulegen	w7_d379e13375
in	w9_d379e13378
allweeg	w1_d379e13383
urbietig	w3_d379e13386
ist.	w5_d379e13389
</p>
<head id="h2_d379e13395">
Lista	w1_d379e13399
deren	w3_d379e13402
Verstorbenen	w5_d379e13405
zu	w7_d379e13408
Wien	w9_d379e13411
in	w1_d379e13416
und	w3_d379e13419
vor	w5_d379e13422
der	w7_d379e13425
Stadt.	w9_d379e13428
Den	w1_d379e13433
3.	w3_d379e13436
Sept.	w5_d379e13439
Jn	w1_d379e13445
der	w3_d379e13448
Stadt.	w5_d379e13451
Niemand.	w1_d379e13456
Vor	w1_d379e13461
der	w3_d379e13464
Stadt.	w5_d379e13467
</head>
<list id="l4_d379e13470">
Dem	w1_d379e13474
Franz	w3_d379e13477
Braun,	w5_d379e13480
Burgerl.	w7_d379e13483
Bild=hauern,	w9_d379e13486
s.	w11_d379e13489
K.	w13_d379e13493
Elisab.,	w1_d379e13498
beym	w3_d379e13501
Sperl	w5_d379e13504
bey	w7_d379e13507
St.	w9_d379e13510
Ulrich,	w11_d379e13513
alt	w13_d379e13517
3.	w15_d379e13520
J.	w17_d379e13523
Franz	w1_d379e13528
Sprenger,	w3_d379e13531
Schlosser=ges.,	w5_d379e13534
im	w7_d379e13537
Schlosseris.	w9_d379e13540
H.	w11_d379e13543
auf	w1_d379e13549
der	w3_d379e13552
Wied.,	w5_d379e13555
alt	w7_d379e13558
23.	w9_d379e13561
J.	w11_d379e13564
Dem	w1_d379e13569
Leonh.	w3_d379e13572
Wolf,	w5_d379e13575
Krapfen=beck,	w7_d379e13578
s.	w9_d379e13581
W.	w11_d379e13584
Eva,	w13_d379e13588
beym	w15_d379e13591
gold.	w1_d379e13596
am	w3_d379e13599
Neustift,	w5_d379e13602
alt	w7_d379e13605
62.	w9_d379e13608
J.	w11_d379e13611
Dem	w1_d379e13616
Franz	w3_d379e13619
Fischer,	w5_d379e13622
Lehen=kutsch=kn.,	w7_d379e13625
s.	w9_d379e13628
K.	w11_d379e13631
Rosat.	w13_d379e13635
bey	w1_d379e13641
St.	w3_d379e13644
Leop.	w5_d379e13647
zu	w7_d379e13650
Gumpendorf,	w9_d379e13653
alt	w11_d379e13656
4.	w13_d379e13660
J.	w15_d379e13663
Jacob	w1_d379e13668
Schwarz,	w3_d379e13671
bey	w5_d379e13674
der	w7_d379e13677
grün.	w9_d379e13680
Saul.	w11_d379e13683
im	w13_d379e13687
Liechten	w15_d379e13690
thal,	w1_d379e13695
alt	w3_d379e13698
70.	w5_d379e13701
J.	w7_d379e13704
</list>
<head id="h2_d379e13712">
Summa	w1_d379e13716
5.	w3_d379e13719
Person,	w5_d379e13722
darunter	w7_d379e13725
2.	w9_d379e13728
Kind.	w11_d379e13731
Den	w1_d379e13736
4.	w3_d379e13739
Sept.	w5_d379e13742
Jn	w1_d379e13747
der	w3_d379e13750
Stadt.	w5_d379e13753
Niemand.	w1_d379e13759
</head>
<head id="h4_d379e13767">
Vor	w1_d379e13771
der	w3_d379e13774
Stadt.	w5_d379e13777
</head>
<list id="l6_d379e13780">
Der	w1_d379e13784
Wol=edel=geb.	w3_d379e13787
Hr.	w5_d379e13790
Carl	w7_d379e13793
v.	w9_d379e13796
Ruprecht,	w11_d379e13799
gew.	w13_d379e13803
K.	w15_d379e13806
Kastner,	w1_d379e13811
bey	w3_d379e13814
Sonn,	w5_d379e13817
und	w7_d379e13820
Mond	w9_d379e13823
bey	w11_d379e13826
St.	w13_d379e13830
Ulrich,	w15_d379e13833
alt	w1_d379e13838
73.	w3_d379e13841
J.	w5_d379e13844
Der	w1_d379e13850
Wol=ehrw.	w3_d379e13853
Hr.	w5_d379e13856
Georg	w7_d379e13859
Thaller,	w9_d379e13862
weltl.	w11_d379e13865
Priest.,	w13_d379e13869
im	w1_d379e13874
Pütneris.	w3_d379e13877
H.	w5_d379e13880
auf	w7_d379e13883
der	w9_d379e13886
Wied.,	w11_d379e13889
alt	w13_d379e13893
64.	w15_d379e13896
J.	w17_d379e13899
Dem	w1_d379e13904
Carl	w3_d379e13907
Rottier,	w5_d379e13910
Herrschaftl.	w7_d379e13913
Kammer=mahl.	w9_d379e13916
s.	w1_d379e13921
T.	w3_d379e13924
Theres.,	w5_d379e13927
beyn	w7_d379e13930
3.	w9_d379e13933
Mohr.	w11_d379e13936
in	w13_d379e13940
der	w15_d379e13943
Rossau,	w17_d379e13946
alt	w19_d379e13949
17.	w1_d379e13955
J.	w3_d379e13958
i	w1_d379e13963
Bened.	w3_d379e13966
Finstenberger,	w5_d379e13969
Oebstl.	w7_d379e13972
s.	w9_d379e13975
K.	w11_d379e13978
Elis.,	w13_d379e13982
bey	w1_d379e13987
Maria=hülf	w3_d379e13990
im	w5_d379e13993
Liechtenth.,	w7_d379e13996
alt	w9_d379e13999
5.	w11_d379e14002
J.	w13_d379e14006
Dem	w1_d379e14011
Simon	w3_d379e14014
Rastinger,	w5_d379e14017
Jnvalid.,	w7_d379e14020
s.	w9_d379e14023
K.	w11_d379e14026
Juliana,	w13_d379e14030
ey	w1_d379e14036
der	w3_d379e14039
Flaut.	w5_d379e14042
oberm	w7_d379e14045
Neustift,	w9_d379e14048
alt	w11_d379e14051
3.	w13_d379e14055
J.	w15_d379e14058
Math.	w1_d379e14063
Wägerl,	w3_d379e14066
Tag=löhn.,	w5_d379e14069
bey	w7_d379e14072
St.	w9_d379e14075
Jos.	w11_d379e14078
im	w13_d379e14082
Lerchf.	w15_d379e14085
alt	w1_d379e14090
65.	w3_d379e14093
J.	w5_d379e14096
</list>
<head id="h2_d379e14103">
Summa	w1_d379e14107
6.	w3_d379e14110
Person.	w5_d379e14113
darunter	w7_d379e14116
2.	w9_d379e14119
Kind.	w11_d379e14122
Den	w1_d379e14127
5.	w3_d379e14130
Stept.	w5_d379e14133
Jn	w1_d379e14138
der	w3_d379e14141
Stadt.	w5_d379e14144
</head>
<list id="l4_d379e14147">
Der	w1_d379e14151
Cathar.	w3_d379e14154
Wagnerin,	w5_d379e14157
Burgerl.	w7_d379e14160
Wittwe,	w9_d379e14163
ihr	w11_d379e14166
K.	w13_d379e14170
Thers.,	w1_d379e14175
beyn	w3_d379e14178
7.	w5_d379e14181
Schwert.	w7_d379e14184
auf	w9_d379e14187
der	w11_d379e14190
hoh.	w13_d379e14194
Brucken,	w15_d379e14197
alt	w1_d379e14202
2.	w3_d379e14205
J.	w5_d379e14208
Dem	w1_d379e14214
Joh.	w3_d379e14217
Kastigleck,	w5_d379e14220
Zucker=back.,	w7_d379e14223
s.	w9_d379e14226
K	w11_d379e14229
Antonia,	w13_d379e14233
im	w1_d379e14238
Eisenhutis.	w3_d379e14241
H.	w5_d379e14244
beym	w7_d379e14247
Arsenal,	w9_d379e14250
alt	w11_d379e14253
7.	w13_d379e14257
J.	w15_d379e14260
</list>
<head id="h2_d379e14267">
Vor	w1_d379e14271
der	w3_d379e14274
Stadt.	w5_d379e14277
</head>
<list id="l4_d379e14280">
Anna	w1_d379e14284
Reinlin,	w3_d379e14287
Burgerl.	w5_d379e14290
Wittwe,	w7_d379e14293
beym	w9_d379e14296
gold.	w11_d379e14299
Ochs.	w13_d379e14303
bey	w1_d379e14308
Maria=hülf,	w3_d379e14311
alt	w5_d379e14314
44.	w7_d379e14317
J.	w9_d379e14320
Theres.	w1_d379e14325
Binderin,	w3_d379e14328
Wittwe,	w5_d379e14331
in	w7_d379e14334
ihrem	w9_d379e14337
H.	w11_d379e14340
zu	w13_d379e14344
Mar	w15_d379e14347
gar,	w1_d379e14353
alt	w3_d379e14356
70.	w5_d379e14359
J.	w7_d379e14362
Simon	w1_d379e14367
Zauner,	w3_d379e14370
Zahn=arzt,	w5_d379e14373
beym	w7_d379e14376
gold.	w9_d379e14379
Fässel	w11_d379e14382
zu	w13_d379e14386
Mätzleinstorf	w1_d379e14391
alt	w1_d379e14396
52.	w3_d379e14399
J.	w5_d379e14402
Dem	w1_d379e14408
Leop.	w3_d379e14411
Wirt,	w5_d379e14414
Lack,	w7_d379e14417
s.	w9_d379e14420
K.	w11_d379e14423
Carl,	w13_d379e14427
beym	w15_d379e14430
schwarz.	w17_d379e14433
Rol.	w1_d379e14438
auf	w3_d379e14441
der	w5_d379e14444
Wind=mühl,	w7_d379e14447
alt	w9_d379e14450
6.	w11_d379e14453
J.	w13_d379e14457
</list>
<head id="h2_d379e14464">
Summa	w1_d379e14468
6.	w3_d379e14471
Person.,	w5_d379e14474
darunter	w7_d379e14477
3.	w9_d379e14480
Kind.	w11_d379e14483
Den	w1_d379e14488
6.	w3_d379e14491
Sept.	w5_d379e14494
Jn	w1_d379e14499
der	w3_d379e14502
Stadt	w5_d379e14505
Niemand.	w7_d379e14508
Vor	w1_d379e14514
der	w3_d379e14517
Stadt.	w5_d379e14520
</head>
<list id="l4_d379e14523">
Dem	w1_d379e14527
Andre	w3_d379e14530
Klein,	w5_d379e14533
Burgerl.	w7_d379e14536
gem.	w9_d379e14539
Stadt	w11_d379e14542
Stuck	w13_d379e14546
gtef,	w1_d379e14551
s	w3_d379e14554
W.	w5_d379e14557
Magdal.,	w7_d379e14560
im	w9_d379e14563
Gieß=H.	w11_d379e14566
in	w13_d379e14570
der	w15_d379e14573
Alster	w17_d379e14576
gas,	w1_d379e14581
alt	w3_d379e14584
56.	w5_d379e14587
J.	w7_d379e14590
Der	w1_d379e14596
Anna	w3_d379e14599
Stinglin,	w5_d379e14602
Wittwe,	w7_d379e14605
ihr	w9_d379e14608
K.	w11_d379e14611
Rosal,	w13_d379e14615
beym	w15_d379e14618
gold.	w1_d379e14623
Fäs.	w3_d379e14626
oberm	w5_d379e14629
Neustift,	w7_d379e14632
alt	w9_d379e14635
8.	w11_d379e14638
J.	w13_d379e14642
Sarb.	w1_d379e14647
Preschoin,	w3_d379e14650
Wittwe,	w5_d379e14653
in	w7_d379e14656
ihrer	w9_d379e14659
Hüt.	w11_d379e14662
unter	w13_d379e14666
der	w15_d379e14669
Lndstr.	w1_d379e14674
an	w3_d379e14677
der	w5_d379e14680
Donau,	w7_d379e14683
alt	w9_d379e14686
45.	w11_d379e14689
J.	w13_d379e14693
Jeh.	w1_d379e14699
Manu,	w3_d379e14702
Tag=löhn.,	w5_d379e14705
beym	w7_d379e14708
gold.	w9_d379e14711
Ochs.	w11_d379e14714
am	w13_d379e14718
Thu	w15_d379e14721
ih,	w1_d379e14726
alt	w3_d379e14729
55.	w5_d379e14732
J.	w7_d379e14735
Suma	w1_d379e14740
4.	w3_d379e14743
Person.	w5_d379e14746
/	w7_d379e14749
darunter	w9_d379e14752
1.	w11_d379e14755
Kind.	w13_d379e14759
</list>
<list id="l6_d379e14763">
A	w1_d379e14767
</list>
<head id="h2_d379e14774">
AVERTISSEMENT.	w1_d379e14778
</head>
<p id="p4_d379e14781">
Von	w1_d379e14785
der	w3_d379e14788
K.	w5_d379e14791
K.	w7_d379e14794
zu	w9_d379e14797
Besorgung	w11_d379e14800
des	w13_d379e14804
allhiesigen	w15_d379e14807
8rossen	w1_d379e14812
Armen=hauses,	w3_d379e14815
und	w5_d379e14818
dahin	w7_d379e14821
gehörigen	w9_d379e14824
privile	w11_d379e14827
girten	w1_d379e14832
Pfand	w3_d379e14835
amts	w5_d379e14838
aufgestellten	w7_d379e14841
Commißion	w9_d379e14844
wird	w11_d379e14847
vierdurch	w1_d379e14853
kund	w3_d379e14856
gemachet:	w5_d379e14859
was	w7_d379e14862
massen	w9_d379e14865
von	w11_d379e14868
denen	w13_d379e14872
allda	w1_d379e14877
bey	w3_d379e14880
gewöhnlichen	w5_d379e14883
Licitationen	w7_d379e14886
Anno	w9_d379e14889
1757.	w11_d379e14892
und	w1_d379e14897
1758.	w3_d379e14900
verkauften	w5_d379e14903
Pfändern	w7_d379e14906
verschiedene	w9_d379e14909
Geld	w11_d379e14912
</p>
<list id="l6_d379e14915">
Uebermassen	w1_d379e14919
vorfindig	w3_d379e14922
seyen,	w5_d379e14925
welche	w7_d379e14928
derenselben	w9_d379e14931
Eigentümern,	w1_d379e14936
nach	w3_d379e14939
dies=ortiger	w5_d379e14942
Amtsverfassung	w7_d379e14945
gebühren,	w1_d379e14950
ihnen	w3_d379e14953
auch	w5_d379e14956
auf	w7_d379e14959
Anmelden	w9_d379e14962
unweigerlich	w11_d379e14965
abgefolget	w1_d379e14971
worden	w3_d379e14974
wären.	w5_d379e14977
Wann	w1_d379e14982
nun	w3_d379e14985
aus	w5_d379e14988
eben	w7_d379e14991
erwehnten	w9_d379e14994
Vorgang	w11_d379e14997
gemut	w13_d379e15001
masset	w1_d379e15006
werden	w3_d379e15009
kan,	w5_d379e15012
daß	w7_d379e15015
die	w9_d379e15018
betreffende	w11_d379e15021
Partheyen	w13_d379e15025
in	w1_d379e15030
dem	w3_d379e15033
Wahn	w5_d379e15036
stehen	w7_d379e15039
mögen,	w9_d379e15042
als	w11_d379e15045
ob	w13_d379e15049
sie	w15_d379e15052
von	w17_d379e15055
ihren	w19_d379e15058
nur	w1_d379e15064
allein	w3_d379e15067
zum	w5_d379e15070
Verkauf	w7_d379e15073
verfallen	w9_d379e15076
gewesten	w11_d379e15079
Pfän	w13_d379e15083
dern	w1_d379e15088
keine	w3_d379e15091
Vergütung	w5_d379e15094
zu	w7_d379e15097
erwarten	w9_d379e15100
hätten;	w11_d379e15103
Als	w1_d379e15108
hat	w3_d379e15111
sie	w5_d379e15114
Commißion	w7_d379e15117
ihrer	w9_d379e15120
Pflicht	w11_d379e15123
und	w13_d379e15127
Obli	w15_d379e15130
gettheit	w1_d379e15135
gemäß	w3_d379e15138
zu	w5_d379e15141
seyn	w7_d379e15144
erachtet,	w9_d379e15147
führohin	w11_d379e15150
nach	w13_d379e15154
vol	w15_d379e15157
lendet	w1_d379e15163
jeder	w3_d379e15166
dergleichen	w5_d379e15169
Pfänder=licitation	w7_d379e15172
die	w9_d379e15175
von	w1_d379e15180
denen	w3_d379e15183
Verkaufs=preisen	w5_d379e15186
sich	w7_d379e15189
zeigende	w9_d379e15192
Ueber	w11_d379e15195
massen	w1_d379e15200
auf	w3_d379e15203
die	w5_d379e15206
nämliche	w7_d379e15209
Art,	w9_d379e15212
wie	w11_d379e15215
solches	w13_d379e15219
wegen	w15_d379e15222
deren	w1_d379e15227
zum	w3_d379e15230
Verkauf	w5_d379e15233
bestimmten	w7_d379e15236
Pfändern	w9_d379e15239
beobach	w11_d379e15242
tet	w1_d379e15248
wird,	w3_d379e15251
durch	w5_d379e15254
den	w7_d379e15257
Zeitungs=druck	w9_d379e15260
nachdrucklich	w11_d379e15263
bekannt	w1_d379e15268
machen	w3_d379e15271
zu	w5_d379e15274
lassen:	w7_d379e15277
Jndessen	w1_d379e15282
aber	w3_d379e15285
jenen	w5_d379e15288
Partheyen,	w7_d379e15291
welche	w9_d379e15294
an	w11_d379e15297
Ein	w13_d379e15301
gange=erwehnten	w1_d379e15306
Verkaufs=übermassen	w3_d379e15309
von	w5_d379e15312
denen	w7_d379e15315
Jahren	w1_d379e15321
1757.	w3_d379e15324
und	w5_d379e15327
1758.	w7_d379e15330
Antheil	w9_d379e15333
haben,	w11_d379e15336
anmit	w13_d379e15340
zu	w15_d379e15343
erinneren,	w1_d379e15348
daß	w3_d379e15351
solche	w5_d379e15354
ihnen	w7_d379e15357
auf	w9_d379e15360
Anmelden,	w11_d379e15363
und	w13_d379e15367
ge	w15_d379e15370
gen	w1_d379e15375
Beybringung	w3_d379e15378
deren	w5_d379e15381
behörigen	w7_d379e15384
Pfand=zettuln	w9_d379e15387
ohne	w1_d379e15392
Anstand	w3_d379e15395
abgefolget	w5_d379e15398
werden.	w7_d379e15401
Wien	w9_d379e15404
den	w11_d379e15407
8.	w13_d379e15411
</list>
<p id="p8_d379e15415">
Septemb.	w1_d379e15419
1759.	w3_d379e15422
</p>
<p id="p10_d379e15425">
Den	w1_d379e15429
6.	w3_d379e15432
dies	w5_d379e15435
Monats,	w7_d379e15438
ist	w9_d379e15441
aus	w11_d379e15444
der	w13_d379e15448
Wiplingerstras	w15_d379e15451
sen	w1_d379e15456
ein	w3_d379e15459
klein	w5_d379e15462
Semmel=farbes	w7_d379e15465
Mopsl,	w9_d379e15468
welches	w11_d379e15471
ein	w13_d379e15475
Männl	w1_d379e15480
ist,	w3_d379e15483
auch	w5_d379e15486
schwarz	w7_d379e15489
von	w9_d379e15492
der	w11_d379e15495
Nasen,	w13_d379e15499
unter	w15_d379e15502
der	w17_d379e15505
Kin	w1_d379e15511
ein	w3_d379e15514
weisses	w5_d379e15517
Fleckel	w7_d379e15520
eines	w9_d379e15523
Kreutzers	w11_d379e15526
habend,	w13_d379e15530
doppelte	w1_d379e15535
Zähn	w3_d379e15538
im	w5_d379e15541
Ober=theil	w7_d379e15544
des	w9_d379e15547
Gebisses,	w11_d379e15550
fein	w13_d379e15554
und	w1_d379e15559
subtil	w3_d379e15562
von	w5_d379e15565
Füssen,	w7_d379e15568
den	w9_d379e15571
Schweif	w11_d379e15574
stäts	w13_d379e15578
in	w15_d379e15581
einem	w17_d379e15584
Schneckl	w1_d379e15589
tragend,	w3_d379e15592
mit	w5_d379e15595
heraus	w7_d379e15598
hangenden	w9_d379e15601
Züngl,	w11_d379e15604
verloren	w1_d379e15610
gegangen,	w3_d379e15613
wer	w5_d379e15616
einige	w7_d379e15619
Nachricht	w9_d379e15622
davon	w11_d379e15625
hat,	w13_d379e15629
wird	w1_d379e15634
ersuchet,	w3_d379e15637
gegen	w5_d379e15640
guter	w7_d379e15643
Recompens	w9_d379e15646
solches	w11_d379e15649
in	w13_d379e15653
das	w1_d379e15658
Gewürz=gewölb	w3_d379e15661
bey	w5_d379e15664
der	w7_d379e15667
goldenen	w9_d379e15670
Muschel,	w11_d379e15673
ein	w13_d379e15677
zulieferen.	w1_d379e15682
</p>
<p id="p12_d379e15686">
und	w1_d379e15690
Wir	w1_d379e15695
Burger=meister	w3_d379e15698
Amts=verwalter	w5_d379e15701
Raht	w1_d379e15706
der	w3_d379e15709
Stadt	w5_d379e15712
Wien,	w7_d379e15715
geben	w9_d379e15718
weil.	w11_d379e15721
Carl	w13_d379e15725
Ernst	w15_d379e15728
Frey=herrn	w1_d379e15734
von	w3_d379e15737
der	w5_d379e15740
Groeben	w7_d379e15743
hinterlassenen	w9_d379e15746
Erben	w11_d379e15749
hiemit	w1_d379e15754
zu	w3_d379e15757
vernehmen:	w5_d379e15760
Was	w7_d379e15763
massen	w9_d379e15766
uns	w11_d379e15769
die	w13_d379e15773
Ma	w15_d379e15776
seel.	w1_d379e15781
ria	w1_d379e15786
Anna	w3_d379e15789
Sartorin,	w5_d379e15792
als	w7_d379e15795
weil.	w9_d379e15798
Ernst	w11_d379e15801
Plato	w13_d379e15805
instituirte	w1_d379e15811
Erbin	w3_d379e15814
angezeiget,	w5_d379e15817
daß	w7_d379e15820
es	w9_d379e15823
nur	w11_d379e15826
an	w13_d379e15830
deme	w15_d379e15833
seye,	w17_d379e15836
daß	w1_d379e15841
dieselbe	w3_d379e15844
zu	w5_d379e15847
Legitimir	w7_d379e15850
und	w9_d379e15853
Liquidirung	w11_d379e15856
von	w1_d379e15861
ihme	w3_d379e15864
Frey=herrn	w5_d379e15867
von	w7_d379e15870
der	w9_d379e15873
Groeben	w11_d379e15876
angemeldt	w13_d379e15880
von	w1_d379e15885
gedachtem	w3_d379e15888
Plato	w5_d379e15891
an	w7_d379e15894
ihn	w9_d379e15897
per	w11_d379e15900
donationem	w13_d379e15904
ge	w15_d379e15907
diehen	w1_d379e15913
seyn	w3_d379e15916
sollenden	w5_d379e15919
Bancal=assecuration	w7_d379e15922
pr.	w9_d379e15925
5000.	w1_d379e15930
