<doc id="wr_1759-07-04" attrs="word" year="1759" month="07" day="04" corpus="2">
<head id="h2_d362e3837">
Cassel	w1_d362e3841
schickte	w3_d362e7462
auch	w5_d362e7465
Detaschementer	w7_d362e7468
nacher	w1_d362e7473
Paderborn	w3_d362e7476
aus.	w5_d362e7479
Den	w7_d362e7482
nämlichen	w9_d362e7485
Tag,	w1_d362e7491
benanntlich	w3_d362e7494
den	w5_d362e7497
18.	w7_d362e7500
brache	w9_d362e7503
auch	w11_d362e7506
das	w13_d362e7510
Fischerische	w1_d362e7515
Corps	w3_d362e7518
von	w5_d362e7521
Brillon	w7_d362e7524
auf,	w9_d362e7527
um	w11_d362e7530
an	w1_d362e7535
dem	w3_d362e7538
rechten	w5_d362e7541
Flügel	w7_d362e7544
der	w9_d362e7547
feindlichen	w11_d362e7550
Ar	w13_d362e7554
mee	w1_d362e7559
vorbey	w3_d362e7562
zu	w5_d362e7565
marschieren,	w7_d362e7568
und	w9_d362e7571
wo	w11_d362e7574
mög	w13_d362e7578
lich,	w1_d362e7584
hinter	w3_d362e7587
solchen	w5_d362e7590
Posto	w7_d362e7593
zu	w9_d362e7596
fassen,	w11_d362e7599
und	w13_d362e7603
der	w1_d362e7608
feindlichen	w3_d362e7611
Armee	w5_d362e7614
andurch	w7_d362e7617
die	w9_d362e7620
Commu	w11_d362e7623
nication	w1_d362e7628
mit	w3_d362e7631
Lippstadt	w5_d362e7634
abzuschneiden.	w7_d362e7637
Da	w9_d362e7640
nun	w1_d362e7645
der	w3_d362e7648
Prinz	w5_d362e7651
Ferdinand	w7_d362e7654
solcher=gestalten	w9_d362e7657
sich	w1_d362e7663
sowol	w3_d362e7666
rechts	w5_d362e7669
als	w7_d362e7672
links	w9_d362e7675
umrungen	w11_d362e7678
sahe	w13_d362e7682
hube	w1_d362e7687
er	w3_d362e7690
in	w5_d362e7693
der	w7_d362e7696
Nacht	w9_d362e7699
zwischen	w11_d362e7702
den	w13_d362e7706
18.	w15_d362e7709
und	w17_d362e7712
19.	w1_d362e7717
Junii	w3_d362e7720
sein	w5_d362e7723
Lager	w7_d362e7726
auf,	w9_d362e7729
und	w11_d362e7732
zoge	w13_d362e7736
sich	w15_d362e7739
auf	w1_d362e7744
der	w3_d362e7747
Haupt=strasse	w5_d362e7750
gegen	w7_d362e7753
Lippstadt	w9_d362e7756
zu	w11_d362e7759
rücke,	w1_d362e7765
alwo	w3_d362e7768
er	w5_d362e7771
zwischen	w7_d362e7774
dieser	w9_d362e7777
Stadt	w11_d362e7780
und	w13_d362e7784
Ervette	w1_d362e7789
sein	w3_d362e7792
neues	w5_d362e7795
Lager	w7_d362e7798
schluge.	w9_d362e7801
Unsere	w11_d362e7804
leichte	w1_d362e7809
Trupen,	w3_d362e7812
welche	w5_d362e7815
den	w7_d362e7818
feindlichen	w9_d362e7821
Marsch	w11_d362e7824
allenthalben	w1_d362e7829
genau	w3_d362e7832
beobachteten,	w5_d362e7835
auch	w7_d362e7838
bey	w9_d362e7841
solch=dessen	w1_d362e7847
Abzug	w3_d362e7850
verschiedene	w5_d362e7853
Gefangene	w7_d362e7856
einbrachten,	w1_d362e7861
ruckten	w3_d362e7864
hierauf	w5_d362e7867
und	w7_d362e7870
nach	w1_d362e7875
Effellen,	w3_d362e7878
Hemmeren,	w5_d362e7881
Büren	w7_d362e7884
velburg,	w1_d362e7889
und	w3_d362e7892
Brinken,	w5_d362e7895
auch	w7_d362e7898
Ober	w9_d362e7901
Nieder=turp	w1_d362e7907
vor,	w3_d362e7910
wo	w5_d362e7913
sie	w7_d362e7916
überall	w9_d362e7919
fasseten.	w1_d362e7924
Der	w3_d362e7927
Herzog	w5_d362e7930
don	w7_d362e7933
Broglie	w9_d362e7936
annebst	w1_d362e7941
die	w3_d362e7944
Regimenter	w5_d362e7947
Apchon	w7_d362e7950
un	w9_d362e7953
lontairs	w1_d362e7958
nacher	w3_d362e7961
Paderborn.	w5_d362e7964
Das	w7_d362e7967
rabinier=regiment	w1_d362e7973
traffe	w3_d362e7976
auch	w5_d362e7979
den	w7_d362e7982
18.	w9_d362e7985
der	w1_d362e7990
Armee	w3_d362e7993
ein,	w5_d362e7996
desgleichen	w7_d362e7999
ein	w9_d362e8002
Theil	w11_d362e8005
unse	w13_d362e8009
rer	w1_d362e8014
Artillerie,	w3_d362e8017
welche	w5_d362e8020
wir	w7_d362e8023
wegen	w9_d362e8026
der	w11_d362e8029
Ge	w13_d362e8033
schwindigkeit	w1_d362e8038
unseres	w3_d362e8041
Marsches	w5_d362e8044
zurück	w7_d362e8047
lassen	w9_d362e8050
musten,	w1_d362e8056
davon	w3_d362e8059
der	w5_d362e8062
noch	w7_d362e8065
übrige	w9_d362e8068
Theil	w11_d362e8071
mor	w13_d362e8075
gen	w1_d362e8080
ebenfalls	w3_d362e8083
anlangen	w5_d362e8086
wird.	w7_d362e8089
Von	w9_d362e8092
der	w11_d362e8095
Herrn	w1_d362e8100
Marquisd	w3_d362e8103
Armentieres	w5_d362e8106
lieffe	w7_d362e8109
die	w9_d362e8112
Na	w11_d362e8115
richt	w1_d362e8120
</p>
<p id="p10_d362e8125">
richt	w1_d362e8129
ein,	w3_d362e8132
daß	w5_d362e8135
das	w7_d362e8138
Corps	w9_d362e8141
am	w11_d362e8144
Unter=rhein	w13_d362e8148
den	w1_d362e8153
16.	w3_d362e8156
gleichfalls	w5_d362e8159
von	w7_d362e8162
Wesel	w9_d362e8165
aufgebrochen	w11_d362e8168
seye,	w1_d362e8173
und	w3_d362e8176
noch	w5_d362e8179
selbige	w7_d362e8182
Nacht	w9_d362e8185
zu	w11_d362e8188
Scherm	w13_d362e8192
beck	w1_d362e8198
3.	w3_d362e8201
Meilen	w5_d362e8204
von	w7_d362e8207
Wesel	w9_d362e8210
auf	w11_d362e8213
dem	w13_d362e8217
Weeg	w15_d362e8220
gegen	w1_d362e8225
Dulmen	w3_d362e8228
campirt	w5_d362e8231
habe,	w7_d362e8234
bey	w9_d362e8237
welch	w11_d362e8240
letzteren	w1_d362e8245
Ort	w3_d362e8248
11.	w5_d362e8251
Bataillons	w7_d362e8254
und	w9_d362e8257
verschie	w11_d362e8260
dene	w1_d362e8265
Escadrons	w3_d362e8268
vom	w5_d362e8271
Feind	w7_d362e8274
in	w9_d362e8277
einem	w11_d362e8280
ver	w13_d362e8284
schanzten	w1_d362e8290
Lager	w3_d362e8293
sich	w5_d362e8296
befinden.	w7_d362e8299
</p>
<head id="h2_d362e8305">
Toulon	w1_d362e8309
7.	w3_d362e8312
Junii.	w5_d362e8315
</head>
<p id="p4_d362e8318">
Gestern	w1_d362e8322
haben	w3_d362e8325
sich	w5_d362e8328
3.	w7_d362e8331
Engländische	w9_d362e8334
Kriegs=schiffe,	w1_d362e8339
jedes	w3_d362e8342
von	w5_d362e8345
80.	w7_d362e8348
Canonen,	w9_d362e8351
hiesigem	w1_d362e8356
Hafen	w3_d362e8359
genähert,	w5_d362e8362
um	w7_d362e8365
2.	w9_d362e8368
von	w11_d362e8371
un	w13_d362e8375
sern	w1_d362e8381
Fregatten,	w3_d362e8384
welche	w5_d362e8387
in	w7_d362e8390
denselben	w9_d362e8393
einlauf	w11_d362e8396
fen	w1_d362e8401
wolten,	w3_d362e8404
zu	w5_d362e8407
verfolgen;	w7_d362e8410
diese	w9_d362e8413
haben	w11_d362e8416
sich	w13_d362e8420
also	w1_d362e8425
genöhtiget	w3_d362e8428
gesehen,	w5_d362e8431
sich	w7_d362e8434
unter	w9_d362e8437
die	w11_d362e8440
Bat	w13_d362e8444
terien	w1_d362e8449
des	w3_d362e8452
Forts	w5_d362e8455
St.	w7_d362e8458
Elme	w9_d362e8461
zu	w11_d362e8464
flüchten,	w13_d362e8468
wo	w15_d362e8471
hin	w1_d362e8477
ihnen	w3_d362e8480
aber	w5_d362e8483
die	w7_d362e8486
Engländer	w9_d362e8489
gefolgt,	w11_d362e8492
um	w13_d362e8496
sich	w1_d362e8501
derselben	w3_d362e8504
zu	w5_d362e8507
bemächtigen,	w7_d362e8510
oder	w9_d362e8513
sie	w11_d362e8516
we	w13_d362e8520
nigstens	w1_d362e8525
in	w3_d362e8528
Grund	w5_d362e8531
zu	w7_d362e8534
bohren,	w9_d362e8537
wodurch	w11_d362e8540
ge	w13_d362e8544
dachte	w1_d362e8549
Fregatten	w3_d362e8552
auf	w5_d362e8555
der	w7_d362e8558
Küste	w9_d362e8561
zu	w11_d362e8564
scheitern	w13_d362e8568
gezwungen	w1_d362e8574
wurden;	w3_d362e8577
jedoch	w5_d362e8580
ist	w7_d362e8583
die	w9_d362e8586
Equipage	w11_d362e8589
durch	w1_d362e8594
Hülfe	w3_d362e8597
der	w5_d362e8600
Chaloupe	w7_d362e8603
glücklich	w9_d362e8606
geret	w11_d362e8609
tet	w1_d362e8614
worden;	w3_d362e8617
da	w5_d362e8620
aber	w7_d362e8623
das	w9_d362e8626
heftige	w11_d362e8629
Feuer	w13_d362e8633
von	w15_d362e8636
unseren	w1_d362e8641
Batterien	w3_d362e8644
unaufhörlich	w5_d362e8647
fortgedauert,	w7_d362e8650
obschon	w1_d362e8656
die	w3_d362e8659
Engländer	w5_d362e8662
uns	w7_d362e8665
einige	w9_d362e8668
Artillerie	w11_d362e8671
stücke	w1_d362e8676
demontiret	w3_d362e8679
hatten,	w5_d362e8682
so	w7_d362e8685
haben	w9_d362e8688
sich	w11_d362e8691
diese,	w1_d362e8696
nach	w3_d362e8699
einer	w5_d362e8702
6stündigen	w7_d362e8705
Canonade,	w9_d362e8708
mit	w1_d362e8713
einem	w3_d362e8716
ziemlichen	w5_d362e8719
Verlust	w7_d362e8722
zurück=ziehen	w9_d362e8725
müssen.	w1_d362e8731
Ubrigens	w3_d362e8734
haben	w5_d362e8737
wir	w7_d362e8740
an	w9_d362e8743
Todten	w11_d362e8746
und	w1_d362e8751
Verwundeten	w3_d362e8754
bey	w5_d362e8757
40.	w7_d362e8760
Mann	w9_d362e8763
eingebüst;	w11_d362e8766
der	w1_d362e8771
feindliche	w3_d362e8774
Verlust	w5_d362e8777
hingegen	w7_d362e8780
kan	w9_d362e8783
noch	w11_d362e8786
nicht	w1_d362e8791
eigentlich	w3_d362e8794
bestimmet	w5_d362e8797
werden;	w7_d362e8800
doch	w9_d362e8803
ist	w11_d362e8806
so	w1_d362e8812
viel	w3_d362e8815
gewiß,	w5_d362e8818
daß	w7_d362e8821
eines	w9_d362e8824
ihrer	w11_d362e8827
Schiffe	w13_d362e8831
sei	w15_d362e8834
nen	w1_d362e8839
Mast=korb	w3_d362e8842
verloren.	w5_d362e8845
</p>
<head id="h2_d362e8851">
Rendsburg	w1_d362e8855
11.	w3_d362e8858
Junii.	w5_d362e8861
</head>
<p id="p4_d362e8864">
Die	w1_d362e8868
vorige	w3_d362e8871
Woche	w5_d362e8874
ist	w7_d362e8877
uns	w9_d362e8880
sehr	w11_d362e8883
schreck	w13_d362e8887
haft	w1_d362e8892
gewesen,	w3_d362e8895
indem	w5_d362e8898
uns	w7_d362e8901
die	w9_d362e8904
Hand	w11_d362e8907
des	w13_d362e8911
Höchsten	w1_d362e8916
zweymal	w3_d362e8919
einer	w5_d362e8922
grossen	w7_d362e8925
Gefahr	w9_d362e8928
aussetzte.	w1_d362e8934
Dann	w3_d362e8937
den	w5_d362e8940
28.	w7_d362e8943
May,	w9_d362e8946
Nachts	w11_d362e8949
um	w1_d362e8954
11.	w3_d362e8957
Uhr,	w5_d362e8960
entstand	w7_d362e8963
bey	w9_d362e8966
einem	w11_d362e8969
hiesigen	w13_d362e8973
Bürger	w1_d362e8978
und	w3_d362e8981
Brandtwein=brenner	w5_d362e8984
im	w7_d362e8987
neuen	w9_d362e8990
Wercke	w1_d362e8995
eine	w3_d362e8998
unvermutete	w5_d362e9001
Feuers=brunst,	w7_d362e9004
welche	w1_d362e9010
die	w3_d362e9013
sämmtlichen	w5_d362e9016
Bürger,	w7_d362e9019
und	w9_d362e9022
die	w11_d362e9025
</p>
<p id="p6_d362e9028">
ganze	w1_d362e9032
Garnison,	w3_d362e9035
in	w5_d362e9038
Bewegung	w7_d362e9041
brachte,	w9_d362e9044
sie	w11_d362e9047
ward	w1_d362e9052
aber	w3_d362e9055
bald	w5_d362e9058
wieder	w7_d362e9061
getilgt.	w9_d362e9064
Hingegen	w11_d362e9067
wurden	w1_d362e9072
wir	w3_d362e9075
verwichenen	w5_d362e9078
Freytag	w7_d362e9081
mit	w9_d362e9084
un	w11_d362e9087
gemeiner	w1_d362e9093
Forcht	w3_d362e9096
und	w5_d362e9099
Sorge	w7_d362e9102
überfallen,	w9_d362e9105
da	w1_d362e9110
sich	w3_d362e9113
ein	w5_d362e9116
schnell	w7_d362e9119
aufsteigendes	w9_d362e9122
Donner	w11_d362e9125
wetter	w1_d362e9130
über	w3_d362e9133
unserer	w5_d362e9136
Stadt	w7_d362e9139
zusammen	w9_d362e9142
zog,	w11_d362e9145
und	w1_d362e9150
endlich,	w3_d362e9153
des	w5_d362e9156
Abends	w7_d362e9159
gegen	w9_d362e9162
6.	w11_d362e9165
Uhr,	w13_d362e9169
in	w1_d362e9175
denen	w3_d362e9178
hiesigen	w5_d362e9181
unweit	w7_d362e9184
dem	w9_d362e9187
Schleswiger	w11_d362e9190
Thor	w1_d362e9195
an	w3_d362e9198
dem	w5_d362e9201
grossen	w7_d362e9204
Dorf	w9_d362e9207
Magazine,	w11_d362e9210
ge	w13_d362e9214
legenen	w1_d362e9219
Pulfer=thurm	w3_d362e9222
einschlug,	w5_d362e9225
auch	w7_d362e9228
sol	w9_d362e9231
chen	w1_d362e9236
anzündete.	w3_d362e9239
Das	w5_d362e9242
Flüchten	w7_d362e9245
und	w9_d362e9248
Kla	w11_d362e9251
gen	w1_d362e9257
der	w3_d362e9260
dort	w5_d362e9263
herum	w7_d362e9266
wohnenden	w9_d362e9269
Bürger	w11_d362e9272
war	w1_d362e9277
erbärmlich.	w3_d362e9280
Viele	w5_d362e9283
ließen	w7_d362e9286
Haus	w9_d362e9289
und	w11_d362e9292
Hof	w1_d362e9297
stehen,	w3_d362e9300
und	w5_d362e9303
suchten	w7_d362e9306
nur	w9_d362e9309
sich	w11_d362e9312
selbst,	w13_d362e9316
ihre	w1_d362e9321
Frauen,	w3_d362e9324
und	w5_d362e9327
ihre	w7_d362e9330
Kinder,	w9_d362e9333
zu	w11_d362e9336
retten.	w13_d362e9340
Doch,	w1_d362e9346
zu	w3_d362e9349
unserm	w5_d362e9352
Glück,	w7_d362e9355
war	w9_d362e9358
kein	w11_d362e9361
Pulfer	w13_d362e9365
in	w1_d362e9370
dem	w3_d362e9373
Thurn,	w5_d362e9376
sondern	w7_d362e9379
es	w9_d362e9382
befanden	w11_d362e9385
sich	w13_d362e9389
nur	w1_d362e9394
alte	w3_d362e9397
gefüllte	w5_d362e9400
Granaten,	w7_d362e9403
und	w9_d362e9406
andere	w11_d362e9409
der	w13_d362e9413
gleichen	w1_d362e9418
Sachen,	w3_d362e9421
darinnen.	w5_d362e9424
Diese	w7_d362e9427
entzün	w9_d362e9430
deten	w1_d362e9436
sich	w3_d362e9439
mit	w5_d362e9442
einander,	w7_d362e9445
spielten	w9_d362e9448
theils	w11_d362e9451
über	w13_d362e9455
die	w1_d362e9460
Wälle	w3_d362e9463
aus	w5_d362e9466
der	w7_d362e9469
Festung,	w9_d362e9472
und	w11_d362e9475
crepirten	w13_d362e9479
in	w1_d362e9484
der	w3_d362e9487
Luft,	w5_d362e9490
einige	w7_d362e9493
aber	w9_d362e9496
in	w11_d362e9499
dem	w13_d362e9503
Pulfer	w15_d362e9506
thurn,	w1_d362e9511
so,	w3_d362e9514
daß	w5_d362e9517
nichts,	w7_d362e9520
als	w9_d362e9523
ein	w11_d362e9526
beständi	w13_d362e9530
ges	w1_d362e9536
entsetzliches	w3_d362e9539
Knallen,	w5_d362e9542
und	w7_d362e9545
Prasseln,	w9_d362e9548
zu	w1_d362e9553
hören	w3_d362e9556
wär.	w5_d362e9559
Ob	w7_d362e9562
nun	w9_d362e9565
wol	w11_d362e9568
die	w13_d362e9572
Spritzen.	w15_d362e9575
und	w1_d362e9580
alle	w3_d362e9583
übrige	w5_d362e9586
zum	w7_d362e9589
Löschen	w9_d362e9592
dienende	w11_d362e9595
Ge	w13_d362e9599
rätschaften	w1_d362e9604
herbey	w3_d362e9607
gebracht	w5_d362e9610
wurden,	w7_d362e9613
so	w9_d362e9616
getrauete	w1_d362e9622
sich	w3_d362e9625
doch	w5_d362e9628
niemand,	w7_d362e9631
nahe	w9_d362e9634
hinzu	w11_d362e9637
zugehen,	w1_d362e9642
bis	w3_d362e9645
endlich,	w5_d362e9648
da	w7_d362e9651
keine	w9_d362e9654
feuerfangen	w11_d362e9657
de	w1_d362e9662
und	w3_d362e9665
andere	w5_d362e9668
leicht	w7_d362e9671
schadende	w9_d362e9674
Sachen	w11_d362e9677
mehr	w13_d362e9681
vorhanden	w1_d362e9686
waren,	w3_d362e9689
der	w5_d362e9692
übrige	w7_d362e9695
starke	w9_d362e9698
Brand	w11_d362e9701
wieder	w1_d362e9707
gelöscht	w3_d362e9710
wurde.	w5_d362e9713
Wann	w7_d362e9716
das	w9_d362e9719
nahe	w11_d362e9722
daran	w1_d362e9727
stehende	w3_d362e9730
Torf=magazin,	w5_d362e9733
und	w7_d362e9736
der	w9_d362e9739
nicht	w11_d362e9742
weit	w1_d362e9747
davon	w3_d362e9750
entfernte	w5_d362e9753
kleine	w7_d362e9756
Pulfer=thurn,	w9_d362e9759
worinnen	w1_d362e9764
12.	w3_d362e9767
Tonnen	w5_d362e9770
Pulfer	w7_d362e9773
waren,	w9_d362e9776
auch	w11_d362e9779
vom	w1_d362e9785
Feuer	w3_d362e9788
wären	w5_d362e9791
ergriffen	w7_d362e9794
worden,	w9_d362e9797
wurde	w11_d362e9800
das	w1_d362e9805
Elend	w3_d362e9808
allgemein	w5_d362e9811
worden	w7_d362e9814
seyn.	w9_d362e9817
</p>
<head id="h2_d362e9823">
Stockholm	w1_d362e9827
6.	w3_d362e9830
Junii.	w5_d362e9833
</head>
<p id="p4_d362e9836">
Bey	w1_d362e9840
der	w3_d362e9843
Königl.	w5_d362e9846
Commißion	w7_d362e9849
hat	w9_d362e9852
den	w11_d362e9855
ersten	w1_d362e9860
dieses	w3_d362e9863
der	w5_d362e9866
verordnete	w7_d362e9869
Actor	w9_d362e9872
seine	w1_d362e9877
förmliche	w3_d362e9880
Anklage	w5_d362e9883
wider	w7_d362e9886
den	w9_d362e9889
Jagd	w11_d362e9892
bedienten	w1_d362e9898
Muhrbrock	w3_d362e9901
und	w5_d362e9904
noch	w7_d362e9907
2.	w9_d362e9910
andere	w11_d362e9913
</p>
<p id="p10_d362e9926">
Personen	w1_d362e9930
angestellt.	w3_d362e9933
Das	w5_d362e9936
Klag=libell	w7_d362e9939
ist,	w9_d362e9942
wie	w1_d362e9947
gewöhnlich,	w3_d362e9950
bey	w5_d362e9953
offenen	w7_d362e9956
Thüren	w9_d362e9959
abge	w11_d362e9962
lesen	w1_d362e9967
worden.	w3_d362e9970
</p>
<head id="h2_d362e9976">
Copenhagen	w1_d362e9980
4.	w3_d362e9983
Junii.	w5_d362e9986
</head>
<p id="p4_d362e9989">
Vorgestern	w1_d362e9993
Abends	w3_d362e9996
um	w5_d362e9999
halb	w7_d362e10002
10.	w9_d362e10005
Uhr	w11_d362e10008
ward	w1_d362e10013
hier	w3_d362e10016
durch	w5_d362e10019
Anziehung	w7_d362e10022
der	w9_d362e10025
Glocken	w11_d362e10028
ein	w13_d362e10032
unversehener	w1_d362e10037
Brand	w3_d362e10040
angezeiget,	w5_d362e10043
welcher	w7_d362e10046
in	w9_d362e10049
dem	w1_d362e10055
sogenannten	w3_d362e10058
Goldhause	w5_d362e10061
ausgebrochen.	w7_d362e10064
Als	w1_d362e10069
der	w3_d362e10072
Brand=major	w5_d362e10075
daselbst	w7_d362e10078
angekommen	w9_d362e10081
war,	w1_d362e10086
stunden	w3_d362e10089
von	w5_d362e10092
diesem	w7_d362e10095
Manufactur=hause	w9_d362e10098
die	w1_d362e10103
Färberey,	w3_d362e10106
das	w5_d362e10109
Preß=werk,	w7_d362e10112
das	w9_d362e10115
Uber	w11_d362e10118
scheer	w1_d362e10124
und	w3_d362e10127
das	w5_d362e10130
Magazin=haus	w7_d362e10133
schon	w9_d362e10136
in	w11_d362e10139
vol	w13_d362e10143
len	w1_d362e10148
Flammen,	w3_d362e10151
welche	w5_d362e10154
ganze	w7_d362e10157
Länge	w9_d362e10160
des	w11_d362e10163
Gebäudes	w1_d362e10168
auch	w3_d362e10171
abbrannte.	w5_d362e10174
Nur	w7_d362e10177
10.	w9_d362e10180
Fach	w11_d362e10183
von	w1_d362e10188
dem	w3_d362e10191
obersten	w5_d362e10194
Ende	w7_d362e10197
gegen	w9_d362e10200
des	w11_d362e10203
Jnspec	w13_d362e10207
tors	w1_d362e10213
Wohnung	w3_d362e10216
wurden,	w5_d362e10219
ob	w7_d362e10222
zwar	w9_d362e10225
beschä	w11_d362e10228
digt,	w1_d362e10233
erhalten.	w3_d362e10236
Der	w5_d362e10239
gröste	w7_d362e10242
Theil	w9_d362e10245
der	w11_d362e10248
fa	w13_d362e10252
bricirten	w1_d362e10257
Tücher,	w3_d362e10260
ingleichen	w5_d362e10263
die	w7_d362e10266
Weberey,	w9_d362e10269
sind	w1_d362e10274
gerettet	w3_d362e10277
worden;	w5_d362e10280
jedoch	w7_d362e10283
sind	w9_d362e10286
die	w11_d362e10289
Tü	w13_d362e10293
cher,	w1_d362e10299
welche	w3_d362e10302
unter	w5_d362e10305
denen	w7_d362e10308
3.	w9_d362e10311
Pressen	w11_d362e10314
waren,	w13_d362e10318
nebst	w1_d362e10323
diesen	w3_d362e10326
Pressen	w5_d362e10329
selbst,	w7_d362e10332
einige	w9_d362e10335
Stücke	w11_d362e10338
Tücher,	w1_d362e10343
die	w3_d362e10346
völlig	w5_d362e10349
fertig	w7_d362e10352
waren,	w9_d362e10355
und	w11_d362e10358
2.	w13_d362e10362
bis	w1_d362e10367
300.	w3_d362e10370
Stück	w5_d362e10373
ausgewalkte	w7_d362e10376
Tücher	w9_d362e10379
mit	w11_d362e10382
verbrannt.	w1_d362e10388
</p>
<head id="h2_d362e10395">
Warschau	w1_d362e10399
13.	w3_d362e10402
Junii.	w5_d362e10405
</head>
<p id="p4_d362e10408">
Die	w1_d362e10412
Juden,	w3_d362e10415
so	w5_d362e10418
sich	w7_d362e10421
Anti=talmudisten	w9_d362e10424
nen	w11_d362e10427
nen,	w1_d362e10432
auch	w3_d362e10435
bey	w5_d362e10438
dem	w7_d362e10441
festen	w9_d362e10444
Vorsatze	w11_d362e10447
behar	w13_d362e10451
ten,	w1_d362e10456
die	w3_d362e10459
Christliche	w5_d362e10462
Religion	w7_d362e10465
anzunehmen,	w9_d362e10468
und	w1_d362e10474
sich	w3_d362e10477
mit	w5_d362e10480
der	w7_d362e10483
Römischen	w9_d362e10486
Kirche	w11_d362e10489
zu	w13_d362e10493
ver	w15_d362e10496
eungen,	w1_d362e10501
haben	w3_d362e10504
dieserwegen	w5_d362e10507
aufs	w7_d362e10510
neue	w9_d362e10513
2.	w11_d362e10516
Ditteschreiben,	w1_d362e10521
eines	w3_d362e10524
an	w5_d362e10527
Se.	w7_d362e10530
Majest.	w9_d362e10533
den	w11_d362e10536
Khnig,	w1_d362e10541
das	w3_d362e10544
andere	w5_d362e10547
an	w7_d362e10550
den	w9_d362e10553
Fürsten=primas	w11_d362e10556
diesfalls	w1_d362e10562
einreichen	w3_d362e10565
lassen.	w5_d362e10568
</p>
<head id="h2_d362e10574">
Venedig	w1_d362e10578
9.	w3_d362e10581
Junii.	w5_d362e10584
</head>
<p id="p4_d362e10587">
Verwichenen	w1_d362e10591
Montags	w3_d362e10594
wurde	w5_d362e10597
Herr	w7_d362e10600
Fir	w9_d362e10603
ras,	w1_d362e10608
welchen	w3_d362e10611
der	w5_d362e10614
Päpstl.	w7_d362e10617
Nuntius	w9_d362e10620
beglei	w11_d362e10623
tere,	w1_d362e10628
dem	w3_d362e10631
hohen	w5_d362e10634
Senat	w7_d362e10637
vorgestellet,	w9_d362e10640
wo	w11_d362e10643
eimen	w1_d362e10649
er	w3_d362e10652
seine	w5_d362e10655
Beglaubigungs=briefe	w7_d362e10658
zu	w9_d362e10661
Ueberreichung	w1_d362e10666
der	w3_d362e10669
geweiheten	w5_d362e10672
goldenen	w7_d362e10675
Rose	w9_d362e10678
Ubergab.	w1_d362e10683
Den	w3_d362e10686
Sonntag	w5_d362e10689
darauf	w7_d362e10692
wurde	w9_d362e10695
sel	w11_d362e10698
dige	w1_d362e10703
mit	w3_d362e10706
vielen	w5_d362e10709
Ceremonien	w7_d362e10712
offentlich	w9_d362e10715
aus	w11_d362e10718
gestellet.	w1_d362e10724
Verschiedene	w3_d362e10727
Privat=briefe	w5_d362e10730
aus	w7_d362e10733
Rom	w1_d362e10738
versichern,	w3_d362e10741
daß	w5_d362e10744
Se.	w7_d362e10747
Päpstl.	w9_d362e10750
Heilig	w11_d362e10753
</p>
<p id="p6_d362e10756">
keit	w1_d362e10760
noch	w3_d362e10763
vor	w5_d362e10766
dem	w7_d362e10769
Verlauf	w9_d362e10772
dieses	w11_d362e10775
Monats	w13_d362e10779
zur	w1_d362e10784
Cardinals=benennung	w3_d362e10787
schreitten	w5_d362e10790
wer	w7_d362e10793
den.	w1_d362e10798
Herr	w3_d362e10801
Vitalianus	w5_d362e10804
Donati	w7_d362e10807
ist	w9_d362e10810
mit	w11_d362e10813
ei	w13_d362e10817
nem	w1_d362e10823
berühmten	w3_d362e10826
Mahler	w5_d362e10829
und	w7_d362e10832
Kupfer=stecher	w9_d362e10835
von	w1_d362e10840
Turin	w3_d362e10843
alhier	w5_d362e10846
angekommen,	w7_d362e10849
um	w9_d362e10852
die	w11_d362e10855
Reise	w1_d362e10860
nach	w3_d362e10863
Egypten	w5_d362e10866
und	w7_d362e10869
Ost=indien	w9_d362e10872
fortzu	w11_d362e10875
setzen;	w1_d362e10880
er	w3_d362e10883
will	w5_d362e10886
daselbst	w7_d362e10889
alle	w9_d362e10892
balsamische	w11_d362e10895
Pflantzen,	w1_d362e10901
seltene	w3_d362e10904
Steine,	w5_d362e10907
Thiere	w7_d362e10910
und	w9_d362e10913
Vö	w11_d362e10916
gel	w1_d362e10921
abzeichnen.	w3_d362e10924
Se.	w5_d362e10927
Sardinische	w7_d362e10930
Ma	w9_d362e10933
jestät	w1_d362e10938
haben	w3_d362e10941
diesem	w5_d362e10944
Gelehrten	w7_d362e10947
zur	w9_d362e10950
Reise	w11_d362e10953
6.	w1_d362e10958
tausend	w3_d362e10961
Ducaten	w5_d362e10964
theils	w7_d362e10967
baar,	w9_d362e10970
theils	w11_d362e10973
in	w13_d362e10977
Wechsel=briefen	w1_d362e10983
gegeben.	w3_d362e10986
</p>
<head id="h2_d362e10992">
Extract	w1_d362e10996
eines	w3_d362e10999
Schreibens	w5_d362e11002
aus	w7_d362e11005
dem	w9_d362e11008
Markt	w1_d362e11013
Mals,	w3_d362e11016
aus	w5_d362e11019
Tyrol	w7_d362e11022
von	w9_d362e11025
Vintschau	w1_d362e11030
den	w3_d362e11033
16.	w5_d362e11036
Junii.	w7_d362e11039
</head>
<p id="p4_d362e11042">
Jüngst	w1_d362e11046
verflossenen	w3_d362e11049
Pfingst=dienstag	w5_d362e11052
ware	w7_d362e11055
hier	w1_d362e11060
Orts	w3_d362e11063
ein	w5_d362e11066
erfreulich	w7_d362e11069
und	w9_d362e11072
denck=würdiger	w11_d362e11075
Jubel=tag;	w1_d362e11080
indeme	w3_d362e11083
ein	w5_d362e11086
altes	w7_d362e11089
Ehe=paar	w9_d362e11092
Ul	w11_d362e11095
