<doc id="wr_1758-10-04" attrs="word" year="1758" month="10" day="04" corpus="2">
<head id="h2_d284e3507">
Smirna	w1_d284e3511
we	w13_d284e7130
nig	w1_d284e7136
Tagen	w3_d284e7139
ein	w5_d284e7142
starkes	w7_d284e7145
Corpo	w9_d284e7148
aufbrechen	w11_d284e7151
soll,	w13_d284e7155
welches	w1_d284e7160
nebst	w3_d284e7163
denen	w5_d284e7166
dahin	w7_d284e7169
bestimmten	w9_d284e7172
Chur	w11_d284e7175
sächsischen	w1_d284e7180
Trupen	w3_d284e7183
besagte	w5_d284e7186
Armee	w7_d284e7189
in	w9_d284e7192
den	w11_d284e7195
Stand	w1_d284e7200
setzen	w3_d284e7203
wird,	w5_d284e7206
die	w7_d284e7209
Operationen	w9_d284e7212
gegen	w11_d284e7215
die	w1_d284e7221
Hannövrische	w3_d284e7224
Lande	w5_d284e7227
mit	w7_d284e7230
grösserem	w9_d284e7233
Nach	w11_d284e7236
drucke	w1_d284e7241
fortzusetzen,	w3_d284e7244
auch	w5_d284e7247
benöhtigten	w7_d284e7250
Falls	w9_d284e7253
Trupen	w1_d284e7258
ins	w3_d284e7261
Halberstädtische	w5_d284e7264
und	w7_d284e7267
Magdebur	w9_d284e7270
gische	w1_d284e7275
detachiren	w3_d284e7278
zu	w5_d284e7281
können.	w7_d284e7284
Den	w9_d284e7287
11.	w11_d284e7290
brach	w13_d284e7294
ten	w1_d284e7300
die	w3_d284e7303
Französis.	w5_d284e7306
Hussaren	w7_d284e7309
einen	w9_d284e7312
Engländi	w11_d284e7315
schen	w1_d284e7320
Kaufmann	w3_d284e7323
nebst	w5_d284e7326
12.	w7_d284e7329
der	w9_d284e7332
schönsten	w11_d284e7335
Eng	w13_d284e7339
ländischen	w1_d284e7344
Pferde	w3_d284e7347
ins	w5_d284e7350
Haupt=quartier.	w7_d284e7353
</p>
<head id="h2_d284e7359">
Cöln	w1_d284e7363
20.	w3_d284e7366
Sept.	w5_d284e7369
</head>
<p id="p4_d284e7372">
Der	w1_d284e7376
alhiesige	w3_d284e7379
Commendant,	w5_d284e7382
Herr	w7_d284e7385
von	w9_d284e7388
Torey,	w1_d284e7393
hat	w3_d284e7396
die	w5_d284e7399
Nachricht	w7_d284e7402
erhalten,	w9_d284e7405
daß	w11_d284e7408
die	w13_d284e7412
Französische	w1_d284e7417
Armee	w3_d284e7420
morgen	w5_d284e7423
sich	w7_d284e7426
in	w9_d284e7429
Bewe	w11_d284e7432
gung	w1_d284e7438
setzen	w3_d284e7441
werde,	w5_d284e7444
um	w7_d284e7447
die	w9_d284e7450
ins	w11_d284e7453
Hanövrische	w13_d284e7457
geruckte	w1_d284e7462
Soubisische	w3_d284e7465
Armee	w5_d284e7468
zu	w7_d284e7471
unterstützen.	w9_d284e7474
Schon	w1_d284e7479
gestern	w3_d284e7482
soll	w5_d284e7485
sich	w7_d284e7488
die	w9_d284e7491
Avant=garde	w11_d284e7494
zu	w1_d284e7499
Hamm	w3_d284e7502
befunden,	w5_d284e7505
und	w7_d284e7508
das	w9_d284e7511
bey	w11_d284e7514
Dorsten	w13_d284e7518
unter	w1_d284e7524
dem	w3_d284e7527
Herzog	w5_d284e7530
von	w7_d284e7533
Chevreuse	w9_d284e7536
stehende	w11_d284e7539
Corpo	w1_d284e7544
gleichfalls	w3_d284e7547
zum	w5_d284e7550
Aufbruch	w7_d284e7553
Anstalten	w9_d284e7556
gemacht	w1_d284e7561
haben.	w3_d284e7564
Den	w5_d284e7567
10.	w7_d284e7570
ließ	w9_d284e7573
dieser	w11_d284e7576
Ge	w13_d284e7580
neral	w1_d284e7585
alle	w3_d284e7588
Posten	w5_d284e7591
zwischen	w7_d284e7594
Wesel	w9_d284e7597
und	w11_d284e7600
Dor	w13_d284e7604
sten	w1_d284e7610
an	w3_d284e7613
der	w5_d284e7616
Lippe	w7_d284e7619
befestigen.	w9_d284e7622
Eben	w11_d284e7625
ge	w13_d284e7629
stern	w1_d284e7634
vereinigte	w3_d284e7637
sich	w5_d284e7640
der	w7_d284e7643
Marquis	w9_d284e7646
de	w11_d284e7649
Guer	w13_d284e7653
chy	w1_d284e7658
mit	w3_d284e7661
25.	w5_d284e7664
Grenadiers=compagnien,	w7_d284e7667
und	w9_d284e7670
gleich	w1_d284e7675
darauf	w3_d284e7678
gieng	w5_d284e7681
die	w7_d284e7684
Rede,	w9_d284e7687
daß	w11_d284e7690
dieses	w13_d284e7694
Corps	w1_d284e7700
nebst	w3_d284e7703
der	w5_d284e7706
Brigade	w7_d284e7709
de	w9_d284e7712
la	w11_d284e7715
Mark	w13_d284e7719
und	w15_d284e7722
1200.	w1_d284e7727
Dragonern	w3_d284e7730
die	w5_d284e7733
Lippe	w7_d284e7736
paßiren	w9_d284e7739
wür	w11_d284e7742
de,	w1_d284e7747
um	w3_d284e7750
die	w5_d284e7753
kleinen	w7_d284e7756
Hannövrischen	w9_d284e7759
Corps,	w11_d284e7762
welche	w1_d284e7767
bey	w3_d284e7770
Lembeck	w5_d284e7773
postirt	w7_d284e7776
stunden,	w9_d284e7779
anzu	w11_d284e7782
greiffen.	w1_d284e7788
Man	w3_d284e7791
schätzte	w5_d284e7794
sie	w7_d284e7797
anfänglich	w9_d284e7800
nur	w11_d284e7803
auf	w1_d284e7808
2000.	w3_d284e7811
Mann,	w5_d284e7814
allein	w7_d284e7817
da	w9_d284e7820
man	w11_d284e7823
Nach	w13_d284e7827
richt	w1_d284e7832
bekam,	w3_d284e7835
daß	w5_d284e7838
sie	w7_d284e7841
doppelt	w9_d284e7844
so	w11_d284e7847
stark	w13_d284e7851
seyen,	w15_d284e7854
so	w1_d284e7859
verließ	w3_d284e7862
der	w5_d284e7865
Herr	w7_d284e7868
von	w9_d284e7871
Guerchy	w11_d284e7874
diese	w13_d284e7878
Un	w15_d284e7881
</p>
<p id="p10_d284e7894">
ternehmung,	w1_d284e7898
und	w3_d284e7901
zog	w5_d284e7904
sich	w7_d284e7907
nach	w9_d284e7910
dem	w11_d284e7913
Che	w13_d284e7917
vreusischen	w1_d284e7922
Haupt=lager.	w3_d284e7925
</p>
<p id="p12_d284e7929">
Wie	w1_d284e7933
aus	w3_d284e7936
Münster	w5_d284e7939
unterm	w7_d284e7942
15.	w9_d284e7945
gemeldet	w11_d284e7948
wird,	w1_d284e7953
sind	w3_d284e7956
die	w5_d284e7959
meisten	w7_d284e7962
Brabantischen	w9_d284e7965
Gei	w11_d284e7968
sel,	w1_d284e7973
nebst	w3_d284e7976
dem	w5_d284e7979
Herrn	w7_d284e7982
von	w9_d284e7985
Vogelius,	w11_d284e7988
Ge	w13_d284e7992
neral	w1_d284e7998
Vicarien	w3_d284e8001
zu	w5_d284e8004
Paderborn	w7_d284e8007
mit	w9_d284e8010
Pässen	w11_d284e8013
versehen,	w1_d284e8018
und	w3_d284e8021
ihnen	w5_d284e8024
von	w7_d284e8027
des	w9_d284e8030
Prinzen	w11_d284e8033
Fer	w13_d284e8037
dinand	w1_d284e8042
Durchl.	w3_d284e8045
nach	w5_d284e8048
Hause	w7_d284e8051
zu	w9_d284e8054
reisen,	w11_d284e8057
er	w13_d284e8061
laubt	w1_d284e8066
worden.	w3_d284e8069
An	w5_d284e8072
eben	w7_d284e8075
diesem	w9_d284e8078
Tag	w11_d284e8081
ver	w13_d284e8085
sammelten	w1_d284e8091
sich	w3_d284e8094
die	w5_d284e8097
Münsterischen	w7_d284e8100
Stände,	w9_d284e8103
um	w1_d284e8108
über	w3_d284e8111
die	w5_d284e8114
geforderte	w7_d284e8117
Fourage=gelder	w9_d284e8120
zu	w11_d284e8123
deliberiren,	w1_d284e8128
deren	w3_d284e8131
2ter	w5_d284e8134
Termin	w7_d284e8137
schon	w9_d284e8140
vo	w11_d284e8143
rüber	w1_d284e8148
war.	w3_d284e8151
Das	w5_d284e8154
Haupt=quartier	w7_d284e8157
des	w9_d284e8160
Her	w11_d284e8163
zogs	w1_d284e8169
Ferdinand	w3_d284e8172
war	w5_d284e8175
den	w7_d284e8178
18.	w9_d284e8181
noch	w11_d284e8184
zu	w13_d284e8188
Dul	w15_d284e8191
men,	w1_d284e8196
und	w3_d284e8199
des	w5_d284e8202
Erb=prinzen	w7_d284e8205
von	w9_d284e8208
Braun	w11_d284e8211
schweig	w1_d284e8216
zu	w3_d284e8219
Haltern.	w5_d284e8222
Wann	w7_d284e8225
die	w9_d284e8228
Armee	w11_d284e8231
auf	w13_d284e8235
brechen	w1_d284e8240
wird,	w3_d284e8243
ist	w5_d284e8246
noch	w7_d284e8249
unbekannt.	w9_d284e8252
Brie	w11_d284e8255
fen	w1_d284e8261
aus	w3_d284e8264
Hannover	w5_d284e8267
unterm	w7_d284e8270
17.	w9_d284e8273
zufolge,	w11_d284e8276
stund	w1_d284e8281
die	w3_d284e8284
Französische	w5_d284e8287
Armee	w7_d284e8290
noch	w9_d284e8293
bey	w11_d284e8296
Nordheim,	w1_d284e8301
und	w3_d284e8304
des	w5_d284e8307
Prinzen	w7_d284e8310
von	w9_d284e8313
Soubise	w11_d284e8316
Haupt=quartier	w1_d284e8321
war	w3_d284e8324
zu	w5_d284e8327
Wickensen.	w7_d284e8330
Den	w9_d284e8333
13.	w1_d284e8339
Vormittags	w3_d284e8342
lief	w5_d284e8345
die	w7_d284e8348
Nachricht	w9_d284e8351
ein,	w11_d284e8354
daß	w1_d284e8359
sich	w3_d284e8362
500.	w5_d284e8365
Mann	w7_d284e8368
Fischerische	w9_d284e8371
Hussaren	w11_d284e8374
zu	w13_d284e8378
Alefeld	w1_d284e8383
5.	w3_d284e8386
Meilen	w5_d284e8389
von	w7_d284e8392
Hanover	w9_d284e8395
befänden,	w11_d284e8398
welche	w1_d284e8403
dannoch	w3_d284e8406
diesen	w5_d284e8409
Tag	w7_d284e8412
zu	w9_d284e8415
Elz	w11_d284e8418
eintref	w13_d284e8422
fen,	w1_d284e8428
und	w3_d284e8431
sich	w5_d284e8434
von	w7_d284e8437
da	w9_d284e8440
nach	w11_d284e8443
bemeldter	w13_d284e8447
Re	w15_d284e8450
sidenz=stadt	w1_d284e8455
begeben	w3_d284e8458
würden.	w5_d284e8461
Diese	w7_d284e8464
Be	w9_d284e8467
richte	w1_d284e8472
veranlasten	w3_d284e8475
sogleich	w5_d284e8478
die	w7_d284e8481
Abreise	w9_d284e8484
der	w11_d284e8487
Regierung,	w1_d284e8492
welche	w3_d284e8495
sich	w5_d284e8498
einstweilen	w7_d284e8501
nach	w9_d284e8504
Nienburg	w1_d284e8510
begab.	w3_d284e8513
</p>
<p id="p14_d284e8516">
Von	w1_d284e8520
Hammeln	w3_d284e8523
lief	w5_d284e8526
den	w7_d284e8529
16.	w9_d284e8532
die	w11_d284e8535
Nachricht	w13_d284e8539
ein,	w1_d284e8544
daß	w3_d284e8547
der	w5_d284e8550
Prinz	w7_d284e8553
von	w9_d284e8556
Jsenburg,	w11_d284e8559
welcher	w13_d284e8563
sich	w15_d284e8566
unter	w1_d284e8571
die	w3_d284e8574
Canonen	w5_d284e8577
dieser	w7_d284e8580
Festung	w9_d284e8583
gezogen,	w11_d284e8586
sich	w1_d284e8592
würklich	w3_d284e8595
mit	w5_d284e8598
dem	w7_d284e8601
Herrn	w9_d284e8604
General	w11_d284e8607
von	w13_d284e8611
Oberg	w1_d284e8616
conjungirt	w3_d284e8619
habe,	w5_d284e8622
und	w7_d284e8625
jetzo	w9_d284e8628
wiede	w11_d284e8631
rum	w1_d284e8636
im	w3_d284e8639
Anmarsch	w5_d284e8642
begriffen	w7_d284e8645
seye.	w9_d284e8648
Man	w11_d284e8651
vermutet	w1_d284e8656
also,	w3_d284e8659
im	w5_d284e8662
Fall	w7_d284e8665
die	w9_d284e8668
Soubisische	w11_d284e8671
Armee	w1_d284e8677
ihre	w3_d284e8680
Position	w5_d284e8683
nicht	w7_d284e8686
ändert,	w9_d284e8689
daß	w11_d284e8692
es	w13_d284e8696
zu	w1_d284e8701
einem	w3_d284e8704
Treffen	w5_d284e8707
kommen	w7_d284e8710
werde.	w9_d284e8713
</p>
<head id="h2_d284e8719">
Münden	w1_d284e8723
14.	w3_d284e8726
Sept.	w5_d284e8729
</head>
<p id="p4_d284e8732">
Vorgestern	w1_d284e8736
verliesse	w3_d284e8739
das	w5_d284e8742
Löbl.	w7_d284e8745
Würtem	w9_d284e8748
bergische	w1_d284e8753
Prinz	w3_d284e8756
Louisische	w5_d284e8759
Regiment	w7_d284e8762
das	w9_d284e8765
La	w11_d284e8768
ger	w1_d284e8773
vor	w3_d284e8776
Cassel,	w5_d284e8779
und	w7_d284e8782
rückte	w9_d284e8785
in	w11_d284e8788
hiesige	w13_d284e8792
Stadt	w15_d284e8795
</p>
<p id="p6_d284e8798">
ein,	w1_d284e8802
doch	w3_d284e8805
bliebe	w5_d284e8808
die	w7_d284e8811
meiste	w9_d284e8814
Bagage	w11_d284e8817
noch	w13_d284e8821
in	w15_d284e8824
dem	w1_d284e8829
Lager	w3_d284e8832
bey	w5_d284e8835
Cassel	w7_d284e8838
zurück,	w9_d284e8841
die	w11_d284e8844
übrige	w13_d284e8848
Würtembergische	w1_d284e8853
Trupen	w3_d284e8856
sind	w5_d284e8859
theils	w7_d284e8862
in	w9_d284e8865
Göt	w11_d284e8868
tingen,	w1_d284e8874
theils	w3_d284e8877
auf	w5_d284e8880
dem	w7_d284e8883
Land	w9_d284e8886
in	w11_d284e8889
dasigen	w13_d284e8893
Ge	w15_d284e8896
genden	w1_d284e8901
einquartiert;	w3_d284e8904
Das	w5_d284e8907
Löbl.	w7_d284e8910
Graf	w9_d284e8913
Truch	w11_d284e8916
seßische	w1_d284e8921
Regiment,	w3_d284e8924
und	w5_d284e8927
das	w7_d284e8930
erste	w9_d284e8933
Bataillon	w11_d284e8936
des	w1_d284e8941
Löbl.	w3_d284e8944
General	w5_d284e8947
von	w7_d284e8950
Werneckische	w9_d284e8953
Regi	w11_d284e8956
ment	w1_d284e8962
sind	w3_d284e8965
nur	w5_d284e8968
noch	w7_d284e8971
allein	w9_d284e8974
in	w11_d284e8977
Cassel	w13_d284e8981
in	w15_d284e8984
Gar	w17_d284e8987
nison.	w1_d284e8992
Unsere	w3_d284e8995
Garnison	w5_d284e8998
dahier	w7_d284e9001
bestehet	w9_d284e9004
aus	w1_d284e9009
dem	w3_d284e9012
Königl.	w5_d284e9015
Französischen	w7_d284e9018
Regiment	w9_d284e9021
von	w1_d284e9026
Deuxponts,	w3_d284e9029
und	w5_d284e9032
dem	w7_d284e9035
Herzogl.	w9_d284e9038
Würtem	w11_d284e9041
bergischen	w1_d284e9047
Negiment	w3_d284e9050
Prinz	w5_d284e9053
Louis.	w7_d284e9056
Das	w9_d284e9059
Commando	w1_d284e9064
der	w3_d284e9067
hiesigen	w5_d284e9070
Stadt	w7_d284e9073
hat	w9_d284e9076
der	w11_d284e9079
Kö	w13_d284e9083
nigl.	w1_d284e9088
Französische	w3_d284e9091
Brigadier	w5_d284e9094
und	w7_d284e9097
Obrist	w9_d284e9100
bey	w11_d284e9103
dem	w1_d284e9108
Regiment	w3_d284e9111
la	w5_d284e9114
Dauphine	w7_d284e9117
Herr	w9_d284e9120
Graf	w11_d284e9123
von	w13_d284e9127
Löwenhaupt.	w1_d284e9133
Des	w3_d284e9136
Herrn	w5_d284e9139
Herzogs	w7_d284e9142
von	w9_d284e9145
Würtemberg	w1_d284e9150
Hoch=fürstl.	w3_d284e9153
Duechl.	w5_d284e9156
sind	w7_d284e9159
wiede	w9_d284e9162
rum	w1_d284e9167
bey	w3_d284e9170
der	w5_d284e9173
Armee	w7_d284e9176
angelangt.	w9_d284e9179
</p>
<head id="h2_d284e9185">
Frankfurt	w1_d284e9189
22.	w3_d284e9192
Sept.	w5_d284e9195
</head>
<p id="p4_d284e9198">
Einige	w1_d284e9202
Briefe	w3_d284e9205
versichern:	w5_d284e9208
der	w7_d284e9211
Herr	w9_d284e9214
v.	w11_d284e9217
Mont	w13_d284e9221
ralm	w1_d284e9226
habe	w3_d284e9229
die	w5_d284e9232
Britten	w7_d284e9235
und	w9_d284e9238
ihre	w11_d284e9241
verbundene	w13_d284e9245
Wilde	w1_d284e9250
in	w3_d284e9253
America	w5_d284e9256
dergestalt	w7_d284e9259
aufs	w9_d284e9262
Haupt	w11_d284e9265
ge	w13_d284e9269
schlagen,	w1_d284e9275
daß	w3_d284e9278
ihrer	w5_d284e9281
bey	w7_d284e9284
12000.	w9_d284e9287
auf	w11_d284e9290
dem	w13_d284e9294
Platz	w15_d284e9297
liegen	w1_d284e9302
geblieben.	w3_d284e9305
Bey	w5_d284e9308
der	w7_d284e9311
Armee	w9_d284e9314
des	w11_d284e9317
Feld	w13_d284e9321
marschalls,	w1_d284e9326
Graf	w3_d284e9329
von	w5_d284e9332
Daun,	w7_d284e9335
und	w9_d284e9338
auch	w11_d284e9341
bey	w13_d284e9345
den	w1_d284e9350
Oestreichischen	w3_d284e9353
und	w5_d284e9356
Reichs=trupen,	w7_d284e9359
hat	w9_d284e9362
man	w1_d284e9368
am	w3_d284e9371
12ten	w5_d284e9374
dieses	w7_d284e9377
das	w9_d284e9380
Te	w11_d284e9383
Deum	w13_d284e9387
gesun	w15_d284e9390
gen	w1_d284e9395
und	w3_d284e9398
Victorie	w5_d284e9401
geschossen,	w7_d284e9404
daß	w9_d284e9407
die	w11_d284e9410
Russen	w13_d284e9414
am	w1_d284e9419
25.	w3_d284e9422
und	w5_d284e9425
26sten	w7_d284e9428
vorigen	w9_d284e9431
Monats	w11_d284e9434
die	w13_d284e9438
Wahlstatt	w1_d284e9443
behauptet.	w3_d284e9446
Von	w5_d284e9449
mehr	w7_d284e9452
als	w9_d284e9455
einem	w11_d284e9458
Orte	w1_d284e9464
lauft	w3_d284e9467
die	w5_d284e9470
Nachricht	w7_d284e9473
ein,	w9_d284e9476
daß	w11_d284e9479
sie	w13_d284e9483
wiede	w15_d284e9486
um	w1_d284e9491
vorrücken,	w3_d284e9494
nachdem	w5_d284e9497
sie	w7_d284e9500
die	w9_d284e9503
detaschirt	w11_d284e9506
ge	w13_d284e9510
weste	w1_d284e9515
Corps	w3_d284e9518
an	w5_d284e9521
sich	w7_d284e9524
gezogen.	w9_d284e9527
</p>
<head id="h2_d284e9534">
Hamburg	w1_d284e9538
19.	w3_d284e9541
Sept.	w5_d284e9544
</head>
<p id="p4_d284e9547">
Die	w1_d284e9551
Schwedische	w3_d284e9554
Armee	w5_d284e9557
setzt	w7_d284e9560
nunmehro	w9_d284e9563
die	w1_d284e9568
Operationen	w3_d284e9571
gegen	w5_d284e9574
das	w7_d284e9577
Brandenbur	w9_d284e9580
gische	w1_d284e9585
eifrig	w3_d284e9588
fort.	w5_d284e9591
Von	w7_d284e9594
Prenzlow	w9_d284e9597
hat	w11_d284e9600
die	w13_d284e9604
selbe	w1_d284e9610
in	w3_d284e9613
2.	w5_d284e9616
Tagen	w7_d284e9619
den	w9_d284e9622
Marsch	w11_d284e9625
nach	w13_d284e9629
Lychen	w15_d284e9632
in	w1_d284e9637
der	w3_d284e9640
Ukermark	w5_d284e9643
gemacht,	w7_d284e9646
und	w9_d284e9649
morgen	w11_d284e9652
sollte	w13_d284e9656
sie	w1_d284e9661
in	w3_d284e9664
dem	w5_d284e9667
Lager	w7_d284e9670
bey	w9_d284e9673
Fürstenberg	w11_d284e9676
eintref	w13_d284e9680
fen.	w1_d284e9685
Ein	w3_d284e9688
Corpo	w5_d284e9691
dieser	w7_d284e9694
Trupen	w9_d284e9697
von	w11_d284e9700
6000.	w13_d284e9704
Mann	w1_d284e9710
hat	w3_d284e9713
sich	w5_d284e9716
bis	w7_d284e9719
Rupin	w9_d284e9722
10	w11_d284e9725
Meilen	w13_d284e9729
von	w15_d284e9732
Berlin	w1_d284e9737
genähert.	w3_d284e9740
Jndessen	w5_d284e9743
wollen	w7_d284e9746
diese	w9_d284e9749
</p>
<p id="p8_d284e9754">
Nachrichten	w1_d284e9758
versichern,	w3_d284e9761
daß	w5_d284e9764
Se.	w7_d284e9767
Königl.	w9_d284e9770
Majest.	w1_d284e9775
von	w3_d284e9778
Preussen,	w5_d284e9781
den	w7_d284e9784
Prinzen	w9_d284e9787
Mo	w11_d284e9790
ritz	w1_d284e9795
von	w3_d284e9798
Dessau	w5_d284e9801
mit	w7_d284e9804
11000.	w9_d284e9807
Mann	w11_d284e9810
deta	w13_d284e9814
schirt	w1_d284e9820
hätten,	w3_d284e9823
um	w5_d284e9826
die	w7_d284e9829
Mark	w9_d284e9832
Brandenburg	w11_d284e9835
und	w1_d284e9840
die	w3_d284e9843
Laußitz	w5_d284e9846
zu	w7_d284e9849
bedecken,	w9_d284e9852
das	w11_d284e9855
Corpo	w13_d284e9859
dieses	w1_d284e9864
Prinzen	w3_d284e9867
soll	w5_d284e9870
sich	w7_d284e9873
nur	w9_d284e9876
7.	w11_d284e9879
Meilen	w13_d284e9883
von	w15_d284e9886
Berlin	w1_d284e9891
befinden.	w3_d284e9894
Die	w5_d284e9897
Armee	w7_d284e9900
des	w9_d284e9903
Grafen	w11_d284e9906
von	w1_d284e9912
Dohna	w3_d284e9915
stehet	w5_d284e9918
noch	w7_d284e9921
in	w9_d284e9924
voriger	w11_d284e9927
Position	w13_d284e9931
bey	w1_d284e9936
Blumberg,	w3_d284e9939
um	w5_d284e9942
die	w7_d284e9945
bey	w9_d284e9948
Landsperg	w11_d284e9951
po	w13_d284e9955
stirte	w1_d284e9960
Rußisch=Kaiserl.	w3_d284e9963
Armee	w5_d284e9966
zu	w7_d284e9969
beobachten.	w9_d284e9972
</p>
<head id="h2_d284e9978">
Leipzig	w1_d284e9982
21.	w3_d284e9985
Sept.	w5_d284e9988
</head>
<p id="p4_d284e9991">
Nach	w1_d284e9995
denen	w3_d284e9998
Briefen	w5_d284e10001
aus	w7_d284e10004
Dreßden	w9_d284e10007
ist	w11_d284e10010
die	w13_d284e10014
Preußische	w1_d284e10019
Armee	w3_d284e10022
unter	w5_d284e10025
des	w7_d284e10028
Prinzen	w9_d284e10031
Hein	w11_d284e10034
richs	w1_d284e10039
Königl.	w3_d284e10042
Hoheit	w5_d284e10045
durch	w7_d284e10048
die	w9_d284e10051
bisher	w11_d284e10054
er	w13_d284e10058
haltene	w1_d284e10064
Verstärkungen	w3_d284e10067
sehr	w5_d284e10070
angewachsen.	w7_d284e10073
Sie	w1_d284e10078
stehet	w3_d284e10081
seit	w5_d284e10084
einigen	w7_d284e10087
Tagen	w9_d284e10090
schon	w11_d284e10093
en	w13_d284e10097
Or	w15_d284e10100
dre	w1_d284e10105
de	w3_d284e10108
Bataille,	w5_d284e10111
da	w7_d284e10114
dann	w9_d284e10117
jedesmal	w11_d284e10120
Abends	w13_d284e10124
zwischen	w1_d284e10129
denen	w3_d284e10132
vorrückenden	w5_d284e10135
leichten	w7_d284e10138
Tru	w9_d284e10141
pen	w1_d284e10147
Attaquen	w3_d284e10150
und	w5_d284e10153
starke	w7_d284e10156
Scharmützels	w9_d284e10159
vor	w11_d284e10162
fallen.	w1_d284e10167
Den	w3_d284e10170
14.	w5_d284e10173
sind	w7_d284e10176
2000.	w9_d284e10179
Mann	w11_d284e10182
Feld	w13_d284e10186
bäcker	w1_d284e10191
durch	w3_d284e10194
Dreßden	w5_d284e10197
mit	w7_d284e10200
Fahnen	w9_d284e10203
und	w11_d284e10206
Trommeln	w1_d284e10211
zur	w3_d284e10214
Armee	w5_d284e10217
des	w7_d284e10220
Prinzen	w9_d284e10223
Hein	w11_d284e10226
richs	w1_d284e10232
abmarschirt.	w3_d284e10235
Den	w5_d284e10238
15.	w7_d284e10241
marschirte	w9_d284e10244
das	w1_d284e10249
Coßlische	w3_d284e10252
Jnfanterie=regiment	w5_d284e10255
nach	w7_d284e10258
Grossen=hayn,	w1_d284e10263
ohne	w3_d284e10266
daß	w5_d284e10269
man	w7_d284e10272
weiß,	w9_d284e10275
was	w11_d284e10278
hiezu	w1_d284e10283
Anlaß	w3_d284e10286
gegeben.	w5_d284e10289
Den	w7_d284e10292
15.	w9_d284e10295
nahmen	w11_d284e10298
Se.	w1_d284e10304
Königl.	w3_d284e10307
Majestät	w5_d284e10310
nebst	w7_d284e10313
des	w9_d284e10316
Prinzen	w11_d284e10319
Heinrichs	w1_d284e10324
Königl.	w3_d284e10327
Hoheit	w5_d284e10330
die	w7_d284e10333
Defileen	w9_d284e10336
und	w11_d284e10339
die	w1_d284e10344
2.	w3_d284e10347
über	w5_d284e10350
die	w7_d284e10353
Elbe	w9_d284e10356
geschlagene	w11_d284e10359
Brücken	w13_d284e10363
bey	w1_d284e10368
Pillnitz	w3_d284e10371
in	w5_d284e10374
Augenschein,	w7_d284e10377
und	w9_d284e10380
speiseten	w11_d284e10383
in	w1_d284e10389
dem	w3_d284e10392
dasigen	w5_d284e10395
Königl.	w7_d284e10398
Garten	w9_d284e10401
zu	w11_d284e10404
Mittag.	w13_d284e10408
Auf	w1_d284e10413
dem	w3_d284e10416
Gräfl.	w5_d284e10419
Brühlischen	w7_d284e10422
Reithause,	w9_d284e10425
sind	w1_d284e10430
14.	w3_d284e10433
Back=öfen	w5_d284e10436
aufgesetzt	w7_d284e10439
worden,	w9_d284e10442
und	w11_d284e10445
werden	w1_d284e10450
die	w3_d284e10453
Holz=höfe	w5_d284e10456
durch	w7_d284e10459
die	w9_d284e10462
täglich	w11_d284e10465
star	w13_d284e10469
ken	w1_d284e10475
Lieferungen	w3_d284e10478
sehr	w5_d284e10481
ausgeleeret.	w7_d284e10484
Um	w9_d284e10487
die	w11_d284e10490
Gegenden,	w1_d284e10495
wo	w3_d284e10498
die	w5_d284e10501
Preußische	w7_d284e10504
Armee	w9_d284e10507
steht,	w11_d284e10510
wird	w1_d284e10515
alles	w3_d284e10518
wegfouragirt,	w5_d284e10521
so,	w7_d284e10524
daß	w9_d284e10527
nie	w11_d284e10530
mand	w1_d284e10535
etwas	w3_d284e10538
übrig	w5_d284e10541
behält.	w7_d284e10544
Die	w9_d284e10547
Festung	w11_d284e10550
Sonnenstein	w1_d284e10556
und	w3_d284e10559
Pirna	w5_d284e10562
werden	w7_d284e10565
von	w9_d284e10568
denen	w11_d284e10571
Kaiserl.	w1_d284e10576
Königl.	w3_d284e10579
Trupen	w5_d284e10582
stark	w7_d284e10585
fortificirt.	w9_d284e10588
</p>
<head id="h2_d284e10594">
Paris	w1_d284e10598
22.	w3_d284e10601
September.	w5_d284e10604
</head>
<p id="p4_d284e10607">
Der	w1_d284e10611
Marquis	w3_d284e10614
de	w5_d284e10617
Baudreuil,	w7_d284e10620
Gouver	w9_d284e10623
neur	w1_d284e10628
von	w3_d284e10631
Canada,	w5_d284e10634
hat	w7_d284e10637
die	w9_d284e10640
Fregatte,	w11_d284e10643
la	w13_d284e10647
Va	w15_d284e10650
</p>
<p id="p6_d284e10653">
leur,	w1_d284e10657
auf	w3_d284e10660
welcher	w5_d284e10663
der	w7_d284e10666
Herr	w9_d284e10669
Peau,	w11_d284e10672
Major	w13_d284e10676
von	w1_d284e10681
Queber	w3_d284e10684
eingeschift	w5_d284e10687
war,	w7_d284e10690
abgefertiget,	w9_d284e10693
um	w1_d284e10698
die	w3_d284e10701
Paquete	w5_d284e10704
der	w7_d284e10707
Colonie	w9_d284e10710
hieher	w11_d284e10713
zu	w13_d284e10717
bringen.	w15_d284e10720
und	w1_d284e10726
einen	w3_d284e10729
Bericht	w5_d284e10732
von	w7_d284e10735
dem	w9_d284e10738
Treffen	w11_d284e10741
des	w13_d284e10745
8.	w15_d284e10748
Julii	w1_d284e10753
zwischen	w3_d284e10756
denen	w5_d284e10759
Trupen	w7_d284e10762
des	w9_d284e10765
Königs,	w11_d284e10768
unter	w1_d284e10773
dem	w3_d284e10776
Marquis	w5_d284e10779
de	w7_d284e10782
Montelam,	w9_d284e10785
