<doc id="wr_1759-12-05" attrs="word" year="1759" month="12" day="05" corpus="2">
<head id="h2_d403e4038">
Werra=strom	w1_d403e4042
zuberläßigen	w13_d403e7697
Nachricht,	w1_d403e7702
die	w3_d403e7705
ich	w5_d403e7708
hatte,	w7_d403e7711
wie	w9_d403e7714
die	w11_d403e7717
Hollän	w13_d403e7721
dische	w1_d403e7727
und	w3_d403e7730
Schwedische	w5_d403e7733
Schiffe,	w7_d403e7736
Cano	w1_d403e7741
nen,	w1_d403e7746
Pulfer,	w3_d403e7749
und	w5_d403e7752
andere	w7_d403e7755
Munition,	w9_d403e7758
dem	w11_d403e7761
Feinde	w1_d403e7766
zuführten,	w3_d403e7769
allen	w5_d403e7772
meinen	w7_d403e7775
Schifsca	w9_d403e7778
pitains	w1_d403e7784
besonders	w3_d403e7787
befohlen,	w5_d403e7790
jede	w7_d403e7793
schiffe	w1_d403e7798
dieser	w1_d403e7803
Nationen,	w3_d403e7806
falls	w5_d403e7809
sie	w7_d403e7812
nach	w9_d403e7815
Französischen	w11_d403e7818
Hafen	w1_d403e7823
bestmmmt	w3_d403e7826
sind,	w5_d403e7829
aufs	w7_d403e7832
genaueste	w9_d403e7835
zu	w11_d403e7838
durchsuchen.	w1_d403e7844
An	w3_d403e7847
dem	w5_d403e7850
im	w7_d403e7853
Memoire	w9_d403e7856
bemerb	w11_d403e7859
ten	w1_d403e7864
Tage	w3_d403e7867
habe	w5_d403e7870
ich	w7_d403e7873
4.	w9_d403e7876
Schiffe	w11_d403e7879
detaschirt,	w13_d403e7883
um	w1_d403e7888
einige	w3_d403e7891
im	w5_d403e7894
Gesicht	w7_d403e7897
befindliche	w9_d403e7900
Schiffe	w11_d403e7903
aufzuhalten,	w1_d403e7908
welche	w3_d403e7911
bey	w5_d403e7914
weiterer	w7_d403e7917
Annähe	w9_d403e7920
rung	w1_d403e7926
für	w3_d403e7929
oben	w5_d403e7932
benannte	w7_d403e7935
Holländische	w9_d403e7938
Schiffe	w11_d403e7941
unter	w1_d403e7946
eines	w3_d403e7949
Kriegs=schifs=bedeckung	w5_d403e7952
erkannt	w7_d403e7955
wurden,	w1_d403e7960
die	w3_d403e7963
nach	w5_d403e7966
verschiedenen	w7_d403e7969
Häfen	w9_d403e7972
des	w11_d403e7975
Mittelländischen	w1_d403e7980
Mees,	w3_d403e7983
und	w5_d403e7986
2.	w7_d403e7989
davon	w9_d403e7992
nach	w11_d403e7995
Marseilles,	w1_d403e8001
2.	w3_d403e8004
nach	w5_d403e8007
Toulon	w7_d403e8010
bestimmt	w9_d403e8013
wa	w11_d403e8016
ren.	w1_d403e8021
Sie	w3_d403e8024
wurden	w5_d403e8027
so	w7_d403e8030
genau	w9_d403e8033
visitirt,	w11_d403e8036
als	w13_d403e8040
es	w15_d403e8043
binnen	w1_d403e8048
einer	w3_d403e8051
Stunde	w5_d403e8054
auf	w7_d403e8057
der	w9_d403e8060
See	w11_d403e8063
möglich	w13_d403e8067
ist.	w1_d403e8072
Alleine	w3_d403e8075
da	w5_d403e8078
man	w7_d403e8081
nichts	w9_d403e8084
fand,	w11_d403e8087
wurden	w13_d403e8091
sie	w1_d403e8097
losgelassen,	w3_d403e8100
und	w5_d403e8103
meine	w7_d403e8106
Capitains	w9_d403e8109
sagten	w11_d403e8112
mir,	w1_d403e8117
daß	w3_d403e8120
alles	w5_d403e8123
höflich	w7_d403e8126
und	w9_d403e8129
ordentlich	w11_d403e8132
zu	w13_d403e8136
gangen	w1_d403e8141
sey.	w3_d403e8144
Der	w5_d403e8147
Holländische	w7_d403e8150
Capitals	w9_d403e8153
Betting,	w1_d403e8158
hat	w3_d403e8161
sich	w5_d403e8164
niemalen	w7_d403e8167
bey	w9_d403e8170
mir	w11_d403e8173
beklagt,	w13_d403e8177
dieses	w1_d403e8183
war	w3_d403e8186
auch	w5_d403e8189
nicht	w7_d403e8192
möglich,	w9_d403e8195
da	w11_d403e8198
er	w13_d403e8202
nach	w15_d403e8205
dem	w1_d403e8210
Mittelländischen	w3_d403e8213
Meer	w5_d403e8216
seegelte,	w7_d403e8219
ich	w9_d403e8222
aber	w11_d403e8225
meinen	w1_d403e8230
Cours	w3_d403e8233
nach	w5_d403e8236
Gibraltar,	w7_d403e8239
und	w9_d403e8242
von	w11_d403e8245
dn	w13_d403e8249
nach	w1_d403e8254
England	w3_d403e8257
richtete.	w5_d403e8260
Da	w7_d403e8263
es	w9_d403e8266
bekannt	w11_d403e8269
ist	w13_d403e8273
daß	w1_d403e8279
die	w3_d403e8282
Holländische	w5_d403e8285
Kauf=leute	w7_d403e8288
degen	w9_d403e8291
Feinden	w1_d403e8296
Sr.	w3_d403e8299
Königl.	w5_d403e8302
Majestät	w7_d403e8305
Kriegs	w9_d403e8308
inne	w11_d403e8311
nition	w1_d403e8316
liefern,	w3_d403e8319
so	w5_d403e8322
habe	w7_d403e8325
ich	w9_d403e8328
geglandt,	w11_d403e8331
bey	w13_d403e8335
Gebrauchung	w1_d403e8340
aller	w3_d403e8343
Vorsicht,	w5_d403e8346
und	w7_d403e8349
Visirirung	w9_d403e8352
.	w1_d403e8358
der	w1_d403e8363
nach	w3_d403e8366
Französischen	w5_d403e8369
Häfen	w7_d403e8372
be	w9_d403e8375
Rimmten	w1_d403e8380
Schiffen,	w1_d403e8385
meine	w3_d403e8388
Pflicht	w5_d403e8391
zu	w7_d403e8394
beobachten.	w9_d403e8397
Jch	w11_d403e8400
hatte	w1_d403e8406
eher	w3_d403e8409
geantwortet,	w5_d403e8412
alleine	w7_d403e8415
ich	w9_d403e8418
wolte	w11_d403e8421
vorher	w1_d403e8426
die	w3_d403e8429
in	w5_d403e8432
England	w7_d403e8435
befindliche	w9_d403e8438
Capitams	w11_d403e8441
examiniren,	w1_d403e8446
ob	w3_d403e8449
bey	w5_d403e8452
dieser	w7_d403e8455
Visitation	w9_d403e8458
etwas	w11_d403e8461
)	w1_d403e8466
</p>
<list id="l12_d403e8475">
widriges	w1_d403e8479
vorgefallen	w3_d403e8482
wäre,	w5_d403e8485
jedoch	w7_d403e8488
sie	w9_d403e8491
ha	w11_d403e8494
en	w1_d403e8499
wir	w3_d403e8502
nichts	w5_d403e8505
bericht	w7_d403e8508
6	w1_d403e8513
n	w1_d403e8519
</list>
<list id="l14_d403e8523">
Jn	w1_d403e8529
dem	w3_d403e8532
Hafen	w5_d403e8535
von	w7_d403e8538
Torbay	w9_d403e8541
seynd	w11_d403e8544
die	w13_d403e8548
Ad	w15_d403e8551
</list>
<list id="l16_d403e8555">
Schiffen	w1_d403e8559
von	w3_d403e8562
der	w5_d403e8565
Linie	w7_d403e8568
den	w9_d403e8571
9.	w11_d403e8574
dieses	w13_d403e8578
einge	w15_d403e8581
loffen,	w1_d403e8586
weil	w3_d403e8589
sie	w5_d403e8592
wegen	w7_d403e8595
widriger	w9_d403e8598
Winden	w11_d403e8601
ihre	w13_d403e8605
Wi	w1_d403e8612
Breß	w3_d403e8615
biche	w5_d403e8618
Lanet	w7_d403e8621
behaupteß	w9_d403e8624
9	w1_d403e8630
Da	w1_d403e8635
ihnen	w3_d403e8638
indessen	w5_d403e8641
eine	w7_d403e8644
Verstär	w9_d403e8647
konten.	w1_d403e8652
kung	w1_d403e8657
zageschilt	w3_d403e8660
worden,	w5_d403e8663
so	w7_d403e8666
besorgt	w9_d403e8669
man,	w11_d403e8672
daß	w1_d403e8678
die	w3_d403e8681
widrige	w5_d403e8684
Winde	w7_d403e8687
nicht	w9_d403e8690
die	w1_d403e8695
einzige	w3_d403e8698
Die	w1_d403e8703
Beserg	w3_d403e8706
Ursache	w1_d403e8711
ihrer	w3_d403e8714
Retour	w5_d403e8717
seyen.	w7_d403e8720
nüß	w1_d403e8726
wegen	w3_d403e8729
einer	w5_d403e8732
Landung,	w7_d403e8735
rweckt	w1_d403e8740
noch	w3_d403e8743
9	w1_d403e8748
im	w1_d403e8753
hich	w3_d403e8756
die	w5_d403e8759
Küsten	w7_d403e8762
aufs	w9_d403e8765
beste	w1_d403e8771
besetzt	w3_d403e8774
sind.	w5_d403e8777
Durch	w7_d403e8780
ein	w9_d403e8783
aus	w11_d403e8786
Neu	w13_d403e8790
York	w15_d403e8793
2	w1_d403e8798
zu	w1_d403e8803
Döwre	w3_d403e8806
angekommenes	w5_d403e8809
Schif	w7_d403e8812
ist	w9_d403e8815
die	w11_d403e8818
Nachricht	w1_d403e8826
eingeloffen,	w3_d403e8829
daß	w5_d403e8832
der	w7_d403e8835
Generäl	w9_d403e8838
Aferst	w1_d403e8843
den	w3_d403e8846
See	w5_d403e8849
Champlain	w7_d403e8852
paßirt,	w9_d403e8855
und	w11_d403e8858
sich	w1_d403e8865
aller	w3_d403e8868
darauf	w5_d403e8871
befindlichen	w7_d403e8874
Französischen	w9_d403e8877
Schiffe	w1_d403e8885
bemächtiget	w3_d403e8888
habe.	w5_d403e8891
Er	w7_d403e8894
Hande	w9_d403e8897
hle	w11_d403e8900
glech	w1_d403e8905
das	w3_d403e8908
ut	w5_d403e8911
St.	w7_d403e8914
Jran	w9_d403e8917
weggeen,	w11_d403e8920
und	w1_d403e8928
sey	w3_d403e8931
gegenwärtig	w5_d403e8934
nach	w7_d403e8937
Montreal	w9_d403e8940
auf	w11_d403e8943
dem	w1_d403e8948
Mürsch	w3_d403e8951
begriffen,	w5_d403e8954
hievon	w7_d403e8957
hat	w9_d403e8960
über	w11_d403e8963
der	w13_d403e8967
Hof	w1_d403e8972
noch	w3_d403e8975
Leine	w5_d403e8978
Berichte	w7_d403e8981
erzal.	w9_d403e8984
Man	w1_d403e8992
dan	w3_d403e8995
nunmehrs,	w5_d403e8998
die	w7_d403e9001
von	w9_d403e9004
den	w11_d403e9007
Lord	w13_d403e9011
22	w1_d403e9016
8.	w1_d403e9021
Keper,	w1_d403e9026
einen	w3_d403e9029
vom	w5_d403e9032
denen	w7_d403e9035
Königl.	w9_d403e9038
Cömmis	w11_d403e9041
</list>
<list id="l18_d403e9045">
falfs	w1_d403e9049
an	w3_d403e9052
beyde	w5_d403e9055
Häus	w7_d403e9058
des	w9_d403e9061
Pal	w11_d403e9064
ge	w13_d403e9068
schehene	w1_d403e9073
Pureden	w3_d403e9076
mittheilen.	w5_d403e9079
Ddie	w7_d403e9082
an	w9_d403e9085
des	w11_d403e9088
Oberhaus	w1_d403e9095
ist	w3_d403e9098
folgende:	w5_d403e9101
</list>
<head id="h2_d403e9108">
Milords	w1_d403e9112
und	w3_d403e9115
Herren!	w5_d403e9118
</head>
<list id="l4_d403e9121">
Zufolge	w1_d403e9125
der	w3_d403e9128
Gewalt,	w5_d403e9131
welche	w7_d403e9134
wir	w9_d403e9137
von	w11_d403e9140
Sr.	w13_d403e9144
Köpiad	w1_d403e9149
Majestät	w3_d403e9152
durch	w5_d403e9155
eine	w7_d403e9158
unker	w9_d403e9161
den	w11_d403e9164
Frol	w13_d403e9168
zen	w1_d403e9173
Siege,	w3_d403e9176
ausgefertigte	w5_d403e9179
Commißion	w7_d403e9182
erhal	w9_d403e9185
An,	w1_d403e9191
ist	w3_d403e9194
uns	w5_d403e9197
aufgetragen,	w7_d403e9200
ihnen	w9_d403e9203
die	w11_d403e9206
Ursa	w13_d403e9210
ihren	w15_d403e9213
Häfen,	w17_d403e9216
und	w19_d403e9219
überhaubpt	w21_d403e9222
alle	w23_d403e9225
diese	w25_d403e9229
Be	w27_d403e9232
chen	w1_d403e9239
zu	w3_d403e9242
erklären,	w5_d403e9245
welche	w7_d403e9248
die	w9_d403e9251
Haltung	w11_d403e9254
des	w13_d403e9258
ge	w1_d403e9263
zenwärtigen	w3_d403e9266
Parlements	w5_d403e9269
vergulast	w7_d403e9272
haben.	w9_d403e9275
und	w11_d403e9278
znfehlbar	w13_d403e9282
in	w15_d403e9285
demjenigen	w17_d403e9288
aller	w19_d403e9291
dera,	w21_d403e9294
ge	w23_d403e9297
Se.	w1_d403e9305
Majestät	w3_d403e9308
hat	w5_d403e9311
es	w7_d403e9314
gnäbigst	w9_d403e9317
gefallen,	w11_d403e9320
treuen	w13_d403e9324
Unterthalten	w15_d403e9327
die	w17_d403e9330
alfrichtigste	w19_d403e9333
Freude	w21_d403e9336
.	w1_d403e9341
ahs	w1_d403e9346
abzadesehlen,	w3_d403e9349
iste	w5_d403e9352
zu	w7_d403e9355
verstleedaßrwecket	w9_d403e9358
haben.	w11_d403e9361
Hächstoidche	w13_d403e9365
glalen,	w15_d403e9368
Höchst=dieselben	w1_d403e9373
selbst	w3_d403e9376
es	w5_d403e9379
für	w7_d403e9382
ein	w9_d403e9385
besonde	w11_d403e9388
daß	w13_d403e9392
sie	w15_d403e9395
überzeuget	w17_d403e9398
seyen,	w19_d403e9401
daß	w21_d403e9404
man	w23_d403e9407
es	w25_d403e9411
zos	w27_d403e9414
res	w1_d403e9420
Glück	w3_d403e9423
ansehen,	w5_d403e9426
sie	w7_d403e9429
zu	w9_d403e9432
einer	w11_d403e9435
solchen	w13_d403e9439
Zeit	w15_d403e9442
zeantn	w1_d403e9447
bekussen	w3_d403e9450
zu	w5_d403e9453
können,	w7_d403e9456
wo	w9_d403e9459
die	w11_d403e9462
Lagt,	w13_d403e9466
ermangen	w15_d403e9469
lässe,	w17_d403e9472
um	w19_d403e9475
die	w21_d403e9478
Mital	w23_d403e9481
in	w25_d403e9485
Wür	w27_d403e9488
der	w1_d403e9493
Aslairen	w3_d403e9496
ebes	w5_d403e9499
so	w7_d403e9502
kührrlich,	w9_d403e9505
fals	w11_d403e9508
für	w13_d403e9512
kurg	w15_d403e9515
zu	w17_d403e9518
bringen	w19_d403e9521
/	w21_d403e9524
bey	w1_d403e9532
Tronk	w3_d403e9535
und	w5_d403e9538
Königreiche	w7_d403e9541
vörthelchaft	w9_d403e9544
ist.	w11_d403e9547
.	w1_d403e9552
</list>
<list id="l6_d403e9556">
Se.	w1_d403e9560
Majestät	w3_d403e9563
verehren	w5_d403e9566
und	w7_d403e9569
betten	w9_d403e9572
die	w11_d403e9575
Hand	w1_d403e9580
der	w3_d403e9583
Vorsicht	w5_d403e9586
„welche	w1_d403e9591
Dero	w3_d403e9594
Waffen	w5_d403e9597
so	w1_d403e9603
viele	w3_d403e9606
stättliche	w5_d403e9609
enle	w1_d403e9614
zur	w3_d403e9617
See	w5_d403e9620
und	w7_d403e9623
zu	w9_d403e9626
Lande	w1_d403e9635
wayrend	w3_d403e9638
dem	w5_d403e9641
letzten	w7_d403e9644
Feld=zuge	w9_d403e9647
verlie	w11_d403e9650
mirals	w1_d403e9656
Hawke,	w3_d403e9659
Hardi	w5_d403e9662
und	w7_d403e9665
Gallay	w9_d403e9668
mit	w11_d403e9671
20.,	w13_d403e9675
ohen,	w15_d403e9678
demütig	w17_d403e9681
an.	w19_d403e9684
Zu	w21_d403e9687
gleicher	w23_d403e9690
Zeit	w25_d403e9694
erin	w27_d403e9697
nern	w1_d403e9702
sich	w3_d403e9705
Se.	w5_d403e9708
Majestät	w7_d403e9711
mit	w9_d403e9714
vieler	w11_d403e9717
Zufrie	w13_d403e9721
denhelt	w1_d403e9726
des	w3_d403e9729
Vertrauens,	w5_d403e9732
welches	w7_d403e9735
sie	w9_d403e9738
in	w11_d403e9741
Dero	w13_d403e9745
Prsen	w1_d403e9750
gehabs	w3_d403e9753
=knber,	w5_d403e9756
da	w7_d403e9759
siee	w9_d403e9762
dleselbe	w11_d403e9765
in	w13_d403e9769
den	w1_d403e9775
Stand	w3_d403e9778
gesetzt,	w5_d403e9781
die	w7_d403e9784
weitschichtigste	w9_d403e9787
Ein	w11_d403e9790
richtungen	w1_d403e9795
zutreffen,	w3_d403e9798
um	w5_d403e9801
einen	w7_d403e9804
so	w9_d403e9807
gerech	w11_d403e9810
ten	w1_d403e9815
und	w3_d403e9818
für	w5_d403e9821
die	w7_d403e9824
Vertheidigung	w9_d403e9827
unserer	w11_d403e9830
recht	w13_d403e9834
mäg	w1_d403e9839
sen	w1_d403e9845
Gerechtsame	w3_d403e9848
und	w5_d403e9851
Besitzungen,	w7_d403e9854
und	w1_d403e9859
für	w3_d403e9862
die	w5_d403e9865
Erhaltung	w7_d403e9868
der	w9_d403e9871
Handlung	w11_d403e9874
und	w13_d403e9878
des	w1_d403e9883
Scheffäkt	w3_d403e9886
dero	w5_d403e9889
Völker	w7_d403e9892
so	w9_d403e9895
nöhrgendigen	w11_d403e9898
Krieg	w1_d403e9903
zu	w3_d403e9906
bestreiten.	w5_d403e9909
</list>
<p id="p8_d403e9913">
</p>
<list id="l10_d403e9917">
Es	w1_d403e9921
ist	w3_d403e9924
demnach	w5_d403e9927
von	w7_d403e9930
Sr.	w9_d403e9933
Majestät	w11_d403e9936
uns	w13_d403e9940
aufgetragen,	w1_d403e9945
ihnen	w3_d403e9948
anzukünden,	w5_d403e9951
daß	w7_d403e9954
die	w9_d403e9957
glückliche	w1_d403e9962
Progressen	w3_d403e9965
und	w5_d403e9968
Erfolge	w7_d403e9971
der	w9_d403e9974
Er	w11_d403e9977
aberung	w1_d403e9983
von	w3_d403e9986
Gorca	w5_d403e9989
auf	w7_d403e9992
der	w9_d403e9995
Küste	w11_d403e9998
von	w13_d403e10002
Afei	w15_d403e10005
ca;	w1_d403e10010
die	w3_d403e10013
Eroberung	w5_d403e10016
so	w7_d403e10019
vieler	w9_d403e10022
wichtiger	w11_d403e10025
Plä	w13_d403e10029
tze	w1_d403e10034
in	w3_d403e10037
America,	w5_d403e10040
nebst	w7_d403e10043
der	w9_d403e10046
Niederlage	w11_d403e10049
der	w13_d403e10053
Französischen	w1_d403e10058
Armee	w3_d403e10061
in	w5_d403e10064
Canada	w7_d403e10067
und	w9_d403e10070
die	w11_d403e10073
Eroberung	w1_d403e10079
der	w3_d403e10082
Haupt=stadt	w5_d403e10085
Quebec,	w7_d403e10088
die	w9_d403e10091
mit	w11_d403e10094
so	w1_d403e10099
vielem	w3_d403e10102
Rahm,	w5_d403e10105
Mut	w7_d403e10108
und	w9_d403e10111
guter	w11_d403e10114
An	w13_d403e10118
führung	w1_d403e10123
von	w3_d403e10126
denen	w5_d403e10129
Officiers	w7_d403e10132
Sr.	w9_d403e10135
Majestät	w11_d403e10138
sowol	w1_d403e10143
zur	w3_d403e10146
See,	w5_d403e10149
als	w7_d403e10152
zu	w9_d403e10155
Lande	w11_d403e10158
bewerkstelli	w13_d403e10162
get	w1_d403e10168
worden,	w3_d403e10171
und	w5_d403e10174
welche	w7_d403e10177
unserer	w9_d403e10180
unerschro	w11_d403e10183
Keuen	w1_d403e10188
Kriegs=macht	w3_d403e10191
einen	w5_d403e10194
so	w7_d403e10197
erhabenen	w9_d403e10200
Glanz	w1_d403e10205
beylegen;	w3_d403e10208
der	w5_d403e10211
wichtige	w7_d403e10214
Vortheil,	w9_d403e10217
den	w11_d403e10220
die	w1_d403e10225
Flotte	w3_d403e10228
Sr.	w5_d403e10231
Majestät	w7_d403e10234
bey	w9_d403e10237
dem	w11_d403e10240
Cup	w13_d403e10244
La	w15_d403e10247
gos	w1_d403e10253
erhalten;	w3_d403e10256
dann	w5_d403e10259
die	w7_d403e10262
während	w9_d403e10265
so	w11_d403e10268
vielen	w13_d403e10272
Monaten	w1_d403e10277
geschehene	w3_d403e10280
Blorguirung	w5_d403e10283
des	w7_d403e10286
grö	w9_d403e10289
sten	w1_d403e10294
Theiles	w3_d403e10297
der	w5_d403e10300
Französischen	w7_d403e10303
Schiffe	w9_d403e10306
in	w11_d403e10309
hedenbeiken	w1_d403e10314
in	w3_d403e10317
dem	w5_d403e10320
Herzen	w7_d403e10323
Sr.	w9_d403e10326
Majestät	w11_d403e10329
</list>
<p id="p12_d403e10334">
der	w1_d403e10338
an	w3_d403e10341
Wachsälkeit,	w5_d403e10344
noch	w7_d403e10347
dm	w9_d403e10350
Nachdruck	w11_d403e10353
</p>
<p id="p16_d403e10358">
Eifer	w1_d403e10362
und	w3_d403e10365
Klugheit	w5_d403e10368
in	w7_d403e10371
die	w9_d403e10374
Hände	w11_d403e10377
Sr.	w13_d403e10381
Ma	w15_d403e10384
jestät	w1_d403e10389
niedergeleget	w3_d403e10392
haben.	w5_d403e10395
</p>
<p id="p18_d403e10398">
Diese	w1_d403e10402
Vortheile	w3_d403e10405
haben	w5_d403e10408
sich	w7_d403e10411
noch	w9_d403e10414
weiter	w11_d403e10417
erstrecket.	w1_d403e10422
Es	w3_d403e10425
hat	w5_d403e10428
der	w7_d403e10431
Göttlichen	w9_d403e10434
Vorsicht	w11_d403e10437
gefallen,	w1_d403e10442
die	w3_d403e10445
gefährliche	w5_d403e10448
Anschläge	w7_d403e10451
der	w9_d403e10454
Fein	w11_d403e10457
de	w1_d403e10463
Sr.	w3_d403e10466
Majestät	w5_d403e10469
in	w7_d403e10472
Ost=indien	w9_d403e10475
scheitern	w11_d403e10478
zu	w13_d403e10482
lassen,	w1_d403e10487
und	w3_d403e10490
einige	w5_d403e10493
Zweige	w7_d403e10496
unserer	w9_d403e10499
Handlung	w11_d403e10502
haben	w1_d403e10507
dabey	w3_d403e10510
Nutzen	w5_d403e10513
gehabt.	w7_d403e10516
</p>
<p id="p20_d403e10519">
Der	w1_d403e10523
über	w3_d403e10526
die	w5_d403e10529
Franzosen	w7_d403e10532
bey	w9_d403e10535
Minden	w11_d403e10538
ge	w13_d403e10542
wonnene	w1_d403e10547
merkwürdige	w3_d403e10550
Sieg	w5_d403e10553
hat	w7_d403e10556
in	w9_d403e10559
das	w11_d403e10562
Ge	w13_d403e10566
müte	w1_d403e10571
der	w3_d403e10574
Völker	w5_d403e10577
Sr.	w7_d403e10580
Majest.	w9_d403e10583
einen	w11_d403e10586
tieffen	w13_d403e10590
Eindruck	w1_d403e10596
gemacht.	w3_d403e10599
Die	w5_d403e10602
critischen	w7_d403e10605
Umstän	w9_d403e10608
de,	w1_d403e10613
in	w3_d403e10616
welchen	w5_d403e10619
dieses	w7_d403e10622
Treffen	w9_d403e10625
geliefert	w11_d403e10628
wor	w13_d403e10632
den,	w1_d403e10637
die	w3_d403e10640
Ueberlegenheit	w5_d403e10643
des	w7_d403e10646
Feindes,	w9_d403e10649
die	w11_d403e10652
geschickte	w1_d403e10657
Anführung	w3_d403e10660
des	w5_d403e10663
Generals	w7_d403e10666
Sr.	w9_d403e10669
Ma	w11_d403e10672
jestät	w1_d403e10678
des	w3_d403e10681
Herrn	w5_d403e10684
Prinzen	w7_d403e10687
Ferdinand	w9_d403e10690
von	w11_d403e10693
Braunschweig	w1_d403e10698
alle	w3_d403e10701
diese	w5_d403e10704
Betrachtungen	w7_d403e10707
kön	w9_d403e10710
nen	w1_d403e10715
bey	w3_d403e10718
dero	w5_d403e10721
Unterthanen	w7_d403e10724
nichts	w9_d403e10727
anders,	w11_d403e10730
als	w1_d403e10735
Triebe	w3_d403e10738
der	w5_d403e10741
Bewunderung	w7_d403e10744
und	w9_d403e10747
der	w11_d403e10750
Er	w13_d403e10754
känntlichkeit	w1_d403e10760
erreget	w3_d403e10763
haben.	w5_d403e10766
</p>
<p id="p22_d403e10769">
Was	w1_d403e10773
ausser	w3_d403e10776
dem	w5_d403e10779
denen	w7_d403e10782
guten	w9_d403e10785
Untertha	w11_d403e10788
nen	w1_d403e10793
Sr.	w3_d403e10796
Majestät	w5_d403e10799
eine	w7_d403e10802
neue	w9_d403e10805
Stuffe	w11_d403e10808
der	w13_d403e10812
Freude	w1_d403e10817
verursachet	w3_d403e10820
haben	w5_d403e10823
muß,	w7_d403e10826
ist	w9_d403e10829
die	w11_d403e10832
be	w13_d403e10836
sonders	w1_d403e10842
sich	w3_d403e10845
dargelegte	w5_d403e10848
und	w7_d403e10851
jederzeit	w9_d403e10854
unter	w11_d403e10857
stützte,	w1_d403e10862
auch	w3_d403e10865
überall	w5_d403e10868
mit	w7_d403e10871
Beyfall	w9_d403e10874
anerkann	w11_d403e10877
te	w1_d403e10882
Tapferkeit	w3_d403e10885
dero	w5_d403e10888
Trupen.	w7_d403e10891
Der	w9_d403e10894
Ruhm	w11_d403e10897
welchen	w1_d403e10902
sie	w3_d403e10905
erworben,	w5_d403e10908
ist	w7_d403e10911
ihnen	w9_d403e10914
eigen,	w11_d403e10917
und	w13_d403e10921
was	w1_d403e10927
nach	w3_d403e10930
denen	w5_d403e10933
Absichten	w7_d403e10936
der	w9_d403e10939
Nation	w11_d403e10942
einer	w13_d403e10946
der	w1_d403e10951
wichtigsten	w3_d403e10954
Umstände	w5_d403e10957
dieser	w7_d403e10960
Vortheile	w9_d403e10963
ist,	w1_d403e10968
ist	w3_d403e10971
dieses,	w5_d403e10974
daß	w7_d403e10977
es	w9_d403e10980
eine	w11_d403e10983
eindringende	w13_d403e10987
Erinnerung	w1_d403e10992
für	w3_d403e10995
die	w5_d403e10998
Feinde	w7_d403e11001
ist,	w9_d403e11004
mit	w11_d403e11007
welchen	w13_d403e11011
sie	w1_d403e11017
zu	w3_d403e11020
streiten	w5_d403e11023
gehabt.	w7_d403e11026
</p>
<p id="p24_d403e11030">
Der	w1_d403e11034
König	w3_d403e11037
von	w5_d403e11040
Preußen	w7_d403e11043
der	w9_d403e11046
gute	w11_d403e11049
Bru	w13_d403e11053
der	w1_d403e11058
und	w3_d403e11061
Alliirte	w5_d403e11064
Sr.	w7_d403e11067
Majestät,	w9_d403e11070
welcher	w11_d403e11073
mit	w1_d403e11078
so	w3_d403e11081
ansehnlichen	w5_d403e11084
Kriegs=mächten	w7_d403e11087
ange	w9_d403e11090
griffen,	w1_d403e11096
und	w3_d403e11099
umrungen	w5_d403e11102
war,	w7_d403e11105
hat	w9_d403e11108
durch	w11_d403e11111
seine	w13_d403e11115
Großmut,	w1_d403e11120
durch	w3_d403e11123
seine	w5_d403e11126
Geschicklichkeit	w7_d403e11129
und	w9_d403e11132
durch	w1_d403e11137
die	w3_d403e11140
Tapferkeit	w5_d403e11143
seiner	w7_d403e11146
Trupen	w9_d403e11149
auf	w11_d403e11152
die	w13_d403e11156
bewundernswürdigste	w1_d403e11161
Weise	w3_d403e11164
die	w5_d403e11167
Gefahren,	w7_d403e11170
womit	w1_d403e11176
ihn	w3_d403e11179
so	w5_d403e11182
viele	w7_d403e11185
vereinigte	w9_d403e11188
Heere	w11_d403e11191
bedro	w13_d403e11195
heten,	w1_d403e11200
abgewendet.	w3_d403e11203
</p>
<p id="p26_d403e11206">
Se.	w1_d403e11210
Majestät	w3_d403e11213
haben	w5_d403e11216
uns	w7_d403e11219
ferner	w9_d403e11222
anbe	w11_d403e11225
fohlen,	w1_d403e11230
ihnen	w3_d403e11233
zu	w5_d403e11236
bemerken	w7_d403e11239
zu	w9_d403e11242
geben,	w11_d403e11245
daß	w13_d403e11249
</p>
<p id="p28_d403e11252">
Höchst	w1_d403e11256
dieselbe	w3_d403e11259
sich	w5_d403e11262
nicht	w7_d403e11265
aus	w9_d403e11268
Absichten	w11_d403e11271
dar	w13_d403e11275
Ehrsucht	w1_d403e11280
in	w3_d403e11283
diesen	w5_d403e11286
Krieg	w7_d403e11289
eingelassen,	w9_d403e11292
und	w11_d403e11295
daß	w1_d403e11300
Höchstdieselbe	w3_d403e11303
nicht	w5_d403e11306
gewilliget,	w7_d403e11309
solchen	w9_d403e11312
aus	w1_d403e11318
Bewegungs=gründen	w3_d403e11321
der	w5_d403e11324
Rache	w7_d403e11327
fortzu	w9_d403e11330
setzen.	w1_d403e11335
Höchst=dieselbe	w3_d403e11338
wünschen	w5_d403e11341
aus	w7_d403e11344
dem	w9_d403e11347
Grunde	w1_d403e11352
des	w3_d403e11355
Herzens,	w5_d403e11358
der	w7_d403e11361
Vergiessung	w9_d403e11364
des	w11_d403e11367
Christen	w1_d403e11372
Blutes	w3_d403e11375
Einhalt	w5_d403e11378
zu	w7_d403e11381
thun.	w9_d403e11384
Se.	w11_d403e11387
Majestät	w1_d403e11393
