<doc id="wr_1763-11-16" attrs="word" year="1763" month="11" day="16" corpus="2">
<head id="h2_d809e3094">
Dublin	w1_d809e3098
Grimaldi.	w11_d809e6703
(L.	w1_d809e6708
S.)	w3_d809e6711
Le	w5_d809e6714
Bailli	w7_d809e6717
Solar	w9_d809e6720
de	w11_d809e6723
Breill.	w13_d809e6727
</p>
<p id="p14_d809e6730">
(Der	w1_d809e6734
zwischen	w3_d809e6737
Höchstgedachten	w5_d809e6740
dreyen	w7_d809e6743
Monarchen	w1_d809e6748
getroffene	w3_d809e6751
Vertrag,	w5_d809e6754
zur	w7_d809e6757
Vollzie	w9_d809e6760
hung	w1_d809e6765
des	w3_d809e6768
erstern,	w5_d809e6771
folget	w7_d809e6774
künftig.)	w9_d809e6777
</p>
<head id="h2_d809e6783">
Londen	w1_d809e6787
30.	w3_d809e6790
Octob.	w5_d809e6793
</head>
<p id="p4_d809e6796">
Am	w1_d809e6800
25.	w3_d809e6803
dieses	w5_d809e6806
Monats,	w7_d809e6809
als	w9_d809e6812
an	w11_d809e6815
jenem	w13_d809e6819
Jahr	w1_d809e6824
gedächtniß=tage,	w3_d809e6827
den	w5_d809e6830
uns	w7_d809e6833
die	w9_d809e6836
Gelan	w11_d809e6839
gung	w1_d809e6844
Sr.	w3_d809e6847
glorwürdigst	w5_d809e6850
regierenden	w7_d809e6853
Maje	w9_d809e6856
stät	w1_d809e6862
des	w3_d809e6865
Königs,	w5_d809e6868
zu	w7_d809e6871
der	w9_d809e6874
Crone	w11_d809e6877
denkwürdig	w13_d809e6881
machte,	w1_d809e6886
war	w3_d809e6889
der	w5_d809e6892
Hof	w7_d809e6895
so	w9_d809e6898
zahlreich,	w11_d809e6901
als	w13_d809e6905
man	w15_d809e6908
denselben	w1_d809e6913
jemals	w3_d809e6916
gesehen	w5_d809e6919
hat.	w7_d809e6922
Die	w9_d809e6925
Lieb	w11_d809e6928
und	w1_d809e6933
Erfurchts=volle	w3_d809e6936
Gesichts=züge	w5_d809e6939
unter	w7_d809e6942
den	w9_d809e6945
Grossen,	w1_d809e6951
da	w3_d809e6954
dieselbe	w5_d809e6957
bey	w7_d809e6960
beyden	w9_d809e6963
Königl.	w11_d809e6966
Ma	w13_d809e6970
jestäten	w1_d809e6975
die	w3_d809e6978
Glückwünschunscomplimen	w5_d809e6981
ten	w1_d809e6986
unterthänigst	w3_d809e6989
ablegten,	w5_d809e6992
schienen	w7_d809e6995
eben	w9_d809e6998
so	w1_d809e7003
viele	w3_d809e7006
Bürgen	w5_d809e7009
zu	w7_d809e7012
seyn,	w9_d809e7015
daß	w11_d809e7018
unter	w13_d809e7022
der	w15_d809e7025
be	w17_d809e7028
glücktesten	w1_d809e7034
Regierung	w3_d809e7037
Sr.	w5_d809e7040
Majest.	w7_d809e7043
die	w9_d809e7046
Ei	w11_d809e7049
nigkeit	w1_d809e7054
dereinstens	w3_d809e7057
über	w5_d809e7060
den	w7_d809e7063
Parthey=geist	w9_d809e7066
obsiegen	w1_d809e7071
werde.	w3_d809e7074
</p>
<p id="p6_d809e7077">
Das	w1_d809e7081
Parlament	w3_d809e7084
von	w5_d809e7087
Jrrland,	w7_d809e7090
welches	w9_d809e7093
be	w11_d809e7096
|	w13_d809e7100
|	w15_d809e7103
reits	w1_d809e7108
am	w3_d809e7111
11ten	w5_d809e7114
seine	w7_d809e7117
Sitzungen	w9_d809e7120
eröfnet,	w11_d809e7123
hat	w1_d809e7128
einige	w3_d809e7131
Angelegenheiten	w5_d809e7134
vorgenommen,	w7_d809e7137
welche	w1_d809e7143
die	w3_d809e7146
Aufmerksamkeit	w5_d809e7149
des	w7_d809e7152
Hofes	w9_d809e7155
rege	w11_d809e7158
machen	w1_d809e7163
müssen.	w3_d809e7166
Es	w5_d809e7169
ist	w7_d809e7172
von	w9_d809e7175
dieser	w11_d809e7178
fürtref	w13_d809e7182
lichen	w1_d809e7187
Versammlung	w3_d809e7190
verfüget	w5_d809e7193
worden,	w7_d809e7196
daß	w9_d809e7199
derselbe	w1_d809e7204
von	w3_d809e7207
allen	w5_d809e7210
auf	w7_d809e7213
die	w9_d809e7216
öffentlich	w11_d809e7219
Einkünf	w13_d809e7223
te	w1_d809e7229
berührten	w3_d809e7232
Königreichs	w5_d809e7235
angewiesenen	w7_d809e7238
Ci	w9_d809e7241
vil	w1_d809e7246
und	w3_d809e7249
MilitairLeib	w5_d809e7252
oder	w7_d809e7255
Zeit=renten	w9_d809e7258
Beiselbust	w1_d809e7263
übergeben	w3_d809e7266
/	w5_d809e7269
wie	w7_d809e7272
nict	w9_d809e7275
minder	w11_d809e7278
</p>
<p id="p12_d809e7292">
die	w1_d809e7296
Rezistrakur	w3_d809e7299
der	w5_d809e7302
Königlichen	w7_d809e7305
Patenle	w9_d809e7308
|	w11_d809e7311
|	w13_d809e7315
und	w1_d809e7320
Briefe,	w3_d809e7323
vermöge	w5_d809e7326
welcher	w7_d809e7329
solche	w9_d809e7332
Pensio	w11_d809e7335
nen	w1_d809e7340
angezeiget	w3_d809e7343
sind,	w5_d809e7346
zugestellet	w7_d809e7349
werden	w9_d809e7352
sol	w11_d809e7355
len.	w1_d809e7361
Was	w3_d809e7364
bey	w5_d809e7367
den	w7_d809e7370
Jrrländern	w9_d809e7373
Verdruß	w11_d809e7376
erwecket,	w1_d809e7381
ist,	w3_d809e7384
daß	w5_d809e7387
vermöge	w7_d809e7390
solcher	w9_d809e7393
An	w11_d809e7396
ordnung,	w1_d809e7401
sicheren	w3_d809e7404
Personen,	w5_d809e7407
die	w7_d809e7410
nicht	w9_d809e7413
im	w1_d809e7418
Lande	w3_d809e7421
wohnen,	w5_d809e7424
dergleichen	w7_d809e7427
Renten	w9_d809e7430
angewiesem	w1_d809e7436
sind.	w3_d809e7439
Allein	w5_d809e7442
es	w7_d809e7445
ist	w9_d809e7448
zu	w11_d809e7451
er	w13_d809e7455
kennen	w1_d809e7460
gegeben	w3_d809e7463
worden,	w5_d809e7466
der	w7_d809e7469
König	w9_d809e7472
hätte	w11_d809e7475
die	w1_d809e7480
Erklärung	w3_d809e7483
von	w5_d809e7486
Sich	w7_d809e7489
gegeben,	w9_d809e7492
daß	w11_d809e7495
in	w1_d809e7500
England	w3_d809e7503
weder	w5_d809e7506
Aemter	w7_d809e7509
noch	w9_d809e7512
Pensionen	w11_d809e7515
auf	w1_d809e7521
die	w3_d809e7524
Jrrländische	w5_d809e7527
Einkünfte	w7_d809e7530
verliehen	w9_d809e7533
wer	w11_d809e7536
den	w1_d809e7541
sollten.	w3_d809e7544
Bey	w5_d809e7547
gedachtem	w7_d809e7550
Parlament	w9_d809e7553
ist	w11_d809e7556
ferner	w1_d809e7561
verordnet	w3_d809e7564
worden,	w5_d809e7567
daß	w7_d809e7570
die	w9_d809e7573
Bewe	w11_d809e7576
gungs=gründe	w1_d809e7581
einer	w3_d809e7584
Acte	w5_d809e7587
aufgesetzt	w7_d809e7590
werden	w9_d809e7593
sollten,	w1_d809e7599
um	w3_d809e7602
die	w5_d809e7605
Zeit,	w7_d809e7608
wie	w9_d809e7611
lang	w11_d809e7614
die	w13_d809e7618
Parla	w15_d809e7621
ments=sitzungen	w1_d809e7626
währen	w3_d809e7629
sollen,	w5_d809e7632
zu	w7_d809e7635
bestim	w9_d809e7638
men,	w1_d809e7643
damit	w3_d809e7646
den	w5_d809e7649
Ministerial=einflüssen	w7_d809e7652
über	w9_d809e7655
die	w1_d809e7660
Gemüther	w3_d809e7663
der	w5_d809e7666
Glieder	w7_d809e7669
vorgekommen	w9_d809e7672
wer	w11_d809e7675
de.	w1_d809e7681
Ueber	w3_d809e7684
dies	w5_d809e7687
ist	w7_d809e7690
eine	w9_d809e7693
Committe	w11_d809e7696
niederge	w13_d809e7700
setzt	w1_d809e7705
worden,	w3_d809e7708
um	w5_d809e7711
die	w7_d809e7714
Ursachen	w9_d809e7717
des	w11_d809e7720
in	w13_d809e7724
Jrrland	w15_d809e7727
erregten	w1_d809e7732
Aufstandes,	w3_d809e7735
auch	w5_d809e7738
die,	w7_d809e7741
um	w9_d809e7744
denselben	w11_d809e7747
zu	w1_d809e7752
stillen,	w3_d809e7755
vorgekehrte	w5_d809e7758
Mittel	w7_d809e7761
zu	w9_d809e7764
untersuchen.	w11_d809e7767
</p>
<p id="p14_d809e7770">
Die	w1_d809e7774
Loder=asche	w3_d809e7777
der	w5_d809e7780
Aufruhr	w7_d809e7783
unter	w9_d809e7786
den	w11_d809e7789
wilden	w1_d809e7794
Jndianern	w3_d809e7797
ist	w5_d809e7800
endlich	w7_d809e7803
bis	w9_d809e7806
in	w11_d809e7809
Accadia	w13_d809e7813
ausgesprungen.	w1_d809e7818
Die	w3_d809e7821
einheimische	w5_d809e7824
Völker	w7_d809e7827
gedachter	w1_d809e7833
Provinz,	w3_d809e7836
welche	w5_d809e7839
Souriquois	w7_d809e7842
ge	w9_d809e7845
nannt	w1_d809e7850
werden,	w3_d809e7853
waren	w5_d809e7856
bis	w7_d809e7859
hiebin	w9_d809e7862
schmiedig	w11_d809e7865
und	w1_d809e7870
biegsam,	w3_d809e7873
und	w5_d809e7876
hatte	w7_d809e7879
sich	w9_d809e7882
nicht	w11_d809e7885
der	w13_d809e7889
minde	w15_d809e7892
ste	w1_d809e7897
Schatten	w3_d809e7900
einer	w5_d809e7903
Gährung	w7_d809e7906
bey	w9_d809e7909
ihnen	w11_d809e7912
ge	w13_d809e7916
äussert.	w1_d809e7922
Nun	w3_d809e7925
aber	w5_d809e7928
that	w7_d809e7931
man	w9_d809e7934
die	w11_d809e7937
Nachricht,	w13_d809e7941
daß	w1_d809e7946
ein	w3_d809e7949
beträchtliches	w5_d809e7952
Corps	w7_d809e7955
Wilden	w9_d809e7958
von	w11_d809e7961
St.	w1_d809e7966
Jean	w3_d809e7969
sich	w5_d809e7972
der	w7_d809e7975
Festung	w9_d809e7978
von	w11_d809e7981
Anapolis	w13_d809e7985
royal	w1_d809e7990
genähert,	w3_d809e7993
und	w5_d809e7996
verschiedene	w7_d809e7999
Leute	w9_d809e8002
in	w11_d809e8005
der	w13_d809e8009
dasigen	w1_d809e8015
Gegend	w3_d809e8018
erbärmlich	w5_d809e8021
ermordet	w7_d809e8024
hätten.	w9_d809e8027
Unterdessen	w1_d809e8032
hoffet	w3_d809e8035
man,	w5_d809e8038
dem	w7_d809e8041
Uebel	w9_d809e8044
noch	w11_d809e8047
in	w13_d809e8051
der	w1_d809e8056
Zeit	w3_d809e8059
zu	w5_d809e8062
steuren.	w7_d809e8065
Zu	w9_d809e8068
dem	w11_d809e8071
Ende	w13_d809e8075
ist	w15_d809e8078
bereits	w17_d809e8081
ein	w1_d809e8086
Regiment	w3_d809e8089
abgegangen,	w5_d809e8092
welches	w7_d809e8095
dieses	w9_d809e8098
Zü	w11_d809e8101
gellose	w1_d809e8107
Volk	w3_d809e8110
aufzusuchen,	w5_d809e8113
und	w7_d809e8116
in	w9_d809e8119
die	w11_d809e8122
Enge	w13_d809e8126
zu	w1_d809e8131
treiben,	w3_d809e8134
beordert	w5_d809e8137
ist.	w7_d809e8140
</p>
<p id="p16_d809e8143">
P.	w1_d809e8147
S.	w3_d809e8150
Es	w5_d809e8153
ist	w7_d809e8156
der	w9_d809e8159
berühmte	w11_d809e8162
Handelsmann,	w13_d809e8166
Herr	w1_d809e8171
Touchet,	w3_d809e8174
der	w5_d809e8177
bey	w7_d809e8180
der	w9_d809e8183
bekannten	w11_d809e8186
Tücher	w13_d809e8190
</p>
<p id="p18_d809e8193">
fabrick	w1_d809e8197
zu	w3_d809e8200
Mauchester	w5_d809e8203
der	w7_d809e8206
Obere	w9_d809e8209
war,	w11_d809e8212
bey	w13_d809e8216
welchem	w1_d809e8221
ein	w3_d809e8224
Falliment	w5_d809e8227
von	w7_d809e8230
400000.	w9_d809e8233
Pfund	w11_d809e8236
sterlings	w1_d809e8241
ausgekommen.	w3_d809e8244
Die	w5_d809e8247
Herren	w7_d809e8250
Aml	w9_d809e8253
and	w1_d809e8259
und	w3_d809e8262
Compagnie	w5_d809e8265
sind	w7_d809e8268
durch	w9_d809e8271
diesen	w11_d809e8274
Vor	w13_d809e8278
fall	w1_d809e8283
in	w3_d809e8286
die	w5_d809e8289
nemliche	w7_d809e8292
Verlegenheit	w9_d809e8295
gestürzet.	w11_d809e8298
Es	w1_d809e8303
ist	w3_d809e8306
zu	w5_d809e8309
besorgen,	w7_d809e8312
daß	w9_d809e8315
gedachte	w11_d809e8318
Fallimen	w13_d809e8322
ter,	w1_d809e8327
welche	w3_d809e8330
durch	w5_d809e8333
die	w7_d809e8336
zu	w9_d809e8339
Amsterdam	w11_d809e8342
und	w13_d809e8346
Hamburg	w1_d809e8352
veranlasset	w3_d809e8355
worden,	w5_d809e8358
noch	w7_d809e8361
verschie	w9_d809e8364
dene	w1_d809e8369
andere	w3_d809e8372
in	w5_d809e8375
dem	w7_d809e8378
hiesigen	w9_d809e8381
Königreich	w11_d809e8384
nach	w13_d809e8388
sich	w1_d809e8393
ziehen	w3_d809e8396
werden.	w5_d809e8399
Jnzwischen	w7_d809e8402
will	w9_d809e8405
doch	w11_d809e8408
verlauten,	w1_d809e8413
daß	w3_d809e8416
er	w5_d809e8419
seinen	w7_d809e8422
Glaubern	w9_d809e8425
50.	w11_d809e8428
Pro	w13_d809e8432
cent	w1_d809e8438
zu	w3_d809e8441
bezahlen	w5_d809e8444
angebetten.	w7_d809e8447
</p>
<head id="h2_d809e8454">
Kurz	w1_d809e8458
gefaßte	w3_d809e8461
Nachrichten.	w5_d809e8464
</head>
<p id="p4_d809e8467">
Etwas	w1_d809e8471
für	w3_d809e8474
die	w5_d809e8477
Münzliebhaber:	w7_d809e8480
Ein	w9_d809e8483
Einwohner	w1_d809e8488
des	w3_d809e8491
Kirchspiels	w5_d809e8494
Affieux	w7_d809e8497
in	w9_d809e8500
Li	w11_d809e8503
mousin,	w1_d809e8508
fand,	w3_d809e8511
als	w5_d809e8514
er	w7_d809e8517
in	w9_d809e8520
seinem	w11_d809e8523
Feld	w13_d809e8527
arbeitete,	w15_d809e8530
50.	w1_d809e8536
bis	w3_d809e8539
60.	w5_d809e8542
silberne	w7_d809e8545
Medaillen;	w9_d809e8548
die	w11_d809e8551
meisten	w13_d809e8555
sind	w1_d809e8560
noch	w3_d809e8563
von	w5_d809e8566
denen	w7_d809e8569
Zeiten	w9_d809e8572
der	w11_d809e8575
römischen	w13_d809e8579
Bürgermeister,	w1_d809e8584
und	w3_d809e8587
die	w5_d809e8590
übrigen	w7_d809e8593
von	w9_d809e8596
verschie	w11_d809e8599
denen	w1_d809e8604
Kaisern.	w3_d809e8607
Auf	w5_d809e8610
einer	w7_d809e8613
von	w9_d809e8616
diesen	w11_d809e8619
letz	w13_d809e8623
ten,	w1_d809e8629
lieset	w3_d809e8632
man	w5_d809e8635
die	w7_d809e8638
Aufschrift:	w9_d809e8641
EPAD.	w11_d809e8644
Jn	w13_d809e8648
gleichem	w1_d809e8653
besitzen	w3_d809e8656
einige	w5_d809e8659
Particuliers	w7_d809e8662
in	w9_d809e8665
die	w11_d809e8668
sem	w1_d809e8673
Lande	w3_d809e8676
noch	w5_d809e8679
andere	w7_d809e8682
silberne	w9_d809e8685
und	w11_d809e8688
erzene	w13_d809e8692
Münzen,	w1_d809e8697
welche	w3_d809e8700
zu	w5_d809e8703
denen	w7_d809e8706
Zeiten	w9_d809e8709
deren	w11_d809e8712
alten	w13_d809e8716
Gallier	w1_d809e8722
gehören,	w3_d809e8725
und	w5_d809e8728
bis	w7_d809e8731
auf	w9_d809e8734
zweyen,	w11_d809e8737
mit	w13_d809e8741
denen	w1_d809e8746
Worten:	w3_d809e8749
VLIONISI)	w5_d809e8752
und	w7_d809e8755
OSIRIX	w9_d809e8758
bezeichneten	w1_d809e8763
Stücken,	w3_d809e8766
gar	w5_d809e8769
keine	w7_d809e8772
Jnschrift	w9_d809e8775
haben.	w1_d809e8780
</p>
<p id="p6_d809e8783">
Man	w1_d809e8787
weiß,	w3_d809e8790
daß	w5_d809e8793
der	w7_d809e8796
P.	w9_d809e8799
Sebastian	w11_d809e8802
Tru	w13_d809e8806
chet	w1_d809e8811
der	w3_d809e8814
erste	w5_d809e8817
Mechanicus	w7_d809e8820
gewesen	w9_d809e8823
ist,	w11_d809e8826
wel	w13_d809e8830
cher	w1_d809e8835
den	w3_d809e8838
Versuch	w5_d809e8841
gemacht,	w7_d809e8844
Personen,	w9_d809e8847
so	w11_d809e8850
eine	w1_d809e8856
Hand	w3_d809e8859
zu	w5_d809e8862
verliehren	w7_d809e8865
das	w9_d809e8868
Unglück	w11_d809e8871
gehabt,	w13_d809e8875
diesen	w1_d809e8880
Mangel	w3_d809e8883
unmerklich	w5_d809e8886
durch	w7_d809e8889
die	w9_d809e8892
Kunst	w11_d809e8895
zu	w1_d809e8900
ersetzen.	w3_d809e8903
Dieser	w5_d809e8906
geschickte	w7_d809e8909
Mann	w9_d809e8912
hatte	w11_d809e8915
auch	w1_d809e8920
Arme	w3_d809e8923
verfertiget,	w5_d809e8926
die	w7_d809e8929
an	w9_d809e8932
statt	w11_d809e8935
eines	w13_d809e8939
natürlichen	w1_d809e8945
vollkommen	w3_d809e8948
gebraucht	w5_d809e8951
werden,	w7_d809e8954
oder	w1_d809e8959
wenigstens	w3_d809e8962
doch	w5_d809e8965
solchen	w7_d809e8968
Verlust	w9_d809e8971
erträg	w11_d809e8974
licher	w1_d809e8979
machen	w3_d809e8982
konnten.	w5_d809e8985
Sothaner	w7_d809e8988
Erfin	w9_d809e8991
dung	w1_d809e8996
gieng	w3_d809e8999
der	w5_d809e9002
Herr	w7_d809e9005
von	w9_d809e9008
Krigeseiffen	w11_d809e9011
mit	w13_d809e9015
gutem	w1_d809e9021
Erfolg	w3_d809e9024
weiter	w5_d809e9027
nach.	w7_d809e9030
Seit	w9_d809e9033
dem	w11_d809e9036
hat	w13_d809e9040
der	w1_d809e9045
kunstreiche	w3_d809e9048
Herr	w5_d809e9051
Bourgeois	w7_d809e9054
in	w9_d809e9057
Paris	w11_d809e9060
solche	w1_d809e9065
wieder	w3_d809e9068
hervorgesucht,	w5_d809e9071
und	w7_d809e9074
zu	w9_d809e9077
einem	w11_d809e9080
</p>
<p id="p12_d809e9094">
Grad	w1_d809e9098
der	w3_d809e9101
Vollkommenheit	w5_d809e9104
gebracht,	w7_d809e9107
de	w9_d809e9110
|	w11_d809e9113
|	w13_d809e9117
noch	w1_d809e9122
keiner	w3_d809e9125
erreichet	w5_d809e9128
hutte.	w7_d809e9131
Man	w9_d809e9134
kan	w11_d809e9137
in	w13_d809e9141
denen	w1_d809e9146
Memoires	w3_d809e9149
der	w5_d809e9152
Akademie	w7_d809e9155
des	w9_d809e9158
Scien-	w11_d809e9161
ces	w1_d809e9167
die	w3_d809e9170
Beschreibungen	w5_d809e9173
von	w7_d809e9176
diesen	w9_d809e9179
unter	w11_d809e9182
schiedenen	w1_d809e9187
Aermen	w3_d809e9190
lesen,	w5_d809e9193
und	w7_d809e9196
ganz	w9_d809e9199
Paris	w11_d809e9202
hat	w1_d809e9207
denjenigen	w3_d809e9210
bewundernd	w5_d809e9213
gesehen,	w7_d809e9216
welchen	w9_d809e9219
Herr	w1_d809e9224
Laurent,	w3_d809e9227
ein	w5_d809e9230
Nachahmer	w7_d809e9233
vorbenann	w9_d809e9236
ter	w1_d809e9242
ersten	w3_d809e9245
Erfindung,	w5_d809e9248
vor	w7_d809e9251
zwey	w9_d809e9254
Jahren	w11_d809e9257
an	w13_d809e9261
den	w1_d809e9266
Stümmel	w3_d809e9269
eines	w5_d809e9272
Jnvaliden	w7_d809e9275
angepasset	w9_d809e9278
Jetzo	w1_d809e9283
macht	w3_d809e9286
man	w5_d809e9289
wieder	w7_d809e9292
eine	w9_d809e9295
neue	w11_d809e9298
Probe	w13_d809e9302
in	w1_d809e9307
dieser	w3_d809e9310
Art.	w5_d809e9313
Herr	w7_d809e9316
Michel	w9_d809e9319
hat	w11_d809e9322
einen	w13_d809e9326
fal	w15_d809e9329
schen	w1_d809e9335
Arm	w3_d809e9338
von	w5_d809e9341
Fischbein	w7_d809e9344
und	w9_d809e9347
eine	w11_d809e9350
Hand	w13_d809e9354
verfertiget,	w1_d809e9359
mit	w3_d809e9362
denen	w5_d809e9365
man	w7_d809e9368
alles	w9_d809e9371
verrichten	w11_d809e9374
kann,	w1_d809e9379
wenn	w3_d809e9382
nur	w5_d809e9385
noch	w7_d809e9388
der	w9_d809e9391
Stumpfen	w11_d809e9394
vom	w13_d809e9398
würklichen	w1_d809e9403
Arm	w3_d809e9406
da	w5_d809e9409
ist;	w7_d809e9412
dabey	w9_d809e9415
ist	w11_d809e9418
er	w13_d809e9422
so	w15_d809e9425
leich	w17_d809e9428
und	w1_d809e9434
biegsam,	w3_d809e9437
daß	w5_d809e9440
er	w7_d809e9443
auf	w9_d809e9446
keine	w11_d809e9449
Weise	w13_d809e9453
beschwe	w15_d809e9456
ret,	w1_d809e9461
ja	w3_d809e9464
daß	w5_d809e9467
man	w7_d809e9470
sogar	w9_d809e9473
damit	w11_d809e9476
schlafen	w13_d809e9480
kan.	w15_d809e9483
Es	w1_d809e9488
ist	w3_d809e9491
unmöglich	w5_d809e9494
wahrzunehmen,	w7_d809e9497
daß	w9_d809e9500
es	w11_d809e9503
ein	w1_d809e9508
falscher	w3_d809e9511
Arm	w5_d809e9514
sey,	w7_d809e9517
weil	w9_d809e9520
die	w11_d809e9523
Person	w13_d809e9527
ihn	w15_d809e9530
nach	w1_d809e9536
Willkühr	w3_d809e9539
beweget,	w5_d809e9542
und	w7_d809e9545
es	w9_d809e9548
sogar	w11_d809e9551
schei	w13_d809e9555
net,	w1_d809e9560
als	w3_d809e9563
wäre	w5_d809e9566
das	w7_d809e9569
Gefühl	w9_d809e9572
darinnen,	w11_d809e9575
wie	w13_d809e9579
in	w1_d809e9584
einem	w3_d809e9587
natürlichen	w5_d809e9590
Arm.	w7_d809e9593
Jn	w9_d809e9596
dem	w11_d809e9599
Dau	w13_d809e9603
men	w1_d809e9608
an	w3_d809e9611
der	w5_d809e9614
Hand	w7_d809e9617
ist	w9_d809e9620
zu	w11_d809e9623
dem	w13_d809e9627
noch	w15_d809e9630
eine	w17_d809e9633
Fe	w19_d809e9636
der,	w1_d809e9642
wodurch	w3_d809e9645
man	w5_d809e9648
sich	w7_d809e9651
in	w9_d809e9654
dem	w11_d809e9657
Stande	w13_d809e9661
sie	w15_d809e9664
het,	w1_d809e9669
ein	w3_d809e9672
Stück	w5_d809e9675
Mouselin	w7_d809e9678
zu	w9_d809e9681
halten,	w11_d809e9684
zu	w13_d809e9688
nä	w15_d809e9691
hen,	w1_d809e9696
Karten	w3_d809e9699
zu	w5_d809e9702
spielen,	w7_d809e9705
rc.	w9_d809e9708
dazu	w11_d809e9711
aber	w13_d809e9715
maß	w15_d809e9718
nicht	w1_d809e9723
der	w3_d809e9726
Arm	w5_d809e9729
über	w7_d809e9732
dem	w9_d809e9735
Elenbogen	w11_d809e9738
fehlen	w13_d809e9742
sondern	w1_d809e9748
noch	w3_d809e9751
vom	w5_d809e9754
Vorder=arm	w7_d809e9757
ein	w9_d809e9760
Stümf	w11_d809e9763
gen	w1_d809e9768
da	w3_d809e9771
seyn.	w5_d809e9774
Die	w7_d809e9777
Akademie	w9_d809e9780
der	w11_d809e9783
Chyrur	w13_d809e9787
gie	w1_d809e9792
giebt	w3_d809e9795
dieser	w5_d809e9798
Erfindung	w7_d809e9801
grossen	w9_d809e9804
Beyfall.	w11_d809e9807
</p>
<p id="p14_d809e9810">
Jm	w1_d809e9814
Monat	w3_d809e9817
October	w5_d809e9820
wurde	w7_d809e9823
die	w9_d809e9826
von	w11_d809e9829
Metz	w13_d809e9833
nach	w1_d809e9838
Paris	w3_d809e9841
abgehende	w5_d809e9844
Land=kutsche	w7_d809e9847
von	w9_d809e9850
ei	w11_d809e9853
ner	w1_d809e9858
Räuber=bande	w3_d809e9861
angehalten,	w5_d809e9864
alle	w7_d809e9867
darauf	w9_d809e9870
befindliche	w1_d809e9876
Güter	w3_d809e9879
geraubet,	w5_d809e9882
auch	w7_d809e9885
der	w9_d809e9888
Fuhr	w11_d809e9891
mann	w1_d809e9896
nebst	w3_d809e9899
7.	w5_d809e9902
erwachsenen	w7_d809e9905
Personen,	w9_d809e9908
und	w11_d809e9911
einem	w1_d809e9916
Kind	w3_d809e9919
umgebracht.	w5_d809e9922
Die	w7_d809e9925
Pferde	w9_d809e9928
liessen	w11_d809e9931
sie	w1_d809e9936
lauffen.	w3_d809e9939
Die	w5_d809e9942
Frechheit	w7_d809e9945
der	w9_d809e9948
Räuber	w11_d809e9951
gehet	w13_d809e9955
so	w1_d809e9961
weit,	w3_d809e9964
daß	w5_d809e9967
sie	w7_d809e9970
an	w9_d809e9973
die	w11_d809e9976
Thür	w13_d809e9980
des	w15_d809e9983
Gefängnüs	w17_d809e9986
ses	w1_d809e9991
die	w3_d809e9994
Worte	w5_d809e9997
angeschrieben:	w7_d809e10000
Unserer	w9_d809e10003
sind	w11_d809e10006
500.	w1_d809e10011
und	w3_d809e10014
förchten	w5_d809e10017
uns	w7_d809e10020
nicht	w9_d809e10023
für	w11_d809e10026
tausenden	w13_d809e10030
Alle	w1_d809e10035
Mühe	w3_d809e10038
war	w5_d809e10041
bis	w7_d809e10044
anhin	w9_d809e10047
vergeblich,	w11_d809e10050
die	w13_d809e10054
Thäter	w1_d809e10060
ausfindig	w3_d809e10063
zu	w5_d809e10066
machen.	w7_d809e10069
</p>
<head id="h2_d809e10075">
Wien	w1_d809e10079
den	w3_d809e10082
16.	w5_d809e10085
Novemb.	w7_d809e10088
1763.	w9_d809e10091
</head>
<p id="p4_d809e10094">
Samstags	w1_d809e10098
den	w3_d809e10101
12.	w5_d809e10104
Nov.	w7_d809e10107
Vormittags	w9_d809e10110
sind	w11_d809e10113
Se.	w1_d809e10118
Majestät	w3_d809e10121
ber	w5_d809e10124
Kaiser	w7_d809e10127
mit	w9_d809e10130
Sr.	w11_d809e10133
Königl.	w1_d809e10138
Hoheit	w3_d809e10141
dem	w5_d809e10144
Erzherzog	w7_d809e10147
Joseph	w9_d809e10150
in	w11_d809e10153
Begleitung	w1_d809e10159
einiger	w3_d809e10162
Cavaliers	w5_d809e10165
nach	w7_d809e10168
Enzer	w9_d809e10171
storf	w1_d809e10176
jenseits	w3_d809e10179
der	w5_d809e10182
Donau	w7_d809e10185
abgegangen,	w9_d809e10188
und	w11_d809e10191
haben	w1_d809e10196
sich	w3_d809e10199
in	w5_d809e10202
dasiger	w7_d809e10205
Gegend	w9_d809e10208
mit	w11_d809e10211
einer	w13_d809e10215
Schwein=jagd	w1_d809e10220
unterhalten.	w3_d809e10223
</p>
<p id="p6_d809e10226">
Sonntags	w1_d809e10230
den	w3_d809e10233
13.	w5_d809e10236
dieses	w7_d809e10239
hatte	w9_d809e10242
der	w11_d809e10245
K.	w13_d809e10249
K.	w15_d809e10252
Herr	w1_d809e10257
General=major	w3_d809e10260
und	w5_d809e10263
Malthefer=ritter	w7_d809e10266
Graf	w1_d809e10271
Anton	w3_d809e10274
von	w5_d809e10277
Hamilton	w7_d809e10280
Jhrer	w9_d809e10283
Kais.	w11_d809e10286
Kön.	w13_d809e10290
Majestäten	w1_d809e10296
wie	w3_d809e10299
auch	w5_d809e10302
Sr.	w7_d809e10305
Königl.	w9_d809e10308
Hoheit	w11_d809e10311
Erzherzogen	w1_d809e10316
Joseph	w3_d809e10319
würklicher	w5_d809e10322
Cammerer,	w7_d809e10325
die	w1_d809e10330
Ehre,	w3_d809e10333
bey	w5_d809e10336
beyden	w7_d809e10339
Kaiserl.	w9_d809e10342
Majestäten,	w11_d809e10345
als	w1_d809e10350
