<doc id="edoc_wd_1726-09-11" attrs="word" year="1726" month="09" day="11" corpus="1">
<head id="hl1">
St	w54
Steine	w1885
<g/>
/
an	w1887
denen	w1888
Wein	w1889
<g/>
=
Gär=ten	w1891
<g/>
=
kein	w1893
geringer	w1894
Schade	w1895
geschehen	w1896
<g/>
.
Man	w1898
hat	w1899
Zeitung	w1900
<g/>
/
daß	w1902
auch	w1903
in	w1904
der	w1905
Gegend	w1906
Bour-deaux	w1907
<g/>
-
ein	w1909
grausames	w1910
Ungewitter	w1911
gewesen	w1912
<g/>
/
wordurch	w1914
mehr	w1915
als	w1916
60	w1917
<g/>
.
Dörffer	w1919
auch	w1920
vieles	w1921
gelitten	w1922
hätten	w1923
<g/>
.
</p>
<p id="p21">
Vorgestern	w1925
langte	w1926
eines	w1927
von	w1928
unsern	w1929
Schi=fen	w1930
<g/>
=
<g/>
/
von	w1933
Lisabon	w1934
kommend	w1935
<g/>
/
dahier	w1937
an	w1938
<g/>
/
des=sen	w1940
<g/>
=
Capitain	w1942
berichtet	w1943
<g/>
/
daß	w1945
nachdeme	w1946
der	w1947
Engelländische	w1948
Admiral	w1949
Jennings	w1950
mit	w1951
sei=nem	w1952
<g/>
=
Geschwader	w1954
von	w1955
10	w1956
<g/>
.
Kriegs	w1958
<g/>
=
Schiffen	w1960
<g/>
/
und	w1962
einem	w1963
Brander	w1964
<g/>
/
unter	w1966
dem	w1967
Vorwand	w1968
Erfrischungen	w1969
nöhtig	w1970
zu	w1971
haben	w1972
<g/>
/
vor	w1974
einigen	w1975
Tagen	w1976
vor	w1977
S	w1978
<g/>
.
Andero	w1980
<g/>
,
so	w1982
ein	w1983
See	w1984
<g/>
=
Hafen	w1986
in	w1987
Biscayen	w1988
ist	w1989
<g/>
/
gekommen	w1991
<g/>
/
der	w1993
Spanische	w1994
Commendant	w1995
<g/>
,
so	w1997
von	w1998
allem	w1999
wol	w2000
versehen	w2001
seye	w2002
<g/>
/
ihme	w2004
hätte	w2005
andeutend	w2006
lassen	w2007
<g/>
/
daß	w2009
er	w2010
durch	w2011
ein	w2012
seiner	w2013
Schaloupen	w2014
ein	w2015
Memorial	w2016
senden	w2017
könte	w2018
<g/>
/
von	w2020
denen	w2021
jenigen	w2022
Sachen	w2023
de=ren	w2024
<g/>
=
er	w2026
Mangel	w2027
hätte	w2028
<g/>
/
es	w2030
wäre	w2031
aber	w2032
nicht	w2033
redlich	w2034
<g/>
/
daß	w2036
er	w2037
mit	w2038
seinen	w2039
Schiffen	w2040
so	w2041
nahe	w2042
an	w2043
die	w2044
Stadt	w2045
käme	w2046
<g/>
:
auf	w2048
welche	w2049
Antwort	w2050
der	w2051
Engelländische	w2052
Admiral	w2053
<g/>
/
ohne	w2055
etwas	w2056
zu	w2057
un=ternehmen	w2058
<g/>
=
sich	w2060
zuruk	w2061
gezogen	w2062
<g/>
/
und	w2064
auf	w2065
die	w2066
Rhede	w2067
von	w2068
Santona	w2069
<g/>
,
in	w2071
welchem	w2072
Platz	w2073
<g/>
/
wie	w2075
man	w2076
versicherte	w2077
eine	w2078
Guarnison	w2079
von	w2080
2600	w2081
<g/>
.
regulirten	w2083
Spanischen	w2084
Soldaten	w2085
sich	w2086
be=fände	w2087
<g/>
=
<g/>
/
vor	w2090
Anker	w2091
geleget	w2092
hätte	w2093
<g/>
.
Oben	w2095
<g/>
=
ge=meldter	w2097
<g/>
=
Capitain	w2099
berichtet	w2100
ferner	w2101
<g/>
/
daß	w2103
<g/>
/
als	w2105
er	w2106
am	w2107
14	w2108
<g/>
.
Dito	w2110
aus	w2111
Bilbao	w2112
hieher	w2113
abgerei=set	w2114
<g/>
=
<g/>
/
er	w2117
stark	w2118
mit	w2119
Stuken	w2120
schiessen	w2121
gehöret	w2122
<g/>
/
ohne	w2124
daß	w2125
er	w2126
eigentlich	w2127
wuste	w2128
<g/>
/
was	w2130
passiret	w2131
<g/>
/
oder	w2133
vorgefallen	w2134
seye	w2135
<g/>
.
</p>
<head id="hl6">
Londen	w2137
23	w2138
<g/>
.
Augusti	w2140
<g/>
.
</head>
<p id="p22">
Es	w2142
seynd	w2143
funfzehen	w2144
Juden	w2145
mit	w2146
ihren	w2147
Fa- milien	w2148
<g/>
-
<g/>
/
so	w2151
in	w2152
Portugall	w2153
in	w2154
der	w2155
Inquisition	w2156
gewesen	w2157
<g/>
/
und	w2159
sich	w2160
nebst	w2161
einem	w2162
Inquisitor	w2163
<g/>
,
der	w2165
sie	w2166
in	w2167
Verwahrung	w2168
gehabt	w2169
<g/>
/
aus	w2171
der	w2172
Ver Verhaft	w2173
<g/>
=
</p>
<p id="p23">
haft	w2178
gespielet	w2179
haben	w2180
<g/>
/
alhier	w2182
angekommen	w2183
<g/>
/
und	w2185
haben	w2186
600	w2187
<g/>
.
tausend	w2189
Pfund	w2190
Sterling	w2191
<g/>
/
an	w2193
Silber	w2194
<g/>
=
Stangen	w2196
<g/>
/
Moydorn	w2198
<g/>
,
&c	w2200
<g/>
.
mit	w2202
sich	w2203
gebracht	w2204
<g/>
.
</p>
<p id="p24">
Der	w2206
Sohn	w2207
des	w2208
Grafens	w2209
Galloway	w2210
<g/>
,
wel=cher	w2212
<g/>
=
wegen	w2214
verbottener	w2215
Reisen	w2216
in	w2217
Arrest	w2218
ge=nommen	w2219
<g/>
=
ware	w2221
<g/>
/
ist	w2223
wieder	w2224
auf	w2225
freyen	w2226
Fuß	w2227
gestellet	w2228
worden	w2229
<g/>
.
</p>
<p id="p25">
Der	w2231
unlängst	w2232
arrestierte	w2233
Lord	w2234
Gairles	w2235
hat	w2236
Bürge	w2237
gestellet	w2238
<g/>
/
und	w2240
haben	w2241
3	w2242
<g/>
.
Schottlän=dische	w2244
<g/>
=
Lords	w2246
sich	w2247
verpflichtet	w2248
<g/>
/
ihn	w2250
am	w2251
ersten	w2252
Tage	w2253
des	w2254
nechstkünftigen	w2255
Termins	w2256
vor	w2257
das	w2258
Königl	w2259
<g/>
.
Hof	w2261
<g/>
=
Gericht	w2263
zu	w2264
bringen	w2265
<g/>
;
ein	w2267
ge=wisser	w2268
<g/>
=
Medicus	w2270
von	w2271
Salisbury	w2272
aber	w2273
<g/>
/
wel=cher	w2275
<g/>
=
mit	w2277
erstegedachtem	w2278
jungen	w2279
Herrn	w2280
in	w2281
Zif=fern	w2282
<g/>
=
correspondiret	w2284
hat	w2285
<g/>
/
ist	w2287
bey	w2288
dem	w2289
Kopf	w2290
genommen	w2291
<g/>
/
und	w2293
der	w2294
Verwahrung	w2295
eines	w2296
Gerichts	w2297
Bedienten	w2298
übergeben	w2299
worden	w2300
<g/>
.
</p>
<p id="p26">
Der	w2302
Lord	w2303
Major	w2304
dieser	w2305
Stadt	w2306
hat	w2307
dem	w2308
König	w2309
einen	w2310
Stöhr	w2311
geschenket	w2312
<g/>
/
welcher	w2314
bey	w2315
Battersen	w2316
in	w2317
der	w2318
Themse	w2319
gefangen	w2320
worden	w2321
<g/>
/
und	w2323
8	w2324
<g/>
.
Schuh	w2326
lang	w2327
gewesen	w2328
ist	w2329
<g/>
.
</p>
<head id="hl7">
Livorno	w2331
23	w2332
<g/>
.
Augusti	w2334
<g/>
.
</head>
<p id="p27">
Wir	w2336
haben	w2337
diese	w2338
Woche	w2339
nichts	w2340
sonder=liches	w2341
<g/>
=
über	w2343
Meer	w2344
<g/>
/
ausser	w2346
daß	w2347
zwey	w2348
Barba=dische	w2349
<g/>
=
Galeotten	w2351
<g/>
/
eine	w2353
von	w2354
Sardinien	w2355
<g/>
/
wel=che	w2357
<g/>
=
ihren	w2359
Lauf	w2360
um	w2361
die	w2362
Africanische	w2363
Cüste	w2364
gemachet	w2365
<g/>
/
überwältiget	w2367
hatten	w2368
<g/>
.
ungeach=tet	w2370
<g/>
=
der	w2372
Hofnung	w2373
<g/>
/
so	w2375
man	w2376
heget	w2377
<g/>
/
daß	w2379
die	w2380
zwischen	w2381
denen	w2382
Genuesern	w2383
<g/>
/
und	w2385
dem	w2386
König	w2387
in	w2388
Sardinien	w2389
obschwebenden	w2390
Mißhelligkei=ten	w2391
<g/>
=
<g/>
/
auf	w2394
das	w2395
eheste	w2396
<g/>
/
mit	w2398
einem	w2399
gütlichen	w2400
Vergleich	w2401
<g/>
/
geschlichtet	w2403
werden	w2404
dörften	w2405
<g/>
/
wol=len	w2407
<g/>
=
doch	w2409
die	w2410
Kriegs	w2411
<g/>
=
Zubereitungen	w2413
von	w2414
bee=de	w2415
<g/>
=
Seiten	w2417
schier	w2418
gar	w2419
das	w2420
Widerspiel	w2421
zeigen	w2422
<g/>
.
</p>
<head id="hl8">
Rom	w2424
24	w2425
<g/>
.
Augusti	w2427
<g/>
.
</head>
<p id="p28">
Es	w2429
ist	w2430
ein	w2431
Hauf	w2432
von	w2433
denen	w2434
hiesigen	w2435
Soldaten	w2436
<g/>
/
nebst	w2438
einer	w2439
guten	w2440
Anzahl	w2441
von	w2442
Stadt	w2443
<g/>
=
Knechten	w2445
<g/>
/
und	w2447
<g/>
/
wie	w2449
man	w2450
saget	w2451
<g/>
/
auch	w2453
einen	w2454
Leutenant	w2455
aus	w2456
dem	w2457
Peinlichen	w2458
Ge=richt	w2459
<g/>
=
<g/>
/
nach	w2462
Perugia	w2463
abgefertiget	w2464
worden	w2465
<g/>
/
das	w2467
verwegene	w2468
Vornehmen	w2469
eines	w2470
Haupt	w2471
<g/>
=
Contrabandiers	w2473
zu	w2474
untersuchen	w2475
<g/>
/
der	w2477
sich	w2478
bewafnet	w2479
<g/>
/
und	w2481
mit	w2482
einer	w2483
grossen	w2484
Anzahl	w2485
sei=ner	w2486
<g/>
=
Leute	w2488
in	w2489
besagte	w2490
Stadt	w2491
<g/>
/
ja	w2493
selbst	w2494
in	w2495
die	w2496
Zimmer	w2497
des	w2498
dasigen	w2499
Gubernators	w2500
eingedrun=gen	w2501
<g/>
=
<g/>
/
welchen	w2504
er	w2505
auf	w2506
dem	w2507
Bette	w2508
gefunden	w2509
<g/>
/
und	w2511
ihn	w2512
zwingen	w2513
wollen	w2514
<g/>
/
einige	w2516
seiner	w2517
mit	w2518
<g/>
=
Gesellen	w2520
<g/>
/
welche	w2522
vor	w2523
der	w2524
Zeit	w2525
in	w2526
Contraband	w2527
betretten	w2528
<g/>
/
und	w2530
in	w2531
Verhaft	w2532
genommen	w2533
wor=den	w2534
<g/>
=
<g/>
/
aus	w2537
dem	w2538
Gefängnüß	w2539
loszulassen	w2540
<g/>
/
und	w2542
</p>
<p id="p29">
die	w2543
eingezogenen	w2544
Güter	w2545
wiederum	w2546
heraus	w2547
zu	w2548
geben	w2549
<g/>
.
Jnzwischen	w2551
erwartet	w2552
man	w2553
den	w2554
Aus=gang	w2555
<g/>
=
dieses	w2557
Handels	w2558
<g/>
/
welcher	w2560
ziemlich	w2561
schwü=rig	w2562
<g/>
=
ist	w2564
<g/>
/
weilen	w2566
einige	w2567
dasige	w2568
Edelleute	w2569
die=sen	w2570
<g/>
=
Contrabandierern	w2572
an	w2573
der	w2574
Hand	w2575
stehen	w2576
<g/>
.
</p>
<p id="p30">
Dienstags	w2578
wurde	w2579
der	w2580
Herr	w2581
Cardinal	w2582
Fa-broni	w2583
<g/>
-
<g/>
,
in	w2586
Frescati	w2587
von	w2588
einem	w2589
Schlage	w2590
<g/>
/
wie=wolen	w2592
<g/>
=
gar	w2594
leicht	w2595
<g/>
/
gerühret	w2597
<g/>
/
dannenhero	w2599
man	w2600
immer	w2601
mehr	w2602
besorget	w2603
<g/>
/
man	w2605
werde	w2606
eines	w2607
Ta=ges	w2608
<g/>
=
unversehens	w2610
hören	w2611
müssen	w2612
<g/>
/
daß	w2614
er	w2615
in	w2616
Erwegung	w2617
seines	w2618
hohen	w2619
Alters	w2620
von	w2621
74	w2622
<g/>
.
Jah=ren	w2624
<g/>
=
<g/>
/
welche	w2627
er	w2628
an	w2629
dem	w2630
ersten	w2631
jetzt	w2632
<g/>
=
lauffen=den	w2634
<g/>
=
Monats	w2636
vollendet	w2637
<g/>
/
wie	w2639
auch	w2640
wegen	w2641
of=dermaligen	w2642
<g/>
=
Zustossung	w2644
solcher	w2645
Zufälle	w2646
<g/>
/
wei=len	w2648
<g/>
=
es	w2650
von	w2651
dem	w2652
November	w2653
her	w2654
schon	w2655
das	w2656
fünfte	w2657
<g/>
=
oder	w2659
sechstemal	w2660
geschehen	w2661
<g/>
/
seinen	w2663
Geist	w2664
aufgegeben	w2665
habe	w2666
<g/>
.
</p>
<p id="p31">
Der	w2668
Herr	w2669
Cardinal	w2670
Gualtieri	w2671
hatte	w2672
eben	w2673
denselben	w2674
Tag	w2675
auch	w2676
einen	w2677
dergleichen	w2678
gerin=gen	w2679
<g/>
=
Anstoß	w2681
<g/>
/
wiewolen	w2683
man	w2684
sich	w2685
tröstet	w2686
<g/>
/
es	w2688
werde	w2689
nicht	w2690
gefährlich	w2691
seyn	w2692
<g/>
/
massen	w2694
er	w2695
son=sten	w2696
<g/>
=
von	w2698
starker	w2699
Leibes	w2700
<g/>
=
Beschaffenheit	w2702
<g/>
/
und	w2704
annoch	w2705
frischen	w2706
Alters	w2707
<g/>
/
nemlich	w2709
noch	w2710
nicht	w2711
über	w2712
66	w2713
<g/>
.
Jahr	w2715
ist	w2716
<g/>
.
Diese	w2718
Zufälle	w2719
seynd	w2720
an=jetzo	w2721
<g/>
=
sehr	w2723
gemein	w2724
worden	w2725
<g/>
/
und	w2727
höret	w2728
man	w2729
alhier	w2730
täglich	w2731
von	w2732
plötzlichen	w2733
Todes	w2734
<g/>
=
Fällen	w2736
<g/>
.
</p>
<p id="p32">
Demnach	w2738
die	w2739
hiesige	w2740
Ertz	w2741
<g/>
=
Bruderschaft	w2743
des	w2744
Confalone	w2745
einige	w2746
Christliche	w2747
Sclaven	w2748
aus	w2749
derer	w2750
Türken	w2751
Händen	w2752
erlöset	w2753
<g/>
/
seynd	w2755
sel=bige	w2756
<g/>
=
nach	w2758
geendigter	w2759
Quaranten	w2760
zu	w2761
Civita	w2762
<g/>
-
Vecchia	w2764
<g/>
,
alhier	w2766
angelanget	w2767
<g/>
/
und	w2769
der	w2770
Papst	w2771
hat	w2772
ihnen	w2773
verliehen	w2774
<g/>
/
daß	w2776
sie	w2777
das	w2778
Jubilæum Jubilaeum	w2779
des	w2780
<g/>
=
Heil	w2782
<g/>
.
Jahres	w2784
<g/>
/
durch	w2786
Besuchung	w2787
der	w2788
Haupt	w2789
<g/>
=
Kirche	w2791
zu	w2792
St	w2793
<g/>
.
Peter	w2795
<g/>
/
erlangen	w2797
kön=nen	w2798
<g/>
=
<g/>
.
</p>
<head id="hl9">
Florentz	w2801
24	w2802
<g/>
.
Augusti	w2804
</head>
<p id="p33">
An	w2805
dem	w2806
Sonn	w2807
<g/>
=
Abend	w2809
nach	w2810
<g/>
=
Mittag	w2812
<g/>
/
wurden	w2814
<g/>
/
in	w2816
dem	w2817
Peinlichen	w2818
Raht	w2819
<g/>
/
so	w2821
vor	w2822
dem	w2823
Groß	w2824
<g/>
=
Hertzog	w2826
gehalten	w2827
wurde	w2828
<g/>
/
zwey	w2830
Kerlen	w2831
<g/>
/
der	w2833
eine	w2834
von	w2835
26	w2836
<g/>
.
<g/>
/
und	w2839
der	w2840
ande=re	w2841
<g/>
=
von	w2843
22	w2844
<g/>
.
Jahren	w2846
<g/>
/
welche	w2848
miteinander	w2849
zu	w2850
Vico	w2851
<g/>
-
Pisano	w2853
<g/>
,
Mutter	w2855
und	w2856
Tochter	w2857
umge=bracht	w2858
<g/>
=
<g/>
/
um	w2861
ihr	w2862
Hab	w2863
und	w2864
Gut	w2865
zurauben	w2866
<g/>
/
zu	w2868
dem	w2869
Galgen	w2870
verdammet	w2871
<g/>
.
Vielen	w2873
andern	w2874
wurde	w2875
die	w2876
Lebens	w2877
<g/>
=
Straffe	w2879
in	w2880
die	w2881
Galere	w2882
verwandelt	w2883
<g/>
;
und	w2885
wurde	w2886
eine	w2887
grosse	w2888
Anzahl	w2889
von	w2890
Rechts	w2891
<g/>
=
Händeln	w2893
erörtert	w2894
<g/>
/
so	w2896
daß	w2897
die=ser	w2898
<g/>
=
Raht	w2900
4	w2901
<g/>
.
Stunden	w2903
<g/>
=
lang	w2905
gewähret	w2906
<g/>
;
nach	w2908
welchem	w2909
Jhre	w2910
Königl	w2911
<g/>
.
Hoheit	w2913
verschiedenen	w2914
Ministern	w2915
Audientz	w2916
gabe	w2917
<g/>
.
Besagten	w2919
Tages	w2920
Abends	w2921
kame	w2922
eine	w2923
Staffetta	w2924
von	w2925
Porto	w2926
<g/>
-
Fer Ferraio	w2928
<g/>
-
</p>
<p id="p34">
raio	w2931
mit	w2932
der	w2933
Zeitung	w2934
<g/>
/
daß	w2936
der	w2937
General	w2938
Vie-ri	w2939
<g/>
-
<g/>
,
desselben	w2942
Platzes	w2943
Gubernator	w2944
<g/>
,
mit	w2946
Tod	w2947
abgegangen	w2948
wäre	w2949
<g/>
.
</p>
<head id="hl10">
Genua	w2951
24	w2952
<g/>
.
Augusti	w2954
<g/>
.
</head>
<p id="p35">
Sonn	w2956
<g/>
=
Abends	w2958
kehreten	w2959
zwey	w2960
Galeren	w2961
des	w2962
hiesigen	w2963
Geschwaders	w2964
zugleich	w2965
mit	w2966
einer	w2967
Bar=ke	w2968
<g/>
=
<g/>
/
aus	w2971
Corsica	w2972
zurük	w2973
<g/>
/
auf	w2975
welcher	w2976
letztern	w2977
400	w2978
<g/>
.
Mann	w2980
waren	w2981
<g/>
/
so	w2983
in	w2984
die	w2985
hiesigen	w2986
Kriegs	w2987
<g/>
=
Compagnien	w2989
derselben	w2990
Nation	w2991
untergesteket	w2992
werden	w2993
sollen	w2994
<g/>
.
</p>
<p id="p36">
Mittwochs	w2996
ländete	w2997
eine	w2998
grosse	w2999
Tartane	w3000
aus	w3001
Sicilien	w3002
an	w3003
<g/>
/
deren	w3005
Patron	w3006
berichtete	w3007
<g/>
/
daß	w3009
eine	w3010
unsere	w3011
Barke	w3012
das	w3013
Glük	w3014
gehabt	w3015
<g/>
/
sich	w3017
in	w3018
dem	w3019
dasigen	w3020
Meer	w3021
<g/>
/
wider	w3023
3	w3024
<g/>
.
Barbarische	w3026
Bregantinen	w3027
tapfer	w3028
zu	w3029
wehren	w3030
<g/>
/
worbey	w3032
sie	w3033
20	w3034
<g/>
.
Türken	w3036
<g/>
/
so	w3038
sie	w3039
zu	w3040
überwältigen	w3041
darauf	w3042
gestiegen	w3043
waren	w3044
<g/>
/
an	w3046
ihrem	w3047
Bord	w3048
behalten	w3049
habe	w3050
<g/>
/
und	w3052
nunmehr	w3053
in	w3054
Messina	w3055
Contumatz	w3056
mache	w3057
<g/>
.
</p>
<p id="p37">
Eine	w3059
Barke	w3060
mit	w3061
Kaiserl	w3062
<g/>
.
Flaggen	w3064
<g/>
/
so	w3066
von	w3067
einer	w3068
Tunisinischen	w3069
Galeotte	w3070
mit	w3071
80	w3072
<g/>
.
Mann	w3074
angegriffen	w3075
worden	w3076
<g/>
/
hat	w3078
sich	w3079
tapfer	w3080
wider=setzet	w3081
<g/>
=
<g/>
;
und	w3084
da	w3085
sich	w3086
das	w3087
Volk	w3088
auf	w3089
dem	w3090
hin=ter	w3091
<g/>
=
Theil	w3093
derselben	w3094
einen	w3095
Mut	w3096
gefasset	w3097
<g/>
/
hat	w3099
es	w3100
alle	w3101
Türken	w3102
<g/>
/
so	w3104
in	w3105
bemeldete	w3106
Barke	w3107
ge=sprungen	w3108
<g/>
=
<g/>
/
niedergemacht	w3111
<g/>
/
dahero	w3113
sie	w3114
dann	w3115
viele	w3116
Säbel	w3117
<g/>
/
und	w3119
Spring	w3120
<g/>
=
Stöke	w3122
erobert	w3123
<g/>
/
und	w3125
den	w3126
gantzen	w3127
Boden	w3128
mit	w3129
Blut	w3130
überschwem=met	w3131
<g/>
=
haben	w3133
<g/>
;
dahero	w3135
die	w3136
Galliotte	w3137
abgewi=chen	w3138
<g/>
=
<g/>
;
auf	w3141
der	w3142
Barke	w3143
seynd	w3144
7	w3145
<g/>
.
Mann	w3147
<g/>
/
zwey	w3149
von	w3150
Musketen	w3151
<g/>
=
Kugeln	w3153
<g/>
/
und	w3155
5	w3156
<g/>
.
nicht	w3158
ge=fährlich	w3159
<g/>
=
von	w3161
ungefehr	w3162
entzündeten	w3163
Pulfer	w3164
<g/>
=
Flaschen	w3166
<g/>
/
verwundet	w3168
worden	w3169
<g/>
.
</p>
<head id="hl11">
Paris	w3171
25	w3172
<g/>
.
Augusti	w3174
<g/>
.
</head>
<p id="p38">
Den	w3176
16	w3177
<g/>
.
dieses	w3179
hat	w3180
der	w3181
König	w3182
zur	w3183
Vorsorg	w3184
eine	w3185
Artzney	w3186
zu	w3187
sich	w3188
genommen	w3189
<g/>
:
den	w3191
19	w3192
<g/>
.
die=ses	w3194
<g/>
=
waren	w3196
Jhre	w3197
Majestät	w3198
seit	w3199
ihrer	w3200
Wieder=genesung	w3201
<g/>
=
in	w3203
dem	w3204
Forst	w3205
von	w3206
S	w3207
<g/>
.
Germain	w3209
das	w3210
erstemal	w3211
wiederum	w3212
auf	w3213
die	w3214
Hirschen	w3215
<g/>
=
Jagd	w3217
<g/>
.
Die	w3219
Königin	w3220
erholet	w3221
sich	w3222
von	w3223
ihrer	w3224
gehab=ten	w3225
<g/>
=
schweren	w3227
Krankheit	w3228
von	w3229
Tag	w3230
zu	w3231
Tag	w3232
meh=rers	w3233
<g/>
=
<g/>
/
wiewolen	w3236
etwas	w3237
langsam	w3238
<g/>
/
so	w3240
daß	w3241
man	w3242
nicht	w3243
vermutet	w3244
<g/>
/
daß	w3246
sie	w3247
nacher	w3248
Fontaine-bleau	w3249
<g/>
-
dem	w3251
König	w3252
werde	w3253
folgen	w3254
können	w3255
<g/>
.
Zu	w3257
ermeldtem	w3258
Fontainebleau	w3259
wird	w3260
der	w3261
König	w3262
sich	w3263
von	w3264
Zeit	w3265
zu	w3266
Zeit	w3267
<g/>
/
aber	w3269
nicht	w3270
so	w3271
oft	w3272
als	w3273
dermalen	w3274
<g/>
/
mit	w3276
der	w3277
Hirschen	w3278
<g/>
=
Jagd	w3280
belusti=gen	w3281
<g/>
=
<g/>
.
</p>
<p id="p39">
Vergangenen	w3284
Sonntag	w3285
erhube	w3286
sich	w3287
der	w3288
Hertzog	w3289
von	w3290
Orleans	w3291
nacher	w3292
Versailles	w3293
<g/>
,
alwo	w3295
er	w3296
wegen	w3297
des	w3298
tödtlichen	w3299
Hinscheidens	w3300
seiner	w3301
</p>
<p id="p40">
Gemahlin	w3302
die	w3303
Trauer	w3304
<g/>
=
Bezeugungen	w3306
ange=nommen	w3307
<g/>
=
<g/>
.
Die	w3310
verwittibte	w3311
Hertzogin	w3312
von	w3313
Orleans	w3314
ist	w3315
alhier	w3316
in	w3317
dem	w3318
Königl	w3319
Pallast	w3320
sehr	w3321
unpäßlich	w3322
<g/>
/
und	w3324
hat	w3325
den	w3326
21	w3327
<g/>
.
dieses	w3329
von	w3330
ihrer	w3331
Tochter	w3332
der	w3333
verwittibten	w3334
Königin	w3335
von	w3336
Spa=nien	w3337
<g/>
=
eine	w3339
Visite	w3340
gehabt	w3341
<g/>
.
</p>
<p id="p41">
Der	w3343
Hertzog	w3344
von	w3345
Bouilon	w3346
ist	w3347
an	w3348
einem	w3349
Aussteigen	w3350
des	w3351
Podagra	w3352
<g/>
,
und	w3354
darzu	w3355
gestos=senen	w3356
<g/>
=
starken	w3358
Fieber	w3359
sehr	w3360
gefährlich	w3361
krank	w3362
ge=wesen	w3363
<g/>
=
<g/>
;
weilen	w3366
aber	w3367
das	w3368
Fieber	w3369
<g/>
/
und	w3371
der	w3372
Schmertzen	w3373
des	w3374
Podagra	w3375
sich	w3376
etwas	w3377
gemil=dert	w3378
<g/>
=
<g/>
/
als	w3381
hoffet	w3382
man	w3383
<g/>
/
daß	w3385
derselbe	w3386
noch	w3387
werde	w3388
können	w3389
gerettet	w3390
werden	w3391
<g/>
.
</p>
<p id="p42">
Den	w3393
15	w3394
<g/>
.
dieses	w3396
Monats	w3397
wurde	w3398
der	w3399
Herr	w3400
Gilbert	w3401
<g/>
/
Rahts	w3403
<g/>
=
Herr	w3405
in	w3406
dem	w3407
Gericht	w3408
deren	w3409
Wässern	w3410
und	w3411
Wäldern	w3412
<g/>
/
ein	w3414
junger	w3415
Herr	w3416
von	w3417
24	w3418
Jahren	w3419
<g/>
/
unversehens	w3421
von	w3422
einer	w3423
so	w3424
grossen	w3425
Raserey	w3426
überfallen	w3427
<g/>
/
daß	w3429
er	w3430
sich	w3431
mit	w3432
Messern	w3433
zu	w3434
stechen	w3435
anfienge	w3436
<g/>
;
als	w3438
man	w3439
nun	w3440
dessen	w3441
in	w3442
Zeiten	w3443
gewahr	w3444
wurde	w3445
<g/>
/
führeten	w3447
ihn	w3448
seine	w3449
Freunde	w3450
nacher	w3451
Haus	w3452
<g/>
/
und	w3454
befahlen	w3455
seinem	w3456
Bedienten	w3457
auf	w3458
ihren	w3459
Herrn	w3460
gute	w3461
Achtung	w3462
zu	w3463
geben	w3464
<g/>
;
dieser	w3466
aber	w3467
<g/>
/
weilen	w3469
die	w3470
Bediente	w3471
ih=ne	w3472
<g/>
=
verabsaumeten	w3474
<g/>
/
stürtzete	w3476
sich	w3477
aus	w3478
einer	w3479
noch	w3480
grösseren	w3481
Raserey	w3482
zu	w3483
einem	w3484
Fenster	w3485
hin=aus	w3486
<g/>
=
zu	w3488
tod	w3489
<g/>
.
</p>
<p id="p43">
Den	w3491
17	w3492
<g/>
.
dieses	w3494
ist	w3495
der	w3496
Pfarrer	w3497
zu	w3498
Janvry	w3499
<g/>
,
durch	w3501
seinen	w3502
Neveu	w3503
<g/>
,
oder	w3505
Vettern	w3506
<g/>
/
mit	w3508
ei=ner	w3509
<g/>
=
Pistolen	w3511
erschossen	w3512
worden	w3513
<g/>
/
und	w3515
hat	w3516
der	w3517
letztere	w3518
sich	w3519
durch	w3520
eine	w3521
andere	w3522
zu	w3523
diesem	w3524
Ende	w3525
fertig	w3526
gehabten	w3527
Pistolen	w3528
sich	w3529
selbsten	w3530
zugleich	w3531
erschossen	w3532
<g/>
.
Der	w3534
Letztere	w3535
ware	w3536
des	w3537
erstern	w3538
Vica-rius	w3539
<g/>
-
und	w3541
führete	w3542
aber	w3543
dabey	w3544
ein	w3545
ungeistli=ches	w3546
<g/>
=
Ruchloses	w3548
Leben	w3549
<g/>
/
welches	w3551
er	w3552
auch	w3553
durch	w3554
diese	w3555
letztere	w3556
Unthat	w3557
endigte	w3558
<g/>
/
nachde=me	w3560
<g/>
=
er	w3562
vernommen	w3563
hatte	w3564
<g/>
/
daß	w3566
sein	w3567
Vetter	w3568
ihne	w3569
fest	w3570
setzen	w3571
<g/>
/
und	w3573
einsperren	w3574
zu	w3575
lassen	w3576
im	w3577
Sinn	w3578
gehabt	w3579
<g/>
.
</p>
<p id="p44">
Der	w3581
Königl	w3582
<g/>
.
Hof	w3584
<g/>
=
und	w3586
Kutschen	w3587
<g/>
=
Schrei=ner	w3589
<g/>
=
<g/>
/
Sieur	w3592
Maillard	w3593
<g/>
,
hat	w3595
auf	w3596
dem	w3597
Canal	w3598
von	w3599
Versailles	w3600
eine	w3601
Gattung	w3602
eines	w3603
kleinen	w3604
Schifs	w3605
von	w3606
dik	w3607
<g/>
=
geflochtenen	w3609
Weiden	w3610
<g/>
/
so	w3612
inwendig	w3613
verpicht	w3614
<g/>
/
in	w3616
der	w3617
Form	w3618
eines	w3619
grossen	w3620
Schwa=nen	w3621
<g/>
=
verfertiget	w3623
<g/>
:
in	w3625
dem	w3626
Schiflein	w3627
ist	w3628
ein	w3629
verborgenen	w3630
Werk	w3631
<g/>
=
Zeug	w3633
<g/>
/
oder	w3635
