<doc id="wr_1763-06-01" attrs="word" year="1763" month="06" day="01" corpus="2">
<head id="h2_d763e3650">
Genua	w1_d763e3654
die	w5_d763e11395
Trauung	w7_d763e11398
dero	w9_d763e11401
zweyten	w11_d763e11404
Herrn	w13_d763e11408
Sohns,	w1_d763e11414
des	w3_d763e11417
Kais.	w5_d763e11420
Königl.	w7_d763e11423
würklichen	w9_d763e11426
Kam	w11_d763e11429
|	w13_d763e11433
|	w15_d763e11436
merers	w1_d763e11441
und	w3_d763e11444
Hof=kammer=raths,	w5_d763e11447
mit	w7_d763e11450
der	w9_d763e11453
Fräule	w1_d763e11458
Gräfin	w3_d763e11461
von	w5_d763e11464
Rottal	w7_d763e11467
in	w9_d763e11470
Beyseyn	w11_d763e11473
der	w13_d763e11477
beyderseitigen	w1_d763e11482
Hochgräfl.	w3_d763e11485
Familien	w5_d763e11488
vollzo	w7_d763e11491
gen,	w1_d763e11497
und	w3_d763e11500
dieses	w5_d763e11503
Fest	w7_d763e11506
durch	w9_d763e11509
3.	w11_d763e11512
Tage	w13_d763e11516
began	w15_d763e11519
gen	w1_d763e11524
worden.	w3_d763e11527
</p>
<head id="h2_d763e11533">
Lista	w1_d763e11537
deren	w3_d763e11540
Verstorbenen	w5_d763e11543
zu	w7_d763e11546
Wien	w9_d763e11549
in	w1_d763e11554
und	w3_d763e11557
vor	w5_d763e11560
der	w7_d763e11563
Stadt.	w9_d763e11566
Den	w1_d763e11571
25.	w3_d763e11574
May.	w5_d763e11577
Jn	w7_d763e11580
der	w9_d763e11583
Stadt.	w11_d763e11586
</head>
<list id="l4_d763e11589">
Der	w1_d763e11593
Woledlgestr.	w3_d763e11596
Hr.	w5_d763e11599
Franz	w7_d763e11602
Ant.	w9_d763e11605
Beer,	w11_d763e11608
gew.	w13_d763e11612
Her	w15_d763e11615
zogl.	w1_d763e11620
Savoys.	w3_d763e11623
Regent,	w5_d763e11626
im	w7_d763e11629
alt.	w9_d763e11632
Michaeler=H.	w11_d763e11635
am	w13_d763e11639
Kohlmarkt,	w1_d763e11644
alt	w3_d763e11647
75.	w5_d763e11650
J.	w7_d763e11653
Dem	w1_d763e11659
Niclas	w3_d763e11662
Senger,	w5_d763e11665
Burgerl.	w7_d763e11668
Stadt=tändl.,	w9_d763e11671
s.	w11_d763e11674
K.	w13_d763e11678
Anna,	w1_d763e11683
im	w3_d763e11686
Dämpfinger=hof,	w5_d763e11689
alt	w7_d763e11692
4.	w9_d763e11695
J.	w11_d763e11698
Sebast.	w1_d763e11703
Weisenecker,	w3_d763e11706
gew.	w5_d763e11709
Burgerl.	w7_d763e11712
Tuchscher.,	w9_d763e11715
im	w11_d763e11718
Minoriten=H.	w1_d763e11723
unterm	w3_d763e11726
Land=H.,	w5_d763e11729
alt	w7_d763e11732
75.	w9_d763e11735
</list>
<list id="l10_d763e11749">
Susan.	w1_d763e11753
Reicheneckin,	w3_d763e11756
Burgerl.	w5_d763e11759
Wittwe,	w7_d763e11762
im	w9_d763e11765
Kar	w11_d763e11768
masinis.	w1_d763e11773
H.	w3_d763e11776
in	w5_d763e11779
der	w7_d763e11782
gros.	w9_d763e11785
Schulerstr.,	w11_d763e11788
74.	w13_d763e11792
J.	w15_d763e11795
</list>
<head id="h2_d763e11802">
Vor	w1_d763e11806
der	w3_d763e11809
Stadt.	w5_d763e11812
</head>
<list id="l4_d763e11815">
Dem	w1_d763e11819
Sebast.	w3_d763e11822
Heyduck,	w5_d763e11825
Burgerl.	w7_d763e11828
Schuhmach.,	w9_d763e11831
W.	w1_d763e11836
Barb.,	w3_d763e11839
bey	w5_d763e11842
der	w7_d763e11845
gold.	w9_d763e11848
Sonn	w11_d763e11851
in	w13_d763e11855
der	w15_d763e11858
Josephst	w17_d763e11861
alt	w1_d763e11866
29.	w3_d763e11869
J.	w5_d763e11872
Theres.	w1_d763e11878
Lohrin,	w3_d763e11881
Burgerl.	w5_d763e11884
Wittwe,	w7_d763e11887
im	w9_d763e11890
Knitelmay	w11_d763e11893
ris.	w1_d763e11898
H.	w3_d763e11901
in	w5_d763e11904
der	w7_d763e11907
Leopoldst.,	w9_d763e11910
alt	w11_d763e11913
76.	w13_d763e11917
J.	w15_d763e11920
Philippina	w1_d763e11925
Degrandin,	w3_d763e11928
Wittwe,	w5_d763e11931
beym	w7_d763e11934
Samson	w9_d763e11937
in	w11_d763e11940
der	w1_d763e11945
Josephst,	w3_d763e11948
alt	w5_d763e11951
59.	w7_d763e11954
J.	w9_d763e11957
Sebast.	w1_d763e11963
Graf,	w3_d763e11966
Schuhmach.,	w5_d763e11969
bey	w7_d763e11972
der	w9_d763e11975
gold.	w11_d763e11978
Ros.	w13_d763e11982
ober	w1_d763e11987
dem	w3_d763e11990
Neustift,	w5_d763e11993
alt	w7_d763e11996
60.	w9_d763e11999
J.	w11_d763e12002
Ernestina	w1_d763e12007
Schifferin,	w3_d763e12010
Wittwe,	w5_d763e12013
beym	w7_d763e12016
braun.	w9_d763e12019
Rös.	w11_d763e12022
im	w13_d763e12026
Liechtenth.	w1_d763e12031
alt	w3_d763e12034
67.	w5_d763e12037
J.	w7_d763e12040
Dem	w1_d763e12046
Mich.	w3_d763e12049
Baumgartner,	w5_d763e12052
Grund=wacht.,	w7_d763e12055
s.	w9_d763e12058
K.	w11_d763e12061
Leop.,	w1_d763e12066
bey	w3_d763e12069
der	w5_d763e12072
rot.	w7_d763e12075
Kug.	w9_d763e12078
am	w11_d763e12081
Magdal.	w13_d763e12085
gr.,	w15_d763e12088
4.	w17_d763e12091
J.	w19_d763e12094
Dem	w1_d763e12099
Felix	w3_d763e12102
Fuhrmann,	w5_d763e12105
Schreib.,	w7_d763e12108
s.	w9_d763e12111
K.	w11_d763e12114
Agat.,	w13_d763e12118
bey	w15_d763e12121
der	w1_d763e12126
bl.	w3_d763e12129
Kug.	w5_d763e12132
am	w7_d763e12135
Spitalberg,	w9_d763e12138
alt	w11_d763e12141
1.	w13_d763e12145
J	w15_d763e12148
Dem	w1_d763e12154
Joh.	w3_d763e12157
Prinfried,	w5_d763e12160
Haus=kn.,	w7_d763e12163
s.	w9_d763e12166
K.	w11_d763e12169
Magdal.	w13_d763e12173
in	w15_d763e12176
Piaristen=H.	w1_d763e12181
in	w3_d763e12184
der	w5_d763e12187
Unger=gas.,	w7_d763e12190
alt	w9_d763e12193
1.	w11_d763e12196
J.	w13_d763e12200
Dem	w1_d763e12205
Lor.	w3_d763e12208
Harthofer,	w5_d763e12211
Lehen=kutsch.	w7_d763e12214
kn.,	w9_d763e12217
s.	w11_d763e12220
K.	w13_d763e12224
Joh.,	w15_d763e12227
beym	w1_d763e12232
blech.	w3_d763e12235
Thurn	w5_d763e12238
auf	w7_d763e12241
der	w9_d763e12244
Wied.,	w11_d763e12247
alt	w13_d763e12251
4.	w15_d763e12254
J.	w17_d763e12257
Dem	w1_d763e12263
Casp.	w3_d763e12266
Henszel,	w5_d763e12269
Leop.	w7_d763e12272
Daunis.	w9_d763e12275
Caporal.,	w11_d763e12278
s.	w13_d763e12282
K.	w15_d763e12285
Maria	w1_d763e12290
Anna,	w3_d763e12293
in	w5_d763e12296
der	w7_d763e12299
Casarm	w9_d763e12302
am	w11_d763e12305
Getraidm.,	w13_d763e12309
alt	w15_d763e12312
2.	w1_d763e12317
J.	w3_d763e12320
</list>
<head id="h2_d763e12328">
Summa	w1_d763e12332
14	w3_d763e12335
Person.,	w5_d763e12338
darunter	w7_d763e12341
6.	w9_d763e12344
Kind.	w11_d763e12347
Den	w1_d763e12352
26.	w3_d763e12355
May.	w5_d763e12358
Jn	w7_d763e12361
der	w9_d763e12364
Stadt.	w11_d763e12367
</head>
<list id="l4_d763e12370">
Der	w1_d763e12374
Wol=ehrw.	w3_d763e12377
P.	w5_d763e12380
Ludw.	w7_d763e12383
Wimmer,	w9_d763e12386
Ord.	w11_d763e12389
Prädic.	w13_d763e12393
in	w1_d763e12398
ihrem	w3_d763e12401
Kloster,	w5_d763e12404
alt	w7_d763e12407
69.	w9_d763e12410
J.	w11_d763e12413
Der	w1_d763e12418
Fr.	w3_d763e12421
Elisab.	w5_d763e12424
Petzaillin,	w7_d763e12427
Burgerl.	w9_d763e12430
Wittwe,	w11_d763e12433
ihr	w13_d763e12437
K.	w1_d763e12443
Ant.,	w3_d763e12446
im	w5_d763e12449
Postleris.	w7_d763e12452
H.	w9_d763e12455
am	w11_d763e12458
hoh.	w13_d763e12462
Markt,	w15_d763e12465
alt	w17_d763e12468
7.	w1_d763e12473
v.	w3_d763e12476
J.	w5_d763e12479
</list>
<head id="h2_d763e12486">
Vor	w1_d763e12490
der	w3_d763e12493
Stadt.	w5_d763e12496
</head>
<list id="l4_d763e12499">
Dem	w1_d763e12503
Mich.	w3_d763e12506
Rudolph,	w5_d763e12509
Fuhr=kn,	w7_d763e12512
s.	w9_d763e12515
W.	w11_d763e12518
Theres.	w13_d763e12522
bey	w15_d763e12525
Maria=hülf	w1_d763e12530
im	w3_d763e12533
Liechtenth,	w5_d763e12536
alt	w7_d763e12539
27.	w9_d763e12542
J.	w11_d763e12545
Rosina	w1_d763e12550
Mathoferin,	w3_d763e12553
led.,	w5_d763e12556
im	w7_d763e12559
Maureris.	w9_d763e12562
H.	w11_d763e12565
an	w13_d763e12569
dem	w15_d763e12572
Hundsth,	w1_d763e12578
alt	w3_d763e12581
33.	w5_d763e12584
J.	w7_d763e12587
</list>
<head id="h2_d763e12594">
Summa	w1_d763e12598
4.	w3_d763e12601
Pers.,	w5_d763e12604
darunter	w7_d763e12607
1.	w9_d763e12610
Kind.	w11_d763e12613
Den	w1_d763e12618
27.	w3_d763e12621
May.	w5_d763e12624
Jn	w1_d763e12629
der	w3_d763e12632
Stadt.	w5_d763e12635
</head>
<list id="l4_d763e12638">
Dem	w1_d763e12642
Franz	w3_d763e12645
Kick,	w5_d763e12648
Burgerl.	w7_d763e12651
Gold=arbeit.,	w9_d763e12654
s.	w11_d763e12657
K.	w13_d763e12661
An	w15_d763e12664
na,	w1_d763e12669
beym	w3_d763e12672
unigekehrt.	w5_d763e12675
Stief.	w7_d763e12678
im	w9_d763e12681
Juden=gäs.,	w11_d763e12684
alt	w13_d763e12688
7	w1_d763e12693
v.	w3_d763e12696
J.	w5_d763e12699
</list>
<head id="h2_d763e12706">
Vor	w1_d763e12710
der	w3_d763e12713
Stadt.	w5_d763e12716
</head>
<list id="l4_d763e12719">
Der	w1_d763e12723
Ehrw.	w3_d763e12726
Fr.	w5_d763e12729
Marcellian.	w7_d763e12732
Jnama	w9_d763e12735
v.	w11_d763e12738
Sterneg,	w13_d763e12742
in	w15_d763e12745
Kloster	w1_d763e12750
bey	w3_d763e12753
denen	w5_d763e12756
Barmherz.	w7_d763e12759
Brüd.	w9_d763e12762
in	w11_d763e12765
der	w13_d763e12769
Leo	w15_d763e12772
poldst.,	w1_d763e12777
alt	w3_d763e12780
25.	w5_d763e12783
J.	w7_d763e12786
Dem	w1_d763e12792
Domin.	w3_d763e12795
Duetium,	w5_d763e12798
Galanterie=arbeit.,	w7_d763e12801
s.	w9_d763e12804
K.	w11_d763e12807
Mart.,	w1_d763e12812
bey	w3_d763e12815
St.	w5_d763e12818
Jacob	w7_d763e12821
in	w9_d763e12824
der	w11_d763e12827
Josephst.,	w13_d763e12831
alt	w15_d763e12834
1.	w17_d763e12837
J.	w19_d763e12840
Dem	w1_d763e12845
Franz	w3_d763e12848
Jelineck,	w5_d763e12851
Geskeyt.,	w7_d763e12854
des	w9_d763e12857
Erz=herzog	w11_d763e12860
Ferdinandis.	w1_d763e12865
Reg.	w3_d763e12868
s.	w5_d763e12871
K.	w7_d763e12874
Franz,	w9_d763e12877
in	w11_d763e12880
der	w13_d763e12884
Casarm	w15_d763e12887
in	w1_d763e12893
der	w3_d763e12896
Alster=gassen	w5_d763e12899
alt	w7_d763e12902
6.	w9_d763e12905
v.	w11_d763e12908
J.	w13_d763e12912
Barb.	w1_d763e12917
Sturmin,	w3_d763e12920
Wittwe,	w5_d763e12923
beym	w7_d763e12926
gold.	w9_d763e12929
Engel	w11_d763e12932
zu	w13_d763e12936
Matzleinstorf,	w1_d763e12941
alt	w3_d763e12944
83.	w5_d763e12947
J.	w7_d763e12950
Adan	w1_d763e12955
Mittereder,	w3_d763e12958
gew.	w5_d763e12961
Lack.,	w7_d763e12964
beym	w9_d763e12967
schwarz.	w11_d763e12970
Eleph	w13_d763e12974
in	w1_d763e12980
der	w3_d763e12983
Josephst.,	w5_d763e12986
alt	w7_d763e12989
74.	w9_d763e12992
J.	w11_d763e12995
</list>
<list id="l6_d763e12999">
Anna	w1_d763e13003
Schenbergerin,	w3_d763e13006
Wittwe,	w5_d763e13009
bey	w7_d763e13012
der	w9_d763e13015
gold.	w11_d763e13018
Saul.	w13_d763e13022
in	w1_d763e13027
der	w3_d763e13030
Josephst.,	w5_d763e13033
alt	w7_d763e13036
42.	w9_d763e13039
Dem	w1_d763e13044
Joh.	w3_d763e13047
Trummelmayr,	w5_d763e13050
Lack.,	w7_d763e13053
s.	w9_d763e13056
K.	w11_d763e13059
Jos.,	w13_d763e13063
im	w15_d763e13066
erst=bemeldt.	w1_d763e13072
H.,	w3_d763e13075
alt	w5_d763e13078
6.	w7_d763e13081
J.	w9_d763e13084
Sim.	w1_d763e13089
Killinger,	w3_d763e13092
Ober=kn.	w5_d763e13095
im	w7_d763e13098
K.	w9_d763e13101
Magazin	w11_d763e13104
stadel	w13_d763e13108
am	w1_d763e13113
alt.	w3_d763e13116
Thabor,	w5_d763e13119
alt	w7_d763e13122
70.	w9_d763e13125
J.	w11_d763e13128
Dem	w1_d763e13133
Ant.	w3_d763e13136
Holländer,	w5_d763e13139
Schmelzer=kn.,	w7_d763e13142
s.	w9_d763e13145
K.	w11_d763e13148
Ant.,	w13_d763e13152
im	w1_d763e13158
K.	w3_d763e13161
Zeug=stadel	w5_d763e13164
am	w7_d763e13167
alt.	w9_d763e13170
Thabor,	w11_d763e13173
alt	w13_d763e13177
3.	w15_d763e13180
J.	w17_d763e13183
Margar.	w1_d763e13188
Gamritin,	w3_d763e13191
in	w5_d763e13194
St.	w7_d763e13197
Joh.	w9_d763e13200
Nep.	w11_d763e13203
Spit	w13_d763e13207
,	w15_d763e13210
68.	w17_d763e13213
J.	w19_d763e13216
Clara	w1_d763e13221
Wucherin,	w3_d763e13224
Wittwe	w5_d763e13227
im	w7_d763e13230
Haueris.	w9_d763e13233
H.	w11_d763e13236
an	w13_d763e13240
dem	w15_d763e13243
Neustift,	w1_d763e13248
alt	w3_d763e13251
71.	w5_d763e13254
J.	w7_d763e13257
Dem	w1_d763e13263
Joh.	w3_d763e13266
Meidinger,	w5_d763e13269
Mahl.,	w7_d763e13272
s.	w9_d763e13275
K.	w11_d763e13278
Jgnatz,	w13_d763e13282
bey	w15_d763e13285
der	w1_d763e13290
gold.	w3_d763e13293
Schlang.	w5_d763e13296
am	w7_d763e13299
Spitalberg,	w9_d763e13302
alt	w11_d763e13305
6.	w13_d763e13309
v.	w15_d763e13312
J.	w17_d763e13315
</list>
<head id="h2_d763e13322">
Summa	w1_d763e13326
13.	w3_d763e13329
Person.,	w5_d763e13332
darunter	w7_d763e13335
6.	w9_d763e13338
Kind.	w11_d763e13341
Den	w1_d763e13346
28.	w3_d763e13349
May.	w5_d763e13352
Jn	w1_d763e13357
der	w3_d763e13360
Stadt.	w5_d763e13363
</head>
<list id="l4_d763e13366">
Hr.	w1_d763e13370
Constant.	w3_d763e13373
dalle	w5_d763e13376
Armi,	w7_d763e13379
Burgerl.	w9_d763e13382
Wasserbren,	w11_d763e13385
bey	w1_d763e13390
der	w3_d763e13393
gros.	w5_d763e13396
gold.	w7_d763e13399
Bet.	w9_d763e13402
am	w11_d763e13405
Kohlm.,	w13_d763e13409
alt	w15_d763e13412
63.	w17_d763e13415
J.	w19_d763e13418
Dem	w1_d763e13423
Hrn.	w3_d763e13426
Georg	w5_d763e13429
Weinpolz,	w7_d763e13432
Herrschaftl.	w9_d763e13435
Kammer	w11_d763e13438
dien.,	w1_d763e13444
s.	w3_d763e13447
K.	w5_d763e13450
Sebast.,	w7_d763e13453
wo	w9_d763e13456
der	w11_d763e13459
Wolf	w13_d763e13463
denen	w15_d763e13466
Gänsen	w17_d763e13469
predigt	w1_d763e13474
in	w3_d763e13477
der	w5_d763e13480
Wallerstr,	w7_d763e13483
alt	w9_d763e13486
5.	w11_d763e13489
J.	w13_d763e13493
Dem	w1_d763e13498
Andre	w3_d763e13501
Flamitzer,	w5_d763e13504
K.	w7_d763e13507
Senften	w9_d763e13510
kn.,	w11_d763e13513
s.	w13_d763e13517
W.	w15_d763e13520
Barb.	w17_d763e13523
im	w1_d763e13528
Lorenzer	w3_d763e13531
H.	w5_d763e13534
im	w7_d763e13537
Sauwinkel,	w9_d763e13540
alt	w11_d763e13543
69.	w13_d763e13547
J.	w15_d763e13550
</list>
<head id="h2_d763e13557">
Vor	w1_d763e13561
der	w3_d763e13564
Stadt.	w5_d763e13567
</head>
<list id="l4_d763e13570">
Der	w1_d763e13574
(Tit.)	w3_d763e13577
Hr.	w5_d763e13580
Georg	w7_d763e13583
Hauß,	w9_d763e13586
des	w11_d763e13589
Löbl.	w13_d763e13593
K.	w15_d763e13596
K.	w17_d763e13599
Leop.	w19_d763e13602
Daunis.	w1_d763e13607
Jnfant.=regim.	w3_d763e13610
Ober=leuten.,	w5_d763e13613
in	w7_d763e13616
der	w9_d763e13619
Casarm	w1_d763e13624
am	w3_d763e13627
Getraidm.,	w5_d763e13630
alt	w7_d763e13633
38.	w9_d763e13636
J.	w11_d763e13639
Steph.	w1_d763e13645
Heuman,	w3_d763e13648
gew.	w5_d763e13651
Burgerl.	w7_d763e13654
Anstreich.	w9_d763e13657
im	w11_d763e13660
Sies	w13_d763e13664
sis.	w1_d763e13669
H.	w3_d763e13672
in	w5_d763e13675
der	w7_d763e13678
Leopoldst.,	w9_d763e13681
alt	w11_d763e13684
56.	w13_d763e13688
J.	w15_d763e13691
Dem	w1_d763e13696
Mich.	w3_d763e13699
Weihert,	w5_d763e13702
Burgerl.	w7_d763e13705
Wirt,	w9_d763e13708
s.	w11_d763e13711
K.	w13_d763e13715
Maria	w15_d763e13718
Anna,	w1_d763e13723
beym	w3_d763e13726
bl.	w5_d763e13729
Gat.	w7_d763e13732
untern	w9_d763e13735
Felb.,	w11_d763e13738
alt	w13_d763e13742
1.	w15_d763e13745
J.	w17_d763e13748
Dem	w1_d763e13754
Ernst	w3_d763e13757
Adam	w5_d763e13760
Hanko,	w7_d763e13763
Goldschm.,	w9_d763e13766
s.	w11_d763e13769
K.	w13_d763e13773
Joh.	w15_d763e13776
Bapt,	w1_d763e13781
beym	w3_d763e13784
gr.	w5_d763e13787
Jäg	w7_d763e13790
in	w9_d763e13793
der	w11_d763e13796
Leopoldst.,	w13_d763e13800
alt	w15_d763e13803
1.	w17_d763e13806
J.	w19_d763e13809
Theres.	w1_d763e13814
Böhmin,	w3_d763e13817
led,	w5_d763e13820
beym	w7_d763e13823
weis.	w9_d763e13826
Hahn	w11_d763e13829
in	w13_d763e13833
der	w15_d763e13836
Al	w17_d763e13839
ster=gas.,	w1_d763e13844
alt	w3_d763e13847
54.	w5_d763e13850
J.	w7_d763e13853
Ant.	w1_d763e13859
Hellmayr,	w3_d763e13862
Geig.,	w5_d763e13865
bey	w7_d763e13868
der	w9_d763e13871
gold.	w11_d763e13874
Ros.	w13_d763e13878
am	w15_d763e13881
Thu	w17_d763e13884
ry,	w1_d763e13889
alt	w3_d763e13892
5	w5_d763e13895
2.	w7_d763e13898
Mich.	w1_d763e13903
Perl,	w3_d763e13906
Kais.	w5_d763e13909
Kost=kind,	w7_d763e13912
im	w9_d763e13915
Königl.	w11_d763e13918
Kloster=H.	w13_d763e13922
in	w1_d763e13927
der	w3_d763e13930
Koht=gas,	w5_d763e13933
alt	w7_d763e13936
10.	w9_d763e13939
J.	w11_d763e13942
Dem	w1_d763e13948
Math.	w3_d763e13951
Hofbauer,	w5_d763e13954
Kutsch.,	w7_d763e13957
s.	w9_d763e13960
K.	w11_d763e13963
Anna,	w13_d763e13967
beyn	w15_d763e13970
2.	w1_d763e13975
kust.	w3_d763e13978
Bauren	w5_d763e13981
ausser	w7_d763e13984
Maria=hülf,	w9_d763e13987
alt	w11_d763e13990
5.	w13_d763e13994
J.	w15_d763e13997
</list>
<head id="h2_d763e14005">
Summa	w1_d763e14009
11.	w3_d763e14012
Person.,	w5_d763e14015
darunter	w7_d763e14018
5.	w9_d763e14021
Kind.	w11_d763e14024
</head>
<head id="h2_d763e14030">
AVERTISSEMENT.	w1_d763e14034
</head>
<p id="p4_d763e14037">
Es	w1_d763e14041
wird	w3_d763e14044
dem	w5_d763e14047
Publico	w7_d763e14050
hiemit	w9_d763e14053
bekannt	w11_d763e14056
gemacht,	w13_d763e14060
daß	w1_d763e14065
der	w3_d763e14068
Zucker	w5_d763e14071
allhier	w7_d763e14074
in	w9_d763e14077
den	w11_d763e14080
3.	w13_d763e14084
Monaten	w15_d763e14087
April,	w17_d763e14090
May	w1_d763e14095
und	w3_d763e14098
Junii	w5_d763e14101
dies	w7_d763e14104
Jahrs	w9_d763e14107
bis	w11_d763e14110
zu	w13_d763e14114
neuer	w15_d763e14117
Regu	w17_d763e14120
lirung	w1_d763e14126
in	w3_d763e14129
dem	w5_d763e14132
Detail=verkauf	w7_d763e14135
gegen	w9_d763e14138
baare	w11_d763e14141
Bezah	w13_d763e14145
lung	w1_d763e14150
ohne	w3_d763e14153
Papier	w5_d763e14156
und	w7_d763e14159
Spagat	w9_d763e14162
in	w11_d763e14165
den	w13_d763e14169
nachge	w15_d763e14172
setzten	w1_d763e14177
Preißen,	w3_d763e14180
nach	w5_d763e14183
seiner	w7_d763e14186
Qualität	w9_d763e14189
von	w11_d763e14192
den	w13_d763e14196
Ma	w15_d763e14199
terial	w1_d763e14204
und	w3_d763e14207
Specerey	w5_d763e14210
handlern	w7_d763e14213
verkaufet,	w9_d763e14216
und	w11_d763e14219
die	w13_d763e14223
se	w1_d763e14229
Preise	w3_d763e14232
bey	w5_d763e14235
gemessener	w7_d763e14238
Strafe	w9_d763e14241
nicht	w11_d763e14244
überschrit	w13_d763e14248
ten	w1_d763e14253
werden	w3_d763e14256
sollen.	w5_d763e14259
Als:	w7_d763e14262
Candis=brod,	w9_d763e14265
das	w11_d763e14268
Pfund	w13_d763e14272
pr.	w1_d763e14277
54.	w3_d763e14280
kr.	w5_d763e14283
Fein	w7_d763e14286
fein,	w9_d763e14289
das	w11_d763e14292
Pf.	w13_d763e14296
pr.	w15_d763e14299
51.	w17_d763e14302
kr.	w19_d763e14305
Ord.	w21_d763e14308
fein,	w1_d763e14313
das	w3_d763e14316
Pf.	w5_d763e14319
pr.	w7_d763e14322
48.	w9_d763e14325
kr.	w11_d763e14328
Fein	w13_d763e14332
Raffinat,	w15_d763e14335
das	w17_d763e14338
Pf.	w19_d763e14341
</p>
<p id="p8_d763e14346">
Nr.	w1_d763e14350
46.	w3_d763e14353
kr.	w5_d763e14356
Mittel	w7_d763e14359
deto,	w9_d763e14362
das	w11_d763e14365
Pf.	w13_d763e14369
pr.	w15_d763e14372
44.	w17_d763e14375
kr.	w19_d763e14378
Ord.	w21_d763e14381
deto,	w1_d763e14386
das	w3_d763e14389
Pf.	w5_d763e14392
pr.	w7_d763e14395
42.	w9_d763e14398
kr.	w11_d763e14401
Fein	w13_d763e14405
klein	w15_d763e14408
Melis	w17_d763e14411
das	w19_d763e14414
Pf.	w21_d763e14417
pr.	w1_d763e14422
40.	w3_d763e14425
kr.	w5_d763e14428
Fein	w7_d763e14431
groß	w9_d763e14434
Melis,	w11_d763e14437
das	w13_d763e14441
Pf.	w15_d763e14444
pr.	w17_d763e14447
38.	w19_d763e14450
kr.	w21_d763e14453
Ord.	w1_d763e14459
Melis,	w3_d763e14462
das	w5_d763e14465
Pf.	w7_d763e14468
pr.	w9_d763e14471
36.	w11_d763e14474
kr.	w13_d763e14478
Lumpen,	w15_d763e14481
das	w17_d763e14484
Pf.	w19_d763e14487
pr.	w1_d763e14492
35	w3_d763e14495
kr.	w5_d763e14498
Fein	w7_d763e14501
weiß	w9_d763e14504
Candiß,	w11_d763e14507
das	w13_d763e14511
Pf.	w15_d763e14514
pr.	w17_d763e14517
58.	w19_d763e14520
kr.	w21_d763e14523
Ord.	w1_d763e14528
deto,	w3_d763e14531
das	w5_d763e14534
Pfund	w7_d763e14537
pr.	w9_d763e14540
55.	w11_d763e14543
kr.	w13_d763e14547
Fein	w15_d763e14550
gelb	w17_d763e14553
deto,	w19_d763e14556
das	w1_d763e14561
Pf.	w3_d763e14564
pr.	w5_d763e14567
46.	w7_d763e14570
kr.	w9_d763e14573
Ord.	w11_d763e14576
deto,	w13_d763e14580
das	w15_d763e14583
Pf.	w17_d763e14586
pr.	w19_d763e14589
44.	w21_d763e14592
kr.	w23_d763e14595
Fein	w1_d763e14601
braun	w3_d763e14604
deto,	w5_d763e14607
das	w7_d763e14610
Pf.	w9_d763e14613
pr.	w11_d763e14616
43.	w13_d763e14620
kr.	w15_d763e14623
Ord.	w17_d763e14626
deto,	w19_d763e14629
das	w1_d763e14634
Pf.	w3_d763e14637
pr.	w5_d763e14640
40.	w7_d763e14643
kr.	w9_d763e14646
</p>
<p id="p10_d763e14649">
Von	w1_d763e14653
der	w3_d763e14656
Röm.	w5_d763e14659
Kais.	w7_d763e14662
Kön.	w9_d763e14665
Apost.	w11_d763e14668
Majest.	w13_d763e14672
rc.	w15_d763e14675
Jn	w1_d763e14680
der	w3_d763e14683
Jud	w5_d763e14686
Samuel	w7_d763e14689
und	w9_d763e14692
Emanuel	w11_d763e14695
Oppenheime	w13_d763e14699
rischen	w1_d763e14704
Verlassenschafts=abhandlungs=sache	w3_d763e14707
aller	w5_d763e14710
gnädigst	w1_d763e14716
angeordneten	w3_d763e14719
Hof=commißion	w5_d763e14722
wegen,	w7_d763e14725
wird	w1_d763e14730
mittelst	w3_d763e14733
gegenwärtig	w5_d763e14736
offenem	w7_d763e14739
Edict	w9_d763e14742
jeder	w11_d763e14745
männiglich	w1_d763e14750
kund	w3_d763e14753
und	w5_d763e14756
zu	w7_d763e14759
wissen	w9_d763e14762
gemacht,	w11_d763e14765
wasge	w13_d763e14769
stalten	w1_d763e14774
der	w3_d763e14777
gerichtlich	w5_d763e14780
aufgestellte	w7_d763e14783
Samuel	w9_d763e14786
und	w11_d763e14789
Emanuel	w1_d763e14795
Oppenheimische	w3_d763e14798
Massa	w5_d763e14801
Curator	w7_d763e14804
ad	w9_d763e14807
lites	w11_d763e14810
zu	w1_d763e14815
bald	w3_d763e14818
möglichster	w5_d763e14821
Beendigung	w7_d763e14824
dieser	w9_d763e14827
bereits	w11_d763e14830
vie	w13_d763e14834
le	w1_d763e14839
Jahre	w3_d763e14842
her	w5_d763e14845
fürdaurender	w7_d763e14848
Oppenheimischen	w9_d763e14851
Cri	w11_d763e14854
dä=sache	w1_d763e14859
bey	w3_d763e14862
dieser	w5_d763e14865
Kais.	w7_d763e14868
Königl.	w9_d763e14871
Hofcommis	w11_d763e14874
sion	w1_d763e14880
gehorsamst	w3_d763e14883
gebetten,	w5_d763e14886
womit	w7_d763e14889
in	w9_d763e14892
eine	w11_d763e14895
nochma	w13_d763e14899
lige	w1_d763e14904
Licitirung	w3_d763e14907
des	w5_d763e14910
der	w7_d763e14913
Oppenheimischen	w9_d763e14916
Massä	w11_d763e14919
zum	w1_d763e14924
Theil	w3_d763e14927
angehörigen	w5_d763e14930
sogenannten	w7_d763e14933
Neutwichi	w9_d763e14936
schen	w1_d763e14941
zu	w3_d763e14944
Maria	w5_d763e14947
Hülf	w7_d763e14950
liegenden	w9_d763e14953
