<doc id="wr_1760-04-02" attrs="word" year="1760" month="04" day="02" corpus="2">
<head id="h2_d437e3044">
Civitavechia	w1_d437e3048
gegen,	w1_d437e6692
und	w3_d437e6695
oberhalb	w5_d437e6698
Würzburg	w7_d437e6701
ausbreiten,	w9_d437e6704
und	w1_d437e6709
daß	w3_d437e6712
Neustadt	w5_d437e6715
an	w7_d437e6718
der	w9_d437e6721
Saale	w11_d437e6724
von	w13_d437e6728
ihnen	w15_d437e6731
geplündert	w1_d437e6736
worden.	w3_d437e6739
Die	w5_d437e6742
eigentliche	w7_d437e6745
Absicht	w9_d437e6748
dieses	w1_d437e6753
Corps	w3_d437e6756
muß	w5_d437e6759
sich	w7_d437e6762
jedoch	w9_d437e6765
in	w11_d437e6768
kurzer	w13_d437e6772
Zeit	w15_d437e6775
aufklären.	w1_d437e6781
Die	w3_d437e6784
meiste	w5_d437e6787
Nachrichten	w7_d437e6790
stim	w9_d437e6793
men	w1_d437e6798
auch	w3_d437e6801
darüber	w5_d437e6804
überein,	w7_d437e6807
daß	w9_d437e6810
die	w11_d437e6813
Preus	w13_d437e6817
sische	w1_d437e6822
Armee	w3_d437e6825
in	w5_d437e6828
Sachsen	w7_d437e6831
den	w9_d437e6834
15.	w11_d437e6837
dieses,	w13_d437e6841
bereits	w1_d437e6846
ihre	w3_d437e6849
Operationen	w5_d437e6852
anfangen	w7_d437e6855
sollen.	w9_d437e6858
Jndessen	w1_d437e6864
ist	w3_d437e6867
es	w5_d437e6870
in	w7_d437e6873
der	w9_d437e6876
Wetterau	w11_d437e6879
völlig	w13_d437e6883
ru	w15_d437e6886
hig,	w1_d437e6891
und	w3_d437e6894
die	w5_d437e6897
Französische	w7_d437e6900
Trupen	w9_d437e6903
seynd	w11_d437e6906
auf	w13_d437e6910
alle	w1_d437e6915
Fälle	w3_d437e6918
in	w5_d437e6921
Bereitschaft.	w7_d437e6924
Nicht	w9_d437e6927
nur	w11_d437e6930
seynd	w13_d437e6934
ihre	w1_d437e6939
verschiedene	w3_d437e6942
Quartiere	w5_d437e6945
näher	w7_d437e6948
zusammen	w9_d437e6951
gezogen,	w1_d437e6957
sondern	w3_d437e6960
auch	w5_d437e6963
überhaupt	w7_d437e6966
solche	w9_d437e6969
Vor	w11_d437e6972
kehrungen	w1_d437e6977
gemacht,	w3_d437e6980
daß	w5_d437e6983
die	w7_d437e6986
Trupen	w9_d437e6989
in	w11_d437e6992
we	w13_d437e6996
nig	w1_d437e7001
Stunden	w3_d437e7004
beysammen	w5_d437e7007
seyn	w7_d437e7010
können.	w9_d437e7013
Das	w11_d437e7016
alliirte	w1_d437e7021
Haupt=quartier	w3_d437e7024
soll,	w5_d437e7027
dem	w7_d437e7030
Vernehmen	w9_d437e7033
nach,	w1_d437e7039
nach	w3_d437e7042
Marburg	w5_d437e7045
verlegt	w7_d437e7048
werden,	w9_d437e7051
oder	w11_d437e7054
wol	w1_d437e7059
gar	w3_d437e7062
würklich	w5_d437e7065
dahin	w7_d437e7068
verlegt	w9_d437e7071
seyn,	w11_d437e7074
auch	w13_d437e7078
des	w1_d437e7083
Prinzens	w3_d437e7086
Ferdinand	w5_d437e7089
Durchl.	w7_d437e7092
sich	w9_d437e7095
per	w11_d437e7098
sönlich	w1_d437e7103
bey	w3_d437e7106
dem	w5_d437e7109
nach	w7_d437e7112
Franken	w9_d437e7115
vorrückenden	w11_d437e7118
Corps	w1_d437e7124
befinden.	w3_d437e7127
</p>
<head id="h2_d437e7133">
Brüssel	w1_d437e7137
16.	w3_d437e7140
März.	w5_d437e7143
</head>
<p id="p4_d437e7146">
Die	w1_d437e7150
Land=stände	w3_d437e7153
von	w5_d437e7156
dem	w7_d437e7159
Herzogtum	w9_d437e7162
Luxemburg	w1_d437e7167
bringen	w3_d437e7170
in	w5_d437e7173
ihrer	w7_d437e7176
Landschaft	w9_d437e7179
1500.	w11_d437e7182
Recruten	w1_d437e7187
zusammen,	w3_d437e7190
welche	w5_d437e7193
sie	w7_d437e7196
der	w9_d437e7199
Kai	w11_d437e7202
serin	w1_d437e7208
Königin	w3_d437e7211
als	w5_d437e7214
ein	w7_d437e7217
freywilliges	w9_d437e7220
Geschenke	w11_d437e7223
darstellen	w1_d437e7228
wollen.	w3_d437e7231
Diese	w5_d437e7234
neu=Angeworbene	w7_d437e7237
sind	w1_d437e7242
bestimmet,	w3_d437e7245
die	w5_d437e7248
Regimenter	w7_d437e7251
von	w9_d437e7254
Ligne	w11_d437e7257
und	w1_d437e7262
Arberg	w3_d437e7265
vollständig	w5_d437e7268
zu	w7_d437e7271
machen.	w9_d437e7274
Die	w11_d437e7277
in	w1_d437e7283
denen	w3_d437e7286
hiesigen	w5_d437e7289
Gegenden	w7_d437e7292
liegende	w9_d437e7295
drey	w11_d437e7298
Teutsche	w1_d437e7303
Bataillons	w3_d437e7306
Kriegs=völcker,	w5_d437e7309
als	w7_d437e7312
eine	w9_d437e7315
Bataillon	w1_d437e7320
von	w3_d437e7323
Bayreuth,	w5_d437e7326
eine	w7_d437e7329
von	w9_d437e7332
Salm,	w11_d437e7335
und	w1_d437e7340
eine	w3_d437e7343
von	w5_d437e7346
Wied,	w7_d437e7349
werden	w9_d437e7352
noch	w11_d437e7355
in	w13_d437e7359
diesem	w15_d437e7362
Monat	w1_d437e7368
entweder	w3_d437e7371
nach	w5_d437e7374
Böhmen	w7_d437e7377
oder	w9_d437e7380
Sach	w11_d437e7383
sen	w1_d437e7388
aufbrechen.	w3_d437e7391
Das	w5_d437e7394
Regiment	w7_d437e7397
von	w9_d437e7400
Elsaß	w11_d437e7403
</p>
<p id="p10_d437e7416">
ist	w1_d437e7420
den	w3_d437e7423
13.	w5_d437e7426
dieses	w7_d437e7429
durch	w9_d437e7432
dies	w11_d437e7435
Stadt	w13_d437e7439
gezo	w15_d437e7442
gen,	w1_d437e7447
und	w3_d437e7450
stosset	w5_d437e7453
zu	w7_d437e7456
der	w9_d437e7459
Französischen	w11_d437e7462
Armee.	w13_d437e7466
Aus	w1_d437e7471
Lüttich	w3_d437e7474
meldet	w5_d437e7477
man:	w7_d437e7480
daß	w9_d437e7483
den	w11_d437e7486
7.	w13_d437e7490
der	w15_d437e7493
Herr	w1_d437e7499
Boyer	w3_d437e7502
dort	w5_d437e7505
angelanget,	w7_d437e7508
um	w9_d437e7511
den	w11_d437e7514
Platz	w13_d437e7518
des	w1_d437e7523
Herrn	w3_d437e7526
Dürant	w5_d437e7529
von	w7_d437e7532
Aubigny,	w9_d437e7535
Gesand	w11_d437e7538
tens	w1_d437e7543
von	w3_d437e7546
Sr.	w5_d437e7549
Allerchristlichsten	w7_d437e7552
Majestät	w9_d437e7555
bey	w1_d437e7560
diesem	w3_d437e7563
Hof	w5_d437e7566
zu	w7_d437e7569
besetzen.	w9_d437e7572
</p>
<head id="h2_d437e7578">
Frankfort	w1_d437e7582
23.	w3_d437e7585
März.	w5_d437e7588
</head>
<p id="p4_d437e7591">
Wie	w1_d437e7595
man	w3_d437e7598
nach	w5_d437e7601
denen	w7_d437e7604
beyderseitigen	w9_d437e7607
Be	w11_d437e7610
wegungen	w1_d437e7615
urtheilen	w3_d437e7618
kan,	w5_d437e7621
so	w7_d437e7624
scheinen	w9_d437e7627
nun	w11_d437e7630
die	w1_d437e7635
wichtigste	w3_d437e7638
Sachen	w5_d437e7641
auf	w7_d437e7644
dem	w9_d437e7647
Tapet	w11_d437e7650
zu	w13_d437e7654
seyn.	w1_d437e7660
Jn	w3_d437e7663
der	w5_d437e7666
hiesigen	w7_d437e7669
Gegend	w9_d437e7672
und	w11_d437e7675
Stadt	w13_d437e7679
sicht	w1_d437e7684
es	w3_d437e7687
Tag	w5_d437e7690
und	w7_d437e7693
Nacht	w9_d437e7696
sehr	w11_d437e7699
kriegerisch	w13_d437e7703
aus.	w1_d437e7708
Die	w3_d437e7711
Annäherung	w5_d437e7714
der	w7_d437e7717
Hanöveraner	w9_d437e7720
gegen	w1_d437e7725
das	w3_d437e7728
Würzburgische	w5_d437e7731
und	w7_d437e7734
in	w9_d437e7737
das	w11_d437e7740
Fran	w13_d437e7744
kenland	w1_d437e7750
ist	w3_d437e7753
als	w5_d437e7756
der	w7_d437e7759
erste	w9_d437e7762
Auftritt	w11_d437e7765
des	w13_d437e7769
dieß	w15_d437e7772
jährigen	w1_d437e7777
Feld=zugs	w3_d437e7780
zu	w5_d437e7783
betrachten.	w7_d437e7786
Vor	w9_d437e7789
gestern	w1_d437e7794
frühe	w3_d437e7797
ist	w5_d437e7800
der	w7_d437e7803
HerzoglichWürtem	w9_d437e7806
bergische	w1_d437e7811
General=major,	w3_d437e7814
Herr	w5_d437e7817
von	w7_d437e7820
Wolf	w9_d437e7823
von	w1_d437e7829
Wertheim	w3_d437e7832
nach	w5_d437e7835
Carlstadt	w7_d437e7838
abgegangen,	w9_d437e7841
um	w1_d437e7846
die	w3_d437e7849
Brigade	w5_d437e7852
anzuführen.	w7_d437e7855
Gestern	w9_d437e7858
zog	w11_d437e7861
das	w1_d437e7866
2.	w3_d437e7869
Bataillon	w5_d437e7872
von	w7_d437e7875
dem	w9_d437e7878
Prinzen	w11_d437e7881
Ludwig	w13_d437e7885
nach	w1_d437e7890
Remlingen.	w3_d437e7893
</p>
<head id="h2_d437e7899">
Aus	w1_d437e7903
dem	w3_d437e7906
Elsaß	w5_d437e7909
18.	w7_d437e7912
März.	w9_d437e7915
</head>
<p id="p4_d437e7918">
Das	w1_d437e7922
Regiment	w3_d437e7925
von	w5_d437e7928
Waldner,	w7_d437e7931
welches	w9_d437e7934
von	w1_d437e7939
der	w3_d437e7942
Armee	w5_d437e7945
in	w7_d437e7948
Teutschland	w9_d437e7951
zuruckge	w11_d437e7954
kommen,	w1_d437e7959
ist	w3_d437e7962
den	w5_d437e7965
9.	w7_d437e7968
des	w9_d437e7971
jetzt	w11_d437e7974
lauffenden	w13_d437e7978
Mo	w15_d437e7981
nats	w1_d437e7987
in	w3_d437e7990
Schlettstadt	w5_d437e7993
angelangt,	w7_d437e7996
um	w9_d437e7999
wiede	w11_d437e8002
rum	w1_d437e8007
ergäntzet	w3_d437e8010
zu	w5_d437e8013
werden,	w7_d437e8016
und	w9_d437e8019
den	w11_d437e8022
bey	w13_d437e8026
Dil	w15_d437e8029
lenburg	w1_d437e8034
erlittenen	w3_d437e8037
Verlust	w5_d437e8040
wieder	w7_d437e8043
zu	w9_d437e8046
erse	w11_d437e8049
tzen.	w1_d437e8054
Bey	w3_d437e8057
300.	w5_d437e8060
Mann,	w7_d437e8063
welche	w9_d437e8066
in	w11_d437e8069
der	w13_d437e8073
Affaire	w1_d437e8079
bey	w3_d437e8082
Dillenburg	w5_d437e8085
in	w7_d437e8088
die	w9_d437e8091
feindliche	w11_d437e8094
Kriegs=gefangenschaft	w1_d437e8099
gerahten,	w3_d437e8102
haben	w5_d437e8105
Mit	w7_d437e8108
tel	w1_d437e8113
gefunden	w3_d437e8116
loß	w5_d437e8119
zu	w7_d437e8122
kommen,	w9_d437e8125
und	w11_d437e8128
sich	w13_d437e8132
wie	w15_d437e8135
der	w1_d437e8140
bey	w3_d437e8143
ihren	w5_d437e8146
Fahnen	w7_d437e8149
eingestellt.	w9_d437e8152
Der	w11_d437e8155
Herr	w13_d437e8159
Graf	w1_d437e8165
von	w3_d437e8168
Waldner	w5_d437e8171
hat	w7_d437e8174
sich	w9_d437e8177
vor	w11_d437e8180
derselben	w13_d437e8184
Ankunft	w1_d437e8189
nacher	w3_d437e8192
Schlettstadt	w5_d437e8195
begeben,	w7_d437e8198
um	w9_d437e8201
sein	w1_d437e8206
Regiment	w3_d437e8209
zu	w5_d437e8212
empfangen,	w7_d437e8215
und	w9_d437e8218
es	w11_d437e8221
sobald	w13_d437e8225
möglich	w1_d437e8230
wiederum	w3_d437e8233
zu	w5_d437e8236
ergänzen.	w7_d437e8239
Um	w9_d437e8242
gegen	w11_d437e8245
diese	w1_d437e8251
Soldaten	w3_d437e8254
sein	w5_d437e8257
Vergnügen	w7_d437e8260
über	w9_d437e8263
ihre	w11_d437e8266
erzeigte	w1_d437e8271
Bravour	w3_d437e8274
an	w5_d437e8277
den	w7_d437e8280
Tag	w9_d437e8283
zu	w11_d437e8286
legen,	w13_d437e8290
hat	w15_d437e8293
er	w1_d437e8298
denenselben	w3_d437e8301
bey	w5_d437e8304
ihrer	w7_d437e8307
Ankunft	w9_d437e8310
Brod,	w11_d437e8313
Wein	w1_d437e8318
und	w3_d437e8321
Fleisch	w5_d437e8324
geben	w7_d437e8327
lassen.	w9_d437e8330
Dieses	w11_d437e8333
</p>
<p id="p6_d437e8336">
chweitzeregiment	w1_d437e8340
hat,	w3_d437e8343
seit	w5_d437e8346
Anfang	w7_d437e8349
des	w9_d437e8352
gegenwürtigen	w1_d437e8357
Krieges,	w3_d437e8360
schon	w5_d437e8363
vieles	w7_d437e8366
aus	w9_d437e8369
gestanden,	w1_d437e8374
und	w3_d437e8377
sich	w5_d437e8380
in	w7_d437e8383
verschiedenen	w9_d437e8386
Schlach	w11_d437e8389
ten	w1_d437e8395
besonders	w3_d437e8398
hervorgethan.	w5_d437e8401
</p>
<head id="h2_d437e8407">
Dresden	w1_d437e8411
24.	w3_d437e8414
März.	w5_d437e8417
</head>
<p id="p4_d437e8420">
Es	w1_d437e8424
haben	w3_d437e8427
Se.	w5_d437e8430
des	w7_d437e8433
Herrn	w9_d437e8436
Generalfeld	w11_d437e8439
marschalls	w1_d437e8444
Grafens	w3_d437e8447
von	w5_d437e8450
Daun	w7_d437e8453
Excellenz	w9_d437e8456
um	w1_d437e8461
einer	w3_d437e8464
freyern	w5_d437e8467
und	w7_d437e8470
gesündern	w9_d437e8473
Luft	w11_d437e8476
zu	w13_d437e8480
ge	w15_d437e8483
niessen,	w1_d437e8489
anheute	w3_d437e8492
dero	w5_d437e8495
Quartier	w7_d437e8498
auf	w9_d437e8501
der	w11_d437e8504
Fe	w13_d437e8508
stung	w1_d437e8513
Sonnenstein	w3_d437e8516
zu	w5_d437e8519
nehmen	w7_d437e8522
sich	w9_d437e8525
gefallen	w11_d437e8528
lassen,	w1_d437e8533
nachdem	w3_d437e8536
durch	w5_d437e8539
die	w7_d437e8542
Vorsorge	w9_d437e8545
und	w11_d437e8548
besondere	w1_d437e8553
Aufmerksamkeit	w3_d437e8556
des	w5_d437e8559
dasigen	w7_d437e8562
Herrn	w9_d437e8565
Commandanten	w1_d437e8571
zu	w3_d437e8574
solchem	w5_d437e8577
Ende	w7_d437e8580
einige	w9_d437e8583
Zim	w11_d437e8586
mer	w1_d437e8591
in	w3_d437e8594
der	w5_d437e8597
Geschwindigkeit	w7_d437e8600
repariret	w9_d437e8603
und	w11_d437e8606
meubliret	w1_d437e8611
worden.	w3_d437e8614
</p>
<p id="p6_d437e8617">
Wie	w1_d437e8621
verlautet,	w3_d437e8624
dürfte	w5_d437e8627
der	w7_d437e8630
König	w9_d437e8633
in	w11_d437e8636
Preus	w13_d437e8640
sen	w1_d437e8645
sein	w3_d437e8648
Haupt=quartier	w5_d437e8651
nächsten	w7_d437e8654
nach	w9_d437e8657
Gerst	w11_d437e8660
dorf,	w1_d437e8665
unweit	w3_d437e8668
Nossen,	w5_d437e8671
verlegen,	w7_d437e8674
und	w9_d437e8677
sich	w11_d437e8680
mit	w1_d437e8686
einen	w3_d437e8689
Theil	w5_d437e8692
der	w7_d437e8695
Armee	w9_d437e8698
in	w11_d437e8701
dasige	w13_d437e8705
Ge	w15_d437e8708
gend	w1_d437e8713
feste	w3_d437e8716
zu	w5_d437e8719
setzen	w7_d437e8722
suchen,	w9_d437e8725
und	w11_d437e8728
geben	w13_d437e8732
über	w15_d437e8735
dieses	w1_d437e8740
alle	w3_d437e8743
Nachrichten,	w5_d437e8746
daß	w7_d437e8749
von	w9_d437e8752
der	w11_d437e8755
feind	w13_d437e8759
lichen	w1_d437e8764
Armee	w3_d437e8767
14.	w5_d437e8770
Bataillons	w7_d437e8773
successive	w9_d437e8776
nach	w11_d437e8779
Schlesien	w1_d437e8785
abgegangen	w3_d437e8788
wären.	w5_d437e8791
Am	w7_d437e8794
17.	w9_d437e8797
dieses	w1_d437e8802
ist	w3_d437e8805
ein	w5_d437e8808
Preußischer	w7_d437e8811
Leutenant	w9_d437e8814
von	w11_d437e8817
der	w13_d437e8821
Frey=parthie	w1_d437e8826
in	w3_d437e8829
dem	w5_d437e8832
Haupt=quartier	w7_d437e8835
zu	w9_d437e8838
Pir	w11_d437e8841
na	w1_d437e8846
mit	w3_d437e8849
einiger	w5_d437e8852
Mannschaft,	w7_d437e8855
als	w9_d437e8858
Deser	w11_d437e8861
teur,	w1_d437e8867
angelanget,	w3_d437e8870
welchen	w5_d437e8873
man	w7_d437e8876
aber	w9_d437e8879
auf	w11_d437e8882
hohen	w1_d437e8887
Befehl	w3_d437e8890
sofort	w5_d437e8893
arretiret.	w7_d437e8896
</p>
<p id="p8_d437e8899">
Das	w1_d437e8903
von	w3_d437e8906
dem	w5_d437e8909
Feind	w7_d437e8912
verlassene	w9_d437e8915
Görlit	w11_d437e8918
wird	w1_d437e8923
nunmehro	w3_d437e8926
von	w5_d437e8929
denen	w7_d437e8932
Pohlnischen	w9_d437e8935
Uhla	w11_d437e8938
nen	w1_d437e8943
besetzt	w3_d437e8946
gehalten,	w5_d437e8949
welche	w7_d437e8952
dem	w9_d437e8955
Gegentheil	w11_d437e8958
bey	w1_d437e8964
allen	w3_d437e8967
sich	w5_d437e8970
fast	w7_d437e8973
täglich	w9_d437e8976
darbietenden	w11_d437e8979
Ge	w13_d437e8983
legenheiten	w1_d437e8988
möglichsten	w3_d437e8991
Abbruch	w5_d437e8994
thun.	w7_d437e8997
</p>
<head id="h2_d437e9004">
Rheinstrom	w1_d437e9008
21.	w3_d437e9011
März.	w5_d437e9014
</head>
<p id="p4_d437e9017">
Zufolg	w1_d437e9021
Briefen	w3_d437e9024
von	w5_d437e9027
Paderborn	w7_d437e9030
unterm	w9_d437e9033
3.	w1_d437e9038
März	w3_d437e9041
datiret,	w5_d437e9044
wird	w7_d437e9047
alle	w9_d437e9050
Kriegs=macht	w11_d437e9053
deren	w1_d437e9058
Alliirten	w3_d437e9061
nach	w5_d437e9064
der	w7_d437e9067
Lahne	w9_d437e9070
und	w11_d437e9073
dem	w13_d437e9077
Maynstrohm	w1_d437e9083
gezogen	w3_d437e9086
werden,	w5_d437e9089
der	w7_d437e9092
Krieg	w9_d437e9095
an	w11_d437e9098
dem	w1_d437e9103
Nieder=rhein	w3_d437e9106
wird	w5_d437e9109
als	w7_d437e9112
eine	w9_d437e9115
Diversion	w11_d437e9118
angesehen,	w1_d437e9123
wogegen	w3_d437e9126
man	w5_d437e9129
Alliirter	w7_d437e9132
Seits	w9_d437e9135
trachten	w1_d437e9140
wird	w3_d437e9143
sich	w5_d437e9146
in	w7_d437e9149
guten	w9_d437e9152
Verthätigungs	w11_d437e9155
stand	w1_d437e9161
zu	w3_d437e9164
setzen,	w5_d437e9167
Hameln	w7_d437e9170
wird	w9_d437e9173
befestiget,	w11_d437e9176
und	w13_d437e9180
</p>
<p id="p8_d437e9185">
der	w1_d437e9189
Graf	w3_d437e9192
von	w5_d437e9195
der	w7_d437e9198
Lippe	w9_d437e9201
buckburg	w11_d437e9204
verspricht	w13_d437e9208
sich	w1_d437e9213
einen	w3_d437e9216
ansehentlichen	w5_d437e9219
Festungs=platz	w7_d437e9222
da	w9_d437e9225
raus	w1_d437e9230
zu	w3_d437e9233
machen;	w5_d437e9236
das	w7_d437e9239
Corps,	w9_d437e9242
welches	w11_d437e9245
aus	w13_d437e9249
England	w1_d437e9255
erwartet	w3_d437e9258
wird,	w5_d437e9261
soll	w7_d437e9264
in	w9_d437e9267
dem	w11_d437e9270
Cur	w13_d437e9274
fürstentum	w1_d437e9279
Hanover	w3_d437e9282
und	w5_d437e9285
denen	w7_d437e9288
angränzen	w9_d437e9291
den	w1_d437e9296
Landen	w3_d437e9299
zurück	w5_d437e9302
bleiben,	w7_d437e9305
es	w9_d437e9308
wird	w11_d437e9311
versichert,	w13_d437e9315
daß	w1_d437e9320
das	w3_d437e9323
Groß=brittanische	w5_d437e9326
Ministerium	w7_d437e9329
bey	w9_d437e9332
erfolgender	w1_d437e9338
Absendung	w3_d437e9341
dieses	w5_d437e9344
Corps	w7_d437e9347
begeh	w9_d437e9350
ret	w1_d437e9355
habe,	w3_d437e9358
daß	w5_d437e9361
man	w7_d437e9364
solches	w9_d437e9367
nicht	w11_d437e9370
gar	w13_d437e9374
zu	w15_d437e9377
weit	w1_d437e9382
in	w3_d437e9385
Teutschland	w5_d437e9388
solte	w7_d437e9391
vorrucken	w9_d437e9394
lassen,	w11_d437e9397
um	w1_d437e9402
nicht	w3_d437e9405
Ursach	w5_d437e9408
zu	w7_d437e9411
geben,	w9_d437e9414
daß	w11_d437e9417
selbiges	w13_d437e9421
von	w15_d437e9424
dem	w1_d437e9430
Meer	w3_d437e9433
möchte	w5_d437e9436
abgeschnitten	w7_d437e9439
werden.	w9_d437e9442
</p>
<p id="p10_d437e9445">
Die	w1_d437e9449
Feld=marschalls=würde	w3_d437e9452
des	w5_d437e9455
neuen	w7_d437e9458
regierenden	w1_d437e9463
Land=grafens	w3_d437e9466
von	w5_d437e9469
Hessen=cassel	w7_d437e9472
machet	w1_d437e9477
auch	w3_d437e9480
viel	w5_d437e9483
zu	w7_d437e9486
schaffen,	w9_d437e9489
massen	w11_d437e9492
der	w13_d437e9496
Prinz	w1_d437e9502
Ferdinand	w3_d437e9505
von	w5_d437e9508
Braunschweig	w7_d437e9511
nicht	w9_d437e9514
scheinet	w1_d437e9519
dahin	w3_d437e9522
geneigt	w5_d437e9525
zu	w7_d437e9528
seyn	w9_d437e9531
als	w11_d437e9534
2ter	w13_d437e9538
Feld=herr	w1_d437e9543
zu	w3_d437e9546
commandiren.	w5_d437e9549
</p>
<head id="h2_d437e9555">
Rostock	w1_d437e9559
4.	w3_d437e9562
März.	w5_d437e9565
</head>
<p id="p4_d437e9568">
Es	w1_d437e9572
ist	w3_d437e9575
nun	w5_d437e9578
ohne	w7_d437e9581
Zweifel,	w9_d437e9584
daß	w11_d437e9587
ein	w13_d437e9591
be	w15_d437e9594
trächtlich	w1_d437e9599
Rußisches	w3_d437e9602
Corps	w5_d437e9605
nach	w7_d437e9608
Pommern	w9_d437e9611
und	w1_d437e9616
ins	w3_d437e9619
Brandenburgische	w5_d437e9622
kommen	w7_d437e9625
werde,	w9_d437e9628
Ein	w1_d437e9634
grosse	w3_d437e9637
Anzahl	w5_d437e9640
Fahr=zeugen	w7_d437e9643
ist	w9_d437e9646
in	w11_d437e9649
denen	w13_d437e9653
Petersburg	w1_d437e9658
und	w3_d437e9661
Liefländischen	w5_d437e9664
Häfen,	w7_d437e9667
wo	w9_d437e9670
sie	w11_d437e9673
mit	w1_d437e9678
vielen	w3_d437e9681
Mund	w5_d437e9684
und	w7_d437e9687
Kriegs=bedürfnüssen	w9_d437e9690
beladen.	w1_d437e9695
Jn	w3_d437e9698
denen	w5_d437e9701
Quartieren	w7_d437e9704
der	w9_d437e9707
Rußi	w11_d437e9710
schen	w1_d437e9716
Armee	w3_d437e9719
ist	w5_d437e9722
alles	w7_d437e9725
in	w9_d437e9728
Bewegung,	w11_d437e9731
und	w13_d437e9735
man	w1_d437e9740
ist	w3_d437e9743
versichert,	w5_d437e9746
daß	w7_d437e9749
sie	w9_d437e9752
bey	w11_d437e9755
Wiederkunft	w13_d437e9759
Sr.	w1_d437e9764
Excellenz	w3_d437e9767
des	w5_d437e9770
Herrn	w7_d437e9773
Generals	w9_d437e9776
Soltikof	w11_d437e9779
marschfertig	w1_d437e9784
seyn	w3_d437e9787
werde.	w5_d437e9790
Die	w7_d437e9793
Convention	w9_d437e9796
von	w1_d437e9802
Bütow	w3_d437e9805
ist	w5_d437e9808
noch	w7_d437e9811
nicht	w9_d437e9814
von	w11_d437e9817
dem	w13_d437e9821
Rußi	w15_d437e9824
schen	w1_d437e9829
Hof	w3_d437e9832
genehmiget	w5_d437e9835
worden,	w7_d437e9838
indem	w9_d437e9841
Se.	w11_d437e9844
Kaiserliche	w1_d437e9849
Majestät	w3_d437e9852
wollen,	w5_d437e9855
daß	w7_d437e9858
darinnen	w9_d437e9861
die	w1_d437e9866
Auswechselung	w3_d437e9869
nur	w5_d437e9872
für	w7_d437e9875
die	w9_d437e9878
Gefangene,	w11_d437e9881
so	w1_d437e9887
geborne	w3_d437e9890
Unterthanen	w5_d437e9893
des	w7_d437e9896
Königs	w9_d437e9899
von	w11_d437e9902
Preussen	w1_d437e9907
seynd,	w3_d437e9910
stipulirt	w5_d437e9913
werde,	w7_d437e9916
dahinge	w9_d437e9919
gen	w1_d437e9924
dieser	w3_d437e9927
Monarch	w5_d437e9930
verlanget,	w7_d437e9933
daß	w9_d437e9936
sowol	w11_d437e9939
die	w1_d437e9944
Freywillige	w3_d437e9947
als	w5_d437e9950
gezwungene	w7_d437e9953
Leute,	w9_d437e9956
die	w11_d437e9959
unter	w1_d437e9965
seinen	w3_d437e9968
Fahnen	w5_d437e9971
gedienet	w7_d437e9974
haben,	w9_d437e9977
ihm	w11_d437e9980
wieder	w1_d437e9985
heraus	w3_d437e9988
gegeben	w5_d437e9991
werden	w7_d437e9994
sollen.	w9_d437e9997
</p>
<head id="h2_d437e10003">
Posen	w1_d437e10007
5.	w3_d437e10010
März.	w5_d437e10013
</head>
<p id="p4_d437e10016">
Durch	w1_d437e10020
die	w3_d437e10023
Rußische	w5_d437e10026
Kriegs=commißarien	w7_d437e10029
seynd	w1_d437e10034
mehr	w3_d437e10037
als	w5_d437e10040
300.	w7_d437e10043
Transport=schiffe	w9_d437e10046
ge	w11_d437e10049
</p>
<p id="p6_d437e10052">
mieket	w1_d437e10056
worden,	w3_d437e10059
welche	w5_d437e10062
mit	w7_d437e10065
allerley	w9_d437e10068
Gat	w11_d437e10071
tungen	w1_d437e10076
von	w3_d437e10079
grobem	w5_d437e10082
Geschütz,	w7_d437e10085
einer	w9_d437e10088
un	w11_d437e10091
glaublichen	w1_d437e10096
Menge	w3_d437e10099
von	w5_d437e10102
Pulfer	w7_d437e10105
rc.	w9_d437e10108
beladen	w11_d437e10111
nach	w1_d437e10117
der	w3_d437e10120
Seite	w5_d437e10123
des	w7_d437e10126
Oder=strohms	w9_d437e10129
abseege	w11_d437e10132
len	w1_d437e10137
sollen,	w3_d437e10140
um	w5_d437e10143
zum	w7_d437e10146
Dienst	w9_d437e10149
der	w11_d437e10152
unter	w13_d437e10156
Com	w15_d437e10159
mando	w1_d437e10164
Sr.	w3_d437e10167
Excellenz	w5_d437e10170
des	w7_d437e10173
Herrn	w9_d437e10176
Feldmar	w11_d437e10179
schall	w1_d437e10184
Grafens	w3_d437e10187
von	w5_d437e10190
Soltikof	w7_d437e10193
stehenden	w9_d437e10196
Ar	w11_d437e10199
mee	w1_d437e10205
ausgeladen	w3_d437e10208
zu	w5_d437e10211
werden;	w7_d437e10214
man	w9_d437e10217
will,	w11_d437e10220
daß	w13_d437e10224
die	w1_d437e10229
Belagerung	w3_d437e10232
von	w5_d437e10235
Collberg	w7_d437e10238
durch	w9_d437e10241
die	w11_d437e10244
Ruß	w13_d437e10248
sische	w1_d437e10253
Generalität	w3_d437e10256
fest	w5_d437e10259
beschlossen	w7_d437e10262
seye,	w9_d437e10265
weil	w11_d437e10268
die	w1_d437e10273
Bemächtigung	w3_d437e10276
dieser	w5_d437e10279
Festung	w7_d437e10282
für	w9_d437e10285
sehr	w11_d437e10288
wichtig	w1_d437e10294
angesehen	w3_d437e10297
wird,	w5_d437e10300
hauptsächlich	w7_d437e10303
we	w9_d437e10306
gen	w1_d437e10311
der	w3_d437e10314
bequemen	w5_d437e10317
