<doc id="wr_1758-09-06" attrs="word" year="1758" month="09" day="06" corpus="2">
<head id="h2_d276e3771">
Leipzig	w1_d276e3775
selbigen	w5_d276e7434
Tags	w7_d276e7437
die	w9_d276e7440
Forts	w11_d276e7443
Querque	w13_d276e7447
ville,	w1_d276e7453
Homet	w3_d276e7456
und	w5_d276e7459
Galette	w7_d276e7462
eingenommen,	w9_d276e7465
und	w11_d276e7468
die	w1_d276e7473
Engländische	w3_d276e7476
Flagge	w5_d276e7479
aufgepflanzet;	w7_d276e7482
und	w9_d276e7485
nunmehro	w1_d276e7490
schicke	w3_d276e7493
man	w5_d276e7496
sich	w7_d276e7499
an,	w9_d276e7502
das	w11_d276e7505
Baßin	w13_d276e7509
und	w1_d276e7514
den	w3_d276e7517
Mole	w5_d276e7520
am	w7_d276e7523
Eingang	w9_d276e7526
des	w11_d276e7529
Hafens,	w13_d276e7533
in	w1_d276e7539
welchem	w3_d276e7542
27.	w5_d276e7545
Schiffe	w7_d276e7548
gefunden	w9_d276e7551
worden	w11_d276e7554
wären,	w1_d276e7559
zu	w3_d276e7562
ruiniren:	w5_d276e7565
unter	w7_d276e7568
andern	w9_d276e7571
habe	w11_d276e7574
man	w13_d276e7578
einige	w1_d276e7583
gegossene	w3_d276e7586
Canonen	w5_d276e7589
erbeutet.	w7_d276e7592
Der	w9_d276e7595
Commendant	w1_d276e7600
Howe	w3_d276e7603
lige	w5_d276e7606
mit	w7_d276e7609
seiner	w9_d276e7612
Flotte	w11_d276e7615
in	w1_d276e7621
dem	w3_d276e7624
Hafen	w5_d276e7627
vor	w7_d276e7630
Cherbourg,	w9_d276e7633
und	w11_d276e7636
der	w13_d276e7640
Prinz	w15_d276e7643
Eduard	w1_d276e7648
habe	w3_d276e7651
am	w5_d276e7654
9.	w7_d276e7657
Vormittags,	w9_d276e7660
in	w11_d276e7663
Be	w13_d276e7667
gleitung	w1_d276e7672
des	w3_d276e7675
Chefs	w5_d276e7678
d'Efcadre,	w7_d276e7681
seinen	w9_d276e7684
Ein	w11_d276e7687
zug	w1_d276e7692
in	w3_d276e7695
der	w5_d276e7698
Stadt	w7_d276e7701
gehalten.	w9_d276e7704
Zu	w11_d276e7707
Unterhal	w13_d276e7711
tung	w1_d276e7717
unserer	w3_d276e7720
dortigen	w5_d276e7723
Trupen	w7_d276e7726
wird	w9_d276e7729
eine	w11_d276e7732
Menge	w1_d276e7737
Lebens=mittel	w3_d276e7740
und	w5_d276e7743
Fourage	w7_d276e7746
einge	w9_d276e7749
schiffet,	w1_d276e7754
und	w3_d276e7757
3.	w5_d276e7760
Kriegs=schiffe	w7_d276e7763
sollen	w9_d276e7766
diesen	w11_d276e7769
Transport	w1_d276e7774
bedecken;	w3_d276e7777
auch	w5_d276e7780
wird	w7_d276e7783
man	w9_d276e7786
un	w11_d276e7789
verzüglich	w1_d276e7795
3.	w3_d276e7798
Escadronen	w5_d276e7801
leichter	w7_d276e7804
Cavalierie	w9_d276e7807
zu	w1_d276e7812
Portsmout	w3_d276e7815
einschiffen	w5_d276e7818
und	w7_d276e7821
nach	w9_d276e7824
Cher	w11_d276e7827
bourg	w1_d276e7832
übersetzen.	w3_d276e7835
</p>
<p id="p18_d276e7838">
Die	w1_d276e7842
von	w3_d276e7845
dem	w5_d276e7848
Admiral	w7_d276e7851
Boscawen	w9_d276e7854
abge	w11_d276e7857
schickte	w1_d276e7862
Capitains,	w3_d276e7865
Edgecumbe	w5_d276e7868
und	w7_d276e7871
Amhorst	w9_d276e7874
seynd	w1_d276e7879
am	w3_d276e7882
hiesigen	w5_d276e7885
Hofe	w7_d276e7888
mit	w9_d276e7891
der	w11_d276e7894
erfreulichen	w13_d276e7898
Zeitung	w1_d276e7904
angelanget:	w3_d276e7907
daß	w5_d276e7910
den	w7_d276e7913
26.	w9_d276e7916
Julii	w11_d276e7919
der	w13_d276e7923
Ritter	w1_d276e7928
Drücourt,	w3_d276e7931
Gouverneur	w5_d276e7934
von	w7_d276e7937
Louis	w9_d276e7940
burg	w1_d276e7945
den	w3_d276e7948
Platz	w5_d276e7951
unter	w7_d276e7954
folgenden	w9_d276e7957
Bedingun	w11_d276e7960
gen	w1_d276e7965
an	w3_d276e7968
unsere	w5_d276e7971
Trupen	w7_d276e7974
übergeben	w9_d276e7977
habe:	w11_d276e7980
</p>
<p id="p20_d276e7983">
1.)	w1_d276e7987
Daß	w3_d276e7990
die	w5_d276e7993
in	w7_d276e7996
5637.	w9_d276e7999
Mann	w11_d276e8002
bestehen	w13_d276e8006
de	w1_d276e8011
Garnison	w3_d276e8014
Kriegs=gefangene	w5_d276e8017
seyn	w7_d276e8020
sollen.	w9_d276e8023
2.)	w1_d276e8028
Daß	w3_d276e8031
man	w5_d276e8034
alle	w7_d276e8037
Ammunition	w9_d276e8040
und	w11_d276e8043
sämt	w13_d276e8047
liches	w1_d276e8053
Gewehr	w3_d276e8056
von	w5_d276e8059
der	w7_d276e8062
Stadt	w9_d276e8065
und	w11_d276e8068
ganzen	w13_d276e8072
Jnsul	w1_d276e8077
denen	w3_d276e8080
Engländischen	w5_d276e8083
Commissarien	w7_d276e8086
überliefern	w1_d276e8091
werde.	w3_d276e8094
3.)	w5_d276e8097
Daß	w7_d276e8100
der	w9_d276e8103
Gouver	w11_d276e8106
neur	w1_d276e8111
allen	w3_d276e8114
Trupen	w5_d276e8117
der	w7_d276e8120
Jnsul	w9_d276e8123
befohlen,	w11_d276e8126
sich	w13_d276e8130
auf	w1_d276e8136
das	w3_d276e8139
Kriegs=schif	w5_d276e8142
zu	w7_d276e8145
begeben,	w9_d276e8148
welches	w11_d276e8151
der	w1_d276e8156
Herr	w3_d276e8159
Admiral	w5_d276e8162
für	w7_d276e8165
sie	w9_d276e8168
bestimmet.	w11_d276e8171
4.)	w13_d276e8175
Daß	w1_d276e8180
den	w3_d276e8183
27.	w5_d276e8186
früh	w7_d276e8189
um	w9_d276e8192
8.	w11_d276e8195
Uhr	w13_d276e8199
das	w15_d276e8202
Dau	w17_d276e8205
phinen=thor	w1_d276e8210
denen	w3_d276e8213
Groß=brittannischen	w5_d276e8216
Tru	w7_d276e8219
pen	w1_d276e8225
einge=räumet	w3_d276e8228
werde,	w5_d276e8231
und	w7_d276e8234
alle	w9_d276e8237
diejeni	w11_d276e8240
gen,	w1_d276e8245
so	w3_d276e8248
Gewehr	w5_d276e8251
trogen,	w7_d276e8254
solches	w9_d276e8257
Mittens	w11_d276e8260
</p>
<p id="p24_d276e8266">
auf	w1_d276e8270
der	w3_d276e8273
Esplananade	w5_d276e8276
strecken,	w7_d276e8279
die	w9_d276e8282
Garnisons	w11_d276e8285
aber	w1_d276e8290
an	w3_d276e8293
Bord	w5_d276e8296
gehen	w7_d276e8299
sollen,	w9_d276e8302
um	w11_d276e8305
nach	w13_d276e8309
Eng	w15_d276e8312
England	w1_d276e8317
überbracht	w3_d276e8320
zu	w5_d276e8323
werden.	w7_d276e8326
5.)	w9_d276e8329
Daß	w11_d276e8332
man	w1_d276e8338
für	w3_d276e8341
die	w5_d276e8344
Verwundete	w7_d276e8347
und	w9_d276e8350
Kranke	w11_d276e8353
be	w13_d276e8357
hörige	w1_d276e8362
Sorgfalt	w3_d276e8365
trage.	w5_d276e8368
6.)	w7_d276e8371
Daß	w9_d276e8374
man	w11_d276e8377
die	w13_d276e8381
Kaufleute	w1_d276e8386
und	w3_d276e8389
ihre	w5_d276e8392
Bediente	w7_d276e8395
nach	w9_d276e8398
Frank	w11_d276e8401
reich	w1_d276e8406
sende,	w3_d276e8409
wohin	w5_d276e8412
es	w7_d276e8415
dem	w9_d276e8418
Herrn	w11_d276e8421
Admiral	w13_d276e8425
beliebt.	w1_d276e8431
</p>
<p id="p26_d276e8434">
Man	w1_d276e8438
hat	w3_d276e8441
in	w5_d276e8444
dem	w7_d276e8447
Platz	w9_d276e8450
221.	w11_d276e8453
Canonen,	w13_d276e8457
18.	w1_d276e8462
Mörser	w3_d276e8465
und	w5_d276e8468
viele	w7_d276e8471
Munition,	w9_d276e8474
(jedoch	w11_d276e8477
nicht	w1_d276e8482
so	w3_d276e8485
viel,	w5_d276e8488
als	w7_d276e8491
man	w9_d276e8494
geglaubt,	w11_d276e8497
gefunden.	w13_d276e8501
Le	w1_d276e8507
Prudent	w3_d276e8510
von	w5_d276e8513
74.	w7_d276e8516
Canonen,	w9_d276e8519
ist	w11_d276e8522
durch	w13_d276e8526
die	w15_d276e8529
Chaloupen	w1_d276e8534
der	w3_d276e8537
Engländischen	w5_d276e8540
Escadre	w7_d276e8543
ver	w9_d276e8546
brannt;	w1_d276e8551
LEntreprenant	w3_d276e8554
ist	w5_d276e8557
durch	w7_d276e8560
einen	w9_d276e8563
Ca	w11_d276e8566
nonen=schuß	w1_d276e8571
von	w3_d276e8574
der	w5_d276e8577
Engländischen	w7_d276e8580
See	w9_d276e8583
batterie	w1_d276e8589
in	w3_d276e8592
die	w5_d276e8595
Luft	w7_d276e8598
geflogen;	w9_d276e8601
Le	w11_d276e8604
Capricieux,	w13_d276e8608
und	w1_d276e8613
le	w3_d276e8616
Celebre,	w5_d276e8619
jedes	w7_d276e8622
von	w9_d276e8625
64.	w11_d276e8628
Canonen,	w13_d276e8632
hat	w1_d276e8637
der	w3_d276e8640
Entreprenant	w5_d276e8643
in	w7_d276e8646
Brand	w9_d276e8649
gestecket;	w11_d276e8652
Le	w1_d276e8657
Bien=Faisant,	w3_d276e8660
von	w5_d276e8663
74.	w7_d276e8666
Canonen.	w9_d276e8669
ist	w11_d276e8672
im	w13_d276e8676
Hafen	w1_d276e8682
weggenommen;	w3_d276e8685
und	w5_d276e8688
Apollo,	w7_d276e8691
von	w9_d276e8694
50.	w11_d276e8697
Canonen,	w1_d276e8702
der	w3_d276e8705
in	w5_d276e8708
der	w7_d276e8711
Mündung	w9_d276e8714
die	w11_d276e8717
Einfahrt	w13_d276e8721
der	w1_d276e8726
Engländischen	w3_d276e8729
Flotte	w5_d276e8732
hindern	w7_d276e8735
sollte	w9_d276e8738
in	w11_d276e8741
Grund	w1_d276e8746
gebohret	w3_d276e8749
worden:	w5_d276e8752
wie	w7_d276e8755
dann	w9_d276e8758
die	w11_d276e8761
Fre	w13_d276e8765
gatten,	w1_d276e8771
le	w3_d276e8774
Chevre,	w5_d276e8777
la	w7_d276e8780
Bische,	w9_d276e8783
la	w11_d276e8786
Fidelle,	w13_d276e8790
und	w15_d276e8793
Diana,	w1_d276e8798
von	w3_d276e8801
36.	w5_d276e8804
Canonen,	w7_d276e8807
so,	w9_d276e8810
wie	w11_d276e8813
das	w13_d276e8817
Echo	w15_d276e8820
von	w1_d276e8825
26.	w3_d276e8828
denen	w5_d276e8831
Unserigen	w7_d276e8834
in	w9_d276e8837
die	w11_d276e8840
Hände	w13_d276e8844
gefal	w15_d276e8847
len	w1_d276e8852
seynd.	w3_d276e8855
</p>
<head id="h2_d276e8861">
Cöln	w1_d276e8865
25.	w3_d276e8868
Augusti	w5_d276e8871
</head>
<p id="p4_d276e8874">
Die	w1_d276e8878
Französische	w3_d276e8881
Armee	w5_d276e8884
ist	w7_d276e8887
nunmehro	w9_d276e8890
würklich	w1_d276e8895
nach	w3_d276e8898
Dorsten	w5_d276e8901
aufgebrochen.	w7_d276e8904
Sie	w9_d276e8907
verließ	w1_d276e8912
den	w3_d276e8915
21.	w5_d276e8918
das	w7_d276e8921
Lager	w9_d276e8924
bey	w11_d276e8927
Schernbek,	w13_d276e8931
und	w1_d276e8937
den	w3_d276e8940
22.	w5_d276e8943
rückte	w7_d276e8946
sie	w9_d276e8949
einige	w11_d276e8952
Meilen	w13_d276e8956
da	w15_d276e8959
von,	w1_d276e8964
in	w3_d276e8967
das	w5_d276e8970
auf	w7_d276e8973
einer	w9_d276e8976
Heide	w11_d276e8979
abgestochene	w13_d276e8983
La	w15_d276e8986
ger,	w1_d276e8991
allwo	w3_d276e8994
sie	w5_d276e8997
den	w7_d276e9000
selbigen	w9_d276e9003
Tag	w11_d276e9006
Rast=tag	w13_d276e9010
hielt,	w15_d276e9013
nachdem	w1_d276e9018
sich	w3_d276e9021
vorhero	w5_d276e9024
die	w7_d276e9027
sämmtlichen	w9_d276e9030
Tru	w11_d276e9033
pen	w1_d276e9039
mit	w3_d276e9042
Fourage	w5_d276e9045
und	w7_d276e9048
Lebens=mitteln	w9_d276e9051
verse	w11_d276e9054
hen	w1_d276e9059
müssen.	w3_d276e9062
Den	w5_d276e9065
23.	w7_d276e9068
wurde	w9_d276e9071
der	w11_d276e9074
Marsch	w13_d276e9078
in	w1_d276e9083
4.	w3_d276e9086
Colonnen	w5_d276e9089
fortgesetzet.	w7_d276e9092
Der	w9_d276e9095
Herr	w11_d276e9098
von	w13_d276e9102
Chevreuse	w1_d276e9107
war	w3_d276e9110
bereits	w5_d276e9113
mit	w7_d276e9116
denen	w9_d276e9119
Dragonern,	w11_d276e9122
der	w1_d276e9128
Legion	w3_d276e9131
Royal	w5_d276e9134
und	w7_d276e9137
denen	w9_d276e9140
Volontairs	w11_d276e9143
vor	w13_d276e9147
aus,	w1_d276e9152
um	w3_d276e9155
die	w5_d276e9158
Gegend	w7_d276e9161
bey	w9_d276e9164
Dorsten	w11_d276e9167
zu	w13_d276e9171
occupi	w15_d276e9174
ren,	w1_d276e9179
allwo	w3_d276e9182
die	w5_d276e9185
Armee	w7_d276e9188
über	w9_d276e9191
verschiedene	w11_d276e9194
</p>
<p id="p6_d276e9197">
Brücken	w1_d276e9201
die	w3_d276e9204
Lippe	w5_d276e9207
paßiren	w7_d276e9210
wird.	w9_d276e9213
Die	w11_d276e9216
Au	w13_d276e9220
tillerie,	w1_d276e9225
welche	w3_d276e9228
ungemein	w5_d276e9231
zahlreich	w7_d276e9234
ist,	w9_d276e9237
folgt	w11_d276e9240
der	w1_d276e9245
Armee	w3_d276e9248
nebst	w5_d276e9251
der	w7_d276e9254
Bagage,	w9_d276e9257
und	w11_d276e9260
wird	w13_d276e9264
gleich	w15_d276e9267
unter	w1_d276e9273
Dorsten	w3_d276e9276
ebenfalls	w5_d276e9279
über	w7_d276e9282
die	w9_d276e9285
Lippe	w11_d276e9288
se	w13_d276e9292
tzen.	w1_d276e9297
Der	w3_d276e9300
Prinz	w5_d276e9303
Conti	w7_d276e9306
ist	w9_d276e9309
den	w11_d276e9312
19.	w13_d276e9316
wie	w15_d276e9319
der	w1_d276e9324
bey	w3_d276e9327
der	w5_d276e9330
Armee	w7_d276e9333
eingetroffen.	w9_d276e9336
Bey	w11_d276e9339
sei	w13_d276e9343
ner	w1_d276e9348
Ankunft	w3_d276e9351
zu	w5_d276e9354
Wesel	w7_d276e9357
wurden	w9_d276e9360
die	w11_d276e9363
Cano	w13_d276e9367
nen	w1_d276e9373
gelöset,	w3_d276e9376
und	w5_d276e9379
ein	w7_d276e9382
Theil	w9_d276e9385
der	w11_d276e9388
Garnison	w13_d276e9392
stund	w1_d276e9397
in	w3_d276e9400
den	w5_d276e9403
Waffen.	w7_d276e9406
Die	w9_d276e9409
Ursache	w11_d276e9412
des	w13_d276e9416
Um	w15_d276e9419
wegs,	w1_d276e9424
welchen	w3_d276e9427
die	w5_d276e9430
Armee	w7_d276e9433
nihmt,	w9_d276e9436
da	w11_d276e9439
sie	w13_d276e9443
vielmehr	w1_d276e9448
gleich	w3_d276e9451
unter	w5_d276e9454
denen	w7_d276e9457
Canonen	w9_d276e9460
von	w11_d276e9463
We	w13_d276e9467
sel	w1_d276e9473
hätte	w3_d276e9476
die	w5_d276e9479
Lippe	w7_d276e9482
paßiren	w9_d276e9485
sollen,	w11_d276e9488
ligt,	w13_d276e9492
vor	w15_d276e9495
nehmlich	w1_d276e9500
an	w3_d276e9503
der	w5_d276e9506
Austrettung	w7_d276e9509
dieses	w9_d276e9512
Flußes,	w11_d276e9515
welcher	w1_d276e9520
bey	w3_d276e9523
nahe	w5_d276e9526
die	w7_d276e9529
ganze	w9_d276e9532
Gegend	w11_d276e9535
unter	w13_d276e9539
Wasser	w1_d276e9544
gesetzet.	w3_d276e9547
</p>
<p id="p8_d276e9550">
Von	w1_d276e9554
der	w3_d276e9557
gegenwärtigen	w5_d276e9560
Position	w7_d276e9563
der	w9_d276e9566
Ha	w11_d276e9569
növrischen	w1_d276e9574
Armee	w3_d276e9577
hat	w5_d276e9580
man	w7_d276e9583
sehr	w9_d276e9586
verschiedne	w11_d276e9589
Nachrichten.	w1_d276e9594
Die	w3_d276e9597
letztern	w5_d276e9600
bestimmten	w7_d276e9603
das	w9_d276e9606
Haupt=quartier	w1_d276e9612
derselben	w3_d276e9615
zu	w5_d276e9618
Coes=feld,	w7_d276e9621
und	w9_d276e9624
jetzo	w1_d276e9629
vernihmt	w3_d276e9632
man	w5_d276e9635
durch	w7_d276e9638
Briefe	w9_d276e9641
vom	w11_d276e9644
22.	w13_d276e9648
Aug.	w1_d276e9653
daß	w3_d276e9656
sie	w5_d276e9659
sich	w7_d276e9662
gegen	w9_d276e9665
Ahauß	w11_d276e9668
gewendet,	w13_d276e9672
so,	w15_d276e9675
daß	w1_d276e9680
sie	w3_d276e9683
Mine	w5_d276e9686
macht,	w7_d276e9689
gegen	w9_d276e9692
Osnabrück	w11_d276e9695
zu	w13_d276e9699
marschieren,	w1_d276e9705
ohne	w3_d276e9708
sich	w5_d276e9711
der	w7_d276e9714
Conjunction	w9_d276e9717
der	w11_d276e9720
Französische	w1_d276e9725
Armee	w3_d276e9728
mit	w5_d276e9731
der	w7_d276e9734
Soubisischen	w9_d276e9737
widersetzen	w1_d276e9742
zu	w3_d276e9745
wollen.	w5_d276e9748
Jndessen	w7_d276e9751
sind	w9_d276e9754
schon	w11_d276e9757
am	w1_d276e9762
18.	w3_d276e9765
die	w5_d276e9768
Vortrupen	w7_d276e9771
eines	w9_d276e9774
ansehnlichen	w11_d276e9777
Corps	w1_d276e9783
dieser	w3_d276e9786
Armee	w5_d276e9789
aus	w7_d276e9792
dem	w9_d276e9795
Münsterischen	w11_d276e9798
zu	w1_d276e9803
Lipp=stadt	w3_d276e9806
angelangt,	w5_d276e9809
und	w7_d276e9812
bey	w9_d276e9815
4000.	w11_d276e9818
Mann	w1_d276e9823
stark,	w3_d276e9826
unter	w5_d276e9829
des	w7_d276e9832
Herrn	w9_d276e9835
von	w11_d276e9838
Harden	w13_d276e9842
bergs	w1_d276e9847
Commando,	w3_d276e9850
mit	w5_d276e9853
vieler	w7_d276e9856
Artillerie	w9_d276e9859
den	w11_d276e9862
19.	w1_d276e9868
allda	w3_d276e9871
eingerückt.	w5_d276e9874
Zu	w7_d276e9877
Emerich	w9_d276e9880
und	w11_d276e9883
Dulmen	w1_d276e9888
sollen	w3_d276e9891
sich	w5_d276e9894
noch	w7_d276e9897
starcke	w9_d276e9900
Hanöverische	w11_d276e9903
Posten	w1_d276e9908
befinden,	w3_d276e9911
auch	w5_d276e9914
würklich	w7_d276e9917
bey	w9_d276e9920
10000.	w11_d276e9923
Mann	w1_d276e9928
Engländer	w3_d276e9931
sich	w5_d276e9934
mit	w7_d276e9937
der	w9_d276e9940
Haupt	w11_d276e9943
armee	w1_d276e9949
bey	w3_d276e9952
Coesfeld	w5_d276e9955
den	w7_d276e9958
14.	w9_d276e9961
conjungirt	w11_d276e9964
haben.	w1_d276e9969
Die	w3_d276e9972
Engl.	w5_d276e9975
Cavall.	w7_d276e9978
bestehet	w9_d276e9981
in	w11_d276e9984
einem	w1_d276e9989
Küraßier	w3_d276e9992
Regiment	w5_d276e9995
welches	w7_d276e9998
blau	w9_d276e10001
montirt,	w1_d276e10006
ist,	w3_d276e10009
und	w5_d276e10012
rote	w7_d276e10015
Aufschläge	w9_d276e10018
hat.	w11_d276e10021
Es	w1_d276e10027
führt	w3_d276e10030
silberne	w5_d276e10033
Paucken	w7_d276e10036
und	w9_d276e10039
Trompeten.	w11_d276e10042
Die	w1_d276e10047
übrige	w3_d276e10050
sind	w5_d276e10053
Dragoner,	w7_d276e10056
die	w9_d276e10059
insgesamt	w11_d276e10062
rote	w1_d276e10067
Uniform,	w3_d276e10070
theils	w5_d276e10073
mit	w7_d276e10076
gelb	w9_d276e10079
und	w11_d276e10082
rot	w13_d276e10086
sta	w15_d276e10089
firt	w1_d276e10094
haben.	w3_d276e10097
Die	w5_d276e10100
Kleidung	w7_d276e10103
der	w9_d276e10106
Jnfant.	w11_d276e10109
ist	w13_d276e10113
</p>
<p id="p14_d276e10127">
gleichfalls	w1_d276e10131
rot,	w3_d276e10134
und	w5_d276e10137
befindet	w7_d276e10140
sich	w9_d276e10143
bey	w11_d276e10146
der	w13_d276e10150
selben	w1_d276e10155
ein	w3_d276e10158
Regiment	w5_d276e10161
Grenadiers,	w7_d276e10164
deren	w9_d276e10167
Mü	w11_d276e10170
tzen	w1_d276e10175
mit	w3_d276e10178
Gold	w5_d276e10181
und	w7_d276e10184
Silber	w9_d276e10187
gestickt	w11_d276e10190
sind.	w13_d276e10194
</p>
<head id="h2_d276e10200">
Haarburg,	w1_d276e10204
15.	w3_d276e10207
Augusti.	w5_d276e10210
</head>
<p id="p4_d276e10213">
Vorgestern	w1_d276e10217
sind	w3_d276e10220
allhier	w5_d276e10223
die	w7_d276e10226
beyde	w9_d276e10229
Preußi	w11_d276e10232
sche	w1_d276e10237
Hussaren=officiers,	w3_d276e10240
der	w5_d276e10243
Rittmeister	w7_d276e10246
Jordan	w1_d276e10251
vom	w3_d276e10254
Regiment	w5_d276e10257
Malachowsky,	w7_d276e10260
und	w9_d276e10263
der	w1_d276e10269
Leutenant	w3_d276e10272
von	w5_d276e10275
Hülsen	w7_d276e10278
vom	w9_d276e10281
Regiment	w11_d276e10284
Reusch,	w1_d276e10289
mit	w3_d276e10292
450.	w5_d276e10295
Hussaren	w7_d276e10298
eingerückt,	w9_d276e10301
wor	w11_d276e10304
unter	w1_d276e10309
sich	w3_d276e10312
viel	w5_d276e10315
Neugeworbene	w7_d276e10318
befinden,	w9_d276e10321
welche	w11_d276e10324
allhier	w1_d276e10329
ihre	w3_d276e10332
Montur	w5_d276e10335
empfangen.	w7_d276e10338
Sie	w9_d276e10341
wer	w11_d276e10344
den	w1_d276e10350
unverzüglich	w3_d276e10353
zur	w5_d276e10356
Armee	w7_d276e10359
abgehen,	w9_d276e10362
und	w11_d276e10365
vermutlich	w1_d276e10370
das	w3_d276e10373
Jsemburgische	w5_d276e10376
Corps	w7_d276e10379
bey	w9_d276e10382
Eimbeck	w1_d276e10387
verstärken.	w3_d276e10390
</p>
<head id="h2_d276e10396">
Merseburg	w1_d276e10400
15.	w3_d276e10403
Augusti	w5_d276e10406
</head>
<p id="p4_d276e10409">
Anheut	w1_d276e10413
erhalten	w3_d276e10416
mir	w5_d276e10419
die	w7_d276e10422
zuverläßige	w9_d276e10425
Nach	w11_d276e10428
richt,	w1_d276e10433
daß	w3_d276e10436
die	w5_d276e10439
den	w7_d276e10442
10ten	w9_d276e10445
dieses	w11_d276e10448
allhier	w13_d276e10452
durch	w15_d276e10455
passirte	w1_d276e10460
400.	w3_d276e10463
Preußische	w5_d276e10466
Hussaren,	w7_d276e10469
welche	w9_d276e10472
zur	w1_d276e10478
Prinz	w3_d276e10481
Heinrichischen	w5_d276e10484
Armee	w7_d276e10487
nach	w9_d276e10490
Chem	w11_d276e10493
nitz	w1_d276e10498
abgehen	w3_d276e10501
wolten,	w5_d276e10504
von	w7_d276e10507
denen	w9_d276e10510
Oesterreichern	w11_d276e10513
den	w1_d276e10518
13ten	w3_d276e10521
dieses,	w5_d276e10524
bey	w7_d276e10527
Waldenburg,	w9_d276e10530
in	w11_d276e10533
der	w13_d276e10537
Gegend	w1_d276e10542
Altenburg,	w3_d276e10545
abgeschnitten	w5_d276e10548
und	w7_d276e10551
sämt	w9_d276e10554
lich	w1_d276e10560
zu	w3_d276e10563
Kriegs=gefangenen	w5_d276e10566
gemacht	w7_d276e10569
worden.	w9_d276e10572
Die	w1_d276e10577
Preussen	w3_d276e10580
sind	w5_d276e10583
von	w7_d276e10586
Halle	w9_d276e10589
wieder	w11_d276e10592
nach	w13_d276e10596
Leipzig	w1_d276e10601
zurück,	w3_d276e10604
und	w5_d276e10607
die	w7_d276e10610
dortige	w9_d276e10613
Burgerschaft	w11_d276e10616
flüchtet	w1_d276e10621
alles	w3_d276e10624
nach	w5_d276e10627
Magdeburg.	w7_d276e10630
Der	w9_d276e10633
Prinz	w11_d276e10636
Heinrich	w1_d276e10642
ist	w3_d276e10645
mit	w5_d276e10648
seiner	w7_d276e10651
ganzen	w9_d276e10654
Armee	w11_d276e10657
gegen	w13_d276e10661
Dresden	w1_d276e10666
und	w3_d276e10669
Dippoldswalde	w5_d276e10672
zurückmarschi	w7_d276e10675
ret,	w1_d276e10680
und	w3_d276e10683
die	w5_d276e10686
Oesterreicher	w7_d276e10689
haben	w9_d276e10692
Tschoppau	w11_d276e10695
und	w1_d276e10700
Chemnitz	w3_d276e10703
besetzet.	w5_d276e10706
</p>
<head id="h2_d276e10712">
Göttingen	w1_d276e10716
16.	w3_d276e10719
Augusti	w5_d276e10722
</head>
<p id="p4_d276e10725">
Zwischen	w1_d276e10729
Montag	w3_d276e10732
und	w5_d276e10735
Dienstag	w7_d276e10738
fieng	w9_d276e10741
man	w1_d276e10746
an	w3_d276e10749
wahrzunehmen,	w5_d276e10752
daß	w7_d276e10755
sich	w9_d276e10758
unsere	w11_d276e10761
Garnison	w1_d276e10766
zum	w3_d276e10769
Abmarsch	w5_d276e10772
rüste,	w7_d276e10775
welcher	w9_d276e10778
auch	w11_d276e10781
noch	w1_d276e10787
selbige	w3_d276e10790
Nacht	w5_d276e10793
erfolgte,	w7_d276e10796
so,	w9_d276e10799
daß	w11_d276e10802
gegen	w13_d276e10806
wärtig	w1_d276e10811
die	w3_d276e10814
ganze	w5_d276e10817
Stadt	w7_d276e10820
wieder	w9_d276e10823
davon	w11_d276e10826
be	w13_d276e10830
freyet	w1_d276e10835
ist.	w3_d276e10838
Einige	w5_d276e10841
behaupten,	w7_d276e10844
der	w9_d276e10847
Marsch	w11_d276e10850
sey	w1_d276e10855
nach	w3_d276e10858
dem	w5_d276e10861
Paderbornischen	w7_d276e10864
gerichtet;	w9_d276e10867
andere,	w1_d276e10873
er	w3_d276e10876
gehe	w5_d276e10879
über	w7_d276e10882
Cassel	w9_d276e10885
auf	w11_d276e10888
Maxburg;	w13_d276e10892
welches	w1_d276e10897
sich	w3_d276e10900
dann	w5_d276e10903
in	w7_d276e10906
kurzem	w9_d276e10909
zeigen	w11_d276e10912
muß.	w13_d276e10916
</p>
<head id="h2_d276e10922">
Genua	w1_d276e10926
16.	w3_d276e10929
Augusti.	w5_d276e10932
</head>
<p id="p4_d276e10935">
Aus	w1_d276e10939
Cadix	w3_d276e10942
vernihmt	w5_d276e10945
man,	w7_d276e10948
daß	w9_d276e10951
die	w11_d276e10954
grosse	w13_d276e10958
</p>
<p id="p6_d276e10961">
Flotte	w1_d276e10965
aus	w3_d276e10968
dasigem	w5_d276e10971
Hafen	w7_d276e10974
unter	w9_d276e10977
Seegel	w11_d276e10980
ge	w13_d276e10984
gegangen,	w1_d276e10989
um	w3_d276e10992
der	w5_d276e10995
Flotte,	w7_d276e10998
welche	w9_d276e11001
man	w11_d276e11004
aus	w13_d276e11008
Vera=Crux	w1_d276e11013
erwartet,	w3_d276e11016
entgegen	w5_d276e11019
zu	w7_d276e11022
gehen,	w9_d276e11025
und	w11_d276e11028
daß	w1_d276e11034
vom	w3_d276e11037
neuen	w5_d276e11040
der	w7_d276e11043
Befehl	w9_d276e11046
ergangen,	w11_d276e11049
daß	w13_d276e11053
unaufhörlich	w1_d276e11058
einige	w3_d276e11061
Kriegs=schiffe	w5_d276e11064
auf	w7_d276e11067
denen	w9_d276e11070
Spanischen	w1_d276e11075
